   prathamaṃ kośasthānam	praTamam koSa sTAnam
        na labhyate so 'pi kaścidyo bhāvayati śūnyatāmi"ti /	na laByate saH api kaScid yaH BAvayati SUnya tAm i"ti /
   tathoktaṃ "pañcādīnavā ātmopalambhe /	taTA uktam "paQca AdInavAH Atma upalamBe /
   ātmadṛṣṭirbhavati sattvadṛṣṭiḥ /	Atma dRzwiH Bavati sattva dRzwiH /
   nirviśeṣo bhavati tīrthikaiḥ sārdham /	nirviSezaH Bavati tIrTikEH sArDam /
   unmārgapratipanno bhavati /	unmArga pratipannaH Bavati /
   śūnyatāyāmasya cittaṃ na praskandati na prasīdati na saṃtiṣṭhate na	SUnyatA AyAm asya cittam na praskandati na prasIdati na saMtizWate na
   vimucyate /	vimucyate /
   āryadharmā asya na vyavadāyanta" iti /	Arya DarmAH asya na vyavadAyanta" iti /
   na vaita evaṃ grandhaṃ pramāṇaṃ kurvanti /	na vA ete evam granDam pramANam kurvanti /
   kiṃ kāraṇam /	kim kAraNam /
   nāsmākamayaṃ nikāye paṭhacyata iti /	na asmAka mayam nikAye paWacyate iti /
   kiṃ punasteṣāṃ nikāya eva pramāṇamāhosvidbuddhavacanam /	kim punar tezAm nikAyaH eva pramANam Ahosvit budDa vacanam /
   yadi nikāya eva pramāṇaṃ na tarhi teṣāṃ budhaḥ śāstā /	yadi nikAyaH eva pramANam na tarhi tezAm buDaH SAstA /
   na ca te śākyaputrīyā bhavanti /	na ca te SAkya putrIyAH Bavanti /
   atha buddhavacanaṃ pramāṇam /	aTa budDa vacanam pramANam /
   ayaṃ granthaḥ kasmānna pramāṇam /	ayam granTaH kasmAt na pramANam /
   nahi kilaitat buddhavacanamiti /	na hi kila etat budDa vacanam iti /
   kiṃ kāraṇam /	kim kAraNam /
   nāsmākaṃ nikāye paṭhacyata iti /	na asmAkam nikAye paWacyate iti /
   ayamanyāyo vartate /	ayam anyAyaH vartate /
   ko 'trānyāyaḥ /	kaH atra anyAyaH /
   yo hi granthaḥ sarveṣu nikāyāntareṣvāmnāyate na ca sūtraṃ dharmatāṃ vā	yaH hi granTaH sarvezu nikAya antarezu AmnAyate na ca sUtram Darma tAm vA
   bādhate so 'smābhirapāṭhānna buddhavacanamiti vacanaṃ kevalaṃ sāhasamātram	bADate saH asmABiH apAWAn na budDa vacanam iti vacanam kevalam sAhasa mAtram
   kiṃ cedamapi teṣāṃ sūtraṃ nāsti "sarvadharmā anātāna" iti /	kim ca idam api tezAm sUtram na asti "sarva DarmAH anAtAna" iti /
   syāt matam /	syAt matam /
   naiva hi pudgalo dharma ucyate nāpyanyo dharmāditi /	na eva hi pudgalaH DarmaH ucyate na api anyaH DarmAt iti /
   evaṃ tarhi na manovijñeyaḥ sidhyati /	evam tarhi na manaH vijQeyaH siDyati /
   dvayaṃ pratītya vijñānasyotpādaḥ ityavadhāraṇāt /	dvayam pratItya vijQAnasya utpAdaH iti avaDAraNAt /
   iha caivaṃ vikalpyate "anātmanyāteti saṃjñāviparyāsa ścittaviparyāso	iha ca evam vikalpyate "ana AtmanyAtA iti saMjQA viparyAsa Scitta viparyAsaH 
   dṛṣṭiviparyāsa" iti /	dRzwi viparyAsa" iti /
   anātmanyātmeti viparyāso na tvātmani kiṃ ca punaḥ /	anAtmani AtmA iti viparyAsaH na tu Atmani kim ca punar /
   "nātmā skandhāyatanadhātavaḥ" yattāvaduktaṃ prāk "no tu vaktavyaṃ rūpāṇi	"nAtmA skanDa Ayatana DAtavaH" yat tAvat uktam prAk "no tu vaktavyam rUpANi
   vā no ve"ti tattāvadaśocam /	vA naH ve"ti tat tAvat aSocam /
   uktaṃ ca sūtrāntare "ye kecit bhikṣavaḥ śramaṇā vā brāhmaṇā vā ātmeti	uktam ca sUtra antare "ye kecid BikzavaH SramaNAH vA brAhmaNAH vA AtmA iti
   samanupaśyantaḥ samanupaśyanti sarve ta imāneva pañcopādānaskandhāni"ti /	samanupaSyantaH samanupaSyanti sarve te imAn eva paQca upAdAna skanDAni"ti /
   tasmātsarva evānātmanyātmagrāhaḥ /	tasmAt sarve eva anAtmani Atma grAhaH /
   tathoktaṃ "ye kecidanekavidhaṃ pūrvanivāsaṃ samanusmarantaḥ samanusmārṣuḥ	taTA uktam "ye kecid anekaviDam pUrva nivAsam samanusmarantaH samanusmArzuH
   samanusmaranti samanusmariṣyanti vā punaḥ sarve ta imāneva	samanusmaranti samanusmarizyanti vA punar sarve te imAn eva
   opañcopādanaskandhāni"ti /	opaQca upAdana skanDAni"ti /
   yadyevamidaṃ kasmādāha "rūpavānahamabhūvamatīte adhvanī"ti /	yadi evam idam kasmAt Aha "rUpavAn aham aBUvam atIte aDvanI"ti /
   evamanekavidhaṃ ye samanusmarantīti pradarśayati /	evam anekaviDam ye samanusmaranti iti pradarSayati /
   yadi tu rūpavantaṃ pudgalaṃ paśyetsatkāyadṛṣṭiprasaṅgaḥ syāt /	yadi tu rUpavantam pudgalam paSyet sat kAya dRzwi prasaFgaH syAt /
   apāṭha eva tvanna śaraṇaṃ syāt /	apAWaH eva tvat na SaraNam syAt /
   tasmāt prajñāptisatpudgalo rāśidhārāvat /	tasmAt prajQA Apti sat pudgalaH rASi DArAvat /
   yadyevaṃ tarhi na buddhaḥ sarvajñaḥ prapnoti /	yadi evam tarhi na budDaH sarvajQaH prapnoti /
   na hi kiñcictrittamasti caittā vā yatsarvaṃ jānīyāt /	na hi kiQcid trittam asti cEttAH vA yat sarvam jAnIyAt /
   kṣaṇikatvāt /	kzaNika tvAt /
   pudgalastu jānīyāt /	pudgalaH tu jAnIyAt /
   evaṃ tarhi cittavināśe pudgalasyāvināśābhyupagamāt nityatvamasyābhyupetaṃ	evam tarhi citta vinASe pudgalasya avinASa aByupagamAt nitya tvam asya aByupetam
   bhavati /	Bavati /
   naiva ca vayaṃ sarvatra jñānasaṃmukhībhāvād buddhaṃ sarvajñamācakṣmahe /	na eva ca vayam sarvatra jQAna saMmuKIBAvAt budDam sarvajQam Acakzmahe /
   kiṃ tarhi /	kim tarhi /
   sāmarthyāt	sAmarTyAt 
   yā hyasau buddhākhyā saṃtatistasyā idamasti sāmarthyaṃ	yA hi asO budDa AKyA saMtatiH tasyAH idam asti sAmarTyam
   yadābhogamātreṇāviparītaṃ jñānamutpadyate yatreṣṭam /	yad ABoga mAtreNa aviparItam jQAnam utpadyate yatra izwam /
   āha cātra /	Aha ca atra /
        saṃtānena samarthatvādyathāgniḥ sarvabhuṅmataḥ	saMtAnena samarTa tvAt yaTa agniH sarva Buj mataH
        tathā sarvavideṣṭavyo 'sakṛtsarvasya vedanāt /	taTA sarva videzwavyaH asakRt sarvasya vedanAt /
   kathamidaṃ gamyate /	kaTam idam gamyate /
   atītādivacanāt /	atIta Adi vacanAt /
        "ye cābhyatītāḥ saṃbuddhā ye ca buddhā anāgatāḥ /	"ye ca aByatItAH saMbudDAH ye ca budDAH anAgatAH /
        yaśca etarhhi saṃbuddho bahūnāṃ śokanāśana" iti /	yaH ca etarhhi saMbudDaH bahUnAm Soka nASana" iti /
   skandhā eva ca traiyadhvikā iṣyante na pudgalā yuṣmābhiḥ /	skanDAH eva ca trEyaDvikAH izyante na pudgalAH yuzmABiH /
   yadi skandhā eva pudgalāḥ kasmādidamāha /	yadi skanDAH eva pudgalAH kasmAt idam Aha /
   "bhāraṃ ca vo bhikṣavo deśayiṣyāmi bhārādānaṃ ca bhāranikṣepaṇaṃ ca	"BAram ca vaH BikzavaH deSayizyAmi BAra AdAnam ca BAra nikzepaNam ca
   bhārahāraṃ ce"ti /	BAra hAram ce"ti /
   kasmādidaṃ na vaktavyaṃ syāt /	kasmAt idam na vaktavyam syAt /
   na hi bhāra eva bhārahāro yuktaḥ /	na hi BAraH eva BAra hAraH yuktaH /
   kiṃ kāraṇam /	kim kAraNam /
   nahyevaṃ dṛśyata iti /	na hi evam dRSyate iti /
   avaktavyo 'pi na yuktaḥ /	avaktavyaH api na yuktaH /
   kiṃ kāraṇam /	kim kAraNam /
   na hyevaṃ dṛśyate /	na hi evam dRSyate /
   bhārādānasyāpi skandhāsaṃgrahaprasaṅgācca /	BAra AdAnasya api skanDa asaMgraha prasaFgAt ca /
   ityarthameva bhārahāraṃ nirdideśa bhagavān /	iti arTam eva BAra hAram nirdida ISa BagavAn /
   "yo 'sāvāyupmānevaṃnāmā yāvadevañcirasthitika evamāyuḥparyantaḥ" sa eṣa	"yaH asO= AyupmAn evaMnAmA yAvat evaQcira sTitikaH evam AyuH paryantaH" saH eza
   yathā vijñāyeta /	yaTA vijQAyeta /
   mānyathā vijñāyi nityo vā avaktavyaṃ veti /	mA anyaTAH vijQAyi nityaH vA avaktavyam vA iti /
   skandhā eva ca skandhānāmupadhātāya saṃvartante pūrvakā uttareṣāmiti	skanDAH eva ca skanDAnAm upaDAtAya saMvartante pUrvakAH uttarezAm iti
   bhāraṃ ca bhārahāraṃ ca kṛtvoktāḥ /	BAram ca BAra hAram ca kRtvA uktAH /
   upaghātārtho hi bhāra iti /	upaGAta arTaH hi BAraH iti /
   asty eva pudgalo yasmād uktaṃ "nāsti sattva upapāduka iti mithyādṛṣṭiḥ" /	asti eva pudgalaH yasmAt uktam "nA asti sattvaH upapAdukaH iti miTyAdRzwiH" /
   kaścaivam āha nāsti sattva upapāduka iti /	kaH ca evam Aha na asti sattvaH upapAdukaH iti /
   sattvastu yathā 'sti tathā vibhakto bhagavateti brūmo mānuṣyakasūtre /	sattvaH tu yaTA asti taTA viBaktaH BagavatA iti brUmaH mAnuzyaka sUtre /
   tasmād yaḥ paratropapādukasattvākhyaskandhasaṃtānāpavādaṃ karoti tasyaiṣā	tasmAt yaH para tra upapAduka sattva AKya skanDa saMtAna apavAdam karoti tasya ezA
   mithyādṛṣṭir nāsti sattva upapāduka iti /	miTyAdRzwiH na asti sattvaH upapAdukaH iti /
   skandhānām upapādukatvāt /	skanDAnAm upapAduka tvAt /
   athaiṣā mithyādṛṣṭiḥ pudgalāpavādikā satī kiṃprahātavyā bhavet /	aTa ezA miTyAdRzwiH pudgala apavAdikA satI kiMprahAtavyA Bavet /
   nahyeṣā darśanabhāvanāprahātavyā yujyate /	na hi ezA darSana BAvanA prahAtavyA yujyate /
   pudgalasya sattveṣvantarbhāvāt /	pudgalasya sattvezu antarBAvAt /
   "ekaḥ pudgalo loka utpadyamāna utpadyate" iti vacanāt na skandhā iti cet /	"ekaH pudgalaH loke utpadyamAnaH utpadyate" iti vacanAt na skanDAH iti ced /
   na /	na /
   samudāye 'pyekopacārādekatilaikataṇḍulavat ekarāśyekavacanavacca /	samudAye api eka upacArAt eka tila eka taNxula vat eka rASi eka vacana vat ca /
   saṃskṛta iti vā pudgalo vaktavya utpatīmattvābhyupagamāt /	saMskRtaH iti vA pudgalaH vaktavyaH utpatImattva aByupagamAt /
   na sa evamutpadyate yathā skandhā apūrvaprādurbhāvāt /	na saH evam utpadyate yaTA skanDAH apUrva prAdurBAvAt /
   kiṃ tarhi /	kim tarhi /
   skandhāntaropādānāt /	skanDa antara upAdAnAt /
   yathā yājñiko jāto vaiyākaraṇo jāta ityucyate vidyopādānāt /	yaTA yAjQikaH jAtaH vEyAkaraNaH jAtaH iti ucyate vidyA upAdAnAt /
   bhikṣurjātaḥ parivrājako jāta iti liṅgopādānāt /	BikzuH jAtaH parivrAjakaH jAtaH iti liFga upAdAnAt /
   buddhojāto vyādhito jāta ityavasthāntaropādānāditi /	budDojAtaH vyADitaH jAtaH iti avasTA antara upAdAnAt iti /
   na pratikṣepāt sūtra eva hi pratikṣiptaṃ bhagavatā paramārthaśūnyatāyām /	na pratikzepAt sUtre eva hi pratikziptam BagavatA parama arTa SUnyatAyAm /
   "iti hibhikṣavo 'sti karmāsti vipākaḥ kārakastu nopalabhyate /	"iti hiBikzavaH asti karma asti vipAkaH kArakaH tu na upalaByate /
   ya imāṃśca skandhānnikṣipati anyāṃśca skandhān pratisaṃdadhātyanyatra	yaH imAn= ca skanDAn nikzipati anyAn= ca skanDAn pratisaMdaDAti anyatra
   dharmasaṃketāditi /	Darma saMketAt iti /
   phalgusūtre coktam "upādatta iti phalgu na vadāmīti /	Palgu sUtre ca uktam "upAdatte iti Palgu na vadAmi iti /
   tasmānnāsti skandhānāṃ kaścidupādātā nāpi nikṣiptā /	tasmAt na asti skanDAnAm kaScid upAdAtA na api nikziptAH /
   kaṃ ca tāvadbhavānyājñikaṃ yāvadvacyā dhita madhimucyate /	kam ca tAvat BavAn yAjQikam yAvat vacyA Dita maDimucyate /
   dṛṣṭātaṃ karoti pudgalaṃ yadi /	dRzwAtam karoti pudgalam yadi /
   so 'siddhaḥ /	saH asidDaH /
   atha cittacaittāḥ /	aTa citta cEttAH /
   na /	na /
   teṣāṃ pratikṣaṇamapūrvotpattireva /	tezAm pratikzaNam apUrva utpattiH eva /
   atha śarīram /	aTa SarIram /
   tasyāpi tathā /	tasya api taTA /
   śarīravidyāliṅgavacca skandhapudgalayoranyatvamāpadyate /	SarIra vidyA liFga vat ca skanDa pudgalayoH anya tvam Apadyate /
   jīrṇa śarīrāntarameva jyādhitaṃ ca /	jIrNa SarIra antaram eva jyADitam ca /
   pratiṣiddho hi sāṃkhyīyaḥ pariṇāmavādaḥ /	pratizidDaH hi sAMKyIyaH pariNAma vAdaH /
   tasmādadṛṣṭāntā ete /	tasmAt adRzwAntAH ete /
   yadi ca skandhānāmapūrvotpādo na pudgalasyeṣyate so 'nyaśca tebhyo	yadi ca skanDAnAm apUrva utpAdaH na pudgalasya izyate saH anyaH ca teByaH 
   nityaśca sphuṭaṃ dīpito bhavati /	nityaH ca sPuwam dIpitaH Bavati /
   pañca skandhā ekaḥ pudgala iti brūvatā kathamanyatvaṃ nocyate /	paQca skanDAH ekaH pudgalaH iti brUvatA kaTam anya tvam na ucyate /
   kathaṃ tāvat bhūtāni catvāri rūpaṃ tvekaṃ na ca bhūtebhyyo 'nyadrūpam /	kaTam tAvat BUtAni catvAri rUpam tu ekam na ca BUteByyaH anyat rUpam /
   pākṣika eṣa doṣaḥ /	pAkzikaH eza dozaH /
   katamasminpakṣa /	katamasmin pakza /
   bhūtamātrikapakṣe /	BUta mAtrika pakze /
   tathāpi tu yathā bhūtamātraṃ rūpamevaṃ skandhamātraṃ pudgala ityabhyupetaṃ	taTA api tu yaTA BUtamAtram rUpam evam skanDa mAtram pudgalaH iti aByupetam
   bhavati /	Bavati /
   yadi skandhamātraṃ pudgalaḥ kasmāt bhagavatā sa jīvastaccharīrakanyo veti	yadi skanDa mAtram pudgalaH kasmAt BagavatA sa jIvaH tad SarIra kanyaH vA iti
   navyākṛtam /	navya akRtam /
   praṣṭurāśayāpekṣayā /	prazwuH ASaya apekzayA /
   sa hi jīvadravyamekamantarvyāpāra puruṣamadhikṛtya pṛṣṭavān /	sa hi jIva dravyam ekam antar vyApAra puruzam aDikRtya pRzwavAn /
   sa ca kasmiścinnāstīti kathamasyānyatvamananyatvaṃ vā vyākriyatām /	sa ca kasmiScid na asti iti kaTam asya anya tvam ananya tvam vA vyAkriyatAm /
   kaurmasyeva romṇo 'ntaḥkharatā mṛdutā vā /	kOrmasya iva romNaH antar Kara tA mRdu tA vA /
   eṣa ca granthaḥ pūrvakaireva nirmocitaḥ /	eza ca granTaH pUrvakEH eva nirmocitaH /
   sthāviro hi nāgasenaḥkaliṅgena rājñopasaṃkramyoktaḥ /	sTAviraH hi nAgasenaH kaliFgena rAjQA upasaMkramya uktaH /
   "pṛccheyamahaṃ bhadantam bahuvollakāśca śravaṇā bhavanti /	"pRcCeyam aham Badantam bahuvollakAH ca SravaNAH Bavanti /
   yadi yadeva pṛccheyaṃ tadeva vyākuryā iti /	yadi yat eva pRcCeyam tat eva vyAkuryAH iti /
   pṛcchetyuktaḥ pṛṣṭavān /	pRcCa iti uktaH pRzwavAn /
   kiṃ nu sa jīvastaccharīramanyio jīvo 'nyaccharīramiti /	kim nu sa jIvaH tad SarIram anyiaH jIvaH anyat SarIram iti /
   avyākṛtametadityavocat sthaviraḥ /	avyAkRtam etat iti avocat sTaviraH /
   sa āha /	saH Aha /
   nanu bhadantaḥ pūrvameva pratijñāṃ kārito nā 'nyadvacyākartavyamiti /	nanu BadantaH pUrvam eva pratijQAm kAritaH nA anyat vacyA kartavyam iti /
   kimidamanyadevoktamavyākṛtametaditi /	kim idam anya deva uktam avyAkRtam etat iti /
   sthavira āha /	sTaviraH Aha /
   ahamapi mahārājaṃ pṛccheyaṃ bahuvollakāśca rājāno bhavanti /	aham api mahA rAjam pRcCeyam bahuvollakAH ca rAjAnaH Bavanti /
   yadi yadeva pṛccheyaṃ tadeva vyākuryā iti /	yadi yat eva pRcCeyam tat eva vyAkuryAH iti /
   pṛcchetyuktaḥ pṛṣṭavān /	pRcCa iti uktaH pRzwavAn /
   yaste 'ntaḥpure ābhravṛkṣastasya kimamlāni phalāni āhosvit madhurāṇīti /	yaH te antaHpure ABra vRkzaH tasya kim amlAni PalAni Ahosvit maDurANi iti /
   naiva mamāntaḥpure kaścidābhravṛkṣo 'stītyāha /	na eva mama antaHpure kaScid A aBra vRkzaH asti iti Aha /
   nanu mayā pūrvameva mahārājaḥ pratijñāṃ kārito nānyadvacyākartavyamiti /	nanu mayA pUrvam eva mahA rAjaH pratijQAm kAritaH na anyat vacyA kartavyam iti /
   kimidamanyadevoktamābhra eva nāstīti /	kim idam anya deva ukta mABre eva na asti iti /
   sa āha kathamasato vṛkṣasya phalānāmamlatāṃ madhuratāṃ vā vyākaromīti /	saH Aha kaTam asataH vRkzasya PalAnAm amla tAm maDura tAm vA vyAkaromi iti /
   evameva mahārāja sa eva jīvo nāsti kuto 'sya śarīrādanyatāmananyatāṃ vā	evam eva mahA rAja saH eva jIvaH na asti kutas asya SarIrAt anyatAm ananyatAm vA
   vyākaromīti /	vyAkaromi iti /
   kasmāt bhagavatā 'pi noktaṃ nāstyeveti /	kasmAt BagavatA api na uktam na asti eva iti /
   praṣṭurāśayāpekṣayā /	prazwuH ASaya apekzayA /
   sa hi yasyāpi skandhasaṃtānasya jīva ityākhyā tasyāpyabhāvaṃ pratīyāditi	sa hi yasya api skanDa saMtAnasya jIvaH iti AKyA tasya api aBAvam pratIyAt iti
   mithyādṛṣṭiṃ pātitaḥ syāt /	miTyA dRzwim pAtitaH syAt /
   pratotya samutpādasyājñānāt /	pratotya samutpAdasya ajQAnAt /
   sa cataddeśanāyā akṣamaḥ /	sa ca tad deSanAyAH akzamaH /
   itaścaitadevaṃ niścīyate /	itas ca etat evam niScIyate /
   yat bhagavatoktam "astyātmetyānanda vatsasagotrāya parivrājakāya praśnaṃ	yat BagavatA uktam "asti AtmA iti Ananda vatsa sagotrAya parivrAjakAya praSnam
   pṛṣṭo vyākuryāṃ nanvakalpaṃ syādvacanāya sarvadharmā anātmāna iti /	pRzwaH vyAkuryAm nanu akalpam syAt vacanAya sarva DarmAH anAtmAnaH iti /
   nāstyātmetyānanda vatsasagotrāya parivrājakāya praśnaṃ pṛṣṭo vyākuryāṃ	na asti AtmA iti Ananda vatsa sagotrAya parivrAjakAya praSnam pRzwaH vyAkuryAm
   nanu vatsasagotraḥ parivrājakaḥ pūrvameva saṃmūḍho bhūyasyā mātrayā	nanu vatsa sagotraH parivrAjakaH pUrvam eva saMmUXaH BUyasyA mAtrayA
   saṃmohamāpadyeta abhūt me ātmāsa me etarhi nāstīti /	saMmoham Apadyeta aBUt me AtmAsa me etarhi na asti iti /
   astyātmetyānanda śāśvatāya pareti /	asti AtmA iti Ananda SASvatAya parA iti /
   nāstyātmetyānandocchedāya paretīti vistaraḥ /	na asti AtmA iti Ananda ucCedAya parA iti iti vistaraH /
   āha cānna	Aha ca anna
        dṛṣṭidaṃṣṭrāvabhadaṃ ca braṃśaṃ cāpekṣya karmaṇām /	dRzwi daMzwra avaBadam ca braMSam ca apekzya karmaNAm /
        deśayanti jinā dharma vyāgrīpītāpahāravat //	deSayanti jinAH DarmaH vyAgrIpIta apahAra vat //
        ātmāstitvaṃ hyupagato bhinnaḥ syāddṛṣṭidaṃṣṭrayā	Atma astitvam hi upagataH BinnaH syAt dRzwi daMzwrayA
        bhraṃśaṃ kukśalapotasya kuryādaprāpya saṃvṛtimi"ti /	BraMSam kukSala potasya kuryAt aprApya saMvRtim i"ti /
   punarāha	punar Aha
        asattvādbhagavān jīvaṃ tattvānyatvena nāvadat /	asattvAt BagavAn jIvam tattva anya tvena na avadat /
        nāstītyapi ca nāvocanmābhūt prājñaptikopyasan //	na asti iti api ca na avocat mA aBUt prAjQapti kopya san //
        yatra hi skandhasaṃtāne śubhāśubhaphalāstitā /	yatra hi skanDa saMtAne SuBa aSuBa Pala astitAH /
        jīvākhyā tatra sā na syāt jīvanāstitvadeśanāt //	jIvA AKyA tatra sA na syAt jIvana astitva deSanAt //
        prajñaptimātraṃ skandhesu jīva ityapināvadat /	prajQapti mAtram skanDesu jIvaH iti apinA avadat /
        abhavyaḥ śūnyatāṃ boddhuṃ tadānīṃ tādṛśo janaḥ //	aBavyaH SUnyatAm bodDum tadAnIm tAdRSaH janaH //
        tathā hyātmāsti nāstīti pṛṣṭo vāstyeva nāvadat /	taTA hi AtmA asti na asti iti pRzwaH vA asti eva na avadat /
        āśayāpekṣāyā praṣṭuḥ sati tvastīti nāha kim //	ASaya apekzAyA prazwuH sati tu asti iti na Aha kim //
   śāśvatalokādīnāmapyavayākaraṇaṃ praṣṭurāśayāpekṣayā /	SASvata loka AdInAm api avayAkaraNam prazwuH ASaya apekzayA /
   yadi hi tāvadātmā loka iṣṭaḥ syāttasyābhāvādayuktaṃ caturdhā vyākaraṇam /	yadi hi tAvat AtmA lokaH izwaH syAt tasya aBAvAt ayuktam caturDA vyAkaraNam /
   atha sarva eva saṃsāro lokastasyāpyayuktam /	aTa sarve eva saMsAraH lokaH tasya api ayuktam /
   śāśvate loke na kasyacit parinirvāṇaṃ prāpnuyāt /	SASvate loke na kasyacid parinirvANam prApnuyAt /
   śāśvate loke na kasyacit parinirvāṇaṃ prāpnuyāt /	SASvate loke na kasyacid parinirvANam prApnuyAt /
   aśāśvate sarvepāmucchedaḥ prāpnuyāt /	aSASvate sarva IpAmucCedaH prApnuyAt /
   ubhayathātve niyamata ekeṣāṃ parinirvāṇaṃ prāpnuyāt ekeṣāṃ na /	uBayaTAtve niyamataH ekezAm parinirvANam prApnuyAt ekezAm na /
   anubhayathātve naiva parinirvāṇaṃ nāparinirvāṇaṃ prāpnuyāt /	anuBayaTAtve na eva parinirvANam na aparinirvANam prApnuyAt /
   ato mārgadhīnatvāt parinirvāṇasya caturdhāpi niyamo na vyākriyate	atas mArga DIna tvAt parinirvANasya caturDA api niyamaH na vyAkriyate
   nirgrantha4rāvakacaṭakavat /	nirgranTa 4rAvaka cawaka vat /
   ata evāntavān loka iti catuṣkāvyākaraṇam /	atas eva antavAn lokaH iti catuzka avyAkaraNam /
   tulyārtho hyeṣa catuṣkaḥ /	tulya arTaH hi eza catuzkaH /
   tathāhi muktikaḥ parivrājaka eva catuṣkaṃ pṛṣṭvā punaḥ pṛṣṭavān kiṃ nu	taTA hi muktikaH parivrAjakaH eva catuzkam pRzwvA punar pRzwavAn kim nu
   sarvo loko 'nena mārgeṇa niryātyāhosvidekadeśo lokasye"ti /	sarvaH lokaH anena mArgeNa niryAti Ahosvit eka deSaH lokasya i"ti /
   sthavira ānanda āha "yameva tvaṃ muktika tatprathamato bhagavantaṃ praśnaṃ	sTaviraH AnandaH Aha "yam eva tvam muktika tat praTamatas Bagavantam praSnam
   pṛṣṭavāṃstame vaitarhi pṛcchasyanena paryāyeṇe"ti sarvam /	pRzwavAn= tame vEtarhi pRcCasi anena paryAyeNa i"ti sarvam /
   bhavati tathāgataḥ paraṃ maranādityapi catuṣkaḥ praṣṭurāśayāpekṣayā na	Bavati taTAgataH param maranAt iti api catuzkaH prazwuH ASaya apekzayA na
   vyākṛtaḥ /	vyAkRtaH /
   sa hi muktvāmānaṃ tathāgataṃ kṛtvā pṛṣṭavān /	sa hi muktvA mAnam taTAgatam kRtvA pRzwavAn /
   paudgalikastu paryanuyojyaḥ kiṃ kāraṇaṃ bhagavān jīvantaṃ pudgalamastīti	pOdgalikaH tu paryanuyojyaH kim kAraNam BagavAn jIvantam pudgalam asti iti
   vyākaroti paraṃ maraṇānna vyākarotīti /	vyAkaroti param maraNAt na vyAkaroti iti /
   śāśvata doṣaprasaṅgaḥ /	SASvata doza prasaFgaH /
   idaṃ tarhi kasmādvacyākaroti "bhaviṣyasi tvaṃ maitreyānāgate 'dhvani	idam tarhi kasmAt vacyA karoti "Bavizyasi tvam mEtreya anAgate aDvani
   tathāgato 'rhan saṃyaksaṃbuddha" iti /	taTAgataH arhan saMyaksaMbudDa" iti /
   kasmācca śrāvakamabhyatītaṃ kālagatamupapattau vyākarotyamuko	kasmAt ca SrAvakam aByatItam kAlagatam upapattO vyAkaroti amukaH 
   'mutropapanna iti /	amutra upapannaH iti /
   evamapi hi śāśvatatvaprasaṅgaḥ /	evam api hi SASvata tva prasaFgaH /
   yadi ca bhagavān pūrvaṃ pudgalaṃ dṛṣṭvā parinirvṛtaṃ punaḥ na	yadi ca BagavAn pUrvam pudgalam dRzwvA parinirvRtam punar na
   paśyatyajñānānna vyakarotīti sarvajñatvaṃ śāsturutpāditaṃ bhavati na vā so	paSyati ajQAnAt na vyakaroti iti sarvajQa tvam SAstuH utpAditam Bavati na vA saH 
   'stītyabhyupagantavyam /	asti iti aByupagantavyam /
   atha paśyatyanucyamāno 'pyasāvasti śāśvataśceti siddhaṃ bhavati /	aTa paSyati anucyamAnaH api asO= asti SASvataH ca iti sidDam Bavati /
   arthatadapi na vaktavyaṃ paśyati vā naveti /	arTa tat api na vaktavyam paSyati vA nava iti /
   evaṃ tarhi idamapi śanaiḥ śanairavaktavyaṃ kriyatāṃ sarvajño vā na vā	evam tarhi idam api SanEs SanEs avaktavyam kriyatAm sarvajQaH vA na vA
   bhagavānna veti /	BagavAn na vA iti /
   astyeva pudgalo yasmātsatyataḥ sthitito nāsti me ātmeti dṛṣṭisthānamuktam	asti eva pudgalaH yasmAt satyataH sTititaH na asti me AtmA iti dRzwi sTAnam uktam
   astītyapi dṛṣṭisthānamuktam /	asti iti api dRzwi sTAnam uktam /
   tasmādajñāpakametat /	tasmAt ajQApakam etat /
   ubhayamapi tvetadantagrāhadṛṣṭi	uBayam api tu etat anta grAha dRzwi
   śāśvatocchedadṛṣṭisaṃgṛhītamityābhidharmikāḥ /	SASvata ucCeda dRzwi saMgRhItam iti ABiDarmikAH /
   tathaiva ca yuktam /	taTA eva ca yuktam /
   "astyātmetyānanda śāśvatāya paraiti nāstyātmetyānandocchedāya paraitī"ti	"asti AtmA iti Ananda SASvatAya parEti na asti AtmA iti Ananda ucCedAya parEtI"ti
   vātsyasūtre vacanāt /	vAtsya sUtre vacanAt /
   yadi tarhi pudgalo nāsti ka eṣa saṃsarati /	yadi tarhi pudgalaH na asti kaH eza saMsarati /
   nahi saṃsāra eṣa saṃsaratīti yuktam /	na hi saMsAraH eza saMsarati iti yuktam /
   uktaṃ ca bhagavatā "avidyānivaraṇānāṃ sattvanāṃ saṃdhāvatāṃ saṃsaratāmi"ti	uktam ca BagavatA "avidyA nivaraNAnAm sattvanAm saMDAvatAm saMsara tAmi"ti
   atha pudgalaḥ kathaṃ saṃsarati /	aTa pudgalaH kaTam saMsarati /
   skandhāntaratyāgopādānāt /	skanDa antara tyAga upAdAnAt /
   uktottara eṣa pakṣaḥ /	ukta uttaraH eza pakzaH /
   yathātu kṣaṇiko 'gniḥ saṃtatyā saṃsaratītyucyate tathā sattvākhyaḥ	yaTA atu kzaNikaH agniH saMtatyA saMsarati iti ucyate taTA sattva AKyaH
