   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   āpaḥ karo ramānātho 'marārikulakṛntanaḥ /	ApaH karaH ramAnATaH amarAri-kula-kRntanaH /
   śrutendrahitakṛd dhīravīramuktibalapradaḥ // SatvT_6.203	Sruta-indra-hita-kRt DIra-vIra-mukti-bala-pradaH // SatvT_6.203
   viṣvaksenaḥ śambhusakho daśamāntarapālakaḥ /	vizvaksenaH SamBu-saKaH daSama-antara-pAlakaH /
   brahmasāvarṇivaṃśābdhihitakṛd viśvavardhanaḥ // SatvT_6.204	brahmasAvarNi-vaMSa-abDi-hita-kRt viSva-varDanaH // SatvT_6.204
   dharmasetur adharmaghno vaidhyatantrapadapradaḥ /	Darma-setuH aDarma-GnaH vEDya-tantra-pada-pradaH /
   asurāntakaro devārthakasūnuḥ subhāṣaṇaḥ // SatvT_6.205	asura-anta-karaH deva-arTaka-sUnuH su-BAzaNaH // SatvT_6.205
   svadhāmā sūnṛtāsūnuḥ satyatejo dvijātmajaḥ /	sva-DAmA sUnRtA-sUnuH satya-tejaH dvija-AtmajaH /
   dviṣaṇmanuyugatrātā pātālapuradāraṇaḥ // SatvT_6.206	dvizaz-manu-yuga-trAtA pAtAla-pura-dAraNaH // SatvT_6.206
   daivahotrir vārhatoyo divaspatir atipriyaḥ /	dEvahotriH vA-arha-toyaH divaspatiH atipriyaH /
   trayodaśāntaratrātā yogayogijaneśvaraḥ // SatvT_6.207	trayodaSa-antara-trAtA yoga-yogi-jana-ISvaraH // SatvT_6.207
   sattrāyaṇo bṛhadbāhur vainateyo viduttamaḥ /	sattrAyaNaH bRhadbAhuH vEnateyaH viduttamaH /
   karmakāṇḍaikapravado vedatantrapravartakaḥ // SatvT_6.208	karma-kANxa-eka-pravadaH veda-tantra-pravartakaH // SatvT_6.208
   parameṣṭhī surajyeṣṭho brahmā viśvasṛjāṃpatiḥ /	paramezWI surajyezWaH brahmA viSvasRjAMpatiH /
   abjayonir haṃsavāhaḥ sarvalokapitāmahaḥ // SatvT_6.209	abjayoniH haMsavAhaH sarva-loka-pitAmahaH // SatvT_6.209
   viṣṇuḥ sarvajagatpātā śāntaḥ śuddhaḥ sanātanaḥ /	vizNuH sarva-jagat-pAtA SAntaH SudDaH sanAtanaH /
   dvijapūjyo dayāsindhuḥ śaraṇyo bhaktavatsalaḥ // SatvT_6.210	dvija-pUjyaH dayA-sinDuH SaraNyaH Bakta-vatsalaH // SatvT_6.210
   rudro mūḍhaḥ śivaḥ śāstā śambhuḥ sarvaharo haraḥ /	rudraH mUXaH SivaH SAstA SamBuH sarva-haraH haraH /
   kapardī śaṃkaraḥ śūlī tryakṣo 'bhedyo maheśvaraḥ // SatvT_6.211	kapardI SaMkaraH SUlI tryakzaH aBedyaH maheSvaraH // SatvT_6.211
   sarvādhyakṣaḥ sarvaśaktiḥ sarvārthaḥ sarvatomukhaḥ /	sarva-aDyakzaH sarva-SaktiH sarva-arTaH sarvatomuKaH /
   sarvāvāsaḥ sarvarūpaḥ sarvakāraṇakāraṇam // SatvT_6.212	sarva-AvAsaH sarva-rUpaH sarva-kAraNa-kAraNam // SatvT_6.212
   ity etat kathitaṃ vipra viṣṇor nāmasahasrakam /	iti etat kaTitam vipra vizNoH nAma-sahasrakam /
   sarvapāpapraśamanaṃ sarvābhīṣṭaphalapradam // SatvT_6.213	sarva-pApa-praSamanam sarva-aBIzwa-Pala-pradam // SatvT_6.213
   manaḥśuddhikaraṃ cāśu bhagavadbhaktivardhanam /	manaH-SudDi-karam ca-ASu Bagavat-Bakti-varDanam /
   sarvavighnaharaṃ sarvāścaryaiśvaryapradāyakam // SatvT_6.214	sarva-viGna-haram sarva-AH-caryA-ESvarya-pradAyakam // SatvT_6.214
   sarvaduḥkhapraśamanaṃ cāturvargyaphalapradam /	sarva-duHKa-praSamanam cAturvargya-Pala-pradam /
   śraddhayā parayā bhaktyā śravaṇāt paṭhanāj japāt // SatvT_6.215	SradDayA parayA BaktyA SravaNAt paWanAt japAt // SatvT_6.215
   pratyahaṃ sarvavarṇānāṃ viṣṇupādāśritātmanām /	pratyaham sarva-varNAnAm vizNu-pAda-ASrita-AtmanAm /
   etat paṭhan dvijo vidyāṃ kṣatriyaḥ pṛthivīm imām // SatvT_6.216	etat paWan dvijaH vidyAm kzatriyaH pRTivIm imAm // SatvT_6.216
   vaiśyo mahānidhiṃ śūdro vāñchitāṃ siddhim āpnuyāt /	vESyaH mahA-niDim SUdraH vAQCitAm sidDim ApnuyAt /
   dvātriṃśadaparādhānyo jñānājñānāc cared dhareḥ // SatvT_6.217	dvAtriMSat-aparADAnyaH jQAna-ajQAnAt caret DareH // SatvT_6.217
   nāmnā daśāparādhāṃś ca pramādād ācared yadi /	nAmnA daSa-aparADAn ca pramAdAt Acaret yadi /
   samāhitamanā hy etat paṭhed vā śrāvayej japet // SatvT_6.218	samAhita-manAH hi etat paWet vA SrAvayet japet // SatvT_6.218
   smared vā śṛṇuyād vāpi tebhyaḥ sadyaḥ pramucyate /	smaret vA SRNuyAt vA-api teByaH sadyas pramucyate /
   nātaḥ parataraṃ puṇyaṃ triṣu lokeṣu vidyate // SatvT_6.219	na-atas parataram puNyam trizu lokezu vidyate // SatvT_6.219
   yasyaikakīrtanenāpi bhavabandhād vimucyate /	yasya-eka-kIrtanena-api Bava-banDAt vimucyate /
   atas tvaṃ satataṃ bhaktyā śraddhayā kīrtanaṃ kuru // SatvT_6.220	atas tvam satatam BaktyA SradDayA kIrtanam kuru // SatvT_6.220
   viṣṇor nāmasahasraṃ te bhagavatprītikāraṇam /	vizNoH nAma-sahasram te Bagavat-prIti-kAraNam /
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   dhanyo 'smy anugṛhīto 'smi tvayātikaruṇātmanā /	DanyaH asmi anugRhItaH asmi tvayA-ati-karuNA-AtmanA /
   yataḥ kṛṣṇasya paramaṃ sahasraṃ nāmakīrtitam // SatvT_6.221	yatas kRzNasya paramam sahasram nAma-kIrtitam // SatvT_6.221
   yady ālasyāt pramādād vā sarvaṃ paṭhitum anvaham /	yadi AlasyAt pramAdAt vA sarvam paWitum anvaham /
   na śaknomi tadā deva kiṃ karomi vada prabho // SatvT_6.222	na Saknomi tadA deva kim karomi vada praBo // SatvT_6.222
   śrīśiva uvāca /	SrI-SivaH uvAca /
   yadi sarvaṃ na śaknosi pratyahaṃ paṭhituṃ dvija /	yadi sarvam na Saknosi pratyaham paWitum dvija /
   tadā kṛṣṇeti kṛṣṇeti kṛṣṇeti pratyahaṃ vada // SatvT_6.223	tadA kRzNa-iti kRzNa-iti kRzNa-iti pratyaham vada // SatvT_6.223
   etena tava viprarṣe sarvaṃ sampadyate sakṛt /	etena tava vipra-Rze sarvam sampadyate sakRt /
   kiṃ punar bhagavannāmnāṃ sahasrasya prakīrtanāt // SatvT_6.224	kim punar Bagavat-nAmnAm sahasrasya prakIrtanAt // SatvT_6.224
   yan nāmakīrtanenaiva pumān saṃsārasāgaram /	yat nAma-kIrtanena-eva pumAn saMsAra-sAgaram /
   taraty addhā prapadye taṃ kṛṣṇaṃ gopālarūpiṇam // SatvT_6.225	tarati adDA prapadye tam kRzNam gopAla-rUpiNam // SatvT_6.225
   Sātvatatantra, saptamaḥ paṭalaḥ	SAtvata-tantra, saptamaH pawalaH
   śrīśiva uvāca /	SrI-SivaH uvAca /
   śṛṇvanti pratyahaṃ ye vai viṣṇor nāmasahasrakam /	SRNvanti pratyaham ye vE vizNoH nAma-sahasrakam /
   kīrtayanty athavā vipra saṃsmaranty ādareṇa vā // SatvT_7.1	kIrtayanti aTavA vipra saMsmaranti AdareNa vA // SatvT_7.1
   vā śataṃ vā viṃśatiṃ vāpi daśa vā pañca vā dvija /	vA Satam vA viMSatim vA-api daSa vA paQca vA dvija /
   ekaṃ vā kāmato bhaktyā viṣṇupādāmbujāśrayāḥ // SatvT_7.2	ekam vA kAmataH BaktyA vizNu-pAda-ambuja-ASrayAH // SatvT_7.2
   teṣāṃ phalasya puṇyānāṃ nāntaṃ paśyāmi nārada /	tezAm Palasya puNyAnAm na-antam paSyAmi nArada /
   yatas tair bhagavān eva parānando vaśīkṛtaḥ // SatvT_7.3	yatas tEH BagavAn eva parAnandaH vaSIkRtaH // SatvT_7.3
   yato nāmaiva paramaṃ tīrthaṃ kṣetraṃ ca puṇyadam /	yatas nAma-eva paramam tIrTam kzetram ca puNya-dam /
   nāmaiva paramaṃ daivaṃ nāmaiva paramaṃ tapaḥ // SatvT_7.4	nAma-eva paramam dEvam nAma-eva paramam tapaH // SatvT_7.4
   nāmaiva paramaṃ dānaṃ nāmaiva paramā kriyā /	nAma-eva paramam dAnam nAma-eva paramA kriyA /
   nāmaiva paramo dharmo nāmaivārthaḥ prakīrtitaḥ // SatvT_7.5	nAma-eva paramaH DarmaH nAma-eva-arTaH prakIrtitaH // SatvT_7.5
   nāmaiva kāmo bhaktānāṃ mokṣo 'pi nāma kevalam /	nAma-eva kAmaH BaktAnAm mokzaH api nAma kevalam /
   eṣāṃ ca sādhanaṃ nāma kāmināṃ dvijasattama // SatvT_7.6	ezAm ca sADanam nAma kAminAm dvijasattamaH // SatvT_7.6
   nāmaiva paramā bhaktir nāmaiva paramā gatiḥ /	nAma-eva paramA BaktiH nAma-eva paramA gatiH /
   nāmaiva paramaṃ jāpyaṃ nāmaiva prārthanaṃ param // SatvT_7.7	nAma-eva paramam jApyam nAma-eva prArTanam param // SatvT_7.7
   niṣkāmānāṃ dhanaṃ nāma muktibhuktisukhārthavat /	nizkAmAnAm Danam nAma mukti-Bukti-suKa-arTavat /
   nāma syāt paramaṃ saukhyaṃ nāmaiva vairāgyakāraṇam // SatvT_7.8	nAma syAt paramam sOKyam nAma-eva vErAgya-kAraNam // SatvT_7.8
   sattvaśuddhikaraṃ nāma nāma jñānapradaṃ smṛtam /	sattva-SudDi-karam nAma nAma jQAna-pradam smRtam /
   mumukṣūṇāṃ muktipadaṃ kāmināṃ sarvakāmadam // SatvT_7.9	mumukzUNAm mukti-padam kAminAm sarva-kAma-dam // SatvT_7.9
   vaiṣṇavānāṃ phalaṃ nāma tasmān nāma sadā smaret /	vEzNavAnAm Palam nAma tasmAt nAma sadA smaret /
   saṃketitāt pārihāsyād dhelanājvaratāpataḥ // SatvT_7.10	saMketitAt pArihAsyAt DelanA-jvara-tApataH // SatvT_7.10
   kīrtitaṃ bhagavannāma sarvapāpaharaṃ smṛtam /	kIrtitam Bagavat-nAma sarva-pApa-haram smRtam /
   yāvatī pāpanirhāre śaktir nāmni hareḥ sthitā // SatvT_7.11	yAvatI pApa-nirhAre SaktiH nAmni hareH sTitAH // SatvT_7.11
   tāvat pāpijanaḥ pāpaṃ kartuṃ śaknoti naiva hi /	tAvat pApi-janaH pApam kartum Saknoti na-eva hi /
   jñānājñānād dharer nāmakīrtanāt puruṣasya hi // SatvT_7.12	jQAna-ajQAnAt DareH nAma-kIrtanAt puruzasya hi // SatvT_7.12
   pāparāśiṃ dahaty āśu yathā tūlaṃ vibhāvasuḥ /	pApa-rASim dahati ASu yaTA tUlam viBAvasuH /
   saṃkīrtitaṃ harer nāma śraddhayā puruṣeṇa vai // SatvT_7.13	saMkIrtitam hareH nAma SradDayA puruzeNa vE // SatvT_7.13
   tasya satyaphalaṃ dhatte kramaśo dvijasattamaḥ /	tasya satya-Palam Datte kramaSas dvijasattamaH /
   pāpanāśaṃ mahāpuṇyaṃ vairāgyaṃ ca caturvidham // SatvT_7.14	pApa-nASam mahA-puNyam vErAgyam ca caturviDam // SatvT_7.14
   gurusevām ātmabodhaṃ bhrāntināśam anantaram /	guru-sevAm Atma-boDam BrAnti-nASam anantaram /
   sampūrṇānandabodhaṃ ca tatas tasmin labhet sthiram // SatvT_7.15	sampUrNa-Ananda-boDam ca tatas tasmin laBet sTiram // SatvT_7.15
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   caturvidhaṃ tvayā proktaṃ vairāgyaṃ surasattama /	caturviDam tvayA proktam vErAgyam sura-sattamaH /
   etad varṇaya lokasya hitāya jñānakāraṇam // SatvT_7.16	etat varNaya lokasya hitAya jQAna-kAraNam // SatvT_7.16
   śrīśiva uvāca /	SrI-SivaH uvAca /
   asaṅgarahito bhogaḥ kriyate puruṣeṇa yat /	asaFga-rahitaH BogaH kriyate puruzeNa yat /
   viṣayāṇāṃ dvijaśreṣṭha tadamānaḥ prakīrtitaḥ // SatvT_7.17	vizayANAm dvijaSrezWa tadamAnaH prakIrtitaH // SatvT_7.17
   bhogye svāduvihīne 'pi kriyate vṛttir ātmanaḥ /	Bogye svAdu-vihIne api kriyate vRttiH AtmanaH /
   dvitīyo vyatirekākhyas tad vijānīhi sattama // SatvT_7.18	dvitIyaH vyatireka-AKyaH tat vijAnIhi sattamaH // SatvT_7.18
   manasaḥ prītirāhitye indriyair evaṃ bhujyate /	manasaH prIti-rAhitye indriyEH evam Bujyate /
   bhogas tṛtīyaḥ puruṣair indriyākhyaḥ prakīrtitaḥ // SatvT_7.19	BogaH tRtIyaH puruzEH indriya-AKyaH prakIrtitaH // SatvT_7.19
   manasaś cendriyāṇāṃ ca rāgarāhityam uttamam /	manasaH ca-indriyANAm ca rAgarAhityam uttamam /
   viṣayāharaṇaṃ vipra caturthaḥ parikīrtitaḥ // SatvT_7.20	vizaya-AharaNam vipra caturTaH parikIrtitaH // SatvT_7.20
   eṣa nāma paraś cāśu jāyate dvijasattama /	eza nAma paraH ca-ASu jAyate dvijasattamaH /
   jñānaṃ ca paramaṃ śuddhaṃ brahmānandapradāyakam // SatvT_7.21	jQAnam ca paramam SudDam brahma-Ananda-pradAyakam // SatvT_7.21
   tīrthair dānais tapobhiś ca homair jātyair vratamaikhaiḥ /	tIrTEH dAnEH tapoBiH ca homEH jAtyEH vrata-mEKEH /
   yogaiś ca vividhair vipra yad viṣṇoḥ paramaṃ padam // SatvT_7.22	yogEH ca viviDEH vipra yat vizNoH paramam padam // SatvT_7.22
   na yānti mānavās tad vai nāmakīrtanamātrataḥ /	na yAnti mAnavAH tat vE nAma-kIrtana-mAtrataH /
   saṃyānty eva na saṃdehaṃ kuru vipra haripriyam // SatvT_7.23	saMyAnti eva na saMdeham kuru vipra haripriyam // SatvT_7.23
   mahāpātakayukto 'pi kīrtayitvā jagadgurum /	mahApAtaka-yuktaH api kIrtayitvA jagadgurum /
   taraty eva na saṃdehaḥ satyam eva vadāmy aham // SatvT_7.24	tarati eva na saMdehaH satyam eva vadAmi aham // SatvT_7.24
   kalikālamalaṃ cāpi sarvapātakam eva ca /	kali-kAla-malam ca-api sarva-pAtakam eva ca /
   hitvā nāmaparo vipra viṣṇulokaṃ sa gacchati // SatvT_7.25	hitvA nAma-paraH vipra vizNu-lokam sa gacCati // SatvT_7.25
   tasmān nāmaikamātreṇa taraty eva bhavārṇavam /	tasmAt nAma-eka-mAtreNa tarati eva Bava-arNavam /
   pumān atra na saṃdeho vinā nāmāparādhataḥ // SatvT_7.26	pumAn atra na saMdehaH vinA nAma-aparADataH // SatvT_7.26
   tadyatnenaiva puruṣaḥ śreyaskāmo dvijottamaḥ /	tat-yatnena-eva puruzaH SreyaskAmaH dvijottamaH /
   viṣṇor na kuryān nāmnas tu daśapāpān kathaṃcana // SatvT_7.27	vizNoH na kuryAt nAmnaH tu daSa-pApAn kaTaMcana // SatvT_7.27
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   śruto bhagavato vaktrād dvāviṃśadaparādhakam /	SrutaH BagavataH vaktrAt dvAviMSat-aparADakam /
   viṣṇor nāmnā daśa tathā etad varṇaya no prabho // SatvT_7.28	vizNoH nAmnA daSa taTA etat varNaya no praBo // SatvT_7.28
   śrīśiva uvāca /	SrI-SivaH uvAca /
   śrūyatām aparādhān vai viṣṇor vakṣyāmi nārada /	SrUyatAm aparADAn vE vizNoH vakzyAmi nArada /
   yān kṛtvā narakaṃ yānti mānavāḥ satataṃ mune // SatvT_7.29	yAn kRtvA narakam yAnti mAnavAH satatam mune // SatvT_7.29
   asnātvā sparśanaṃ viṣṇor vinā śaṅkhena snāpanam /	asnAtvA sparSanam vizNoH vinA SaFKena snApanam /
   aśauce sparśanaṃ sākṣād bhuktā pādodakagrahaḥ vā // SatvT_7.30	aSOce sparSanam sAkzAt BuktA pAda-udaka-grahaH vA // SatvT_7.30
   vinā śabdena pūjā ca vinā naivedyapūjanam /	vinA Sabdena pUjA ca vinA nEvedya-pUjanam /
   uccāsanasthapūjā ca śīte vyajanavātakam // SatvT_7.31	ucca-Asana-sTa-pUjA ca SIte vyajana-vAtakam // SatvT_7.31
   udakyādarśanaṃ caiva ghaṇṭāyā bhūniveśanam /	udakyA-darSanam ca-eva GaNwAyAH BU-niveSanam /
   pauṣe ca candanasparśo grīṣme cāsparśanaṃ tathā // SatvT_7.32	pOze ca candana-sparSaH grIzme ca-asparSanam taTA // SatvT_7.32
   puṣpaṃ toyena saṃsparśaṃ vinā homaṃ mahotsavaḥ /	puzpam toyena saMsparSam vinA homam mahA-utsavaH /
   pūjāṃ kṛtvā pṛṣṭhadarśam agre ca bhramaṇaṃ tathā // SatvT_7.33	pUjAm kRtvA pRzWa-darSam agre ca BramaNam taTA // SatvT_7.33
   bhojanaṃ bhagavadvāre abhuktvā ca viṣādatā /	Bojanam Bagavat-vAre aBuktvA ca vizAda-tA /
   pādukārohaṇaṃ viṣṇor gehe kambalaveśanam // SatvT_7.34	pAdukA-ArohaNam vizNoH gehe kambala-veSanam // SatvT_7.34
   vāmapādapraveśaś ca kūrdanaṃ pākabhojanam /	vAma-pAda-praveSaH ca kUrdanam pAka-Bojanam /
   śleṣmaprakṣepaṇaṃ caiva tattṛṇair dantadhāvanam // SatvT_7.35	Slezma-prakzepaNam ca-eva tat-tRNEH dantaDAvanam // SatvT_7.35
   devāgre vāhanāroho naivedye dravyabuddhitā /	deva-agre vAhana-ArohaH nEvedye dravya-budDi-tA /
   śālagrāme sthirāyāṃ ca śileti pratimeti ca // SatvT_7.36	SAlagrAme sTirAyAm ca SilA-iti pratimA-iti ca // SatvT_7.36
   harikīrter asaṃślāghā vaiṣṇave narasāmyatā /	hari-kIrteH asaMSlAGA vEzNave nara-sAmya-tA /
   viṣṇau ca devatāsāmyam anyoddeśanivedanam // SatvT_7.37	vizNO ca devatA-sAmyam anya-uddeSa-nivedanam // SatvT_7.37
   ete 'parādhā dvātriṃśad viṣṇor nāmnām atha śṛṇu /	ete aparADAH dvAtriMSat vizNoH nAmnAm aTa SRNu /
   satāṃ nāmnā śive viṣṇau bhidācāryāvamānatā // SatvT_7.38	satAm nAmnA Sive vizNO BidAcArya-avamAna-tA // SatvT_7.38
   vedanindā nāmni vādaḥ pāpecchā nāmasāhasāt /	veda-nindA nAmni vAdaH pApa-icCA nAma-sAhasAt /
   nāmno dharmaiḥ sāmyabuddhir dānaṃ śraddhāvivarjitaiḥ // SatvT_7.39	nAmnaH DarmEH sAmya-budDiH dAnam SradDA-vivarjitEH // SatvT_7.39
   śrutvāpi śraddhārāhityaṃ kīrtane cāpy ahaṃmatiḥ /	SrutvA-api SradDArAhityam kIrtane ca-api ahaMmatiH /
   ete nāmnāṃ dvijaśreṣṭha hy aparādhā mayeritāḥ // SatvT_7.40	ete nAmnAm dvijaSrezWa hi aparADAH mayA-IritAH // SatvT_7.40
   varjanīyā nṛbhir yatnair yato narakakāraṇāḥ /	varjanIyAH nRBiH yatnEH yatas naraka-kAraNAH /
   śrīnārada uvāca // SatvT_7.41	SrI-nAradaH uvAca // SatvT_7.41
   viṣayāsaktacittānāṃ prākṛtānāṃ nṛṇāṃ prabho /	vizaya-Asakta-cittAnAm prAkRtAnAm nRNAm praBo /
   aparādhā harer āśu varjyā naiva bhavanti hi // SatvT_7.42	aparADAH hareH ASu varjyAH na-eva Bavanti hi // SatvT_7.42
   ato yena prakāreṇa taranti prākṛtā api /	atas yena prakAreNa taranti prAkRtAH api /
   aparādhān kṛtān deva tan mamākhyātum arhasi // SatvT_7.43	aparADAn kRtAn deva tat mama-AKyAtum arhasi // SatvT_7.43
   śrīśiva uvāca /	SrI-SivaH uvAca /
   pradakṣiṇaśataṃ kṛtvā daṇḍavat praṇamed bhuvi /	pradakziNa-Satam kRtvA daNxa-vat praNamet Buvi /
   aparādhaśataṃ tasya kṣamate svasya keśavaḥ // SatvT_7.44	aparADa-Satam tasya kzamate svasya keSavaH // SatvT_7.44
   pradakṣiṇaṃ sakṛt kṛtvā yo na jānuśiraṃ namet /	pradakziNam sakRt kRtvA yaH na jAnu-Siram namet /
   niṣphalaṃ tad bhavet tasya tasmāt pratyekaśo namet // SatvT_7.45	nizPalam tat Bavet tasya tasmAt pratyekaSaH namet // SatvT_7.45
   jagannātheti te nāma vyāhariṣyanti te yadi /	jagannATa-iti te nAma vyAharizyanti te yadi /
   aparādhaśataṃ teṣāṃ kṣamate nātra saṃśayaḥ // SatvT_7.46	aparADa-Satam tezAm kzamate na-atra saMSayaH // SatvT_7.46
   nāmno 'parādhās tarati nāmna eva sadā japāt /	nAmnaH aparADAH tarati nAmnaH eva sadA japAt /
   vinā bhaktāparādhena tatprasādavivarjitaḥ // SatvT_7.47	vinA Bakta-aparADena tad-prasAda-vivarjitaH // SatvT_7.47
   sarvāparādhāṃs tarati viṣṇupādāmbujāśrayaḥ /	sarva-aparADAn tarati vizNu-pAda-ambuja-ASrayaH /
   viṣṇor apy aparādhān vai nāmasaṃkīrtanāt taret // SatvT_7.48	vizNoH api aparADAn vE nAma-saMkIrtanAt taret // SatvT_7.48
   viṣṇubhaktāparādhānāṃ naivāsty anyā pratikriyā /	vizNu-Bakta-aparADAnAm na-eva-asti anyA pratikriyA /
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   bhaktāparādhān me brūhi yathā teṣāṃ pratikriyā /	Bakta-aparADAt me brUhi yaTA tezAm pratikriyA /
   anugrahāya lokānāṃ bhagavan mama cāpi hi // SatvT_7.49	anugrahAya lokAnAm Bagavat mama ca-api hi // SatvT_7.49
   śrīśiva uvāca /	SrI-SivaH uvAca /
   viṣṇubhaktasya sarvasvaharaṇaṃ dvijasattama /	vizNu-Baktasya sarva-sva-haraNam dvijasattamaH /
   bhartsanaṃ cottame bhakte svapne cāpi prahāraṇam // SatvT_7.50	Bartsanam ca-uttame Bakte svapne ca-api prahAraNam // SatvT_7.50
   ete 'parādhā bhaktānāṃ śṛṇv eṣāṃ pratikriyā /	ete aparADAH BaktAnAm SRNu ezAm pratikriyA /
   taddhanaṃ dviguṇaṃ dattvā kṛtvā pādābhivandanam // SatvT_7.51	tat-Danam dviguNam dattvA kRtvA pAda-aBivandanam // SatvT_7.51
   kathayen me kṣamasveti taddoṣaṃ dhanakarṣaṇam /	kaTayet me kzamasva-iti tad-dozam Dana-karzaNam /
   yāvat tadbhartsanaṃ kṛtvā tāvan māsān samāhitaḥ // SatvT_7.52	yAvat tad-Bartsanam kRtvA tAvat mAsAn samAhitaH // SatvT_7.52
   nirmatsaraḥ paricaret tatprasādena śudhyati /	nirmatsaraH paricaret tad-prasAdena SuDyati /
   yāvaj jīvaṃ prahāre tu paricaryed atandritaḥ // SatvT_7.53	yAvat jIvam prahAre tu paricaryet atandritaH // SatvT_7.53
   tatprasādena tatpāpān niṣkṛtir nānyathā bhavet /	tad-prasAdena tad-pApAt nizkRtiH na-anyaTA Bavet /
   akṛtvā niṣkṛtīn etān narakān nāsti niṣkṛtiḥ // SatvT_7.54	akRtvA nizkRtIn etAn narakAt na-asti nizkRtiH // SatvT_7.54
   ajñānataḥ kṛte vipra tatprasādena naśyati /	ajQAnataH kRte vipra tad-prasAdena naSyati /
   jñānāt tu dviguṇaṃ kuryād eṣa dharmaḥ sanātanaḥ // SatvT_7.55	jQAnAt tu dviguNam kuryAt eza DarmaH sanAtanaH // SatvT_7.55
   putre śiṣye ca jāyāyāṃ śāsane nāsti dūṣaṇam /	putre Sizye ca jAyAyAm SAsane na-asti dUzaNam /
   anyayā tu kṛte doṣo bhavaty eva na saṃśayaḥ // SatvT_7.56	anyayA tu kRte dozaH Bavati eva na saMSayaH // SatvT_7.56
   keśākarṣe padāghāte mukhe ca carpaṭe kṛte /	keSa-Akarze pada-AGAte muKe ca carpawe kRte /
   na niṣkṛtiṃ prapaśyāmi tasmāt tān na samācaret // SatvT_7.57	na nizkRtim prapaSyAmi tasmAt tAn na samAcaret // SatvT_7.57
   Sātvatatantra, aṣṭamaḥ paṭalaḥ	SAtvata-tantra, azwamaH pawalaH
   śrīśiva uvāca /	SrI-SivaH uvAca /
   atha te sampravakṣyāmi rahasyaṃ hy etad uttamam /	aTa te sampravakzyAmi rahasyam hi etat uttamam /
   yac chraddhayā tu tiṣṭhan vai harau bhaktir dṛḍhā bhavet // SatvT_8.1	yat SradDayA tu tizWan vE harO BaktiH dRXA Bavet // SatvT_8.1
   deve tīrthe ca dharme ca viśvāsaṃ tāpatāraṇāt /	deve tIrTe ca Darme ca viSvAsam tApa-tAraNAt /
   taddhitvā kṛṣṇapādāmbuśaraṇaṃ praviśen mudā // SatvT_8.2	tat-hitvA kRzNa-pAda-ambu-SaraNam praviSet mudA // SatvT_8.2
   śaraṇaṃ me jagannāthaḥ śrīkṛṣṇaḥ puruṣottamaḥ /	SaraNam me jagannATaH SrI-kRzNaH puruzottamaH /
   tannāmni svagurau caiva brūyād etat samāhitaḥ // SatvT_8.3	tad-nAmni sva-gurO ca-eva brUyAt etat samAhitaH // SatvT_8.3
   hitvānyadevatāpūjāṃ balidānādinā dvija /	hitvA-anya-devatA-pUjAm bali-dAna-AdinA dvija /
   ekam eva yajet kṛṣṇaṃ sarvadevamayaṃ dhiyā // SatvT_8.4	ekam eva yajet kRzNam sarva-deva-mayam DiyA // SatvT_8.4
   nityaṃ naimitakaṃ kāryaṃ tathāvaśyakam eva ca /	nityam nEmitakam kAryam taTA-AvaSyakam eva ca /
   gṛhāśramī viṣṇubhaktaḥ kuryāt kṛṣṇaṃ dhiyā smaran // SatvT_8.5	gRhASramI vizNu-BaktaH kuryAt kRzNam DiyA smaran // SatvT_8.5
   eteṣu cānyadevānāṃ yā pūjā vidhinā smṛtā /	etezu ca-anya-devAnAm yA pUjA viDinA smRtA /
   sāpi kṛṣṇārcanāt paścāt kriyeta hṛdi taṃ smaran // SatvT_8.6	sA-api kRzNa-arcanAt paScAt kriyeta hRdi tam smaran // SatvT_8.6
   anyadā tv anyadevānāṃ pṛthakpūjāṃ na ca smaret /	anyadA tu anya-devAnAm pRTak-pUjAm na ca smaret /
   kāmyaṃ niṣiddhaṃ ca tathā naiva kuryāt kadācana // SatvT_8.7	kAmyam nizidDam ca taTA na-eva kuryAt kadAcana // SatvT_8.7
   kalatraputramitrādīn hitvā kṛṣṇaṃ samāśritāḥ /	kalatra-putra-mitra-AdIn hitvA kRzNam samASritAH /
   harikīrtiratā ye ca teṣāṃ kṛtyaṃ na vidyate // SatvT_8.8	hari-kIrti-ratAH ye ca tezAm kRtyam na vidyate // SatvT_8.8
   kṛtvānyadevatāpūjāṃ sakāmāṃ balinā dvija /	kRtvA-anya-devatA-pUjAm sa-kAmAm balinA dvija /
   bhaktibhraṣṭo bhaved āśu saṃsārān na nivartate // SatvT_8.9	Bakti-BrazwaH Bavet ASu saMsArAt na nivartate // SatvT_8.9
   kāmātmā niranukrośaḥ paśughātaṃ samācaran /	kAma-AtmA niranukroSaH paSu-GAtam samAcaran /
   paśulomasamaṃ varṣaṃ narake paripacyate // SatvT_8.10	paSu-loma-samam varzam narake paripacyate // SatvT_8.10
   yajñe paśor ālabhane naiva doṣo 'sti yad vacaḥ /	yajQe paSoH AlaBane na-eva dozaH asti yat vacaH /
