   1st kāṇḍa	1st kANxa
   aviprayogaḥ sādhutve vyutpattir anavasthitā /	aviprayogaH sADu tve vyutpattiH anavasTitA /
   upāyān pratipattīnāṃ nābhimanyeta satyataḥ // BVaky_3,14.77 //	upAyAn pratipattInAm na aBimanyeta satyataH // BVakI _3,14.77 //
   yathaiva ḍitthe davatiḥ pācake pacatis tathā /	yaTA eva xitTe davatiH pAcake pacatiH taTA /
   ḍayatiś ca paciś caiva dvāv apy etāv alaukikau // BVaky_3,14.78 //	xayatiH ca paciH ca eva dvO api etO alOkikO // BVakI _3,14.78 //
   prakṛtipratyayāv ūhyau padāt tābhyāṃ padaṃ tathā /	prakRti pratyayO UhyO padAt tAByAm padam taTA /
   anubandhasvarādibhyaḥ śiṣṭaiḥ śāstraṃ na tān prati // BVaky_3,14.79 //	anubanDa svara AdiByaH SizwEH SAstram na tAn prati // BVakI _3,14.79 //
   śāstradṛṣṭis tu śāstrasya prāptimātre 'py aniścite /	SAstra dRzwiH tu SAstrasya prApti mAtre api aniScite /
   yujyate pratyavāyena śāstraṃ cakṣur apaśyatām // BVaky_3,14.80 //	yujyate pratyavAyena SAstram cakzuH apaSyatAm // BVakI _3,14.80 //
   arthāntarābhidhānāc ca paurvāparyaṃ na bhidyate /	arTa antara aBiDAnAt ca pOrvAparyam na Bidyate /
   rājadantāhitāgnyādi  rājāśvādiṣu sarvathā // BVaky_3,14.81 //	rAja danta AhitAgni Adi rAja aSva Adizu sarvaTA // BVakI _3,14.81 //
   vinaiva pratyayair vṛttau ye bhinnārthābhidhāyinaḥ /	vinA eva pratyayEH vRttO ye Binna arTa aBiDAyinaH /
   gargādayo lukā teṣāṃ sādhutvam anugamyate // BVaky_3,14.82 //	garga AdayaH lukA tezAm sADu tvam anugamyate // BVakI _3,14.82 //
   [so 'yam ity abhisaṃbandhāt pratyayena vinā yadi /	[saH ayam iti aBisaMbanDAt pratyayena vinA yadi /
   bhṛgvādayaḥ prayujyeran nāpatye niyamo bhavet // BVaky_3,14.83 *//	BRgu AdayaH prayujyeran na apatye niyamaH Bavet // BVakI _3,14.83 *//
   so 'yam ity abhisaṃbandhe liṅgopavyañjanād ṛte /	saH ayam iti aBisaMbanDe liFga upavyaQjanAt Rte /
   praṣṭhādiṣu na jāyaiva niyamena pratīyate // BVaky_3,14.84 //	prazWA Adizu na jAyA eva niyamena pratIyate // BVakI _3,14.84 //
   mānameyābhisaṃbandha  viśeṣe 'ṅgīkṛte tathā /	mAna meya aBisaMbanDa viSeze aFgIkRte taTA /
   prasthādīnām asādhutvaṃ taddhitena vinā bhavet // BVaky_3,14.85 //	prasTa AdInAm asADu tvam tat hitena vinA Bavet // BVakI _3,14.85 //
   taddhito yogabhedena vākyaṃ vā syād vibhāṣitam /	tad hitaH yoga Bedena vAkyam vA syAt viBAzitam /
   parimāṇādhike tatra prathamā śiṣyate punaḥ // BVaky_3,14.86 //	parimANa aDike tatra praTamA Sizyate punar // BVakI _3,14.86 //
   vyatiriktasya sādhutve tad eva ca nidarśanam /	vyatiriktasya sADu tve tat eva ca nidarSanam /
   yujyate 'ṅgīkṛtādhikyaṃ tat sarvābhir vibhaktibhiḥ // BVaky_3,14.87 //	yujyate aFgIkRta ADikyam tat sarvABiH viBaktiBiH // BVakI _3,14.87 //
   śuklādiṣu matublopo vyatirekasya darśanāt /	Sukla Adizu matublopaH vyatirekasya darSanAt /
   asādhutvanivṛttyarthaṃ sādhavas te bidādivat // BVaky_3,14.88 //	asADu tva nivRtti arTam sADavaH te bida Adi vat // BVakI _3,14.88 //
   viśeṣaṇād viśeṣye 'rthe tadbhāvābhyuccaye sati /	viSezaNAt viSezye arTe tad BAva aByuccaye sati /
   punaś ca pratisaṃhāre vṛttim eke pracakṣate // BVaky_3,14.89 //	punar ca pratisaMhAre vRttim eke pracakzate // BVakI _3,14.89 //
   nimitte pratyayaḥ pūrvo nānuprāpto nimittinā /	nimitte pratyayaH pUrvaH na anuprAptaH nimittinA /
   nimittavati buddheś ca na nimittasarūpatā // BVaky_3,14.90 //	nimittavati budDeH ca na nimitta sarUpa tA // BVakI _3,14.90 //
   saṃskārasahitāj jñānān nopaślesaḥ smṛter api /	saMskAra sahitAt jQAnAt na upaSlesaH smRteH api /
   vyāpāre tannimittānāṃ na grāhyaṃ syāt tathā sthitam // BVaky_3,14.91 //	vyApAre tad nimittAnAm na grAhyam syAt taTA sTitam // BVakI _3,14.91 //
   antaḥkaraṇavṛttau ca vyarthā bāhyārthakalpanā /	antaHkaraNa vRttO ca vyarTA bAhya arTa kalpanA /
   tasmād anupakāre vā grāhyaṃ vā na tathā sthitam // BVaky_3,14.92 //	tasmAt anupakAre vA grAhyam vA na taTA sTitam // BVakI _3,14.92 //
   anusyūteva saṃsṛṣṭair arthe buddhiḥ pravartate /	anusyUtA iva saMsRzwEH arTe budDiH pravartate /
   vyākhyātāro vibhajyārthāṃs tān bhedena pracakṣate // BVaky_3,14.93 //	vyAKyAtAraH viBajya arTAn tAn Bedena pracakzate // BVakI _3,14.93 //
   tadātmany avibhakte ca buddhyantaram upāśritāḥ /	tad Atmani aviBakte ca budDi antaram upASritAH /
   vibhāgam iva manyante viśeṣaṇaviśeṣyayoḥ // BVaky_3,14.94 //	viBAgam iva manyante viSezaNa viSezyayoH // BVakI _3,14.94 //
   abudhān prati vṛttiṃ ca vartayantaḥ prakalpitām /	abuDAn prati vRttim ca vartayantaH prakalpitAm /
   āhuḥ parārthavacane tyāgābhyuccayadharmatām // BVaky_3,14.95 //	AhuH para arTa vacane tyAga aByuccaya Darma tAm // BVakI _3,14.95 //
   anvayād gamyate so 'rtho virodhī vā nivartate /	anvayAt gamyate saH arTaH viroDI vA nivartate /
   dvyartham arthāntare vāpi tatrāhur upasarjanam // BVaky_3,14.96 //	dvi arTam arTa antare vA api tatra AhuH upasarjanam // BVakI _3,14.96 //
   upāyamātraṃ nānātvaṃ samūhas tv eka eva saḥ /	upAya mAtram nAnAtvam samUhaH tu ekaH eva saH /
   vikalpābhyuccayābhyāṃ vā bhedasaṃsargakalpanā // BVaky_3,14.97 //	vikalpa aByuccayAByAm vA Beda saMsarga kalpanAH // BVakI _3,14.97 //
   vṛttiṃ vartayatām evam abudhapratipattaye /	vRttim vartayatAm evam abuDa pratipattaye /
   bhinnāḥ saṃbodhanopāyāḥ puruṣeṣv anavasthitāḥ // BVaky_3,14.98 //	BinnAH saMboDana upAyAH puruzezu anavasTitAH // BVakI _3,14.98 //
   vācikā dyotikā vāpi saṃkhyānāṃ vā vibhaktayaḥ /	vAcikA dyotikAH vA api saMKyAnAm vA viBaktayaH /
   tadrūpe 'vayave vṛttau saṃkhyābhedo nivartate // BVaky_3,14.99 //	tad rUpe avayave vRttO saMKyA BedaH nivartate // BVakI _3,14.99 //
   abhedaikatvasaṃkhyā vā tatrānyaivopajāyate /	aBeda ekatva saMKyA vA tatra anyA eva upajAyate /
   saṃsargarupaṃ saiṃkhyānām avibhaktaṃ tad ucyate // BVaky_3,14.100 //	saMsargarupam sEMKyAnAm aviBaktam tat ucyate // BVakI _3,14.100 //
   yathauṣadhirasāḥ sarve madhuny āhitaśaktayaḥ /	yaTA ozaDi rasAH sarve maDuni Ahita SaktayaH /
   avibhāgena vartante tāṃ saṃkhyāṃ tādṛśīṃ viduḥ // BVaky_3,14.101 //	aviBAgena vartante tAm saMKyAm tAdRSIm viduH // BVakI _3,14.101 //
   bhedānāṃ vā parityāgāt saṃkhyātmā sa tathāvidhaḥ /	BedAnAm vA parityAgAt saMKyA AtmA sa taTAviDaH /
   vyāpārāj jātibhāgasya bhedāpohena vartate // BVaky_3,14.102 //	vyApArAt jAti BAgasya Beda apohena vartate // BVakI _3,14.102 //
   agṛhītaviśeṣeṇa yathā rūpeṇa rūpavān /	agRhIta viSezeNa yaTA rUpeNa rUpavAn /
   prakhyāyate na śuklādi  bhedarūpas tu gṛhyate // BVaky_3,14.103 //	praKyAyate na Sukla Adi Beda rUpaH tu gRhyate // BVakI _3,14.103 //
   bhedarūpasamāveśe tathā saty avivakṣite /	Beda rUpa samAveSe taTA sati avivakzite /
   bhāgaḥ prakāśitaḥ kaś cic chāstre 'ṅgatvena gṛhyate // BVaky_3,14.104 //	BAgaH prakASitaH kaH cit SAstre aFga tvena gRhyate // BVakI _3,14.104 //
   saṃkḥyāsāmānyarūpeṇa tadā so 'mśaḥ pratīyate /	saMkHyA sAmAnya rUpeNa tadA saH amSas pratIyate /
   arthasyānekaśaktitve śabdair niyataśaktibhiḥ // BVaky_3,14.105 //	arTasya aneka Sakti tve SabdEH niyata SaktiBiH // BVakI _3,14.105 //
   avyayānāṃ ca yo dharmo yaś ca bhedavatāṃ kramaḥ /	avyayAnAm ca yaH DarmaH yaH ca BedavatAm kramaH /
   abhinnavyapadeśārham antarālaṃ tad etayoḥ // BVaky_3,14.106 //	aBinna vyapadeSa arham antarAlam tat etayoH // BVakI _3,14.106 //
   alukaś caikavadbhāvas tasmin sati na śiṣyate /	alukaH ca eka vat BAvaH tasmin sati na Sizyate /
   sa ca goṣucarādīnāṃ dharmo 'sti vacanāntare // BVaky_3,14.107 //	sa ca gozucara AdInAm DarmaH asti vacana antare // BVakI _3,14.107 //
   jātau dvivacanābhāvāt tad vṛttiṣu na vidyate /	jAtO dvivacana aBAvAt tat vRttizu na vidyate /
   pratyākhyāne tu yogasya dravye goṣucarādayaḥ // BVaky_3,14.108 //	pratyAKyAne tu yogasya dravye gozucara AdayaH // BVakI _3,14.108 //
   āśrayād bhedavattāyāḥ sarvabhedasamanvayaḥ /	ASrayAt Bedavat tAyAH sarva Beda samanvayaH /
   dravyābhidhānapakṣo 'pi jātyākhyāyāṃ na vidyate // BVaky_3,14.109 //	dravya aBiDAna pakzaH api jAti AKyAyAm na vidyate // BVakI _3,14.109 //
   sarvadravyagatiś caivam ekaśeṣaś ca nocyate /	sarva dravya gatiH ca evam eka SezaH ca na ucyate /
   pratyākhyāte 'nyathā sūtre bhinnadravyagatir bhavet // BVaky_3,14.110 //	pratyAKyAte anyaTA sUtre Binna dravya gatiH Bavet // BVakI _3,14.110 //
   vṛttau yo yuktavadbhāvo varaṇādiṣu śiṣyate /	vRttO yaH yukta vat BAvaH varaNa Adizu Sizyate /
   abhedaikatvasaṃkhyāyāṃ godau tatra na sidhyati // BVaky_3,14.111 //	aBeda ekatva saMKyAyAm godO tatra na siDyati // BVakI _3,14.111 //
   prāg vṛtter yuktavadbhāve ṣaṣṭhī bhedāśrayā bhavet /	prAk vRtteH yukta vat BAve zazWI Beda ASrayA Bavet /
   vṛttau saṃkhyāviśeṣāṇāṃ tyāgād bhedo nivartate // BVaky_3,14.112 //	vRttO saMKyA viSezANAm tyAgAt BedaH nivartate // BVakI _3,14.112 //
   vidyamānāsu saṃkhyāsu ke cit saṃkhyāntaraṃ viduḥ /	vidyamAnAsu saMKyAsu ke cit saMKyA antaram viduH /
   abhedākhyam upagrāhi vṛttau tac copajāyate // BVaky_3,14.113 //	aBeda AKyam upagrAhi vRttO tat ca upajAyate // BVakI _3,14.113 //
   vyāpāraṃ yāti bhedākhyais tat svair avayavaiḥ kva cit /	vyApAram yAti Beda AKyEH tat svEH avayavEH kva cit /
   ātmā bhedānapekṣo 'sya kva cid eti nimittatām // BVaky_3,14.114 //	AtmA Beda anapekzaH asya kva cit eti nimitta tAm // BVakI _3,14.114 //
   dāsyāḥ patir iti vyakto godāv iti ca dṛśyate /	dAsyAH patiH iti vyaktaH godO iti ca dRSyate /
   vyāpārabhedaḥ saṃkhyāyās tasmād eva vyavasthitaḥ // BVaky_3,14.115 //	vyApAra BedaH saMKyAyAH tasmAt eva vyavasTitaH // BVakI _3,14.115 //
   dvyādināṃ ca dviputrādau bāhyo bhedo nivartate /	dvi AdinAm ca dvi putra AdO bAhyaH BedaH nivartate /
   vibhaktivācyaḥ svārthatvān nimittaṃ tv avatiṣṭhate // BVaky_3,14.116 //	viBakti vAcyaH sva arTa tvAt nimittam tu avatizWate // BVakI _3,14.116 //
   dvitvopasarjane saṅghe dviśabdas tatra vartate /	dvi tva upasarjane saFGe dvi SabdaH tatra vartate /
   so 'yam ity abhisaṃbandhād ubhaśabde na tat tathā // BVaky_3,14.117 //	saH ayam iti aBisaMbanDAt uBa Sabde na tat taTA // BVakI _3,14.117 //
   ubhayas tatra tulyārtho vṛttau nityaṃ prayujyate /	uBayaH tatra tulya arTaH vRttO nityam prayujyate /
   sūtre 'pi nityagrahaṇaṃ tadartham abhidhīyate // BVaky_3,14.118 //	sUtre api nitya grahaNam tad arTam aBiDIyate // BVakI _3,14.118 //
   āpi ke cāparārthatvān nābheda upajāyate /	Api ke ca apara arTa tvAt nABeda upajAyate /
   ubhe iti tataḥ svārthe bhede vṛttiḥ prayujyate // BVaky_3,14.119 //	uBe iti tatas sva arTe Bede vRttiH prayujyate // BVakI _3,14.119 //
   strītvābhidhānapakṣe 'pi guṇabhāvaviparyayaḥ /	strItva aBiDAna pakze api guNa BAva viparyayaH /
   svabhāvād aparārthatvāt tatra bhedo na hīyate // BVaky_3,14.120 //	svaBAvAt apara arTa tvAt tatra BedaH na hIyate // BVakI _3,14.120 //
   tasmād dvivacanāṭ ṭāpaś cobhayo 'nyatra dṛśyate /	tasmAt dvivacanAj wApaH ca uBayaH anyatra dRSyate /
   pratyayaṃ tayapaṃ hitvā nāsty uttarapade punaḥ // BVaky_3,14.121 //	pratyayam tayapam hitvA na asti uttara pade punar // BVakI _3,14.121 //
   prāptiḥ pragṛhyasaṃjñāyā na syāt pratyayalakṣaṇāt /	prAptiH pragRhya saMjQAyAH na syAt pratyaya lakzaNAt /
   kumāryagāre na hy asti samāso vacanāntare // BVaky_3,14.122 //	kumArya gAre na hi asti samAsaH vacana antare // BVakI _3,14.122 //
   ekadvayor yañādināṃ vibhāṣā luṅ na kalpate /	eka dvayoH yaQA AdinAm viBAzA luk na kalpate /
   yauṣmākas tāvakaś ceti bhedābhāvān na sidhyati // BVaky_3,14.123 //	yOzmAkaH tAvakaH ca iti Beda aBAvAt na siDyati // BVakI _3,14.123 //
   dṛṣṭo gārgyatare bhedas tathā gargatarā iti /	dRzwaH gArgyatare BedaH taTA gargatarAH iti /
   yuṣmatpitā tvatpiteti tathādeśau vyavasthitau // BVaky_3,14.124 //	yuzmad pitA tvad pitA iti taTA AdeSO vyavasTitO // BVakI _3,14.124 //
   upādhibhūtā yā saṃkhyā prakṛtau samavasthitā /	upADi BUtA yA saMKyA prakRtO samavasTitAH /
   ādeśaiḥ samjnayā vāpi vibhaktyā vyajyate vinā // BVaky_3,14.125 //	AdeSEH samjnayA vA api viBaktyA vyajyate vinA // BVakI _3,14.125 //
   śaurpike māsajāte ca parimāṇaṃ svabhāvataḥ /	SOrpike mAsa jAte ca parimANam svaBAvataH /
   upādhibhūtām āśritya saṃkhyāṃ bhedena vartate // BVaky_3,14.1.26 //	upADiBUtAm ASritya saMKyAm Bedena vartate // BVakI _3,14.1.26 //
   vayasvini paricchedaḥ krīte cāpi na gamyate /	vayasvini paricCedaH krIte ca api na gamyate /
   iṣṭo 'bhedād ṛte tatra patimāṇam anarthakam // BVaky_3,14.127 //	izwaH aBedAt Rte tatra patimANam anarTakam // BVakI _3,14.127 //
   bhinnasyābhedavacanāt prasthādibhyaḥ śaso vidhiḥ /	Binnasya aBeda vacanAt prasTa AdiByaH SasaH viDiH /
   taddharmatvād abhedāt tu ghaṭādibhyo na dṛśyate // BVaky_3,14.128 //	tad Darma tvAt aBedAt tu Gawa AdiByaH na dRSyate // BVakI _3,14.128 //
   śrūyate vacanaṃ yatra bhāvas tatra viśiṣyate /	SrUyate vacanam yatra BAvaH tatra viSizyate /
   nivartate yad vacanaṃ tasya bhāvo na vidyate // BVaky_3,14.129 //	nivartate yat vacanam tasya BAvaH na vidyate // BVakI _3,14.129 //
   kāryaṃ sattāśrayaṃ śāstrād apravṛttir adarśanam /	kAryam sattA ASrayam SAstrAt apravRttiH adarSanam /
   vākye dṛṣṭaṃ yad atyantam abhāvas tasya vṛttiṣu // BVaky_3,14.130 //	vAkye dRzwam yat atyantam aBAvaH tasya vRttizu // BVakI _3,14.130 //
   samjñāviṣayabhedārthaṃ prasaktādarśanaṃ smṛtam /	samjQA vizaya Beda arTam prasakta adarSanam smRtam /
   śrūyamānaṃ tu vacanaṃ viśiṣṭam upalabhyate // BVaky_3,14.131 //	SrUyamAnam tu vacanam viSizwam upalaByate // BVakI _3,14.131 //
   abhāvo vā luko yatra rūpavān vā vidhīyate /	aBAvaH vA lukaH yatra rUpavAn vA viDIyate /
   vyabhicārān nimittasya tatrāsādhuḥ prasajyate // BVaky_3,14.132 //	vyaBicArAt nimittasya tatra asADuH prasajyate // BVakI _3,14.132 //
   bhedaḥ saṃkhyāviśeṣo vā vyākhyāto vṛttivākyayoḥ /	BedaH saMKyA viSezaH vA vyAKyAtaH vRtti vAkyayoH /
   sarvatraiva viśeṣas tu nāvaśyaṃ tādṛśo bhavet // BVaky_3,14.133 //	sarvatra eva viSezaH tu na avaSyam tAdRSaH Bavet // BVakI _3,14.133 //
   āteś ca bhedahetutvān na liṅgena viśeṣyate /	AteH ca Beda hetu tvAt na liFgena viSezyate /
   pradhānaṃ mṛgadugdhādau gārgīputre na sa kramaḥ // BVaky_3,14.134 //	praDAnam mRga dugDa AdO gArgI putre na sa kramaH // BVakI _3,14.134 //
   abhede liṅgasaṃkhyābhyāṃ yogāc chuklaṃ paṭā iti /	aBede liFga saMKyAByAm yogAt Suklam pawAH iti /
   prasakte śāstram ārabdhaṃ siddhaye liṅgasaṃkhyayoḥ // BVaky_3,14.135 //	prasakte SAstram ArabDam sidDaye liFga saMKyayoH // BVakI _3,14.135 //
   parārthaṃ śeṣabhāvaṃ yo vṛttiṣu pratipadyate /	para arTam Seza BAvam yaH vRttizu pratipadyate /
   guṇo viśeṣaṇatvena sa sūtre vyapadiśyate // BVaky_3,14.136 //	guNaH viSezaNa tvena sa sUtre vyapadiSyate // BVakI _3,14.136 //
   śabdāntaratvād vākyeṣu viśeṣā yady api śrutāḥ /	Sabda antara tvAt vAkyezu viSezAH yadi api SrutAH /
   vṛtter abhinnarūpatvāt teṣu vṛttir na vidyate // BVaky_3,14.137 //	vRtteH aBinna rUpa tvAt tezu vRttiH na vidyate // BVakI _3,14.137 //
   rūpāc ca śabdasaṃskāraḥ sāmānyaviṣayo yataḥ /	rUpAt ca Sabda saMskAraH sAmAnya vizayaH yatas /
   tasmāt tadāśrayaṃ liṅgaṃ vacanaṃ ca prasajyate // BVaky_3,14.138 //	tasmAt tad ASrayam liFgam vacanam ca prasajyate // BVakI _3,14.138 //
   saliṅgaṃ ca sasaṃkhyaṃ ca tato dravyābhidhāyinā /	sa liFgam ca sa saMKyam ca tatas dravya aBiDAyinA /
   saṃbadhyate padaṃ tatra tayor bhinnā śrutir bhavet // BVaky_3,14.139 //	saMbaDyate padam tatra tayoH BinnA SrutiH Bavet // BVakI _3,14.139 //
   bhāvino bahiraṅgasya vacanād āśrayasya ye /	BAvinaH bahis aFgasya vacanAt ASrayasya ye /
   liṅgasaṃkhye guṇānāṃ te sūtreṇa pratipādite // BVaky_3,14.140 //	liFga saMKye guNAnAm te sUtreNa pratipAdite // BVakI _3,14.140 //
   viśeṣavṛtter api ca rūpābhedād alakṣitaḥ /	viSeza vRtteH api ca rUpa aBedAt alakzitaH /
   yasmād viśeṣas tenātra bhedakāryaṃ na kalpate // BVaky_3,14.141 //	yasmAt viSezaH tena atra Beda kAryam na kalpate // BVakI _3,14.141 //
   viśeṣa eva sāmānyaṃ viśesād bhidyate yataḥ /	viSezaH eva sAmAnyam viSesAt Bidyate yatas /
   abhedo hi viśeṣāṇām āśrito vinivartakaḥ // BVaky_3,14.142 //	aBedaH hi viSezANAm ASritaH vinivartakaH // BVakI _3,14.142 //
   yad yad āśrīyate tat tad anyasya vinivartakam /	yat yat ASrIyate tat tat anyasya vinivartakam /
   bhedābhedavibhāgas tu sāmānye na nirūpyate // BVaky_3,14.143 //	Beda aBeda viBAgaH tu sAmAnye na nirUpyate // BVakI _3,14.143 //
   apoddhāraś ca sāmānyam iti tasyopakārinaḥ /	apa udDAraH ca sAmAnyam iti tasya upakArinaH /
   nimittāvastham evātas tat svadharmeṇa gṛhyate // BVaky_3,14.144 //	nimitta avasTam eva atas tat svaDarmeNa gRhyate // BVakI _3,14.144 //
   anirdhāritadharmatvād bhedā eva vikalpitāḥ /	anirDArita Darma tvAt BedAH eva vikalpitAH /
   nimittair vyapadiśyante sāmānyākhyāviśesitāḥ // BVaky_3,14.145 //	nimittEH vyapadiSyante sAmAnya AKyA viSesitAH // BVakI _3,14.145 //
   yadā tu vyapadiśyete liṅgasaṃkhye svabhāvataḥ /	yadA tu vyapadiSyete liFga saMKye svaBAvataH /
   prayogeṣv eva sādhutvaṃ vākye prakramyate tadā // BVaky_3,14.146 //	prayogezu eva sADu tvam vAkye prakramyate tadA // BVakI _3,14.146 //
   tatra prayogo 'niyato guṇānām āśrayaiḥ saha /	tatra prayogaH aniyataH guNAnAm ASrayEH saha /
   sāmānyaṃ yat tad atyantaṃ tatraiva samavasthitam // BVaky_3,14.147 //	sAmAnyam yat tat atyantam tatra eva samavasTitam // BVakI _3,14.147 //
   na gotvaṃ śābaleyasya gaur iti vyapadiśyate /	na go tvam SAbaleyasya gOH iti vyapadiSyate /
   śuklatvaṃ bāhuleyasya śukla ity apadiśyate // BVaky_3,14.148 //	Sukla tvam bAhuleyasya SuklaH iti apadiSyate // BVakI _3,14.148 //
   vyatireke ca saty evaṃ matupaḥ śravanaṃ bhavet /	vyatireke ca sati evam matupaH Sravanam Bavet /
   lug anvākhyāyate tasmād rasādibhyaś ca nāsti saḥ // BVaky_3,14.149 //	luj anvAKyAyate tasmAt rasa AdiByaH ca na asti saH // BVakI _3,14.149 //
   yat so 'yam iti saṃbandhād rūpābhedena vartate /	yat saH ayam iti saMbanDAt rUpa aBedena vartate /
   śuklādivat tato lopas tad rasādau na vidyate // BVaky_3,14.150 //	Sukla Adi vat tatas lopaH tat rasa AdO na vidyate // BVakI _3,14.150 //
   āveśo liṅgasaṃkhyābhyāṃ kva cin mañcādivat sthitah /	AveSaH liFga saMKyAByAm kva cit maQca Adi vat sTitah /
   so 'yam ity abhisaṃbandhe sa prasthādau na vidyate // BVaky_3,14.151 //	saH ayam iti aBisaMbanDe sa prasTa AdO na vidyate // BVakI _3,14.151 //
   liṅgam liṅgaparityāge sūtraṃ pratyayaśāsanam /	liFgam liFga parityAge sUtram pratyaya SAsanam /
   so 'yam ity abhisaṃbandhāt puṃśabde stryabhidhāyini // BVaky_3,14.152 //	saH ayam iti aBisaMbanDAt puMSabde strI aBiDAyini // BVakI _3,14.152 //
   āśraye liṅgasaṃkhyābhyām āśritaṃ vyapadiśyate /	ASraye liFga saMKyAByAm ASritam vyapadiSyate /
   viśeṣaṇānāṃ cājāter iti śāstravyavasthayā // BVaky_3,14.153 //	viSezaNAnAm ca ajAteH iti SAstra vyavasTayA // BVakI _3,14.153 //
   nimittānuvidhāyitvād ye dharmā bhedahetuṣu /	nimitta anuviDAyi tvAt ye DarmAH Beda hetuzu /
   ta āśraye 'pi vidyanta iti buddhir nivartyate // BVaky_3,14.154 //	te ASraye api vidyante iti budDiH nivartyate // BVakI _3,14.154 //
   ākhyāyate ca śāstreṇa lokarūḍhā svabhāvataḥ /	AKyAyate ca SAstreNa loka rUXA svaBAvataH /
   nimittatulyā godādau pravṛttir liṅgasaṃkhyayoḥ // BVaky_3,14.155 //	nimitta tulyA godAdO pravRttiH liFga saMKyayoH // BVakI _3,14.155 //
   haritakyādiṣu vyaktiḥ saṃkhyā khalatikādiṣu /	haritakI Adizu vyaktiH saMKyA KalatikA Adizu /
   manuṣyalubviśeṣāṇām abhidheyāśrayaṃ dvayam // BVaky_3,14.156 //	manuzya lubviSezANAm aBiDeya ASrayam dvayam // BVakI _3,14.156 //
   jātiprayoge jātyā cet saṃbandham upagacchati /	jAti prayoge jAtyA ced saMbanDam upagacCati /
   viśeṣaṇaṃ tato dharmāñ jātes tat pratipadyate // BVaky_3,14.157 //	viSezaNam tatas DarmAn jAteH tat pratipadyate // BVakI _3,14.157 //
   lubante saṃnipatitaṃ jāter anyad viśeṣaṇam /	lubante saMnipatitam jAteH anyat viSezaNam /
   lubantasya pradhānatvāt taddharmair vyapadiśyate // BVaky_3,14.158 //	lubantasya praDAna tvAt tad DarmEH vyapadiSyate // BVakI _3,14.158 //
   nañsamāsabahuvrīhi  dvandvastryatiśayeṣu ye /	naQsamAsa bahuvrIhi dvandvaH tri atiSayezu ye /
   bhedā bhāṣyānusāreṇa vācyās te liṅgasaṃkhyayoḥ // BVaky_3,14.159 //	BedAH BAzya anusAreNa vAcyAH te liFga saMKyayoH // BVakI _3,14.159 //
   yadi ṣaṣṭhīdvitīyāntān nikṛṣṭāt tamabādayaḥ /	yadi zazWI dvitIya antAn nikRzwAt tamabAdayaH /
   nyakkāriṇi syur utkṛṣṭe prakṛteḥ syād viliṅgatā // BVaky_3,14.160 //	nyakkAriNi syuH utkRzwe prakRteH syAt viliFgatA // BVakI _3,14.160 //
   kālyāṃ kālād dvitīyāntāt kāle kālyās tarab bhavet /	kAlyAm kAlAt dvitIya antAt kAle kAlyAH taraB Bavet /
   nyakkāriṇi tathā gārgye gargebhyaḥ pratyayo bhavet // BVaky_3,14.161 //	nyakkAriNi taTA gArgye gargeByaH pratyayaH Bavet // BVakI _3,14.161 //
   nyakkartṛṣu ca gargeṣu gārgyāt syāt tac ca neṣyate /	nyakkartRzu ca gargezu gArgyAt syAt tat ca na izyate /
   kumāryāḥ svārthike ṅīp syāt prakṛtyartho hi nādhikaḥ // BVaky_3,14.162 //	kumAryAH svArTike FIp syAt prakRti arTaH hi na aDikaH // BVakI _3,14.162 //
   ṣaṣṭhyantād adhike tasmād guṇe svāśrayavartini /	zazWI antAt aDike tasmAt guNe sva ASraya vartini /
   utkṛṣṭasamavetāyāṃ kriyāyāṃ vā vidhīyate // BVaky_3,14.163 //	utkRzwa samavetAyAm kriyAyAm vA viDIyate // BVakI _3,14.163 //
   upāttaṃ ca prakṛtyartho dravyam evāśrayas tayoḥ /	upAttam ca prakRti arTaH dravyam eva ASrayaH tayoH /
   so 'yam ity abhisaṃbandhād abhedena pratīyate // BVaky_3,14.164 //	saH ayam iti aBisaMbanDAt aBedena pratIyate // BVakI _3,14.164 //
   rūpābhedāc ca tad dravyam ākāṅkṣāvat pratīyate /	rUpa aBedAt ca tat dravyam AkAFkzAvat pratIyate /
   viśeṣair bhinnarūpais tad āśrayair iva yujyate // BVaky_3,14.165 //	viSezEH Binna rUpEH tat ASrayEH iva yujyate // BVakI _3,14.165 //
   bhinnarūpesu yal liṅgaṃ viśeṣesu vyavasthitam /	Binna rUpesu yat liFgam viSezesu vyavasTitam /
   saṃkhyā ca tābhyām dravyātmā so 'bhinno vyapadiśyate // BVaky_3,14.166 //	saMKyA ca tAByAm dravya AtmA saH aBinnaH vyapadiSyate // BVakI _3,14.166 //
   āśrayaḥ samavāyi ca nimittaṃ liṅgasaṃkhyayoḥ /	ASrayaH samavAyi ca nimittam liFga saMKyayoH /
   kartṛsthabhāvakaḥ śetir ato bhāṣya udāhṛtaḥ // BVaky_3,14.167 //	kartRsTa BAvakaH SetiH atas BAzya udAhRtaH // BVakI _3,14.167 //
   nimittam āśrayatvena gṛhyeta yadi sādhanam /	nimittam ASraya tvena gRhyeta yadi sADanam /
   karmāpadiṣṭayoḥ prāptis tatra syāl liṅgasaṃkhyayoḥ // BVaky_3,14.168 //	karma apadizwayoH prAptiH tatra syAt liFga saMKyayoH // BVakI _3,14.168 //
   śāstre nimittabhāvena samudāyād apoddhṛtaḥ /	SAstre nimitta BAvena samudAyAt apodDRtaH /
