   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   tadayaḥ kevalam agnau śuṣkīkṛtyāthavātape paścāt /	tat-ayaH kevalam agnO SuzkIkRtya-aTavA-Atape paScAt /
   lauhaśilāyāṃ piṃṣyādasite'śmani vā tadaprāptau // RCint_8.133 //	lOha-SilAyAm piMzyAt-asite-aSmani vA tad-aprAptO // RCint-_8.133 //
   <sthālīpāka>	<sTAlIpAka>
   atha kṛtvāyo bhāṇḍe dattvā triphalāmbu śeṣamanyadvā /	aTa kRtvA-ayaH BANxe dattvA triPalA-ambu Sezam-anyat-vA /
   prathamaṃ sthālīpākaṃ dadyād ā tatkṣayāt tadanu // RCint_8.134 //	praTamam sTAlIpAkam dadyAt A tad-kzayAt tadanu // RCint-_8.134 //
   gajakarṇapatramūlaśatāvarībhṛṅgakeśarājarasaiḥ /	gaja-karNa-patra-mUla-SatAvarI-BRFga-keSarAja-rasEH /
   prāgvat sthālīpākaṃ kuryātpratyekamekaṃ vā // RCint_8.135 //	prAgvat sTAlIpAkam kuryAt-pratyekam-ekam vA // RCint-_8.135 //
   <puṭapāka>	<puwapAka>
   hastapramāṇavadanaṃ śvabhraṃ hastaikakhāti samamadhyam /	hasta-pramANa-vadanam SvaBram hasta-eka-KAti sama-maDyam /
   kṛtvā kaṭāhasadṛśaṃ tatra karīṣaṃ tuṣaṃ ca kāṣṭhaṃ ca // RCint_8.136 //	kRtvA kawAha-sadRSam tatra karIzam tuzam ca kAzWam ca // RCint-_8.136 //
   antarghanataram ardhaṃ suṣiraṃ paripūrya dahanamāyojya /	antar-Ganataram arDam suziram paripUrya dahanam-Ayojya /
   paścādayasaścūrṇaṃ ślakṣṇaṃ paṅkopamaṃ kuryāt // RCint_8.137 //	paScAt-ayasaH-cUrNam SlakzNam paFka-upamam kuryAt // RCint-_8.137 //
   triphalāmbubhṛṅgakeśaraśatāvarīkandamāṇasahajarasaiḥ /	triPalA-ambu-BRFga-keSara-SatAvarI-kandamANa-sahaja-rasEH /
   bhallātakakarikarṇacchadamūlapunarnavāsvarasaiḥ // RCint_8.138 //	BallAtaka-kari-karNa=-Cada-mUla-punarnavA-svarasEH // RCint-_8.138 //
   kṣiptvātha lauhapātre mārde vā lauhamārdapātrābhyām /	kziptvA-aTa lOha-pAtre mArde vA lOha-mArda-pAtrAByAm /
   tulyābhyāṃ pṛṣṭhenācchādyānte randhram ālipya // RCint_8.139 //	tulyAByAm pRzWena-AcCAdya-ante ranDram Alipya // RCint-_8.139 //
   tatpuṭapātraṃ tatra śvabhrajvalane nidhāya bhūyobhiḥ /	tat-puwa-pAtram tatra SvaBra-jvalane niDAya BUyoBiH /
   kāṣṭhakarīṣatuṣais tat saṃchādyāharniśaṃ dahetprājñaḥ // RCint_8.140 //	kAzWa-karIza-tuzEH tat saMCAdya-aharniSam dahet-prAjQaH // RCint-_8.140 //
   evaṃ navabhiramībhir meṣajarājaiḥ pacettu puṭapākam /	evam navaBiH-amIBiH meza-ja-rAjEH pacet-tu puwapAkam /
   pratyekamekamebhirmilitairvā tricaturān vārān // RCint_8.141 //	pratyekam-ekam-eBiH-militEH-vA tricaturAn vArAn // RCint-_8.141 //
   <puṭapāka:: grinding after each ~>	<puwapAka:: grinding afteH eaC ~>
   prati puṭanaṃ tatpiṃṣyāt sthālīpākaṃ vidhāya tathaiva tat /	prati puwanam tat-piMzyAt sTAlIpAkam viDAya taTA-eva tat /
   tādṛśi dṛṣadi na piṃṣyād vigaladrajasā tu yujyate yatra // RCint_8.142 //	tAdRSi dRzadi na piMzyAt vigalat-rajasA tu yujyate yatra // RCint-_8.142 //
   tadayaścūrṇaṃ piṣṭaṃ ghṛṣṭaṃ ghanasūkṣmavāsasi ślakṣṇam /	tat-ayaH-cUrNam pizwam GRzwam Gana-sUkzma-vAsasi SlakzNam /
   yadi rajasā sadṛśaṃ syātketakyāstarhi tadbhadram // RCint_8.143 //	yadi rajasA sadRSam syAt-ketakyAH-tarhi tat-Badram // RCint-_8.143 //
   puṭane sthālīpāke 'dhikṛtapuruṣe svabhāvarugadhigamāt /	puwane sTAlIpAke aDikRta-puruze svaBAva-ruj-aDigamAt /
   kathitamapi heyam auṣadham ucitam upādeyam anyad api // RCint_8.144 //	kaTitam-api heyam OzaDam ucitam upAdeyam anyat api // RCint-_8.144 //
   abhyastakarmavidhibhir vālakuśāgrīyabuddhibhir alakṣyam /	aByasta-karma-viDiBiH vAla-kuSa-agrIya-budDiBiH alakzyam /
   lauhasya pākamadhunā nāgārjunaśiṣṭamabhidadhmaḥ // RCint_8.145 //	lOhasya pAkam-aDunA nAgArjuna-Sizwam-aBidaDmaH // RCint-_8.145 //
   <lauhapāka (heating/melting iron)>	<lOha-pAkaH (hea-ting/melting iron)>
   lohārakūṭatāmrakaṭāhe dṛḍhamṛnmaye praṇamya śivam /	loha-ArakUwa-tAmra-kawAhe dRXa-mRd-maye praNamya Sivam /
   tadayaḥ pacedacapalaḥ kāṣṭhendhanena vahṇinā mṛdunā // RCint_8.146 //	tat-ayaH pacet-acapalaH kAzWa-inDanena vahNinA mRdunA // RCint-_8.146 //
   nikṣipya triphalājalam uditaṃ yattad ghṛtaṃ ca dugdhaṃ ca /	nikzipya triPalA-jalam uditam yat-tat GRtam ca dugDam ca /
   saṃcālya lauhamayyā darvyā lagnaṃ samutpāṭya // RCint_8.147 //	saMcAlya lOha-mayyAH darvyA lagnam samutpAwya // RCint-_8.147 //
   <pāka (melting, heating):: three grades>	<pAkaH (melting, heating):: Tree grades>
   mṛdumadhyakharabhāvaiḥ pākas trividho 'tra vakṣyate puṃsām /	mRdu-maDya-Kara-BAvEH pAkaH triviDaH atra vakzyate puMsAm /
   pittasamīraṇaśleṣmaprakṛtīnāṃ madhyamastu samaḥ // RCint_8.148 //	pitta-samIraNa-Slezma-prakRtInAm maDyamaH-tu samaH // RCint-_8.148 //
   <pāka:: detecting the intensity>	<pAka:: detet-ting Te intet-sity>
   abhyaktadarvilauhaṃ sukhaduḥkhaskhalanayogi mṛdu madhyam /	aByakta-darvi-lOham suKa-duHKa-sKalana-yogi mRdu maDyam /
   ujjhitadarvikharaṃ paribhāṣante kecidācāryāḥ // RCint_8.149 //	ujJita-darvi-Karam pariBAzante kecid-AcAryAH // RCint-_8.149 //
   anye vihīnadarvīpralepam ākhūtkarākṛtiṃ bruvate /	anye vihIna-darvI-pralepam AKUt-kara-AkRtim bruvate /
   mṛdu madhyam ardhacūrṇaṃ sikatāpuñjopamaṃ tu kharam // RCint_8.150 //	mRdu maDyam arDa-cUrNam sikatA-puQja-upamam tu Karam // RCint-_8.150 //
   trividho'pi pāka īdṛk sarveṣāṃ guṇakṛdeva na tu viphalaḥ /	triviDaH-api pAkaH IdRS sarvezAm guNa-kRt-eva na tu viPalaH /
   prakṛtiviśeṣe sūkṣmau guṇadoṣau janayatītyalpam // RCint_8.151 //	prakRti-viSeze sUkzmO guNa-dozO janayati-iti-alpam // RCint-_8.151 //
   <prakṣepa>	<prakzepa>
   vijñāya pākameva drāgavatārya kṣitau kṣaṇān kiyataḥ /	vijQAya pAkam-eva drAk-avatArya kzitO kzaNAn kiyataH /
   viśrāmya tatra lauhe triphalādeḥ prakṣipeccūrṇam // RCint_8.152 //	viSrAmya tatra lOhe triPalA-AdeH prakzipet-cUrNam // RCint-_8.152 //
   yadi karpūraprāptirbhavati tato vigalite taduṣṇatve /	yadi karpUra-prAptiH-Bavati tatas vigalite tat-uzNa-tve /
   cūrṇīkṛtamanurūpaṃ kṣipenna vā na yadi tallābhaḥ // RCint_8.153 //	cUrNIkRtam-anurUpam kzipet-na vA na yadi tad-lABaH // RCint-_8.153 //
   <iron:: molten:: storage>	<iron:: molten:: stora-ge>
   pakvaṃ tadaśmasāraṃ suciraghṛtasthityabhāvirūkṣatve /	pakvam tat-aSmasAram su-cira-GRta-sTiti-aBAvi-rUkza-tve /
   godohanādibhāṇḍe lauhabhāṇḍābhāve sati sthāpyam // RCint_8.154 //	go-dohana-Adi-BANxe lOha-BANxa-aBAve sati sTApyam // RCint-_8.154 //
   yadi tu pariplutihetor ghṛtam īkṣetādhikaṃ tato'nyasmin /	yadi tu paripluti-hetoH GRtam Ikzeta-aDikam tatas-anyasmin /
   bhāṇḍe nidhāya rakṣed bhāvyupayogo hyanena mahān // RCint_8.155 //	BANxe niDAya rakzet BAvi-upayogaH hi-anena mahAn // RCint-_8.155 //
   <iron:: snehana>	<iron:: snehana>
   ayasi virūkṣībhūte snehastriphalāghṛtena saṃpādyaḥ /	ayasi virUkzIBUte snehaH-triPalA-GRtena saMpAdyaH /
   etattato guṇottaramityamunā snehanīyaṃ tat // RCint_8.156 //	etat-tatas guNa-uttaram-iti-amunA snehanIyam tat // RCint-_8.156 //
   <iron:: sevana>	<iron:: sevana>
   atyantakaphaprakṛter bhakṣaṇam ayaso 'munaiva śaṃsanti /	atyanta-kaPa-prakRteH BakzaNam ayasaH amunA-eva SaMsanti /
   kevalam apīdam aśitaṃ janatyayaso guṇān kiyataḥ // RCint_8.157 //	kevalam api-idam aSitam janati-ayasaH guNAn kiyataH // RCint-_8.157 //
   athavā vaktavyavidhisaṃskṛtakṛṣṇābhracūrṇam ādāya /	aTavA vaktavya-viDi-saMskRta-kRzNa-aBra-cUrNam AdAya /
   lohacaturthārdhasamadvitricatuḥpañcaguṇabhāgam // RCint_8.158 //	loha-caturTa-arDa-sama-dvi-tri-catur-paQca-guNa-BAgam // RCint-_8.158 //
   prakṣipyāyaḥ prāgvatpacedubhābhyāṃ bhavedrajo yāvat /	prakzipya-ayaH prAgvat-pacet-uBAByAm Bavet-rajaH yAvat /
   tāvanmānānusmṛteḥ syāttriphalādidravyaparimāṇam // RCint_8.159 //	tAvat-mAna-anusmRteH syAt-triPalA-Adi-dravya-parimANam // RCint-_8.159 //
   idam āpyāyakam idam atipittanud idameva kāntibalajananam /	idam ApyAyakam idam ati-pitta-nud idam-eva kAnti-bala-jananam /
   stabhnāti tṛṭkṣudhau param adhikādhikamātrayā kṣiptam // RCint_8.160 //	staBnAti tRz-kzuDO param aDika-aDika-mAtrayA kziptam // RCint-_8.160 //
   <abhra:: śodhana:: niścandrika>	<aBra:: SoDana:: niScandrika>
   kṛṣṇābhram bhekavapur vajrākhyaṃ caikapatrakaṃ kṛtvā /	kRzNa-aBram Beka-vapuH vajra-AKyam ca-eka-patrakam kRtvA /
   kāṣṭhamayodūkhalake cūrṇaṃ muśalena kurvīta // RCint_8.161 //	kAzWa-maya-udUKalake cUrNam muSalena kurvIta // RCint-_8.161 //
   bhūyo dṛṣadi ca piṣṭaṃ vāsaḥ sūkṣmāvakāśatalagalitam /	BUyas dRzadi ca pizwam vAsaH sUkzma-avakASa-tala-galitam /
   maṇḍūkaparṇikāyāḥpracurarase sthāpayet tridinam // RCint_8.162 //	maNxUkaparNikAyAH-pracura-rase sTApayet tri-dinam // RCint-_8.162 //
   uddhṛtya tadrasādatha piṃṣyāddhaimantikadhānyabhaktasya /	udDRtya tad-rasAt-aTa piMzyAt-hEmantika-DAnya-Baktasya /
   akṣodātyantāmlasvacchajalena prayatnena // RCint_8.163 //	akza-uda-atyanta-amla-svacCa-jalena prayatnena // RCint-_8.163 //
   maṇḍūkaparṇikāyāḥ pūrvarasenaiva mardanaṃ kuryāt /	maNxUkaparNikAyAH pUrva-rasena-eva mardanam kuryAt /
   sthālīpākaṃ puṭanaṃ cādyairapi bhṛṅgarājādyaiḥ // RCint_8.164 //	sTAlIpAkam puwanam ca-AdyEH-api BRFgarAja-AdyEH // RCint-_8.164 //
   arkādipatramadhye kṛtvā piṇḍaṃ nidhāya bhastrāgnau /	arka-Adi-patra-maDye kRtvA piNxam niDAya BastrA-agnO /
   tāvaddahenna yāvannīlo'gnirdṛśyate suciram // RCint_8.165 //	tAvat-dahet-na yAvat-nIlaH-agniH-dRSyate su-ciram // RCint-_8.165 //
   nirvāpayecca dugdhe dugdhaṃ prakṣālya vāriṇā tadanu /	nirvApayet-ca dugDe dugDam prakzAlya vAriNA tadanu /
   piṣṭvā ghṛṣṭvā gālya vastre cūrṇaṃ niścandrakaṃ kuryāt // RCint_8.166 //	pizwvA GRzwvA gAlya vastre cUrNam niScandrakam kuryAt // RCint-_8.166 //
   <siddhalauhasevana>	<sidDa-lOha-sevana>
   nānāvidharukśāntyai puṣṭyai kāntyai śivaṃ samabhyarcya /	nAnAviDa-ruj-SAntyE puzwyE kAntyE Sivam samaByarcya /
   suviśuddhe'hani puṇye tadamṛtamādāya lauhākhyam // RCint_8.167 //	su-viSudDe-ahani puNye tat-amRtam-AdAya lOha-AKyam // RCint-_8.167 //
   daśakṛṣṇalaparimāṇaṃ śaktivayobhedamākalayya punaḥ /	daSa-kRzNala-parimANam Sakti-vayaH-Bedam-Akalayya punar /
   idamadhikaṃ tad adhikataram iyadeva na mātṛmodakavat // RCint_8.168 //	idam-aDikam tat aDikataram iyat-eva na mAtRmodaka-vat // RCint-_8.168 //
   samamasṛṇāmalapātre lauhe lauhena mardayecca punaḥ /	sama-masRNa-amala-pAtre lOhe lOhena mardayet-ca punar /
   dattvā madhvanurūpaṃ tadanu ghṛtaṃ yojayed adhikam // RCint_8.169 //	dattvA maDu-anurUpam tadanu GRtam yojayet aDikam // RCint-_8.169 //
   bandhaṃ gṛhṇāti yathā madhvapṛthaktvena paṅkamaviśiṃṣat /	banDam gRhNAti yaTA maDu-apRTaktvena paFkam-aviSiMzat /
   idamiha dṛṣṭopakaraṇametad adṛṣṭaṃ tu mantreṇa // RCint_8.170 //	idam-iha dRzwa-upakaraNam-etat adRzwam tu mantreNa // RCint-_8.170 //
   svāhāntena vimardo bhavati phaḍantena lauhabalarakṣā /	svAhA-antena vimardaH Bavati Paw-antena lOha-bala-rakzA /
   sanamaskāreṇa balirbhakṣaṇamayaso hūmanteṇa // RCint_8.171 //	sa-namaskAreNa baliH-BakzaNam-ayasaH hUmanteNa // RCint-_8.171 //
   oṃ amṛtodbhavāya svāhā oṃ amṛte hūṃ phaṭ /	om amRta-udBavAya svAhA om amRte hUm Paw /
   oṃ namaścaṇḍavajrapāṇaye mahāyakṣasenādhipataye suraguruvidyāmahābalāya	om namaH-caNxa-vajrapANaye mahA-yakza-senA-aDipataye sura-guru-vidyA-mahA-balAya
   svāhā /	svAhA /
   oṃ amṛte hūm /	om amRte hUm /
   jagdhvā tadamṛtasāraṃ nīraṃ vā kṣīramevānupibet /	jagDvA tad-amRta-sAram nIram vA kzIram-eva-anupibet /
   kāntakrāmakamamalaṃ saṃcarvya rasaṃ pibed gilenna tu tat // RCint_8.172 //	kAnta-krAmakam-amalam saMcarvya rasam pibet gilet-na tu tat // RCint-_8.172 //
   ācamya ca tāmbūlaṃ lābhe ghanasārasahitamupayojyam // RCint_8.173 //	Acamya ca tAmbUlam lABe GanasAra-sahitam-upayojyam // RCint-_8.173 //
   nātyupaviṣṭo nāpyatibhāṣī nātisthitas tiṣṭhet // RCint_8.174 //	na-ati-upavizwaH na-api-ati-BAzI na-ati-sTitaH tizWet // RCint-_8.174 //
   atyantavātaśītātapayānasnānavegarodhādīn /	atyanta-vAta-SIta-Atapa-yAna-snAna-vega-roDa-AdIn /
   jahyācca divānidrāsahitaṃ cākālabhuktaṃ ca // RCint_8.175 //	jahyAt-ca divAnidrA-sahitam ca-akAla-Buktam ca // RCint-_8.175 //
   vātakṛtaḥ pittakṛtaḥ sarvān kaṭvamlatiktakaṣāyān /	vAta-kRtaH pitta-kRtaH sarvAn kawu-amla-tikta-kazAyAn /
   tatkṣaṇavināśahetūn maithunakopaśramān dūre // RCint_8.176 //	tad-kzaNa-vinASa-hetUn mETuna-kopa-SramAn dUre // RCint-_8.176 //
   aśitaṃ tadayaḥ paścātpatatu na vā pāṭavaṃ chaḍu prathatām /	aSitam tat-ayaH paScAt-patatu na vA pAwavam Caxu praTatAm /
   ārtirbhavatu navāntre kūjati bhoktavyamavyājam // RCint_8.177 //	ArtiH-Bavatu nava-antre kUjati Boktavyam-avyAjam // RCint-_8.177 //
   prathamaṃ pītvā dugdhaṃ śālyannaṃ viśadasiddham aklinnam /	praTamam pItvA dugDam SAli-annam viSada-sidDam aklinnam /
   ghṛtasaṃplutam aśnīyānmāṃsair vaihaṅgamaiḥ prāyaḥ // RCint_8.178 //	GRta-saMplutam aSnIyAt-mAMsEH vEhaFgamEH prAyas // RCint-_8.178 //
   uttamamūṣarabhūcaraviṣkiramāṃsaṃ tathājam aiṇādi /	uttamam-Uzara-BU-cara-vizkira-mAMsam taTA-ajam ENa-Adi /
   anyadapi jalacarāṇāṃ pṛthuromāpekṣayā jyāyaḥ // RCint_8.179 //	anyat-api jala-carANAm pRTu-roma-apekzayA jyAyaH // RCint-_8.179 //
   māṃsālābhe matsyā adoṣalāḥ sthūlasadguṇā grāhyāḥ /	mAMsa-alABe matsyAH adozalAH sTUla-sat-guNAH grAhyAH /
   madgurarohitaśakulā dagdhāḥ palalānmanāṅnyūnāḥ // RCint_8.180 //	madgura-rohita-SakulAH dagDAH palalAt-manAk-nyUnAH // RCint-_8.180 //
   śṛṅgāṭakaphalakaśerukadalīphalatālanārikelādi /	SRFgAwaka-Pala-ka-Seru-kadalI-Pala-tAla-nArikela-Adi /
   anyadapi yacca vṛṣyaṃ madhuraṃ panasādikaṃ jyāyaḥ // RCint_8.181 //	anyat-api yat-ca vRzyam maDuram panasa-Adikam jyAyaH // RCint-_8.181 //
   kebukatālakarīrān vārtākupaṭolaphaladalasametān /	kebuka-tAla-karIrAn vArtAku-pawola-Pala-dala-sametAn /
   mudgamasūrekṣurasān śaṃsanti nirāmiṣeṣvetān // RCint_8.182 //	mudga-masUra-ikzu-rasAn SaMsanti nirAmizezu-etAn // RCint-_8.182 //
   śākaṃ praheyamakhilaṃ stokaṃ rucaye tu vāstukaṃ dadyāt /	SAkam praheyam-aKilam stokam rucaye tu vAstukam dadyAt /
   vihitaniṣiddhād anyanmadhyamakoṭisthitaṃ vidyāt // RCint_8.183 //	vihita-nizidDAt anyat-maDyama-kowi-sTitam vidyAt // RCint-_8.183 //
   taptadugdhānupānaṃ prāyaḥ sārayati baddhakoṣṭhasya /	tapta-dugDa-anupAnam prAyas sArayati badDa-kozWasya /
   anupītamambu yadvā komalaśasyasya nārikelasya // RCint_8.184 //	anupItam-ambu yat-vA komala-Sasyasya nArikelasya // RCint-_8.184 //
   yasya na tathāpi sarati sayavakṣāraṃ jalaṃ pibetkoṣṇam /	yasya na taTA-api sarati sa-yavakzAram jalam pibet-kozNam /
   koṣṇaṃ triphalākvāthaṃ kṣārasanāthaṃ tato'pyadhikam // RCint_8.185 //	kozNam triPalA-kvATam kzAra-sanATam tatas-api-aDikam // RCint-_8.185 //
   trīṇi dināni samaṃ syādahni caturthe tu vardhayet kramaśaḥ /	trINi dinAni samam syAt-ahni caturTe tu varDayet kramaSas /
   yāvattadaṣṭamāṣaṃ na vardhayet punarito 'pyadhikam // RCint_8.186 //	yAvat-tat-azwa-mAzam na varDayet punar-itas api-aDikam // RCint-_8.186 //
   ādau raktidvitayaṃ dvitīyavṛddhau tu raktikātritayam /	AdO rakti-dvitayam dvitIya-vRdDO tu raktikA-tritayam /
   raktīpañcakapañcakam ata ūrdhvaṃ vardhayenniyatam // RCint_8.187 //	raktI-paQcaka-paQcakam atas UrDvam varDayet-niyatam // RCint-_8.187 //
   vātsarikakalpapakṣe dināni yāvanti vardhitaṃ prathamam /	vAtsarika-kalpa-pakze dinAni yAvanti varDitam praTamam /
   tāvanti varṣaśeṣe pratilomaṃ hrāsayettadayaḥ // RCint_8.188 //	tAvanti varza-Seze pratilomam hrAsayet-tat-ayaH // RCint-_8.188 //
   teṣvaṣṭamāṣakeṣu prātarmāṣatrayaṃ samaśnīyāt /	tezu-azwa-mAzakezu prAtar-mAza-trayam samaSnIyAt /
   sāyaṃ ca tāvadahṇo madhye māṣadvayaṃ śeṣam // RCint_8.189 //	sAyam ca tAvat-ahNaH maDye mAza-dvayam Sezam // RCint-_8.189 //
   evaṃ tadamṛtamaśnankāntiṃ labhate cirasthiraṃ deham /	evam tat-amRtam-aSnan-kAntim laBate cira-sTiram deham /
   saptāhatrayamātrātsarvarujo hanti kiṃ bahunā // RCint_8.190 //	sapta-aha-traya-mAtrAt-sarva-rujaH hanti kim bahunA // RCint-_8.190 //
   āryābhir iha navatyā saptavidhibhir yathāvad ākhyātam /	AryABiH iha navatyA sapta-viDiBiH yaTAvat AKyAtam /
   amativiparyayasaṃśayaśūnyam anuṣṭhānam unnītam // RCint_8.191 //	amati-viparyaya-saMSaya-SUnyam anuzWAnam unnItam // RCint-_8.191 //
   muniracitaśāstrapāraṃ gatvā sāraṃ tataḥ samuddhṛtya /	muni-racita-SAstra-pAram gatvA sAram tatas samudDRtya /
   nibabandha bāndhavānāmupakṛtaye ko'pi ṣaṭkarmā // RCint_8.192 //	nibabanDa bAnDavAnAm-upakRtaye kaH-api zawkarmA // RCint-_8.192 //
   <tāmrayoga>	<tAmra-yoga>
   kanyātoye tāmrapatraṃ sutaptaṃ kṛtvā vārān viṃśatiṃ prakṣipettat /	kanyA-toye tAmra-patram su-taptam kRtvA vArAn viMSatim prakzipet-tat /
   śuddhaṃ gandhaṃ taddvibhāgaṃ vimardya nimbūtoyaistāmrapatrāṇi liptvā //	SudDam ganDam tad-dvi-BAgam vimardya nimbU-toyEH-tAmra-patrANi liptvA //
   RCint_8.193 //	RCint-_8.193 //
   bhāṇḍe kṛtvā rodhayitvā tu bhāṇḍaṃ śālāgnau taṃ nikṣipet pañcarātram /	BANxe kRtvA roDayitvA tu BANxam SAlA-agnO tam nikzipet paQca-rAtram /
   śītaṃ jātaṃ bhāvayeduktatoyair yadvā nīrais traiphalair ekaghasram //	SItam jAtam BAvayet-ukta-toyEH yat-vA nIrEH trEPalEH eka-Gasram //
   RCint_8.194 //	RCint-_8.194 //
   madhvājyābhyāṃ peṣayitvā puṭet tacchuddhaṃ siddhaṃ jāyate dehasiddhyai /	maDu-AjyAByAm pezayitvA puwet tat-SudDam sidDam jAyate deha-sidDyE /
   guñjāmātraṃ śālmalīnīrayuktaṃ madhvājyābhyāṃ sevayed vatsarārdham //	guQjA-mAtram SAlmalI-nIra-yuktam maDu-AjyAByAm sevayet vatsara-arDam //
   RCint_8.195 //	RCint-_8.195 //
   dugdhaṃ khaṇḍaṃ vānupānaṃ vidadhyāt sājyaṃ bhojyaṃ gauḍyam amlena yuktam /	dugDam KaNxam vA-anupAnam vidaDyAt sa-Ajyam Bojyam gOxyam amlena yuktam /
   vīryaṃ puṣṭiṃ dīpanaṃ dehadārḍhyaṃ divyāṃ dṛṣṭiṃ dīrghamāyuḥ karoti //	vIryam puzwim dIpanam deha-dArXyam divyAm dRzwim dIrGam-AyuH karoti //
   RCint_8.196 //	RCint-_8.196 //
   <tāmrayoga (2)>	<tAmra-yoga (2)>
   rasatastāmraṃ dviguṇaṃ tāmrāt kṛṣṇābhrakaṃ tathā dviguṇam /	rasataH-tAmram dviguNam tAmrAt kRzNa-aBrakam taTA dviguNam /
   pṛthagevaiṣāṃ śuddhistāmre śuddhistato dvividhā // RCint_8.197 //	pRTak-eva-ezAm SudDiH-tAmre SudDiH-tatas dviviDAH // RCint-_8.197 //
   pattrīkṛtasya gandhakayogādvā māraṇaṃ tathā lavaṇaiḥ /	pattrIkRtasya ganDaka-yogAt-vA mAraNam taTA lavaNEH /
   ākte dhmāpitatāmre nirguṇḍīkalkakāñjike magne // RCint_8.198 //	Akte DmApita-tAmre nirguNxI-kalka-kAQjike magne // RCint-_8.198 //
   yadbhavati gairikābhaṃ tatpiṣṭam ardhagandhakaṃ tadanu /	yat-Bavati gErika-ABam tat-pizwam arDa-ganDakam tadanu /
   puṭapākena viśuddhaṃ śuddhaṃ syādabhrakaṃ tu punaḥ // RCint_8.199 //	puwapAkena viSudDam SudDam syAt-aBrakam tu punar // RCint-_8.199 //
   hilamocimūlapiṇḍe kṣiptaṃ tadanu mārdasampuṭe lipte /	hilamoci-mUla-piNxe kziptam tadanu mArda-sampuwe lipte /
   tīkṣṇaṃ dagdhaṃ piṣṭam amlāmbhasā sādhu candrikāvirahitam // RCint_8.200	tIkzNam dagDam pizwam amla-amBasA sADu candrikA-virahitam // RCint-_8.200
   recitatāmreṇa rasaḥ khalvaśilāyāṃ ghṛṣṭaḥ piṇḍikā kāryā /	recita-tAmreNa rasaH Kalva-SilAyAm GRzwaH piNxikA kAryA /
   utsvedya gṛhasalilena nirguṇḍīkalke'sakṛcchuddhau // RCint_8.201 //	utsvedya gRha-salilena nirguNxI-kalke-asakRt-SudDO // RCint-_8.201 //
   etatsiddhaṃ tritayaṃ cūrṇitatāmrārdhikaiḥ pṛthagyuktam /	etat-sidDam tritayam cUrNita-tAmra-ArDikEH pRTak-yuktam /
   pippalīviḍaṅgamaricaiḥ ślakṣṇaṃ dvitrimāṣakaṃ bhakṣyam // RCint_8.202 //	pippalI-vixaFga-maricEH SlakzNam dvi-tri-mAzakam Bakzyam // RCint-_8.202 //
   śūlāmlapittaśvayathugrahaṇīyakṣmādikukṣirogeṣu /	SUla-amlapitta-SvayaTu-grahaNI-yakzma-Adi-kukzi-rogezu /
   rasāyanaṃ mahadetatparihāro niyamato nātra // RCint_8.203 //	rasAyanam mahat-etat-parihAraH niyamataH na-atra // RCint-_8.203 //
   <lakṣmīvilāsarasaḥ>	<lakzmI-vilAsa-rasaH>
   palaṃ kṛṣṇābhracūrṇasya tadardhau rasagandhakau /	palam kRzNa-aBra-cUrNasya tad-arDO rasa-ganDakO /
   karpūrasya tadarddhaṃ tu jātīkoṣaphale tathā // RCint_8.204 //	karpUrasya tad-ardDam tu jAtI-koza-Pale taTA // RCint-_8.204 //
   vṛddhadārakabījaṃ ca bījamunmattakasya ca /	vRdDadAraka-bIjam ca bIjam-unmattakasya ca /
   trailokyavijayābījaṃ vidārīkandam eva ca // RCint_8.205 //	trElokya-vijayA-bIjam vidArI-kandam eva ca // RCint-_8.205 //
   nārāyaṇī tathā nāgabalā cātibalā tathā /	nArAyaNI taTA nAgabalA ca-atibalA taTA /
   bījaṃ gokṣurakasyāpi haijjalaṃ bījameva ca // RCint_8.206 //	bIjam gokzurakasya-api hEjjalam bIjam-eva ca // RCint-_8.206 //
   eteṣāṃ kārṣikaṃ cūrṇaṃ gṛhītvā vāriṇā punaḥ /	etezAm kArzikam cUrNam gRhItvA vAriNA punar /
   niṣpiṣya vaṭikā kāryā triguñjāphalamānataḥ // RCint_8.207 //	nizpizya vawikA kAryA tri-guQjA-Pala-mAnataH // RCint-_8.207 //
   nihanti sannipātotthān gadān ghorān sudāruṇān /	nihanti sannipAta-utTAn gadAn GorAn su-dAruNAn /
   vātotthān paittikāṃścāpi nāstyatra niyamaḥ kvacit // RCint_8.208 //	vAta-utTAn pEttikAn=-ca-api na-asti-atra niyamaH kvacid // RCint-_8.208 //
   kuṣṭhamaṣṭādaśavidhaṃ pramehān viṃśatiṃ tathā /	kuzWam-azwAdaSaviDam pramehAn viMSatim taTA /
   nāḍīvraṇaṃ vraṇaṃ ghoraṃ gudāmayabhagandaram // RCint_8.209 //	nAxIvraNam vraNam Goram guda-Amaya-Bagandaram // RCint-_8.209 //
   ślīpadaṃ kaphavātotthaṃ cirajaṃ kulasambhavam /	SlIpadam kaPa-vAta-utTam cira-jam kula-samBavam /
   galaśothamantravṛddhimatisāraṃ sudāruṇam // RCint_8.210 //	gala-SoTamantra-vRdDim-atisAram su-dAruNam // RCint-_8.210 //
   kāsapīnasayakṣmārśaḥ sthaulyaṃ daurbalyameva ca /	kAsa-pInasa-yakzma-arSaH sTOlyam dOrbalyam-eva ca /
