   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   [153] kṛṣṇa uvāca tatas tataḥ ?	[153] kRzNaH uvAca  tatas tatas ?
   [154] ṛṣir uvāca tad evaṃ tatra sarva svāsthya maya gārhasthya caye	[154] RziH uvAca  tat evam tatra sarva svAsTya maya  gArhasTi a caye
   pratiśvastanaṃ sphurad upacaye sati suta sampattir api matim atītya	pratiSvastanam sPurat  upacaye sati suta  sampattiH api matim atItya
   pratyahaṃ pratoṣyate | kiṃ bahunā, bhavadvad varṣa ṣaṭkān anantaram eva	pratyaham pratozyate | kim bahunA, Bavat vat   varza  zawkAn anantaram eva
   yauvana prapañcatas teṣām api prajātāḥ prajās tāvaty eva diṣṭe	yOvana prapaQcataH tezAm api prajAtAH prajAH tAvatI eva dizwe
   dṛṣṭa yauvanā bhaviṣyanti | bhavān punar īdṛśatayā paraṃ nava vayāḥ	dRzwa  yOvanAH Bavizyanti | BavAn punar IdRSa tayA param nava  vayAH
   sthāsyati |	sTAsyati |
   [155] tathā ca paurāṇī vāṇī nātidīrgheṇa kālena sa kārṣṇī rūḍha yauvanaḥ	[155] taTA ca pOrANI vANI nA ati dIrGeNa kAlena sa kArzNI rUXa  yOvanaH
   [BhP 10.55.9] iti | tac ca kṛṣṇaṃ matvā striyo hrītāḥ [BhP 10.55.28]iti ca	[Bhj 10.55.9] iti | tat ca kRzNam matvA striyaH hrItAH [Bhj 10.55.28]iti ca
   [156] tatra ca kaimutyam idam avadhira mātraāṇām anavadhikam	[156] tatra ca kEmutyam idam avaDira  mAtraANAm anavaDikam
   avadhāna nidhāna pātrāyate | yathā 	avaDAna  niDAna  pAtrAyate | yaTA 
   tatra pravayaso' py āsan yuvāno' tibalaujasaḥ |	tatra pravayasaH a pi Asan yuvAnaH a tibala ojasaH |
   pibanto' kṣair mukundasya mukhāmbhoja sudhāṃ muhuḥ || [BhP 10.45.19] iti	pibantaH a kzEH mukundasya muKa amBoja  suDAm muhur || [Bhj 10.45.19] iti
   [157] etena śrīmad vraje tu tad atiśayāt sphuṭam eva tad atiśayaḥ	[157] etena SrImat  vraje tu tad  atiSayAt sPuwam eva tad  atiSayaH
   saṅgamitaḥ |	saFga mitaH |
   [158] kṛṣṇa uvāca aho mahātman ! mahān ayam atyayaḥ sampraty api	[158] kRzNaH uvAca ahaH mahAtman ! mahAn ayam atyayaH samprati api
   duratyayaṃ duḥkham arpayati | yat tāvad vilambaṃ tatrāvalambitāsmi |	duratyayam duHKam arpayati | yat tAvat vilambam tatra avalambitA asmi |
   bhavatu, prakṛtaṃ prakriyatām |	Bavatu, prakRtam prakriyatAm |
   [159] ṛṣir uvāca śambareṇa janmata eva dyumnavat tava gṛhād apahṛtasya	[159] RziH uvAca SambareNa janmataH eva dyumna vat tava gRhAt apahRtasya
   pradyumna nāmnas tvat putrasya samparāye sambandhaṃ tad dhanana caritraṃ	pradyumna  nAmnaH tu at putrasya samparAye sambanDam tat  Danana  caritram
   vicitratayā gāsyanti, yathā 	vicitra tayA gAsyanti, yaTA 
   kṛṣṇe' pi dhṛṣṇag bhavitātra kaḥ pumān	kRzNe a pi DRzNag  BavitA atra kaH pumAn
   yas tu svayaṃ yoddhum amuṃ vrajiṣyati |	yaH tu svayam yodDum amum vrajizyati |
   yad adya jātaṃ khalu tasya jātakaṃ	yat adya jAtam Kalu tasya jAtakam
   hṛtvā tato mṛtyum avāpa śambaraḥ ||JGc_1,33.67||	hRtvA tatas mRtyum avApa SambaraH ||JGc_1,33.67||
   [160] atha prādyumnim anu cāmnāsyanti 	[160] aTa prAdyumnim anu ca AmnAsyanti 
   ūṣāṃ bāṇasya kanyāṃ rahasi gatam ananāniruddhaṃ niruddhaṃ	UzAm bANasya kanyAm rahasi gatam ananA nirudDam nirudDam
   yuddhe buddhā tam etaṃ drutam abhigatavān yudhyato' gryān nihatya |	yudDe budDA tam etam drutam aBigatavAn yuDyataH a gryAn nihatya |
   brahmāṇḍa dhvaṃsad akṣa jvalana vaha mahā śūla bhṛc chūlapāṇiṃ	brahmANxa DvaMsat  akza  jvalana vaha  mahA  SUla BRc  SUla pANim
   tat pakṣaṃ nirjayaṃs tad bhuja balam alūnād yas tu tatrānyakaḥ kaḥ	tat  pakzam nirjayan tad  Buja  balam alUnAt yaH tu tatra anyakaH kaH
   ||JGc_1,33.68||	||JGc_1,33.68||
   [161] kṛṣṇa uvāca vismayaḥ khalv ayam | yad vismariṣyāmy eva vraja vārtām	[161] kRzNaH uvAca  vismayaH Kalu ayam | yat vismarizyAmi eva vraja vArtAm
   [162] ṛṣir uvāca na hi na hi | sā hi tavāhite manasi rāga mayī jāgarūkatām	[162] RziH uvAca na hi na hi | sA hi tava Ahite manasi rAga  mayI jAgarUka tAm
   eva parām āgamiṣyati |	eva parAm Agamizyati |
   [163] hanta ! yat khalu nirantaram antargatam, tat katham antargatam iva	[163] hanta ! yat Kalu nirantaram antargatam, tat kaTam antargatam iva
   jāyeta | kintu pūrva nirdiṣṭaṃ gurv anādiṣṭatā paraṃ tasmin	jAyeta | kintu pUrva  nirdizwam guru  anAt izwa tA  param tasmin
   nirdiṣṭi viśiṣṭim ācariṣyati |	nirdizwi  viSizwim Acarizyati |
   [164] tadā ca kadācana rāmeṇa saha rahasya vārtā tava vartiṣyate | yatra	[164] tadA ca kadAcana rAmeNa saha rahasi a vArtA tava vartizyate | yatra
   sva gamanam anālocya rāmaṃ śaśvad anuśocya vrajasthānāṃ smṛtitaḥ	sva  gamanam anAlocya rAmam SaSvat anuSocya vraja sTAnAm smRtitaH
   pracyavamāna bāṣpas tvayā ca tathānuśocatā procyamānas tava sandeśaṃ	pracyavamAna  bAzpaH tvayA ca taTA anuSocatA procyamAnaH tava sandeSam
   praveśayan māthura vraja deśa praveśaṃ gopa veśam āveśya prāpsyati |	praveSayat mATura  vraja  deSa  praveSam gopa veSam AveSya prApsyati |
   prāpya ca sa yathā kathā viṣayas tathā samasya varṇayiṣyati 	prApya ca sa yaTA kaTA vizayaH taTA samasya varNayizyati 
   vrajasthānāṃ rāmaḥ sva sahaja viyogārciṣi hareḥ	vraja sTAnAm rAmaH sva  sahaja  viyoga arcizi hareH
   purā satyaṃ jajñe punar iha tu jātaḥ sukha kṛtī |	purA satyam jajQe punar iha tu jAtaH suKa kRtI |
   yatas teṣāṃ jvālāṃ sphurad amṛta vācā praśamayaṃs	yatas tezAm jvAlAm sPurat amRta vAcA praSamayan= 
   tadīyāṃ sphūrtiṃ dṛg viṣayam iva cakre sva balataḥ ||JGc_1,33.69||	tadIyAm sPUrtim dRg  vizayam iva cakre su a balataH ||JGc_1,33.69||
   [165] kim anyad vā vinyasitavyam | tena tathā te nanditā yathā sarve' pi	[165] kim anyat vA vinyasitavyam | tena taTA te nanditAH yaTA sarve a pi
   svayaṃ saparva prāyatayā taṃ prārthayāmāsuḥ |	svayam sa parva  prAya tayA tam prArTayAmAsuH |
   [166] tad upabhoga tṛṣṇayā cira pālita sukumāra kaumāra kusumānāṃ	[166] tad  upaBoga  tRzNayA cira  pAlita  su kumAra  kOmAra  kusumAnAm
   sura vallī samatā suṣamāṇām iva labdha cara tadīya saṃśleṣāṇām	sura vallI  sama tA  suzamANAm iva labDa cara tadIya  saMSlezANAm
   ābhīra kumārī viśeṣāṇām aṅgīkārāya |	ABIra kumArI  viSezANAm aFgIkArAya |
   [167] śrīmān baladevaś ca yathāvad eva tathā valayāmāsa | valayitvā ca	[167] SrImAn baladevaH ca yaTAvat eva taTA valayAmAsa | valayitvA ca
   vrajaṃ prati pravalitānujāgamana viśvāsaḥ sva preyasīr ihaiva vihāya	vrajam prati pravalita anuja Agamana  viSvAsaH sva preyasIH iha eva vihAya
   dvārakām api niścinta iva caliṣyati | āgatya ca dvārakāṃ tvām api	dvArakAm api niScintaH iva calizyati | Agatya ca dvArakAm tvAm api
   sāntvayiṣyati | yathā kartavyāvaśeṣaṃ vidhāya vraja śleṣam avāpsyati |	sAntvayizyati | yaTA a kartavya avaSezam viDAya vraja  Slezam avApsyati |
   [168] kṛṣṇa uvāca kiyān avaśeṣas tāvāṃś ca viśeṣaḥ kathyatām |	[168] kRzNaH uvAca kiyAn avaSezaH tAvAn ca viSezaH kaTyatAm |
   [169] ṛṣir uvāca kramaśa eva prakaramaṇīyaḥ | tathā hi vrajaṃ prati	[169] RziH uvAca kramaSas eva prakaramaNIyaH | taTA hi vrajam prati
   calitavati sakala guṇa tantre balabhadre puṇḍraka maṇḍala patiḥ	calitavati sakala  guNa tantre balaBadre puNxraka maNxala patiH
   kṛtrima vāsudevatayā citrita rūpas tvāṃ spardhayā vardhamāna garvaṃ	kRtrima  vAsudevatayA citrita  rUpaH tvAm sparDayA varDamAna   garvam
   sādhu krodha samudbodhanam evaṃ sandekṣyati 	sADu  kroDa  samudboDanam evam sandekzyati 
   vāsudevo' vatīrṇo' ham eka eva na cāparaḥ |	vAsudevaH a vatIrNaH a ham ekaH eva na ca aparaH |
   bhūtānām anukampārthaṃ tvaṃ tu mithyābhidhāṃ tyaja ||[BhP 10.66.5] iti |	BUtAnAm anukampA arTam tvam tu miTyA aBiDAm tyaja ||[Bhj 10.66.5] iti |
   [170] pratisandekṣyanti tu taṃ yadavaḥ, yathā 	[170] pratisanda Ikzyanti tu tam yat avaH, yaTA 
   puṇḍra keśa sa bhavān abhūd dhariḥ	puNxra keSa sa BavAn aBUt DariH
   kāśi rāḍ na kim ihābhavac chiraḥ |	kASi rAj na kim iha aBavat SiraH |
   mitratām aśivatāṃ tathāsajann	mitra tAm aSiva tAm taTA asajan= 
   anyathā prathitavān sa tu tvayi ||JGc_1,33.70||	anyaTA praTitavAn sa tu tvayi ||JGc_1,33.70||
   vṛttāntenāmunā tu tvad vṛttāntaḥ so' yam īkṣate |	vRttAntena amunA tu tvad  vRttAntaH saH a yam Ikzate |
   kṛtāntenācireṇa tvaṃ kṛtānta iva vartase ||JGc_1,33.71|| iti |	kRtAntena acireNa tvam kRtAntaH iva vartase ||Ju c_1,33.71|| iti |
   [171] kṛṣṇa uvāca tatas tataḥ ?	[171] kRzNaH uvAca  tatas tatas ?
   [172] ṛṣir uvāca tatas tad vadhānantaraṃ tvaṃ tu taṃ tan mitraṃ kāśīrājam	[172] RziH uvAca  tatas tad  vaDa anantaram tvam tu tam tat  mitram kASI rAjam
   api prāptanāśī kariṣyasi | tayoḥ śivādya pacitir apy apacitim eva	api prApta nASI  karizyasi | tayoH SivAdya pacitiH api apacitim eva
   kariṣyati | tataś ca 	karizyati | tatas ca 
   yadā satrāyitā tatra kāśīśa tanayas tadā |	yadA sa trAyitA tatra kASISa tanayaH tadA |
   tasmāt kaṣṭāyamānaḥ sann aṣṭim ucciar aṭiṣyati ||JGc_1,33.72||	tasmAt kazwAyamAnaH san azwim ucciar awizyati ||JGc_1,33.72||
   [173] atha rāmas tu dvividaṃ rāma senāgrām agrāmaṇyaṃ vidann api haniṣyati	[173] aTa rAmaH tu dvividam rAma  sena agrAm agrAmaNyam vidan api hanizyati
   | yathā ca kathayiṣyanti 	| yaTA ca kaTayizyanti 
   āśritya rāmaṃ dvividaḥ svecchayā narakaṃ śritaḥ |	ASritya rAmam dvividaH sva icCayA narakam SritaH |
   iti tan niṣkṛtiṃ kurvan rāmo' nyas tam adaṇḍayat ||JGc_1,33.73||	iti tan  nizkRtim kurvan rAmaH a nyaH tam adaNxayat ||JGc_1,33.73||
   [174] śrī rāma uddiśya ca vandi vṛndāni vandiṣyante 	[174] SrI rAmaH uddiSya ca vandi vRndAni vandizyante 
   hālālohita locane hala bhṛti vyākoṣa śoṇābja yug 	hAlAlohita  locane hala BRti vyAkoza  SoNa abja  yug 
   gaṅgā bhrānti bharākarā madhukarāḥ koṭir gatāḥ kūṭatām |	gaFgA  BrAnti  Bara AkarAH maDukarAH kowiH gatAH kUwa tAm |
   kiṃ ca kṣauṇi śaṭhā haṭād agharipos tejaḥ prasuptaṃ yaśasy	kim ca kzONi SaWAH hawAt aGa ripoH tejaH prasuptam yaSasy
   udbuddhaṃ kila vardhituṃ tad iti te vārdhiṃ gatiṃ saṅgatāḥ ||JGc_1,33.74||	udbudDam kila varDitum tat iti te vArDim gatim saFgatAH ||JGc_1,33.74||
   [175] kṛṣṇa uvāca hanta maharṣe ! bāṭa ghaṭita nyāyenāpi mama	[175] kRzNaH uvAca hanta mahA Rze ! bAwa  Gawita nyAyena api mama
   vraja sambandhibhiḥ samaṃ samanvayaḥ kiṃ na bhavitā ?	vraja  sambanDiBiH samam samanvayaH kim na BavitA ?
   [176] ṛṣir uvāca bhavitā | yatas tad eva vṛttaṃ kramataḥ kramate sma |	[176] RziH uvAca  BavitA | yatas tat eva vRttam kramatas kramate sma |
   [177] tathā hi yadā rāmas tīrtha yātrāṃ kariṣyati, yasyāś cānte	[177] taTA hi yadA rAmaH tIrTa yAtrAm karizyati, yasyAH ca ante
   bhīṣmādi śāntatā prānte duryodhana vadhaḥ sampatsyate, tasyāḥ prāg yadā	BIzma Adi SAnta tA  prAnte duryoDana vaDaH sampatsyate, tasyAH prAk yadA
   kadāpi sūryoparāgaḥ sāgaravat parva garimāṇam āgantā | yaś caivaṃ	kadApi sUrya uparAgaH sAgara vat parva  garimANam AgantA | yaH ca evam
   varṇayiṣyate 	varNayizyate 
   grasta sūryeṇa tamasā tamasā vyāpi tad dinam |	grasta  sUryeNa tamasA tamasA vyApi tat dinam |
   udite hari vaktrendau smerājani kumudvatī ||JGc_1,33.75|| iti |	udite hari vaktra indO smera ajani kumudvatI ||Ju = _1,33.75|| iti |
   tadā tu 	tadA tu 
   kaṃsa pratāpitāḥ sarve vayaṃ yātā diśaṃ diśam |	kaMsa  pratApitAH sarve vayam yAtAH diSam diSam |
   etarhy eva punaḥ sthānaṃ daivenāsāditāḥ svasaḥ ||JGc_1,33.76|| iti | [BhP	etarhi eva punar sTAnam dEvena AsAditAH svasaH ||JGc_1,33.76|| iti | [BhP
   [178] śrī vasudeva vacanāt kaṃsa vadhān nātivyavadhāna kāle kuru bhuvi	[178] SrI  vasudeva  vacanAt kaMsa  vaDAt na ati vyavaDAna  kAle kuru Buvi
   suvimala jātīyā bhāratīyāḥ prajāḥ prāyaḥ prayāsyanti | yatra	su vimala   jAtIyAH BAratIyAH prajAH prAyas prayAsyanti | yatra
   yudhiṣṭhirograsenādi saṃsaktānāṃ bhavadīya mahiṣṭha bhaktānāṃ samāgamaḥ	yuDizWira ugrasena Adi saMsaktAnAm BavadIya  mahizWa  BaktAnAm samAgamaH
   parameṣṭhi goṣṭhīm api kaniṣṭhāṃ kariṣyati |	paramezWi  gozWIm api kanizWAm karizyati |
   [179] kiṃ bahunā, bhavān api tatra bhavitā | vraja vāsi tatir api vrajitā	[179] kim bahunA, BavAn api tatra BavitA | vraja  vAsi tatiH api vrajitA
   | yataḥ parimilanāya parasparam adhikam abhikatāṃ gatānāṃ lakṣya mātraṃ	| yatas parimilanAya parasparam aDikam aBikatAm gatAnAm lakzya  mAtram
   tvad ādikaṃ lakṣyate |	tvad  Adikam lakzyate |
   [180] kṛṣṇaḥ sāsram uvāca tatas tataḥ ?	[180] kRzNaH sa asram uvAca  tatas tatas ?
   [181] ṛṣir uvāca tataś ca 	[181] RziH uvAca  tatas ca 
   yathārka tapto jala bindur indunā	yaTA arka taptaH jala binduH indunA
   nidāgha dagdhaṃ vipinṃ payomucā |	nidAGa  dagDam vipinm payomucA |
   viṣārditaṃ vārbhavatā vilokyate	viza arditam vA arBavatA vilokyate
   saṅgāt tathā tvad virahī tvayā vrajaḥ ||JGc_1,33.77||	saFgAt taTA tvad  virahI tvayA vrajaH ||JGc_1,33.77||
   [182] kṛṣṇaḥ sa gadgadam uvāca tatas tataḥ ?	[182] kRzNaH sa gadgadam uvAca  tatas tatas ?
   [183] ṛṣir uvāca tataś ca 	[183] RziH uvAca  tatas ca 
   mātā tātaḥ pitṛ sahacarā bhrātaro bandhu vargā	mAtA tAtaH pitR sahacarA BrAtaraH banDu vargA
   dāsā hṛdyās tava nija janāḥ kecid anye ca tatra |	dAsAH hRdyAH tava nija  janAH kecid anye ca tatra |
   prāpsyanti tvāṃ bhavati ca bhaviṣyanti te' nanya cittās	prApsyanti tvAm Bavati ca Bavizyanti te a nanya cittAs
   teṣv āveśād bahuṣu bhavitā naika cetā bhavāṃs tu ||JGc_1,33.78||	tezu AveSAt bahuzu BavitA na eka  cetAH BavAn tu ||JGc_1,33.78||
   tataś ca 	tatas ca 
   tvaṃ vrajeti nija prema gopayann iva vatsyasi |	tvam vraja iti nija  prema gopayan iva vatsyasi |
   vrajas tu sva guṇais tatra sarva preyān bhaviṣyati ||JGc_1,33.79||	vrajaH tu sva  guNEH tatra sarva preyAn Bavizyati ||JGc_1,33.79||
   tatra ca 	tatra ca 
   yadā yadā drakṣyati tāṃ bhavāṃs tadā	yadA yadA drakzyati tAm BavAn tadA
   pūrṇaṃ samūrṇo lavitā dṛśor jalam |	pUrNam samUrNaH lavitA dRSoH jalam |
   bhavantam apy evam amī yathāmunā	Bavantam api evam amI yaTA amunA
   kaṇṭhāntam antar hṛdayaṃ nirotsyate ||JGc_1,33.80||	kaNWa antam antar hRdayam nirotsyate ||JGc_1,33.80||
   [184] tad evaṃ vaiśākham ārabhya varṣā yāvad atiharṣāt tvāṃ nirṇimeṣam eva	[184] tat evam vESAKam AraBya varzAH yAvat ati harzAt tvAm nirNimezam eva
   nirvarṇayantas te vraja vāsinaḥ saṃvatsyanti | tad ante sad anūkaṭayā	nirvarNayantaH te vraja  vAsinaH saMvatsyanti | tad  ante sad anUkawayA
   labdha mūka sthitiṣu śrīman nandādiṣu teṣām ānakadundubhi prabhṛtīnāṃ	labDa mUka  sTitizu SrIman nanda Adizu tezAm AnakadunduBi  praBRtInAm
   parama snigdhāntaḥ karaṇatāṃ vilocya jāta putra pautrāvalokanena	parama  snigDa antaH karaNa tAm vilocya jAta  putra  pOtra avalokanena
   kṣiti vipakṣa pakṣa prāyatāvakalanena ca svasminn aviśvasti srastitaḥ	kziti vipakza  pakza  prAyata ava kalanena ca svasmin aviSvasti  srastitaH
   samāśvastim api vilokya sarva ślokya caritaḥ	samASvastim api vilokya sarva Slokya  caritaH
   sahāyīkṛta balarāmoddhava rohiṇīkatayā taiḥ saha	sahAyIkRta  bala rAmA udDava  rohiNIka tayA tEH saha
   nija vṛndāvana vraja darśanam ekānte mantraṇā pūrvakaṃ vicintya niścintya	nija  vRndAvana vraja  darSanam ekAnte mantraNA  pUrvakam vicintya niScintya
   ca śrīman nandādīn sa sāntvaṃ māthurān eva prasthāpayiṣyasi |	ca SrI man nanda AdIn sa  sAntvam mATurAn eva prasTApayizyasi |
   [185] idam eva bādarāyaṇir apy āha tataḥ kāmaiḥ pūryamāṇaḥ sa vrajaḥ	[185] idam eva bAdarAyaNiH api Aha tatas kAmEH pUryamANaH sa vrajaH
   saha bāndhavaḥ [BhP 10.84.67] ity ādinā kṛṣṇe kamala patrākṣe	sa ha bAnDavaH [Bhj 10.84.67] iti AdinA kRzNe kamala  patra akze
   saṃnyastākhila rādhasaḥ [BhP 10.65.6] iti pūrvoktes tvad āgamana tātparyā	saMnyasta aKila  rADasaH [Bhj 10.65.6] iti pUrva ukteH tvad  Agamana  tAtparyA
   eva teṣāṃ kāmā iti | prasthāpana samayatas teṣāṃ viśeṣāvasthā varṇanaṃ tu	eva tezAm kAmAH iti | prasTApana  samayataH tezAm viSeza avasTA varNanam tu
   tat tad asmākaṃ buddhim āstṛṇotīty alam ativistareṇa |	tat tat asmAkam budDim AstRNoti iti alam ati vistareNa |
   [186] kṛṣṇa uvāca asmad avasthāṃ tu varṇaya |	[186] kRzNaH uvAca asmad  avasTAm tu varNaya |
   [187] ṛṣir uvāca kuru sthalāt kuśasthalam āgatya sthitaḥ sa bhavān	[187] RziH uvAca kuru  sTalAt kuSasTalam Agatya sTitaH sa BavAn
   pāṇḍava rājena rājasūya mantraṇāyāsmad dvārā nimantritaṃ sann	pANxava  rAjena rAjasUya  mantraNAya asmat  dvArAH nimantritam san= 
   indraprasthaṃ prasthāsyate |	indraprasTam prasTAsyate |
   [188] tataś ca satvaraṃ gatvā bhīa prabhṛtaye dik sīma vijaya yaśāṃsi	[188] tatas ca sa tvaram gatvA BIa  praBRtaye dik  sIma  vijaya  yaSAMsi
   dattvā bhīma dvārā jarāsandhaṃ hatvā tat kṛta bandhāni nṛpa vṛndāni	dattvA BIma  dvArA jarAsanDam hatvA tat kRta  banDAni nRpa  vRndAni
   mocayitvā vijitena rāja vrajena yudhiṣṭhiraṃ rocayitvā rājasūyena	mocayitvA vijitena rAja  vrajena yuDizWiram rocayitvA rAjasUyena
   yājayiṣyasi | tatra jarāsandha ghātanaṃ, yathā 	yAjayizyasi | tatra jarAsanDa  GAta nan, yaTA 
   bandhaṃ bandhaṃ yam anu mumuce taṃ jarāsandham enaṃ	banDam banDam yam anu mumuce tam jarAsanDam enam
   hanyām addhā svayam atha yadi śravyam etan na tarhi |	hanyAm adDA svayam aTa yadi Sravyam etat na tarhi |
   itthaṃ kṛṣṇa tvam iha kalayan bhīmasenena yuddhād	itTam kRzNa tvam iha kalayan BImasenena yudDAt 
   dharyād daitya prakṛtim amukaṃ ghātayiṣyasy asy upetya ||JGc_1,33.81||	DaryAt dEtya  prakRtim amukam GAtayizyasi asi upetya ||JGc_1,33.81||
   [189] milad artana giri garta vartamāna nṛpāṇāṃ kṛpayā mocanam, yathā 	[189] milat  arta na  giri garta vartamAna  nRpANAm kRpayA mocanam, yaTA 
   kārāgārāndha tāmisra bandhād andhāyitān nṛpān |	kArAgAra anDa tAmisra  banDAt anDAyitAn nRpAn |
   svarūpa dṛṣṭibhiḥ sṛṣṭa dṛṣṭīn parikariṣyati ||JGc_1,33.82||	svarUpa dRzwiBiH sRzwa dRzwIn parikarizyati ||JGc_1,33.82||
   [190] rājasūyam, yathā 	[190] rAjasUyam, yaTA 
   nirjitya kṣitipati maṇḍalāni pāṇḍoḥ	nirjitya kzitipati  maNxalAni pANxoH
   putrais tāny anugamitāni saṅghaṭayya |	putrEH tAni anugamitAni saFGawayya |
   cedīśaṃ sadasi nihatya tad viruddhaṃ	ced ISam sadasi nihatya tat  virudDam
   teṣāṃ tad viracayitāsi rājasūyam ||JGc_1,33.83||	tezAm tat  viracayitA asi rAjasUyam ||JGc_1,33.83||
   yajñe tasmin nṛloko nṛpati tad adhipā vipra viprarṣi varyāḥ	yajQe tasmin nR lokaH nRpati tad  aDipAH vipra vipra Rzi  varyAH
   svargasthāḥ svarga pālās tridaśa munivarāḥ kiṃ ca vedhāḥ śivāś ca |	svarga sTAH svarga pAlAH tridaSa  muni varAH kim ca veDAH SivAH ca |
   dṛṣṭyā śrutyāpi tat tad bahuvidha bhagavad rūpa vṛndasya vijñāḥ	dRzwyA SrutyA api tat tat bahuviDa  Bagavat  rUpa vRndasya vijQAH
   paśyanto rūpam etat tava kim api muhur vismariṣyanti sarvam	paSyantaH rUpam etat tava kim api muhur vismarizyanti sarvam
   ||JGc_1,33.84||	||JGc_1,33.84||
   [191] tad evaṃ rājasūyaṃ santānya kuntyāḥ santānān sammānya yadā	[191] tat evam rAjasUyam santAnya kuntyAH santAnAn sammAnya yadA
   dvārakāyāṃ gantāsi, tadā sādhūnāṃ śalyaṃ śālvaṃ lohamaya vyoma cāri pūryā	dvArakAyAm gantAsi, tadA sADUnAm Salyam SAlvam loham aya  vyoma  cAri  pUryA
   parāg eva tām āvārya dṛṣṭvā pūryamāṇa pāñcajanyaḥ sannāti prayatnatas taṃ	parAk eva tAm AvArya dRzwvA pUryamANa  pAQcajanyaH sannAti  prayatnataH tam
   deva sapatnaṃ haniṣyasi |	deva  sapatnam hanizyasi |
   tataś ca 	tatas ca 
   krudhyan krudhyat saubha puraṃ vyomādhva dvārakārudham |	kruDyan kruDyat  sOBa  puram vyomADva dvArakA ruDam |
   dhvaṃsayiṣyasi tad yadvat tripuraṃ tripurāntakṛt ||JGc_1,33.85||	DvaMsayizyasi tat yadvat tripuram tripurAnta kRt ||JGc_1,33.85||
   [192] atra ca gāyanti 	[192] atra ca gAyanti 
   ūḍumbare kṛmis tāvan nijāḍambara garvitaḥ |	Uxumbare kRmiH tAvat nija Axambara  garvitaH |
   yāvan na danti dantānām antaḥ patati tat phalam ||JGc_1,33.86||	yAvat na danti  dantAnAm antar patati tat Palam ||JGc_1,33.86||
   [193] kṛṣṇa uvāca adyāpi kati vilambā vraja bhū gatiḥ ?	[193] kRzNaH uvAca  adya api kati vilambA vraja  BU  gatiH ?
   [194] ṛṣir uvāca āyatāv evāyātā śrūyatām |	[194] RziH uvAca AyatO eva AyAtA SrUyatAm |
   [195] tad etat procya maharṣiṇā manasi procyate sma eṣā ca kalilokair	[195] tat etat procya mahA RziNA manasi procyate sma ezA ca kali lokEH 
   viralair evāvakalayiṣyate | asyā hi bahirmukhān pratavaguṇṭhayitum	viralEH eva avakalayizyate | asyAH hi bahirmuKAn pratava guNWayitum
   antarmukhāṃs tūtkaṇṭhayituṃ maharṣibhiḥ parokṣa prāyī kṛtāyāḥ khalv	antarmuKAn tu utkaNWayitum mahA RziBiH parokza  prAyI  kRtAyAH Kalu 
   asmad ādi saṃvādamayyāḥ śrī bhāgavata bhārata pādmādīnām	asmad  Adi  saMvAda mayyAH SrI  BAgavata  BArata pAdma AdInAm
   eka vākyatā karaṇata eva śakyā pratītir iti | tad idaṃ ca kiñcana	eka vAkyatA karaNataH eva SakyA pratItiH iti | tat idam ca kiQcana
   mad upadeśa nidigdhaṃ madhukaṇṭha snigdhakaṇṭhābhyāṃ	mad  upadeSa  nidigDam maDu kaNWa  snigDa kaNWAByAm
   prāpta kṛṣṇopakaṇṭhābhyāṃ kṣīra kaṇṭhābhyām api sva kaṇṭhād eva	prApta kRzNa upakaNWAByAm kzIra kaNWAByAm api sva kaNWAt eva
   campū dvayam apūrva racanayā sampūrṇaṃ kurvadbhyām	campU  dvayam apUrva  racanayA sampUrNam kurvadByAm
   uttara campūttara bhāgam añcadbhyāṃ tat tac chāstra mata vistāraṇayā	uttara  campu uttara  BAgam aQcadByAm tat tac  SAstra  mata vistAraNayA
   prastoṣyate, tad eva samasya vicāryate |	prastozyate, tat eva samasya vicAryate |
   [196] yadā śālva yuddham udbuddham, tadā pāṇḍavānāṃ durodara daṇḍa iti	[196] yadA SAlva  yudDam udbudDam, tadA pANxavAnAm durodara daNxaH iti
   vana parva kathā | śālvasya tu prāṇān daṇḍayitvā madhu pura dvāri	vana  parva  kaTA | SAlvasya tu prANAn daNxayitvA maDu pura dvAri
   vakratā caṇḍaṃ savidūratha dantavakraḥ khaṇḍa khaṇḍaśaḥ khaṇḍitaś ca,	vakra tA  caNxam sa vidUraTa  danta vakraH KaNxa KaNxaSas KaNxitaH ca,
   tenānena bhaviteti pādmottara khaṇḍa prathā | tad anantaraṃ ca punar	tena anena BavitA iti pAdma uttara   KaNxa  praTA | tad  anantaram ca punar 
   vrajāgamanam asya mahādeva devyāḥ saṃvāda rahasya maye tatraiva spaṣṭaṃ	vraja Agamanam asya mahAdeva devyAH saMvAda  rahasya  maye tatra eva spazwam
   niṣṭaṅkyate | yat khalu satya saṅkalpatayānalpa samajñā vijñātānāṃ āyāsye	nizwaFkyate | yat Kalu satya  saFkalpa tayA analpa  sama jQA  vijQAtAnAm AyAsye
   iti dyotakaiḥ [BhP 10.41.17], āgamiṣyaty atidīrgheṇa [BhP 10.46.34] ity	iti dyotakEH [Bhj 10.41.17], Agamizyati ati dIrGeNa [Bhj 10.46.34] iti 
   ādi bahutarād bhagavad bhāgavatānāṃ pratijñānusārāt śrīmad bhāgavatenāpy	Adi bahutarAt Bagavat  BAgavatAnAm pratijQA anusArAt SrImat  BAgavatena api 
