   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   vyaktadarśanamapyasat Bca_9.138d	vyakta-darSanam-api-asat Bca_9.138d
   vyaktasyāsata utpattir Bca_9.136a	vyaktasya-asataH utpattiH Bca_9.136a
   vyagratayā dhanasaktamatīnāṃ Bca_8.79c	vyagra-tayA Dana-sakta-matInAm Bca_8.79c
   vyathāyāṃ kutra kupyate Bca_6.44d	vyaTAyAm kutra kupyate Bca_6.44d
   vyasanaśatairapi kena hetunā vai Bca_4.38d	vyasana-SatEH-api kena hetunA vE Bca_4.38d
   vyasanaṃ vinipātaya Bca_8.165d	vyasanam vinipAtaya Bca_8.165d
   vyasanaughaprasavaikahetuṣu Bca_4.34b	vyasana-oGa-prasava-eka-hetuzu Bca_4.34b
   vyādhibandhanatāḍanaiḥ Bca_6.16b	vyADi-banDana-tAxanEH Bca_6.16b
   vyādhyākulo naro yadvan Bca_5.24a	vyADi-AkulaH naraH yadvat Bca_5.24a
   vyādhyāraṇyādisaṃkaṭe Bca_10.26b	vyADya-araNya-Adi-saMkawe Bca_10.26b
   vyāpāraiḥ kṣutklamaśramaiḥ Bca_9.160b	vyApArEH kzuD-klama-SramEH Bca_9.160b
   vyutthitaśceṣṭamānastu Bca_7.53c	vyutTitaH-cezwamAnaH-tu Bca_7.53c
   vyomavat sphuṭamakriyaḥ Bca_6.29b	vyoma-vat sPuwam-akriyaH Bca_6.29b
   vraṇaduḥkhalavādbhīto Bca_5.20a	vraNa-duHKa-lavAt-BItaH Bca_5.20a
   śakaṭaṃ vahato yadvat Bca_8.80c	Sakawam vahataH yadvat Bca_8.80c
   śaktā bhavantu cauṣadhyo Bca_10.40a	SaktAH Bavantu ca-ozaDyaH Bca_10.40a
   śakto jñātuṃ hitāhitam Bca_7.19b	SaktaH jQAtum hita-ahitam Bca_7.19b
   śatruryadi na pūjyate Bca_6.110b	SatruH-yadi na pUjyate Bca_6.110b
   śatruvadyo bhayāvahaḥ Bca_8.121d	Satru-vat-yaH Baya-AvahaH Bca_8.121d
   śatroścaitadviparyayāt Bca_6.11d	SatroH-ca-etat-viparyayAt Bca_6.11d
   śabdagrahaṇayuktastu Bca_9.65c	Sabda-grahaNa-yuktaH-tu Bca_9.65c
   śabdagrahaṇarūpaṃ yat Bca_9.64a	Sabda-grahaNa-rUpam yat Bca_9.64a
   śabdajñānaṃ yadi tadā Bca_9.61a	Sabda-jQAnam yadi tadA Bca_9.61a
   śabdastāvadacittatvāt Bca_6.94a	SabdaH-tAvat-acitta-tvAt Bca_6.94a
   śabdasyāsaṃnidhānāccet Bca_9.63c	Sabdasya-asaMniDAnAt-ced Bca_9.63c
   śabdo gṛhyeta sarvadā Bca_9.61b	SabdaH gRhyeta sarvadA Bca_9.61b
   śamathaḥ prathamaṃ gaveṣaṇīyaḥ Bca_8.4c	SamaTaH praTamam gavezaNIyaH Bca_8.4c
   śamathena vipaśyanāsuyuktaḥ Bca_8.4a	SamaTena vipaSyana-asu-yuktaH Bca_8.4a
   śayyā śayyārthināmahaṃ Bca_3.18b	SayyA SayyA-arTinAm-aham Bca_3.18b
   śaraṇaṃ yāmi bhāvena Bca_2.49c	SaraNam yAmi BAvena Bca_2.49c
   śaraṇaṃ yāmi vo bhīto Bca_2.54c	SaraNam yAmi vaH BItaH Bca_2.54c
   śarīrapakṣapātena Bca_8.180a	SarIra-pakza-pAtena Bca_8.180a
   śarīrābhiniveśāttu Bca_6.52c	SarIra-aBiniveSAt-tu Bca_6.52c
   śarkarādivyapetā ca Bca_10.35a	SarkarA-Adi-vyapetA ca Bca_10.35a
   śastrāṇi kena narake Bca_5.7a	SastrANi kena narake Bca_5.7a
   śasyasaṃpattirastu ca Bca_10.39b	Sasya-saMpattiH-astu ca Bca_10.39b
   śāntāsu vanabhūmiṣu Bca_8.85d	SAntAsu vana-BUmizu Bca_8.85d
   śāntiṃ kuryāmahaṃ kadā Bca_9.167b	SAntim kuryAm-aham kadA Bca_9.167b
   śāmyantu vedanāstīvrā Bca_10.16a	SAmyantu vedanAH-tIvrA Bca_10.16a
   śālyannavyañjaneṣu vā Bca_8.62b	SAli-anna-vyaQjanezu vA Bca_8.62b
   śāsanaṃ bhikṣutāmūlaṃ Bca_9.45a	SAsanam BikzutA-mUlam Bca_9.45a
   śikṣākāmāśca bhikṣavaḥ Bca_10.43b	SikzA-kAmAH-ca BikzavaH Bca_10.43b
   śikṣānatikrame yatnaṃ Bca_4.1c	SikzAn-atikrame yatnam Bca_4.1c
   śikṣāsamuccayo 'vaśyaṃ Bca_5.105a	SikzA-samuccayaH avaSyam Bca_5.105a
   śikṣāṃ dṛṣṭvā samācaret Bca_5.107d	SikzAm dRzwvA samAcaret Bca_5.107d
   śikṣāṃ rakṣitukāmena Bca_5.1a	SikzAm rakzitu-kAmena Bca_5.1a
   śikṣāḥ sūtreṣu dṛśyante Bca_5.104a	SikzAH sUtrezu dRSyante Bca_5.104a
   śikṣitenāriṇā saha Bca_7.67d	Sikzitena-ariNA saha Bca_7.67d
   śikṣiṣyāmi yathākramaṃ Bca_3.23d	SikzizyAmi yaTAkramam Bca_3.23d
   śikṣettā eva yatnataḥ Bca_5.99d	Sikzet-tAH eva yatnatas Bca_5.99d
   śikṣedyadguruvartanam Bca_5.103b	Sikzet-yat-guru-vartanam Bca_5.103b
   śiraḥ patatu nāma me Bca_4.44b	SiraH patatu nAma me Bca_4.44b
   śiraḥśūlāni sattvānāṃ Bca_1.21a	SiraH-SUlAni sattvAnAm Bca_1.21a
   śiśornārjanasāmarthyaṃ Bca_8.72a	SiSoH-na-arjana-sAmarTyam Bca_8.72a
   śīghraṃ sarvajñatākāmo Bca_9.55c	SIGram sarvajQa-tA-kAmaH Bca_9.55c
   śītātapādivyasanaṃ sahante Bca_4.40c	SIta-Atapa-Adi-vyasanam sahante Bca_4.40c
   śītārtāḥ prāpnuvantūṣṇam Bca_10.5a	SIta-ArtAH prApnuvantu-uzNam Bca_10.5a
   śītoṣṇavṛṣṭivātādhi- Bca_6.16a	SIta-uzNa-vRzwi-vAta-ADi Bca_6.16a
   śīladṛṣṭivipattyādi- Bca_8.144a	SIla-dRzwi-vipatti-Adi Bca_8.144a
   śīlapāramitā matā Bca_5.11d	SIla-pAramitA matA Bca_5.11d
   śukraśoṇitabinduṣu Bca_8.111b	Sukra-SoNita-binduzu Bca_8.111b
   śukraśoṇitabinduṣu Bca_8.158b	Sukra-SoNita-binduzu Bca_8.158b
   śūnyatādarśanena kim Bca_9.41b	SUnyatA-darSanena kim Bca_9.41b
   śūnyatā duḥkhaśamanī Bca_9.56c	SUnyatA duHKa-SamanI Bca_9.56c
   śūnyatāyā idaṃ phalam Bca_9.53d	SUnyatAyAH idam Palam Bca_9.53d
   śūnyatāvāsanādhānād Bca_9.33a	SUnyatA-vAsanA-DAnAt Bca_9.33a
   śūnyadevakule sthitvā Bca_8.27a	SUnya-devakule sTitvA Bca_8.27a
   śūnyālaye vṛkṣatale guhāsu Bca_8.87b	SUnya-Alaye vRkza-tale guhAsu Bca_8.87b
   śūrāśrayeṇeva mahābhayāni Bca_1.13c	SUra-ASrayeNa-iva mahA-BayAni Bca_1.13c
   śṛgālā api yadgandhān Bca_8.31c	SRgAlAH api yat-ganDAn Bca_8.31c
   śṛṇvantu badhirāḥ sadā Bca_10.19b	SRNvantu baDirAH sadA Bca_10.19b
   śṛṇvannādāṃśca nārakān Bca_7.10b	SRNvat-=-AdAn=-ca nArakAn Bca_7.10b
   śerate sma mṛtā iva Bca_8.73d	Serate sma mRtAH iva Bca_8.73d
   śeṣāpattiśamastena Bca_5.98c	Seza-Apatti-SamaH-tena Bca_5.98c
   śeṣāstu mṛtamārakāḥ Bca_6.20d	SezAH-tu mRta-mArakAH Bca_6.20d
   śokavegasamucchūna- Bca_7.9a	Soka-vega-samucCUna Bca_7.9a
   śokādyārtāya mṛṣṭādi Bca_9.89c	Soka-Adi-ArtAya mRzwa-Adi Bca_9.89c
   śokāyāsairviṣādaiśca Bca_9.156a	Soka-AyAsEH-vizAdEH-ca Bca_9.156a
   śokārtāḥ prītilābhinaḥ Bca_10.21b	Soka-ArtAH prIti-lABinaH Bca_10.21b
   śociṣyāmi ciraṃ bhūyo Bca_4.24c	SocizyAmi ciram BUyas Bca_4.24c
   śmaśāne kila te ghṛṇā Bca_8.70b	SmaSAne kila te GRNA Bca_8.70b
   śmaśāne patitān ghorān Bca_8.63c	SmaSAne patitAn GorAn Bca_8.63c
   śraddhāprajñākṛpānvitāḥ Bca_10.27b	SradDA-prajQA-kRpA-anvitAH Bca_10.27b
   śraddhāṃ mānuṣyameva vā Bca_4.15b	SradDAm mAnuzyam-eva vA Bca_4.15b
   śramabhāgena buddhatā Bca_8.83b	Srama-BAgena budDa-tA Bca_8.83b
   śramaḥ kasya kṛtena me Bca_8.182d	SramaH kasya kRtena me Bca_8.182d
   śrameṇa mahatānena Bca_8.155c	SrameNa mahatA-anena Bca_8.155c
   śrāddhā yatnaparā api Bca_5.26b	SrAdDA yatna-parA api Bca_5.26b
   śrāvakebhyo 'pi śīghragaḥ Bca_7.29d	SrAvakeByaH api SIGra-gaH Bca_7.29d
   śrīsaṃbhavavimokṣācca Bca_5.103a	SrI-saMBava-vimokzAt-ca Bca_5.103a
   śrutacintitabhāvitam Bca_5.25b	Sruta-cintita-BAvitam Bca_5.25b
   śrutisaukhyaṃ kṛpāmūlaṃ Bca_5.79c	Sruti-sOKyam kRpA-mUlam Bca_5.79c
   śrūyatāṃ sarvadehibhiḥ Bca_10.37d	SrUyatAm sarva-dehiBiH Bca_10.37d
   śreṣṭhaḥ sattveṣu vidyate Bca_6.118b	SrezWaH sattvezu vidyate Bca_6.118b
   ṣaḍvijñānāni sarvathā Bca_9.60d	zaz-vijQAnAni sarvaTA Bca_9.60d
   sa eva kāraṇaṃ tasya Bca_6.104c	saH eva kAraNam tasya Bca_6.104c
   sa eva cenna jānāti Bca_8.182c	saH eva ced-na jAnAti Bca_8.182c
   sa evātaḥ kṣamāhetuḥ Bca_6.111c	saH eva-atas kzamA-hetuH Bca_6.111c
   sa evātyantaduḥsthitaḥ Bca_9.112b	saH eva-atyanta-duHsTitaH Bca_9.112b
   sa evānyasvabhāvaśced Bca_9.66c	saH eva-anya-svaBAvaH-ced Bca_9.66c
   sa kathaṃ vighna ucyate Bca_6.104d	sa kaTam viGnaH ucyate Bca_6.104d
   sakalamanorathasaṃprapūraṇaṃ Bca_1.33d	sakala-manoraTa-saMprapUraNam Bca_1.33d
   sakalaṃ yadi doṣavat Bca_9.51b	sakalam yadi dozavat Bca_9.51b
   sakalābhyāgatasattvatarpaṇaṃ Bca_3.32d	sakala-aByAgata-sattva-tarpaNam Bca_3.32d
   sa kiṃ necchati sattvānāṃ Bca_6.83a	sa kim na-icCati sattvAnAm Bca_6.83a
   sa kiṃ māṃ bhakṣayiṣyati Bca_6.54b	sa kim mAm Bakzayizyati Bca_6.54b
   sa kiṃ saṃskriyate yatnād Bca_8.69a	sa kim saMskriyate yatnAt Bca_8.69a
   saktitrāsāttvanirmuktyā Bca_9.53a	sakti-trAsAt-tva-nirmuktyA Bca_9.53a
   saṅkṣepānnāsti tatkiṃcit Bca_6.5c	saFkzepAt-na-asti tat-kiMcid Bca_6.5c
   saṅkṣepeṇāthavā tāvat Bca_5.106a	saFkzepeNa-aTavA tAvat Bca_5.106a
   saṅgrāmo hi saha kleśair Bca_6.19c	saFgrAmaH hi saha kleSEH Bca_6.19c
   sa ca kutra svayaṃ sthitaḥ Bca_9.81d	sa ca kutra svayam sTitaH Bca_9.81d
   sa caretparamaṃ guhyaṃ Bca_8.120c	sa caret-paramam guhyam Bca_8.120c
   sa ca loke nirapekṣayābhiratyā Bca_8.4d	sa ca loke nirapekzayA-aBiratyA Bca_8.4d
   sacetaneṣu kiṃ kopaḥ Bca_6.22c	sa-cetanezu kim kopaH Bca_6.22c
   sacchatradaṇḍaśastre ca Bca_5.88c	sa=-Catra-daNxa-Sastre ca Bca_5.88c
   sacchidrakumbhajalavan Bca_5.25c	sa=-Cidra-kumBa-jala-van Bca_5.25c
   sajjaḥ sarvatra vartate Bca_7.74d	sajjaH sarvatra vartate Bca_7.74d
   satataṃ phalati kṣayaṃ na yāti Bca_1.12c	satatam Palati kzayam na yAti Bca_1.12c
   sa tasmiṃściranaṣṭe 'pi Bca_9.37c	sa tasmin=-cira-nazwe api Bca_9.37c
   satkāramitvaraṃ dṛṣṭvā Bca_6.81c	satkAram-itvaram dRzwvA Bca_6.81c
   satkāraḥ kāyajīvitam Bca_5.22b	satkAraH kAya-jIvitam Bca_5.22b
   satkṛtaḥ paribhūto vā Bca_9.152c	satkRtaH pariBUtaH vA Bca_9.152c
   sattvakāryeṣu vāhaya Bca_8.163d	sattva-kAryezu vAhaya Bca_8.163d
   sattvakṣetraṃ jinakṣetram Bca_6.112a	sattva-kzetram jina-kzetram Bca_6.112a
   sattvatvādātmasattvavat Bca_8.94d	sattva-tvAt-Atma-sattva-vat Bca_8.94d
   sattvadhātupramokṣaṇe Bca_1.18b	sattva-DAtu-pramokzaNe Bca_1.18b
   sattvadhātoranekadhā Bca_3.21b	sattva-DAtoH-anekaDA Bca_3.21b
   sattvapūjā kṛtā bhavet Bca_6.118d	sattva-pUjA kRtA Bavet Bca_6.118d
   sattvamāhātmyameva tat Bca_6.115b	sattva-mAhAtmyam-eva tat Bca_6.115b
   sattvaratnaviśeṣo 'yam Bca_1.25a	sattva-ratna-viSezaH ayam Bca_1.25a
   sattvavyathāyāmapi tadvadeva Bca_6.123c	sattva-vyaTAyAm-api tadvat-eva Bca_6.123c
   sattvaṃ rajastamaśceti Bca_9.128a	sattvam rajaH-tamaH-ca-iti Bca_9.128a
   sattvaṃ rajastamo vāpi Bca_9.65a	sattvam rajaH-tamaH vA-api Bca_9.65a
   sattvānāmaprameyāṇāṃ Bca_3.20c	sattvAnAm-aprameyANAm Bca_3.20c
   sattvānāmeva cārthāya Bca_5.101c	sattvAnAm-eva ca-arTAya Bca_5.101c
   sattvānāṃ kinna vāñchasi Bca_6.81b	sattvAnAm kinna vAQCasi Bca_6.81b
   sattvānāṃ tena te samāḥ Bca_6.114d	sattvAnAm tena te samAH Bca_6.114d
   sattvānnāśayatīti cet Bca_6.62b	sattvAt-nASayati-iti ced Bca_6.62b
   sattvārādhanamutsṛjya Bca_6.119c	sattva-ArADanam-utsRjya Bca_6.119c
   sattvārādhanasaṃbhavam Bca_6.133b	sattva-ArADana-saMBavam Bca_6.133b
   sattvārthaṃ nānyadācaret Bca_5.101b	sattva-arTam na-anyat-Acaret Bca_5.101b
   sattvāḥ prakṛtipeśalāḥ Bca_6.40b	sattvAH prakRti-peSalAH Bca_6.40b
   sattvebhyaśca jinebhyaśca Bca_6.113a	sattveByaH-ca jineByaH-ca Bca_6.113a
   sattvopadravakāriṇaḥ Bca_6.42d	sattva-upadrava-kAriNaH Bca_6.42d
   satyataḥ kalpanā tvatra Bca_9.26c	satyataH kalpanA tu-atra Bca_9.26c
   satyadarśanato muktiḥ Bca_9.41a	satya-darSanataH muktiH Bca_9.41a
   satyadvayamidaṃ mataṃ Bca_9.2b	satya-dvayam-idam matam Bca_9.2b
   satyabuddhe kṛtā pūjā Bca_9.40c	satya-budDe kRtA pUjA Bca_9.40c
   satyamīhā tu mohataḥ Bca_9.77b	satyam-IhA tu mohataH Bca_9.77b
   satyavādīdamuktavān Bca_7.17d	satya-vAdI-idam-uktavAn Bca_7.17d
   satyāmeva sukhavyaktau Bca_9.133a	satyAm-eva suKa-vyaktO Bca_9.133a
   sadayena parātmanoḥ Bca_8.105d	sa-dayena para-AtmanoH Bca_8.105d
   sadā kalyāṇamitraṃ ca Bca_5.102a	sadA kalyANa-mitram ca Bca_5.102a
   sadā preṣaṇakāriṇām Bca_8.76b	sadA prezaNa-kAriNAm Bca_8.76b
   sadopasthāpyamīdṛśam Bca_5.34b	sadA-upasTApyam-IdRSam Bca_5.34b
   saddharmakṣīramathanān Bca_3.31c	sadDarma-kzIra-maTanAn Bca_3.31c
   saddharmaratnasya ca nirmalasya Bca_2.1c	sadDarma-ratnasya ca nirmalasya Bca_2.1c
   saddharmasebakaṃ kāyam Bca_5.86a	sadDarma-sebakam kAyam Bca_5.86a
   saddharmaḥ pūjyate katham Bca_6.109d	sadDarmaH pUjyate kaTam Bca_6.109d
   sadbhāve 'pi kathaṃ yathā Bca_9.9b	sadBAve api kaTam yaTA Bca_9.9b
   sa na nirdhāryate tataḥ Bca_8.35b	sa na nirDAryate tatas Bca_8.35b
   sa nāstīti vikalpanā Bca_9.141b	sa na-asti-iti vikalpanA Bca_9.141b
   santi te yeṣvahaṃ nīcaḥ Bca_8.143c	santi te yezu-aham nIcaH Bca_8.143c
   santi te yeṣvahaṃ varaḥ Bca_8.143d	santi te yezu-aham varaH Bca_8.143d
   santu jātismarāḥ sadā Bca_10.27d	santu jAti-smarAH sadA Bca_10.27d
   santu siddhamanorathāḥ Bca_10.24b	santu sidDa-manoraTAH Bca_10.24b
   santu svādhīnavṛttayaḥ Bca_10.28d	santu svADIna-vRttayaH Bca_10.28d
   saparibhavaṃ divasārdhayāpanāt Bca_1.32d	sa-pariBavam divasa-arDa-yApanAt Bca_1.32d
   sa paścānniyataḥ so 'sti Bca_9.108c	sa paScAt-niyataH saH asti Bca_9.108c
   saputrānpūjayāmyaham Bca_2.22d	sa-putrAn-pUjayAmi-aham Bca_2.22d
   sa preto bhavatītyuktam Bca_4.5c	sa pretaH Bavati-iti-uktam Bca_4.5c
   saphaleti kathaṃ yathā Bca_9.40d	saPala-iti kaTam yaTA Bca_9.40d
   sabhaktaṃ nirupadravaṃ Bca_4.16b	sa-Baktam nirupadravam Bca_4.16b
   samaduḥkhasukhāḥ sarve Bca_8.90c	sama-duHKa-suKAH sarve Bca_8.90c
   samantabhadrājitamañjughoṣa- Bca_2.13c	samantaBadra-ajita-maQjuGoza Bca_2.13c
   samamātmānamālokya Bca_8.147a	samam-AtmAnam-Alokya Bca_8.147a
   samastabhadrāyātmānaṃ Bca_2.50a	samasta-BadrAya-AtmAnam Bca_2.50a
   samastenaiva hastena Bca_5.94c	samastena-eva hastena Bca_5.94c
   samaṃ gauravamācaret Bca_5.89d	samam gOravam-Acaret Bca_5.89d
   samaṃ ca tena māhātmyaṃ Bca_6.114c	samam ca tena mAhAtmyam Bca_6.114c
   samādadāti taccittam Bca_1.18c	samAdadAti tat-cittam Bca_1.18c
   samādhānadhuraṃ naiva Bca_5.41c	samADAna-Duram na-eva Bca_5.41c
   samādhānaṃ karomyaham Bca_8.186b	samADAnam karomi-aham Bca_8.186b
   samādhānāya cittasya Bca_8.39c	samADAnAya cittasya Bca_8.39c
   samādhau na ca tiṣṭhati Bca_8.6b	samADO na ca tizWati Bca_8.6b
   samādhau sthāpayenmanaḥ Bca_8.1b	samADO sTApayet-manaH Bca_8.1b
   samā pāṇitalopamā Bca_10.35b	samA pANitala-upamA Bca_10.35b
   sa māṃ rakṣatu pāpinam Bca_2.51d	sa mAm rakzatu pApinam Bca_2.51d
   sa māṃ stautītyasaṃbhavaḥ Bca_6.94b	sa mAm stOti-iti-asaMBavaH Bca_6.94b
   samudānayituṃ kṣamāḥ Bca_4.30d	samudAnayitum kzamAH Bca_4.30d
   samūhasyāpyavastutvād Bca_9.97c	samUhasya-api-avastu-tvAt Bca_9.97c
   samyag yadavicāritaṃ Bca_4.2b	samyak yat-avicAritam Bca_4.2b
   sarāṃsi cāmbhoruhabhūṣaṇāni Bca_2.4c	sarAMsi ca-amBoruha-BUzaNAni Bca_2.4c
   saredapasaredvāpi Bca_5.38a	saret-apasaret-vA-api Bca_5.38a
   sarobhirudyāmasarojagandhair Bca_10.7c	saroBiH-udyAma-saroja-ganDEH Bca_10.7c
   sarcacaityāni vande 'haṃ Bca_2.25a	sarca-cEtyAni vande aham Bca_2.25a
   sarpāḥ sarve ca śatravaḥ Bca_5.4b	sarpAH sarve ca SatravaH Bca_5.4b
   sarvakālaṃ pariśramaḥ Bca_8.82d	sarvakAlam pariSramaH Bca_8.82d
   sarvakṣetrāṇusaṃkhyaiśca Bca_2.24a	sarva-kzetra-aNu-saMKyEH-ca Bca_2.24a
   sarvakhedaśramāpaham Bca_7.30d	sarva-Keda-Srama-apaham Bca_7.30d
   sarvajñanītyanutsargād Bca_7.19c	sarvajQanIti-anutsargAt Bca_7.19c
   sarvataḥ paribhūtāśca Bca_7.58a	sarvatas pariBUtAH-ca Bca_7.58a
   sarvatyāgaśca nirvāṇaṃ Bca_3.11a	sarva-tyAgaH-ca nirvANam Bca_3.11a
   sarvatrādhvagataṃ śubhaṃ Bca_3.10b	sarvatra-aDva-gatam SuBam Bca_3.10b
   sarvatrādhvagatānbuddhān Bca_2.24c	sarvatra-aDva-gatAn-budDAn Bca_2.24c
   sarvatrāvyāhatekṣaṇāḥ Bca_5.31b	sarvatra-avyAhata-IkzaNAH Bca_5.31b
   sarvatrāsaharāṃjinān Bca_2.48d	sarva-trAsa-harAMjinAn Bca_2.48d
   sarvatrisāhasravisārigandhair Bca_2.14a	sarva-tri-sAhasra-visAri-ganDEH Bca_2.14a
   sarvatraiva mamāstu tat Bca_6.96b	sarvatra-eva mama-astu tat Bca_6.96b
   sarvathā kleśavairiṇām Bca_4.44d	sarvaTA kleSa-vEriNAm Bca_4.44d
   sarvathāpi na tatte 'sti Bca_6.84c	sarvaTA-api na tat-te asti Bca_6.84c
   sarvadarpānnihanmi te Bca_8.169b	sarva-darpAn-nihanmi te Bca_8.169b
   sarvadikkhyātakīrtayaḥ Bca_10.46d	sarva-diS-KyAta-kIrtayaH Bca_10.46d
   sarvadikṣu na labhyate Bca_2.56d	sarva-dikzu na laByate Bca_2.56d
   sarvadikṣu vyavasthitān Bca_2.27b	sarva-dikzu vyavasTitAn Bca_2.27b
   sarvadurgativāsinaḥ Bca_10.16d	sarva-durgati-vAsinaH Bca_10.16d
   sarvaduḥkhapraśāntikṛt Bca_3.6d	sarva-duHKa-praSAnti-kRt Bca_3.6d
   sarvadoṣāstadāśritāḥ Bca_8.168d	sarva-dozAH-tad-ASritAH Bca_8.168d
   sarvamākāśasaṃkāśaṃ Bca_9.155a	sarvam-AkASa-saMkASam Bca_9.155a
   sarvamutsṛjya gantavyam Bca_2.35c	sarvam-utsRjya gantavyam Bca_2.35c
   sarvametatsucaritaṃ Bca_6.1a	sarvam-etat-su-caritam Bca_6.1a
   sarvamevāgratasteṣāṃ Bca_5.31c	sarvam-eva-agratas-tezAm Bca_5.31c
   sarvayatnena rakṣata Bca_5.23d	sarva-yatnena rakzata Bca_5.23d
   sarvavikṣepavarjitāḥ Bca_10.43d	sarva-vikzepa-varjitAH Bca_10.43d
   sarvavikṣepaśamanī Bca_8.38c	sarva-vikzepa-SamanI Bca_8.38c
   sarvaśalyāpahāriṇaḥ Bca_2.57b	sarva-Salya-apahAriNaH Bca_2.57b
   sarvaśiṣyaḥ sadā bhavet Bca_5.74d	sarva-SizyaH sadA Bavet Bca_5.74d
   sarvasattvagaveṣakāḥ Bca_4.13b	sarva-sattva-gavezakAH Bca_4.13b
   sarvasattvapraharṣaṇāḥ Bca_2.20d	sarva-sattva-praharzaNAH Bca_2.20d
   sarvasattvasukhāvahān Bca_3.3b	sarva-sattva-suKa-AvahAn Bca_3.3b
   sarvasattvasukhecchayā Bca_6.80b	sarva-sattva-suKa-icCayA Bca_6.80b
   sarvasattvahitādhānān Bca_3.3c	sarva-sattva-hita-ADAnAn Bca_3.3c
   sarvasattvā aśeṣataḥ Bca_10.31b	sarva-sattvAH aSezatas Bca_10.31b
   sarvasattvā bhavantu te Bca_10.33b	sarva-sattvAH Bavantu te Bca_10.33b
   sarvasattvārthamutsṛjya Bca_8.137c	sarva-sattva-arTam-utsRjya Bca_8.137c
   sarvasattvārthasādhane Bca_10.54b	sarva-sattva-arTa-sADane Bca_10.54b
   sarvasattvārthasiddhaye Bca_3.10d	sarva-sattva-arTa-sidDaye Bca_3.10d
   sarva sattvārthahānikṛt Bca_4.8d	sarva sattva-arTa-hAni-kRt Bca_4.8d
   sarvasattvairanekadhā Bca_10.48b	sarva-sattvEH-anekaDA Bca_10.48b
   sarvasattvaiḥ kṛtaṃśubhaṃ Bca_3.1b	sarva-sattvEH kRtaMSuBam Bca_3.1b
   sarvasaddharmaratneṣu Bca_2.21a	sarva-sad-Darma-ratnezu Bca_2.21a
   sarvasaṃpat sukhākaram Bca_10.57b	sarva-saMpad suKa-Akaram Bca_10.57b
   sarvasaukhyārthamudyamāt Bca_1.27d	sarva-sOKya-arTam-udyamAt Bca_1.27d
   sarvasya vastunastadvat Bca_9.134c	sarvasya vastunaH-tadvat Bca_9.134c
   sarvasyātmā guṇānvitaḥ Bca_8.143b	sarvasya-AtmA guNa-anvitaH Bca_8.143b
   sarvaṃ ca na bhaviṣyati Bca_2.37d	sarvam ca na Bavizyati Bca_2.37d
   sarvaṃ tasmai pradīyate Bca_5.69d	sarvam tasmE pradIyate Bca_5.69d
   sarvaṃ bodhāya nāmayet Bca_5.101d	sarvam boDAya nAmayet Bca_5.101d
   sarvaṃ yatpratyayabalāt Bca_6.25c	sarvam yat-pratyaya-balAt Bca_6.25c
   sarvaṃ yasyānubhāvād vyasanamapagataṃ prītivegāḥ pravṛttāḥ Bca_10.13c	sarvam yasya-anuBAvAt vyasanam-apagatam prIti-vegAH pravRttAH Bca_10.13c
   sarvaṃ hetumudīkṣate Bca_9.117b	sarvam hetum-udIkzate Bca_9.117b
   sarvākṣaṇavinirmuktāḥ Bca_10.27a	sarva-akzaNa-vinirmuktAH Bca_10.27a
   sarvāṇi tānyātmaparigraheṇa Bca_8.134c	sarvANi tAni-Atma-parigraheNa Bca_8.134c
   sarvāṇyapīmānyaparigrahāṇi Bca_2.5d	sarvANi-api-imAni-aparigrahANi Bca_2.5d
   sarvāṇyevāviśeṣataḥ Bca_8.102b	sarvANi-eva-aviSezatas Bca_8.102b
   sarvātmanā cetsarvatra Bca_9.82a	sarva-AtmanA ced-sarvatra Bca_9.82a
   sarvātmanā dāsyamupaimi loke Bca_6.125b	sarva-AtmanA dAsyam-upEmi loke Bca_6.125b
   sarvā diśaḥ śivāḥ santu Bca_10.23a	sarvAH diSaH SivAH santu Bca_10.23a
   sarvānmahākṛpāṃścāpi Bca_2.52c	sarvAn-mahA-kRpAn=-ca-api Bca_2.52c
   sarvānyacintānirmuktaḥ Bca_8.39a	sarva-anya-cintA-nirmuktaH Bca_8.39a
   sarvāpattirgarīyasī Bca_4.8b	sarvApattiH-garIyasI Bca_4.8b
   sarvāpīyaṃ vasundharā Bca_8.175b	sarvA-api-iyam vasunDarA Bca_8.175b
   sarvārambhā hi tuṣṭyarthāḥ Bca_5.77a	sarva-AramBAH hi tuzwi-arTAH Bca_5.77a
   sarvāsu dikṣu yāvantaḥ Bca_10.2a	sarvAsu dikzu yAvantaH Bca_10.2a
   sarvāsu dikṣu saṃbuddhān Bca_3.4a	sarvAsu dikzu saMbudDAn Bca_3.4a
   sarvāḥ pīḍāśchinatti ca Bca_1.29d	sarvAH pIxAH-Cinatti ca Bca_1.29d
   sarve karmaparāyattaḥ Bca_6.68c	sarve karma-parAyattaH Bca_6.68c
   sarveṇa sarvaṃ ca tadātmajebhyaḥ Bca_2.8b	sarveNa sarvam ca tad-AtmajeByaH Bca_2.8b
   sarve te 'nyasukhecchayā Bca_8.129d	sarve te anya-suKa-icCayA Bca_8.129d
   sarve te svasukhecchayā Bca_8.129b	sarve te sva-suKa-icCayA Bca_8.129b
   sarve dāntā bhavanti ca Bca_5.5d	sarve dAntAH Bavanti ca Bca_5.5d
   sarve devā manuṣyāśca Bca_4.30a	sarve devAH manuzyAH-ca Bca_4.30a
