   Paraśurāmakalpasūtra	ParaSurAma-kalpa-sUtra
   ṣoḍaśabhir upacarya āśuśukṣaṇitryakṣarakṣaḥprabhañjanadikṣu devyā maulau	zoxaSaBiH upacarya ASu-SukzaNitryakza-rakzaH-praBaQjana-dikzu devyAH mOlO
   paritaś ca pūjyā aṅgadevyaḥ | tanmantrāḥ sarvajanādayaḥ aṣṭau saptaikādaśa	paritas ca pUjyAH aFga-devyaH | tad-mantrAH sarva-jana-AdayaH azwO sapta-ekAdaSa
   daśa punar daśāṣṭāviṃśatikhaṇḍāḥ tritārīkumārīvāgādayaḥ sajātayaḥ	daSa punar daSa-azwAviMSati-KaNxAH tritArI-kumArI-vAc-a-AdayaH sajAtayaH
   sāmānyamanuyuktāḥ || Parks_6.20 ||	sAmAnyam-anuyuktAH || ParkH-_6.20 ||
   paścād āvaraṇapūjāṃ kuryāt || Parks_6.21 ||	paScAt AvaraNa-pUjAm kuryAt || ParkH-_6.21 ||
   sarvacakradevatārcanāni	sarva-cakra-devatA-arcanAni
   vāmakarāṅguṣṭhānāmikāsandaṣṭadvitīyaśakalagṛhītaśrīpātraprathamabindusahapatitaiḥ	vAma-kara-aFguzWa-anAmikA-sandazwa-dvitIya-Sakala-gRhIta-SrI-pAtra-praTama-bindu-saha-patitEH
   dakṣakarākṣatapuṣpakṣepaiḥ kuryāt || Parks_6.22 ||	dakza-kara-akzata-puzpa-kzepEH kuryAt || ParkH-_6.22 ||
   trikoṇe ratiprītimanobhavān || Parks_6.23 ||	trikoNe rati-prIti-manoBavAn || ParkH-_6.23 ||
   pañcāramūle pura ādikrameṇa drāṃ drāvaṇabāṇāya drīṃ śoṣaṇabāṇāya klīṃ	paQcAra-mUle puras Adi-krameNa drAm drAvaNa-bANAya drIm SozaNa-bANAya klIm
   bandhanabāṇāya blūṃ mohanabāṇāya saḥ unmādanabāṇāya namaḥ iti tadagre	banDana-bANAya blUm mohana-bANAya saH unmAdana-bANAya namaH iti tad-agre
   māyākāmavāgblūṃ strīm upajuṣṭāḥ kāmamanmathakandarpamakaraketanamanobhavāḥ	mAyA-kAma-vAc-blUm strIm upajuzwAH kAma-manmaTa-kandarpa-makara-ketana-manoBavAH
   || Parks_6.24 ||	|| ParkH-_6.24 ||
   aṣṭadalamūle brāhmīmaheśvarīkaumārīvaiṣṇavīvārāhīmāhendrīcāmuṇḍācaṇḍikāḥ,	azwa-dala-mUle brAhmI-maheSvarI-kOmArI-vEzNavI-ivArAhI-mAhA-indrI-cAmuNxA-caNxikAH,
   sendusvarayugmāntyādayaḥ pūjyāḥ | tadagre	sa-indu-svara-yugma-antya-AdayaH pUjyAH | tad-agre
   lakṣmīsarasvatīratiprītikīrtiśāntipuṣṭituṣṭayaḥ || Parks_6.25 ||	lakzmI-sarasvatI-rati-prIti-kIrti-SAnti-puzwi-tuzwayaH || ParkH-_6.25 ||
   ṣoḍaśadale	zoxaSa-dale
   vāmājyeṣṭhāraudrīśāntiśraddhāsarasvatīkriyāśaktilakṣmīsṛṣṭimohinīpramathinīāśvāsinīvīcīvidyunmālinīsurānandānāgabuddhikāḥ	vAmA-jyezWA-rOdrI-SAnti-SradDA-sarasvatI-kriyA-Sakti-lakzmI-sRzwi-mohinI-pramaTinIa-ASvAsinI-vIcI-vidyut-mAlinI-sura-Ananda-anAga-budDikAH
   || Parks_6.26 ||	|| ParkH-_6.26 ||
   aṣṭadale asitāṅgarurucaṇḍakrodhanaunmattakapālabhīṣaṇasaṃhārāḥ	azwadale asita-aFga-ruru-caNxa-kroDana-Onmatta-kapAla-BIzaNa-saMhArAH
   sadaṇḍisvarayugmādisaṃyuktā bhairavāntāś ca bhāvanīyāḥ || Parks_6.27 ||	sa-daNxi-svara-yugma-Adi-saMyuktAH BErava-antAH ca BAvanIyAH || ParkH-_6.27 ||
   caturdalaṃ māyuktataṅgī siddhalakṣmīś ca mahāmāyuktataṅgī	catur-dalam mA-ayukta-taFgI sidDa-lakzmIH ca mahAm-Ayukta-taFgI
   mahāsiddhalakṣmīś ca || Parks_6.28 ||	mahAsidDa-lakzmIH ca || ParkH-_6.28 ||
   gaṃ gaṇapati duṃ durgā baṃ baṭuka kṣaṃ kṣetrapālāḥ, caturasre sampūjyāḥ ||	gam gaNapati dum durgAH bam bawuka kzam kzetrapAlAH, catur-asre sampUjyAH ||
   Parks_6.29 ||	ParkH-_6.29 ||
   sāṃ sarasvatyai namaḥ, itiprabhṛti, vāstupataye brahmaṇe namaḥ	sAm sarasvatyE namaH, iti-praBRti, vAstupataye brahmaNe namaH
   itiparyantaṃ punas tatraivābhyarcya || Parks_6.30 ||	iti-paryantam punar tatra-eva-aByarcya || ParkH-_6.30 ||
   haṃsamūrtiparaprakāśapūrṇanityakaruṇasampradāyagurūṃś	haMsa-mUrti-para-prakASa-pUrNa-nitya-karuNa-sampradAya-gurUMS
   caturasrapūrvarekhāyām abhyarcya || Parks_6.31 ||	catur-asra-pUrva-reKAyAm aByarcya || ParkH-_6.31 ||
   svaśirasi sāmānyaviśeṣapāduke abhyarcayet || Parks_6.32 ||	sva-Sirasi sAmAnya-viSeza-pAduke aByarcayet || ParkH-_6.32 ||
   punar devīm abhyarcya bālayā ṣoḍaśopacārān vidhāya || Parks_6.33 ||	punar devIm aByarcya bAlayA zoxaSa-upacArAn viDAya || ParkH-_6.33 ||
   śuddhajalena trikoṇavṛttacaturasraṃ vidhāyārdhānnapūrṇasalilaṃ	SudDa-jalena trikoNa-vRtta-caturasram viDAya-arDa-anna-pUrNa-salilam
   sādimopādimamadhyamaṃ su[sa]gandhapuṣpaṃ sādhāraṃ pātraṃ nidhāya ||	sa-Adimopa-Adim-a-maDyamam su[sa]ganDa-puzpam sa-ADAram pAtram niDAya ||
   Parks_6.34 ||	ParkH-_6.34 ||
   śrīmātam uktvā gīśvarīmaṃ baliṃ gṛhṇa gṛhṇa huṃ phaṭ svāhā śrīmātam uktvā	SrI-mAtam uktvA gI-SvarI-imam balim gRhNa gRhNa hum Paw svAhA SrImAtam uktvA
   gīśvari śaraṇāgataṃ māṃ trāhi trāhi huṃ phaṭ svāhā kṣetrapālanāthemaṃ	gISvari SaraNa-Agatam mAm trAhi trAhi hum Paw svAhA kzetrapAla-nATa-imam
   baliṃ gṛhṇa gṛhṇa phaṭ svāhā iti mantratrayeṇa	balim gRhNa gRhNa Paw svAhA iti mantra-trayeNa
   vāmapārṣṇighātakarāsphoṭasamudañcitavaktranārācamudrābhiḥ baliṃ pradāya ||	vAma-pArzNi-GAta-kara-AsPowa-samudaQcita-vaktra-nArAca-mudrABiH balim pradAya ||
   Parks_6.35 ||	ParkH-_6.35 ||
   śyāmalāṃ śaktim āhūya bālayā tām abhyarcya tasyā hasta ādimopādimau dattvā	SyAmalAm Saktim AhUya bAlayA tAm aByarcya tasyAH hastaH AdimA-upAdimO dattvA
   tattvaṃ śodhayitvā taccheṣam urarīkṛtya yogyaiḥ saha haviśśeṣaṃ svīkuryāt	tattvam SoDayitvA tad-Sezam urarIkRtya yogyEH saha haviSSezam svIkuryAt-
   || Parks_6.36 ||	|| ParkH-_6.36 ||
   evaṃ nityasaparyāṃ kurvan lakṣajapaṃ japtvā taddaśāṃśakrameṇa ca	evam nitya-saparyAm kurvan lakza-japam japtvA tad-daSa-aMSa-krameNa ca
   homatarpaṇabrāhmaṇabhojanāni vidadhyāt || Parks_6.37 ||	homa-tarpaNa-brAhmaNa-BojanAni vidaDyAt || ParkH-_6.37 ||
   etanmanujāpī na kadambaṃ chindyāt girā kālīti na vadet	etat-manujApI na kadambam CindyAt girA kAlI-iti na vadet-
   vīṇāveṇunartanagāyanagāthāgoṣṭhīṣu na parāṅmukho gacchet gāyakaṃ na	vINA-veNu-nartana-gAyana-gATA-gozWIzu na parAFmuKaH gacCet gAyakam na
   nindyāt || Parks_6.38 ||	nindyAt || ParkH-_6.38 ||
   lalitopāsako nekṣukhaṇḍaṃ bhakṣayet na divā smared vārtālīṃ na jugupseta	lalita-upAsakaH na-ikzu-KaNxam Bakzayet na divA smaret vArtAlIm na jugupseta
   siddhadravyāṇi na kuryāt strīṣu niṣṭhuratāṃ vīrastriyaṃ na gacchet na taṃ	sidDa-dravyANi na kuryAt strIzu nizWura-tAm vIra-striyam na gacCet na tam
   hanyāt na taddravyam apaharet nātmecchayā mapañcakam urarīkuryāt	hanyAt na tat-dravyam apaharet na-Atma-icCayA mapaQcakam urarIkuryAt-
   kulabhraṣṭaiḥ saha nāsīta na bahu pralapet yoṣitaṃ sambhāṣamāṇām	kula-BrazwEH saha na-AsIta na bahu pralapet yozitam samBAzamANAm
   apratisambhāṣamāṇo na gacchet kulapustakāni gopāyet iti śivam ||	apratisamBAzamANaH na gacCet kula-pustakAni gopAyet iti Sivam ||
   Parks_6.39 ||	ParkH-_6.39 ||
   7. Khaṇḍa: Vārāhīkrama	7. KhaNxa: VArAhIkrama
   itthaṃ sāṅgāṃ saṅgītamātṛkām iṣṭvā saṃvitsāmrājñīsiṃhāsanādhirūḍhāyā	itTam sa-aFgAm saFgIta-mAtRkAm izwvA saMvid-sAmrAjQI-siMhAsana-aDirUXAyAH-
   lalitāyā mahārājñyā daṇḍanāyikāsthānīyāṃ	lalitAyAH mahA-rAjQyAH daNxanAyikA-sTAnIyAm
   duṣṭanigrahaśiṣṭānugrahanirargalājñācakrāṃ samayasaṅketāṃ kolamukhīṃ	duzwa-nigraha-Sizwa-anugraha-nirargala-AjQA-cakrAm samaya-saFketAm kola-muKIm
   vidhivad varivasyet || Parks_7.1 ||	viDivat varivasyet || ParkH-_7.1 ||
   tatrāyaṃ kramo mahārātre buddhvā svahṛdayaparamākāśe dhvanantam	tatra-ayam kramaH mahArAtre budDvA sva-hRdaya-parama-AkASe Dvanantam
   anāhatadhvanim ūrjitānandadāyakam avamṛśya || Parks_7.2 ||	anAhata-Dvanim Urjita-Ananda-dAyakam avamRSya || ParkH-_7.2 ||
   śivādiśrīgurubhyo namaḥ iti mūrdhni badhnīyād añjalim || Parks_7.3 ||	Siva-Adi-SrI-guruByaH namaH iti mUrDni baDnIyAt aQjalim || ParkH-_7.3 ||
   vācam uccārya glaum iti ca paddhatāv asyāṃ sarve manavo japyāḥ ||	vAcam uccArya glOm iti ca padDatO asyAm sarve manavaH japyAH ||
   Parks_7.4 ||	ParkH-_7.4 ||
   mūlādiṣaṇmantraiḥ yathāmantraṃ liṅgadehaṃ śodhayet || Parks_7.5 ||	mUla-Adi-zaz-mantrEH yaTAmantram liFga-deham SoDayet || ParkH-_7.5 ||
   mūlaśṛṅgāṭakāt suṣumnāpathena jīvaśivaṃ paraśive yojayāmi svāhā yaṃ	mUla-SRFgAwakAt suzumnA-paTena jIva-Sivam para-Sive yojayAmi svAhA yam
   saṅkocaśarīraṃ śoṣaya śoṣaya svāhā raṃ saṅkocaśarīraṃ [209] daha daha paca	saFkoca-SarIram Sozaya Sozaya svAhA ram saFkoca-SarIram [209] daha daha paca
   paca svāhā vaṃ paramaśivāmṛtaṃ varṣaya varṣaya svāhā laṃ śāmbhavaśarīram	paca svAhA vam paramaSiva-amRtam varzaya varzaya svAhA lam SAmBava-SarIram
   utpādayotpādaya svāhā haṃsaḥ so 'ham avatarāvatara śivapadāt jīva	utpAdaya-utpAdaya svAhA haMsaH saH aham avatara-avatara Siva-padAt jIva
   suṣumnāpathena praviśa mūlaśṛṅgāṭakam ullasollasa jvala jvala prajvala	suzumnA-paTena praviSa mUla-SRFgAwakam ullasa-ullasa jvala jvala prajvala
   prajvala haṃsaḥ so 'haṃ svāhā iti bhūtaśuddhiṃ vidhāya || Parks_7.6 ||	prajvala haMsaH saH aham svAhA iti BUtaSudDim viDAya || ParkH-_7.6 ||
   mātṛkāsampuṭitāṃ dvitārīṃ	mAtRkA-sampuwitAm dvi-tArIm
   kānanavṛttadvyakṣiśrutināsāgaṇḍoṣṭhadantamūrdhāsyadoḥpatsandhyagrapārśvadvayapṛṣṭhanābhijaṭharahṛddormūlāparagalakakṣahṛdādipāṇipādayugalajaṭharānaneṣu	kAnana-vRtta-dvi-akzi-Sruti-nAsA-gaNxa-uzWa-danta-mUrDa-Asya-doHpad-sanDi-agra-pArSva-dvaya-pRzWa-nABi-jaWara-hRd-dos-mUla-aparagala-kakzahRt-Adi-pANi-pAday
   vinyasya || Parks_7.7 ||	vinyasya || ParkH-_7.7 ||
   andheprabhṛti saptārṇapañcakam aṅguṣṭhādikaniṣṭhāntam || Parks_7.8 ||	anDe-praBRti sapta-arNa-paQcakam aFguzWa-Adi-kanizWA-antam || ParkH-_7.8 ||
   vāṅ namo bhagavatīty ārabhya trayodaśabhir hṛdayaṃ, ṣaḍbhiḥ śiraḥ,	vAc namaH Bagavati-iti AraBya trayodaSaBiH hRdayaM, zaxBiH SiraH,
   daśabhiḥ śikhāṃ, saptabhiḥ saptabhiḥ saptabhiḥ kavacanetrāstrāṇi, vinyasya	daSaBiH SiKAM, saptaBiH saptaBiH saptaBiH kavaca-netrAH-trANi, vinyasya
   || Parks_7.9 ||	|| ParkH-_7.9 ||
   gandhādibhir alaṅkṛtya arghyaṃ śodhayet || Parks_7.10 ||	ganDa-AdiBiH alaFkRtya arGyam SoDayet || ParkH-_7.10 ||
   ātmano 'grabhāge gomayena vilipte, hetumiśritajalena caturasraṃ vartulaṃ	AtmanaH agra-BAge gomayena vilipte, hetu-miSrita-jalena catur-asram vartulam
   ṣaṭkoṇaṃ trikoṇaṃ antarāntaraṃ vilikhya, arghyaśodhanamanubhiḥ	zaz-koNam tri-koNam antarA-antaram viliKya, arGya-SoDana-manuBiH
   śyāmākramoktaiḥ ādhārārghyapātrāṇi saṃśodhya, sāmānyenābhyarcya, tad	SyAmA-krama-uktEH ADAra-arGya-pAtrANi saMSoDya, sAmAnyena-aByarcya, tat-
   arghyaṃ vaṣaḍ ity uddhṛtya, svāheti saṃsthāpya, huṃ ity avakuṇṭhya, vauṣaṭ	arGyam vazaw iti udDRtya, svAhA-iti saMsTApya, hum iti avakuNWya, vOzaw-
   ity amṛtīkṛtya, phaḍ iti saṃrakṣya, namaḥ iti puṣpaṃ nikṣipya, mūlena	iti amRtIkRtya, Paw iti saMrakzya, namaH iti puzpam nikzipya, mUlena
   nirīkṣya, tatpṛṣataiḥ pāvayitvā saparyāvastūni || Parks_7.11 ||	nirIkzya, tad-pRzatEH pAvayitvA saparyA-vastUni || ParkH-_7.11 ||
   (1) śirovadanahṛdguhyapādeṣu pūrvoktasaptakapañcakaṃ vinyasya (2) vidyām	(1) SiraH-vadana-hRd-guhya-pAdezu pUrva-ukta-saptaka-paQcakam vinyasya (2) vidyAm
   aṣṭadhā khaṇḍayitvā,	azwaDA KaNxayitvA,
   pādādijānujānvādikaṭikaṭyādinābhinābhyādihṛdayahṛdayādikaṇṭhakaṇṭhādibhrūmadhyabhrūmadhyādilalāṭalalāṭādimauliṣu	pAda-Adi-jAnu-jAn-vAdi-kawi-kawi-AdinA-aBinABi-Adi-hRdaya-hRdaya-Adi-kaNWa-kaNWa-Adi-BrU-maDya-BrU-maDya-Adi-lalAwa-lalAwa-Adi-mOlizu
   ekatriṃśat sapta sapta sapta sapta sapta pañcatriṃśad ekādaśārṇakhaṇḍān	ekatriMSat sapta sapta sapta sapta sapta paQcatriMSat ekAdaSa-arNa-KaNxAn
   (3) mātṛkāsthāneṣu mūlamanupadāni ca nyasya || Parks_7.12 ||	(3) mAtRkA-sTAnezu mUlam-anupadAni ca nyasya || ParkH-_7.12 ||
   pūrvoktān aṣṭakhaṇḍān ekaikaśa uccārya pūrvokteṣu sthāneṣu hlāṃ śarvāya	pUrva-uktAn azwa-KaNxAn ekEkaSas uccArya pUrva-uktezu sTAnezu hlAm SarvAya
   kṣititattvādhipataye, hlīṃ bhavāya ambutattvādhipataye, hlūṃ rudrāya	kziti-tattva-aDipataye, hlIm BavAya ambu-tattva-aDipataye, hlUm rudrAya
   vahnitattvādhipataye, hlaiṃ ugrāya vāyutattvādhipataye, hlauṃ īśānāya	vahni-tattva-aDipataye, hlEm ugrAya vAyu-tattva-aDipataye, hlOm ISAnAya
   bhānutattvādhipataye, soṃ mahādevāya somatattvādhipataye, haṃ mahādevāya	BAnu-tattva-aDipataye, som mahAdevAya soma-tattva-aDipataye, ham mahAdevAya
   yajamānatattvādhipataye, auṃ bhīmāya ākāśatattvādhipataye namaḥ iti	yajamAna-tattva-aDipataye, Om BImAya AkASa-tattva-aDipataye namaH iti
   tattvanyāsaḥ || Parks_7.13 ||	tattva-nyAsaH || ParkH-_7.13 ||
   mūlena sarveṇa vyāpakaṃ kṛtvā devīṃ dhyātvā || Parks_7.14 ||	mUlena sarveNa vyApakam kRtvA devIm DyAtvA || ParkH-_7.14 ||
   purataḥ paṭapaṭṭasuvarṇarajatatāmracandanapīṭhādinirmitaṃ dṛṣṭimanoharaṃ	puratas pawa-pawwa-suvarNa-rajata-tAmra-candana-pIWa-Adi-nirmitam dRzwi-manoharam
   caturasratrayasahasrapatraśatapatrāṣṭapatraṣaḍasrapañcāsratryasrabindulakṣaṇaṃ	catur-asra-traya-sahasra-patra-Satapatra-azwa-patra-zaz-asra-paQca-asra-tri-asra-bindu-lakzaNam
   kolamukhīcakraṃ viracya || Parks_7.15 ||	kola-muKI-cakram viracya || ParkH-_7.15 ||
   tatra kusumāñjaliṃ vikīrya svarṇaprākārāya sudhābdhaye varāhadvīpāya	tatra kusumAQjalim vikIrya svarNa-prAkArAya suDA-abDaye varAha-dvIpAya
   varāhapīṭhāya namaḥ iti | āṃ ādhāraśaktaye, kuṃ kūrmāya, kaṃ kandāya, aṃ	varAha-pIWAya namaH iti | Am ADAra-Saktaye, kum kUrma-aya, kam kandAya, am
   anantanālāya namaḥ iti ca dharmādibhiḥ saha ṣoḍaśamantraiḥ pīṭhe abhyarcya	ananta-nAlAya namaH iti ca Darma-AdiBiH saha zoxaSa-mantrEH pIWe aByarcya
   || Parks_7.16 ||	|| ParkH-_7.16 ||
   tripañcaṣaḍaradalāṣṭakaśatasahasrārapadmāsanāya namaḥ iti cakramanunā	tri-paQca-zaz-aradala-azwaka-Sata-sahasra-Ara-padma-AsanAya namaH iti cakra-manunA
   cakram iṣṭvā || Parks_7.17 ||	cakram izwvA || ParkH-_7.17 ||
   vahnimaṇḍalāya sūryamaṇḍalāya somamaṇḍalāya namaḥ iti trayo guṇamantrāḥ	vahni-maNxalAya sUrya-maNxalAya soma-maNxalAya namaH iti trayaH guNa-mantrAH
   ātmamantrāḥ catvāraḥ iti saptaviṃśatikam idaṃ pīṭhe varivasanīyam ||	Atma-mantrAH catvAraH iti saptaviMSatikam idam pIWe varivasanIyam ||
   Parks_7.18 ||	ParkH-_7.18 ||
   hauṃ pretapadmāsanāya sadāśivāya namaḥ iti cakropari devyāsanavimṛṣṭiḥ ||	hOm preta-padmAsanAya sadASivAya namaH iti cakra-upari devI-Asana-vimRzwiH ||
   Parks_7.19 ||	ParkH-_7.19 ||
   ḹ ṣā ī vārāhīmūrtaye ṭhaḥ ṭhaḥ ṭhaḥ ṭhaḥ huṃ phaṭ iti,	? zA I vArAhI-mUrtaye WaH WaH WaH WaH hum Paw iti,
   vāgglaumādiglauṃvāgantā, mūrtikaraṇī, vidyā || Parks_7.20 ||	vAc-glOma-Adi-glOMvAk-antA, mUrti-karaNI, vidyA || ParkH-_7.20 ||
   mūlavidyayā	mUla-vidyayA
   āvāhanasaṃsthāpanasaṃnidhāpanasaṃnirodhanasammukhīkaraṇāvakuṇṭhanavandanadhenuyonīr	AvAhana-saMsTApana-saMniDApana-saMniroDana-sammuKIkaraNa-avakuNWana-vandana-Denu-yonIH-
   baddhvā || Parks_7.21 ||	badDvA || ParkH-_7.21 ||
   devyaṅganyastaṣaḍaṅgapañcāṅgaḥ || Parks_7.22 ||	devI-aFga-nyasta-zaxaFga-paQcAFgaH || ParkH-_7.22 ||
   pādyārghyācamanīyasnānavāsogandhapuṣpadhūpadīpanīrājanachatracāmaradarpaṇarakṣācamanīyanaivedyapānīyatāmbūlākhyaṣoḍaśopacārakḷptyante	pAdya-arGya-AcamanIya-snAna-vAsaH-ganDa-puzpa-DUpa-dIpa-nI-rAjana-Catra-cAmara-darpaNa-rakzA-camanIya-nEvedya-pAnIya-tAmbUla-AKya-zoxaSa-upacAra-k?ptyante
   || Parks_7.23 ||	|| ParkH-_7.23 ||
   dhyānaṃ devyāḥ meghamecakā kuṭiladaṃṣṭrā kapilanayanā, ghanastanamaṇḍalā	DyAnam devyAH meGamecakA kuwila-daMzwrA kapila-nayanA, Gana-stana-maNxalA
   cakrakhaḍgamusalābhayaśaṅkhakheṭahalavarapāṇiḥ padmāsīnā vārtālī dhyeyā ||	cakra-Kaxga-musala-aBaya-SaFKa-Kewa-hala-vara-pANiH padma-AsInA vArtAlI DyeyAH ||
   Parks_7.24 ||	ParkH-_7.24 ||
   daśadhā tasyās tarpaṇaṃ kuryāt || Parks_7.25 ||	daSaDA tasyAH tarpaNam kuryAt || ParkH-_7.25 ||
   tryasre jambhinīmohinīstambhinyaḥ || Parks_7.26 ||	tri-asre jamBinI-mohinI-stamBinyaH || ParkH-_7.26 ||
   pañcāre andhinīrundhinyau tāś ca || Parks_7.27 ||	paQca-are anDi-nIrunDinyO tAH ca || ParkH-_7.27 ||
   ṣaṭkoṇe ā kṣā ī brahmāṇī, ī lā ī māheśvarī, ū hā ī kaumārī, ṝ sā ī	zawkoNe A kzA I brahmANI, I lAH I mAheSvarI, U hA I kOmArI, L sA I
   vaiṣṇavī, ai śā ī indrāṇī, au vā ī cāmuṇḍā tasyaivāgreṣu madhye ca	vEzNavI, E SA I indrANI, O vA I cAmuNxA tasya-eva-agrezu maDye ca
   yamarayūṃ yāṃ yīṃ yūṃ yaiṃ yauṃ yaḥ yākini jambhaya jambhaya mama	yamarayUm yAm yIm yUm yEm yOm yaH yAkini jamBaya jamBaya mama
   sarvaśatrūṇāṃ tvagdhātuṃ gṛhṇa gṛhṇa aṇimādivaśaṃ kuru kuru svāheti |	sarva-SatrUNAm tvac-DAtum gRhNa gRhNa aNima-Adi-vaSam kuru kuru svAhA-iti |
   anyāsāṃ dhātunāthānām apy evaṃ bīje nāmani dhātau tv ārādhanakarmaṇi	anyAsAm DAtu-nATAnAm api evam bIje nAmani DAtO tu ArADana-karmaNi
   mantrasannāmaḥ | ramarayūṃ rākiṇi raktadhātuṃ piba piba lamarayūṃ lākini	mantra-sat-nAmaH | ramarayUm rAkiNi raktaDAtum piba piba lamarayUm lAkini
   māṃsadhātuṃ bhakṣaya bhakṣaya ḍamarayūṃ ḍākini medodhātuṃ grasa grasa	mAMsaDAtum Bakzaya Bakzaya xamarayUm xAkini medaH-DAtum grasa grasa
   kamarayūṃ kākini asthidhātuṃ jambhaya jambhaya samarayūṃ sākini	kamarayUm kAkini asTi-DAtum jamBaya jamBaya samarayUm sAkini
   majjādhātuṃ gṛhṇa gṛhṇa hamarayūṃ hākini śukradhātuṃ piba piba	majja-ADAtum gRhNa gRhNa hamarayUm hAkini Sukra-DAtum piba piba
   aṇimādivaśaṃ kuru kuru svāhā iti dhātunāthayajanam || Parks_7.28 ||	aNima-Adi-vaSam kuru kuru svAhA iti DAtu-nATa-yajanam || ParkH-_7.28 ||
   anantaraṃ ṣaḍasrobhayapārśvayoḥ krodhinīstambhinyau cāmaragrāhiṇyau	anantaram zaz-asra-uBaya-pArSvayoH kroDinI-stamBinyO cAmara-grAhiNyO
   tatraiva stambhanamusalāyudhāya ākarṣaṇahalāyudhāya namaḥ ṣaḍarād bahiḥ	tatra-eva stamBana-musala-AyuDAya AkarzaNa-halAyuDAya namaH zaz-arAt bahis-
   purato devyāḥ kṣrauṃ krauṃ caṇḍoccaṇḍāya namaḥ iti tadyajanam ||	puratas devyAH kzrOm krOm caNxa-uccaNxAya namaH iti tat-yajanam ||
   Parks_7.29 ||	ParkH-_7.29 ||
   aṣṭadale vārtālīvārāhīvarāhamukhyandhinyādayaḥ pañca tadbahiḥ mahāmahiṣāya	azwadale vArtAlI-vArAhI-varAha-muKI-anDini-AdayaH paQca tad-bahis mahA-mahizAya
   devīvāhanāya namaḥ || Parks_7.30 ||	devIvAhanAya namaH || ParkH-_7.30 ||
   (1) śatāre devīpurato dalasandhau jambhinyā indrāyāpsarobhyaḥ siddhebhyo	(1) SatAre devI-puratas dala-sanDO jamBinyAH indrAya-apsaroByaH sidDeByaH-
   dvādaśādityebhyo 'gnaye sādhyebhyo viśvebhyo devebhyo viśvakarmaṇe yamāya	dvAdaSa-AdityeByaH agnaye sADyeByaH viSveByaH deveByaH viSvakarmaNe yamAya
   mātṛbhyo rudraparicārakebhyo rudrebhyo mohinyai nirṛtaye rākṣasebhyo	mAtRByaH rudra-paricArakeByaH rudreByaH mohinyE nirRtaye rAkzaseByaH-
   mitrebhyo gandharvebhyo bhūtagaṇebhyo varuṇāya vasubhyo vidyādharebhyaḥ	mitreByaH ganDarveByaH BUta-gaNeByaH varuNAya vasuByaH vidyADareByaH
   [221] kinnarebhyo vāyave stambhinyai citrarathāya tumburave nāradāya	[221] kinnareByaH vAyave stamBinyE citraraTAya tumburave nAradAya
   yakṣebhyaḥ somāya kuberāya devebhyo viṣṇave īśānāya brahmaṇe aśvibhyāṃ	yakzeByaH somAya kuberAya deveByaH vizNave ISAnAya brahmaNe aSviByAm
   dhanvantaraye vināyakebhyo namaḥ iti devatāmaṇḍalam iṣṭvā (2) tadbahiḥ auṃ	Danvantaraye vinAyakeByaH namaH iti devatA-maNxalam izwvA (2) tad-bahis Om
   kṣauṃ kṣetrapālāya namaḥ, siṃhavarāya devīvāhanāya namaḥ iti ca tad	kzOm kzetrapAlAya namaH, siMha-varAya devIvAhanAya namaH iti ca tat-
   ubhayaṃ varivasyet | tadbahiḥ mahākṛṣṇāya mṛgarājāya devīvāhanāya namaḥ	uBayam varivasyet | tad-bahis mahAkRzNAya mRgarAjAya devIvAhanAya namaH
   iti tatpūjā || Parks_7.31 ||	iti tad-pUjA || ParkH-_7.31 ||
   (1) sahasrāre aṣṭadhā vibhakte airāvatāya puṇḍarīkāya vāmanāya	(1) sahasrAre azwaDA viBakte ErAvatAya puNxarIkAya vAmanAya
   kumudāyāñjanāya puṣpadantāya sārvabhaumāya supratīkāya namaḥ iti tatpūjā	kumudAya-aQjanAya puzpadantAya sArvaBOmAya supratIkAya namaH iti tad-pUjA
   bahiḥ sudhābdher vā | (2) bāhyaprākārāṣṭadikṣu adha upari ca hetukādayaḥ,	bahis suDA-abDeH vA | (2) bAhya-prAkAra-azwa-dikzu aDas upari ca hetuka-AdayaH,
   bhairavakṣetrapālaśabdayuktāḥ pratyekaṃ kṣaumādayaś ca yaṣṭavyāḥ |	BErava-kzetrapAla-Sabda-yuktAH pratyekam kzOma-AdayaH ca yazwavyAH |
   hetukatripurāntakāgniyamajihvaikapādakālakarālabhīmarūpahāṭakeśācalāḥ daśa	hetuka-tripurAntaka-agni-yama-jihvA-eka-pAda-kAla-karAla-BIma-rUpa-hAwa-keSa-acalAH daSa
   bhairavāḥ || Parks_7.32 ||	BEravAH || ParkH-_7.32 ||
   evaṃ ṣaḍāvaraṇīm iṣṭvā punar devīṃ tridhā santarpya sarvair upacārair	evam zaz-AvaraNIm izwvA punar devIm triDA santarpya sarvEH upacArEH-
   upacarya || Parks_7.33 ||	upacarya || ParkH-_7.33 ||
   purato vāmabhāge hastamātraṃ jalenopalipya	puratas vAma-BAge hasta-mAtram jalena-upalipya
   rudhirānnaharidrānnamahiṣapalasaktuśarkarāhetuphalatrayamākṣikamudgatrayamāṣacūrṇadadhikṣīraghṛtaiḥ	ruDira-anna-haridrA-anna-mahiza-pala-saktu-SarkarA-hetu-Palatraya-mAkzika-mudga-traya-mAza-cUrNa-daDi-kzIra-GRtEH
