   haṭha-yoga-pradīpikā	haWa-yoga--pradIpikA
   tasyāḥ kiṃcid rajo nāśaṃ na gacchati na saṃśayaḥ /	tasyAH kiMcid rajaH nASam na gacCati na saMSayaH /
   tasyāḥ śarīre nādaś ca bindutām eva gacchati // HYP_3.100 //	tasyAH SarIre nAdaH ca bindutAm eva gacCati // HYc-_3.100 //
   sa bindus tad rajaś caiva ekībhūya svadehagau /	sa binduH tat rajaH ca-eva ekIBUya sva-deha-gO /
   vajroly-abhyāsa-yogena sarva-siddhiṃ prayacchataḥ // HYP_3.101 //	vajroly-aByAsa--yogena sarva-sidDim prayacCataH // HYc-_3.101 //
   rakṣed ākuñcanād ūrdhvaṃ yā rajaḥ sā hi yoginī /	rakzet AkuQcanAt UrDvam yA rajaH sA hi yoginI /
   atītānāgataṃ vetti khecarī ca bhaved dhruvam // HYP_3.102 //	atIta-anAgatam vetti KecarI ca Bavet Druvam // HYc-_3.102 //
   deha-siddhiṃ ca labhate vajroly-abhyāsa-yogataḥ /	deha--sidDim ca laBate vajroly-aByAsa--yogataH /
   ayaṃ puṇya-karo yogo bhoge bhukte'pi muktidaḥ // HYP_3.103 //	ayam puNya-karaH yogaH Boge Bukte-api mukti-daH // HYc-_3.103 //
   atha śakti-cālanam-	aTa Sakti-cAlanam-
   kuṭilāṅgī kuṇḍalinī bhujaṅgī śaktir īśvarī /	kuwila-aFgI kuNxalinI BujaFgI SaktiH ISvarI /
   kuṇḍaly arundhatī caite śabdāḥ paryāya-vācakāḥ // HYP_3.104 //	kuNxalI arunDatI ca-ete SabdAH paryAya-vAcakAH // HYc-_3.104 //
   udghāṭayet kapāṭaṃ tu yathā kuṃcikayā haṭhāt /	udGAwayet kapAwam tu yaTA kuMcikayA haWAt /
   kuṇḍalinyā tathā yogī mokṣadvāraṃ vibhedayet // HYP_3.105 //	kuNxalinyA taTA yogI mokza-dvAram viBedayet // HYc-_3.105 //
   yena mārgeṇa gantavyaṃ brahma-sthānaṃ nirāmayam /	yena mArgeNa gantavyam brahma-sTAnam nirAmayam /
   mukhenācchādya tad vāraṃ prasuptā parameśvarī // HYP_3.106 //	muKena-AcCAdya tat vAram prasuptA parameSvarI // HYc-_3.106 //
   kandordhve kuṇḍalī śaktiḥ suptā mokṣāya yoginām /	kanda-UrDve kuNxalI SaktiH suptA mokzAya yoginAm /
   bandhanāya ca mūḍhānāṃ yas tāṃ vetti sa yogavit // HYP_3.107 //	banDanAya ca mUXAnAm yaH tAm vetti sa yoga-vid // HYc-_3.107 //
   kuṇḍalī kuṭilākārā sarpavat parikīrtitā /	kuNxalI kuwila-AkArA sarpa-vat parikIrtitA /
   sā śaktiś cālitā yena sa mukto nātra saṃśayaḥ // HYP_3.108 //	sA SaktiH cAlitAH yena sa muktaH na-atra saMSayaH // HYc-_3.108 //
   gaṅgā-yamunayor madhye bāla-raṇḍāṃ tapasvinīm /	gaFgA-yamunayoH maDye bAla--raNxAm tapasvinIm /
   balātkāreṇa gṛhṇīyāt tad viṣṇoḥ paramaṃ padam // HYP_3.109 //	balAtkAreNa gRhNIyAt tat vizNoH paramam padam // HYc-_3.109 //
   iḍā bhagavatī gaṅgā piṅgalā yamunā nadī /	ixA BagavatI gaFgA piFgalA yamunA nadI /
   iḍā-piṅgalayor madhye bālaraṇḍā ca kuṇḍalī // HYP_3.110 //	ixA-piFgalayoH maDye bAlaraNxA ca kuNxalI // HYc-_3.110 //
   pucche pragṛhya bhujaṅgīṃ suptām udbodhayec ca tām /	pucCe pragRhya BujaFgIm suptAm udboDayet ca tAm /
   nidrāṃ vihāya sā śaktir ūrdhvam uttiṣṭhate haṭhāt // HYP_3.111 //	nidrAm vihAya sA SaktiH UrDvam uttizWate haWAt // HYc-_3.111 //
   avasthitā caiva phaṇāvatī sā	avasTitA ca-eva PaNAvatI sA
   prātaś ca sāyaṃ praharārdha-mātram /	prAtar ca sAyam prahara-arDa--mAtram /
   prapūrya sūryāt paridhāna-yuktyā	prapUrya sUryAt pariDAna-yuktyA
   pragṛhya nityaṃ paricālanīyā // HYP_3.112 //	pragRhya nityam paricAlanIyAH // HYc-_3.112 //
   ūrdhvaṃ vitasti-mātraṃ tu vistāraṃ caturaṅgulam /	UrDvam vitasti--mAtram tu vistAram catur-aFgulam /
   mṛdulaṃ dhavalaṃ proktaṃ veṣṭitāmbara-lakṣaṇam // HYP_3.113 //	mRdulam Davalam proktam vezwita-ambara--lakzaNam // HYc-_3.113 //
   sati vajrāsane pādau karābhyāṃ dhārayed dṛḍham /	sati vajra-Asane pAdO karAByAm DArayet dRXam /
   gulpha-deśa-samīpe ca kandaṃ tatra prapīḍayet // HYP_3.114 //	gulPa--deSa--samIpe ca kandam tatra prapIxayet // HYc-_3.114 //
   vajrāsane sthito yogī cālayitvā ca kuṇḍalīm /	vajrAsane sTitaH yogI cAlayitvA ca kuNxalIm /
   kuryād anantaraṃ bhastrāṃ kuṇḍalīm āśu bodhayet // HYP_3.115 //	kuryAt anantaram BastrAm kuNxalIm ASu boDayet // HYc-_3.115 //
   bhānor ākuñcanaṃ kuryāt kuṇḍalīṃ cālayet tataḥ /	BAnoH AkuQcanam kuryAt kuNxalIm cAlayet tatas /
   mṛtyu-vaktra-gatasyāpi tasya mṛtyu-bhayaṃ kutaḥ // HYP_3.116 //	mRtyu--vaktra--gatasya-api tasya mRtyu--Bayam kutas // HYc-_3.116 //
   muhūrta-dvaya-paryantaṃ nirbhayaṃ cālanād asau /	muhUrta--dvaya--paryantam nirBayam cAlanAt asO /
   ūrdhvam ākṛṣyate kiṃcit suṣumṇāyāṃ samudgatā // HYP_3.117 //	UrDvam AkRzyate kiMcid suzumNAyAm samudgatA // HYc-_3.117 //
   tena kuṇḍalinī tasyāḥ suṣumṇāyā mukhaṃ dhruvam /	tena kuNxalinI tasyAH suzumNAyAH muKam Druvam /
   jahāti tasmāt prāṇo'yaṃ suṣumṇāṃ vrajati svataḥ // HYP_3.118 //	jahAti tasmAt prANaH-ayam suzumNAm vrajati svatas // HYc-_3.118 //
   tasmāt saṃcālayen nityaṃ sukha-suptām arundhatīm /	tasmAt saMcAlayet nityam suKa--suptAm arunDatIm /
   tasyāḥ saṃcālanenaiva yogī rogaiḥ pramucyate // HYP_3.119 //	tasyAH saMcAlanena-eva yogI rogEH pramucyate // HYc-_3.119 //
   yena saṃcālitā śaktiḥ sa yogī siddhi-bhājanam /	yena saMcAlitA SaktiH sa yogI sidDi-BAjanam /
   kim atra bahunoktena kālaṃ jayati līlayā // HYP_3.120 //	kim atra bahunA-uktena kAlam jayati lIlayA // HYc-_3.120 //
   brahmacarya-ratasyaiva nityaṃ hita-mitāśinaḥ /	brahmacarya--ratasya-eva nityam hita--mita-ASinaH /
   maṇḍalād dṛśyate siddhiḥ kuṇḍaly-abhyāsa-yoginaḥ // HYP_3.121 //	maNxalAt dRSyate sidDiH kuNxalI--aByAsa--yoginaH // HYc-_3.121 //
   kuṇḍalīṃ cālayitvā tu bhastrāṃ kuryād viśeṣataḥ /	kuNxalIm cAlayitvA tu BastrAm kuryAt viSezataH /
   evam abhyasyato nityaṃ yamino yama-bhīḥ kutaḥ // HYP_3.122 //	evam aByasyataH nityam yaminaH yama-BIH kutas // HYc-_3.122 //
   dvā-saptati-sahasrāṇāṃ nāḍīnāṃ mala-śodhane /	dvA-saptati--sahasrANAm nAxInAm mala-SoDane /
   kutaḥ prakṣālanopāyaḥ kuṇḍaly-abhyasanād ṛte // HYP_3.123 //	kutas prakzAlana-upAyaH kuNxalI--aByasanAt Rte // HYc-_3.123 //
   iyaṃ tu madhyamā nāḍī dṛḍhābhyāsena yoginām /	iyam tu maDyamA nAxI dRXa-aByAsena yoginAm /
   āsana-prāṇa-saṃyāma-mudrābhiḥ saralā bhavet // HYP_3.124 //	Asana--prANa--saMyAma--mudrABiH saralA Bavet // HYc-_3.124 //
   abhyāse tu vinidrāṇāṃ mano dhṛtvā samādhinā /	aByAse tu vinidrANAm manaH DRtvA samADinA /
   rudrāṇī vā parā mudrā bhadrāṃ siddhiṃ prayacchati // HYP_3.125 //	rudrANI vA parA mudrA BadrAm sidDim prayacCati // HYc-_3.125 //
   rāja-yogaṃ vinā pṛthvī rāja-yogaṃ vinā niśā /	rAja--yogam vinA pRTvI rAja--yogam vinA niSA /
   rāja-yogaṃ vinā mudrā vicitrāpi na śobhate // HYP_3.126 //	rAja--yogam vinA mudrA vicitrA-api na SoBate // HYc-_3.126 //
   mārutasya vidhiṃ sarvaṃ mano-yuktaṃ samabhyaset /	mArutasya viDim sarvam mano-yuktam samaByaset /
   itaratra na kartavyā mano-vṛttir manīṣiṇā // HYP_3.127 //	itaratra na kartavyA mano-vRttiH manIziNA // HYc-_3.127 //
   iti mudrā daśa proktā ādināthena śambhunā /	iti mudrAH daSa proktAH AdinATena SamBunA /
   ekaikā tāsu yamināṃ mahā-siddhi-pradāyinī // HYP_3.128 //	ekEkA tAsu yaminAm mahA--sidDi-pradAyinI // HYc-_3.128 //
   upadeśaṃ hi mudrāṇāṃ yo datte sāmpradāyikam /	upadeSam hi mudrANAm yaH datte sAmpradAyikam /
   sa eva śrī-guruḥ svāmī sākṣād īśvara eva saḥ // HYP_3.129 //	saH eva SrI--guruH svAmI sAkzAt ISvaraH eva saH // HYc-_3.129 //
   tasya vākya-paro bhūtvā mudrābhyāse samāhitaḥ /	tasya vAkya--paraH BUtvA mudrA-aByAse samAhitaH /
   aṇimādi-guṇaiḥ sārdhaṃ labhate kāla-vañcanam // HYP_3.130 //	aNima-Adi--guNEH sArDam laBate kAla-vaQcanam // HYc-_3.130 //
   iti haṭha-pradīpikāyāṃ tṛtīyopadeśaḥ /	iti haWa-pradIpikAyAm tRtIya-upadeSaH /
   caturthopadeśaḥ	caturTa-upadeSaH
   namaḥ śivāya gurave nāda-bindu-kalātmane /	namaH SivAya gurave nAda--bindu-kalA-Atmane /
   nirañjana-padaṃ yāti nityaṃ tatra parāyaṇaḥ // HYP_4.1 //	niraQjana-padam yAti nityam tatra parAyaNaH // HYc-_4.1 //
   athedānīṃ pravakṣyāmi samādhikramam uttamam /	aTa-idAnIm pravakzyAmi samADi-kramam uttamam /
   mṛtyughnaṃ ca sukhopāyaṃ brahmānanda-karaṃ param // HYP_4.2 //	mRtyu-Gnam ca suKa-upAyam brahma-Ananda-karam param // HYc-_4.2 //
   rāja-yogaḥ samādhiś ca unmanī ca manonmanī /	rAja-yogaH samADiH ca unmanI ca manonmanI /
   amaratvaṃ layas tattvaṃ śūnyāśūnyaṃ paraṃ padam // HYP_4.3 //	amara-tvam layaH tattvam SUnyASUnyam param padam // HYc-_4.3 //
   amanaskaṃ tathādvaitaṃ nirālambaṃ nirañjanam /	amanaskam taTA-advEtam nirAlambam niraQjanam /
   jīvanmuktiś ca sahajā turyā cety eka-vācakāḥ // HYP_4.4 //	jIvanmuktiH ca sahajA turyA ca-iti eka-vAcakAH // HYc-_4.4 //
   salile saindhavaṃ yadvat sāmyaṃ bhajati yogataḥ /	salile sEnDavam yadvat sAmyam Bajati yogataH /
   tathātma-manasor aikyaṃ samādhir abhidhīyate // HYP_4.5 //	taTA-Atma-manasoH Ekyam samADiH aBiDIyate // HYc-_4.5 //
   yadā saṃkṣīyate prāṇo mānasaṃ ca pralīyate /	yadA saMkzIyate prANaH mAnasam ca pralIyate /
   tadā samarasatvaṃ ca samādhir abhidhīyate // HYP_4.6 //	tadA samara-satvam ca samADiH aBiDIyate // HYc-_4.6 //
   tat-samaṃ ca dvayor aikyaṃ jīvātma-paramātmanoḥ /	tat-samam ca dvayoH Ekyam jIvAtma--paramAtmanoH /
   pranaṣṭa-sarva-saṅkalpaḥ samādhiḥ so'bhidhīyate // HYP_4.7 //	pranazwa--sarva--saFkalpaH samADiH saH-aBiDIyate // HYc-_4.7 //
   rāja-yogasya māhātmyaṃ ko vā jānāti tattvataḥ /	rAja--yogasya mAhAtmyam kaH vA jAnAti tattvataH /
   jñānaṃ muktiḥ sthitiḥ siddhir guru-vākyena labhyate // HYP_4.8 //	jQAnam muktiH sTitiH sidDiH guru-vAkyena laByate // HYc-_4.8 //
   durlabho viṣaya-tyāgo durlabhaṃ tattva-darśanam /	durlaBaH vizaya-tyAgaH durlaBam tattva--darSanam /
   durlabhā sahajāvasthā sad-guroḥ karuṇāṃ vinā // HYP_4.9 //	durlaBA sahaja-avasTA sad-guroH karuNAm vinA // HYc-_4.9 //
   vividhair āsanaiḥ kubhair vicitraiḥ karaṇair api /	viviDEH AsanEH kuBEH vicitrEH karaNEH api /
   prabuddhāyāṃ mahā-śaktau prāṇaḥ śūnye pralīyate // HYP_4.10 //	prabudDAyAm mahA--SaktO prANaH SUnye pralIyate // HYc-_4.10 //
   utpanna-śakti-bodhasya tyakta-niḥśeṣa-karmaṇaḥ /	utpanna--Sakti-boDasya tyakta--niHSeza--karmaNaH /
   yoginaḥ sahajāvasthā svayam eva prajāyate // HYP_4.11 //	yoginaH sahaja-avasTA svayam eva prajAyate // HYc-_4.11 //
   suṣumṇā-vāhini prāṇe śūnye viśati mānase /	suzumNA--vAhini prANe SUnye viSati mAnase /
   tadā sarvāṇi karmāṇi nirmūlayati yogavit // HYP_4.12 //	tadA sarvANi karmANi nirmUlayati yoga-vid // HYc-_4.12 //
   amarāya namas tubhyaṃ so'pi kālas tvayā jitaḥ /	amarAya namaH tuByam saH-api kAlaH tvayA jitaH /
   patitaṃ vadane yasya jagad etac carācaram // HYP_4.13 //	patitam vadane yasya jagat etat carAcaram // HYc-_4.13 //
   citte samatvam āpanne vāyau vrajati madhyame /	citte samatvam Apanne vAyO vrajati maDyame /
   tadāmarolī vajrolī sahajolī prajāyate // HYP_4.14 //	tadA-amarolI vajrolI sahajolI prajAyate // HYc-_4.14 //
   jñānaṃ kuto manasi sambhavatīha tāvat	jQAnam kutas manasi samBavati-iha tAvat-
   prāṇo'pi jīvati mano mriyate na yāvat /	prANaH-api jIvati manaH mriyate na yAvat /
   prāṇo mano dvayam idaṃ vilayaṃ nayed yo	prANaH manaH dvayam idam vilayam nayet yaH-
   mokṣaṃ sa gacchati naro na kathaṃcid anyaḥ // HYP_4.15 //	mokzam sa gacCati naraH na kaTaMcid anyaH // HYc-_4.15 //
   jñātvā suṣumṇāsad-bhedaṃ kṛtvā vāyuṃ ca madhyagam /	jQAtvA suzumNA-sat--Bedam kRtvA vAyum ca maDya-gam /
   sthitvā sadaiva susthāne brahma-randhre nirodhayet // HYP_4.16 //	sTitvA sadA-eva susTAne brahma-ranDre niroDayet // HYc-_4.16 //
   sūrya-candramasau dhattaḥ kālaṃ rātrindivātmakam /	sUrya-candramasO DattaH kAlam rAtrindiva-Atmakam /
   bhoktrī suṣumnā kālasya guhyam etad udāhṛtam // HYP_4.17 //	BoktrI suzumnA kAlasya guhyam etat udAhRtam // HYc-_4.17 //
   dvā-saptati-sahasrāṇi nāḍī-dvārāṇi pañjare /	dvA-saptati--sahasrANi nAxI-dvArANi paQjare /
   suṣumṇā śāmbhavī śaktiḥ śeṣās tv eva nirarthakāḥ // HYP_4.18 //	suzumNA SAmBavI SaktiH SezAH tu eva nirarTakAH // HYc-_4.18 //
   vāyuḥ paricito yasmād agninā saha kuṇḍalīm /	vAyuH paricitaH yasmAt agninA saha kuNxalIm /
   bodhayitvā suṣumṇāyāṃ praviśed anirodhataḥ // HYP_4.19 //	boDayitvA suzumNAyAm praviSet aniroDataH // HYc-_4.19 //
   suṣumṇā-vāhini prāṇe siddhyaty eva manonmanī /	suzumNA--vAhini prANe sidDyati eva manonmanI /
   anyathā tv itarābhyāsāḥ prayāsāyaiva yoginām // HYP_4.20 //	anyaTA tu itara-aByAsAH prayAsAya-eva yoginAm // HYc-_4.20 //
   pavano badhyate yena manas tenaiva badhyate /	pavanaH baDyate yena manaH tena-eva baDyate /
   manaś ca badhyate yena pavanas tena badhyate // HYP_4.21 //	manaH ca baDyate yena pavanaH tena baDyate // HYc-_4.21 //
   hetu-dvayaṃ tu cittasya vāsanā ca samīraṇaḥ /	hetu--dvayam tu cittasya vAsanA ca samIraNaH /
   tayor vinaṣṭa ekasmin tau dvāv api vinaśyataḥ // HYP_4.22 //	tayoH vinazwaH ekasmin tO dvO api vinaSyataH // HYc-_4.22 //
   mano yatra vilīyeta pavanas tatra līyate /	manaH yatra vilIyeta pavanaH tatra lIyate /
   pavano līyate yatra manas tatra vilīyate // HYP_4.23 //	pavanaH lIyate yatra manaH tatra vilIyate // HYc-_4.23 //
   dugdhāmbuvat saṃmilitāv ubhau tau	dugDa-ambu-vat saMmilitO uBO tO
   tulya-kriyau mānasa-mārutau hi /	tulya--kriyO mAnasa--mArutO hi /
   yato marut tatra manaḥ-pravṛttir	yatas marut tatra manaH--pravRttiH-
   yato manas tatra marut-pravṛttiḥ // HYP_4.24 //	yatas manaH tatra marut--pravRttiH // HYc-_4.24 //
   tatraika-nāśād aparasya nāśa	tatra-eka-nASAt aparasya nASa
   eka-pravṛtter apara-pravṛttiḥ /	eka--pravRtteH apara--pravRttiH /
   adhvas tayoś cendriya-varga-vṛttiḥ	aDvaH tayoH ca-indriya--varga--vRttiH
   pradhvas tayor mokṣa-padasya siddhiḥ // HYP_4.25 //	praDvaH tayoH mokza-padasya sidDiH // HYc-_4.25 //
   rasasya manasaś caiva cañcalatvaṃ svabhāvataḥ /	rasasya manasaH ca-eva caQcala-tvam svaBAvataH /
   raso baddho mano baddhaṃ kiṃ na siddhyati bhūtale // HYP_4.26 //	rasaH badDaH manaH badDam kim na sidDyati BU-tale // HYc-_4.26 //
   mūrcchito harate vyādhīn mṛto jīvayati svayam /	mUrcCitaH harate vyADIn mRtaH jIvayati svayam /
   baddhaḥ khecaratāṃ dhatte raso vāyuś ca pārvati // HYP_4.27 //	badDaH KecaratAm Datte rasaH vAyuH ca pArvati // HYc-_4.27 //
   manaḥ sthairyaṃ sthiro vāyus tato binduḥ sthiro bhavet /	manaH sTEryam sTiraH vAyuH tatas binduH sTiraH Bavet /
   bindu-sthairyāt sadā sattvaṃ piṇḍa-sthairyaṃ prajāyate // HYP_4.28 //	bindu--sTEryAt sadA sattvam piNxa--sTEryam prajAyate // HYc-_4.28 //
   indriyāṇāṃ mano nātho manonāthas tu mārutaḥ /	indriyANAm manaH nATaH manaH-nATaH tu mArutaH /
   mārutasya layo nāthaḥ sa layo nādam āśritaḥ // HYP_4.29 //	mArutasya layaH nATaH sa layaH nAdam ASritaH // HYc-_4.29 //
   so'yam evāstu mokṣākhyo māstu vāpi matāntare /	saH-ayam eva-astu mokza-AKyaH mA-astu vA-api mata-antare /
   manaḥ-prāṇa-laye kaścid ānandaḥ sampravartate // HYP_4.30 //	manaH--prANa--laye kaScid AnandaH sampravartate // HYc-_4.30 //
   pranaṣṭa-śvāsa-niśvāsaḥ pradhvasta-viṣaya-grahaḥ /	pranazwa--SvAsa--niSvAsaH praDvasta--vizaya-grahaH /
   niśceṣṭo nirvikāraś ca layo jayati yoginām // HYP_4.31 //	niScezwaH nirvikAraH ca layaH jayati yoginAm // HYc-_4.31 //
   ucchinna-sarva-saṅkalpo niḥśeṣāśeṣa-ceṣṭitaḥ /	ucCinna--sarva--saFkalpaH niHSeza-aSeza--cezwitaH /
   svāvagamyo layaḥ ko'pi jāyate vāg-agocaraḥ // HYP_4.32 //	sva-avagamyaH layaH kaH-api jAyate vAc--a-gocaraH // HYc-_4.32 //
   yatra dṛṣṭir layas tatra bhūtendriya-sanātanī /	yatra dRzwiH layaH tatra BUta-indriya--sanAtanI /
   sā śaktir jīva-bhūtānāṃ dve alakṣye layaṃ gate // HYP_4.33 //	sA SaktiH jIva--BUtAnAm dve alakzye layam gate // HYc-_4.33 //
   layo laya iti prāhuḥ kīdṛśaṃ laya-lakṣaṇam /	layaH layaH iti prAhuH kIdRSam laya--lakzaNam /
   apunar-vāsanotthānāl layo viṣaya-vismṛtiḥ // HYP_4.34 //	apunar-vAsanA-utTAnAt layaH vizaya-vismRtiH // HYc-_4.34 //
   veda-śāstra-purāṇāni sāmānya-gaṇikā iva /	veda--SAstra-purANAni sAmAnya--gaNikAH iva /
   ekaiva śāmbhavī mudrā guptā kula-vadhūr iva // HYP_4.35 //	ekA-eva SAmBavI mudrA guptA kula--vaDUH iva // HYc-_4.35 //
   atha śāmbhavī-	aTa SAmBavI-
   antar lakṣyaṃ bahir dṛṣṭir nimeṣonmeṣa-varjitā /	antar lakzyam bahis dRzwiH nimeza-unmeza--varjitAH /
   eṣā sā śāmbhavī mudrā veda-śāstreṣu gopitā // HYP_4.36 //	ezA sA SAmBavI mudrA veda-SAstrezu gopitA // HYc-_4.36 //
   antar lakṣya-vilīna-citta-pavano yogī yadā vartate	antar lakzya--vilIna--citta-pavanaH yogI yadA vartate
   dṛṣṭyā niścala-tārayā bahir adhaḥ paśyann apaśyann api /	dRzwyA niScala--tArayA bahis aDas paSyan apaSyan api /
   mudreyaṃ khalu śāmbhavī bhavati sā labdhā prasādād guroḥ	mudrA-iyam Kalu SAmBavI Bavati sA labDA prasAdAt guroH
   śūnyāśūnya-vilakṣaṇaṃ sphurati tat tattvaṃ padaṃ śāmbhavam // HYP_4.37 //	SUnya-aSUnya--vilakzaNam sPurati tat tattvam padam SAmBavam // HYc-_4.37 //
   śrī-śāmbhavyāś ca khecaryā avasthā-dhāma-bhedataḥ /	SrI--SAmBavyAH ca KecaryAH avasTA-DAma-BedataH /
   bhavec citta-layānandaḥ śūnye cit-sukha-rūpiṇi // HYP_4.38 //	Bavet citta-laya-AnandaH SUnye cit--suKa--rUpiNi // HYc-_4.38 //
   tāre jyotiṣi saṃyojya kiṃcid unnamayed bhruvau /	tAre jyotizi saMyojya kiMcid unnamayet BruvO /
   pūrva-yogaṃ mano yuñjann unmanī-kārakaḥ kṣaṇāt // HYP_4.39 //	pUrva-yogam manaH yuQjan unmanI--kArakaH kzaNAt // HYc-_4.39 //
   kecid āgama-jālena kecin nigama-saṅkulaiḥ /	kecid Agama-jAlena kecid nigama--saFkulEH /
   kecit tarkeṇa muhyanti naiva jānanti tārakam // HYP_4.40 //	kecid tarkeNa muhyanti na-eva jAnanti tArakam // HYc-_4.40 //
   ardhonmīlita-locanaḥ sthira-manā nāsāgra-dattekṣaṇaś	arDa-unmIlita-locanaH sTira-manAH nAsA-agra-datta-IkzaNaH-
   candrārkāv api līnatām upanayan nispanda-bhāvena yaḥ /	candra-arkO api lIna-tAm upanayan nispanda--BAvena yaH /
   jyotī-rūpam aśeṣa-bījam akhilaṃ dedīpyamānaṃ paraṃ	jyotI--rUpam aSeza-bIjam aKilam dedIpyamAnam param
   tattvaṃ tat-padam eti vastu paramaṃ vācyaṃ kim atrādhikam // HYP_4.41 //	tattvam tat-padam eti vastu paramam vAcyam kim atra-aDikam // HYc-_4.41 //
   divā na pūjayel liṅgaṃ rātrau caiva na pūjayet /	divA na pUjayet liFgam rAtrO ca-eva na pUjayet /
   sarvadā pūjayel liṅgaṃ divārātri-nirodhataḥ // HYP_4.42 //	sarvadA pUjayet liFgam divA-rAtri-niroDataH // HYc-_4.42 //
   atha khecarī-	aTa KecarI-
   savya-dakṣiṇa-nāḍī-stho madhye carati mārutaḥ /	savya-dakziNa--nAxI--sTaH maDye carati mArutaH /
   tiṣṭhate khecarī mudrā tasmin sthāne na saṃśayaḥ // HYP_4.43 //	tizWate KecarI mudrA tasmin sTAne na saMSayaH // HYc-_4.43 //
   iḍā-piṅgalayor madhye śūnyaṃ caivānilaṃ graset /	ixA--piFgalayoH maDye SUnyam ca-eva-anilam graset /
   tiṣṭhate khecarī mudrā tatra satyaṃ punaḥ punaḥ // HYP_4.44 //	tizWate KecarI mudrA tatra satyam punar punar // HYc-_4.44 //
   sūrcyācandramasor madhye nirālambāntare punaḥ /	sUrcyA-candramasoH maDye nirAlamba-antare punar /
   saṃsthitā vyoma-cakre yā sā mudrā nāma khecarī // HYP_4.45 //	saMsTitA vyoma-cakre yA sA mudrA nAma KecarI // HYc-_4.45 //
   somād yatroditā dhārā sākṣāt sā śiva-vallabhā /	somAt yatra-uditA DArA sAkzAt sA Siva-vallaBA /
   pūrayed atulāṃ divyāṃ suṣumṇāṃ paścime mukhe // HYP_4.46 //	pUrayet atulAm divyAm suzumNAm paScime muKe // HYc-_4.46 //
   purastāc caiva pūryeta niścitā khecarī bhavet /	purastAt ca-eva pUryeta niScitA KecarI Bavet /
   abhyastā khecarī mudrāpy unmanī samprajāyate // HYP_4.47 //	aByastA KecarI mudrA-api unmanI samprajAyate // HYc-_4.47 //
   bhruvor madhye śiva-sthānaṃ manas tatra vilīyate /	BruvoH maDye Siva-sTAnam manaH tatra vilIyate /
   jñātavyaṃ tat-padaṃ turyaṃ tatra kālo na vidyate // HYP_4.48 //	jQAtavyam tat-padam turyam tatra kAlaH na vidyate // HYc-_4.48 //
   abhyaset khecarīṃ tāvad yāvat syād yoga-nidritaḥ /	aByaset KecarIm tAvat yAvat syAt yoga-nidritaH /
   samprāpta-yoga-nidrasya kālo nāsti kadācana // HYP_4.49 //	samprApta-yoga-nidrasya kAlaH na-asti kadAcana // HYc-_4.49 //
   nirālambaṃ manaḥ kṛtvā na kiṃcid api cintayet /	nirAlambam manaH kRtvA na kiMcid api cintayet /
   sa-bāhyābhyantaraṃ vyomni ghaṭavat tiṣṭhati dhruvam // HYP_4.50 //	sa-bAhya-aByantaram vyomni Gawa-vat tizWati Druvam // HYc-_4.50 //
   bāhya-vāyur yathā līnas tathā madhyo na saṃśayaḥ /	bAhya-vAyuH yaTA lInaH taTA maDyaH na saMSayaH /
   sva-sthāne sthiratām eti pavano manasā saha // HYP_4.51 //	sva--sTAne sTira-tAm eti pavanaH manasA saha // HYc-_4.51 //
   evam abhyasyatas tasya vāyu-mārge divāniśam /	evam aByasyataH tasya vAyu--mArge divAniSam /
   abhyāsāj jīryate vāyur manas tatraiva līyate // HYP_4.52 //	aByAsAt jIryate vAyuH manaH tatra-eva lIyate // HYc-_4.52 //
   amṛtaiḥ plāvayed deham āpāda-tala-mastakam /	amRtEH plAvayet deham ApAda-tala--mastakam /
   siddhyaty eva mahā-kāyo mahā-bala-parākramaḥ // HYP_4.53 //	sidDyati eva mahA--kAyaH mahA-bala--parAkramaH // HYc-_4.53 //
   śakti-madhye manaḥ kṛtvā śaktiṃ mānasa-madhyagām /	Sakti-maDye manaH kRtvA Saktim mAnasa--maDya-gAm /
   manasā mana ālokya dhārayet paramaṃ padam // HYP_4.54 //	manasA manaH Alokya DArayet paramam padam // HYc-_4.54 //
   kha-madhye kuru cātmānam ātma-madhye ca khaṃ kuru /	Ka-maDye kuru ca-AtmAnam Atma--maDye ca Kam kuru /
   sarvaṃ ca kha-mayaṃ kṛtvā na kiṃcid api cintayet // HYP_4.55 //	sarvam ca Ka-mayam kRtvA na kiMcid api cintayet // HYc-_4.55 //
   antaḥ śūnyo bahiḥ śūnyaḥ śūnyaḥ kumbha ivāmbare /	antar SUnyaH bahis SUnyaH SUnyaH kumBaH iva-ambare /
   antaḥ pūrṇo bahiḥ pūrṇaḥ pūrṇaḥ kumbha ivārṇave // HYP_4.56 //	antar pUrNaH bahis pUrNaH pUrNaH kumBaH iva-arNave // HYc-_4.56 //
   bāhya-cintā na kartavyā tathaivāntara-cintanam /	bAhya--cintA na kartavyA taTA-eva-antara--cintanam /
   sarva-cintāṃ parityajya na kiṃcid api cintayet // HYP_4.57 //	sarva-cintAm parityajya na kiMcid api cintayet // HYc-_4.57 //
   saṅkalpa-mātra-kalanaiva jagat samagraṃ	saFkalpa--mAtra--kalanA-eva jagat samagram
   saṅkalpa-mātra-kalanaiva mano-vilāsaḥ /	saFkalpa--mAtra--kalanA-eva mano-vilAsaH /
   saṅkalpa-mātra-matim utsṛja nirvikalpam	saFkalpa--mAtra-matim utsRja nirvikalpam
