   prathamas+sargas+	praTama-s+sarga-s+
   asaṃśayam+sa pratihārapālīsasambhramāveditasannikarṣam &	asaMSayam+sa pratihAra-pAlIsa-samBrama-Avedita-sannikarzam &
   tvām+prati+asūyām+hṛdayena dhāsyati+upasthitāntaḥpuraviprayogaḥ // Rc_3.18	tvAm-+prati+asUyAm+hRdayena DAsyati-+upasTita-antaHpura-viprayogaH // Rt-_3.18
   tadvaktram+ārkes+taruṇārkatāmram+tvatprītivākyais+akṛtapramodam &	tad-vaktram+Arkes+-taruNa-arka-tAmram-+tvad-prIti-vAkyEs+a-kRta-pramodam &
   bhaviṣyati pratyupakārabhāranirvāhacintāgamasāndhakāram // Rc_3.19 //	Bavizyati pratyupakAra-BAra-nirvAha-cintA-gama-sa-anDakAram // Rt-_3.19 //
   smariṣyati tvām+na sa bodhyamānas+api+ālokayiṣyati+athavā na pṛṣṭaḥ &	smarizyati tvA-am+na sa boDyamAna-s+api+Alokayizyati-+aTavA na pRzwaH &
   pratyeṣi kāntājanamadhyavartī sa cintayā+asmadgatayā+adhunā+āste //	pratyezi kAntA-jana-maDya-vartI sa cintayA-a+asmad-gata-yA+aDunA+AH-te //
   Rc_3.20 //	Rt-_3.20 //
   āvām+yadā+eva+adritaṭe niviṣṭau sa kālikām+vīkṣya purīm+praviṣṭaḥ &	AvAm+ya-dA+eva-+adri-tawe nivizwO sa kAlikAm-+vIkzya purIm+pravizwaH &
   āmṛṣṭam+āsīt+capalena tena sauhārdam+asmadviṣayam+tadā+eva // Rc_3.21 //	AmRzwam+AsIt+-capalena tena sOhArdam-+asmad-vizaya-m+tadA+-eva // Rt-_3.21 //
   ahaḥsu+amīṣu kṣaṇas+eva na+āsīt+āsīt+na saṃdeśaharas+anurūpaḥ &	ahar-su-+amIzu kzaNa-s+A-iva na+a-AsIt+AsIt+na saMdeSa-hara-s+anurUpaH &
   ityādi sa vyaktam+alīkam+eva tvatprītyupālambhapadeṣu vaktā // Rc_3.22 //	ityAdi sa vyakta-m+alIkam-+eva tvad-prIti-upAlamBa-padezu vaktA // Rt-_3.22 //
   kṛtāvahelas+praṇayaprasannam+niruttaras+satvarakāryavādam &	kRta-avahelas+-praNaya-prasanna-m+niruttara-s+-satvara-kArya-vAdam &
   prekṣiṣyate roṣalavānuraktam+valīmukhas+śuṣkamukhas+mukham+te // Rc_3.23	prekzizyate roza-lava-anurakta-m+valI-muKa-s+Suzka-muKa-s+muKa-m+te // Rt-_3.23
   tasya+āgamāt+yas+sahasā bhaviṣyati+arthasya tasya+abhavanam+mama+astu &	tasya-+Aga-mAt+yas+-sahasA Bavizyati+arTasya tasya-+aBavanam-+mama+aH-tu &
   bādhiṣyate vālivadhātiriktas+tadveśmayātrānuśayas+sadā nau // Rc_3.24 //	bADizyate vAli-vaDa-atirikta-s+tad-veSma-yAtrA-anuSaya-s+-sadA nO // Rt-_3.24 //
   sa prāktanas+nūnam+anarthabhājā nītas+talam+tena hitaiṣivargaḥ &	sa prAc-tanas+nUnam-+anarTa-BAjA nIta-s+tala-m+tena hita-ezivargaH &
   utthāpitais+dūram+asau+idānīm+divāniśam+dīvyati durvidagdhaiḥ // Rc_3.25	utTApita-es+dUram+a-sO+idAnIm-+divA-niSam-+dIvyati durvidagDEH // Rt-_3.25
   akṣās+mṛgākṣyas+mṛgayā madhūni prekṣās+ca tasya+adya haranti kālam &	akzAs+-mRga-akzi-as+-mRgayA maDUni prekzAs+ca tasya+adya haranti kAlam &
   na prāpnuvanti kṣaṇam+āptavācas+sadādṛtās+cāraṇacāṭuvādāḥ // Rc_3.26 //	na prApnuvanti kzaNam-+a-Apta-vAcas+-sat-A-dRta-as+-cAraNa-cAwuvAdAH // Rt-_3.26 //
   vadanti bhītās+sacivās+na kiṃcit+kim+cintayā+asmadgatayā viṭānām &	vadanti BItAs+-sacivAs+na kiMcid-+kim-+cintayA-a+asmad-gatayA viwAnAm &
   svayam+na samprati+anusaṃdadhāti pūrvāparam+kāmaparas+sa rājā // Rc_3.27	svayam+na samprati+anusaMdaDAti pUrva-aparam+kAma-paras+sa rAjA // Rt-_3.27
   na sūrayas+na sthavirās+na dhīrās+puraḥsthitās+prāśnikatām+prayānti &	na sUrayas+na sTavirAs+na DIrAs+puras-sTita-as+-prASnika-tAm+prayAnti &
   saṃtiṣṭhate saṃsadi saṃśayānas+pṛṣṭhopaviṣṭāsu vilāsinīṣu // Rc_3.28 //	saMtizWate saMsadi saMSaya-An-as+-pRzWa-upavizwAsu vilAsinIzu // Rt-_3.28 //
   itthaṃgate tatra gatasya kena manyus+tava+udīrṇarayas+nivāryaḥ &	itTaMgate tatra gatasya kena manyu-s+tava+-udIrNa-raya-s+nivAryaH &
   vicāyamāṇas+na guṇāya nas+syāt+asau kapīnām+kadanānubandhaḥ // Rc_3.29 //	vicAyamANa-s+na guNAya nas+sya-at+asO kapInAm-+kadana-anubanDaH // Rt-_3.29 //
   prapannaśāṭhyasya haṭhopanāmāt+āneṣyamāṇasya guṇam+na vīkṣe &	prapanna-SAWyasya haWa-upanAmAt-+AnezyamANasya guNa-m+na vIkze &
   tathāvidhās+hi dviṣatām+stavena kaṣanti karṇau param+antikasthāḥ //	taTAviDAs+hi dvizatAm-+stavena kazanti karNO param+antika-sTAH //
   Rc_3.30 //	Rt-_3.30 //
   spṛṣ.as+na cet+vikriyayā kayā+api na+upasthitas+kāryavaśāt+idānīm &	spRz.as+na cet+vikriyayA kayA+-api na+upasTita-s+kAryavaSAt+idAnIm &
   etu svayam+na kriyate vṛthā+eva sa tvadbalātkāraniruddhaśobhaḥ // Rc_3.31	etu svayam+na kriyate vRTA+eva sa tvad-balAtkAra-nirudDa-SoBaH // Rt-_3.31
   yathā+āvayos+tātajaṭāyuṣā+uktam+uktam+kabandhena yathā ca tena &	yaTA-a+Ovayos+tAta-jawA-yuzA-+uktam-+uktam-+ka-banDena yaTA ca tena &
   tathā+upayāsyati+acirāt+avaśyam+āhūtacakras+haricakravartī // Rc_3.32 //	taTA-a+upayAsyati+acirAt+ava-Syam+A-AhUta-cakra-s+hari-cakravartI // Rt-_3.32 //
   yat+satyam+ādityasamudbhavatvāt+udbhūtim+eṣyanti guṇās+tadīyāḥ &	yat+-satyam-+Aditya-samudBava-tvAt+udBUtim+ezyanti guNa-as+tadIyAH &
   tulāgrasampātavilambadoṣe tasmin+visaṃvādam+aham+na śaṅke // Rc_3.33 //	tulA-agra-sampAta-vilamba-doze tasmin+visaMvAdam-+aham+na SaFke // Rt-_3.33 //
   viropataptasya videśavāsāt+ājagmuṣas+tasya nijādhivāsam &	viropataptasya videSa-vAsAt+a-Ajagmuza-s+tasya nija-aDivAsam &
   iyanti+ahāni+utsukabandhuvargasaṃvargaṇavyagratayā+eva yānti // Rc_3.34 //	iyanti-+ahAni+utsuka-banDu-varga-saMvargaNa-vyagra-tayA+eva yAnti // Rt-_3.34 //
   sa nūnam+āyāsyati vānarendras+saṃdeśakārpaṇyam+asaṃmatam+me &	sa nUnam-+AyAsyati vAnara-indra-s+saMdeSa-kArpaNyam+a-saMmatam-+me &
   sarvasvabhūtam+visṛjanti vatsa kāryātipāte+api na dhairyam+āryāḥ //	sarva-sva-BUtam-+visRjanti vatsa kArya-atipAte+-api na DEryam+AryAH //
   Rc_3.35 //	Rt-_3.35 //
   vyatītavighnas+suhṛdarthanighnas+na śītalas+sthāsyati kim+gatena &	vyatIta-viGna-s+suhRd-arTa-niGnas+na SItala-s+sTAsyati kim-+gatena &
   sa tvaryamāṇas+tvaramāṇas+eva dhairyasya nas+pāram+avāpsyati+iva //	sa tvaryamANa-s+tvaramANa-s+A-iva DEryasya nas+-pAram-+avApsyati+-iva //
   Rc_3.36 //	Rt-_3.36 //
   dhik+astu mām+tam+prati vipratīpam+āśaṅkitam+tat+bahu yena yat+vā &	Dik+aH-tu mAm+tam-+prati vipratIpam-+ASaFkitam-+tat+-bahu yena yat-+vA &
   svakāryadolāsu janas+alpabhāgyas+prāk+niścinoti vyatirekam+eva // Rc_3.37	sva-kArya-dolAsu jana-s+alpaBAgya-s+prAk+niScinoti vyatirekam-+eva // Rt-_3.37
   ittham+na mām+pratyupapattim+eti tatra+ādyapakṣadvitaye+api yātrā &	itTam+na mAm-+pratyupapattim+A-iti tatra+Adya-pakza-dvitaye+-api yAtrA &
   varam+visoḍhāni kiyanti+api+iha saṅkhyātakālābhyadhikāni+ahāni // Rc_3.38	varam+visoXAni kiyanti+-api+iha saFKyAta-kAla-aByaDikA-ni+ahAni // Rt-_3.38
   svālocitam+vaktu bhavān+idānīm+iti+anuṣṭheyam+asaṃśayam+yat &	su-a-Alocitam-+vaktu BavAn-+idAnIm-+iti-+anuzWeyam+a-saMSayam+yat &
   bālyāt+prabhṛti+eva tava+uttarā dhīs+na pūrvapakṣe+abhiniveśam+eti //	bAlyAt+-praBRti+eva tava+uttarA DI-s+na pUrva-pakze+aBiniveSam+A-iti //
   Rc_3.39 //	Rt-_3.39 //
   iti prasannām+giram+agrajasya śrutvā cirāt+vītaviṣādapaṅkaḥ &	iti prasannA-m+giram-+agrajasya SrutvA cirAt+-vIta-vizAda-paFkaH &
   mukhaśriyā+eva+ujjvalayā+abhinandan+idam+sumitrātanayas+jagāda // Rc_3.40	muKa-SriyA-+eva-+ujjvalayA+aBinandan+idam-+su-mitra-Atanaya-s+jagAda // Rt-_3.40
   samarthitam+sādhu samastam+eva kṛtī kapis+kim+bahunā+uditena &	samarTitam-+sADu samastam-+eva kRtI kapi-s+kim+bahunA+uditena &
   pravyaktam+api+etat+adoṣadṛṣṭyā gṛhītam+āryeṇa na yat+tadāgaḥ // Rc_3.41	pravyaktam-+api-+etat+a-doza-dRzwyA gRhItam-+AryeNa na yat+-tad-AgaH // Rt-_3.41
   tasya+ūrjitena+atiraves+avadyam+na+eva+īkṣate+antaḥkaraṇam+mama+api &	tasya-+Urjitena+atiH-aves+a-vat-yam+na-+eva+-Ikzate+antaHkaraNam-+mama+-api &
   ayam+punas+tena kutas+na jānāmi+atikramas+kālakṛtas+na dṛṣṭaḥ // Rc_3.42	ayam+puna-s+tena kutas+na jAnAmi-+atikrama-s+-kAla-kRta-s+na dRzwaH // Rt-_3.42
   visarjitā vā punarāgamāya samāpatanti+adya na te nalādyāḥ &	visarjitAH vA punar-AgamAya samApatanti+adya na te nala-AdyAH &
   samāharatiudyatavittavarṣas+varṣāntarebhyas+pravarān+harīn+vā // Rc_3.43	samAharati-udyata-vitta-varza-s+varza-antareByas+-pravarAn+harIn-+vA // Rt-_3.43
   aṣṭādaśadvīpakapīndramaulis+maulān+asau vālivadhapralīnān &	azwAdaSa-dvIpa-kapi-indra-mOli-s+mOlAn-+asO vAli-vaDa-pralInAn &
   naikābhyupāyopahitān+idānīm+uta pratīcchati+atisatkriyābhiḥ // Rc_3.44 //	na-eka-aByupAya-upahitAn-+idAnIm-+uta pratIcCati-+ati-satkriyABiH // Rt-_3.44 //
   aprāptasaṃtoṣam+asaṃvibhaktasambhuktasarvasvam+anuplaveṣu &	aprApta-saMtoza-m+a-saMviBakta-samBukta-sarva-svam-+anuplavezu &
   atha+ādiśati+arpitasārakośas+prakāmapātheyaparigrahāya // Rc_3.45 //	aTa+a-Adi-Sati-+arpita-sAra-koSa-s+prakAma-pATeya-parigrahAya // Rt-_3.45 //
   atho sa bhītāturabālavṛddhān+vṛddhopasevī sanibham+niyuṅkte &	aTo sa BIta-Atura-bAla-vRdDAn+vRdDa-upasevI sa-niBam+-niyuFkte &
   yathāyatham+sadmani padmasaṃkhyāsametaśākhāmṛgayūthanāthaḥ // Rc_3.46 //	yaTAyaTam+sadmani padma-saMKyA-sameta-SAKAmRga-yUTa-nATaH // Rt-_3.46 //
   tat+ittham+utthānasamākulatvāt+na tvaryamāṇas+api sa dūṣaṇāya &	tat+itTam-+utTAna-samAkula-tva-at+na tvaryamANa-s+api sa dUzaNAya &
   āryeṇa tatra+api+asamāgatasya chāyācyutis+kā+eva nirūpitā me // Rc_3.47 //	AryeNa tatra+api+a-samAgatasya CAyA-cyuti-s+kA+eva nirUpitA me // Rt-_3.47 //
   jñeyas+asti nas+pūrvam+ares+udantas+tatas+tadantāya vidheyam+asti &	jQeyas+asti nas+-pUrvam-+ares+u-danta-s+tata-s+ta-dantAya viDeyam-+asti &
   iti+ākulatvāt+mama tāvat+ārya kāryopataptis+kṣamate na dhairyam // Rc_3.48	iti+a-Akula-tva-At+mama tAvat-+Arya kArya-upatapti-s+kza-mate na DEryam // Rt-_3.48
   anarthibhāvāt+upacāravādāt+ākāraguptes+ca parībhavanti &	anarTi-BAva-at+upacAra-vAdAt+a-AkAra-gupteH-+ca parIBavanti &
   yathātathārthapratipādanena prayānti mitrāṇi nirantaratvam // Rc_3.49 //	yaTA-taTA-arTa-pratipAdanena prayAnti mitrANi nirantara-tvam // Rt-_3.49 //
   mithas+prasādaskhalanāt+upādhes+upaiti sakhyam+khalayos+khilatvam &	miTas+-prasAda-sKalana-at+upADes+upEti saKyam+Kalayos+Kila-tvam &
   gṛhṇāti satpūruṣayos+na doṣam+audāryasaṃvādakṛtā tu maitrī // Rc_3.50 //	gRhNAti sat-pUruza-yos+na doza-m+a-OdArya-saMvAda-kRtA tu mEtrI // Rt-_3.50 //
   niryantraṇam+yatra na vartitavyam+na moditavyam+praṇayātivāde &	niryantraNam-+yatra na vartitavyam+na moditavyam+-praNaya-ativAde &
   viśaṅkitānyonyabhayam+vidūrāt+namaskriyām+arhati sauhṛdam+tat // Rc_3.51	viSaFkita-anyonya-Bayam+vidUrAt+namaskriyAm-+arhati sOhRdam-+tat // Rt-_3.51
   visrabdham+ājñāpaya kim+karomi katham+ghaṭena plavagādhirājaḥ &	visrabDam-+AjQApaya kim-+karomi kaTam-+Gawena plavaga-aDirAjaH &
   yat+kiṃcit+ādiśya nibhena kim+mām+niṣedhasi kleśam+iva+īkṣamāṇaḥ //	yat+-kiMcit+AdiSya niBena kim-+mAm+nizeDasi kleSam-+iva+IkzamANaH //
   Rc_3.52 //	Rt-_3.52 //
   sthitas+asmi tāvat+dinam+etat+eṣyati+anyedyus+ājñām+tava na pratīkṣe &	sTita-s+asmi tAvat+dinam-+etat+ezyati+anyedyu-s+a-AjQAm+tava na pratIkze &
   āryas+anurodhāt+na yunakti yatra tatra+aham+ambāniyamāt+svatantraḥ //	Arya-s+anuroDAt+na yunakti yatra tatra-+aham-+amba-aniya-mAt+svatantraH //
   Rc_3.53 //	Rt-_3.53 //
   tat+eṣa niṣkramya tathā karomi tatpūrvasaṅgas+plavagas+yathā+āśu &	tat+a-iza nizkramya taTA karomi tad-pUrva-saFga-s+plavaga-s+yaTA+ASu &
   tam+vairisaṃhāramahopakāram+āryāya niryātayitum+yatena // Rc_3.54 //	tam+vEri-saMhAra-mahA-upakAram-+AryAya niryAtayitum-+yatena // Rt-_3.54 //
   dhik+tam+dhanuṣpāṇim+anuplavam+mām+mudhā manaḥparyuṣitāvalepam &	Dik+tam+-DanuzpANim-+anu-plavam-+mAm-+muDA manaH-paryuzita-avalepam &
   anvīkṣate yasya mama+avasādāt+āryas+sahāyāntaram+antarajñaḥ // Rc_3.55 //	anvIkzate yasya mama+avasAdAt+a-Arya-s+-sahAya-antaram-+antara-jQaH // Rt-_3.55 //
   dhik+śātatām+sannataparvatām+dhik+dhik+pātavegam+ca mama+āśugānām &	Dik+SAta-tAm+sannata-parvatAm+Di-k+Dik+-pAta-vegam+ca mama+ASu-gAnAm &
   alakṣitoddeśam+api dviṣantam+nihatya na+āyānti hi yat+kṣaṇena // Rc_3.56	alakzita-uddeSam-+api dvizantam-+nihatya na+a-AyAnti hi yat+kzaNena // Rt-_3.56
   kharādirakṣaḥkadaneṣu dīrgham+amī parijñātarasās+kim+anyat &	Kara-Adi-rakzaH-kadanezu dIrGam+amI parijQAta-rasa-as+kim-+anyat &
   asṛgbhujām+bhoktum+asṛk+tvarantām+bhūyas+api bhūcandra tava+ardhacandrāḥ	asRk-BujAm-+Boktum+asRk+tvarantAm-+BUyas+api BU-candra tava+arDacandrAH
   // Rc_3.57 //	// Rt-_3.57 //
   ātāṭakāsaṃjñapanāt+prapannas+tvayā+eṣa varṇāśramarakṣaṇāya &	AtAwakA-saMjQa-panAt+-prapanna-s+tvayA+-eza varNa-ASrama-rakzaNAya &
   samāpyatām+śeṣanibarhaṇena kṣapācarāṇām+nidhanādhikāraḥ // Rc_3.58 //	samApyatAm+Seza-nibarhaNena kzapA-carANAm-+niDana-aDikAraH // Rt-_3.58 //
   uddhṛtya ghorāyudhavṛndavṛṣṭim+anuṣṭhitām+oghaśaravyayena &	udDRtya Gora-AyuDa-vRnda-vRzwim-+anuzWita-am+oGa-Sara-vyayena &
   sa rākṣasebhyas+ambaragocarebhyas+trātas+tvayā+ekena makhas+maharṣeḥ //	sa rAkzaseByas+ambara-gocareBya-s+trAtas+tvayA-+ekena maKa-s+mahA-RzeH //
   Rc_3.59 //	Rt-_3.59 //
   tam+kālakalpam+kiyatā śrameṇa tathā+avadhīs+mārgarudham+virādham &	tam+kAla-kalpam-+kiyatA SrameNa taTA-a+avaDI-s+-mArga-ruDam-+virADam &
   āsan+muhūrtās+kati ca ghnatas+te sainyam+janasthānapates+svarasya //	Asan+-muhUrtA-as+kati ca Gnata-s+te sEnyam-+jana-sTAna-pates+svarasya //
   Rc_3.60 //	Rt-_3.60 //
   āsīt+kṣuraprasya kiyān+vilambas+krūreṣu teṣu triśiraḥśiraḥsu &	AsIt-+kzuraprasya kiyAn+vilamba-s+krUrezu tezu triSiraH-SiraHsu &
   kati+iṣavas+dūṣaṇadehayātrānivāraṇārtham+ca raṇe visṛṣṭāḥ // Rc_3.61 //	kati+izava-s+dUzaNa-deha-yAtrA-nivAraNa-arTam-+ca raNe visRzwAH // Rt-_3.61 //
   kasya+avalambāt+akarot+parāsum+mārīcam+uccāvacamāyam+āryaḥ &	kasya+avalambAt+a-karot+-para-asum-+mArIcam-+uccAvacama-ayam-+AryaH &
   jñātā ca dik+saṃjñapitas+tvayā+eva kṣapācarāṇām+adhipas+ca sas+api //	jQAtA ca dik+-saMjQapita-s+tvayA+eva kzapA-carANAm-+aDipas+ca sas+api //
   Rc_3.62 //	Rt-_3.62 //
   iti+aprapañcoditakāraṇāni mithas+tayos+tathyaguṇagrahāṇi &	iti+a-prapaQca-udita-kAraNAni miTas+tayA-us+-taTya-guNa-grahANi &
   nedus+stuvānās+iva sūnṛtāni khagās+kulāyeṣu kṛtaikamatyāḥ // Rc_3.63 //	nedu-s+stuvAn-As+iva sUnRtAni Kaga-as+kulAyezu kRta-ekamatyAH // Rt-_3.63 //
   āropya sandhyām+diśi vajrapāṇes+paryasya candram+kakubhi pratīcyām &	Aropya sanDyA-m+diSi vajrapANes+paryasya candram+ka-kuBi pratIcyAm &
   utsaṅgitoḍuprakarā khagānām+ādāya nidrām+rajanī jagāma // Rc_3.64 //	utsaFgi-ta-uxu-prakarA KagAnAm-+AdAya nidrAm+rajanI jagAma // Rt-_3.64 //
   kavis+ca jīvas+ca sutas+ca bhūmes+sa dakṣiṇāśātilakas+munis+ca &	kavis+ca jIvas+ca sutas+ca BUmes+-sa dakziNa-ASA-tilaka-s+muniH-+ca &
   āsannasūryāṃśubhayadrutasya kṣaṇam+rarakṣus+bhagaṇasya pṛṣṭham // Rc_3.65	Asanna-sUrya-aMSu-Baya-drutasya kzaNam-+ra-rakzu-s+Ba-gaNasya pRzWam // Rt-_3.65
   dik+darśayāmāsa mukham+sarāgam+na yāvat+aindrī gaṇikā+iva mattā &	dik+darSayAmAsa muKam-+sara-Agam+na yAvat-+A-EndrI gaNikA+-iva mattAH &
   tāvat+dvijeśas+aṅkam+iyāya sindhos+sandhyāsurāśīkarasekaśaṅkī // Rc_3.66	tAvat+-dvija-ISa-s+aFkam-+iyAya sinDos+sanDyA-asurA-SIkara-seka-SaFkI // Rt-_3.66
   visarjitoḍus+kṣaṇam+indus+āsīt+āsīt+upānteṣu+api na+andhakāram &	visarjita-uxu-s+kzaNam-+indu-s+AsIt+a-Asi-it-+upAntezu+-api na+anDakAram &
   bhṛśam+diśi+indrasya rarāja sandhyā sindūriṇī+iva graharājamudrā //	BRSam-+diSi+indrasya rarAja sanDyA sindUriNI+-iva graha-rAja-mudrA //
   Rc_3.67 //	Rt-_3.67 //
   uccetum+uccais+uḍukuḍmalāni vyākurvatī rāgam+atipragāḍham &	uccetum-+uccEs+uxu-kuxmalAni vyAkurvatI rAgam+ati-pragAXam &
   śākhām+iva+ālambya diśam+maghonas+sandhyā viyat+bhūruham+āruroha //	SAKAm-+iva+Alambya diSam+ma-Gonas+-sanDyA viyat+BUruham-+Aruroha //
   Rc_3.68 //	Rt-_3.68 //
   śeṣoḍupuṣpastabakoccayāya saṃjātarāgātiśayā+iva sandhyā &	Seza-uxu-puzpa-stabaka-uccayAya saMjAta-rAga-atiSayA+-iva sanDyA &
   api+uccakais+pūrvamahīdhramūrdhni sthitvā viyadbhūruham+āruroha // Rc_3.69	api+ucca-kEs+-pUrva-mahIDra-mUrDni sTitvA viyat-BUruham-+Aruroha // Rt-_3.69
   (tat+eva+idam)	(tat+eva+-idam)
   visṛjya pāṇḍucchadanaughatulyam+tārāgaṇam+vyomatarus+tadānīm &	visRjya pANxu=-Cadana-oGa-tulyam+tArA-gaNam-+vyoma-taru-s+tadAnIm &
   babhāra sandhyārucimañjarīṇām+jālāni bālādharakomalāni // Rc_3.70 //	baBAra sanDyA-aruci-maQjarINAm+jAlAni bAla-aDara-komalAni // Rt-_3.70 //
   utsāritā+iva+abhrakareṇukumbhāt+jambhāriyugyādhikṛtais+marudbhiḥ &	utsArita-a+iva-+aBraka-reNu-kumBAt+-jamBAri-yugya-aDikRtA-es+marudBiH &
   tatāna sandhyā+iti samullasantī nabhoṅgaṇam+raṅgavikāradhūliḥ // Rc_3.71	tatAna sanDyA+-iti samullasantI naBoFgaNam+raFga-vikAra-DUliH // Rt-_3.71
   saṃvittayas+tattvavigāhaśubhrās+sāṃsārike rāge+iva+adhirūḍhe &	saMvittayas+-tattva-vigAha-SuBrAs+sAMsArike rAge+iva+aDirUXe &
   śanais+śanais+mlānarucas+mamajjus+tārās+prasarpati+aruṇe cireṇa // Rc_3.72	SanEs+Sa-nEs+mlAna-ruca-s+ma-majjus+tA-rAs+-prasarpati+aruNe cireNa // Rt-_3.72
   kais+śikṣitās+vartayitum+tadā+āsīt+unmīlitam+tūlikayā+iva citram &	kEs+Sikzita-As+vartayitum-+tadA+AsIt+unmIlitam+tUlikayA-a+iva citram &
   taraṅgavat+tuṅgaśaradghanālīvisaṃsthule vyomani bālasandhyā // Rc_3.73 //	taraFgavat+-tuFga-Sarad-Gana-AlI-visaMsTule vyomani bAla-sanDyA // Rt-_3.73 //
   pratyuptamātram+diśi devabhartus+abhyaktakhaṇḍābhrataraṅgamālam &	pratyupta-mAtram-+diSi deva-Bartu-s+aByakta-KaNxa-aBra-taraFga-mAlam &
   babhau visarpati+ayasi+iva tailam+nabhastale bālapataṅgatejaḥ // Rc_3.74	baBO visarpati+ayasi+iva tElam-+naBaH-tale bAla-pataFga-tejaH // Rt-_3.74
   prasattinirvyūḍhasudhāmayūkham+kham+uṣṇaraśmau+api raktim+ūhe &	prasatti-nirvyUXa-suDA-mayUKa-m+Kam-+uzNa-raSmO+api raktim+Uhe &
   bharam+pratīcchanti mahodayānām+pātrāṇi paryāyavaśaṃvadāni // Rc_3.75 //	Baram-+pratIcCanti mahA-udayAnAm+-pAtrANi paryAya-va-SaMvadAni // Rt-_3.75 //
   tāpiñchakalpas+kakubhi pratīcyām+ācchādayāmāsa mṛgas+mṛgāṅkam &	tApin-Sa-kalpa-s+ka-kuBi pratIcyAm-+a-AcCAdayAmAsa mRgas+mRgAFkam &
   dūrādhirūḍham+janam+āpadi+iva prakāśamānas+atiśayāt+avarṇaḥ // Rc_3.76 //	dUra-aDirUXam+janam-+Apadi+iva prakASamAnas+atiSayAt+a-varNaH // Rt-_3.76 //
   pradīptasandhyāgni nadaddvijaugham+niraṃśukadhvastaparāṅmukhendu &	pradIpta-sanDyA-agni nadat-dvija-oGam+-niraMSuka-Dvasta-parAFmuKa-indu &
   viyadviluptoḍukulam+tadā+abhūt+cakrāntarākrāntapuropameyam // Rc_3.77 //	viyat-vilupta-uxu-kula-m-+tadA+a-BUt+-cakra-antara-AkrAnta-pura-upameyam // Rt-_3.77 //
   mithas+kṛtālokamahotsavānām+kṛtāravas+sārasadampatīnām &	miTas+-kRta-Aloka-mahA-utsavAnAm-+kRta-Ara-vas+sA-rasa-dampatInAm &
   na bālabhānos+kiraṇāt+abhaiṣīt+nadīṣu nīhāramayas+andhakāraḥ // Rc_3.78 //	na bAla-BAnos+kiraNAt+a-BEzIt+-nadIzu nIhAra-maya-s+anDakAraH // Rt-_3.78 //
   tatāra saṃtīrya himāndhakāram+tatā rasantī saritas+khagālī &	tatAra saMtIrya hima-anDakAram+tatA rasantI sarita-s+Ka-gAlI &
   raktāravindasya rajobhis+ārdrais+aktā ravim+vāriṇi vīkṣamāṇā // Rc_3.79 //	rakta-aravindasya rajoBis+A-ArdrEH-+aktA ravim+vAriNi vIkzamANAH // Rt-_3.79 //
   smaravyayaklāntavalatpulindīsarvāṅgasaṃvāhakalāvidagdhaḥ &	smara-vyaya-klAnta-valat-pulindI-sarva-aFga-saMvAha-kalA-vidagDaH &
   vilambya kośeṣu kuśeśayānām+sasāra kāsārataraṅgavātaḥ // Rc_3.80 //	vilambya koSezu kuSeSayAnAm+sasAra kAsAra-taraFga-vAtaH // Rt-_3.80 //
   atītya śaityam+taṭavālukānām+koṣṇāsu sasnus+munayas+nadīṣu &	atItya SEtyam-+tawa-vAlukA-nAm+ka-uzNAsu sa-snus+munayas+-nadIzu &
   apām+apūryanta ca nairjharīṇām+kuṭās+girigrāmakuṭumbinībhiḥ // Rc_3.81 //	apAm+a-pUryanta ca nErJarINAm+kuwAs+-giri-grAma-kuwumbinIBiH // Rt-_3.81 //
   jātaprakāśāsu bahiḥsthalīṣu prakāmacārotsavajāgarūkaḥ &	jAta-prakASAsu bahis-sTalIzu prakAma-cAra-utsava-jAgarUkaH &
   ibhas+bhuvi praskhaladagrahastas+sasmāra śayyodarakuñjaśayyām // Rc_3.82	iBas+-Buvi prasKalada-gra-haH-ta-s+sasmAra SayyA-udara-kuQja-SayyAm // Rt-_3.82
   sametya jṛmbhānupadam+svayūthyais+mithas+kṣaṇam+līḍhatuṣāralepāḥ &	sametya jRmBA-anupadam+-sva-yUTya-es+miTa-s+-kzaNam+lIXa-tuzAra-lepAH &
   pratasthire digvalayam+vilokya yathāyatham+kacchabhuvas+kuraṅgāḥ //	pratasTire diS-valayam+vilokya yaTAyaTam-+kacCa-Buvas+kuraFgAH //
   Rc_3.83 //	Rt-_3.83 //
   adṛśyata+ārāt+taralais+sthalīṣu vanecarāṇām+pṛtanā kuraṅgaiḥ &	adRSyata+ArAt+-tara-la-es+sTalIzu vanecarANAm-+pRtanA kuraFgEH &
   papau raves+saṃjvalitograbhāsam+bhujaṅgam+aughas+śritanākurandhraiḥ //	papO raves+-saMjvalita-ugra-BA-sam+BujaFga-m+OGa-s+Srita-nA-ku-ranDrEH //
   Rc_3.84 //	Rt-_3.84 //
   sthalam+kuraṅgīnayanais+anidrais+unmuktamudrais+jalajais+jalam+ca &	sTalam-+kuraFgI-naya-nEs+a-nidrA-es+unmuktam-udrEs+jalajEH-+-jalam-+ca &
   vilolatārais+taraladvirephais+uvāha bhedam+na mithas+tadānīm // Rc_3.85 //	vilola-tArEH-+tarala-dvirePEs+uvAha Beda-m+na miTas+tadAnIm // Rt-_3.85 //
