   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   vakṣyamāṇākṣepaparihārāvanāgatāvekṣaṇena	vakzyamANA kzepa parihArO= anAgata avekzaNena
   pratijñāsamarthanārthabhupavarṇitau /	pratijQA samarTana arTa Bupa varNitO /
   idānīṃ tu sūtrakāreṇa svayamevocyata iti tenedameva	idAnIm tu sUtrakAreNa svayam eva ucyate iti tena idam eva
   sarvacodanākṣepakṣetramityuktamiti ||1||	sarva codanA kzepa kzetram iti uktam iti ||1||
   atra parihāre pūrvokta evākṣepaheturiti, tamupanyasyati    citreti	atra parihAre pUrva uktaH eva Akzepa hetuH iti, tam upanyasyati   citra iti
   phalānītyantena /	PalAni iti antena /
   ayamartha'    citrāpaśuphalatvādiviṣayāścodanā dharmiṇya'	ayam arTa a   citrA paSu Pala tva Adi vizayAH codanA DarmiNya a
   yadīdṛktanmṛṣā dṛṣṭaṃ vipralipsoryathā vaca' /	yadIdRktat mRzA dRzwam vipralipsoH yaTA vaca a /
   nadītīre phalānīti tatrādṛsyāni tāni cet // Msv_5,9.3 //	nadI tIre PalAni iti tatra adRsyAni tAni ced // Msu _5,9.3 //
   na vā paśuphalā citrā svakāle tadadānata' /	na vA paSuPalA citrA sva kAle tat adAnata a /
   snānabhujyādivat te 'pi tatsādhyā na bhavanti vā // Msv_5,9.4 //	snAna Bujya Adi vat te api tad sADyAH na Bavanti vA // Msu _5,9.4 //
   tadutpattāvasadbhāvāt svargatṛptisukhādivat /	tad utpattO= asadBAvAt svarga tRpti suKa Adi vat /
   vaidharmyeṇobhayatrāpi bhavetāṃ sukhamardane // Msv_5,9.5 //	vEDarmyeNa uBayatra api BavetAm suKa mardane // Msu _5,9.5 //
   ānantaryamanuktaṃ cenna sāmarthyāvabodhanāt /	Anantaryam anuktam ced na sAmarTya avaboDanAt /
   mṛṣeti sādhyo dharma' /	mRzA iti sADyaH Darma a /
   adhikṛtai' pravṛttiyogyairapi pratyakṣādibhirarthānavagate' /	aDikRtE a pravRtti yogyEH api pratyakza AdiBiH arTAnavagate a /
   yadīdṛśaṃ tanmṛṣā    yathā vipralipsorvaca' /	yadi IdRSam tat mRzA   yaTA vipralipsoH vaca a /
   ādiśabdenāgnihotrādiviṣayā api codanā' pakṣīkaroti /	Adi Sabdena agnihotra Adi vizayAH api codanA a pakzIkaroti /
   nanu vipralipsuvākyamatra dṛṣṭānta' /	nanu vipralipsu vAkyam atra dRzwAnta a /
   na ca tanniyamena pratyakṣādyasaṅgatārthamasatyaṃ ca /	na ca tat niyamena pratyakza Adi a saFga tA arTam asatyam ca /
   tasmādubhayavikalo dṛṣṭānta' /	tasmAt uBaya vikalaH dRzwAnta a /
   ata āha    tatreti /	atas Aha   tatra iti /
   asatyarthe prayuktameva nadatīrādivākyamiha dṛṣṭānta' /	asati arTe prayuktam eva nada tIra Adi vAkyam iha dRzwAnta a /
   prāyeṇa caitrañjātīyakaṃ vipralipsureva prayuṅkta iti	prAyeNa cEtraQjAtIyakam vipralipsuH eva prayuFkte iti
   vipralipsorityuktamiti ||2,3||	vipralipsoH iti uktam iti ||2,3||
   idānīmaihikākṣepa ityuktaṃ vivṛṇoti    na veti vadantena /	idAnIm EhikAkzepaH iti uktam vivRNoti   na vA iti vadantena /
   citreṣṭirdharmiṇī, na paśuphaleti sādhyam, svakāle paśvadānāt,	citrezwiH DarmiNI, na paSu PalA iti sADyam, sva kAle paSu adAnAt ,
   snānādivaditi /	snAna Adi vat iti /
   prayogāntaramāha    te 'pīti /	prayoga antaram Aha   te api iti /
   te paśavo na citrāsādhyā' , citrotpattāvasadbhāvāt svargatṛptisukhādivat /	te paSavaH na citra asADyA a , citra utpattO= asadBAvAt svarga tRpti suKa Adi vat /
   ādiśabdenātra bhojanajanyā tṛptirabhipretā /	Adi Sabdena atra Bojana janyA tRptiH aBipretAH /
   etau ca prayogau 'neṣṭi' paśuphalā,karmakāle ca karmaphalena bhavitavyam'	etO ca prayogO anezwi a paSu PalA,karma kAle ca karma Palena Bavitavyam a
   iti bhāṣyoktau veditavyāviti /	iti BAzya uktO veditavyO= iti /
   atrānantaraṃ 'yatkālaṃ hi mardanaṃ tatkālameva mardanasukham' iti	atra anantaram ayat kAlam hi mardanam tad kAlam eva mardana suKam a iti
   bhāṣyakāreṇoktam, tad vaidharmyadṛṣṭāntatayā prayogadvaye yojayati   	BAzya kAreNa uktam, tat vEDarmya dRzwAnta tayA prayoga dvaye yojayati   
   vaidharmyeṇeti /	vEDarmyeNa iti /
   citrā na paśuphalā paśavo na tatsādhyā ityubhayatrāpi prayoge vaidharmyeṇa	citrA na paSu PalA paSavaH na tad sADyAH iti uBayatra api prayoge vEDarmyeNa
   sukhamardane bhavetām, īdṛśī cātra vaidharmyaracanā, yadyatsādhyaṃ	suKa mardane Baveta Am, IdRSI ca atra vEDarmya racanA, yat yat sADyam
   tattatsakāle prasūte, mardanamiva sukham /	tad tat sa kAle prasUte, mardanam iva suKam /
   yacca yatsādhyaṃ tat tadutpattau bhavatyeva sukhamiva mardanotpattāviti	yat ca yat sADyam tat tad utpattO Bavati eva suKam iva mardana utpattO= iti
   nanūktivisaṃvādādaprāmāṇyamuktam /	nanu ukti visaMvAdAt aprAmANyam uktam /
   na ca kiñcidiha visaṃvāda', na hi kṛte karmaṇi tāvatyeva phalena	na ca kiQcid iha visaMvAda a, na hi kRte karmaNi tAvatI eva Palena
   bhavitavyamiti śabdo brūte, kintu asyedaṃ	Bavitavyam iti SabdaH brUte, kintu asya idam
   śabdaikadeśabhūtena tena tatpratipāditam // Msv_5,9.6 //	Sabda eka deSa BUtena tena tad pratipAditam // Msu _5,9.6 //
   kālāntarānupādānāt karmasvābhāvyato 'pi ca /	kAla antara anupAdAnAt karma svABAvyataH api ca /
   codyamānasya citrāderānantaryaṃ viśeṣaṇam // Msv_5,9.7 //	codyamAnasya citra AdeH Anantaryam viSezaNam // Msu _5,9.7 //
   atra tāvadasaṃvādo virodhaścottaratra tu /	atra tAvat asaMvAdaH viroDaH ca uttaratra tu /
   svargayānaviruddho hi bhasmībhāvo 'tra dṛśyate // Msv_5,9.8 //	svarga yAna virudDaH hi BasmIBAvaH atra dRSyate // Msu _5,9.8 //
   phalamiti /	Palam iti /
   etāvati ca paryavasānāt /	etAvati ca paryavasAnAt /
   ata' kālāntare phalaṃ dāsyati /	ata a kAla antare Palam dAsyati /
   tadetaduktam    'kālāntare phalaṃ dāsyatīti cet'iti,	tat etat uktam    akAla antare Palam dAsyati iti cet aiti,
   tadetadāha   ānantaryamiti /	tat etat Aha   Anantaryam iti /
   pariharati    nasāmarthyeti /	pariharati   nasAmarTyA iti /
   sākṣādanuktsayānantaryasyāpyatra sāmarthyenāvabodhanaṃ kṛtam,yaiva	sAkzAt anuktsaya Anantaryasya api atra sAmarTyena avaboDanam kRtam ,yA eva
   hyasyedaṃ phalamityuktaṃ tadaivamarthādevāvagamyate anantaramanena	hi asya idam Palam iti uktam tadA evam arTAt eva avagamyate anantaram anena
   bhavitavyamiti /	Bavitavyam iti /
   kathaṃ nāmānyathāsatkālāntare phalaṃ dāsyatīti /	kaTam nAma anyaTA asat kAla antare Palam dAsyati iti /
   nanvevamapi sāmarthyalabhyamānantaryamanantaraphalānupalambhanena	nanu evam api sAmarTya laByam Anantaryam anantara PalAn upalamBanena
   bādhyatām, aviśeṣapravṛttā tu codanā kataṃ bādhyate ata āha    śabdeti /	bADya tAm, aviSeza pravRttA tu codanA katam bADyate atas Aha   Sabda iti /
   na hi sāmarthyaṃ nāma pṛthak pramāṇam, api tarhi sarvākhyātānāmarthaṃ	na hi sAmarTyam nAma pRTak pramANam, api tarhi sarva AKyAtAnAm arTam
   bruvatāṃ śakti' sahakāriṇīti śabdaikadeśa eva /	bruvatAm Sakti a sahakAriNI iti Sabda eka deSaH eva /
   ata' sruvāvadānamivāpyadravyeṣvarthādanantarameva phalaṃ niścīyata iti	ata a sruva avadAnam iva api adravyezu arTAt anantaram eva Palam niScIyate iti
   tadbodhe 'pi śābdabodho bhavatyeveti ||6||	tad boDe api SAbda boDaH Bavati eva iti ||6||
   itaścānantaryamavagamyata ityāha   kālāntareti /	itas ca anantaryam avagamyate iti Aha    kAla antarA iti /
   yadi hyatra phalaṃ dāsyatīti ḷṅśroṣyat tadā tatsāmarthyena kalpanā	yadi hi atra Palam dAsyati iti ?FSrozyat tadA tad sAmarTyena kalpanA
   kācidapyabhaviṣyat /	kAcid api aBavizyat /
   adya punarasyedaṃ karmaṇa' phalamiti paryavasite vacasi	adya punar asya idam karmaNa a Palam iti paryavasite vacasi
   sarvakarmaṇāmanantaraphalopalambhād vaidikasyāpi citrādeścodyamānasyāpi	sarva karmaNAm anantara Pala upalamBAt vEdikasya api citra AdeH codyamAnasya api
   karmaṇastatsvābhāvyādānantaryaṃ viśeṣaṇatayāvatiṣṭhata iti ||7||	karmaNaH tad svABAvyAt Anantaryam viSezaNa tayA avatizWate iti ||7||
   atrānantaramaparaṃ bhāṣyam    'dṛṣṭaviruddhamapi kiñcit vaidikaṃ vacanaṃ	atra anantaram aparam BAzyam    adRzwa virudDam api kiQcid vEdikam vacanam
   'sa eṣa yajñāyudhī yajamāno 'ñjasā svargaṃ lokaṃ yātī'ti /	asaH eza yajQAyuDI yajamAnaH aQjasA svargam lokam yAtI ati /
   tad yena viśeṣeṇoktaṃ tamāha   atreti /	tat yena viSezeNa uktam tam Aha   atra iti /
   atra hi citrādivākyeṣūktivisaṃvādādaprāmāṇyuktam /	atra hi citra Adi vAkyezu ukti visaMvAdAt aprAmANi uktam /
   uttaratra yajñāyudhivākye pratyakṣādivirodha iti virodhamabhidyotayati   	uttaratra yajQa AyuDi vAkye pratyakza Adi viroDaH iti viroDam aBidyotayati   
   svargayāna iti /	svargayAnaH iti /
   yajamānasya niratiśayānandātmana' svargādatidūramapabhraṣṭo bhasmībhāva'	yajamAnasya niratiSaya Ananda Atmana a svargAt ati dUram apaBrazwaH BasmIBAva a
   pratyakṣamupalabhyate, citrādicodanā	pratyakzam upalaByate, citra Adi codanA
   yajñāyudhivaco mithyā pratyakṣeṇa virodhata' /	yajQa AyuDi vacaH miTyA pratyakzeNa viroData a /
   sādharmyeṇa śilāvākyaṃ vaidharmyeṇāptabhāṣitam // Msv_5,9.9 //	sADarmyeNa SilA vAkyam vEDarmyeNa Apta BAzitam // Msu _5,9.9 //
   śarīdād yadi cānya' syānnāsau yajñāyudhī bhavet /	SarIdAt yadi ca anya a syAt na asO yajQa AyuDI Bavet /
   na cāsya yajamānatvaṃ sadbhāvo 'pi ca durlabha' // Msv_5,9.10 //	na ca asya yajamAna tvam sadBAvaH api ca durlaBa a // Msu _5,9.10 //
   su tvanantaraphalānupalambhamātraṃ na tu viruddhopalambha' kaścidastīti	su tu anantara Pala anupalamBa mAtram na tu virudDa upalamBa a kaScid asti iti
   syādapi kālāntare phalakalpanā, bhasmībhūtaṃ tu śarīraṃ kālāntare 'pi	syAt api kAla antare Pala kalpanA, BasmIBUtam tu SarIram kAla antare api
   svargaṃ lokaṃ yāsyatīti na sambhavatīti pūrvasmād viśeṣa' ||8||	svargam lokam yAsyati iti na samBavati iti pUrvasmAt viSeza a ||8||
   aparamapi ca 'evañjātīyakaṃ pramāṇaviruddhaṃ vacanamapramāṇam    ambuni	aparam api ca aevan jAtIyakam pramANa virudDam vacanam apramANam   ambuni
   majjantyalābūni, grāvāṇa' plavanta iti yathā ' iti bhāṣyam, tad	majjanti alAbUni, grAvANa a plavante iti yaTA a iti BAzyam, tat 
   vyācaṣṭeyajñeti vākyamantena /	vyAcazweya jQA iti vAkyam antena /
   yajñāyudhavaco dharmī, mṛṣeti sādhyo dharma', pratyakṣavirodhāt,	yajQAyuDa vacaH DarmI, mRzA iti sADyaH Darma a, pratyakza viroDAt,
   yatpratyakṣaviruddhaṃ tanmithyā, yathā grāvāṇa' plavanta iti śilā vākyaṃ	yad pratyakza virudDam tat miTyA, yaTA grAvANa a plavante iti SilA vAkyam
   sādharmyeṇa yatheti darśayitavyamiti /	sADarmyeNa yaTA iti darSayitavyam iti /
   vaidharmyadṛṣṭāntamāha    vaidharmyeṇeti /	vEDarmya dRzwAntam Aha   vEDarmyeNa iti /
   yadamithyā na tatpratyakṣaviruddhaṃ yathāptabhāṣitamiti /	yat amiTyA na tad pratyakza virudDam yaTA Apta BAzitam iti /
   pūrvaṃ tu mardanasukhayorvaidharmye dṛṣṭāntaratayopanyāsācchilāvākyamapi	pUrvam tu mardana suKayoH vEDarmye dRzwa antara tayA upanyAsAt SilA vAkyam api
   vaidharmyeṇa bhāṣyakṛtoktamiti bhrāntimapanetuṃ sādharmyavaidharmyaviveko	vEDarmyeNa BAzya kRta uktam iti BrAntim apanetum sADarmya vEDarmya vivekaH 
   vārtikakṛtā darśita' ||9||	vArtika kRtA darSita a ||9||
   nanu pratyakṣavirodhāditi hetusiddha eva, asti hi paralokaphalabhoktā	nanu pratyakza viroDAt iti hetu sidDaH eva, asti hi para loka Pala BoktA
   cetana' karmaṇāṃ kartā, sa svargaṃ lokaṃ yāsyatīti /	cetana a karmaNAm kartA, sa svargam lokam yAsyati iti /
   tamevābhipretya svargaṃ lokaṃ yāsyatītyuktam /	tam eva aBipretya svargam lokam yAsyati iti uktam /
   ata' ko virodho 'ta āha   śarīrāditi /	ata a kaH viroDaH atas Aha    SarIrAt iti /
   yadi hi śarīrādanyaścetano bhavet, bhavedapi na tasya yajñāyudhairasti	yadi hi SarIrAt anyaH cetanaH Bavet, Bavet api na tasya yajQa AyuDEH asti
   kaścit sambandhaprakāra', śarīrasyaiva tu srukkapālādiyajñāyudhai'	kaScid sambanDa prakAra a, SarIrasya eva tu sruc kapAla Adi yajQa AyuDE a
   sambandha', yadyajñāyudhī yajamāna iti tadabhiprāyeṇa matvarthasaṃyogo	sambanDa a, yadyajQa AyuDI yajamAnaH iti tad aBiprAyeNa matu arTa saMyogaH 
   ghaṭate /	Gawate /
   api ca 'sa eṣa' ityaparokṣapratinirdeśa', so 'pi śarīrasyaiva	api ca asaH eza a iti aparokza pratinirdeSa a, saH api SarIrasya eva
   pratyakṣatvādupapanno nātmana' /	pratyakza tvAt upapannaH na Atmana a /
   tadetadapi bhāṣyakāreṇoktaṃ hi     'śarīrakaṃ vyapadiśati'iti /	tat etat api BAzya kAreNa uktam hi     aSarIrakam vyapadiSati aiti /
   kiñca yajamānaśabdo hyātmanyasamañjasa', yāgasya hi kartā yajamāna	kiQca yajamAna SabdaH hi Atmani asamaQjasa a, yAgasya hi kartA yajamAna
   ityucyate, na ca	iti ucyate, na ca
   yathācoditavitatapūrvāparībhūtānekakarbhakṣaṇātmakakratukriyākartṛtvamātmana'	yaTA codita vitata pUrva aparIBUta aneka karBakzaNa Atmaka kratu kriyA kartR tvam Atmana a
   sambhavati, vibho' pūrvāparadeśavibhāgasaṃyogayogaphalakarmaṇāmasamavāyāt	samBavati, viBo a pUrva apara deSa viBAga saMyoga yoga Pala karmaNA Am asamavAyAt
   tadetadāha    na	tat etat Aha   na
   yadi syād vidhiśabdo 'tra naivādarśanato bhavet /	yadi syAt viDi SabdaH atra na eva adarSanataH Bavet /
   viśeṣo 'syeti bhedena nopāttaṃ syādidaṃ tata' // Msv_5,9.11 //	viSezaH asya iti Bedena na upAttam syAt idam tatas a // Msu _5,9.11 //
   vidhiśabde bhaviṣyattvaṃ phalasya parikalpya hi /	viDi Sabde Bavizyat tvam Palasya parikalpya hi /
   virodhaparihāra' syād vartamāne 'pi nāstyasau // Msv_5,9.12 //	viroDa parihAra a syAt vartamAne api na asti asO // Msu _5,9.12 //
   phalaṃ ca na bhavedevaṃ bhasmībhāvād vidhāvapi /	Palam ca na Bavet evam BasmIBAvAt viDO= api /
   tatsāmarthyena yānyapi kalpanā tāṃ niṣedhati // Msv_5,9.13 //	tad sAmarTyena yAni api kalpanA tAm nizeDati // Msu _5,9.13 //
   ceti /	ca iti /
   abhyupagamya cātmana' sadbhāvamidamasmābhiruktam, paramārthena tu	aByupagamya ca Atmana a sadBAvam idam asmABiH uktam, parama arTena tu
   dehendriyavyatiriktātmasadbhāvo 'pi pramāṇābhāvād durlabha ityāha   	deha indriya vyatirikta Atma sadBAvaH api pramANa aBAvAt durlaBaH iti Aha   
   sadbhāva iti /	sadBAvaH iti /
   prapañcayiṣyate caitadātmavāda itīha na pratanyata iti ||10||	prapaQcayizyate ca etat Atma vAdaH iti iha na pratanyate iti ||10||
   aparaṃ ca    'na caiṣa yātīti vidhiśabda''iti bhāṣyam /	aparam ca   ana ca eza yAti iti viDi Sabda aaiti BAzyam /
   tasyābhiprāyamāha    yadīti /	tasya aBiprAyam Aha   yadi iti /
   asyārtha'    yadi hyatra	asya arTa a   yadi hi atra
   yajñāyudhivākye vidhiśabdo bhavet, tadā citrādīnāmanantaraphalādarśanād	yajQa AyuDi vAkye viDi SabdaH Bavet, tadA citra AdInAm anantara Pala adarSanAt 
   bhedena virodhopanyāsārthaṃ yajñāyudhivākyopādānaṃ nopapadyate /	Bedena viroDa upanyAsa arTam yajQa AyuDi vAkya upAdAnam na upapadyate /
   ata' svakṛtabhedopādānasamarthanārthaṃ vidhiśabdanirākaraṇamiti ||11||	ata a sva kRta Beda upAdAna samarTana arTam viDi Sabda nirAkaraNam iti ||11||
   vidhiśabde ko viśeṣa', ata āha    vidhīti /	viDi Sabde kaH viSeza a, atas Aha   viDi iti /
   vidhiśabde hi kālaviśeṣānupādānād vidhisāmarthyādeva kālāntarabhāvitāṃ	viDi Sabde hi kAla viSeza anupAdAnAt viDi sAmarTyAt eva kAla antara BAvitAm
   phalasya parikalpya syādapi citrādicodanāsvivābhāvavirodhaparihāra' /	Palasya parikalpya syAt api citra Adi codanAsu iva aBAva viroDa parihAra a /
   iha tu yātīti vartamānāpadeśānna pratyakṣavirodha' śakyate	iha tu yAti iti vartamAna apadeSAt na pratyakza viroDa a Sakyate
   parihartumityadarśanād viśeṣa iti ||12||	parihartum iti adarSanAt viSezaH iti ||12||
   citrādivākyābhiprāyeṇa cedamasmābhiruktam    vidhiśabde bhaviṣyattvaṃ	citra Adi vAkya aBiprAyeNa ca idam asmABiH uktam   viDi Sabde Bavizyat tvam
   phalasya parikalpya virodha' śakyate parihartumiti /	Palasya parikalpya viroDaH a Sakyate parihartum iti /
   iha tu pratyakṣeṇa bhasmībhāvopalambhānna kālālantaraphalabhāvitayā	iha tu pratyakzeNa BasmIBAva upalamBAt na kAla Alantara Pala BAvitayA
   svargagamanaṃ phalamiti śakyate kalpayitum /	svarga gamanam Palam iti Sakyate kalpayitum /
   na hi vidhisahasreṇāpyāśaṅkanīyor'tha' śakya' pratyāyayitum /	na hi viDi sahasreNa api ASaFkanIyor aTa a Sakya a pratyAyayitum /
   tadetadāha    phalaṃ ceti /	tat etat Aha   Palam ca iti /
   takiṃ tarhi vidhiśabdatānirākaraṇasya phalamata āha    tatsāmarthyeneti /	takim tarhi viDi Sabda tA nirAkaraNasya Palam atas Aha   tad sAmarTyena iti /
   cetanapravartanātmako hi vidhirantareṇa paralokaphalopabhoktāra	cetana pravartana AtmakaH hi viDiH antareNa para loka Pala upaBoktAra
   prāyaścaivaṃprakāratvamarthavādeṣu dṛśyate /	prAyas ca evaMprakAra tvam arTa vAdezu dRSyate /
   mantreṣu ceti te sarve pakṣīkāryā' prayatnata' // Msv_5,9.14 //	mantrezu ca iti te sarve pakzIkAryA a prayatna ta a // Msu _5,9.14 //
   evaṃ satyagnihotrādivākyeṣvapi mṛṣārthatā /	evam sati agnihotra Adi vAkyezu api mRzArTa tA /
   vedavākyaikadeśatvāccitrādidavacaneṣviva // Msv_5,9.15 //	veda vAkya eka deSa tvAt citra Adi da vacanezu iva // Msu _5,9.15 //
   iti citrākṣepavāda' /	iti citrAkzepa vAda a /
   manupapadyamāna' kalpayedapi kāyakaraṇasaṅghātātiriktamātmānam, tasya ca	manupapadyamAna a kalpayet api kAya karaNa saFGAta atiriktam AtmAnam, tasya ca
   svargalokagamanamupacaryetāpi śarīre, tasya vā pratyakṣatvamātmani	svarga loka gamanam upacaryeta api SarIre, tasya vA pratyakza tvam Atmani
   bhāktamityevamādikalpanāniṣedhārthaṃ vidhiśabdanirākaraṇamiti ||13||	BAktam iti evamAdi kalpanA nizeDa arTam viDi Sabda nirAkaraNam iti ||13||
   bhūyāṃścāyaṃ pramāṇāntaraviruddho mantrārthavādātmako vedabhāga' /	BUyAn= ca ayam pramANa antara virudDaH mantra arTavAda AtmakaH veda BAga a /
   yathā 'aditirdyeraditirantarīkṣaṃ' 'yajamāna ekakapāla'' ityevamādi' /	yaTA aaditiH dyeH aditiH antar Ikzama ayajamAnaH eka kapAla aa iti evamAdi a /
   sa ca sarva evātra prayatnato mukhyatayā mithyātvena aihikākṣepe	sa ca sarve eva atra prayatnataH muKya tayA miTyAtvena EhikAkzepe
   pakṣīkārya', tanmithyātvena cānuṣaṅgikaṃ peraṣāṃ mithyātvaṃ	pakzIkArya a, tat miTyA tvena ca AnuzaFgikam perazAm miTyAtvam
   bhaviṣyatītyabhiprāyeṇāha   prāyaiti /	Bavizyati iti aBiprAyeNa aha    prAya eti /
   'tatsāmānyādagnihotrādicodanāsvapyanāśvāsa' iti bhāṣyam,	atad sAmAnyAt agnihotra Adi codanAsu api anASvAsa a iti BAzyam,
   tasyābhiprāyamāha    evaṃ satīti /	tasya aBiprAyam Aha   evam sati iti /
   yadā hi citrādivākyādiṣvaprāmāṇyaṃ samarthitaṃ bhavati, tadā	yadA hi citra Adi vAkya Adizu aprAmANyam samarTitam Bavati, tadA
   vedavākyaikadeśatayāgnihotrādivākyeṣvapi mṛṣārthatā śakyate 'numātum, ata'	veda vAkya eka deSa tayA agnihotra Adi vAkyezu api mRzArTa tA Sakyate anumAtum, ata a
   kṛtsnasyaiva vedasyāprāmāṇyānna cojanālakṣaṇārtho dharma ityākṣepa'||	kRtsnasya eva vedasya aprAmANyAt na cojana AlakzaNa arTaH DarmaH iti Akzepa a||
   ityupādhyāyasucaritamiśrakṛtau kāśikāṭīkāyāṃ	iti upADyAya su carita miSra kRtO kASi kAwIkAyAm
   citrākṣepavāda' samāpta' /	citrAkzepa vAda a samApta a /
   atha sambandhākṣepavāda' /	aTa sambanDa Akzepa vAda a /
   svapakṣasādhanaṃ tāvadamṛṣā vaidikaṃ vaca' /	sva pakza sADanam tAvat amRzA vEdikam vaca a /
   svārthe vaktranapekṣatvāt padārthe padabuddhivat ||1||	sva arTe vaktra napekza tvAt padArTe pada budDi vat ||1||
   atrānantaram"autpattikastu śabdasyārthena sambandhastasya jñānam"iti	atra anantaram "OtpattikaH tu Sabdasya arTena sambanDaH tasya jQAnam "iti
   bhāṣyakāreṇa	BAzya kAreNa
   sambandhanityatādvāreṇākṣepaparihāro 'vatārita', so 'yukta',	sambanDa nitya tA dvAreNa Akzepa parihAraH avatArita a, saH ayukta a,
   paroktākṣepahetvanantaraṃ hi tasyaiva viruddhāsiddhyādidoṣodbhāvanamucitam	paroktA kzepa hetu anantaram hi tasya eva virudDa asidDi Adi doza udBAvanam ucitam
   yattu tamadūṣayitvaivānyaducyate tadasaṅgatamevāta āha    svapakṣa iti /	yat tu tam adUzayitvA eva anyat ucyate tad asaFgatam eva atas Aha   sva pakzaH iti /
   ayamabhiprāya'    yāvaddhi sambandhautpattikatvenānapekṣālakṣaṇaṃ	ayam aBiprAya a   yAvat hi sambanDa Otpattika tvena anapekzA lakzaNam
   codanāyā' svata' prāmāṇyaṃ na pratipādyate tāvad dūṣite 'pi sādhane na	codanAyAa svata a prAmANyam na pratipAdyate tAvat dUzite api sADane na
   'canodanālakṣaṇo dharma' iti pratijñā sidhyati /	acanodanA lakzaNaH Darma a iti pratijQA siDyati /
   bhūyāṃścānena krameṇārtho vaktumabhipreta' śabdārthasambandhanirūpaṇādi' /	BUyAn= ca anena krameNa arTaH vaktum aBipreta a Sabda arTa sambanDa nirUpaNa Adi a /
   anyathā kriyamāmaṃ (?) tadākāśapatitamivāpadyeta /	anyaTA kriyam Amam (?) tad AkASa patitam iva Apadyeta /
   taccaitat śabdasvarūpanirūpaṇāvasare vakṣyate /	tat ca etat Sabda svarUpa nirUpaNa avasare vakzyate /
   na cedamākṣepeṇa na saṅgacchate, dvedhāpi pratyavasthānadarśanāt /	na ca idam AkzepeNa na saFgacCate, dveDA api pratyavasTAna darSanAt /
   yathoktam   	yaTA uktam   
   'dvedhāpi pratyavasthānaṃ parahetvavabādhanāt /	adveDA api pratyavasTAnam para hetu avabADanAt /
   ātmīyasādhanoktyā vā tatrātmīyamihotacyate' iti /	AtmIya sADana uktyA vA tatra AtmIyam iha utacyate a iti /
   na cātra parasādhanadūṣaṇaṃ na kariṣyate 'tatra hetorasiddhatvam' iti	na ca atra para sADana dUzaNam na karizyate atatra hetoH asidDa tvam a iti
   citrāparihāre vakṣyate /	citrA parihAre vakzyate /
   anena tu krameṇa tat kartavyamiti tāvadityuktamiti /	anena tu krameNa tat kartavyam iti tAvat iti uktam iti /
   tacca svapakṣasādhanaṃ tārkikāṇāṃ cittamanurañja yituṃ	tat ca sva pakza sADanam tArkikANAm cittam anuraQja yitum
   prayogadvāreṇāha   amṛṣeti /	prayoga dvAreNa aha   amRzA iti /
   vaidikavaco dharmī, svārthe satyamiti sādhyo (?) dharma', svārthe	vEdika vacaH DarmI, sva arTe satyam iti sADyaH (?) Darma a, sva arTe
   vaktranapekṣatvāt, yat svārthe vaktāraṃ nāpekṣate tat satyam, yathā padāt	vaktra napekza tvAt, yat sva arTe vaktAram na apekzate tat satyam, yaTA padAt 
   padārthagatā buddhi' /	padArTa gatAH budDi a /
   padaṃ hi svabhāvādeva svārthena sambaddhaṃ tatpratipādanāya vaktāraṃ	padam hi svaBAvAt eva sva arTena sambadDam tad pratipAdanAya vaktAram
   nāpekṣata iti sambandhaparihāre vakṣyate /	na apekzate iti sambanDa parihAre vakzyate /
   svārtha iti tantremobhayaviśeṣaṇatayā yojanīyam /	sva arTaH iti tantra ima uBaya viSezaNa tayA yojanIyam /
   yadi hyamṛṣa vaidikaṃ vacanamityetāvaducyate	yadi hi amRza vEdikam vacanam iti etAvat ucyate
   pūrvapakṣārthasamyaktvāpātādanikaṣṭārthatāprasādhanaprasaṅga' /	pUrva pakza arTa samyaktva ApAtAt anikazwa arTa tA prasADana prasaFga a /
   na hi svargakāmo yāgaṃ kuryādityādyarthe svargakāmo yajeteti vākyaṃ	na hi svarga kAmaH yAgam kuryAt iti Adi arTe svarga kAmaH yajeta iti vAkyam
   samyagiṣyate, ṣaṣṭhādyasiddhāntavirodhāt /	samyak izyate, zazWa Adi a sidDAnta viroDAt /
   yāgena svargaṃ kuryāditi hi tatra sthāsyati /	yAgena svargam kuryAt iti hi tatra sTAsyati /
   vaktranapekṣatvāditi cāviśiṣṭo heturupātto 'siddha eva syāt /	vaktra napekza tvAt iti ca aviSizwaH hetuH upAttaH asidDaH eva syAt /
   asti hi vaidikavākyānāmapi svarūpāmi	asti hi vEdika vAkyAnAm api svarUpAmi
   tatkṛta' pratyaya' samyaṅnityavākyodbhavatvata' /	tad kRta a pratyaya a samyak nitya vAkya udBava tvata a /
   vākyabuddhivedavātra pūrvoktāśvāpi hetava' ||2||	vAkya budDi veda vA atra pUrva ukta ASvA api hetava a ||2||
   nityān śabdārthasambandhānāśrityoktena hetunā /	nityAn Sabda arTa sambanDAn ASritya uktena hetunA /
   asambandhodbhavatvena paro mithyātvamabravīt /	asambanDa udBava tvena paraH miTyA tvam abravIt /
   sambandho 'stī ca nityaścetyuktamamautpattikādinā ||4	sambanDaH astI ca nityaH ca iti uktamama Otpattika AdinA ||4
