   Rmañj, 1	RmaQj, 1
   <vīryarodhinīguṭikā>	<vIrya-roDinI-guwikA>
   nāgavallīdaladrāvaiḥ saptāhaṃ śuddhasūtakam /	nAgavallI-dala-drAvEH sapta-aham SudDa-sUtakam /
   mardayet kṣālayed amlaiścaturniṣkapramāṇakam // Rmañj_7.21 //	mardayet kzAlayet amlEH-catur-nizka-pramANakam // RmaQt-_7.21 //
   viṣakandagataṃ kṛtvā viṣeṇaiva nirodhayet /	viza-kanda-gatam kRtvA vizeNa-eva niroDayet /
   tataḥ śūkaramāṃsasya garbhe kṛtvātha siñcayet // Rmañj_7.22 //	tatas SUkara-mAMsasya garBe kRtvA-aTa siQcayet // RmaQt-_7.22 //
   saṃdhyākāle baliṃ dattvā kukkuṭīvāruṇīyutam /	saMDyA-kAle balim dattvA kukkuwI-vAruNI-yutam /
   tataścullyāṃ lohapātre taile dhattūrasaṃyute // Rmañj_7.23 //	tatas-cullyAm loha-pAtre tEle DattUra-saMyute // RmaQt-_7.23 //
   kṣiptvā triṃśatpale pācyaṃ tadrasaṃ māṃsapiṇḍakam /	kziptvA triMSat-pale pAcyam tad-rasam mAMsa-piNxakam /
   saṃdhyām ārabhya mandāgnau yāvatsūryodayaṃ pacet // Rmañj_7.24 //	saMDyAm AraBya manda-agnO yAvat-sUrya-udayam pacet // RmaQt-_7.24 //
   haṭhājjāgaraṇaṃ kuryādanyathā tannasiddhibhāk /	haWAt-jAgaraNam kuryAt-anyaTA tat-na-sidDi-BAj /
   prātaruddhṛtya guṭikāṃ kṣīrabhāṇḍe vinikṣipet // Rmañj_7.25 //	prAtar-udDRtya guwikAm kzIra-BANxe vinikzipet // RmaQt-_7.25 //
   tatkṣīraṃ śuṣyati kṣiprametatpratyayakārakam /	tad-kzIram Suzyati kzipram-etat-pratyaya-kArakam /
   ratikāle mukhe dhāryā guṭikā vīryarodhinī // Rmañj_7.26 //	rati-kAle muKe DAryA guwikA vIrya-roDinI // RmaQt-_7.26 //
   kṣīraṃ pītvā ramedrāmāṃ kāmākulakulānvitām /	kzIram pItvA ramet-rAmAm kAma-Akula-kula-anvitAm /
   svamukhāddhārayeddhaste tadā vīryaṃ vimuñcati // Rmañj_7.27 //	sva-muKAt-DArayet-haste tadA vIryam vimuQcati // RmaQt-_7.27 //
   Rmañj, 8	RmaQj, 8
   atha sampakvadoṣasya proktamañjanamācaret /	aTa sampakva-dozasya proktam-aQjanam-Acaret /
   hemante śiśire caiva madhyāhne'ñjanamiṣyate // Rmañj_8.1 //	hemante SiSire ca-eva maDyAhne-aQjanam-izyate // RmaQt-_8.1 //
   pūrvāhne cāparāhṇe ca grīṣme śaradi ceṣyate /	pUrvAhne ca-aparAhNe ca grIzme Saradi ca-izyate /
   varṣāsu kuryādatyuṣṇe vā vasante sadaiva hi // Rmañj_8.2 //	varzAsu kuryAt-ati-uzNe vA vasante sadA-eva hi // RmaQt-_8.2 //
   śrānte prarudite bhīte pītamadye navajvare /	SrAnte prarudite BIte pIta-madye navajvare /
   ajīrṇe vegaghāte ca añjanaṃ na praśasyate // Rmañj_8.3 //	ajIrNe vega-GAte ca aQjanam na praSasyate // RmaQt-_8.3 //
   hareṇumātrāṃ kurvīta vartiṃ tīkṣṇāñjane bhiṣak /	hareNu-mAtrAm kurvIta vartim tIkzNa-aQjane Bizaj /
   pramāṇaṃ madhyamaṃ sārdhaṃ dviguṇaṃ ca mṛdau bhavet // Rmañj_8.4 //	pramANam maDyamam sArDam dviguNam ca mRdO Bavet // RmaQt-_8.4 //
   sūtakaṃ gandhakaḥ petaṃ cāṅgerīrasasaṃmūrchitam /	sUtakam ganDakaH petam cAFgerI-rasa-saMmUrCitam /
   añjanaṃ dṛṣṭidaṃ nṛṇāṃ netrāmayavināśanam // Rmañj_8.5 //	aQjanam dRzwi-dam nRNAm netra-Amaya-vinASanam // RmaQt-_8.5 //
   rasendrabhujagau tulyau tābhyāṃ dviguṇamañjanam /	rasendra-BujagO tulyO tAByAm dviguNam-aQjanam /
   sūtaturyāṃśaṃ karpūramañjanaṃ nayanāmṛtam // Rmañj_8.6 //	sUta-turya-aMSam karpUram-aQjanam nayana-amRtam // RmaQt-_8.6 //
   kṛṣṇasarpavasā śaṃkhaḥ katakaṃ kaṭphalamañjanam /	kRzNasarpa-vasA SaMKaH katakam kawPalam-aQjanam /
   rasa eva marīcena andhānāṃ darśanaṃ param // Rmañj_8.7 //	rasaH eva marIcena anDAnAm darSanam param // RmaQt-_8.7 //
   śaṃkhasya bhāgāścatvāras tadardhena manaḥśilā /	SaMKasya BAgAH-catvAraH tad-arDena manaHSilA /
   manaḥśilārdhaṃ maricaṃ maricārddhena pippalī // Rmañj_8.8 //	manaHSilA-arDam maricam marica-ardDena pippalI // RmaQt-_8.8 //
   vāriṇā timiraṃ hanti arbudaṃ hanti mastunā /	vAriNA timiram hanti arbudam hanti mastunA /
   cipiṭaṃ madhunā hanti strīkṣīreṇa ca puṣpakam // Rmañj_8.9 //	cipiwam maDunA hanti strI-kzIreNa ca puzpakam // RmaQt-_8.9 //
   apāmārgaśikhāṃ ghṛṣṭvā madhunā saindhavena ca /	apAmArga-SiKAm GRzwvA maDunA sEnDavena ca /
   tāmrapātre kṛtā netre hanti pīḍāṃ suvistarāt // Rmañj_8.10 //	tAmra-pAtre kRtA netre hanti pIxAm su-vistarAt // RmaQt-_8.10 //
   dantairdantivarāhoṣṭragohayājakharodbhavaiḥ /	dantEH-danti-varAha-uzwra-goha-ya-aja-Kara-udBavEH /
   śaṅkhamuktāmbhodhiphenayutaiḥ sarvair vicūrṇayet /	SaFKa-muktA-amBoDi-Pena-yutEH sarvEH vicUrNayet /
   hanti vartiḥ kṛtā ślakṣṇaṃ śukrāṇāṃ nāśinī param // Rmañj_8.11 //	hanti vartiH kRtA SlakzNam SukrANAm nASinI param // RmaQt-_8.11 //
   tutthamākṣikasindhūtthaśivāśaṃkhamanaḥśilā /	tutTa-mAkzika-sinDUtTa-Siva-aSaMKa-manaHSilA /
   gairikodakaphenaṃ ca maricaṃ ceti cūrṇayet // Rmañj_8.12 //	gErika-udaka-Penam ca maricam ca-iti cUrNayet // RmaQt-_8.12 //
   saṃyojya madhunā kuryādandhānāṃ sā rasakriyā /	saMyojya maDunA kuryAt-anDAnAm sA rasakriyA /
   vartmarogaṃ ca timiraṃ kācaśukraharaṃ param // Rmañj_8.13 //	vartma-rogam ca timiram kAca-Sukra-haram param // RmaQt-_8.13 //
   śaṅkhanābhivibhītasya majjā pathyā manaḥśilā /	SaFKanABi-viBItasya majjA paTyA manaHSilA /
   pippalī maricaṃ kuṣṭhaṃ vacā ceti samāṃśakam // Rmañj_8.14 //	pippalI maricam kuzWam vacA ca-iti sama-aMSakam // RmaQt-_8.14 //
   chāgīkṣīreṇa saṃpiṣṭvā vartiṃ kṛtvā yathonmitām /	CAgI-kzIreNa saMpizwvA vartim kRtvA yaTA-unmitAm /
   hareṇumātrāṃ saṃghṛṣya jalaiḥ kuryādathāñjanam // Rmañj_8.15 //	hareNu-mAtrAm saMGRzya jalEH kuryAt-aTa-aQjanam // RmaQt-_8.15 //
   timiraṃ māṃsavṛddhiṃ ca kācaṃ paṭalam arbudam /	timiram mAMsa-vRdDim ca kAcam pawalam arbudam /
   rājyandhaṃ vārṣikaṃ puṣpaṃ varticandrodayā jayet // Rmañj_8.16 //	rAji-anDam vArzikam puzpam varti-candra-udayA jayet // RmaQt-_8.16 //
   śuddhe nāge drute tulyaṃ śuddhasūtaṃ vinikṣipet /	SudDe nAge drute tulyam SudDa-sUtam vinikzipet /
   kṛṣṇāñjanaṃ tayostulyaṃ sarvamekatra cūrṇayet // Rmañj_8.17 //	kRzNAQjanam tayoH-tulyam sarvam-ekatra cUrNayet // RmaQt-_8.17 //
   daśamāṃśena karpūramasmiṃścūrṇe pradāpayet /	daSama-aMSena karpUram-asmin=-cUrNe pradApayet /
   etat pratyañjanaṃ netragadajinnayanāmṛtam // Rmañj_8.18 //	etat pratyaQjanam netra-gada-jit-nayana-amRtam // RmaQt-_8.18 //
   bhuktvā pāṇitalaṃ ghṛṣṭvā cakṣuṣor yadi dīyate /	BuktvA pANitalam GRzwvA cakzuzoH yadi dIyate /
   jātā rogāḥ praṇaśyanti na bhavanti kadācana // Rmañj_8.19 //	jAtAH rogAH praNaSyanti na Bavanti kadAcana // RmaQt-_8.19 //
   triphalāyāḥ kaṣāyeṇa prātarnayanadhāvanāt /	triPalAyAH kazAyeNa prAtar-nayana-DAvanAt /
   acireṇaiva tadvāri timirāṇi vyapohati // Rmañj_8.20 //	acireNa-eva tat-vAri timirANi vyapohati // RmaQt-_8.20 //
   triphalā lauhacūrṇaṃ tu vāriṇā peṣayet samam /	triPalA lOha-cUrNam tu vAriNA pezayet samam /
   dvayostulyena tailena pacenmṛdvagninā kṣaṇam // Rmañj_8.21 //	dvayoH-tulyena tElena pacet-mRdu-agninA kzaNam // RmaQt-_8.21 //
   tailatulye bhṛṅgarase tattailaṃ tu vipācayet /	tEla-tulye BRFga-rase tat-tElam tu vipAcayet /
   snigdhabhāṇḍagataṃ bhūmau sthitvā māsātsamuddharet // Rmañj_8.22 //	snigDa-BANxa-gatam BUmO sTitvA mAsAt-samudDaret // RmaQt-_8.22 //
   saptāhaṃ lepayedveṣṭya kadalyāśca dalaiḥ śiraḥ /	sapta-aham lepayet-vezwya kadalyAH-ca dalEH SiraH /
   nirvāte kṣīrabhojī syāt chālayet triphalājalaiḥ // Rmañj_8.23 //	nirvAte kzIra-BojI syAt CAlayet triPalA-jalEH // RmaQt-_8.23 //
   nityameva prakartavyaṃ saptāhaṃ rañjanaṃ bhavet /	nityam-eva prakartavyam sapta-aham raQjanam Bavet /
   yāvajjīvaṃ na sandehaḥ kacāḥ syurbhramaropamāḥ // Rmañj_8.24 //	yAvajjIvam na sandehaH kacAH syuH-Bramara-upamAH // RmaQt-_8.24 //
   kākamācī yavā jātī samaṃ kṛṣṇatilaṃ tataḥ /	kAkamAcI yavAH jAtI samam kRzNa-tilam tatas /
   tattailaṃ grāhayedyantre tena syāt keśarañjanam // Rmañj_8.25 //	tat-tElam grAhayet-yantre tena syAt keSa-raQjanam // RmaQt-_8.25 //
   lohamalāmalakalkaḥ sajapā kusumairnaraḥ sadā snāyī /	loha-mala-amala-kalkaH sa-japA kusumEH-naraH sadA snAyI /
   palitānīha nihanyād gaṅgāsnāyīva narakaugham // Rmañj_8.26 //	palitAni-iha nihanyAt gaFgA-snAyI-iva naraka-oGam // RmaQt-_8.26 //
   kāśmaryā mūlamādau sahacarakusumaṃ ketakīnāṃ ca mūlaṃ lauhaṃ cūrṇaṃ	kASmaryAH mUlam-AdO sahacara-kusumam ketakInAm ca mUlam lOham cUrNam
   sabhṛṅgaṃ triphalajalayutaṃ tailamebhir vipakvam /	sa-BRFgam triPala-jala-yutam tElam-eBiH vipakvam /
   kṛtvā vai lohabhāṇḍe kṣititalanihitaṃ māsam ekaṃ nidhāya keśāḥ kāśaprakāśā	kRtvA vE loha-BANxe kziti-tala-nihitam mAsam ekam niDAya keSAH kASa-prakASA
   bhramarakulanibhā lepanād eva kṛṣṇāḥ // Rmañj_8.27 //	Bramara-kula-niBAH lepanAt eva kRzNAH // RmaQt-_8.27 //
   vajrīkṣīreṇa saptāhaṃ suśvetān bhāvayettilān /	vajrI-kzIreNa sapta-aham su-SvetAn BAvayet-tilAn /
   tailena liptāḥ keśāḥ syuḥ śuklā vai nātra saṃśayaḥ // Rmañj_8.28 //	tElena liptAH keSAH syuH SuklAH vE na-atra saMSayaH // RmaQt-_8.28 //
   Rmañj, 9	RmaQj, 9
   karpūraṃ ṭaṅkaṇaṃ sūtaṃ tulyaṃ munirasaṃ madhu /	karpUram waFkaNam sUtam tulyam muni-rasam maDu /
   mardayitvā lipelliṅgaṃ sthitvā yāmaṃ tathaiva ca // Rmañj_9.1 //	mardayitvA lipet-liFgam sTitvA yAmam taTA-eva ca // RmaQt-_9.1 //
   tataḥ prakṣālayelliṅgaṃ ramedrāmāṃ yathocitām /	tatas prakzAlayet-liFgam ramet-rAmAm yaTocitAm /
   vīryastambhakaraṃ puṃsāṃ samyaṅ nāgārjunoditam // Rmañj_9.2 //	vIrya-stamBa-karam puMsAm samyak nAgArjuna-uditam // RmaQt-_9.2 //
   kṛkalāsasya pucchāgraṃ mudrikā protatantubhiḥ /	kRkalAsasya pucCa-agram mudrikA prota-tantuBiH /
   veṣṭyā kaniṣṭhikā dhāryā naro vīryaṃ na muñcati // Rmañj_9.3 //	vezwyA kanizWikA DAryA naraH vIryam na muQcati // RmaQt-_9.3 //
   madhunā padmabījāni piṣṭvā nābhiṃ pralepayet /	maDunA padma-bIjAni pizwvA nABim pralepayet /
   yāvattiṣṭhatyasau lepastāvadvīryaṃ na muñcati // Rmañj_9.4 //	yAvat-tizWati-asO lepaH-tAvat-vIryam na muQcati // RmaQt-_9.4 //
   caṭakāṇḍaṃ tu saṃgrāhya navanītena peṣayet /	cawakA-aNxam tu saMgrAhya navanItena pezayet /
   tena pralepayet pādau śukrastambhaḥ prajāyate /	tena pralepayet pAdO Sukra-stamBaH prajAyate /
   yāvanna spṛśate bhūmiṃ tāvadvīryaṃ na muñcati // Rmañj_9.5 //	yAvat-na spRSate BUmim tAvat-vIryam na muQcati // RmaQt-_9.5 //
   vanakroḍasya daṃṣṭrāgraṃ dakṣiṇaṃ ca samāharet /	vana-kroxasya daMzwra-agram dakziNam ca samAharet /
   kaṭyāmupari yad baddhvā śukrastambhaḥ prajāyate // Rmañj_9.6 //	kawyAm-upari yat badDvA Sukra-stamBaH prajAyate // RmaQt-_9.6 //
   ḍuṇḍubho nāmataḥ sarpaḥ kṛṣṇavarṇastamāharet // Rmañj_9.7 //	xuNxuBaH nAmataH sarpaH kRzNa-varNaH-tam-Aharet // RmaQt-_9.7 //
   tasyāsthi dhārayet kaṭyāṃ naro vīryaṃ na muñcati /	tasya-asTi DArayet kawyAm naraH vIryam na muQcati /
   vimuñcati vimuktena siddhayoga udāhṛtaḥ // Rmañj_9.8 //	vimuQcati vimuktena sidDa-yogaH udAhRtaH // RmaQt-_9.8 //
   raktāpāmārgamūlaṃ tu somavārābhimantritam /	rakta-apAmArga-mUlam tu somavAra-aBimantritam /
   bhaume prātaḥ samuddhṛtya kaṭyāṃ baddhvā na vīryamuk // Rmañj_9.9 //	BOme prAtar samudDRtya kawyAm badDvA na vIrya-muc // RmaQt-_9.9 //
   khasapalaṃ śuṇṭhīkvāthaḥ ṣoḍaśāṃśena guḍena niśi pītaḥ /	Ka-sapalam SuNWI-kvATaH zoxaSa-aMSena guxena niSi pItaH /
   kurute ratau na puṃso retaḥ patanaṃ vināmlena // Rmañj_9.10 //	kurute ratO na puMsaH retaH patanam vinA-amlena // RmaQt-_9.10 //
   sūraṇaṃ tulasīmūlaṃ tāmbūlena tu bhakṣayet /	sUraNam tulasI-mUlam tAmbUlena tu Bakzayet /
   na muñcati naro vīryamekaikena na saṃśayaḥ // Rmañj_9.11 //	na muQcati naraH vIryam-ekEkena na saMSayaH // RmaQt-_9.11 //
   varāhavasayā liṅgaṃ madhunā saha lepayet /	varAha-vasayA liFgam maDunA saha lepayet /
   sthūlaṃ dṛḍhaṃ ca dīrghaṃ ca puṃso liṅgaṃ prajāyate // Rmañj_9.12 //	sTUlam dRXam ca dIrGam ca puMsaH liFgam prajAyate // RmaQt-_9.12 //
   kṣaudreṇa ca samaṃ pṛṣṭaṃ puṇḍarīkasya keśaram /	kzOdreNa ca samam pRzwam puNxarIkasya keSaram /
   dhvastaṃ kuryāttato meḍhraṃ ratyanyatrāpyasaṃśayaḥ // Rmañj_9.13 //	Dvastam kuryAt-tatas meXram rati-anyatra-api-asaMSayaH // RmaQt-_9.13 //
   anurādhāsunakṣatre lāṅgalīmūlikā dhruvam /	anurADA-su-nakzatre lAFgalI-mUlikA Druvam /
   nikhātā maithunasthāne puṃsattvakhaṇḍakāriṇī // Rmañj_9.14 //	niKAtA mETuna-sTAne puMsattva-KaNxa-kAriNI // RmaQt-_9.14 //
   niśā ṣaṭtinducūrṇena bhāvitenājavāriṇā /	niSA zaz-tindu-cUrNena BAvitena-aja-vAriNA /
   pānāśanaṃ prayuktena ṣaṇḍhatvaṃ jāyate nṛṇām // Rmañj_9.15 //	pAna-aSanam prayuktena zaNXa-tvam jAyate nRNAm // RmaQt-_9.15 //
   tilagokṣurayoścūrṇaṃ chāgīdugdhena pācitam /	tila-gokzurayoH-cUrNam CAgI-dugDena pAcitam /
   śītalaṃ madhunā yuktaṃ bhuktaṃ ṣaṇḍhatvanāśanam // Rmañj_9.16 //	SItalam maDunA yuktam Buktam zaNXa-tva-nASanam // RmaQt-_9.16 //
   ūrṇanābhistu yo jīvo madhunā saha lepayet /	UrNanABiH-tu yaH jIvaH maDunA saha lepayet /
   tena lepayato nābhiṃ baddhaṣaṇḍhyaṃ vimucyate // Rmañj_9.17 //	tena lepayataH nABim badDa-zaNXyam vimucyate // RmaQt-_9.17 //
   eka eva mahādrāvī mālatīsambhavo rasaḥ /	ekaH eva mahA-drAvI mAlatI-samBavaH rasaH /
   kiṃ punaryadi yujyate madhukarpūrapāradaiḥ // Rmañj_9.18 //	kim punar-yadi yujyate maDu-karpUra-pAradEH // RmaQt-_9.18 //
   ārdrakaṃ gandhakaṃ caiva rājikaṃ cātha ṭaṅkaṇam /	Ardrakam ganDakam ca-eva rAjikam ca-aTa waFkaNam /
   sampiṣṭā samamātrāṇi kṣepayennimbuje jale // Rmañj_9.19 //	sampizwA sama-mAtrANi kzepayet-nimbu-je jale // RmaQt-_9.19 //
   sthāpayedghaṭikāṃ tisro haste vā dhārayettataḥ /	sTApayet-GawikAm tisraH haste vA DArayet-tatas /
   yāvantyo lalanāḥ pañca ājighranti dravanti vai // Rmañj_9.20 //	yAvantyaH lalanAH paQca AjiGranti dravanti vE // RmaQt-_9.20 //
   cūrṇite madhusaṃyukte mahāriṣṭaphalachadaiḥ /	cUrNite maDu-saMyukte mahA-arizwa-Pala-CadEH /
   liṅgalepena surate dravo bhavati yoṣitām // Rmañj_9.21 //	liFga-lepena surate dravaH Bavati yozitAm // RmaQt-_9.21 //
   madhusaindhavasaṃyuktaṃ pārāvatamalānvitam /	maDu-sEnDava-saMyuktam pArAvata-mala-anvitam /
   etalliptendriyo rāmāṃ dāsīvat kurute ratau // Rmañj_9.22 //	etad-lipta-indriyaH rAmAm dAsI-vat kurute ratO // RmaQt-_9.22 //
   kapīndriyaṃ śaśī sūtaṃ kuṅkumaṃ kanakaṃ madhu /	kapi-indriyam SaSI sUtam kuFkumam kanakam maDu /
   etalliptendriyo rāmāṃ dāsīvat kurute ratau // Rmañj_9.23 //	etad-lipta-indriyaH rAmAm dAsI-vat kurute ratO // RmaQt-_9.23 //
   vṛttamadhyasthitaṃ nāma tadbāhye hrīṃ catuṣṭayam /	vRtta-maDya-sTitam nAma tad-bAhye hrIm catuzwayam /
   tadbahiḥ klīṃ catuṣkaṃ ca likhitvā śilayākhilam // Rmañj_9.24 //	tad-bahis klIm catuzkam ca liKitvA SilayA-aKilam // RmaQt-_9.24 //
   śubhanakṣatrasaṃyoge sthāpitaṃ madhuni dhruvam /	SuBa-nakzatra-saMyoge sTApitam maDuni Druvam /
   striyam ākarṣati kṣipraṃ yantrametanna saṃśayaḥ // Rmañj_9.25 //	striyam Akarzati kzipram yantram-etat-na saMSayaH // RmaQt-_9.25 //
   candanaṃ tagaraṃ kuṣṭhaṃ priyaṅguṃ nāgakeśaram /	candanam tagaram kuzWam priyaFgum nAgakeSaram /
   kṛṣṇāṃ tintiḍikaṃ caiva samabhāgāni kārayet // Rmañj_9.26 //	kRzNAm tintixikam ca-eva sama-BAgAni kArayet // RmaQt-_9.26 //
   dāpayeccaiva saptāhamātmapañcamalena tu /	dApayet-ca-eva sapta-aham-Atma-paQca-malena tu /
   khāne pāne pradātavyaṃ striyaṃ vā puruṣaṃ tathā // Rmañj_9.27 //	KAne pAne pradAtavyam striyam vA puruzam taTA // RmaQt-_9.27 //
   śaṃkhapuṣpī madhupuṣpī tathā kuñcikipatrikā /	SaMKapuzpI maDupuzpI taTA kuQcikipatrikA /
   śvetagirisamāyuktā samabhāgāni kārayet // Rmañj_9.28 //	Sveta-giri-samAyuktA sama-BAgAni kArayet // RmaQt-_9.28 //
   saptāhaṃ dāpayedyuktā hyātmapañcamalena ca /	sapta-aham dApayet-yuktA hi-Atma-paQca-malena ca /
   khāne pāne pradātavyaṃ vaśīkaraṇamuttamam // Rmañj_9.29 //	KAne pAne pradAtavyam vaSIkaraNam-uttamam // RmaQt-_9.29 //
   pūrvoktamantreṇa saptabhiḥkṛtvā mantritadāpayet /	pUrva-ukta-mantreNa saptaBiH-kRtvA mantrita-dApayet /
   gardabhasya rajo gṛhya lulitaṃ gātrasambhavam /	gardaBasya rajaH gRhya lulitam gAtra-samBavam /
   mṛtakasya tathā bhasma nārīrajaḥsamanvitam // Rmañj_9.30 //	mRtakasya taTA Basma nArI-rajaH-samanvitam // RmaQt-_9.30 //
   ekīkṛtya kṣipedrātrau śayyāyāmāsane'pi vā /	ekIkRtya kzipet-rAtrO SayyAyAm-Asane-api vA /
   nūnaṃ saṃjāyate dveṣaḥ kathito mālatīmate // Rmañj_9.31 //	nUnam saMjAyate dvezaH kaTitaH mAlatImate // RmaQt-_9.31 //
   anyad yogavaraṃ vakṣye vidveṣakaraṇaṃ param /	anyat yoga-varam vakzye vidveza-karaNam param /
   yudhyamānāvubhau śvānau parasparavirodhinau // Rmañj_9.32 //	yuDyamAnO=-uBO SvAnO paraspara-viroDinO // RmaQt-_9.32 //
   tayor dhūliṃ samādāya hanyate yoṣitāṃ ratiḥ /	tayoH DUlim samAdAya hanyate yozitAm ratiH /
   satyaṃ bhavati vidveṣaṃ nātra kāryā vicāraṇā // Rmañj_9.33 //	satyam Bavati vidvezam na-atra kAryA vicAraNA // RmaQt-_9.33 //
   prakṣālane bhage nityaṃ kṛte cāmalavalkalaiḥ /	prakzAlane Bage nityam kRte ca-amala-valkalEH /
   vṛddhāpi kāminī kāmaṃ bāleva kurute ratim // Rmañj_9.34 //	vRdDA-api kAminI kAmam bAlA-iva kurute ratim // RmaQt-_9.34 //
   sapadmabījaṃ sitayā bhakṣitaṃ padmavāriṇā /	sa-padma-bIjam sitayA Bakzitam padma-vAriNA /
   dṛḍhaṃ strīṇāṃ stanadvandvaṃ māsena kurute bhṛśam // Rmañj_9.35 //	dRXam strINAm stana-dvandvam mAsena kurute BRSam // RmaQt-_9.35 //
   muṇḍīcūrṇakaṣāyeṇa yutaṃ tailaṃ vipācitam /	muNxI-cUrNa-kazAyeNa yutam tElam vipAcitam /
   patitaṃ yauvanaṃ yasyāstasyāḥ stanonnatirbhavet // Rmañj_9.36 //	patitam yOvanam yasyAH-tasyAH stana-unnatiH-Bavet // RmaQt-_9.36 //
   haritālacūrṇakalikā lepāt tenaiva vāriṇā sadyaḥ /	haritAla-cUrNa-kalikA lepAt tena-eva vAriNA sadyas /
   nipatanti keśanicayāḥ kautukamidam adbhutaṃ kurute // Rmañj_9.37 //	nipatanti keSa-nicayAH kOtukam-idam adButam kurute // RmaQt-_9.37 //
   palāśaciñcātilamāṣaśaṃkhaṃ dahedapāmārgasapippalo'pi /	palASa-ciQcA-tila-mAza-SaMKam dahet-apAmArga-sa-pippalaH-api /
   manaḥśilātālakacūrṇalepāt karoti nirlomaśiraḥ kṣaṇāt // Rmañj_9.38 //	manaHSilA-tAlaka-cUrNa-lepAt karoti nirloma-SiraH kzaNAt // RmaQt-_9.38 //
   taṇḍulīyakamūlāni piṣṭvā taṇḍulavāriṇā /	taNxulIyaka-mUlAni pizwvA taNxula-vAriNA /
   ṛtvante tryahapītāni vandhyāṃ kurvanti yoṣitam // Rmañj_9.39 //	Rtu-ante tri-aha-pItAni vanDyAm kurvanti yozitam // RmaQt-_9.39 //
   kāñjikena japāpuṣpaṃ piṣṭvā pibati yāṅganā /	kAQjikena japA-puzpam pizwvA pibati yA-aFganAH /
   ṛtau tryahaṃ nipītāni vandhyāṃ kurvanti yoṣitam // Rmañj_9.40 //	RtO tri-aham nipItAni vanDyAm kurvanti yozitam // RmaQt-_9.40 //
   dhūpite yonirandhre tu nimbakāṣṭhena yuktitaḥ /	DUpite yoni-ranDre tu nimba-kAzWena yuktitaH /
   ṛtvante ramate sā strī garbhaduḥkhavivarjitā // Rmañj_9.41 //	Rtu-ante ramate sA strI garBa-duHKa-vivarjitAH // RmaQt-_9.41 //
   dhattūraṃ mallikāpuṣpaṃ gṛhītvā kaṭisaṃsthitam /	DattUram mallikApuzpam gRhItvA kawi-saMsTitam /
   garbhaṃ nivārayatyeva raṇḍāveśyādiyoṣitām // Rmañj_9.42 //	garBam nivArayati-eva raNxa-AveSya-Adi-yozitAm // RmaQt-_9.42 //
   nāgakeśarapuṣpāṇāṃ cūrṇaṃ gosarpiṣā saha /	nAgakeSara-puzpANAm cUrNam go-sarpizA saha /
   sevanāllabhate putramṛtau dugdhānnabhojinī // Rmañj_9.43 //	sevanAt-laBate putram-RtO dugDa-anna-BojinI // RmaQt-_9.43 //
   bījāni mātuluṅgasya dugdhasvinnā sasarpiṣā /	bIjAni mAtuluFgasya dugDa-svinnA sa-sarpizA /
   sagarbhāmiti kurvanti pānādvandhyāmapi striyam // Rmañj_9.44 //	sa-garBAm-iti kurvanti pAnAt-vanDyAm-api striyam // RmaQt-_9.44 //
   mātuluṅgasya bījāni kumāryā saha peṣayet /	mAtuluFgasya bIjAni kumAryA saha pezayet /
   kṣīreṇa saha dātavyaṃ garbhamāpnotyasaṃśayam // Rmañj_9.45 //	kzIreNa saha dAtavyam garBam-Apnoti-asaMSayam // RmaQt-_9.45 //
   pippalī śṛṅgaveraṃ ca maricaṃ keśaraṃ tathā /	pippalI SRFgaveram ca maricam keSaram taTA /
   ghṛtena saha pātavyaṃ vandhyāgarbhapradaṃ param // Rmañj_9.46 //	GRtena saha pAtavyam vanDyA-garBa-pradam param // RmaQt-_9.46 //
   puṣyoddhṛtaṃ lakṣmaṇāyā mūlaṃ piṣṭaṃ ca kanyakā /	puzya-udDRtam lakzmaNAyAH mUlam pizwam ca kanyakA /
   ṛtvante ghṛtadugdhābhyāṃ pītvā garbhamavāpnuyāt // Rmañj_9.47 //	Rtu-ante GRta-dugDAByAm pItvA garBam-avApnuyAt // RmaQt-_9.47 //
   anyad yogavaraṃ vakṣye yena sā saphalā bhavet /	anyat yoga-varam vakzye yena sA saPalA Bavet /
   uśīramadhuyaṣṭī ca lodhramindrayavānapi // Rmañj_9.48 //	uSIra-maDuyazwI ca loDram-indrayavAn-api // RmaQt-_9.48 //
   ghṛtaṃ sarjarasaṃ caiva mākṣikaṃ trāyamāṇakam /	GRtam sarjarasam ca-eva mAkzikam trAyamANakam /
   śobhāñjanakamūlāni samabhāgāni kārayet // Rmañj_9.49 //	SoBAQjanaka-mUlAni sama-BAgAni kArayet // RmaQt-_9.49 //
   peṣayitvā tato dravyamajākṣīreṇa pācayet /	pezayitvA tatas dravyam-ajA-kzIreNa pAcayet /
   saptarātraṃ pibennārī yāvattiṣṭhati śoṇitam // Rmañj_9.50 //	sapta-rAtram pibet-nArI yAvat-tizWati SoNitam // RmaQt-_9.50 //
   tato yonau viśuddhāyāṃ paścāddadyānmahauṣadham /	tatas yonO viSudDAyAm paScAt-dadyAt-mahOzaDam /
   kumārīkṣīrasaṃyuktaṃ nasye pāne pradāpayet // Rmañj_9.51 //	kumArI-kzIra-saMyuktam nasye pAne pradApayet // RmaQt-_9.51 //
   tena sā labhate putraṃ satyaṃ caiva surārcitam /	tena sA laBate putram satyam ca-eva sura-arcitam /
