   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   parasya yoṣitaṃ hṛtvā brahmasvamapahṛtya ca // RKV_155.103 //	parasya yozitam hRtvA brahma svam apahRtya ca // RKV_155.103 //
   araṇye nirjale deśe sa bhavetkrūrarākṣasaḥ /	araNye nirjale deSe sa Bavet krUra rAkzasaH /
   devasvaṃ brāhmaṇasvaṃ ca lobhenaivāharecca yaḥ // RKV_155.104 //	deva svam brAhmaNa svam ca loBena eva Aharet ca yaH // RKV_155.104 //
   sa pāpātmā pare loke gṛdhrocchiṣṭena jīvati /	sa pApa AtmA pare loke gRDra ucCizwena jIvati /
   evamādīni pāpāni bhuñjante yamaśāsanāt // RKV_155.105 //	evamAdIni pApAni BuQjante yama SAsanAt // RKV_155.105 //
   yeṣāṃ tu darśanādeva śravaṇājjāyate bhayam /	yezAm tu darSanAt eva SravaNAt jAyate Bayam /
   tathā dānaphalaṃ cānye bhuñjānā yamamandire // RKV_155.106 //	taTA dAna Palam ca anye BuQjAnAH yama mandire // RKV_155.106 //
   dṛṣṭāḥ śrutaṃ kathayatāṃ dūtānāṃ ca yamājñayā /	dRzwAH Srutam kaTayatAm dUtAnAm ca yama AjQayA /
   rathairanye gajairanye kecidvājibhir āvṛtāḥ // RKV_155.107 //	raTEH anye gajEH anye kecid vAjiBiH AvRtAH // RKV_155.107 //
   dṛṣṭāstatra mahābhāga tapaḥsaṃcayasaṃsthitāḥ /	dRzwAH tatra mahABAga tapaH saMcaya saMsTitAH /
   godātā svarṇadātā ca bhūmiratnapradā narāḥ // RKV_155.108 //	godAtA svarNa dAtA ca BUmi ratna pradAH narAH // RKV_155.108 //
   śayyāśanagṛhādīnāṃ sa lokaḥ kāmado nṛṇām /	SayyA aSana gRha AdInAm sa lokaH kAma daH nRNAm /
   annaṃ pānīyasahitaṃ dadate ye 'tra mānavāḥ // RKV_155.109 //	annam pAnIya sahitam dadate ye atra mAnavAH // RKV_155.109 //
   tatra tṛptāḥ susaṃtuṣṭāḥ krīḍante yamasādane /	tatra tRptAH su saMtuzwAH krIxante yama sAdane /
   atra yaddīyate dānamapi vālāgramātrakam // RKV_155.110 //	atra yat dIyate dAnam api vAla agra mAtrakam // RKV_155.110 //
   tadakṣayaphalaṃ sarvaṃ śuklatīrthe nṛpottama /	tat akzaya Palam sarvam SuklatIrTe nRpa uttamaH /
   etatte kathitaṃ sarvaṃ yaddṛṣṭaṃ yacca vai śrutam // RKV_155.111 //	etat te kaTitam sarvam yat dRzwam yat ca vE Srutam // RKV_155.111 //
   kuruṣva yadabhipretaṃ yadi śaknoṣi mucyatām /	kuruzva yat aBipretam yadi Saknozi mucyatAm /
   tayostadvacanaṃ śrutvā cāṇakyo hṛṣṭamānasaḥ // RKV_155.112 //	tayoH tat vacanam SrutvA cANakyaH hRzwa mAnasaH // RKV_155.112 //
   visarjayāmāsa khagāvabhinandya punaḥpunaḥ /	visarjayAmAsa KagO= aBinandya punar punar /
   tābhyāṃ gatābhyāṃ sarvasvaṃ dattvā vipreṣu bhārata // RKV_155.113 //	tAByAm gatAByAm sarva svam dattvA viprezu BArata // RKV_155.113 //
   kāmakrodhau parityajya jagāmāmaraparvatam /	kAma kroDO parityajya jagAma amara parvatam /
   tatra baddhvoḍupaṃ gāḍhaṃ kṛṣṇarajjvāvalambitam // RKV_155.114 //	tatra badDvA uxupam gAXam kRzNa rajjvA avalambitam // RKV_155.114 //
   plavamāno 'śu dhyāyandevaṃ janārdanam /	plavamAnaH aSu DyAyan devam janArdanam /
   ārogyaṃ bhāskarādiccheddhanaṃ vai jātavedasaḥ // RKV_155.115 //	Arogyam BAskarAt icCet Danam vE jAtavedasaH // RKV_155.115 //
   prāpnoti jñānamīśānānmokṣaṃ prāpnoti keśavāt /	prApnoti jQAnam ISAnAt mokzam prApnoti keSavAt /
   nīlaṃ raktaṃ tadabhavanmecakaṃ yaddhi sūtrakam // RKV_155.116 //	nIlam raktam tat aBavat mecakam yat hi sUtrakam // RKV_155.116 //
   śuddhasphaṭikasaṅkāśaṃ dṛṣṭvā rajjuṃ mahāmatiḥ /	SudDa sPawika saFkASam dRzwvA rajjum mahAmatiH /
   āplutya vimale toye gato 'sau vaiṣṇavaṃ padam // RKV_155.117 //	Aplutya vimale toye gataH asO vEzNavam padam // RKV_155.117 //
   gāyanti yadvedavidaḥ purāṇaṃ nārāyaṇaṃ śāśvatamacyutāhvayam /	gAyanti yad veda vidaH purANam nArAyaNam SASvatam acyuta Ahvayam /
   prāptaḥ sa taṃ rājasuto mahātmā nikṣipya dehaṃ śubhaśuklatīrthe //	prAptaH sa tam rAja sutaH mahAtmA nikzipya deham SuBa SuklatIrTe //
   RKV_155.118 //	RKV_155.118 //
   eṣā te kathitā rājansiddhiścāṇakyabhūbhṛtaḥ /	ezA te kaTitA rAjan sidDiH cANakya BUBRtaH /
   tathānyattava vakṣyāmi śṛṇuṣvaikāgramānasaḥ // RKV_155.119 //	taTA anyat tava vakzyAmi SRNuzva ekAgra mAnasaH // RKV_155.119 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe cāṇakyasiddhiprāptivarṇanaṃ nāma	Avantya KaNxe revAKaNxe cANakyasidDiprAptivarNanam nAma
   pañcapañcāśadadhikaśatatamo 'dhyāyaḥ ||	paQcapaQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 156	RKV aDyAya 156
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   nāsti lokeṣu tattīrthaṃ pṛthivyāṃ yannareśvara /	na asti lokezu tat tIrTam pRTivyAm yat nareSvara /
   śuklatīrthena sadṛśamupamānena gīyate // RKV_156.1 //	SuklatIrTena sadRSam upamAnena gIyate // RKV_156.1 //
   śuklatīrthaṃ mahātīrthaṃ narmadāyāṃ vyavasthitam /	SuklatIrTam mahA tIrTam narmadAyAm vyavasTitam /
   prāgudakpravaṇe deśe munisaṅghaniṣevitam // RKV_156.2 //	prAc udak pravaNe deSe muni saFGa nizevitam // RKV_156.2 //
   vaiśākhe ca tathā māsi kṛṣṇapakṣe caturdaśī /	vESAKe ca taTA mAsi kRzNa pakze caturdaSI /
   kailāsādumayā sārddhaṃ svayamāyāti śaṅkaraḥ // RKV_156.3 //	kElAsAt umayA sArdDam svayam AyAti SaFkaraH // RKV_156.3 //
   madhyāhnasamaye snātvā paśyatyātmānamātmanā /	maDyAhna samaye snAtvA paSyati AtmAnam AtmanA /
   brahmaviṣṇvindrasahitaḥ śuklatīrthe samāhitaḥ // RKV_156.4 //	brahma vizNu indra sahitaH SuklatIrTe samAhitaH // RKV_156.4 //
   kārttikyāṃ tu viśeṣeṇa vaiśākhyāṃ ca narottama /	kArttikyAm tu viSezeNa vESAKyAm ca nara uttamaH /
   brahmaviṣṇumahādevān snātvā paśyati taddine // RKV_156.5 //	brahma vizNu mahAdevAn snAtvA paSyati tad dine // RKV_156.5 //
   devarājaḥ suraiḥ sārddhaṃ vāyumārgavyavasthitaḥ /	devarAjaH surEH sArdDam vAyu mArga vyavasTitaH /
   kṛṣṇapakṣe caturdaśyāṃ snātvā paśyati śaṅkaram // RKV_156.6 //	kRzNa pakze caturdaSyAm snAtvA paSyati SaFkaram // RKV_156.6 //
   gandharvāpsaraso yakṣāḥ siddhavidyādharoragāḥ /	ganDarva apsarasaH yakzAH sidDa vidyADara uragAH /
   taddine te 'pi deveśaṃ dṛṣṭvā muñcanti kilbiṣam // RKV_156.7 //	tad dine te api deveSam dRzwvA muQcanti kilbizam // RKV_156.7 //
   ardhayojanavistāraṃ tadarddhenaiva cāyatam /	arDa yojana vistAram tad ardDena eva ca Ayatam /
   śuklatīrthaṃ mahāpuṇyaṃ mahāpātakanāśanam // RKV_156.8 //	SuklatIrTam mahA puNyam mahApAtaka nASanam // RKV_156.8 //
   yatra sthitaiḥ pradṛśyante vṛkṣāgrāṇi narottamaiḥ /	yatra sTitEH pradRSyante vRkza agrANi nara uttamEH /
   tatra sthitā mahāpāpair mucyante pūrvasaṃcitaiḥ // RKV_156.9 //	tatra sTitAH mahA pApEH mucyante pUrva saMcitEH // RKV_156.9 //
   pāpopapātakairyukto naraḥ snātvā pramucyate /	pApa upapAtakEH yuktaH naraH snAtvA pramucyate /
   upārjitā vinaśyeta bhrūṇahatyāpi dustyajā // RKV_156.10 //	upArjitAH vinaSyeta BrUNa hatyA api dustyajA // RKV_156.10 //
   yasmāttatraiva deveśa umayā saha tiṣṭhati /	yasmAt tatra eva deveSaH umayA saha tizWati /
   vaiśākhyāṃ ca viśeṣeṇa kailāsādeti śaṅkaraḥ // RKV_156.11 //	vESAKyAm ca viSezeNa kElAsAt eti SaFkaraH // RKV_156.11 //
   tena tīrthaṃ mahāpuṇyaṃ sarvapātakanāśanam /	tena tIrTam mahA puNyam sarva pAtaka nASanam /
   kathitaṃ brahmaṇā pūrvaṃ mayā tava tathā nṛpa // RKV_156.12 //	kaTitam brahmaNA pUrvam mayA tava taTA nRpa // RKV_156.12 //
   rajakena yathā dhautaṃ vastraṃ bhavati nirmalam /	rajakena yaTA DOtam vastram Bavati nirmalam /
   tathā tatra vapuḥsnānaṃ puruṣasya bhavecchuci // RKV_156.13 //	taTA tatra vapuH snAnam puruzasya Bavet Suci // RKV_156.13 //
   pūrve vayasi pāpāni kṛtvā puṣṭāni mānavaḥ /	pUrve vayasi pApAni kRtvA puzwAni mAnavaH /
   ahorātroṣito bhūtvā śuklatīrthe vyapohati // RKV_156.14 //	ahorAtra uzitaH BUtvA SuklatIrTe vyapohati // RKV_156.14 //
   śuklatīrthe mahārāja rākāṃ revājalāñjalim /	SuklatIrTe mahA rAja rAkAm revA jala aQjalim /
   kalpakoṭisahasrāṇi dattvā syuḥ pitaraḥ śivāḥ // RKV_156.15 //	kalpa kowi sahasrANi dattvA syuH pitaraH SivAH // RKV_156.15 //
   na mātā na pitā bandhuḥ patanaṃ narakārṇave /	na mAtA na pitA banDuH patanam naraka arNave /
   uddharanti yathā puṇyaṃ śuklatīrthe nareśvara // RKV_156.16 //	udDaranti yaTA puNyam SuklatIrTe nareSvara // RKV_156.16 //
   tapasā brahmacaryeṇa na tāṃ gacchanti sadgatim /	tapasA brahmacaryeNa na tAm gacCanti sat gatim /
   śuklatīrthe mṛto janturdehatyāgena yāṃ labhet // RKV_156.17 //	SuklatIrTe mRtaH jantuH deha tyAgena yAm laBet // RKV_156.17 //
   kārttikasya tu māsasya kṛṣṇapakṣe caturdaśīm /	kArttikasya tu mAsasya kRzNa pakze caturdaSIm /
   ghṛtena snāpayed devamupoṣya prayato naraḥ // RKV_156.18 //	GRtena snApayet devam upozya prayataH naraH // RKV_156.18 //
   snātvā prabhāte revāyāṃ dadyātsaghṛtakambalam /	snAtvA praBAte revAyAm dadyAt sa GRta kambalam /
   sahiraṇyaṃ yathāśakti devamuddiśya śaṅkaraṃ // RKV_156.19 //	sa hiraNyam yaTASakti devam uddiSya SaFkaram // RKV_156.19 //
   devasya pūraṇaṃ kuryādghṛtena ghṛtakambalam /	devasya pUraNam kuryAt GRtena GRta kambalam /
   sa gacchati mahātejāḥ śivalokaṃ mṛto naraḥ // RKV_156.20 //	sa gacCati mahA tejAH Siva lokam mRtaH naraH // RKV_156.20 //
   ekaviṃśakulopeto yāvadābhūtasamplavam /	ekaviMSa kula upetaH yAvat ABUtasamplavam /
   śuklatīrthe naraḥ snātvā hyumāṃ rudraṃ ca yo 'rcayet // RKV_156.21 //	SuklatIrTe naraH snAtvA hi umAm rudram ca yaH arcayet // RKV_156.21 //
   gandhapuṣpādidhūpaiśca so 'śvamedhaphalaṃ labhet /	ganDa puzpa Adi DUpEH ca saH aSvameDa Palam laBet /
   māsopavāsaṃ yaḥ kuryāt tatra tīrthe nareśvara // RKV_156.22 //	mAsa upavAsam yaH kuryAt tatra tIrTe nareSvara // RKV_156.22 //
   mucyate sa mahatpāpaiḥ saptajanmasusaṃcitaiḥ /	mucyate sa mahat pApEH sapta janma su saMcitEH /
   uṣṭrīkṣīramavikṣīraṃ navaśrāddhe ca bhojanam // RKV_156.23 //	uzwrI kzIram avi kzIram navaSrAdDe ca Bojanam // RKV_156.23 //
   vṛṣalīgamanaṃ caiva tathābhakṣyasya bhakṣaṇam /	vRzalI gamanam ca eva taTA aBakzyasya BakzaNam /
   avikraye 'nṛte pāpaṃ māhiṣe 'yājyayājake // RKV_156.24 //	avikraye anRte pApam mAhize ayAjya yAjake // RKV_156.24 //
   vārddhuṣye paṅktigarade devabrāhmaṇadūṣake /	vArdDuzye paFkti garade deva brAhmaNa dUzake /
   evamādīni pāpāni tathānyānyapi bhārata // RKV_156.25 //	evamAdIni pApAni taTA anyAni api BArata // RKV_156.25 //
   cāndrāyaṇena naśyanti śuklatīrthe na saṃśayaḥ /	cAndrAyaNena naSyanti SuklatIrTe na saMSayaH /
   śuklatīrthe tu yaḥ snātvā tarpayet pitṛdevatāḥ // RKV_156.26 //	SuklatIrTe tu yaH snAtvA tarpayet pitR devatAH // RKV_156.26 //
   tasya te dvādaśābdāni tṛptiṃ yānti sutarpitāḥ /	tasya te dvAdaSa abdAni tRptim yAnti su tarpitAH /
   pādukopānahau chatraṃ śayyāmāsanam eva ca // RKV_156.27 //	pAdukA upAnahO Catram SayyAmAsanam eva ca // RKV_156.27 //
   suvarṇaṃ dhanadhānyaṃ ca śrāddhaṃ yuktahalaṃ tathā /	suvarNam Dana DAnyam ca SrAdDam yukta halam taTA /
   annaṃ pānīyasaṃhitaṃ tasmiṃstīrthe dadanti ye // RKV_156.28 //	annam pAnIya saMhitam tasmin= tIrTe dadanti ye // RKV_156.28 //
   hṛṣṭāḥ puṣṭā mṛtā yānti śivalokaṃ na saṃśayaḥ /	hRzwAH puzwAH mRtAH yAnti Siva lokam na saMSayaH /
   tatra tīrthe tu yo bhaktyā śivamuddiśya bhārata // RKV_156.29 //	tatra tIrTe tu yaH BaktyA Sivam uddiSya BArata // RKV_156.29 //
   bhikṣāmātraṃ tathānnaṃ ye te 'pi svaryānti vai narāḥ /	BikzA mAtram taTA annam ye te api svar yAnti vE narAH /
   yajvināṃ vratināṃ caiva tatra tīrthanivāsinām // RKV_156.30 //	yajvinAm vratinAm ca eva tatra tIrTa nivAsinAm // RKV_156.30 //
   api vālāgramātraṃ hi dattaṃ bhavati cākṣayam /	api vAla agra mAtram hi dattam Bavati ca akzayam /
   agnipraveśaṃ yaḥ kuryācchuklatīrthe samāhitaḥ // RKV_156.31 //	agnipraveSam yaH kuryAt SuklatIrTe samAhitaH // RKV_156.31 //
   rāgadveṣavinirmukto hṛdi dhyātvā janārdanam /	rAga dveza vinirmuktaH hRdi DyAtvA janArdanam /
   sarvakāmasusampūrṇaḥ sa gacched vāruṇaṃ puram // RKV_156.32 //	sarva kAma su sampUrNaH sa gacCet vAruNam puram // RKV_156.32 //
   na rogo na jarā tatra yatra devo 'ṃbhasāṃ patiḥ /	na rogaH na jarA tatra yatra devaH aMBasAm patiH /
   anāśakaṃ tu yaḥ kuryāt tasmiṃstīrthe yudhiṣṭhira // RKV_156.33 //	anASakam tu yaH kuryAt tasmin= tIrTe yuDizWiraH // RKV_156.33 //
   anivartikā gatis tasya rudralokād asaṃśayam /	anivartikA gatiH tasya rudra lokAt asaMSayam /
   avaśaḥ svavaśo vāpi jantustatkṣetramaṇḍale // RKV_156.34 //	avaSaH svavaSaH vA api jantuH tad kzetra maNxale // RKV_156.34 //
   mṛtaḥ sa tu na sandeho rudrasyānucaro bhavet /	mRtaH sa tu na sandehaH rudrasya anucaraH Bavet /
   śuklatīrthe tu yaḥ kanyāṃ śaktyā dadyād alaṃkṛtām // RKV_156.35 //	SuklatIrTe tu yaH kanyAm SaktyA dadyAt alaMkRtAm // RKV_156.35 //
   vidhinā yo nṛpaśreṣṭha kurute vṛṣamokṣaṇam /	viDinA yaH nRpa SrezWa kurute vRzamokzaNam /
   tasya yat phalam uddiṣṭaṃ purāṇe rudrabhāṣitam // RKV_156.36 //	tasya yat Palam uddizwam purANe rudra BAzitam // RKV_156.36 //
   tadahaṃ sampravakṣyāmi śṛṇuṣvaikamanā nṛpa /	tat aham sampravakzyAmi SRNuzva ekamanAH nRpa /
   yāvanto romakūpāḥ syuḥ sarvāṅgeṣu pṛthakpṛthak // RKV_156.37 //	yAvantaH romakUpAH syuH sarva aFgezu pRTak pRTak // RKV_156.37 //
   tāvad varṣasahasrāṇi rudraloke mahīyate /	tAvat varza sahasrANi rudra loke mahIyate /
   śuklatīrthe tu yad dattaṃ grahaṇe candrasūryayoḥ // RKV_156.38 //	SuklatIrTe tu yat dattam grahaNe candra sUryayoH // RKV_156.38 //
   vardhate tadguṇaṃ tāvaddināni daśa pañca ca /	varDate tad guNam tAvat dinAni daSa paQca ca /
   śuklatīrthe śucirbhūtvā yaḥ karoti pradakṣiṇam // RKV_156.39 //	SuklatIrTe SuciH BUtvA yaH karoti pradakziNam // RKV_156.39 //
   pṛthvī pradakṣiṇā tena kṛtā yattasya tatphalam /	pRTvI pradakziNA tena kRtA yat tasya tad Palam /
   śobhanaṃ mithunaṃ yastu rudram uddiśya pūjayet // RKV_156.40 //	SoBanam miTunam yaH tu rudram uddiSya pUjayet // RKV_156.40 //
   sapta janmāni tasyaiva viyogo na ca vai kvacit /	sapta janmAni tasya eva viyogaH na ca vE kvacid /
   etatte kathitaṃ rājan saṃkṣepeṇa phalaṃ mahat // RKV_156.41 //	etat te kaTitam rAjan saMkzepeNa Palam mahat // RKV_156.41 //
   śuklatīrthasya yatpuṇyaṃ yathā devācchrutaṃ mayā /	SuklatIrTasya yat puNyam yaTA devAt Srutam mayA /
   ya idaṃ śṛṇuyādbhaktyā purāṇe vihitaṃ phalam // RKV_156.42 //	yaH idam SRNuyAt BaktyA purANe vihitam Palam // RKV_156.42 //
   sa labhennātra sandehaḥ satyaṃ satyaṃ punaḥ punaḥ /	sa laBet na atra sandehaH satyam satyam punar punar /
   putrārthī labhate putraṃ dhanārthī labhate dhanam // RKV_156.43 //	putra arTI laBate putram Dana arTI laBate Danam // RKV_156.43 //
   mokṣārthī labhate mokṣaṃ snānadānaphalaṃ mahat // RKV_156.44 //	mokza arTI laBate mokzam snAna dAna Palam mahat // RKV_156.44 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe śuklatīrthamahātmyavarṇanaṃ nāma	Avantya KaNxe revAKaNxe SuklatIrTamahAtmyavarNanam nAma
   ṣaṭpañcāśadadhikaśatatamo 'dhyāyaḥ ||	zawpaQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 157	RKV aDyAya 157
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tasyaivānantaraṃ rājañchuklatīrthasamīpataḥ /	tasya eva anantaram rAjan SuklatIrTa samIpatas /
   vāsudevasya tīrthaṃ tu sarvalokeṣu pūjitam // RKV_157.1 //	vAsudevasya tIrTam tu sarva lokezu pUjitam // RKV_157.1 //
   taddhi puṇyaṃ suvikhyātaṃ narmadāyāṃ purātanam /	tat hi puNyam su viKyAtam narmadAyAm purAtanam /
   yatra huṅkāramātreṇa revā krośaṃ jagāma sā // RKV_157.2 //	yatra huFkAra mAtreNa revA kroSam jagAma sA // RKV_157.2 //
   yadā prabhṛti rājendra huṅkāreṇa gatā sarit /	yadA praBRti rAja indra huFkAreNa gatA sarit /
   tadāprabhṛti sa svāmī huṅkāraḥ śabdito budhaiḥ // RKV_157.3 //	tadA praBRti sa svAmI huFkAraH SabditaH buDEH // RKV_157.3 //
   huṅkāratīrthe yaḥ snātvā paśyatyavyayamacyutam /	huFkAratIrTe yaH snAtvA paSyati avyayam acyutam /
   sa mucyate naraḥ pāpaiḥ saptajanma kṛtairapi // RKV_157.4 //	sa mucyate naraH pApEH sapta janma kRtEH api // RKV_157.4 //
   saṃsārārṇavamagnānāṃ narāṇāṃ pāpakarmiṇām /	saMsAra arNava magnAnAm narANAm pApa karmiNAm /
   naivoddhartā jagannāthaṃ vinā nārāyaṇaṃ paraḥ // RKV_157.5 //	na eva udDartA jagannATam vinA nArAyaNam paraH // RKV_157.5 //
   sā jihvā yā hariṃ stauti taccittaṃ yattadarpitam /	sA jihvA yA harim stOti tat cittam yat tat arpitam /
   tāveva kevalau ślāghyau yau tatpūjākarau karau // RKV_157.6 //	tO= eva kevalO SlAGyO yO tad pUjA karO karO // RKV_157.6 //
   sarvadā sarvakāryeṣu nāsti teṣāmamaṅgalam /	sarvadA sarva kAryezu na asti tezAm amaFgalam /
   yeṣāṃ hṛdistho bhagavānmaṅgalāyatano hariḥ // RKV_157.7 //	yezAm hRdisTaH BagavAn maFgala AyatanaH hariH // RKV_157.7 //
   yad anyad devatārcāyāḥ phalaṃ prāpnoti mānavaḥ /	yat anyat devatA arcAyAH Palam prApnoti mAnavaH /
   sāṣṭāṅgapraṇipātena tatphalaṃ labhate hareḥ // RKV_157.8 //	sa azwAFga praNipAtena tad Palam laBate hareH // RKV_157.8 //
   reṇuguṇṭhitagātrasya yāvanto 'sya rajaḥkaṇāḥ /	reNu guNWita gAtrasya yAvantaH asya rajaH kaNAH /
   tāvadvarṣasahasrāṇi viṣṇuloke mahīyate // RKV_157.9 //	tAvat varza sahasrANi vizNu loke mahIyate // RKV_157.9 //
   sammārjanābhyukṣaṇalepanena tadālaye naśyati sarvapāpam /	sammArjana aByukzaNa lepanena tad Alaye naSyati sarva pApam /
   nārī narāṇāṃ parayā tu bhaktyā dṛṣṭvā tu revāṃ narasattamasya //	nArI narANAm parayA tu BaktyA dRzwvA tu revAm nara sattamasya //
   RKV_157.10 //	RKV_157.10 //
   yenārcito bhagavānvāsudevo janmārjitaṃ naśyati tasya pāpam /	yena arcitaH BagavAn vAsudevaH janma arjitam naSyati tasya pApam /
   sa yāti lokaṃ garuḍadhvajasya vidhūtapāpaḥ surasaṅghapūjyatām //	sa yAti lokam garuxaDvajasya viDUta pApaH sura saFGa pUjyatAm //
   RKV_157.11 //	RKV_157.11 //
   śāṭhyenāpi namaskāraṃ prayuñjaṃś cakrapāṇinaḥ /	SAWyena api namaskAram prayuQjan cakrapANinaH /
   saptajanmārjitaṃ pāpaṃ gacchatyāśu na saṃśayaḥ // RKV_157.12 //	sapta janma arjitam pApam gacCati ASu na saMSayaH // RKV_157.12 //
   pūjāyāṃ prīyate rudro japahomair divākaraḥ /	pUjAyAm prIyate rudraH japa homEH divAkaraH /
   śaṅkhacakragadāpāṇiḥ praṇipātena tuṣyati // RKV_157.13 //	SaFKa cakra gadA pANiH praNipAtena tuzyati // RKV_157.13 //
   bhavajaladhigatānāṃ dvandvavātāhatānāṃ sutaduhitṛkalatratrāṇabhārārditānām	Bava jalaDi gatAnAm dvandva vAta AhatAnAm suta duhitR kalatra trANa BAra arditAnAm
   viṣamaviṣayatoye majjatāmaplavānāṃ bhavati śaraṇameko viṣṇupoto narāṇām //	vizama vizaya toye majja tAm aplavAnAm Bavati SaraNam ekaH vizNu potaH narANAm //
   RKV_157.14 //	RKV_157.14 //
   huṅkāratīrthe rājendra śubhaṃ vā yadi vāśubham /	huFkAratIrTe rAja indra SuBam vA yadi vA aSuBam /
   yatkṛtaṃ puruṣavyāghra tannaśyati na karhicit // RKV_157.15 //	yat kRtam puruza vyAGra tat naSyati na karhicit // RKV_157.15 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe huṅkārasvāmitīrthamāhātmyavarṇanaṃ nāma	Avantya KaNxe revAKaNxe huFkArasvAmitIrTamAhAtmyavarNanam nAma
   saptapañcāśadadhikaśatatamo 'dhyāyaḥ ||	saptapaQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 158	RKV aDyAya 158
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tato gacchetparaṃ tīrthaṃ saṅgameśvaramuttamam /	tatas gacCet param tIrTam saFgameSvaram uttamam /
   narmadādakṣiṇe kūle sarvapāpabhayāpaham // RKV_158.1 //	narmadA dakziNe kUle sarva pApa Baya apaham // RKV_158.1 //
   dhanadastatra viśrānto muhūrtaṃ nṛpasattama /	DanadaH tatra viSrAntaH muhUrtam nRpa sattamaH /
   pitṛlokātsamāyātaḥ kailāsaṃ dharaṇīdharam // RKV_158.2 //	pitR lokAt samAyAtaH kElAsam DaraNIDaram // RKV_158.2 //
   pratyayārthaṃ nṛpaśreṣṭha hyadyāpi dharaṇītale /	pratyaya arTam nRpa SrezWa hi adya api DaraNI tale /
   kṛṣṇavarṇā hi pāṣāṇā dṛśyante sphaṭikojjvalāḥ // RKV_158.3 //	kRzNa varNAH hi pAzANAH dRSyante sPawika ujjvalAH // RKV_158.3 //
   vindhyanirjharaniṣkrāntā puṇyatoyā saridvarā /	vinDya nirJara nizkrAntA puNya toyA sarit varAH /
   praviṣṭā narmadātoye sarvapāpapraṇāśane // RKV_158.4 //	pravizwAH narmadA toye sarva pApa praNASane // RKV_158.4 //
   saṅgame tatra yaḥ snātvā pūjayet saṅgameśvaram /	saFgame tatra yaH snAtvA pUjayet saFgameSvaram /
   aśvamedhasya yajñasya phalaṃ prāpnoty asaṃśayam // RKV_158.5 //	aSvameDasya yajQasya Palam prApnoti asaMSayam // RKV_158.5 //
   ghaṇṭāpatākāvitanaṃ yo dadetsaṅgameśvare /	GaNwA patAkA vitanam yaH dadet saFgameSvare /
   haṃsayuktavimānastho divyastrīśatasaṃvṛtaḥ // RKV_158.6 //	haMsa yukta vimAna sTaH divya strI Sata saMvRtaH // RKV_158.6 //
   sa rudrapadamāpnoti rudrasyānucaro bhavet /	sa rudra padam Apnoti rudrasya anucaraH Bavet /
   dadhi bhakte na devasya yaḥ kuryālliṅgapūraṇam // RKV_158.7 //	daDi Bakte na devasya yaH kuryAt liFga pUraNam // RKV_158.7 //
   sikthasaṃkhyaṃ śive loke sa vaset kālam īpsitam /	sikTa saMKyam Sive loke sa vaset kAlam Ipsitam /
   śrīphalaiḥ pūrayelliṅgaṃ niḥsvo bhūtvā bhavasya tu // RKV_158.8 //	SrIPalEH pUrayet liFgam niHsvaH BUtvA Bavasya tu // RKV_158.8 //
   so 'pi tatphalamāpnoti gataḥ svarge nareśvara /	saH api tad Palam Apnoti gataH svarge nareSvara /
   akṣayā santatistasya jāyate saptajanmasu // RKV_158.9 //	akzayA santatiH tasya jAyate sapta janmasu // RKV_158.9 //
   snapanaṃ devadevasya dadhnā madhughṛtena vā /	snapanam devadevasya daDnA maDu GRtena vA /
   yaḥ karoti vidhānena tasya puṇyaphalaṃ śṛṇu // RKV_158.10 //	yaH karoti viDAnena tasya puNya Palam SRNu // RKV_158.10 //
   dhṛtakṣīravahā nadyo yatra vṛkṣā madhusravāḥ /	DRta kzIra vahAH nadyaH yatra vRkzAH maDu sravAH /
   tatra te mānavā yānti suprasanne maheśvare // RKV_158.11 //	tatra te mAnavAH yAnti su prasanne maheSvare // RKV_158.11 //
   patraṃ puṣpaṃ phalaṃ toyaṃ yastu dadyānmaheśvare /	patram puzpam Palam toyam yaH tu dadyAt maheSvare /
   tatsarvaṃ saptajanmāni hyakṣayaṃ phalam aśnute // RKV_158.12 //	tat sarvam sapta janmAni hi akzayam Palam aSnute // RKV_158.12 //
   sarveṣāmeva pātrāṇāṃ mahāpātraṃ maheśvaraḥ /	sarvezAm eva pAtrANAm mahApAtram maheSvaraH /
