   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   ātmanā adattādāyiko yāvan mithyādṛṣṭikaṃ ca dṛṣṭvā sumanojño bhavati /	AtmanA adatta-AdAyikaH yAvat miTyAdRzwikam ca dRzwvA su-manojQaH Bavati /
   ebhis triṃśatā dharmaiḥ samanvāgataḥ upāsako yāvat kāyasya bhedān (DhskD	eBiH triMSatA DarmEH samanvAgataH upAsakaH yAvat kAyasya BedAn (DhskD
   19r7) narakeṣūpapadyate /	19r7) narakezu-upapadyate /
   catvāriṃśatā dharmais samanvāgata upāsakaḥ kāyasya bhedād yāvan	catvAriMSatA DarmEH samanvAgataH upAsakaH kAyasya BedAt yAvat-
   narakeṣūpapadyate / ātmanā prāṇātipātiko bhavati / parān api prāṇātipāte	narakezu-upapadyate / AtmanA prANa-atipAtikaH Bavati / parAn api prANa-atipAte
   samādāpayati prāṇātipātikaṃ ca (DhskD 19r8) dṛṣṭvā sumanojño bhavati	samAdApayati prANa-atipAtikam ca (DhskD 19r8) dRzwvA su-manojQaH Bavati
   prāṇātipātasya ca varṇaṃ bhāṣate / ātmanā adattādāyiko yāvan mithyādṛṣṭeś	prANa-atipAtasya ca varNam BAzate / AtmanA adatta-AdAyikaH yAvat miTyA-dRzweH-
   ca varṇaṃ bhāṣate / ebhiś catvāriṃśatā dharmais samanvāgata upāsakaḥ	ca varNam BAzate / eBiH catvAriMSatA DarmEH samanvAgataH upAsakaH
   kāyasya bhedād yāvan narakeṣūpapadyate //	kAyasya BedAt yAvat narakezu-upapadyate //
   (DhskD 19r9) daśabhir dharmaiḥ samanvāgata upāsakaḥ kāyasya bhedāt sugatau	(DhskD 19r9) daSaBiH DarmEH samanvAgataH upAsakaH kAyasya BedAt sugatO
   svargaloke deveṣūpapadyate / ātmanā prāṇātipātāt prativirato bhavati /	svarga-loke devezu-upapadyate / AtmanA prANa-atipAtAt prativirataH Bavati /
   ātmanā adattādānāt kāmamithyācārān mṛṣāvādāt paiśunyāt pāruṣyāt (DhskD	AtmanA adatta-AdAnAt kAma-miTyA-AcArAn mRzAvAdAt pESunyAt pAruzyAt (DhskD
   19r10) saṃbhinnapralāpād anabhidhyālur avyāpannacittaḥ samyagdṛṣṭiko	19r10) saMBinna-pralApAt anaBiDyAluH avyApanna-cittaH samyak-dRzwi-ko
   bhavati / ebhir daśabhir dharmaiḥ samanvāgata upāsakaḥ kāyasya bhedāt	Bavati / eBiH daSaBiH DarmEH samanvAgataH upAsakaH kAyasya BedAt-
   sugatau svargaloke deveṣūpapadyate //	sugatO svarga-loke devezu-upapadyate //
   viṃśatyā dharmais samanvāgata upāsakaḥ (DhskD 19v1) kāyasya bhedād yāvad	viMSatyA DarmEH samanvAgataH upAsakaH (DhskD 19v1) kAyasya BedAt yAvat-
   deveṣūpapadyate / ātmanā prāṇātipātāt prativirato bhavati / parān api	devezu-upapadyate / AtmanA prANa-atipAtAt prativirataH Bavati / parAn api
   prāṇātipātaviratau samādāpayati / ātmanā adattādānād yāvat samyagdṛṣṭiko	prANa-atipAta-viratO samAdApayati / AtmanA adatta-AdAnAt yAvat samyak-dRzwi-ko
   bhavati / parān api samyagdṛṣṭau samādāpayati / ebhir (DhskD 19v2)	Bavati / parAn api samyak-dRzwO samAdApayati / eBiH (DhskD 19v2)
   viṃśatyā dharmaiḥ samanvāgata upāsako yāvad deveṣūpapadyate //	viMSatyA DarmEH samanvAgataH upAsakaH yAvat devezu-upapadyate //
   triṃśatā dharmais samanvāgata upāsakaḥ kāyasya bhedād yāvad	triMSatA DarmEH samanvAgataH upAsakaH kAyasya BedAt yAvat-
   deveṣūpapadyate / ātmanā prāṇātipātāt prativirato bhavati / parān api	devezu-upapadyate / AtmanA prANa-atipAtAt prativirataH Bavati / parAn api
   prāṇātipātaviratau (DhskD 19v3) samādāpayati / prāṇātipātavirataṃ ca	prANa-atipAta-viratO (DhskD 19v3) samAdApayati / prANa-atipAta-viratam ca
   dṛṣṭvā sumanojño bhavati / ātmanā adattādānād yāvat samyagdṛṣṭikaṃ ca	dRzwvA su-manojQaH Bavati / AtmanA adatta-AdAnAt yAvat samyak-dRzwikam ca
   dṛṣṭvā sumanojño bhavaty / ebhis triṃśatā dharmaiḥ samanvāgata upāsakaḥ	dRzwvA su-manojQaH Bavati / eBiH triMSatA DarmEH samanvAgataH upAsakaH
   kāyasya bhedād yāvad deveṣūpapadyate //	kAyasya BedAt yAvat devezu-upapadyate //
   (DhskD 19v4) catvāriṃśatā dharmais samanvāgata upāsakaḥ kāyasya bhedāt	(DhskD 19v4) catvAriMSatA DarmEH samanvAgataH upAsakaH kAyasya BedAt-
   sugatau svargaloke deveṣūpapadyate / ātmanā prāṇātipātāt prativirato	sugatO svarga-loke devezu-upapadyate / AtmanA prANa-atipAtAt prativirataH-
   bhavati / parān api prāṇātipātaviratau samādāpayati / prāṇātipātavirataṃ	Bavati / parAn api prANa-atipAta-viratO samAdApayati / prANa-atipAta-viratam
   (DhskD 19v5) ca dṛṣṭvā sumanojño bhavati prāṇātipātavirateś ca varṇaṃ	(DhskD 19v5) ca dRzwvA su-manojQaH Bavati prANa-atipAta-virateH ca varNam
   bhāṣate / ātmanā adattādānāt kāmamithyācārān mṛṣāvādāt* paiśunyāt pāruṣyāt	BAzate / AtmanA adatta-AdAnAt kAma-miTyA-AcArAn mRzO=-AdAt* pESunyAt pAruzyAt-
   saṃbhinnapralāpāt prativirato bhavaty / anabhidhyālur avyāpannacittaḥ	saMBinna-pralApAt prativirataH Bavati / anaBiDyAluH avyApanna-cittaH
   (DhskD 19v6) samyagdṛṣṭiko bhavati / parān api samyagdṛṣṭau samādāpayati /	(DhskD 19v6) samyak-dRzwikaH Bavati / parAn api samyak-dRzwO samAdApayati /
   samyagdṛṣṭikaṃ ca dṛṣṭvā sumanojño bhavati samyagdṛṣṭeś ca varṇaṃ bhāṣate	samyak-dRzwikam ca dRzwvA su-manojQaH Bavati samyak-dRzweH ca varNam BAzate
   / ebhiś catvāriṃśatā dharmaiḥ samanvāgata upāsakaḥ kāyasya (DhskD 19v7)	/ eBiH catvAriMSatA DarmEH samanvAgataH upAsakaH kAyasya (DhskD 19v7)
   bhedāt sugatau svargaloke deveṣūpapadyate /	BedAt sugatO svarga-loke devezu-upapadyate /
   17. (pañcopāsakasya śikṣāpadāni)	17. (paQca-upAsakasya SikzA-padAni)
   paṃcopāsakasya śikṣāpadāni / yāvajjīvaṃ prāṇātipātād viratir upāsakasya	paMca-upAsakasya SikzA-padAni / yAvajjIvam prANa-atipAtAt viratiH upAsakasya
   śikṣāpadaṃ / yāvajjīvam adattādānāt kāmamithyācārān mṛṣāvādāt (DhskD 19v8)	SikzA-padam / yAvajjIvam adatta-AdAnAt kAma-miTyA-AcArAn mRzAvAdAt (DhskD 19v8)
   surāmaireyamadyapramādasthānād vairamaṇir upāsakasya śikṣāpadaṃ // //	surA-mEreya-madya-pramAda-sTAnAt vEra-maNiH upAsakasya SikzA-padam // //
   yāvajjīvaṃ prāṇātipātād viratir upāsakasya śikṣāpadam iti / tatra kataraḥ	yAvajjIvam prANa-atipAtAt viratiH upAsakasya SikzA-padam iti / tatra kataraH
   prāṇātipātaḥ / kataraḥ prāṇī / katamā prāṇātipātād vairamaṇiḥ (DhskD 19v9)	prANa-atipAtaH / kataraH prANI / katamA prANa-atipAtAt vEramaNiH (DhskD 19v9)
   / yad ucyate prāṇātipātād vairamaṇir upāsakasya śikṣāpadam ity āha /	/ yat ucyate prANa-atipAtAt vEra-maNiH upAsakasya SikzA-padam iti Aha /
   evaṃ hy uktaṃ bhagavatā /	evam hi uktam BagavatA /
   prāṇātipātī khalv ihaiko bhavati raudro rudhirapāṇiḥ hataprahataniviṣṭaḥ	prANa-atipAtI Kalu iha-ekaH Bavati rOdraH ruDira-pANiH hata-prahata-nivizwaH
   alajjī adayāvān sarvasatvaprāṇibhūteṣv (DhskD 19v10) antataḥ	alajjI adayAvAn sarva-satva-prANi-BUtezu (DhskD 19v10) antatas-
   kuntapipīlakam api prāṇātipātād aprativirato bhavati / ayam ucyate	kunta-pipIlakam api prANa-atipAtAt aprativirataH Bavati / ayam ucyate
   prāṇātipātikaḥ /	prANa-atipAtikaH /
   prāṇī katamaḥ / yasmin prāṇini prāṇisaṃjñī jīve jīvasaṃjñī satve	prANI katamaH / yasmin prANini prANi-saMjQI jIve jIva-saMjQI satve
   satvasaṃjñī poṣe poṣasaṃjñī (DhskD 20r1) pudgale pudgalasaṃjñī ayam ucyate	satva-saMjQI poze poza-saMjQI (DhskD 20r1) pudgale pudgala-saMjQI ayam ucyate
   prāṇī //	prANI //
   prāṇātipātaḥ katamaḥ / āha / yasmin prāṇini prāṇisaṃjñinaḥ satve	prANa-atipAtaH katamaH / Aha / yasmin prANini prANi-saMjQinaH satve
   satvasaṃjñinaḥ poṣe poṣasaṃjñinaḥ pudgale pudgalasaṃjñinaḥ yat parākramam	satva-saMjQinaH poze poza-saMjQinaH pudgale pudgala-saMjQinaH yat parAkramam
   āgamya yat pāpacittam akuśalacittaṃ (DhskD 20r2) vadhakacittaṃ	Agamya yat pApa-cittam akuSala-cittam (DhskD 20r2) vaDaka-cittam
   hananacittaṃ māraṇacittaṃ ca pratyupasthitaṃ bhavati / tatra yat	hanana-cittam mAraNa-cittam ca pratyupasTitam Bavati / tatra yat-
   karmāgamya yat prayogam āgamya yām ūhām āgamya yad upakramam āgamya	karma-Agamya yat prayogam Agamya yAm UhAm Agamya yat upakramam Agamya
   prāṇino hananaṃ māraṇaṃ saṃcintya jīvitād vyaparopaṇam iti / (DhskD 20r3)	prANinaH hananam mAraNam saMcintya jIvitAt vyaparopaNam iti / (DhskD 20r3)
   yat tat karma yo 'sau prayogaḥ yā sā ūhā yad upakramaṃ yat tat prāṇino	yat tat karma yaH asO prayogaH yA sA UhA yat upakramam yat tat prANinaH-
   hananaṃ māraṇaṃ saṃcintya jīvitād vyaparopaṇaṃ ayaṃ ucyate prāṇātipātaḥ //	hananam mAraNam saMcintya jIvitAt vyaparopaNam ayam ucyate prANa-atipAtaH //
   prāṇātipātī khalv ihaiko bhavatīti ātmā prāṇātipātād (DhskD 20r4) anārato	prANa-atipAtI Kalu iha-ekaH Bavati-iti AtmA prANa-atipAtAt (DhskD 20r4) anArato
   bhavatīty aprativiratas tatatrasthas tena samanvāgatas / tenāha /	Bavati-iti aprativirataH tatatrasTaH tena samanvAgataH / tena-Aha /
   prāṇātipātī khalv ihaiko bhavati /	prANa-atipAtI Kalu iha-ekaH Bavati /
   raudra iti / raudratā katamā / āha / yat tad	rOdraH iti / rOdra-tA katamA / Aha / yat tat-
   ācīrṇadaṇḍatācīrṇaśastratācīrṇapraharaṇatā iyam ucyate raudratā / (DhskD	AcIrNa-daNxa-tA-cIrNa-Sastra-tA-cIrNa-praharaNa-tA iyam ucyate rOdra-tA / (DhskD
   20r5) tenāha / raudratā iti /	20r5) tena-Aha / rOdra-tA iti /
   rudhirapāṇir iti rudhirapāṇaya ucyante aurabhrikāḥ	ruDira-pANiH iti ruDira-pANayaH ucyante OraBrikAH
   kaukkuṭikasaukarikamātsikamṛgalubdhakāś caurāḥ vadhyaghātakā goghātakā	kOkkuwika-sOkarika-mAtsika-mRga-lubDakAH cOrAH vaDyaGAtakA go-GAtakA
   nāgamaṇḍalikāḥ śaśavāgurikā bandhanapālakāḥ (DhskD 20r6) sūcakāḥ	nAgamaNxalikAH SaSa-vAgurikAH banDana-pAlakAH (DhskD 20r6) sUcakAH
   kāraṇakārakā ima ucyante rudhirapāṇayaḥ / kenaita ucyante rudhirapāṇayaḥ /	kAraNa-kArakAH ime ucyante ruDira-pANayaH / kena-ete ucyante ruDira-pANayaH /
   āha / kiṃ cāpi ye susnātā bhavanti suviliptāḥ	Aha / kim ca-api ye su-snAtAH Bavanti su-viliptAH
   kalpitakeśanakhāvadātavastraprāvṛtāḥ (DhskD 20r7) āmuktamālyābharaṇā atha	kalpita-keSa-naKa-avadAta-vastra-prAvRtAH (DhskD 20r7) Amukta-mAlya-ABaraNAH aTa
   ca punas te rudhirapāṇaya evocyante / kiṃ kāraṇam / āha / yasmāt te	ca punar te ruDira-pANayaH eva-ucyante / kim kAraNam / Aha / yasmAt te
   anāratā aviratā aprativiratās tasya rudhirasyotthāpanāya jananāya	anAratAH aviratAH aprativiratAH tasya ruDirasya-utTApanAya jananAya
   saṃjananāya samutpādāya (DhskD 20r8) prāviṣkaraṇāya / tena kāraṇena	saMjananAya samutpAdAya (DhskD 20r8) prAvizkaraNAya / tena kAraNena
   rudhirapāṇaya ucyante //	ruDira-pANayaH ucyante //
   hataprahataniviṣṭā iti syāt prāṇī prahato na hataḥ / syād dhato na	hata-prahata-nivizwAH iti syAt prANI prahataH na hataH / syAt DataH na
   prahataḥ / syād dhataś ca prahataś ca / prahatas tāvan na hataḥ / yathā	prahataH / syAt DataH ca prahataH ca / prahataH tAvat na hataH / yaTA
   tāvat prāṇī ākoṭito bhavati (DhskD 20r9) pāṇinā vā loṣṭena vā daṇḍena vā	tAvat prANI AkowitaH Bavati (DhskD 20r9) pANinA vA lozwena vA daNxena vA
   śastreṇa vā anyatamānyatamena vā vividhena praharaṇena / na tu sarveṇa	SastreNa vE anyatama-anyatamena vA viviDena praharaNena / na tu sarveNa
   sarvaṃ jīvitād vyaparopito bhavati / evaṃ prāṇī hato bhavati na hataś ca /	sarvam jIvitAt vyaparopitaH Bavati / evam prANI hataH Bavati na hataH ca /
   yathā tāvat prāṇī (DhskD 20r10) ākoṭito bhavati pāṇinā vā loṣṭena vā	yaTA tAvat prANI (DhskD 20r10) AkowitaH Bavati pANinA vA lozwena vA
   daṇḍena vā śastreṇa vā anyatamānyatamena vā vividhena praharaṇena sarveṇa	daNxena vA SastreNa vE anyatama-anyatamena vA viviDena praharaNena sarveNa
   vā sarvaṃ prāṇī jīvitād vyaparopito bhavati / evaṃ hataś ca bhavati	vA sarvam prANI jIvitAt vyaparopitaH Bavati / evam hataH ca Bavati
   prahataś ca / (DhskD 20v1) api hataprahataniviṣṭaś ca bhavati sanniviṣṭaś	prahataH ca / (DhskD 20v1) api hata-prahata-nivizwaH ca Bavati sannivizwa-H-
   cāniviṣṭaś ca / tenāha / hataprahataniviṣṭa iti //	ca-anivizwaH ca / tena-Aha / hata-prahata-nivizwaH iti //
   alajjī adayāvān sarvasatvaprāṇibhūteṣv iti / tatra katame prāṇāḥ / katame	alajjI adayAvAn sarva-satva-prANi-BUtezu iti / tatra katame prANAH / katame
   bhūtāḥ / yad ucyate alajjī adayāvān sarvasatvaprāṇibhūteṣv (DhskD 20v2)	BUtAH / yat ucyate alajjI adayAvAn sarva-satva-prANi-BUtezu (DhskD 20v2)
   ity / āha / pṛthagjanāḥ prāṇāḥ bhagavataḥ śrāvakā bhūtāḥ / api khalu ye	iti / Aha / pRTagjanAH prANAH BagavataH SrAvakAH BUtAH / api Kalu ye
   satvāḥ sarāgāḥ sadveṣāḥ samohā ima ucyante bhūtāḥ / api khalu ye satvā	satvAH sa-rAgAH sa-dvezAH sa-mohAH ime ucyante BUtAH / api Kalu ye satvA
   vigatarāgā vigatadveṣā vigatamohā ima ucyante bhūtāḥ / api khalu ye satvāḥ	vigata-rAgAH vigata-dvezAH vigata-mohAH ime ucyante BUtAH / api Kalu ye satvAH
   (DhskD 20v3) satṛṣṇā sopādānā ima ucyante prāṇāḥ / ye satvā nistṛṣṇā	(DhskD 20v3) sa-tRzNA sa-upAdAnAH ime ucyante prANAH / ye satvA nistRzNA
   nirupādānā ima ucyante bhūtāḥ / api khalu ye satvā āniruddhāḥ	nirupAdAnAH ime ucyante BUtAH / api Kalu ye satvAH AnirudDAH
   prativiruddhā ima ucyante prāṇāḥ / ye satvā anāniruddhāḥ aprativiruddhā	prativirudDAH ime ucyante prANAH / ye satvAH anAnirudDAH aprativirudDA
   ima ucyante bhūtā / api khalu (DhskD 20v4) ye satvā aviduṣo 'vidyāgatā ima	ime ucyante BUtAH / api Kalu (DhskD 20v4) ye satvAH aviduzaH avidyA-gatAH ima
   ucyante prāṇāḥ / ye satvā viduṣo vidyāgatā ima ucyante bhūtāḥ / api khalu	ucyante prANAH / ye satvAH viduzaH vidyA-gatAH ime ucyante BUtAH / api Kalu
   ye satvāḥ kāmebhyo 'vītarāgāḥ ima ucyante prāṇāḥ / ye satvāḥ kāmebhyo	ye satvAH kAmeByaH avIta-rAgAH ime ucyante prANAH / ye satvAH kAmeByaH-
   vītarāgā ima ucyante bhūtāḥ / (DhskD 20v5) api khalu ye satvāḥ kāmebhyo	vIta-rAgAH ime ucyante BUtAH / (DhskD 20v5) api Kalu ye satvAH kAmeByaH-
   vītarāgā na tu bhagavataḥ śrāvakā ima ucyante prāṇāḥ / ye satvā kāmebhyo	vIta-rAgAH na tu BagavataH SrAvakAH ime ucyante prANAH / ye satvA kAmeByaH-
   vītarāgās te bhagavataḥ śrāvakā ima ucyante bhūtāḥ / asmiṃs tv arthe	vIta-rAgAH te BagavataH SrAvakAH ime ucyante BUtAH / asmin tu arTe
   pṛthagjanāḥ prāṇāḥ bhagavataḥ (DhskD 20v6) śrāvakā bhūtāḥ / kiṃ kāraṇaṃ	pRTagjanAH prANAH BagavataH (DhskD 20v6) SrAvakAH BUtAH / kim kAraNam
   bhavanam ucyate nirvāṇaṃ / tat taiḥ prāptaṃ pratilabdham adhigataṃ spṛṣṭaṃ	Bavanam ucyate nirvANam / tat tEH prAptam pratilabDam aDigatam spRzwam
   sākṣātkṛtaṃ / yathā cāha /	sAkzAtkRtam / yaTA ca-Aha /
   samantānusārī lokaṃ diśaḥ sarvam īritaḥ /	samanta-anusArI lokam diSaH sarvam IritaH /
   icched bhavanam ātmānaṃ nādhigacched aniśritaṃ (DhskD 20v7) //	icCet Bavanam AtmAnam na-aDigacCet aniSritam (DhskD 20v7) //
   tad asminn arthe pṛthagjanāḥ prāṇāḥ bhagavataḥ śrāvakā bhūtāḥ tad eṣāṃ	tat asmin arTe pRTagjanAH prANAH BagavataH SrAvakAH BUtAH tat ezAm
   prāṇabhūtānām adayāya pratipanno bhavaty ananudayāyā nānukaṃpāya //	prANa-BUtAnAm adayAya pratipannaH Bavati ananudayAyAH na-anukaMpAya //
   śokāṣṭahārakāḥ kuntā ucyante (DhskD 20v8) pipīlakāḥ / pipīlakā eva / asmāt	Soka-azwa-hArakAH kuntAH ucyante (DhskD 20v8) pipIlakAH / pipIlakAH eva / asmAt-
   prāṇātipātād upāsakaḥ pratisaṃkhyāyārato bhavaty upadrutarataḥ	prANa-atipAtAt upAsakaH pratisaMKyAyAH-rataH Bavati upadruta-rataH
   prativirataḥ saṃvṛtaś ca / yatra yā akriyā akaraṇam anabhidhyācāro	prativirataH saMvRtaH ca / yatra yA akriyA akaraNam anaBiDyA-AcAraH-
   'nadhyāpattir anadhyāpadanaṃ (DhskD 20v9) velā setuḥ vairamaṇī sthitir	anaDyApattiH anaDyApadanam (DhskD 20v9) velA setuH vEramaNI sTitiH-
   anatikramo 'vyatikramo 'vyatikramaṇatā / tenāha / yāvajjīvaṃ prāṇātipātād	anatikramaH avyatikramaH avyatikramaNa-tA / tena-Aha / yAvajjIvam prANa-atipAtAt-
   vairamaṇīr upāsakasya śikṣāpadam iti // * //	vEra-maNIH upAsakasya SikzA-padam iti // * //
   yāvajjīvam adattādānād vairamaṇīr upāsakasya (DhskD 20v10) śikṣāpadam iti	yAvajjIvam adatta-AdAnAt vEra-maNIH upAsakasya (DhskD 20v10) SikzA-padam iti
   / adattādānaṃ katamat /	/ adatta-AdAnam katamat /
   evaṃ hy uktaṃ bhagavatā /	evam hi uktam BagavatA /
   adattādāyī khalv ihaiko bhavati / sa grāmagatam araṇyagataṃ vā pareṣām	adatta-AdAyI Kalu iha-ekaH Bavati / sa grAma-gatam araNya-gatam vA parezAm
   adattaṃ steyasaṃkhyātam ādatte / idam ucyate adattādānaṃ /	adattam steya-saMKyAtam Adatte / idam ucyate adatta-AdAnam /
   DhskM 21r1. adattādānaṃ / yāvajjīvam adattādānād vairamaṇir upāsakasya	Dhskm 21r1. adatta-AdAnam / yAvajjIvam adatta-AdAnAt vEra-maNiH upAsakasya
   śikṣāpadam iti tatra katarad adattaṃ katarad adattādānaṃ katamā	SikzA-padam iti tatra katarat adattam katarat adatta-AdAnam katamA
   adattādānād vairamaṇiḥ yā ucyate yāvajjīvam adattādānād vairamaṇir	adatta-AdAnAt vEramaNiH yA ucyate yAvajjIvam adatta-AdAnAt vEramaNiH-
   upāsakasya śikṣāpadam iti adattaṃ .. ///	upAsakasya SikzA-padam iti adattam .. ///
   DhskM 21r2. -te adattaṃ / adattādānaṃ katamat* āha paraparigṛhīte	Dhskm 21r2. -te adattam / adatta-AdAnam katamat* Aha para-parigRhIte
   pariṣkāre paraparigṛhītasaṃjñino yat pāpacittaṃ cākuśalacittaṃ ca	parizkAre para-parigRhIta-saMjQinaH yat pApa-cittam ca-akuSala-cittam ca
   haraṇacittaṃ cāpaharaṇacittaṃ codgrahaṇacittaṃ ca grahaṇacittaṃ	haraNa-cittam ca-apaharaNa-cittam ca-udgrahaNa-cittam ca grahaNa-cittam
   cādānacittam āsādīyanacittaṃ ca pratyupasthitaṃ bhavati tatra yat. ///	ca-AdAna-cittam AsAdIyana-cittam ca pratyupasTitam Bavati tatra yat. ///
   DhskM 21r3. -pahāram āgamya paraparigṛhīte pariṣkāre	Dhskm 21r3. -pahAram Agamya para-parigRhIte parizkAre
   paraparigṛhītasaṃjñinaḥ yad grahaṇam udgrahaṇam ādīyanāsādīyanā	para-parigRhIta-saMjQinaH yat grahaNam udgrahaNam AdIyana-AsA-AdIyanA
   haraṇāpaharaṇā saṃcintya sthānāt sthānasaṃkrāmaṇam iti yat tat karma yat	haraNa-apaharaNA saMcintya sTAnAt sTAna-saMkrAmaNam iti yat tat karma yat-
   prayogaṃ yā sā ūhā yad upakramaṃ yat parākramaṃ yat tad vā .. ///	prayogam yA sA UhA yat upakramam yat parAkramam yat tat vA .. ///
   DhskM 21r4. yat tat paraparigṛhīte pariṣkāre paraparigṛhītasaṃjñino	Dhskm 21r4. yat tat para-parigRhIte parizkAre para-parigRhIta-saMjQinaH-
   grahaṇam udgrahaṇam ādīyanāsādīyanā saṃcintya sthānāt sthānasaṃkramaṇam	grahaNam udgrahaNam AdIyana-AsA-AdIyanA saMcintya sTAnAt sTAna-saMkramaNam
   idam ucyate adattādānaṃ / adattādāyī bhavatīty asmād adattādānād anārato	idam ucyate adatta-AdAnam / adatta-AdAyI Bavati-iti asmAt adatta-AdAnAt anArato
   bhavaty avirato 'prativirataḥ tatrastha- ///	Bavati avirataH aprativirataH tatrasTa ///
   DhskM 21r5. -taṃ vety antaragataḥ prākārasya / araṇyagataṃ veti bahiḥ	Dhskm 21r5. -tam vA-iti antara-gataH prAkArasya / araNya-gatam vA-iti bahis-
   prakārasya / adattam iti paraparigṛhītaṃ stenam ādatte ti paraparigṛhītam	prakArasya / adattam iti para-parigRhItam stenam Adatte ti para-parigRhItam
   adattam ādatte atyantam amuktam aniḥsṛṣṭam apratiniḥsṛṣṭam api khalu	adattam Adatte atyantam amuktam aniHsRzwam apratiniHsRzwam api Kalu
   steyam ucyate paracitto 'pahārakaḥ tena .. ///	steyam ucyate para-cittaH apahArakaH tena .. ///
   DhskM 21r6. -sṛṣṭam apratiniḥsṛṣṭam api khalu yat paraparigṛhītaṃ	Dhskm 21r6. -sRzwam apratiniHsRzwam api Kalu yat para-parigRhItam
   pariṣkāram adattam api tat* stainyam api tat* saṃkhyātam api tat* tad	parizkAram adattam api tat* stEnyam api tat* saMKyAtam api tat* tat-
   ucyate adattastainyaṃ saṃkhyātam ādatte // adattādānāt prativirato	ucyate adatta-stEnyam saMKyAtam Adatte // adatta-AdAnAt prativirataH-
   bhavatīty asmād adattādānād upāsakasya + + + y. ///	Bavati-iti asmAt adatta-AdAnAt upAsakasya + + + y. ///
   DhskM 21r7. -saṃkhyātaḥ saṃvṛtaḥ tatra yā akriyā akaraṇam anadhyācāro	Dhskm 21r7. -saMKyAtaH saMvRtaH tatra yA akriyA akaraNam anaDyAcAraH-
   'nadhyāpattir anadhyāpadanam* velā setur vairamaṇī sthitir anatikramo	anaDyApattiH anaDyApadanam* velA setuH vEramaNI sTitiH anatikramaH-
   'vyatikramo 'vyatikramaṇatā tad ucyate yāvajjīvam adattādānād vairamaṇir	avyatikramaH avyatikramaNa-tA tat ucyate yAvajjIvam adatta-AdAnAt vEramaNiH-
   upāsakasya ///	upAsakasya ///
   DhskM 21r8. -mithyācārād vairamaṇir upāsakasya śikṣāpadam iti	Dhskm 21r8. -miTyA-AcArAt vEra-maNiH upAsakasya SikzA-padam iti
   kāmamithyācāraḥ katamaḥ / evaṃ hy uktaṃ bhagavatā kāmamithyācārī khalv	kAma-miTyA-AcAraH katamaH / evam hi uktam BagavatA kAma-miTyA-AcArI Kalu-
   ihaiko bhavati sa yās tā bhavanti parastriyaḥ parabhāryās tadyathā	iha-ekaH Bavati sa yAH tAH Bavanti para-striyaH para-BAryAH tat-yaTA
   mātṛrakṣitā vā pitṛrākṣitā vā ///	mAtR-rakzitA vA pitR-rAkzitAH vA ///
   DhskM 21r9. śvaśrūrakṣitā vā śvaśurarakṣitā vā jñātirakṣitā vā jātirakṣitā	Dhskm 21r9. SvaSrU-rakzitAH vA SvaSura-rakzitA vA jQAti-rakzitA vA jAti-rakzitA
   vā gotrarakṣitā vā sadaṇḍāḥ / sāvaraṇāḥ sadaṇḍāvaraṇā antato	vA gotra-rakzitAH vA sa-daNxAH / sa-AvaraNAH sa-daNxa-AvaraNAH antatas-
   mālāguṇaparikṣiptā / api tadrūpāsu sahasā balenānupraskandya kāmeṣu	mAlAguNa-parikziptAH / api tad-rUpAsu sahasA balena-anupraskandya kAmezu
   cāritram āpadyaty ayam ucyate ///	cAritram Apadyati ayam ucyate ///
   DhskM 21r10. khalv ihaiko bhavatīty asmāt kāmamithyācārād anārato bhavaty	Dhskm 21r10. Kalu iha-ekaH Bavati-iti asmAt kAma-miTyA-AcArAt anArataH Bavati-
   anuparato 'virato 'prativirataḥ tad ucyate kāmamithyācārī khalu bhavatīti	anuparataH avirataH aprativirataH tat ucyate kAma-miTyA-AcArI Kalu Bavati-iti
   // yās tā bhavanti parastriyo parabhāryā iti sapta puruṣasya bhāryāḥ /	// yAH tAH Bavanti para-striyaH para-BAryA iti sapta puruzasya BAryAH /
   katamā sapta tadyathā ///	katamA sapta tat-yaTA ///
   DhskM 21r11. paṭavāsinī samajīvikā tatkṣaṇikā ca / udakadattā katamā yā	Dhskm 21r11. pawavAsinI sama-jIvikA tad-kzaNikA ca / udakadattA katamA yA
   strī kumārikā vā puruṣasya mātāpitṛbhyām udakenānupradattā bhavati iyaṃ te	strI kumArikA vA puruzasya mAtA-pitRByAm udakena-anupradattA Bavati iyam te
   bhāryā bhaviṣyati prajāpatī iyam ucyate udakadattā // dhanakrītā katamā	BAryA Bavizyati prajApatI iyam ucyate udakadattA // Dana-krItA katamA
   DhskM 21r12. -nakrītā bhavati iyaṃ me bhāryā bhaviṣyati prajāpatī sā tasya	Dhskm 21r12. -nakrItA Bavati iyam me BAryA Bavizyati prajApatI sA tasya
   bhāryā bhavati prajāpatī iyam ucyate dhanakrītā / dhvajāhṛtā yathā tāvac	BAryA Bavati prajApatI iyam ucyate Dana-krItA / Dvaja-AhRtAH yaTA tAvat-
   caurāḥ pararāṣṭraṃ paraviṣayaṃ gatvā svaṃ śirodhvajaṃ kṛtvā striyaṃ	cOrAH para-rAzwram para-vizayam gatvA svam SiraH-Dvajam kRtvA striyam
   kumārikāṃ vāharanti ///	kumArikAm vA-Aharanti ///
