   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   sahate nṛpatau naiva hematāmarasārpaṇam /	sahate nRpatO na-eva hema-tAmarasa-arpaNam /
   mamaiṣa śakravijaya- krīḍādurlalito bhujaḥ // PNc_16.97 //	mama-eza Sakra-vijaya krIxA-durlalitaH BujaH // PNc_16.97 //
   prabhus tava nayajño 'pi kim anarthāya kevalam /	praBuH tava naya-jQaH api kim anarTAya kevalam /
   dīrghendīvaramāleti vikarṣaty asitoragam // PNc_16.98 //	dIrGa-indIvara-mAlA-iti vikarzati asita-uragam // PNc_16.98 //
   ita eva nivartadhvaṃ vartadhvaṃ vacane mama /	itas eva nivartaDvam vartaDvam vacane mama /
   avaṭe kim iti kṣeptum ātmānaṃ yūyam udyatāḥ // PNc_16.99 //	avawe kim iti kzeptum AtmAnam yUyam udyatAH // PNc_16.99 //
   yāvad ete na muñcanti maryādām asurābdhayaḥ /	yAvat ete na muQcanti maryAdAm asura-abDayaH /
   tāvat dūrāpasāreṇa svāminaṃ trātum arhatha // PNc_16.100 //	tAvat dUra-apasAreNa svAminam trAtum arhaTa // PNc_16.100 //
   narendraṃ durjigīṣātas tad gaccha vinivāraya /	narendram durjigIzAtaH tat gacCa vinivAraya /
   tvādṛśāḥ kim upekṣante patim utpathagāminam // PNc_16.101 //	tvAdRSAH kim upekzante patim utpaTa-gAminam // PNc_16.101 //
   athavāsyāsti śaktiś cet kim adyāpi vilambate /	aTavA-asya-asti SaktiH ced kim adya-api vilambate /
   āyātu svayam ādātum itaḥ kāñcanapaṅkajam // PNc_16.102 //	AyAtu svayam AdAtum itas kAQcana-paFkajam // PNc_16.102 //
   kim anyaj jāyatām eṣa khaḍgadhārātithir mama /	kim anyat jAyatAm eza Kaxga-DArAtiTiH mama /
   ity uktvā kopataralaṃ virarāmāsureśvaraḥ // PNc_16.103 //	iti uktvA kopa-taralam virarAma-asura-ISvaraH // PNc_16.103 //
   ramāṅgadasya prativacanam	ramAFgadasya prativacanam
   dhairyaṃ saṃvṛtakopo 'tha smayamāno ramāṅgadaḥ /	DEryam saMvRta-kopaH aTa smayamAnaH ramAFgadaH /
   tam ity amuktaparyaṅkaḥ prativaktuṃ pracakrame // PNc_16.104 //	tam iti amukta-paryaFkaH prativaktum pracakrame // PNc_16.104 //
   nirvāṇavīryavāte 'smin rasātalabilodare /	nirvANa-vIrya-vAte asmin rasAtala-bila-udare /
   abhugnabhujakaṇḍūtir aho kim api dṛpyase // PNc_16.105 //	aBugna-Buja-kaNxUtiH aho kim api dRpyase // PNc_16.105 //
   manye tavaitannīrandhram ajñātasvaparāntare /	manye tava-etat-nIranDram ajQAta-sva-para-antare /
   pātālacirasaṃvāsāc citte pariṇataṃ tamaḥ // PNc_16.106 //	pAtAla-cira-saMvAsAt citte pariNatam tamaH // PNc_16.106 //
   yāṃ harasyāṣṭamīm āhur mūrtim āhutilehinīm /	yAm harasya-azwamIm AhuH mUrtim Ahuti-lehinIm /
   tatsūtiḥ prāg abhūd bhartā paramāra iti kṣiteḥ // PNc_16.107 //	tad-sUtiH prAk aBUt BartA paramAraH iti kziteH // PNc_16.107 //
   kṛtāvatāraṃ tadvaṃśe vadhāya vibudhadviṣām /	kRta-avatAram tad-vaMSe vaDAya vibuDa-dvizAm /
   kim ādidevaṃ kaṃsāriṃ dhiṅ martya iti manyase // PNc_16.108 //	kim Adidevam kaMsArim Dik martyaH iti manyase // PNc_16.108 //
   [16.108d: sandānitakam]	[16.108d: sandAnitakam]
   kamaleva mukundasya pārvatīva pinākinaḥ /	kamalA-iva mukundasya pArvatI-iva pinAkinaH /
   phaṇikanyocitā patnī sā mahīmīnalakṣmaṇaḥ // PNc_16.109 //	PaNi-kanya-ucitA patnI sA mahI-mIna-lakzmaNaH // PNc_16.109 //
   tāṃ haṭhenātmasātkartum asurendra na śakyase /	tAm haWena-AtmasAt-kartum asura-indra na Sakyase /
   na ratnasūcim ākraṣṭum ayaskāntasya yogyatā // PNc_16.110 //	na ratna-sUcim Akrazwum ayaskAntasya yogya-tA // PNc_16.110 //
   padaṃ pathi nidhatse 'tra kim anyāyamalīyase /	padam paTi niDatse atra kim anyAyam-alIyase /
   apathe caratāṃ yānti dūrād dūraṃ vibhūtayaḥ // PNc_16.111 //	apaTe caratAm yAnti dUrAt dUram viBUtayaH // PNc_16.111 //
   anarpaṇaṃ mahīpāle hemapaṅkeruhasya yat /	anarpaNam mahIpAle hema-paFkeruhasya yat /
   tavāparigham utprekṣe tad eva dvāram āpadām // PNc_16.112 //	tava-apariGam utprekze tat eva dvAram ApadAm // PNc_16.112 //
   rājendradīpake tasmin samarāṅgaṇavartini /	rAja-indra-dIpake tasmin samara-aFgaNa-vartini /
   ete bhaṭās te na cirāt- āyāsyanti pataṅgatām // PNc_16.113 //	ete BawAH te na cirAt AyAsyanti pataFga-tAm // PNc_16.113 //
   tathā vidhehi na yathā tvandataḥpurayoṣitām /	taTA viDehi na yaTA tvandataHpura-yozitAm /
   karapallavaśayyāsu śerate vadanendavaḥ // PNc_16.114 //	karapallava-SayyAsu Serate vadana-indavaH // PNc_16.114 //
   pravṛttapatiśokārta- paurastrīparidevanā /	pravRtta-pati-Soka-Arta pOra-strI-paridevanA /
   iyam utsannasaṅgītā mā bhūd ratnavatī purī // PNc_16.115 //	iyam utsanna-saFgItA mA BUt ratnavatI purI // PNc_16.115 //
   devasyārpitahemābjas tad ehi pata pādayoḥ /	devasya-arpita-hema-abjaH tat ehi pata pAdayoH /
   śiraḥ punantu te kāmaṃ puṇyās tatpādapāṃsavaḥ // PNc_16.116 //	SiraH punantu te kAmam puNyAH tad-pAda-pAMsavaH // PNc_16.116 //
   athavā subhaṭaiḥ sārdham uttiṣṭha purato bhava /	aTavA su-BawEH sArDam uttizWa puratas Bava /
   samaṃ vidyādharānīkair ayam āyāti bhūpatiḥ // PNc_16.117 //	samam vidyADara-anIkEH ayam AyAti BUpatiH // PNc_16.117 //
   kim anyat samam etena śirastāmarasena te /	kim anyat samam etena SiraH-tAmarasena te /
   hemakokanadaṃ devaḥ svayam eva grahīṣyati // PNc_16.118 //	hema-kokanadam devaH svayam eva grahIzyati // PNc_16.118 //
   ramāṅgadāgamanam	rama-aFgada-Agamanam
   tam ity uktvā sabhāmadhyān nirjagāma ramāṅgadaḥ /	tam iti uktvA saBA-maDyAt nirjagAma ramAFgadaH /
   nikaṭaṃ ca raṇotkasya jagāma jagatīpateḥ // PNc_16.119 //	nikawam ca raNa-utkasya jagAma jagatIpateH // PNc_16.119 //
   atha vadati śanaiḥ sametya tasminn amararipor vacanāni tānitāni /	aTa vadati SanEs sametya tasmin amara-ripoH vacanAni tAnitAni /
   asurapativināśakālarātrim- bhṛkuṭīm uvāha mukhena mālavendraḥ //	asura-pati-vinASa-kAla-rAtrim BRkuwIm uvAha muKena mAlava-indraH //
   PNc_16.120 //	PNc_16.120 //
   gatvā vidyādharabhaṭacamūcakravālaiḥ sabhaṃ saḥ kṣmāpālo 'tha vyadhita	gatvA vidyADara-Bawa-cam-U-cakravAlEH saBam saH kzmApAlaH aTa vyaDita
   paritas tatpuro ratnavatyāḥ /	paritas tat-puras ratnavatyAH /
   yena vyaktāmarajayamahāsāhasasyāsurāṇāṃ nāthasyāsīn	yena vyakta-amara-jaya-mahA-sAhasasya-asurANAm nATasya-AsIn
   navaparibhavaśyāmalāvaktralakṣmīḥ // PNc_16.121 //	nava-pariBava-SyAmalA-vaktra-lakzmIH // PNc_16.121 //
   iti śrīmṛgāṅkadattasūnoḥ parimalāparanāmnaḥ padmaguptasya kṛtau	iti SrI-mRgAFka-datta-sUnoH parimala-apara-nAmnaH padmaguptasya kRtO
   navasāhasāṅkacarite mahākāvye kanakāravindaprārthano nāma ṣoḍaśaḥ sargaḥ	nava-sAhasa-aFka-carite mahAkAvye kanakAravinda-prArTanaH nAma zoxaSaH sargaH
   saptadaśaḥ sargaḥ	saptadaSaH sargaH
   yuddhavarṇanaṃ	yudDa-varNanam
   athāhividyādhararājasainyair nipīḍitāyāṃ puri ratnavatyām /	aTa-ahi-vidyADara-rAja-sEnyEH nipIxitAyAm puri ratnavatyAm /
   bhaṭāḥ sakopaṃ bhujadarpabhājo nirjagmur ākṛṣṭakṛpāṇapaṭṭāḥ // PNc_17.1 //	BawAH sa-kopam Buja-darpa-BAjaH nirjagmuH AkRzwa-kRpANa-pawwAH // PNc_17.1 //
   anyonyasaṅghaṭṭavaśena teṣām udañcitāḥ kāñcanakaṅkaṭebhyaḥ /	anyonya-saFGawwa-vaSena tezAm udaQcitAH kAQcana-kaFkaweByaH /
   yugāntakālānalabījaśaṅkāṃ na kasya cakruḥ śikhinaḥ sphulliṅgāḥ // PNc_17.2	yuga-anta-kAla-anala-bIja-SaFkAm na kasya cakruH SiKinaH sPulliFgAH // PNc_17.2
   bhāleṣu bhīmā bhṛkuṭīr vahanto bhṛṅgatviṣaś cāsilatāḥ kareṣu /	BAlezu BImAH BRkuwIH vahantaH BRFga-tvizaH ca-asi-latAH karezu /
   khurāgrarugṇāvanibhiḥ saroṣaṃ nirīyur anye caturais turaṅgaiḥ // PNc_17.3	Kura-agra-rugNa-avaniBiH sa-rozam nirIyuH anye caturEH turaFgEH // PNc_17.3
   nyabhād anīkaṃ kariṇāṃ ca sāndra- sindūrapūrāruṇagaṇḍabhitti /	nyaBAt anIkam kariNAm ca sAndra sindUra-pUra-aruNa-gaNxa-Bitti /
   pratyagradāvānalalīḍhakoṭi- kulācalendrapracayopameyam // PNc_17.4 //	pratyagra-dAvAnala-lIXa-kowi kula-acala-indra-pracaya-upameyam // PNc_17.4 //
   puro raṇotsekabhṛtāṃ niruddham oghena vidyādharavāhinīnām /	puras raNa-utseka-BRtAm nirudDam oGena vidyADara-vAhinInAm /
   tat puñjitaṃ sainyam amartyaśatror babhūva mūle maṇitoraṇasya // PNc_17.5	tat puQjitam sEnyam amartya-SatroH baBUva mUle maNi-toraNasya // PNc_17.5
   sāṭopam āropitacāpayāṣṭir nibaddhatūṇīrayugo gajasthaḥ /	sa-Awopam Aropita-cApayAzwiH nibadDa-tUNIra-yugaH gaja-sTaH /
   so nirjagāmātha mahāsurendro vegād ahaṃkāra ivāttadehaḥ // PNc_17.6 //	saH nirjagAma-aTa mahA-asura-indraH vegAt ahaMkAraH iva-Atta-dehaH // PNc_17.6 //
   yugātyayāmbhodharanādadhīras tasyodgataḥ saṅgaratūryaghoṣaḥ /	yuga-atyaya-amBoDara-nAda-DIraH tasya-udgataH saFgara-tUrya-GozaH /
   baddhapratiśrunti nitāntabhīmaś cakāra pātālabilodarāṇi // PNc_17.7 //	badDa-pratiSrunti nitAnta-BImaH cakAra pAtAla-bila-udarANi // PNc_17.7 //
   satpuṣkarānañjanapuñjabhāsas patho jayasyātha gajān asīṃś ca /	sat-puzkara-anaQjana-puQja-BAsaH paTaH jayasya-aTa gajAn asIn ca /
   vyāpārayanti sma rayeṇa vīrās tatpreritā vairivarūthinīṣu // PNc_17.8 //	vyApArayanti sma rayeNa vIrAH tad-preritAH vEri-varUTinIzu // PNc_17.8 //
   parasparāpātikṛpāṇaniryat- jvālāvalīpallavitāntarikṣaḥ /	paraspara-ApAti-kRpANa-niryat jvAlA-AvalI-pallavita-antarikzaH /
   abhūt pravṛttaḥ samaro mahāhi- vidyādharendrāsurapuṅgavānām // PNc_17.9 //	aBUt pravRttaH samaraH mahA-ahi vidyADara-indra-asura-puFgavAnAm // PNc_17.9 //
   vīreṣu dhāvatsu caratsv amandaṃ gajeṣu valgatsu turaṅgameṣu /	vIrezu DAvatsu caratsu amandam gajezu valgatsu turaFgamezu /
   akālakalpātyayayaśāṅkitāni cakampire sapta rasātalān // PNc_17.10 //	akAla-kalpa-atyaya-yaSa-aFkitAni cakampire sapta rasAtalAn // PNc_17.10 //
   prakāśayantaḥ karaṇaprapanncaṃ surāṅganābhiḥ spṛhayekṣyamāṇāḥ /	prakASayantaH karaNa-prapanncam sura-aFganABiH spRhayA-IkzyamANAH /
   atyadbhutaṃ nṛttam ivārabhanta bhaṭā raṇaprāṅgaṇaraṅgamadhye // PNc_17.11	ati-adButam nRttam iva-AraBanta BawAH raNa-prAFgaNa-raFga-maDye // PNc_17.11
   utplutya vegāt pavamānamārgaṃ vidyādharair dānajalāvilāni /	utplutya vegAt pavamAna-mArgam vidyADarEH dAna-jala-AvilAni /
   paṭu vyapāṭyanta mataṅgajānāṃ tīkṣṇāsipatrakrakacaiḥ śirāṃsi // PNc_17.12	pawu vyapAwyanta mataFga-jAnAm tIkzNa-asi-patrakra-kacEH SirAMsi // PNc_17.12
   nipatya kumbheṣu mahāgajānāṃ nīrandhramukteṣu paṭu kvaṇantaḥ /	nipatya kumBezu mahA-gajAnAm nIranDra-muktezu pawu kvaNantaH /
   bhānti sma vidyādharapuṅgavānāṃ muktāṭṭahāsā iva khaḍgapaṭṭāḥ // PNc_17.13	BAnti sma vidyADara-puFgavAnAm mukta-awwahAsAH iva Kaxga-pawwAH // PNc_17.13
   āvartatām ūrmilatāyamāna- nistriṃśavallīvalayākulāsu /	AvartatAm UrmilatAyamAna nistriMSa-vallI-valaya-AkulAsu /
   prapedire pūrvasurojjhitāni cakrāṇi vidyādharavāhinīṣu // PNc_17.14 //	prapedire pUrva-sura-ujJitAni cakrANi vidyADara-vAhinIzu // PNc_17.14 //
   phaṇāvalīṣv āpatitoragāṇām aphalguratnopalakarkaśāsu /	PaNa-AvalIzu Apatita-uragANAm aPalgu-ratna-upala-karkaSAsu /
   kṛpāṇadharā masṛṇībabhūva mahāsurāṇāṃ na tu saṅgarecchā // PNc_17.15 //	kRpANa-DarA masRNI-baBUva mahA-asurANAm na tu saFgara-icCA // PNc_17.15 //
   amānti pātālatale prasasruḥ kṣitau biladvāravinirgatāni /	amAnti pAtAla-tale prasasruH kzitO bila-dvAra-vinirgatAni /
   jyāśabdahṛṣṭāsurasiṃhanāda- turaṅgaheṣāgajabṛṃhitāni // PNc_17.16 //	jyA-Sabda-hRzwa-asura-siMhanAda turaFga-heza-agaja-bRMhitAni // PNc_17.16 //
   pradhāvadaśvīyakhurāhatānām abhyudgato ratnabhuvāṃ parāgaḥ /	praDAvat-aSvIya-Kura-AhatAnAm aByudgataH ratna-BuvAm parAgaH /
   gīrvāṇacāpacchavilāñchitāni kṛtsnāni cakre kakubhāṃ mukhāni // PNc_17.17	gIrvANa-cApa=-Cavi-lAQCitAni kRtsnAni cakre kakuBAm muKAni // PNc_17.17
   bhaṭāstrapūrṇaiḥ parito gajānāṃ svadānapaṅkopacitaiḥ padāṅkaiḥ /	Bawa-astra-pUrNEH paritas gajAnAm sva-dAna-paFka-upacitEH pada-aFkEH /
   bhayaṅkarābhūt taruṇārkabimba- sahasrakīrṇeva raṇāṅgaṇorvī // PNc_17.18 //	BayaFkarA-aBUt taruNa-arka-bimba sahasrakIrNA-iva raNa-aFgaNa-urvI // PNc_17.18 //
   lūnāḥ samūlaṃ subhaṭāsipatraiḥ sahasraśaḥ śoṇitaśīkarārdrāḥ /	lUnAH sa-mUlam su-Bawa-asi-patrEH sahasraSas SoNita-SIkara-ArdrAH /
   uttālavaivasvatatālavṛnta- vicchittimūhuḥ karikarṇatālāḥ // PNc_17.19 //	uttAla-vEvasvata-tAlavRnta vicCittim-UhuH kari-karNa-tAlAH // PNc_17.19 //
   anyonyakṛttāstarasā bhaṭānāṃ navātapātāmranakhatviṣo 'gre /	anyonya-kRttAH-tarasA BawAnAm nava-AtapA-tAmra-naKa-tvizaH agre /
   bhujā nipetuḥ samam īkṣaṇena samauliratnā iva pannagendrāḥ // PNc_17.20 //	BujAH nipetuH samam IkzaNena sa-mOli-ratnAH iva pannaga-indrAH // PNc_17.20 //
   aṅgād asiprāsapṛṣatkabhinnāt- asṛkpravāheṣu bhṛśaṃ vahatsu /	aFgAt asi-prAsa-pRzat-kaBinnAt asRk-pravAhezu BRSam vahatsu /
   līlāgaladgairikanirjharāṇāṃ gajair jagāhe kulaparvatānām // PNc_17.21 //	lIlA-galat-gErika-nirJarANAm gajEH jagAhe kula-parvatAnAm // PNc_17.21 //
   kṣmāyāṃ babhuḥkhaḍgapṛthakkṛtāni sahasraśaḥ śastrabhṛtāṃ śirāṃsi /	kzmAyAm baBuH-Kaxga-pRTakkRtAni sahasraSas SastraBRtAm SirAMsi /
   kālena saṅgrāmasarontarālād utkhaṇḍitānīva saroruhāṇi // PNc_17.22 //	kAlena saFgrAma-sara-untarAlAt utKaNxitAni-iva saroruhANi // PNc_17.22 //
   kabandhakaṇṭhocchaladasravantaḥ samīpam etyopari kaṅkayūtham /	kabanDa-kaNWa-ucCala-da-sravantaH samIpam etya-upari kaFka-yUTam /
   muhūrtam iddhāruṇaratnadaṇḍam adṛśyata cchatram ivāntakasya // PNc_17.23	muhUrtam idDA-aruNa-ratna-daNxam adRSyate cCatram iva-antakasya // PNc_17.23
   muktaiḥ samūhena nabhaścarāṇāṃ kumbheṣu cakraiḥ kariṇāṃ patadbhiḥ /	muktEH samUhena naBaH-carANAm kumBezu cakrEH kariNAm patadBiH /
   astācalavyāyatavaprapāti- pataṅgabimbānukṛtir vitene // PNc_17.24 //	astAcala-vyAyatava-prapAti pataFga-bimba-anukRtiH vitene // PNc_17.24 //
   patadbhaṭaṃ nirdalitāśvavāraṃ nikṛttamattebhakaraṃ kṣaṇena /	patat-Bawam nirdalita-aSva-vAram nikRtta-matta-iBa-karam kzaNena /
   vyadhāyi vidyādharasainikais tat sanāgavīrair asurendrasainyam //	vyaDAyi vidyADara-sEnikEH tat sa-nAga-vIrEH asura-indra-sEnyam //
   PNc_17.25 //	PNc_17.25 //
   haṃsair iva smerataṭāḥsamantāt paricyutaiḥ kuñjarakarṇaśaṅkhaiḥ /	haMsEH iva smera-tawAH-samantAt paricyutEH kuQjara-karNa-SaFKEH /
   voḍhuṃ pravṛttā bhavaduttaraṅgā jhaṭity agādhā rudhirasravantī //	voXum pravRttA Bavat-uttaraFgA Jawiti agADA ruDira-sravantI //
   PNc_17.26 //	PNc_17.26 //
   vidyādharavyālabhaṭāvalupta- dhairyeṣu naśyatsu mahāsureṣu /	vidyADara-vyAla-Bawa-avalupta DEryezu naSyatsu mahA-asurezu /
   viśvāṅkuśo nāma surārisūnur atho rathenājimahīṃ viveśa // PNc_17.27 //	viSvAFkuSaH nAma surAri-sUnuH aTo raTena-Aji-mahIm viveSa // PNc_17.27 //
   ākarṇakṛṣtād dhanuṣaḥ patadbhir bālendulekhākṛtibhiḥ pṛṣatkaiḥ /	AkarNa-kRztAt DanuzaH patadBiH bAla-indu-leKA-AkRtiBiH pRzatkEH /
   arātisainye raṇadhīravīrān bhīrūnivaiko vimukhīcakāra // PNc_17.28 //	arAti-sEnye raNa-DIra-vIrAn BIrUn-iva-ekaH vimuKIcakAraH // PNc_17.28 //
   tadvīryanirvāsitasauṣṭhavānāṃ vidyādharāṇām apatan karebhyaḥ /	tad-vIrya-nirvAsita-sOzWavAnAm vidyADarANAm apatan kareByaH /
   dhārāgralagnadvipakumbhamuktāḥ sabāṣpaleśā iva khaḍgalekhāḥ // PNc_17.29	DArA-agra-lagna-dvipa-kumBa-muktAH sa-bAzpa-leSAH iva Kaxga-leKAH // PNc_17.29
   kṣaṇād valanti sma tadā hatāni balāni vidyādharapannagānām /	kzaNAt valanti sma tadA hatAni balAni vidyADara-pannagAnAm /
   saritpayāṃsīva niśakarāṃśu- pūrapravṛddhārṇavapīḍitāni // PNc_17.30 //	sarit-payAMsi-iva niSakara-aMSu pUra-pravRdDa-arNava-pIxitAni // PNc_17.30 //
   na śekatus tasya gatiṃ niroddhuṃ vidyādharendroragarājaputrau /	na SekatuH tasya gatim nirodDum vidyADara-indra-uraga-rAja-putrO /
   ratnākarasyeva mahendrasahyā vasahyavegaṃ pralayotthitasya // PNc_17.31 //	ratna-Akarasya-iva mahA-indra-sahyAH vasahya-vegam pralaya-utTitasya // PNc_17.31 //
   dordaṇḍakaṇḍūtim athāsya hartum udbhrūlataṃ bhūpatinā niyuktaḥ /	dos-daNxa-kaNxUtim aTa-asya hartum udBrU-latam BUpatinA niyuktaH /
   javāj jagāmājipathaṃ rathena ramāṅgadaḥkuṇḍalito 'gracāpaḥ // PNc_17.32 //	javAt jagAma-Aji-paTam raTena ramAFgadaH-kuNxalitaH agra-cApaH // PNc_17.32 //
   tathopalebhe samaronmukhasya nādena vṛddhiḥ śarajanmanāsya /	taTA-upaleBe samara-unmuKasya nAdena vRdDiH Sara-janmanA-asya /
   cakre padaṃ bāṣpakaṇotkareṇa yathā kapoleṣv asurāṅganānām // PNc_17.33 //	cakre padam bAzpa-kaNA-utkareNa yaTA kapolezu asura-aFganAnAm // PNc_17.33 //
   dūrāt suparvārisutaṃ rathena sa raṃhasā saṃmukham āpatantam /	dUrAt su-parva-ari-sutam raTena sa raMhasA saMmuKam Apatantam /
   rurodha taṃ bāṇaparaṃparābhir yaśobhaṭaḥ karṇam ivendrasūnus // PNc_17.34	ruroDa tam bANa-paraMparABiH yaSoBawaH karNam iva-indrasUnuH // PNc_17.34
   viśvāṅkuśaḥ satkavace mumoca vakṣaḥsthale haimam athāsya bāṇam /	viSvAFkuSaH sat-kavace mumoca vakzaH-sTale hEmam aTa-asya bANam /
   taṭe 'ñjanaśyāmatanau mahādreḥ śātahradaṃ jyotir ivāmbuvāhaḥ // PNc_17.35	tawe aQjana-SyAma-tanO mahA-adreH SAtahradam jyotiH iva-ambuvAhaH // PNc_17.35
   alakṣyasaṃdhānavimokṣapātān yaśobhaṭasyāttaruṣo 'pi ropān /	alakzya-saMDAna-vimokza-pAtAn yaSaH-Bawasya-attaruzaH api ropAn /
   mūrcchāluṭhatsārathir āhatāśvo rathaḥ śaśaṃsāsuranandanasya // PNc_17.36	mUrcCA-lu-Wat-sAraTiH Ahata-aSvaH raTaH SaSaMsa-asura-nandanasya // PNc_17.36
   vilāsakāñcīm atha kālarātrer udyatkrudhaḥ paddhatim antakasya /	vilAsa-kAQcIm aTa kAlarAtreH udyat-kruDaH padDatim antakasya /
   maurvīṃ pṛṣatkeṇa ramāṅgadasya ciccheda gīrvāṇaripos tanūjaḥ // PNc_17.37	mOrvIm pRzatkeNa ramAFgadasya cicCeda gIrvANa-ripoH tanUjaH // PNc_17.37
   sannābhibimbena mahājilakṣmyā vīraśriyo vibhramanūpureṇa /	sanna-aBibimbena mahA-jilakzmyA vIra-SriyaH viBrama-nUpureNa /
   saṃrabhya rāhor iva cakrapāṇiḥ sa apy asya cakreṇa śiraś cakarta //	saMraBya rAhoH iva cakrapANiH sa api asya cakreNa SiraH cakarta //
   PNc_17.38 //	PNc_17.38 //
   nanarta vidyādharasundarīṇāṃ gaṇo nadannūpuram ambare 'tha /	nanarta vidyADara-sundarINAm gaNaH nadat-nUpuram ambare aTa /
   maulau śarakṣuṇṇaśirastraratne cikṣepa cāsyām arapuṣpavṛṣṭim // PNc_17.39	mOlO Sara-kzuNNa-Sira-stra-ratne cikzepa ca-asyAm ara-puzpa-vRzwim // PNc_17.39
   dṛṣṭe śirasy utphalite svasūnor diṅmulalīnāsu patākinīṣu /	dRzwe Sirasi utPalite sva-sUnoH diS-mula-lInAsu patAkinIzu /
   vajrāṅkuśāḥ saṃmukham āpapāta patyur viśām astagirer ivārkaḥ // PNc_17.40	vajrAFkuSAH saMmuKam ApapAta patyuH viSAm astagireH iva-arkaH // PNc_17.40
   madāmbuvarṣī samare 'bhidhāvan reje gajas tasya sahemakakṣyaḥ /	mada-ambu-varzI samare aBiDAvan reje gajaH tasya sa-hema-kakzyaH /
   bhinne 'ntarāle pavamānanunnas tamālanīlas taḍiteva meghaḥ // PNc_17.41 //	Binne antarAle pavamAna-nunnaH tamAla-nIlaH taxitA-iva meGaH // PNc_17.41 //
   patyuḥ prasādasmitarajjukṛṣṭā bhaṭā vivṛtyāsya puro babhūvuḥ /	patyuH prasAda-smita-rajju-kRzwA BawAH vivRtya-asya puras baBUvuH /
   svajīvitānyājimukhe vihātum atyutsukā bhaṅgamalīmasāni // PNc_17.42 //	sva-jIvitAni-Aji-muKe vihAtum ati-utsukAH BaFga-malImasAni // PNc_17.42 //
   āruhya candraḥ kham ivābhirāmaṃ nakṣatramālābharaṇaṃ gajendram /	Aruhya candraH Kam iva-aBirAmam nakzatra-mAlA-ABaraNam gaja-indram /
   devo 'pi tadvairitamo niyantum atha pratasthe navasāhasāṅkaḥ // PNc_17.43	devaH api tad-vEritamaH niyantum aTa pratasTe nava-sAhasa-aFkaH // PNc_17.43
   ekatra pārśve śaśikhaṇḍanāmā vidyādharendro nṛpater babhūva /	ekatra pArSve SaSiKaNxa-nAmA vidyADara-indraH nRpateH baBUva /
   arātisenānalinīvanaika- śītāṃśur anyatra yaśobhaṭaś ca // PNc_17.44 //	arAti-senA-nalinI-vana-eka SItAMSuH anyatra yaSoBawaH ca // PNc_17.44 //
   sphuratphaṇachatramaṇipratāna- tejaśchaṭājarjaritāndhakāraḥ /	sPurat-PaNa-Catra-maNi-pratAna tejaH-CawAjarjarita-anDakAraH /
   aphalgur vīryaḥ phaṇabhṛtkumāro 'py agre 'bhavat tasya sa ratnacūḍaḥ //	aPalguH vIryaH PaNaBRt-kumAraH api agre aBavat tasya sa ratnacUxaH //
   PNc_17.45 //	PNc_17.45 //
   vidhūtanistriṃśataraṅgitāni sabāṇacakrīkṛtakārmukāni /	viDUta-nistriMSa-taraFgitAni sa-bANa-cakrIkRta-kArmukAni /
   hatāvaśeṣāṇi puro 'sya celur balāni vidyādharapannagānām // PNc_17.46 //	hata-avaSezANi puras asya celuH balAni vidyADara-pannagAnAm // PNc_17.46 //
   raktāsavakṣībasahastatāla- vetālatālocchalitāṭṭahāsaḥ /	rakta-AsavakzIba-sahasta-tAla vetAla-tAla-ucCalita-awwahAsaH /
   mahābhaṭānām asunirvyapekṣam anyonyam āvartata saṃparāyaḥ // PNc_17.47 //	mahA-BawAnAm asu-niH-vyapekzam anyonyam Avartata saMparAyaH // PNc_17.47 //
   cakāśire śastrabhṛtāṃ śiraḥsu mithaḥ patantyaḥ karavālavallyaḥ /	cakASire SastraBRtAm SiraHsu miTas patantyaH karavAlavallyaH /
   muktāḥ salīlāṃ tridaśāṅganābhir mālā ivendīvarapatramayyaḥ // PNc_17.48 //	muktAH sa-lIlAm tridaSa-aFganABiH mAlAH iva-indIvara-patra-mayyaH // PNc_17.48 //
   keṣāṃ cid ūhuḥ kavacāni śobhāṃ kva cit kva cil lohitapāṭalāni /	kezAm cit UhuH kavacAni SoBAm kva cit kva cit lohita-pAwalAni /
   khelajjayaśrīcaraṇāravinda- lākṣāraseneva navāṅkitāni // PNc_17.49 //	Kelat-jaya-SrI-caraNa-aravinda lAkzA-rasena-iva nava-aFkitAni // PNc_17.49 //
   hṛdipraviṣṭair aviśuddhimadbhir abhūd vyathā kāpi śaraiḥ pareṣām /	hRdipravizwEH aviSudDimadBiH aBUt vyaTA kA-api SarEH parezAm /
   durātmanāṃ sādhuguṇair ivāgre phalena saṃyogam upeyivadbhiḥ // PNc_17.50	durAtmanAm sADu-guNEH iva-agre Palena saMyogam upeyivadBiH // PNc_17.50
   parasparāpātajuṣām asīnāṃ dhārācyutaḥ saṃyaticūrṇareṇuḥ /	paraspara-apAta-juzAm asInAm DArA-cyutaH saMyati-cUrNa-reNuH /
   avāpa tāpiccharucir jayaśrī- vilāsakālāñjanadhūlilīlām // PNc_17.51 //	avApa tApicCa-ruciH jaya-SrI vilAsa-kAla-aQjana-DUli-lIlAm // PNc_17.51 //
   paryāyajātobhayasainyabhaṅga- karālakolāhalakātarāṇām /	paryAya-jAta-uBaya-sEnya-BaFga karAla-kolAhala-kAtarANAm /
