   Table of the Contents	Table of Te Contents
   BJ_23.06a/.vaṃśa.cchettā.kha.mada.sukhagaiś.candra.daityejya.pāpaiḥ/śilpī.try.aṃśe.śaśi.suta.yute.kendra.saṃstha.arki.dṛṣṭe/	BJ_23.06a/.vaMSa.=-CettA.-Ka.mada.-suKa-gES.candra.dEtya-ijya.-pApEH/SilpI.tri-.aMSe.-SaSi.-suta-.yute.kendra.-saMsTa.arki.dRzwe/
   BJ_23.06b/.dāsyāṃ.jāto.diti.suta.gurau.riḥphage.saura.bhāge/nīco.arkendrvor.madana.gatayor.dṛṣṭayoḥ.sūryajena//(mandākrāntā)	BJ_23.06b/.da-asyAM.jAtaH-.diti.-suta.-gurO.riH-Pa-ge.-sOra.BAge/nI-ca-u.arka-indrvor.-madana.-gatayoH-.dRzwayoH.sUrya-jena//(manda-AkrAntA)
   BJ_23.07a/.pāpa.ālokitayoḥ.sita.avanijayor.astasthayor.vā.adhyaruk.candre.karkaṭa.vṛścika.aṃśaka.gate.pāpair.yute.guhya.ruk/	BJ_23.07a/.pApa-.AlokitayoH.sita-.ava-nijayoH-.astasTayoH-.vA.aDya-ruj-.-candre.karkawa.-vRScika-.aMSaka.gate.-pApEH-.yute.-guhya.-ruj-/
   BJ_23.07b/.śvi.trī.riḥpha.dhanasthayor.aśubhayoś.candra.udaye.aste.ravau.candre.khe.avanije.astage.ca.vikalo.yady.arkajo.veśigaḥ//(śā.vi)	BJ_23.07b/.Svi.trI-.riH-Pa.-Dana-sTayoH-.aSuBa-yoS.-candra-.udaye.aH-te.ravO.-candre.-Ke.ava-nije.astage.ca.vikalo.yadi-.arka-jaH-.veSi-gaH//(SA
   BJ_23.08a/.antaḥ.śaśiny.aśubhayor.mṛgage.pataṅge.śvāsa.kṣaya.plihaka.vidradhi.gulma.bhājaḥ/	BJ_23.08a/.antaH.SaSini-.a-SuBayoH-.mRga-ge.pataFge.-SvAsa.-kzaya.-pliha-ka.vidraDi.-gulma.-BAjaH/
   BJ_23.08b/.śoṣī.paraspara.gṛha.aṃśa.gayor.ravi.indvoḥ.kṣetre.atha.vā.yugapad.ekagayoḥ.kṛśo.vā//(va.ti)	Bu-_23.08b/.SozI.-paraspara.-gRha-.aMSa.-gayoH-.ravi.indvoH.kzetre.aTa-.vA.-yugapad-.eka-gayoH-.kRSaH-.vA//(va.ti)
   BJ_23.09a/.cendre.aśvi.madhya.jhaṣa.karki.mṛga.aja.bhāge.kuṣṭhī.sa.manda.rudhire.tad.avekṣite.vā/	BJ_23.09a/.ca-indre.aSvi.-maDya.-Jaza.karki.-mRga.aja.-BAge.-kuzWI.-sa.manda.ruDire.-tad-.avekzite.vA/
   BJ_23.09b/.yātais.tri.koṇam.ali.karki.vṛṣair.mṛge.ca.kuṣṭhī.ca.pāpa.sahitair.avalokitair.vā//(va.ti)	Bu-_23.09b/.yAtEs.tri.koNam.ali.-karki.-vRzEH-.mRge.ca.-kuzWI.-ca.pApa.-sahitEH-.avalokitEH-.vA//(va.ti)
   BJ_23.10a/.nidhana.ari.dhana.vyaya.sthitā.ravi.candra.āra.yamā.yathā.tathā/	Bu-_23.10a/.niDana-.ari.Dana.-vyaya.-sTitA.-ravi.candra.Ara.yamA.yaTA.-taTA/
   BJ_23.10b/.balavad.graha.doṣa.kāraṇair.manujānāṃ.janayanty.anetratām//(va.ti)	BJ_23.10b/.balavat-.graha.doza.-kAraNEH-.manujAnAM.janayanti-.a-netra-tAm//(va.ti)
   BJ_23.11a/.navama.āya.tṛtīya.dhī.yutā.na.ca.saumyair.aśubhā.nirīkṣitāḥ/	BJ_23.11a/.navama.Aya.-tRtIya-.DI.-yutA.-na.ca.-sOmyEH-.aSuBA.-nirIkzitAH/
   BJ_23.11b/.niyamāc.chravaṇa.upaghātadā.rada.vaikṛtya.karāś.ca.saptame//(vaitālīya)	Bu-_23.11b/.niyamAc.-SravaNa-.upaGAta-dA.rada.-vEkRtya.kara-aS.ca.-saptame//(vEtAlIya)
   BJ_23.12a/.udayaty.uḍupe.sura.asyage.sa.piśāco.aśubhayos.tri.koṇayoḥ/	Bu-_23.12a/.udayati-.uxupe.-sura.asya-ge.-sa.piSAcaH-.aSuBa-yos.-tri.koNayoH/
   BJ_23.12b/.sa.upaplava.maṇḍale.ravāv.udayasthe.nayana.apavarjitaḥ//(vaitālīya)	Bu-_23.12b/.sa.upaplava.-maNxale.-ravO=-.udaya-sTe.nayana-.apavarjitaH//(vEtAlIya)
   BJ_23.13a/.saṃspṛṣṭaḥ.pavanena.mandaga.yute.dyūne.vilagne.gurau.sa.unmādo.avanije.sthite.asta.bhavane.jīve.vilagna.āśrite/	BJ_23.13a/.-saMspRzwaH.pavanena.-manda-ga.yute.dyUne.-vilagne.-gurO.-sa-.unmAdaH-.avanije.-sTite.aH-ta.Bavane.-jIve.-vilagna-.ASrite/
   BJ_23.13b/.tadvat.sūrya.suta.udaye.avani.sute.dharma.ātmaja.dyūnage.jāto.vāsa.sahasra.raśmi.tanaye.kṣīṇe.vyaye.śītagau//(śā.vi)	Bu-_23.13b/.-tad-vat.-sUrya.-suta-.udaye.ava-ni.sute.-Darma.Atma-ja.dyUna-ge.jAtaH-.vAsa.-sahasra.-raSmi-.tanaye.-kzINe.-vyaye.-SIta-gO//(SA.vi)
   BJ_23.14a/.rāśy.aṃśapa.uṣṇa.kara.śīta.kara.amarejyair.nīca.adhipa.aṃśa.gatair.ari.bhāgagair.vā/	Bu-_23.14a/.rASI-.aMSa-pa.uzNa-.kara.-SIta-.kara-.ama-rejyEH-.nIca-.aDipa-.aMSa.-gatEH-.ari.-BAga-gEH-.vA/
   BJ_23.14b/.ebhyo.alpa.madhya.bahubhiḥ.kramaśaḥ.prasūtā.jñeyāḥ.syur.abhyupagama.kraya.garbha.dāsaāḥ//(va.ti)	BJ_23.14b/.eByaH-.alpa.-maDya.-bahuBiH.kramaSaH.-prasUtA.-jQeyAH.syuH-.aByupagama.kraya.garBa.dAsaAH//(va.ti)
   BJ_23.15a/.vikṛta.daśanaḥ.pāpair.dṛṣṭe.vṛṣa.aja.haya.udaye.khalatir.aśubha.kṣetre.lagne.haye.vṛṣa.bhe.api.vā/	Bu-_23.15a/.vikRta.daSanaH.-pApEH-.dRzwe.-vRza.aja-.haya-.udaye.-Kala-tiH-.aSuBa.kzetre.-lagne.-haye.-vRza.-Be.api.vA/
   BJ_23.15b/.navama.sutage.pāpair.dṛṣṭe.ravāv.adṛḍha.īkṣaṇo.dina.kara.sute.na.eka.vyādhiḥ.kuje.vikalaḥ.pumān//(hariṇī)	BJ_23.15b/.navama.suta-ge.pApEH-.dRzwa-i.ravO=-.a-dRXa-.IkzaNaH-.dina.kara.-sute.na-.eka.-vyADiH-.kuje.-vikalaH.pumAn-//(hariNI)
   BJ_23.16a/.vyaya.suta.dhana.dharmagair.asaumyair.bhavana.sa.māna.nibandhanaṃ.vikalpyam/	BJ_23.16a/.-vyaya.-suta.-Dana.-Darma-gEr.a-sOmyEH-.Bavana.-sa.mAna.-nibanDanaM.vikalpyam/
   BJ_23.16b/.bhuja.gani.gaḍa.pāśabhṛd.dṛkāṇair.balavad.asaumya.nirīkṣitaiś.ca.tadvat//(puṣpitāgrā)	BJ_23.16b/.Buja.ga-ni.gaxa.-pASa-BRt-.dRkANEH-.balavat-.asOmya.-nirIkzita-ES.ca.-tad-vat//(-puzpita-agrA)
   BJ_23.17a/.puruṣa.vacano.apasmāra.ārtaḥ.kṣayī.ca.niśā.patau.sa.ravi.tanaye.vakra.ālokaṃ.gate.pariveṣage/	BJ_23.17a/.puruza-.vacanaH-.apasmAra-.ArtaH.-kzayI.-ca.-niSA.-patO.-sa.ravi.tanaye.-vakra.AlokaM.gate.-pariveza-ge/
   BJ_23.17b/.ravi.yama.kujaiḥ.saumya.adṛṣṭair.nabhaḥ.sthalam.āśritair.bhṛtaka.manujaḥ.pūrva.uddiṣṭair.vara.adhama.madhyamāḥ//(hariṇī)E23	BJ_23.17b/.ra-vi.yama.kujEH.-sOmya.adRzwEH-.naBaH.-sTa-lam.ASritEH-.BRtaka.manujaH.-pUrva-.-uddizwEH-.vara-.aDama.-maDyamAH//(hariNI)E23
   BJ_24.strījātaka	Bu-_24.-strI-jAtaka
   BJ_24.01a/.yad.yat.phalaṃ.nara.bhave.kṣamam.aṅganānāṃ.tat.tad.vadet.patiṣu.vā.sakalaṃ.vidheyam/	Bu-_24.01a/.yat-.yat.-PalaM.nara.Bave.-kzamam-.aFganAnAM.tat.-tad-.vadet.patizu.-vA.sakalaM.viDeyam/
   BJ_24.01b/.tāsāṃ.tu.bhartṛ.maraṇaṃ.nidhane.vapus.tu.lagna.indugaṃ.subhagatā.astamaye.patiś.ca//(va.ti)	BJ_24.01b/.tA-sAM.tu.-BartR-.maraNan.niDane.vapu-s.tu.-lagna-.indu-gan.suBagatA.astamaye.patiH-.ca//(va.ti)
   BJ_24.02a/.yugmeṣu.lagna.śaśinoḥ.prakṛti.sthitā.strī.sac.chīla.bhūṣaṇa.yutā.śubha.dṛṣṭayoś.ca/	Bu-_24.02a/.yugma-izu-.lagna.-SaSinoH.prakRti.sTitA.-strI.-sac.-SIla.-BUzaNa-.yutA.SuBa.dRzwayoS.ca/
   BJ_24.02b/.ojasthayoś.ca.manuja.ākṛti.śīla.yuktā.pāpā.ca.pāpa.yuta.īkṣitayor.guṇa.ūnā//(va.ti)	Bu-_24.02b/.oja-sTayA-uS.ca.-manuja.A-AkRti.-SIla.-yuktA.-pApA.-ca.pApa-.yuta-.IkzitayoH-.guNa.UnA//(va.ti)
   BJ_24.03a/.kanyā.eva.duṣṭā.vrajati.iha.dāsyaṃ.sādhvī.sa.māyā.kucaritra.yuktā/	Bu-_24.03a/.kanyA-.eva.-duzwA.-vrajati-.iha.dAsyaM.sADvI.-sa.mAyA.kucaritra.-yuktA/
   BJ_24.03b/.bhūmy.ātmaja.ṛkṣe.kramaśo.aṃśakeṣu.vakra.arki.jīva.induja.bhārgavānam//(indravajrā)	BJ_24.03b/.BUmy.Atmaja-.Rkze.krama-So.aMSaka-izu.-vakra.arki.-jIva-.indu-ja.-BArgavAn-am//(indra-vajrA)
   BJ_24.04a/.duṣṭā.punarbhūḥ.sa.guṇā.kalājñā.khyātā.guṇaiś.ca.asura.pūjita.ṛkṣe/	Bu-_24.04a/.duzwA.-punar-BUH.sa.-guNA.kalA-jQA.-KyAtA.-guNa-ES.ca.a-sura.-pUjita-.Rkze/
   BJ_24.04b/.syāt.kāpaṭī.klība.samā.satī.ca.baudhe.guṇa.āḍhyā.pravikīrṇakāmā//(indravajrā)	BJ_24.04b/.sya-at.kA-pawI.-klIba.-samA.satI.-ca.-bODe.-guNa.AXyA.-pravikIrNa-kAma-a//(indra-vajrA)
   BJ_24.05a/.sva.cchandā.pati.ghātinī.bahu.guṇā.śilpiny.asādhvī.indu.bhe/nrācārā.kulaṭa.arka.bhe.nṛpa.vadhūḥ.puṃś.ceṣṭita.āgamyagā/	BJ_24.05a/.sva.=-CandA.pati.GAtinI.-bahu.guNA.-SilpinI-.asADvI-.indu.Be/nH-AcArA.-kulawa.arka.Be.-nRpa.vaDUH.puMS.-cezwita-.Agamya-gA/
   BJ_24.05b/.jaivena.ekaguṇa.alpa.raty.atiguṇā.vijñāna.yuktā.satī/dāsī.nīca.rata.arki.bhe.pati.ratā.duṣṭā.prajā.sva.aṃśakaiḥ//(śā.vi)	BJ_24.05b/.jA-evena.eka-guNa-.alpa-.rati-.ati-guNA.-vijQAna-.-yuktA.-satI/dAsI.-nIca-.rata-.arki.Be.pati.ratA.-duzwA.-prajA.-sva.aMSakEH//(SA.vi
   BJ_24.06a/.śaśi.lagna.samāyuktaiḥ.phalaṃ.triṃśa.aṃśakair.idam/	Bu-_24.06a/.Sa-Si.-lagna.-samAyuktEH.PalaM.triMSa.aMSakEH-.idam/
   BJ_24.06b/.bala.abala.vikalpena.tayor.uktaṃ.vicintayet//(anuṣṭubh)	BJ_24.06b/.bala.a-bala.-vikalpena.tayoH-.uktaM.vicintayet//(anuzwuB)
   BJ_24.07a/.dṛk.saṃstha.avasita.sitau.paraspara.aṃśe.śaukre.vā.yadi.ghaṭa.rāśi.saṃbhavo.aṃśaḥ/	Bu-_24.07a/.dRk.-saMsTa-.ava-sita.sitO.paraspara-.aMSe.-SOkre.-vA.ya-di.Gawa.rASi.-saMBavaH-.aMSaH/
   BJ_24.07b/.strībhiḥ.strī.madana.viṣa.anala.pradīptaṃ.saṃśāntiṃ.nayati.nara.ākṛti.sthitābhiḥ//(praharṣiṇī)	BJ_24.07b/.-strIBiH.-strI.-madana.-viza-.anala.-pradIptaM.saMSAntiM.nayati.nara.A-AkRti.-sTitABiH//(-praharziNI)
   BJ_24.08a/.śūnye.kāpuruṣo.bale.asta.bhavane.saumya.grahāv.īkṣite.klīvo.aste.budha.mandayoś.cara.gṛhe.nityaṃ.pravāsa.anvitaḥ/	Bu-_24.08a/.SUnye.kA-puruzaH-.bale.aH-ta.Bavane.-sOmya.grahO=-.Ikzite.-klIvo.aH-te.buDa.mandayoH-.cara.-gRhe.nityaM.pravAsa-.anvitaH/
   BJ_24.08b/.utsṛṣṭā.raviṇā.kujena.vidhavā.vālye.asta.rāśi.sthite.kanyā.eva.aśubha.vīkṣite.arka.tanaye.dyūne.jarāṃ.gacchati//(śā.vi)	BJ_24.08b/.utsRzwA-.raviNA.-kujena.viDa-vA.vAlye.aH-ta.rASi.-sTite.kanyA-.eva-.aSuBa.vIkzite.arka-.-tanaye.dyUne.-jarAM.gacCati-//(SA.vi)
   BJ_24.09a/.āgneyair.vidhavā.asta.rāśi.sahitair.miśraiḥ.punarbhūr.bhavet/krūre.hīna.bale.astage.sva.patinā.saumya.īkṣite.projjhitā/	BJ_24.09a/.AgneyEH-.viDa-vA.aH-ta.rASi.-sahitEH-.miSrEH.punarBUr.Bavet/krUre.-hIna.-bale.astage.-sva.patinA.-sOmya-.Ikzite.-projJitA/
   BJ_24.09b/.anyonya.aṃśagayoḥ.sita.avanijayor.anya.prasakta.aṅganā/dyūne.vā.yadi.śīta.raśmi.sahitau.bhartus.tadā.anujñayā//(śā.vi)	Bu-_24.09b/.anyonya-.aMSa-gayoH.sita-.avanijayoH-.anya.-prasakta-.aFga-nA/dyUne.-vA.ya-di.SIta.raSmi.-sahitO.Bartu-s.tadA.-anujQayA-a//(SA.vi)
   BJ_24.10a/.saura.āra.ṛkṣe.lagnage.sa.indu.śukre.matrā.sārddhaṃ.bandhakī.pāpa.dṛṣṭe/	BJ_24.10a/.-sOra.Ara-.Rkze.-lagna-ge.sa-.indu.-Sukre.matra-a.sa-ArdDaM.banDakI.-pApa.dRzwe/
   BJ_24.10b/.kauje.asta.aṃśe.sauriṇā.vyādhi.yoniś.cāru.śroṇī.vallabhā.sad.graha.aṃśe//(śālinī)	BJ_24.10b/.kOje.aH-ta.aMSe.-sOriNA.-vyADi.yoni-S.cAru.-SroNI.-vallaBA.sat-.graha-.aMSe//(-SAlinI)
   BJ_24.11a/.vṛddho.mūrkhaḥ.sūryaja.ṛkṣe.aṃśake.vā.strī.lolaḥ.syāt.krodhanaś.ca.avaneye/	Bu-_24.11a/.vRdDaH-.mUrKaH.sUrya-ja-.Rkze.aMSake.vA.-strI.-lolaH.syAt.kroDana-S.ca.avaneye/
   BJ_24.11b/.śaukre.kānto.atīva.saubhāgya.yukto.vidvān.bhartā.naipuṇa.jñaś.ca.baudhe//(mālinī)	BJ_24.11b/.SOkre.-kAntaH-.atI-va.-sOBAgya.-yuktaH-.-vidvAn-.BartA.-nEpuNa.-jQa-S.ca.-bODe//(-mAlinI)
   BJ_24.12a/.madana.vaśa.gato.mṛduś.ca.cāndre.tri.daśa.gurau.guṇavān.jita.indriyaś.ca/	BJ_24.12a/.-madana-.vaSa.-gato.-mRduS.ca.-cAndre.-tri.daSa.-gurO.-guNavAn-.jita.indriya-S.ca/
   BJ_24.12b/.atimṛdu.rati.karma.kṛc.ca.saurye.bhavati.gṛhe.astamaya.sthite.aṃśake.vā//(puṣpitāgrā)	BJ_24.12b/.ati-mRdu.-rati.karma.kRc.ca.-sOrye.-Bavati.gRhe.astam-aya.-sTite.aMSake.-vA//(-puzpita-agrA)
   BJ_24.13a/.īrṣya.anvitā.sukha.parā.śaśi.śukra.lagne.jña.indvoḥ.kalāsu.nipuṇā.sukhitā.guṇa.āḍhyā/	Bu-_24.13a/.Irzya-.anvitA.-suKa.parA.-SaSi.-Sukra-.-lagne.-jQa.indvoH.kalA-asu.-nipuNA.-suKitA.-guNa.AXyA/
   BJ_24.13b/.śukra.jñayos.tu.rucirā.subhagā.kalājñā.triṣv.apy.aneka.vasu.saukhya.guṇā.śubheṣu//(va.ti)	Bu-_24.13b/.-Sukra.jQayos.tu.-rucirA.-suBagA.kalA-jQA.-trizu-.api-.aneka-.vasu.-sOKya.-guNA.-SuBezu//(va.ti)
   BJ_24.14a/.krūre.aṣṭame.vidhavatā.nidhana.īśvaro.aṃśe.yasya.sthito.vayasi.tasya.same.pradiṣṭā/	Bu-_24.14a/.krUre.azwame.viDavatA.-niDana-.ISvaraH-.aMSe.yasya.-sTitaH-.vaya-si.tasya.-same.-pradizwA/
   BJ_24.14b/.sat.svarthageṣu.maraṇaṃ.svayam.eva.tasyāḥ.kanyā.aligo.hariṣu.ca.alpa.sutatvam.indau//(va.ti)	BJ_24.14b/.sat.svarTa-gezu.-maraNan.svayam-.eva.tasyAH.kanyA.ali-go.harizu.-ca.alpa.-suta-tvam-.indO//(va.ti)
   BJ_24.15a/.saure.madhya.bale.balena.rahitaiḥ.śīta.aṃśu.śukra.indujaiḥ/śeṣair.vīrya.samanvitaiḥ.paruṣiṇī.yady.oja.rāśy.udgamaḥ/	Bu-_24.15a/.-sOre.-maDya.bale.-balena.-rahitEH.SIta-.aMSu.-Sukra-.indu-jEH/SezEH-.vIrya.-samanvitEH.paruziNI.yat-i-.oja.-rASi-.-udgamaH/
   BJ_24.15b/.jīva.āra.sphuji.daindaveṣu.baliṣu.prāg.lagna.rāśau.same/vikhyātā.bhuvi.na.eka.śāstra.nipuṇā.strī.brahma.vādiny.api//(śā.vi)	BJ_24.15b/.jIva-.Ara.-sPuji.-t-Endava-izu.-balizu.-prAc-.lagna-.-rASO.-same/-viKyAtA.-Buvi.na-.eka.-SAstra.-nipuNA.-strI.-brahma-.vAdinI-.api//(SA.v
   BJ_24.16a/.pāpe.aste.navama.gata.grahasya.tulyāṃ.pravrajyāṃ.yuvatir.upaity.asaṃśayena/	Bu-_24.16a/.pApe.aH-te.navama.-gata-.grahasya.-tulyAM.pravrajyAM.yuvatiH-.upEti-.asaMSayena/
   BJ_24.16b/.udvāhe.varaṇa.vidhau.pradāna.kāle.cintāyām.api.sakalaṃ.vidheyam.etat.(praharṣiṇī)E24	BJ_24.16b/.udvAhe.varaNa.-viDO.-pradAna-.kAle.cintAyAm-.api.sakalaM.viDeyam-.etat.(-praharziNI)E24
   BJ_25.nairyāṇika	BJ_25.nEryANika
   BJ_25.01a/.mṛtyur.mṛtyu.gṛha.īkṣaṇena.balibhis.tad.dhātu.kopa.udbhavas.tat.saṃyukta.bha.gātrajo.bahu.bhavo.vīrya.anvitair.bhūribhiḥ/	BJ_25.01a/.-mRtyuH-.mRtyu.-gRha-.IkzaNena.baliBi-s.tad.-DAtu.kopa-.udBava-s.tat.-saMyukta.-Ba.gAt-ra-jo.-bahu.-BavaH-.vIrya-.anvitEH-.BUriBiH/
   BJ_25.01b/.agny.aṃbv.āyudhajo.jvara.āmaya.kṛtas.tṛṭ.kṣut.kṛtaś.ca.aṣṭame.sūrya.ādyair.nidhane.cara.ādiṣu.para.sva.adhva.pradeśeṣv.iti//(śā.vi)	BJ_25.01b/.agni-.aMbv.a-AyuDa-jo.-jvara-.Amaya.kRta-s.tRw.-kzut.-kRta-S.ca-.azwa-me.-sUrya-.AdyEH-.niDane.cara.Adizu.-para.sva.aDva.-pradeSezu-.i
   BJ_25.02a/.śaila.agra.abhihatasya.sūrya.kujayor.mṛtyuḥ.kha.bandhusthayoḥ.kūpe.manda.śaśa.aṅka.bhūmi.tanayair.bandhv.asta.karma.sthitaiḥ/	Bu-_25.02a/.-SEla.agra-.aBihatasya.-sUrya.kujayoH-.mRtyuH.Ka.-banDu-sTayoH.kUpe.-manda.SaSa.aFka.BUmi.-tanayEH-.banDv.aH-ta.-karma.-sTitEH/
   BJ_25.02b/.kanyāyāṃ.sva.janād.dhima.uṣṇa.karayoḥ.pāpa.grahair.dṛṣṭayoḥ.syātāṃ.yady.ubhaya.udaye.arka.śaśinau.toye.tadā.majjitaḥ//(śā.vi)	BJ_25.02b/.ka-nyAyAM.su-a.jana-ad.Dima.uzNa-.karayoH.pApa-.grahEH-.dRzwayoH.syAtAM.yat-y.u-Baya-.udaye.arka.SaSi-nO.-toye.-tadA-a.majjitaH//(S
   BJ_25.03a/.mande.karkaṭage.jala.udara.kṛto.mṛtyur.mṛga.aṅke.mṛge.śastra.agni.prabhavaḥ.śaśiny.aśubhayor.madhye.kuja.ṛkṣe.sthite/	Bu-_25.03a/.mande.karkawa-ge.jala-.udara.kRto.-mRtyuH-.mRga-.aFke.mRge.Sastra-.agni.-praBavaH.SaSini-.a-SuBayoH-.-maDye.-kuja-.Rkze.-sTite/
   BJ_25.03b/.kanyāyāṃ.rudhira.uttha.śoṣa.janitas.tadvat.sthite.śītagau.saura.ṛkṣe.yadi.tadvad.eva.himagau.rajjv.agni.pātaiḥ.kṛtaḥ//(śā.vi)	BJ_25.03b/.ka-nyAyAn.ruDira-.utTa.-Soza.-janita-s.tadvat.-sTite.-SIta-gO.-sOra-.Rkze.yadi.ta-dvat-.eva.-hima-gO.rajjv.agni.pAtEH-.kRtaH//(SA.v
   BJ_25.04a/.bandhād.dhī.navamas.tayor.aśubhayoḥ.saumya.grahād.dṛṣṭayor.dreṣkāṇaiś.ca.sa.pāśa.sarpa.nigaḍaiś.chidra.sthitair.bandhataḥ/	BJ_25.04a/.banDAt-.DI.navama-s.tayoH-.aSuBayoH.-sOmya.grahAt-.dRzwayoH-.drezkANa-ES.ca.-sa.pa-aSa.-sarpa.-nigaxa-ES.-Cidra.-sTitEH-.banDataH/
   BJ_25.04b/.kanyāyām.aśubha.anvite.astamayage.candre.site.meṣage.sūrye.lagna.gate.ca.viddhi.maraṇaṃ.strī.hetukaṃ.mandire//(śā.vi)	BJ_25.04b/.ka-nyA-AyAm.aSuBa-.anvite.astamaya-ge.candre.-site.meza-ge.-sUrye.-lagna.-gate.-ca.-vid-Di.-maraNaM.strI.-hetu-kaM.mandire//(SA.vi)
   BJ_25.05a/.śūla.udbhinna.tanuḥ.sukhe.avani.sute.sūrye.api.vā.khe.yame/sa.prakṣīṇa.hima.aṃśubhiś.ca.yugapat.pāpais.tri.koṇa.ādyagaiḥ//	BJ_25.05a/.-SUla-.udBinna.-tanuH-.-suKe.ava-ni.sute.-sUrye.api.vA.Ke.ya-me/-sa.-prakzINa.-hima-.aMSuBi-S.ca.-yugapat.pa-apEs.tri.koNa-.Adya-gEH//
   BJ_25.05b/.bandhusthe.ca.ravau.viyaty.avanije.kṣīṇa.indu.saṃvīkṣite/kāṣṭhena.abhihataḥ.prayāti.maraṇaṃ.sūrya.ātmajena.īkṣite//(śā.vi)	BJ_25.05b/.banDu-sTet-ca.ravO.-viyati-.avanije.-kzINa-.indu.-saMvIkzite/-kAzWena.aBihataH.-prayAti.maraNaM.sUrya-.Atmajena-.Ikzite//(SA.vi
   BJ_25.06a/.randhra.āspada.aṅga.hibukair.laguḍa.āhata.aṅgaḥ.prakṣīṇa.candra.rudhira.arki.dina.īśa.yuktaiḥ/	BJ_25.06a/.ranDra.Aspada-.aFga.hibukEH-.laguxa.Ahata-.aFgaH.-prakzINa.-candra.-ruDira-.arki.dina-.ISa.-yuktEH/
   BJ_25.06b/.tair.eva.karma.navama.udaya.putra.saṃsthair.dhūma.agni.bandhana.śarīra.nikuṭṭana.antaḥ//(va.ti)	BJ_25.06b/.tEH-.eva.-karma.navama.-udaya.putra.-saMsTEH-.DUma-.agni.banDana.-SarIra.nikuwwa-na.antaH//(va.ti)
   BJ_25.07a/.bandhv.asta.karma.sahitaiḥ.kuja.sūrya.mandair.niryāṇam.āyudha.śikhi.kṣiti.pāla.kopāt/	BJ_25.07a/.banDv.aH-ta.-karma.-sahitEH.ku-ja.-sUrya.mandEH-.niryANam.a-AyuDa.-SiKi-.kziti.pAla.kopAt/
   BJ_25.07b/.saura.indu.bhūmi.tanayaiḥ.sva.sukha.āspadasthair.jñeyaḥ.kṣata.kṛmi.kṛtaś.ca.śarīra.ghātaḥ//(va.ti)	BJ_25.07b/.-sOra-.indu.-BUmi.-tanayEH.sva.-suKa.a-Aspada-sTEH-.jQeyaH-.kzata.-kRmi.kRta-S.ca.-SarIra-.GAtaH//(va.ti)
   BJ_25.08a/.khasthe.arke.avanije.rasātala.gate.yāna.prapātad.vadho/yantra.utpīḍanajaḥ.kuje.astamayage.saura.indunā.abhyudgame/	BJ_25.08a/.Ka-sTe.arke.avanije.-rasAtala.-gate.yAna.-prapAta-d.vaDa-u/yantra.utpIxana-jaH.kuje.astam-aya-ge.-sOra.indunA.aByudgame/
   BJ_25.08b/.viṇ.madhye.rudhira.arki.śīta.kiraṇair.jūka.aja.saura.ṛkṣagair.yāte.vā.galita.indu.sūrya.rudhirair.vyoma.asta.bandhv.āhvayān//(śā.vi)	BJ_25.08b/.viN.-maDye.ruDira-.arki.-SIta.-kiraNEH-.jUka-.aja.-sOra-.Rkza-gEH-.yAte.vA.galita-.indu.-sUrya.-ruDirEH-.vyoma.aH-ta.banDv.-AhvayAn/
   BJ_25.09a/.vīrya.anvita.vakra.vīkṣite.kṣīṇa.indau.nidhana.sthite.arkaje/	BJ_25.09a/.vIrya-.anvita-.vakra.-vIkzite.-kzINa-.indO.-niDana.-sTite.arka-je/
   BJ_25.09b/.guhya.udbhava.roga.pīḍayā.mṛtyuḥ.syāt.kṛmi.śastra.dāhajaḥ//(vaitālīya)	BJ_25.09b/.guhi-a.udBava.-roga-.-pIxayA.-mRtyuH-.syAt.-kRmi.-Sastra.dAha-jaH-//(vEtAlIya)
   BJ_25.10a/.aste.ravau.sa.rudhire.nidhane.arka.putre.kṣīṇe.rasātala.gate.himagau.khaga.antaḥ/	Bu-_25.10a/.aH-te.ravO.-sa.ruDire.-niDane.arka.-putre.-kzINe.rasAtala.-gate.-hima-gO.Ka-ga.antaH/
   BJ_25.10b/.lagna.ātmaja.aṣṭama.tapaḥsv.ina.bhauma.manda.candrais.tu.śaila.śikhara.aśani.kuḍya.pātaiḥ//(va.ti)	BJ_25.10b/.lagna.Atmaja.azwama.-tapaH-sv.ina.BOma.manda.-candra-es.tu.-SEla.-SiKara-.aSani.-kuxya.pAtEH//(va.ti)
   BJ_25.11a/.dvāviṃśaḥ.kathitas.tu.kāraṇaṃ.dreṣkāṇo.nidhanasya.sūribhiḥ/	BJ_25.11a/.dvAviMSaH.-kaTita-s.tu.kAraNaM.dra-IzkANaH-.niDanasya.-sUriBiH/
   BJ_25.11b/.tasya.adhipatir.bhavo.api.vā.niryāṇaṃ.sva.guṇaiḥ.prayacchati//(vaitālīya)	BJ_25.11b/.tasya-.aDipatiH-.BavaH-.api-.vA.-niryANaM.sva.-guNEH.prayacCati-//(vEtAlIya)
   BJ_25.12a/.horā.nava.aṃśakapa.yukta.sa.māna.bhūmau.yoga.īkṣaṇa.ādibhir.ataḥ.parikalpyam.etat/	BJ_25.12a/.ha-urA.nava-.aMSaka-pa.yukta.-sa.mAna.BUmO.-yoga-.IkzaNa-.AdiBiH-.atas-.-parikalpyam.etat/
