   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   lepitā sā ca mūṣikā YRps_10.15b	lepitA sA ca mUzikA YRpH-_10.15b
   lepo'pi naiva jāyeta YRps_4.64c	lepaH-api na-eva jAyeta YRpH-_4.64c
   lehayet vyoṣasaṃyutaṃ YRps_5.98d	lehayet vyoza-saMyutam YRpH-_5.98d
   lehayenmadhusaṃyuktam YRps_4.44a	lehayet-maDu-saMyuktam YRpH-_4.44a
   lehaṃ sujātaṃ khalu bhakṣayettat YRps_12.13c	leham su-jAtam Kalu Bakzayet-tat YRpH-_12.13c
   lehitaṃ vallamātraṃ hi YRps_4.50a	lehitam valla-mAtram hi YRpH-_4.50a
   lehe suśīte madhu bilvamātraṃ YRps_12.11a	lehe su-SIte maDu bilva-mAtram YRpH-_12.11a
   loke kīrtiparaṃparāṃ vitanute dharme matirjāyate YRps_3.65c	loke kIrti-paraMparAm vitanute Darme matiH-jAyate YRpH-_3.65c
   lohakāṃsyārkarītibhyo YRps_4.114a	loha-kAMsya-arka-rItiByaH YRpH-_4.114a
   lohakṛt dehakṛnna hi YRps_1.103b	loha-kRt deha-kRt-na hi YRpH-_1.103b
   lohakharparakeṇa vai YRps_5.31b	loha-KarparakeNa vE YRpH-_5.31b
   lohacūrṇasamaṃ gaṃdhaṃ YRps_4.75c	loha-cUrNa-samam gaMDam YRpH-_4.75c
   lohacūrṇaṃ ghṛtāktaṃ hi YRps_4.68a	loha-cUrNam GRta-aktam hi YRpH-_4.68a
   lohacūrṇaṃ paladvaṃdvaṃ YRps_4.71c	loha-cUrNam pala-dvaMdvam YRpH-_4.71c
   lohacūrṇaṃ palamitaṃ YRps_11.69a	loha-cUrNam pala-mitam YRpH-_11.69a
   lohadaṇḍena gharṣitam YRps_5.83b	loha-daNxena Garzitam YRpH-_5.83b
   lohadrāvaṇakaṃ proktaṃ YRps_6.68c	loha-drAvaNakam proktam YRpH-_6.68c
   lohaparpaṭīkābaddhaṃ YRps_4.17a	loha-parpawIkA-badDam YRpH-_4.17a
   lohapātrasthitaṃ rātrau YRps_5.131a	loha-pAtra-sTitam rAtrO YRpH-_5.131a
   lohapātrasya yatnataḥ YRps_2.86d	loha-pAtrasya yatnataH YRpH-_2.86d
   lohapātre drute nāge YRps_4.99c	loha-pAtre drute nAge YRpH-_4.99c
   lohapātre pramardayet YRps_11.22d	loha-pAtre pramardayet YRpH-_11.22d
   lohapātre suvistīrṇe YRps_2.85a	loha-pAtre su-vistIrNe YRpH-_2.85a
   lohapātre susaṃdagdhaṃ YRps_5.83a	loha-pAtre su-saMdagDam YRpH-_5.83a
   lohamārdavakārakam YRps_6.26d	loha-mArdava-kArakam YRpH-_6.26d
   lohaśeṣaṃ samuttārya YRps_11.72a	loha-Sezam samuttArya YRpH-_11.72a
   lohasaṃdaṃśake kṛtvā YRps_5.126c	loha-saMdaMSake kRtvA YRpH-_5.126c
   lohasaṃpuṭake paścān YRps_2.40a	loha-saMpuwake paScAn YRpH-_2.40a
   lohasaṃpuṭamadhye tu YRps_1.81c	loha-saMpuwa-maDye tu YRpH-_1.81c
   lohasaṃpuṭamūṣāyām YRps_2.47c	loha-saMpuwa-mUzAyAm YRpH-_2.47c
   lohasiddhipradāyakāḥ YRps_9.39d	loha-sidDi-pradAyakAH YRpH-_9.39d
   lohasya vedhaṃ prakaroti samyak YRps_7.63c	lohasya veDam prakaroti samyak YRpH-_7.63c
   lohaṃ ca rasakaṃ paścād YRps_11.71c	loham ca rasakam paScAt YRpH-_11.71c
   lohaṃ cumbati cādbhutam YRps_4.61b	loham cumbati ca-adButam YRpH-_4.61b
   lohaṃ bhavedvai trividhaṃ krameṇa YRps_4.57d	loham Bavet-vE triviDam krameNa YRpH-_4.57d
   lohaṃ rasanibhaṃ bhavet YRps_11.70d	loham rasa-niBam Bavet YRpH-_11.70d
   lohānyevaṃ bhavanti hi YRps_4.3f	lohAni-evam Bavanti hi YRpH-_4.3f
   vaktrastho nidhanaṃ hanyād YRps_2.43a	vaktra-sTaH niDanam hanyAt YRpH-_2.43a
   vaktraṃ bhoktuṃ prajāyate YRps_1.72d	vaktram Boktum prajAyate YRpH-_1.72d
   vaktre dhṛtaṃ jarāmṛtyuṃ YRps_2.106c	vaktre DRtam jarA-mRtyum YRpH-_2.106c
   vakraṃ kṛṣṇaṃ cippaṭaṃ bhārahīnam YRps_7.15b	vakram kRzNam cippawam BAra-hInam YRpH-_7.15b
   vakṣyate cādhunā mayā YRps_4.84b	vakzyate ca-aDunA mayA YRpH-_4.84b
   vakṣye tatra mayādhunā YRps_1.37d	vakzye tatra mayA-aDunA YRpH-_1.37d
   vaṅgam uttārayetsamyak YRps_2.92c	vaFgam uttArayet-samyak YRpH-_2.92c
   vaṅgāttatkṛtrimaṃ matam YRps_4.23b	vaFgAt-tat-kRtrimam matam YRpH-_4.23b
   vaṅgābhaṃ tu prajāyate YRps_11.130d	vaFga-ABam tu prajAyate YRpH-_11.130d
   vajradrāvaṇahetave YRps_10.20d	vajra-drAvaNa-hetave YRpH-_10.20d
   vajradrutisamāyogāt YRps_2.64a	vajra-druti-samAyogAt YRpH-_2.64a
   vajrabaṃdhaṃ dvitīyaṃ tu YRps_2.35a	vajra-baMDam dvitIyam tu YRpH-_2.35a
   vajrabhasma kila bhāgatriṃśakaṃ YRps_7.38a	vajra-Basma kila BAga-triMSakam YRpH-_7.38a
   vajrabhasma tathā sūtaṃ YRps_2.44a	vajra-Basma taTA sUtam YRpH-_2.44a
   vajramūṣāgataṃ golaṃ YRps_2.47a	vajramUzA-gatam golam YRpH-_2.47a
   vajramūṣā tataḥ kāryā YRps_2.19a	vajramUzA tatas kAryA YRpH-_2.19a
   vajramūṣeti kathitā YRps_10.20c	vajramUzA-iti kaTitAH YRpH-_10.20c
   vajramūṣe nirundhayet YRps_11.43d	vajramUze nirunDayet YRpH-_11.43d
   vajramevottamaṃ sadā YRps_5.6b	vajram-eva-uttamam sadA YRpH-_5.6b
   vajravad guṇakārī ca YRps_5.63c	vajra-vat guNa-kArI ca YRpH-_5.63c
   vajravarjyamapi cāṣṭabhiḥ puṭai YRps_7.57c	vajra-varjyam-api ca-azwaBiH puwEH YRpH-_7.57c
   vajravallīrasena hi YRps_1.97d	vajravallI-rasena hi YRpH-_1.97d
   vajravallyātha marditaḥ YRps_11.5b	vajravallya-aTa marditaH YRpH-_11.5b
   vajrasatvaṃ tathā sūtaṃ YRps_2.36a	vajra-satvam taTA sUtam YRpH-_2.36a
   vajrasya bhūtiṃ ca samānahemnā YRps_7.36b	vajrasya BUtim ca samAna-hemnA YRpH-_7.36b
   vajrasya bhūtiḥ kila poṭalīkṛtā YRps_7.37c	vajrasya BUtiH kila powalI-kRtA YRpH-_7.37c
   vajraṃ caturvāraviśoṣitaṃ ca YRps_7.28b	vajram catur-vAra-viSozitam ca YRpH-_7.28b
   vajraṃ caivaṃ bhasmasādvīryayuktaṃ YRps_7.34e	vajram ca-evam BasmasAt-vIrya-yuktam YRpH-_7.34e
   vajraṃ nīlaṃ ca gomedaṃ YRps_7.1c	vajram nIlam ca gomedam YRpH-_7.1c
   vajraṃ pinākaṃ nāgaṃ ca YRps_5.5a	vajram pinAkam nAgam ca YRpH-_5.5a
   vajraṃ yāti svairavahnipradānāt YRps_7.34a	vajram yAti svEra-vahni-pradAnAt YRpH-_7.34a
   vajraṃ viśudhyeddhi viniścitena YRps_7.27d	vajram viSuDyet-hi viniScitena YRpH-_7.27d
   vajrāṅgī ciravallyapi YRps_9.6b	vajrAFgI ciravallI-api YRpH-_9.6b
   vajrāṇāṃ brahmajātīnāṃ YRps_2.59a	vajrANAm brahma-jAtInAm YRpH-_2.59a
   vajrāṇi sarvāṇi mṛtībhavanti tadbhasmakaṃ vāritaraṃ bhavecca YRps_7.31/a	vajrANi sarvANi mRtIBavanti tat-Basmakam vAritaram Bavet-ca YRpH-_7.31/a
   vajrābhaṃ kurute vapuḥ YRps_5.7d	vajra-ABam kurute vapuH YRpH-_5.7d
   vajrābhraṃ dhamyamāne'gnau YRps_5.7a	vajrABram DamyamAne-agnO YRpH-_5.7a
   vajribhānupayasā subhāvitaṃ YRps_11.88c	vajriBAnu-payasA su-BAvitam YRpH-_11.88c
   vajrīkṣīreṇa tatsvedyaṃ YRps_11.110c	vajrI-kzIreNa tat-svedyam YRpH-_11.110c
   vajrīdugdhakahiṅguhiṅgulasamair ekatra piṣṭīkṛtaiḥ YRps_4.17b	vajrI-dugDaka-hiFgu-hiFgula-samEH ekatra pizwIkRtEH YRpH-_4.17b
   vaṭakān kārayet paścāt YRps_12.4c	vawakAn kArayet paScAt YRpH-_12.4c
   vaṭakānkārayetpunaḥ YRps_5.41d	vawakAn-kArayet-punar YRpH-_5.41d
   vaṭamūlatvacā tathā YRps_5.23b	vawa-mUla-tvacA taTA YRpH-_5.23b
   vaṭavṛkṣasya mūlena YRps_5.24a	vawa-vRkzasya mUlena YRpH-_5.24a
   vaṭīṃ mudgapramāṇakām YRps_13.12b	vawIm mudga-pramANakAm YRpH-_13.12b
   vatsanāgodbhavena ca YRps_2.82b	vatsa-nAga-udBavena ca YRpH-_2.82b
   vadanakuṃjaram abhradaladyutiṃ YRps_1.3a	vadana-kuMjaram aBra-dala-dyutim YRpH-_1.3a
   vadanti kaṃkuṣṭhamathāpare hi sadyaḥ prasūtasya ca dantinaḥ śakṛt	vadanti kaMkuzWam-aTa-apare hi sadyas prasUtasya ca dantinaH SakRt-
   YRps_6.54/a	YRpH-_6.54/a
   vanakuṣmāṇḍavallikā YRps_9.18d	vana-kuzmANxavallikA YRpH-_9.18d
   vanamālī ca vārāhī YRps_9.15a	vanamAlI ca vArAhI YRpH-_9.15a
   vanotpalasahasreṇa YRps_10.44c	vanotpala-sahasreNa YRpH-_10.44c
   vapustenātha lepitam YRps_6.41b	vapuH-tena-aTa lepitam YRpH-_6.41b
   vayaḥ stambhayate dhruvam YRps_2.107b	vayaH stamBayate Druvam YRpH-_2.107b
   varākaṣāyairmatimān YRps_5.33a	varA-kazAyEH-matimAn YRpH-_5.33a
   varākvāthe tathā dugdhe YRps_5.15c	varA-kvATe taTA dugDe YRpH-_5.15c
   varākvāthena saṃyutam YRps_5.130d	varA-kvATena saMyutam YRpH-_5.130d
   varāviḍaṅgasaṃyuktaṃ YRps_6.65c	varA-vixaFga-saMyuktam YRpH-_6.65c
   varā śatāvarī cailā YRps_9.25a	varA SatAvarI ca-elAH YRpH-_9.25a
   varodakaiḥ puṭellohaṃ YRps_4.69c	vara-udakEH puwet-loham YRpH-_4.69c
   varjanīyāni nityaśaḥ YRps_5.6f	varjanIyAni nityaSas YRpH-_5.6f
   varṇamūṣeti kathyate YRps_10.15d	varNamUzA-iti kaTyate YRpH-_10.15d
   varṇena sā ratnanibhā ca kāntyā YRps_7.63a	varNena sA ratna-niBA ca kAntyA YRpH-_7.63a
   varṇe'pyevaṃ yasya varṇasya vajraṃ YRps_7.26a	varNe-api-evam yasya varNasya vajram YRpH-_7.26a
   varṇotkarṣe prayoktavyā YRps_10.15c	varNa-utkarze prayoktavyAH YRpH-_10.15c
   varṇotkarṣo jāyate tena samyak YRps_11.32e	varNa-utkarzaH jAyate tena samyak YRpH-_11.32e
   varṇyaṃ vātavināśanaṃ kṛmiharaṃ dārvyudbhavaṃ śobhanam YRps_6.24b	varNyam vAta-vinASanam kRmi-haram dArvI-udBavam SoBanam YRpH-_6.24b
   vartiṃ vidhāya matimān YRps_11.139c	vartim viDAya matimAn YRpH-_11.139c
   vartiṃ sūtreṇa veṣṭayet YRps_6.47b	vartim sUtreNa vezwayet YRpH-_6.47b
   vartulāṣṭāṃgulocchrayā YRps_10.29b	vartula-azwa-aMgula-ucCrayA YRpH-_10.29b
   vardhano rasavīryasya YRps_6.84c	varDanaH rasa-vIryasya YRpH-_6.84c
   vardhante nātra saṃśayaḥ YRps_11.50f	varDante na-atra saMSayaH YRpH-_11.50f
   varṣamātraṃ dhṛto vaktre YRps_2.21c	varza-mAtram DRtaH vaktre YRpH-_2.21c
   varṣābhūḥ śarapuṣpikā YRps_9.23d	varzABUH SarapuzpikA YRpH-_9.23d
   valipalitanāśāya YRps_5.26c	vali-palita-nASAya YRpH-_5.26c
   valīpalitanāśanam YRps_5.67d	valI-palita-nASanam YRpH-_5.67d
   valīpalitanāśanam YRps_6.67d	valI-palita-nASanam YRpH-_6.67d
   valīpalitanāśanaḥ YRps_2.21d	valI-palita-nASanaH YRpH-_2.21d
   valīpalitavarjitaḥ YRps_2.100b	valI-palita-varjitaH YRpH-_2.100b
   vallamātraṃ ca madhunā YRps_5.98c	valla-mAtram ca maDunA YRpH-_5.98c
   vallamātraṃ tato dadyāt YRps_11.68a	valla-mAtram tatas dadyAt YRpH-_11.68a
   vallamātraṃ niṣevitam YRps_5.66d	valla-mAtram nizevitam YRpH-_5.66d
   vallamātro bhavedrasaḥ YRps_1.163d	valla-mAtraH Bavet-rasaH YRpH-_1.163d
   vallam ekaṃ tāmrabhasma YRps_4.53*a	vallam ekam tAmra-Basma YRpH-_4.53*a
   vallaṃ gadyāṇake dadyād YRps_11.109e	vallam gadyANake dadyAt YRpH-_11.109e
   vallaṃ caikaṃ śarkarācūrṇamiśram YRps_8.24b	vallam ca-ekam SarkarA-cUrNa-miSram YRpH-_8.24b
   vallaṃ yojyaṃ jīrakeṇātha bhṛṃgyā YRps_8.29a	vallam yojyam jIrakeNa-aTa BRMgyAH YRpH-_8.29a
   vallī camarikā tathā YRps_9.5d	vallI camarikA taTA YRpH-_9.5d
   vallī caivārkavallikā YRps_9.37d	vallI ca-eva-arkavallikA YRpH-_9.37d
   vallonmitaṃ vai seveta YRps_5.114c	valla-unmitam vE seveta YRpH-_5.114c
   vasanabaddhakṛtāmapi poṭalīm YRps_3.27d	vasana-badDa-kRtAm-api powalIm YRpH-_3.27d
   vastrasthā piṣṭikā lagnā YRps_5.85a	vastra-sTA pizwikAH lagnA YRpH-_5.85a
   vastrāṃgāratuṣās tulyās YRps_10.13a	vastra-aMgAra-tuzAH tulyAH YRpH-_10.13a
   vastreṇa poṭalīṃ baddhvā YRps_2.78a	vastreNa powalIm badDvA YRpH-_2.78a
   vastreṇa baṃdhanaṃ kṛtvā YRps_2.14a	vastreNa baMDanam kRtvA YRpH-_2.14a
   vastreṇa saṃveṣṭya tataḥ prayatnād dolākhyayaṃtre'tha niveśya golakam	vastreNa saMvezwya tatas prayatnAt dolA-AKya-yaMtre-aTa niveSya golakam
   YRps_7.61/a	YRpH-_7.61/a
   vastreṇācchādya gartakam YRps_4.86d	vastreNa-AcCAdya gartakam YRpH-_4.86d
   vastre lagnā tu yā piṣṭī YRps_11.25a	vastre lagnA tu yA pizwI YRpH-_11.25a
   vastre vitastimātre tu YRps_6.46c	vastre vitasti-mAtre tu YRpH-_6.46c
   vastropari baleścūrṇaṃ YRps_6.33c	vastra-upari baleH-cUrNam YRpH-_6.33c
   vahninā svedayedrātrau YRps_6.44a	vahninA svedayet-rAtrO YRpH-_6.44a
   vahnimitrā prakīrtitā YRps_10.10b	vahnimitrA prakIrtitA YRpH-_10.10b
   vahnimṛttikayā vāpi YRps_1.83c	vahnimRttikayA vA-api YRpH-_1.83c
   vahniṃ kuryācchanaiḥ śanaiḥ YRps_11.119d	vahnim kuryAt-SanEs SanEs YRpH-_11.119d
   vahniṃ kuryātprayatnataḥ YRps_10.50d	vahnim kuryAt-prayatnataH YRpH-_10.50d
   vahniṃ kuryātprayatnataḥ YRps_11.50b	vahnim kuryAt-prayatnataH YRpH-_11.50b
   vahniṃ kuryātprayatnataḥ YRps_11.97d	vahnim kuryAt-prayatnataH YRpH-_11.97d
   vahniṃ kuryādaṣṭayāmaṃ YRps_5.98a	vahnim kuryAt-azwa-yAmam YRpH-_5.98a
   vahniṃ ca dīpayatyāśu YRps_6.69a	vahnim ca dIpayati-ASu YRpH-_6.69a
   vahniṃ dvādaśabhiryāmaiḥ YRps_11.67c	vahnim dvAdaSaBiH-yAmEH YRpH-_11.67c
   vahniṃ dvādaśayāmakam YRps_6.8b	vahnim dvAdaSa-yAmakam YRpH-_6.8b
   vahniṃ prajvālayettataḥ YRps_4.10b	vahnim prajvAlayet-tatas YRpH-_4.10b
   vahniṃ prajvālayettataḥ YRps_10.42d	vahnim prajvAlayet-tatas YRpH-_10.42d
   vahniṃ śīte karṣamātraṃ viṣaṃ hi YRps_8.28b	vahnim SIte karza-mAtram vizam hi YRpH-_8.28b
   vaṃgatīkṣṇe same kṛtvā YRps_2.92a	vaMga-tIkzNe same kRtvA YRpH-_2.92a
   vaṃgastaṃbhakaro'pyevaṃ YRps_2.17e	vaMga-staMBa-karaH-api-evam YRpH-_2.17e
   vaṃgasya stambhanaṃ samyak YRps_2.11c	vaMgasya stamBanam samyak YRpH-_2.11c
   vaṃgaṃ tālakamabhrakaṃ śaśirasaṃ tīkṣṇaṃ viṣaṃ ṭaṃkaṇaṃ YRps_11.89/a	vaMgam tAlakam-aBrakam SaSi-rasam tIkzNam vizam waMkaNam YRpH-_11.89/a
   vaṃgaṃ vallamitaṃ śuddhaṃ YRps_11.86c	vaMgam valla-mitam SudDam YRpH-_11.86c
   vaṃdhyākarkoṭakī tathā YRps_5.57b	vaMDyAkarkowakI taTA YRpH-_5.57b
   vaṃdhyākarkoṭikāmūla- YRps_2.37a	vaMDyAkarkowikA-mUla YRpH-_2.37a
   vākucībījakalkena YRps_3.48a	vAkucI-bIja-kalkena YRpH-_3.48a
   vājīkaraṇayogāśca YRps_1.12a	vAjIkaraNa-yogAH-ca YRpH-_1.12a
   vātajāṃ grahaṇīṃ jayet YRps_3.45d	vAta-jAm grahaNIm jayet YRpH-_3.45d
   vātajvaranibarhaṇī YRps_3.47d	vAta-jvara-nibarhaNI YRpH-_3.47d
   vātaraktaṃ vināśayet YRps_3.46b	vAtaraktam vinASayet YRpH-_3.46b
   vātaśūlaharā samyak YRps_3.46c	vAta-SUla-harA samyak YRpH-_3.46c
   vātaśleṣmavināśinī YRps_6.21b	vAta-Slezma-vinASinI YRpH-_6.21b
   vātaśleṣmaharaṃ rakta- YRps_6.10a	vAta-Slezma-haram rakta YRpH-_6.10a
   vātāpahaṃ karmarujāpahaṃ ca YRps_7.7b	vAta-apaham karma-rujA-apaham ca YRpH-_7.7b
   vātāmaśūlaṃ gṛhaṇīṃ sakāmalām YRps_3.58b	vAta-Ama-SUlam gRhaNIm sa-kAmalAm YRpH-_3.58b
   vāntiṃ karoti rekaṃ ca YRps_5.75a	vAntim karoti rekam ca YRpH-_5.75a
   vāpitā drāvite dravye YRps_11.52c	vApitAH drAvite dravye YRpH-_11.52c
   vāyasānāṃ purīṣakam YRps_1.124d	vAyasAnAm purIzakam YRpH-_1.124d
   vārān śataṃ cāpi tato dhamettaṃ saṃmarditaṃ śodhitapāradena YRps_7.30/b	vArAn Satam ca-api tatas Damet-tam saMmarditam SoDita-pAradena YRpH-_7.30/b
   vārāhapuṭamucyate YRps_10.46b	vArAhapuwam-ucyate YRpH-_10.46b
   vārāhākhyapuṭaikena jāyate kalka uttamaḥ YRps_11.85/b	vArAha-AKya-puwa-ekena jAyate kalkaH uttamaH YRpH-_11.85/b
   vārāhikandaśca palapramāṇaḥ YRps_12.12b	vArAhi-kandaH-ca pala-pramANaH YRpH-_12.12b
   vārāhī saptapattrā ca YRps_9.2e	vArAhI saptapattrA ca YRpH-_9.2e
   vārāheṇa kharāgninā YRps_4.98d	vArAheNa Kara-agninA YRpH-_4.98d
   vārtikendrāḥ kurudhvaṃ hi YRps_11.30c	vArtika-indrAH kuruDvam hi YRpH-_11.30c
   vārṣikī śālmalī jātī YRps_9.28c	vArzikI SAlmalI jAtI YRpH-_9.28c
   vālukāgniṃ pradadyācca YRps_11.20a	vAlukA-agnim pradadyAt-ca YRpH-_11.20a
   vālukānāmakaṃ cāpi YRps_10.6a	vAlukA-nAmakam ca-api YRpH-_10.6a
   vālukāyantrake khalu YRps_5.96b	vAlukAyantrake Kalu YRpH-_5.96b
   vālukāyantrake samyak YRps_11.116c	vAlukAyantrake samyak YRpH-_11.116c
   vālukāyantramadhyasthaṃ YRps_11.101c	vAlukAyantra-maDya-sTam YRpH-_11.101c
   vālukāyaṃtrake pacet YRps_11.98b	vAlukAyaMtrake pacet YRpH-_11.98b
   vālukāyaṃtramadhyasthāṃ YRps_4.29a	vAlukAyaMtra-maDya-sTAm YRpH-_4.29a
   vālukāyaṃtramadhye tu YRps_6.8a	vAlukAyaMtra-maDye tu YRpH-_6.8a
   vālmikī biḍasaṃyutā YRps_10.10d	vAlmikI bixa-saMyutAH YRpH-_10.10d
   vāsare yāmamekaṃ tu YRps_1.75a	vAsare yAmam-ekam tu YRpH-_1.75a
   vāsaraikamataḥparam YRps_1.71d	vAsara-ekam-atas-param YRpH-_1.71d
   vāsaraikaṃ prayatnataḥ YRps_2.18d	vAsara-ekam prayatnataH YRpH-_2.18d
   vāsaraikaṃ prayatnataḥ YRps_11.100d	vAsara-ekam prayatnataH YRpH-_11.100d
   vāsārase mardito hi YRps_5.93a	vAsA-rase marditaH hi YRpH-_5.93a
   vāsā śṛṅgī ca kathyate YRps_9.20d	vAsA SRFgI ca kaTyate YRpH-_9.20d
   vāhitaṃ punareva hi YRps_11.54b	vAhitam punar-eva hi YRpH-_11.54b
   vikṛtiṃ na kvacid bhajet YRps_5.7b	vikRtim na kvacid Bajet YRpH-_5.7b
   vigatadoṣakṛto'pi hi gaṃdhakaḥ YRps_3.14b	vigata-doza-kRtaH-api hi gaMDakaH YRpH-_3.14b
   vigatadoṣakṛtau rasagaṃdhakau YRps_3.10a	vigata-doza-kRtO rasa-gaMDakO YRpH-_3.10a
   vighaṭayetpraharatrayasaṃmitam YRps_3.15d	viGawayet-prahara-traya-saMmitam YRpH-_3.15d
   vighaṭayedatha lohasudarviṇā YRps_3.41a	viGawayet-aTa loha-su-darviNA YRpH-_3.41a
   vicchāyaṃ vā cippiṭaṃ niṣprabhaṃ ca YRps_7.47a	vicCAyam vA cippiwam nizpraBam ca YRpH-_7.47a
   vijayāsurī siṃhikā YRps_9.30d	vijaya-AsurI siMhikA YRpH-_9.30d
   vijñeyo'sau bhiṣagvaraiḥ YRps_2.6d	vijQeyaH-asO Bizaj-varEH YRpH-_2.6d
   viḍamūṣetyudāhṛtā YRps_10.17d	vixamUzA-iti-udAhRtA YRpH-_10.17d
   viḍena racitā yā tu YRps_10.17a	vixena racitA yA tu YRpH-_10.17a
   viḍena sahito rasaḥ YRps_1.79b	vixena sahitaH rasaH YRpH-_1.79b
   viḍenaiva pralepitā YRps_10.17b	vixena-eva pralepitA YRpH-_10.17b
   viḍo 'yaṃ vahnikṛd bhavet YRps_1.92d	vixaH ayam vahni-kRt Bavet YRpH-_1.92d
   vitastidvayamānena YRps_10.46c	vitasti-dvaya-mAnena YRpH-_10.46c
   vitastipramitā nimnā YRps_10.38a	vitasti-pramitAH nimnA YRpH-_10.38a
   vitastipramitotsedhā YRps_10.40a	vitasti-pramita-utseDA YRpH-_10.40a
   vitastimātraṃ dvāraṃ ca YRps_10.31c	vitasti-mAtram dvAram ca YRpH-_10.31c
   vidārīsvarasaprasthaṃ YRps_12.19a	vidArI-svarasa-prasTam YRpH-_12.19a
   viditāgamavṛddhairhi YRps_11.38a	vidita-Agama-vRdDEH-hi YRpH-_11.38a
   viddhi vedhakarāṇi ca YRps_1.141d	vidDi veDa-karANi ca YRpH-_1.141d
   vidyādharaṃ kuṇḍakaṃ ca YRps_10.5a	vidyADaram kuNxakam ca YRpH-_10.5a
   vidrutaḥ patate gaṃdho YRps_6.48a	vidrutaH patate gaMDaH YRpH-_6.48a
   vidrute hemni nikṣiptaṃ YRps_4.17c	vidrute hemni nikziptam YRpH-_4.17c
   vidrumaṃ tārkṣyaṃ puṣpakam YRps_7.1b	vidrumam tArkzyam puzpakam YRpH-_7.1b
   vidvadbhiḥ samudāhṛtam YRps_4.114d	vidvadBiH samudAhRtam YRpH-_4.114d
   vidhātavyā sumudrikā YRps_5.77d	viDAtavyA sumudrikA YRpH-_5.77d
   vidhividā bhiṣajā hyamunā kṛto YRps_3.25c	viDi-vidA BizajA hi-amunA kRtaH YRpH-_3.25c
   vidhyate tena sahasā YRps_1.146a	viDyate tena sahasA YRpH-_1.146a
   vidhyate nātra saṃśayaḥ YRps_11.40d	viDyate na-atra saMSayaH YRpH-_11.40d
   vidhyate nātra saṃśayaḥ YRps_11.60b	viDyate na-atra saMSayaH YRpH-_11.60b
   vinidhāya prayatnataḥ YRps_4.48b	viniDAya prayatnataH YRpH-_4.48b
   vinihanti śarīriṇām YRps_4.78d	vinihanti SarIriNAm YRpH-_4.78d
   viniḥsaretsarvasatvaṃ YRps_5.128c	viniHsaret-sarva-satvam YRpH-_5.128c
   vipacedagniyogena YRps_4.90c	vipacet-agni-yogena YRpH-_4.90c
   viparītāṃ tu paṃkile YRps_1.54d	viparItAm tu paMkile YRpH-_1.54d
   vipāke madhuro gandha- YRps_6.36a	vipAke maDuraH ganDa YRpH-_6.36a
   vibhāvyamānaṃ kuru lohapātre YRps_3.55b	viBAvyamAnam kuru loha-pAtre YRpH-_3.55b
   vimardya nimbutoyena YRps_4.38c	vimardya nimbu-toyena YRpH-_4.38c
   vimalanāgavaraikavibhāgikaṃ YRps_3.19a	vimala-nAga-vara-eka-viBAgikam YRpH-_3.19a
   vimalamauktikahārasuśobhitām YRps_1.2b	vimala-mOktika-hAra-su-SoBitAm YRpH-_1.2b
   vimalalohamaye kṛtakharpare hy YRps_3.14c	vimala-loha-maye kRta-Karpare hi YRpH-_3.14c
   vimalalohamaye dṛḍhakharpare YRps_3.32a	vimala-loha-maye dRXa-Karpare YRpH-_3.32a
   vimalaṣaḍguṇagandhakam aśnute YRps_3.25d	vimala-zaxguNa-ganDakam aSnute YRpH-_3.25d
   vimalasūtavaro hi palāṣṭakaṃ YRps_3.6a	vimala-sUta-varaH hi pala-azwakam YRpH-_3.6a
   vimalaḥ sīsasadṛśaṃ YRps_5.94c	vimalaH sIsa-sadRSam YRpH-_5.94c
   vimuñcati daloccayam YRps_5.8b	vimuQcati dala-uccayam YRpH-_5.8b
   virekārthaṃ na saṃśayaḥ YRps_6.58d	vireka-arTam na saMSayaH YRpH-_6.58d
   virecanaṃ tatprakaroti śīghram YRps_6.55d	virecanam tat-prakaroti SIGram YRpH-_6.55d
   vilipya veṣṭayitvā ca YRps_6.47a	vilipya vezwayitvA ca YRpH-_6.47a
   vilipya sakalaṃ dehaṃ YRps_6.43a	vilipya sakalam deham YRpH-_6.43a
   vividharasavidhānaṃ kathyate 'traiva samyak YRps_8.1b	viviDa-rasa-viDAnam kaTyate atra-eva samyak YRpH-_8.1b
   viśadanāgayutaḥ khalu pāradaḥ YRps_3.22d	viSada-nAga-yutaH Kalu pAradaH YRpH-_3.22d
   viśadalohamayena ca darviṇā YRps_3.15c	viSada-loha-mayena ca darviNA YRpH-_3.15c
   viśadasūtasamo'pi hi gaṃdhakas YRps_3.31a	viSada-sUta-samaH-api hi gaMDakaH YRpH-_3.31a
   viśālā ca mahānāgī YRps_9.9a	viSAlA ca mahA-nAgI YRpH-_9.9a
   viśālā nalikāmalī YRps_9.25d	viSAlA nalikA-amalI YRpH-_9.25d
   viśudhyati na saṃśayaḥ YRps_6.19b	viSuDyati na saMSayaH YRpH-_6.19b
   viśudhyati śilājātaṃ YRps_5.109c	viSuDyati SilAjAtam YRpH-_5.109c
   viśudhyantīha satataṃ YRps_6.27c	viSuDyanti-iha satatam YRpH-_6.27c
   viśeṣato recanakaṃ karoti YRps_6.57b	viSezataH recanakam karoti YRpH-_6.57b
   viśeṣātsarvarogajit YRps_5.107d	viSezAt-sarva-roga-jit YRpH-_5.107d
