   ācāryadaṇḍinaḥ kāvyādarśaḥ	AcArya-daNxinaH kAvyAdarSaH
   nav ātmalābho mahatāṃ paraduḥkhopaśāntaye // DKd_2.173 //	nau Atma-lABaH mahatAm para-duHKa-upaSAntaye // DKd-_2.173 //
   utpādayati lokasya prītiṃ malayamārutaḥ &	utpAdayati lokasya prItim malaya-mArutaH &
   nanu dākṣiṇyasaṃpannaḥ sarvasya bhavati priyaḥ // DKd_2.174 //	nanu dAkziNya-saMpannaH sarvasya Bavati priyaH // DKd-_2.174 //
   jagad ānandayaty eṣa malino 'pi niśākaraḥ &	jagat Anandayati eza malinaH api niSAkaraH &
   anugṛhṇāti hi parān sadoṣo 'pi dvijeśvaraḥ // DKd_2.175 //	anugRhNAti hi parAn sa-dozaH api dvijeSvaraH // DKd-_2.175 //
   madhupānakalāt kaṇṭhān nirgato 'py alināṃ dhvaniḥ &	maDu-pAna-kalAt kaNWAt nirgataH api alinAm DvaniH &
   kaṭur bhavati karṇasya kāmināṃ pāpam īdṛśam // DKd_2.176 //	kawuH Bavati karNasya kAminAm pApam IdRSam // DKd-_2.176 //
   ayaṃ mama dahaty aṅgam ambhojadalasaṃstaraḥ &	ayam mama dahati aFgam amBoja-dala-saMstaraH &
   hutāśanapratinidhir dāhātmā nanu yujyate // DKd_2.177 //	hutASana-pratiniDiH dAha-AtmA nanu yujyate // DKd-_2.177 //
   kṣiṇotu kāmaṃ śītāṃśuḥ kiṃ vasanto dunoti mām &	kziNotu kAmam SItAMSuH kim vasantaH dunoti mAm &
   malinācaritaṃ karma surabher nanv asāṃpratam // DKd_2.178 //	malina-Acaritam karma suraBeH nanu asAMpratam // DKd-_2.178 //
   kumudāny api dāhāya kim ayaṃ kamalākaraḥ &	kumudAni api dAhAya kim ayam kamala-AkaraH &
   na hīndugṛhyeṣūgreṣu sūryagṛhyo madhur bhavet //ity	na hi-indu-gRhyezu-ugrezu sUrya-gRhyaH maDuH Bavet //iti-
   arthāntaranyāsacakram// // DKd_2.179 //	arTa-antaranyAsa-cakram// // DKd-_2.179 //
   śabdopātte prātīte vā sādṛśye vastunor dvayoḥ &	Sabda-upAtte prAtIte vA sAdRSye vastunoH dvayoH &
   tatra yad bhedakathanaṃ vyatirekaḥ sa kathyate // DKd_2.180 //	tatra yat Beda-kaTanam vyatirekaH sa kaTyate // DKd-_2.180 //
   dhairyalāvaṇyagāmbhīryapramukhais tvam udanvataḥ &	DErya-lAvaNya-gAmBIrya-pramuKEH tvam udanvataH &
   guṇais tulyo 'si bhedas tu vapuṣaivedṛśena te // DKd_2.181 //	guNEH tulyaH asi BedaH tu vapuzA-eva-IdRSena te // DKd-_2.181 //
   ity ekavyatireko 'yaṃ dharmeṇaikatravartinā &	iti eka-vyatirekaH ayam DarmeNa-ekatra-vartinA &
   pratītiviṣayaprāpter bhedasyobhayavartinaḥ // DKd_2.182 //	pratIti-vizaya-prApteH Bedasya-uBaya-vartinaH // DKd-_2.182 //
   abhinnavelau gambhīrāv amburāśir bhavān api &	aBinna-velO gamBIrO amburASiH BavAn api &
   asāv añjanasaṃkāśas tvaṃ tu cāmīkaradyutiḥ // DKd_2.183 //	asO aQjana-saMkASaH tvam tu cAmIkara-dyutiH // DKd-_2.183 //
   ubhayavyatireko 'yam ubhayor bhedakau guṇau &	uBaya-vyatirekaH ayam uBayoH BedakO guNO &
   kārṣṇyaṃ piśaṅgatā cobhau yat pṛthag darśitāv iha // DKd_2.184 //	kArzNyam piSaFga-tA ca-uBO yat pRTak darSitO iha // DKd-_2.184 //
   tvaṃ samudraś ca durvārau mahāsattvau satejasau &	tvam samudraH ca durvArO mahAsattvO sa-tejasO &
   ayaṃ tu yuvayor bhedaḥ sa jaḍātmā paṭur bhavān // DKd_2.185 //	ayam tu yuvayoH BedaH sa jaxa-AtmA pawuH BavAn // DKd-_2.185 //
   sa eṣa śleṣarūpatvāt saśleṣa iti gṛhyatām &	saH eza Sleza-rUpa-tvAt sa-SlezaH iti gRhyatAm &
   sākṣepaś ca sahetuś ca darśyate tad api dvayam // DKd_2.186 //	sa-AkzepaH ca sa-hetuH ca darSyate tat api dvayam // DKd-_2.186 //
   sthitimān api dhīro 'pi ratnānām ākaro 'pi san &	sTitimAn api DIraH api ratnAnAm AkaraH api san &
   tava kakṣāṃ na yāty eva malino makarālayaḥ // DKd_2.187 //	tava kakzAm na yAti eva malinaH makara-AlayaH // DKd-_2.187 //
   vahann api mahīṃ kṛtsnāṃ saśailadvīpasāgarām &	vahan api mahIm kRtsnAm sa-SEla-dvIpa-sAgarAm &
   bhartṛbhāvād bhujaṅgānāṃ śeṣas tvatto nikṛṣyate // DKd_2.188 //	BartR-BAvAt BujaFgAnAm SezaH tvattaH nikRzyate // DKd-_2.188 //
   śabdopādānasādṛśyavyatireko 'yam īdṛśaḥ &	Sabda-upAdAna-sAdRSya-vyatirekaH ayam IdRSaH &
   pratīyamānasādṛśyo 'py asti so 'py abhidhīyate // DKd_2.189 //	pratIyamAna-sAdRSyaH api asti saH api aBiDIyate // DKd-_2.189 //
   tvanmukhaṃ kamalaṃ ceti dvayor apy anayor bhidā &	tvad-muKam kamalam ca-iti dvayoH api anayoH BidA &
   kamalaṃ jalasaṃrohi tvanmukhaṃ tvadupāśrayam // DKd_2.190 //	kamalam jala-saMrohi tvad-muKam tvad-upASrayam // DKd-_2.190 //
   abhrūvilāsam aspṛṣtamadarāgaṃ mṛgekṣaṇam &	aBrU-vilAsam aspRzta-mada-rAgam mRga-IkzaNam &
   idaṃ tu nayanadvandvaṃ tava taguṇabhūṣitam // DKd_2.191 //	idam tu nayana-dvandvam tava taguNa-BUzitam // DKd-_2.191 //
   pūrvasmin bhedamātroktir asminn ādhikyadarśanam &	pUrvasmin Beda-mAtra-uktiH asmin ADikya-darSanam &
   sadṛśavyatirekaś ca punar anyaḥ pradarśyate // DKd_2.192 //	sadRSa-vyatirekaH ca punar anyaH pradarSyate // DKd-_2.192 //
   tvanmukhaṃ puṇḍarīkaṃ ca phulle surabhigandhinī &	tvad-muKam puNxarIkam ca Pulle suraBi-ganDinI &
   bhramadbhramaram ambhojaṃ lolanetraṃ mukhaṃ tu te // DKd_2.193 //	Bramat-Bramaram amBojam lola-netram muKam tu te // DKd-_2.193 //
   candro 'yam ambarottaṃso haṃso 'yaṃ toyabhūṣaṇam &	candraH ayam ambara-uttaMsaH haMsaH ayam toya-BUzaNam &
   nabho nakṣatramālīdam utphullakumudaṃ payaḥ // DKd_2.194 //	naBaH nakzatra-mAlI-idam utPulla-kumudam payaH // DKd-_2.194 //
   pratīymānaśauklyādisāmyayor viyadambhasoḥ &	pratIymAna-SOklya-Adi-sAmyayoH viyat-amBasoH &
   kṛtaḥ pratītaśuddhyoś ca bhedo 'smiṃś candrahaṃsayoḥ // DKd_2.195 //	kRtaH pratIta-SudDyoH ca BedaH asmin candra-haMsayoH // DKd-_2.195 //
   pūrvatra śābdavat sāmyam ubhayatrāpi bhedakam &	pUrvatra SAbda-vat sAmyam uBayatra-api Bedakam &
   bhṛṅganetrādi tulyaṃ tat sadṛśavyatirekatā // DKd_2.196 //	BRFga-netra-Adi tulyam tat sadRSa-vyatireka-tA // DKd-_2.196 //
   aratnālokasaṃhāryam ahāryaṃ sūryaraśmibhiḥ &	aratna-Aloka-saMhAryam ahAryam sUrya-raSmiBiH &
   dṛṣṭirodhakaraṃ yūnāṃ yauvanaprabhavaṃ tamaḥ // DKd_2.197 //	dRzwi-roDa-karam yUnAm yOvana-praBavam tamaH // DKd-_2.197 //
   sajātīvyatireko 'yaṃ tamojāter idaṃ tamaḥ &	sajAtI-vyatirekaH ayam tamaH-jAteH idam tamaH &
   dṛṣṭirodhitayā tulyaṃ bhinnam anyair adarśi tat //iti vyatirekacakram// //	dRzwi-roDi-tayA tulyam Binnam anyEH adarSi tat //-iti vyatireka-cakram// //
   DKd_2.198 //	DKd-_2.198 //
   prasiddhahetuvyāvṛttyā yat kiṃciṭ kāraṇāntaram &	prasidDa-hetu-vyAvRttyA yat kiMcid kAraNa-antaram &
   yatra svābhāvikatvaṃ vā vibhāvyaṃ sā vibhāvanā // DKd_2.199 //	yatra svABAvika-tvam vA viBAvyam sA viBAvanA // DKd-_2.199 //
   apītakṣībakādambam asaṃmṛṣṭābhalāmbaram &	apItakzI-bakAdambam asaMmRzwa-aBala-ambaram &
   aprasāditaśuddhāmbu jagad āsīn manoharam // DKd_2.200 //	aprasAdita-SudDa-ambu jagat AsIt manoharam // DKd-_2.200 //
   anañjitāsitā dṛṣṭir bhrūr anāvarjitā natā &	anaQjita-asitA dRzwiH BrUH anAvarjitA natA &
   arañjito 'ruṇaś cāyam adharas tava sundari // DKd_2.201 //	araQjitaH aruNaH ca-ayam aDaraH tava sundari // DKd-_2.201 //
   yad apītādijanyaṃ syāt kṣībatvādyanyahetujam &	yat apIta-Adi-janyam syAt kzIba-tva-Adi-anya-hetu-jam &
   ahetukaṃ ca tasyeha vivakṣety aviruddhatā // DKd_2.202 //	ahetukam ca tasya-iha vivakzA-iti avirudDa-tA // DKd-_2.202 //
   vaktraṃ nisargasurabhi vapur avyājasundaram &	vaktram nisarga-suraBi vapuH avyAja-sundaram &
   akāraṇaripuś candro nirnimittāsuhṛt smaraḥ // DKd_2.203 //	akAraNa-ripuH candraH nirnimitta-asuhRt smaraH // DKd-_2.203 //
   nisargādipadair atra hetuḥ sākṣān nivartitaḥ &	nisarga-Adi-padEH atra hetuH sAkzAt nivartitaH &
   uktaṃ ca surabhitvādi phalaṃ tat sā vibhāvanā //iti vibhāvanācakram// //	uktam ca suraBi-tva-Adi Palam tat sA viBAvanA //iti viBAvanA-cakram// //
   DKd_2.204 //	DKd-_2.204 //
   vastu kiṃcid abhipretya tattulyasyānyavastunaḥ &	vastu kiMcid aBipretya tad-tulyasya-anya-vastunaH &
   uktiḥ saṃkṣeparūpatvāt sā samāsoktir iṣyate // DKd_2.205 //	uktiH saMkzepa-rUpa-tvAt sA samAsoktiH izyate // DKd-_2.205 //
   piban madhu yathākāmaṃ bhramaraḥ phullapaṅkaje &	piban maDu yaTAkAmam BramaraH Pulla-paFkaje &
   apy asaṃnaddhasaurabhyaṃ paśya cumbati kuḍmalam // DKd_2.206 //	api asaMnadDa-sOraByam paSya cumbati kuxmalam // DKd-_2.206 //
   iti prauḍhāṅganābaddharatilīlasya rāgiṇaḥ &	iti prOXa-aFganA-badDa-rati-lIlasya rAgiNaH &
   kasyāṃ cid iha bālāyām icchāvṛttir vibhāvyate // DKd_2.207 //	kasyAm cit iha bAlAyAm icCA-vRttiH viBAvyate // DKd-_2.207 //
   viśeṣyamātrabhinnāpi tulyākāraviśeṣaṇā &	viSezya-mAtra-BinnA-api tulya-AkAra-viSezaNA &
   asty asāv aparāpy asti bhinnābhinnaviśeṣaṇā // DKd_2.208 //	asti asO aparA-api asti Binna-aBinna-viSezaNAH // DKd-_2.208 //
   rūḍhamūlaḥ phalabharaiḥ puṣṇann aniśam arthinaḥ &	rUXa-mUlaH Pala-BarEH puzNan aniSam arTinaH &
   sāndracchāyo mahāvṛkṣaḥ so 'yam āsādito mayā // DKd_2.209 //	sAndra=-CAyaH mahA-vRkzaH saH ayam AsAditaH mayA // DKd-_2.209 //
   analpaviṭapābhogaḥ phalapuṣpasamṛddhimān &	analpa-viwapa-ABogaH Pala-puzpa-samRdDimAn &
   socchrayaḥ sthairyavān daivād eṣa labdho mayā drumaḥ // DKd_2.210 //	sa-ucCrayaH sTEryavAn dEvAt eza labDaH mayA drumaH // DKd-_2.210 //
   ubhayatra pumān kaś cid vṛkṣatvenovarṇitaḥ &	uBayatra pumAn kaH cit vRkza-tvena-uvarNitaH &
   sarve sādhāraṇā dharmāḥ pūrvatrānyatra tu dvayam // DKd_2.211 //	sarve sADAraNAH DarmAH pUrvatra-anyatra tu dvayam // DKd-_2.211 //
   nivṛttavyālasaṃsargo nisargamadhurāśayaḥ &	nivRtta-vyAla-saMsargaH nisarga-maDura-ASayaH &
   ayam ambhonidhiḥ kaṣṭaṃ kālena pariśuṣyati // DKd_2.212 //	ayam amBoniDiH kazwam kAlena pariSuzyati // DKd-_2.212 //
   ity āpūrvasamāsoktiḥ pūrvadharmanivartanāt &	iti ApUrva-samAsa-uktiH pUrva-Darma-nivartanAt &
   samudreṇa samānasya puṃso vyāpattisūcanāt //iti samāsokticakram// //	samudreNa samAnasya puMsaH vyApatti-sUcanAt //iti samAsa-ukti-cakram// //
   DKd_2.213 //	DKd-_2.213 //
   vivakṣā yā viśeṣasya lokasīmātivartinī &	vivakzA yA viSezasya loka-sImA-ati-vartinI &
   asāv atiśayoktiḥ syād alaṃkārottamā yathā // DKd_2.214 //	asO atiSaya-uktiH syAt alaMkAra-uttamAH yaTA // DKd-_2.214 //
   mallikāmālabhāriṇyaḥ sarvāṅgīṇārdracandanāḥ [[com: sarvāṅgaṃ vyāpnotīti	mallikA-mAla-BAriNyaH sarva-aFgINa-Ardra-candanAH [[com: sarva-aFgam vyApnoti-iti
   sarvāṅgīṇam]] &	sarva-aFgINam-]] &
   kṣaumavatyo na lakṣyante jyotsnāyām abhisārikāḥ // DKd_2.215 //	kzOmavatyaH na lakzyante jyotsnAyAm aBisArikAH // DKd-_2.215 //
   candrātapasya bāhulyam uktam utkarṣavattayā &	candra-Atapasya bAhulyam uktam utkarzavat-tayA &
   saṃśayātiśayādīnāṃ vyaktyai kiṃ cin nidarśyate // DKd_2.216 //	saMSaya-atiSaya-AdInAm vyaktyE kim cit nidarSyate // DKd-_2.216 //
   stanayor jaghanasyāpi madhye madhyaṃ priye tava &	stanayoH jaGanasya-api maDye maDyam priye tava &
   asti nāstīti saṃdeho na me 'dyāpi nivartate // DKd_2.217 //	asti na-asti-iti saMdehaH na me adya-api nivartate // DKd-_2.217 //
   nirṇetuṃ śakyam astīti madhyaṃ tava nitambini &	nirNetum Sakyam asti-iti maDyam tava nitambini &
   anyathānupapattyaiva payodharabharasthiteḥ // DKd_2.218 //	anyaTA-anupapattyA-eva payoDara-Bara-sTiteH // DKd-_2.218 //
   aho viśālaṃ bhūpāla bhuvanatritayodaram &	aho viSAlam BUpAla Buvana-tritaya-udaram &
   māti mātum aśakyo 'pi yaśorāśir yad atra te // DKd_2.219 //	mAti mAtum aSakyaH api yaSaH-rASiH yat atra te // DKd-_2.219 //
   alaṃkārāntarāṇām apy ekam āhuḥ parāyaṇam &	alaMkAra-antarANAm api ekam AhuH parAyaNam &
   vāgīśamahitām uktim imām atiśayāhvayam //ity atiśayokticakram// //	vAgISam-ahitAm uktim imAm atiSaya-Ahvayam //iti atiSaya-ukti-cakram// //
   DKd_2.220 //	DKd-_2.220 //
   anyathaiva sthitā vṛttiś cetanasyetarasya vā &	anyaTA-eva sTitA vRttiH cetanasya-itarasya vA &
   anyathotprekṣyate yatra tām utprekṣāṃ vidur yathā // DKd_2.221 //	anyaTA-utprekzyate yatra tAm utprekzAm viduH yaTA // DKd-_2.221 //
   mādhyaṃdinārkasaṃtaptaḥ sarasīṃ gāhate gajaḥ &	mADyaMdina-arka-saMtaptaH sarasIm gAhate gajaH &
   manye mārtaṇḍagṛhyāṇi padmāny uddhartum udyataḥ // DKd_2.222 //	manye mArtaNxa-gRhyANi padmAni udDartum udyataH // DKd-_2.222 //
   snātuṃ pātuṃ bisāny attuṃ kariṇo jalagāhanam &	snAtum pAtum bisAni attum kariNaH jalagAhanam &
   tadvairaniṣkrayāyeti kavinotprekṣya varṇyate // DKd_2.223 //	tad-vEra-nizkrayAya-iti kavinA-utprekzya varNyate // DKd-_2.223 //
   karṇasya bhūṣaṇam idaṃ mamāyātivirodhinaḥ &	karNasya BUzaNam idam mama-AyAti-viroDinaH &
   iti karṇotpalaṃ prāyas tava dṛṣṭyā vilaṅghyate // DKd_2.224 //	iti karNa-utpalam prAyas tava dRzwyA vilaFGyate // DKd-_2.224 //
   apāṅgabhāgapātinyā dṛṣṭer aṃśubhir utpalam &	apAFga-BAga-pAtinyA dRzweH aMSuBiH utpalam &
   spṛśyate vā na vety evaṃ kavinotprekṣya varṇyate // DKd_2.225 //	spRSyate vA na vA-iti evam kavinA-utprekzya varNyate // DKd-_2.225 //
   limpatīva tamo 'ṅgāni varṣatīvāñjanaṃ nabhaḥ &	limpati-iva tamaH aFgAni varzati-iva-aQjanam naBaH &
   itīdam api bhūyiṣṭham utprekṣālakṣaṇānanvitam // DKd_2.226 //	iti-idam api BUyizWam utprekzA-lakzaNAn-anvitam // DKd-_2.226 //
   keṣāṃ cid upamābhrāntir ivaśrutyeha jāyate &	kezAm cit upamA-BrAntiH iva-SrutyA-iha jAyate &
   nopamānaṃ tiṅantenety atikramyāptabhāṣitam // DKd_2.227 //	na-upamAnam tiFantena-iti atikramya-Apta-BAzitam // DKd-_2.227 //
   upamānopameyatvaṃ tulyadharmavyapekṣayā &	upamAna-upameya-tvam tulya-Darma-vyapekzayA &
   limpates tamasaś cāsau dharmaḥ ko 'tra samīkṣyate // DKd_2.228 //	limpateH tamasaH ca-asO DarmaH kaH atra samIkzyate // DKd-_2.228 //
   yadi lepanam eveṣṭaṃ limpatir nāma ko 'paraḥ &	yadi lepanam eva-izwam limpatiH nAma kaH aparaH &
   sa eva dharmo dharmī cety anunmatto na bhāṣate // DKd_2.229 //	saH eva DarmaH DarmI ca-iti anunmattaH na BAzate // DKd-_2.229 //
   kartā yady upamānaṃ syān nyagbhūto 'sau kriyāpade &	kartA yadi upamAnam syAt nyagBUtaH asO kriyA-pade &
   svakriyāsādhanavyagro nālam anyad apekṣitum // DKd_2.230 //	sva-kriyA-sADana-vyagraH nAlam anyat apekzitum // DKd-_2.230 //
   yo limpaty amunā tulyaṃ tama ity api śaṃsataḥ &	yaH limpati amunA tulyam tamaH iti api SaMsataH &
   aṅgānīti na saṃbaddhaṃ so 'pi mṛgyaḥ samo guṇaḥ // DKd_2.231 //	aFgAni-iti na saMbadDam saH api mRgyaH samaH guNaH // DKd-_2.231 //
   yathendur iva te vaktram iti kāntiḥ pratīyate &	yaTA-induH iva te vaktram iti kAntiH pratIyate &
   na tathā limpater lepād anyad atra pratīyate // DKd_2.232 //	na taTA limpateH lepAt anyat atra pratIyate // DKd-_2.232 //
   tad upaśleṣaṇārtho 'yaṃ limpatir dhvāntakartṛkaḥ &	tat upaSlezaNa-arTaH ayam limpatiH DvAnta-kartRkaH &
   aṅgakarmā ca puṃsaivam utprekṣyata itīṣyatām // DKd_2.233 //	aFgakarmA ca puMsA-evam utprekzyate iti-izyatAm // DKd-_2.233 //
   manye śaṅke dhruvaṃ prāyo nūnam ityevamādibhiḥ &	manye SaFke Druvam prAyas nUnam iti-evamAdiBiH &
   utprekṣā vyajyate śabdair ivaśabdo 'pi tādṛśaḥ // ity utprekṣācakram// //	utprekzA vyajyate SabdEH iva-SabdaH api tAdRSaH // iti utprekzA-cakram// //
   DKd_2.234 //	DKd-_2.234 //
   hetuś ca sūkṣmaleśau ca vācām uttamabhūṣaṇam &	hetuH ca sUkzma-leSO ca vAcAm uttama-BUzaNam &
   kārakajñāpakau hetū tau cānekavidhau yathā // DKd_2.235 //	kAraka-jQApakO hetU tO ca-aneka-viDO yaTA // DKd-_2.235 //
   ayam āndolitaprauḍhacandanadrumapallavaḥ &	ayam Andolita-prOXa-candana-druma-pallavaH &
   utpādayati sarvasya prītiṃ malayamārutaḥ // DKd_2.236 //	utpAdayati sarvasya prItim malaya-mArutaH // DKd-_2.236 //
   prītyutpādanayogyasya rūpasyātropabṛṃhaṇam &	prIti-utpAdana-yogyasya rUpasya-atra-upabRMhaNam &
   alaṃkāratayoddiṣṭaṃ nivṛttāv api tat samam // DKd_2.237 //	alaMkAra-tayA-uddizwam nivRttO api tat samam // DKd-_2.237 //
   candanāraṇyam ādhūya spṛṣṭvā malayanirjharān &	candana-araNyam ADUya spRzwvA malaya-nirJarAn &
   pathikānām abhāvāya pavano 'yam upasthitaḥ // DKd_2.238 //	paTikAnAm aBAvAya pavanaH ayam upasTitaH // DKd-_2.238 //
   abhāvasādhanāyālam evaṃbhūto hi mārutaḥ &	aBAva-sADanAya-alam evaMBUtaH hi mArutaH &
   virahajvarasaṃbhūtamanojñārocake jane // DKd_2.239 //	viraha-jvara-saMBUta-manojQA-arocake jane // DKd-_2.239 //
   nivartye ca vikārye ca hetutvaṃ tadapekṣayā &	nivartye ca vikArye ca hetu-tvam tad-apekzayA &
   prāpye tu karmaṇi prāyaḥ kriyāpekṣaiva hetutā // DKd_2.240 //	prApye tu karmaNi prAyas kriyA-apekzA-eva hetu-tAH // DKd-_2.240 //
   hetur nirvartanīyasya darśitaḥ śeṣayor dvayoḥ &	hetuH nirvartanIyasya darSitaH SezayoH dvayoH &
   dattvodāharaṇadvandvaṃ jñāpako varṇayiṣyate // DKd_2.241 //	dattvA-udAharaNa-dvandvam jQApakaH varNayizyate // DKd-_2.241 //
   utpravālāṇy araṇyāni vāpyaḥ saṃphullapaṅkajāḥ &	utpravAlANi araNyAni vApyaH saMPulla-paFkajAH &
   candraḥ pūrṇaś ca kāmena pānthadṛṣṭer viṣaṃ kṛtam // DKd_2.242 //	candraH pUrNaH ca kAmena pAnTa-dRzweH vizam kRtam // DKd-_2.242 //
   mānayogyāṃ karomīti priyasthānasthitāṃ sakhīm &	mAna-yogyAm karomi-iti priya-sTAna-sTitAm saKIm &
   bālā bhrūbhaṅgajihmākṣī paśyati sphuritādharā // DKd_2.243 //	bAlA BrU-BaFga-jihma-akzI paSyati sPurita-aDarAH // DKd-_2.243 //
   gato 'stam arko bhātīndur yānti vāsāya pakṣiṇaḥ &	gataH astam arkaH BAti-induH yAnti vAsAya pakziNaH &
   itīdam api sādhv eva kālāvasthānivedane // DKd_2.244 //	iti-idam api sADu eva kAla-avasTA-nivedane // DKd-_2.244 //
   avadhyair indupādānām asādhyaiś candanāmbhasām &	avaDyEH indu-pAdAnAm asADyEH candana-amBasAm &
   dehoṣmabhiḥ subodhaṃ te sakhi kāmāturaṃ manaḥ // DKd_2.245 //	deha-UzmaBiH su-boDam te saKi kAma-Aturam manaH // DKd-_2.245 //
   iti lakṣyāḥ prayogeṣu ramyā jñāpakahetavaḥ &	iti lakzyAH prayogezu ramyAH jQApaka-hetavaH &
   abhāvahetavaḥ ke cid vyāhriyante manoharāḥ // DKd_2.246 //	aBAva-hetavaH ke cit vyAhriyante manoharAH // DKd-_2.246 //
   anabhyāsena vidyānām asaṃsargeṇa dhīmatām &	anaByAsena vidyAnAm asaMsargeNa DImatAm &
   anigraheṇa cākṣāṇāṃjāyate vyasanaṃ nṛṇām // DKd_2.247 //	anigraheNa ca-akzANAM-jAyate vyasanam nRNAm // DKd-_2.247 //
   gataḥ kāmakathonmādo galito yauvanajvaraḥ &	gataH kAma-kaTA-unmAdaH galitaH yOvana-jvaraH &
   kṣato mohaś cyutā tṛṣṇā kṛtaṃ puṇyāśrame manaḥ // DKd_2.248 //	kzataH mohaH cyutA tRzNA kRtam puNya-ASrame manaH // DKd-_2.248 //
   vanāny amūni na gṛhāṇy etā nadyo na yoṣitaḥ &	vanAni amUni na gRhANi etAH nadyaH na yozitaH &
   mṛgā ime na dāyādās tan me nandati mānasam // DKd_2.249 //	mRgAH ime na dAyAdAH tat me nandati mAnasam // DKd-_2.249 //
   atyantam asad āryāṇāṃ analocitaceṣṭitam &	atyantam asat AryANAm analocita-cezwitam &
   atas teṣāṃ vivardhante satataṃ sarvasaṃpadaḥ // DKd_2.250 //	atas tezAm vivarDante satatam sarva-saMpadaH // DKd-_2.250 //
   udyānasahakārāṇām anudbhinnā na mañjarī &	udyAna-sahakArANAm anudBinnA na maQjarI &
   deyaḥ pathikanārīṇāṃ satilaḥ salilāñjaliḥ // DKd_2.251 //	deyaH paTika-nArINAm sa-tilaH salila-aQjaliH // DKd-_2.251 //
   prāgabhāvādirūpasya hetutvam iha vastunaḥ &	prAc-aBAva-Adi-rUpasya hetu-tvam iha vastunaH &
   bhāvābhāvasvarūpasya kāryasyotpādanaṃ prati // DKd_2.252 //	BAva-aBAva-svarUpasya kAryasya-utpAdanam prati // DKd-_2.252 //
   dūrakāryas tatsahajaḥ kāryānantarajas tathā &	dUra-kAryaH tad-sahajaH kArya-ananta-rajaH taTA &
   ayuktayuktakāryau cety asaṃkhyāś citrahetavaḥ // DKd_2.253 //	ayukta-yukta-kAryO ca-iti asaMKyAH citra-hetavaH // DKd-_2.253 //
   te 'mī prayogamārgeṣu gauṇavṛttivyapāśrayāḥ &	te amI prayoga-mArgezu gONa-vRtti-vyapASrayAH &
   atyantasundarā dṛṣṭās tadudāhṛtayo yathā // DKd_2.254 //	atyanta-sundarAH dRzwAH tat-udAhRtayaH yaTA // DKd-_2.254 //
   tvadapāṅgāhvayaṃ jaitram anaṅgāstraṃ yad aṅgane &	tvad-apAFga-Ahvayam jEtram anaFga-astram yat aFgane &
   muktaṃ tad anyatas tena so 'py ahaṃ manasi kṣataḥ // DKd_2.255 //	muktam tat anyatas tena saH api aham manasi kzataH // DKd-_2.255 //
   āvirbhavati nārīṇāṃ vayaḥ paryastaśaiśavaṃ &	AvirBavati nArINAm vayaH paryasta-SESavam &
   sahaiva vividhaiḥ puṃsām aṅgajonmādavibhramaiḥ // DKd_2.256 //	saha-eva viviDEH puMsAm aFgaja-unmAda-viBramEH // DKd-_2.256 //
   paścāt paryasya kiraṇānudīrṇaṃ candramaṇḍalam &	paScAt paryasya kiraNAn-udIrNam candra-maNxalam &
   prāg eva hariṇākṣīṇām udīrṇo rāgasāgaraḥ // DKd_2.257 //	prAk eva hariNa-akzINAm udIrNaH rAga-sAgaraH // DKd-_2.257 //
   rājñāṃ hastāravindāni kuḍmalīkurute kutaḥ &	rAjQAm hasta-aravindAni kuxmalIkurute kutas &
   deva tvaccaraṇadvandvarāgabālātapaḥ spṛśan // DKd_2.258 //	deva tvad-caraNa-dvandva-rAga-bAla-AtapaH spRSan // DKd-_2.258 //
   pāṇipadmāni bhūpānāṃ saṃkocayitum īśate &	pANi-padmAni BUpAnAm saMkocayitum ISate &
   tvatpādanakhacandrāṇām arciṣaḥ kundanirmalāḥ // DKd_2.259 //	tvad-pAda-naKa-candrANAm arcizaH kunda-nirmalAH // DKd-_2.259 //
   iti hetuvikalpānāṃ darśitā gatir īdṛśī // iti hetucakram// &	iti hetu-vikalpAnAm darSitA gatiH IdRSI // iti hetu-cakram// &
   iṅgitākāralakṣyo 'rthaḥ saukṣmyāt sūkṣma iti smṛtaḥ // DKd_2.260 //	iFgita-AkAra-lakzyaH arTaH sOkzmyAt sUkzmaH iti smRtaH // DKd-_2.260 //
   kadā nau saṃgamo bhāvīty ākīrṇe vaktum akṣamam &	kadA nO saMgamaH BAvi-iti AkIrNe vaktum akzamam &
   avetya kāntam abalā līlāpadmaṃ nyamīlayat // DKd_2.261 //	avetya kAntam abalA lIlA-padmam nyamIlayat // DKd-_2.261 //
   padmasaṃmīlanād atra sūcito niśi saṃgamaḥ &	padma-saMmIlanAt atra sUcitaH niSi saMgamaH &
   āśvāsayitum icchantyā priyam aṅgajapīḍitam // DKd_2.262 //	ASvAsayitum icCantyA priyam aFgaja-pIxitam // DKd-_2.262 //
   madarpitadṛśas tasyā gītagoṣṭhyām avardhata &	mad-arpita-dRSaH tasyAH gIta-gozWyAm avarData &
   uddāmarāgataralā chāyā kāpi mukhāmbuje // DKd_2.263 //	uddAma-rAga-taralA CAyA kA-api muKa-ambuje // DKd-_2.263 //
   ity anudbhinnarūpatvād ratyutsavamanorathah &	iti anudBinna-rUpa-tvAt rati-utsava-manoraTah &
   anullaṅhgyaiva sūkṣmatvam abhūd atra vyavasthitaḥ //iti sūkṣmacakram// //	anullaFhgya-eva sUkzma-tvam aBUt atra vyavasTitaH //iti sUkzma-cakram// //
   DKd_2.264 //	DKd-_2.264 //
