   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   ādatte ca rasān bhaumān ādityassvagabhastibhiḥ /	Adatte ca rasAn BOmAn Aditya ssva gaBastiBiH /
   vāyurādityataptāṃśca rasān devaḥpravarṣati // BhS_35.259 //	vAyuH Aditya taptAn= ca rasAn devaH pravarzati // BhH _35.259 //
   tadyathā meghato vāri patitaṃ bhavati kṣitau /	tat yaTA meGataH vAri patitam Bavati kzitO /
   tadā vasumatī devī snigdhā bhavati bhāvitā // BhS_35.260 //	tadA vasumatI devI snigDA Bavati BAvitAH // BhH _35.260 //
   tatassasyāni rohanti yena vartayate jagat /	tatas sasyAni rohanti yena vartayate jagat /
   māṃsamedo 'sthiśukrāṇāṃ prādurbhāvastataḥ punaḥ // BhS_35.261 //	mAMsa medaH asTi SukrANAm prAdurBAvaH tatas punar // BhH _35.261 //
   saṃbhavanti tataśśukrātprāṇinaḥ pṛdhivītale /	saMBavanti tatas SukrAt prANinaH pRDivI tale /
   agniṣṭomau hi tacchrakraṃ sṛjataḥ puṣyataśca ha // BhS_35.262 //	agnizwomO hi tat Srakram sRjataH puzyataH ca ha // BhH _35.262 //
   evamannāddhi sūryaśca pavanaśśukramevaca /	evam annAt hi sUryaH ca pavanaH Sukram eva ca /
   eka eva smṛto rāśistato bhūtāni jaṅgire // BhS_35.263 //	ekaH eva smRtaH rASiH tatas BUtAni jaFgire // BhH _35.263 //
   prāṇān dadāti bhūtānāṃ tejaśca satataprabham /	prANAn dadAti BUtAnAm tejaH ca satata praBam /
   gṛhamabhyāgatāyātha yo dadyādannamarthine // BhS_35.264 //	gRham aByAgatAya aTa yaH dadyAt annam arTine // BhH _35.264 //
   annadānāddhi yelokāstāṃśruṇudhvaṃ samāhitāḥ /	anna dAnAt hi yelokAH tAnSruNuDvam samAhitAH /
   bhavanāni prakāśante divi teṣāṃ mahātmanām // BhS_35.265 //	BavanAni prakASante divi tezAm mahAtmanAm // BhH _35.265 //
   tārāsaṃsthānarūpāṇi nānā staṃbhānvitāni ca /	tArA saMsTAna rUpANi nAnA staMBa anvitAni ca /
   candramaṇḍalaśubhrāṇi kiṅkiṇījālavanti ca // BhS_35.266 //	candra maNxala SuBrANi kiFkiNI jAlavanti ca // BhH _35.266 //
   taruṇādityavarṇāni sthāvarāṇi carāṇica /	taruNa Aditya varNAni sTAvarANi carANi ca /
   anekaśatabhaumāni sāṃtarjalacarāṇi ca // BhS_35.267 //	aneka Sata BOmAni sAMtar jala carANi ca // BhH _35.267 //
   vaiḍūryārkaprakāśāni raukmarūpyamayāni ca /	vExUrya arka prakASAni rOkma rUpya mayAni ca /
   sarvakāmaphalāścāpi vṛkṣā bhavanasaṃsthitāḥ // BhS_35.268 //	sarva kAma PalAH ca api vRkzAH Bavana saMsTitAH // BhH _35.268 //
   vāpyo vīthyaḥ sabhāḥ kūpādīrghi kāścaiva sarvaśaḥ /	vApyaH vITyaH saBAH kUpa AdIrGi kAH ca eva sarvaSas /
   ghoṣavantyatha yānāni muktānyatha sahasraśaḥ // BhS_35.269 //	Gozavanti aTa yAnAni muktAni aTa sahasraSas // BhH _35.269 //
   bhakṣyabhojyamayāśśailā vāsāṃsyābharaṇāni ca /	Bakzya Bojya mayAH SElAH vAsAMsi ABaraNAni ca /
   kṣīraṃ sravanti saritastathā caivānna parvatāḥ // BhS_35.270 //	kzIram sravanti saritaH taTA ca eva at na parvatAH // BhH _35.270 //
   prāsādāḥ pāṇḍurābhrābhāśśayyāśca kanakojjvalāḥ /	prAsAdAH pANxura aBra ABAH SayyAH ca kanaka ujjvalAH /
   tānyannadāḥ prapadyante tasmādannaṃ dadetsadā // BhS_35.271 //	tAni anna dAH prapadyante tasmAt annam dadet sadA // BhH _35.271 //
   dadyādadyātsadaivānnaṃ viṣṇave viniveditam /	dadyAt adyAt sadA eva annam vizNave viniveditam /
   haviḥpātrādi sauvarṇaṃ rājataṃ tāmrameva vā // BhS_35.272 //	haviH pAtra Adi sOvarNam rAjatam tAmram eva vA // BhH _35.272 //
   kāṃsyaṃ vāpyatha yo dadyādarghya pātrādikānapi /	kAMsyam vA api aTa yaH dadyAt arGya pAtra AdikAn api /
   kalaśān karakān kuṃbhānanyāṃścaiva paricchadān // BhS_35.273 //	kalaSAn karakAn kuMBAn anyAn= ca eva paricCadAn // BhH _35.273 //
   śaktilobhamakṛtvaiva tasya puṇyaphalaṃ mahat /	Sakti loBam akRtvA eva tasya puNya Palam mahat /
   sauvarṇānyevayo dadyātsārūpyaṃ labhate phalam // BhS_35.274 //	sOvarNAni evayaH dadyAt sArUpyam laBate Palam // BhH _35.274 //
   rājatānyatha yodadyātsāmīpyaṃ phalamāpnuyāt /	rAjatAni aTa yodat yAt sAmIpyam Palam ApnuyAt /
   dadyāttāmrāṇi kāṃsyāni sārokyaṃ padameti saḥ // BhS_35.275 //	dadyAt tAmrANi kAMsyAni sArokyam padam eti saH // BhH _35.275 //
   dhvacānvicitrān yo dadyānnānāvarṇa samāyutān /	DvacAn vicitrAn yaH dadyAt nAnA varNa samAyutAn /
   sarveṣāmuttamo bhūtvā kulaketurbhaviṣyati // BhS_35.276 //	sarvezAm uttamaH BUtvA kulaketuH Bavizyati // BhH _35.276 //
   śvetaṃ vitānaṃ raktaṃ vā kṛṣṇaṃ pītaṃ ca śyāmalam /	Svetam vitAnam raktam vA kRzNam pItam ca SyAmalam /
   dukūlenātha paṭṭena tantunānyena vā kṛtam // BhS_35.277 //	dukUlena aTa pawwena tantunA anyena vA kRtam // BhH _35.277 //
   yo dadyāddevadevasya sa gacchedvaiṣṇavaṃ padam /	yaH dadyAt devadevasya sa gacCet vEzNavam padam /
   sopadhānāṃ satalpāṃ ca khaṭvāṃ dadyācca yohareḥ // BhS_35.278 //	sa upaDAnAm sa talpAm ca KawvAm dadyAt ca yohareH // BhH _35.278 //
   kuberalokamāsādya tatra sammodate ciram /	kubera lokam AsAdya tatra sammodate ciram /
   ātapatraṃ tathā haimaṃ muktādāmavibhūṣitam // BhS_35.279 //	Atapatram taTA hEmam muktA dAma viBUzitam // BhH _35.279 //
   haimadaṇḍayutaṃ dadyādindralokaṃ sa gacchati /	hEma daNxa yutam dadyAt indra lokam sa gacCati /
   rājyakāmī tu rājā syātsārvabhaumo 'pi jāyate // BhS_35.280 //	rAjya kAmI tu rAjA syAt sArvaBOmaH api jAyate // BhH _35.280 //
   mayūracchatradānāttu vāruṇaṃ lokamāpnuyāt /	mayUra= Catra dAnAt tu vAruNam lokam ApnuyAt /
   cāmaraṃ hemadaṇḍaṃ ca vyajanaṃ ratnabhūṣitam // BhS_35.281 //	cAmaram hema daNxam ca vyajanam ratna BUzitam // BhH _35.281 //
   kevalaṃ hemadaṇḍaṃ vā bhaktyā śaktyā ca saṃyutam /	kevalam hema daNxam vA BaktyA SaktyA ca saMyutam /
   arpayeddharaye yastu devaloke mahīyate // BhS_35.282 //	arpayet haraye yaH tu deva loke mahIyate // BhH _35.282 //
   mayūravyajanaṃ tadvadrukmadaṇḍaṃ ca śaktitaḥ /	mayUra vyajanam tadvat rukma daNxam ca Saktitas /
   bhaktyaiva yo harerdadyādvāyuloke mahīyate // BhS_35.283 //	BaktyA eva yaH hareH dadyAt vAyu loke mahIyate // BhH _35.283 //
   vimānaṃ haivasaṃcchannaṃ viṣṇoryaḥ kārayennaraḥ /	vimAnam ha eva saMcCannam vizNoH yaH kArayet naraH /
   aśakyaṃ tatphalaṃ vaktuṃ sarvairapi surāsuraiḥ // BhS_35.284 //	aSakyam tad Palam vaktum sarvEH api sura asurEH // BhH _35.284 //
   sauvarmaṃ viṣṇurūpantu yo bhaktyaiva tu kārayet /	sOvarmam vizNu rUpantu yaH BaktyA eva tu kArayet /
   tasyāpi yatphalaṃ sarvamanantamiti naśśrutam // BhS_35.285 //	tasya api yat Palam sarvam anantam iti naH Srutam // BhH _35.285 //
   maṇḍapaṃ vā prapāṃ vātha ratnamuktopaśobhitam /	maNxapam vA prapAm vA aTa ratna mukta upaSoBitam /
   hemalaṃba? samāyuktaṃ haimastaṃbhapariṣkṛtam // BhS_35.286 //	hema laMba? samAyuktam hEma staMBa parizkRtam // BhH _35.286 //
   kalpayedviṣṇusālokyaṃ prāpnotyamaradurlabham /	kalpayet vizNu sAlokyam prApnoti amara durlaBam /
   haimaṃ siṃhāsanaṃ śreṣṭhaṃ yo bhaktyaivār'payeddhareḥ // BhS_35.287 //	hEmam siMhAsanam SrezWam yaH BaktyA eva Arapayet hareH // BhH _35.287 //
   siṃhāsanaṃ samāsthāya māhendrīṃ saṃpadaṃ vrajet /	siMhAsanam samAsTAya mAhendrIm saMpadam vrajet /
   haimīryāśśibikāścaiva raṅgādīnyaśca kārayet // BhS_35.288 //	hEmIryAH SibikAH ca eva raFga AdIn yaH ca kArayet // BhH _35.288 //
   haimaṃ yānaṃ tathāruhya viṣṇulokaṃ sa gacchati /	hEmam yAnam taTA Aruhya vizNu lokam sa gacCati /
   aśaktodāravān vātharaṅgādīn śibikāstathā // BhS_35.289 //	aSakta udAravAn vA aTaraFga AdIn SibikAH taTA // BhH _35.289 //
   siṃhāsanaṃ vā yo dadyātsomalokaṃ sa gacchati /	siMhAsanam vA yaH dadyAt soma lokam sa gacCati /
   yaśca kāṃsyamayīṃ ghaṇṭāṃhṛdyadhvaniyutāṃ dadet // BhS_35.290 //	yaH ca kAMsya mayIm GaNwAMhRdyaDva niyutAm dadet // BhH _35.290 //
   hṛdyavāksusvaro hṛdyo vāgmī sa tu bhavennaraḥ /	hRdya vAc su svaraH hRdyaH vAgmI sa tu Bavet naraH /
   śaṅkhabheryādidānena śakraloke sa pūjyate // BhS_35.291 //	SaFKa BerI Adi dAnena Sakra loke sa pUjyate // BhH _35.291 //
   nṛttageyādibhirvādyairghoṣaṇaṃ kārayettu yaḥ /	nRtta geya AdiBiH vAdyEH GozaNam kArayet tu yaH /
   nartayedapsarobhirvā gāndharvaṃ lokamāpnuyāt // BhS_35.292 //	nartayet apsaroBiH vA gAnDarvam lokam ApnuyAt // BhH _35.292 //
   vīṇāveṇuvinādaiśca śaktyā yaḥ pūjayeddharim /	vINA veNu vinAdEH ca SaktyA yaH pUjayet harim /
   bhuktvātramahadaiśvaryaṃ vaiṣṇavaṃ padamāpnuyāt // BhS_35.293 //	BuktvA atra mahat ESvaryam vEzNavam padam ApnuyAt // BhH _35.293 //
   yadyaddravyaṃ mudā yukto dadyāttu haraye naraḥ /	yat yat dravyam mudA yuktaH dadyAt tu haraye naraH /
   tadagre pūjakebhyaśca gurave ca viśeṣataḥ // BhS_35.294 //	tad agre pUjakeByaH ca gurave ca viSezataH // BhH _35.294 //
   tatprītyai cetarebhyaśca brāhmaṇebhyo vidhānataḥ /	tad prItyE ca itareByaH ca brAhmaNeByaH viDAnataH /
   samṛddhiṃ tasya tasyaiva dravyasyāpnotyasaṃśayam // BhS_35.295 //	samRdDim tasya tasya eva dravyasya Apnoti asaMSayam // BhH _35.295 //
   yaṃ kāmayitvā dadyādyattatsarvaṃ sa labhennaraḥ /	yam kAmayitvA dadyAt yat tat sarvam sa laBet naraH /
   yadyatkarma tadarthaṃ syātparicaryā ca tasya yā // BhS_35.296 //	yat yat karma tad arTam syAt paricaryA ca tasya yAH // BhH _35.296 //
   tasyopacāraṃ yatkarma karoti śraddhayā tu yaḥ /	tasya upacAram yat karma karoti SradDayA tu yaH /
   sarvayajñaphalaṃ prāpya nāmīpyaṃ padamāpnu yāt // BhS_35.297 //	sarva yajQa Palam prApya nAmIpyam padam Apnu yAt // BhH _35.297 //
   tasmādatra pratiṣṭhāpya devadevasya mandiram /	tasmAt atra pratizWApya devadevasya mandiram /
   śaktilobhamakṛtvaiva vibhavānāñcabhaktitaḥ // BhS_35.298 //	Sakti loBam akRtvA eva viBavAnAQca BaktitaH // BhH _35.298 //
   bahudhā bahulāṃ vṛttiṃ kalpayeccettaduttamam /	bahuDA bahulAm vRttim kalpayet ced tat uttamam /
   athār'cane phalaṃ vakṣye viśeṣeṇa madhudviṣaḥ // BhS_35.299 //	aTa aracane Palam vakzye viSezeNa maDudvizaH // BhH _35.299 //
   bhaktyāpradakṣiṇaṃ kurvannityaṃ viṣṇvālaye naraḥ /	BaktyA pradakziNam kurvat nityam vizNu Alaye naraH /
   sāyaṃ prātaśca deveśaṃ namasyannatha cintayan // BhS_35.300 //	sAyam prAtar ca deveSam namasyan= aTa cintayan // BhH _35.300 //
   yaḥ pramāmaṃ muhuḥ kuryātsa tu yajñaphalaṃ labhet /	yaH pramAmam muhur kuryAt sa tu yajQa Palam laBet /
   upacāraviśeṣāṇādvakṣyate phalam // BhS_35.301 //	upacAra viSezANAt vakzyate Palam // BhH _35.301 //
   dhyānamāvāhanaṃ kṛtvā sarvān kāmānavāpnuyāt /	DyAnam AvAhanam kRtvA sarvAn kAmAn avApnuyAt /
   aṣṭāṅgayogamārgeṇa manasā bhāvayan harim // BhS_35.302 //	azwAFga yoga mArgeNa manasA BAvayan harim // BhH _35.302 //
   saṃcintya manasā pūrvaṃ pūtakāyo mahāmanāḥ /	saMcintya manasA pUrvam pUta kAyaH mahAmanAH /
   yaḥ kuryātpūjanaṃ viṣṇostatra devo vaseddhruvam // BhS_35.303 //	yaH kuryAt pUjanam vizNoH tatra devaH vaset Druvam // BhH _35.303 //
   arcakasya tapoyogātpūjāyā ścātiśāyanāt /	arcakasya tapaH yogAt pUjAyAH Sca atiSAyanAt /
   ābhirūpyācca biṃbasya sannidheḥ procyate hareḥ // BhS_35.304 //	ABirUpyAt ca biMbasya sanniDeH procyate hareH // BhH _35.304 //
   āsanaṃ haraye datvā pratiṣṭhāṃ labhate ciram /	Asanam haraye datvA pratizWAm laBate ciram /
   svāgatenānumānena yaḥ pūjayati mādhavam // BhS_35.305 //	svAgatena anumAnena yaH pUjayati mADavam // BhH _35.305 //
   sarvairanumato bhūtvā svāgataṃ so 'bhipadyate /	sarvEH anumataH BUtvA svAgatam saH aBipadyate /
   pādyamācamanīyaṃ ca samarpya haraye naraḥ // BhS_35.306 //	pAdyam AcamanIyam ca samarpya haraye naraH // BhH _35.306 //
   bāhyamābhyantaraṃ yattu pāpaṃ tena vimucyate /	bAhyam AByantaram yat tu pApam tena vimucyate /
   nityaṃ puṣpāṇi puṇyāni bhaktyā yastu samarcayet // BhS_35.307 //	nityam puzpANi puNyAni BaktyA yaH tu samarcayet // BhH _35.307 //
   sūryakoṭinibhaṃ divyaṃ vimānamadhiruhyasaḥ /	sUrya kowi niBam divyam vimAnam aDiruhyasaH /
   viṣṇulokaṃ gatassatyaṃ viṣṇuvanmodate ciram // BhS_35.308 //	vizNu lokam gata ssatyam vizNu vat modate ciram // BhH _35.308 //
   deveśaṃ puṣpamālādyairalaṅkuryācca yo budhaḥ /	deveSam puzpa mAlA AdyEH alaFkuryAt ca yaH buDaH /
   tasyānantaphalaṃ prokta mananto bhagavān hariḥ // BhS_35.309 //	tasya ananta Palam prokta manantaH BagavAn hariH // BhH _35.309 //
   caṃpakāśokapunnāga jātīmalayapaṅkajam /	caMpaka aSoka punnAga jAtI malaya paFkajam /
   samarpya devadevāya śubhānāmāśrayo bhavet // BhS_35.310 //	samarpya devadevAya SuBAnAm ASrayaH Bavet // BhH _35.310 //
   damanośīralāmajjā ketakyutpalamarpayet /	damana uSIra lAmajjA ketakI utpalam arpayet /
   maṅgalaṃ tasya niśchidraṃ bhavedeva na saṃśayaḥ // BhS_35.311 //	maFgalam tasya niSCidram Bavet eva na saMSayaH // BhH _35.311 //
   tulasīmarpayedvidvān pādayorbhaktito hareḥ /	tulasIm arpayet vidvAn pAdayoH BaktitaH hareH /
   sa cāna ntaphalaṃ prāpya modate viṣṇusannedhau // BhS_35.312 //	sa ca anaH nta Palam prApya modate vizNu sanneDO // BhH _35.312 //
   sugandhipuṣpadānena sugandhirjāyate naraḥ /	suganDi puzpa dAnena suganDiH jAyate naraH /
   bahupuṣpapradānena bahudhā tuṣyate?hariḥ // BhS_35.313 //	bahu puzpa pradAnena bahuDA tuzyate? hariH // BhH _35.313 //
   bahujātisumānāṃ ca dānena prīyate sa vai /	bahu jAti sumAnAm ca dAnena prIyate sa vE /
   pādayorarpaṇādviṣṇoḥ puṣpāṇāṃ saṃcayaṃ sakṛt // BhS_35.314 //	pAdayoH arpaNAt vizNoH puzpANAm saMcayam sakRt // BhH _35.314 //
   padepade cāśvamedhaphalaṃ prāpnotyasaṃśayam /	padepade ca aSvameDa Palam prApnoti asaMSayam /
   tulasīṃ mūrthni devasya samarpya madhuvidviṣaḥ // BhS_35.315 //	tulasIm mUrTni devasya samarpya maDu vidvizaH // BhH _35.315 //
   naraḥ pāpādvimucyeta karmaṇā nopalipyate /	naraH pApAt vimucyeta karmaNA na upalipyate /
   sarvāṅgeṣvarpayan puṣpaṃ sarvagasya naro hareḥ // BhS_35.316 //	sarva aFgezu arpayan puzpam sarvagasya naraH hareH // BhH _35.316 //
   sarvadā sarvalokeṣu kāmacoro bhaviṣyati /	sarvadA sarva lokezu kAma coraH Bavizyati /
   alaṅkṛtya phalairdevaṃ puṣpārpaṇaphalaṃ labhet // BhS_35.317 //	alaFkRtya PalEH devam puzpa arpaNa Palam laBet // BhH _35.317 //
   saṃgandhacandanadravyaṃ karpūrādiyutaṃ tathā /	saMganDa candana dravyam karpUra Adi yutam taTA /
   yathārhamarpayedaṅgeślakṣṇaṃ sarvāṅgasundaram // BhS_35.318 //	yaTArham arpayet aFgeH lakzNam sarva aFga sundaram // BhH _35.318 //
   sa naro viṣṇusālokyaṃ prayātyamaradurlabham /	sa naraH vizNu sAlokyam prayAti amara durlaBam /
   svayamevāhṛtaiḥ puṣpaiḥ pūjayedyastu mādhavam // BhS_35.319 //	svayam eva AhRtEH puzpEH pUjayet yaH tu mADavam // BhH _35.319 //
   sa sarvān samavāpnoti puṣpārpaṇaphalādikān /	sa sarvAn samavApnoti puzpa arpaNa Pala AdikAn /
   sarveṣāmapi puṣpāṇāṃ tulasī prītidā hareḥ // BhS_35.320 //	sarvezAm api puzpANAm tulasI prIti dA hareH // BhH _35.320 //
   tulasīdalamādāya yatra gacchati pūjakaḥ /	tulasI dalam AdAya yatra gacCati pUjakaH /
   anugacchati taṃ devo yathā gorvatsalā bhṛśam // BhS_35.321 //	anugacCati tam devaH yaTA goH vatsalAH BRSam // BhH _35.321 //
   pratyahaṃ pūjayedyastu tulasyā garuḍadhvajam /	pratyaham pUjayet yaH tu tulasyA garuxaDvajam /
   janmamṛtyujarāvyādhimukto muktimavāpnuyāt // BhS_35.322 //	janma mRtyu jarA vyADi muktaH muktim avApnuyAt // BhH _35.322 //
   maṇikāñcanapuṣpāṇi muktāvaidūryakāni ca /	maNi kAQcana puzpANi muktA vEdUryakAni ca /
   tulasīdaladānasya kalāṃ nār'hanti ṣoḍaśīm // BhS_35.323 //	tulasI dala dAnasya kalAm nAr ahanti zoxaSIm // BhH _35.323 //
   sumañjarīdalairyuktaiḥ komalaistulasīdalaiḥ /	sumaQjarI dalEH yuktEH komalEH tulasI dalEH /
   ye kurvanti hareḥ pūjāṃ te kṛtārthāḥ kalau yuge // BhS_35.324 //	ye kurvanti hareH pUjAm te kRtArTAH kalO yuge // BhH _35.324 //
   śuṣkaṃ paryuṣitaṃ vār'draṃ kāṣṭhaṃ vā tulasīdalam /	Suzkam paryuzitam vAr adram kAzWam vA tulasI dalam /
   arcane vāsudevasya lakṣakoṭiguṇaṃ bhavet // BhS_35.325 //	arcane vAsudevasya lakza kowi guNam Bavet // BhH _35.325 //
   tulasīgrahaṇaṃ śastaṃ viṣṇorarcanahetave /	tulasI grahaNam Sastam vizNoH arcana hetave /
   varjyaṃ paryuṣitaṃ puṣpaṃ na varjyaṃ tulasīdalam // BhS_35.326 //	varjyam paryuzitam puzpam na varjyam tulasI dalam // BhH _35.326 //
   varjyaṃ paryuṣitaṃ toyaṃ na varjyaṃ jāhnavījalam /	varjyam paryuzitam toyam na varjyam jAhnavI jalam /
   anyatparyuṣitaṃ varjyaṃ na varjyaṃ padmapuṣpakam // BhS_35.327 //	anyat paryuzitam varjyam na varjyam padmapuzpakam // BhH _35.327 //
   śuṣkaiḥ paryuṣitairvāpi kāṣṭhamūlamṛdādibhiḥ /	SuzkEH paryuzitEH vA api kAzWa mUla mRd A AdiBiH /
   arcanādvāsudevasya mukto bhavati pūruṣaḥ // BhS_35.328 //	arcanAt vAsudevasya muktaH Bavati pUruzaH // BhH _35.328 //
   puṣkarādyāni tīrthāni gaṅgādyāssaritastathā /	puzkara AdyAni tIrTAni gaFgA AdyAssaritaH taTA /
   devā divisthitā ye vaitiṣṭhanti tulasīdale // BhS_35.329 //	devAH divi sTitAH ye vEtizWanti tulasI dale // BhH _35.329 //
   tāvadgarjanti puṣpāṇi mālatyādīni garvataḥ /	tAvat garjanti puzpANi mAlati AdIni garvataH /
   yāvanna prāpyate puṇyā tulasī viṣṇuvallabhā // BhS_35.330 //	yAvat na prApyate puNyA tulasI vizNuvallaBAH // BhH _35.330 //
   sakṛdabhyarcya govindaṃ tulasyā caiva mānavaḥ /	sakRt aByarcya govindam tulasyA ca eva mAnavaH /
   muktibhāgī nirātaṅkaṃ kṛṣṇasyānucaro bhavet // BhS_35.331 //	mukti BAgI nirAtaFkam kRzNasya anucaraH Bavet // BhH _35.331 //
   nākṣatairarcayedviṣṇuṃ na śaṃbhuṃ śaṅkhavāriṇā /	na akzatEH arcayet vizNum na SaMBum SaFKa vAriNA /
   nārcayeddūrvayā durgāṃ na tulasyā surāntaram // BhS_35.332 //	na arcayet dUrvayA durgAm na tulasyA sura antaram // BhH _35.332 //
   dalālābhe tulasyāstu patrairārādhayeddharim /	dala alABe tulasyAH tu patrEH ArADayet harim /
   patrālābhe śiphābhirvā śiphābhāve śiphālavaiḥ // BhS_35.333 //	patra alABe SiPABiH vA SiPa aBAve SiPA lavEH // BhH _35.333 //
   lavālābhe mṛdā tatra bhaktimānarcayeddharim /	lavA lABe mRdA tatra BaktimAn arcayet harim /
   harerabhyarcanāyāṃ ca tulasī sādhanaṃ param // BhS_35.334 //	hareH aByarcanAyAm ca tulasI sADanam param // BhH _35.334 //
   alābhe tulasī ca tannāmagrahaṇaṃ param /	alABe tulasI ca tad nAma grahaNam param /
   bhagavānaravindākṣassantuṣyati sahasradhā // BhS_35.335 //	BagavAn aravinda akzaH santuzyati sahasraDA // BhH _35.335 //
   na padmairnāpi kalhārairna hemakusumairapi /	na padmEH na api kalhArEH na hema kusumEH api /
   tathā tuṣyati govindo yathaina tulasīdalaiḥ // BhS_35.336 //	taTA tuzyati govindaH yaTA ena tulasI dalEH // BhH _35.336 //
   saṃgṛhya tulasīṃ bhaktyā sarvāniṣṭa /	saMgRhya tulasIm BaktyA sarva anizwa /
   tulasyaiva hareḥ pūjāṃ ye kurvanti sadā bhuvi // BhS_35.337 //	tulasya eva hareH pUjAm ye kurvanti sadA Buvi // BhH _35.337 //
   tasmāttulasyā sadṛśaṃ sa ca bhūtaṃ na bhāvi ca /	tasmAt tulasyA sadRSam sa ca BUtam na BAvi ca /
   tulasīkānanāmodavāpitā yatra mārutāḥ // BhS_35.338 //	tulasI kAnana Amoda vApitAH yatra mArutAH // BhH _35.338 //
   na tatra dharaṇībhāge caranti yamakiṅkarāḥ /	na tatra DaraNI BAge caranti yama kiFkarAH /
   "tulasī tulasī''tyevaṃ nāmānyāvartayantiye // BhS_35.339 //	"tulasI tulasI aati evam nAmAni Avartayantiye // BhH _35.339 //
   te viṣṇulokamāsādya paśyanti madhusūdanam /	te vizNu lokam AsAdya paSyanti maDusUdanam /
   darśanācchravaṇātsvarśātsmaraṇātkīrtanādapi // BhS_35.340 //	darSanAt SravaNAt svarSAt smaraNAt kIrtanAt api // BhH _35.340 //
   punāti tulasī puṇyā daśapūrvān daśāvarān /	punAti tulasI puNyAH daSa pUrvAn daSa avarAn /
   tulasīkānanaṃ yatra yatra vā harikīrtanam // BhS_35.341 //	tulasI kAnanam yatra yatra vA hari kIrtanam // BhH _35.341 //
   tatraivāste hariśśrīmān śaṅkhacakragadāyudhaḥ /	tatra eva Aste hariH SrImAn SaFKa cakra gadA AyuDaH /
   yaḥ pūjayetphalairviṣṇuṃ nupakvairamṛtopamaiḥ // BhS_35.342 //	yaH pUjayet PalEH vizNum nu pakvEH amRta upamEH // BhH _35.342 //
   puṇyavṛkṣasamudbhūtaistatphalaṃ kena varṇyate /	puNya vRkza samudBUtEH tad Palam kena varNyate /
   candanāgurukoṣṭhvādyairbhūpamāghrāpayeccayaḥ // BhS_35.343 //	candana aguru kozWu AdyEH BUpam AGrApayet cayaH // BhH _35.343 //
   sūryalokaṃ sa gatvaiva yāti viṣṇoḥ paraṃ padam /	sUrya lokam sa gatvA eva yAti vizNoH param padam /
   ghṛtena kāpilenaiva dṛḍhavartiyutaṃ tu yaḥ // BhS_35.344 //	GRtena kApilena eva dRXa varti yutam tu yaH // BhH _35.344 //
   darśayeddevadevasya dīpaṃ dṛṣṭimanoharam /	darSayet devadevasya dIpam dRzwi manoharam /
   so 'ndhaṃ naiva praviśati narakaṃ narapuṅgavaḥ // BhS_35.345 //	saH anDam na eva praviSati narakam nara puFgavaH // BhH _35.345 //
   yastu tailena saṃdīptaṃ darśayeddīpamujjvalam /	yaH tu tElena saMdIptam darSayet dIpam ujjvalam /
   vimānamatividyoti yātyāruhya tamaḥparam // BhS_35.346 //	vimAnam ati vidyoti yAti Aruhya tamaH param // BhH _35.346 //
   karbūradīpaṃ yo bhaktyā darśayeddharaye naraḥ /	karbUradIpam yaH BaktyA darSayet haraye naraH /
   tasya pāpāni naśyanti nirlepassa bhaviṣyati // BhS_35.347 //	tasya pApAni naSyanti nirlepaH sa Bavizyati // BhH _35.347 //
   vidhinār'ghyaṃ harerdadyādaṣṭhāṅgaṃ bhaktito naraḥ /	viDinA Ar aGyam hareH dadyAt azWa aFgam BaktitaH naraH /
   candralokaṃ sa gatvaiva yāti viṣṇoḥ paraṃ padam // BhS_35.348 //	candra lokam sa gatvA eva yAti vizNoH param padam // BhH _35.348 //
   sugandhi śubhamutpūtaṃ snānatoyaṃ ca yo dadet /	suganDi SuBam utpUtam snAna toyam ca yaH dadet /
   deveśasya viśeṣaṇa sa bhavedvītakalmaṣaḥ // BhS_35.349 //	deveSasya viSezaNa sa Bavet vIta kalmazaH // BhH _35.349 //
   tataśca vāruṇaṃ lokaṃ prāpya tatraiva modate /	tatas ca vAruNam lokam prApya tatra eva modate /
   plotavastrottarīyāṇi viśuddhāni mṛdūni ca // BhS_35.350 //	plota vastra uttarIyANi viSudDAni mRdUni ca // BhH _35.350 //
   devadevasya datvā tu saumyaṃ lokamavāpnuyāt /	devadevasya datvA tu sOmyam lokam avApnuyAt /
   kārpāsamatha ca kṣaumaṃ kauśeyaṃ rāṅkavaṃ tathā // BhS_35.351 //	kArpAsam aTa ca kzOmam kOSeyam rAFkavam taTA // BhH _35.351 //
   yathāśakti samarpyaiva phalaṃ cānantamaśnute /	yaTASakti samarpya eva Palam ca anantam aSnute /
   kārpāsādrāṅgavaṃ tasmātkau śeyaṃ kṣaumamityapi // BhS_35.352 //	kArpAsa adra aFgavam tasmAt kO Seyam kzOmam iti api // BhH _35.352 //
   praśastaṃ kathitaṃ vastraṃ yathā śaktyanurūpataḥ /	praSastam kaTitam vastram yaTA Sakti anurUpatas /
   sauvarṇābharaṇānyatra muktāmaṇikṛtāni vā // BhS_35.353 //	sOvarNa ABaraNAni atra muktAmaNi kRtAni vA // BhH _35.353 //
   arpayeddevadevasya bhavedbhūmipatissa hi /	arpayet devadevasya Bavet BUmipatiH sa hi /
