   kūrmapurāṇam 1	kUrmapurANam 1
   gaṅgāyamunayormadhye yastu grāmaṃ pratīcchati /	gaFgA yamunayoH maDye yaH tu grAmam pratIcCati /
   suvarṇamatha muktāṃ vā tathaivānyān pratigrahān // KūrmP_1,34.42 //	suvarNam aTa muktAm vA taTA eva anyAn pratigrahAn // KUrmP_1,34.42 //
   svakārye pitṛkārye vā devatābhyarcane 'pi vā /	sva kArye pitR kArye vA devatA aByarcane api vA /
   niṣphalaṃ tasya tat tīrthaṃ yāvat tatphalamaśnute // KūrmP_1,34.43 //	nizPalam tasya tat tIrTam yAvat tad Palam aSnute // KUrmP_1,34.43 //
   atastīrthe na gṛhṇīyāt puṇyeṣvāyataneṣu ca /	atas tIrTe na gRhNIyAt puNyezu Ayatanezu ca /
   nimitteṣu ca sarveṣu apramatto dvijo bhavet // KūrmP_1,34.44 //	nimittezu ca sarvezu apramattaH dvijaH Bavet // KUrmP_1,34.44 //
   kapilāṃ pāṭalāvarṇāṃ yastu dhenuṃ prayacchati /	kapilAm pAwalA varNAm yaH tu Denum prayacCati /
   svarṇaśṛṅgīṃ raupyakhurāṃ cailakaṇṭhāṃ payasvinīm // KūrmP_1,34.45 //	svarNa SRFgIm rOpya KurAm cEla kaNWAm payasvinIm // KUrmP_1,34.45 //
   yāvad romāṇi tasyā vai santi gātreṣu sattama /	yAvat romANi tasyAH vE santi gAtrezu sattamaH /
   tāvad varṣasahastrāṇi rudraloke mahīyate // KūrmP_1,34.46 //	tAvat varza sahastrANi rudra loke mahIyate // KUrmP_1,34.46 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge catustriśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge catur triSo
   'dhyāyaḥ	aDyAyaH
   mārkaṇḍeya uvāca	mArkaNxeyaH uvAca
   kathayiṣyāmi te vatsa tīrthayātrāvidhikramam /	kaTayizyAmi te vatsa tIrTa yAtrA viDi kramam /
   ārṣeṇa tu vidhānena yathā dṛṣṭaṃ yathā śrutam // KūrmP_1,35.1 //	ArzeNa tu viDAnena yaTA dRzwam yaTA Srutam // KUrmP_1,35.1 //
   prayāgatīrthayātrārtho yaḥ prayāti naraḥ kvacit /	prayAga tIrTa yAtrA arTaH yaH prayAti naraH kvacid /
   balīvardaṃ samārūḍhaḥ śṛṇu tasyāpi yatphalam // KūrmP_1,35.2 //	balIvardam samArUXaH SRNu tasya api yat Palam // KUrmP_1,35.2 //
   narake vasate ghore samāḥ kalpaśatāyutam /	narake vasate Gore samAH kalpa Sata ayutam /
   tato nivartate ghoro gavāṃ krodho hi dāruṇaḥ /	tatas nivartate GoraH gavAm kroDaH hi dAruNaH /
   salilaṃ ca na gṛhṇanti pitarastasya dehinaḥ // KūrmP_1,35.3 //	salilam ca na gRhNanti pitaraH tasya dehinaH // KUrmP_1,35.3 //
   yastu putrāṃstathā bālān snāpayet pāyayet tathā /	yaH tu putrAn= taTA bAlAn snApayet pAyayet taTA /
   yathātmanā tathā sarvān dānaṃ vipreṣu dāpayet // KūrmP_1,35.4 //	yaTA AtmanA taTA sarvAn dAnam viprezu dApayet // KUrmP_1,35.4 //
   aiśvaryāllobhamohād vā gacched yānena yo naraḥ /	ESvaryAt loBa mohAt vA gacCet yAnena yaH naraH /
   niṣphalaṃ tasya tat tīrthaṃ tasamādyānaṃ vivarjayet // KūrmP_1,35.5 //	nizPalam tasya tat tIrTam tasamAdyAnam vivarjayet // KUrmP_1,35.5 //
   gaṅgāyamunayormadhye yastu kanyāṃ prayacchati /	gaFgA yamunayoH maDye yaH tu kanyAm prayacCati /
   ārṣeṇa tu vivāhena yathā vibhavavistaram // KūrmP_1,35.6 //	ArzeNa tu vivAhena yaTA viBava vistaram // KUrmP_1,35.6 //
   na sa paśyati taṃ ghoraṃ narakaṃ tena karmaṇā /	na sa paSyati tam Goram narakam tena karmaNA /
   uttarān sa kurūn gatvā modate kālamakṣayam // KūrmP_1,35.7 //	uttarAn sa kurUn gatvA modate kAlam akzayam // KUrmP_1,35.7 //
   vaṭamūlaṃ samāśritya yastu prāṇān parityajet /	vawa mUlam samASritya yaH tu prANAn parityajet /
   sarvalokānatikramya rudralokaṃ sa gacchati // KūrmP_1,35.8 //	sarva lokAn atikramya rudra lokam sa gacCati // KUrmP_1,35.8 //
   tatra brahmādayo devā diśaśca sadigīśvarāḥ /	tatra brahma AdayaH devAH diSaH ca sa digISvarAH /
   lokapālāśca siddhāśca pitaro lokasaṃmatāḥ // KūrmP_1,35.9 //	lokapAlAH ca sidDAH ca pitaraH loka saMmatAH // KUrmP_1,35.9 //
   sanatkumārapramukhāstathā brahmarṣayo 'pare /	sanatkumAra pramuKAH taTA brahmarzayaH apare /
   nāgāḥ supārṇāḥ siddhāśca tathā nityaṃ samāsate /	nAgAH supArNAH sidDAH ca taTA nityam samAsate /
   hariśca bhagavānāste prajāpatipuraskṛtaḥ // KūrmP_1,35.10 //	hariH ca BagavAn Aste prajApati puraskRtaH // KUrmP_1,35.10 //
   gaṅgāyamunayormadhye pṛthivyā jaghanaṃ smṛtam /	gaFgA yamunayoH maDye pRTivyAH jaGanam smRtam /
   prayāgaṃ rājaśārdūla triṣu lokeṣu viśrutam // KūrmP_1,35.11 //	prayAgam rAja SArdUla trizu lokezu viSrutam // KUrmP_1,35.11 //
   tatrābhiṣekaṃ yaḥ kuryāt saṃgame saṃśitavrataḥ /	tatra aBizekam yaH kuryAt saMgame saMSita vrataH /
   tulyaṃ phalavāpnoti rājasūyāśvamedhayoḥ // KūrmP_1,35.12 //	tulyam Pala vApnoti rAjasUya aSvameDayoH // KUrmP_1,35.12 //
   na mātṛvacanāt tāta na lokavacanādapi /	na mAtR vacanAt tAta na loka vacanAt api /
   matirutkramaṇīyā te prayāgagāmanaṃ prati // KūrmP_1,35.13 //	matiH utkramaNIyA te prayAga gAmanam prati // KUrmP_1,35.13 //
   daśa tīrtha sahastrāṇi ṣaṣṭikoṭyastathāpare /	daSa tIrTa sa hastrANi zazwi kowyaH taTA apare /
   teṣāṃ sānnidhyamatraiva tīrthānāṃ kurunandana // KūrmP_1,35.14 //	tezAm sAnniDyam atra eva tIrTAnAm kuru nandana // KUrmP_1,35.14 //
   yā gatiryogayuktasya sattvasthasya manīṣiṇaḥ /	yA gatiH yoga yuktasya sattva sTasya manIziNaH /
   sā gatistyajataḥ prāṇān gaṅgāyamunasaṃgame // KūrmP_1,35.15 //	sA gatiH tyajataH prANAn gaFgA yamuna saMgame // KUrmP_1,35.15 //
   na te jīvanti loke 'smin yatra tatra yudhiṣṭhira /	na te jIvanti loke asmin yatra tatra yuDizWira /
   ye prayāgaṃ na saṃprāptāstriṣu lokeṣu viśrutam // KūrmP_1,35.16 //	ye prayAgam na saMprAptAH trizu lokezu viSrutam // KUrmP_1,35.16 //
   evaṃ dṛṣṭvā tu tat tīrthaṃ prayāgaṃ paramaṃ padam /	evam dRzwvA tu tat tIrTam prayAgam paramam padam /
   mucyate sarvapāpebhyaḥ śaśāṅka iva rāhuṇā // KūrmP_1,35.17 //	mucyate sarva pApeByaH SaSAFkaH iva rAhuNA // KUrmP_1,35.17 //
   kambalāśvatarau nāgau yamunādakṣiṇe taṭe /	kambala aSvatarO nAgO yamunA dakziNe tawe /
   tatra snātvā ca pītvā ca mucyate sarvapātakaiḥ // KūrmP_1,35.18 //	tatra snAtvA ca pItvA ca mucyate sarva pAtakEH // KUrmP_1,35.18 //
   tatra gatvā naraḥ sthānaṃ mahādevasya dhīmataḥ /	tatra gatvA naraH sTAnam mahAdevasya DImataH /
   ātmānaṃ tārayet pūrvaṃ daśātītān daśāparān // KūrmP_1,35.19 //	AtmAnam tArayet pUrvam daSa atItAn daSa aparAn // KUrmP_1,35.19 //
   kṛtvābhiṣekaṃ tu naraḥ so 'śvamedhaphalaṃ labhet /	kRtvA aBizekam tu naraH saH aSvameDa Palam laBet /
   svargalokamavāpnoti yāvadāhūtasaṃplavam // KūrmP_1,35.20 //	svarga lokam avApnoti yAvat AhUta saMplavam // KUrmP_1,35.20 //
   pūrvapārśve tu gaṅgāyāstrailokyakhyātimān nṛpa /	pUrva pArSve tu gaFgAyAH trElokya KyAtimAn nRpa /
   avacaḥ sarvasāmudraḥ pratiṣṭhānaṃ ca viśrutam // KūrmP_1,35.21 //	avacaH sarva sAmudraH pratizWAnam ca viSrutam // KUrmP_1,35.21 //
   brahmacārī jitakrodhastrirātraṃ yadi tiṣṭhati /	brahmacArI jita kroDaH tri rAtram yadi tizWati /
   sarvapāpaviśuddhātmā so 'śvamedhaphalaṃ labhet // KūrmP_1,35.22 //	sarva pApa viSudDa AtmA saH aSvameDa Palam laBet // KUrmP_1,35.22 //
   uttareṇa pratiṣṭhānaṃ bhāgīrathyāstu savyataḥ /	uttareNa pratizWAnam BAgIraTyAH tu savyatas /
   haṃsaprapatanaṃ nāma tīrthaṃ trailokyaviśrutam // KūrmP_1,35.23 //	haMsaprapatanam nAma tIrTam trElokya viSrutam // KUrmP_1,35.23 //
   aśvamedhaphalaṃ tatra smṛtamātrāt tu jāyate /	aSvameDa Palam tatra smRta mAtrAt tu jAyate /
   yāvaccandraśca sūryaśca tāvat svarge mahīyate // KūrmP_1,35.24 //	yAvat candraH ca sUryaH ca tAvat svarge mahIyate // KUrmP_1,35.24 //
   urvaśīpuline ramye vipule haṃsapāṇḍure /	urvaSI puline ramye vipule haMsa pANxure /
   parityajatiyaḥ prāṇān śṛṇu tasyāpi yat phalam // KūrmP_1,35.25 //	parityajatiyaH prANAn SRNu tasya api yat Palam // KUrmP_1,35.25 //
   ṣaṣṭivarṣasahastrāṇi ṣaṣṭivarṣaśatāni ca /	zazwi varza sahastrANi zazwi varza SatAni ca /
   āste sa pitṛbhiḥ sārdhaṃ svargaloke narādhipa // KūrmP_1,35.26 //	Aste sa pitRBiH sArDam svarga loke narADipa // KUrmP_1,35.26 //
   athaṃ saṃdhyāvaṭe ramye brahmacārī jitendriyaḥ /	aTam saMDyA vawe ramye brahmacArI jita indriyaH /
   naraḥ śucirupāsīta brahmalokamavāpnuyāt // KūrmP_1,35.27 //	naraH SuciH upAsIta brahma lokam avApnuyAt // KUrmP_1,35.27 //
   koṭitīrthaṃ samāśritya yastu prāṇān parityajet /	kowitIrTam samASritya yaH tu prANAn parityajet /
   koṭivarṣasahastrāṇi svargaloke mahīyate // KūrmP_1,35.28 //	kowi varza sahastrANi svarga loke mahIyate // KUrmP_1,35.28 //
   yatra gaṅgā mahābhāgā bahutīrthatapovanā /	yatra gaFgA mahABAgA bahu tIrTa tapaH vanAH /
   siddhakṣetraṃ hi tajjñeyaṃ nātra kāryā vicāraṇā // KūrmP_1,35.29 //	sidDa kzetram hi tat jQeyam na atra kAryA vicAraNAH // KUrmP_1,35.29 //
   kṣitau tārayate martyān nāgāṃstārayate 'pyadhaḥ /	kzitO tArayate martyAn nAgAn= tArayate api aDas /
   divi tārayate devāṃstena tripathagā smṛtā // KūrmP_1,35.30 //	divi tArayate devAn= tena tripaTagA smRtA // KUrmP_1,35.30 //
   yāvadasthīni gaṅgāyāṃ tiṣṭhanti puruṣasya tu /	yAvat asTIni gaFgAyAm tizWanti puruzasya tu /
   tāvad varṣasahastrāṇi svargaloke mahīyate // KūrmP_1,35.31 //	tAvat varza sahastrANi svarga loke mahIyate // KUrmP_1,35.31 //
   tīrthānāṃ paramaṃ tīrthaṃ nadīnāṃ paramā nadī /	tIrTAnAm paramam tIrTam nadInAm paramA nadI /
   mokṣadā sarvabhūtānāṃ mahāpātakināmapi // KūrmP_1,35.32 //	mokza dA sarva BUtAnAm mahApAtakinAm api // KUrmP_1,35.32 //
   sarvatra sulabhā gaṅgā triṣu sthāneṣu durlabhā /	sarvatra sulaBA gaFgA trizu sTAnezu durlaBA /
   gaṅgādvāre prayāge ca gaṅgāsāgarasaṃgame // KūrmP_1,35.33 //	gaFgAdvAre prayAge ca gaFgAsAgara saMgame // KUrmP_1,35.33 //
   sarveṣāme bhūtānāṃ pāpopahatacetasām /	sarveza Ame BUtAnAm pApa upahata cetasAm /
   gatimanveṣamāṇānāṃ nāsti gaṅgāsamā gatiḥ // KūrmP_1,35.34 //	gatim anvezamANAnAm na asti gaFgA samA gatiH // KUrmP_1,35.34 //
   pavitrāṇāṃ pavitraṃ ca maṅgalānāṃ ca maṅgalam /	pavitrANAm pavitram ca maFgalAnAm ca maFgalam /
   māheśvarāt paribhraṣṭā sarvapāpaharā śubhā // KūrmP_1,35.35 //	mAheSvarAt pariBrazwA sarva pApa harA SuBA // KUrmP_1,35.35 //
   kṛte yuge tu tīrthāni tretāyāṃ puṣkaraṃ param /	kRte yuge tu tIrTAni tretAyAm puzkaram param /
   dvāpare tu kurukṣetraṃ kalau gaṅgāṃ viśiṣyate // KūrmP_1,35.36 //	dvApare tu kurukzetram kalO gaFgAm viSizyate // KUrmP_1,35.36 //
   gaṅgāmeva niṣeveta prayāge tu viśeṣataḥ /	gaFgAm eva nizeveta prayAge tu viSezataH /
   nānyat kaliyugodbhūtaṃ malaṃ hantuṃ suduṣkṛtam // KūrmP_1,35.37 //	na anyat kali yuga udBUtam malam hantum su duzkRtam // KUrmP_1,35.37 //
   akāmo vā sakāmo vā gaṅgāyāṃ yo vipadyate /	akAmaH vA sa kAmaH vA gaFgAyAm yaH vipadyate /
   sa mṛto jāyate svarge narakaṃ ca na paśyati // KūrmP_1,35.38 //	sa mRtaH jAyate svarge narakam ca na paSyati // KUrmP_1,35.38 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge pañcatriṃśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge paQcatriMSaH 
   'dhyāyaḥ	aDyAyaH
   mārkaṇḍeya uvāca	mArkaNxeyaH uvAca
   ṣaṣṭistīrthasahastrāṇi ṣaṣṭistīrthaśatāni ca /	zazwiH tIrTa sahastrANi zazwiH tIrTa SatAni ca /
   māghamāse gamiṣyanti gaṅgāyamunasaṃgamam // KūrmP_1,36.1 //	mAGa mAse gamizyanti gaFgA yamuna saMgamam // KUrmP_1,36.1 //
   gavāṃ śatasahastrasya samyag dattasya yat phalam /	gavAm Sata sahastrasya samyak dattasya yat Palam /
   prayāge māghamāse tu tryahaṃ snātasya tat phalam // KūrmP_1,36.2 //	prayAge mAGa mAse tu tri aham snAtasya tat Palam // KUrmP_1,36.2 //
   gaṅgāyamunayormadhye kārṣāgniṃ yastu sādhayet /	gaFgA yamunayoH maDye kArza agnim yaH tu sADayet /
   ahīnāṅgo 'pyarogaśca pañcendriyasamanvitaḥ // KūrmP_1,36.3 //	ahIna aFgaH api arogaH ca paQca indriya samanvitaH // KUrmP_1,36.3 //
   yāvanti romakūpāṇi tasya gātreṣu mānada /	yAvanti romakUpANi tasya gAtrezu mAnada /
   tāvad varṣasahastrāṇi svargaloke mahīyate // KūrmP_1,36.4 //	tAvat varza sahastrANi svarga loke mahIyate // KUrmP_1,36.4 //
   tataḥ svargāt paribhraṣṭo jambūdvīpapatirbhavet /	tatas svargAt pariBrazwaH jambUdvIpa patiH Bavet /
   sa bhuktvā vipulān bhogāṃstat tīrthaṃ bhajate punaḥ // KūrmP_1,36.5 //	sa BuktvA vipulAn BogAn= tat tIrTam Bajate punar // KUrmP_1,36.5 //
   jalapraveśaṃ yaḥ kuryāt saṃgame lokaviśrute /	jala praveSam yaH kuryAt saMgame loka viSrute /
   rāhugrasto yathā somo vimuktaḥ sarvapātakaiḥ // KūrmP_1,36.4 //	rAhu grastaH yaTA somaH vimuktaH sarva pAtakEH // KUrmP_1,36.4 //
   somalokamavāpnoti somena saha modate /	soma lokam avApnoti somena saha modate /
   ṣaṣṭiṃ varṣasahastrāṇi ṣaṣṭiṃ varṣaśatāni ca // KūrmP_1,36.7 //	zazwim varza sahastrANi zazwim varza SatAni ca // KUrmP_1,36.7 //
   svargataḥ śakraloke 'sau munigandharvasevitaḥ /	svargataH Sakra loke asO muni ganDarva sevitaH /
   tato bhraṣṭastu rājendra samṛddhe jāyate kule // KūrmP_1,36.8 //	tatas BrazwaH tu rAja indra samRdDe jAyate kule // KUrmP_1,36.8 //
   adhaḥ śirāstvayodhārāmurdhvapādaḥ pibennaraḥ /	aDas SirAH tu ayoDArAm urDva pAdaH pibet naraH /
   śataṃ varṣasahastrāṇi svargaloke mahīyate // KūrmP_1,36.9 //	Satam varza sahastrANi svarga loke mahIyate // KUrmP_1,36.9 //
   tasmād bhraṣṭastu rājendra agnihotrī bhavennaraḥ /	tasmAt BrazwaH tu rAja indra agnihotrI Bavet naraH /
   bhuktvā tu vipulān bhogāṃstat tīrthaṃ bhajate punaḥ // KūrmP_1,36.10 //	BuktvA tu vipulAn BogAn= tat tIrTam Bajate punar // KUrmP_1,36.10 //
   yaḥ svadehaṃ vikarted vā śakunibhyaḥ prayacchati /	yaH sva deham vikartet vA SakuniByaH prayacCati /
   vihagairupabhuktasya śṛṇu tasyāpi yatphalam // KūrmP_1,36.11 //	vihagEH upaBuktasya SRNu tasya api yat Palam // KUrmP_1,36.11 //
   śataṃ varṣasahastrāṇi somaloke mahīyate /	Satam varza sahastrANi soma loke mahIyate /
   tatastasmāt paribhraṣṭo rājā bhavati dhārmikaḥ // KūrmP_1,36.12 //	tatas tasmAt pariBrazwaH rAjA Bavati DArmikaH // KUrmP_1,36.12 //
   guṇavān rūpasaṃpanno vidvān supriyavākyavān /	guNavAn rUpa saMpannaH vidvAn su priya vAkyavAn /
   bhuktvā tu vipulān bhogāṃstatatīrthaṃ bhajate punaḥ // KūrmP_1,36.13 //	BuktvA tu vipulAn BogAn= tata tIrTam Bajate punar // KUrmP_1,36.13 //
   uttare yamunātīre prayāgasya tu dakṣiṇe /	uttare yamunA tIre prayAgasya tu dakziNe /
   ṛṇapramocanaṃ nāma tīrthaṃ tu paramaṃ smṛtam // KūrmP_1,36.14 //	RNapramocanam nAma tIrTam tu paramam smRtam // KUrmP_1,36.14 //
   ekarātroṣitaḥ snātvā ṛṇaistatra pramucyate /	eka rAtra uzitaH snAtvA RNEH tatra pramucyate /
   sūryalokamavāpnoti anṛṇaśca sadā bhavet // KūrmP_1,36.15 //	sUrya lokam avApnoti anRNaH ca sadA Bavet // KUrmP_1,36.15 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge ṣaṭtriṃśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge zawtriMSaH 
   'dhyāyaḥ	aDyAyaH
   mārkaṇḍaya uvāca	mArkaNxayaH uvAca
   tapanasya sutā devī triṣu lokeṣu viśrutā /	tapanasya sutA devI trizu lokezu viSrutA /
   samāgatā mahābhāgā yamunā yatra nimnagā // KūrmP_1,37.1 //	samAgatAH mahABAgAH yamunA yatra nimnagA // KUrmP_1,37.1 //
   yenaiva niḥ sṛtā gaṅgā tenaiva yamunā gatā /	yena eva niH sRtA gaFgA tena eva yamunA gatAH /
   yojanānāṃ sahastreṣu kīrtanāt pāpanāśanī // KūrmP_1,37.2 //	yojanAnAm sa hastrezu kIrtanAt pApa nASanI // KUrmP_1,37.2 //
   tatra snātvā ca pītvā ca yamunāyāṃ yudhiṣṭhira /	tatra snAtvA ca pItvA ca yamunAyAm yuDizWira /
   sarvapāpavinirmuktaḥ punātyāsaptamaṃ kulam /	sarva pApa vinirmuktaH punAti Asaptamam kulam /
   prāṇāṃstyajati yastatra sa yāti paramāṃ gatim // KūrmP_1,37.3 //	prANAn= tyajati yaH tatra sa yAti paramAm gatim // KUrmP_1,37.3 //
   agnitīrthamiti khyātaṃ yamunādakṣiṇa taṭe /	agnitIrTam iti KyAtam yamunA dakziNa tawe /
   paścime dharmarājasya tīrthaṃ tvanarakaṃ smṛtam /	paScime DarmarAjasya tIrTam tu anarakam smRtam /
   tatra snātvā divaṃ yānti ye mṛtāste 'punarbhavāḥ // KūrmP_1,37.4 //	tatra snAtvA divam yAnti ye mRtAH te apunarBavAH // KUrmP_1,37.4 //
   kṛṣṇapakṣe caturdaśyāṃ snātvā saṃtarpayecchuciḥ /	kRzNa pakze caturdaSyAm snAtvA saMtarpayet SuciH /
   dharmarājaṃ mahāpāpairmucyate nātra saṃśayaḥ // KūrmP_1,37.5 //	DarmarAjam mahA pApEH mucyate na atra saMSayaH // KUrmP_1,37.5 //
   daśa tīrthasahastrāṇi triṃśatkoṭyastathāparāḥ /	daSa tIrTa sahastrANi triMSat kowyaH taTA aparAH /
   prayāge saṃsthitāni syurevamāhurmanīṣiṇaḥ // KūrmP_1,37.6 //	prayAge saMsTitAni syuH evam AhuH manIziNaH // KUrmP_1,37.6 //
   tistraḥ koṭyor'dhakoṭī ca tīrthānāṃ vāyurabravīt /	tistraH kowyoH aDakowI ca tIrTAnAm vAyuH abravIt /
   divi bhūmyantarikṣe ca tatsarvaṃ jāhnavī smṛtā // KūrmP_1,37.7 //	divi BUmi antarikze ca tat sarvam jAhnavI smRtA // KUrmP_1,37.7 //
   yatra gaṅgā mahābhāgā sa deśastat tapovanam /	yatra gaFgA mahABAgA sa deSaH tat tapaH vanam /
   siddhikṣetraṃ tu tajjñeyaṃ gaṅgātīrasamāśritam // KūrmP_1,37.8 //	sidDi kzetram tu tat jQeyam gaFgA tIra samASritam // KUrmP_1,37.8 //
   yatra devo mahādevo devyā saha maheśvaraḥ /	yatra devaH mahAdevaH devyA saha maheSvaraH /
   āste vaṭeśvaro nityaṃ tat tīrthaṃ tat tapovanam // KūrmP_1,37.9 //	Aste vaweSvaraH nityam tat tIrTam tat tapaH vanam // KUrmP_1,37.9 //
   idaṃ satyaṃ dvijātīnāṃ sādhūnāmātmajasya ca /	idam satyam dvijAtInAm sADUnAm Atmajasya ca /
   suhṛdāṃ ca japet karṇe śiṣyasyānugatasya tu // KūrmP_1,37.10 //	suhRdAm ca japet karNe Sizyasya anugatasya tu // KUrmP_1,37.10 //
   idaṃ dhanyamidaṃ svargyamidaṃ medhyamidaṃ sukham /	idam Danyam idam svargyam idam meDyam idam suKam /
   idaṃ puṇyamidaṃ ramyaṃ pāvanaṃ dharmyamuttamam // KūrmP_1,37.11 //	idam puNyam idam ramyam pAvanam Darmyam uttamam // KUrmP_1,37.11 //
   maharṣoṇāmidaṃ guhyaṃ sarvapāpapramocanam /	mahA RzoNAm idam guhyam sarva pApa pramocanam /
   atrādhītya dvijo 'dhyāyaṃ nirmalatvamavāpnuyāt // KūrmP_1,37.12 //	atra aDItya dvijaH aDyAyam nirmala tvam avApnuyAt // KUrmP_1,37.12 //
   yaścedaṃ śṛṇuyānnityaṃ tīrthaṃ puṇyaṃ sadā śuciḥ /	yaH ca idam SRNuyAt nityam tIrTam puNyam sadA SuciH /
   jātismaritvaṃ labhate nākapṛṣṭhe ca modate // KūrmP_1,37.13 //	jAti smaritvam laBate nAka pRzWe ca modate // KUrmP_1,37.13 //
   prāpyante tānitīrthāni sadbhiḥ śiṣṭānudarśibhiḥ /	prApyante tAnitIrTAni sadBiH Sizwa anudarSiBiH /
   snāhi tīrtheṣu kauravya na ca vakramatirbhava // KūrmP_1,37.14 //	snAhi tIrTezu kOravya na ca vakra matiH Bava // KUrmP_1,37.14 //
   evamuktvā sa bhagavān mārkaṇḍeyo mahāmuniḥ /	evam uktvA sa BagavAn mArkaNxeyaH mahA muniH /
   tīrtāni kathayāmāsa pṛthivyāṃ yāni kānicit // KūrmP_1,37.15 //	tIrtAni kaTayAmAsa pRTivyAm yAni kAnicid // KUrmP_1,37.15 //
   bhūsamudrādisaṃsthānaṃ pramāṇaṃ jyotiṣāṃ sthitam /	BU samudra Adi saMsTAnam pramANam jyotizAm sTitam /
   pṛṣṭaḥ provāca sakalamuktvātha prayayo muniḥ // KūrmP_1,37.16 //	pRzwaH provAca sakalam uktvA aTa prayayaH muniH // KUrmP_1,37.16 //
   ya idaṃ kalyamutthāya paṭhate 'tha śṛṇoti vā /	yaH idam kalyam utTAya paWate aTa SRNoti vA /
   mucyate sarvapāpebhyo rudralokaṃ sa gacchati // KūrmP_1,37.17 //	mucyate sarva pApeByaH rudra lokam sa gacCati // KUrmP_1,37.17 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ purvavibhāge saptatriṃśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm purva viBAge saptatriMSaH 
   'dhyāyaḥ	aDyAyaH
   śrīkūrma uvāca	SrI kUrmaH uvAca
   evamuktāstu munayo naimiṣīyā mahāmatim /	evam uktAH tu munayaH nEmizIyAH mahAmatim /
   papracchuruttaraṃ sūtaṃ pṛthivyādivinirṇayam // KūrmP_1,38.1 //	papracCuH uttaram sUtam pRTivI Adi vinirNayam // KUrmP_1,38.1 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   kathito bhavatā sūta sargaḥ svayaṃbhuvaḥ śubhaḥ /	kaTitaH BavatA sUta sargaH svayaMBuvaH SuBaH /
   idānīṃ śrotumicchāmastrilokasyāsya maṇḍalam // KūrmP_1,38.2 //	idAnIm Srotum icCAmaH trilokasya asya maNxalam // KUrmP_1,38.2 //
   yāvantaḥ sāgarā dvīpāstathā varṣāṇi parvatāḥ /	yAvantaH sAgarAH dvIpAH taTA varzANi parvatAH /
   vanāni saritaḥ sūryagrahāṇāṃ sthitireva ca // KūrmP_1,38.3 //	vanAni saritaH sUrya grahANAm sTitiH eva ca // KUrmP_1,38.3 //
   yadādhāramidaṃ kṛtsnaṃ yeṣāṃ pṛthvī purā tviyam /	yat ADAram idam kRtsnam yezAm pRTvI purA tu iyam /
   nṛpāṇāṃ tatsamāsena sūta vaktumihārhasi // KūrmP_1,38.4 //	nRpANAm tad samAsena sUta vaktum iha arhasi // KUrmP_1,38.4 //
   sūta uvāca	sUtaH uvAca
   vakṣye devādidevāya viṣṇave prabhaviṣṇave /	vakzye deva AdidevAya vizNave praBavizNave /
   namaskṛtvāprameyāya yaduktaṃ tena dhīmatā // KūrmP_1,38.5 //	namaskRtvA aprameyAya yat uktam tena DImatA // KUrmP_1,38.5 //
   svāyaṃbhuvasya tu manoḥ prāgukto yaḥ priyavrataḥ /	svAyaMBuvasya tu manoH prAk uktaH yaH priyavrataH /
   putrastasyābhavan putrāḥ prajāpatisamā daśa // KūrmP_1,38.6 //	putraH tasya aBavan putrAH prajApati samAH daSa // KUrmP_1,38.6 //
   agnīdhraścāgnibāhuśca vapuṣmān dyutimāṃstathā /	agnIDraH ca agnibAhuH ca vapuzmAn dyutimAn= taTA /
   medhā medhātithirhavyaḥ savanaḥ putra eva ca // KūrmP_1,38.7 //	meDAH meDAtiTiH havyaH savanaH putraH eva ca // KUrmP_1,38.7 //
   jyotiṣmān daśamasteṣāṃ mahābalaparākramaḥ /	jyotizmAn daSamaH tezAm mahA bala parAkramaH /
   dhārmiko dānanirataḥ sarvabhūtānukampakaḥ // KūrmP_1,38.8 //	DArmikaH dAna nirataH sarva BUta anukampakaH // KUrmP_1,38.8 //
   medhāgnibāhuputrāstu trayo yogaparāyaṇāḥ /	meDA agnibAhu putrAH tu trayaH yoga parAyaNAH /
   jātismarā mahābhāgā na rājye dadhire matim // KūrmP_1,38.9 //	jAtismarAH mahABAgAH na rAjye daDire matim // KUrmP_1,38.9 //
   priyavrato 'bhyaṣiñcad vai saptadvīpeṣu sapta tān /	priyavrataH aByaziQcat vE sapta dvIpezu sapta tAn /
   jambudvīpeśvaraṃ putramagnīdhramakaronnṛpaḥ // KūrmP_1,38.10 //	jambudvIpa ISvaram putram agnIDram akarot nRpaH // KUrmP_1,38.10 //
   plakṣdvīpeśvaraścaiva tena medhātithiḥ kṛtaḥ /	plakzdvIpa ISvaraH ca eva tena meDAtiTiH kRtaH /
