   atha pañcamaṃ pūraṇam	aTa paQcamam pUraNam
   [83] atha labdha-prathāyāṃ rātri-kathāyāṃ śrī-rādhā-mādhavayor agrataḥ	[83] aTa labDa-praTAyAm rAtri--kaTAyAm SrI-rADA--mADavayoH agratas-
   snigdhakaṇṭha	snigDa-kaNWa
   uvāca,- tad etat pramada-vṛtte sthite pratilavam api gokulaṃ prasthite ca	uvAca, tat etat pramada--vRtte sTite pratilavam api gokulam prasTite ca
   tat-pradeśataḥ sandeśaḥ śrīmat-keśava-sadeśam āgataḥ, tatrānyeṣāṃ	tat--pradeSataH sandeSaH SrImat--keSa-va-sa-deSam AgataH, tatra-anyezAm
   prātaḥ-prastotavyaḥ | samprati tu kaṃsa-pitari rājyārpaṇasya śravaṇataḥ	prAtaH--prastotavyaH | samprati tu kaMsa-pitari rAjya-arpaNasya SravaNataH
   kiñcid avāñcita-bhayamaya-cira-viraha-klamānāṃ	kiQcid avAQcita-Baya-maya--cira--viraha--klamAnAm
   vraja-ramāṇām ati-nibhṛta-svasti-mukha-saṃbhṛtaḥ so'yam ākarṇyatām,-	vraja-ramANAm ati-niBRta-svasti-muKa--saMBRtaH saH-ayam AkarNya-tAm,-
   virahas tava gopālīr	virahaH tava gopAlIH-
   dayita mitho yāḥ sa-patnīś ca |	dayita miTas yAH sa-patnIH ca |
   rañjayati sma samastāḥ	raQjayati sma samastAH
   prāṇāt katham ahaha tā virañjayati? ||GC_2,5.70|| (udgīti)	prANAt kaTam ahaha tAH viraQjayati? ||GC_2,5.70|| (udgIti)
   vipinaṃ sadanaṃ yāsāṃ	vipinam sadanam yAsAm
   sadanaṃ vipinaṃ babhūva gopīnām |	sadanam vipinam baBUva gopInAm |
   tāsāṃ tvad-viyujāṃ kiṃ	tAsAm tvad--viyujAm kim
   mṛti-jīvanayor viparyayo na syāt? ||GC_2,5.71|| (gīti)	mRti--jIvanayoH viparyayaH na syAt? ||GC_2,5.71|| (gIti)
   yāsāṃ candana-candra-	yAsAm candana-candra-
   prabhṛti ca vastu-pratāpanaṃ bhavati |	praBRti ca vastu--pratApanam Bavati |
   hari-rahitānāṃ tāsāṃ	hari--rahitAnAm tAsAm
   vahniḥ kiṃ bata na śītatām ayitā? ||GC_2,5.72|| (gīti)	vahniH kim bata na SIta-tAm ayitA? ||GC_2,5.72|| (gIti)
   viśleṣas tava bhadraḥ	viSlezaH tava BadraH
   kleśaṃ sa hared bhavann eva |	kleSam sa haret Bavan eva |
   āśā seyaṃ dhṛṣṭā	ASA sA-iyam DRzwA
   tvat-sṛṣṭā tatra vighnam ātanute ||GC_2,5.73|| (udgīti)	tvat-sRzwA tatra viGnam Atanute ||GC_2,5.73|| (udgIti)
   bhavatā maryādārthaṃ	BavatA maryAdA-arTam
   yaḥ khalu paryāpitaḥ kālaḥ |	yaH Kalu paryApitaH kAlaH |
   kālaḥ sa bhavann agha-hara	kAlaH sa Bavan aGa-hara
   lavaśaḥ kalpāya kalpate'smākam ||GC_2,5.74|| (udgīti) iti |	lavaSas kalpAya kalpate-asmAkam ||GC_2,5.74|| (udgIti) iti |
   [84] atra cedaṃ śrī-rādhā-sakhīnāṃ tad anupadyamānaṃ padyam,-	[84] atra ca-idam SrI-rADA--saKInAm tat anupadyamAnam padyam,-
   agha-hara viraha-vraṇatā	aGa-hara viraha-vraNa-tA
   na hi naḥ kṛcchrāya tādṛśe śrayati |	na hi naH kRcCrAya tAdRSe Srayati |
   rādhā-lavaṇim agalanaṃ	rADA-a-lavaNim agalanam
   yadi valanaṃ tatra nāpi kurvīta ||GC_2,5.75|| (gīti)	yadi valanam tatra na-api kurvIta ||GS_2,5.75|| (gIti)
   [85] tatra kāraṇam anyad anyad astu, tad idaṃ tu mahad eva duḥsaham,-	[85] tatra kAraNam anyat anyat astu, tat idam tu mahat eva duHsaham,-
   ānītaṃ ghṛta-pāyasānnam anayā kṛṣṇāya kiñcit tvayā	AnItam GRta--pAyasa-annam anayA kRzNAya kiQcid tvayA
   labdhavyaṃ śuka tan-mayā ca madhuraṃ nāmnā rutaṃ tanyatām |	labDavyam Suka tan-mayA ca maDuram nAmnA rutam tanyatAm |
   itthaṃ prātar anūdya nityam api tāṃ rādhāṃ muhuḥ śārikā	itTam prAtar anUdya nityam api tAm rADAm muhur SArikA
   vṛndāraṇya-nivāsinī madhupura-kṣmā-nātha totudyate ||GC_2,5.76|| (śārdūla)	vRnda-araNya--nivAsinI maDu-pura--kzmA-nATa totudyate ||GC_2,5.76|| (SArdUla)
   evaṃ priya-sakhī-lekhaṃ vācakasya bakī-ripoḥ |	evam priya--saKI--leKam vAcakasya bakI-ripoH |
   lumpat-kalpas tadā bāṣpaḥ sthairya-kalpam acīk pat ||GC_2,5.77||	lumpat-kalpaH tadA bAzpaH sTErya-kalpam acIk pad ||GC_2,5.77||
   (anuṣṭubh)	(anuzwuB)
   [86] tad etat kathārambha eva tāsāṃ śvāsānāṃ bahir niṣkramaṇam iva vīkṣya	[86] tat etat kaTA-AramBaH eva tAsAm SvAsAnAm bahis nizkramaNam iva vIkzya
   snigdhakaṇṭhaḥ	snigDa-kaNWaH
   sotkaṇṭhaṃ samāpayann āha sma,-	sa-utkaNWam samApayan Aha sma,-
   rādhe yo'yaṃ dayitas	rADe yaH-ayam dayitas
   tvayi dayitaḥ katham anārdratām ayitā?	tvayi dayitaH kaTam anArdra-tAm ayitA?
   tava tanu-latikām asraiḥ	tava tanu--latikAm asrEH
   siñcati paśyāmbuda-śyāmaḥ ||GC_2,5.78|| (āryā)	siQcati paSya-ambuda--SyAmaH ||GC_2,5.78|| (AryA)
   [87] tad evaṃ madhuropasaṃhāreṇa vyāhāreṇa sarvam ānandayan tāv	[87] tat evam maDura-upasaMhAreNa vyAhAreNa sarvam Anandayan tO=-
   amanda-premānanda-	amanda--prema-Ananda-
   mandiratayā vandināv amū tena saha yathā-svam āvāsaṃ vindataḥ sma,	mandira-tayA vandinO amU tena saha yaTA--svam AvAsam vindataH sma,
   śrī-rādhā-govindau ca kandarpa-mandiram iti |	SrI--rADA--govindO ca kandarpa--mandiram iti |
   iti śrī-śrīmad-uttara-gopāla-campūm anu	iti SrI--SrImat--uttara--gopAla-campUm anu
   kaṃsa-vidhvaṃsanaṃ nāma	kaMsa-viDvaMsanam nAma
   pañcamaṃ pūraṇam	paQcamam pUraNam
   atha ṣaṣṭhaṃ pūraṇam	aTa zazWam pUraNam
   śrī-nanda-visarjanam	SrI-nanda--visarjanam
   [1] atha śrī-govinda-kṛtam ahasi vrajendra-sadasi prātaḥ-kathā prathām āpa	[1] aTa SrI---govinda-kRtam ahasi vraja-indra--sadasi prAtaH--kaTA praTAm Apa
   | yatra madhukaṇṭha uvāca,-	| yatra maDu-kaNWaH uvAca,-
   [2] tad-evaṃ kaṃsa-māraṇānantaram uccāvaca-vāraṇāya yatra	[2] tat--evam kaMsa--mAraNa-anantaram uccAvaca--vAraNAya yatra
   kutracid-gata-yādava-kulākāraṇāya samudbhūta-kaṃsa-pakṣa-nirhāraṇāya ca	kutracid--gata-yAdava--kula-akAraNAya samudBUta--kaMsa--pakza--nirhAraNAya ca
   vrajāgamanāyālabdhāvasare kaṃsa-hare tat-paryanta-vṛttaṃ pratilavam api	vraja-AgamanAya-AlabDa-avasare kaMsa--hare tat--paryanta--vRttam pratilavam api
   śravasi vṛttaṃ kurvatām upanandādīnāṃ sānandānām api	Sravasi vRttam kurvatAm upananda-AdInAm sa-AnandAnAm api
   vilambāśaṅkā-śaṅku-saṅkulānāṃ sandeśaḥ praviveśa; yathā-	vilamba-ASaFkA--SaFku--saFkulAnAm sandeSaH praviveSa; yaTA-
   harer mātā bhaktaṃ tad-avadhi na bhuṅkte tad-anugās	hareH mAtA Baktam tat--avaDi na BuFkte tad--anugAH-
   tathā tasmin gopāḥ prati-muhur upāyātividhurāḥ |	taTA tasmin gopAH prati-muhur upAya-ati-viDurAH |
   kim anyad vaktavyaṃ vrajam anugataṃ yat paśu-kulaṃ	kim anyat vaktavyam vrajam anugatam yat paSu--kulam
   vanasthaṃ yad vā tan-nikhilam iha śiryad vilapati || iti || GC_2,6.1 ||	vana-sTam yat vA tan--niKilam iha Siryat vilapati || iti || GC_2,6.1 ||
   [3] atha kutaścin manaḥ-stha-saṃkocataḥ samprati prati-gamanād viramya	[3] aTa kutaScid manaH--sTa--saMkocataH samprati prati-gamanAt viramya
   bhāvi-līlā-sūcana-devarṣi-vacana-smaraṇāt tad-eva ca niyamya sahamānatāṃ	BAvi--lIlA--sUcana--deva-Rzi-vacana--smaraNAt tat--eva ca niyamya saham-Ana-tAm
   vahann api tad-evaṃ niśamya samyag-utsukatayā gamyam eveti manaḥ punaḥ	vahan api tat--evam niSamya samyak--utsuka-tayA gamyam eva-iti manaH punar-
   saṅgamya so'ayaṃ vraja-prāṇa-vrajaḥ svāgrajaṃ raho nirvyājaṃ vyājahāra,-	saFgamya saH-aayam vraja--prANa-vrajaH sva-agrajam rahaH nirvyAjam vyAjahAra,-
   æārya ! tatra-bhavatātra sāhāyyaṃ dhāryatām | ahaṃ punar vrajam eva	æArya ! tatra-BavatA-atra sAhAyyam DAryatAm | aham punar vrajam eva
   vrajāni' iti |	vrajAni-a iti |
   [4] sa punaḥ sāsram uvāca,- bhrātar bhavantaṃ vinā mama sarvaṃ vināśam	[4] sa punar sa-asram uvAca, BrAtar Bavantam vinA mama sarvam vinASam
   āyātīti na mayā kim api syāt |	AyAti-iti na mayA kim api syAt |
   [5] śrī-kṛṣṇa uvāca,- tarhi kiṃ kāryam ?	[5] SrI--kRzNaH uvAca, tarhi kim kAryam ?
   [6] sa uvāca,- yadūnugrasenānugatān vidhāya drutam ubhābhyām evāvābhyāṃ	[6] saH uvAca, yadUn-ugrasena-anugatAn viDAya drutam uBAByAm eva-AvAByAm
   gokulaṃ gantavyam | tad idaṃ mayāpi bhavyaṃ nivedayaitavyam āsit, diṣṭyā	gokulam gantavyam | tat idam mayA-api Bavyam nivedaya-etavyam Asit, dizwyA
   svayam eva diṣṭyā tad uṭṭaṅkitam |	svayam eva dizwyA tat uwwaFkitam |
   [7] atha śrī-kṛṣṇas tena sākaṃ	[7] aTa SrI--kRzNaH tena sAkam
   śrī-vasudeva-vinā-kṛta-yadu-kula-virājamāna-yadu-rāja-sahāyāṃ gatvā kṣaṇād	SrI--vasudeva-vinA--kRta-yadu-kula-virAjamAna-yadu-rAja--sahAyAm gatvA kzaNAt-
   avasaraṃ ca matvā tad idaṃ nivedana-mudrayā vedayāmāsa,- æmama kiñcid	avasaram ca matvA tat idam nivedana--mudrayA vedayAmAsa, æmama kiQcid-
   vijñaptir asti' iti |	vijQaptiH astia iti |
   [8] sarve sa-sambhramam ūcuḥ,- kāmam ājñāpyatām |	[8] sarve sa--samBramam UcuH, kAmam AjQApyatAm |
   [9] śrī-kṛṣṇa uvāca,-æsamprati bhavantaḥ sarve sva-bhavanam eva	[9] SrI--kRzNaH uvAca,-æsamprati BavantaH sarve sva-Bavanam eva
   samāgatavantaḥ, rāja-mahāśayāś ca nija-rājāsanam evāsanaṃ vidhāya	samAgatavantaH, rAja--mahA-ASayAH ca nija-rAja-Asanam eva-Asanam viDAya
   yathā-pūrvaṃ bhavatāṃ parva vitanitatāraḥ | mayā pūrvam apīdaṃ	yaTA--pUrvam BavatAm parva vitanita-tAraH | mayA pUrvam api-idam
   nivedanaṃcakre, yan-mahyaṃ rājyaṃ na rocate, kiṃ tu mama vṛndāvanam eva	nivedanaMcakre, yan--mahyam rAjyam na rocate, kim tu mama vRndAvanam eva
   sukha-vṛndāya kalpate' iti |	suKa-vRndAya kalpate-a iti |
   [10] tad evam avadhāya mukhāvalokanaṃ vyatividhāya satsu sabhāsatsu	[10] tat evam avaDAya muKa-avalokanam vyativiDAya satsu saBA-asatsu
   vikadru-nāmā yadu-bṛddhaḥ samṛddha-kṣobham ācacakṣe,- pūrvam asmākam ekaḥ	vikadru--nAmA yadu-bRdDaH samRdDa-kzoBam Acacakze, pUrvam asmAkam ekaH
   kaṃsaka eva dhvaṃsaka āsīt | tad-balād anye punar asmābhir na gaṇyeṣu	kaMsakaH eva DvaMsakaH AsIt | tad--balAt anye punar asmABiH na gaNyezu
   kṛtāḥ, bhavatā pramāpite tu tasmin pracura-pramāṇas tad-vidhā jātāḥ, yato	kRtAH, BavatA pramApite tu tasmin pracura--pramANaH tad--viDAH jAtAH, yatas-
   jarāsandhādayas tat-sambandhāhita-nirbandhāḥ koṭayaḥ	jarAsanDa-AdayaH tat-sambanDa-ahita--nirbanDAH kowayaH
   prasārita-śastra-koṭayaḥ santi | tasmād	prasArita--Sastra--kowayaH santi | tasmAt-
   bhavan-mātrāśraya-praṇayanīya-prāṇa-trāṇa-yātrā yadavaḥ svayaṃ yathāvad	Bavan--mAtra-ASraya--praNayanIya--prANa--trANa--yAtrA yat-avaH svayam yaTAvat-
   avasthāpyantāṃ saṃsthāpyantāṃ vā |	avasTA-apyantAm saMsTApyantAm vA |
   [11] kiṃ ca æasyās tvām aṣṭamo garbhaḥ' [bhā 10.1.34] iti	[11] kim ca æasyAH tvAm azwamaH garBaH-a [BA 10.1.34] iti
   gīr-vāṇa-vāṇī-sandarbha-sākṣitayā bhavān asmākam eva satyam apatyam, na tu	gIr-vANa--vANI--sandarBa--sAkzitayA BavAn asmAkam eva satyam apatyam, na tu
   go-paty-adhipānām ity asmat-pratyavasthāpanam eva bhavatā pratyham	go-paty-aDipAnAm iti asmat--pratyavasTApanam eva BavatA pratyham
   ācaraṇīyam | teṣām apakāra-kārakaś ca kaścana samprati bhātīti	AcaraNIyam | tezAm apakAra-kArakaH ca kaScana samprati BAti-iti
   yathā-bhavyaṃ syāt tathā vyavahartavyam iti kim adhikaṃ marma-vyañjanayā	yaTA-Bavyam syAt taTA vyavahartavyam iti kim aDikam marma--vyaQjanayA
   sādhūnāṃ śatrujitsu parama-dharmavitsu |	sADUnAm Satru-jitsu parama--Darma-vid-su |
   [12] atha tad etad anatikramyaṃ niśamya samyag vācaṃ saṃyamya durmanā iva	[12] aTa tat etat anatikramyam niSamya samyak vAcam saMyamya durmanAH iva
   tasmād apagamya śrī-vasudeva-devakībhyāṃ dharmyaṃ harmyam āgamya	tasmAt apagamya SrI--vasudeva--devakIByAm Darmyam harmyam Agamya
   śrī-rāmeṇa samam eva tāv anu nivedayāmāsa,-	SrI-rAmeNa samam eva tO anu nivedayAmAsa,-
   śrī-mat-pitarāv-ājñā-vitarāyāvadhānam atrādhattām |	SrI--mat--pitarO=--AjQA--vitarAya-avaDAnam atra-ADattAm |
   [13] tāv ucatuḥ,- hanta ! tat kim ?	[13] tO ucatuH, hanta ! tat kim ?
   [14] śrī-kṛṣṇa uvāca,- yad vrajalokaṃ vilokaṃ vilokam āyacchāvaḥ |	[14] SrI--kRzNaH uvAca, yat vraja-lokam vilokam vilokam AyacCAvaH |
   [15] atha tad-etad avadhārya tau tūṣñīkām evāpuṣñītām | tau hi pūrvam	[15] aTa tat--etat avaDArya tO tUzQIkAm eva-apuzQI-tAm | tO hi pUrvam
   ugrasena-mukuṭa-bandham anu tad-vacana-pravandham ākarṇya vaivarṇyam	ugrasena--mukuwa-banDam anu tad--vacana--pravanDam AkarNya vEvarNyam
   evāsannau staḥ | yaḥ khalv avyabhicāritayā vaiśampāyanādibhir api	eva-AsannO staH | yaH Kalu avyaBicAritayA vESampAyana-AdiBiH api
   hari-vaṃṣādiṣu pracārita evāsti; yathā darśitam,- æahaṃ sa eva go-madhyaḥ'	hari-vaMza-Adizu pracAritaH eva-Asti; yaTA darSitam-, æaham saH eva go-maDyaH-a
   ityādi | jānāte sma ca tāv asya manovṛttaṃ yad vraja-gamane	ityAdi | jAnAte sma ca tO asya manaH-vRttam yat vraja--gamane
   labdha-saṅgamane sarvam asau vismaratīti |	labDa--saFgamane sarvam asO vismarati-iti |
   [16] tataś cirād evam ucatuḥ,- ætataḥ parihṛtāv eva	[16] tatas cirAt evam ucatuH, ætatas parihRtO eva
   cira-labdha-śvāsa-rūpābhyāṃ yuvābhyām āvām' iti tatrākrūrasya jananyā ca	cira-labDa--SvAsa---rUpAByAm yuvAByAm AvAma iti tatra-akrUrasya jananyA ca
   vicārataḥ krūram idaṃ proktam,- æyady atra vraja-janānāṃ gamanāgamanam	vicArataH krUram idam proktam-, æyadi atra vraja--janAnAm gamana-Agamanam
   asti, tarhi vraja evāyam astīti gamanaṃ vāsya kathaṃ nirodha-viṣayīkriyate	asti, tarhi vrajaH eva-ayam asti-iti gamanam vA-asya kaTam niroDa--vizayIkriyate
   ?' iti |	?a iti |
   [17] atha sarve tasyā mukhaṃ paśyantaś ciraṃ vimṛśya tasthuḥ |	[17] aTa sarve tasyAH muKam paSyantaH ciram vimRSya tasTuH |
   [18] tad-evaṃ sati punar vivikta-mitābhyāṃ rāmājitābhyām akṣīṇam	[18] tat--evam sati punar vivikta-mitAByAm rAma-ajitAByAm akzINam
   aṣaḍa-kṣīṇam idaṃ nirṇiktaṃ viviktam,- tad idam āvābhyāṃ saralatayā param	azaxa--kzINam idam nirNiktam viviktam, tat idam AvAByAm sarala-tayA param
   anayor guru-caraṇayor niveditam | tat punar amūbhāṃ svāniṣṭaṃ vitarkya	anayoH guru-caraNayoH niveditam | tat punar amUBAm sva-anizwam vitarkya
   pratyādiṣṭaṃ gurvājñālaṃghananṃ tu na maṅgalāya kalpeta |	pratyAdizwam guru-AjQA-laMGananm tu na maFgalAya kalpeta |
   yad-ājñā-pālanāya parama-maryādaḥ sa khalu raghu-varyaḥ prājyaṃ rājyam api	yat--AjQA--pAlanAya parama--maryAdaH sa Kalu raGu-varyaH prAjyam rAjyam api
   parityajya nava-bhāryayā saha rākṣasa-caryābhīṣaṇam api vanaṃ bāḍham	parityajya nava--BAryayA saha rAkzasa--caryA-BIzaNam api vanam bAXam
   avagāḍhaṃ cakāra | tad-ājñā-laṃghanasya parāmṛśyate ca phalam-	avagAXam cakAra | tad--AjQA--laMGanasya parAmRSyate ca Palam-
   jarāsandhādayas tv asmat-sambandhena kṛtānusandhe vraje'py utpātaṃ	jarAsanDa-AdayaH tu asmat--sambanDena kRta-anusanDe vraje-api utpAtam
   pātayiṣyantīti prastutam astu tāvad aprastutam anyad anyad api, tasmāc	pAtayizyanti-iti prastutam astu tAvat aprastutam anyat anyat api, tasmAt-
   śrī-vrajeśa-caraṇa-samādhānam eva sāmprataṃ sāmpratam iti |	SrI--vraja-ISa--caraNa--samADAnam eva sAmpratam sAmpratam iti |
   [19] tad-evaṃ mantraṃ vidhāya śrī-vrajeśituranasāṃ samūha sannidhāya	[19] tat--evam mantram viDAya SrI--vraja-ISitu-ranasAm samUha sanniDAya
   tābhyāṃ tasya parisaraḥ samājagme | samāgamya ca praṇamya samyagāsanam	tAByAm tasya parisaraH samAjagme | samAgamya ca praNamya samyak-Asanam
   āsthitayos tayo rāma eva tasmin sadasi yad vṛttaṃ tat pravṛttaṃ cakre |	AsTitayoH tayoH rAmaH eva tasmin sadasi yat vRttam tat pravRttam cakre |
   [20] tatra svayaṃ kṛṣṇas tu pitṛ-pitṛvyādīn api sa-vinayaṃ paśyan kiñcid	[20] tatra svayam kRzNaH tu pitR-pitRvyAdIn api sa-vinayam paSyan kiQcid-
   vihasann iva tasya śeṣam āha sma,- hanta! kādācitkīm ākāśa-vāṇīṃ	vihasan iva tasya Sezam Aha sma, hanta! kAdAcid-kIm AkASa-vANIm
   pramāṇīkṛtya mayi nija-devakī-putratām api te sūcayanti, tad-antargataṃ	pramANIkRtya mayi nija--devakI--putra-tAm api te sUcayanti, tad--antargatam
   sva-mataṃ kāraṇaṃ tu nāvatārayanti iti |	sva-matam kAraNam tu na-avatArayanti iti |
   [21] athaitāvat kathitavati madhukaṇṭhe snigdhakaṇṭhaś cintayati sma,-	[21] aTa-etAvat kaTitavati maDu-kaNWe snigDa-kaNWaH cintayati sma,-
   vastutaḥ khalv ayam anugatācintya-śaktitayā śrī-devakyāṃ	vastutas Kalu ayam anugata-acintya--Sakti-tayA SrI--devakyAm
   catur-bhuja-rūpena śrĪ-yośodāyāṃ tu dvi-bhuja-rūpena sphurati sma æphalena	catur-Buja--rUpena SrĪ-yoSodAyAm tu dvi-Buja--rUpena sPurati sma æPalena
   phala-kāraṇam anumīyate' iti nyāyena | yadā tu	Pala-kAraNam anumIyate-a iti nyAyena | yadA tu
   kaṃsa-bhayāc-catur-bhuja-rūpācchādanāya devakīcchājāyata, tadā tu	kaMsa--Baya-ac-catur-Buja--rUpa-AcCAdanAya devakI-icCA-ajAyata, tadA tu
   śrī-yośodāyāṃ sphuritaṃ dvi-bhuja-rūpam eva catur-bhuja-rūpam antarbhūtaṃ	SrI-yoSodAyAm sPuritam dvi-Buja--rUpam eva catur-Buja--rUpam antarBUtam
   vidhāya tatrāvirbhūveti pūrva-campūm anu (3.102)	viDAya tatra-AvirBUva-iti pUrva-campUm anu (3.102)
   śrī-bhāgavatānugata-yuktibhir uktibhiḥ sthāpitam | tat tu na pūrvam	SrI--BAgavata-anugata--yuktiBiH uktiBiH sTApitam | tat tu na pUrvam
   ubhayatrāpi jñātam āsīt iti |	uBayatra-api jQAtam AsIt iti |
   [22] atha spaṣṭaṃ sa-smitam ācaṣṭa,- kathaṃ te svayam api kāraṇam	[22] aTa spazwam sa--smitam Acazwa, kaTam te svayam api kAraNam
   avatārayeyuḥ ? avatārite tu tasmin vasudevenāpahṛtāpatyasya go-paty	avatArayeyuH ? avatArite tu tasmin vasudevena-apahRta-apatyasya go-paty
   adipasya nyāyaḥ satyaḥ syād iti | bhavatu, vraja-patinā tatra kiṃ	adipasya nyAyaH satyaH syAt iti | Bavatu, vraja-patinA tatra kim
   pratipannam ?	pratipannam ?
   [23] madhukaṇṭha uvāca,- tac-chrutvā tu vraja-nṛpatir bahir avihataṃ	[23] maDukaNWaH uvAca, tac-SrutvA tu vraja--nRpatiH bahis avihatam
   vihasya tad anyathā adhyavasyati sma, æasyās tvām aṣṭamo garbho hantā yāṃ	vihasya tat anyaTA aDyavasyati sma, æasyAH tvAm azwamaH garBaH hantA yAm
   vahase'budha' [bhā 10.1.34] iti	vahase-abuDa-a [BA 10.1.34] iti
   kaṃsaṃ pratyākāśa-vāṇī-	kaMsam pratyAkASa-vANI-
   ækiṃ mayā hatayā manda jātaḥ khalu tavānta-kṛt |	ækim mayA hatayA manda jAtaH Kalu tava-anta-kRt |
   yatra kva vā pūrva-śatrur mā hiṃsīḥ kṛpanān bṛthā ||'[bhā10.4.12]	yatra kva vA pUrva-SatruH mA hiMsIH kRpanAn bRTA ||-a[BA10.4.12]
   iti devī-vāṇyā vyavicāritā | avyalīkatā-paryavasita-bhāṣiṇānakadundhubhinā	iti devI-vANyA vyavicAritA | avyalIka-tA-paryavasita-BAziNa-Anaka-dunDuBinA
   ca māṃ prati nirdvandvam ittham evoktam,	ca mAm prati nirdvandvam itTam eva-uktam,
   ædiṣṭyā bhrātaḥ pra-vayasa idānīm aprajasya te |	ædizwyA BrAtar pra-vayasaH idAnIm aprajasya te |
   prajāīśāyā nivṛttasya prajā yat samapadyata ||' [bhā 10.5.23] iti |	prajA-aISAyAH nivRttasya prajAH yat samapadyata ||-a [BA 10.5.23] iti |
   tasmān nūnaṃ æprāg ayaṃ vasudevasyakvacij jātas tavātmajaḥ' [bhā 10.8.14]	tasmAt nUnam æprAk ayam vasudevasya-kvacid jAtaH tava-AtmajaH-a [BA 10.8.14]
   iti māṃ prati vyañjita-tattva-vargasya gargasya khalv idaṃ prapañcanam	iti mAm prati vyaQjita--tattva--vargasya gargasya Kalu idam prapaQcanam
   evāntaḥ kāraṇam udañcati |	eva-antar kAraNam udaQcati |
   [24] bhavatu, pitroḥ punar idaṃ sukha-samvidam eva tanute, yan nija-putraṃ	[24] Bavatu, pitroH punar idam suKa--samvidam eva tanute, yat nija--putram
   prati dhanyāḥ putra-bhāvanām ācarantīti |	prati DanyAH putra--BAvanAm Acaranti-iti |
   [25] viśeṣataś cānakadundhubhinā mama taj-janyā ca bhavaj-jananyā na	[25] viSezataH ca-Anaka-dunDuBinA mama taj-janyA ca Bavaj-jananyAH na
   dvaitam astīti tais tad bhadram evocyate | kiṃ tu,	dvEtam asti-iti tEH tat Badram eva-ucyate | kim tu,
   yātra syād asurād bhītiḥ sā tatra viraha-jvarāt |	yA-atra syAt asurAt BItiH sA tatra viraha--jvarAt |
   bhāvad vayaṃ bhavaty evety ākulaṃ suta manmanaḥ || GC_2,6.2 ||	BAvat vayam Bavati eva-iti Akulam suta mad-manaH || GC_2,6.2 ||
   [26] bhavatu, tathāpy eṣām eva sāhāyyaṃ kāryam, yataḥ sarvajñānāṃ matam	[26] Bavatu, taTA-api ezAm eva sAhAyyam kAryam, yatas sarvajQAnAm matam
   avadhārya kāryam etad vicārya khalu mayā kaṃsa-badhāya tavāgamanaṃ na	avaDArya kAryam etat vicArya Kalu mayA kaMsa--baDAya tava-Agamanam na
   visraṃsitam | śrūyate hi - pūrvaṃ muni-hitāya daśarathenābhnava-tanayasya	visraMsitam | SrUyate hi  pUrvam muni--hitAya daSaraTena-aBna-va--tanayasya
   rākṣasa-kṣayāya prasthāpanam; yaḥ khalv anyadā tad vana-gamana-kṣaṇa eva	rAkzasa--kzayAya prasTApanam; yaH Kalu anyadA tat vana--gamana-kzaNaH eva
   kṣīṇa-prāṇatām avāpa iti kṣaṇaṃ rodanaṃ viṣṭabhya tam etaṃ bāhubhyām	kzINa--prANa-tAm avApaH iti kzaNam rodanam vizwaBya tam etam bAhuByAm
   avaṣṭabhy ca tad etan mukham īkṣāmāsa |	avazwaBi ca tat etat muKam IkzAmAsa |
   [27] tataḥ sa caiṣa tam enaṃ sacamānaḥ sa-gadgadaṃ jagāda,- tāta ! duṣṭā	[27] tatas sa ca-eza tam enam sacamAnaH sa-gadgadam jagAda, tAta ! duzwA
   naṣṭā eva bhaviṣyantīti na tatra sandihyatām | tathaiva hi daiva-phalaṃ	nazwAH eva Bavizyanti-iti na tatra sandihyatAm | taTA-eva hi dEva--Palam
   mama tāta-caraṇeṣu vargaśa eva gargaḥ prati-ñātavān asti | kadācin mayi	mama tAta--caraNezu vargaSas eva gargaH prati-QAtavAn asti | kadAcid mayi
   caikānte vanānte devarṣi-varya iti | tathā mama ca vāsas tāta-mahāśayānām	ca-ekAnte vanAnte devaRzi--varyaH iti | taTA mama ca vAsaH tAta--mahA-ASayAnAm
   upāsanamaya eva sampatsyate, tac ca gopānām upa-samājam eva, na tu	upAsana-mayaH eva sampatsyate, tat ca gopAnAm upa-samAjam eva, na tu
   yādavānām eva davīyaḥ | te khalv asmākaṃ jñātayaḥ, ete tu suhṛda iti	yAdavAnAm eva davIyaH | te Kalu asmAkam jQAtayaH, ete tu suhRdaH iti
   jñātibhiḥ suhṛdāṃ khalv etādṛśa eva bhedaḥ | suhṛtsu tad-dhitāya kadācid	jQAtiBiH suhRdAm Kalu etAdRSaH eva BedaH | suhRtsu tad--DitAya kadAcid-
   vāsaḥ sadā tu jñātiṣu tad-āloka-sukhāya bhavati iti |	vAsaH sadA tu jQAtizu tad--Aloka--suKAya Bavati iti |
   [28] evam uktavati rāmānuje rāma-nāmāpi svaṃ tat-sadṛśam eva parāmṛśann	[28] evam uktavati rAma-anuje rAma--nAma-api svam tat--sadRSam eva parAmRSan=-
   āha sma,- pitur yuvābhyāṃ snigdhābhyāṃ poṣitau jvālitau bhṛśam āvām iti	Aha sma, pituH yuvAByAm snigDAByAm pozitO jvAlitO BRSam AvAm iti
   kiṃ vaktavyam; yataḥ pitror ātmano'py abhyadhikā prītir ātmajeṣu bhavati	kim vaktavyam; yatas pitroH AtmanaH-api aByaDikA prItiH Atmajezu Bavati
   iti |	iti |
