   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   na niḥsaret / bhagavān āha / evameva kāśyapa sarvadṛṣṭigatānāṃ śūnyatā	na niHsaret / BagavAn Aha / evam-eva kASyapa sarva-dRzwi-gatAnAm SUnyatA
   niḥsaraṇaṃ yasya khalu punaḥ kāśyapa śūnyatādṛṣṭistam aham acikitsyam iti	niHsaraNam yasya Kalu punar kASyapa SUnyatA-dRzwiH-tam aham acikitsyam iti
   vadāmi / tatredamucyate / //	vadAmi / tatra-idam-ucyate / //
   yathā hi vaidyo puruṣasya dadyādd virecanaṃ rogavinigrahāya	yaTA hi vEdyaH puruzasya dadyAt-d virecanam roga-vinigrahAya
   uccālya doṣāśca na niḥsareta tato nidānaṃ ca na copaśānti /	uccAlya dozAH-ca na niHsareta tatas nidAnam ca na ca-upaSAnti /
   // imeva dṛṣṭigahanāśṛteṣu yā śunyatā niḥsaraṇaṃ paraṃ hi /	// ima-iva dRzwi-gahana-aSRtezu yA SunyatA niHsaraNam param hi /
   sāśu ................................	sa-ASu ................................
   KP.66	KP.66
   KP.67	KP.67
   KP.68	KP.68
   KP.69	KP.69
   KP.70	KP.70
   ye pi śūnyaṃ / // tadyathāpi nāma kāśyapa tailapradīpasyaivaṃ bhavatyaham	ye pi SUnyam / // tat-yaTA-api nAma kASyapa tEla-pradIpasya-evam Bavati-aham
   andhakāraṃ vidhamāmīti / athā ca punastailapradyote kṛte ālokaṃ pratītya	anDakAram viDamAmi-iti / aTA ca punar-tEla-pradyote kRte Alokam pratItya
   tamondhakāraṃ vigacchati / yaśca kāśyapa tailapradyoto yaśca tamondhakāram	tamonDakAram vigacCati / yaH-ca kASyapa tEla-pradyotaH yaH-ca tamonDakAram
   ubhāyam etac śūnyatā / agrāhyā śūnya niśceṣṭāḥ evameva kāśyapa yaṃ ca	uBa-ayam etat SUnyatA / agrAhyA SUnya niScezwAH evam-eva kASyapa yam ca
   jñānaṃ cājñānaṃ cājñānaṃ ca ubhayam etac śūnyad agrāhyā śūnyā niśceṣṭyā 7	jQAnam ca-ajQAnam ca-ajQAnam ca uBayam etat SUnyat agrAhyA SUnyAH niScezwyA 7
   KP.71 // tadyathāpi nāma kāśyapa gṛhe vā layane vā avavarake vā	KP.71 // tat-yaTA-api nAma kASyapa gRhe vA layane vA avavarake vA
   varṣāsahasrasyātyayena na tat kadācit tailapradyotaḥ kṛto bhavet / atha ca	varzA-sahasrasya-atyayena na tat kadAcid tEla-pradyotaH kRtaH Bavet / aTa ca
   tatra kaścid eva puruṣaḥ tailapradīpaṃ kuryāt / tatkiṃ manyase kāśyapa	tatra kaScid eva puruzaH tEla-pradIpam kuryAt / tat-kim manyase kASyapa
   maivāṃ tasya tamondhakārasya bhūdvarṣāsahasrasañcito 'haṃ nāham ito	mA-evAm tasya tamonDakArasya BUt-varzA-sahasra-saQcitaH aham na-aham itas-
   vigamiṣyāmīti / āha no hīdaṃ bhagavan na....... tasya tamondhakārasya	vigamizyAmi-iti / Aha no hi-idam Bagavat na....... tasya tamonDakArasya
   śaktirasti yastailapradyota kṛte na vigantum avaśyaṃ tena vigatavyaṃ	SaktiH-asti yaH-tEla-pradyota kRte na vigantum avaSyam tena vigatavyam
   bhagavān āha evameva kāśyapa kalpakoṭīnayutaśatasahasrasañcito 'pi	BagavAn Aha evam-eva kASyapa kalpa-kowIn-ayuta-Sata-sahasra-saQcitaH api
   karmakleśa ekena yoniśomanasikāraprajñāpratyavekṣaṇena vigacchati /	karma-kleSaH ekena yoni-Somana-sikAra-prajQA-pratyavekzaNena vigacCati /
   tailapradyota iti kāśyapa āryasyaitat prajñendriyasyādhivacanaṃ /	tEla-pradyotaH iti kASyapaH Aryasya-etat prajQA-indriyasya-aDivacanam /
   tamondhakāra iti kāśyapatkarmakleśasyādhivacanam / tatredamucyate 8	tamonDakAraH iti kASyapat-karma-kleSasya-aDivacanam / tatra-idam-ucyate 8
   // yathāpi dīpo layane cirasya kṛto bhaveta puruṣeṇa kenacit	// yaTA-api dIpaH layane cirasya kRtaH Baveta puruzeNa kenacid-
   KP.72	KP.72
   KP.73	KP.73
   KP.74	KP.74
   KP.75	KP.75
   KP.76	KP.76
   KP.77	KP.77
   vālam uddharet /	vAlam udDaret /
   kuśalānvitaṃ śrāvakam eva paśyatha	kuSala-anvitam SrAvakam eva paSyaTa
   kuśalena yuktam abhisaṃskṛtena /	kuSalena yuktam aBisaMskRtena /
   KP.78 // tadyathāpi nāma kāśyapa ghuṇṇakhāditasya sarṣapam abhyamtare	KP.78 // tat-yaTA-api nAma kASyapa GuNNa-KAditasya sarzapam aByamtare
   ākāśadhātu evameva kāśyapa śrāvakasyābhisaṃskṛtaṃ jñānaṃ draṣṭavya /	AkASa-DAtu evam-eva kASyapa SrAvakasya-aBisaMskRtam jQAnam drazwavyaH /
   tatredamucyate 14	tatra-idam-ucyate 14
   // ghuṇakhāditasyaiva hi sarṣapasya ākāśam abhyantaritopariktaṃ /	// GuNa-KAditasya-eva hi sarzapasya AkASam aByantarita-upariktam /
   abhisaṃskṛtaṃ jñāna tathā vijānatha yaṃ śrāvakasya laghukaṃ pariktaktaṃ //	aBisaMskRtam jQAna taTA vijAnaTa yam SrAvakasya laGukam pariktaktam //
   KP.79 tadyathāpi nāma kāśyapa daśāsu dikṣvākāśadhāturevaṃ	KP.79 tat-yaTA-api nAma kASyapa daSAsu dikzu-AkASa-DAtuH-evam
   bodhisattvasyābhisaṃskṛtaṃ jñānaṃ draṣṭavyaṃ / tatredamucyate 15	boDisattvasya-aBisaMskRtam jQAnam drazwavyam / tatra-idam-ucyate 15
   // yathāpi ākāśa daśadiśāsu anāvṛtaṃ tiṣṭhati sarvaloke /	// yaTA-api AkASa daSa-diSAsu anAvRtam tizWati sarva-loke /
   abhisaṃskṛtaṃ paśyatha bodhisattve jñānaṃ tathā sarvajagatpradhāna / //	aBisaMskRtam paSyaTa boDisattve jQAnam taTA sarva-jagat-praDAnaH / //
   KP.80 tadyathāpi nāma kāśyapa rājñaḥ kṣatriyasya	KP.80 tat-yaTA-api nAma kASyapa rAjQaH kzatriyasya
   mūrdhābhiṣiktasyāgramahiṣi daridrapuruṣeṇa sārdhaṃ vipratipadyeta tasya	mUrDABiziktasya-agra-mahizi daridra-puruzeNa sArDam vipratipadyeta tasya
   tataḥ putro jāyetaḥ tatkiṃ manyase kāśyapa api nu sa rājaputra iti	tatas putraH jAyetaH tat-kim manyase kASyapa api nu sa rAja-putraH iti
   vaktavyaḥ āha no hīdaṃ bhagavan bhagavān āha / evameva kāśyapa kiñcāpi	vaktavyaH Aha no hi-idam Bagavan BagavAn Aha / evam-eva kASyapa kiQca-api
   mama śrāvakārdharmadhātunirjātā na ca punaste tathāgatasyābhiṣekyaputrā	mama SrAvakArDarma-DAtu-nirjAtAH na ca punar-te taTAgatasya-aBizekyaputrA
   iti vaktavyāḥ tatradamucyate 16	iti vaktavyAH tatra-dam-ucyate 16
   // yathāpi rājño mahiṣī manāpī daridrasattvena sahāvaseta /	// yaTA-api rAjQaH mahizI manApI daridra-sattvena saha-avaseta /
   tasyā sutastena ca jāyate yo 40b5 sa rājaputro na tu rājā bheṣyati /	tasyAH sutaH-tena ca jAyate yaH 40b5 sa rAja-putraH na tu rAjA Bezyati /
   evameva ye śrāvakā vītarāgā na te bhiṣekyā mama jātu putrāḥ	evam-eva ye SrAvakAH vIta-rAgAH na te BizekyAH mama jAtu putrAH
   tathā hi te ātmahitāya yuktā svaparobhayārthekarabuddhaputrāḥ //	taTA hi te Atma-hitAya yuktA sva-para-uBaya-arTekara-budDa-putrAH //
   KP.81 / tadyathāpi nāmā kāśyapa rājā kṣatriyo mūrdhābhiṣiktaḥ pratyavarayā	KP.81 / tat-yaTA-api nAmA kASyapa rAjA kzatriyaH mUrDABiziktaH pratyavarayA
   ceṭikayā sahā pratipadyeta / tasya tata putra utpadyeta / kiñcāpi kāśyapa	cewikayA sahA pratipadyeta / tasya tata putraH utpadyeta / kiQca-api kASyapa
   sa pratyavarayā ceṭikayā sāntikādutpanno tha ca puna sa rājaputra iti	sa pratyavarayA cewikayA sAntikAt-utpannaH Ta ca puna sa rAja-putraH iti
   vaktavyaḥ evameva kāśyapa kiñcāpi prathamacittotpādiko bodhisattvaḥ	vaktavyaH evam-eva kASyapa kiQca-api praTama-citta-utpAdikaH boDisattvaH
   apratibalaḥ saṃsāre saṃsaran sattvān vinayi kāmamathā ca puna sa	apratibalaH saMsAre saMsaran sattvAn vinayi kAmam-aTA ca puna sa
   tathāgataputro iti vaktavyaḥ tatredamucyate 17	taTAgata-putraH iti vaktavyaH tatra-idam-ucyate 17
   // cetiyā sārdhaṃ yathā cakravarttī saṃvāsaṃ gatvā janayeta putraṃ /	// cetiyA sArDam yaTA cakravarttI saMvAsam gatvA janayeta putram /
   kiñcāpi ceṭiyasakāśajāto taṃ rājaputreti vadeti loke /	kiQca-api cewiyasakASa-jAtaH tam rAja-putra-iti vada-iti loke /
   citte tathā prathame bodhisattvo balena hīno tribhave bhramanto /	citte taTA praTame boDisattvaH balena hInaH tri-Bave BramantaH /
   dānena sattvāvinayann upāyair jinātmajo vuccati śuddhasattvoḥ 3 //	dAnena sattva-avinayan upAyEH jina-AtmajaH vuccati SudDa-sattvoH 3 //
   KP.82 tadyathāpi nāma kāśyapa rājñā cakravartinaḥ putrasahasraṃ bhavet /	KP.82 tat-yaTA-api nAma kASyapa rAjQA cakravartinaH putra-sahasram Bavet /
   na cātra kaścicakravartilakṣaṇasamanvāgato bhavet / na tatra	na ca-atra kaScicakravarti-lakzaNa-samanvAgataH Bavet / na tatra
   rājñaścakravartinaḥ putrasañjñā manyeta / evameva kāśyapa kiñcāpi	rAjQaH-cakravartinaH putra-saQjQA manyeta / evam-eva kASyapa kiQca-api
   tathāgato koṭiśatasahasraparivāraḥ śrāvakerna cātra kaścid bodhisattvo	taTAgataH kowi-Sata-sahasra-parivAraH SrAvakeH-na ca-atra kaScid boDisattvaH-
   bhavati na tatra tathāgatasya putrasañjñotpadyate / tatredamucyate 18	Bavati na tatra taTAgatasya putra-saQjQA-utpadyate / tatra-idam-ucyate 18
   // yathā sahasraṃ nṛpate sutānāṃ na ceka putro 'pi salakṣaṇaḥ syāt /	// yaTA sahasram nRpate sutAnAm na ceka putraH api sa-lakzaNaH syAt /
   na tatra sañjñā nṛvarasya teṣu voḍhū yataste na dhuraṃ samarthāḥ	na tatra saQjQAH nR-varasya tezu voXU yatas-te na Duram samarTAH
   tathā hi buddho bahukoṭinirvṛtaḥ syāt teṣu kaścinna ca bodhisattvaḥ	taTA hi budDaH bahu-kowi-nirvRtaH syAt tezu kaScid-na ca boDisattvaH
   na putrasañjñā sugatasya teṣu na bodhisattvo 'sti yato tra kaścit 2 //	na putra-saQjQA sugatasya tezu na boDisattvaH asti yatas tra kaScid 2 //
   KP.83 tadyathāpi nāma kāśyapa rājñaścakravartino agramahiṣyā kukṣe	KP.83 tat-yaTA-api nAma kASyapa rAjQaH-cakravartinaH agra-mahizyA kukze
   saptarātropapannaḥ kumāraścakravartilakṣaṇasamanvāgataḥ tasya	sapta-rAtra-upapannaH kumAraH-cakravarti-lakzaNa-samanvAgataH tasya
   kukṣigatasyāparipakvendriyasya kalalamahābhūtagatasya balavantatarā tatra	kukzi-gatasya-aparipakva-indriyasya kalala-mahABUta-gatasya balavantatarA tatra
   devatā spṛhām utpādayanti / na tveva teṣu balajavanavegasthāmaprāpteṣu	devatA spRhAm utpAdayanti / na tu-eva tezu bala-javana-vega-sTAma-prAptezu
   kumāreṣu tatkasmāddheto sa hi cakravartivaṃśasyānupacchedāya sthāsyati /	kumArezu tat-kasmAt-heto sa hi cakravarti-vaMSasya-anupacCedAya sTAsyati /
   evameva kāśyapa prathamacittotpādiko bodhisattvaḥ aparipakvendriya	evam-eva kASyapa praTama-citta-utpAdikaH boDisattvaH aparipakva-indriya
   kalalamahābhūtagata eva samānodatha ca punarbalavantatarā tatra	kalala-mahABUta-gataH eva samAnodaTa ca punar-balavantatarA tatra
   pūrvadarśano devā spṛhām utpādayanti / na tvevāṣṭavimokṣadhyāyīṣvarhatsu /	pUrva-darSanaH devAH spRhAm utpAdayanti / na tu-eva-azwa-vimokza-DyAyIzu-arhatsu /
   tatkasmāddhetoḥ sa hi buddhavaṃśasyānupacchedāya sthāsyati /	tat-kasmAt-hetoH sa hi budDa-vaMSasya-anupacCedAya sTAsyati /
   tatredamucyate 19	tatra-idam-ucyate 19
   // yathāgradevīya tu cakravartino kukṣisthito lakṣaṇapuṇyasattvo /	// yaTA-agradevIya tu cakravartinaH kukzi-sTitaH lakzaNa-puNya-sattvaH /
   balavantaraṃ deva spṛhā karonti na sthāmaprāptāna kumārakānāṃ	balavantaram deva spRhA karonti na sTAma-prAptAna kumArakAnAm
   ekāgracitte sthitabodhisatve saṃsārasaṃsthe ghaṭamānabodhaye /	ekAgra-citte sTita-boDisatve saMsAra-saMsTe GawamAna-boDaye /
   janenti tasya spṛha devanāgā na śrāvakeṣu trivimokṣadhyāyiṣu //	janenti tasya spRha deva-nAgAH na SrAvakezu tri-vimokza-DyAyizu //
   KP.84 tadyathāpi nāma kāśyapa karaviṅkapotaka āṇḍakośaprakṣipataḥ	KP.84 tat-yaTA-api nAma kASyapa karaviFkapotakaH ANxa-koSa-prakzipataH
   anirbhinne nayane sarvapakṣigaṇam abhibhavati / yaduta	anirBinne nayane sarva-pakzi-gaNam aBiBavati / yat-uta
   gambhīramadhuranirghoṣarutaravitet / evameva kāśyapaḥ prathamacittotpādiko	gamBIra-maDura-nirGoza-ruta-ravitet / evam-eva kASyapaH praTama-citta-utpAdikaH-
   bodhisattvo avidyāṇḍakośaprakṣipta	boDisattvaH avidyA-aNxa-koSa-prakzipta
   karmakleśatamastimirapaṭalaparyavanaddhaḥnayano 'pi	karma-kleSa-tamaH-timira-pawala-paryavanadDaH-nayanaH api
   sarvaśrāvakapratyekabuddhām abhibhavati / yaduta	sarva-SrAvaka-pratyekabudDAm aBiBavati / yat-uta
   kuśalamūlapariṇāmanāprayoganirhārarutaravitena 20 // tadyathāpi nāma	kuSala-mUla-pariNAmanA-prayoga-nirhAra-ruta-ravitena 20 // tat-yaTA-api nAma
   kāśyapa rājñaścakravartina agramahiṣyā tatkṣaṇajātaṃ kumāraṃ	kASyapa rAjQaH-cakravartinaH agra-mahizyA tad-kzaNa-jAtam kumAram
   sarvaśreṣṭhinaigamajānapatayaḥ koṭṭarājānaśca namasyantyevameva kāśyapa	sarva-SrezWi-nEgama-jAnapatayaH kowwarAjAnaH-ca namasyanti-evam-eva kASyapa
   prathamacittotpādiko bodhisattvaḥ sadevako loko namaskaronti 21 //	praTama-citta-utpAdikaH boDisattvaH sa-devakaH lokaH namaskaronti 21 //
   KP.85 tadyathāpi nāma kāśyapa ekaṃ vaiḍuryaṃ maṇiratnaṃ sumerumātraṃ rāśi	KP.85 tat-yaTA-api nAma kASyapaH ekam vExuH-yam maNi-ratnam sumeru-mAtram rASi
   kācamaṇikānabhibhavati evameva kāśyapa prathamacittotpādiko bodhisattvaḥ	kAca-maNikAn-aBiBavati evam-eva kASyapa praTama-citta-utpAdikaH boDisattvaH
   sarvaśrāvakapratyekabuddhān abhibhavati / tatredamucyate 22	sarva-SrAvaka-pratyekabudDAn aBiBavati / tatra-idam-ucyate 22
   // yathāpi vaiḍūryamaṇi prabhāsvaraḥ kācāmaṇīn abhibhavate prabhūtān /	// yaTA-api vExUrya-maNi praBAsvaraH kAcAmaNIn aBiBavate praBUtAn /
   imeva citte prathame bodhisattvo abhībhavati pṛthakcchrāvakān guṇān //	imA-iva citte praTame boDisattvaH aBIBavati pRTakt-SrAvakAn guNAn //
   KP.86 tadyathāpi nāma kāśyapa rājño gramahiṣyāḥ tatkṣaṇajātaṃ kumāra	KP.86 tat-yaTA-api nAma kASyapa rAjQaH grama-hizyAH tad-kzaNa-jAtam kumAra
   sarvaśreṣṭhinaigamajānapadā koṭṭarājānaśca namasyanti / evameva kāśyapa	sarva-SrezWi-nEgama-jAnapadA kowwarAjAnaH-ca namasyanti / evam-eva kASyapa
   prathamacittotpādiko bodhisattvaḥ sadevako loko namasyanti /	praTama-citta-utpAdikaH boDisattvaH sa-devakaH lokaH namasyanti /
   tatredamucyate 23	tatra-idam-ucyate 23
   // yathāpi rājña pṛthivīśvarasya putro bhavellakṣaṇacitritāṅgaṃ	// yaTA-api rAjQa pRTivI-ISvarasya putraH Bavet-lakzaNa-citrita-aFgam
   dṛṣtveva taṃ jātamātraṃ kumāraṃ sakoṭṭarājā praṇamanti paurāḥ	dRztvA-iva tam jAta-mAtram kumAram sa-kowwa-rAjA praNamanti pOrAH
   utpannamātre tathā bodhisatve sallakṣaṇaṃ taṃ jinarājaputraṃ	utpanna-mAtre taTA boDisatve sat-lakzaNam tam jinarAja-putram
   lokassadevo 'pi namaskaronti prasannacittaṃ bahumānapūrvaṃ //	lokassadevaH api namaskaronti prasanna-cittam bahu-mAna-pUrvam //
   KP.87 tadyathāpi nāma kāśyapa yāni himavantaḥ parvatarājā bhaiṣajyāni	KP.87 tat-yaTA-api nAma kASyapa yAni himavantaH parvata-rAjA BEzajyAni
   virohanti sarvānyamamānyaparigrahānyavikalpāni / yatra ca punarvyādhyā	virohanti sarva-anyamamAnya-parigrahAni-avikalpAni / yatra ca punar-vyADyA
   vyumpanāmyante taṃ vyādhiṃ praśamayanti / evameva kāśyapa	vyumpanAmi-ante tam vyADim praSamayanti / evam-eva kASyapa
   prathamacittotpādiko bodhisattvo yajñānabhaiṣajyaṃ samudānayati tatsarva	praTama-citta-utpAdikaH boDisattvaH yajQAn-a-BEzajyam samudAnayati tat-sarva
   nirvikalpa samudānayati samacittatā sarvasattveṣu cikitsā prayati /	nirvikalpa samudAnayati sama-citta-tA sarva-sattvezu cikitsA prayati /
   tatredamucyate 24	tatra-idam-ucyate 24
   // himavanta ye paravatarāja bheṣajā rohanti te nirmamanirvikalpā /	// himavanta ye paravata-rAja BezajAH rohanti te nirmama-nirvikalpAH /
   yatropanāmyanti ca taṃ śamenti vyādhiṃ jarā cāpanayanti kecit	yatra-upanAmyanti ca tam Samenti vyADim jarA ca-apanayanti kecid-
   jinātmajāpi samudānayanti yaṃ jñānabhaiṣajya vikalpa muktvā /	jina-AtmajA-api samudAnayanti yam jQAna-BEzajya vikalpa muktvA /
   hitārtha sarvaṃ samudānayanti samacitta sattveṣu cikitsa kurvan //	hita-arTa sarvam samudAnayanti samacitta sattvezu cikitsa kurvan //
   KP.88 tadyathāpi nāma kāśyapa navacandro namaskṛyate sā pūrṇacandro na	KP.88 tat-yaTA-api nAma kASyapa nava-candraH namaskRyate sA pUrNa-candraH na
   tathā namaskṛyate / evameva kāśyapa ye mama śraddadhanti te balavantataraṃ	taTA namaskRyate / evam-eva kASyapa ye mama SraddaDanti te balavantataram
   bodhisattvaṃ namaskartavya / na tathāgata tatkasya heto bodhisattvanirjātā	boDisattvam namaskartavyaH / na taTAgata tat-kasya hetoH boDisattva-nirjAtA
   hi tathāgatāḥ tatredamucyate 25	hi taTAgatAH tatra-idam-ucyate 25
   // candraṃ navaṃ sarva namaskaronti tameva pūrṇaṃ na namaskaronti /	// candram navam sarva namaskaronti tam-eva pUrNam na namaskaronti /
   imeva yaḥ śraddadhatai jinātmajo sa bodhisattvaṃ namatā jinā na tu / //	imA-iva yaH SraddaDatEH jina-AtmajaH sa boDisattvam namatA jinAH na tu / //
   KP.89 tadyathāpi nāma kāśyapa mātrikā sarvaśāstragrahaṇajñāne pūrvaṅgamā /	KP.89 tat-yaTA-api nAma kASyapa mAtrikA sarva-SAstra-grahaNa-jQAne pUrvaFgamAH /
   evameva kāśyapa prathamacittotpādiko bodhisattvaḥ	evam-eva kASyapa praTama-citta-utpAdikaH boDisattvaH
   sarvabuddhavikurvitādhiṣṭhāne 'nuttare pūrvaṅgamaḥ //	sarva-budDa-vikurvita-aDizWAne anuttare pUrvaFgamaH //
   KP.90 tadyathāpi nāma kāśyapa na jātu kenaciccandramaṇḍalam utsṛjya	KP.90 tat-yaTA-api nAma kASyapa na jAtu kenacid-candra-maNxalam utsRjya
   tārakarūpaṃ namaskṛta pūrvaṃ / evameva kāśyapa na jātu paṇḍito mama	tAraka-rUpam namaskRta pUrvam / evam-eva kASyapa na jAtu paNxitaH mama
   śikṣāpratipanna bodhisattvaṃ riñcitvā śrāvakaṃ namaskaroti /	SikzA-pratipad-na boDisattvam riQcitvA SrAvakam namaskaroti /
   tatredamucyate 26	tatra-idam-ucyate 26
   // na kenaci candra vivarjayi tvā namaskṛtā tāragaṇā kadācit /	// na kenaci candra vivarjayi tvA namaskRtA tAra-gaNA kadAcid /
   na jātu śikṣāpratipanna evaṃ mamātmajaṃ tyaja nameta śrāvakaḥ //	na jAtu SikzA-pratipannaH evam mama-Atmajam tyaja nameta SrAvakaH //
   KP.91 tadyathāpi nāma kāśyapa sadevako loko kācamaṇikasya parikarma kuryāt	KP.91 tat-yaTA-api nAma kASyapa sa-devakaH lokaH kAca-maNikasya parikarma kuryAt-
   na jātu sa kācamaṇiko vaiḍūryamaṇiratno bhaviṣyati / evameva kāśyapa	na jAtu sa kAcamaNikaH vExUrya-maNi-ratnaH Bavizyati / evam-eva kASyapa
   sarvaśīlaśikṣādhutaguṇasamādhisamanvāgato 'pi śrāvako na jātu sa	sarva-SIla-SikzA-Duta-guNa-samADi-samanvAgataH api SrAvakaH na jAtu sa
   bodhimaṇḍe niṣadyānuttarā samyaksambodhimabhisambotsyate / tatredamucyate	boDimaNxe nizadya-anuttarA samyaksamboDim-aBisambA-utsyate / tatra-idam-ucyate
   // yathāpi loko parikarma kuryās sadevakaḥ kācamaṇisya śuddhaye /	// yaTA-api lokaH parikarma kuryAH sa-devakaH kAca-maNisya SudDaye /
   na kāca vaiḍūrya kadāci bheṣyate anyādṛśī tasya sadeva jātiḥ	na kAca vExUrya kadAci Bezyate anyAdRSI tasya sat-eva jAtiH
   evaṃ hi śīlāśrutaddhyānayukto yaḥ śrāvaka sarvaguṇānvito 'pi /	evam hi SIla-aSru-tat-DyAna-yuktaH yaH SrAvaka sarva-guNa-anvitaH api /
   na bodhimaṇḍasthita māra jitvā bodhiṃ spṛśitvā sugato bhaviṣyati //	na boDimaNxa-sTita mAra jitvA boDim spRSitvA sugataH Bavizyati //
   KP.92 tadyathāpi nāma kāśyapa vaiḍūryasya mahāmaṇiratnasya parikarma	KP.92 tat-yaTA-api nAma kASyapa vExUryasya mahA-maNi-ratnasya parikarma
   kriyamāṇairbahuṇām tatra karṣāpaṇaśatasahasrāṇām āyadvāraṃ bhavati /	kriyamANEH-bahuNAm tatra karzApaNa-Sata-sahasrANAm Aya-dvAram Bavati /
   evameva kāśyapa yatra bodhisattvasya parikarma kriyamāṇe bahūnāṃ tatra	evam-eva kASyapa yatra boDisattvasya parikarma kriyamANe bahUnAm tatra
   śrāvakapratyekabuddhaśatasahasrāṇām āyadvāraṃ bhavati / tatredamucyate 28	SrAvaka-pratyekabudDa-Sata-sahasrANAm Aya-dvAram Bavati / tatra-idam-ucyate 28
   // vaiḍūryaratne parikarmanīyante karṣāpaṇānāṃ ca bahu āyu bhoti /	// vExUrya-ratne parikarmanIyante karzApaNAnAm ca bahu Ayu Boti /
   buddhorasānāṃ parikarmaṇaṃ tathā āyo bahūnāṃ śrāvakānāṃ tatheva / 30 //	budDa-urasAnAm parikarmaNam taTA AyaH bahUnAm SrAvakAnAm taTA-iva / 30 //
   KP.93 atha khalu bhagavān punarevāyuṣmantaṃ mahākāśyapam āmantrayati sma /	KP.93 aTa Kalu BagavAn punar-eva-Ayuzmantam mahAkASyapam Amantrayati sma /
   yasmiṃ kāśyapa deśe uṣṭradhūmaka kṛṣṇaśira uttānaśāyī bhavati sa deśa	yasmim kASyapa deSe uzwra-DUmaka kRzNa-SiraH uttAna-SAyI Bavati sa deSa
   sopadravaḥ sopakleśa sopāyāso bhavati / sacetpuna kāśyapa yasmiṃ deśe	sa-upadravaH sa-upakleSa sa-upAyAsaH Bavati / saced-puna kASyapa yasmim deSe
   bodhisattvo bhavati / sa deśa nirupadrava nirupakleśa nirupāyāso bhavati /	boDisattvaH Bavati / sa deSa nirupadrava nirupakleSa nirupAyAsaH Bavati /
   tasmāttarhi kāśyapa sattvārthodyuktena bodhisattvena bhavitavyaṃ tena	tasmAt-tarhi kASyapa sattva-arTa-udyuktena boDisattvena Bavitavyam tena
   sarvakuśalamūlāni sarvasattvānām utsraṣṭavyaṃ / sarvaṃ ca kuśalamūla	sarva-kuSala-mUlAni sarva-sattvAnAm utsrazwavyam / sarvam ca kuSala-mUla
   samyaksamudānayitavyaṃ / yaśca jñānabheṣajyaṃ paryeṣate tena caturdiśam	samyak-samudAnayitavyam / yaH-ca jQAna-Bezajyam paryezate tena caturdiSam
   gatvā sarvasattvānāṃ bhūtacikitsā kartavyāḥ bhūtacikitsāyā cca sattvā	gatvA sarva-sattvAnAm BUta-cikitsA kartavyAH BUta-cikitsAyAH cca sattvA
   cikitsitavyāḥ	cikitsitavyAH
   KP.94 tatra kāśyapaḥ katamā bhūtacikitsāḥ yaduta rāgasya aśubhā cikitsā /	KP.94 tatra kASyapaH katamA BUta-cikitsAH yat-uta rAgasya aSuBA cikitsA /
   dveṣasya maitrī cikitsāḥ mohasya pratītyasamutpādapratyavekṣaṇā cikitsāḥ	dvezasya mEtrI cikitsAH mohasya pratItyasamutpAda-pratyavekzaNA cikitsAH
   sarvadṛṣṭīgatānāṃ śūnyatā cikitsāḥ	sarva-dRzwI-gatAnAm SUnyatA cikitsAH
   sarvakalpavikalpaparikalpārambhaṇavitarkamanasīkārāṇām ānimitta cikitsāḥ	sarva-kalpa-vikalpa-parikalpa-AramBaNa-vitarka-manasIkArANAm Animitta cikitsAH
   sarvakāmadhāturūpadhātvārūpyadhātuprahāṇāyām apraṇihita cikitsāḥ	sarva-kAma-DAtu-rUpa-DAtu-ArUpya-DAtu-prahANAyAm apraNihita cikitsAH
   sarvaviparyāsānā catvāro viparyāsa cikitsāḥ anitye nityasañjñāyāḥ anityāḥ	sarva-viparyAsAnA catvAraH viparyAsa cikitsAH anitye nitya-saQjQAyAH anityAH
   sarvasaṃskārā iti cikitsāḥ duḥkhe sukhasañjñāyā duḥkhā sarvasaṃskārā iti	sarva-saMskArAH iti cikitsAH duHKe suKa-saQjQAyAH duHKA sarva-saMskArAH iti
   cikitsāḥ anātmīye ātmīyasañjñāyā anātmāna sarvadharmā iti cikitsāḥ aśubhe	cikitsAH anAtmIye AtmIya-saQjQAyAH anAtmAnaH sarva-DarmAH iti cikitsAH aSuBe
   śubhasañjñāyāḥ śāntaṃ nirvāṇam iti cikitsāḥ	SuBa-saQjQAyAH SAntam nirvANam iti cikitsAH
   KP.95 catvāri smṛtyupasthānāni kāyevedanācittadharmasanniśritānāṃ cikitsāḥ	KP.95 catvAri smRti-upasTAnAni kAyevedanA-citta-Darma-sanniSritAnAm cikitsAH
   kāye kāyānupasyī viharati na ca kāye kāyānupāśyanāyām ātmyadṛṣṭyāṃ patati	kAye kAyAn-upasyI viharati na ca kAye kAyAnupASyanAyAm Atmya-dRzwyAm patati
   / vedanāyāṃ vedanānupaśyī viharati na ca vedanānupaśyanāyā ātmadṛṣṭīgatena	/ vedanAyAm vedanA-anupaSyI viharati na ca vedanA-anupaSyanAyAH Atma-dRzwI-gatena
   patati / citte cittānupaśyī viharati na ca cittānupaśyanāyāṃ jīvadiṣṭīye	patati / citte citta-anupaSyI viharati na ca citta-anupaSyanAyAm jIvadizwIye
   patati / dharme dharmānupaśyī viharati na ca dharmānupaśyanāyāṃ	patati / Darme Darma-anupaSyI viharati na ca DarmAn-upaSyanAyAm
