   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   śokāraktekṣaṇaḥ śrīmān Ram_2,12.18c	Soka Arakta IkzaNaH SrImAn Ram_2,12.18c
   śokārṇavapariplutam Ram_2,31.18d	Soka arNava pariplutam Ram_2,31.18d
   śokārtaṃ tu varārohe Ram_3,53.31a	Soka Artam tu varArohe Ram_3,53.31a
   śokārtānām anāthānām Ram_3,67.21a	Soka ArtAnAm anATAnAm Ram_3,67.21a
   śokena ca samākrānto Ram_2,56.17c	Sokena ca samAkrAntaH Ram_2,56.17c
   śoke na syāt sahāyatā Ram_2,51.26d	Soke na syAt sahAya tA Ram_2,51.26d
   śokenābhipariplutaḥ Ram_2,76.8b	Sokena aBipariplutaH Ram_2,76.8b
   śokenābhiprasuptaṃ te Ram_3,62.18c	Sokena aBiprasuptam te Ram_3,62.18c
   śokair bahubhir āvṛtaḥ Ram_2,66.20d	SokEH bahuBiH AvRtaH Ram_2,66.20d
   śokair bahubhir āvṛtām Ram_2,69.12d	SokEH bahuBiH AvRtAm Ram_2,69.12d
   śoko nāśayate dhairyaṃ Ram_2,56.12a	SokaH nASayate DEryam Ram_2,56.12a
   śoko nāśayate śrutam Ram_2,56.12b	SokaH nASayate Srutam Ram_2,56.12b
   śoko nāśayate sarvaṃ Ram_2,56.12c	SokaH nASayate sarvam Ram_2,56.12c
   śokopahatacetanaḥ Ram_2,10.31f	Soka upahata cetanaH Ram_2,10.31f
   śokopahatacetanaḥ Ram_2,57.1b	Soka upahata cetanaH Ram_2,57.1b
   śokopahatacetasam Ram_3,58.17b	Soka upahata cetasam Ram_3,58.17b
   śokopahatacetasaḥ Ram_2,30.5d	Soka upahata cetasaH Ram_2,30.5d
   śokopahatacetāś ca Ram_2,46.16a	Soka upahata cetAH ca Ram_2,46.16a
   śokopahataniśceṣṭā Ram_2,41.29c	Soka upahata niScezwAH Ram_2,41.29c
   śokopahatayā vācā Ram_2,32.21c	Soka upahatayA vAcA Ram_2,32.21c
   śoko bhavati mānavaḥ Ram_2,17.21b	SokaH Bavati mAnavaH Ram_2,17.21b
   śoko 'yaṃ hṛdi vardhate Ram_2,56.15b	SokaH ayam hRdi varDate Ram_2,56.15b
   śocatām eva rajanī Ram_2,98.1c	SocatAm eva rajanI Ram_2,98.1c
   śocatāṃ pitaraṃ mṛtam Ram_2,95.35f	SocatAm pitaram mRtam Ram_2,95.35f
   śocantīva sma maithilīm Ram_3,50.33d	Socanti iva sma mETilIm Ram_3,50.33d
   śocantīṃ prativakṣyati Ram_2,51.17d	SocantIm prativakzyati Ram_2,51.17d
   śocantyāś cālpabhāgyāyā Ram_2,47.23a	SocantyAH ca alpaBAgyAyAH Ram_2,47.23a
   śocituṃ nārhase vīra Ram_3,62.13c	Socitum na arhase vIraH Ram_3,62.13c
   śociṣyati na saṃśayaḥ Ram_2,41.4d	Socizyati na saMSayaH Ram_2,41.4d
   śocyo nāpi janādhipaḥ Ram_2,54.18b	SocyaH na api janADipaH Ram_2,54.18b
   śoṇitaughapariplutaḥ Ram_3,66.8b	SoNita oGa pariplutaH Ram_3,66.8b
   śodhanārtham upāgataḥ Ram_2,71.5b	SoDana arTam upAgataH Ram_2,71.5b
   śobhate śaśisaṃnibhaḥ Ram_3,41.13d	SoBate SaSi saMniBaH Ram_3,41.13d
   śobhante kiṃcidālambāḥ Ram_3,15.17c	SoBante kiMcid AlambAH Ram_3,15.17c
   śobhante 'bhyudite sūrye Ram_3,15.16c	SoBante aByudite sUrye Ram_3,15.16c
   śobhante mṛgam āśritya Ram_3,41.25c	SoBante mRgam ASritya Ram_3,41.25c
   śobhamānam asaṃbādhaṃ Ram_2,15.3a	SoBamAnam asaMbADam Ram_2,15.3a
   śobhamānāḥ patākinyo Ram_2,83.11c	SoBamAnAH patAkinyaH Ram_2,83.11c
   śobhayantu kumārasya Ram_2,32.3c	SoBayantu kumArasya Ram_2,32.3c
   śobhayan daṇḍakāraṇyaṃ Ram_3,36.12a	SoBayan daNxaka araNyam Ram_3,36.12a
   śobhayiṣyanti kākutstham Ram_2,42.9a	SoBayizyanti kAkutsTam Ram_2,42.9a
   śobhayiṣyāmi bhartāraṃ Ram_2,110.19c	SoBayizyAmi BartAram Ram_2,110.19c
   śobhitaṃ paramarṣibhiḥ Ram_3,1.7d	SoBitam parama RziBiH Ram_3,1.7d
   śobhitaṃ paramarṣibhiḥ Ram_3,33.14b	SoBitam parama RziBiH Ram_3,33.14b
   śobhitāṃ dīptavadanaiḥ Ram_2,93.20c	SoBitAm dIpta vadanEH Ram_2,93.20c
   śobhitāṃ śatrubādhakaiḥ Ram_2,93.19d	SoBitAm Satru bADakEH Ram_2,93.19d
   śoṣayiṣyāmi lakṣmaṇa Ram_3,60.21b	SozayizyAmi lakzmaNa Ram_3,60.21b
   śaucaṃ māhātmyam uttamam Ram_2,39.8b	SOcam mAhAtmyam uttamam Ram_2,39.8b
   śaucāddhīnas tathā śuciḥ Ram_2,101.5b	SOcAt hInaH taTA SuciH Ram_2,101.5b
   śauṇḍīraḥ kṣatriyarṣabhaḥ Ram_2,20.7b	SONxIraH kzatriya RzaBaH Ram_2,20.7b
   śmaśānāgnim iva prajāḥ Ram_3,31.3d	SmaSAna agnim iva prajAH Ram_3,31.3d
   śyāmaṃ nalinapattrākṣaṃ Ram_2,104.15c	SyAmam nalina pattra akzam Ram_2,104.15c
   śyāmaṃ nyagrodham āseduḥ Ram_2,49.12c	SyAmam nyagroDam AseduH Ram_2,49.12c
   śyāmaṃ rudhiraparyantaṃ Ram_3,22.3a	SyAmam ruDira paryantam Ram_3,22.3a
   śyāmaṃ siddhopasevitam Ram_2,49.4d	SyAmam sidDa upasevitam Ram_2,49.4d
   śyenagāmī pṛthugrīvo Ram_3,22.31a	Syena gAmI pRTugrIvaH Ram_3,22.31a
   śyenīputram ariṃdama Ram_3,13.33d	SyenI putram ariMdamaH Ram_3,13.33d
   śyenī śyenāṃś ca gṛdhrāṃś ca Ram_3,13.19a	SyenI SyenAn ca gRDrAn ca Ram_3,13.19a
   śramaṇī śabarī nāma Ram_3,69.19c	SramaNI SabarI nAma Ram_3,69.19c
   śramaṇīṃ saṃśitavratām Ram_3,70.7b	SramaNIm saMSita vratAm Ram_3,70.7b
   śramaṃ nāvāpnuyāt kiṃcid Ram_2,21.19c	Sramam na avApnuyAt kiMcid Ram_2,21.19c
   śramād udvepibhiḥ karaiḥ Ram_3,70.19d	SramAt udvepiBiH karEH Ram_3,70.19d
   śrameṇoparatāḥ striyaḥ Ram_2,45.13b	SrameNa uparatAH striyaH Ram_2,45.13b
   śrameṇoparatāḥ striyaḥ Ram_2,80.14b	SrameNa uparatAH striyaH Ram_2,80.14b
   śrayiṣye sagaṇaḥ punaḥ Ram_2,108.20d	Srayizye sa gaNaH punar Ram_2,108.20d
   śrāddhakarmāṇy akārayat Ram_2,71.1d	SrAdDa karmANi akArayat Ram_2,71.1d
   śrāddhadṛṣṭena karmaṇā Ram_3,10.55d	SrAdDa dRzwena karmaNA Ram_3,10.55d
   śrāddham uddiśya nirghṛṇaḥ Ram_3,10.54d	SrAdDam uddiSya nirGRNaH Ram_3,10.54d
   śrāvayāmāsa tattvajñaḥ Ram_2,71.23c	SrAvayAmAsa tattva jQaH Ram_2,71.23c
   śrāvitaḥ paruṣaṃ vākyaṃ Ram_2,56.1c	SrAvitaH paruzam vAkyam Ram_2,56.1c
   śriyaṃ puṣyaty ayaṃ giriḥ Ram_2,88.10d	Sriyam puzyati ayam giriH Ram_2,88.10d
   śriyā ca puruṣarṣabhaḥ Ram_2,39.12b	SriyA ca puruza RzaBaH Ram_2,39.12b
   śriyā jvalantaṃ bharataḥ kṛtāñjalir Ram_2,96.27c	SriyA jvalantam BarataH kRtAQjaliH Ram_2,96.27c
   śriyā prajvalitaprabhām Ram_2,106.3b	SriyA prajvalita praBAm Ram_2,106.3b
   śriyā virahitāṃ dhvastāṃ Ram_3,58.5c	SriyA virahitAm DvastAm Ram_3,58.5c
   śriyā virājitaṃ putraṃ Ram_3,67.7a	SriyA virAjitam putram Ram_3,67.7a
   śriyā vihīnaṃ vidhvastaṃ Ram_3,58.6c	SriyA vihInam viDvastam Ram_3,58.6c
   śriyā vedyo 'tulaprabhāḥ Ram_3,70.20d	SriyA vedyaH atula praBAH Ram_3,70.20d
   śrīmatībhiḥ śriyā vṛtam Ram_3,33.17b	SrImatIBiH SriyA vRtam Ram_3,33.17b
   śrīmaty āyatane viṣṇoḥ Ram_2,6.4c	SrImati Ayatane vizNoH Ram_2,6.4c
   śrīmaty āśramamaṇḍale Ram_3,10.21d	SrImati ASrama maNxale Ram_3,10.21d
   śrīmatsu bhavaneṣu ca Ram_2,6.12d	SrImatsu Bavanezu ca Ram_2,6.12d
   śrīmadrājaniveśanam Ram_2,72.17b	SrImat rAja niveSanam Ram_2,72.17b
   śrīmadvākyam anuttamam Ram_2,73.14d	SrImat vAkyam anuttamam Ram_2,73.14d
   śrīmāñ śivam akaṇṭakam Ram_2,41.28b	SrImAn Sivam akaNwakam Ram_2,41.28b
   śrīmān akṛtadāraś ca Ram_3,17.3c	SrImAn akRta dAraH ca Ram_3,17.3c
   śrīmān daśarathātmajaḥ Ram_2,106.19b	SrImAn daSaraTa AtmajaH Ram_2,106.19b
   śrīmān nirudaro mahān Ram_3,15.29b	SrImAn nirudaraH mahAn Ram_3,15.29b
   śrīmān sannas tadā babhau Ram_2,35.26b	SrImAn sannaH tadA baBO Ram_2,35.26b
   śrīyaśorājyalābhāya Ram_2,5.2c	SrI yaSaH rAjya lABAya Ram_2,5.2c
   śrutadharmaparāvarā Ram_2,34.27b	Sruta Darma parAvarAH Ram_2,34.27b
   śrutavanto jitendriyāḥ Ram_2,94.10b	SrutavantaH jita indriyAH Ram_2,94.10b
   śrutavān buddhimattaraḥ Ram_2,98.35d	SrutavAn budDimattaraH Ram_2,98.35d
   śrutaś ca śaṅke vaidehyā Ram_3,56.14a	SrutaH ca SaFke vEdehyAH Ram_3,56.14a
   śrutaṃ tava mayā cedaṃ Ram_2,48.19c	Srutam tava mayA ca idam Ram_2,48.19c
   śrutaṃ te kiṃcid apriyam Ram_2,81.10b	Srutam te kiMcid apriyam Ram_2,81.10b
   śrutaṃ pratyakṣam icchāmi Ram_3,70.15c	Srutam pratyakzam icCAmi Ram_3,70.15c
   śrutaṃ śīlaṃ damaḥ śamaḥ Ram_2,30.12b	Srutam SIlam damaH SamaH Ram_2,30.12b
   śrutaḥ śabdo mayā bhṛśam Ram_3,43.2d	SrutaH SabdaH mayA BRSam Ram_3,43.2d
   śrutā no yādṛśāḥ pūrvaṃ Ram_2,65.24a	SrutAH naH yAdRSAH pUrvam Ram_2,65.24a
   śrutir gītā yaśasvinī Ram_2,99.11b	SrutiH gItA yaSasvinI Ram_2,99.11b
   śrutir hi śrūyate puṇyā Ram_2,26.15c	SrutiH hi SrUyate puNyAH Ram_2,26.15c
   śrutena bālaḥ sthānena Ram_2,98.59a	Srutena bAlaH sTAnena Ram_2,98.59a
   śrutvā gatavyatho rāmaḥ Ram_2,16.45c	SrutvA gata vyaTaH rAmaH Ram_2,16.45c
   śrutvā gomāyuniḥsvanam Ram_3,55.10b	SrutvA gomAyu niHsvanam Ram_3,55.10b
   śrutvā cāsīt suduḥkhitaḥ Ram_2,36.8d	SrutvA ca AsIt su duHKitaH Ram_2,36.8d
   śrutvā tāṃ mahatīṃ kathām Ram_2,111.1b	SrutvA tAm mahatIm kaTAm Ram_2,111.1b
   śrutvā tu pitaraṃ vṛttaṃ Ram_2,67.1a	SrutvA tu pitaram vRttam Ram_2,67.1a
   śrutvā tu siddhārthavaco Ram_2,32.21a	SrutvA tu sidDArTa vacaH Ram_2,32.21a
   śrutvā daśarathasyaitad Ram_2,1.3a	SrutvA daSaraTasya etat Ram_2,1.3a
   śrutvā dīnasya bhāṣitam Ram_2,56.7b	SrutvA dInasya BAzitam Ram_2,56.7b
   śrutvā dharmātmano vacaḥ Ram_3,10.33b	SrutvA Darma AtmanaH vacaH Ram_3,10.33b
   śrutvā dharme sthito rāmaḥ Ram_3,9.1c	SrutvA Darme sTitaH rAmaH Ram_3,9.1c
   śrutvā na vivyathe rāmaḥ Ram_2,16.27c	SrutvA na vivyaTe rAmaH Ram_2,16.27c
   śrutvā puṣyeṇa putrasya Ram_2,4.33a	SrutvA puzyeNa putrasya Ram_2,4.33a
   śrutvā pramāṇam atra tvaṃ Ram_2,4.7c	SrutvA pramANam atra tvam Ram_2,4.7c
   śrutvā bharatabhāṣitam Ram_2,79.11b	SrutvA Barata BAzitam Ram_2,79.11b
   śrutvā bharataśāsanam Ram_2,83.8b	SrutvA Barata SAsanam Ram_2,83.8b
   śrutvā madhyaṃ jagāmeva Ram_2,20.1c	SrutvA maDyam jagAma iva Ram_2,20.1c
   śrutvā yātrāṃ samājñaptāṃ Ram_2,76.22c	SrutvA yAtrAm samAjQaptAm Ram_2,76.22c
   śrutvā rāmasya kaikeyī Ram_2,16.38b	SrutvA rAmasya kEkeyI Ram_2,16.38b
   śrutvā rāmasya bhāṣitam Ram_3,12.12b	SrutvA rAmasya BAzitam Ram_3,12.12b
   śrutvā rāmābhiṣecanam Ram_2,6.10b	SrutvA rAma aBizecanam Ram_2,6.10b
   śrutvā rāmābhiṣecanam Ram_2,8.8d	SrutvA rAma aBizecanam Ram_2,8.8d
   śrutvā rāmo 'bravīd vākyaṃ Ram_2,21.7c	SrutvA rAmaH abravIt vAkyam Ram_2,21.7c
   śrutvā vayaṃ hi sambhāṣām Ram_2,104.3c	SrutvA vayam hi samBAzAm Ram_2,104.3c
   śrutvā vicitraṃ karuṇaṃ vilāpaṃ Ram_2,11.14c	SrutvA vicitram karuNam vilApam Ram_2,11.14c
   śrutvā śubham aninditā Ram_2,55.6b	SrutvA SuBam aninditA Ram_2,55.6b
   śrutvā sagarvitaṃ vākyaṃ Ram_3,2.14c	SrutvA sa garvitam vAkyam Ram_3,2.14c
   śrutvā sarve sabhāsadaḥ Ram_2,76.16b	SrutvA sarve saBAsadaH Ram_2,76.16b
   śrutvā sītā kathaṃ bhavet Ram_3,42.18d	SrutvA sItA kaTam Bavet Ram_3,42.18d
   śrutvā snehād udīritam Ram_2,83.6b	SrutvA snehAt udIritam Ram_2,83.6b
   śrutvāhaṃ vacanaṃ gṛhe Ram_2,26.7b	SrutvA aham vacanam gRhe Ram_2,26.7b
   śrutvaiva cāpi rāmas taṃ Ram_2,4.5c	SrutvA eva ca api rAmaH tam Ram_2,4.5c
   śrutvaivaṃ vacanaṃ tasyā Ram_2,9.6a	SrutvA evam vacanam tasyAH Ram_2,9.6a
   śrutvaivopasthitau vīrau Ram_2,38.10a	SrutvA eva upasTitO vIrO Ram_2,38.10a
   śrutvoktaṃ sītayā vacaḥ Ram_2,110.13b	SrutvA uktam sItayA vacaH Ram_2,110.13b
   śrūyatām itikartavyaṃ Ram_2,62.5c	SrUyatAm itikartavyam Ram_2,62.5c
   śrūyatām iti coktvā vai Ram_2,110.25c	SrUyatAm iti ca uktvA vE Ram_2,110.25c
   śrūyatāṃ rāma vakṣyāmi Ram_3,16.17c	SrUyatAm rAma vakzyAmi Ram_3,16.17c
   śrūyatāṃ rāma vakṣyāmi Ram_3,68.11a	SrUyatAm rAma vakzyAmi Ram_3,68.11a
   śrūyate tumulo mahān Ram_2,65.17b	SrUyate tumulaH mahAn Ram_2,65.17b
   śrūyate nadatāṃ vane Ram_2,46.3b	SrUyate nadatAm vane Ram_2,46.3b
   śrūyate bhūṣaṇonmiśro Ram_3,10.18c	SrUyate BUzaNa unmiSraH Ram_3,10.18c
   śrūyate hi purā tāta Ram_2,99.11a	SrUyate hi purA tAta Ram_2,99.11a
   śrūyete naraśārdūla Ram_3,62.12c	SrUyete nara SArdUlaH Ram_3,62.12c
   śreṇayaś ca nṛpātmaja Ram_2,73.4d	SreNayaH ca nRpa AtmajaH Ram_2,73.4d
   śreṇayaś ca samāgatāḥ Ram_2,103.5b	SreNayaH ca samAgatAH Ram_2,103.5b
   śreṇayas tvāṃ mahārāja Ram_2,98.11a	SreNayaH tvAm mahA rAja Ram_2,98.11a
   śreṇīmukhyāś ca bhūṣitāḥ Ram_2,23.13b	SreNI muKyAH ca BUzitAH Ram_2,23.13b
   śreyaś caiva bhaviṣyati Ram_2,8.23b	SreyaH ca eva Bavizyati Ram_2,8.23b
   śreyasā yoktukāmo 'smi Ram_2,2.3c	SreyasA yoktu kAmaH asmi Ram_2,2.3c
   śreyasā yojayiṣyati Ram_3,10.85d	SreyasA yojayizyati Ram_3,10.85d
   śreyase vṛddhaye tāta Ram_2,31.26a	Sreyase vRdDaye tAta Ram_2,31.26a
   śreyo'rtham ātmanaḥ śīghram Ram_2,109.15c	SreyaH arTam AtmanaH SIGram Ram_2,109.15c
   śreṣṭhaṃ rājapurohitam Ram_2,61.3d	SrezWam rAja purohitam Ram_2,61.3d
   śreṣṭhaṃ hy anāryam eva syād Ram_2,101.23a	SrezWam hi anAryam eva syAt Ram_2,101.23a
   śreṣṭhāñ śreṣṭheṣu kaccit tvaṃ Ram_2,94.21c	SrezWAn SrezWezu kaccit tvam Ram_2,94.21c
   śreṣṭhāṃ śreṣṭhābhidhāyinīm Ram_2,9.28b	SrezWAm SrezWa aBiDAyinIm Ram_2,9.28b
   śraiṣṭhyaṃ śāstrasamūheṣu Ram_2,1.21c	SrEzWyam SAstra samUhezu Ram_2,1.21c
   śrotavyaṃ ca śrutaṃ tvayā Ram_3,70.23b	Srotavyam ca Srutam tvayA Ram_3,70.23b
   śrotuṃ duḥkham ato vanam Ram_2,25.6d	Srotum duHKam atas vanam Ram_2,25.6d
   śrotuṃ pravyāhṛtaṃ tvayā Ram_2,97.2b	Srotum pravyAhRtam tvayA Ram_2,97.2b
   śroṣyāmi hṛdayaṃgamam Ram_2,58.27b	SrozyAmi hRdayaMgamam Ram_2,58.27b
   ślakṣṇakāṣāyasaṃvītaḥ Ram_3,44.3a	SlakzNa kAzAya saMvItaH Ram_3,44.3a
   ślakṣṇavādī ca dāruṇaḥ Ram_2,7.20b	SlakzNa vAdI ca dAruNaH Ram_2,7.20b
   ślakṣṇavālukasaṃtatām Ram_3,71. 16b	SlakzNa vAluka saMtatAm Ram_3,71. 16b
   ślakṣṇaṃ vacanam abruvan Ram_3,7.4d	SlakzNam vacanam abruvan Ram_3,7.4d
   ślāghanīyena dhīmatā Ram_2,56.10b	SlAGanIyena DImatA Ram_2,56.10b
   ślāghayiṣyaty upāsīnaḥ Ram_2,58.28c	SlAGayizyati upAsInaH Ram_2,58.28c
   ślāghyā ca vyapadeśyā ca Ram_3,12.7c	SlAGyA ca vyapadeSyA ca Ram_3,12.7c
   śliṣṭāñjalipuṭā dhīrā Ram_2,110.21c	Slizwa aQjali puwAH DIrAH Ram_2,110.21c
   śva idānīṃ mahānadīm Ram_2,77.20d	Svas idAnIm mahA nadIm Ram_2,77.20d
   śva eva puṣyo bhavitā Ram_2,4.2a	Svas eva puzyaH BavitA Ram_2,4.2a
   śvabhre mahati kalpite Ram_3,67.22d	SvaBre mahati kalpite Ram_3,67.22d
   śvaśuraṃ sukṛtena me Ram_3,45.7b	SvaSuram sukRtena me Ram_3,45.7b
   śvaśuro me sa mānadaḥ Ram_3,45.9b	SvaSuraH me sa mAna daH Ram_3,45.9b
   śvaśrūṇām aśrupūrṇākṣī Ram_2,96.19c	SvaSrUNAm aSru pUrNa akzI Ram_2,96.19c
   śvaśrūṇāṃ mama ca prabho Ram_3,41.17b	SvaSrUNAm mama ca praBo Ram_3,41.17b
   śvaśrūm abhimukhe sthitā Ram_2,34.22d	SvaSrUm aBimuKe sTitAH Ram_2,34.22d
   śvaśrūr vacanam abravīt Ram_2,34.19b	SvaSrUH vacanam abravIt Ram_2,34.19b
   śvaśrūśvaśurayor mama Ram_3,8.25b	SvaSrU SvaSurayoH mama Ram_3,8.25b
   śvasantam iva nāgendraṃ Ram_2,19.1c	Svasantam iva nAga indram Ram_2,19.1c
   śvas tu gantāsi taṃ deśaṃ Ram_2,84.21c	Svas tu gantAsi tam deSam Ram_2,84.21c
   śvas tvāham abhiṣekṣyāmi Ram_2,4.22c	Svas tvA aham aBizekzyAmi Ram_2,4.22c
   śvaḥkāle sādhayiṣyasi Ram_2,31.27f	Svas kAle sADayizyasi Ram_2,31.27f
   śvaḥ puṣyayogaṃ niyataṃ Ram_2,4.21c	Svas puzya yogam niyatam Ram_2,4.21c
   śvaḥ puṣyeṇa jitakrodhaṃ Ram_2,7.7a	Svas puzyeNa jita kroDam Ram_2,7.7a
   śvaḥ puṣyeṇa dvijottamaiḥ Ram_2,8.3d	Svas puzyeNa dvijottamEH Ram_2,8.3d
   śvaḥ sasainyo gamiṣyasi Ram_2,78.17d	Svas sa sEnyaH gamizyasi Ram_2,78.17d
   śvāpadā vanacāriṇaḥ Ram_3,23.22b	SvApadAH vana cAriNaH Ram_3,23.22b
   śvāpadāḥ parikarṣantu Ram_2,90.24c	SvApadAH parikarzantu Ram_2,90.24c
   śvāpadaiḥ parivarjitaḥ Ram_2,94.39b	SvApadEH parivarjitaH Ram_2,94.39b
   śvetacchattro daśānanaḥ Ram_3,33.8b	SvetacCattraH daSAnanaH Ram_3,33.8b
   śvetāraṇye yathāndhakaḥ Ram_3,29.27d	Sveta araNye yaTA anDakaH Ram_3,29.27d
   śvetā vyajanayat sutam Ram_3,13.26d	SvetA vyajanayat sutam Ram_3,13.26d
   śvetāś caiva śiroruhāḥ Ram_2,98.22b	SvetAH ca eva SiroruhAH Ram_2,98.22b
   śvetāṃ ca surabhīṃ tathā Ram_3,13.22b	SvetAm ca suraBIm taTA Ram_3,13.22b
   śvobhāviny abhiṣecane Ram_2,4.28b	Svas BAvini aBizecane Ram_2,4.28b
   śvobhāviny abhiṣecane Ram_2,4.37b	Svas BAvini aBizecane Ram_2,4.37b
   śvobhāviny abhiṣecane Ram_2,5.1b	Svas BAvini aBizecane Ram_2,5.1b
   śvo 'bhiṣecyas tu me sutaḥ Ram_2,4.2b	Svas aBizecyaH tu me sutaH Ram_2,4.2b
   śvo mayā saha gantāsi Ram_2,58.31c	Svas mayA saha gantAsi Ram_2,58.31c
   ṣaṭ śarān abhilakṣitān Ram_3,27.24d	zaz SarAn aBilakzitAn Ram_3,27.24d
   ṣaḍguṇāḥ puruṣottamam Ram_2,30.12d	zaxguNAH puruzottamam Ram_2,30.12d
   ṣaṣṭir duhitaro rāma Ram_3,13.10c	zazwiH duhitaraH rAmaH Ram_3,13.10c
   ṣaṣṭivarṣasahasrāṇi Ram_3,48.19a	zazwi varza sahasrANi Ram_3,48.19a
   ṣaṣṭhī rathasahasrāṇi Ram_2,77.4a	zazWI raTa sahasrANi Ram_2,77.4a
   ṣaṣṭhena ca śiraḥ saṃkhye Ram_3,27.27c	zazWena ca SiraH saMKye Ram_3,27.27c
   ṣoḍaśāśvaśatāni ca Ram_2,64.18b	zoxaSa aSva SatAni ca Ram_2,64.18b
   sa ṛkṣarajasaḥ putraḥ Ram_3,68.16a	saH Rkza rajasaH putraH Ram_3,68.16a
   sa eko mṛṣṭam aśnātu Ram_2,69.23c	saH ekaH mRzwam aSnAtu Ram_2,69.23c
   sa evaṃ bruvatīṃ sītāṃ Ram_2,25.1a	saH evam bruvatIm sItAm Ram_2,25.1a
   sa evaṃ vyasanaṃ prāpya Ram_2,98.43c	saH evam vyasanam prApya Ram_2,98.43c
   sa eṣa sumahākāyaḥ Ram_2,91.13a	saH eza su mahA kAyaH Ram_2,91.13a
   sa eṣa hi mahākāyaḥ Ram_2,78.3a	saH eza hi mahA kAyaH Ram_2,78.3a
   sa kaccid brāhmaṇo vidvān Ram_2,94.5a	sa kaccit brAhmaNaH vidvAn Ram_2,94.5a
   sa kathaṃ pālayiṣyāmi Ram_2,98.59c	sa kaTam pAlayizyAmi Ram_2,98.59c
   sa kathaṃ rāghavo vīraḥ Ram_3,51.23a	sa kaTam rAGavaH vIraH Ram_3,51.23a
   sa kadācic cirāl loke Ram_3,41.40a	sa kadAcid cirAt loke Ram_3,41.40a
   sa kadācit prabhātāyāṃ Ram_3,15.2a	sa kadAcid praBAtAyAm Ram_3,15.2a
   sa karābhyāṃ vikīrṇābhyāṃ Ram_3,25.9a	sa karAByAm vikIrNAByAm Ram_3,25.9a
   sa karma kṛtavān etat Ram_3,47.27a	sa karma kRtavAn etat Ram_3,47.27a
   sakalatrasya saṃdeho Ram_2,108.22a	sakalatrasya saMdehaH Ram_2,108.22a
   sa kāñcanamayaṃ pīṭhaṃ Ram_2,75.10a	sa kAQcana mayam pIWam Ram_2,75.10a
   sa kāmapāśaparyasto Ram_2,28.3c	sa kAma pASa paryastaH Ram_2,28.3c
   sakāmān suhṛdaḥ kuru Ram_2,97.10d	sa kAmAn suhRdaH kuru Ram_2,97.10d
   sakāmā bhaginī me 'stu Ram_3,22.22a	sa kAmA BaginI me astu Ram_3,22.22a
   sakāmā bhava kaikeyi Ram_2,37.18a	sa kAmA Bava kEkeyi Ram_2,37.18a
   sakāmā bhava kaikeyi Ram_2,60.3a	sa kAmA Bava kEkeyi Ram_2,60.3a
   sakāmāṃ na kariṣyāmi Ram_2,67.14c	sa kAmAm na karizyAmi Ram_2,67.14c
   sakāśaṃ jagatīpateḥ Ram_2,31.12d	sakASam jagatIpateH Ram_2,31.12d
   sakāśaṃ dūtacoditaḥ Ram_2,64.13b	sakASam dUta coditaH Ram_2,64.13b
   sakāśe sa mahāstravit Ram_3,10.23b	sakASe sa mahA astra vid Ram_3,10.23b
   sa kṛtvā tūdakaṃ tūrṇaṃ Ram_2,58.43a	sa kRtvA tu udakam tUrNam Ram_2,58.43a
   sa kṛtvā bhairavaṃ nādaṃ Ram_3,2.9c	sa kRtvA BEravam nAdam Ram_3,2.9c
   sakṛd adyālabheta vā Ram_2,58.48b	sakRt adya AlaBeta vE Ram_2,58.48b
   sakṛd dṛṣṭāsv api strīṣu Ram_2,110.6a	sakRt dRzwAsu api strIzu Ram_2,110.6a
   saktaṃ grāmyeṣu bhogeṣu Ram_3,31.3a	saktam grAmyezu Bogezu Ram_3,31.3a
   saktāḥ kanakabindavaḥ Ram_2,82.13d	saktAH kanaka bindavaH Ram_2,82.13d
   saktāḥ kauśeyatantavaḥ Ram_2,82.14d	saktAH kOSeya tantavaH Ram_2,82.14d
   sakthinī ca śiraś caiva Ram_3,67.10c	sakTinI ca SiraH ca eva Ram_3,67.10c
   sa kṣipraṃ samatīyāya Ram_3,52.7c	sa kzipram samatIyAya Ram_3,52.7c
   sa kharasyājñayā sūtas Ram_3,24.3a	sa Karasya AjQayA sUtaH Ram_3,24.3a
   sakhibhiḥ priyavādibhiḥ Ram_2,63.5b	saKiBiH priya vAdiBiH Ram_2,63.5b
   sakhījanasamāvṛtā Ram_2,72.11b	saKI jana samAvRtA Ram_2,72.11b
   sakhībhir iva yuktābhir Ram_3,71. 17a	saKIBiH iva yuktABiH Ram_3,71. 17a
   sakhīm iva gatotsāhāṃ Ram_3,50.33c	saKIm iva gata utsAhAm Ram_3,50.33c
   sakhīvac ca vigāhasva Ram_2,89.14a	saKI vat ca vigAhasva Ram_2,89.14a
   sakhe deyaṃ tu sarvadā Ram_2,81.16b	saKe deyam tu sarvadA Ram_2,81.16b
   sakhe 'bhyāgaccha paśya tvaṃ Ram_2,29.2c	saKe aByAgacCa paSya tvam Ram_2,29.2c
   sakhyaṃ kuruṣveti tadābhyuvāca Ram_3,69.36d	saKyam kuruzva iti tadA aByuvAca Ram_3,69.36d
   sagaṇaḥ pratyapadyata Ram_2,75.9d	sa gaNaH pratyapadyate Ram_2,75.9d
   sa gatiḥ sa parāyaṇam Ram_2,42.14f	sa gatiH sa parAyaNam Ram_2,42.14f
