   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   upakrāntatvāt |	upakrAnta tvAt |
   yadi dveṣeṇāpi siddhis tarhi veṇaḥ kim iti narake pātita ity āśaṅkyāha   	yadi dvezeNa api sidDiH tarhi veNaH kim iti narake pAtitaH iti ASaFkya Aha   
   katamo'pi na venaḥ syāt pañcānāṃ puruṣaṃ prati [BhP 7.1.31]	katamaH api na venaH syAt paQcAnAm puruzam prati [Bhj 7.1.31]
   puruṣaṃ bhagavantaṃ prati lakṣyīkṛtya pañcānāṃ vairānubandhādīnāṃ	puruzam Bagavantam prati lakzyIkRtya paQcAnAm vEra anubanDa AdInAm
   madhye veṇaḥ katamo'pi na syāt | tasya taṃ prati prāsaṅgika nindā 	maDye veNaH katamaH api na syAt | tasya tam prati prAsaFgika nindA 
   mātrātmakaṃ vairaṃ na tu vairānubandhaḥ | tatas tīvra dhyānābhāvāt	mAtrA Atmakam vEram na tu vEra anubanDaH | tatas tIvra DyAna aBAvAt
   pāpam eva tatra pratiphalitam iti bhāvaḥ | tato'sura tulya svabhāvair api	pApam eva tatra pratiPalitam iti BAvaH | tatas asura  tulya  svaBAvEH api
   tasmin sva mokṣārthaṃ vaira bhāvānuṣṭhāna sāhasaṃ na kartavyam ity	tasmin sva  mokza arTam vEra BAva anuzWAna  sAhasam na kartavyam iti 
   abhipretam | ataeva ye vai bhagavatā proktāḥ [BhP 11.2.32] ity āder apy	aBipretam | ataeva ye vE BagavatA proktAH [Bhu 11.2.32] iti AdeH api 
   ativyāptir vyāhanyate anabhipretatvenā proktatvāt |	ativyAptiH vyAhanyate anaBipreta tvenA  prokta tvAt |
   yasmād evaṃ  	yasmAt evam  
   tasmāt kenāpy upāyena manaḥ kṛṣṇe niveśayet || [BhP 7.1.31] iti |	tasmAt kena api upAyena manaH kRzNe niveSayet || [Bhj 7.1.31] iti |
   atrāpi pūrvavan niveśayed iti sammati mātraṃ na vidhiḥ | kenāpi teṣv apy	atra api pUrvavat niveSayet iti sammati  mAtram na viDiH | kena api tezu api 
   upāyeṣu yuktatamenaikenety arthaḥ | ajp uas t>adṛ	upAyezu yuktatamena ekena iti arTaH | ajp uaH t>a dR
   vaidhī bhakti mārgeṇa cirāt sādhyate sa evācirād bhāva viśeṣa mātreṇa	vEDI  Bakti  mArgeNa cirAt sADyate saH eva acirAt BAva  viSeza  mAtreNa
   tatra	tatra
   ca dveṣādināpi | tasmād evaṃbhūte parama sad guṇa svabhāve tasmin	ca dveza AdinA api | tasmAt evaMBUte parama  sad  guNa  svaBAve tasmin
   dūre'stu pāmara jana bhāvyasya vairasya vārtā ko vādhama audāsyam	dUre astu pAmara  jana  BAvyasya vErasya vArtA kaH vA aDamaH OdAsyam
   avalambya prītim api na kuryād iti rāgānugāyām eva tac ca yuktatamatvam	avalambya prItim api na kuryAt iti rAga anugAyAm eva tat ca yuktatama tvam
   aṅgīkṛtaṃ bhavati |	aFgIkRtam Bavati |
   || 7.1 || śrī nāradaḥ yudhiṣṭhiram || 312 323 ||	|| 7.1 || SrI nAradaH yuDizWiram || 312 323 ||
   tad evaṃ bhāva mārga sāmānyasyaiva balavattve'pi kaimutyena rāgānugāyām	tat evam BAva  mArga  sAmAnyasya eva balavat tve api kEm utyena rAga anugAyAm
   evābhidheyatvam āha  	eva aBiDeya tvam Aha  
   vaireṇa yaṃ nṛpatayaḥ śiśupāla pauṇḍra 	vEreNa yam nRpatayaH SiSupAla  pONxra 
   śālvādayo gati vilāsa vilokanādyaiḥ |	SAlva AdayaH gati vilAsa  vilokana AdyEH |
   dhyāyanta ākṛta dhiyaḥ śayanāsanādau	DyAyantaH AkRta  DiyaH Sayana Asana AdO
   tat sāmyam āpur anurakta dhiyāṃ punaḥ kim || [BhP 11.5.48]	tat sAmyam ApuH anurakta DiyAm punar kim || [Bhj 11.5.48]
   ākṛti dhiyas tat tad ākārā dhīr yeṣām | evam evoktaṃ gāruḍe  	AkRti DiyaH tat  tad  AkArA DIH yezAm | evam eva uktam gAruxe  
   ajñāninaḥ sura varaṃ samadhikṣipanto	ajQAninaH sura varam samaDikzipantaH 
   yaṃ pāpino'pi śiśupāla suyodhanādyāḥ |	yam pApinaH api SiSupAla  suyoDana AdyAH |
   muktiṃ gatāḥ smaraṇa mātra vidhūta pāpāḥ	muktim gatAH smaraNa  mAtra  viDUta  pApAH
   kaḥ saṃśayaḥ parama bhakti matāṃ janānām || iti |	kaH saMSayaH parama   Bakti matAm janAnAm || iti |
   atp yathā vairānubandhena [BhP 7.1.26] ity atra vairānubandhasya sarvata	atp yaTA vEra anubanDena [Bhj 7.1.26] iti atra vEra anubanDasya sarvata
   ādhikyaṃ na yojanīyam | yac ca  	ADikyam na yojanIyam | yat ca  
   mayi saṃrambha yogena nistīrya brahma helanam |	mayi saMramBa  yogena nistIrya brahma  helanam |
   pratyeṣyataṃ nikāśaṃ me kālenālpīyasā punaḥ || [BhP 3.16.30] iti |	pratyezyatam nikASam me kAlena alpIyasA punar || [Bhj 3.16.30] iti |
   iti jaya vijayau prati vaikuṇṭha vacanam | tad api tad aparādhābhāsa 	iti jaya  vijayO prati vEkuNWa vacanam | tat api tad  aparADa ABAsa 
   bhogārtham eva saṃrambha yogābhāsaṃ vidhatte tat prāptes tayoḥ	Boga arTam eva saMramBa  yoga ABAsam viDatte tat  prApteH tayoH
   svābhāvaika siddhatvāt | yuddha līlārtham eva tat prapañcanāt |	svABAva eka sidDa tvAt | yudDa  lIlA arTam eva tat  prapaQcanAt |
   atra dveṣādāv api kecid bhaktitvaṃ manyante | tad asat | bhakti sevādi 	atra dveza AdO api kecid Bakti tvam manyante | tat asat | Bakti  sevA Adi 
   śabdānām ānukūlya eva (page 172) prasiddher vaire tad virodhatvena tad 	SabdAnAm AnukUlyaH eva (page 172) prasidDeH vEre tad  viroDa tvena tat  
   asiddheś ca | pādmottara khaṇḍe ca bhakti dveṣādīnāṃ ca bhedo'vagamyate  	asidDeH ca | pAdma uttara  KaNxe ca Bakti  dveza AdInAm ca BedaH avagamyate  
   yogibhir dṛśyate bhaktyā nābhaktyā dṛśyate kvacit |	yogiBiH dRSyate BaktyA na aBaktyA dRSyate kvacid |
   draṣṭuṃ na śakyo roṣāc ca matsarād vā janārdanaḥ | [PadmaP 6.238.83] ity	drazwum na SakyaH rozAt ca matsarAt vA janArdanaH | [Pat maP 6.238.83] iti 
   atra ca |	atra ca |
   nanu manye'surān bhāgavatān [BhP 3.2.24] ity ādau śrīmad uddhava vākye	nanu manye asurAn BAgavatAn [Bhj 3.2.24] iti AdO SrImat  udDava  vAkye
   teṣām api bhāgavatatvaṃ nirdiśyate | maivaṃ | yato manya ity	tezAm api BAgavata tvam nirdiSyate | mA evam | yatas manyaH iti 
   anenotprekṣāvagamān na svayaṃ bhāgavatatvaṃ tatrāstīy evaṃ sidhyatīti | sā	anena utprekzA avagamAt na svayam BAgavata tvam tatra astIi evam siDyati iti | sA
   cotprekṣā tena tac chokautkaṇṭhyavatā kevala darśana bhāgyāṃśenaiva	ca utprekzA tena tac Soka OtkaNWyavatA kevala  darSana BAgya aMSena eva
   racitā yuktaiva | yathā hanta vayam eva bahirmukhāḥ | yeṣām anti samaye	racitAH yuktA eva | yaTA hanta vayam eva bahirmuKAH | yezAm anti  samaye
   tan mukha candramaso darśana sambhāvanāpi na vidyate | yebhyaś cāsurā	tan muKa candramasaH darSana  samBAvanA api na vidyate | yeByaH ca asurA
   api bhāgavatāḥ | ye khalu tadānīṃ tan mukha candramaso darśana 	api BAgavatAH | ye Kalu tadAnIm tan muKa  candramasaH darSana 
   saubhāgyaṃ prāpur iti | tasmān na dveṣādau kathañcid api bhaktitvam |	sOBAgyam prApuH iti | tasmAt na dveza AdO kaTaQcid api Bakti tvam |
   || 11.5 || śrī nāradaḥ śrī vasudevam || 324 ||	|| 11.5 || SrI nAradaH SrI  vasudevam || 324 ||
   tad evaṃ rāgānugā sādhitā | sā ca śrī kṛṣṇa eva mukhyā | gopyaḥ kāmāt	tat evam rAga anugA sADitA | sA ca SrI  kRzNaH eva muKyAH | gopyaH kAmAt 
   [BhP 7.1.29] ity ādinā tasminn eva darśitatvāt | daityānām api dveṣeṇāpi	[Bhj 7.1.29] iti AdinA tasmin eva darSita tvAt | dEtyAnAm api dvezeNa api
   tasminn evāveśa lābha darśanāt | siddhi prāpteś ca | nānyatra tu kutrāpy	tasmin eva AveSa  lABa darSanAt | sidDi prApteH ca | na anyatra tu kutra api 
   aṃśiny aṃśe vā | ataevoktam tasmāt kenāpy upāyena manaḥ kṛṣṇe niveśayet	aMSini aMSe vA | ataeva uktam tasmAt kena api upAyena manaH kRzNe niveSayet 
   ity ādi | atas tādṛśa jhaṭity āveśa hetūpāsanā lābhād eva svayam ekādaśe	iti Adi | atas tAdRSa  Jawiti  a AveSa  hetu upAsanA lABAt eva svayam ekAdaSe
   vaidhopāsanā svasmin noktā | kintv anyatra caturbhujākāra eva | tatra ca	vEDa upAsanA svasmin na uktA | kintu anyatra catur Buja AkAraH eva | tatra ca
   śuddhasya rāgasya śrī gokula eva darśanāt tatra tu rāgānugā mukhyatamā	SudDasya rAgasya SrI  gokulaH eva darSanAt tatra tu rAga anugA muKyatamA
   yatra khalu svayaṃ bhagavān api teṣāṃ putrādi bhāvenaiva vilasati | ye	yatra Kalu svayam BagavAn api tezAm putra Adi BAvena eva vilasati | ye
   yathā	yaTA
   māṃ prapadyante [Gītā 4.11] ity ādeḥ | mallānām aśanir [BhP 10.43.14]	mAm prapadyante [GItAH 4.11] iti AdeH | mallAnAm aSaniH [Bhj 10.43.14]
   ityādeḥ | svecchāmayasya [BhP 10.14.2] ity asmāc ca | tataś ca	iti AdeH | sva icCA mayasya [Bhu 10.14.2] iti asmAt ca | tatas ca
   bhakta kartṛka 	Bakta kartRka 
   bhojana pāna snapana bījanādi lakṣaṇa lālanecchāpi tasyākṛtrimaiva jāyate	Bojana  pAna  snapana  bIjana Adi  lakzaNa  lAlana icCA api tasya akRtrimA eva jAyate
   sādhāraṇa bhakti sad bhāvenaiva hi  	sADAraNa  Bakti  sad BAvena eva hi  
   patraṃ puṣpaṃ phalaṃtoyaṃ yo me bhaktyā prayacchati |	patram puzpam PalaMtoyam yaH me BaktyA prayacCati |
   tad ahaṃ bhakty upahṛtam aśnāmi prayatātmanaḥ || [BhP 10.81.3] ity uktam |	tat aham Bakti  upahRtam aSnAmi prayata AtmanaH || [Bhj 10.81.3] iti uktam |
   śrī śukadevena ca tad etad evākāṅkṣayā ślāghitam |	SrI  Sukadevena ca tat etat eva AkAFkzayA SlAGitam |
   pāda saṃvāhanaṃ cakruḥ kecit tasya mahātmanaḥ |	pAda  saMvAhanam cakruH kecid tasya mahAtmanaH |
   apare hata pāpmāno vyajanaiḥ samabījayat || [BhP 10.15.15] ity ādinā |	apare hata pApmAnaH vyajanEH samabIjayat || [Bhj 10.15.15] iti AdinA |
   nānena caiśvaryasya hāniḥ | tadānīm api tasyaiśvaryasyānyatra sphurad 	na anena ca ESvaryasya hAniH | tadAnIm api tasya ESvaryasya anyatra sPurat  
   rūpatvāt | bhaktecchāmayatvasya ceśitari praśaṃsanīya svabhāvatvād eva |	rUpa tvAt | Bakta icCA Amaya tvasya ca ISitari praSaMsanIya  svaBAva tvAt eva |
   yathā śrī vrajeśvarī baddha eva yamalārjuna mokṣaṃ kṛtavān	yaTA SrI vrajeSvarI  badDaH eva yamala arjuna  mokzam kRtavAn
   tādṛśaiśvarye'pi tasmin śrī vrajeśvarī vaśyataiva śrī śukadevena vanditā	tAdRSa ESvarye api tasmin SrI  vrajeSvarI  vaSya tA eva SrI Suka devena vanditA
   evaṃ sandarśitā hy aṅga [BhP 10.9.19] ity ādinā | tasmād ye cādyāpi	evam sandarSitA hi aFgaH [Bhu 10.9.19] iti AdinA | tasmAt ye ca adya api
   tadīya 	tadIya 
   rāgānugā parās teṣām api śrī vrajendra nandanatvādi mātra dharmair	rAga anugA  parAH tezAm api SrI vraja indra nandana tva Adi  mAtra  DarmEH 
   upāsanā yuktā | yathā śrī govardhanoddharaṇa labdha vismayān śrī gopān	upAsanAH yuktAH | yaTA SrI  govarDana udDaraNa labDa  vismayAn SrI gopAn
   pratyuktaṃ svayaṃ bhagavataiva viṣṇu purāṇe   	pratyuktam svayam BagavatA eva vizNu purANe   
   yadi vo'sti mayi prītiḥ ślāghyo'haṃ bhavatāṃ yadi |	yadi vaH asti mayi prItiH SlAGyaH aham BavatAm yadi |
   tad ātma bandhu sadṛśī buddhir vaḥ kriyatāṃ mayi || [ViP 5.13.11] iti |	tad  Atma banDu  sadRSI budDiH vaH kriyatAm mayi || [ViS 5.13.11] iti |
   (page	(page
   tadārcā bandhu sadṛśīṃ bāndhavāḥ kriyatāṃ mayi iti vā pāṭhaḥ | tathā  	tadA arcAH banDu  sadRSIm bAnDavAH kriyatAm mayi iti vA pAWaH | taTA  
   nāhaṃ devo na gandharvo na yakṣo na ca dānavaḥ |	na aham devaH na ganDarvaH na yakzaH na ca dAnavaH |
   ahaṃ vo bāndhavo jāto nātaś cintyam ato'nyathā || [ViP 5.13.12] iti |	aham vaH bAnDavaH jAtaH na atas cintyam atas anyaTA || [ViS 5.13.12] iti |
   yuvāṃ māṃ putra bhāvena vāsakṛt [BhP 10.3.36] ity atra tu śrī 	yuvAm mAm putra  BAvena vA asakRt [Bhj 10.3.36] iti atra tu SrI 
   vasudevādīnām aiśvarya jñāna pradhānatvād dvyatmikaiva bhagavad 	vasudeva AdInAm ESvarya  jQAna  praDAna tvAt dvyatmikA eva Bagavat  
   anumatir jñeyā | prāg janmany api tayos tapa ādi pradhānaiva bhaktir uktā	anumatiH jQeyA | prAk  janmani api tayoH tapa a Adi praDAnA eva BaktiH uktA
   ataḥ śrī vrajeśvaryāḥ punas tan mukha dṛṣṭa vaibhavatvam aślāghitvā	atas SrI  vrajeSvaryAH punar tan  muKa  dRzwa  vEBava tvam aSlAGi tvA
   putra sneha mayīṃ māyādy eka paryāyāṃ tat kṛpām eva bahu manyamānas	putra  sneha  mayIm mAyA Adi  eka paryAyAm tat kRpAm eva bahu manyamAnas
   tādṛśa bhāgyaṃ ca śrī vrajeśvarasya ca bhāgyaṃ tādṛśa bālya 	tAdRSa  BAgyam ca SrI  vrajeSvarasya ca BAgyam tAdRSa  bAlya 
   līlocchalyamāna putra bhāvena rājamāna mati ślāghitavān rājā nandaḥ kim	lIlA ucCalyamAna  putra  BAvena rAjamAna  mati  SlAGitavAn rAjA nandaH kim
   akarod brahman [BhP 10.8.36] ity ādi dvayena | śrī munirājaś ca	akarot brahman [Bhj 10.8.36] iti Adi dvayena | SrI  muni rAjaH ca
   tādṛśa tat 	tAdRSa  tat 
   premaiva ślāghitavān   evaṃ sandarśitā hy aṅga hariṇā [BhP 10.9.29] ity	prema eva SlAGitavAn  evam sandarSitAH hi aFga hariNA [Bhj 10.9.29] iti 
   ādinā |	AdinA |
   tad evaṃ śrī vasudeva devakyāv upalakṣya śrī nārado sādhakān prati	tat evam SrI  vasudeva  devakyO upalakzya SrI nAradaH sADakAn prati
   darśanāliṅganālāpaiḥ [BhP 11.5.43] ity ādinā yad upadiṣṭavān | tatra ṭīkā	darSana AliFgana AlApEH [Bhu 11.5.43] iti AdinA yat upadizwavAn | tatra wIkA
   ca   yathā putropalālanenaiva bhāgavata dharma sarvasva niṣpatteḥ ity eṣā	ca  yaTA putra upalAlanena eva BAgavata  Darma  sarva sva  nizpatteH iti ezA
   tathā māpatya buddhim akṛthāḥ kṛṣṇe sarveśvareśvare [BhP 11.5.45] iti |	taTA mA apatya  budDim akRTAH kRzNe sarva ISvara ISvare [Bhj 11.5.45] iti |
   etad	etat 
   api tad avirodhena ṭīkāyām evam avatāritam | yathā nanu, putra snehaś cen	api tad  aviroDena wIkAyAm evam avatAritam | yaTA nanu, putra  snehaH ced 
   mokṣa hetus tarhi sarve'pi mucyeran tatrāha māpatya buddhim iti ity etat |	mokza  hetuH tarhi sarve api mucyeran tatra Aha mA apatya  budDim iti iti etat |
   tasminn apatyatvaṃ prāpte'pi tasmiṃs tādṛśa bhāvanā vaśaṃ gate'pi asti	tasmin apatya tvam prApte api tasmin tAdRSa  BAvanA  vaSam gate api asti
   svābhāvikaṃ pāramaiśvaryam adhikam iti bhāvaḥ | yad vā pūrvavann	svABAvikam pAramESvaryam aDikam iti BAvaH | yat vA pUrvavat n
   ārṣo'ḍāgamaḥ kintv a kāro niṣedhe abhāve na hy ano na ity śabda koṣāt |	ArzaH axAgamaH kintu a kAraH nizeDe aBAve na hi anaH naH iti Sabda  kozAt |
   tato niṣedha dvayād apatya buddhim eva kuru ity arthaḥ |	tatas nizeDa  dvayAt apatya budDim eva kuru iti arTaH |
   ataeva jñānājñānayor anādareṇa kevala rāgānugāyā evānuṣṭhitiḥ praśastā |	ataeva jQAna ajQAnayoH anAdareNa kevala  rAga anugAyAH eva anuzWitiH praSastA |
   jñātvājñātvātha ye vai mām [BhP 11.11.33] ity ādinā | tasmāt śrī gokula	jQAtvA ajQAtvA aTa ye vE mAm [Bhu 11.11.33] iti AdinA | tasmAt SrI  gokula
   eva	eva
   rāgātmikāyāḥ śuddhatvāt tad anugā bhaktir eva mukhyatamā iti sādv	rAga AtmikAyAH SudDa tvAt tad  anugA BaktiH eva muKyatamAH iti sAdv
   evoktam |	eva uktam |
   tad evam anyatrāsambhavatayā rāgānugām ātma dṛṣṭyā pūrṇa bhagavattā 	tat evam anyatra asamBava tayA rAga anugAm Atma dRzwyA pUrNa Bagavat tA 
   dṛṣṭyā ca śrī kṛṣṇa bhajanasya māhātmyaṃ mahad eva siddham | tatrāpi	dRzwyA ca SrI  kRzNa  Bajanasya mAhAtmyam mahat eva sidDam | tatra api
   gokula līlātmakasya | atha tad bhajana mātrasya māhātmyam upakramata eva	go kula   lIlA Atmakasya | aTa tad  Bajana  mAtrasya mAhAtmyam upakramataH eva
   yathā   	yaTA   
   munayaḥ sādhu pṛṣṭo'haṃ bhavadbhir loka maṅgala |	munayaH sADu pRzwaH aham BavadBiH loka  maFgala |
   yat kṛtaḥ kṛṣṇa sampraśno yenātmā suprasīdati || [BhP 1.2.5] iti |	yat kRtaH kRzNa  sampraSnaH yena AtmA suprasIdati || [Bhj 1.2.5] iti |
   tatraitad vaktavyaṃ pūrvaṃ manasaḥ prasāda hetuḥ pṛṣṭaḥ | anena tu śrī 	tatra etat vaktavyam pUrvam manasaH prasAda  hetuH pRzwaH | anena tu SrI 
   kṛṣṇa praśna mātrasya tad dhetunoktā | na tu sa vai puṃsāṃ paro dharmaḥ	kRzNa praSna  mAtrasya tad  DetunA uktA | na tu sa vE puMsAm paraH DarmaH
   [BhP 1.2.6] ity ādinā tadīyānantara prakaraṇe yathā mahatā prayatnena	[Bhj 1.2.6] iti AdinA tadIya anantara  prakaraNe yaTA mahatA prayatnena
   karmārpaṇam ārabhya bhakti niṣṭhā paryanta eva jāte prādurbhāvānantara 	karma arpaNam AraBya Bakti nizWA  paryante eva jAte prAdurBAva anantara 
   bhajanasya tad dhetunoktā tatheti | ataevāvatārāntara kathāyā api tad 	Bajanasya tad  DetunA uktA taTA iti | ataA iva avatAra antara  kaTAyAH api tat  
   abhiniveśa eva phalam ity āha   	aBiniveSaH eva Palam iti Aha   
   harer adbhuta vīryasya kathā loka sumaṅgalāḥ |	hareH adButa  vIryasya kaTAH loka  su maFgalAH |
   kathayasva mahābhāga yathāham akhilātmani ||	kaTayasva mahABAga yaTA aham aKilAtmani ||
   kṛṣṇe niveśya niḥsaṅgaṃ manas tyakṣye kalevaram | [BhP 2.8.3 4] iti |	kRzNe niveSya niHsaFgam manaH tyakzye kalevaram | [Bhj 2.8.3 4] iti |
   hares tad avatāra rūpasya | akhilātmani sarvāṃśini kṛṣṇe śrīmad arjuna 	hareH tad  avatAra  rUpasya | aKilAtmani sarva aMSini kRzNe SrImat  arjuna 
   sakhe ||	saKe ||
   || 2.8 || rājā || 325 ||	|| 2.8 || rAjA || 325 ||
   (page 174)	(page 174)
   tathā śrīmad uddhava saṃvādānte ca yathā | tatra yadyapi pūrvādhyāya 	taTA SrImat  udDa va  saMvAda ante ca yaTA | tatra yadi api pUrva aDyAya 
   samāptau uktāyā jñāna yoga caryāyā bhakti saha bhāvenaiva svaphala 	samAptO uktAyAH jQAna  yoga caryAyAH Bakti saha  BAvena eva sva Pala 
   janakatvaṃ śrī bhagavatoktaṃ tathāpi tāṃ jñāna yoga caryām aṃśato'py	janaka tvam SrI  BagavatA uktam taTA api tAm jQAna  yoga caryAm aMSataH api 
   anaṅgīkurvatā paramaikāntinā śrīmad uddhavena  	anaFgIkurvatA parama EkAntinA SrImat  udDavena  
   su dustarām imāṃ manye yoga caryām anātmanaḥ |	su dustarAm imAm manye yoga caryAm anAtmanaH |
   yathāñjasā pumān sidhyet tan me brūhy añjasācyuta ||	yaTA aQjasA pumAn siDyet tat me brUhi aQjasA acyuta ||
   prāyaśaḥ puṇḍarīkākṣa yuñjanto yogino manaḥ |	prAyaSas puNxarIkAkza yuQjantaH yoginaH manaH |
   viṣīdanty asamādhānān mano nigraha karśitāḥ || [BhP 11.29.1 2] iti |	vizIdanti asamADAnAt mano  nigraha  karSitAH || [Bhj 11.29.1 2] iti |
   atra sva vākye tasyā duṣkaratvena prāyaḥ phala paryavasāyitvābhāvena	atra sva vAkye tasyAH duzkara tvena prAyas Pala  paryavasAyitva aBAvena
   coktatvāt | śuśrūṣyamāṇāyā bhaktes tu sukaratvenāvaśyaka phala 	ca ukta tvAt | SuSrUzyamANAyAH BakteH tu sukara tvena AvaSyaka Pala 
   paryavasāyitvena cābhipretatvāt | tad bhaktir eva kartavyeti svābhiprāyo	paryavasAyi tvena ca aBipreta tvAt | tad  BaktiH eva kartavyA iti sva aBiprAyaH 
   darśitaḥ | tad evaṃ tāṃ jñāna yoga caryām anādṛtya bhaktim evāpi kurvāṇās	darSitaH | tat evam tAm jQAna  yoga caryAm anAdRtya Baktim eva api kurvANAH 
   tava śrī kṛṣṇa rūpasyaiva bhaktiṃ tādṛśās tu jñāna yogādi phalānādareṇaiva	tava SrI kRzNa   rUpasya eva Baktim tAdRSAH tu jQAna  yoga Adi Pala an AdareNa eva
   kurvantīti punar āha caturbhiḥ	kurvanti iti punar Aha caturBiH
   athāta ānanda dughaṃ padāmbujaṃ	aTa atas Ananda  duGam pada ambujam
   haṃsāḥ śrayerann aravinda locana |	haMsAH Srayeran aravinda  locanaH |
   sukhaṃ nu viśveśvara yoga karmabhis	suKam nu viSveSvara yoga karma Bis
   tvan māyayāmī vihatā na māninaḥ || [BhP 11.29.3]	tvan mAyayA amI vihatAH na mAninaH || [Bhj 11.29.3]
   yasmād evaṃ kecana viṣīdanti   athānta ata eva ye haṃsā sārāsāra viveka 	yasmAt evam kecana vizIdanti  aTa ante atas eva ye haMsA sAra asAra  viveka 
   caturāḥ te tu samastānanda pūrakaṃ padāmbujam eva tu niśictaṃ sukhaṃ	caturAH te tu samasta Ananda pUrakam pada ambujam eva tu niSictam suKam
   yathā syāt tathā śrayeran sevante | padāmbujasya sambandhi padānuraktiḥ	yaTA syAt taTA Srayeran sevante | pada ambujasya sambanDi  pada anuraktiH
   sākṣād dṛśyamāna tvadīya padāmbujābhivyañjanārthā | amī ca śuddha 	sAkzAt dRSyamAna tvadIya  pada ambuja aBivyaQjana arTAH | amI ca SudDa 
   bhaktā yoga karmābhis tvan māyayā ca vihatā kṛta bhaktānuṣṭhānāntarāyā	BaktA yoga karmABiH tvan mAyayA ca vihatA kRta  Bakta anuzWAna antarAyA
   na bhavanti | yato na ca māninas te mānino'pi na bhavanti | puruṣārtha 	na Bavanti | yatas na ca mAninaH te mAninaH api na Bavanti | puruza arTa 
   sādhane bhagavato nirupādhi dīna jana kṛpāyā eva sādhakatamatvaṃ	sADane BagavataH nirupADi  dIna  jana  kRpAyAH eva sADakatama tvam
   manyante na yogi prabhṛtivat sva prayatnasyety arthaḥ |	manyante na yogi  praBRti vat sva  prayatnasya iti arTaH |
   evambhūtasya bhaktasya jñāna yogādīnāṃ yat phalaṃ tan mātraṃ na kintv	evamBUtasya Baktasya jQAna yoga AdInAm yat Palam tan  mAtram na kintv
   anyan mahad evety āha  	anyat mahat eva iti Aha  
   kiṃ citram acyuta tavaitad aśeṣa bandho	kim citram acyuta tava etat aSeza  banDo
   dāseṣv ananya śaraṇeṣu yad ātma sāttvam |	dAsezu ananya SaraNezu yat Atma sAttvam |
   yo'rocayat saha mṛgaiḥ svayam īśvarāṇāṃ	yaH arocayat saha mRgEH svayam ISvarANAm
   śrīmat kirīṭa taṭa pīḍita pāda pīṭhaḥ || [BhP 11.29.4]	SrImat  kirIwa  tawa  pIxita  pAda  pIWaH || [Bhj 11.29.4]
   aśeṣa bandho dāseṣv ananya śaraṇeṣu, yad vā aśeṣāṇām asura paryantānāṃ	aSeza banDaH dAsezu ananya SaraNa izu, yat vE aSezANAm asura  paryantAnAm
   yo bandhur mokṣādi dānair nirupādhi hita kārī he tathābhūta tavaitat kiṃ	yaH banDuH mokza Adi  dAnEH nirupADi  hita kArI he taTABUta tava etat kim
   citraṃ yad ananya śaraṇeṣu jñāna yoga karmādy anuṣṭhāna vimukheṣu	citram yat  ananya  SaraNezu jQAna  yoga  karma Adi  anuzWAna  vimuKezu
   dāseṣu śuddha bhakteṣu bali prabhṛtiṣu ātma sattvaṃ teṣāṃ ya ātmā tad 	dAsezu SudDa  Baktezu bali  praBRtizu Atma  sattvam tezAm yaH AtmA tat  
   adhīnatvam ity arthaḥ | tad uktam   na sādhayati māṃ yogaḥ [BhP 11.12.1]	aDIna tvam iti arTaH | tat uktam  na sADayati mAm yogaH [Bhj 11.12.1]
   ity	iti 
   ādi | tasya tava tathā bhūteṣu na jāti guṇādy apekṣā cety	Adi | tasya tava taTA BUtezu na jAti guNa Adi  apekzA ca iti 
   antaraṅga līlāyām	antaraFga  lIlAyAm
   api dṛśyata ity āha yaḥ iti | saheti saha bhāvaṃ sakhyam ity arthaḥ |	api dRSyate iti Aha yaH iti | saha iti saha BAvam saKyam iti arTaH |
   mṛgair	mRgEH 
   vṛndāvana cāribhiḥ | svayaṃ tu kathambhūto'pi īśvarāṇām ity ādi 	vRndAvana   cAriBiH | svayam tu kaTamBUtaH api ISvarANAm iti Adi 
   lakṣaṇo'pi | īśvarāḥ śrī śiva brahmādayaḥ | jñāna yogādi parama phala 	lakzaNaH api | ISvarAH SrI  Siva brahma AdayaH | jQAna  yoga Adi parama Pala 
   rūpāṇi yā muktis tāṃ daityebhyo dadāsi | pāṇḍavādi sakhya dautya 	rUpANi yA muktiH tAm dEtyeByaH dadAsi | pANxava Adi saKya  dOtya 
   vīrāsanādi sthitivad dāsānāṃ tu svayam adhīno bhavasi | ataevambhūtasya	vIra Asana Adi  sTiti vat dAsAnAm tu svayam aDInaH Bavasi | ata evamBUtasya
   śrī kṛṣṇasyaiva tava bhaktir mukhyeti bhāvaḥ |	SrI  kRzNasya eva tava BaktiH muKya iti BAvaH |
   phalitam āha   (page 175)	Palitam Aha   (page 175)
   taṃ tvākhilātma dayiteśvaram āśritānāṃ	tam tvA aKilAtma  dayiteSvaram ASritAnAm
   sarvārtha daṃ sva kṛta vid visṛjeta ko nu |	sarva arTa dam sva kRta  vid visRjeta kaH nu |
   ko vā bhajet kim api vismṛtaye'nu bhūtyai	kaH vA Bajet kim api vismRtaye anu BUtyE
   kiṃ vā bhaven na tava pāda rajo juṣāṃ naḥ || [BhP 11.29.5]	kim vA Bavet na tava pAda  rajo  juzAm naH || [Bhj 11.29.5]
   tam evambhūtaṃ tvāṃ sva kṛta vit prasanna vadanāmbhojaṃ padma 	tam evamBUtam tvAm sva kRta vid prasanna  vadana amBojam padma 
