   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   satpasamrudrīvādinastu śāstrādanapetā eva /	sat-pasamrudrI-vAdinaH-tu SAstrAt-anapetAH eva /
   tadāhuḥ-	tat-AhuH-
   "āgastyaculukocchiṣṭasatpavāridhivāriṇi /	"Agastya-culukA-ucCizwa-sat-pavAriDi-vAriNi /
   mruhūrttaṃ keśavenāpi taratā pūtarāyitam" //	mruhUrttam keSavena-api taratA pUtarAyitam" //
   madhyejambūdvīpamādyo girīṇāṃ merurnāmnā kāñcanaḥ śailarājaḥ /	maDyejambUdvIpam-AdyaH girINAm meruH-nAmnA kAQcanaH SElarAjaH /
   yo mūrttānāmauṣadhīnāṃ nidhānaṃ yaśvāvāsaḥ sarvavṛndārakāṇām //	yaH mUrttAnAm-OzaDInAm niDAnam yaSvAvAsaH sarva-vRndArakANAm //
   "tamenamavadhīkṛtya devenāmbujajanmanā /	"tam-enam-avaDIkRtya devena-ambuja-janmanA /
   tiryagūrdhvamadhastāñca viśvasya racanā kṛtā" //	tiryak-UrDvam-aDastAn-ca viSvasya racanA kRtA" //
   sa bhagavānmerurādyo varṣaparvataḥ /	sa BagavAn-meruH-AdyaH varzaparvataH /
   tasya caturdiśamilāvṛtaṃ varṣam /	tasya caturdiSam-ilAvRtam varzam /
   tasyottareṇa trayo varṣagirayaḥ, nīlaḥ śvetaḥ śṛṅgavāṃśca /	tasya-uttareNa trayaH varza-girayaH, nIlaH SvetaH SRFgavAn=-ca /
   ramyakaṃ, hiraṇyayam, uttarāḥ kurava iti ca krameṇa trīṇi teṣāṃ varṣāṇi /	ramyakaM, hiraNyayam, uttarAH kuravaH iti ca krameNa trINi tezAm varzANi /
   dakṣiṇenāpi traya eva niṣadho hemakūṭo himavāṃśca /	dakziNena-api trayaH eva nizaDaH hemakUwaH himavAn=-ca /
   harivarṣaṃ, kiṃpuruṣaṃ, bhāratamiti ca trīṇi varṣāṇi /	hari-varzan, kiMpuruzaM, BAratam-iti ca trINi varzANi /
   tatredaṃ bhārataṃ varṣamasya ca nava bhedāḥ /	tatra-idam BAratam varzam-asya ca nava BedAH /
   indradvīpaḥ, kaserumān, tāmraparṇo, gabhastimān, nāgadvīpaḥ, saumyo,	indradvIpaH, kaserumAn, tAmraparNo, gaBastimAn, nAgadvIpaH, sOmyaH-,
   gandharvoṃ, varuṇaḥ, kumārīdvīpaścāyaṃ navamaḥ /	ganDarvoM, varuNaH, kumArI-dvIpaH-ca-ayam navamaH /
   pañcaśatāni jalaṃ, pañca sthalamiti vibhāgena pratyekaṃ	paQca-SatAni jalaM, paQca sTalam-iti viBAgena pratyekam
   yojanasahasrāvadhayo dakṣiṇātsamudrādadrirājaṃ himavantaṃ	yojana-sahasra-avaDayaH dakziNAt-samudrAt-adri-rAjam himavantam
   yāvatparasparamagamyāste /	yAvat-parasparam-agamyAH-te /
   tānyetāni yo jayati sa sabhrāḍityucyate /	tAni-etAni yaH jayati sa saBrAj-iti-ucyate /
   kumārīpurātprabhṛti bindusaro 'vadhi yojanānāṃ daśaśatī cakravarttikṣetram	kumArIpurAt-praBRti bindusaraH avaDi yojanAnAm daSaSatI cakravartti-kzetram
   tāṃ vijayamānaścakravarttī bhavati /	tAm vijayamAnaH-cakravarttI Bavati /
   cakravartticihnāni tu-	cakravartti-cihnAni tu-
   "cakraṃ ratho maṇirbhāryā nidhiraśvo gajastathā /	"cakram raTaH maNiH-BAryA niDiH-aSvaH gajaH-taTA /
   proktāni satpa ratnāni sarveṣāṃ cakravarttinām" //	proktAni sat-pa ratnAni sarvezAm cakravartti-nAm" //
   atra ca kumārīdvīpe-	atra ca kumArI-dvIpe-
   "vindhyaśca pāriyātraśca śuktimānṛkṣaparvataḥ /	"vinDyaH-ca pAriyAtraH-ca SuktimAn-Rkza-parvataH /
   mahendrasahyamalayāḥ satpaite kulaparvatāḥ" //	mahA-indra-sahya-malayAH sat-pEte kula-parvatAH" //
   tatra vindhyādayaḥ pratītasvarupāḥ, malayaviśeṣāstu catvāraḥ /	tatra vinDya-AdayaH pratIta-svarupAH, malaya-viSezAH-tu catvAraH /
   teṣu prathamaḥ-	tezu praTamaH-
   "ā mūlayaṣṭeḥ phaṇiveṣṭitānāṃ saccndanānāṃ jananandanānām /	"A mUla-yazweH PaNi-vezwitAnAm saccndanAnAm jananandanAnAm /
   kakkolakailāmaricairyutānāṃ jātītaruṇāṃ ca sa janmabhūmiḥ" //	kakkolaka-elA-maricEH-yutAnAm jAtI-taruNAm ca sa janma-BUmiH" //
   dvitīyaḥ-	dvitIyaH-
   "yasyottamāṃ mauktikakāmadhenurupatyakāmarciti tāmraparṇī /	"yasya-uttamAm mOktika-kAmaDenuH-upatyakAmarciti tAmraparNI /
   ratneśvaro ratnamahānidhānaṃ kumbhodbhavastaṃ malayaṃ punāti //	ratneSvaraH ratna-mahA-niDAnam kumBodBavaH-tam malayam punAti //
   tatra drumā vidrumanāmadheyā vaṃśeṣi muktāphalajanma tatra /	tatra drumAH vidruma-nAmaDeyAH vaMSezi muktAPala-janma tatra /
   madotkaṭaiḥ kesarikaṇṭhanādaiḥ sphuṭanti tasmindhanasāravṛkṣāḥ" //	mada-utkawEH kesari-kaNWa-nAdEH sPuwanti tasmin-Dana-sAra-vRkzAH" //
   tṛtīyaḥ-	tRtIyaH-
   "vilāsabhūmiḥ sakalāmarāṇāṃ padaṃ nṛṇāṃ gaurmunipuṅgavasya /	"vilAsa-BUmiH sakala-amarANAm padam nRNAm gOH-muni-puFgavasya /
   sadāphalaiḥ puṣpalatāpravālairāścaryamūlaṃ malayaḥ sa tatra" //	sadAPalEH puzpa-latA-pravAlEH-AScarya-mUlam malayaH sa tatra" //
   caturthaḥ-	caturTaH-
   "sā tatra cāmīkararatnacitraiḥ prāsādamālāvalabhīviṭaṅkaiḥ /	"sA tatra cAmIkara-ratna-citrEH prAsAda-mAlA-valaBI-viwaFkEH /
   dvārārgalābaddhasureśvarāṅkā laṅketi yā rāvaṇarājadhānī //	dvAra-arga-la-AbadDa-sureSvara-aFkA laFkA-iti yA rAvaNa-rAjaDAnI //
   pravarttate	pravarttate
   kokilanādahetuḥ puṣpaprasūḥ pañcamajanmadāyī tebhyaścaturbhyo 'pi	kokila-nAda-hetuH puzpa-prasUH paQcama-janma-dAyI teByaH-caturByaH api
   vasantamitramudaṅmukho dakṣiṇamātariśvā" //	vasanta-mitram-udaFmuKaH dakziNa-mAtariSvA" //
   pūrvāparayoḥ samudrayorhimavadvindhyayośvāntaramāryāvarttaḥ /	pUrva-aparayoH samudrayoH-himavat-vinDyaya-uSva-antaram-AryAvarttaH /
   tasmiṃścāturvarṇyaṃ cāturāśramyaṃ ca /	tasmin=-cAturvarNyam cAturASramyam ca /
   yanmūlaśca sadācāraḥ /	yad-mUlaH-ca sat-AcAraH /
   tatratyo vyavahāraḥ prāyeṇa kavīnām /	tatratyaH vyavahAraH prAyeNa kavInAm /
   tatra vārāṇasyāḥ purataḥ pūrvadeśaḥ /	tatra vArANasyAH puratas pUrva-deSaH /
   yatrāṅgakaliṅgakosalatosa(śaṣa) lotkalamagadhamudgaravidehanepālapuṇḍra	yatra-aFga-kaliFga-kosala-tosa(Saza) lotkala-magaDa-mudgara-videha-nepAla-puNxra
   prāgjyotiṣatāmalitpakamaladamallavarttakasuhyabrahyottaraprabhṛtayo	prAgjyotiza-tAm-alitpa-ka-malada-malla-varttaka-suhya-brahya-uttara-praBRtayo
   janapadāḥ /	janapadAH /
   bṛhadgṛhalohitagiricakoradarduranepālakāmarupādayaḥ parvatāḥ /	bRhadgRha-lohita-giri-cakora-dardura-nepa-alakA-marupAdayaH parvatAH /
   śoṇalauhityau nadau /	SoNa-lOhityO nadO /
   gaṅgākaratoyākapiśādyāśca nadyaḥ /	gaFgA-kara-toyAkapiSa-AdyAH-ca nadyaH /
   lavalīgranthiparṇakāgurudrākṣākastūrikādīnāmutpādaḥ /	lavalI-granTi-parNaka-aguru-drAkzA-kastUrikA-AdInAm-utpAdaH /
   māhiṣmatyāḥ parato dakṣiṇāpathaḥ /	mAhizmatyAH paratas dakziNApaTaH /
   yatra	yatra
   mahārāṣṭramāhiṣakāśmakavidarbhakuntalakrathakaiśikasūrpārakakāñcīkeralakāveramuralavānavāsakasiṃhalacoḍadaṇḍa	mahArAzwra-mAhizaka-aSmaka-vidarBa-kuntala-kraTa-kESika-sUrpAraka-kAQcI-kerala-ka-avera-murala-vAn-avAsaka-siMhala-coxa-daNxa
   kapāṇḍyapallavagāṅganāśikyakauṅkaṇakolla (la) girivallaraprabhṛtayo	kapANxya-pallava-ga-aFganA-Sikya-kOFkaNa-kolla (la) giri-vallara-praBRtayo
   janapadāḥ /	janapadAH /
   vindhyadakṣiṇapādamahendramalayamekalapālamañjarasahyaśrīparvatādayaḥ	vinDya-dakziNa-pAda-mahA-indra-malayam-eka-lapAla-maQjara-sahya-SrIparvata-AdayaH
   parvatāḥ /	parvatAH /
   narmadātāpīpayoṣṇīgodāvarīkāverībhaimarathīveṇākṛṣṇaveṇīvañjurātuṅgabhadrātāmraparṇyutpalāvatīrāvaṇagaṅgādyā	narmadA-tApIpayA-uzNI-godAvarIkA-verI-BEmaraTI-veNa-akRzNa-veNI-vaQjurA-tuFga-BadrA-tAmraparNI-utpalAvatIrAvaNagaFgA-AdyA
   nadyaḥ /	nadyaH /
   tadutpattirmalayotpattyā vyākhyātā /	tad-utpattiH-malaya-utpattyA vyAKyAtAH /
   devasabhāyāḥ parataḥ paścāddeśaḥ /	deva-saBAyAH paratas paScAt-deSaH /
   tatra	tatra
   debasabhasurāṣṭradaśerakatravaṇabhṛgukacchakacchīyānarttarbudabrabahyaṇavāhayavanaprabhṛtayo	deba-saBa-su-rAzwra-daSeraka-travaNa-BRgu-kacCaka=-CIyA-narttarbudabrabahyaNa-vAha-yavana-praBRtayo
   janapadāḥ /	janapadAH /
   govardhanagirinagaradevasabhamālyaśikharārbudādayāśca parvatāḥ /	govarDana-giri-nagara-deva-saBa-mAlya-SiKara-arbuda-AdayAH-ca parvatAH /
   sarasvatīśvabhravatīvārtadhnīmahāhiḍimbādyā nadyaḥ /	sarasvatI-SvaBravatI-va-artaDnI-mahA-hiximba-AdyAH nadyaH /
   karīrapīluguggulukharjūrakarabhādīnāmutpādaḥ /	karIra-pIlu-guggulu-KarjUra-karaBa-AdInAm-utpAdaH /
   pṛthūdakātparata uttarāpathaḥ /	pRTu-udakAt-paratas uttarApaTaH /
   yatra	yatra
   śakakekayavokkāṇahūṇavāṇāyujakāmbojavālīkavalavalimpākakulūtakīrataṅgaṇatuṣāraturuṣkabarbaraharahūravahūhūkasahuḍa	Saka-keka-yava-ukkANa-hUNa-vANA-yuja-kAmboja-vAlI-kavalava-limpAka-kulUta-kIra-taFgaNa-tuzAra-turuzka-barbara-hara-hUH-a-vahUhUka-sahuxa
   haṃsamārgaramaṭhakarakaṇṭhaprabhṛtayo janapadāḥ /	haMsa-mArgara-maWa-kara-kaNWa-praBRtayaH janapadAH /
   himālayakalindrendrakīlacandrācalādayaḥ parvatāḥ /	himAlaya-kalindra-indrakIla-candra-acala-AdayaH parvatAH /
   gaṅgāsindhusarasvatīśatadrucandrabhāgāyamunerāvatīvitastāvipāśākuhūtevi	gaFgA-sinDu-sarasvatI-Satadru-candra-BAga-ayamunerAvatI-vitasta-avipASA-kuhUtevi
   kādyā nadyaḥ /	ka-AdyAH nadyaH /
   saraladevadārudrākṣākuṅkumacarājinasauvīrasrotojjanasaindhavavaidūryaturaṅgāṇāmutpādaḥ	sarala-devadAru-drAkzA-kuFkuma-cara-ajina-sOvIra-srota-ujjana-sEnDava-vEdUrya-turaFgANAm-utpAdaH
   teṣāṃ madhye madhyadeśa iti kavivyavahāraḥ /	tezAm maDye maDyadeSaH iti kavi-vyavahAraH /
   na cāyaṃ nānugantā śāstrārthasya /	na ca-ayam na-anugantA SAstra-arTasya /
   tadāhuḥ-	tat-AhuH-
   "himavadvindhyayormadhyaṃ yatprāgvinaśanādapi /	"himavat-vinDyayoH-maDyam yad-prAc-vinaSanAt-api /
   pratyageva prayāgāñca madhyadeśaḥ prakīrttitaḥ" //	pratyak-eva prayAgAQca maDyadeSaH prakIrttitaH" //
   tatra ca ye deśāḥ parvatāḥ sarito dravyāṇāmutpādaśca	tatra ca ye deSAH parvatAH saritaH dravyANAm-utpAdaH-ca
   tatprasiddhisiddhamiti na nirdiṣṭam /	tad-prasidDi-sidDam-iti na nirdizwam /
   dvīpāntarāṇāṃ ye deśāḥ parvatāḥ saritasthā /	dvIpa-antarANAm ye deSAH parvatAH sarita-sTAH /
   nātiprayojyāḥ kavibhiriti gāḍhaṃ na cintitāḥ //	na-ati-prayojyAH kaviBiH-iti gAXam na cintitAH //
   "vinaśanaprayāgayorgaṅgāyamunayoścāntaramantararvedī /	"vinaSana-prayAgayoH-gaFgA-yamunayoH-ca-antaram-antararvedI /
   tadapekṣayā diśā vibhajeta" iti ācāryāḥ /	tad-apekzayA diSA viBajeta" iti AcAryAH /
   "tatrāpi mahodayaṃ mūlamavadhīkṛtya" iti yāyāvarīyaḥ /	"tatra-api mahA-udayam mUlam-avaDIkRtya" iti yAyAvarIyaH /
   "aniyatatvāddiśā maniścico digvibhāga" ityeke /	"a-niyata-tvAt-diSA maniScicaH diS-viBAga" iti-eke /
   tathā hi yo vāmanasvāminaḥ pūrvaḥ sa brahmaśilāyāḥ paścimaḥ, yo	taTA hi yaH vAmanasvAminaH pUrvaH sa brahmaSilAyAH paScimaH, yaH-
   gādhipurasya dakṣiṇaḥ sa kālapriyasyottara iti /	gADi-purasya dakziNaH sa kAla-priyasya-uttaraH iti /
   "avadhinibandhanamidaṃ rupamitarattvaniyatameva" iti yāyāvarīyaḥ /	"a-vaDi-nibanDanam-idam rupam-itarattva-niyatam-eva" iti yAyAvarIyaH /
   "prācyapācīpratīcyudīcyaḥ catasro diśaḥ" ityeke /	"prAcya-pAcI-pratIcI-udIcyaH catasraH diSaH" iti-eke /
   tadāhuḥ-	tat-AhuH-
   "catasṛṣvapi dikṣu raṇe dviṣataḥ prati yena citracaritena /	"catasRzu-api dikzu raNe dvizataH prati yena citra-caritena /
   vihitamapūrvamadakṣiṇamapaścimamanuttaraṃ karma" //	vihitam-apUrvam-adakziNam-apaScimam-anuttaram karma" //
   "aindrī, āgneyī, yāmyā, nerṛtī, vāruṇī, vāyavyā kauberī, aiśānī	"A-EndrI, AgneyI, yAmyA, nerRtI, vAruNI, vAyavyA kOberI, ESAnI
   cāṣṭauddiśaḥ" ityeke /	ca-azwa-OddiSaH" iti-eke /
   tadāhuḥ-	tat-AhuH-
   "ekaṃ jyotirddaśau dve trijagati gaditānyabjajāsyaiścaturbhir bhūtānāṃ	"ekam jyotiH-ddaSO dve trijagati gaditAni-abja-jAsyEH-caturBiH BUtAnAm
   pañcamaṃ yānyalamṛtuṣu tathā ṣaṭsu nānāvidhāni /	paQcamam yAni-alam-Rtuzu taTA zawsu nAnAviDAni /
   yuṣmākaṃ tāni satpatridaśamuninutānyaṣṭadigbhāñji bhānor yānti prāhne	yuzmAkam tAni sat-patridaSa-muni-nutAni-azwa-diS-BAQji BAnoH yAnti prAhne
   navatvaṃ daśa dadhatu śivaṃ dīdhitānāṃ śatāni" //	nava-tvam daSa daDatu Sivam dIDitAnAm SatAni" //
   "brāhmī nāgīyā ca dve tābhyāṃ saha daśaitāḥ" ityapare /	"brAhmI nAgIyA ca dve tAByAm saha daSa-etAH" iti-apare /
   tadāhuḥ-	tat-AhuH-
   "daśadiktaṭaparyantasīmasaṅkaṭabhūmike /	"daSa-diS-tawa-paryanta-sIma-saFkawa-BUmike /
   viṣamā sthūlalakṣyasya brahyāṇḍagrāmake sthitiḥ" //	vizamA sTUla-lakzyasya brahya-aNxa-grAmake sTitiH" //
   sarvamastu, vivakṣāparatantrā hi diśāmiyattā /	sarvam-astu, vivakzA-paratantrA hi diSAm-iyattA /
   tatra citrāsvātyantare prācī, tadanusāreṇa pratīcī, ghruveṇodīcī,	tatra citrA-svAti-antare prAcI, tad-anusAreNa pratIcI, GruveNa-udIcI,
   tadanusāreṇāpācī /	tad-anusAreNa-apAcI /
   antareṣu vidiśaḥ, ūrdhvaṃ brāhmī, adhaśtānnāgīyeti /	antarezu vidiSaH, UrDvam brAhmI, aDaSta-at-nAgIya-iti /
   dvividho vyavahāraḥ kavīnāṃ prāksiddho viśiṣṭasthānāvadhisādhyaśca /	dviviDaH vyavahAraH kavInAm prAc-sidDaH viSizwa-sTAna-avaDi-sADyaH-ca /
   tatra prāksiddhe prācī-	tatra prAc-sidDe prAcI-
   "dvitrairvyonmi purāṇamauktikamaṇiccheyaiḥ sthitaṃ tārakair	"dvitrEH-vyonmi purANa-mOktika-maNi=-CeyEH sTitam tArakEH-
   jyotsnāpānabharālasena vapuṣā sutpāścakorāṅganāḥ /	jyotsnA-pAna-Bara-alasena vapuzA sutpASca-kora-aFganAH /
   yāto 'stācalacūlamudūsamadhucchatracchaviścandramāḥ prācī	yAtaH asta-acala-cUla-m-udUsa-maDu=-Catra=-CaviH-candramAH prAcI
   bālabiḍālalocanarucāṃ jātā ca pātraṃ kakup" //	bAla-bixAla-locana-rucAm jAtA ca pAtram kakup" //
   dakṣiṇā-	dakziNA-
   "dakṣiṇo dakṣiṇāmāśāṃ yiyāsuḥ so 'dhikaṃ babhau /	"dakziNaH dakziNAm-ASAm yiyAsuH saH aDikam baBO /
   jihāsurdakṣiṇāmaśāṃ bhagavāniva bhāskaraḥ" //	jihAsuH-dakziNAm-aSAm BagavAn-iva BAskaraH" //
   paścimā-	paScimA-
   "paśya paścimadigantalambinā nirmitaṃ mitakathe vivasvatā /	"paSya paScima-diS-anta-lambinA nirmitam mita-kaTe vivasvatA /
   dīrghayā pratimayā sarobhbhasastāpanīyamiva setubandhanam" //	dIrGayA pratimayA saroBBasaH-tApanIyam-iva setu-banDanam" //
   uttarā-	uttarA-
   "astyuttarasyāṃ diśi devatātmā himālayo nāma nagādhirājaḥ /	"asti-uttarasyAm diSi devatA-AtmA himAlayaH nAma naga-aDirAjaH /
   pūrvāparau toyanidhī vigāhya sthitaḥ pṛthivyā iva mānadaṇḍaḥ" //	pUrva-aparO toya-niDI vigAhya sTitaH pRTivyAH iva mAna-daNxaH" //
   viśiṣṭasthānāvadhau tu digvibhāge pūrvapaścimau yathā-	viSizwa-sTAna-avaDO tu diS-viBAge pUrva-paScimO yaTA-
   "yādāṃsi he carata saṃgatagotratantraṃ pūrveṇa candanagireruta paścimena /	"yAdAMsi he carata saMgata-gotra-tantram pUrveNa candana-gireH-uta paScimena /
   no cennirantaradharādharasetusūtir ākalpameṣa na viraṃsyati vo viyogaḥ" //	no ced-nirantara-DarADara-setu-sUtiH Akalpam-eza na viraMsyati vaH viyogaH" //
   dakṣiṇottarau yathā-	dakziNa-uttarO yaTA-
   "kāñcyāḥ puro dakṣiṇadigvibhāge tathottarasyāṃ diśi vārirāśeḥ /	"kAQcyAH puras dakziNa-diS-viBAge taTA-uttarasyAm diSi vAri-rASeH /
   karṇāntacakrīkṛtacārucāpo ratyā samaṃ sādhu vasatyanaṅgaḥ" //	karNa-anta-cakrIkRta-cAru-cApaH ratyA samam sADu vasati-anaFgaH" //
   uttarādāvapyuttaradigabhidhānaṃ, anuttarādāvapi uttaradigabhidhānam /	uttara-AdO=-api-uttara-diS-aBiDAnaM, anuttara-AdO=-api uttara-diS-aBiDAnam /
   tayoḥ prathamam -	tayoH praTamam -
   "tatrāgāraṃ dhanapatigṛhānuttareṇāsmadīyaṃ dūrāllakṣyaṃ	"tatra-AgAram Danapati-gRha-anuttareNa-asmadIyam dUrAt-lakzyam
   surapatidhanuścāruṇā toraṇena /	surapati-DanuH-ca-aruNA toraNena /
   yasyodyāne kṛtakatanayaḥ kāntayā varddhito me hastaprāpyaḥ stabakavinato	yasya-udyAne kRtaka-tanayaH kAntayA vardDitaH me hasta-prApyaH stabaka-vinataH-
   bālamandāravṛkṣaḥ" //	bAla-mandAra-vRkzaH" //
   dvitīyam -	dvitIyam -
   "sahyādreruttare bhāge yatra godāvarī nadī /	"sahyAdreH-uttare BAge yatra godAvarI nadI /
   pṛthivyāmiha kṛtsnāyāṃ sa pradeśo manoramaḥ" //	pRTivyAm-iha kRtsnAyAm sa pradeSaH manoramaH" //
   evaṃ digantareṣvapi /	evam diS-antarezu-api /
   tatra deśaparvatanadyādīnāṃ diśāṃ ca yaḥ kramastaṃ tathaiva nibadhnīyāt /	tatra deSa-parvata-nadi-AdInAm diSAm ca yaH kramaH-tam taTA-eva nibaDnIyAt /
   sādhāraṇāṃ tūbhayatra lokaprasiddhitaśca /	sADAraNAm tu-uBayatra loka-prasidDitaH-ca /
   tadūdvarṇaniyamaḥ /	tad-u-udvarNa-niyamaH /
   tatra paurastyānāṃ śyāmo varṇāḥ, dākṣiṇātyānāṃ kṛṣṇaḥ, pāścātyānāṃ pāṇḍu,	tatra pOrastyAnAm SyAmaH varNAH, dAkziNAtyAnAm kRzNaH, pAScAtyAnAm pANxu,
   udīcyānāṃ gauraḥ, madhyadeśyānāṃ kṛṣṇaḥ śyāmo gauraśca /	udIcyAnAm gOraH, maDyadeSyAnAm kRzNaH SyAmaH gOraH-ca /
   paurastyaśyāmatā-	pOrastya-SyAma-tA-
   "śyāmeṣvaṅgeṣu gauhīnāṃ sūtrahāraikahāriṣu /	"SyAmezu-aFgezu gOhInAm sUtra-hAra-eka-hArizu /
   cakrīkṛtya dhanuḥ pauṣpamanaṅgo valgu valgati" //	cakrIkRtya DanuH pOzpam-anaFgaH valgu valgati" //
   dākṣiṇātyakṛṣṇatā-	dAkziNAti-akRzNa-tA-
   "idaṃ bhāsāṃ bharttudrutakanakagolapratikṛti kramānmandajyotirgalati	"idam BAsAm Barttu-druta-kanaka-gola-pratikRti kramAt-manda-jyotiH-galati
   nabhaso bimbavalayam /	naBasaH bimba-valayam /
   athaiṣa prācīnaḥ sarati muralīgaṇḍamalinas tarucchāyācakraiḥ stabakita iva	aTa-eza prAcInaH sarati muralI-gaNxa-malinaH taru=-CAyA-cakrEH stabakitaH iva
   dhvāntavisaraḥ //	DvAnta-visaraH //
   " pāścātyapāṇḍutā-	" pAScAtya-pANxu-tA-
   "śākhāsmeraṃ madhukavalanākelilolekṣaṇānāṃ bhṛṅgastrīṇāṃ bakulamukulaṃ	"SAKA-asmeram maDu-kavalanA-keli-lola-IkzaNAnAm BRFga-strINAm bakula-mukulam
   kuntalībhāvameti /	kuntalIBAvam-eti /
   kiṃ cedānīṃ yavanataruṇīpāṇḍugaṇḍasthalībhyaḥ kāntiḥ stokaṃ racayati padaṃ	kim ca-idAnIm yavana-taruNI-pANxu-gaNxa-sTalIByaH kAntiH stokam racayati padam
   nāgavallīcchadeṣu //	nAga-valli-icCadezu //
   " udīcyagauratā-	" udIcya-gOra-tA-
   "puṣpaiḥ samprati kañcanārataravaḥ pratyaṅgamāliṅgitāḥ vā	"puzpEH samprati kaQca-nArataravaH pratyaFgam-AliFgitAH vA
   līkīdaśanavraṇāruṇataraiḥ patrairaśoko 'rcitaḥ /	lIkI-daSana-vraNa-aruNatarEH patrEH-aSokaH arcitaH /
   jātaṃ campakamapyudīcyalalanālāvaṇyacauryakṣamaṃ māñjiṣṭhairmukulaiśca	jAtam campakam-api-udIcya-lalanA-lAvaNya-cOrya-kzamam mAQjizWEH-mukulEH-ca
   pāṭalataroranyaiva kācillipiḥ" //	pAwala-taroH-anyA-eva kAcid-lipiH" //
   yathā vā-	yaTA vA-
   "kāśmīrīgātrekhāsu lolallāvaṇyavīciṣu /	"kASmIrI-gA-treKAsu lolat-lAvaNya-vIcizu /
   drāvayitveva vinyastaṃ svarṇaṃ ṣoḍaśavarṇakam" //	drAvayitvA-iva vinyastam svarNam zoxaSa-varNa-kam" //
   madhyadeśyakṛṣṇatā yathā-	maDya-deSya-kRzNa-tA yaTA-
   "yudhiṣṭhirakrodhavahneḥ kuruvaṃśaikadāhinaḥ /	"yuDizWira-kroDa-vahneH kuru-vaMSa-eka-dAhinaH /
   pāñcālīṃ dadṛśuḥ sarve kṛṣṇāṃ dhūmaśikhāmiva" //	pAQcAlIm dadRSuH sarve kRzNAm DUma-SiKAm-iva" //
   tadnmadhyadeśyaśyāmatā /	tadnmaDya-deSya-SyAma-tA /
   na ca kavimārge śyāmakṛṣṇayoḥ pāṇḍugaurayorvā mahānviśeṣa iti	na ca kavi-mArge SyAma-kRzNayoH pANxu-gOrayoH-vA mahAn-viSezaH iti
   kavisamayeṣvavocāma /	kavi-samayezu-avocAma /
   madhyadeśyagauratā-	maDya-deSya-gOra-tA-
   "tava navanavanītapiṇḍagaure pratiphaladuttarakosalendraputryāḥ /	"tava nava-navanIta-piNxa-gOre pratiPalat-uttara-kosala-indra-putryAH /
   avagatamalike mṛgāṅkabimbaṃ mṛgamadapatranibhena lāñchanena" //	avagatam-alike mRgAFka-bimbam mRga-mada-patra-niBena lAQCanena" //
   viśeṣastu pūrvadeśe rājaputryādīnā gauraḥ pāṇḍurvā varṇaḥ /	viSezaH-tu pUrva-deSe rAja-putrI-AdInA gOraH pANxuH-vA varNaH /
   evaṃ dakṣiṇadeśe 'pi /	evam dakziNa-deSe api /
   tatra prathamaḥ -	tatra praTamaH -
   "kapole jānakyāḥ karikalabhadantadyutimuṣu smarasmerasphāroḍmarapulake	"kapole jAnakyAH kari-kalaBa-danta-dyuti-muzu smara-smera-sPAra-uxmara-pulake
   vaktrakamalam /	vaktra-kamalam /
   muhuḥ paśyañchṛṇvanrajanicarasenākalakalaṃ jaṭājūṭagranthiṃ draḍhayati	muhur paSyan-SRNvan-raja-nicarasenAkalakalam jawA-jUwa-granTim draXayati
   raghūṇāṃ parivṛḍhaḥ" //	raGUNAm parivRXaH" //
   dvitīyaḥ-	dvitIyaH-
   "tāsāṃ mādhavapatnīnāṃ sarvāsāṃ candravarcasām /	"tAsAm mADava-patnInAm sarvAsAm candra-varcasAm /
   śabdavidyeva vidyānāṃ madhye jajvāla rukmiṇī" //	Sabda-vidyA-iva vidyAnAm maDye jajvAla rukmiNI" //
   evamanyadapi yathāsambhavamabhyūhyam-	evam-anyat-api yaTAsamBavam-aByUhyam-
   nigaditanayaviparītaṃ deśaviruddhaṃ vadanti vidvāṃsaḥ /	nigadita-naya-viparItam deSa-virudDam vadanti vidvAMsaH /
   tatparihāryaṃ yatnāttadudāhṛtayastu doṣeṣu //	tad-parihAryam yatnAt-tat-udAhRtayaH-tu dozezu //
   itthaṃ deśavibhāgo mrudrāmātreṇa sūtritaḥ sudhiyām /	itTam deSa-viBAgaH mrudrA-mAtreNa sUtritaH suDiyAm /
   yastu jigīṣatyadhikaṃ paśyatu madbhuvanakośamasau //	yaH-tu jigIzati-aDikam paSyatu mad-Buvana-koSam-asO //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   deśavibhāgaḥ saptadaśo 'dhyāyaḥ //	deSa-viBAgaH saptadaSaH aDyAyaH //
   ____________________________ Adhyaya 18 _____________________________	____________________________ ADyayaH 18 _____________________________
   aṣṭādaśo 'dhyāyaḥ 18	azwAdaSaH aDyAyaH 18
   kālavibhāgaḥ kālaḥ kāṣṭādibhedabhinnaḥ /	kAla-viBAgaH kAlaH kAzwa-Adi-Beda-BinnaH /
   kāṣṭā nimeṣā daśa pañca triṃśacca kāṣṭhāḥ kathitāḥ kaleti /	kAzwA nimezAH daSa paQca triMSat-ca kAzWAH kaTitAH kalA-iti /
