   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   dvitīyamāhnikakam /	dvitIyam-Ahnikakam /
   śrāddhabhojipuruṣaprītyādivadānuṣaṅgikaḥ, anyathā kalpāntarādiṣu	SrAdDa-Boji-puruza-prIti-Adi-vat-AnuzaFgikaH, anyaTA kalpa-antara-Adizu
   pralīnaprācīnadevatāgaṇeṣu pūrvakalpānuṣṭhitakarmaphalānutpattiprasaṅgāt /	pralIna-prAcIna-devatA-gaNezu pUrva-kalpa-anuzWita-karma-Pala-anutpatti-prasaFgAt /
   ata eva hyekasyaiva śrutirājñā; anyeṣāṃ cārādhakatvavadārādhyatvamapi	atas eva hi-ekasya-eva Sruti-rAjQA; anyezAm ca-Ara-aDaka-tva-vat-ArADya-tvam-api
   tadāyattamiti /	tat-A-Ayattam-iti /
   nārāyaṇāryaistvevamuktam--- "āptasya hitakāmasya niyogaṃ kecidūcire /	nArAyaNa-AryEH-tu-evam-uktam--- "Aptasya hita-kAmasya niyogam kecid-Ucire /
   bhāṣyakāropi bhagavānetadevānvamanyata" //	BAzya-kAropi BagavAn-etat-eva-anvamanyata" //
   iti //	iti //
   atra ca "svaśāsanāvabodhi śāstraṃ ca pradiśya" iti bhāṣyamabhisaṃhitam /	atra ca "sva-SAsana-a=-aboDi SAstram ca pradiSya" iti BAzyam-aBisaMhitam /
   idaṃ ca vidhiniṣedhānuvartanātivartanaprayuktanigrahānugrahavacanabalāt	idam ca viDi-nizeDa-anuvartana-ati-vartana-prayukta-nigraha-anugraha-vacana-balAt
   siddham /	sidDam /
   "śrutiḥ smṛtirmamaivājñā yastāmullaṅghya vartate /	"SrutiH smRtiH-mama-eva-AjQAH yaH-tAm-ullaFGya vartate /
   ājñācchedī mama drohī madbhaktopi na vaiṣṇavaḥ" //	AjQAcCedI mama drohI mad-Bakta-upi na vEzNavaH" //
   iti //	iti //
   'vidhiḥ preraṇam' iti ca vyākāri vaiyākaraṇaiḥ /	aviDiH preraNam-a iti ca vyAkAri vEyAkaraNEH /
   preraṇaṃ ca śāsanameva /	preraNam ca SAsanam-eva /
   tattvaratnākarakāraiścaivamuktam--- "kriyā tacchaktirvā kimapi tadapūrvaṃ	tattva-ratna-Akara-kArEH-ca-evam-uktam-- "kriyA tad-SaktiH-vA kim-api tat-apUrvam
   pitṛsura- prasādo vā kartuḥ phalada iti raṅgeśa kudṛśaḥ /	pitR-sura prasAdaH vA kartuH Pala-daH iti raFga-ISa kudRSaH /
   tvadarceṣṭāpūrte phalamapi bhavatprītijamiti trayīvṛddhāstattadvidhirapi	tvad-arcezwA-pUrte Palam-api Bavat-prIti-jam-iti trayI-vRdDAH-tad-tadviDiH-api
   bhavatpreraṇamiti //	Bavat-preraNam-iti //
   " nityanaimittikādividhibhedeṣu ca praśāsiturabhiprāyaviśeṣāḥ vyañjitāḥ---	" nitya-nEmittika-Adi-viDi-Bedezu ca praSAsituH-aBiprAya-viSezAH vyaQjitAH---
   "ājñā te sanimittanityavidhayaḥ svargādikāmyadvidhiḥ sonujñā	"AjQA te sa-nimitta-nitya-viDayaH svarga-Adi-kAmyat-viDiH sonujQA
   śaṭhacittaśāstravaśatopāyobhicāraśrutiḥ /	SaWa-citta-SAstra-va-SatA-upAya-uBicAra-SrutiH /
   sarvā yasya samastaśāsituraho śrīraṅgarājasya te rakṣākūtanivedinī	sarvAH yasya samasta-SAsituH-aho SrIraFga-rAjasya te rakzA-AkUta-nivedinI
   śrutirapi tvannityaśāstistataḥ" //	SrutiH-api tvad-nitya-SAstiH-tatas-" //
   iti /	iti /
   api ca vedārthasaṅgahepyupāttaṃ draviḍabhāṣyam--- "svaśāsanānuvartino	api ca veda-arTa-saFga-hepi-upAttam dravixa-BAzyam-- "sva-SAsana-anuvartinaH-
   jñātvā kāruṇyāt svabhāvācchraddhayait vidvān karmadakṣaḥ" iti /	jQAtvA kAruNyAt svaBAvAt-SradDayEt vidvAn karma-dakzaH" iti /
   anantaraṃ cāyamevārtho bhagavadgītāyāmapi darśitaḥ--- "ye me matamidaṃ	anantaram ca-ayam-eva-arTaH Bagavat-gItAyAm-api darSitaH-- "ye me matam-idam
   nityamanutiṣṭhanti mānavāḥ /	nityam-anutizWanti mAnavAH /
   śraddhāvantonasūyanto mucyante tepi karmabhiḥ //	SradDAvantonasUyantaH mucyante tepi karmaBiH //
   ye tvetadabhyasūyanto nānutiṣṭhanti me matam /	ye tu-etat-aByasUyantaH na-anutizWanti me matam /
   sarvajñānavimūḍhāṃstān viddhi naṣṭānacetasaḥ //	sarva-jQAna-vimUXAn=-tAn vidDi nazwAn-acetasaH //
   iti svājñānuvartinaḥ praśasya viparītān vinindan punarapi	iti sva-AjQA-anuvartinaH praSasya viparItAn vinindan punar-api
   svajñānupālanamakurvatāmāsuraprakṛtyantarbhāvamabhidhāyādhamā	sva-jQa-anupAlanam-akurvatAm-Asura-prakRti-antarBAvam-aBiDAya-aDamA
   gatiścoktetir idṛśa eva vidhiśabdārtho vedāntibhiḥ svīkṛtaḥ" iti /	gatiH-ca-uktetiH idRSaH eva viDi-Sabda-arTaH vedAntiBiH svIkRtaH" iti /
   parepi kecidanvavādiṣuḥ /	parepi kecid-anvavAdizuH /
   ato mūlaskandhīkṛtaniyogaṃ dhātvarthasya kartṛvyāpārasādhyatvaṃ vā	atas mUla-skanDIkRta-niyogam DAtu-arTasya kartR-vyA-pAra-sADya-tvam vA
   nirviṣayapreraṇāsaṃbhavāt tatsādhyatvaparyantaṃ preṣaṇameva vā	nirvizaya-preraNa-asaMBavAt tad-sADya-tva-paryantam prezaNam-eva vA
   liṅādyasādhāraṇārthaḥ, iti sthite	liFA-Adi-asADAraNa-arTaH, iti sTite
   "vidhinimantraṇāmantraṇādhīṣṭasaṃpraśnaprārthaneṣu liṅ" iti	"viDi-nimantraNA-mantraNa-aDIzwa-saMpraSna-prArTanezu liF" iti
   samabhivyāhṛtanimantraṇādisamānayogakṣematayā vidhiśabdārthatayā	samaBivyAhRta-nimantraNa-Adi-samAna-yoga-kzema-tayA viDi-Sabda-arTa-tayA
   vyākṛtasya preṣaṇasyaiva liṅādiśabdavācyatvaṃ yuktamiti /	vyAkRtasya prezaNasya-eva liFA-Adi-Sabda-vAcya-tvam yuktam-iti /
   anyathāpi preṣaṇamantargatamevetyapare //	anyaTA-api prezaNam-antargatam-eva-iti-apare //
   nyā. pa. śa. 39 idaṃ ca vidhivākyānāmīśvaraśāsanātmakatvaṃ jaiminināpi	nyA. pa. Sa. 39 idam ca viDi-vAkyAnAm-ISvara-SAsana-Atmaka-tvam jEmininA-api
   sūcitameva--- "codanālakṣaṇortho dharmaḥ" iti /	sUcitam-eva-- "codanA-lakzaNa-UrTaH DarmaH" iti /
   codanāśabdo hi codakaṃ kañcit puruṣaṃ sūcayati /	codanA-SabdaH hi ca-udakam kaQcid puruzam sUcayati /
   ahṛdayādapi śābarodāharaṇādidaṃ vyajyate--- "ācāryacoditaḥ karomīti hi	ahRdayAt-api SAbara-udAharaNAt-idam vyajyate-- "a-AcArya-coditaH karomi-iti hi
   dṛśyate" iti //	dRSyate" iti //
   nyā. pa. śa. 40 evaṃ codanāśabdasūcitaśca puruṣaḥ svavākyena prāgeva	nyA. pa. Sa. 40 evam codanA-Sabda-sUcitaH-ca puruzaH sva-vAkyena prAk-eva
   viśeṣato darśitaḥ /	viSezataH darSitaH /
   apica autpattikasūtre "tasya jñānamupadeśaḥ" ityasūtrayat /	apicaH Otpattika-sUtre "tasya jQAnam-upadeSaH" iti-asUtrayat /
   upadeśopi hi upadeṣṭāramākṣipati /	upadeSa-upi hi upadezwAram-Akzipati /
   "tatpramāṇaṃ bādarāyaṇasya" iti sūtrakhaṇḍe ca svasya	"tad-pramANam bAdarAyaNasya" iti sUtra-KaNxe ca svasya
   svācāryabhūtabādarāyaṇasamānābhiprāyatvaṃ vyañjitam /	su-AcArya-BUta-bAdarAyaNa-samAna-aBiprAya-tvam vyaQjitam /
   sa ca bādarāyaṇo jaiminiṃ svaśiṣyamabhyupagateśvarāditattvaṃ	sa ca bAdarAyaNaH jEminim sva-Sizyam-aByupagata-ISvara-Adi-tattvam
   "sākṣādapyavirodhaṃ jaiminiḥ" ityādiṣu bahuṣu sūtreṣvadarśayat /	"sAkzAt-api-aviroDam jEminiH" ityAdizu bahuzu sUtrezu-adarSayat /
   pratikṣepastu kvācitkaḥ anyaparoktyāpātapratītārthamandamatimohanirāsārtho	pratikzepaH-tu kvAcid-kaH anya-para-uktyApAta-pratIta-arTa-mandam-ati-moha-nirAsa-arTaH-
   vā kṣudrapramādamātrasyāpyuddhārārtho veti na pradhānavirodhakalpanaliṅgam	vA kzudra-pramAda-mAtrasya-api-udDAra-arTaH vA-iti na praDAna-viroDa-kalpana-liFgam
   arthavādādhikaraṇe ca "vidhinā tvekavākyatvāt stutyarthena vidhīnāṃ syuḥ"	arTavAda-aDikaraNe ca "viDinA tu-eka-vAkya-tvAt stuti-arTena viDInAm syuH"
   iti preraṇarūpavidhipratipādakaliṅādyavayavadvārā samudāyabhūtaṃ	iti preraNa-rUpa-viDi-pratipAda-kaliFA-Adi-avayava-dvArA samudAya-BUtam
   vidhyuddeśavākyaṃ lakṣayitvā tadekavākyatvamarthavādānāṃ vadan kṛtsnasya	viDi-uddeSa-vAkyam lakzayitvA tad-eka-vAkya-tvam-arTa-vAdAnAm vadan kRtsnasya
   vedasyeśvarājñārūpavidhipratipādakatvaṃ tadvākyakaṇṭhoktamasūcayat /	vedasya-ISvarAjQA-rUpa-viDi-pratipAdaka-tvam tat-vAkya-kaNWa-uktam-asUcayat /
   evamanyatrāpi bhāvyam //	evam-anyatra-api BAvyam //
   nyā. pa. śa. 41 evaṃ śrutistāvadīśvarājñā, tadanuvidhānāt smṛtirapi /	nyA. pa. Sa. 41 evam SrutiH-tAvat-ISva-rAjQA, tad-anuviDAnAt smRtiH-api /
   brāhmaṇamantrārthavādamayā hyanantā vedāḥ saṅkīrṇā vikīrṇāḥ kvacit	brAhmaNa-mantra-arTa-vAda-mayAH hi-anantAH vedAH saFkIrNAH vikIrNAH kvacid-
   kadācidutsannāśca /	kadAcid-utsannAH-ca /
   tatra kṛtsnavedino manvādayastattaddeśakālaviśeṣeṣvakṛtsnavedināṃ	tatra kRtsna-vedinaH manu-AdayaH-tad-tad-deSa-kAla-viSezezu-akRtsna-vedinAm
   tattvānuṣṭhānaviplavapraśamanāya svānubhūtān vedārthān	tattva-anuzWAna-viplava-praSamanAya sva-anuBUtAn veda-arTAn
   yathāvannibadhnanti; atastanmūlonādivācāmarthanirṇayaḥ /	yaTAvat-nibaDnanti; atas-tad-mUla-una-Adi-vAcAm-arTa-nirNayaH /
   śrutismṛtivirodhe tu smṛtyā mūlāntarānumānādanuṣṭhānavikalpaṃ kecidāhuḥ /	Sruti-smRti-viroDe tu smRtyA mUla-antara-anumAnAt-anuzWAna-vikalpam kecid-AhuH /
   sarveṣāṃ guṇatrayavatāmāptatamatvepi kvācitkabhramasaṃbhavācchrutyā	sarvezAm guNatrayavatAm-Aptatama-tvepi kvAcid-ka-Brama-saMBavAt-SrutyA
   smṛtibādhaḥ, ityapare /	smRti-bADaH, iti-apare /
   tattvaviṣanaye tu virodhe bādha eva, ānyaparyaṃvā, vastuni	tattva-viza-naye tu viroDe bADaH eva, Anya-paryaMvA, vastuni
   vikalpāsaṃbhavāt /	vikalpa-asaMBavAt /
   smṛtidvayavirodhe tu parigrahatāratamyādibhirvyavasthā /	smRti-dvaya-viroDe tu parigraha-tAratamya-AdiBiH-vyavasTA /
   na ca kvacit smṛtīnāmaprāmāṇye sarvatrānāśvāsaḥ, bādhakādarśanāt,	na ca kvacid smRtInAm-aprAmANye sarvatra-anASvAsaH, bADaka-adarSanAt,
   kāraṇadoṣakḷpteśca niyataliṅgābhāvāt, saṃvādabhūyastvādibhiḥ	kAraNa-doza-k?pteH-ca niyata-liFga-aBAva-at, saMvAda-BUyaH-tu-a-AdiBiH
   parigrahānyathānupapattyā ca śrutereva mūlatvakalpanopapatteḥ; anyathā	parigrahAni-aTa-anupapattyA ca SruteH-eva mUla-tva-kalpana-upapatteH; anyaTA
   pauruṣeyavākyasya sarvasyāprāmāṇyaprasaṅge vilīnamāgamena /	pOruzeya-vAkyasya sarvasya-aprAmANya-prasaFge vilInam-Agamena /
   na caitannāniṣṭamiti vaktuṃ śakyam, pitrādyāptavākyaṃ pramāṇīkṛtya	na ca-etat-na-anizwam-iti vaktum Sakyam, pitR-Adi-Apta-vAkyam pramANIkRtya
   cāvārkasya pravṛttidarśanāt /	ca-avArkasya pravRtti-darSanAt /
   na ca kvācitkasaṃvādamātreṇa bāhyāgameṣvapi visrambhāvakāśaḥ,	na ca kvAcitka-saMvAda-mAtreNa bAhya-Agamezu-api visramBa-avakASaH,
   pratyakṣaśrutivirodhabhūyastvena vaidikaparigrahābhāvena	pratyakza-Sruti-viroDa-BUyaH-tvena vEdika-parigraha-aBAvena
   vedabāhyatvaprasiddhyā vedapratikṣepācca vedākhyamūlakalpanasyāśakyatvāt /	veda-bAhya-tva-prasidDyA veda-pratikzepAt-ca veda-AKya-mUla-kalpanasya-aSakya-tvAt /
   na cālaukikaṃ pratyakṣādimūlatvasaṃbhavaḥ /	na ca-alOkikam pratyakza-Adi-mUla-tva-saMBavaH /
   yogajasākṣātkāramūlatvakḷptirapi vedāviruddhasthale syāt; na ca tatrāpi	yoga-ja-sA-akzAtkAra-mUla-tva-k?ptiH-api veda-avirudDa-sTale syAt; na ca tatra-api
   niścayaḥ, viparītopalambhasyāpi saṃbhavāditi /	niScayaH, viparIta-upalamBasya-api saMBavAt-iti /
   tataśca vedamūlāḥ smṛtayasnividhāḥ---dharmaśāstretihāsapurāṇabhedāt /	tatas-ca veda-mUlAH smRtayasniviDAH---DarmaSAstra-itihAsa-purANa-BedAt /
   tatrādyayoradūraviprakarṣādekavidyāsthānaniveśaḥ /	tatra-AdyayoH-adUra-viprakarzAt-eka-vidyA-sTAna-niveSaH /
   atra cādhikṛtānadhikṛtavibhāgena balābalaniyatirābhāsāhnike darśitā;	atra ca-aDikRta-anaDikRta-viBAgena bala-abala-niyatiH-ABAsa-Ahnike darSitA;
   purāṇeṣvapi sāttvikarājasādivibhāgaśca //	purANezu-api sAttvika-rAja-sAdi-viBAgaH-ca //
   nyā. pa. śa. 42 yānipunaḥ sāṃkhyayogapāśupatapañcarātrāṇi, tānyapi	nyA. pa. Sa. 42 yAni-punar sAMKya-yoga-pASupata-paQcarAtrANi, tAni-api
   dharmaśāstrabhedā eva;pariśuddhātmacintanarūpajñānayogapradarśanādhikṛtaṃ	Darma-SAstra-BedAH eva;-pariSudDa-Atma-cintana-rUpa-jQAna-yoga-pradarSana-aDikRtam
   śāstraṃ sāṃkhyam; samādhiparyantakarmayoganiṣṭhaṃ śāstraṃ yogaḥ;	SAstram sAMKyam; samADi-paryanta-karma-yoga-nizWam SAstram yogaH;
   pratibuddhetaraviṣayapaśupatibhajanapratipādakaṃ pāśupatam;	pratibudDa-itara-vizaya-paSupati-Bajana-pratipAdakam pASupatam;
   pratibuddhaviṣayabhagavadananyabhajanopadeśapravṛttaṃ tu śāstraṃ	pratibudDa-vizaya-Bagavat-ananya-Bajana-upadeSa-pravRttam tu SAstram
   pañcarātram /	paQca-rAtram /
   etāni ca kvacit kvacidaṃśe parasparopajīvīni /	etAni ca kvacid kvacid-aMSe paraspara-upajIvIni /
   parasparavirodhe tu vedānusāreṇa balābalavyavasthā, vedaviruddhe tvaṃśe	paraspara-viroDe tu veda-anusAreNa bala-abala-vyavasTA, veda-virudDe tu-aMSe
   bādhaḥ /	bADaH /
   pramādasyānīśvareṣu sarveṣu saṃbhavāt /	pramAdasya-anISvarezu sarvezu saMBavAt /
   vipralambhasya tu asurādivyāmohanodyate sākṣādīśvare 'pi; yathoktaṃ	vipralamBasya tu asura-Adi-vyAmohana-udyate sAkzAt-ISvare api; yaTA-uktam
   bhagavataiva--- "tvaṃ hi rudrapa mahābāho mohaśāstrāṇi kāraya /	BagavatA-eva-- "tvam hi rudrapa mahA-bAho moha-SAstrANi kAraya /
   alpāyāsaṃ darśayitvā phalaṃ śīghraṃ pradarśaya //	alpa-AyAsam darSayitvA Palam SIGram pradarSaya //
   ahaṃ mohaṃ kariṣyāmi yo manaṃ mohayiṣyati /	aham moham karizyAmi yaH manam mohayizyati /
   " iti //	" iti //
   ato yat sāṃkhyar iśvarānadhiṣṭhitapradhānādipratipādanam,	atas yat sAMKyar iSvarAn-aDizWita-praDAna-Adi-pratipAdanam,
   yacceśvaramabhyupagamya	yat-ca-ISvaram-aByupagamya
   kevalanimittakāraṇatvapratiphalanakalpaiśvaryavarṇanaṃ yoge, yacca	kevala-nimitta-kAraNa-tva-pratiPalana-kalpa-ESvarya-varNanam yoge, yat-ca
   pāśupate parāvaratattvavyatyayavedaviruddhācārādikalpanam, tat sarvaṃ	pASupate parAvara-tattva-vyatyaya-veda-virudDa-AcAra-Adi-kalpanam, tat sarvam
   vyapohya śiṣṭe ḥṃśe prāmāṇyaṃ grāhyam /	vyapohya Sizwe HMSe prAmANyam grAhyam /
   na caitat tuṣataṇḍulavibhāgavadalpajñaiḥ śakyam /	na ca-etat tuza-taNxula-viBAga-vat-alpa-jQEH Sakyam /
   ato hi śārīrake trayāṇāṃ nirāsaḥ /	atas hi SArIrake trayANAm nirAsaH /
   pañcarātraṃ tu kṛtsnaṃ śrutivat smṛtivadvā pramāṇam,	paQca-rAtram tu kRtsnam Sruti-vat smRti-vat-vA pramANam,
   pratyakṣaśrutyādivirodhābhāvāt /	pratyakza-Sruti-Adi-viroDa-aBAvAt /
   mahābhārate ca āptatama mānavadharmaśāstrasyāpi tanmūlatvokteratyādareṇa	mahABArate ca Aptatama mAnava-Darma-SAstrasya-api tad-mUla-tva-ukteH-atyAdareNa
   vyāsadiparigrahaviśeṣādīśvaradayāmūlatvena ca kāraṇadoṣaprasaṅgābhāvāt /	vyAsa-diparigraha-viSezAt-ISvara-dayA-mUla-tvena ca kAraNa-doza-prasaFga-aBAvAt /
   "vedānteṣu yathāsāraṃ saṃgṛhya bhagavān hariḥ /	"vedAntezu yaTAsAram saMgRhya BagavAn hariH /
   bhaktānukampayā vidvān saṃcikṣepa yathāsukham" //	Bakta-anukampayA vidvAn saMcikzepa yaTAsuKam" //
   iti ca tatraiva vyakteḥ /	iti ca tatra-eva vyakteH /
   vedaprāmāṇyāṅgīkāratadarthoktibhūyastvatadvaiśadyahetutvavacanasādhuparitrāṇārthatvasattvottaranāradādiśrotṛkatvādinibandhanaspaṣṭaprāmāṇyatvāt	veda-prAmANya-aFgIkAratad-arTa-ukti-BUyaH-tvatad-vESadya-hetutva-vacana-sADu-paritrANa-arTa-tva-sattva-uttara-nArada-Adi-SrotRka-tva-Adi-nibanDana-spazwa-pr
   na ca vipralambhārthaṃ tathā nibandhaḥ, anyatrāpi prasaṅgāt;"adhītā	na ca vipralamBa-arTam taTA nibanDaH, anyatra-api prasaFga-at;"aDItA
   bhagavan vedāḥ" ityāderdurgrahatvamātratātparyeṇa vedanindādirūpatvābhāvāt	Bagavan vedAH" iti-AdeH-durgraha-tva-mAtra-tAtparyeNa veda-nindA-Adi-rUpa-tva-aBAvAt
   nindārūpatvepyuditahomanindāvanninditetarapraśaṃsanapravṛtteḥ /	nindA-rUpa-tva-Ipi-udita-homa-nindA-vannindita-itara-praSaMsana-pravRtteH /
   "saṅkarṣaṇo nāma jīvo jāyata" ityādestvavatārādigocaratvasya tatraiva	"saFkarzaNaH nAma jIvaH jAyata" iti-AdeH-tu-avatAra-Adi-gocara-tvasya tatra-eva
   siddheḥ /	sidDeH /
   śarīrake ca--- "utpattyasaṃbhavāt""na ca kartuḥ karaṇam" iti sūtradvayena	SarIrake ca-- "utpatti-asaMBavAt""-na ca kartuH karaNam" iti sUtra-dvayena
   pūrvapakṣaṃ kṛtvā "vijñānādibhāve vā tadapratiṣedhaḥ" "vipratiṣedhācca"	pUrva-pakzam kRtvA "vijQAna-Adi-BAve vA tat-apratizeDaH" "vipratizeDAt-ca"
   iti tatprāmāṇyapratiṣedhaḥ parihṛtaḥ /	iti tad-prAmANya-pratizeDaH parihRtaH /
   tathā	taTA
   nirmūlatvāsatparigrahasatparigrahābhāvavaudikasaṃskāravarjanāvaidikasaṃskāravidhānavidyāsthānaparigaṇanābhāvakṣudravidyābāhulyādimandaśaṅkānāṃ	nirmUla-tva-asat-parigraha-sat-parigraha-aBAva-vOdika-saMskAra-varjana-avEdika-saMskAra-viDAna-vidyA-sTAna-parigaNana-aBAva-kzudra-vidyA-bAhulya-Adi-mand
   bhagavadyāmunamunibhiḥ parihāraḥ prapañcitaḥ iti neha pratanyate //	Bagavat-yAmuna-muniBiH parihAraH prapaQcitaH iti na-iha pratanyate //
   nyā. pa. śa. 43 evaṃ	nyA. pa. Sa. 43 evam
   sākṣādīśvaradayāmūlatvānmanvādinibandhanebhyosyātirekaḥ /	sAkzAt-ISvara-dayA-mUla-tvAt-manu-Adi-nibanDaneByosyA-atirekaH /
   teṣāṃ śrutivirodhe sati bādhyatvamapi saṃbhavet /	tezAm Sruti-viroDe sati bADya-tvam-api saMBavet /
   guṇatrayavaśyatayā kādācitkabhramādisaṃbhavāt /	guNatraya-vaSya-tayA kAdAcid-ka-Brama-Adi-saMBavAt /
   smṛtyādīnāṃ hi śrutimūlatayaiva prāmāṇyamiti bhāṣyepyuktaṃ "taduparyapi"	smRti-AdInAm hi Sruti-mUla-tayA-eva prAmANyam-iti BAzyepi-uktam "tad-upari-api"
   ityadhikaraṇe-- "saṅkīrṇabrāhmaṇamantrārthavādamūleṣu	iti-aDikaraNe- "saFkIrNa-brAhmaNa-mantra-arTa-vAda-mUlezu
   dharmaṃśāstretihāsapurāṇeṣu" iti //	DarmaMSAH-tra-itihAsa-purANa-izu" iti //
   nyā. pa. śa. 44 tata eva caiṣāṃ viprakīrṇaśākhāmūlatvaṃ siddhāntaḥ, ityapi	nyA. pa. Sa. 44 tatas eva ca-ezAm viprakIrNa-SAKA-mUla-tvam sidDAntaH, iti-api
   sūcitam /	sUcitam /
   kvacit kadācit keṣāñcicchākhāviśeṣāṇāmucchedaḥ; te ca punarvyāsādibhiḥ	kvacid kadAcid kezAQcid-SAKA-viSezANAm-ucCedaH; te ca punar-vyAsa-AdiBiH
   kvacit kadācit pravartyante, ityetāvatā ucchinnaśākhāmūlatvamastu /	kvacid kadAcid pravartyante, iti-etAvatA ucCinna-SAKA-mUla-tvam-astu /
   uktaṃ ca bhagavatā āpastambena--- "teṣāmutsannāḥ pāṭhāḥ	uktam ca BagavatA Apastambena-- "tezAm-utsannAH pAWAH
   prayogādanumīyante" iti /	prayogAt-anumIyante" iti /
   manvādivacanaprāmāṇyaṃ nyāyamantareṇāpi śrutyaiva siddham--- "yadvai kiñca	manu-Adi-vacana-prAmANyam nyAyam-antareNa-api SrutyA-eva sidDam--- "yat-vE kiQca
   manuravadat tadbheṣajam" ityādibhiḥ /	manuH-avadat tad-Bezajam" ityAdiBiH /
   evaṃ śiṣṭācārasyāpi--- "yathā te tatra varteran, tathā tratra vartarthoḥ"	evam Sizwa-AcArasya-api-- "yaTA te tatra varteran, taTA tratra vartarToH"
   "yānyasmākaṃ sucaritāni, tāni tvayopāsyāni" ityādibhiḥ /	"yAni-asmAkam su-caritAni, tAni tvayA-upAsyAni" ityAdiBiH /
   smṛtiśca--- "smṛtiśīle ca tadvidām /	smRtiH-ca-- "smRti-SIle ca tad-vidAm /
   ācāraścaiva sādhūnām" ityādi /	AcAraH-ca-eva sADUnAm" ityAdi /
   śrutyaiva dharmanirṇaye saṃbhavati kiṃ dharmaśāstreṇa ? ityāśaṅkyāha	SrutyA-eva Darma-nirNaye saMBavati kim Darma-SAstreNa ? iti-ASaFkya-Aha
   marīciḥ --- "durbodhā vaudikāḥ śabdāḥ prakīrṇatvācca ye khilāḥ /	marIciH -- "durboDAH vOdikAH SabdAH prakIrNa-tvAt-ca ye KilAH /
   tajjñaista eva spaṣṭārthāḥ smṛtitantre pratiṣṭhitāḥ" //	tad-jQEH-te eva spazwa-arTAH smRti-tantre pratizWitAH" //
   iti satyapi dharmaśāstre gṛhyāpekṣāṃ darśayati devalaḥ--- "manvādayaḥ	iti sati-api DarmaSAstre gRhya-apekzAm darSayati devalaH-- "manu-AdayaH
   prayoktāro dharmaśāstrasya kīrtitāḥ /	prayoktAraH Darma-SAstrasya kIrtitAH /
   tatprayuktaprayoktāro gṛhyakārāḥ svamantrataḥ" //	tad-prayukta-prayoktAraH gRhya-kArAH sva-mantrataH" //
   iti /	iti /
   ato dharmaśāstragṛhyādisāpekṣatvaṃ vedārthanirṇayasya /	atas Darma-SAstra-gRhya-Adi-sApekza-tvam veda-arTa-nirNayasya /
   virodhe ca yathāyogaṃ balābalavyavasthā siddhā /	viroDe ca yaTAyogam bala-abala-vyavasTA sidDAH /
   bhagavaddharmaśāstrasya tu pañcarātrasya śrutyādivirodhe	Bagavat-Darma-SAstrasya tu paQca-rAtrasya Sruti-Adi-viroDe
   ṣoḍaśigrahaṇāderiva deśakālādhikāryavasthāviśeṣaviṣayatayā vikalpa eva,	zoxaSi-grahaNa-AdeH-iva deSa-kAla-aDikArI-avasTA-viSeza-vizaya-tayA vikalpaH eva,
   śruterivāsyāpi doṣasaṃbhāvanāvirahādisiddheḥ /	SruteH-iva-asya-api doza-saMBAvanA-viraha-Adi-sidDeH /
   āhuścaivamabhiyuktāḥ--- "vede kartrādyabhāvāt" ityārabhya, "tasmāt	AhuH-ca-evam-aBiyuktAH-- "vede kartR-Adi-aBAva-at" iti-AraBya, "tasmAt-
   sāṃkhyaṃ sayogaṃ sapaśupatimataṃ kutracit pañcarātraṃ sarvatraiva pramāṇaṃ	sAMKyam sa-yogam sa-paSupati-matam kutracid paQca-rAtram sarvatra-eva pramANam
   tadidamavagataṃ pañcamādeva vedāt" //	tat-idam-avagatam paQcamAt-eva veda-at" //
   iti /	iti /
   anyatra ca--- upaniṣadi tu bahvyāṃ vyāvaghoṣyāmadoṣa-	anyatra ca-- upanizadi tu bahvyAm vyAvaGozya-Ama-doza-
   pratihataguṇarāśirghuṣyate tārkṣyaketuḥ /	pratihata-guNa-rASiH-Guzyate tArkzyaketuH /
   śrutirapi tadupajñaiḥ pañcarātrairvikalpaṃ na labhata iti sūktaṃ	SrutiH-api tad-upajQEH paQca-rAtrEH-vikalpam na laBate iti sUktam
   bhāṣyakṛdyāmunāryaiḥ" //	BAzya-kRt-yA-munA-AryEH" //
   iti /	iti /
   tadetat yāmunācāryairāgamaprāmāṇye	tat-etat yAmunA-AcAryEH-Agama-prAmANye
   saṃbhāvitasamastapūrvapakṣayuktinirākaraṇena /	saMBAvita-samasta-pUrva-pakza-yukti-nirAkaraNena /
   prapañcitam /	prapaQcitam /
   tadanusāreṇaiva bhāṣyakāraiḥ śrīpāñcarātrādhikaraṇaṃ vyākhyātam /	tad-anusAreNa-eva BAzya-kArEH SrI-pAQcarAtra-aDikaraNam vyAKyAtam /
   "śrutimūlamidaṃ tantraṃ pramāṇaṃ kalpasūtravat /	"Sruti-mUlam-idam tantram pramANam kalpa-sUtra-vat /
   " ityādi vacanaṃ tu trayyantamūlatayā ekāyanaśrutimūlatayā ca yojyam /	" ityAdi vacanam tu trayI-anta-mUla-tayA ekAyana-Sruti-mUla-tayA ca yojyam /
   na cātra vedatve sandegdhavyam, "yaṃ vākeṣvanuvākeṣu niṣatsūpaniṣatsu ca /	na ca-atra veda-tve sandegDavyam, "yam vAkezu-anuvAkezu nizad-su-upanizatsu ca /
   mahato vedavṛkṣasya mūlabhūto mahānayam //	mahataH veda-vRkzasya mUla-BUtaH mahAn-ayam //
