   agnau vahnir ivārpitaḥ GorS(1)_100b	agnO vahniH iva-arpitaH GorS(1)_100b
   vyoma-vijñānam ānandaṃ GorS(1)_99c	vyoma-vijQAnam Anandam GorS(1)_99c
   vrajaty ūrdhvaṃ suṣumṇayā GorS(1)_31d	vrajati UrDvam suzumNayA GorS(1)_31d
   vrajaty ūrdhvaṃ suṣumṇayā GorS(2)_49 (=1|31)d	vrajati UrDvam suzumNayA GorS(2)_49 (=1|31)d
   vrajaty ūrdhvaṃ hṛtaḥ śaktyā GorS(2)_71 (=HYP 3.43)c	vrajati UrDvam hRtaH SaktyA GorS(2)_71 (=HYc 3.43)c
   vratya ūrdhvaṃ suṣumṇayā GorS(2)_50d	vratyaH UrDvam suzumNayA GorS(2)_50d
   śaṅkhinī daśamī smṛtā GorS(1)_19b	SaFKinI daSamI smRtA GorS(1)_19b
   śaṅkhinī daśamī smṛtā GorS(2)_28 (=1|19)b	SaFKinI daSamI smRtA GorS(2)_28 (=1|19)b
   śabdādyāḥ pañca yā mātrā GorS(1)_93a	Sabda-AdyAH paQca yAH mAtrA GorS(1)_93a
   śamanaṃ bhava-tāpasya GorS(1)_3c	Samanam Bava-tApasya GorS(1)_3c
   śamanaṃ bhava-tāpasya GorS(2)_6 (=1|3)c	Samanam Bava-tApasya GorS(2)_6 (=1|3)c
   śaśi-sthāne sthito bindus GorS(2)_73c	SaSi--sTAne sTitaH binduH GorS(2)_73c
   śirās tatra pratiṣṭhitāḥ GorS(2)_68b	SirAH tatra pratizWitAH GorS(2)_68b
   śukraṃ candreṇa saṃyuktaṃ GorS(2)_76a	Sukram candreNa saMyuktam GorS(2)_76a
   śucir vāpy aśucir vāpi GorS(2)_89a	SuciH vA-api aSuciH vA-api GorS(2)_89a
   śuddhā nāḍi-gaṇā bhavanti yamino māsa-trayād ūrdhvataḥ GorS(2)_100 (=HYP	SudDAH nAxi--gaNAH Bavanti yaminaH mAsa-trayAt UrDvatas GorS(2)_100 (=HYP
   2.10)d	2.10)d
   śuddhim eti yadā sarvaṃ GorS(2)_95a	SudDim eti yadA sarvam GorS(2)_95a
   śodhanaṃ nāḍi-jālasya GorS(2)_58a	SoDanam nAxi-jAlasya GorS(2)_58a
   śoṣaṇī ca bhavanty evaṃ GorS(1)_74c	SozaNI ca Bavanti evam GorS(1)_74c
   śyeno gato'py ākṛṣyate(?) GorS(2)_40 (=1|28)b	SyenaH gataH-api AkRzyate(?) GorS(2)_40 (=1|28)b
   śrama-saṃjāta-vāriṇā GorS(1)_50b	Srama--saMjAta--vAriNA GorS(1)_50b
   śrī-guruṃ paramānandaṃ GorS(2)_1a	SrI---gurum parama-Anandam GorS(2)_1a
   śruti-kalpa-taroḥ phalam GorS(1)_3b	Sruti-kalpa--taroH Palam GorS(1)_3b
   śruti-kalpa-taroḥ phalam GorS(2)_6 (=1|3)b	Sruti-kalpa--taroH Palam GorS(2)_6 (=1|3)b
   ṣaṭ-cakraṃ ṣoḍaśādhāraṃ GorS(2)_13a	zaw-cakram zoxaSa-ADAram GorS(2)_13a
   ṣaṭ-triṃśad-aṅgulaṃ haṃsaḥ GorS(1)_40a	zaw-triMSat--aFgulam haMsaH GorS(1)_40a
   ṣaṭ-triṃśad-aṅgulo haṃsaḥ GorS(2)_94 (=1|40)a	zaw-triMSat--aFgulaH haMsaH GorS(2)_94 (=1|40)a
   ṣaṭ-śatānitvaho-rātre GorS(2)_43a	zaw--SatAni-tva-ho--rAtre GorS(2)_43a
   ṣaṇ-māsena kavir bhavet GorS(1)_64d	zaN--mAsena kaviH Bavet GorS(1)_64d
   ṣoḍeśānaṃ śataṃ kṛtam GorS(1)_6d	zoxeSAnam Satam kRtam GorS(1)_6d
   ṣoḍeśānaṃ śataṃ kṛtam GorS(2)_9 (=1|6)d	zoxeSAnam Satam kRtam GorS(2)_9 (=1|6)d
   sa-kāreṇa viśet punaḥ GorS(2)_42b	sa-kAreNa viSet punar GorS(2)_42b
   sa-guṇaṃ nirguṇaṃ tathā GorS(1)_77b	sa-guNam nirguNam taTA GorS(1)_77b
   saguṇaṃ varṇa-bhedena GorS(1)_77c	sa-guNam varNa--Bedena GorS(1)_77c
   satataṃ prāṇa-vāhinyaḥ GorS(1)_23a	satatam prANa-vAhinyaH GorS(1)_23a
   satataṃ prāṇa-vāhinyaḥ GorS(2)_32 (=1|23)c	satatam prANa-vAhinyaH GorS(2)_32 (=1|23)c
   satataṃ mūla-bandhanāt GorS(2)_82 (=1|38, HYP 3.65)d	satatam mUla-banDanAt GorS(2)_82 (=1|38, HYc 3.65)d
   sadābhyāsena yoginām GorS(1)_90d	sadA-aByAsena yoginAm GorS(1)_90d
   santataṃ ghaṇṭikā-madhye GorS(1)_83a	santatam GaNwikA--maDye GorS(1)_83a
   san-māṇikya-suśobhanam GorS(1)_79b	san--mANikya--su-SoBanam GorS(1)_79b
   sa punar dvividho binduḥ GorS(2)_72a	sa punar dviviDaH binduH GorS(2)_72a
   sa bhavaty ajarāmaraḥ GorS(1)_56d	sa Bavati ajara-amaraH GorS(1)_56d
   sama-kāya-śiro-dharaḥ GorS(2)_83b	sama-kAya--Siro-DaraH GorS(2)_83b
   samastopādhi-vidhvaṃsi GorS(1)_90c	samasta-upADi--viDvaMsi GorS(1)_90c
   samādhir abhidhīyate GorS(1)_94d	samADiH aBiDIyate GorS(1)_94d
   samādhiḥ prāṇa-saṃyamaḥ GorS(1)_96d	samADiH prANa--saMyamaH GorS(1)_96d
   samāno nābhi-deśe syād GorS(2)_34c	samAnaH nABi-deSe syAt GorS(2)_34c
   sampīḍya rasanāgreṇa GorS(1)_64a	sampIxya rasanA-agreNa GorS(1)_64a
   samprāptaś ca hutāśanam GorS(2)_71 (=HYP 3.43)b	samprAptaH ca hutASanam GorS(2)_71 (=HYc 3.43)b
   sa yogī siddhi-bhājanam GorS(1)_32d	sa yogI sidDi-BAjanam GorS(1)_32d
   sa yogī siddhi-bhājanam GorS(2)_57 (=1|32)d	sa yogI sidDi-BAjanam GorS(2)_57 (=1|32)d
   sarva-pāpaiḥ pramucyate GorS(1)_52d	sarva--pApEH pramucyate GorS(1)_52d
   sarva-pāpaiḥ pramucyate GorS(1)_75d	sarva--pApEH pramucyate GorS(1)_75d
   sarva-pāpaiḥ pramucyate GorS(2)_44d	sarva--pApEH pramucyate GorS(2)_44d
   sarva-vyāpi dhanañjayaḥ GorS(2)_36 (=1|25)b	sarva-vyApi DanaQjayaH GorS(2)_36 (=1|25)b
   sarvaṃ cintā-samāvarti GorS(1)_76a	sarvam cintA--samAvarti GorS(1)_76a
   sahasra-dalam ākhyātaṃ GorS(2)_16c	sahasra-dalam AKyAtam GorS(2)_16c
   sahasrāṇāṃ dvisaptatiḥ GorS(2)_25 (=1|16)d	sahasrANAm dvisaptatiH GorS(2)_25 (=1|16)d
   sahasrāṇi dvisaptatiḥ GorS(1)_16d	sahasrANi dvisaptatiH GorS(1)_16d
   sahasrāṇy eka-viṃśatiḥ GorS(2)_43b	sahasrANi eka-viMSatiH GorS(2)_43b
   saṃyuktā kamalāsanena hi catuṣkoṇā hṛdi sthāyinī GorS(1)_69b	saMyuktA kamalAsanena hi catuzkoNA hRdi sTAyinI GorS(1)_69b
   saṃyojayati yogavit GorS(2)_41 (=1|29)d	saMyojayati yoga-vid GorS(2)_41 (=1|29)d
   sādhyate na ca kenāpi GorS(1)_98c	sADyate na ca kena-api GorS(1)_98c
   sindūra-drava-saṅkāśaṃ GorS(2)_73a	sindUra-drava--saFkASam GorS(2)_73a
   suṣumṇā ca tṛtīyakā GorS(1)_18b	suzumNA ca tRtIyakAH GorS(1)_18b
   suṣumṇā ca tṛtīyakā GorS(2)_27 (=1|18)b	suzumNA ca tRtIyakAH GorS(2)_27 (=1|18)b
   suṣumṇā madhya-deśe tu GorS(1)_20c	suzumNA maDya--deSe tu GorS(1)_20c
   suṣumṇā madhya-deśe tu GorS(2)_29 (=1|20)c	suzumNA maDya--deSe tu GorS(2)_29 (=1|20)c
   susnigdhaṃ madhurāhāraṃ GorS(2)_55 (=HYP 1.60)a	su-snigDam maDura-AhAram GorS(2)_55 (=HYc 1.60)a
   sūcīvad guṇam ādāya GorS(2)_49 (=1|31)c	sUcI-vat guNam AdAya GorS(2)_49 (=1|31)c
   sūrya-candramasor anena vidhinā bimba-dvayaṃ dhyāyataḥ GorS(2)_100 (=HYP	sUrya-candramasoH anena viDinA bimba--dvayam DyAyataH GorS(2)_100 (=HYP
   2.10)c	2.10)c
   sūrya-saṅkhya-dalaṃ hṛdi GorS(2)_15d	sUrya--saFKya-dalam hRdi GorS(2)_15d
   sūryāṅgenābhyaset punaḥ GorS(2)_60 (=HYP 3.15)b	sUrya-aFgena-aByaset punar GorS(2)_60 (=HYc 3.15)b
   soma-sūryāgni-devatāḥ GorS(1)_23b	soma--sUrya-agni-devatAH GorS(1)_23b
   soma-sūryāgni-devatāḥ GorS(2)_32 (=1|23)d	soma--sUrya-agni-devatAH GorS(2)_32 (=1|23)d
   soma-sūryāgni-devatāḥ GorS(2)_84b	soma--sUrya-agni-devatAH GorS(2)_84b
   so'yam ātmā praśasyate GorS(1)_91d	saH-ayam AtmA praSasyate GorS(1)_91d
   stambhanī drāvaṇī caiva GorS(1)_74a	stamBanI drAvaNI ca-eva GorS(1)_74a
   sthāṇuḥ saṃyamitendriyo'cala-dṛśā paśyan bhruvor antaram GorS(1)_8c	sTANuH saMyamita-indriyaH-acala-dRSA paSyan BruvoH antaram GorS(1)_8c
   sthāṇuḥ saṃyamitendriyo'cala-dṛśā paśyan bhruvor antaram GorS(2)_11	sTANuH saMyamita-indriyaH-acala-dRSA paSyan BruvoH antaram GorS(2)_11
   (=1|8)c	(=1|8)c
   snigdha-mauktika-sannibham GorS(1)_84b	snigDa--mOktika--sanniBam GorS(1)_84b
   sva-dehaṃ ye na jānanti GorS(2)_14c	sva--deham ye na jAnanti GorS(2)_14c
   sva-dehe ye na jānanti GorS(2)_13c	sva-dehe ye na jAnanti GorS(2)_13c
   sva-śabdena bhavet prāṇaḥ GorS(1)_14a	sva--Sabdena Bavet prANaH GorS(1)_14a
   sva-śabdena bhavet prāṇaḥ GorS(2)_22 (=1|14)a	sva--Sabdena Bavet prANaH GorS(2)_22 (=1|14)a
   svādhiṣṭhānaṃ ca ṣaṭ-dalam GorS(2)_15b	svADizWAnam ca zaw-dalam GorS(2)_15b
   svādhiṣṭhānaṃ tad-āśrayaḥ GorS(1)_14b	svADizWAnam tat--ASrayaH GorS(1)_14b
   svādhiṣṭhānaṃ tad-āśrayaḥ GorS(2)_22 (=1|14)b	svADizWAnam tat--ASrayaH GorS(2)_22 (=1|14)b
   svādhiṣṭhānaṃ dvitīyakam GorS(1)_10b	svADizWAnam dvitIyakam GorS(1)_10b
   svādhiṣṭhānaṃ dvitīyakam GorS(2)_17 (=1|10)b	svADizWAnam dvitIyakam GorS(2)_17 (=1|10)b
   svādhiṣṭhānaṃ dvitīyaṃ tu GorS(1)_79a	svADizWAnam dvitIyam tu GorS(1)_79a
   svādhiṣṭhānākhyayā tasmān GorS(1)_14c	svADizWAna-AKyayA tasmAn GorS(1)_14c
   svādhiṣṭhānāt padād asmān GorS(2)_22 (=1|14)c	sva-aDizWAnAt padAt asmAn GorS(2)_22 (=1|14)c
   ha-kāreṇa bahir yāti GorS(2)_42a	ha-kAreNa bahis yAti GorS(2)_42a
   hastābhyām avadhāritaṃ prasaritaṃ pādaṃ tathā dakṣiṇam GorS(1)_33b	hastAByAm avaDAritam prasaritam pAdam taTA dakziNam GorS(1)_33b
   hastābhyām avadhāritaṃ prasaritaṃ pādaṃ tathā dakṣiṇam GorS(2)_59 (=1|33)b	hastAByAm avaDAritam prasaritam pAdam taTA dakziNam GorS(2)_59 (=1|33)b
   haṃsa-haṃsety amuṃ mantraṃ GorS(2)_42c	haMsa-haMsa-iti amum mantram GorS(2)_42c
   hṛt-padme ca tad-ūrdhvataḥ GorS(1)_86b	hRt--padme ca tad--UrDvatas GorS(1)_86b
   hṛdaye pañca-bhūtānāṃ GorS(1)_68a	hRdaye paQca-BUtAnAm GorS(1)_68a
   hṛdaye yogino viduḥ GorS(1)_60d	hRdaye yoginaH viduH GorS(1)_60d
   hṛdi prāṇo vasen nityaṃ GorS(2)_34a	hRdi prANaH vaset nityam GorS(2)_34a
