   namo buddhāya	namaH budDAya
   na daśati punas tārāśaṅkī divāpi sitotpalaṃ kuhakacakito lokaḥ satye 'py	na daSati punar tArA SaFkI divA api sitotpalam kuhaka cakitaH lokaH satye api 
   apāyam avekṣate // VidSrk_40.23 *(1355) //.	apAyam avekzate // Vit Srj _40.23 *(1355) //.
   asthānābhiniveśī prāyo jaḍa eva bhavati no vidvān /*	asTAna aBiniveSI prAyas jaxaH eva Bavati naH vidvAn /*
   bālād anyaḥ ko 'mbhasi jighṛkṣatīndoḥ sphuradbimbam // VidSrk_40.24	bAlAt anyaH kaH amBasi jiGRkzati indoH sPurat bimbam // Vit Srj _40.24
   nirguṇam apy anuraktaṃ prāyo na samāśritaṃ jahati santaḥ /*	nirguNam api anuraktam prAyas na samASritam jahati santaH /*
   sahavṛddhikṣayabhājaṃ vahati śaśāṅkaḥ kalaṅkam api // VidSrk_40.25 *(1357)	saha vRdDi kzaya BAjam vahati SaSAFkaH kalaFkam api // Vit Srj _40.25 *(1357)
   avikāriṇam api sajjanam aniśam anāryaḥ prabādhate 'tyartham /*	avikAriNam api sat janam aniSam anAryaH prabADate atyarTam /*
   kamalinyā kim apakṛtaṃ himasya yas tāṃ sadā dahati // VidSrk_40.26 *(1358)	kamalinyA kim apakRtam himasya yaH tAm sadA dahati // Vit Srj _40.26 *(1358)
   bhayaṃ yad dhanurīśvarasya śiśinā yaj jāmadagnyo hatas tyaktā yena guror	Bayam yat DanuH ISvarasya SiSinA yat jAmadagnyaH hataH tyaktAH yena guroH 
   girā vasumatī baddho yad ambhonidhiḥ /	girA vasumatI badDaH yat amBoniDiH /
   ekaikaṃ daśakandharakṣayakṛto rāmasya kiṃ varṇyate daivaṃ varṇaya yena so	ekEkam daSa kanDara kzaya kRtaH rAmasya kim varNyate dEvam varNaya yena saH 
   'pi sahasā nītaḥ kathāśeṣatām // VidSrk_40.27 *(1359) //.	api sahasA nItaH kaTA aSeza tAm // Vit Srj _40.27 *(1359) //.
   śaśinam uditaṃ lekhāmātraṃ namanti na cetaraṃ gaganasaritaṃ dhatte mūrdhnā	SaSinam uditam leKA mAtram namanti na ca itaram gagana saritam Datte mUrDnA
   haro na nagātmajām /	haraH na naga AtmajAm /
   tribhuvanapatir lakṣmīṃ tyaktvā hariḥ priyagopikaḥ paricitaguṇadveṣī loko	triBuvana patiH lakzmIm tyaktvA hariH priya gopikaH paricita guNa dvezI lokaH 
   navaṃ navam icchati // VidSrk_40.28 *(1360) //	navam navam icCati // Vit Srj _40.28 *(1360) //
   upaśamaphalād vidyābījāt phalaṃ dhanam icchatāṃ bhavati viphalaḥ prārambho	upaSama PalAt vidyA bIjAt Palam Danam icCatAm Bavati viPalaH prAramBaH 
   yat tad atra kim adbhutam /	yat tat atra kim adButam /
   niyataviṣayāḥ sarve bhāvā na yānti hi vikriyāṃ janayitum alaṃ śāler bījaṃ	niyata vizayAH sarve BAvAH na yAnti hi vikriyAm janayitum alam SAleH bIjam
   na jātu javāṅkuram // VidSrk_40.29 *(1361) //.	na jAtu java aFkuram // Vit Srj _40.29 *(1361) //.
   tṛṣārtaiḥ śāraṅgaiḥ prati jaladharaṃ bhūri virutaṃ ghanair muktā dhārāḥ	tRzA ArtEH SAraFgEH prati jalaDaram BUri virutam GanEH muktAH DArAH
   sapadi payasas tān prati muhuḥ /	sapadi payasaH tAn prati muhur /
   khagānāṃ ke meghāḥ ka iva vihagā vā jalamucām ayācyo nārtānām	KagAnAm ke meGAH kaH iva vihagAH vA jalamucAm ayAcyaH na ArtAnAm
   anupakaraṇīyo na mahatām // VidSrk_40.30 *(1362) //.	anupakaraNIyaH na mahatAm // Vit Srj _40.30 *(1362) //.
   amarasiṃhasya	amara siMhasya
   payas tejo vāyur gaganam avanir viśvam api vā svayaṃ viṣṇus tasya	payaH tejaH vAyuH gaganam avaniH viSvam api vA svayam vizNuH tasya
   tridaśajayinaḥ kiṃ na sukaram /	tridaSa jayinaH kim na sukaram /
   chalān nīto 'dhastād balir aṇukarūpeṇa tad api svabhāvāc cakrī yaḥ	CalAt nItaH aDastAt baliH aNuka rUpeNa tat api svaBAvAt cakrI yaH
   praguṇam api cakreṇa sṛjati // VidSrk_40.31 *(1363) //.	praguNam api cakreNa sRjati // Vit Srj _40.31 *(1363) //.
   muṣṭikaraguhasya	muzwi kara guhasya
   kiṃ nojjvalaḥ kim u kalāḥ sakalā na dhatte datte na kiṃ nayanayor mudam	kim na ujjvalaH kim u kalAH sakalAH na Datte datte na kim nayanayoH mudam
   unmayūkhaḥ /	unmayUKaH /
   rāhos tu cakrapatito 'stamito 'yam induḥ satyaṃ satām ahṛdayeṣu guṇās	rAhoH tu cakra patitaH astamitas ayam induH satyam satAm ahRdayezu guNa as
   tṛṇāni // VidSrk_40.32 *(1364) //	tRNAni // Vit Srj _40.32 *(1364) //
   atulasya	atulasya
   lūnās tilās tadanu śoṣam upāgatās te śoṣād dhi śuddhim atha tāpam	lUnAH tilAH tadanu Sozam upAgatAH te SozAt Di SudDim aTa tApam
   upetavantaḥ /	upetavantaH /
   tāpāt kaṭhoratarayantranipīḍanāni sneho nimittam iti duḥkhaparaṃparāyāḥ //	tApAt kaWoratara yantra nipIxanAni snehaH nimittam iti duHKa paraMparAyAH //
   VidSrk_40.33 *(1365) //	Vit Srj _40.33 *(1365) //
   dugdha mugdham asti yas tvayā dhṛtaḥ sneha eṣa vipadekakāraṇam /*	dugDa mugDam asti yaH tvayA DRtaH snehaH eza vipad eka kAraNam /*
   yatkṛte tvam apavāsitaṃ punaś chinnam unmathitam agnisākṛtam //	yad kRte tvam apavAsitam punar Cinnam unmaTitam agni sAkRtam //
   VidSrk_40.34 *(1366) //*	Vit Srj _40.34 *(1366) //*
   mūrdhenduḥ parameśvareṇa vidhṛto vakro jaḍātmā kṣayī karṇānte ca	mUrDa induH parameSvareNa viDRtaH vakraH jaxa AtmA kzayI karNa ante ca
   parāpakāracaturo nyasto dvijihvādhipaḥ /	para apakAra caturaH nyastaH dvijihvA aDipaH /
   nandī dvāri bahiḥkṛto guṇanidhiḥ kaṣṭaṃ kim atrocyatāṃ	nandI dvAri bahis kRtaH guNa niDiH kazwam kim atra ucyatAm
   pātrāpātravicāraṇāsv anipuṇaḥ prāyo bhaved īśvaraḥ // VidSrk_40.35 *(1367)	pAtra apAtra vicAraNAsu anipuNaH prAyas Bavet ISvaraH // Vit Srj _40.35 *(1367)
   kākutsthasya daśānano na kṛtavān dārāpahāraṃ yadi kvāmbhodhiḥ kva ca	kAkutsTasya daSAnanaH na kRtavAn dAra apahAram yadi kva amBoDiH kva ca
   setubandhaghaṭanā kvottīrya laṅkājayaḥ /	setu banDa GawanA kva uttIrya laFkA jayaH /
   pārthasyāpi parābhavaṃ yadi ripur nādāt kva tādṛk tapo nīyante ripubhiḥ	pArTasya api parABavam yadi ripuH nAdAt kva tAdRS tapaH nIyante ripuBiH
   samunnatipadaṃ prāyaḥ paraṃ māninaḥ // VidSrk_40.36 *(1368) //.	samunnati padam prAyas param mAninaH // Vit Srj _40.36 *(1368) //.
   śambūkāḥ kila nirgatā jalanidhes tīreṣu dāvāgninā dahyante maṇayo	SambUkAH kila nirgatAH jalaniDeH tIrezu dAva agninA dahyante maNayaH 
   vaṇikkaratalair āyānti rājñāṃ śiraḥ /	vaNij kara talEH AyAnti rAjQAm SiraH /
   sthānapracyutir alpakasya vipade santas tu deśāntaraṃ yānto yānti sadā	sTAna pracyutiH alpakasya vipade santaH tu deSa antaram yAntaH yAnti sadA
   samarpitaguṇāḥ ślāghyāḥ parām unnatim // VidSrk_40.37 *(1369) //.	samarpita guNAH SlAGyAH parAm unnatim // Vit Srj _40.37 *(1369) //.
   ya eko lokānāṃ paramasuhṛd ānandajanakaḥ kalāśālī śrīmān nidhuvanavidhau	yaH ekaH lokAnAm parama suhRd Ananda janakaH kalA SAlI SrImAn niDuvana viDO
   maṅgalaghaṭaḥ /	maFgala GawaH /
   sudhāsūtiḥ so 'yaṃ tripuraharacūḍāmaṇir aho prayāty astaṃ hanta	suDA sUtiH saH ayam tripura hara cUxAmaNiH aho prayAti astam hanta
   prakṛtiviṣamā daivagatayaḥ // VidSrk_40.38 *(1370) //	prakRti vizamAH dEva gatayaH // Vit Srj _40.38 *(1370) //
   apetāḥ śatrubhyo vayam iti viṣādo 'yam aphalaḥ pratīkāras tv eṣām aniśam	apetAH SatruByaH vayam iti vizAdaH ayam aPalaH pratIkAraH tu ezAm aniSam
   anusaṃdhātum ucitaḥ /	anusaMDAtum ucitaH /
   jarāsaṃdhād bhagnaḥ saha halabhṛtā dānavaripur jaghānainaṃ paścān na kim	jarAsaMDAt BagnaH saha halaBRtAH dAnava ripuH jaGAna enam paScAt na kim
   anilasūnuḥ priyasakhaḥ // VidSrk_40.39 *(1371) //	anila sUnuH priya saKaH // Vit Srj _40.39 *(1371) //
   candraḥ kṣayī prakṛtivakratanur jaḍātmā doṣākāraḥ sphurati	candraH kzayI prakRti vakra tanuH jaxa AtmA doza AkAraH sPurati
   mitravipattikāle /	mitra vipatti kAle /
   mūrdhnā tathāpi vidhṛtaḥ parameśvareṇa naivāśriteṣu mahatāṃ guṇadoṣacintā	mUrDnA taTA api viDRtaH parameSvareNa na eva ASritezu mahatAm guNa doza cintA
   // VidSrk_40.40 *(1372) //	// Vit Srj _40.40 *(1372) //
   śuklīkaroti malināni digantarāṇi candro na śuklayati cātmagataṃ kalaṅkam /	SuklIkaroti malinAni digantarANi candraH na Suklayati ca Atma gatam kalaFkam /
   nityaṃ yathārthaghaṭanāhitamānasānāṃ svārthodyamo bhavati no mahatāṃ	nityam yaTArTa Gawana Ahita mAnasAnAm sva arTa udyamaH Bavati naH mahatAm
   kadācit // VidSrk_40.41 *(1373) //	kadAcid // Vit Srj _40.41 *(1373) //
   gṛhṇāti yuktam itarac ca jahāti dhīmān eṣa svabhāvajanito mahatāṃ vivekaḥ	gRhNAti yuktam itarat ca jahAti DImAn eza svaBAva janitaH mahatAm vivekaH
   anyonyamiśritam api vyatiricya śuddhaṃ dugdhaṃ pibaty udakam ujjhati	anyonya miSritam api vyatiricya SudDam dugDam pibati udakam ujJati
   rājahaṃsaḥ // VidSrk_40.42 *(1374) //	rAjahaMsaH // Vit Srj _40.42 *(1374) //
   prāyo bhavaty anucitasthitideśabhājaḥ śreyaḥ svajīvaparipālanamātram eva /	prAyas Bavati anucita sTiti deSa BAjaH SreyaH sva jIva paripAlana mAtram eva /
   antaḥprataptamarusaikatadahyamāna  mūlasya campakataroḥ ka vikāśacintā //	antar pratapta maru sEkata dahyamAna mUlasya campaka taroH kaH vikASa cintA //
   VidSrk_40.43 *(1375) //	Vit Srj _40.43 *(1375) //
   vidyāyāḥ	vidyAyAH
   grahaparikavalitatanur api ravir iha bodhayati padmaṣaṇḍāni /*	graha parikavalita tanuH api raviH iha boDayati padma zaNxAni /*
   bhavati vipady api mahatām aṅgīkṛtavastunirvāhaḥ // VidSrk_40.44 *(1376)	Bavati vipadi api mahatAm aFgIkRta vastu nirvAhaH // Vit Srj _40.44 *(1376)
   praṇatyā bahulābho 'pi na sukhāya manīṣiṇaḥ /	praNatyA bahu lABaH api na suKAya manIziNaH /
   cātakaḥ svalpam apy ambu gṛhṇāty anantakandharaḥ // VidSrk_40.45 *(1377)	cAtakaH su alpam api ambu gRhNAti ananta kanDaraH // Vit Srj _40.45 *(1377)
   kasyopayogamātreṇa dhanena ramate manaḥ /	kasya upayoga mAtreNa Danena ramate manaH /
   padapramāṇam ādhāram ārūḍhaḥ ko na kampate // VidSrk_40.46 *(1378) //	pada pramANam ADAram ArUXaH kaH na kampate // Vit Srj _40.46 *(1378) //
   upaiti kṣārābdhiṃ sahati bahuvātavyatikaraṃ puro nānābhaṅgān anubhavati	upEti kzAra abDim sahati bahu vAta vyatikaram puras nAnA BaFgAn anuBavati
   paśyaiṣa jaladaḥ /	paSya eza jaladaH /
   kathaṃcil labdhāni pravitarati toyāni jagate guṇaṃ vā doṣaṃ vā gaṇayati na	kaTaMcid labDAni pravitarati toyAni jagate guNam vA dozam vA gaNayati na
   dānavyasanitā // VidSrk_40.47 *(1379) //.	dAnavya sanitA // Vit Srj _40.47 *(1379) //.
   vallaṇasyaite	vallaNasya ete
   sudhādhāmnaḥ kāntiṃ glapayati vilumpaty uḍugaṇaṃ kiraty uṣṇaṃ tejaḥ	suDA DAmnaH kAntim glapayati vilumpati uxu gaNam kirati uzNam tejaH
   kumudavanalakṣmīḥ śamayati /	kumuda vana lakzmIH Samayati /
   ravir jānāty eva pratidivasam astādripatanaṃ tathāpi	raviH jAnAti eva pratidivasam astAdri patanam taTA api
   pratyagrābhyudayataralaḥ kiṃ na kurute // VidSrk_40.48 *(1380) //.	pratyagra aByudaya taralaH kim na kurute // Vit Srj _40.48 *(1380) //.
   kavirājasya	kavi rAjasya
   /Colo ity arthāntaranyāsavrajyā|| 40	/ColaH iti arTa antara nyAsa vrajyA|| 40
   tataś cāṭuvrajyā|| 41	tatas cAwu vrajyA|| 41
   deva tvadvijayaprayāṇasamaye kāmbojavāhāvalī  viṅkhollekhavisarpiṇi	deva tvad vijaya prayANa samaye kAmboja vAha AvalI viFKa ulleKa visarpiNi
   kṣitirajaḥpūre viyac cumbati /	kziti rajaH pUre viyat cumbati /
   bhānor vājibhir aṅgarūṣaṇarasāsvādaḥ samāsādito labdhaḥ kiṃ ca	BAnoH vAjiBiH aFgarUzaNa rasa AsvAdaH samAsAditaH labDaH kim ca
   nabhastalāmaradhunīpaṅkeruhair anvayaḥ // VidSrk_41.1 *(1381) //.	naBastala amaraDunI paFkeruhEH anvayaH // Vit Srj _41.1 *(1381) //.
   tvadyantrāṇāṃ prayāṇeṣv anavaratavalatkarṇatālaprakīrṇair ākīrṇe vyomni	tvad yantrANAm prayANezu anavarata valat karNa tAla prakIrNEH AkIrNe vyomni
   sarpasamadagajaghaṭākumbhasindūrapūraiḥ /	sarpa sa mada gaja GawA kumBa sindUra pUrEH /
   bibhrāṇāḥ pāribhadradrumakusumaruco raśmayaḥ patyur ahnāṃ madhyāhne 'py	biBrANAH pAriBadra druma kusuma rucaH raSmayaH patyuH ahnAm maDyAhne api 
   astasaṃdhyābhramacakitadṛśaś cakrire cakravākān // VidSrk_41.2 *(1382) //.	asta saMDyA Brama cakita dRSaH cakrire cakravAkAn // Vit Srj _41.2 *(1382) //.
   sphīto dhāmnā samaravijayī śrīkaṭākṣapradīrghaḥ snigdhaśyāmaḥ	sPItaH DAmnA samara vijayI SrIkawAkza pradIrGaH snigDa SyAmaH
   kuvalayarucir yuddhamalla tvadīyaḥ /	kuvalaya ruciH yudDa malla tvadIyaH /
   varṣe 'muṣmin pratinṛpayaśaḥpūragaure parīkṣā  kṣīranyastaṃ tulayati	varze amuzmin pratinRpa yaSaH pUra gOre parIkzA kzIra nyastam tulayati
   mahānīlaratnaṃ kṛpāṇaḥ // VidSrk_41.3 *(1383) //	mahAnIla ratnam kRpANaH // Vit Srj _41.3 *(1383) //
   digdantinaḥ svakarapuṣkaralekhanībhir gaṇḍasthalān madamasiṃ muhur	digdantinaH sva kara puzkara leKanIBiH gaNxa sTalAn madam asim muhur 
   ādadānāḥ /*	AdadAnAH /*
   śrīcandradeva tava toyanidhitīratāḍīpatrodareṣu vijayastutim ālikhanti //	SrI candradeva tava toya niDi tIra tAxI patra udarezu vijaya stutim AliKanti //
   VidSrk_41.4 *(1384) //*	Vit Srj _41.4 *(1384) //*
   abhinandasya	aBinandasya
   satsu rakto dviṣāṃ kālaḥ pītaḥ strīṇāṃ vilocanaiḥ /	satsu raktaH dvizAm kAlaH pItaH strINAm vilocanEH /
   śubhrakīrtyāsi tat satyaṃ caturvarṇāśramo bhavān // VidSrk_41.5 *(1385) //	SuBra kIrtyA asi tat satyam catur varNa ASramaH BavAn // Vit Srj _41.5 *(1385) //
   acalasya	acalasya
   na janayasi kaṃsaharṣaṃ vahasi śarīraṃ yaśodayā juṣṭam /*	na janayasi kaMsa harzam vahasi SarIram yaSodayA juzwam /*
   tyajasi na satyonmukhatām iti satyaṃ vāsudevo 'si // VidSrk_41.6 *(1386)	tyajasi na satya unmuKa tAm iti satyam vAsudevaH asi // Vit Srj _41.6 *(1386)
   bhadrasya	Badrasya
   na lopo varṇānāṃ na khalu parataḥ pratyayavidhir vikāro nāsty eva kvacid	na lopaH varNAnAm na Kalu paratas pratyaya viDiH vikAraH na asti eva kvacid 
   api na bhagnāḥ prakṛtayaḥ /	api na BagnAH prakRtayaH /
   guṇo vā vṛddhir vā satatam upakārāya jagatāṃ muner dākṣīputrād api tava	guNaH vA vRdDiH vA satatam upakArAya jagatAm muneH dAkzIputrAt api tava
   samarthaḥ padavidhiḥ // VidSrk_41.7 *(1387) //.	samarTaH pada viDiH // Vit Srj _41.7 *(1387) //.
   pāṇineḥ	pANineH
   satyaṃ tvadguṇakīrtanena sukhayaty ākhaṇḍalaṃ nāradaḥ kiṃ tu śrotrakaṭu	satyam tvad guNa kIrtanena suKayati AKaNxalam nAradaH kim tu Srotra kawu
   kvaṇanti madhupās tatpārijātasrajām /	kvaNanti maDupAH tad pArijAta srajAm /
   vāryante yadi cāpsaraḥpariṣadā te cāmarāḍambarair	vAryante yadi ca apsaraH parizadA te cAmara AxambarEH 
   udvelladbhujavallikaṅkaṇajhaṇatkāras tadā duḥsahaḥ // VidSrk_41.8 *(1388)	udvellat Buja valli kaFkaNa JaNatkAraH tadA duHsahaH // Vit Srj _41.8 *(1388)
   madhukūṭasya	maDukUwasya
   yasya dvīpaṃ dharitrī sa ca jaladhir abhūd yasya gaṇḍūṣatoyaṃ	yasya dvIpam DaritrI sa ca jalaDiH aBUt yasya gaNxUza toyam
   tasyāścaryaikamūrter api nabhasi vapur yatra durlakṣam āsīt /	tasya AScaryA eka mUrteH api naBasi vapuH yatra durlakzam AsIt /
   tat pītaṃ tvadyaśobhis tribhuvanam abhajaṃs tāni viśrāmahetos tac cāntaḥ	tat pItam tvad yaSoBiH triBuvanam aBajan tAni viSrAma hetoH tat ca antar 
   kaiṭabhāreḥ sa ca tava hṛdaye vandanīyas tvam ekaḥ // VidSrk_41.9 *(1389)	kEwaBAreH sa ca tava hRdaye vandanIyaH tvam ekaH // Vit Srj _41.9 *(1389)
   tathāgatadāsasya	taTAgata dAsasya
   karpāsāsthipracayanicitā nirdhanaśrotriyāṇāṃ yeṣāṃ	karpAsa asTi pracaya nicitA nirDana SrotriyANAm yezAm
   vātyāpravitatakuṭīprāṅgaṇāntā babhūvuḥ /	vAtya apravitata kuwI prAFgaNa antAH baBUvuH /
   tatsaudhānāṃ parisarabhuvi tvatprasādād idānīṃ	tad sODAnAm parisara Buvi tvad prasAdAt idAnIm
   krīḍāyuddhacchidurayuvatīhāramuktāḥ patanti // VidSrk_41.10 *(1390) //.	krIxA yudDa= CiduH a yuvatI hAra muktAH patanti // Vit Srj _41.10 *(1390) //.
   śubhāṅgasya	SuBa aFgasya
   lakṣmīvaśīkaraṇacūrṇasahodarāṇi tvatpādapaṅkajarajāṃsi ciraṃ jayanti /	lakzmI vaSIkaraNa cUrNa sahodarANi tvad pAda paFkaja rajAMsi ciram jayanti /
   yāni praṇāmamilitāni nṛṇāṃ lalāṭe lumpanti daivalikhitāni durakṣarāṇi //	yAni praNAma militAni nRNAm lalAwe lumpanti dEva liKitAni durakzarANi //
   VidSrk_41.11 *(1391) //	Vit Srj _41.11 *(1391) //
   abhinandasya	aBinandasya
   tvaṃ cen nātha kalānidhiḥ śaśadharas tat toyanāthā vayaṃ maryādānidhir	tvam ced nATa kalAniDiH SaSaDaraH tat toya nATAH vayam maryAdA niDiH 
   ambhasāṃ patir atha tvaṃ ced vayaṃ vāridāḥ /	amBasAm patiH aTa tvam ced vayam vAridAH /
   sarvāśāparipūrako jaladharas tvaṃ ced vayaṃ bhūruhaḥ	sarva ASAparipUrakaH jalaDaraH tvam ced vayam BUruhaH
   sanmārgvasthitisundaras tvam iha cec chākhī vayaṃ cādhvagāḥ //	sat mArgva sTiti sundaraH tvam iha ced SAKI vayam ca aDvagAH //
   VidSrk_41.12 *(1392) //.	Vit Srj _41.12 *(1392) //.
   padahīnān bilavasatīn bhujagān iva jātabhogasaṃkocān /*	pada hInAn bila vasatIn BujagAn iva jAta Boga saMkocAn /*
   vyathayati mantrākṣaram iva nāma tavārīn vanecarair gītam // VidSrk_41.13	vyaTayati mantra akzaram iva nAma tava arIn vanecarEH gItam // Vit Srj _41.13
   yeṣāṃ veśmasu kambukarparacalattarkudhvanir duḥśravaḥ prāg āsīn naranātha	yezAm veSmasu kambu karpara calat tarku DvaniH duHSravaH prAk AsIt nara nATa
   samprati punas teṣāṃ tavānugrahāt /	samprati punar tezAm tava anugrahAt /
   ṣaḍjādikramaraṅgadaṅgulicalatpāṇiskhalatkaṅkaṇa  śreṇīnisvanamāṃsalaḥ	zaxja Adi krama raFgat aFguli calat pANi sKalat kaFkaNa SreNI nisvana mAMsalaH
   kalagirāṃ vīṇāravaḥ śrūyate // VidSrk_41.14 *(1394) //	kalagirAm vINA ravaH SrUyate // Vit Srj _41.14 *(1394) //
   nātha tvām anuyāce prasīda vijahīhi saṅgarārambham /*	nATa tvAm anuyAce prasIda vijahIhi saFgara AramBam /*
   unnatibhājaḥ samprati santi vipakṣāḥ paraṃ girayaḥ // VidSrk_41.15 *(1395)	unnati BAjaH samprati santi vipakzAH param girayaH // Vit Srj _41.15 *(1395)
   deva svastutir astu nāma hṛdi naḥ sarve vasanty āgamās tīrthaṃ na kvacid	deva sva stutiH astu nAma hRdi naH sarve vasanti AgamAH tIrTam na kvacid 
   īdṛg atrabhavatī tvatkhaḍgadhārā yathā /	IdRS atraBavatI tvad Kaxga DArAH yaTA /
   yām ekaḥ svaśarīraśuddhirasiko mūrdhi pratīcchan ripur dvaividhyād anu	yAm ekaH sva SarIra SudDi rasikaH mUrDi pratIcCan ripuH dvEviDyAt anu
   pañcatāṃ tadanu ca traidaśyam āpa kṣaṇāt // VidSrk_41.16 *(1396) //.	paQcatAm tadanu ca trEdaSyam Apa kzaNAt // Vit Srj _41.16 *(1396) //.
   rathāṅgasya	raTAFgasya
   matparyantavasuṃdharāvijayine muktādi ratnaṃ mayā sarvaṃ ḍhaukitam eva	mad paryantava suMDarA vijayine muktA Adi ratnam mayA sarvam XOkitam eva
   tubhyam adhunā jāto 'smi niṣkiṃcanaḥ /	tuByam aDunA jAtaH asmi nizkiMcanaH /
   ity ullāsitavīcibāhur udayanmārtaṇḍabimbacchalāt prātas taptakuṭhāram eṣa	iti ullAsita vIci bAhuH udayat mArtaNxa bimba= CalAt prAtar taptakuWAram eza
   vahate deva tvadagre 'mbudhiḥ // VidSrk_41.17 *(1397) //.	vahate deva tvad agre ambuDiH // Vit Srj _41.17 *(1397) //.
   vasukalpasya	vasu kalpasya
   saṃdiṣṭaṃ marubhūmibhūruhacayair bhūpāla bhūyād bhavān nirjetā	saMdizwam maru BUmi BUruha cayEH BUpAla BUyAt BavAn nirjetA
   navakhaṇḍamaṇḍalabhuvo ye tvatprasādād vayam /	nava KaNxa maNxala BuvaH ye tvad prasAdAt vayam /
   pratyāsannavipannavāraḍavadhūnetrapraṇālīgalad 	pratyAsanna vipanna vAraxa vaDU netra praNAlI galad 
   bāṣpāmbhaḥplavapaṅkapicchalatalāḥ śrīmuñja modāmahe // VidSrk_41.18	bAzpa amBaH plava paFka picCala talAH SrImuQja modAmahe // Vit Srj _41.18
   tanvīm ujjhitabhūṣaṇāṃ kalagiraṃ sītkāram ātanvatīṃ vepantīṃ vraṇitādharāṃ	tanvIm ujJita BUzaNAm kala giram sItkAram AtanvatIm vepantIm vraNitA DarAm
   vivasanāṃ romodgamaṃ bibhratīm /	vivasanAm roma udgamam biBratIm /
   hemante himaśītamārutabhayād āśliṣya dorbhyāṃ tanuṃ svāṃ mūrtiṃ dayitām	hemante hima SIta mAruta BayAt ASlizya dorByAm tanum svAm mUrtim dayitAm
   ivātirasikāṃ tvadvidviṣaḥ śerate // VidSrk_41.19 *(1399) //.	iva ati rasikAm tvad vidvizaH Serate // Vit Srj _41.19 *(1399) //.
   bhūsamparkarajonipātamalināḥ svasmād gṛhāt pracyutāḥ sāmānyair api	BU samparka rajaH nipAta malinAH svasmAt gRhAt pracyutAH sAmAnyEH api
   jantubhiḥ karatalair niḥśaṅkam āliṅgitāḥ /	jantuBiH kara talEH niHSaFkam AliFgitAH /
   nirlagnāḥ kvacid ekatām upagatā baddhāḥ kvacin mocitā akṣāṇām iva śārayaḥ	nirlagnAH kvacid eka tAm upagatAH badDAH kvacid mocitAH akzANAm iva SArayaH
   pratigṛhaṃ bhrāntās tavāristriyaḥ // VidSrk_41.20 *(1400) //.	pratigRham BrAntAH tava ari striyaH // Vit Srj _41.20 *(1400) //.
   varṣāsambhṛtapītisāram avaśaṃ stabdhāṅghrihastadvayaṃ bhekaṃ mūrdhni	varzA samBRta pIti sAram avaSam stabDa aFGri hasta dvayam Bekam mUrDni
   nigṛhya kajjalarajaḥśyāmaṃ bhujaṅgaṃ sthitam /	nigRhya kajjala rajaH SyAmam BujaFgam sTitam /
   mugdhā vyādhavadhus tavārinagare śūnye cirāt samprati	mugDAH vyADa vaDuH tava ari nagare SUnye cirAt samprati
   svaṛnopaskṛtimuṣṭisāyakadhiyā sākūtam āditsati // VidSrk_41.21 *(1401) //.	su aRna upaskRti muzwi sAyaka DiyA sa AkUtam Aditsati // Vit Srj _41.21 *(1401) //.
   paryaṅkaḥ śithilīkṛto na bhavatā siṃhāsanān notthitaṃ na	paryaFkaH SiTilIkRtaH na BavatA siMhAsanAt na utTitam na
   krodhānaladhūmarājir iva ca bhrūvallir ullāsitā /	kroDa anala DUma rAjiH iva ca BrUvalliH ullAsitAH /
   rājñāṃ tvaccaraṇāravindam atha ca śrīcandra puṣpanty amūś	rAjQAm tvad caraNa aravindam aTa ca SrI candra puzpanti amUS
   cañcaccārumarīcisaṃcayamucāṃ cūḍāmaṇīnāṃ rucaḥ // VidSrk_41.22 *(1402) //.	caQcat cAru marIci saMcaya mucAm cUxAmaNInAm rucaH // Vit Srj _41.22 *(1402) //.
   suvinītasya	su vinItasya
   dvāraṃ khaḍgibhir āvṛtaṃ bahir api praklinnagaṇḍair gajair antaḥ	dvAram KaxgiBiH AvRtam bahis api praklinna gaNxEH gajEH antar 
   kañcukibhiḥ sphuranmaṇidharair adhyāsitā bhūmayaḥ /	kaQcukiBiH sPurat maNi DarEH aDyAsitAH BUmayaH /
   ākrāntaṃ mahiṣībhir eva śayanaṃ tvadvidviṣāṃ mandire rājan saiva	AkrAntam mahizIBiH eva Sayanam tvad vidvizAm mandire rAjan sA eva
   cirantanapraṇayinīśūnye 'pi rājyasthitiḥ // VidSrk_41.23 *(1403) //.	cirantana praNayinI SUnye api rAjya sTitiH // Vit Srj _41.23 *(1403) //.
   vijayapālasya	vijaya pAlasya
   atyuktau yadi na prakupyasi mṛṣāvādaṃ na cen manyase tad brūmo	ati uktO yadi na prakupyasi mRzAvAdam na ced manyase tat brUmaH 
   'dbhutakīrtaneṣu rasanā keṣāṃ na kaṇḍūyate /	adButa kIrtanezu rasanA kezAm na kaNxUyate /
   deva tvadvijayapratāpadahanajvālāvalīśoṣitāḥ sarve vāridhayas tato	deva tvad vijaya pratApa dahana jvAlA AvalI SozitAH sarve vAriDayaH tatas 
   ripuvadhūbāṣpāmbubhiḥ pūritāḥ // VidSrk_41.24 *(1404) //.	ripu vaDU bAzpa ambuBiH pUritAH // Vit Srj _41.24 *(1404) //.
   tāḍītāḍaṅkamātrābharaṇapariṇatīny ullasatsinduvāra  sragdāmāni dviṣāṃ vo	tAxI tAxaFka mAtra ABaraNa pariNatIni ullasat sinduvAra sraj dAmAni dvizAm vaH 
