   Aśokāvadānaṃ	ASoka-avadAnam
   abhikāmāmabhigatāṃ yattvaṃ necchasi māmiha /	aBikAmAm-aBigatAm yat-tvam na-icCasi mAm-iha /
   na cirādeva durbuddhe sarvathā na bhaviṣyasi //	na cirAt-eva durbudDe sarvaTA na Bavizyasi //
   (A-av 108)	(a-a-au 108)
   kunāla uvāca /	kunAlaH uvAca /
   mama bhavatu maraṇaṃ māta sthitasya dharme viśuddhabhāvasya /	mama Bavatu maraNam mAta sTitasya Darme viSudDa-BAvasya /
   na tu jīvitena kāryaṃ sajjanajanadhikkṛtena mama //	na tu jIvitena kAryam sat-jana-jana-DikkRtena mama //
   svargasya dharmalopo yato bhavati jīvitena kiṃ tena /	svargasya Darma-lopaH yatas Bavati jIvitena kim tena /
   mama maraṇahetunā vai budhaparibhūtena dhikkṛtena //	mama maraNa-hetunA vE buDa-pariBUtena DikkRtena //
   yāvat tiṣyarakṣitā kunālasya chidrānveṣiṇi avasthitā /	yAvat tizya-rakzitA kunAlasya Cidra-anveziNi avasTitAH /
   rājño 'śokasyottarāpathe takṣaśilā nagaraṃ viruddhaṃ / śrutvā ca rājā	rAjQaH aSokasya-uttarApaTe takzaSilA nagaram virudDam / SrutvA ca rAjA
   svayamevābhiprasthitaḥ / tato 'mātyairabhihitaḥ / deva kumāraḥ preṣyatāṃ /	svayam-eva-aBiprasTitaH / tatas amAtyEH-aBihitaH / deva kumAraH prezya-tAm /
   atha rājā kunālamāhūya kathayati / vatsa kunāla gamiṣyasi takṣaśilānagaraṃ	aTa rAjA kunAlam-AhUya kaTayati / vatsa kunAla gamizyasi takzaSilA-nagaram
   saṃnāmayituṃ /	saMnAmayitum /
   kunāla uvāca / paraṃ deva gamiṣyāmi /	kunAlaH uvAca / param deva gamizyAmi /
   tato nṛpastasya niśāmya bhāvaṃ putrābhidhānasya manorathasya /	tatas nRpaH-tasya niSAmya BAvam putra-aBiDAnasya manoraTasya /
   snehācca yogyaṃ manasā ca buddvā ājñāpayāmāsa vihārayātrāṃ //	snehAt-ca yogyam manasA ca buddvA AjQApayAmAsa vihAra-yAtrAm //
   atha rājāśoko nagaraśobhāṃ mārgaśobhāṃ ca kṛtvā jīrṇāturakṛpaṇāṃśca	aTa rAja-aSokaH nagara-SoBAm mArga-SoBAm ca kRtvA jIrNa-Atura-kRpaNAn=-ca
   mārgādapanīya ekarathe 'bhiruhya kumāreṇa saha pāṭaliputrān nirgataḥ /	mArgAt-apanIyaH eka-raTe aBiruhya kumAreNa saha pAwaliputrAt nirgataH /
   anuvrajitvā nivartamānaḥ kunālaṃ kaṇṭhe pariṣvajya nayanaṃ nirīkṣamāṇaḥ	anuvrajitvA nivartamAnaH kunAlam kaNWe parizvajya nayanam nirIkzamANaH
   prarudannuvāca /	prarudan=-uvAca /
   (A-av 109)	(a-a-au 109)
   dhanyāni tasya cakṣūṃṣi cakṣuṣmantaśca te janāḥ /	DanyAni tasya cakzUMzi cakzuzmantaH-ca te janAH /
   satataṃ ye kumārasya drakṣyanti dukhapaṅkajaṃ //	satatam ye kumArasya drakzyanti duKa-paFkajam //
   yāvan naimittiko brāhmaṇaḥ paśyati kumārasya na cirān nayanavināśo	yAvat nEmittikaH brAhmaNaH paSyati kumArasya na cirAt nayana-vinASaH-
   bhaviṣyati / sa ca rājāśokastasya nayaneṣvatyarthamanuṣuktaḥ / dṛṣṭvā ca	Bavizyati / sa ca rAja-aSokaH-tasya nayanezu-atyarTa-m-anuzuktaH / dRzwvA ca
   kathayati /	kaTayati /
   nṛpātmajasya nayane viśuddhe mahīpatiścāpyanuraktamasya /	nRpa-Atmajasya nayane viSudDe mahIpatiH-ca-api-anuraktam-asya /
   śriyā vivṛddhe hi sukhānukūle paśyāmi netre 'dya vinaśyamāne //	SriyA vivRdDe hi suKa-anukUle paSyAmi netre adya vinaSyamAne //
   idaṃ puraṃ svarga iva prahṛṣṭaṃ kumārasaṃdarśanajātaharṣaṃ /	idam puram svargaH iva prahRzwam kumAra-saMdarSana-jAta-harzam /
   puraṃ vipanne nayane tu tasya bhaviṣyate śokaparītacetaḥ //	puram vipanne nayane tu tasya Bavizyate Soka-parIta-cetaH //
   anupūrveṇa takṣaśilāmanuprāptaḥ / śrutvā ca takṣaśilāpaurā ardhatrikāṇi	anupUrveNa takzaSilAm-anuprAptaH / SrutvA ca takzaSilA-pOrAH arDa-trikANi
   yojanāni mārgaśobhāṃ nagaraśobhāṃ ca kṛtvā pūrṇakumbhaiḥ pratyudgatāḥ /	yojanAni mArga-SoBAm nagara-SoBAm ca kRtvA pUrNa-kumBEH pratyudgatAH /
   vakṣyati ca /	vakzyati ca /
   śrutvā takṣaśilāpauro ratnapūrṇaghaṭādikān /	SrutvA takzaSilA-pOraH ratna-pUrNa-Gawa-AdikAn /
   gṛhya pratyujjagāmāśu bahumānya nṛpātmajaṃ //	gRhya pratyujjagAma-ASu bahu-mAnya nRpa-Atmajam //
   pratyudgamya kṛtāñjaliruvāca / na vayaṃ kumārasya viruddhā na rājño	pratyudgamya kRtAQjaliH-uvAca / na vayam kumArasya virudDAH na rAjQaH-
   'śokasya / api tu dṛṣṭātmāno 'mātyā āgatyāsmākamapamānaṃ kurvanti / yāvat	aSokasya / api tu dRzwa-AtmAnaH amAtyAH Agatya-asmAkam-apamAnam kurvanti / yAvat-
   kunālo mahatā sammānena takṣaśilāṃ praveśitaḥ /	kunAlaH mahatA sammAnena takzaSilAm praveSitaH /
   (A-av 110)	(a-a-au 110)
   rājñaścāśokasya mahān vyādhirutpannaḥ / tasya mukhāduccāro	rAjQaH-ca-aSokasya mahAn vyADiH-utpannaH / tasya muKAt-uccAraH-
   nirgantumārabdhaḥ / sarvaromakūpebhyaścāśuci pragharati na ca śakyate	nirgantum-ArabDaH / sarva-romakUpeByaH-ca-aSuci praGarati na ca Sakyate
   cikitsituṃ / tato rājñābhihitaṃ / kunālamānayata rājye	cikitsitum / tatas rAjQA-aBihitam / kunAlam-Anayata rAjye
   pratiṣṭhāpayiṣyāmīti / kiṃ mamedṛśena jīvitena prayojanaṃ /	pratizWApayizyAmi-iti / kim mama-IdRSena jIvitena prayojanam /
   śrutvā ca tiṣyarakṣitā cintayati / yadi kunālaṃ rājye pratiṣṭhāpayiṣyati	SrutvA ca tizya-rakzitA cintayati / yadi kunAlam rAjye pratizWApayizyati
   nāsti mama jīvitaṃ / tayābhihitaṃ / ahaṃ tvā svasthaṃ kariṣyāmi kiṃ tu	na-asti mama jIvitam / tayA-aBihitam / aham tvA svasTam karizyAmi kim tu
   vaidyānāṃ praveśaḥ pratiṣidhyatāṃ / yāvad rājñā vaidyānāṃ praveśaḥ	vEdyAnAm praveSaH pratiziDyatAm / yAvat rAjQA vEdyAnAm praveSaH
   pratiṣiddhaḥ / tatastiṣyarakṣitayā vaidyānāmabhihitaṃ / yadi kaścidīdṛśena	pratizidDaH / tatas-tizya-rakzitayA vEdyAnAm-aBihitam / yadi kaScid-IdRSena
   vyādhinā spṛṣṭaḥ strī vā puruṣo vāgacchati mama darśayitavyāḥ /	vyADinA spRzwaH strI vA puruzaH vA-AgacCati mama darSayitavyAH /
   anyatamaścābhīrastādṛśenaiva vyādhinā spṛṣṭaḥ / tasya patnyā vaidyāya	anyatamaH-ca-ABIraH-tAdRSena-eva vyADinA spRzwaH / tasya patnyA vEdyAya
   vyādhirniveditaḥ / vaidyenābhihitaṃ / sa evāgacchatvāturo vyādhiṃ dṛṣṭvā	vyADiH-niveditaH / vEdyena-aBihitam / saH eva-agacCatu-AturaH vyADim dRzwvA
   bhaiṣajyamupadekṣyāmi / yāvadābhīro vaidyasakāśamabhigataḥ / vaidyena ca	BEzajyam-upadekzyAmi / yAvat-ABIraH vEdya-sakASam-aBigataH / vEdyena ca
   tiṣyarakṣitāyāḥ samīpamupanītaḥ / tatastiṣyarakṣitayā pratigupte pradeśe	tizya-rakzitAyAH samIpam-upanItaH / tatas-tizya-rakzitayA pratigupte pradeSe
   jīvitād vyaparopitaḥ / jīvitād vyaparopya kukṣiṃ pāṭayitvā paśyati ca	jIvitAt vyaparopitaH / jIvitAt vyaparopya kukzim pAwayitvA paSyati ca
   tasya pakvāśayasthānaṃ / antrāyāṃ kṛmirmahān prādurbhūtaḥ / sa yadyūrdhvaṃ	tasya pakvASaya-sTAnam / antrAyAm kRmiH-mahAn prAdurBUtaH / sa yadi-UrDvam
   gacchati tenāśuci pragharati / athāgho gacchatyadhaḥ pragharati / yāvat	gacCati tena-aSuci praGarati / aTa-aGaH gacCati-aDas praGarati / yAvat-
   tatra maricān peṣayitvā datto na ca [sa] mriyate / evaṃ pippaliṃ	tatra maricAn pezayitvA dattaH na ca [sa] mriyate / evam pippalim
   śrṛṅgaveraṃ ca / vistareṇa yāvat palāṇḍuṃ dattaḥ / spṛṣṭaśca (A-av 111)	SrRFgaveram ca / vistareNa yAvat palANxum dattaH / spRzwaH-ca (A-au 111)
   mṛta uccāramārgeṇa nirgataḥ / etacca prakaraṇaṃ tayā rājñe niveditaṃ /	mRtaH uccAra-mArgeNa nirgataH / etat-ca prakaraNam tayA rAjQe niveditam /
   deva palāṇḍuṃ paribhuṃkṣva svāsthyaṃ bhaviṣyati / rājāha / devi, ahaṃ	deva palANxum pariBuMkzva svAsTyam Bavizyati / rAjA-Aha / devi, aham
   kṣatriyaḥ kathaṃ palāṇḍuṃ paribhakṣayāmi / devyuvāca / deva,	kzatriyaH kaTam palANxum pariBakzayAmi / devI-uvAca / deva,
   paribhoktavyaṃ jīvitasyārthe bhaiṣajyametat /	pariBoktavyam jIvitasya-arTe BEzajyam-etat /
   rājñā paribhuktaṃ / sa ca kṛmirmṛta uccāramārgeṇa nirgataḥ /	rAjQA pariBuktam / sa ca kRmiH-mRtaH uccAra-mArgeNa nirgataH /
   svasthībhūtaśca rājā / tena parituṣṭena tiṣyarakṣitā vareṇa pravāritā /	svasTIBUtaH-ca rAjA / tena parituzwena tizya-rakzitAH vareNa pravAritA /
   kiṃ te vara prayacchāmi / tayābhihitaṃ / saptāhaṃ mama devo rājyaṃ	kim te vara prayacCAmi / tayA-aBihitam / sapta-aham mama devaH rAjyam
   prayacchatu / rājāha / ahaṃ ko bhaviṣyāmi / devyuvāca / saptāhasyātyayād	prayacCatu / rAjA-Aha / aham kaH BavizyAmi / devI-uvAca / sapta-ahasya-atyayAt-
   deva eva rājā bhaviṣyati /	devaH eva rAjA Bavizyati /
   yāvad rājñā tiṣyarakṣitāyāḥ saptāhaṃ rājyaṃ dattaṃ / tasyā buddhirutpannā	yAvat rAjQA tizya-rakzitAyAH sapta-aham rAjyam dattam / tasyAH budDiH-utpannA
   / idānīṃ mayāsya kunālasya vairaṃ niryātayitavyaḥ / tayā kapaṭalekho	/ idAnIm mayA-asya kunAlasya vEram niryAtayitavyaH / tayA kapawa-leKaH-
   likhitastakṣaśilakānāṃ paurāṇāṃ / kunālasya nayanaṃ vināśayitavyamiti /	liKitaH-takza-SilakAnAm pOrANAm / kunAlasya nayanam vinASayitavyam-iti /
   āha ca /	Aha ca /
   rājā hyaśoko balavān pracaṇḍa ājñāpayattakṣaśilājanaṃ hi /	rAjA hi-aSokaH balavAn pracaNxaH AjQApayat-takza-SilA-janam hi /
   uddhāryatāṃ locanamasya śatraurmauryasya vaṃśasya kalaṅku eṣaḥ //	udDAryatAm locanam-asya SatrOH-mOryasya vaMSasya kalaFku ezaH //
   rājño 'śokasya yatra kāryamāśu pariprāpyaṃ bhavati [sa] dantamudrayā	rAjQaH aSokasya yatra kAryam-ASu pariprApyam Bavati [sa] dantamudrayA
   mudrayati / yāvat tiṣyarakṣitā śayitasya rājñastaṃ lekhaṃ dantamudrayā	mudrayati / yAvat tizya-rakzitA Sayitasya rAjQaH-tam leKam dantamudrayA
   mudrayiṣyāmīti rājñaḥ sakāśamabhigatā / rājā ca bhītaḥ pratibuddhaḥ /	mudrayizyAmi-iti rAjQaH sakASam-aBigatA / rAjA ca BItaH pratibudDaH /
   (A-av 112) devī kathayati / kimidamiti / rājā kathayati / devi svapnaṃ	(A-au 112) devI kaTayati / kim-idam-iti / rAjA kaTayati / devi svapnam
   maṃ'śobhanaṃ dṛṣṭaṃ / paśyāmi dvau gṛdhrau kunālasya	maM-aSoBanam dRzwam / paSyAmi dvO gRDrO kunAlasya
   nayanamutpāṭayitumicchataḥ / devī kathayati / svāsthyaṃ kumārasyeti / evaṃ	nayanam-utpAwayitum-icCataH / devI kaTayati / svAsTyam kumArasya-iti / evam
   dvirapi rājā bhītaḥ pratibuddhaḥ kathayati / devi svapno me na śobhano	dvis-api rAjA BItaH pratibudDaH kaTayati / devi svapnaH me na SoBanaH-
   dṛṣṭa iti / tiṣyarakṣitā kathayati / kīdṛśaḥ svapna iti / rājāha / paśyāmi	dRzwaH iti / tizya-rakzitA kaTayati / kIdRSaH svapnaH iti / rAjA-Aha / paSyAmi
   kunālaṃ dīrghakeśanakhaśmaśruṃ pauraṃ praviṣṭaṃ / devyāha / svāsthyaṃ	kunAlam dIrGa-keSa-naKa-SmaSrum pOram pravizwam / devI-Aha / svAsTyam
   kumārasyeti /	kumArasya-iti /
   yāvat tiṣyarakṣitayā rājñaḥ śayitasya sa lekho dantamudrayā mudrayitvā	yAvat tizya-rakzitayA rAjQaH Sayitasya sa leKaH dantamudrayA mudrayitvA
   takṣaśilāṃ preṣitaḥ / yāvad rājñā śayitena svapne dṛṣṭaṃ dantā viśīrṇāḥ /	takzaSilAm prezitaH / yAvat rAjQA Sayitena svapne dRzwam dantAH viSIrNAH /
   tato rājā tasyā eva rātreratyaye naimittikān āhūya kathayati / kīdṛśa eṣāṃ	tatas rAjA tasyAH eva rAtreH-atyaye nEmittikAn AhUya kaTayati / kIdRSaH ezAm
   svapnānāṃ vipāka iti / naimittikāḥ kathayanti / deva ya īdṛśasvapnāni	svapnAnAm vipAkaH iti / nEmittikAH kaTayanti / deva ye IdRSa-svapnAni
   paśyati tasya putrasya cakṣurbhedo bhavati / āha ca /	paSyati tasya putrasya cakzuH-BedaH Bavati / Aha ca /
   dantā yasya viśīryante svapnānte prapatanti ca /	dantAH yasya viSIryante svapna-ante prapatanti ca /
   caturbhedaṃ ca putrasya putranāśaṃ sa paśyati //	catur-Bedam ca putrasya putra-nASam sa paSyati //
   śrutvā ca rājāśokas tvaritamutthāyāsanāt kṛtāñjaliścaturdiśaṃ devatāṃ	SrutvA ca rAja-aSokaH tvaritam-utTAya-AsanAt kRtAQjaliH-caturdiSam devatAm
   yācayitumārabdhaḥ / āha ca /	yAcayitum-ArabDaH / Aha ca /
   yā devatā śāsturabhiprasannā dharme ca saṅghe ca gaṇapradhāne /	yA devatA SAstuH-aBiprasannAH Darme ca saFGe ca gaNa-praDAne /
   ye cāpi loke ṛṣayo variṣṭhā rakṣantu te 'smattanayaṃ kunālaṃ //	ye ca-api loke RzayaH varizWAH rakzantu te asmad-tanayam kunAlam //
   (A-av 113)	(a-a-au 113)
   sa ca lekho 'nupūrveṇa takṣaśilāmupanītaḥ / atha takṣaśilāḥ paurajānapadā	sa ca leKaH anupUrveNa takzaSilAm-upanItaH / aTa takzaSilAH pOra-jAnapadA
   lekhadarśanāt kunālasya guṇavistaratuṣṭā notsahante tadapriyaṃ nivedituṃ /	leKa-darSanAt kunAlasya guNa-vistara-tuzwAH na-utsahante tat-apriyam niveditum /
   ciraṃ vicārayitvā caṇḍo rājā duḥśīlaḥ svaputrasya na marṣayati	ciram vicArayitvA caNxaH rAjA duHSIlaH sva-putrasya na marzayati
   prāgevāsmākaṃ [kiṃ] marṣayati / āha ca /	prAk-eva-asmAkam [kiM] marzayati / Aha ca /
   munivṛttasya śāntasya sarvabhūtahitaiṣiṇaḥ /	muni-vRttasya SAntasya sarva-BUta-hita-eziNaH /
   yasya dveṣaḥ kumārasya kasya nāsya bhaviṣyati //	yasya dvezaH kumArasya kasya na-asya Bavizyati //
   tairyāvat kunālasya niveditaṃ / lekhaścopanītaḥ / tataḥ kunālo vācayitvā	tEH-yAvat kunAlasya niveditam / leKaH-ca-upanItaH / tatas kunAlaH vAcayitvA
   kathayati / viśrabdhaṃ yathātmaprayojanaṃ kriyatāmiti / yāvac caṇḍālā	kaTayati / viSrabDam yaTA-Atma-prayojanam kriyatAm-iti / yAvat caNxAlA
   upanītāḥ kunālasya nayanam utpāṭayateti / te ca kṛtāñjalipuṭā ūcuḥ /	upanItAH kunAlasya nayanam utpAwayata-iti / te ca kRta-aQjali-puwAH UcuH /
   notsahayāmaḥ / kutaḥ /	na-utsahayAmaH / kutas /
   yo hi candramasaḥ kāntiṃ mohādabhyuddharen naraḥ /	yaH hi candramasaH kAntim mohAt-aByudDaret naraH /
   sa candrasadṛśād vaktrāt tava netre samuddharet //	sa candra-sadRSAt vaktrAt tava netre samudDaret //
   tataḥ kumāreṇa makuṭaṃ dattam / anayā dakṣiṇayotpāṭayata iti / tasya tu	tatas kumAreNa makuwam dattam / anayA dakziNayA-utpAwayate iti / tasya tu
   karmaṇāvaśyaṃ vipaktavyaṃ / puruṣo hi vikṛtarūpoṣṭādaśabhirdaurvarṇikaiḥ	karmaNA-avaSyam vipaktavyam / puruzaH hi vikRta-rUpa-uzwAdaSaBiH-dOrvarNikEH
   (A-av 114) samanvāgato 'bhyāgataḥ / sa kathayati / ahamutpāṭayiṣyāmīti /	(a-a-au 114) samanvAgataH aByAgataH / sa kaTayati / aham-utpAwayizyAmi-iti /
   yāvat kunālasya samīpaṃ nītaḥ / tasmiṃśca samaye kunālasya sthavirāṇāṃ	yAvat kunAlasya samIpam nItaH / tasmin=-ca samaye kunAlasya sTavirANAm
   vacanamāmukhībhūtaṃ / sa tad vacanamanusmṛtyovāca /	vacanam-AmuKIBUtam / sa tat vacanam-anusmRtya-uvAca /
   imāṃ vipattiṃ vijñāya tairuktaṃ tattvavādibhiḥ /	imAm vipattim vijQAya tEH-uktam tattva-vAdiBiH /
   paśyānityamidaṃ sarvaṃ nāsti kaścid dhruve sthitaḥ //	paSya-anityam-idam sarvam na-asti kaScid Druve sTitaH //
   kalyāṇamitrāste mahyaṃ sukhakāmā hitaiṣiṇaḥ /	kalyANa-mitrAste mahyam suKa-kAmAH hita-eziNaH /
   yairayaṃ deśito dharmo vītakleśairmahātmabhiḥ //	yEH-ayam deSitaH DarmaH vIta-kleSEH-mahAtmaBiH //
   anityatāṃ saṃparipaśyato me gurūpadeśān manasi prakurvataḥ /	anitya-tAm saMparipaSyataH me guru-upadeSAt manasi prakurvataH /
   utpāṭane 'haṃ na bibhemi saumya netradvayasyāsthiratāṃ hi paśye //	utpAwane aham na biBemi sOmya netra-dvayasya-asTira-tAm hi paSye //
   utpāṭye vā na vā netre yathā vā manyate nṛpaḥ /	utpAwye vA na vA netre yaTA vA manyate nRpaH /
   gṛhītasāraṃ cakṣurme hyanityādibhirāśrayaiḥ //	gRhIta-sAram cakzuH-me hi-anitya-AdiBiH-ASrayEH //
   tataḥ kunālas taṃ puruṣamuvāca / tena hi bhoḥ puruṣa ekaṃ tāvan nayanam	tatas kunAlaH tam puruzam-uvAca / tena hi BoH puruzaH ekam tAvat nayanam
   utpāṭya mama haste 'nuprayaccha / yavat sa puruṣaḥ kunālasya	utpAwya mama haste anuprayacCa / yavat sa puruzaH kunAlasya
   nayanamutpāṭayituṃ pravṛttaḥ / tato 'nekāni prāṇiśatasahasrāṇi	nayanam-utpAwayitum pravRttaH / tatas anekAni prANi-Sata-sahasrANi
   vikroṣṭumārabdhāni / kaṣṭaṃ bhoḥ /	vikrozwum-ArabDAni / kazwam BoH /
   (A-av 115)	(a-a-au 115)
   eṣa hi nirmalajyotsno gaganāt patate śaśī /	eza hi nirmala-jyotsnaH gaganAt patate SaSI /
   puṇḍarīkavanāccāpi śrīmānutpāṭyate 'mbujaḥ //	puNxarIka-vanAt-ca-api SrImAn-utpAwyate ambujaH //
   teṣu prāṇiśatasahasreṣu rudatsu kunālasyaiva nayanamutpāṭya haste dattaṃ /	tezu prANi-Sata-sahasrezu rudatsu kunAlasya-eva nayanam-utpAwya haste dattam /
   tataḥ kunālastannayanaṃ gṛhyovāca /	tatas kunAlaH-tat-nayanam gRhya-uvAca /
   rūpāṇi kasmānna nirīkṣase tvaṃ yathā purā prākṛtamāṃsapiṇḍa /	rUpANi kasmAt-na nirIkzase tvam yaTA purA prAkRta-mAMsa-piNxa /
   te vañcitāste ca vigarhaṇīyā ātmeti ye tvāmabudhāḥ śrayante //	te vaQcitAH-te ca vigarhaNIyAH AtmA-iti ye tvAm-abuDAH Srayante //
   sāmagryakaṃ burbudasannikāśaṃ sudurlabhaṃ nirviṣayāsvatantraṃ /	sAmagryakam burbuda-sannikASam su-durlaBam nirvizaya-asvatantram /
   evaṃ pravīkṣanti sadāpramattā ye tvāṃ na te duḥkhamanuprayānti //	evam pravIkzanti sadA-apramattAH ye tvAm na te duHKam-anuprayAnti //
   evaṃ cintayatā tena sarvabhāveṣvanityatāṃ /	evam cintayatA tena sarva-BAvezu-anitya-tAm /
   strotāpattiphalaṃ prāptaṃ janakāyasya paśyataḥ //	strotApatti-Palam prAptam jana-kAyasya paSyataH //
   tataḥ kunālo dṛṣṭasatyastaṃ puruṣamuvāca / idānīṃ dvitīyaṃ viśrabdhaṃ	tatas kunAlaH dRzwa-satyaH-tam puruzam-uvAca / idAnIm dvitIyam viSrabDam
   nayanamutpāṭyatāṃ / yāvattena puruṣeṇa kunālasya dvitīyaṃ nayanamutpāṭya	nayanam-utpAwya-tAm / yAvat-tena puruzeNa kunAlasya dvitIyam nayanam-utpAwya
   haste dattaṃ / atha kunālo māṃsacakṣuṣi uddhṛte prajñācakṣuṣi ca viśuddhe	haste dattam / aTa kunAlaH mAMsa-cakzuzi udDRte prajQAcakzuzi ca viSudDe
   kathayati /	kaTayati /
   uddhṛtaṃ māṃsacakṣurme yadyapyetat sudurlabhaṃ /	udDRtam mAMsa-cakzuH-me yadi-api-etat su-durlaBam /
   prajñācakṣurviśuddhaṃ me pratilabdham aninditaṃ /	prajQAcakzuH-viSudDam me pratilabDam aninditam /
   (A-av 116)	(a-a-au 116)
   parityakto nṛpatinā yadyahaṃ putrasaṃjñayā /	parityaktaH nRpatinA yadi-aham putra-saMjQayA /
   dharmarājasya putratvamupeto 'smi mahātmanaḥ //	DarmarAjasya putra-tvam-upetaH asmi mahAtmanaH //
   aiśvaryād yadyahaṃ bhraṣṭaḥ śokaduḥkhanibandhanād /	ESvaryAt yadi-aham BrazwaH Soka-duHKa-nibanDanAt /
   dharmaiśvaryamavāptaṃ me duḥkhaśokavināśanaṃ //	Darma-ESvaryam-avAptam me duHKa-Soka-vinASanam //
   yāvat kunālena śrutaṃ nāyaṃ tātasyāśokasya ādeśaḥ / api tu tiṣyarakṣitāyāṃ	yAvat kunAlena Srutam na-ayam tAtasya-aSokasya AdeSaH / api tu tizya-rakzitAyAm
   ayaṃ prayoga iti / śrutvā ca kunālaḥ kathayati /	ayam prayogaH iti / SrutvA ca kunAlaH kaTayati /
   ciraṃ sukhaṃ tiṣṭhatu tiṣyanāmnī āyurbalaṃ pālayatāṃ ca devī /	ciram suKam tizWatu tizya-nAmnI AyuH-balam pAlayatAm ca devI /
   saṃpreṣitoyaṃ hi yayā prayogo yasyānubhāvena kṛtaḥ svakārthaḥ //	saMprezi-toyam hi yayA prayogaH yasya-anuBAvena kRtaH svaka-arTaH //
   tataḥ kāñcanamālayā śrutaṃ kunālasya nayanāni utpāṭitānīti / śrutvā ca	tatas kAQcana-mAlayA Srutam kunAlasya nayanAni utpAwitAni-iti / SrutvA ca
   bhartṛtayā kunālasamīpamupasaṃkramya parṣadamavagāhya	BartRtayA kunAla-samIpam-upasaMkramya parzadam-avagAhya
   kunālamuddhṛtanayanaṃ rudhirāvasiktagātraṃ dṛṣṭvā mūrchitā bhūmau patitā /	kunAlam-udDRta-nayanam ruDira-avasikta-gAtram dRzwvA mUrCitA BUmO patitA /
   yāvaj jalasekaṃ kṛtvā utthāpitā /	yAvat jalasekam kRtvA utTApitAH /
   tataḥ kathaṃcit saṃjñāmupalabhya sasvaraṃ prarudatī uvāca /	tatas kaTaMcid saMjQAm-upalaBya sa-svaram prarudatI uvAca /
   netrāṇi kāntāni manoharāṇi ye māṃ nirīkṣyā janayanti tuṣṭiṃ /	netrANi kAntAni manoharANi ye mAm nirIkzyAH janayanti tuzwim /
   te me vipannā hyanirīkṣaṇīyā styajanti me prāṇasamāḥ śarīraṃ //	te me vipannAH hi-anirIkzaNIyA styajanti me prANa-samAH SarIram //
   tataḥ kunālo bhāryāmanunayannuvāca / alaṃ ruditena / nārhasi	tatas kunAlaH BAryAm-anunayan=-uvAca / alam ruditena / na-arhasi
   śokamāśrayituṃ / svayaṃkṛtānāmiha karmaṇāṃ phalamupasthitaṃ / āha ca /	Sokam-ASrayitum / svayaMkRtAnAm-iha karmaNAm Palam-upasTitam / Aha ca /
   karmātmakaṃ lokamidaṃ viditvā duḥkhātmakaṃ cāpi janaṃ hi matvā /	karma-Atmakam lokam-idam viditvA duHKa-Atmakam ca-api janam hi matvA /
   matvā ca lokaṃ priyaviprayogaṃ kartuṃ priye nārhasi vāṣpamokṣaṃ //	matvA ca lokam priya-viprayogam kartum priye na-arhasi vA-azpa-mokzam //
   (A-av 117)	(a-a-au 117)
   tataḥ kunālo bhāryayā saha takṣaśilāyā niṣkāsitaḥ / sa garbhādhānamupādāya	tatas kunAlaH BAryayA saha takzaSilAyAH nizkAsitaH / sa garBADAnam-upAdAya
   paramasukumāraśariraḥ / na kiñcid utsahate karma kartuṃ / kevalaṃ vīṇāṃ	parama-sukumAra-SariraH / na kiQcid utsahate karma kartum / kevalam vINAm
   vādayati / gāyati ca / tato bhaikṣyaṃ labhate kunālaḥ patnyā saha bhuṃkte	vAdayati / gAyati ca / tatas BEkzyam laBate kunAlaH patnyA saha BuMkte
   tataḥ kāñcanamālā yena mārgeṇa pātaliputrādānītā tameva mārgaṃmanusarantī	tatas kAQcana-mAlA yena mArgeNa pAtaliputrAt-AnItA tam-eva mArgaMmanusarantI
   bhartudvitīyā pāṭaliputraṃ gatā / yāvadaśokasya gṛhamārabdhā praveṣṭuṃ /	Bartu-dvitIyA pAwaliputram gatAH / yAvat-aSokasya gRham-ArabDA pravezwum /
   dvārapālena ca nivāritau / yāvad rājño 'śokasya yānaśālāyāmavasthitau /	dvArapAlena ca nivAritO / yAvat rAjQaH aSokasya yAna-SAlAyAm-avasTitO /
   tataḥ kunālo rātryāḥ pratyuṣamaye vīṇāṃ vādayitumārabdhaḥ / yathā	tatas kunAlaH rAtryAH pratyuza-maye vINAm vAdayitum-ArabDaH / yaTA
   nayanānyutpāṭitāni satyadarśanaṃ ca kṛtaṃ tadanurūpaṃ hitaṃ ca gītaṃ	nayanAni-utpAwitAni satya-darSanam ca kRtam tad-anurUpam hitam ca gItam
   prārabdhaṃ / āha ca /	prArabDam / Aha ca /
   cakṣurādīni yaḥ prājñaḥ paśyatyāyatanāni ca /	cakzuH-AdIni yaH prAjQaH paSyati-AyatanAni ca /
   jñānadīpena śuddhena sa saṃsārād vimucyate //	jQAna-dIpena SudDena sa saMsArAt vimucyate //
   yadi tava bhavaduḥkhapīḍitā bhavati ca doṣaviniścitā matiḥ /	yadi tava Bava-duHKa-pIxitA Bavati ca doza-viniScitA matiH /
   sukhamiha ca yadīcchasi dhruvaṃ tvaritamihāyatanāni saṃtyaja //	suKam-iha ca yadi-icCasi Druvam tvaritam-iha-AyatanAni saMtyaja //
   (A-av 118)	(a-a-au 118)
   tasya gītaśabdo rājñāśokena śrutaḥ / śrutvā ca prītamanā uvāca /	tasya gIta-SabdaH rAjQA-aSokena SrutaH / SrutvA ca prIta-manAH uvAca /
