   uttarabhāgaḥ	uttara BAgaH
   ātmā rakṣyo dhanairdārairathavāpi nijātmajaiḥ /	AtmA rakzyaH DanEH dArEH aTavA api nija AtmajEH /
   apatyaṃ dharmakāmārthaṃ śreyaskāmasya bhūpateḥ // NarP_2,33.59 //	apatyam Darma kAma arTam SreyaskAmasya BUpateH // NA rP_2,33.59 //
   tvadarthe maraṇaṃ mahyamakṣayya gatidāyakam /	tvad arTe maraNam mahyam akzayya gati dAyakam /
   tavāpi nirmanā lokāḥ svavākyaparipālanāt // NarP_2,33.60 //	tava api nirmanAH lokAH sva vAkya paripAlanAt // NA rP_2,33.60 //
   parityajya paraṃ duḥkhaṃ putravyāpādanodbhavam /	parityajya param duHKam putra vyApAdana udBavam /
   dehatyāge mamāraṃbho naradehe bhaviṣyati // NarP_2,33.61 //	dehatyAge mama AraMBaH nara dehe Bavizyati // NA rP_2,33.61 //
   sarvāmayavinirmukte śatakratusame vibho /	sarva Amaya vinirmukte Satakratu same viBo /
   piturarthe hatā ye tu māturarthe hatāstathā // NarP_2,33.62 //	pituH arTe hatAH ye tu mAtuH arTe hatAH taTA // NA rP_2,33.62 //
   gavārthe brāhyaṇārthe vā pramadārthe mahīpate /	gavArTe brAhyaNa arTe vA pramadA arTe mahIpate /
   bhūmyarthe pārthivārthe vā devatārthe tathaiva ca // NarP_2,33.63 //	BUmi arTe pArTiva arTe vA devatA arTe taTA eva ca // NA rP_2,33.63 //
   bālārthe vikalārthe ca yānti lokānsubhāsvarān /	bAla arTe vikala arTe ca yAnti lokAn su BAsvarAn /
   tadalaṃ paritāpena jahi māṃ tvaṃ varāsinā // NarP_2,33.64 //	tat alam paritApena jahi mAm tvam vara asinA // NA rP_2,33.64 //
   satyaṃ pālaya rājendra mā bhuṅkṣva harivāsare /	satyam pAlaya rAja indra mA BuFkzva hari vAsare /
   dharmārthe tanayaṃ hanyādbhāryāṃ vāpi mahīpate // NarP_2,33.65 //	Darma arTe tanayam hanyAt BAryAm vA api mahIpate // NA rP_2,33.65 //
   śrūyate vedavākyeṣu putraṃ hanyānmakhasthitaḥ /	SrUyate veda vAkyezu putram hanyAt maKa sTitaH /
   aśvameghe makhavare na doṣo jāyate nṛpa // NarP_2,33.66 //	aSvameGe maKa vare na dozaH jAyate nRpa // NA rP_2,33.66 //
   yadbravīti mahīpāla mohinī jananī mama /	yat bravIti mahIpAla mohinI jananI mama /
   tattvayā hyavicāreṇa karttavyaṃ vacanaṃ dhruvam // NarP_2,33.67 //	tattvayA hi avicAreNa karttavyam vacanam Druvam // NA rP_2,33.67 //
   prasīda rājendra kuruṣva vākyaṃ mayeritaṃ cātmavadhāya satyam /	prasIda rAja indra kuruzva vAkyam mayA Iritam ca Atma vaDAya satyam /
   vimocayethā nṛpate sughorādvākyānṛtānmohinihastayogāt // NarP_2,33.68 //	vimocayeTAH nRpate su GorAt vAkya anRtAt mohi nihasta yogAt // NA rP_2,33.68 //
   vadhena te bhūmipate sutasya yaśaḥ prakāśaṃ gamayiṣyate ca /	vaDena te BUmipate sutasya yaSaH prakASam gamayizyate ca /
   yaśaḥ pkāśādbhavitā hi kīrtistathākṣayā tāta na saṃśayo 'tra //	yaSaH pkASAt BavitA hi kIrtiH taTA akzayA tAta na saMSayaH atra //
   NarP_2,33.69 //	NA rP_2,33.69 //
   iti śrībṛhannāradīyapurāṇottarabhāge mohinīcarite dharmāṅgadoktirnāma	iti SrI bRhat nAradIyapurANa uttara BAge mohinI carite Darma aFgadA uktiH nAma
   trayastriṃśo 'dhyāyaḥ	trayastriMSaH aDyAyaH
   vasiṣṭha uvāca	vasizWaH uvAca
   tatputravacanaṃ śrutvā rājā rukmāṅgadastadā /	tad putra vacanam SrutvA rAjA rukma aFgadaH tadA /
   saṃdhyāvalīmukhaṃ prekṣya prahṛṣṭakamalopamam // NarP_2,34.1 //	saMDyA AvalI muKam prekzya prahRzwa kamala upamam // NA rP_2,34.1 //
   mohinīvacanaṃ śṛṇvanbhuṅkṣva mā hana dehajam /	mohinI vacanam SRNvan BuFkzva mA hana deha jam /
   mā bhuṅkṣva tanayaṃ hiṃsa cetyāgrahasamanvitam // NarP_2,34.2 //	mA BuFkzva tanayam hiMsa ca iti Agraha samanvitam // NA rP_2,34.2 //
   etasminneva kāle tu bhagavānkamalekṣaṇaḥ /	etasmin= eva kAle tu BagavAn kamala IkzaNaH /
   antarddhānagatastasthau vyomni dhairyāvalokakaḥ // NarP_2,34.3 //	antardDAna gataH tasTO vyomni DErya avalokakaH // NA rP_2,34.3 //
   trayāṇāṃ nṛpaśārdūla meghaśyāmo nirañjanaḥ /	trayANAm nRpa SArdUla meGa SyAmaH niraQjanaH /
   dharmāṅgadasya vīrasya tasya rukmāṅgadasya tu // NarP_2,34.4 //	DarmAFgadasya vIrasya tasya rukma aFgadasya tu // NA rP_2,34.4 //
   saṃdhyāvalyā sametasya vīśasaṃstho janārdanaḥ /	saMDyA valyA sametasya vISa saMsTaH janArdanaH /
   vacane bhuṅkṣva bhuṅkṣveti mohinyā vyāhṛte tadā // NarP_2,34.5 //	vacane BuFkzva BuFkzva iti mohinyAH vyAhRte tadA // NA rP_2,34.5 //
   jagrāha vimalaṃ khaṅgaṃ hantuṃ dharmāṅgadaṃ sutam /	jagrAha vimalam KaFgam hantum Darma aFgadam sutam /
   supraharṣeṇa manasā praṇamya garuḍadhvajam /	su praharzeNa manasA praNamya garuxaDvajam /
   taṃ dṛṣṭvā khaṅgahastaṃ tu pitaraṃ dharmmaṃbhūṣaṇaḥ // NarP_2,34.6 //	tam dRzwvA KaFga hastam tu pitaram DarmmaMBUzaNaH // NA rP_2,34.6 //
   praṇamya mātāpitarau devaṃ cakradharaṃ tathā /	praNamya mAtA pitarO devam cakraDaram taTA /
   vadanaṃ prekṣya cādīnaṃ jananyā nṛpapuṅgavaḥ // NarP_2,34.7 //	vadanam prekzya ca AdInam jananyAH nRpa puFgavaH // NA rP_2,34.7 //
   vṛṣāṅgadena tu tadā svagrīvorvītale kṛtā /	vRza aFgadena tu tadA svagrIva urvI tale kRtA /
   kaṃbugrīvāṃ samānāṃ tu suvarṇā sukomalām // NarP_2,34.8 //	kaMbu grIvAm samAnAm tu suvarNA su komalAm // NA rP_2,34.8 //
   bahurekhamatha sthūlāṃ khaṅgamārge jyadarśayat /	bahu reKam aTa sTUlAm KaFga mArge jyadarSayat /
   pitṛbhaktyā yutenaiva mātṛbhaktyādhikena vai // NarP_2,34.9 //	pitR BaktyA yutena eva mAtR BaktyA aDikena vE // NA rP_2,34.9 //
   grīvāpradāne tanayasya bhūpa harṣākule cārusudhāṃśuvaktre /	grIvA pradAne tanayasya BUpa harza Akule cAru suDAMSu vaktre /
   gṛhītakhaṅge jagadīśanāthe cacāla pṛthvīṃ sanagā samagrā // NarP_2,34.10	gRhIta KaFge jagat ISa nATe cacAla pRTvIm sa nagA samagrAH // NA rP_2,34.10
   siṃdhuḥ pravṛddhaśca babhūva sadyo nimajja nārthaṃ bhuvanatrayasya /	siMDuH pravRdDaH ca baBUva sadyas nimajja na arTam Buvanatrayasya /
   nipeturulkāḥ śataśo dharāyāṃ nirghātayuktāḥ sataḍitkhamadhyāt //	nipetuH ulkAH SataSas DarAyAm nirGAta yuktAH sa taxit Ka maDyAt //
   NarP_2,34.11 //	NA rP_2,34.11 //
   vivarṇarūpā ca babhūva mohinī na devakāryaṃ hi kṛtaṃ mayeti /	vivarNa rUpA ca baBUva mohinI na deva kAryam hi kRtam mayA iti /
   nirarthakaṃ janma mamādhunābhūtkṛtaṃ tu daivena dajagadvidhāyinā //	nirarTakam janma mama aDunA aBUt kRtam tu dEvena dajagat viDAyinA //
   NarP_2,34.12 //	NA rP_2,34.12 //
   vimohanaṃ rūpamidaṃ viḍaṃbanaṃ yadbhūmipālena na bhuktamannam /	vimohanam rUpam idam vixaMbanam yat BUmipAlena na Buktam annam /
   harerdine pāpabhayāpahe tu tṛṇaiḥ samāhaṃ bhavitā triviṣṭape //	hareH dine pApa Baya apahe tu tRNEH samAham BavitA trivizwape //
   NarP_2,34.13 //	NA rP_2,34.13 //
   satvādhiko yāsyati mokṣamārgaṃ gantāsmi pāpa narakaṃ sudāruṇam //	satva aDikaH yAsyati mokza mArgam gantAsmi pApa narakam su dAruNam //
   NarP_2,34.14 //	NA rP_2,34.14 //
   samudyate tadā khaṅge nṛpeṇa nṛpapuṅgava /	samudyate tadA KaFge nRpeNa nRpa puFgavaH /
   mohinī mohasaṃyuktā papāta dharaṇītale // NarP_2,34.15 //	mohinI moha saMyuktA papAta DaraNI tale // NA rP_2,34.15 //
   rājāpi tena khaṅgena bhrājamānaḥ samudyataḥ /	rAjA api tena KaFgena BrAjamAnaH samudyataH /
   grīvāyāśchedanārthāya vṛṣāṅgadasutasya tu // NarP_2,34.16 //	grIvAyAH Cedana arTAya vRza aFgada sutasya tu // NA rP_2,34.16 //
   sakuṇḍalaṃ cāru śaśiprakāśaṃ bhrājiṣṇu vaktraṃ tanayasya bhūpaḥ /	sa kuNxalam cAru SaSi prakASam BrAjizNu vaktram tanayasya BUpaH /
   pracicchide yāvadatīva harṣāddhairyānvito rukmavibhūṣaṇo 'sau //	pracicCide yAvat atIva harzAt DErya anvitaH rukma viBUzaNaH asO //
   NarP_2,34.17 //	NA rP_2,34.17 //
   tāvadgṛhītaḥ svakareṇa bhūpaḥ kṣīrābdhikanyāpatinā mahīpaḥ /	tAvat gRhItaH sva kareNa BUpaH kzIrAbDi kanyA patinA mahIpaH /
   tuṣṭo 'smi tuṣṭo 'smi na saṃśayo 'tra gacchasva lokaṃ mama lokanātha //	tuzwaH asmi tuzwaH asmi na saMSayaH atra gacCasva lokam mama lokanATa //
   NarP_2,34.18 //	NA rP_2,34.18 //
   priyānvitaścātmajasaṃyutaśca kīrtiṃ samādhāya mahītale tu /	priya anvitaH ca Atmaja saMyutaH ca kIrtim samADAya mahI tale tu /
   trailokyapūjyāṃ vimalāṃ ca śuklāṃ kṛtvā padaṃ mūrdhni yamasya bhūpa //	trElokya pUjyAm vimalAm ca SuklAm kRtvA padam mUrDni yamasya BUpaH //
   NarP_2,34.19 //	NA rP_2,34.19 //
   prayāhi vāsaṃ mama dehasaṃjñaṃ sa cakriṇo bhūmipatiḥ kareṇa /	prayAhi vAsam mama deha saMjQam sa cakriNaH BUmipatiH kareNa /
   saṃspṛṣṭamātro virajā babhūva priyāsametastanayena yuktaḥ // NarP_2,34.20	saMspRzwa mAtraH virajAH baBUva priyA sametaH tanayena yuktaH // NA rP_2,34.20
   upetya vegena jagāma dehaṃ devasya divyaṃ sa nṛpo mahātmā /	upetya vegena jagAma deham devasya divyam sa nRpaH mahAtmA /
   vihāya lakṣmīmavanīprasūtāṃ vihāya dāsīḥsudhanaṃ sa kośam // NarP_2,34.21	vihAya lakzmIm avanI prasUtAm vihAya dAsIH su Danam sa koSam // NA rP_2,34.21
   vihāya nāgāṃsturagānrathāṃśca svadāravargaṃ svajanādikāṃśca /	vihAya nAgAn= turagAn raTAn= ca sva dAra vargam sva jana AdikAn= ca /
   jagāma dehaṃ madhusūdanasya tatoṃ'barātpuṣpacayaḥ papāta // NarP_2,34.22	jagAma deham maDusUdanasya tatoM abarAt puzpa cayaH papAta // NA rP_2,34.22
   saṃhṛṣṭasiddhaiḥ suralokapālaiḥ saṃtāḍitā dundubhayo vineduḥ /	saMhRzwa sidDEH sura lokapAlEH saMtAxitAH dunduBayaH vineduH /
   rājan jagurgītamatīva ramyaṃ devāṅganāḥ saṃnanṛturmudānvitāḥ //	rAjan jaguH gItam atIva ramyam deva aFganAH saMnanRtuH mudA anvitAH //
   NarP_2,34.23 //	NA rP_2,34.23 //
   gandharvakanyā nṛpakarmatuṣṭāstadadbhutaṃ prekṣya dineśasūnuḥ /	ganDarva kanyAH nRpa karma tuzwAH tat adButam prekzya dineSa sUnuH /
   harestanau bhūmipatiṃ praviṣṭaṃ sadāraputraṃ svalipiṃ pramārjya //	hareH tanO BUmipatim pravizwam sa dAra putram sva lipim pramArjya //
   NarP_2,34.24 //	NA rP_2,34.24 //
   lokāṃśca sarvānnṛpadiṣṭamārge kṛtvā kṛtajñānharilokamārgān /	lokAn= ca sarvAn nRpadizwa mArge kRtvA kRtajQAn hari loka mArgAn /
   bhītaḥ punaḥ prāpya pitāmahāntikaṃ provāca devaṃ caturānanaṃ rudan //	BItaH punar prApya pitAmaha antikam provAca devam caturAnanam rudan //
   NarP_2,34.25 //	NA rP_2,34.25 //
   nāhaṃ niyogī bhavitā hi deva ājñāvihīnaḥ suralokanātha /	na aham niyogI BavitA hi devaH AjQA vihInaH sura loka nATa /
   vidhehi cānyatprakaromi tāta nideśanaṃ māstu madīya daṇḍam // NarP_2,34.26	viDehi ca anyat prakaromi tAta nideSanam mA astu madIya daNxam // NA rP_2,34.26
   iti śrībṛhannāradīyapurāṇottarabhāge mohinīcarite sutavadhodyatasya	iti SrI bRhat nAradIyapurANa uttara BAge mohinI carite suta vaDa udyatasya
   rukmāṅgadasya bhagavaddarśanaṃ nāma catustriṃśattamo 'dhyāyaḥ	rukmAFgadasya Bagavat darSanam nAma catustriMSattamaH aDyAyaH
   yama uvāca	yamaH uvAca
   vibudheśa jagannātha carācaraguro prabho /	vibuDa ISa jagannATa carAcara guro praBo /
   mohinī niṣphalā jātā vandhyā strī janane yathā // NarP_2,35.1 //	mohinI nizPalA jAtA vanDyA strI janane yaTA // NA rP_2,35.1 //
   rukmāṅgadapraṇītena mārgeṇa kuśalāñchana /	rukma aFgada praNItena mArgeNa kuSa lAQCanaH /
   lokaḥ prayāti vaikuṃṇṭhaṃ na māṃ kaścitprapadyate // NarP_2,35.2 //	lokaH prayAti vEkuMNWam na mAm kaScid prapadyate // NA rP_2,35.2 //
   gate 'pi bhūminātheśe dehaṃ devasya cakriṇaḥ /	gate api BUminATa ISe deham devasya cakriNaH /
   tathāpi sarvabhūtānāṃ na buddhiḥ parivartate // NarP_2,35.3 //	taTA api sarva BUtAnAm na budDiH parivartate // NA rP_2,35.3 //
   upoṣya vāsaraṃ viṣṇorākumārāttu mānavāḥ /	upozya vAsaram vizNoH AkumArAt tu mAnavAH /
   prayānti paramaṃ lokaṃ luptapāpāḥ pitāmaha // NarP_2,35.4 //	prayAnti paramam lokam lupta pApAH pitAmaha // NA rP_2,35.4 //
   putrī te vrīḍitā devī mohinī mohamāgatā /	putrI te vrIxitA devI mohinI moham AgatAH /
   nāyāti tava sāmīpyaṃ na bhuṅkte lokagarhitā // NarP_2,35.5 //	na AyAti tava sAmIpyam na BuFkte loka garhitAH // NA rP_2,35.5 //
   nirvyāpārastvahaṃ jātaḥ kiṃ karomi praśādhi mām /	nirvyApAraH tu aham jAtaH kim karomi praSADi mAm /
   raviputravacaḥ śrutvā provāca kamalāsanaḥ // NarP_2,35.6 //	ravi putra vacaH SrutvA provAca kamalAsanaH // NA rP_2,35.6 //
   gacchāmaḥ sahitāḥ sarve mohinīṃ pratibodhitum /	gacCAmaH sahitAH sarve mohinIm pratiboDitum /
   mohinyāṃ pratibuddhāyāṃ kariṣyāmo divākare // NarP_2,35.7 //	mohinyAm pratibudDAyAm karizyAmaH divAkare // NA rP_2,35.7 //
   tava kāryaṃ na saṃdehaḥ saṃbhramastyajyatāmayam /	tava kAryam na saMdehaH saMBramaH tyajyatAm ayam /
   tato deva gaṇāḥ sarve śatakratupurogamāḥ // NarP_2,35.8 //	tatas deva gaNAH sarve Satakratu purogamAH // NA rP_2,35.8 //
   brahmaṇā sahitāḥ pṛthvīṃ vimānaiḥ sūryasaprabhaiḥ /	brahmaNA sahitAH pRTvIm vimAnEH sUrya sapraBEH /
   samāyātā mahīpāla nārīṃ tāṃ pratibodhitum // NarP_2,35.9 //	samAyAtAH mahIpAla nArIm tAm pratiboDitum // NA rP_2,35.9 //
   te vimānaiḥ samantāttu parivārya śubhānanām /	te vimAnEH samantAt tu parivArya SuBa AnanAm /
   tejohīnāṃ nirānandāṃ śuṣkatoyāṃ nadīmiva // NarP_2,35.10 //	tejaH hInAm nirAnandAm Suzka toyAm nadIm iva // NA rP_2,35.10 //
   śaśihīnāṃ niśāṃ bhūpa ṛtvigghīnāṃ kriyāmiva /	SaSi hInAm niSAm BUpaH Rtvij hInAm kriyAm iva /
   parājito yathā martyaḥ pralmānakusumaṃ yathā // NarP_2,35.11 //	parAjitaH yaTA martyaH pralmAna kusumam yaTA // NA rP_2,35.11 //
   nivṛttotsavavedīva vidrumaṃ dhavalaṃ yathā /	nivRtta utsava vedI iva vidrumam Davalam yaTA /
   gataśālistu kedāro niṣpra yathā // NarP_2,35.12 //	gataSAliH tu kedAraH nizpra yaTA // NA rP_2,35.12 //
   maṇḍa vā gatodvā yathā saraḥ /	maNxa vA gata udvA yaTA saraH /
   manthānaṃ navanīte vā uddhṛte dharaṇīpate // NarP_2,35.13 //	manTAnam navanIte vE udDRte DaraNI pate // NA rP_2,35.13 //
   asaṃskṛtā yathā vāṇī marditā ca yathā camūm /	asaMskRtA yaTA vANI marditA ca yaTA camUm /
   hata nāthāṃ tu yuvatīṃ dhānyahīnāṃ prajāṃ yathā // NarP_2,35.14 //	hata nATAm tu yuvatIm DAnya hInAm prajAm yaTA // NA rP_2,35.14 //
   mantrahīnavidhiṃ yuddhaṃ dharmaṃ ca dayayā vinā /	mantra hIna viDim yudDam Darmam ca dayayA vinA /
   pṛthvīṃ bhūpālahīnā vā mantrahī yathā nṛpa // NarP_2,35.15 //	pRTvIm BUpAla hInA vA mantra hI yaTA nRpa // NA rP_2,35.15 //
   dhanadhānyavihīnaṃ vā gṛhaṃ nṛpavarottama /	Dana DAnya vihInam vA gRham nRpa vara uttamaH /
   jalahīnaṃ yathā kuṃbhaṃ paṅkasthaṃ gopatiṃ yathā // NarP_2,35.16 //	jala hInam yaTA kuMBam paFka sTam gopatim yaTA // NA rP_2,35.16 //
   gṛhasthaṃ bhāryayā hīnaṃ rāṣṭrabhraṣṭaṃ ca bhūpatim /	gRhasTam BAryayA hInam rAzwra Brazwam ca BUpatim /
   bhagnakriyaṃ yathā vaidyaṃ bhagnaśākhaṃ yathā drumam // NarP_2,35.17 //	Bagna kriyam yaTA vEdyam Bagna SAKam yaTA drumam // NA rP_2,35.17 //
   tejohīnaṃ yathāgāraṃ nirjalaṃ vā ghanaṃ yathā /	tejaH hInam yaTA AgAram nirjalam vA Ganam yaTA /
   vidhūma iva saptārcirviraśmiriva bhāskaraḥ // NarP_2,35.18 //	viDUmaH iva saptArciH viraSmiH iva BAskaraH // NA rP_2,35.18 //
   matibhraṣṭo yathā martyaḥ parvasaṃgī yathā naraḥ /	mati BrazwaH yaTA martyaH parva saMgI yaTA naraH /
   atṛptaḥ kāntayā kāntaḥ pannagaśca viṣojjhitaḥ // NarP_2,35.19 //	atRptaH kAntayA kAntaH pannagaH ca viza ujJitaH // NA rP_2,35.19 //
   lūnapakṣo yathā pakṣī vṛttihīno yathā dvijaḥ /	lUna pakzaH yaTA pakzI vRtti hInaH yaTA dvijaH /
   śirobhraṣṭā yathā mālā parvato dhātuvarjitaḥ // NarP_2,35.20 //	SiraH BrazwA yaTA mAlA parvataH DAtu varjitaH // NA rP_2,35.20 //
   prabhraṣṭalipi śāstraṃ vā ṛgyajurvisvaraṃ yathā /	praBrazwa lipi SAstram vA Rc yajuH visvaram yaTA /
   svarahīnaṃ yathā sāma padmahīnaṃ yathā saraḥ // NarP_2,35.21 //	svara hInam yaTA sAma padma hInam yaTA saraH // NA rP_2,35.21 //
   yathā mārgaṃ tṛṇai ruddhaṃ padmaṃ patravivarjitam /	yaTA mArgam tRNEH rudDam padmam patra vivarjitam /
   jñānaṃ mamatvasaṃyuktaṃ pumāṃsaṃ prakṛtiṃ vinā // NarP_2,35.22 //	jQAnam mamatva saMyuktam pumAMsam prakRtim vinA // NA rP_2,35.22 //
   sāṃkhyāni tattvahīnāni dharmaṃ daṃbhānvitaṃ yathā /	sAMKyAni tattva hInAni Darmam daMBa anvitam yaTA /
   tejohīnāṃ tathāpaśyan mohinīṃ te divaukasaḥ // NarP_2,35.23 //	tejaH hInAm taTA apaSyat mohinIm te divOkasaH // NA rP_2,35.23 //
   dhyāyamānāṃ nirutsāhāṃ dṛśyamānāṃ janaiḥ prabho /	DyAyamAnAm nirutsAhAm dRSyamAnAm janEH praBo /
   ākrośavacanaiḥ krūraiḥ putrahatyāsamanvitām // NarP_2,35.24 //	AkroSa vacanEH krUrEH putra hatyA samanvitAm // NA rP_2,35.24 //
   duḥśīlāṃ dharmasaṃtyaktāṃ tadvākyaparimoṣitām /	duHSIlAm Darma saMtyaktAm tad vAkya parimozitAm /
   svavākyapālanāṃ caṇḍāmucurdevāḥ samāgatāḥ // NarP_2,35.25 //	sva vAkya pAlanAm caNxAmucuH devAH samAgatAH // NA rP_2,35.25 //
   māṃ śokaṃ kuru vāmoru pauruṣaṃ hi tvayā kṛtam /	mAm Sokam kuru vAma Uru pOruzam hi tvayA kRtam /
   nahi mādhavabhaktānāṃ vidyate mānakhaṇḍanam // NarP_2,35.26 //	na hi mADava BaktAnAm vidyate mAna KaNxanam // NA rP_2,35.26 //
   sā tvaṃ hariṇaśāvākṣi devakāryārthamāgatā /	sA tvam hariNa SAva akzi deva kArya arTam AgatA /
   tanna siddhaṃ varārohe sa prayāto 'dhunābhavam // NarP_2,35.27 //	tat na sidDam varArohe sa prayAtaH aDunA aBavam // NA rP_2,35.27 //
   vighnavidhvaṃsinīṃ pūrvaṃ kṛtā rukmāṅgadena hi /	viGna viDvaMsinIm pUrvam kRtA rukma aFgadena hi /
   ekādaśī mahāpuṇyā mohinī mādhave site // NarP_2,35.28 //	ekAdaSI mahA puNyA mohinI mADave site // NA rP_2,35.28 //
   saṃvatsaraṃ viśālākṣi kṛcchrapādaprapūjitā /	saMvatsaram viSAla akzi kRcCra pAda prapUjitA /
   tasyaivādhyuṣṭiratulā yatsatyācaccalito na hi // NarP_2,35.29 //	tasya eva aDyuzwiH atulA yat satyAcat calitaH na hi // NA rP_2,35.29 //
   vighnarājñī tu vai nārī lokeṣu parigīyate /	viGnarAjQI tu vE nArI lokezu parigIyate /
   karmaṇā manasā vācā putravyāpādane matim // NarP_2,35.30 //	karmaNA manasA vAcA putra vyApAdane matim // NA rP_2,35.30 //
   kṛtvā coddhṛtya khaṅgaṃ ca tyaktvā snehaṃ sudūrurataḥ /	kRtvA ca udDRtya KaFgam ca tyaktvA sneham su dUruH ataH /
   tādṛśaṃ nikaṣaṃ prokṣya bhagavānmadhusūdanaḥ // NarP_2,35.31 //	tAdRSam nikazam prokzya BagavAn maDusUdanaH // NA rP_2,35.31 //
   haniṣyati priyaṃ putraṃ na bhuṅkte harivāsare /	hanizyati priyam putram na BuFkte hari vAsare /
   putrasya ca priyāyāśca bhāvaṃ prekṣya nṛpasya ca // NarP_2,35.32 //	putrasya ca priyAyAH ca BAvam prekzya nRpasya ca // NA rP_2,35.32 //
   viṣṇunā paretuṣṭena nītāḥ svabhavane trayaḥ /	vizNunA paretuzwena nItAH sva Bavane trayaH /
   sadehāḥ kṣīṇakarmāṇo hy aṅgāro 'gnirivāhitaḥ // NarP_2,35.33 //	sa dehAH kzINa karmANaH hi aFgAraH agniH iva ahitaH // NA rP_2,35.33 //
   phalaṃ karmaṇi cārabdhe yadi devī na siddhyati /	Palam karmaNi ca ArabDe yadi devI na sidDyati /
   sarvayatnena subhage doṣaḥ ko 'tra tavādhunā // NarP_2,35.34 //	sarva yatnena suBage dozaH kaH atra tava aDunA // NA rP_2,35.34 //
   etasmād varadāḥ sarve saṃprāptā vibudhāḥ śubhe /	etasmAt vara dAH sarve saMprAptAH vibuDAH SuBe /
   siddhau vāpyatha vāsiddhau karmakṛtsyāddṛthā na hi // NarP_2,35.35 //	sidDO vA api aTa vA asidDO karma kRt syAt dRTAH na hi // NA rP_2,35.35 //
   bhartavyo bhṛtyavargaśca bhūbhujā dharmamicchatā /	BartavyaH BRtya vargaH ca BUBujA Darmam icCatA /
   sadbhāve ghaṭamānasya yadi karma na siddhyati // NarP_2,35.36 //	sadBAve GawamAnasya yadi karma na sidDyati // NA rP_2,35.36 //
   deyaṃ vetanamātraṃ tu na ca tuṣṭiphalaṃ bhavet /	deyam vetana mAtram tu na ca tuzwi Palam Bavet /
   yo na tasmai prayaccheta jīvanaṃ jīvanāya vai // NarP_2,35.37 //	yaH na tasmE prayacCeta jIvanam jIvanAya vE // NA rP_2,35.37 //
   govadhaṃ samavāpnoti sa naro nātra saṃśayaḥ /	go vaDam samavApnoti sa naraH na atra saMSayaH /
   tasmād deyaṃ varārohe abhīṣṭaṃ varasundari // NarP_2,35.38 //	tasmAt deyam varArohe aBIzwam varasundari // NA rP_2,35.38 //
   sadbhāvena kṛte samyagvighnaṃ kāryaṃ divaukasām /	sadBAvena kRte samyak viGnam kAryam divOkasAm /
   kiṃ na kurvanti vibudhās tvayā saha varānane // NarP_2,35.39 //	kim na kurvanti vibuDAH tvayA saha varAnane // NA rP_2,35.39 //
   dvādaśyās tejasā bhagnā yām āhur vighranāśinīm /	dvAdaSyAH tejasA BagnAH yAm AhuH viGra nASinIm /
   vibudhair evam uktā tu mohinī lokamohinī // NarP_2,35.40 //	vibuDEH evam uktA tu mohinI loka mohinI // NA rP_2,35.40 //
   uvāca sā nirānandā patihīnātiduḥkhitā /	uvAca sA nirAnandA pati hIna ati duHKitAH /
   dhigidaṃ jīvitaṃ mahyaṃ yena kāryaṃ na sādhitam // NarP_2,35.41 //	Dik idam jIvitam mahyam yena kAryam na sADitam // NA rP_2,35.41 //
   na kṛto janasaṃbādho yamamārgo 'marādhipāḥ /	na kRtaH jana saMbADaH yama mArgaH amara aDipAH /
   na tu luptaṃ haridinaṃ na bhuktaṃ harivāsare // NarP_2,35.42 //	na tu luptam hari dinam na Buktam hari vAsare // NA rP_2,35.42 //
   bhūbhujā tena vīreṇa kṛtaḥ putravadho mudā /	BUBujA tena vIreNa kRtaH putra vaDaH mudA /
   gato mūrdhni padaṃ datvā mama rukmāṅgado harim // NarP_2,35.43 //	gataH mUrDni padam datvA mama rukma aFgadaH harim // NA rP_2,35.43 //
   aprameyaguṇaṃ viṣṇuṃ nirmalaṃ nirmalāśrayam /	aprameya guNam vizNum nirmalam nirmala ASrayam /
   haṃsaṃ śucipadaṃ vyoma praṇavaṃ bījamavyayam // NarP_2,35.44 //	haMsam Suci padam vyoma praNavam bIjam avyayam // NA rP_2,35.44 //
   nirākāraṃ nirābhāsaṃ niṣprapañcaṃ nirañjanam /	nirAkAram nirABAsam nizprapaQcam niraQjanam /
   śūnyaṃ viyatsvarūpaṃ ca dhyeyadhyānavivarjitam // NarP_2,35.45 //	SUnyam viyat sva rUpam ca Dyeya DyAna vivarjitam // NA rP_2,35.45 //
   asti nāstīti yaṃ prāhurna dūre nāpi cāntike /	asti na asti iti yam prAhuH na dUre na api ca antike /
   paraṃ dhāma manogrāhyaṃ puruṣākhyaṃ jaganmayam // NarP_2,35.46 //	param DAma manaH grAhyam puruza AKyam jagat mayam // NA rP_2,35.46 //
   hṛtpaṅkajasamāsīnaṃ tejorūpaṃ sanātanam /	hRd paFkaja samAsInam tejaH rUpam sanAtanam /
   tasmiṃl layam anuprāpte kiṃ nu me jīvite phalam // NarP_2,35.47 //	tasmin layam anuprApte kim nu me jIvite Palam // NA rP_2,35.47 //
   asādhite tu yaḥ kārye naro gṛhṇāti vetanam /	asADite tu yaH kArye naraH gRhNAti vetanam /
   svāminaṃ tu parityajya prayāti narakaṃ dhruvam // NarP_2,35.48 //	svAminam tu parityajya prayAti narakam Druvam // NA rP_2,35.48 //
   na sādhayanti ye kāryaṃ svāmināṃ tu divaukasaḥ /	na sADayanti ye kAryam svAminAm tu divOkasaH /
