   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   19.40cd: sarvatobhadrasaṃsiddhau sarvatobhadratāṃ vrajet	19.40cd: sarvatoBadra-saMsidDO sarvatoBadra-tAm vrajet-
   19.41ab: jarāmaraṇanairguṇyanirmukto yogacintakaḥ	19.41ab: jarA-maraNa-nErguNya-nirmuktaH yoga-cintakaH
   19.41cd: vyāptāv api prasiddhāyāṃ māyādhastattvagocaraḥ	19.41cd: vyAptO api prasidDAyAm mAyA-aDaH-tattva-gocaraH
   19.42ab: vetti tatpatitulyatvaṃ tadīśatvaṃ ca gacchati	19.42ab: vetti tad-pati-tulya-tvam tad-ISa-tvam ca gacCati
   19.42cd: padasthe kiṃ tu candrābhaṃ pradīpābhaṃ na cintayet	19.42cd: pada-sTe kim tu candra-ABam pradIpa-ABam na cintayet-
   19.43ab: etad evāmṛtaughena deham āpūrayat svakam	19.43ab: etat eva-amRta-oGena deham ApUrayat svakam
   19.43cd: cintitaṃ mṛtyunāśāya bhavatīti kim adbhutam	19.43cd: cintitam mRtyu-nASAya Bavati-iti kim adButam
   19.44ab: upalakṣaṇam etat te candrabimbādyudīritam	19.44ab: upalakzaNam etat te candra-bimba-Adi-udIritam
   19.44cd: yena yenaiva rūpeṇa cintyate parameśvarī	19.44cd: yena yena-eva rUpeNa cintyate parameSvarI
   19.45ab: piṇḍasthādiprabhedeṣu tenaiveṣṭaphalapradā	19.45ab: piNxa-sTa-Adi-praBedezu tena-eva-izwa-Pala-pradA
   19.45cd: rūpam aiśvaram icchanti śivasyāśivahāriṇaḥ	19.45cd: rUpam ESvaram icCanti Sivasya-aSiva-hAriNaH
   19.46ab: yadbhrūmadhyasthitaṃ yasmāt tena tatravyavasthitam	19.46ab: yat-BrU-maDya-sTitam yasmAt tena tatra-vyavasTitam
   19.46cd: pañcakaṃ sūryasaṃkāśaṃ rūpastham abhidhīyate	19.46cd: paQcakam sUrya-saMkASam rUpa-sTam aBiDIyate
   19.47ab: tatrāpi pūrvavat siddhir īśvarāntapadodbhavā	19.47ab: tatra-api pUrvavat sidDiH ISvara-anta-pada-udBavA
   19.47cd: rūpātītaṃ tu deveśi prāg evoktam anekadhā	19.47cd: rUpa-atItam tu deveSi prAk eva-uktam anekaDA
   19.48ab: ity eṣā kulacakrasya samāsādvyāptir uttamā	19.48ab: iti ezA kula-cakrasya samAsAt-vyAptiH uttamA
   19.48cd: kathitā sarvasiddhyarthaṃ siddhayogīśvarīmate	19.48cd: kaTitA sarva-sidDi-arTam sidDayogISvarImate
   19.49ab: sarvadātha vibhedena pṛthagvarṇavibhedataḥ	19.49ab: sarvadA-aTa viBedena pRTak-varNa-viBedataH
   19.49cd: vidyādisarvasaṃsiddhyai yogināṃ yogam icchanti	19.49cd: vidyA-Adi-sarva-saMsidDyE yoginAm yogam icCanti
   19.50ab: bhūyo 'pi saṃpradāyena varṇabhedaś ca kīrtyate	19.50ab: BUyas api saMpradAyena varNa-BedaH ca kIrtyate
   19.50cd: strīrūpāṃ hṛdi saṃcintya sitavastrādibhūṣitām	19.50cd: strI-rUpAm hRdi saMcintya sita-vastra-Adi-BUzitAm
   19.51ab: nābhicakropaviṣṭām tu candrakoṭisamaprabhām	19.51ab: nABi-cakra-upavizwAm tu candra-kowi-sama-praBAm
   19.51cd: bījaṃ yat sarvaśāstrāṇāṃ tat tadā syād anāratam	19.51cd: bIjam yat sarva-SAstrANAm tat tadA syAt anAratam
   19.52ab: svakīyenaiva vaktreṇa nirgacchat pravicintayet	19.52ab: svakIyena-eva vaktreNa nirgacCat pravicintayet-
   19.52cd: tārahāralatākāraṃ visphuratkiraṇākulam	19.52cd: tAra-hAra-latA-AkAram visPurat-kiraNa-Akulam
   19.53ab: varṇais tārakasaṃkāśair ārabdham amitādyuti	19.53ab: varNEH tAraka-saMkASEH ArabDam amita-Adyuti
   19.53cd: māsārdhāc chāstrasaṃghātam udgiraty anivāritam	19.53cd: mAsa-arDAt SAstra-saMGAtam udgirati anivAritam
   19.54ab: svapne māsāt samādhisthaḥ ṣaḍbhir māsair yathecchayā	19.54ab: svapne mAsAt samADi-sTaH zaxBiH mAsEH yaTA-icCayA
   19.54cd: ucchinnāny api śāstrāṇi granthataś cārthato 'pi vā	19.54cd: ucCinnAni api SAstrANi granTataH ca-arTataH api vA
   19.55ab: jānāti vatsarād yogī yadi tanmayatāṃ gataḥ	19.55ab: jAnAti vatsarAt yogI yadi tad-maya-tAm gataH
   19.55cd: anuṣaṅgaphalaṃ caitat samāsād upavarṇitam % 19.55	19.55cd: anuzaFga-Palam ca-etat samAsAt upavarNitam % 19.55
   19.56ab: vidyeśvarasamānatvasiddhir anyāś ca siddhayaḥ	19.56ab: vidyeSvara-samAna-tva-sidDiH anyAH ca sidDayaH
   19.56cd: prativarnavibhedena yathedānīṃ tathocyate	19.56cd: prativarna-viBedena yaTA-idAnIm taTA-ucyate
   19.57ab: dhyātavyā yogibhir nityaṃ tattatphalabubhukṣubhiḥ	19.57ab: DyAtavyA yogiBiH nityam tad-tad-Pala-buBukzuBiH
   19.57cd: vinyāsakramayogena trividhenāpi vartmanā	19.57cd: vinyAsa-krama-yogena triviDena-api vartmanA
   19.58ab: yo yatrāṅge sthito varṇaḥ kulaśaktisamudbhavaḥ	19.58ab: yaH yatra-aFge sTitaH varNaH kula-Sakti-samudBavaH
   19.58cd: taṃ tatraiva samādhāya svarūpeṇaiva yogavit	19.58cd: tam tatra-eva samADAya sva-rUpeNa-eva yoga-vid-
   iti śrīmālinīvijayottare kulacakrādhikara ekonaviṃśaḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare kula-cakra-aDikaraH ekonaviMSaH samAptaH
   sarvamantranirṇayo viṃśo 'dhikāraḥ	sarva-mantra-nirNayaH viMSaH aDikAraH
   20.1ab: atha piṇḍādibhedena śāktaṃ vijñānam ucyate	20.1ab: aTa piNxa-Adi-Bedena SAktam vijQAnam ucyate
   20.1cd: yogināṃ yogasiddhyarthaṃ saṃkṣepān na tu vistarāt	20.1cd: yoginAm yoga-sidDi-arTam saMkzepAt na tu vistarAt-
   20.2ab: piṇḍaṃ śarīram ity uktaṃ tadvac chaktiśivātmanoḥ	20.2ab: piNxam SarIram iti uktam tadvat Sakti-Siva-AtmanoH
   20.2cd: brahmānando balaṃ tejo vīryam ojaś ca kīrtyate	20.2cd: brahma-AnandaH balam tejaH vIryam ojaH ca kIrtyate
   20.3ab: ajñānena niruddhaṃ tad anādyeva sadātmanaḥ	20.3ab: ajQAnena nirudDam tat anAdi-eva sat-A-AtmanaH
   20.3cd: tadāvirbhūtaye sarvam aniruddhaṃ pravartate	20.3cd: tadAvirBUtaye sarvam anirudDam pravartate
   20.4ab: tenāvirbhāvyamānaṃ tat pūrvāvasthāṃ parityajat	20.4ab: tena-AvirBAvyamAnam tat pUrva-avasTAm parityajat-
   20.4cd: yāḥ saṃvittīr avāpnoti tā adhastāt prakīrtitāḥ % 4	20.4cd: yAH saMvittIH avApnoti tAH aDastAt prakIrtitAH % 4
   20.5ab: tad eva padam icchanti sarvārthāvagatir yataḥ	20.5ab: tat eva padam icCanti sarva-arTa-avagatiH yatas-
   20.5cd: tasmāt saṃjāyate nityaṃ nityam eva śivātmanoḥ	20.5cd: tasmAt saMjAyate nityam nityam eva Siva-AtmanoH
   20.6ab: tad eva rūpam ity uktam ātmanaś ca vinaśvaram	20.6ab: tat eva rUpam iti uktam AtmanaH ca vinaSvaram
   20.6cd: rūpātītaṃ tad evāhur yatokṣāviṣayaṃ param	20.6cd: rUpa-atItam tat eva-AhuH yata-ukzA-vizayam param
   20.7ab: bhāvanāṃ tasya kurvīta namaskṛtya guruṃ budhaḥ	20.7ab: BAvanAm tasya kurvIta namaskRtya gurum buDaH
   20.7cd: tāvad ālocayed vastu yāvat padam anāmayam	20.7cd: tAvat Alocayet vastu yAvat padam anAmayam
   20.8ab: naivaṃ na caivaṃ nāpy evaṃ nāpi caivam api sphuṭam	20.8ab: na-evam na ca-evam na-api evam na-api ca-evam api sPuwam
   20.8cd: cetasā yogayuktena yāvat tad idam apy alam	20.8cd: cetasA yoga-yuktena yAvat tat idam api alam
   20.9ab: kṛtvā tanmayam ātmānaṃ sarvākṣārthavivarjitam	20.9ab: kRtvA tad-mayam AtmAnam sarva-akza-arTa-vivarjitam
   20.9cd: muhūrtaṃ tiṣṭhate yāvat tāvat kampaḥ prajāyate	20.9cd: muhUrtam tizWate yAvat tAvat kampaH prajAyate
   20.10ab: bhramaṇodbhavanidrāś ca kiṃ cid ānanda ity api	20.10ab: BramaNa-udBava-nidrAH ca kim cit AnandaH iti api
   20.10cd: tatra yatnena saṃdadhyāc cetaḥ paraphalecchayā	20.10cd: tatra yatnena saMdaDyAt cetaH para-Pala-icCayA
   20.11ab: tad etad ātmano rūpaṃ śivena prakaṭīkṛtam	20.11ab: tat etat AtmanaH rUpam Sivena prakawIkRtam
   20.11cd: yatra tu yac ca vijñeyaṃ śivātmakam api sthitam	20.11cd: yatra tu yat ca vijQeyam Siva-Atmakam api sTitam
   20.12ab: tadrūpodbalakatvena sthitim ity avadhārayet	20.12ab: tad-rUpa-udbalaka-tvena sTitim iti avaDArayet-
   20.12cd: tatsamabhyasato nityaṃ sthūlapiṇḍādy upāśrayāt	20.12cd: tat-samaByasataH nityam sTUla-piNxa-Adi upASrayAt-
   20.13ab: caturbhedatvam āyāti bhaktyābhinnam api svataḥ	20.13ab: catur-Beda-tvam AyAti BaktyA-aBinnam api svatas-
   20.13cd: sthūlapiṇḍe dvidhā proktaṃ bāhyābhyantarabhedataḥ	20.13cd: sTUla-piNxe dviDA proktam bAhya-aByantara-BedataH
   20.14ab: bhautikaṃ bāhyam icchanti dvitīyaṃ cātivāhikam	20.14ab: BOtikam bAhyam icCanti dvitIyam ca-ativAhikam
   20.14cd: tatrādyopāśrayād yogī sasaṃvittir api sphuṭān	20.14cd: tatra-adya-upASrayAt yogI sa-saMvittiH api sPuwAn
   20.15ab: bāhyārthān saṃpragṛhṇāti kiṃ cid ādhyātmikān api	20.15ab: bAhya-arTAn saMpragRhNAti kim cit ADyAtmikAn api
   20.15cd: dvitīyopāśrayāt tattvabhāvārthān saṃprapadyate	20.15cd: dvitIya-upASrayAt tattva-BAva-arTAn saMprapadyate
   20.16ab: īśate ca svadehāntaḥ pīṭhakṣetrādikaṃ sphuṭam	20.16ab: ISate ca sva-deha-antar pIWa-kzetra-Adikam sPuwam
   20.16cd: svarūpālocanād asya yat kiṃ cid upajāyate	20.16cd: sva-rUpa-AlocanAt asya yat kim cit upajAyate
   20.17ab: tatra cetaḥ sthirīkurvaṃs tad eva sakalaṃ labhet	20.17ab: tatra cetaH sTirIkurvan tat eva sakalam laBet-
   20.17cd: tena tatra na kurvīta caitad uttamavāñchayā	20.17cd: tena tatra na kurvIta ca-etat uttama-vAQCayA
   20.18ab: piṇḍadvayavinirmuktā kiṃ cit tadvāsanānvitā	20.18ab: piNxa-dvaya-vinirmuktA kim cit tad-vAsanA-anvitA
   20.18cd: vijñānakevalāntasthā padam ity abhidhīyate	20.18cd: vijQAna-kevala-antasTA padam iti aBiDIyate
   20.19ab: yata etām anuprāpto vijñānakramayogataḥ	20.19ab: yatas etAm anuprAptaH vijQAna-krama-yogataH
   20.19cd: rūpodayātivijñānapadatvaṃ pratipadyate	20.19cd: rUpa-udaya-ati-vijQAna-pada-tvam pratipadyate
   20.20ab: etac caturvidhaṃ jñeyaṃ caturdhārthapratiśrayāt	20.20ab: etat caturviDam jQeyam caturDA-arTa-pratiSrayAt-
   20.20cd: sa ca tattvādisaṃvittipūrvas tatpatitāvadhiḥ	20.20cd: sa ca tattva-Adi-saMvitti-pUrvaH tad-patita-avaDiH
   20.21ab: padabhāvavinirmuktā kiṃ cit tadanuvarjitā	20.21ab: pada-BAva-vinirmuktA kim cit tad-anuvarjitA
   20.21cd: avasthā svasvarūpasya prakāśakaraṇī yataḥ	20.21cd: avasTA sva-svarUpasya prakASa-karaNI yatas-
   20.22ab: tena sārūpyam ity uktā rūpasthaṃ yat tadānvitam	20.22ab: tena sArUpyam iti uktA rUpa-sTam yat tadA-anvitam
   20.22cd: uditādiprabhedena tad apy uktaṃ caturvidhaṃ	20.22cd: udita-Adi-praBedena tat api uktam caturviDam
   20.23ab: jñānodayā ca deveśi mamatvāt tatphalapradam	20.23ab: jQAna-udayA ca deveSi mamatvAt tad-Pala-pradam
   20.23cd: amunā kramayogena antarā yeṣu saṃdadhat	20.23cd: amunA krama-yogena antarA yezu saMdaDat-
   20.24ab: cetaḥ śuddham avāpnoti rūpātītaṃ paraṃ padam	20.24ab: cetaH SudDam avApnoti rUpa-atItam param padam
   20.24cd: caturvidhaṃ tad apy uktaṃ saṃvittiphalabhedataḥ	20.24cd: caturviDam tat api uktam saMvitti-Pala-BedataH
   20.25ab: trividhaṃ tat samabhyasya sarvasiddhiphalecchayā	20.25ab: triviDam tat samaByasya sarva-sidDi-Pala-icCayA
   20.25cd: caturthāt tu tanuṃ vyaktvā tatkṣaṇād apavṛjyate	20.25cd: caturTAt tu tanum vyaktvA tad-kzaNAt apavRjyate
   20.26ab: iti piṇḍādi bhedena śivajñānam udāhṛtam	20.26ab: iti piNxa-Adi Bedena Siva-jQAnam udAhRtam
   20.26cd: yogābhyāsavidhānena mantravidyāgaṇaṃ śṛṇu	20.26cd: yoga-aByAsa-viDAnena mantra-vidyA-gaNam SRNu
   20.27ab: pūrvoktavidhisaṃnaddhaḥ pradeśe pūrvacodite	20.27ab: pUrva-ukta-viDi-saMnadDaH pradeSe pUrva-codite
   20.27cd: nābhyādipañcadeśānāṃ parārṇaṃ kvāpi cintayet	20.27cd: nABi-Adi-paQca-deSAnAm parArNam kvApi cintayet-
   20.28ab: svarūpeṇa prabhābhāraprakāśitatanūdaram	20.28ab: svarUpeNa praBA-BAra-prakASita-tanu-udaram
   20.28cd: dīptibhis tasya tīvrābhir ā brahmabhuvanaṃ tataḥ	20.28cd: dIptiBiH tasya tIvrABiH A brahma-Buvanam tatas-
   20.29ab: evaṃ saṃsmaratas tasya divasaiḥ saptabhiḥ priye	20.29ab: evam saMsmarataH tasya divasEH saptaBiH priye
   20.29cd: rudraśaktisamāveśaḥ sumahān saṃprajāyate	20.29cd: rudra-Sakti-samAveSaH su-mahAn saMprajAyate
   20.30ab: āviṣṭo bahuvākyāni saṃskṛtādīni jalpati	20.30ab: AvizwaH bahu-vAkyAni saMskRta-AdIni jalpati
   20.30cd: mahāhāsyaṃ tathā geyaṃ śivaruditam eva ca	20.30cd: mahA-hAsyam taTA geyam Siva-ruditam eva ca
   20.31ab: karoty āviṣṭacittas tu na tu jānāti kiṃ cana	20.31ab: karoti Avizwa-cittaH tu na tu jAnAti kim cana
   20.31cd: māsenaivaṃ yadā mukto yatra yatrāvalokayet	20.31cd: mAsena-evam yadA muktaH yatra yatra-avalokayet-
   20.32ab: tatra tatra diśaḥ sarvā īkṣate kiraṇākulāḥ	20.32ab: tatra tatra diSaH sarvAH Ikzate kiraNa-AkulAH
   20.32cd: yāṃ yām eva diśaṃ ṣaḍbhir māsair yuktas tu vīkṣate	20.32cd: yAm yAm eva diSam zaxBiH mAsEH yuktaH tu vIkzate
   20.33ab: nānākārāṇi rūpāṇi tasyāṃ tasyāṃ prapaśyati	20.33ab: nAnA-AkArANi rUpANi tasyAm tasyAm prapaSyati
   20.33cd: na teṣu saṃdadhec cetaḥ na cābhyāsaṃ parityajet	20.33cd: na tezu saMdaDet cetaH na ca-aByAsam parityajet-
   20.34ab: kurvann etadvidhaṃ yogī bhīrur unmattako bhavet	20.34ab: kurvan etadviDam yogI BIruH unmattakaH Bavet-
   20.34cd: vīraḥ śaktim punar yāti pramādāt tadgato 'pi san	20.34cd: vIraH Saktim punar yAti pramAdAt tad-gataH api san
   20.35ab: vatsarād yogasaṃsiddhiṃ prāpnoti manasepsitām	20.35ab: vatsarAt yoga-saMsidDim prApnoti manasA-IpsitAm
   20.35cd: parāparām athaitasyā aparāṃ vā yathecchayā	20.35cd: para-aparAm aTa-etasyAH aparAm vA yaTA-icCayA
   20.36ab: sadbhāvaṃ mātṛsaṃghasya hṛdayaṃ bhairavasya vā	20.36ab: sadBAvam mAtR-saMGasya hRdayam BEravasya vA
   20.36cd: navātmānam api dhyāyed ratiśekharam eva vā	20.36cd: nava-AtmAnam api DyAyet rati-SeKaram eva vA
   20.37ab: aghoryādyaṣṭakaṃ vāpi māheśyādikam eva vā	20.37ab: aGoryAdi-azwakam vA-api mAheSi-a-Adikam eva vA
   20.37cd: amṛtādiprabhedena rudrān vā śaktayo 'pi vā	20.37cd: amRta-Adi-praBedena rudrAn vA SaktayaH api vA
   20.38ab: sarve tulyabalāḥ proktā rudraśaktisamudbhavāḥ	20.38ab: sarve tulya-balAH proktAH rudra-Sakti-samudBavAH
   20.38cd: athavāmṛtapūrṇānāṃ prabhedaḥ procyate paraḥ	20.38cd: aTavA-amRta-pUrNAnAm praBedaH procyate paraH
   20.39ab: prāṇasthaṃ parayākrāntaṃ pratyekam api dīpitam	20.39ab: prANa-sTam parayA-AkrAntam pratyekam api dIpitam
   20.39cd: vidyāṃ prakalpayen mantraṃ prāṇākrāntaṃ parāsanam	20.39cd: vidyAm prakalpayet mantram prANa-AkrAntam parAsanam
   20.40ab: dvādaśārasya cakrasya ṣoḍaśārasya vā smaret	20.40ab: dvAdaSArasya cakrasya zoxaSArasya vA smaret-
   20.40cd: aṣṭārasyāthavā devi tasya tredhā śatasya vā	20.40cd: azwArasya-aTavA devi tasya treDA Satasya vA
   20.41ab: ṣaḍarasyāthavā mantrī yathā sarvaṃ tathā śṛṇu	20.41ab: zaz-arasya-aTavA mantrI yaTA sarvam taTA SRNu
   20.41cd: saṃkṣepād idam ākhyātaṃ sārdhaṃ cakraśatadvayam	20.41cd: saMkzepAt idam AKyAtam sArDam cakra-Sata-dvayam
   20.42ab: etat triguṇātāṃ yāti strīpuṃyāmalabhedataḥ	20.42ab: etat triguNAtAm yAti strI-puMya-amala-Bedatas-
   20.42cd: śāntyādikarmabhedena pratyekaṃ dvādaśātmatām	20.42cd: SAnti-Adi-karma-Bedena pratyekam dvAdaSa-AtmatAm
   20.43ab: dakṣaś caṇḍo haraḥ śauṇḍī pramatho bhīmamanmathau	20.43ab: dakzaH caNxaH haraH SONxI pramaTaH BIma-manmaTO
   20.43cd: śakuniḥ sumatir nando gopālo 'tha pitāmahaḥ	20.43cd: SakuniH sumatiH nandaH gopAlaH aTa pitAmahaH
   20.44ab: nandā bhadrā jayā kālī karālī vikṛtānanā	20.44ab: nandA BadrA jayA kAlI karAlI vikRta-AnanA
   20.44cd: kroṣṭakī bhīmamudrā ca vāyuvegā hayānanā	20.44cd: krozwakI BIma-mudrA ca vAyu-vegAH haya-AnanA
   20.45ab: gambhīrā ghoṣaṇī caiva dvādaśaitāḥ prakīrtitāḥ	20.45ab: gamBIrA GozaNI ca-eva dvAdaSa-etAH prakIrtitAH
   20.45cd: āgneyyādicatuṣkoṇā brahmāṇyādyā api priye	20.45cd: AgneyI-Adi-catuzkoNAH brahmANi-AdyAH api priye
   20.46ab: siddhir ṛddhis tathā lakṣmīr dīptir mālā śikhā śivā	20.46ab: sidDiH RdDiH taTA lakzmIH dIptiH mAlA SiKA SivA
   20.46cd: sumukhī vāmanī nandā harikeśī hayānanā	20.46cd: sumuKI vAmanI nandA harikeSI haya-AnanA
   20.47ab: viśveśī ca sumākhyā ca etā vā dvādaśa kramāt	20.47ab: viSveSI ca sumAKyA ca etAH vA dvAdaSa kramAt-
   20.47cd: etāsāṃ vācakā jñeyāḥ svarāḥ ṣaṇṭhavivarjitāḥ	20.47cd: etAsAm vAcakAH jQeyAH svarAH zaNWa-vivarjitAH
   20.48ab: ṣoḍaśāre 'mṛtādyāś ca strīpuṃpāṭhaprabhedataḥ	20.48ab: zoxaSa-are amRta-AdyAH ca strI-puMpAWa-praBedataH
   20.48cd: śrīkaṇṭho 'nantasūkṣmau ca trimūrtiḥ śarvarīśvaraḥ	20.48cd: SrIkaNWaH ananta-sUkzmO ca trimUrtiH SarvarI-ISvaraH
   20.49ab: argheśo bhārabhūtiś ca sthitiḥ sthāṇur haras tathā	20.49ab: arGeSaH BAraBUtiH ca sTitiH sTANuH haraH taTA
   20.49cd: jhiṇṭhīśo bhautikaś caiva sadyojātas tathāparaḥ	20.49cd: JiNWISaH BOtikaH ca-eva sadyojAtaH taTA-aparaH
   20.50ab: anugraheśvaraḥ krūro mahāseno 'tha ṣoḍaśa	20.50ab: anugraheSvaraH krUraH mahAsenaH aTa zoxaSa
   20.50cd: siddhir ṛddhir dyutir lakṣmī meghā kāntiḥ svadhā dhṛtiḥ	20.50cd: sidDiH RdDiH dyutiH lakzmI meGA kAntiH svaDA DRtiH
   20.51ab: dīptiḥ puṣṭir matiḥ kīrtiḥ saṃsthitiḥ sugatiḥ smṛtiḥ	20.51ab: dIptiH puzwiH matiH kIrtiH saMsTitiH sugatiH smRtiH
   20.51cd: suprabhā ṣoḍaśī ceti śrīkaṇṭhādikaśaktayaḥ	20.51cd: supraBA zoxaSI ca-iti SrIkaNWa-Adika-SaktayaH
   20.52ab: ṣoḍaśāre svarā jñeyā vācakatvena sarvataḥ	20.52ab: zoxaSa-are svarAH jQeyAH vAcaka-tvena sarvatas-
   20.52cd: aghorādyās tathāṣṭāre aghoryādyāś ca devatāḥ	20.52cd: aGora-AdyAH taTA-azwAre aGorya-AdyAH ca devatAH
   20.53ab: māheśyādyās tathā devi caturviṃśaty ataḥ śṛṇu	20.53ab: mAheSya-AdyAH taTA devi caturviMSati atas SRNu
   20.53cd: nandādikāḥ kramāt sarvā brahmāṇyādyās tathaiva ca	20.53cd: nanda-AdikAH kramAt sarvAH brahmANi-AdyAH taTA-eva ca
   20.54ab: saṃvarto lakulīkaś ca bhṛguḥ śveto bakas tathā	20.54ab: saMvartaH lakulIkaH ca BRguH SvetaH bakaH taTA
   20.54cd: khaḍgī pinākī bhujago navamo balir eva ca	20.54cd: KaxgI pinAkI BujagaH navamaH baliH eva ca
   20.55ab: mahākālo dviraṇḍaś ca cchagalāṇḍaḥ śikhī tathā	20.55ab: mahAkAlaH dviraNxaH ca cCagalANxaH SiKI taTA
   20.55cd: lohito meṣamīnau ca tridaṇḍyāṣāḍhināmakau	20.55cd: lohitaH meza-mInO ca tridaNxI-a-AzAXi-nAmakO
   20.56ab: umākānto 'rdhanārīśo dāruko lāṅgalī tathā	20.56ab: umA-kAntaH arDanArISaH dArukaH lAFgalI taTA
   20.56cd: tathā someśaśarmāṇau caturvimśaty amī matāḥ	20.56cd: taTA someSa-SarmANO caturvimSati amI matAH
   20.57ab: kādibhāntāḥ parijñeyā aṣṭāre yādyam aṣṭakam	20.57ab: ka-Adi-BAntAH parijQeyAH azwAre yA-Adyam azwakam
   20.57cd: makāro bindurūpasthaḥ sarveṣām upari sthitaḥ	20.57cd: makAraH bindu-rUpa-sTaH sarvezAm upari sTitaH
   20.58ab: juṃkāro 'tha tathā svāhā ṣaḍare ṣaṭ krameṇa tu	20.58ab: juMkAraH aTa taTA svAhA zaz-are zaw krameNa tu
   20.58cd: baliś ca balinandaś ca daśagrīvo haro hayaḥ	20.58cd: baliH ca balinandaH ca daSagrIvaH haraH hayaH
   20.59ab: mādhavaś ca mahādevi ṣaṣṭhaḥ saṃparikīrtitaḥ	20.59ab: mADavaH ca mahAdevi zazWaH saMparikIrtitaH
   20.59cd: viśvā viśveśvarī caiva hārādrī vīranāyikā [hāraudrī?]	20.59cd: viSvA viSveSvarI ca-eva hArAdrI vIranAyikA [hArOdrI?]
   20.60ab: ambā gurveti yoginyo bījais tair eva ṣaṭ smṛtāḥ	20.60ab: ambA guru-a-iti yoginyaH bIjEH tEH eva zaw smRtAH
   20.60cd: anyonyavalitāḥ sarve svāmyāvaraṇabhedataḥ	20.60cd: anyonya-valitAH sarve svAmi-AvaraNa-BedataH
   20.61ab: akārādikṣakārāntāḥ sarvasiddhiphalapradāḥ	20.61ab: akAra-Adi-kzakAra-antAH sarva-sidDi-Pala-pradAH
   20.61cd: dhyānārādhanayuktānāṃ yogināṃ mantriṇām api	20.61cd: DyAna-ArADana-yuktAnAm yoginAm mantriNAm api
   20.62ab: athavā sarvacakrāṇāṃ madhye vidyāṃ yathepsitām	20.62ab: aTavA sarva-cakrANAm maDye vidyAm yaTA-IpsitAm
   20.62cd: mantraṃ vā pūrvam uddiṣṭaṃ japan dhyāyan prasiddhyati	20.62cd: mantram vA pUrvam uddizwam japan DyAyan prasidDyati
   20.63ab: iti saṃkṣepataḥ proktaṃ sarvakāmaphalapradam	20.63ab: iti saMkzepataH proktam sarva-kAma-Pala-pradam
   iti śrīmālinīvijayottare sarvamantranirṇayo nāma viṃśatitamo 'dhikāraḥ	iti SrI-mAlinI-vijaya-uttare sarvamantranirNayaH nAma viMSatitamaH aDikAraH
   samāptaḥ	samAptaH
   candrākṛṣṭyadhikāra ekaviṃśatitamaḥ	candra-AkRzwi-aDikAraH ekaviMSatitamaH
   21.1ab: athātaḥ paramaṃ guhyaṃ śivajñānāmṛtottamam	21.1ab: aTa-atas paramam guhyam Siva-jQAna-amRta-uttamam
   21.1cd: vyādhimṛtyuvināśāya yoginām upavarṇyate	21.1cd: vyADi-mRtyu-vinASAya yoginAm upavarNyate
   21.2ab: ṣoḍaśāre khage cakre candrakalpitakarṇike	21.2ab: zoxaSa-are Kage cakre candra-kalpita-karNike
   21.2cd: svarūpeṇa parāṃ tatra sravantīm amṛtaṃ smaret	21.2cd: svarUpeNa parAm tatra sravantIm amRtam smaret-
   21.3ab: pūrvanyāsena saṃnaddhaḥ kṣaṇam ekaṃ vicakṣaṇaḥ	21.3ab: pUrva-nyAsena saMnadDaH kzaNam ekam vicakzaNaH
   21.3cd: tatas tu rasanāṃ nītvā lambake viniyojayat	21.3cd: tatas tu rasanAm nItvA lambake viniyojayat-
   21.4ab: sravantam amṛtaṃ divyaṃ candrabimbasitaṃ smaret	21.4ab: sravantam amRtam divyam candra-bimba-sitam smaret-
   21.4cd: mukham āpūryate tasya kiṃ cil lavaṇavāriṇā	21.4cd: muKam ApUryate tasya kim cit lavaNa-vAriNA
   21.5ab: lohagandhena tac cātra na pibet kiṃ tu nikṣipet	21.5ab: loha-ganDena tat ca-atra na pibet kim tu nikzipet-
   21.5cd: evaṃ samabhyaset tāvad yāvat tat svādu jāyate	21.5cd: evam samaByaset tAvat yAvat tat svAdu jAyate
   21.6ab: jarāvyādhivinirmukto jāyate tatpibaṃs tataḥ	21.6ab: jarA-vyADi-vinirmuktaH jAyate tat-piban tatas-
   21.6cd: ṣaḍbhir māsair anāyāsād vatsarān mṛtyujid bhavet	21.6cd: zaxBiH mAsEH anAyAsAt vatsarAt mRtyu-jit Bavet-
   21.7ab: tatra svāduni saṃjāte tadāprabhṛti tatragam	21.7ab: tatra svAduni saMjAte tadA-praBRti tatragam
   21.7cd: yad eva cintayed dravyaṃ tenāsyāpūryate mukham	21.7cd: yat eva cintayet dravyam tena-asya-ApUryate muKam
   21.8ab: rudhiraṃ madiraṃ vātha vasāṃ vā kṣīram eva vā	21.8ab: ruDiram madiram vA-aTa vasAm vA kzIram eva vA
   21.8cd: ghṛtatailādikaṃ vātha dravaddravyam ananyadhīḥ	21.8cd: GRta-tEla-Adikam vA-aTa dravat-dravyam ananyaDIH
   21.9ab: athānyaṃ saṃpravakṣyāmi saṃkrāntividhim uttamam	21.9ab: aTa-anyam saMpravakzyAmi saMkrAnti-viDim uttamam
   21.9cd: mṛte jīvaccharīre tu praviśed yogavidyayā	21.9cd: mRte jIvat-SarIre tu praviSet yoga-vidyayA
