   || śrīḥ ||	|| SrIH ||
   ekādaśendriyavadhāḥ, navānāṃ tuṣṭīnāṃ viparyayāḥ	ekAdaSa-indriya-vaDAH, navAnAm tuzwInAm viparyayAH
   prakṛtyupādānakālabhāgyākhyānāṃ pañcaviṣayoparamatuṣṭīnāṃ ca | aṣṭānāṃ	prakRti-upAdAna-kAla-BAgya-AKyAnAm paQca-vizaya-uparama-tuzwInAm ca | azwAnAm
   siddhīnāṃ viparyayā anūhādayaḥ | saptadaśa vadhā buddher evam ekādaśa	sidDInAm viparyayAH anUha-AdayaH | saptadaSa vaDAH budDeH evam ekAdaSa
   saptadaśa cāṣṭāviṃśatibhedā aśakter abhidhīyante | evaṃ	saptadaSa ca-azwAviMSati-BedAH aSakteH aBiDIyante | evam
   viparyayāśaktituṣṭisiddhīnām uddeśaḥ kṛta iti vākyaśeṣaḥ | siddheḥ pūrvo	viparyaya-aSakti-tuzwi-sidDInAm uddeSaH kRtaH iti vAkya-SezaH | sidDeH pUrvo
   'ṅkuśas trividhaḥ | yā ūhādyāṣṭadhā siddhis tasyā pūrvo	aFkuSaH triviDaH | yA UhA-adya-azwaDA sidDiH tasyAH pUrvo
   viparyayāśaktituṣṭirūpo 'ṅkuśo niyāmakaḥ | trividhas triprakāra ity arthaḥ	viparyaya-aSakti-tuzwi-rUpaH aFkuSaH niyAmakaH | triviDaH tri-prakAraH iti arTaH
   | yathāṅkuśena gṛhīto gajo vaśyo bhavati | evaṃ viparyayāśaktituṣṭirūpaṃ	| yaTA-aFkuSena gRhItaH gajaH vaSyaH Bavati | evam viparyaya-aSakti-tuzwi-rUpam
   trividhaṃ pratyayasargaṃ hitvā siddhiḥ saṃsevyā, siddhes tattvajñānaṃ,	triviDam pratyaya-sargam hitvA sidDiH saMsevyA, sidDeH tattva-jQAnaM,
   tasmāc ca mokṣa iti tātparyam // SkMv_51 //	tasmAt ca mokzaH iti tAtparyam // SkMu-_51 //
   atrāha --- bhagavatā uktaṃ pūrvasyām āryāyāṃ bhāvair adhivāsitaṃ liṅgaṃ	atra-Aha -- BagavatA uktam pUrvasyAm AryAyAm BAvEH aDivAsitam liFgam
   saṃsarati | tatra kiṃ liṅgaṃ pūrvotpannam āhosvit bhāvā ity atrocyate ---	saMsarati | tatra kim liFgam pUrva-utpannam Ahosvit BAvAH iti atra-ucyate ---
   liṅgaṃ tāvat sūkṣmaṃ tānmātrikaṃ śarīram anādikālotpannaṃ trayodaśavidhena	liFgam tAvat sUkzmam tAn-mAtrikam SarIram anAdi-kAla-utpannam trayodaSaviDena
   karaṇena saṃyuktaṃ bhāvair adhivāsitaṃ saṃsarati | karaṇāni	karaNena saMyuktam BAvEH aDivAsitam saMsarati | karaNAni
   buddhyahaṅkāramanobuddhikarmākhyāni trayodaśa | evaṃ trayodaśavidhakaraṇam	budDi-ahaFkAra-manaH-budDi-karma-AKyAni trayodaSa | evam trayodaSaviDa-karaNam
   āśritya sūkṣmaśarīraṃ tānmātrikaṃ saṃsarati | śarīraṃ karaṇāni	ASritya sUkzmaSarIram tAn-mAtrikam saMsarati | SarIram karaNAni
   caitalliṅgam ity atrocyate | bhāvair adhivāsitam iti bhāvā	ca-etat-liFgam iti atra-ucyate | BAvEH aDivAsitam iti BAvA
   dharmajñānavairāgyaiśvaryāṇi catvāraḥ sāttvikāḥ | viparītās tāmasāḥ | evam	Darma-jQAna-vErAgya-ESvaryANi catvAraH sAttvikAH | viparItAH tAmasAH | evam
   aṣṭau bhāvāḥ | tatra sandehaḥ | kiṃ liṅgaṃ pūrvotpannam, utasvid bhāvā iti	azwO BAvAH | tatra sandehaH | kim liFgam pUrva-utpannam, uta-svid BAvAH iti
   | ucyate ---	| ucyate ---
   na vinā bhāvair liṅgaṃ na vinā liṅgena bhāvanirvṛttiḥ /	na vinA BAvEH liFgam na vinA liFgena BAva-nirvRttiH /
   (p.51)	(p.51)
   liṅgākhyo bhāvākhyas tasmād bhavati dvidhā sargaḥ // ISk_52 //	liFga-AKyaH BAva-AKyaH tasmAt Bavati dviDA sargaH // ISc-_52 //
   liṅgena vinā bhāvo na bhavati bhāvaiś ca vinā liṅgaṃ na bhavati |	liFgena vinA BAvaH na Bavati BAvEH ca vinA liFgam na Bavati |
   yathāgninā vinā noṣṇatvam uṣṇatvaṃ vinā nāgniḥ | evam etayor liṅgabhāvayor	yaTA-agninA vinA na-uzNa-tvam uzNa-tvam vinA na-agniH | evam etayoH liFga-BAvayoH-
   yugapadutpattiḥ, goviṣāṇavat, kumārīstanavat | yatra liṅgaṃ tatra bhāvā	yugapad-utpattiH, govizANavat, kumArI-stanavat | yatra liFgam tatra BAvA
   yatra bhāvās tatra liṅgam | tasmād ucyate --- liṅgākhyo bhāvākhyaḥ |	yatra BAvAH tatra liFgam | tasmAt ucyate -- liFga-AKyaH BAva-AKyaH |
   liṅgena ākhyāyate sa liṅgākhyaḥ | bhāvair ākhyāyata iti bhāvākhyaḥ |	liFgena AKyAyate sa liFga-AKyaH | BAvEH AKyAyate iti BAva-AKyaH |
   tasmād dvidhā sargo bhavati jāyate // SkMv_52 //	tasmAt dviDA sargaH Bavati jAyate // SkMu-_52 //
   atrāha --- kiṃ dvividha eva sargaḥ kiṃ tasmād anyas tṛtīyo 'py asti iti |	atra-Aha -- kim dviviDaH eva sargaH kim tasmAt anyaH tRtIyaH api asti iti |
   atrocyate ---	atra-ucyate ---
   aṣṭavikalpo daivas tairyagyonaś ca pañcadhā bhavati /	azwa-vikalpaH dEvaH tEryagyonaH ca paQcaDA Bavati /
   mānuṣyaś caikavidhaḥ samāsato bhautikaḥ sargaḥ // ISk_53 //	mAnuzyaH ca-ekaviDaH samAsatas BOtikaH sargaH // ISc-_53 //
   aṣṭavikalpo daiva iti | tad yathā --- brāhmaṃ prājāpatyam aindraṃ paitraṃ	azwa-vikalpaH dEvaH iti | tat yaTA -- brAhmam prAjApatyam Endram pEtram
   gāndharvaṃ yākṣaṃ rākṣasaṃ paiśācam ity evam aṣṭavidho devasargaḥ |	gAnDarvam yAkzam rAkzasam pESAcam iti evam azwaviDaH deva-sargaH |
   tairyagyonaś ca pañcadhā bhavati | atra tulyaliṅgatvād bhavati	tEryagyonaH ca paQcaDA Bavati | atra tulya-liFga-tvAt Bavati
   paśupakṣimṛgasarīsṛpasthāvarāntaś ceti | mānuṣya ekavidhas tulyaliṅgatvād	paSu-pakzi-mRga-sarIsRpa-sTAvara-antaH ca-iti | mAnuzyaH ekaviDaH tulya-liFga-tvAt-
   brāhmaṇāadicāṇḍālāntaḥ | samāsataḥ saṅkṣepeṇa trividho 'yaṃ bhūtamayaḥ	brAhmaNAa-dicANxAla-antaH | samAsatas saFkzepeNa triviDaH ayam BUta-mayaH
   sargaḥ | evaṃ caturdaśavidhaḥ // SkMv_53 //	sargaH | evam caturdaSaviDaH // SkMu-_53 //
   atrāha --- eteṣu triṣu sthāneṣu kataro guṇa utkaṭatvena vartate ---	atra-Aha -- etezu trizu sTAnezu kataraH guNaH utkawa-tvena vartate ---
   ūrdhvaṃ sattvaviśālas tamoviśālaś ca mūlataḥ sargaḥ /	UrDvam sattva-viSAlaH tamaH-viSAlaH ca mUlataH sargaH /
   madhye rajoviśālo brahmādistambaparyantaḥ // ISk_54 //	maDye rajaH-viSAlaH brahma-Adi-stamba-paryantaH // ISc-_54 //
   ūrdhvaṃ sattvaviśāla iti | brahmādipiśācānto yo 'ṣṭavidhaḥ sargaḥ | asau	UrDvam sattva-viSAlaH iti | brahma-Adi-piSAca-antaH yaH azwaviDaH sargaH | asO
   sattvabahulaḥ | yasmāt teṣu sattvam utkaṭatvena vartate | tatrāpi	sattva-bahulaH | yasmAt tezu sattvam utkawa-tvena vartate | tatra-api
   rajastamasī staḥ kiṃ tu sattvasyodriktatā | tasmāt sukhaprāyā devāḥ |	rajaH-tamasI staH kim tu sattvasya-udrikta-tA | tasmAt suKa-prAyAH devAH |
   tamoviśālaś ca mūlataḥ | paśvādiṣu tamasa udrekāt paśvādisthāvaraparyanto	tamaH-viSAlaH ca mUlataH | paSu-Adizu tamasaH udrekAt paSu-Adi-sTAvara-paryantaH-
   yasmāt teṣu tama utkaṭatvena vartate tatrāpi gauṇatayā sattvarajasī staḥ |	yasmAt tezu tamaH utkawa-tvena vartate tatra-api gONa-tayA sattva-rajasI staH |
   tasmāt te tamobahulāḥ | madhye rajoviśālaḥ | tatrāpi sattvatamasī staḥ |	tasmAt te tamaH-bahulAH | maDye rajaH-viSAlaH | tatra-api sattva-tamasI staH |
   kiṃ tu raja utkaṭatvena vartate | tasmāt te duḥkhaprāyā manuṣyāḥ |	kim tu rajaH utkawa-tvena vartate | tasmAt te duHKa-prAyAH manuzyAH |
   brahmādistambaparyantaḥ | caturvidha eṣa svedajāṇḍajādinā bhūtasargaḥ //	brahma-Adi-stamba-paryantaH | caturviDaH eza sveda-jANxaja-AdinA BUta-sargaH //
   SkMv_54 //	SkMu-_54 //
   (p.52)	(p.52)
   atrāha --- bhūtasarga utpanno bhāvasargaḥ sampanno liṅgasargaḥ sampanna	atra-Aha -- BUta-sargaH utpannaH BAva-sargaH sampannaH liFga-sargaH sampanna
   iti yatra sargāḥ prādhānikā iti pradhānakāryaṃ samāptam iti | utpannās	iti yatra sargAH prADAnikAH iti praDAna-kAryam samAptam iti | utpannAH-
   trayo lokāḥ pradhānaṃ coparatam utpādya lokān iti teṣu	trayaH lokAH praDAnam ca-uparatam utpAdya lokAn iti tezu
   devamanuṣyatiryagyonigateṣu duḥkhaṃ ko 'nubhavati | kiṃ caturviṃśatitamaṃ	deva-manuzya-tiryagyoni-gatezu duHKam kaH anuBavati | kim caturviMSatitamam
   pradhānam, āhosvit mahadāditrayoviṃśatikam, utasvit puruṣa iti? atrocyate	praDAnam, Ahosvit mahat-Adi-trayoviMSati-kam, uta-svid puruzaH iti? atra-ucyate
   atra jarāmaraṇakṛtaṃ duḥkhaṃ prāpnoti cetanaḥ puruṣaḥ /	atra jarA-maraNa-kRtam duHKam prApnoti cetanaH puruzaH /
   liṅgasyāvinivṛttes tasmād duḥkhaṃ samāsena // ISk_55 //	liFgasya-avinivRtteH tasmAt duHKam samAsena // ISc-_55 //
   atra triṣu lokeṣv iti | devaloke, manuṣyaloke, tiryagyonau ca	atra trizu lokezu iti | deva-loke, manuzya-loke, tiryagyonO ca
   jarāmaraṇakṛtaṃ duḥkhaṃ prāpnoti cetanaḥ puruṣaḥ | tatra jarākṛtaṃ	jarA-maraNa-kRtam duHKam prApnoti cetanaH puruzaH | tatra jarA-kRtam
   valīpalitair abhibhūtaḥ kāsaśvāsaiḥ parigṛhīto yaṣṭiviṣṭambhagāmī	valI-palitEH aBiBUtaH kAsa-SvAsEH parigRhItaH yazwi-vizwamBa-gAmI
   putrasnuṣādyabhibhūto yad duḥkham anubhavati taj jarākṛtam | maraṇakṛtam	putra-snuzA-Adi-aBiBUtaH yat duHKam anuBavati tat jarA-kRtam | maraNa-kRtam
   iti | aṣṭavidham aiśvaryam asti yat prāg abhihitam aṇimādi, daśa viṣayāḥ	iti | azwaviDam ESvaryam asti yat prAk aBihitam aNima-Adi, daSa vizayAH
   santi | devānāṃ pañcāviśeṣāḥ kevalasukharūpāḥ | manuṣyāṇāṃ saviśeṣās ta	santi | devAnAm paQca-aviSezAH kevala-suKa-rUpAH | manuzyANAm sa-viSezAH ta
   eva śabdādayaḥ sukhaduḥkhamohasampannāḥ | tanmaraṇapātāvasthāyāṃ yad	eva Sabda-AdayaH suKa-duHKa-moha-sampannAH | tad-maraNa-pAta-avasTAyAm yat-
   duḥkham utpadyate tan maraṇakṛtam ity eva | evam etair duḥkhair antakāle	duHKam utpadyate tat maraNa-kRtam iti eva | evam etEH duHKEH antakAle
   ca janitaduḥkhāni sarvāṇi prāpnoti cetanaḥ puruṣa eva pradhānādīnām	ca janita-duHKAni sarvANi prApnoti cetanaH puruzaH eva praDAna-AdInAm
   acetanatvāt | tasmāt tasyaiva vijñānitayā duḥkhaṃ na tu jaḍānāṃ	acetana-tvAt | tasmAt tasya-eva vijQAnitayA duHKam na tu jaxAnAm
   pradhānādīnām | tarhi kiyantaṃ kālaṃ puruṣo duḥkham āpnoti | atrocyate ---	praDAna-AdInAm | tarhi kiyantam kAlam puruzaH duHKam Apnoti | atra-ucyate ---
   liṅgasyāvinivṛtteḥ | yāvan mahadādiliṅgaṃ na nivartate tāvat kālaṃ puruṣo	liFgasya-avinivRtteH | yAvat mahat-Adi-liFgam na nivartate tAvat kAlam puruzaH-
   duḥkhabhoktā | tasmād duḥkhaṃ samāsena --- saṅkṣepeṇa prāpnoti cetanaḥ	duHKa-BoktA | tasmAt duHKam samAsena -- saFkzepeNa prApnoti cetanaH
   puruṣaḥ | yadā tu tat pratinivartate mahadādiliṅgaṃ jñānotpattyā tato	puruzaH | yadA tu tat pratinivartate mahat-Adi-liFgam jQAna-utpattyA tatas-
   mokṣaṃ prāpnoti | mokṣaṃ gatasya duḥkhaṃ nāsti | jñānena hi liṅgaṃ	mokzam prApnoti | mokzam gatasya duHKam na-asti | jQAnena hi liFgam
   nivartate | yadā pratyekaṃ pradhānamahadahantanmātrendriyabhūtāny anyāni	nivartate | yadA pratyekam praDAna-mahat-ahan-tanmAtra-indriya-BUtAni anyAni
   aham anya iti jñānaṃ tadā liṅgābhāvaḥ // SkMv_55 //	aham anyaH iti jQAnam tadA liFga-aBAvaH // SkMu-_55 //
   prakṛteḥ kiṃ nimittam ārabhya ity atrocyate ---	prakRteH kim nimittam AraByaH iti atra-ucyate ---
   ity eṣa prakṛtikṛto mahadādiviṣayabhūtaparyantaḥ /	iti eza prakRti-kRtaH mahat-Adi-vizaya-BUta-paryantaH /
   pratipuruṣavimokṣārthaṃ svārtha iva parārtha ārambhaḥ // ISk_56 //	prati-puruza-vimokza-arTam sva-arTaH iva para-arTe AramBaH // ISc-_56 //
   (p.53)	(p.53)
   ity eṣa prakṛtikṛta iti | evamādir yaḥ pūrvam upavarṇito liṅgasargo	iti eza prakRti-kRtaH iti | evamAdiH yaH pUrvam upavarNitaH liFga-sargaH-
   mahadādibhūtaparyantaḥ, eṣa prakṛtikṛta iti | atrāha --- evaṃ liṅgasargaḥ	mahat-Adi-BUta-paryantaH, eza prakRti-kRtaH iti | atra-Aha -- evam liFga-sargaH
   pradhānena kimarthaṃ kṛta iti? atrocyate --- pratipuruṣavimokṣārtham |	praDAnena kim-arTam kRtaH iti? atra-ucyate -- prati-puruza-vimokza-arTam |
   puruṣaṃ puruṣaṃ prati vimokṣas tadarthaṃ pratipuruṣavimokṣārtham |	puruzam puruzam prati vimokzaH tad-arTam prati-puruza-vimokza-arTam |
   devalokagatānām, manuṣyalokagatānām, tiryagyonigatānāṃ ca mokṣārtham ity	deva-loka-gatAnAm, manuzya-loka-gatAnAm, tiryagyoni-gatAnAm ca mokza-arTam iti-
   arthaḥ | svārtha iva parārtha ārambhaḥ | svakīyo 'rthaḥ svārthaḥ |	arTaH | sva-arTaH iva para-arTe AramBaH | svakIyaH arTaH sva-arTaH |
   ivopamāyām | yathā kaścit svārtham iva mitrārthaṃ karoti tathā svārtham	iva-upamAyAm | yaTA kaScid sva-arTam iva mitra-arTam karoti taTA sva-arTam
   iva pradhānaṃ puruṣārthaṃ karoti | sa cārtho dvividhaḥ | śabdādyupalabdhir	iva praDAnam puruza-arTam karoti | sa ca-arTaH dviviDaH | Sabda-Adi-upalabDiH-
   ādir guṇapuruṣāntaropalabdhir antaś ca | triṣu lokeṣu śabdādiviṣayaiḥ	AdiH guNa-puruza-antara-upalabDiH antar ca | trizu lokezu Sabda-Adi-vizayEH
   puruṣaṃ yojayati | ante ca guṇapuruṣāntaropalabdhyā mokṣaṃ kurute //	puruzam yojayati | ante ca guNa-puruza-antara-upalabDyA mokzam kurute //
   SkMv_56 //	SkMu-_56 //
   atrāha --- uktaṃ bhagavatā pradhānaṃ svārtham iva parārtham ārabhate |	atra-Aha -- uktam BagavatA praDAnam sva-arTam iva para-arTam AraBate |
   atha ca tvayā pradhānam acetanam uktaṃ tat kathaṃ pravartate | acetanānām	aTa ca tvayA praDAnam acetanam uktam tat kaTam pravartate | acetanAnAm
   api pravṛttir dṛṣṭā, nivṛttiś ca |	api pravRttiH dRzwA, nivRttiH ca |
   vatsavivṛddhinimittaṃ kṣīrasya yathā pravṛttir ajñasya /	vatsa-vivRdDi-nimittam kzIrasya yaTA pravRttiH ajQasya /
   puruṣavimokṣanimittaṃ tathā pravṛttiḥ pradhānasya // ISk_57 //	puruza-vimokza-nimittam taTA pravRttiH praDAnasya // ISc-_57 //
   yathā tṛṇodakaṃ gavā bhakṣitaṃ pītaṃ ca kṣīrabhāvena pariṇamati,	yaTA tRNa-udakam gavA Bakzitam pItam ca kzIra-BAvena pariNamati,
   vatsavṛddhiṃ karoti, puṣṭe vatse nivartate | evaṃ puruṣavimokṣanimittaṃ	vatsa-vRdDim karoti, puzwe vatse nivartate | evam puruza-vimokza-nimittam
   pradhānasyājñasya pravṛttiḥ // SkMv_57 //	praDAnasya-AjQasya pravRttiH // SkMu-_57 //
   autsukyanivṛttyarthaṃ yathā kriyāsu pravartate lokaḥ /	Otsukya-nivRtti-arTam yaTA kriyAsu pravartate lokaH /
   puruṣasya vimokṣārthaṃ pravartate tadvad avyaktam // ISk_58 //	puruzasya vimokza-arTam pravartate tadvat avyaktam // ISc-_58 //
   yathā loka iṣṭaviṣayautsukye sati tasya nivṛttyarthaṃ kriyāsu	yaTA loke izwa-vizaya-Otsukye sati tasya nivRtti-arTam kriyAsu
   gamanāgamanāsu pravartate kṛtakāryo nivartate | tathāvyaktaṃ puruṣasya	gamana-AgamanAsu pravartate kRta-kAryaH nivartate | taTA-avyaktam puruzasya
   vimokṣārthaṃ śabdādibhogalakṣaṇaṃ guṇapuruṣāntaropalabdhilakṣaṇaṃ	vimokza-arTam Sabda-Adi-Boga-lakzaNam guNa-puruza-antara-upalabDi-lakzaNam
   dvividhaṃ puruṣārthaṃ kṛtvā nivartate // SkMv_58 //	dviviDam puruza-arTam kRtvA nivartate // SkMu-_58 //
   kiñ cānyat ---	kiQ ca-anyat ---
   raṅgasya darśayitvā nivartate nartakī yathā nṛtyāt /	raFgasya darSayitvA nivartate nartakI yaTA nRtyAt /
   puruṣasya tathātmānaṃ prakāśya vinivartate prakṛtiḥ // ISk_59 //	puruzasya taTA-AtmAnam prakASya vinivartate prakRtiH // ISc-_59 //
   yathā nartakī śṛṅgārādirasair hāvabhāvaiś ca nibaddhagītavāditranṛtyāni	yaTA nartakI SRFgAra-Adi-rasEH ha-ava-BAvEH ca nibadDa-gIta-vAditra-nRtyAni
   raṅgasya darśayitvā kṛtakāryā nṛtyān nivartate | evaṃ prakṛtir	raFgasya darSayitvA kRta-kAryAH nRtyAt nivartate | evam prakRtiH-
   mahadahaṅkāratanmātrendriyabhūtabhāvena(p.54) devamānuṣatiryagrūpāsu	mahat-ahaFkAra-tanmAtra-indriya-BUta-BAvena(p.54) deva-mAnuza-tiryak-rUpAsu
   yoniṣu sukhaduḥkhamohākṛtiḥ śāntaghoramūḍhaviṣayā satī ātmānaṃ puruṣasya	yonizu suKa-duHKa-moha-AkRtiH SAnta-Gora-mUXa-vizayA satI AtmAnam puruzasya
   prakāśya nivartate | tasyāṃ ca nivṛttāyām asau kevalaḥ puruṣo duḥkhatrayaṃ	prakASya nivartate | tasyAm ca nivRttAyAm asO kevalaH puruzaH duHKa-trayam
   nānubhavati | yathā jalavāhakasya ghaṭābhāve tadādheyasyodakasyābhāvaḥ |	na-anuBavati | yaTA jalavAhakasya Gawa-aBAve tad-ADeyasya-udakasya-aBAvaH |
   tathā duḥkhābhāvaḥ | tato 'sau mokṣaṃ gacchati // SkMv_59 //	taTA duHKa-aBAvaH | tatas asO mokzam gacCati // SkMu-_59 //
   atrāha --- yathā nartakī nṛtyādibhir upāyair ātmānaṃ prakāśya raṅgād	atra-Aha -- yaTA nartakI nRtya-AdiBiH upAyEH AtmAnam prakASya raFgAt-
   vinivartate, evaṃ prakṛtiḥ puruṣasya kair upāyair ātmānaṃ prakāśya	vinivartate, evam prakRtiH puruzasya kEH upAyEH AtmAnam prakASya
   vinivartate? atrocyate ---	vinivartate? atra-ucyate ---
   nānāvidhair upāyair upakāriṇy anupakāriṇaḥ puṃsaḥ /	nAnAviDEH upAyEH upakAriNi anupakAriNaH puMsaH /
   guṇavaty aguṇasya satas tasyārtham apārthakaṃ carati // ISk_60 //	guNavatI aguNasya sataH tasya-arTam apArTakam carati // ISc-_60 //
   nānāvidhair upāyaiḥ | śabdasparśādibhir upakartuṃ śīlam asyāḥ sā tathoktā	nAnAviDEH upAyEH | Sabda-sparSa-AdiBiH upakartum SIlam asyAH sA taTA-uktA
   | anupakāriṇaḥ puṃsaḥ | niṣkriyatvād iti yāvat | tasyopakāriṇī prakṛtis	| anupakAriNaH puMsaH | nizkriya-tvAt iti yAvat | tasya-upakAriNI prakRtis
   tasyopakṛtyāham anyā tvam anya iti nivartate (prakṛtiḥ) | kiṃ cānyat ---	tasya-upakRtya-aham anyA tvam anyaH iti nivartate (prakRtiH) | kim ca-anyat ---
   guṇavatī | sā sattvarajastamomayī | aguṇasya sataḥ | puṃsaḥ	guNavatI | sA sattva-rajaH-tamaH-mayI | aguNasya sataH | puMsaH
   niṣkriyodāsīnāmūrtādilakṣaṇavattvāt | evam asya puṃso 'guṇasyāpi sataḥ	nizkriyA-udAsIna-amUrta-Adi-lakzaNavat-tvAt | evam asya puMsaH aguNasya-api sataH
   (nityasya) seyaṃ guṇavatī artham apārthakaṃ carati | karoti | yathā kaścid	(nityasya) sA-iyam guNavatI arTam apArTakam carati | karoti | yaTA kaScid-
   anurakto mitrasuhṛttvam avalambya mitrārtham anuktam api pratyupakāram	anuraktaH mitra-suhRd-tvam avalambya mitra-arTam anuktam api pratyupakAram
   anapekṣya kurute | evaṃ pradhānaṃ puruṣasya dvividham api	anapekzya kurute | evam praDAnam puruzasya dviviDam api
   viṣayopalabdhimokṣātmakam arthaṃ kurute | pumān punaḥ pradhānasya kim api	vizaya-upalabDi-mokza-Atmakam arTam kurute | pumAn punar praDAnasya kim api
   na pratyupakaroti | tat pradhānapuṃsoḥ śikhipicchavadekapakṣacitranyāyaḥ	na pratyupakaroti | tat praDAna-puMsoH SiKi-picCa-vat-eka-pakza-citra-nyAyaH
   // SkMv_60 //	// SkMu-_60 //
   nivṛttā kiṃ karoty etad āha ---	nivRttA kim karoti etat Aha ---
   prakṛteḥ sukumārataraṃ na kiñcid astīti me matir bhavati /	prakRteH sukumArataram na kiQcid asti-iti me matiH Bavati /
   yā dṛṣṭāsmīti punar na darśanam upaiti puruṣasya // ISk_61 //	yA dRzwA-asmi-iti punar na darSanam upEti puruzasya // ISc-_61 //
   prakṛtir api pradhānam api kurute | yatheha snuṣā vrīḍayā svagṛhāntaḥ	prakRtiH api praDAnam api kurute | yaTA-iha snuzA vrIxayA sva-gRha-antaH
   praviśati ato bravīti iyaṃ viśiṣṭatareti | evam iyaṃ prakṛtiḥ sukumāratarā	praviSati atas bravIti iyam viSizwatarA-iti | evam iyam prakRtiH sukumAratarA
   | tasmāt prakṛteḥ sukumārataraṃ nānyad astīti | evaṃ puruṣasya paramātmano	| tasmAt prakRteH sukumArataram na-anyat asti-iti | evam puruzasya paramAtmanaH-
   'pi matir utpannā | nāstīti me matir bhavati | mameti puruṣa ātmānaṃ	api matiH utpannA | na-asti-iti me matiH Bavati | mama-iti puruzaH AtmAnam
   bravīti | tatra sukumārataratvaṃ varṇayati īśvaraḥ kāraṇam iti kecid	bravIti | tatra sukumAratara-tvam varNayati ISvaraH kAraNam iti kecid-
   ācāryā bravate | uktaṃ ca ---	AcAryAH bravate | uktam ca ---
   "ajño jantur anīśo 'yam ātmanaḥ sukhaduḥkhayoḥ /	"ajQaH jantuH anISaH ayam AtmanaH suKa-duHKayoH /
   īśvaraprerito gacchet svargaṃ narakam eva vā" //	ISvara-preritaH gacCet svargam narakam eva vA" //
   (mahābhārata 3 |31 |27)(p.55)	(mahABArata 3 |31 |27)(p.55)
   vedavādinaḥ punar itthaṃ kāraṇam āhuḥ | "puruṣa evedaṃ	veda-vAdinaH punar itTam kAraNam AhuH | "puruzaH eva-idam
   sarvam"(śvetāśvataropaniṣad 3 |15) ity ataḥ puruṣaṃ kāraṇam āhuḥ | apare	sarvam-"(-SvetASvatara-upanizad 3 |15) iti atas puruzam kAraNam AhuH | apare
   svabhāvam āhuḥ | svabhāvaḥ kāraṇam iti | tathā hi ---	svaBAvam AhuH | svaBAvaH kAraNam iti | taTA hi ---
   "yena śuklīkṛtā haṃsāḥ śukāś ca haritīkṛtāḥ /	"yena SuklIkRtAH haMsAH SukAH ca haritIkRtAH /
   mayūrāś citritā yena sa no vṛttiṃ vidhāsyati" //	mayUrAH citritAH yena sa naH vRttim viDAsyati" //
   (hitopadeśa 1 |183)	(hita-upadeSaH 1 |183)
   atra sāṅkhyā vadanti | īśvaraḥ kāraṇaṃ na bhavati | kasmāt, nirguṇatvāt |	atra sAFKyAH vadanti | ISvaraH kAraNam na Bavati | kasmAt, nirguNa-tvAt |
   imāḥ saguṇāḥ prajāḥ | sattvarajastamāṃsi trayo guṇāḥ, te ca prajāsu santi	imAH sa-guNAH prajAH | sattva-rajaH-tamAMsi trayaH guNAH, te ca prajAsu santi
   | tāṃś ca guṇān dṛṣṭvā sādhayāmaḥ | prakṛter imāḥ samutpannāḥ prajāḥ | yad	| tAn ca guNAn dRzwvA sADayAmaH | prakRteH imAH samutpannAH prajAH | yat-
   īśvaraḥ kāraṇaṃ syāt tato nirguṇād īśvarān nirguṇā eva prajāḥ syuḥ | na	ISvaraH kAraNam syAt tatas nirguNAt ISvarAn nirguNAH eva prajAH syuH | na
   caivam | tasmād īśvaraḥ kāraṇaṃ na bhavati | evaṃ puruṣo 'pi draṣṭavyaḥ |	ca-evam | tasmAt ISvaraH kAraNam na Bavati | evam puruzaH api drazwavyaH |
   svabhāvo nāma na kaścit padārtho 'sti | yataḥ prajānām utpattisaṅgatiḥ	svaBAvaH nAma na kaScid padArTaH asti | yatas prajAnAm utpatti-saFgatiH
   syāt | tasmād yo brūte svabhāvaḥ kāraṇam iti tan mithyā | kecit kālaṃ	syAt | tasmAt yaH brUte svaBAvaH kAraNam iti tat miTyA | kecid kAlam
   kāraṇatayā varṇayanti ---	kAraNa-tayA varNayanti ---
   "kālaḥ sṛjati bhūtāni kālaḥ saṃharate prajāḥ /	"kAlaH sRjati BUtAni kAlaH saMharate prajAH /
   (mahābhārata 3 |13 |70 |57)	(mahABArata 3 |13 |70 |57)
   kālaḥ supteṣu jāgarti tasmāt kālas tu kāraṇam" //	kAlaH suptezu jAgarti tasmAt kAlaH tu kAraNam" //
   tad api sāṅkhyo nirākurute | kālo nāma na kaścit padārtho 'sti | vyaktam	tat api sAFKyaH nirAkurute | kAlaH nAma na kaScid padArTaH asti | vyaktam
   avyaktaṃ puruṣa iti traya eva padārthāḥ | tatra kālo 'ntarbhūtaḥ | evaṃ	avyaktam puruzaH iti trayaH eva padArTAH | tatra kAlaH antarBUtaH | evam
   pradhānaṃ hitvā nāsty anyat kāraṇam | tatpradhānāvagamaṃ prati yadā	praDAnam hitvA na-asti anyat kAraNam | tad-praDAna-avagamam prati yadA
   puruṣasya samyagjñānam utpadyate tadā tena jñānena dṛṣṭā prakṛtiḥ	puruzasya samyak-jQAnam utpadyate tadA tena jQAnena dRzwA prakRtiH
   puruṣasaṅgān nivartate | svairiṇīva puruṣeṇopalakṣitā | aye iyam asādhvī	puruza-saFgAt nivartate | svEriNI-iva puruzeNa-upalakzitA | aye iyam asADvI
