   daśamaḥ paricchedaḥ	daSamaH paricCedaH
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) daśavidhaṃ virodhābhāsālaṅkāramāha  jītirityādi /	(vi, ha) daSaviDam viroDa ABAsa alaFkAra mAha  jItiH ityAdi /
        jātyādau jātiguṇakriyādravyairmitho viruddhairiti yathāliṅgamanvayaḥ	jAti AdO jAti guNa kriyA dravyEH miTas virudDEH iti yaTAliFgam anvayaH
        guṇaśca jātikriyābhinnaṃ dharmamātraṃ bodhyam /	guNaH ca jAti kriyA Binnam Darma mAtram boDyam /
        guṇādibhistribhiriti /	guNa AdiBiH triBiH iti /
        tasya jātyā saha virodhastu jāterguṇena saha virodharūpa eveti	tasya jAtyA saha viroDaH tu jAteH guNena saha viroDa rUpaH eva iti
   pūrvagaṇanāpraviṣṭatvānnoktaḥ /	pUrva gaNanA pravizwa tvAt na uktaH /
        evamuttaradvaye 'pi /	evam uttara dvaye api /
        dvavyaṃ tvekavyaktikaṃ bodhyam /	dvavyam tu eka vyaktikam boDyam /
        Locanā:	LocanA:
        (lo, o) caturbhiḥ jātiguṇakriyādravyaiḥ viruddhamiva bhāseta,	(lo, o) caturBiH jAti guNa kriyA dravyEH virudDam iva BAseta,
   paryavasāne tu āvirodha eva anyathā doṣāvahatvādityarthaḥ /	paryavasAne tu AviroDaH eva anyaTA doza Avaha tvAt iti arTaH /
        guṇasya jātyā saha jāterguṇena saha virodha eveti guṇaviruddhasya	guNasya jAtyA saha jAteH guNena saha viroDaH eva iti guNa virudDasya
   traividhyameva /	trEviDyam eva /
        evameva kriyāviruddhasya caikyavidhyamevetiḥ  śākṛtirdaśaprakāro	evam eva kriyA virudDasya ca Ekya viDyam eva itiH  Sa AkRtiH daSa prakAraH 
   virodhaḥ /	viroDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   krameṇa yathā  	krameNa yaTA  
   "tava virahe malayamaruddavānalaḥ śaśiruco 'pi soṣmāṇaḥ /	"tava virahe malaya marut dava analaH SaSi rucaH api sa UzmANaH /
   hṛdayamalirutamapi bhinte nalinīdalamapi nidāgharavirasyāḥ" //	hRdayam aliH utam api Binte nalinI dalam api nidAGa ravirasyAH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) tatra jāteścaturbhiśca saha virodhamekaśloke eva	(vi, ka) tatra jAteH caturBiH ca saha viroDam eka Sloke eva
   darśayati   tava viraha iti /	darSayati    tava virahaH iti /
        tava virahe 'syā iti malayapavanādau sarvatrānvayaḥ /	tava virahe asyAH iti malaya pavana AdO sarvatra anvayaH /
        atra davadahanatvamalayapavanatvajātyaurvirodhaḥ /	atra dava dahana tva malaya pavana tva jAtyOH viroDaH /
        na cātra rūpakam,	na ca atra rUpakam,
   dāhakatvaśītalatvadharmavyāpyayorjātyorvirodhasyaiva puraḥ sphūrttikatvāt	dAhaka tva SItalatva Darma vyApyayoH jAtyoH viroDasya eva puras sPUrttika tvAt 
        śaśiruco 'pītyatra śaśirucitvajāteśca soṣmatvaguṇavirodhaḥ /	SaSi rucaH api iti atra SaSi rucitva jAteH ca sa Uzma tva guNa viroDaH /
        hṛdayamityatrālirutatvajāterbhedena kriyayā virodhaḥ /	hRdayam iti atra aliH uta tva jAteH Bedena kriyayA viroDaH /
        nalinīdalamapītyatra nalinīdalatvajāternidāgharaviṇā dravyeṇa saha	nalinI dalam api iti atra nalinI dala tva jAteH nidAGa raviNA dravyeNa saha
   tādātmyena virodhaḥ /	tAdAtmyena viroDaH /
        atrāpi viruddhadharmavyāpyatvād virodhasyaiva puraḥ	atra api virudDa Darma vyApya tvAt viroDasya eva puras 
   sphūrttikatvādapikāreṇa virodhabodhanācca na rūpakam /	sPUrttika tvAt apikAreNa viroDa boDanAt ca na rUpakam /
        raveruṣmatvavyāpyatā tu tādātmyena /	raveH uzma tu a vyApya tA tu tAdAtmyena /
        ravīṇāṃ dvādaśatve 'pi nātra jātivirodhaḥ,	ravINAm dvAdaSa tve api na atra jAti viroDaH,
   nidāghīyaviśeṣaṇādṛtuṣaṭkapravarttakaraverevātra ravipadārthatvāt	nidAGIya viSezaNAt Rtu zawka pravarttaka raveH eva atra ravi padArTa tvAt
   tasyaikatvādeva /	tasya eka tvAt eva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "santatamusalāsaṅgādvahutaragṛhakarmaghaṭanayā nṛpate ! /	"santata musala AsaFgAt vahutara gRha karma GawanayA nRpate ! /
   dvijapatnīnāṃ kaṭhināḥ sati bhavati karāḥ sarojasukumārāḥ" //	dvija patnInAm kaWinAH sati Bavati karAH saroja sukumArAH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) guṇasya guṇavirodhamāha   santateti /	(vi, Ka) guNasya guNa viroDam Aha   santatA iti /
        he nṛpa ! te pūrvaṃ santatetyādinā kaṭhinā dvijapatnīnāṃ karā	he nRpa ! te pUrvam santata ityAdinA kaWinA dvijapatnInAm karA
   bhavanti sarojasukumārāḥ /	Bavanti saroja sukumArAH /
        tvayā sampaddānena dāsībhi karmakaraṇāt karasaukumāryam /	tvayA sampad dAnena dAsIBi karma karaNAt kara sOkumAryam /
        atra kaṭhinatvasaukumāryaguṇayorvirodhaḥ /	atra kaWina tva sOkumArya guNayoH viroDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "ajasya gṛhṇato janma nirīhasya hatadviṣaḥ /	"ajasya gRhNataH janma nirIhasya hata dvizaH /
   svapato jāgarūkasya yāthārthyaṃ veda kastava" //	svapataH jAgarUkasya yATArTyam veda kastava" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) guṇasya kriyāvirodhamāha   ajasyeti /	(vi, ga) guNasya kriyA viroDa m Aha   ajasya iti /
        īśvaraṃ prati devānāṃ stutirayam /	ISvaram prati devAnAm stutiH ayam /
        ajasyetyatra janmābhāvaguṇajanmagrahaṇakriyayorvirodhaḥ /	ajasya iti atra janma aBAva guNa janma grahaNa kriyayoH viroDaH /
        evaṃ nirīhatvanidrārūpasvāpaguṇayorapi śatruhananajāgaraṇakriyābhyām	evam nirIha tva nidrA rUpa svApa guNayoH api Satru hanana jAgaraNa kriyAByAm
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "vallabhotsaṅgasaṅgena vinā hariṇacakṣuṣaḥ /	"vallaBa utsaFga saFgena vinA hariNa cakzuzaH /
   rākāvibhāvarījānirviṣajvālākulo 'bhavat" //	rAkA viBAvarI jA niH viza jvAlA AkulaH aBavat" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) guṇasya dravyavirodhamāha   vallabhotsaṅgasaṅgeneti /	(vi, Ga) guNasya dravya viroDa mAha   vallaBa utsaFga saFgena iti /
        tad vinā virahiṇyā ityarthaḥ /	tat vinA virahiNyAH iti arTaH /
        rākāvibhāvarījāniḥ pūrṇacandraḥ /	rAkA viBAvarI jAniH pUrNa candraH /
        atra candro dravyamekavyaktikaratvāt /	atra candraH dravyam eka vyakti kara tvAt /
        tasya tādātmyena viṣajvālākulatvaguṇavirodhaḥ /	tasya tAdAtmyena viza jvAlA Akula tva guNa viroDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nayanayugāsecanakaṃ mānasavṛttayāpi duṣprāpam /	nayana yuga Asecanakam mAnasa vRttayA api duzprApam /
   rūpamidaṃ madirākṣyā madayati hṛdayaṃ dunoti ca me //	rUpam idam madirA akzyA madayati hRdayam dunoti ca me //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) kriyāyāḥ kriyāvirodhamāha   nayanayugeti /	(vi, Fa) kriyAyAH kriyA viroDam Aha   nayana yuga iti /
        āsecanakaṃ sekena tāpanāśakam amṛtena secanakaṃ vā /	Asecanakam sekena tApa nASakam amRtena secanakam vA /
        duṣprāpamanyastrībhiḥ /	duzprApam anya strIBiH /
        atra madanādikriyayorvirodhaḥ /	atra madana Adi kriyayoH viroDaH /
        Locanā:	LocanA:
        (lo, au) "tadāsecanakaṃ tṛpternāstyanto yasya darśanāt'; amaraḥ /	(lo, O) "tad A secanakam tRpteH na asti antaH yasya darSanAt a; amaraH /
        madiro mattacakoraḥ /	madiraH matta cakoraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "tvadvāji" ityādi /	"tvat vAji" ityAdi /
   "vallabhotsaṅga'  ityādiśloke caturthapāde "madhyandinadinādhipaḥ" iti	"vallaBa utsaFga a  iti Adi Sloke caturTa pAde "maDyandina dina aDipaH" iti
   pāṭhe dravyayorvirodhaḥ /	pAWe dravyayoH viroDaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) kriyāyā dravyavirodhamāha  tvadvājirajīti /	(vi, ca) kriyAyAH dravya viroDam Aha   tvadvAji rajI iti /
        atra haro dravyaṃ, tādātmyena tasya	atra haraH dravyan, tAdAtmyena tasya
   nañarthaviśiṣṭadhāraṇakriyāvirodhaḥ /	naQarTa viSizwa DAraNa kriyA viroDaH /
        vastutastu nedamudāharaṇamucitaṃ gaṅgāṃ dadhato 'sya	vastutas tu na idam udAharaNam ucitam gaFgAm daDataH asya
   dhāraṇakriyābhārarūpaguṇasyaiva viruddhatvāt /	DAraNa kriyA BAra rUpa guNasya eva virudDa tvAt /
        kintu "mokṣyate śiraso gaṅgāṃ bhuribhārakarīṃ hara'; ityevaṃ	kintu "mokzyate SirasaH gaFgAm Buri BAra karIm hara a; iti evam
   pāṭhaviśiṣṭamevedamudāharaṇaṃ bodhyam /	pAWa viSizwam eva idam udAharaNam boDyam /
        madhyandinadinādhipa iti pāṭhe iti /	maDyandina dina aDipaH iti pAWe iti /
        candrasūryayorviruddhaśītoṣṇaguṇavattvena virodhasya puraḥ	candra sUryayoH virudDa SIta uzNa guNavat tvena viroDasya puras 
   sphurttikatvād atrāpi na rūpakam /	sPurttika tvAt atra api na rUpakam /
        dinādipaścaika eva sūryo nāpare ekādeśā iti na jātivirodhaḥ /	dinAdipaSca ekaH eva sUryaH na apare ekAdeSAH iti na jAti viroDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra "tava viraha " ityādau pavanādīnāṃ bahuvyaktivācakatvājjātiśabdānāṃ	atra "tava viraha " ityAdO pavana AdInAm bahu vyakti vAcaka tvAt jAti SabdAnAm
   davānaloṣmahṛdayabhedanasūryairjātiguṇakriyādravyarūpairanyonyaṃ virodho	davAnalozma hRdaya Bedana sUryEH jAti guNa kriyA dravya rUpEH anyonyam viroDaH 
   mukhata ābhāsate, virahahetukatvātsamādhānam /	muKataH ABAsate, viraha hetuka tvAt samADAnam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) atra prathamaśloke jāteścaturbhiḥ saha virodhaṃ	(vi, Ca) atra praTama Sloke jAteH caturBiH saha viroDam
   grāhayati  atra tava viraha ityādāviti /	grAhayati  atra tava virahaH iti AdO= iti /
        pavanādīnāmityādipadāt śaśirucyalirutanalinīdalapadaparigrahaḥ /	pavana AdInAm ityAdi padAt SaSi ruci ali ruta nalinI dala pada parigrahaH /
        eṣāṃ sarveṣāṃ bahuvyaktivācakatvādityarthaḥ /	ezAm sarvezAm bahu vyakti vAcaka tvAt iti arTaH /
        mukhataḥ  āpātataḥ /	muKataH  ApAtataH /
        teṣāṃ yathoktajātyāvirodhaṃ darśayati   virahahetukatvāditi /	tezAm yaTA ukta jAtyA viroDam darSayati    viraha hetuka tvAt iti /
        samādhānamavirodhaḥ /	samADAnam aviroDaH /
        virodhahetukatvaṃ virodhaṃ vyaktyoreva /	viroDa hetuka tvam viroDam vyaktyoH eva /
        teddhatutvaṃ tadvyaktyāropamātram /	tedDatu tvam tad vyakti Aropa mAtram /
        natu viruddhayorvāstavamaikādhikaraṇayamityarthaḥ /	na tu virudDayoH vAstavam a eka aDikaraNayam iti arTaH /
        eva mityādikaṃ spaṣṭam /	eva miti Adikam spazwam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "ajasya " ityādāvajatvādiguṇasya janmaprahaṇādikriyayā virodhaḥ,	"ajasya " iti AdO= aja tva Adi guNasya janma prahaNa Adi kriyayA viroDaH,
   bhagavataḥ prabhāvasyātiśāyitvāttu samādhānam /	BagavataH praBAvasya atiSAyi tvAt tu samADAnam /
   "tvadvāji " ityādau "haro 'pi śirasā gaṅgāṃ na dhatte" iti virodhaḥ,	"tvad vAji " ityAdO "haraH api SirasA gaFgAm na Datte" iti viroDaH,
   "tvadvāji " ityādikaviprauḍhoktyā tu samādhānam /	"tvat vAji " iti Adika vi prOXA uktyA tu samADAnam /
   spaṣṭamanyat /	spazwam anyat /
   vibhāvanāyāṃ kāraṇābhāvenopanibadhyamānatvātkāryameva bādhyatvena	viBAvanAyAm kAraNa aBAvena upanibaDyamAna tvAt kAryam eva bADya tvena
   pratīyate, viśoṣoktau ca kāryābhāvena kāraṇameva; iha tvanyonyaṃ dvayorapi	pratIyate, viSoza uktO ca kArya aBAvena kAraNam eva; iha tu anyonyam dvayoH api
   bādhyatvamiti bhedaḥ /	bADya tvam iti BedaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) vibhāvanāviśeṣoktyorapi kāraṇābhāve kāryasattvayoḥ	(vi, ja) viBAvanA viSeza uktyoH api kAraNa aBAve kArya sattvayoH
   kāryābhāvakāraṇasattvayośca viruddhatvena bhāsamānatvād	kArya aBAva kAraNa sattvayoH ca virudDa tvena BAsamAna tvAt 
   virodhābhāsatvaprasaktau tata enaṃ viśeṣayitumāha   vibhāvanāyāmiti /	viroDa ABAsa tva prasaktO tatas enam viSezayitum Aha   viBAvanAyAm iti /
        kāraṇābhāvena sahopanibadhyamānatvādityarthaḥ /	kAraNa aBAvena saha upanibaDyamAna tvAt iti arTaH /
        viśeṣoktāviti kāraṇamātrasāmagrī, tasyā eva phalabhāvakāle	viSeza uktO= iti kAraNa mAtra sAmagrI, tasyAH eva Pala BAva kAle
   bādhyatvapratīteḥ /	bADya tva pratIteH /
        viśeṣoktyudāharaṇeṣu yadyatkāraṇaṃ nirdiṣṭaṃ tasyaiva	viSeza ukti udAharaNezu yat yat kAraNam nirdizwam tasya eva
   sāmagrītvenādhyāse evaṃ vaicitryāt /	sAmagrI tvena aDyAse evam vEcitryAt /
        anyathā kāraṇāntarābhāvaprayukte phalābhāve kima vaicitryam //	anyaTA kAraNa antara aBAva prayukte Pala aBAve kima vEcitryam //
        Locanā:	LocanA:
        (lo, a) kāraṇābhāve ityanantaraṃ balavadityarthaḥ /	(lo, a) kAraNa aBAve iti anantaram balavat iti arTaH /
        evamanyatra /	evam anyatra /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kāryakāraṇayorbhinnadeśatāyāmasaṅgatiḥ /	kArya kAraNayoH Binna deSa tA AyAm a saFgatiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) asaṅgtyalaṅkāramāha   kāryakāraṇayoriti /	(vi, Ja) asaFgti alaFkAra mAha    kArya kAraNayoH iti /
        utpāttakāle samānadeśatayā pratītiniyatayorityartaḥ /	utpAtta kAle samAna deSa tayA pratIti niyatayoH iti artaH /
        tenānyadā bhinnadeśayordaṇḍaghaṭayoḥ sarvadaiva bhinnadeśayoḥ	tena anyadA Binna deSayoH daNxa GawayoH sarvadA eva Binna deSayoH
   kāryayośca bhinnadeśatve 'pi nāyamalaṅkāraḥ /	kAryayoH ca Binna deSa tve api na ayam alaFkAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   "sā bālā vayamapragalbhamanasaḥ sā strī vayaṃ kātarā sā	"sA bAlA vayam apragalBa manasaH sA strI vayam kAtarA sA
   pīnonnatimatpayodharayugaṃ dhatte sakhedā vayam /	pIna unnatimat payoDara yugam Datte sa KedAH vayam /
   sākrāntā jaghanasthalena guruṇā gantuṃ na śaktā vayaṃ	sa AkrAntAH jaGana sTalena guruNA gantum na SaktAH vayam
   doṣairanyajanāśrayairapaṭavo jātāḥ sma ityadbhutam" //	dozEH anyajana ASrayEH apawavaH jAtAH smaH iti adButam" //
   asyāścāpavādakatvādekadeśasthayorvirodhe virodhālaṅkāraḥ /	asyAH ca apavAdaka tvAt eka deSa sTayoH viroDe viroDa alaFkAraH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) sā bāleti /	(vi, Qa) sA bAlA iti /
        drasthāṃ priyāṃ smṛtvā virahe durbalasyoktiriyam /	drasTAm priyAm smRtvA virahe durbalasya uktiH iyam /
        bālā bālyadharmamṛdutvavatī tatkāryaṃ tasyā eva vaco 'prāgalbhyaṃ	bAlA bAlya Darma mRdu tvavatI tat kAryam tasyAH eva vacaH aprAgalByam
   taccāsmākaṃ virahadaurbalyāt /	tat ca asmAkam viraha dOrbalyAt /
        vastuto bālātve 'pi pīnastanakathanānupapatteḥ /	vastutas bAlA tve api pIna stana kaTana anupapatteH /
        sā strīti kātaryasya strīdharmatvāt /	sA strI iti kAtaryasya strI Darma tvAt /
        gamanāśaktirapi dairbalyāt /	gamana aSaktiH api dErbalyAt /
        virodhālaṅkārabodhakatāmasyā āha   asyā iti /	viroDa alaFkAra boDaka tAm asyAH Aha   asyAH iti /
        virodhālaṅkāro bhinnaikadeśatā niyamenānuktatvādutsargaḥ /	viroDa alaFkAraH Binna eka deSa tA niyamena anukta tvAt utsargaH /
        asyāśca	asyAH ca
   bhinnadeśatāniyamenoktatvenāpavādatvādetadviṣayaparihāreṇaikadeśasthayorave	Binna deSa tA niyamena ukta tvena apavAda tvAt etad vizaya parihAreNa eka deSa sTayaH rave
   virodha ityarthaḥ /	viroDaH iti arTaH /
        Locanā:	LocanA:
        (lo, ā) bhinnadeśasthatvamāptatāyāṃ yaddeśameva kāraṇaṃ taddeśameva	(lo, A) Binna deSa sTa tvam Apta tAyAm yat deSam eva kAraNam tad deSam eva
   kāryamityevameva niyamaḥ /	kAryam iti evam eva niyamaH /
        ekadeśasthayoreva natu bhinnadeśasthayo	eka deSa sTayoH eva na tu Binna deSa sTayo
   apavādavidherbalīyastvāditibhāvaḥ /	apavAda viDeH balIyaH tvAt iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   guṇau kriye vā cetsyātāṃ viruddhe hetukāryayoḥ // VisSd_10.69 //	guNO kriye vA ced syAtAm virudDe hetu kAryayoH // VisSd _10.69 //
   yadvarabdhasya vaiphalyanarthasya ca sambhavaḥ /	yat varabDasya vEPali anarTasya ca samBavaH /
   virūpayoḥ saṃghaṭanā yā ca tadviṣamaṃ matam // VisSd_10.70 //	virUpayoH saMGawanA yA ca tat vizamam matam // VisSd _10.70 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) caturvidhaṃ viṣamālaṅkāramāha   guṇau kriye veti /	(vi, wa) caturviDam vizama alaFkAra mAha    guNO kriye vA iti /
        hutukāryayorguṇau kriye vā yad yadi viruddhe parasparaviparīte syātāṃ	hutu kAryayoH guNO kriye vA yat yadi virudDe paraspara viparIte syAtAm
   tadā etau dve ca viṣame /	tadA etO dve ca vizame /
        tṛtīyamāha  yadārabdhasyeti /	tRtIyam Aha  yat ArabDasya iti /
        vaiphalyamuddeśyaphalābhāvaḥ; pratyutānarthasyotpattirityarthaḥ /	vEPalyam uddeSya Pala aBAvaH; pratyuta anarTasya utpattiH iti arTaH /
        caturthaṃ viṣamamāha  virūpayoriti /	caturTam vizamam Aha  virUpayoH iti /
        virūpatvena parasparasambandhāyogyatvenoktayoryaḥ sambandhaḥ	virUpa tvena paraspara sambanDa ayogya tvena uktayoH yaH sambanDaH
   pratīyata ityarthaḥ /	pratIyate iti arTaH /
        etacca kkadvayaprayoge bodhyam /	etat ca kka dvaya prayoge boDyam /
        Locanā:	LocanA:
        (lo, i) virūpayoranyarūpayoḥ sa ghaṭanāyogaḥ /	(lo, i) virUpayoH anya rUpayoH sa GawanA yogaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   krameṇa yathā  	krameNa yaTA  
   "sadyaḥ karasparśamavāpya citraṃ raṇe raṇe yasya kṛpāṇalekhā /	"sadyas kara sparSam avApya citram raNe raNe yasya kRpANa leKA /
   tamālanīlā śaradindupāṇḍu yaśastrilokābhāraṇaṃ prasūte" //	tamAla nIlA Sarad indu pANxu yaSaH triloka ABAraNam prasUte" //
   atra kāraṇarūpāsilatāyāḥ "kāraṇaguṇā hi kāryaguṇamārabhante" iti	atra kAraNa rUpa asi la tAyAH "kAraNa guNAH hi kArya guNam AraBante" iti
   sthaterviruddhā śuklayaśasa utpattiḥ /	sTateH virudDA Sukla yaSasaH utpattiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) tatra kāryakāraṇayorguṇavirodhamāha   sadya iti /	(vi, Wa) tatra kArya kAraNayoH guNa viroDam Aha    sadyaH iti /
        tamālavannīlā kṛpāṇalekhā lekhākāraḥ kṛpāṇo khaḍgo raṇe raṇe yasya	tamAla vat nIlA kRpANa leKA leKAkAraH kRpANaH KaxgaH raNe raNe yasya
   rājñaḥ karasparśamavāpya śaradinduvatpāṇḍu yaśaḥ sadyaḥ prasūte idaṃ	rAjQaH kara sparSam avApya Sarad indu vat pANxu yaSaH sadyas prasUte idam
   citram /	citram /
        triloketi yaśoviśeṣaṇam /	triloka iti yaSaH viSezaNam /
        atra kāraṇāsilatākāryayaśaso nīlatvāpāṇḍutve viparīte ityāha   atreti	atra kAraNa asi latA kArya yaSasaH nIlatva apANxu tve viparIte iti Aha   atra iti
        guṇasya viruddhā ityanvayaḥ /	guNasya virudDAH iti anvayaH /
        śuklayaśasa utpattiriti /	Sukla yaSasaH utpattiH iti /
        utpadyamānayaśaḥ śuklamiti paryavasittārthaḥ /	utpadyamAna yaSaH Suklam iti paryavasitta arTaH /
        nanu viruddhatve kiṃ vaicitryamityata āha  kāraṇaguṇā iti /	nanu virudDa tve kim vEcitryam iti atas Aha   kAraNa guNAH iti /
        sthiteriti niyamādityarthaḥ /	sTiteH iti niyamAt iti arTaH /
        tathā ca viruddhayorvirodhapradarśanaṃ vaicitryamityarthaḥ /	taTA ca virudDayoH viroDa pradarSanam vEcitryam iti arTaH /
        yadyapyayaṃ niyamaḥ samāvāyikāraṇakāryayoreva tathāpi	yadi api ayam niyamaH samAvAyi kAraNa kAryayoH eva taTA api
   taddarśanātkavinā anyatrāpi tannayamamadhyāsyedaṃ varṇitam /	tad darSanAt kavinA anyatra api tat nayam amaDyAsya idam varNitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "ānandamamandamimaṃ kuvalayadalalocane ! dadāsi tvam /	"a Anandam amandam imam kuvalaya dala locane ! dadAsi tvam /
   virahastvayaiva janitastāpayatitarāṃ śarīraṃ me" //	virahaH tvayA eva janitaH tApayatitarAm SarIram me" //
   atrānandajanakastrīrūpakāraṇāttāpajanakavirahotpattiḥ /	atra Ananda janaka strI rUpa kAraNAt tApa janaka viraha utpattiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) kāraṇakāryayorvirodhamāha   ānandamamandamiti /	(vi, xa) kAraNa kAryayoH viroDam Aha   Anandam amandam iti /
        kuvalayetyādikaṃ sambodhanam /	kuvalaya iti Adikam samboDanam /
        atreti /	atra iti /
        tāpajanakavirahotpattiḥ svotpādyavirahajanyatāpikriyotpattiriti	tApa janaka viraha utpattiH sva utpAdya viraha janya tApi kriyA utpattiH iti
   paryavasitārthaḥ /	paryavasita arTaH /
        tathā ca strītajjanyavirahayoḥ kāraṇakāryayorānandadānatāpakriye ca	taTA ca strI tad janya virahayoH kAraNa kAryayoH Ananda dAna tApa kriye ca
   viruddhe ityarthaḥ /	virudDe iti arTaH /
        etajjanyasyataktriyāsamānakriyāyā eva vaicitryaṃ samabhāvya varṇitam	etat janyasya taktriyA samAna kriyAyAH eva vEcitryam samaBAvya varNitam
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "ayaṃ ratnākaro 'mbhodhirityasevi dhanāśayā /	"ayam ratna AkaraH amBaH Diriti asevi Dana ASayAH /
   dhanaṃ dūre 'stu vadanamapūri kṣāravāribhaiḥ" //	Danam dUre astu vadanam apUri kzAra vAriBEH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi ḍha) ārabdhakāryavaiphalyānarthotpattidvayamudāharati   ayamiti /	(vi Xa) ArabDa kArya vEPalya anarTa utpatti dvayam udAharati    ayam iti /
        ayamambhodhiḥ ratnākara iti kṛtvā mayā dhānāśayā asevi sevitaḥ /	ayam amBoDiH ratna AkaraH iti kRtvA mayA DAnA ASayAH asevi sevitaH /
        dhanaṃ dūre 'stu prāptyaviṣayo 'stu /	Danam dUre astu prApti avizayaH astu /
        kṣāravāribhistu vadanamapūri ityarthaḥ /	kzAra vAriBiH tu vadanam apUri iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra kevalaṃ kāṅkṣitadhanalābho nābhūt, pratyata	atra kevalam kAFkzita Dana lABaH na aBUt, pratyata
   kṣāravāribhirvadanapūraṇam /	kzAra vAriBiH vadana pUraNam /
   "kva vanaṃ taruvalkabhūṣaṇaṃ nṛpalakṣmīḥ kva mahendravanditā /	"kva vanam taru valka BUzaNam nRpa lakzmIH kva mahA indra vanditA /
   niyataṃ pratikūlavatino bata dhātuścaritaṃ suduḥ saham" //	niyatam pratikUlavatinaH bata DAtuH caritam su duH saham" //
   atra vanarājyaśriyorvirūpayoḥ saṃghaṭanā /	atra vana rAjya SriyoH virUpayoH saMGawanAH /
   idaṃ mama /	idam mama /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) virūpayorghaṭanāmāha   kva vanamiti /	(vi, Na) virUpayoH GawanAm Aha   kva vanam iti /
        rāmaṃ śocantyāḥ kauśalyāyā uktiriyam /	rAmam SocantyAH kOSalyAyAH uktiH iyam /
        taruvalkalameva bhūṣaṇaṃ yatra tādṛśāṃ vanaṃ kva nṛpetyādikaṃ kka /	taru valkalam eva BUzaNam yatra tAdRSAm vanam kva nRpa iti Adikam kkaH /
        parasparāsambandhāyogyatayā kkadvayenoktayoranayorekatra rāme ghaṭanā	paraspara asambanDa ayogya tayA kka dvayena uktayoH anayoH ekatra rAme GawanA
        evaṃ "kva sūryaprabhava'; ityādāvapi bodhyam /	evam "kva sUrya praBava a; iti AdO= api boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā vā  	yaTA vA  
   "vipulena sāgaraśayasya kukṣiṇā bhuvanāni yasya papire yugakṣaye /	"vipulena sAgara Sayasya kukziNA BuvanAni yasya papire yuga kzaye /
   madavibhramāsakalayā pape punaḥ sa purastriyaikatamayaikayā dṛśā" //	mada viBramAsakalayA pape punar sa pura striyEkatamayA ekayA dRSA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
