   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   Āraṇyikā - kiṃ ediṇa a-saṃbhāvideṇa | tā ehi | ahiaṃ kkhu saradādaveṇa	ĀraNyikA  kim ediNa a-saMBAvideNa | tAH ehi | ahiam kKu saradAdaveNa
   saṃtappāiṃ ajja vi ṇa me aṅgāiṃ saṃdāvaṃ muñcandi | [kim etenāsaṃbhāvitena	saMtappAim ajja vi Na me aFgAim saMdAvam muQcandi | [kim etena-asaMBAvitena
   | tad ehi | adhikaṃ khalu śaradātapena saṃtaptāny adyāpi na me 'ṅgāni	| tat ehi | aDikam Kalu Sarad-Atapena saMtaptAni adya-api na me aFgAni
   saṃtāpaṃ muñcanti |]	saMtApam muQcanti |]
   Manoramā - ai lajjālue ṇa juttam edāvatthaṃ gadāe vi de appā pacchādiduṃ |	ManoramAH  E lajjAlue Na juttam edAvatTam gadAe vi de appA pacCa-Adi-dum |
   [ayi lajjāluke na yuktam etad avasthāṃ gatayāpi ta ātmā pracchādayitum |]	[ayi lajjA-luke na yuktam etat avasTAm gatayA-api te AtmA pracCAdayitum |]
   (Āraṇyikā mukham avanamayati |)	(ĀraNyikA muKam avanamayati |)
   Manoramā - ai a-visambha-sīle kiṃ dāṇiṃ pacchādesi | ṇīsāsa-ṇiha-viṇiggao	ManoramAH  E a-visamBa--sIle kim dANim pacCAdesi | NI-sAsa-Ni-ha--viNiggao
   diahaṃ ratiṃ vi tujjha aṇurāo	diaham ratim vi tujJa aNurAaH-
   avirada-paḍanta-kusuma-sara-sara-ṇivaha-pautta-huṃkāra-saddo via ṇa bhaṇai	avirada--paxanta--kusuma--sara--sara-Nivaha--pOtta--huMkAra--sat-daH via Na BaNE
   | (ātma-gatam |)ahavā ṇa hu aaṃ kālo uvālambhassa | tā jāva ṇaliṇī-pattāiṃ	| (a-Atma--gatam |)ahavA Na hu aam kAlaH uvAlamBaH-sa | tAH jAva NaliNI--pattAim
   se hiae dāissaṃ | (utthāya [p. 27] dīrghikāya nalinī-pattrāṇi	se hiae dAissam | (utTAya [p. 27] dIrGikAya nalinI--pattrANi
   gṛhītvāraṇyikāyā hṛdaye dadatī |)samassasadu sahī samassasadu sahī | [ayi	gRhItvA-araNyikAyAH hRdaye dadatI |)-samassasadu sahI samassasadu sahI | [ayi
   a-viśrambha-śīle kim idānīṃ pracchādayasi | niśvāsā-nibha-vinirgato	a-viSramBa--SIle kim idAnIm pracCAdayasi | niSvAsA--niBa--vinirgataH-
   divasaṃ rātrim api tavānurāgo	divasam rAtrim api tava-anurAgaH-
   'virata-patat-kusuma-śara-śara-nivaha-pravṛtta-huṅkāra-śabda iva na	avirata-patat--kusuma-Sara--Sara--nivaha--pravRtta--huFkAra--SabdaH iva na
   bhaṇati | (ātma-gatam |) athavā na khalv ayaṃ kāla upālambhasya | tad	BaNati | (a-Atma--gatam |) aTavA na Kalu ayam kAle upAlamBasya | tat-
   yāvan nalinī-patrāṇy asyā hṛdaye dāsyāmi | (utthāya dīrghikāya	yAvat nalinI--patrANi asyAH hRdaye dAsyAmi | (utTAya dIrGikAya
   nalinī-pattrāṇi gṛhītvāraṇyikāyā hṛdaye dadatī |) samāśvasitu sakhī	nalinI--pattrANi gRhItvA-araNyikAyAH hRdaye dadatI |) samASvasitu saKI
   samāśvasitu sakhī |]	samASvasitu saKI |]
   (tataḥ praviśati vidūṣakaḥ)	(tatas praviSati vidUzakaH)
   vidūṣakaḥ - adi-mahaṇto kkhu pia-vaassassa Āraṇṇiāe uvari aṇurāo | jeṇa	vidUzakaH  adi-mahaNtaH kKu pia-vaassassa ĀraNNiAe uvari aNurAaH | jeNa
   pariccatta-rāa-kajjo tāe evva daṃsaṇovāaṃ cintaanto appāṇaṃ viṇodei |	pariccatta--rAa--kajjaH tAe evva daMsaNaH-vAam cintaantaH appANam viNodei |
   (vicintya) kahiṃ dāṇiṃ taṃ pekkhe | ahavā tahiṃ evva dāva digghiāe	(vicintya) kahim dANim tam pekKe | ahavA tahim evva dAva diS-GiAe
   aṇṇesāmi | [atimahān khalu priya-vayasyasyāraṇiyakāyā upary anurāgaḥ |	aNNesAmi | [ati-mahAn Kalu priya-vayasyasya-araNiyakAyAH upari anurAgaH |
   yena parityakta-rāja-kāryas tasyā eva darśanopāyaṃ cintayann ātmānaṃ	yena parityakta-rAja--kAryaH tasyAH eva darSana-upAyam cintayan AtmAnam
   vinodayati | (vicintya |) kutredānīṃ tāṃ prekṣe | athavā tatraiva tāvad	vinodayati | (vicintya |) kutra-idAnIm tAm prekze | aTavA tatra-eva tAvat-
   dīrghikāyām anviṣyāmi | (parikrāmati |)]	dIrGikAyAm anvizyAmi | (parikrAmati |)]
   Manoramā - (ākarṇya |) pada-saddo via suṇīadi | tā kadalī-gumm'-antaridā	ManoramAH  (AkarNya |) pada--sat-daH via suNIadi | tA kadalI--gumm-a-antaridA
   bhavia pekkhamha dāva ko eso tti | [pada-śabda iva śrūyate | tat	Bavia pekKamha dAva kaH esaH tti | [pada--SabdaH iva SrUyate | tat-
   kadalī-gulmāntarite bhūtvā prekṣāvahe tāvat ka eṣa iti |]	kadalI--gulma-antarite BUtvA prekzAvahe tAvat kaH ezaH iti |]
   (ubhe tathā kṛtvā paśyataḥ |)	(uBe taTA kRtvA paSyataH |)
   Āraṇyikā - kahaṃ so evva mahā-rāassa pasa-parivaṭṭa (sic) bamhaṇo |	ĀraNyikA  kaham saH evva mahA--rAaH-sa pasa-parivawwaH (sic) bamhaNaH |
   [kathaṃ sa eva mahā-rājasya pārśva-parivartī brāhmaṇaḥ |]	[kaTam saH eva mahA--rAjasya pArSva-parivartI brAhmaNaH |]
   Manoramā - kahaṃ Vasantao evva | avi ṇāma taha have | [kathaṃ Vasantaka	ManoramAH  kaham VasantaaH evva | avi NAma taha have | [kaTam Vasantaka
   eva | (saharṣam ātma-gatam |) api nāma tathā bhavet |]	eva | (saharzam Atma--gatam |) api nAma taTA Bavet |]
   vidūṣakaḥ - (diśo 'valokya |) kiṃ dāṇiṃ Āraṇṇiā saccaṃ evva saṃvuttā |	vidUzakaH  (diSaH avalokya |) kim dANim ĀraNNiA sat-cam evva saMvuttA |
   [kim idānīm Āraṇyikā satyam eva saṃvṛttā |]	[kim idAnIm ĀraNyikA satyam eva saMvRttAH |]
   Manoramā - (sa-smitam |) sahi rāa-vaasso kkhu bamhaṇo tumaṃ uddissia	ManoramAH  (sa--smitam |) sahi rAa-vaassaH kKu bamhaNaH tumam uddissia
   mantedi | tā dāva avahidā suṇamha | [sakhi rāja-vayasyaḥ khalu brāhmaṇas	mantedi | tAH dAva avahidA suNamha | [saKi rAja-vayasyaH Kalu brAhmaNa-s
   tvām uddiśya mantrayate | tat tāvad avahite śṛṇuvaḥ |]	tvAm uddiSya mantrayate | tat tAvat avahite SRNuvaH |]
   (Āraṇyikā sa-spṛhaṃ sa-lajjaṃ ca śṛṇoti |)	(ĀraNyikA sa--spRham sa-lajjam ca SRNoti |)
   vidūṣakaḥ - (sodvegam |) [p. 28] jadā dāva mae	vidUzakaH  (sA-udvegam |) [p. 28] jadAH dAva mae
   garu-maaṇa-saṃdāva-ṇīsaha-sarīrassa pia-vaassassa vaaṇeṇa devīṇaṃ	garu-maaNa--saMdAva-NI-saha-sarIrassa pia-vaassassa vaaNeNa devINam
   Vāsavadattā-Padumāvadīṇaṃ aṇṇaṇam a devīṇaṃ bhavaṇāiṃ aṇṇesanteṇa ṇa sā	VAsavadattA--Paduma-avadINam aNNaNam a devINam BavaNAim aNNesanteNa Na sA
   diṭṭhā tadā jahiṃ digghiāe diṭṭhā idaṃ vi dāva pekkhissaṃ ti āado mhi | tā	diwWA tadA jahim diS-GiAe diwWAH idam vi dAva pekKiH-sam ti AadaH mhi | tA
   jāva iha vi ṇatthi | kiṃ dāṇiṃ karissaṃ | [yadā tāvan mayā	jAvaH iha vi NatTi | kim dANim karissam | [yadA tAvat mayA
   guru-madana-saṃtāpa-niḥsaha-śarīrasya priya-vayasyasya vacanena devyor	guru-madana--saMtApa--niHsaha--SarIrasya priya-vayasyasya vacanena devyoH-
   Vāsavadattā-Padmāvatyor anyāsāṃ ca devīnāṃ bhavanāny anviṣyatā na sā dṛṣṭā	VAsavadattA--PadmAvatyoH anyAsAm ca devInAm BavanAni anvizyatA na sA dRzwA
   tadā yatra dīrghikāyāṃ dṛṣṭedam api tāvat prekṣiṣya ity āgato 'smi | tad	tadA yatra dIrGikAyAm dRzwA-idam api tAvat prekzizye iti AgataH asmi | tat-
   yāvad ihāpi nāsti | kim idānīṃ kariṣye |]	yAvat iha-api na-asti | kim idAnIm karizye |]
   Manoramā -sudaṃ pia-sahīe | [śrutaṃ priya-sakhyā |]	ManoramAH -sudam pia-sahIe | [Srutam priya--saKyA |]
   vidūṣakaḥ - (vicintya |) ahavā bhaṇido evva ahaṃ vaasseṇa | jai taṃ	vidUzakaH  (vicintya |) ahavAH BaNidaH evva aham vaasseNa | jE tam
   aṇṇesanto ṇa pekkhasi tā tado vi dāva digghiādo tāe	aNNesantaH Na pekKasi tA tadaH vi dAva dighiAdaH tAe
   karaala-pparisa-di-uṇia-suha-ssīalāiṃ ṇaliṇī-pattāiṃ geṇhia āaccha tti |	karaala-ppari-sa-di-uNia--su-ha-ssIalAim NaliNI--pattAim geNhia AacCa tti |
   tā kahaṃ edāiṃ jāṇidavvāiṃ | [athavā bhaṇita evāhaṃ vayasyena | yadi tām	tA kaham edAim jANi-davvAim | [aTavA BaNitaH eva-aham vayasyena | yadi tAm
   anviṣyan na prekṣase tat tato 'pi tāvad dīrghikātas tasyāḥ	anvizyat na prekzase tat tatas api tAvat dIrGikAtaH tasyAH
   karatala-sparśa-dviguṇita-sukha-śītalāni nalinī-patrāṇi gṛhītvāgaccheti |	kara-tala--sparSa--dvi-guNita--suKa--SItalAni nalinI--patrANi gRhItvA-AgacCa-iti |
   tat katham etāni jñātavyāni |]	tat kaTam etAni jQAtavyAni |]
   Manoramā - aaṃ me avasaro | Vasantaa ehi | ahaṃ de jāṇāvemi | [ayaṃ	ManoramAH  aam me avasaraH | VasantaaH ehi | aham de jANAvemi | [ayam
   mamāvasaraḥ | (upasṛtya vidūṣakaṃ haste gṛhītvā |) Vasantaka ehi | ahaṃ te	mama-avasaraH | (upasRtya vidUzakam haste gRhItvA |) VasantakaH ehi | aham te
   jñāpayāmi |]	jQApayAmi |]
   vidūṣakaḥ - (sa-bhayam |) kassa tumaṃ jāṇāvesi | kiṃ devīe | ṇa hu mae kiṃ	vidUzakaH  (sa-Bayam |) kassa tumam jANAvesi | kim devIe | Na hu mae kim
   vi mantidaṃ | [kasya tvaṃ jñāpayāsi | kiṃ devyāḥ | na khalu mayā kim api	vi manti-dam | [kasya tvam jQApayAsi | kim devyAH | na Kalu mayA kim api
   mantritam |]	mantritam |]
   Manoramā - Vasantaa alaṃ saṃkāe | jādisī Āraṇṇiāe kide attaṇo	ManoramAH  Vasantaa alam saMkAe | jAdisI ĀraNNiAe kide attaNaH-
   pia-vaassassa avatthā tue vaṇṇidā tado di-uṇadarā bhaṭṭiṇo vi kide mama	pia-vaassassa avatTA tue vaNNidA tadaH di-uNa-darAH BawwiNaH vi kide mama
   pia-sahīe avatthā | tā pekkha pekkha | (upasṛtya Āraṇyikāṃ darśayati |)	pia-sahIe avatTA | tA pekKa pekKaH | (upasRtya ĀraNyikAm darSayati |)
   [Vasantaka alaṃ śaṅkayā | yādṛśy Āranyikāyāḥ kṛta ātmanaḥ	[Vasantaka alam SaFkayA | yAdRSi ĀranyikAyAH kRtaH AtmanaH
   priya-vayasyasyāvasthā tvayā varṇitā tato dvi-guṇatarā bhartur api kṛte	priya-vayasyasya-avasTA tvayA varNitA tatas dvi-guNatarAH BartuH api kRte
   mama priya-sakhyā avasthā | tat paśya paśya | (upasṛtya Āraṇyikāṃ	mama priya--saKyA avasTA | tat paSya paSya | (upasRtya ĀraNyikAm
   darśayati |)]	darSayati |)]
   [p. 29]	[p. 29]
   vidūṣakaḥ - (dṛṣṭvā sa-harṣam |) sa-phalo me parissamo | sotthi hodīe |	vidUzakaH  (dRzwvA sa-harzam |) sa-PalaH me parissamaH | sotTi hodIe |
   [sa-phalo me pariśramaḥ | svasti bhavatyai |]	[sa-PalaH me pariSramaH | svasti BavatyE |]
   (Āraṇyikā sa-lajjaṃ kamalinī-pattrāṇy apanīyottiṣṭhati |)	(ĀraNyikA sa-lajjam kamalinI--pattrANi apanIya-uttizWati |)
   Manoramā - ajja Vasantaa tuha daṃsaṇena evva avagado pia-sahīe saṃdāvo	ManoramAH  ajjaH Vasantaa tuha daMsaNena evva avagadaH pia-sahIe saMdAvaH-
   jeṇa saaṃ evva ṇaliṇī-pattāiṃ avaṇei | tā aṇugaṇhādu ajjo imāiṃ | [ārya	jeNa saam evva NaliNI--pattAim avaNei | tAH aNu-gaNhAdu ajjaH imAim | [Arya
   Vasantaka | tava darśanenaivāpagataḥ priya-sakhyāḥ saṃtāpo yena svayam eva	VasantakaH | tava darSanena-eva-apagataH priya-saKyAH saMtApaH yena svayam eva
   nalinī-patrāṇy apanayati | tad anugṛhṇātv ārya imāni |]	nalinI--patrANi apanayati | tat anugRhNAtu AryaH imAni |]
   Āraṇyikā - (sāvegam |) ai parihāsa-sīle | kīsa maṃ lajjāvesi | (kiṃcit	ĀraNyikA  (sa-Avegam |) E parihAsa--sIle | kIsa mam lajjA-vesi | (kiMcid-
   parāṅ-mukhītiṣṭhati |) [ayi parihāsa-śīle | kasmān māṃ lajjayasi | (kiṃcit	parAF-muKI-tizWati |) [ayi parihAsa--SIle | kasmAt mAm lajjayasi | (kiMcid-
   parāṅ-mukhī tiṣṭhati |)]	parAF-muKI tizWati |)]
   vidūṣakaḥ - (sa-viṣādam |) ciṭṭhaṃdu dāva ṇaliṇī-pattāiṃ | adi-lajjāluā de	vidUzakaH  (sa-vizAdam |) ciwWaMdu dAva NaliNI--pattAim | adi-lat-jAluAH de
   pia-sahī | tā kahaṃ edāṇaṃ samāamo bhavissadi | [tiṣṭhantu tāvan	pia-sahI | tA kaham edANam samAamaH Bavissadi | [tizWantu tAvan
   nalinī-pattrāṇi | ati(lajjālukā te priya-sakhī | tat katham etayoḥ	nalinI--pattrANi | ati-(lat-jAlukA te priya--saKI | tat kaTam etayoH
   samāgamo bhaviṣyati |]	samAgamaH Bavizyati |]
   Manoramā - (kṣaṇaṃ vicintya sa-harṣam |) Vasantaa evvaṃ via | (karṇe	ManoramAH  (kzaNam vicintya sa-harzam |) VasantaaH evvam via | (karNe
   kathayati |) [Vasantaka evam iva |]	kaTayati |) [VasantakaH evam iva |]
   vidūṣakaḥ - sāhu pia-sahi sāhu | (apavārya |) jāva evva tumhe	vidUzakaH  sAhu pia-sahi sAhu | (apavArya |) jAvaH evva tumhe
   ṇevaccha-ggahaṇaṃ karettha dāva evva ahaṃ vi vaassaṃ geṇhia āacchāmi |	Neva=-Sa-ggahaNam karetTa dAvaH evva aham vi vaassam geNhia AacCAmi |
   [sādhu priya-sakhi sādhu | (apavārya |) yāvad eva yuvāṃ nepathya-grahaṇaṃ	[sADu priya--saKi sADu | (apavArya |) yAvat eva yuvAm nepaTya--grahaNam
   kuruthas tāvad evāham api vayasyaṃ gṛhītvāgacchāmi |]	kuruTaH tAvat eva-aham api vayasyam gRhItvA-AgacCAmi |]
   (iti niṣkrāntaḥ |)	(iti nizkrAntaH |)
   Manoramā - adi-kovaṇe | uṭṭhehi uṭṭhehi | ṇaccidavvaṃ amhehiṃ tassa evva	ManoramAH  adi-kovaNe | uwWehi uwWehi | Naccit-avvam amhehim tassaH evva
   ṇāḍaassa ṇaccida-sesaṃ | tā ehi | pekkhā-gharaṃ evva gacchamha |	NAxaaH-sa Naccit-a-sa-Isam | tAH ehi | pekKA--Garam evva gacCam-ha |
   (parikramyāvalokya |) idaṃ pekkhāgāraṃ | jāva ehi pavisamha | sāhu sāhu |	(parikramya-avalokya |) idam pekKa-AgAram | jAvaH ehi pavi-samha | sAhu sAhu |
   savvaṃ sajjī-kidaṃ | devīe āantavvaṃ | [ati-kopane uttiṣṭhottiṣṭha |	savvam sajjI-kidam | devIe Aantavvam | [ati-kopane uttizWa-uttizWa |
   nartitavyam asmābhis tasyaiva naṭakasya nartita-śeṣam | tad ehi |	nartitavyam asmABiH tasya-eva nawakasya narti-ta--Sezam | tat ehi |
   prekṣā-gṛham eva gacchāvaḥ | (parikramyāvalokya |) idaṃ prekṣāgāram |	prekzA--gRham eva gacCAvaH | (parikramya-avalokya |) idam prekzAgAram |
   yāvad ehi praviśāvaḥ | (praviṣṭakenāvalokya |) sādhu sādhu sarvaṃ	yAvat ehi praviSAvaH | (pravizwakena-avalokya |) sADu sADu sarvam
   sajjī-kṛtam | devyāgantavyam |	sajjI-kRtam | devI-Agantavyam |
   (tataḥ praviśati devī Sāṅkṛtyāyanī vibhavataś ca parivāraḥ |)	(tatas praviSati devI SAFkRtyAyanI viBavataH ca parivAraH |)
   [p. 30]	[p. 30]
   Vāsavadattā - bhavaadi aho de kavittaṇaṃ | jeṇa edaṃ gūḍha-uttantaṃ	VAsavadattA  Bavaa-di aho de kavittaNam | jeNaH edam gUXa--uttantam
   ṇāḍaovaṇibaddhaṃ sāṇubhavaṃ vi amhāṇaṃ ajja-utta-caridaṃ a-diṭṭha-puvvaṃ	NAxaaH-vaNi-badDam sANu-Bavam vi amhANam ajja-utta--caridam a-diwWa-puvvam
   via disantaṃ ahiaaraṃ kodūhalaṃ vaḍḍhaadi | [bhagavati aho te kavitvam |	via disantam ahiaaram kodUhalam vaxXaa-di | [Bagavati aho te kavi-tvam |
   yenaitad gūḍha-vṛttāntaṃ nāṭakopanibaddhaṃ sānubhavam apy asmākam	yena-etat gUXa--vRttAntam nAwakopanibadDam sa-anuBavam api asmAkam
   āryaputra-caritam a-dṛṣṭa-pūrvam iva dṛśyamānam adhikataraṃ kautūhalaṃ	Arya-putra--caritam a-dRzwa--pUrvam iva dRSyamAnam aDikataram kOtUhalam
   vardhayati |]	varDayati |]
   Sāṅkṛtyāyanī - āyuṣmati āśraya-guṇa evāyam īdṛśo yad a-sāram api kāvyam	SAFkRtyAyanI  Ayuzmati ASraya--guNaH eva-ayam IdRSaH yat a-sAram api kAvyam
   avaśyam eva śṛṇvatāṃ śravaṇa-sukham utpādayati | paśya |	avaSyam eva SRNvatAm SravaNa--suKam utpAdayati | paSya |
   prāyo yat kiṃ cid api prāpnoty utkarṣam āśrayān mahataḥ /	prAyas yat kim cit api prApnoti utkarzam ASrayAt mahataH /
   mattebha-kumbha-taṭa-gatam eti hi śṛṅgāratām bhasma // HPri_3.1 //	matta-iBa--kumBa--tawa--gatam eti hi SRFgAra-tAm Basma // HPri_3.1 //
   Vāsavadattā -(sa-smitam) bhaavadi savvassa vallaho jāmādo hodi tti jāṇiadi	VAsavadattA -(sa-smitam) Baavadi savvassa vallahaH jAmAdaH hodi tti jANiadi
   evva edaṃ | tā kiṃ ediṇā kahāṇubandheṇa | varaṃ taṃ evva ṇaccidavvaṃ	evva edam | tA kim ediNA kahA-aNubanDeNa | varam tam evva Naccit-avvaM
   daṭṭhuṃ | [bhagavati sarvasya vallabho jāmātā bhaktīti jñāyata evaitat |	dawWum | [Bagavati sarvasya vallaBaH jAmAtA BaktI-iti jQAyate eva-etat |
   tat kim etena kathānubandhena | varaṃ tad eva nartitavyaṃ draṣṭum |]	tat kim etena kaTA-anubanDena | varam tat eva nartitavyam drazwum |]
   Sāṅkṛtyāyanī - evam | Indīvarike prekṣā-gṛham ādeśaya |	SAFkRtyAyanI  evam | IndIvarike prekzA--gRham AdeSaya |
   ceṭī - edu edu bhaṭṭiṇī | [etu etu bhaṭṭinī |]	cewI  edu edu BawwiNI | [etu etu BawwinI |]
   (sarvāḥ parikrāmanti |)	(sarvAH parikrAmanti |)
   Sāṅkṛtyāyanī - (vilokya |) aho prekṣaṇīyatā prekṣā-gṛhasya |	SAFkRtyAyanI  (vilokya |) aho prekzaNIyatA prekzA-gRhasya |
   ābhāti ratna-śata-śobhita-śāta-kumbha-	ABAti ratna--Sata--SoBita-SAta-kumBa-
   stambhāvasakta-pṛthu-mauktika-dāma-ramyam /	stamBa-avasakta--pRTu--mOktika-dAma--ramyam /
   adhyāsitaṃ yuvatibhir vijitāpsarobhiḥ	aDyAsitam yuvatiBiH vijita-apsaroBiH
   prekṣā-gṛhaṃ sura-vimāna-samānam etat // HPri_3.2 //	prekzA--gRham sura--vimAna--samAnam etat // HPri_3.2 //
   [p. 31]	[p. 31]
   Manoramāraṇyake -(upasṛtya |) jedu jedu bhaṭṭiṇī | [jayatu jayatu bhaṭṭinī	Mana-uram-AraNyake -(upasRtya |) jedu jedu BawwiNI | [jayatu jayatu BawwinI
   Vāsavadattā -Maṇorame adikkandā khu saṃjjhā | tā gacchaha | lahu gaṇhaha	VAsavadattA -MaNa-urame adiS-kandA Ku saMjJA | tAH gacCaha | lahu gaNhaha
   ṇevacchaṃ | [Manorame atikrāntā khalu saṃdhyā | tad gacchatam | laghu	NA-ivacCam | [Manorame atikrAntA Kalu saMDyA | tat gacCatam | laGu
   gṛhṇītaṃ nepathyam |]	gRhNItam nepaTyam |]
   ubhe - jaṃ devī āṇavedi | [yad devy ājñāpayati |]	uBe  jam devI ANavedi | [yat devI AjQApayati |]
   (iti prasthite |)	(iti prasTite |)
   Vāsavadattā - Āraṇṇie edehiṃ evva mad-anga-piṇaddhehiṃ ābharaṇehiṃ	Va-AsavadattA  ĀraNNie edehim evva mad--an-ga-piNadDehim ABaraNa-ihim
   ṇevaccha-bhūmiṃ gadua appāṇaaṃ pasāhehi | (ābharaṇāny aṅgād avatārya	NA-ivacCa-BUmim gadua appANaam pasAhehi | (a-ABaraNAni aFgAt avatArya
   Āraṇyikāyāḥ samarpayati) Maṇorame tumaṃ vi Ṇalagiri-ggahaṇa-parituṭṭheṇa	ĀraNyikAyAH samarpayati) MaNa-urame tumam vi Ṇala-giri--ggahaNa--parituwWeNa
   tādeṇa ajja-uttassa diṇṇāiṃ ābharaṇāiṃ Indīvariā-saāsādo geṇhia	tAdeNa ajja-uttassa diNNAim ABaraNAim IndI-variA--saAsAdaH geNhia
   ṇevaccha-bhūmiaṃ gadua appāṇaṃ maṇḍehi jeṇa su-sadisī dīsasi mahā-rāassa |	NevacCa--BUmiam gadua appANam maNxehi jeNa su-sadisI dIsasi mahA--rAaH-sa |
   [Āraṇyike etair eva mad-aṅga-pinaddhair ābharaṇair nepathya-bhūmiṃ	[ĀraNyike etEH eva mad--aFga-pinadDEH ABaraNEH nepaTya--BUmim
   gatvātmānaṃ prasādhya | (ābharaṇāny aṅgād avatārya Āraṇyikāyāḥ	gatvA-AtmAnam prasADya | (a-ABaraNAni aFgAt avatArya ĀraNyikAyAH
   samarpayati) Manorame tvam api Nalagiri-grahaṇa-parituṣṭena	samarpayati) Manorame tvam api Nala-giri--grahaNa--parituzwena
   tātenāryaputrasya dattāny ābharaṇānīndīvarikā-sakāśād gṛhītvā	tAtena-Arya-putrasya dattAni ABaraNAni-indIvarikA--sakASAt gRhItvA
   nepathya-bhūmiṃ gatvātmānaṃ maṇḍaya yena su-sadṛśī dṛśyase mahā-rājasya |]	nepaTya--BUmim gatvA-AtmAnam maNxaya yena su--sadRSI dRSyase mahA--rAjasya |]
   (Manoramā Indīvarikā-sakāśād ābharaṇāni gṛhītvā sahāraṇyakayā niṣkrāntā |)	(ManoramAH IndI-varikA--sakASAt ABaraNAni gRhItvA saha-AraNyakayA nizkrAntAH |)
   Indīvarikā - edaṃ āsaṇaṃ | uvavisadu bhaṭṭiṇī | [idam āsanam | upaviśatu	IndIvarikA  edam AsaNam | uvavisadu BawwiNI | [idam Asanam | upaviSatu
   bhaṭṭiṇī |]	BawwiNI |]
   Vāsavadattā -(āsanaṃ nirdiśya |) uvavisadu bhaavadī | [upaviśatu bhagavatī	VAsavadattA -(Asanam nirdiSya |) uvavisadu BaavadI | [upaviSatu BagavatI
   (ubhe upaviśataḥ |)	(uBe upaviSataH |)
   (tataḥ praviśati gṛhīta-nepathyaḥ kañcukī |)	(tatas praviSati gRhIta-nepaTyaH kaQcukI |)
   kañcukī -	kaQcukI -
   antaḥpurāṇāṃ vihita-vyavasthaḥ	antaHpurANAm vihita--vyavasTaH
   pade pade 'haṃ skhalitāni rakṣan /	pade pade aham sKalitAni rakzan /
   [p. 32]	[p. 32]
   jarāturaḥ samprati daṇḍa-nītyā	jarA-AturaH samprati daNxa-nItyA
   sarvaṃ nṛpasyānukaromi vṛttam // HPri_3.3 //	sarvam nRpasya-anukaromi vRttam // HPri_3.3 //
   bhoḥ ājñāpito 'smi vimānitāśeṣa-śatru-sainyena yathārtha-nāmnā Mahāsenena	BoH AjQApitaH asmi vimAnita-aSeza--Satru--sEnyena yaTArTa-nAmnA MahAsenena
   samādiśyatām antaḥpureṣu yathā - śvo vayam Udayanotsavam anubhavāmaḥ | ato	samAdiSyatAm antaHpurezu yaTA  Svas vayam Udayana-utsavam anuBavAmaH | atas-
   yuṣmābhir utsavānurūpa-veṣojjvalena parijanena saha Manmathodyānaṃ	yuzmABiH utsava-anurUpa--veza-ujjvalena parijanena saha ManmaTa-udyAnam
   gantavyam iti |	gantavyam iti |
   Sāṅkṛtyāyanī - (kañcukinaṃ nirdiśya |) rāja-putri pravṛttā prekṣā |	SAFkRtyAyanI  (kaQcukinam nirdiSya |) rAja--putri pravRttA prekzA |
   dṛśyatām |	dRSyatAm |
   kañcukī - tad etad ādeṣṭavyam parijanena saha gantavyam iti | na	kaQcukI  tat etat Adezwavyam parijanena saha gantavyam iti | na
   gṛhīta-nepathyeneti | kutaḥ |	gRhIta-nepaTyena-iti | kutas |
   pādair nūpuribhir nitamba-phalakaiḥ śiñjāna-kāñcī-guṇair	pAdEH nUpuriBiH nitamba--PalakEH SiQjA-na--kAQcI--guNEH-
   hārāpādita-kāntibhiḥ stana-taṭaiḥ keyūribhir bāhubhiḥ /	hAra-ApAdi-ta--kAntiBiH stana--tawEH keyUriBiH bAhuBiH /
   karṇaiḥ kuṇḍalibhiḥ karaiḥ sa-valayaiḥ sa-svastikair mūrdha-jair	karNEH kuNxaliBiH karEH sa-valayEH sa-svastikEH mUrDa-jEH-
   devīnāṃ paricārikā-parijano 'py eteṣu saṃdṛśyate // HPri_3.4 //	devInAm paricArikA--parijanaH api etezu saMdRSyate // HPri_3.4 //
   na khalu kiṃcid atrāpūrvam anuṣṭheyam | kevalaṃ svāmy-ādeśa iti matvāhaṃ	na Kalu kiMcid atra-apUrvam anuzWeyam | kevalam svAmy-AdeSaH iti matvA-aham
   samādiṣṭas tad ājñā-śeṣaṃ rāja-putryai nivedayāmi | (parikramyāvalokya ca	samAdizwaH tat AjQA--Sezam rAja--putryE nivedayAmi | (parikramya-avalokya ca
   |) iyaṃ [p. 33] sā Vāsavadattā vīṇā-hastayā Kāñcanamālayānugamyamānā	|) iyam [p. 33] sA VAsavadattA vINA-hastayA KAQcanam-AlayA-anugamyamAnA
   gandharva-śālām praviṣṭā | yāvad asyāḥ kathayāmi | (parikrāmati |)	ganDarva--SAlAm pravizwAH | yAvat asyAH kaTayAmi | (parikrAmati |)
   (tataḥ praviśati gṛhīta-Vāsavadattā-nepathyāsanasthāraṇyikā	(tatas praviSati gRhIta--VAsavadattA--nepaTi-Asana-sTAraNyikA
   vīṇā-hastā Kāñcanamālā ca |)	vINA--hastA KAQcana-mAlA ca |)
   Āraṇyikā - halā Kancaṇamāle kīsa uṇa cirāadi ajja vi vīṇāārio | [halā	ĀraNyikA  halA KancaNa-mAle kIsaH uNa cirAadi ajja vi vINAAriaH | [halA
