   Upāyahṛdayam /	UpAya hRdayam /
   10. anyacca / ātmā nityo 'nindriyakatvāditi bhavatsthāpanā / so	10. anyat ca / AtmA nityaH anindriyaka tvAt iti Bavat sTApanA / saH 
   'yaṃ[hetu]rvartamāne 'tīte 'nāgate vā / atīta iti cedatītatvānnaṣṭāḥ /	ayaM[hetu]rvartamAne atIte anAgate vA / atItaH iti ced atIta tvAt nazwAH /
   anāgata iti cedabhāvaḥ / vartamāna (# Uh 29.#) iti cettadāhetuḥ / yathā	anAgataH iti ced aBAvaH / vartamAnaH (# Uh 29.#) iti ced tadA hetuH / yaTA
   śṛṅge yugapadeva jātatvānnānyonyahetuke / iti kālasamam /	SRFge yugapad eva jAta tvAt na anyonya hetuke / iti kAla samam /
   11. anyacca / ātmā nityo 'naindriyakatvāditi bhavatsthāpanā / atha	11. anyat ca / AtmA nityaH anEndriyaka tvAt iti Bavat sTApanAH / aTa
   prāpyāprāpya vā heturiti / aprāpya cedasiddho hetuḥ / yathāgniraprāpya	prApya aprApya vA hetuH iti / aprApya ced asidDaH hetuH / yaTA agniH aprApya
   dahanāsamarthaḥ, asiścāprāpya chedanāsamarthaḥ / ātmānamaprāpya kathaṃ	dahana asamarTaH, asiH ca aprApya CedanA samarTaH / AtmAnam aprApya kaTam
   heturbhavet / ityaprāpti[samam] /	hetuH Bavet / iti aprApti[samam] /
   12. anyacca / prāpya iti cet, prāpterahetutvam / iti prāptisamam /	12. anyat ca / prApya iti cet, prApteH ahetu tvam / iti prApti samam /
   13. anyacca / sarvamanityam / na tvātmā sarvaṃ, tato nitya iti	13. anyat ca / sarvam anityam / na tu AtmA sarvan, tatas nityaH iti
   bhavatpratijñā ātmā ca tadbhāvādanitya iti vaktavyaḥ, kiñciddagdho hi	Bavat pratijQA AtmA ca tad BAvAt anityaH iti vaktavyaH, kiQcid dagDaH hi
   kambalaḥ prāyeṇādagdhatvādadagdha ityucyate / etadviruddham /	kambalaH prAyeNa adagDa tvAt adagDaH iti ucyate / etat virudDam /
   14. anyacca / ātmānaindriyakatvādākāśatulya iti bhavatsthāpanā /	14. anyat ca / AtmA nEndriyaka tvAt AkASa tulyaH iti Bavat sTApanA /
   ākāśasyānupalabdhirātmano 'pi tathātvam / ātmana upalabdhiriti cettadākāśo	AkASasya anupalabDiH AtmanaH api taTAtvam / AtmanaH upalabDiH iti ced tat AkASaH 
   'pi sukhadūḥkhadikamupalabheta / ātmana ākāśasya cābhinnatvāt /	api suKa dUHKadikam upalaBeta / AtmanaH AkASasya ca aBinna tvAt /
   etadaviruddham /	etat avirudDam /
   15. anyacca / ātmanaḥ sadbhāvavannityatāniyatā / laukikānāṃ	15. anyat ca / AtmanaH sadBAva vat nitya tA niyatA / lOkikAnAm
   saṃśayasambhavo nityo 'nityo veti / etat saṃśayasamam /	saMSaya samBavaH nityaH anityaH vA iti / etat saMSaya samam /
   16. anyacca / astyātmānaindriyakatvāditi bhavadvacanam atha vimarśaḥ	16. anyat ca / asti AtmA nEndriyaka tvAt iti Bavat vacanam aTa vimarSaH
   kenāvaraṇenānupalabdhiḥ / kāraṇamatra vaktavyam / yadi kāraṇaṃ na vidyata	kena AvaraNena anupalabDiH / kAraNam atra vaktavyam / yadi kAraNam na vidyata
   ātmārthasya hāniḥ / ityasaṃśayasamam /	Atma arTasya hAniH / iti asaMSaya samam /
   (# Uh 30.#)	(# Uh 30.#)
   17. anyacca / ātmānaindriyakatrvānnitya iti bhavatā pratijñātam / atha	17. anyat ca / AtmAnEndriya katrvAt nityaH iti BavatA pratijQAtam / aTa
   mūlakilodakānyanaindriyakānyapyanityānyātmā tu kathaṃ nityaḥ / iti	mUla kila udakAni anEndriyakAni api anityAni AtmA tu kaTam nityaH / iti
   pratidṛṣṭānta[sama]m /	pratidRzwAnta[ sama]m /
   18. anyacca / sūtreṣu ātmano 'nupalabdhiruktā tasmāttasya nityatā jñāteti	18. anyat ca / sUtrezu AtmanaH anupalabDiH uktA tasmAt tasya nityatA jQAtA iti
   bhavataḥ [sthāpanā] / (parantu) nāstyātmā nāstyātmīyamityapi sūtreṣūktam /	BavataH [sTApanA] / (parantu) na asti AtmA na asti AtmIyam iti api sUtrezu uktam /
   nirgranthadharme cātmānityatoktā / ātmanityatve niyate sati sūtrāṇāṃ	nirgranTa Darme ca Atma anitya tA uktA / Atma nitya tve niyate sati sUtrANAm
   vaiṣamyānupapattiḥ / iti śrutisamam /	vEzamya anupapattiH / iti Sruti samam /
   19. anyacca / yadi bhavatā ekameva sūtramadhigacchatātmā nitya iti manyate	19. anyat ca / yadi BavatA ekam eva sUtram aDigacCata AtmA nityaH iti manyate
   / athānyeṣāmapi sūtrāṇāṃ pratīterātmānityo mantavyaḥ / ubhayathā	/ aTa anyezAm api sUtrANAm pratIteH Atma anityaH mantavyaH / uBayaTA
   pratītiriti cedekasyaivātmano nityatvānityatvaprasaṅgaḥ / iti śrutibhinnam	pratItiH iti ced ekasya eva AtmanaH nitya tva anitya tva prasaFgaH / iti Sruti Binnam
   20. anyacca / yadi sadbhāvāditi hetunātmāstīti / atha śālasya	20. anyat ca / yadi sadBAvAt iti hetunA AtmA asti iti / aTa SAlasya
   sadbhāvāttāla utpadyate / yadyabhāvānnāstīti tadā tālabījeṣu	sadBAvAt tAlaH utpadyate / yadi aBAvAt na asti iti tadA tAla bIjezu
   vṛkṣākārābhāvāttadutpattyaprāptiḥ / sadbhāve 'nutpattiḥ / abhāve	vRkza AkAra aBAvAt tad utpatti aprAptiH / sadBAve anutpattiH / aBAve
   'pyanutpattiḥ / ātmano 'pi tathātvam /	api anutpattiH / AtmanaH api taTAtvam /
   yadi kiṃcitsadeva na tadānaindriyakatvaṃ hetutvena prayoktavyam / yadi ca	yadi kiMcid sat eva na tadA anEndriyaka tvam hetu tvena prayoktavyam / yadi ca
   sadeva tadā nānaindriyakatvena tasya sattā sādhyā / ityanutpattisamam /	sat eva tadA na anEndriyaka tvena tasya sattA sADyAH / iti anutpatti samam /
   yadi punaḥ kaścicchabdanityatāṃ sthāpayet,	yadi punar kaScid Sabda nitya tAm sTApayet ,
   tadaivamvidhairuktapūrvairviśatiṃdharmaistadvadeva dūṣayet /	tadA evamviDEH ukta pUrvEH viSatiMDarmEH tadvat eva dUzayet /
   nanvātmasadbhāvādeva bhavānātmānaṃ dūṣayati / ātmano 'bhāve kiṃ bhavatā	nanu Atma sadBAvAt eva BavAn AtmAnam dUzayati / AtmanaH aBAve kim BavatA
   dūṣaṇīyam / dūṣaṇāddhyasti dūṣayitavyam /	dUzaNIyam / dUzaNAt hi asti dUzayitavyam /
   atra dūṣaṇam / yuktito nāsyātmā / bhavatā tu (# Uh 31.#) tatsadbhāvasya	atra dUzaNam / yuktitaH na asya AtmA / BavatA tu (# Uh 31.#) tad sadBAvasya
   vikalpānmayā bhavato dūṣaṇaṃ kṛtam / yadbhavatoktaṃ	vikalpAn mayA BavataH dUzaNam kRtam / yat BavatA uktam
   dūṣayitavyabhavādastyātmeti / tato dūṣaṇānnāstyātmeti jñātam / bhavata	dUzayita vyaBavAt asti AtmA iti / tatas dUzaNAt na asti AtmA iti jQAtam / Bavata
   ātmaparigraha ātmābhāvadyotanarthamiti cettadayuktam / bhavadarthāprayogāt	Atma parigrahaH AtmA aBAvadyotanarTam iti ced tat ayuktam / Bavat arTa aprayogAt 
   / idānīntu svayaṃ bhavatā mama siddhāntaḥ prayuktaḥ /	/ idAnIntu svayam BavatA mama sidDAntaH prayuktaH /
   nanu kathaṃ bhavatā jñātaṃ yanmayā bhavadarthaḥ parigṛhītaḥ / atra kāraṇaṃ	nanu kaTam BavatA jQAtam yat mayA Bavat arTaH parigRhItaH / atra kAraNam
   vaktavyamiti cenmayā khalu pūrvamuktaṃ yatsvārthamaparigṛṇhatā bhavatā	vaktavyam iti ced mayA Kalu pUrvam uktam yat sva arTam aparigRNhatA BavatA
   parasthāpanā parigṛhītā kathamidānīṃ punaridaṃ pṛcchyate / kathaṃ jñātaṃ	para sTApanA parigRhItA kaTam idAnIm punar idam pRcCyate / kaTam jQAtam
   yadbhavato 'rtho maya parigṛhīta iti / yato bhavadvacanaṃ viruddhaṃ	yat BavataH arTaH maya parigRhItaH iti / yatas Bavat vacanam virudDam
   tasmānnigrahasthānāpattiḥ /	tasmAt nigraha sTAna ApattiH /
   anyacca / anaindriyakatvātsannevātmeti bhavatā pūrvaṃ pratijñātaṃ paścāttu	anyat ca / anEndriyaka tvAt san= A iva AtmA iti BavatA pUrvam pratijQAtam paScAt tu
   dharmabāhulyena sādhitam / sthāpitahetoraniyatatvātpratijñāvirodhācca	Darma bAhulyena sADitam / sTApita hetoH aniyata tvAt pratijQA viroDAt ca
   nigrahasthānam / tasmādbhavadarthanāhau yadi punarahaṃ kiṃcibdravīmi,	nigraha sTAnam / tasmAt Bavat arTa nAhO yadi punar aham kiMcibdravImi,
   [yanmayā] pūrvamuktaṃ tasmādetanna bhidyate / tadā vacanasya	[yat mayA] pUrvam uktam tasmAt etat na Bidyate / tadA vacanasya
   bahudoṣaprasaṅgaḥ / pakṣapratipakṣayoḥ pratipakṣamaryādā pañcame /	bahu doza prasaFgaH / pakza pratipakzayoH pratipakza maryAdA paQcame /
   tadatikramyoktaṃ vacanaṃ doṣaḥ / yadi vidvān gambhīraṃ nyāyaṃ	tat atikramya uktam vacanam dozaH / yadi vidvAn gamBIram nyAyam
   bhāvayatyuktena dṛṣṭāntenārthāvagamasamarthaśca syāttadā tasya vāda	BAvayati uktena dRzwAntena arTa avagama samarTaH ca syAt tadA tasya vAda
   evaṃvidhaṃ dharmaṃ nātikrāmati /	evaMviDam Darmam na atikrAmati /
   vādī prāha / evamukto vadadharmāṇāṃ sāraḥ / eṣa vādasāraḥ sarvavādānāṃ	vAdI prAha / evam uktaH vada DarmANAm sAraH / eza vAdasAraH sarva vAdAnAm
   mūlam / etasmādvādātpakṣapratipakṣayoḥ paramotkarṣajñānaṃ jāyate / yathā	mUlam / etasmAt vAdAt pakza pratipakzayoH parama utkarza jQAnam jAyate / yaTA
   bīje sukṣetra upte mūlāṅkurāḥ samṛddhāḥ / kukṣetre tūpte phalabhāva eva /	bIje su kzetre upte mUla aFkurAH samRdDAH / kukzetre tu upte Pala BAvaH eva /
   etasya dharmasyāpi tathātvam /	etasya Darmasya api taTAtvam /
   (# Uh 32.#)	(# Uh 32.#)
   yadi vidvān kaścit pramāṇavicārakuśalastadā vādānutpādayati /	yadi vidvAn kaScid pramANa vicAra kuSalaH tadA vAdAn utpAdayati /
   mūrkhastvalpabuddhiretadvādābhyāsenāpi tadavagamāsamarthastattvato vidvān	mUrKaH tu alpabudDiH etat vAda aByAsena api tad avagamA samarTaH tattvataH vidvAn
   nocyate / tasmādye ye sañjñānotpattiṃ subhāśubhavivekañcecchanti	na ucyate / tasmAt ye ye san jQAna utpattim suBa aSuBa vivekaQca icCanti
   taistaireva saddharmavāda āśrayitavyaḥ /	tEH tEH eva sat Darma vAdaH ASrayitavyaH /
   // iti caturthaṃ prakaraṇam //	// iti caturTam prakaraNam //
   samāptaścāyaṃ granthaḥ /	samAptaH ca ayam granTaH /
