   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   āśiyabāg iti sthānasya nikaṭatāyām asty eva tathāpi atratyasyāsya	ASiyabAk iti sTAnasya nikawa-tAyAm asti eva taTA-api atratyasya-asya
   hastiśālasya jalaprāyatayāyarthārhāvakāśābhāvādidarśanena ca	hastiSAlasya jala-prAya-tayAyarTa-arha-avakASa-aBAva-Adi-darSanena ca
   hastiśālopayogitvāsambhavāc ca jalaprāyasya vipreṣu pratipādanānarhatayāpi	hasti-SAla-upayogi-tva-asamBavAt ca jala-prAyasya viprezu pratipAdanAn-arha-tayA-api
   godharabhūpanirmitaḥ sa eva devasarasapuragaṇamadhyavartī hastiśālākhyo	goDara-BUpa-nirmitaH saH eva deva-sarasa-pura-gaNa-maDya-vartI hasti-SAla-AKyaH-
   'grahāro bhāti |	agrahAraH BAti |
   na tv ayaṃ jalaprāyo 'grahāratvavyapadeśasampādanānarho 'nyo	na tu ayam jala-prAyaH agrahAra-tva-vyapadeSa-sampAdanAnarhaH anyaH-
   hastiśālākhyapradeśa iti |	hasti-SAla-AKya-pradeSaH iti |
   aparaṃ ca pārisekānuvādimate 'pi devasarasodbhavasyaiva hastiśālasya	aparam ca pAriseka-anuvAdi-mate api deva-sarasa-udBavasya-eva hastiSAlasya
   godhārabhūpāgrahāranirmāṇaṃ likhitam asti |	goDAra-BUpa-agrahAra-nirmANam liKitam asti |
   na tv asyānyasya phākpuragaṇīyasyeti bhadram ||	na tu asya-anyasya PAk-pura-gaNIyasya-iti Badram ||
   25. Suvarṇamaṇikulyā	25. SuvarNa-maNi-kulyA
   ślokasaṃ 97 namba 25 suvarṇasya rājyavarṇane suvarṇamaṇikulyā |	Slokasam 97 nambaH 25 suvarNasya rAjya-varNane suvarNa-maNi-kulyA |
   tatra suvarṇamaṇikulyāśabdaniruktiḥ |	tatra suvarNa-maNi-kulyA-Sabda-niruktiH |
   śobhano varṇo yasya tat suvarṇaṃ kāṃcanaṃ svarṇaṃ suvarṇaṃ kanakam iti	SoBanaH varNaH yasya tat suvarNam kAMcanam svarNam suvarNam kanakam iti
   maṇīratnam |	maNI-ratnam |
   ratnaṃ maṇir dvayor aśmajātau muktādike 'pi cety amaraḥ |	ratnam maNiH dvayoH aSma-jAtO muktA-Adike api ca-iti amaraH |
   suvarṇasya maṇīnāṃ ca yā kulyālpā nadī kṛtrimā ca |	suvarNasya maNInAm ca yA kulyA-alpA nadI kRtrimA ca |
   kulyālpākṛtrimā sarit ity amaraḥ |	kulyA-alpa-akRtrimA sarit iti amaraH |
   arthāt suvarṇamaṇikulyākhyā nadī tena suvarṇābhidhena rājñā sampāditety	arTAt suvarNa-maNi-kulyA-AKyA nadI tena suvarNa-aBiDena rAjQA sampAditA-iti-
   arthaḥ |	arTaH |
   atra suvarṇena maṇibhiś ca yasyās taṭau talasya bhūmiś ca śobhitā nirmitā	atra suvarNena maNiBiH ca yasyAH tawO talasya BUmiH ca SoBitA nirmitA
   cābhūd etādṛśī nadī tena pravartitā |	ca-aBUt etAdRSI nadI tena pravartitA |
   atha vā suvarṇatulyaśuddhavarṇāmaṇitulyanirmalamanohārijalā ca sā nadī	aTa vA suvarNa-tulya-SudDa-varNA-maNi-tulya-nirmala-manohAri-jalA ca sA nadI
   sampanneti sārthakam eva nāmāsyā nadyāḥ sūkṣmekṣikayā avagamyate |	sampannA-iti sArTakam eva nAma-asyAH nadyAH sUkzma-IkzikayA avagamyate |
   atra	atra
        tasya sūnuḥ suvarṇākhyas tato 'bhūt svarṇado 'rthinām |	tasya sUnuH suvarNa-AKyaH tatas aBUt svarNa-daH arTinAm |
        suvarṇamaṇikulyāyāḥ karāle yaḥ pravartaka ||	suvarNa-maNi-kulyAyAH karAle yaH pravartaka ||
   iti paṇḍitakalhaṇaḥ |	iti paNxita-kalhaNaH |
   suvarṇasya rājyavarṇane suvarṇamaṇikulyāṃ vyapadiśya yal likhati |	suvarNasya rAjya-varNane suvarNa-maNi-kulyAm vyapadiSya yat liKati |
   tatrāvaśyam evāsyāḥ kulyāyāḥ karālābhidhe pradeśe pravartanam itīdṛśy	tatra-avaSyam eva-asyAH kulyAyAH karAla-aBiDe pradeSe pravartanam iti-IdRSy
   evārthapratītir buddhāvārohati |	eva-arTa-pratItiH budDO=-Arohati |
   paraṃ tu yasmin puragaṇe nady eṣādhunāpi pravahati tasmin sarvasminn eva	param tu yasmin pura-gaNe nadI eza-aDunA-api pravahati tasmin sarvasmin eva
   puragaṇe mahatā yatnenāyāsenāpy anviṣṭāyaṃ ko 'pi karālābhidhaḥ pradeśo	pura-gaNe mahatA yatnena-AyAsena-api anvizwAyam kaH api karAla-aBiDaH pradeSaH-
   grāmo vā kutrāpi na milati |	grAmaH vA kutra-api na milati |
   ataḥ karālābhidhe pradeśe suvarṇamaṇikulyāpravartanam ity arthapratītir	atas karAla-aBiDe pradeSe suvarNa-maNi-kulyA-pravartanam iti arTa-pratItiH-
   bhramotthātopārthakaiva pratibhāti |	Brama-utTAta-upArTakA-eva pratiBAti |
   tattvadṛśā tu kaver ayaṃ kalhaṇasyāśayo 'numīyate |	tattva-dRSA tu kaveH ayam kalhaNasya-ASayaH anumIyate |
   tatra karālo danturaṃ turo ity amaramatena |	tatra karAlaH danturam turaH iti amara-matena |
   atituṅgo yaḥ ko 'pi pradeśaḥ sa eva karālaśabdābhidheyo bhavati |	ati-tuFgaH yaH kaH api pradeSaH saH eva karAla-Sabda-aBiDeyaH Bavati |
   tathā tv eva karāle tuṅgapradeśe rājñā nadī pravartitety arthapratītiḥ	taTA tu eva karAle tuFga-pradeSe rAjQA nadI pravartitA-iti arTa-pratItiH
   samīcīnatamābhāti |	samIcInatam-ABAti |
   yata eṣā nadī sarva kaśmīrakabhūmibhyo 'tituṅgāyām ādyāvanibhūmau vartate	yatas ezA nadI sarva kaSmIraka-BUmiByaH ati-tuFgAyAm Adya-avani-BUmO vartate
   'to 'pi karālaparyāyatuṅgabhūmipravartanaṃ nadyā kavyuktaṃ sarvathā	atas api karAla-paryAya-tuFga-BUmi-pravartanam nadyA kavi-uktam sarvaTA
   saṃgacchate |	saMgacCate |
   asyāṃ kaśmīrāyāṃ pūrvam atīte kāle sarovararūpatvenāvasthitāyāṃ yadā kvāpi	asyAm kaSmIrAyAm pUrvam atIte kAle sarovara-rUpatvena-avasTitAyAm yadA kvApi
   bhūmir eva na babhūva tadā kaśyaparṣiprasāditadevatrayyanukampayādau	BUmiH eva na baBUva tadA kaSyapa-Rzi-prasAdita-deva-trayI-anukampayAdO
   yatraiva bhūmiḥ sajjātā tasyā eva bhūmer adyāvanīty anvarthaṃ nāma	yatra-eva BUmiH sat-jAtA tasyAH eva BUmeH adya-avani-iti anvarTam nAma
   saṃlagnam |	saMlagnam |
   yata ādau bhavā ādyā sā cāsāv avanir avanī vā bhūmir ity arthaḥ |	yatas AdO BavA AdyA sA ca-asO avaniH avanI vA BUmiH iti arTaH |
   kṣmāvanir medinī mahīty amaraḥ |	kzmAvaniH medinI mahi-iti amaraH |
   avanī medinī mahīti mediniś ca |	avanI medinI mahi-iti mediniH ca |
   atas sarvathāsya puragaṇasyāyasārthaka ādyāvanītyāhvayaḥ |	atas sarvaTA-asya pura-gaNasya-ayasa-arTakaH AdyAvanIti-AhvayaH |
   asyā cādyāvanipuragaṇasyādhunike kāle nāgarikair grāmīṇaiś ca prakhyāpitaṃ	asyAH ca-adya-avanipura-gaNasya-aDunike kAle nAgarikEH grAmINEH ca praKyApitam
   āḍavinpargaṇa iti nāmāpabhraṃśadoṣamūlaṃ bhavati |	AxavinpargaNaH iti nAma-apaBraMSa-doza-mUlam Bavati |
   yaiṣā suvarṇamaṇikulyākhyā nadī suvarṇabhūparājye suvarṇitāsyāś ca nadyāḥ	yA-ezA suvarNa-maNi-kulyA-AKyAH nadI suvarNa-BUpa-rAjye suvarNita-AsyAH ca nadyAH
   sunamaṇ kul atha vā sunamaṇ nor iti nāma sarvaprasiddham asti |	su-namaN kul aTa vA su-namaN noH iti nAma sarva-prasidDam asti |
   tatra pūrvapakṣe sunamaṇākhyā kul nadīty arthaḥ |	tatra pUrva-pakze sunamaNa-AKyA kul nadI-iti arTaH |
   dvitīye tu sunamaṇākhyā nor praṇālīty arthaḥ |	dvitIye tu sunamaNa-AKyA noH praNAli-iti arTaH |
   dvayoḥ praṇālī payasaḥ padavyām ity amaraḥ |	dvayoH praNAlI payasaH padavyAm iti amaraH |
   kiṃ tu eṣā suvarṇamaṇikulyākhyā nadī yato 'sya puragaṇasyaikasmin eva	kim tu ezA suvarNa-maNi-kulyA-AKyA nadI yatas asya pura-gaNasya-ekasmin eva
   grāme na pravahaty ato 'sya niyamitaḥ pradeśaḥ ko 'pi nāsti |	grAme na pravahati atas asya niyamitaH pradeSaH kaH api na-asti |
   asya puragaṇasyānekeṣu grāmeṣu varṇitāyā sunamaṇākhyāyā nadyā jalenaiva	asya pura-gaNasya-anekezu grAmezu varNitAyAH su-namaNa-AKyAyAH nadyAH jalena-eva
   sasyādiniṣpattiḥ sambhavati |	sasya-Adi-nizpattiH samBavati |
   pārisekānuvādeṣv api te varṇite 'sminn ādyāvanipuragaṇa eva sunamaṇ-nadyāḥ	pAriseka-anuvAdezu api te varNite asmin Adya-avanipura-gaNaH eva su-na-maN-nadyAH
   pravartanaṃ rājñā tatsthānekagrāmasasyaphalaśrīḥ sarvadāsmād ity	pravartanam rAjQA tad-sTAn-eka-grAma-sasya-Pala-SrIH sarvadA-asmAt iti-
   abhiprāyeṇa kṛtam ityādi varṇayanti |	aBiprAyeNa kRtam ityAdi varNayanti |
   ato 'pi hetoḥ karālābhidhe pradeśe nadyāḥ pravahanaṃ	atas api hetoH karAla-aBiDe pradeSe nadyAH pravahanam
   samyaktayaivāpārthakaṃ pratibhāti yatas tair api svasvavarṇanavelāyām ayaṃ	samyaktayA-eva-apArTakam pratiBAti yatas tEH api sva-sva-varNana-velAyAm ayam
   karālābhidhaḥ ko 'pi pradeśo na labdho 'sti |	karAla-aBiDaH kaH api pradeSaH na labDaH asti |
   ato yathā tathā karālaśabdenātrādyāvanibhūmir eva kathituṃ tasya	atas yaTA taTA karAla-Sabdena-atra-Adya-avaniBUmiH eva kaTitum tasya
   vyaṅgyajñasya kalhaṇasya kaver abhiprāya iti śam ||	vyaFgyajQasya kalhaNasya kaveH aBiprAyaH iti Sam ||
   26. Jāloraḥ Vihāro 'grahāraś ca	26. JAloraH VihAraH agrahAraH ca
   ślokasaṃ 98 namba 26 suvarṇajasya janakasya varṇane jālorākhyaṃ vihāraṃ	Slokasam 98 nambaH 26 suvarNa-jasya janakasya varNane jAlorAKyam vihAram
   agrahāraṃ ca |	agrahAram ca |
   atra jāloraśabdanirvacanam |	atra jAlora-Sabda-nirvacanam |
   jālaiḥ puṣpajālair ūḥ rakṣakaḥ pūtigandhāder iti jālo 'ta eva ras	jAlEH puzpa-jAlEH UH rakzakaH pUtiganDa-AdeH iti jAlaH atas eva ras
   sukhadāyako yaḥ sujāloraḥ ūkāraś caiva rakṣake iti kośaḥ |	suKa-dAyakaH yaH su-jAloraH UkAraH ca-eva rakzake iti koSaH |
   atha vā jalānaṃ samūho jālaṃ tena jālena ū rakṣako ras sukhapradāteti |	aTa vA jalAnam samUhaH jAlam tena jAlena uH rakzakaH ras suKa-pradAtA-iti |
   atraiva jālorākhye pradeśe tena rājñā vihārābhidheyaṃ bauddhamandiraṃ	atra-eva jAlora-AKye pradeSe tena rAjQA vihAra-aBiDeyam bOdDa-mandiram
   nirmitam ayam eva jālorāgrahāratvena prakhyāpitaś ca |	nirmitam ayam eva jAlora-agrahAra-tvena praKyApitaH ca |
   asya jāloragrāmasyādhunike kāle prakhyātaṃ jālur iti nāma grāmīṇāḥ	asya jAlora-grAmasya-aDunike kAle praKyAtam jAluH iti nAma grAmINAH
   kathayanti |	kaTayanti |
   ayaṃ jālurgrāmaḥ śamālāpuragaṇe vartate |	ayam jAluH-grAmaH SamAlA-pura-gaNe vartate |
   tasya ca śamālākhyapuragaṇasya hamalpargaṇa iti nāma tair	tasya ca SamAla-AKya-pura-gaNasya ham-alpargaNaH iti nAma tEH-
   evāpabhraṃśadoṣavaśāt sthāpitam asti |	eva-apaBraMSa-doza-vaSAt sTApitam asti |
   ayaṃ jālurgrāmaḥ kadāpi mahāpadmasarasa ullolasya vā nāgasya vāribhiḥ	ayam jAluH-grAmaH kadApi mahApadma-sarasaH ullolasya vA nAgasya vAriBiH
   pūryamāṇo 'pi dṛśyate 'to jalasamūhasattayā jalānāṃ samūho jālam iti	pUryamANaH api dRSyate atas jala-samUha-sattayA jalAnAm samUhaH jAlam iti
   varṇitānvarthatāsya pradeśasya yuktatamaiva |	varNitA-an-varTatA-asya pradeSasya yuktatamA-eva |
   asya jālurgrāmasya nikaṭe uccha kuṇḍal markuṇḍal ity ādayo bahavo grāmāḥ	asya jAluH-grAmasya nikawe ucCa kuNxat markuNxat iti AdayaH bahavaH grAmAH
   sāmīpyabhājas santīti bhadram ||	sAmIpya-BAjaH santi-iti Badram ||
   27. Śamāṅgāsaḥ	27. ŚamAFgAsaH
   ślokasaṃ 100 namba 27 śacīnarasya janakajasya varṇane śamāṅgāsaḥ |	Slokasam 100 namba 27 SacI-narasya janaka-jasya varNane Sama-aFgAsaH |
   atra śamāṅgāsaśabdaniruktiḥ |	atra Sama-aFgAsa-Sabda-niruktiH |
   nānāvidhasaṅkalpavikalpādibhyaś cittasyoparamaḥ śamaḥ śamu upaśame ity	nAnAviDa-saFkalpa-vikalpa-AdiByaH cittasya-uparamaH SamaH Samu upaSame iti-
   asya dhātor uparativācakatvāt |	asya DAtoH uparativAcaka-tvAt |
   tathā śamavanti aṅgāni yeṣāṃ te śāntā munayaḥ śamāṅgaśabdābhidheyāḥ ta eva	taTA Samavanti aFgAni yezAm te SAntAH munayaH Sama-aFga-Sabda-aBiDeyAH te eva
   śamāṅgā āsante |	Sama-aFgAH Asante |
   yatra sa śamāṅgāsaḥ śāntānāṃ munīnāṃ ca nivāsasthānam iti yāvat |	yatra sa Sama-aFgAsaH SAntAnAm munInAm ca nivAsa-sTAnam iti yAvat |
   vartate cāyaṃ pradeśo vanyair eva saralādivṛkṣair upaśobhito 'ta eva	vartate ca-ayam pradeSaH vanyEH eva sarala-Adi-vRkzEH upaSoBitaH atas eva
   vanaprāyas tapopalakṣitaś ca tapaścaryākṣamaḥ |	vana-prAyaH tapa-upalakzitaH ca tapaH-caryA-kzamaH |
   yasmin kuṭahārākhye puragaṇe 'yaṃ pradeśas tiṣṭhati saḥ sarvaḥ puragaṇo	yasmin kuwahAra-AKye pura-gaNe ayam pradeSaH tizWati saH sarvaH pura-gaNaH-
   'pi sarvadā prāyaśaḥ kānanapradeśair eva samāvṛto bhāti |	api sarvadA prAyaSas kAnana-pradeSEH eva samAvRtaH BAti |
   ata eva kūṭaiḥ parvataśṛṅgair hāro mānohara iti sārthakam eva nāmāsya	atas eva kUwEH parvata-SRFgEH hAraH mAnoharaH iti sArTakam eva nAma-asya
   puragaṇasya asyādhunike kāle sarva eva kuṭahārpargaṇa iti prathitaṃ nāma	pura-gaNasya asya-aDunike kAle sarve eva kuwaha-arpargaNaH iti praTitam nAma
   bruvanti |	bruvanti |
   asyāpi śamāṅgāsapradeśasyaitarhi śāṅgās iti prakhyāpitam	asya-api Sama-aFgAsa-pradeSasya-etarhi SAFgAH iti praKyApitam
   apabhraṃśadoṣotthaṃ nāma sarvaviditaṃ bhavati |	apaBraMSa-doza-utTam nAma sarva-viditam Bavati |
   ayaṃ śāṅgāsākhyo grāmaḥ parvatasyālpocchāyasyādhastād dharātala eva	ayam SAFgAsa-AKyaH grAmaH parvatasya-alpa-ucCAyasya-aDastAt DarA-talaH eva
   vartate |	vartate |
   anyeṣām asyāṃ kaśmīrāyāṃ sthitānāṃ kānanānāṃ yādṛśī śobhākṛtiś cāsti	anyezAm asyAm kaSmIrAyAm sTitAnAm kAnanAnAm yAdRSI SoBA-AkRtiH ca-asti
   tādṛśy evāsya pradeśasyākṛtiḥ śobhā ca yato 'sti tata eva	tAdRSI eva-asya pradeSasya-AkRtiH SoBA ca yatas asti tatas eva
   munijananivāsasthānam ity ākārakaṃ sārthakaṃ nāmāsya |	muni-jana-nivAsa-sTAnam iti AkArakam sArTakam nAma-asya |
   asmin pradeśe sarvadaiva sarve sāhibeti śobhananāmānapurupadeśanivāsina	asmin pradeSe sarvadA-eva sarve sA-ahibA-iti SoBana-nAmAna-puH-upadeSa-nivAsina
   ākheṭakādyarthe gatāgataṃ kurvāṇā mṛgayāṃ vidadhato darīdṛśyante 'taḥ	AKewaka-Adi-arTe gatAgatam kurvANAH mRgayAm vidaDataH darIdRSyante atas-
   prathitatamo 'yaṃ pradeśa iti bodhyam |	praTitatamaH ayam pradeSaH iti boDyam |
   asya śāṅgasākhyapradeśasya nikaṭavartino bahavo grāmā navgām utarus	asya SAFga-sAKya-pradeSasya nikawa-vartinaH bahavaH grAmAH navgAm utaruH-
   cerapor ity ādayaḥ prakhyātās santi |	cerapoH iti AdayaH praKyAtAH santi |
   punaś cāyaṃ śamāṅgāsākhyo grāmaḥ pūrvam eva munijanais	punar ca-ayam Sama-aFgAsa-AKyaH grAmaH pUrvam eva muni-janEH-
   tapaścaryākaraṇayogyatayā svanivasanāsya dattvam ākalito 'pi tena rājño	tapaH-caryA-karaNa-yogya-tayA sva-nivasana-asya dattvam AkalitaH api tena rAjQaH-
   janakajena mukhyāgrahāratvābhidhayā saṃyojitaḥ |	janaka-jena muKya-agrahAra-tva-aBiDayA saMyojitaH |
   arthāt tebhyas tatpradeśasthebhyas tapasvibhyaḥ samarpitaḥ sarvo 'py ayaṃ	arTAt teByaH tad-pradeSa-sTeByaH tapasviByaH samarpitaH sarvaH api ayam
   puragaṇas tapasvipriyas tapaścaryāsthānam iti vartante vādhunāpi utarus	pura-gaNaH tapasvi-priyaH tapaH-caryA-sTAnam iti vartante vA-aDunA-api utaruH-
   ityādi grāmeṣu teṣāṃ pūrveṣāṃ tapasvināṃ śiṣyā nand jānyaṅkitās tapasvino	ityAdi grAmezu tezAm pUrvezAm tapasvinAm SizyAH nant jAni-aFkitAH tapasvinaH-
   yeṣāṃ śiṣyapraśiṣyadvārā adhunāpi santatiḥ pracalatīti śam ||	yezAm Sizya-praSizya-dvArA aDunA-api santatiH pracalati-iti Sam ||
   28. Aśanāraḥ	28. ASanAraH
   śloka 100 namba 28 asyaiva śacīnarasya varṇane aśanāraḥ |	SlokaH 100 namba 28 asya-eva SacI-narasya varNane aSanAraH |
   tatrāsya niruktiḥ |	tatra-asya niruktiH |
   aśyate bhujyate yat tad aśanaṃ bhojanam aśabhojane ity asya dhātor lyuṭi	aSyate Bujyate yat tat aSanam Bojanam aSa-Bojane iti asya DAtoH lyuwi
   rūpam |	rUpam |
   aśanasya icchā aśanāyā kṣud ity arthaḥ |	aSanasya icCA aSanAyA kzuD iti arTaH |
   aśanāyā bubhukṣā kṣud ity amaraḥ |	aSanAyA buBukzA kzuD iti amaraH |
   tathā ca aśanāyā eva aśanā tām aśanāṃ ā samantād rāti dadāti yaḥ sa	taTA ca aSanAyAH eva aSanA tAm aSanAm A samantAt rAti dadAti yaH sa
   aśanāraḥ |	aSanAraH |
   asmin pradeśe jalaṃ yat pravahati tasya jalasyātyata pācakatayā bhuktasya	asmin pradeSe jalam yat pravahati tasya jalasya-atyata pAcaka-tayA Buktasya
   caturvidhasyānnāder jīrṇayitṛtvaṃ |	caturviDasya-anna-AdeH jIrNayitR-tvam |
   sarve tatrasthā yad aṅgīkurvanti |	sarve tatrasTAH yat aFgIkurvanti |
   ata eva bubhukṣotpādakatvam aśanārety abhidhābhidhāsya	atas eva buBukza-utpAdaka-tvam aSanAra-iti aBiDA-aBiDA-asya
   mānamatvarthatayaiva pratibhāti |	mAna-matvarTa-tayA-eva pratiBAti |
   ayam aśanārākhyaḥ pradeśo vyūhākhyapuragaṇe tiṣṭhati |	ayam aSanAra-AKyaH pradeSaH vyUha-AKya-pura-gaNe tizWati |
   tasya ca vyūhākhyapuragaṇasya vihīpargaṇa iti grāmīṇaiḥ prakhyāpitaṃ nāma	tasya ca vyUha-AKya-pura-gaNasya vihIpargaNaH iti grAmINEH praKyApitam nAma
   bhavati |	Bavati |
   asyāpi adeśasya śār iti nāmata eva sarvato bruvāṇā darīdṛśyante |	asya-api adeSasya SAr iti nAmate eva sarvatas bruvANAH darIdRSyante |
   asmin śārgrāme lohasya khanir api vartate |	asmin SArgrAme lohasya KaniH api vartate |
   yebhyaḥ pāṣāṇaviśeṣebhyaḥ pākādinā loham utpadyate tair eva pāṣāṇair	yeByaH pAzANa-viSezeByaH pAka-AdinA loham utpadyate tEH eva pAzANEH-
   upalakṣita ekaḥ parvato 'pi vartate |	upalakzitaH ekaH parvataH api vartate |
   ato 'sya grāmasya yaj jalaṃ lohakhaner utpannaṃ vartate tad avaśyaṃ	atas asya grAmasya yat jalam loha-KaneH utpannam vartate tat avaSyam
   pācakatamaṃ sarveṣu sthāneṣu bhavati |	pAcakatamam sarvezu sTAnezu Bavati |
   ataḥ sarvathāśanāreti grāmasya nāmānvarthatayāsti |	atas sarvaTA-aSanAra-iti grAmasya nAma-anvarTa-tayA-asti |
   asya śārgrāmasya maṇḍikhpāl iti grāmaḥ prathito nikaṭe 'sti luḍhavgrāmo	asya SArgrAmasya maNxiKpAt iti grAmaH praTitaH nikawe asti luXavgrAmaH-
   'py anyo 'sya nikaṭe bhavati ||	api anyaH asya nikawe Bavati ||
   29. Śuṣkaletraḥ	29. ŚuzkaletraH
   ślokasaṃ 102 namba 29 aśokasya rājño varṇane śuṣkaletraḥ |	Slokasam 102 namba 29 aSokasya rAjQaH varNane Suzka-letraH |
   tatra śuṣkaletraniruktiḥ |	tatra Suzka-letra-niruktiH |
   śuṣkāni śoṣaṃ prāptāni tṛṇaparṇādīni lāti ādatte iti śuṣkalo vāyuḥ |	SuzkAni Sozam prAptAni tRNa-parNa-AdIni lAti Adatte iti SuzkalaH vAyuH |
   lā ādāne ity asya dhāto rūpaṃ |	lAH AdAne iti asya DAtoH rUpam |
   tathā ca lakṣmīr īkāra ucyate iti kośāt |	taTA ca lakzmIH IkAraH ucyate iti koSAt |
   īr lakṣmī śuṣkalasya īḥ sampattiḥ śuṣkale vāyusampat |	IH lakzmI Suzkalasya IH sampattiH Suzkale vAyu-sampad |
   mahān vāyusamūha iti yāvat |	mahAn vAyu-samUhaH iti yAvat |
   tāṃ śuṣkale vāyusampattiṃ trāyate iti śuṣkaletraḥ traiṅ pālane dhātur atra	tAm Suzkale vAyu-sampattim trAyate iti Suzka-letraH trEF pAlane DAtuH atra
   yato 'yaṃ pradeśo marubhūmistho 'ta eva mahatyā vānyayāyuta ity arthaḥ |	yatas ayam pradeSaH maru-BUmi-sTaH atas eva mahatyA vA-anyaya-AyutaH iti arTaH |
   ayam eva pradeśas tena rājñāśokena stūpapadavācyair bauddhānāṃ	ayam eva pradeSaH tena rAjQA-aSokena stUpapada-vAcyEH bOdDAnAm
   devāyatanair ācchāditaḥ |	deva-AyatanEH AcCAditaH |
   asya śuṣkaletrākhyapradeśasyādhunike kāle grāmīṇaiḥ prakhyāpitaṃ	asya Suzka-letra-AKya-pradeSasya-aDunike kAle grAmINEH praKyApitam
   hukhalitar iti nāma bhavati |	huKalitar iti nAma Bavati |
   ayaṃ hukhalitarākhyo grāmaḥ daiñcho ityākhye puragaṇe vidyamāno 'sti |	ayam huKalitarAKyaH grAmaH dEQCaH iti-AKye pura-gaNe vidyamAnaH asti |
   kaśmīranagarāt krośacatuṣṭayadūratāyām evāyaṃ puragaṇo vartate |	kaSmIra-nagarAt kroSa-catuzwaya-dUra-tAyAm eva-ayam pura-gaNaH vartate |
   asya ca hukhalitargrāmasya śīly pūr ity ādayo grāmā nikaṭe santi |	asya ca huKalitargrAmasya SIlI pUH iti AdayaH grAmAH nikawe santi |
   asmin sarvasminn eva puragaṇe sarvatra marubhūmisthe vāyoḥ pracalato	asmin sarvasmin eva pura-gaNe sarvatra maru-BUmi-sTe vAyoH pracalataH-
   'nyabhūmibhya uccaistvenādhikyaṃ yato bhavaty ata eva śuṣkaletra iti vāyor	anya-BUmiByaH uccEstvena-ADikyam yatas Bavati atas eva Suzka-letraH iti vAyoH-
   ādhikyasadbhāvopalakṣitam anvartham eva nāmeti śam ||	ADikya-sadBAva-upalakzitam anvarTam eva nAma-iti Sam ||
   30. Vitastātraḥ	30. VitaH-tAtraH
   ślokasaṃ 102 namba 30 aśokasya rājyakāle vitastātraḥ |	Slokasam 102 namba 30 aSokasya rAjya-kAle vitasta-atraH |
   tatra vitastātraniruktiḥ |	tatra vitasta-atra-niruktiH |
   aṃguṣṭham sa kaniṣṭhe syād vitastir dvādaśāṅgula ity amarokteḥ |	aMguzWam sa kanizWe syAt vitastiH dvAdaSa-aFgulaH iti amara-ukteH |
   sarvasyāpi janasya svasya parimāṇamitā dvādaśa aṅgulā	sarvasya-api janasya svasya parimANa-mitA dvAdaSa aFgulA
   vitastiśabdābhidheyāḥ |	vitasti-Sabda-aBiDeyAH |
   tena vitastimānena parimitā yā nadī sā vitastāpadavācyā |	tena vitasti-mAnena parimitA yA nadI sA vitastApada-vAcyA |
   tathā ca nīlamatasthe satīdevyā vitastārūpāvirbhāvavarṇane bṛhadaśvaḥ iti	taTA ca nIlam-atasTe satI-devyAH vitastAru-upAvirBAva-varNane bRhadaSvaH iti
   tathyaṃ viditvā sā kṣamayā parayādhutā |	taTyam viditvA sA kzamayA para-yADutA |
   uvāca devī bhartāraṃ cārucandranibhānanā rasātale nadīrūpaṃ kariṣyāmi	uvAca devI BartAram cAru-candra-niBa-AnanA rasAtale nadI-rUpam karizyAmi
   jagadguro kuruś calaprahāraṃ tvaṃ nīlaveśmasamīpataḥ ya cāsīl	jagadguro kuruH cala-prahAram tvam nIla-veSma-samIpatas yaH ca-AsIt-
   lāṅgalamukhaṃ prākprabhoḥ śailadāraṇe tena śūlaprahāreṇa niṣkramyāhaṃ	lAFgala-muKam prAc-praBoH SEla-dAraNe tena SUla-prahAreNa nizkramya-aham
   rasātalāt śūlamārgeṇa yāsyāmi yāvat sindhumahānadam |	rasAtalAt SUla-mArgeNa yAsyAmi yAvat sinDu-mahAnadam |
   tathā kṛte śarveṇa tathā cakre satī śubhā |	taTA kRte SarveNa taTA cakre satI SuBA |
   tasyā nāma vitasteti kṛtavāñ śaṅkaraḥ svayam |	tasyAH nAma vitastA-iti kRtavAn SaFkaraH svayam |
   vitastimātraṃ gartaṃ tu śūlena kṛtavān haraḥ |	vitasti-mAtram gartam tu SUlena kRtavAn haraH |
   rasātalagatā yena niṣkrāntā sā saridvarā tasmād vitasteti kṛtaṃ nāma	rasAtala-gatA yena nizkrAntA sA sarit-varA tasmAt vitastA-iti kRtam nAma
   tasyāḥ |	tasyAH |
   svayambhuvā tato 'pi sarvadeśeṣu vārttābhūd iyam utthitā maheśvarī muneḥ	svayamBuvA tatas api sarva-deSezu vArttA-aBUt iyam utTitA maheSvarI muneH
   prītyā punar deśaṃ vyapīpavat |	prItyA punar deSam vyapIpa-vat |
   teṣu teṣu ca deśeṣu lokāḥ śuśruvur utkayā satī devī nadī bhūtvā	tezu tezu ca deSezu lokAH SuSruvuH utkayA satI devI nadI BUtvA
   kaśmīrebhyo vinirgatā iti kathanenāsyā nadyā vitastāyā vitaleti	kaSmIreByaH vinirgatAH iti kaTanena-asyAH nadyA vitastAyAH vitala-iti
   nāmānvartham evāstīti siddham |	nAma-anvarTam eva-asti-iti sidDam |
