   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   kīnnarakalaviṅkākokilācakravākā barhiṇakalahaṃsāghoṣa konālakānām /	kInnara-kalaviFkA-kokilA-cakravAkAH barhiNa-kalahaMsA-Goza konAlakAnAm /
   bramharutanirghoṣā kinnarāṇāṃ svarāṅgā akhalitamanavadyā sarvārthānubodhā	bramharuta-nirGozA kinnarANAm svara-aFgA aKalitam-anavadyA sarva-arTa-anuboDA
   citrasphaṭikaślakṣṇā paṇḍitānāṃ manāpā codanī vinayanīyā bodhanī premaṇīyā	citra-sPawika-SlakzNA paNxitAnAm manApA codanI vinayanIyA boDanI premaNIyA
   paracarimanakūlā toṣaṇī pṛcchamānā imaguṇa vacanā caitasya dharmeśvarasya	para-carimana-kUlA tozaNI pRcCamAnA imaguNa vacanA ca-etasya DarmeSvarasya
   kamburucira grīvā śāntasaṃvṛttaskandhaḥ / dīrghaparigha bāhū tasya	kambu-rucira grIvA SAnta-saMvRtta-skanDaH / dIrGa-pariGa bAhU tasya
   saptotsadāṅgam /	sapta-utsadAFgam /
   kara rucirasuvṛttā dirghavṛttāṅgulīkāḥ tapitakanakavarṇaṃ tasya gātraṃ	kara rucira-su-vRttAH dirGa-vRtta-aFgulIkAH tapita-kanaka-varNam tasya gAtram
   jinasya // 285 //	jinasya // 285 //
   roma pariṇatāśca dakṣiṇo caikajātā nābhi nikhila durgā guhyakośo hayo vā /	roma pariNatAH-ca dakziNaH ca-eka-jAtAH nABi niKila durgAH guhyakoSaH hayaH vA /
   ūru gajakaro vā eṇajaṅghaḥ svayaṃbhūḥ karatala suvicitrā	Uru gaja-karaH vE eNajaFGaH svayaMBUH kara-tala su-vicitrA
   svastikāścakracitrāḥ // 286 //	svastikAH-cakra-citrAH // 286 //
   gajapatigatigāmī siṃhavikrāntagāmī vṛṣabhalalitagāmī indrayaṣṭipravṛddhaḥ	gaja-pati-gati-gAmI siMha-vikrAnta-gAmI vRzaBa-lalita-gAmI indra-yazwi-pravRdDaH
   gaganakusumavṛṣṭiḥ puṣpachatrā bhavanti vrajatimanuvrajanti dharma ete	gagana-kusuma-vRzwiH puzpa-CatrA Bavanti vrajatim-anuvrajanti DarmaH ete
   'dbhutasya // 287 //	adButasya // 287 //
   lābha atha alābhe saukhyaduḥkhe jinasya ayaśasi yaśa evaṃ nindaśaṃsāsu	lABa aTa alABe sOKya-duHKe jinasya ayaSasi yaSaH evam ninda-SaMsAsu
   caivam /	ca-evam /
   jalaruhamiva toyaiḥ sarvato nopaliptaḥ evamiha nṛsiṃho nāsti sattvaḥ samo	jalaruham-iva toyEH sarvatas na-upaliptaH evam-iha nRsiMhaH na-asti sattvaH samaH-
   'sya // 288 //	asya // 288 //
   atha khalu rāṣṭrapāla puṇyaraśmī rājakumāraḥ buddhasya varṇaṃ śrutvā,	aTa Kalu rAzwrapAla puNya-raSmI rAja-kumAraH budDasya varNam SrutvA,
   vistareṇa dharmasya saṃghasya varṇaṃ śrutvā, tuṣṭa udagra āttamanāḥ	vistareNa Darmasya saMGasya varNam SrutvA, tuzwaH udagre Atta-manAH
   pramuditaḥ prītisaumanasyajāto 'bhūt /	pramuditaH prIti-sOmanasya-jAtaH aBUt /
   atha khalu rāṣṭrapāla puṣparaśme rājakumārasyaitadabhavat - yādṛśaḥ	aTa Kalu rAzwrapAla puzparaSme rAja-kumArasya-etat-aBavat  yAdRSaH
   saṃbudho bhagavān, yādṛśī cāsya saṃghasaṃpat, yādṛśaśca tena dharmaḥ	saMbuDaH BagavAn-, yAdRSI ca-asya saMGa-saMpat, yAdRSaH-ca tena DarmaH
   sākṣātkṛtaḥ, yādṛśī cāsya śiṣyasaṃpat, yathā viṣayasamavadhānaśca (Vaidya,	sAkzAtkRtaH, yAdRSI ca-asya Sizya-saMpat, yaTA vizaya-samavaDAnaH-ca (VEdya,
   RP 152) saṃsāraḥ, yathākṛtajñaśca saṃsāraḥ, yathākṝtajñāśca	Rc 152) saMsAraH, yaTA-kRtajQaH-ca saMsAraH, yaTA-kLta-jQAH-ca
   bālapṛthagjanāḥ, yathā viṣamā ca satkāyadṛṣṭiḥ, yathā bahvādīnavaśca	bAla-pRTagjanAH, yaTA vizamA ca sat-kAya-dRzwiH, yaTA bahu-AdInavaH-ca
   gṛhāvāsaḥ, yathā bahudoṣāśca kāmāḥ, yathā garhitaśca paṇḍitaiḥ pramādaḥ,	gRhAvAsaH, yaTA bahu-dozAH-ca kAmAH, yaTA garhitaH-ca paNxitEH pramAdaH,
   yathā saṃmohaṃ cāvidyāndhakāram, yathā duḥprativedhāśca saṃskārāḥ, yathā	yaTA saMmoham ca-avidyA-anDakA-ram, yaTA duHprativeDAH-ca saMskArAH, yaTA
   durdamaṃ citram, yathā gambhīraṃ nāmarūpam, yathānāsvādaṃ ṣaḍāyatanam,	durdamam citram, yaTA gamBIram nAma-rUpam, yaTA-anAsvAdam zaz-Ayatanam,
   yathā duḥkhavipākaścāparijñātaḥ sparśaḥ, yathā bahvādīnavā vedanāḥ, yathā	yaTA duHKa-vipAkaH-ca-aparijQAtaH sparSaH, yaTA bahu-AdInavAH vedanAH, yaTA
   gāḍhabandhanā tṛṣṇā, yathā duḥpratiniḥsaraṇaṃ copādānam, yathānāryā	gAXa-banDanA tRzNA, yaTA duHpratiniHsaraNam ca-upAdAnam, yaTA-anAryA
   bhavatṛṣṇā, bhave sati yathā duḥkhasamucchedyā ca jātiḥ, yathā vikārakarī	Bava-tRzNA, Bave sati yaTA duHKa-samucCedyA ca jAtiH, yaTA vikAra-karI
   ca jarā, yathā vilopakārakaśca vyādhiḥ, yathā niruvuraktaṃ ca maraṇam,	ca jarA, yaTA vilopa-kArakaH-ca vyADiH, yaTA niruvu-raktam ca maraNam,
   yathālpāsvādā ca pravṛttiḥ, yathā bahvādīnavā ca bhavābhinirvṛttiḥ, yathā	yaTA-alpa-AsvAdA ca pravRttiH, yaTA bahu-AdInavA ca Bava-aBinirvRttiH, yaTA
   ramaṇīyaṃ ca tathāgataśāsanam, nedaṃ śakyaṃ kāmadāsena kleśasaṃmohitena	ramaNIyam ca taTAgata-SAsanam, na-idam Sakyam kAma-dAsena kleSa-saMmohitena
   cittakhilena pramādābhiratena bālamadhyagatenāyoniśaścittena	citta-Kilena pramAda-aBiratena bAla-maDya-gatena-ayoniSaH-cittena
   saṃsāraraktacittena durjanamadhyagatena na śakyaṃ sugatipanthānamapi	saMsAra-rakta-cittena durjana-maDya-gatena na Sakyam sugati-panTAnam-api
   viśodhayituṃ kutaḥ punaranuttarāṃ samyaksaṃbodhimabhisaṃboddhum /	viSoDayitum kutas punar-anuttarAm samyaksaMboDim-aBisaMbodDum /
   tasyaitadabhūt - yannvahamita eva prāsādātprāṅbhukhaḥ prapateyam, mā me	tasya-etat-aBUt  yat-nu-aham-itas eva prAsAdAt-prAFBuKaH prapateyam, mA me
   dvāreṇa niṣkramato jñātisaṃgho 'ntarāyaṃ kuryāt //	dvAreNa nizkramataH jQAti-saMGaH antarAyam kuryAt //
   atha khalu rāṣṭrapāla puṇyaraśmī rājakumāro yena bhagavān	aTa Kalu rAzwrapAla puNya-raSmI rAja-kumAraH yena BagavAn
   siddhārthabuddhisthathāgatastanmukhastataḥ prāsādādātmānamutsṛṣṭavān, evaṃ	sidDArTa-budDi-sTaTA-gataH-tad-muKaH-tatas prAsAdAt-AtmAnam-utsRzwavAn, evam
   ca bhāṣate sma - sacetsa tathāgataḥ sarvaṃ jānāti sarvaṃ paśyati,	ca BAzate sma  saced-sa taTAgataH sarvam jAnAti sarvam paSyati,
   samanvāharatu māṃ tathāgataḥ / atha khalu rāṣṭrapāla	samanvAharatu mAm taTAgataH / aTa Kalu rAzwrapAla
   siddhārthabuddhistathāgato 'rhan samyaksaṃbuddho dakṣiṇapāṇiṃ prasārya	sidDArTa-budDiH-taTAgataH arhan samyaksaMbudDaH dakziNa-pANim prasArya
   prabhāṃ prāmuñcat, yayā puṇyaraśmi rājakumāraḥ spṛṣṭo 'bhūt / tasyāśca	praBAm prAmuQcat, yayA puNya-raSmi rAja-kumAraH spRzwaH aBUt / tasyAH-ca
   prabhāyāḥ śatasahasrapatraṃ padmaṃ śakaṭacakrapramāṇamātraṃ prādurbhūtam /	praBAyAH Sata-sahasra-patram padmam Sakawa-cakra-pramANa-mAtram prAdurBUtam /
   tasmācca padmāt raśmiśatasahasrāṇi niścaranti sma, mahāṃścāvabhāso 'bhūt,	tasmAt-ca padmAt raSmi-Sata-sahasrANi niScaranti sma, mahAn=-ca-avaBAsaH aBUt-,
   yenāvabhāsena puṇyaraśmī rājakumāraḥ sphuṭo 'bhūt / aht khalu rāṣṭrapāla	yena-avaBAsena puNya-raSmI rAja-kumAraH sPuwaH aBUt / aht Kalu rAzwrapAla
   puṇyaraśmī rājakumārastasmin padme sthitvā yena sa bhagavān	puNya-raSmiH rAja-kumAraH-tasmin padme sTitvA yena sa BagavAn
   siddhārdhabuddhistathāgato 'rhan samyaksaṃbuddhaḥ, tenāñjaliṃ praṇamya	sidDa-arDa-budDiH-taTAgataH arhan samyaksaMbudDaH, tena-aQjalim praNamya
   namo buddhāyetyudānamudānayati sma //	namaH budDAya-iti-udAnam-udAnayati sma //
   atha khalu rāṣṭrapāla tena siddhārthabuddhinā tathāgatena sā prabhā	aTa Kalu rAzwrapAla tena sidDArTa-budDinA taTAgatena sA praBA
   pratisaṃhṛtā / sa ca kumārastasya bhagavataḥ pādamūle chinnāpādapa iva	pratisaMhRtA / sa ca kumAraH-tasya BagavataH pAda-mUle CinnA-pAdapaH iva
   prapatitaḥ śatasahasrakṛtvastathāgataṃ vandate sma //	prapatitaH Sata-sahasra-kRtvas-taTAgatam vandate sma //
   atha khalu rāṣṭrapāla puṇyaraśmī rājakumārastaṃ bhagavantaṃ	aTa Kalu rAzwrapAla puNya-raSmI rAja-kumAraH-tam Bagavantam
   gāthābhiradhyabhāṣata -	gATABiH-aDi-aBAzata -
   mayā cirādadya hi vaidyarājaḥ kṛcchrādavāpto 'dya cirātureṇa /	mayA cirAt-adya hi vEdya-rAjaH kRcCrAt-avAptaH adya cira-AtureNa /
   ācakṣva me nātha kathaṃ sthito 'haṃ lābhī bhaveyaṃ sugatasya śāsane // 289	Acakzva me nATa kaTam sTitaH aham lABI Baveyam sugatasya SAsane // 289
   śruto mayā nāyaka apramādo niśāmya rātrau divi devatābhyaḥ /	SrutaH mayA nAyaka apramAdaH niSAmya rAtrO divi devatAByaH /
   śrutvā ca saṃvigna hi āgato 'haṃ kathaṃ narāṇāṃ bhavate pramādaḥ // 290 //	SrutvA ca saMvigna hi AgataH aham kaTam narANAm Bavate pramAdaH // 290 //
   pranaṣṭamārgasya bhavādya deśiko jātyandhabhūtasya bhavādya cakṣuḥ /	pranazwa-mArgasya Bava-adya deSikaH jAti-anDa-BUtasya Bava-adya cakzuH /
   mahāprapātādiha māṃ samuddhara śraddhākarā kāruṇikā cikitsakā // 291 //	mahA-prapAtAt-iha mAm samudDara SradDAkarA kAruNikA cikitsakAH // 291 //
   daridrabhūtasya kuruṣva saṃgrahaṃ baddhasya mokṣaṃ kuru me 'dya nātha /	daridra-BUtasya kuruzva saMgraham badDasya mokzam kuru me adya nATa /
   sasaṃśayebhyo vimatiṃ ca chinda caryāṃ ca me vyākuru bodhimārge // 292 //	sa-saMSayeByaH vimatim ca Cinda caryAm ca me vyAkuru boDi-mArge // 292 //
   (Vaidya, RP 153)	(VEdya, RS 153)
   tīrthaṃ ca saṃdarśaya uhyato me dīpaṃ kuruṣvāpi mamāndhakāre /	tIrTam ca saMdarSayaH uhyataH me dIpam kuruzva-api mama-anDakAre /
   vraṇīkṛtaṃ māṃ hi kuruṣva nirvraṇaṃ śalyaṃ ca me uddhara vaidyarāja // 293	vraNIkRtam mAm hi kuruzva nirvraNam Salyam ca me udDara vEdya-rAja // 293
   vimocya māṃ durgatisaṃkaṭāttvaṃ bhavopalambhagrahaṇaṃ nikṛnta /	vimocya mAm durgati-saMkawAt-tvam Bava-upalamBa-grahaNam nikRnta /
   saṃtāra māṃ śokamahaughapāram aṣṭāṅgamārgeṇa mahāpathena // 294 //	saMtAra mAm Soka-mahA-oGa-pAram azwa-aFga-mArgeNa mahApaTena // 294 //
   parīttamāyuḥ kṣayadharmi jīvitaṃ bahvantarāyaṃ kuśalaṃ bhavatyapi /	parIttam-AyuH kzaya-Darmi jIvitam bahu-antarAyam kuSalam Bavati-api /
   puṇyasya sidhyatyacirādvipākaḥ labdhakṣaṇo me 'dya vadaikaniścayam // 295	puNyasya siDyati-acirAt-vipAkaH labDa-kzaNaH me adya vada-eka-niScayam // 295
   etaddhi me vyākuru lokanātha syādbodhisattvo hi yathāpramattaḥ /	etat-hi me vyAkuru lokanATa syAt-boDisattvaH hi yaTApramattaH /
   yathā carannuttamabodhicārikāṃ pramocayeyaṃ bhavabandhanājjagat // 296 //	yaTA caran=-uttama-boDi-cArikAm pramocayeyam Bava-banDanAt-jagat // 296 //
   atha khalu rāṣṭrapāla siddhārthabuddhistathāgataḥ puṇyaraśme	aTa Kalu rAzwrapAla sidDArTa-budDiH-taTAgataH puNya-raSme
   rājakumārasyādhyāśayaṃ viditvā vistareṇa bodhicaryāṃ saṃprakāśayati, yaṃ	rAja-kumArasya-aDyASayam viditvA vistareNa boDi-caryAm saMprakASayati, yam
   śrutvā puṇyaraśminā rājakumāreṇa vimokṣā nāma dhāraṇī praolabdhā,	SrutvA puNya-raSminA rAja-kumAreNa vimokzA nAma DAraNI praolabDA,
   pañcābhijñāḥ pratilabdhāḥ / sa vaihāyase sthitvā puṣpāṇyabhinirmāya taṃ	paQca-aBijQAH pratilabDAH / sa vEhAyase sTitvA puzpANi-aBinirmAya tam
   tathāgatamabhyavakirati sma, abhiprakirati sma //	taTAgatam-aByavakirati sma, aBiprakirati sma //
   atha khalu rāṣṭrapāla puṇyaraśmi rājakumārastasmādantarīkṣādavatīrya taṃ	aTa Kalu rAzwrapAla puNya-raSmi rAja-kumAraH-tasmAt-antar-IkzAt-avatIrya tam
   bhagavantaṃ siddhārthabuddhiṃ tathāgataṃ gāthābhirabhyaṣṭāvīt -	Bagavantam sidDArTa-budDim taTAgatam gATABiH-aByazwAvIt -
   vandāmi te kanakavarṇanibhā varalakṣaṇā vimalacandramukhā /	vandAmi te kanaka-varNa-niBA vara-lakzaNAH vimala-candra-muKAH /
   vandāmi te asamajñānadharā sadṛśo na te 'sti tribhave virajaḥ // 297 //	vandAmi te asama-jQAna-DarA sadRSaH na te asti tri-Bave virajaH // 297 //
   mṛdu cāru snigdha śubha keśa jinā girirājatulya tava coṣṇiriha /	mRdu cAru snigDa SuBa keSa jinA girirAja-tulya tava ca-uzNiH-iha /
   noṣṇīṣamīkṣitu tavāsti samo vibhrājate bhruvi vare 'pi tavorṇa mune // 298	na-uzNIzam-Ikzitu tava-asti samaH viBrAjate Bruvi vare api tava-UrNa mune // 298
   kundenduśaṅkhahimaśubhranibhā nīlotpalābhaśubhanetravarā /	kunda-indu-SaFKa-hima-SuBra-niBA nIlotpala-ABa-SuBa-netra-varAH /
   kṛpayekṣase jagadidaṃ hi yayā vandāmi te vimalanetra jinā // 299 //	kRpayA-Ikzase jagat-idam hi yayA vandAmi te vimala-netra jinAH // 299 //
   jihvā prabhūta tanu tāmrani(bhā) vadanaṃ ca chādayasi yenasvakam /	jihvA praBUta tanu tAmra-ni(BA) vadanam ca CAdayasi yena-svakam /
   dharmaṃ vadan vinayase ca jagat vandāmi te madhurasnugdhagiram // 300 //	Darmam vadan vinayase ca jagat vandAmi te maDura-snugDa-giram // 300 //
   daśanā śubhāḥ sudṛḍha vajranibhāḥ triṃśaddaśāpyaviralāḥ sahitāḥ /	daSanA SuBAH su-dRXa vajra-niBAH triMSat-daSa-api-aviralAH sahitAH /
   kurvan smitaṃ vinayase ca jagat vandāmi te madhurasatyakathā // 301 //	kurvan smitam vinayase ca jagat vandAmi te maDura-satya-kaTA // 301 //
   rūpeṇa cāpratisamo 'si jinā prabhayā ca bhāsayasi kṣetraśatān /	rUpeNa ca-apratisamaH asi jinA praBayA ca BAsayasi kzetra-SatAn /
   bramhendrapāla jagato bhagavan jimhībhavanti tava te prabhayā // 302 //	bramha-indra-pAla jagataH Bagavan jimhIBavanti tava te praBayA // 302 //
   eṇeyajaṅgha bhagavanna samā gajarājabarhimṛgarājagateḥ /	eNeyajaFGa Bagavat-na samAH gaja-rAja-barhi-mRgarAja-gateH /
   īkṣan vrajasyati yugaṃ bhagavan saṃkampayan dharaṇiśailataṭam // 303 //	Ikzan vrajasyati yugam Bagavan saMkampayan DaraNi-SEla-tawam // 303 //
   kāyaśca lakṣaṇacito bhagavan ślakṣṇa cchavī kanakavarṇaṃ tava /	kAyaH-ca lakzaNa-citaH Bagavan SlakzNa cCavI kanaka-varNam tava /
   nekṣan jagad vrajati tṛptimidaṃ rūpaṃ tavāpratimarūpadhara // 304 //	na-Ikzan jagat vrajati tRptim-idam rUpam tava-apratima-rUpa-Dara // 304 //
   tvaṃ pūrva kalpaśatacīrṇatapā tvaṃ sarvatyāgadamadānarataḥ /	tvam pUrva kalpa-Sata-cIrNa-tapA tvam sarva-tyAga-dama-dAna-rataH /
   tvaṃ sarvasattvakṛpamaitramanā vandāmi te paramakāruṇika // 305 //	tvam sarva-sattva-kRpa-mEtra-manAH vandAmi te parama-kAruNika // 305 //
   (Vaidya, RP 154)	(VEdya, RS 154)
   tvaṃ dānaśīlanirataḥ satataṃ tvaṃ kṣāntivīryanirataḥ sudṛḍham /	tvam dAna-SIla-nirataH satatam tvam kzAnti-vIrya-nirataH su-dRXam /
   tvaṃ dhyānaprajñaprabhatejadharo vandāmi te asamajñānadhara // 306 //	tvam DyAna-prajQa-praBa-tejaDaraH vandAmi te asama-jQAna-Dara // 306 //
   tva vādiśūra kugaṇipramathi tvaṃ siṃhavannadasi parṣadi ca /	tva vA-AdiSUra kugaNi-pramaTi tvam siMha-vat-nadasi parzadi ca /
   tvaṃ vaidyarāja trimalāntakaro vandāmi te paramaprītikara // 307 //	tvam vEdya-rAja tri-mala-anta-karaH vandAmi te parama-prIti-karaH // 307 //
   vākkāyamānasaviśuddha mune tribhaveṣvalipta jalapadmamiva /	vAc-kAya-mAna-sa-viSudDa mune tri-Bavezu-alipta jala-padmam-iva /
   tvaṃ bramhaghoṣa kalaviṅkaravā vandāmi te tribhavapāragatam // 308 //	tvam bramhaGoza kalaviFka-ravAH vandAmi te tri-Bava-pAra-gatam // 308 //
   māyopamaṃ jagadidaṃ bhavatā naṭaraṅgasvapnasadṛśaṃ viditam /	mAyA-upamam jagat-idam BavatA nawa-raFga-svapna-sadRSam viditam /
   nātmā na sattva na ca jīvagati dharmā marīcidakacandrasamāḥ // 309 //	na-AtmA na sattva na ca jIvagati DarmAH marIci-daka-candra-samAH // 309 //
   śūnyāśca śānta anutpādanaya avijānadeva jagadudbhramati /	SUnyAH-ca SAnta anutpAdanaya avijAnadeva jagat-udBramati /
   teṣāmupāyanayayuktiśatairavatāratyasyapi kṛpālutayā // 310 //	tezAm-upAya-naya-yukti-SatEH-avatAratyasi-api kRpAlu-tayA // 310 //
   rāgādibhiśca bahurogaśataiḥ saṃtāpitaṃ satatamīkṣya jagad /	rAga-AdiBiH-ca bahu-roga-SatEH saMtApitam satatam-Ikzya jagat /
   vaidyottamo vicarase 'pratimaḥ parimocaya sugata sattvaśatān // 311 //	vEdya-uttamaH vicarase apratimaH parimocaya sugata sattva-SatAn // 311 //
   jātījarāmaraṇaśokahataṃ priyaviprayogaparidevaśataiḥ /	jAtI-jarA-maraNa-Soka-hatam priya-viprayoga-parideva-SatEH /
   satatāturaṃ ca jagadīkṣya mune parimocayan vicarase kṛpayā // 312 //	satata-Aturam ca jagadIkzya mune parimocayan vicarase kRpayA // 312 //
   rathacakravadbhramati sarvajagat tiryakṣu pretaniraye sugatau /	raTa-cakra-vat-Bramati sarva-jagat tiryakzu preta-niraye sugatO /
   mūḍhā adeśika anāthagatāḥ teṣāṃ pradarśayasi mārgam // 313 //	mUXAH adeSika anATa-gatAH tezAm pradarSayasi mArgam // 313 //
   ye te babhūva purimāśca jinā dharmeśvarā jagati cārthakarāḥ /	ye te baBUva purimAH-ca jinAH Darma-ISvarAH jagati ca-arTa-karAH /
   ayameva taiḥ prakathito 'ryapatho yaṃ deśayasyapi vibho 'pratimaḥ // 314	ayam-eva tEH prakaTitaH aryapaTaH yam deSayasI-api viBo apratimaH // 314
   snigdhaṃ hyakarṣaya manojña varaṃ bramhādhikaṃ paramaprītikaram /	snigDam hi-akarzaya manojQa varam bramha-aDikam parama-prIti-karam /
   gandharvakinnaravarāpsarasāmabhibhūya tāṃ giramudāharase // 315 //	ganDarva-kinnara-vara-apsarasAm-aBiBUya tAm giram-udAha-rase // 315 //
   satyārjavakṣayamupāyanayaiḥ pariśodhitāṃ giramanantaguṇām /	satya-Arjava-kzayam-upAya-nayEH pariSoDitAm giram-ananta-guNAm /
   śrutvā hi yāṃ niyutasattvaśatā yānatrayeṇa jina yānti śamam // 316 //	SrutvA hi yAm niyuta-sattva-SatAH yAna-trayeNa jina yAnti Samam // 316 //
   tava pūjayā sukhamanekavidhaṃ divyaṃ labhanti manujeṣu tathā /	tava pUjayA suKam-anekaviDam divyam laBanti manujezu taTA /
   āḍhyo mahādhana mahāvibhavo bhavate jagaddhitakaro nṛpatiḥ // 317 //	AXyaH mahADana mahA-viBavaH Bavate jagat-hita-karaH nRpatiH // 317 //
   valacakravartyapi ca dvīpapatiḥ jagadāvṛṇoti daśabhiḥ kuśalaiḥ /	vala-cakravartI-api ca dvIpa-patiH jagat-AvRNoti daSaBiH kuSalEH /
   ratnāni sapta labhate suśubhāṃ tvayi saṃprasādajanako 'pratima // 318 //	ratnAni sapta laBate su-SuBAm tvayi saMprasAda-janakaH apratimaH // 318 //
   bramhāpi śakra api lokapatiḥ bhavate ca saṃtuṣitadevapatiḥ /	bramha-api Sakra api loka-patiH Bavate ca saMtuzita-deva-patiH /
   parinirmito 'pi ca suyāmapatiḥ tvatpūjayā bhavati cāpi jinaḥ // 319 //	parinirmitaH api ca suyAma-patiH tvad-pUjayA Bavati ca-api jinaH // 319 //
   evaṃ hyamogha tava pūja kṛtā saṃdarśanaṃ śravaṇamapyasamam /	evam hi-amoGa tava pUja kRtA saMdarSanam SravaNam-api-asamam /
   bhavate jagadvividhaduḥkhaharaḥ spṛśate paraṃ padavaraṃ hyajaram // 320 //	Bavate jagat-viviDa-duHKa-haraH spRSate param pada-varam hi-ajaram // 320 //
   mārgajña mārgakuśalā bhagavan kupathānnivārayasi lokamimam /	mArga-jQa mArga-kuSalAH Bagavan kupaTAn-nivArayasi lokam-imam /
   kṣeme śive viraja āryapathe pratiṣṭhāpapyasyapi jagadbhagavan //321 //	kzeme Sive virajaH Arya-paTe pratizWA-papyasi-api jagat-Bagavan //321 //
   (Vaidya, RP 155)	(VEdya, RS 155)
   puṇyādhikasya tava puṇyanidheḥ satatākṣayā bhavati puṇyakriyā /	puNya-aDikasya tava puNya-niDeH satata-akzayA Bavati puNya-kriyA /
   bahukalpakoṭīṣu na yāti kṣayaṃ yāvanna saṃspṛśati bodhicarām // 322 //	bahu-kalpa-kowIzu na yAti kzayam yAvat-na saMspRSati boDi-carAm // 322 //
   pariśuddha kṣetra labhate ruciraṃ paranirmitābha sada prītikaram /	pariSudDa kzetra laBate ruciram para-nirmitA-ABa sada prIti-karam /
   śuddhāśca kāyavacasā manasā sattvā bhavantyapi ca kṣetravare // 323 //	SudDAH-ca kAya-vacasA manasA sattvAH Bavanti-api ca kzetra-vare // 323 //
   ityevamādiguṇa naikavidhān labhate jinārcanakṛtān manujaḥ /	iti-evamAdi-guNa na-ekaviDAn laBate jina-arcana-kRtAn manujaH /
   svargāpavarga manujeṣu sukhaṃ bhavate ca puṇyanidhi sarvajage // 324 //	svarga-apavarga manujezu suKam Bavate ca puNya-niDi sarva-jage // 324 //
   kīrtiryaśaśca prasṛtaṃ vipulaṃ tava sarvadikṣu bahukṣetraśatān /	kIrtiH-yaSaH-ca prasRtam vipulam tava sarva-dikzu bahu-kzetra-SatAn /
   saṃkīrtayanti sugatāḥ satataṃ tava varṇamāla parṣatsu jinā // 325 //	saMkIrtayanti sugatAH satatam tava varNa-mAla parzatsu jinAH // 325 //
   vigatajvarā jagati mokṣakarā priyadarśanā paramakāruṇikā /	vigata-jvarA jagati mokza-karA priya-darSanA parama-kAruNikA /
   śāntendriyā śamaratā bhagavan vandāmi te naravarapravarā // 326 //	SAnta-indriyA SamaratA Bagavan vandAmi te nara-vara-pravarAH // 326 //
   labdhā abhijña jina pañca mayā gagane sthitastava niśāmya giram /	labDAH aBijQa jina paQca mayA gagane sTitaH-tava niSAmya giram /
   bhavitāsmi vīra sugatau pratimaḥ vibhajiṣya dharmamamalaṃ jagataḥ // 327	BavitAsmi vIra sugatO pratimaH viBajizya Darmam-amalam jagataH // 327
   stutvādya sarvaguṇapāragataṃ naradevanāgamahitaṃ sugatam /	stutvA-adya sarva-guNa-pAra-gatam naradevanAgamahitam sugatam /
   puṇyaṃ yadarjitamidaṃ vipulaṃ jagadāpnuyādapi ca buddhapadam // 328 //	puNyam yat-arjitam-idam vipulam jagat-ApnuyAt-api ca budDa-padam // 328 //
   atha khalu rāṣṭrapāla rājā arciṣmāṃstasyā rātryā	aTa Kalu rAzwrapAla rAjA arcizmAn=-tasyAH rAtryA
   atyayenāśroṣītkumārasyāntaḥpure ruditaśabdam / śrutvā ca śīghraṃ	atyayena-aSrozIt-kumArasya-antaHpure rudita-Sabdam / SrutvA ca SIGram
   tvaramāṇarūpo yena ratipradhānaṃ nagaraṃ tenopasaṃkrāmat /	tvaramANa-rUpaH yena rati-praDAnam nagaram tena-upasaMkrAmat /
   upasaṃkramyaitadavocat - kiṃ bhavantyo rudanti ? tā avocān - puṇyaraśmī	upasaMkramya-etat-avocat  kim BavantyaH rudanti ? tAH avocAn  puNya-raSmI
   rājakumāro na dṛśyate / atha khalu rāṣṭrapāla rājā arciṣmān kumārasyārthe	rAja-kumAraH na dRSyate / aTa Kalu rAzwrapAla rAjA arcizmAn kumArasya-arTe
   chinnapādapa ina dharaṇītale prapatitaḥ / sa utthāya dharaṇitalāt	Cinna-pAdapaH inaH DaraNI-tale prapatitaH / saH utTAya DaraNi-talAt-
   sahasraśaśca tannagaraṃ paricarati rudamānaḥ / atha khalu rāṣṭrapāla yā	sahasraSas-ca tat-nagaram paricarati rudamAnaH / aTa Kalu rAzwrapAla yA
   tasminnagare nagaradevatā sā rājānamarciṣmantametadavocat - gato mahārāja	tasminnagare nagara-devatA sA rAjAnam-arcizmantam-etat-avocat  gataH mahA-rAja
   kumāraḥ pūrvasmin digbhāge siddhārthabuddhiṃ tathāgataṃ darśanāya	kumAraH pUrvasmin diS-BAge sidDArTa-budDim taTAgatam darSanAya
   vandanāya paryupāsanāya //	vandanAya paryupAsanAya //
   atha khalu rāṣṭrapāla rājā arciṣmān kumārasyāntaḥpureṇa sārdhaṃ	aTa Kalu rAzwrapAla rAjA arcizmAn kumArasya-antaHpureNa sArDam
   caturaśītibhiḥ prāṇakoṭiniyutaśatasahasrairyena pūrvo	caturaSItiBiH prANa-kowi-niyuta-Sata-sahasrEH-yena pUrvo
   digbhāgastenopajagāma / yena siddhārthabuddhistathāgato 'rhan	diS-BAgaH-tena-upajagAma / yena sidDArTa-budDiH-taTAgataH arhan
   samyassaṃbuddhastenopasaṃkrāntaḥ / upasaṃkramya tasya bhagavataḥ pādau	samyassaMbudDaH-tena-upasaMkrAntaH / upasaMkramya tasya BagavataH pAdO
