   jaiminīyagṛhyasūtram	jEminIya-gRhya-sUtram
   atigāhemahi dviṣa iti tūṣṇīṃ dhārikā kāmāyāvapeccaturthaṃ dakṣiṇaṃ	ati-gAhemahi dvizaH iti tUzNIm DArikA kAmAya-Avapet-caturTam dakziNam
   śūrpapuṭaṃ kāma ityācakṣata uttarapurastādagraneḥ sapta	SUrpa-puwam kAmaH iti-Acakzate uttara-purastAt-agraneH sapta
   padānyabhyutkramayedekamiṣa iti pratimantramekamiṣe viṣṇustvānvetu /	padAni-aByutkramayet-ekamizaH iti pratimantram-ekamize vizNuH-tvA-anvetu /
   dve ūrje viṣṇustvānvetu /	dve Urje vizNuH-tvA-anvetu /
   trīṇi rāyaspoṣāya viṣṇustvānvetu /	trINi rAyaspozAya vizNuH-tvA-anvetu /
   catvāri mayobhavāya viṣṇustānvetu /	catvAri mayaH-BavAya vizNuH-tAn-vetu /
   ṣaḍṛtubhyo viṣṇustānvetu /	zaz-RtuByaH vizNuH-tAn-vetu /
   sakhā saptapadī bhaveti saptame prācīmavasthāpyodakumbhena	saKA saptapadI Bava-iti saptame prAcIm-avasTApya-udakumBena
   mārjayerannāpohiṣṭhīyābhistisṛbhiḥ prekṣakānanumantrayate sumaṅgalīriyaṃ	mArjayeH-anna-apohizWIyABiH-tisRBiH prekzakAn-anumantrayate sumaFgalIH-iyam
   vadhūrimāṃ sameta paśyata /	vaDUH-imAm sameta paSyata /
   saubhāgyamasyai dattvāyāthāstaṃ viparetaneti prekṣayeddhruvamarundhatīṃ	sOBAgyam-asyE dattvA-Aya-aTAH-tam viparetana-iti prekzayet-Druvam-arunDatIm
   sapta ṛṣīnpaśyānīti pratijānānāṃ dhruvo 'sīti dhruvamupatiṣṭhate dhruvo	sapta RzIn-paSyAni-iti pratijAnAnAm DruvaH asi-iti Druvam-upatizWate DruvaH-
   'si dhruvāhaṃ patikule bhūyāsamamuṣyeti patināma gṛhṇīyādasāvityātmano	asi DruvA-aham pati-kule BUyAsam-amuzya-iti pati-nAma gRhNIyAt-asO=-iti-AtmanaH-
   'rundhatīmarundhatyaruddhāhaṃ patyā bhūyāsamamuneti patināma	arunDatIm-arunDatya-rudDA-aham patyA BUyAsam-amunA-iti pati-nAma
   gṛhṇīyādasāvityātmanaḥ // JaimGS_1.21 //	gRhNIyAt-asO=-iti-AtmanaH // JEmGS_1.21 //
   JaimGS 1.22:	JEmGS 1.22:
   pūṣā tveta iti prasthitāmanumantrayate pūṣā tveto nayatu hastagṛhyāśvinau	pUzA tvA-ita iti prasTitAm-anumantrayate pUzA tvA-itas nayatu hasta-gRhya-aSvinO
   tvā pravahatāṃ rathena /	tvA pravahatAm raTena /
   gṛhāngaccha gṛhapatnī yathāso vaśinī tvaṃ vidathamāvadāsīti svaṃ kulaṃ	gRhAn-gacCa gRhapatnI yaTAsaH vaSinI tvam vidaTam-AvadAsi-iti svam kulam
   prāptāṃ kalyāṇaśīlāḥ kalyāṇaprajāḥ samavajīrṇāḥ pratyavaropayantīha priyaṃ	prAptAm kalyANa-SIlAH kalyANa-prajAH samavajIrNAH pratyavaropayanti-iha priyam
   prajayā te samṛdhyatāmasmingṛhe gārhapatyāya jāgṛhi /	prajayA te samRDyatAm-asmin-gRhe gArhapatyAya jAgRhi /
   enā patyā tanvaṃ saṃsṛjasvāthājīvrī vidathamāvadāsīti pratyavaropyānaḍuhe	enA patyA tanvam saMsRja-svATa-ajIvrI vidaTam-AvadAsi-iti pratyavaropya-Anaxuhe
   carmaṇyuttaralomanyupaveśayediha gāvo niṣīdantvihāśvā iṅa puruṣāḥ /	carmaNi-uttaralomani-upaveSayet-iha gAvaH nizIdantu-iha-aSvAH iFaH puruzAH /
   iho sahasradakṣiṇo 'bhi pūṣā niṣīdatviti kumāramupastha ādhāya	iho sahasra-dakziNaH aBi pUzA nizIdatu-iti kumAram-upasTe ADAya
   śakaloṭānāvapetphalāni yotthāpya kumāramanvārabdhāyāṃ juhuyādiha	Saka-lowAn-Avapet-PalAni yA-utTApya kumAram-anvArabDAyAm juhuyAt-iha
   dhṛtirityaṣṭābhiḥ svāhākārāntairiha dhṛtiriha svadhṛtiriha rantiriha	DRtiH-iti-azwABiH svAhAkAra-antEH-iha DRtiH-iha sva-DRtiH-iha rantiH-iha
   ramasva /	ramasva /
   mayi dhṛtirmayi svadhṛtirmayi ramo mayi ramasveti	mayi DRtiH-mayi sva-DRtiH-mayi ramaH mayi ramasva-iti
   trirātramakṣārālavaṇāśinau brahmacāriṇāvadhaḥ saṃveśināvasaṃvartamānau	tri-rAtram-akzAra-alavaNa-ASinO brahmacAriNO=-aDas saMveSinO=-asaMvartamAnO
   saha śayātāmūrdhvaṃ trirātrātsaṃbhavo niśāyāṃ jāyāpatikarmaṇyaṃ	saha SayAtAm-UrDvam tri-rAtrAt-saMBavaH niSAyAm jAyA-pati-karmaNyam
   prāyaścittīrjuhuyādagre prāyaścitte tvaṃ devānāṃ prāyaścittirasi	prAyaScittIH-juhuyAt-agre prAyaScitte tvam devAnAm prAyaScittiH-asi
   brāhmaṇastvā nāthakāma upadhāvāmi yāsyai prajāghnī tanūstāmasyā apajahi	brAhmaNaH-tvA nATa-kAmaH upaDAvAmi yA-asyE prajA-GnI tanUH-tAm-asyAH apajahi
   svāhā /	svAhA /
   vāyo prāyaścitte tvaṃ devānāṃ prāyaścittirasi brāhmaṇastvā nāthakāma	vAyo prAyaScitte tvam devAnAm prAyaScittiH-asi brAhmaNaH-tvA nATa-kAma
   upadhāvāmi yāsyai paśughnī tanūstāmasyā apajahi svāhā /	upaDAvAmi yA-asyE paSu-GnI tanUH-tAm-asyAH apajahi svAhA /
   sūrya prayaścitte tvaṃ devānāṃ prāyaścittirasi brāhmaṇastvā nāthakāma	sUrya prayaH-citte tvam devAnAm prAyaScittiH-asi brAhmaNaH-tvA nATa-kAma
   upadhāvāmi yāsyai patighni tanūstāmasyā apajahi svāhā /	upaDAvAmi yA-asyE patiGni tanUH-tAm-asyAH apajahi svAhA /
   candra prāyaścitte tvaṃ devānāṃ prāyāścittarasi brahmaṇastvā nāthakāma	candra prAyaScitte tvam devAnAm prAyAH-cittarasi brahmaNaH-tvA nATa-kAma
   upadhāvāmi yāsyai gṛhaghni tanūstāmasyā apajahi svāhā /	upaDAvAmi yA-asyE gRha-Gni tanUH-tAm-asyAH apajahi svAhA /
   agne vāyo sūrya candra prāyaścittayo yūyaṃ devānāṃ prāyaścittaya stha	agne vAyo sUrya candra prAyaScittayaH yUyam devAnAm prAyaScittaya sTa
   brāhmaṇo vo nāthakāma upadhāvāmi yāsyai yaśoghnītanūstāmasyā apahata	brAhmaNaH vaH nATa-kAmaH upaDAvAmi yA-asyE yaSaH-GnI-tanUH-tAm-asyAH apahata
   svāheti sthālīpākādagniṃ prajāpatiṃ ceṣṭvā saṃpātāṃścamasa ānīya	svAhA-iti sTAlIpAkAt-agnim prajApatim ca-izwvA saMpAtAn=-camasaH AnIya
   srotāṃsyāṅkṣvetyenāṃ brūyānnābhiṃ prathamaṃ tato yānyūrdhvaṃ tato	srotAMsi-AFkzva-iti-enAm brUyAt-nABim praTamam tatas yAni-UrDvam tatas-
   yānyarvāñcūrdhvamardharātrātsaṃveśanaṃ viṣṇuryoniṃ kalpayatvityetena	yAni-arvAQcu-UrDvam-arDarAtrAt-saMveSanam vizNuH-yonim kalpayatu-iti-etena
   tṛcena viṣṇuryoniṃ kalpayatu tvaṣṭā rūpāṇi piṃśatu /	tRcena vizNuH-yonim kalpayatu tvazwA rUpANi piMSatu /
   āsiñcatu prajāpatirdhātā garbhaṃ dadhātu te //	AsiQcatu prajApatiH-DAtA garBam daDAtu te //
   garbhaṃ dhehi sinīvāligarbhaṃ dhehi sarasvati /	garBam Dehi sinIvAli-garBam Dehi sarasvati /
   garbhaṃ te aśvinau devāvādhattāṃ puṣkarasrajau //	garBam te aSvinO devO=-ADattAm puzkara-srajO //
   hiraṇyayī araṇī yaṃ nirmanthatāmāśvinau /	hiraNyayI araNI yam nirmanTa-tAm-ASvinO /
   taṃ te garbhaṃ dadhāmyahaṃ daśame māsi sūtavā ityṛtāvṛtāvevameva saṃveśane	tam te garBam daDAmi-aham daSame mAsi sUtavA iti-RtO=-RtO=-evam-eva saMveSane
   hutvācāryāya gāṃ dadyādadarśane brāhmaṇebhyo gāṃ dadyāti // JaimGS_1.22 //	hutvA-AcAryAya gAm dadyAt-adarSane brAhmaNeByaH gAm dadyAti // JEmGS_1.22 //
   JaimGS 1.23:	JEmGS 1.23:
   sāyaṃprātarheme 'gnaya iti prathamāmāhutiṃ juhoti prajāpataya	sAyaMprAtar-heme agnayaH iti praTamAm-Ahutim juhoti prajApataya
   ityuttarāmevaṃ prātaragnisthāne sūryaḥ sāyaṃprātaraśanasya balī	iti-uttarAm-evam prAtar-agni-sTAne sUryaH sAyaMprAtar-aSanasya balI
   vardhayitvā pūrvasmādagnau juhotyagnaye svāhā somāya svāhā dhanvantaraye	varDayitvA pUrvasmAt-agnO juhoti-agnaye svAhA somAya svAhA Danvantaraye
   svāhā dyāvāpṛthvībhyāṃ svāhā viśvebhyo devebhyaḥ svāhā sarvābhyo	svAhA dyAvApRTvIByAm svAhA viSveByaH deveByaH svAhA sarvAByaH-
   devatābhyaḥ svāhā prajāpateya svāheti manasottarāṃ tata evottarato	devatAByaH svAhA prajApateya svAhA-iti manasA-uttarAm tatas eva-uttaratas-
   'gnerbaliṃ harati ye harṣaṇā vepanā sphātimāharā vātasya	agneH-balim harati ye harzaNA vepanA sPAtim-AharAH vAtasya
   bhrājamanusaṃcaranti /	BrAjam-anusaMcaranti /
   tebhyo balimannakāmo harāmyannaṃ payasvadbahulaṃ me	teByaH balim-annakAmaH harAmi-annam payasvat-bahulam me
   astvityevamaśanāyatyāyasthāne mṛtyoradhiṣṭhānāya svāheti śeṣasya	astu-iti-evam-aSanAyati-Aya-sTAne mRtyoH-aDizWAnAya svAhA-iti Sezasya
   baliharaṇaṃ pradakṣiṇaṃ gṛhyābhyo devatābhyo baliṃ nayāmi tanme juṣantāṃ	bali-haraNam pradakziNam gRhyAByaH devatAByaH balim nayAmi tat-me juzantAm
   tā mā pāntu tā mā gopāyantu tā mā rakṣantu tābhyo namastābhyaḥ	tAH mA pAntu tAH mA gopAyantu tAH mA rakzantu tAByaH namaH-tAByaH
   svāhetyudadhāne madhye 'gārasyauttarapūrvārdhe śayane dehalyāṃ saṃvaraṇe	svAhA-iti-udaDAne maDye agArasya-Ottara-pUrva-arDe Sayane dehalyAm saMvaraNe
   brahmāyatana eteṣvāyataneṣu śeṣaṃ dhanvantaraye ninayetsadā gṛheṣu	brahma-Ayatane etezu-Ayatanezu Sezam Danvantaraye ninayet-sadA gRhezu
   svastivācanaṃ sā mahāśāntirityācakṣate // JaimGS_1.23 //	svastivAcanam sA mahA-SAntiH-iti-Acakzate // JEmGS_1.23 //
   JaimGS 1.24:	JEmGS 1.24:
   navena yakṣyamāṇaḥ purāṇenāgre yajetāgnidhanvantarī prajāpatimindraṃ	navena yakzyamANaH purANena-agre yajeta-agni-DanvantarI prajApatim-indram
   tisraśca navāhutīrnavena yajeta śaradi vrīhīṇāṃ vasante yavānāṃ varṣāsu	tisraH-ca nava-AhutIH-navena yajeta Saradi vrIhINAm vasante yavAnAm varzAsu
   śyāmākānāmaindrāgnau vaiśvadevo dyāvāpṛthivyaścarava ekacarurvokte	SyAmAkAnAm-Endra-agnO vESvadevaH dyAvApRTivyaH-caravaH eka-caruH-vA-ukte
   evopastaraṇābhidhāraṇe dvirhaviṣe 'vadyatyatha prāśnīyādbhadrānnaḥ śreyaḥ	eva-upastaraNa-aBiDAraNe dvis-havize avadyati-aTa prASnIyAt-BadrAt-naH SreyaH
   samanaiṣṭa devāstvayāvasena samaśīmahi tvā /	samanEzwa devAH-tvayA-avasena sama-SImahi tvA /
   sa no mayobhūḥ pito āviśsva śaṃ tokāya tanuṣe syo ityetamu tyaṃ madhunā	sa naH mayoBUH pitaH AviSsva Sam tokAya tanuze syaH iti-etamu tyam maDunA
   saṃyutaṃ yavaṃ sarasvatyā adhi manāvacarkṛṣuḥ /	saMyutam yavam sarasvatyAH aDi manAH-vacarkRzuH /
   indra āsītsīrapatiḥ śatakratuḥ kīnāśā āsanmarutaḥ sudānava iti yavasya	indraH AsIt-sIra-patiH SatakratuH kInASAH Asan-marutaH sudAnavaH iti yavasya
   prāśnīyādagniḥ prathamaḥ prāśnātu sa hi veda yathā haviḥ /	prASnIyAt-agniH praTamaH prASnAtu sa hi veda yaTA haviH /
   śivā asmabhyamoṣadhīḥ kṛṇotu viśvacarṣaṇīriti śyāmākasya	SivAH asmaByam-ozaDIH kRNotu viSvacarzaNIH-iti SyAmAkasya
   prāśnīyātprāśnīyāt // JaimGS_1.24 //	prASnIyAt-prASnIyAt // JEmGS_1.24 //
   // iti jaiminisūtraṃ pūrvam //	// iti jEmini-sUtram pUrvam //
   JaimGS 2.1:	JEmGS 2.1:
   śrāddhaṃ kariṣyantaḥ snātāḥ śucivāsasastilairvāstvavakīrya savyamācaranto	SrAdDam karizyantaH snAtAH Suci-vAsasaH-tilEH-vAstu-avakIrya savyam-AcarantaH-
   'nnamupasādhayeranhaviṣyairupasicyaivaivaṃ	annam-upasADayeH-anha-vizyEH-upasicya-eva-evam
   dadyādyadyaddadyāttattaddhaviṣyairupasicyaiva haviṣyā iti tilānāmākhyā	dadyAt-yat-yat-dadyAt-tad-tat-havizyEH-upasicya-eva havizyAH iti tilAnAm-AKyA
   dantadhāvanaṃ snānīyāni pādyamānīya prathamoddhṛtaṃ	dantaDAvanam snAnIyAni pAdyam-AnIya praTama-udDRtam
   brāhmaṇāṃstryavadātānupaveśayatyā me gacchantu pitaro bhāgadheyaṃ	brAhmaNAn=-tri-avadAtAn-upaveSayatyA me gacCantu pitaraH BAgaDeyam
   virājāhūtāḥ salilātsamudriyāt /	virAjA-AhUtAH salilAt-samudriyAt /
   akṣīyamāṇamupajīvatainanmayā prattaṃ svadhayā	akzIyamANam-upajIvata-enat-mayA prattam svaDayA
   madadhvamityupamūlalūnāndarbhānviṣṭarānprasavyānkṛtvā brāhmaṇebhyaḥ	madaDvam-iti-upamUla-lUnAn-darBAn-vizwarAn-prasavyAn-kRtvA brAhmaNeByaH
   pradadyādetatte pitarāsanamasau ye ca tvātrānu tebhyaścāsanamityevaṃ	pradadyAt-etat-te pitarAsanam-asO ye ca tvA-atra-anu teByaH-ca-Asanam-iti-evam
   pitāmahāyaivaṃ prapitāmahāya haviṣyodakaṃ tiraḥ pavitraṃ	pitAmahAya-evam prapitAmahAya havizya-udakam tiras pavitram
   gandhānsumanasaśca dadyādannamavattvā ghṛtenābhidhārya	ganDAn-sumanasaH-ca dadyAt-annam-avattvAH GRtena-aBiDArya
   darbhānparistaraṇīyāniti tadādāyāgnau kariṣyāmīti brāhmaṇānanujñāpya	darBAn-paristaraNIyAn-iti tad-AdAya-agnO karizyAmi-iti brAhmaNAn-anujQApya
   prāgdakṣiṇāmukho 'gniṃ praṇayitvā trirdhūnvanpradakṣiṇamagniṃ paristṛṇāti	prAc-dakziNA-muKaH agnim praNayitvA tris-DUnvan-pradakziNam-agnim paristRNAti
   prācīnāvīti triḥ prasavyaṃ triḥ paryukṣetpradakṣiṇaṃ prācīnāvīti triḥ	prAcInAvI-iti tris prasavyam tris paryukzet-pradakziNam prAcInAvI-iti tris-
   prasavyamaudumbara idhmaḥ paridhayo bhavanti mekṣaṇaṃ ca pavitraṃ	prasavyam-OdumbaraH iDmaH pariDayaH Bavanti mekzaNam ca pavitram
   saṃskṛtyānnamutpūyāgnau pavitraṃ prāsya mekṣaṇena juhotyagnaye	saMskRtya-annam-utpUya-agnO pavitram prAsya mekzaNena juhoti-agnaye
   kavyavāhanāya svadhā namaḥ svāhā somāya pitṛmate svadhā nama svāheti	kavyavAhanAya svaDA namaH svAhA somAya pitRmate svaDA nama svAhA-iti
   yajñopavīti bhūtvāpa upaspṛśya yamāyāṅgiḥsvate svāheti	yajQopavIti BUtvA-apaH upaspRSya yamAya-aFgiHsvate svAhA-iti
   mekṣaṇamagrāvanupraharati namaskārānkṛtvā yathādaivataṃ triḥ	mekzaNam-agrO=-anupraharati namaskArAn-kRtvA yaTAdEvatam tris-
   paryukṣetpradakṣiṇaṃ prācīnāvīti triḥ prasavyaṃ savyañjanamannaṃ pātreṣu	paryukzet-pradakziNam prAcInAvI-iti tris prasavyam sa-vyaQjanam-annam pAtrezu
   vardhayitvāmāsu pakvamiti kṣīraṃ ghṛtaṃ vā siñcatyāmāsu pakvamamṛtaṃ	varDayitvA-AmAsu pakvam-iti kzIram GRtam vA siQcati-AmAsu pakvam-amRtam
   niviṣṭaṃ mayā prattaṃ svadhayā madadhvamiti vardhitānyādiśatyetadvaḥ	nivizwam mayA prattam svaDayA madaDvam-iti varDitAni-AdiSati-etat-vaH
   pitaro bhāgadheyaṃ pātreṣu dattamamṛtaṃ svadhāvat /	pitaraH BAgaDeyam pAtrezu dattam-amRtam svaDAvat /
   akṣīyamāṇamupajīvatainanmayā prattaṃ svadhayā madadhvam //	akzIyamANam-upajIvata-enat-mayA prattam svaDayA madaDvam //
   amṛtā vāgamṛtā vāco agne vāco 'mṛtaḥ tvaṃ trivṛtaikadhāmā /	amRtAH vAc-amRtAH vAcaH agne vAcaH amRtaH tvam trivRtA-eka-DAmA /
   ebhirmatprattaiḥ svadhayā madadhvamihāsmabhyaṃ vasīyo 'stu devāḥ //	eBiH-mad-prattEH svaDayA madaDvam-i-ha-asmaByam vasIyaH astu devAH //
   ayaṃ yajñaḥ paramo yaḥ pitṛṇāṃ pātradeyaṃ pitṛdaivatyamagne /	ayam yajQaH paramaH yaH pitRNAm pAtra-deyam pitR-dEvatyam-agne /
   vākca manaśca pitaro naḥ prajānīmāśvibhyāṃ prattaṃ svadhayā madadhvam //	vAc-ca manaH-ca pitaraH naH prajAnIma-aSviByAm prattam svaDayA madaDvam //
   ya iha pitaraḥ pārthivāso ya antarikṣa uta ye samudriyāḥ /	yaH iha pitaraH pArTivAsaH yaH antarikze uta ye samudriyAH /
   ye vācamāptvā amṛtā babhūvuste 'sminsarve haviṣi mādayantām //	ye vAcam-AptvA amRtAH baBUvuH-te asmin-sarve havizi mAdayantAm //
   eṣā va ūrgeṣā vaḥ svadhā cāmatta ca pibata ca mā ca vaḥ kṣeṣṭa /	ezA vaH Urc-ezA vaH svaDA ca-amatta ca pibata ca mA ca vaH kzezwaH /
   svadhāṃ vahadhvamamṛtasya yoniṃ yātra svadhā pitarastāṃ bhajadhvam //	svaDAm vahaDvam-amRtasya yonim yA-atra svaDA pitaraH-tAm BajaDvam //
   yeha pitara ūrgdevatā ca tasyai jīvema śaradaḥ śataṃ vayam /	yA-iha pitaraH Urk-devatA ca tasyE jIvema SaradaH Satam vayam /
   jyotiṣmaddhattājaraṃ ma āyurityathaitāni brāhmaṇebhya upanikṣipya	jyotizmad-Datta-ajaram me AyuH-iti-aTa-etAni brAhmaNeByaH upanikzipya
   svāṅguṣṭhenānuśatyamuṣmai svadhāmuṣmai svadheti yanme 'prakāmā iti	sva-aFguzWena-anuSatya-muzmE svaDA-muzmE svaDA-iti yat-me aprakAmAH iti
   bhuñjato 'numantrayate yanme 'prakāmā uta vā prakāmā samṛddhe brāhmaṇe	BuQjataH anumantrayate yat-me aprakAmA uta vA prakAmA samRdDe brAhmaNe
   'brāhmaṇe vā /	abrAhmaNe vA /
   ya skandati nirṛtiṃ vāta ugrāṃ yena naḥ prīyante pitaro devatāśca /	yaH skandati nirRtim vAtaH ugrAm yena naH prIyante pitaraH devatAH-ca /
   vāyuṣṭatsarvaṃ śundhatu tena śuddhena devatā mādayantāṃ tasmiñchuddhe	vAyuzwat-sarvam SunDatu tena SudDena devatAH mAdayantAm tasmin-SudDe
   pitaro mādayantāmityakrānsamudra ityāśvaṃ gītvā saṃpannaṃ	pitaraH mAdayantAm-iti-akrAn-samudraH iti-ASvam gItvA saMpannam
   pṛṣṭāthācāmayedyajñopavītī bhūtvābhiramantāṃ bhavanta ityutkā pridakṣiṇaṃ	pRzwA-aTAcAmayet-yajQa-upavItI BUtvA-aBiramantAm BavantaH iti-utkA pridakziNam
   kṛtvā yanme rāmeti gacchanto 'numantrayate yanme rāmā śakuniḥ śvāpadaśca	kRtvA yat-me rAma-iti gacCantaH anumantrayate yat-me rAmA SakuniH SvApadaH-ca
   yanme 'śucirmantrakṛtasya prāśat /	yat-me aSuciH-mantra-kRtasya prASat /
   vaiśvānaraḥ savitā tatpunātu tena pūtena devatā mādayantāṃ tasminpūte	vESvAnaraH savitA tat-punAtu tena pUtena devatAH mAdayantAm tasmin-pUte
   pitaro mādayantāmiti // JaimGS_2.1 //	pitaraH mAdayantAm-iti // JEmGS_2.1 //
   JaimGS 2.2:	JEmGS 2.2:
   śeṣamanujñāpya pratyetya prāgdakṣiṇāyataṃ caturaśraṃ gomayenopalipyāpahatā	Sezam-anujQApya pratyetya prAc-dakziNa-Ayatam caturaSram gomayena-upalipya-apahatA
   asurā rakṣāṃsi piśācāḥ pitṛṣada iti madhye rekhāṃ kāṣṭhenollikhya ye	asurAH rakzAMsi piSAcAH pitRzadaH iti maDye reKAm kAzWena-ulliKya ye
   rūpāṇi pratimuñcamānā asurāḥ santaḥ svadhayā caranti parāpuro nipuro ye	rUpANi pratimuQcamAnAH asurAH santaH svaDayA caranti parApuras nipuraH ye
   bharantyagriṣṭāṃllokātpraṇunottvasmādityulmukaṃ dakṣiṇato	Baranti-agrizwAn=-lokAt-praNunottu-asmAt-iti-ulmukam dakziNatas-
   nidadhātyanulekhaṃ darbhānāstīryodapātreṇācāmayatyācāma pitarasau ye ca	nidaDAti-anuleKam darBAn-AstIrya-uda-pAtreNa-AcAmayati-AcAma pitarasO ye ca
   tvātrānu te cācāmantvityevaṃ pitāmahāyaivaṃ prāpitāmahāya teṣu	tvA-atra-anu te ca-AcAmantu-iti-evam pitAmahAya-evam prApitAmahAya tezu
   piṇḍānnidadhātyanunāmāpahastenaitatte pitarasau ye ca tvātrānu tebhyaśca	piNxAn-nidaDa-atyanunAma-apahastena-etat-te pitarasO ye ca tvA-atra-anu teByaH-ca
   svadhā nama ityevaṃ pitāmahāyaivaṃ prāpitāmāhaya nāmānyajānataḥ pitaretate	svaDA namaH iti-evam pitAmahAya-evam prApitAm-Ahaya nAma-anya-jAnataH pita-retate
   pitāmahaitatte prapitāmahaitatta iti bandhvajānata idaṃ pitṛbhyaḥ	pitAmaha-etat-te prapitAmaha-etat-te iti banDvajAn-ataH idam pitRByaH
   pṛthivīṣadbhya idaṃ pitāmahebhyo 'ntarikṣasadbhya idaṃ prāpitāmahebhyo	pRTivIzadByaH idam pitAmaheByaH antarikza-sadByaH idam prApitAmaheByaH-
   divipadbhya ityatra pitaro mādayadhvaṃ	divipadByaH iti-atra pitaraH mAdayaDvam
   yathābhāgamāvṛṣāyadhvamityudagāvṛtyā tamitorāsītāmīmadanta pitaro	yaTA-BAgam-AvRzAyaDvam-iti-udak-AvRtyA tam-ita-UH-AsIta-am-Imadanta pitaraH-
   yathābhāgamāvṛṣāyipateti japitvā pūrvavadācāmayya nīvīṃ visraṃsya	yaTABAgam-AvRzAyipata-iti japitvA pUrvavat-AcAmayya nIvIm visraMsya
   nāmaskārānkṛtvā yathādaivatametaddhaḥ pitara iti vasrāṇyādiśatyūrṇāstukāṃ	nAmaskArAn-kRtvA yaTAdEvatam-etat-has pitaraH iti vasrANi-Adi-Sati-UrNA-stukAn
   daśāmbaraṃ vā etaddhaḥ pitaro vāso gṛhānnaḥ pitaro dattādhatta pitaro	daSa-ambaram vE etat-has pitaraH vAsaH gRhAt-naH pitaraH dattADatta pitaraH-
   garbhaṃ kumāraṃ puṣkarasrajaṃ yatheha puruṣo 'sadityañjanābhyañjane	garBam kumAram puzkara-srajam yaTA-iha puruzaH asat-iti-aQjana-aByaQjane
   dadātyāṅkṣyāsāvityabhyaṅkṣyāsāviti gandhānsumanasaśca dadyānnamo vaḥ	dadAti-AFkzya-asO=-iti-aByaFkzya-asO=-iti ganDAn-sumanasaH-ca dadyAt-namaH vaH
   pitara iti ṣaḍibharnamaskārairupatiṣṭhate namo vaḥ pitaro mano vaḥ pitaraḥ	pitaraH iti zaxiBarna-maskArEH-upatizWate namaH vaH pitaraH manaH vaH pitaraH
   śuṣmāya namo vaḥ pitaro jīvāya namo vaḥ pitaro ghorāya namo vaḥ pitaro	SuzmAya namaH vaH pitaraH jIvAya namaH vaH pitaraH GorAya namaH vaH pitaraH-
   balāya namo vaḥ pitaro manyave svadhāyai ca pitaro namo va ityūrjaṃ	balAya namaH vaH pitaraH manyave svaDAyE ca pitaraH namaH vaH iti-Urjam
   vahantīramṛtaṃ ghṛtaṃ payaḥ kīlālaṃ parisrutaṃ svadhā stha tarpayata me	vahantIH-amRtam GRtam payaH kIlAlam parisrutam svaDA sTa tarpayata me
   pitṛnityapaḥ prasicya mā me kṣeṣṭetyabhimantrya mā me kṣeṣṭa bahu me	pitR-nityapaH prasicya mA me kzezwA-iti-aBimantrya mA me kzezwa bahu me
   pūrtamastu brahmāṇo me juṣantāmannamannam /	pUrtam-astu brahmANaH me juzantAm-annam-annam /
   sahasradhāramamṛtodakaṃ me pūrtamastvetatparame vyoman //	sahasra-DAram-amRta-udakam me pUrtam-astu-etat-parame vyoman //
   devāśca pitaraścaitatpūrtaṃ me atropajīvantām /	devAH-ca pitaraH-ca-etat-pUrtam me atra-upajIvantAm /
   akṣīyamāṇamupajīvatainanmayā prattaṃ svadhayā madadhvamiti ye samānāḥ	akzIyamANam-upajIvata-enat-mayA prattam svaDayA madaDvam-iti ye samAnAH
   sumanasa iti pradakṣiṇaṃ kṛtvā ye samānāḥ sumanaso jīvā jīveṣu māmakāḥ /	sumanasaH iti pradakziNam kRtvA ye samAnAH sumanasaH jIvAH jIvezu mAmakAH /
   teṣāṃ śrīrmayi kalpatāmasmiṃlloke śataṃ samā ityāmayāvī	tezAm SrIH-mayi kalpatAm-asmin=-loke Satam samAH iti-AmayAvI
   piṇḍānprāśnīyādannādyakāmo vāgnau vā saṃkṣepayedapsu vābhyamahareyurajaṃ	piNxAn-prASnIyAt-annAdya-kAmaH vA-agnO vA saMkzepayet-apsu vA-aByam-ahareyuH-ajam
   gāṃ brāhmaṇaṃ vā prāśayeyuḥ śeṣasya prāśnīyānna cānnatṛptiṃ gacchet //	gAm brAhmaNam vA prASayeyuH Sezasya prASnIyAt-na ca-anna-tRptim gacCet //
   JaimGS_2.2 //	JEmGS_2.2 //
   JaimGS 2.3:	JEmGS 2.3:
   ūrdhvamāgrahāyaṇyāstrayo 'parapakṣāsteṣāmekaikasminnekaikāṣṭakā bhavati	UrDvam-AgrahAyaNyAH-trayaH apara-pakzAH-tezAm-ekEkasmin=-eka-ekAzwakA Bavati
   śākāṣṭakā māṃsāṣṭakāpūpāṣṭaketi tatra śākamāṃsāpūpāni havīṃṣyodanaṃ ca	SAkAzwakA mAMsa-azwakA-pUpa-azwakA-iti tatra SAka-mAMsa-apUpAni havIMzi-odanam ca
   teṣāṃ haviṣāṃ sthālīpākāvṛtāgnau juhuyādaṣṭakāyai svāhā ekāṣṭakārye svāhā	tezAm havizAm sTAlI-pAka-AvRta-agnO juhuyAt-azwakAyE svAhA ekAzwa-kArye svAhA
   aṣṭakāyai surādhase svāhā saṃvatsarāya parivatsarāyedāvatsarāyedvatsarāya	azwakAyE surADase svAhA saMvatsarAya parivatsarAya-idAvatsarAyet-vatsarAya
   kṛṇutā nāmobhiḥ /	kRNutA nAmoBiH /
   tvayā vayaṃ sumatau yajñiyānāṃ jyogajītā ahatāḥ syāma svāheti	tvayA vayam sumatO yajQiyAnAm jyogajItAH ahatAH syAma svAhA-iti
