   sphuṭārthā	sPuwa arTA
   utpadyamānaṃ ceti. utpādābhimukham anāgataṃ cety arthaḥ. na	utpadyamAnam ca iti. utpAda aBimuKam anAgatam ca iti arTaH. na
   cirabhūtabhāvitveneti. na cirabhūtatvenātītaṃ nāpi cirabhāvitvenānāgataṃ	cira BUta BAvi tvena iti. na cira BUta tvena atItam na api cira BAvi tvena anAgatam
   dūram ity arthaḥ. vartamānam apy evaṃ dūraṃ prāpnotīti. adhvanānātvena	dUram iti arTaH. vartamAnam api evam dUram prApnoti iti. aDva nAnAtvena
   pratyutpanno 'dhvatayā vartamānam api dūraṃ prāpnoti. yathātītānāgatam	pratyutpannaH aDvatayA vartamAnam api dUram prApnoti. yaTA atIta anAgatam
   atītānāgatādhvatayā. akāritrāt tarhi tad dūram iti. uparatakāritram atītam	atIta anAgata aDvatayA. akAritrAt tarhi tat dUram iti. uparata kAritram atItam
   aprāptakāritram anāgatam iti. tad atītānāgataṃ dūram ucyate. asaṃskṛtasya	aprApta kAritram anAgatam iti. tat atIta anAgatam dUram ucyate. asaMskRtasya
   katham aṃtikatvam iti. tasya kāritrābhāvād aṃtikatvaṃ na syāt. tac ceṣyate	kaTam aMtika tvam iti. tasya kAritra aBAvAt aMtika tvam na syAt. tat ca izyate
   aṃtike dharmāḥ katame. pratyutpannā dharmāḥ. asaṃskṛtaṃ ceti śāstrapāṭhāt.	aMtike DarmAH katame. pratyutpannAH DarmAH. asaMskRtam ca iti SAstra pAWAt.
   sarvatra tatprāpter iti. sarvatra deśe tasyāsaṃskṛtasya	sarvatra tad prApteH iti. sarvatra deSe tasya asaMskRtasya
   pratisaṃkhyāpratisaṃkhyānirodhasya prāptyutpādāt. atītānāgate 'pi [Tib.	pratisaMKyA pratisaMKyA niroDasya prApti utpAdAt. atIta anAgate api [Tib.
   162b] prasaṃga iti kuśalāder atītānāgatasya sarvatra deśe prāptiḥ	162b] prasaMgaH iti kuSala AdeH atIta anAgatasya sarvatra deSe prAptiH
   saṃbhavatīty atītānāgate 'py aṃtikatvaprasaṃgaḥ. ākāśaṃ ca katham iti.	saMBavati iti atIta anAgate api aMtika tva prasaMgaH. AkASam ca kaTam iti.
   ākāśaṃ ca katham aṃtikaṃ. na hi tasya prāptir astīti. atītānāgatam	AkASam ca kaTam aMtikaM. na hi tasya prAptiH asti iti. atIta anAgatam
   anyonyam iti. atītād anāgataṃ dūram anāgatāc cātītam ity arthaḥ.	anyonyam iti. atItAt anAgatam dUram anAgatAt ca atItam iti arTaH.
   asaṃskṛtaṃ cāvyavahitatvād iti. na kenacid vyavahitaṃ. yathā	asaMskRtam ca avyavahita tvAt iti. na kenacid vyavahitan. yaTA
   vartamānenātītānāgatam iti. evaṃ tasyāṃtikatvaṃ. evam apīti. asyām api	vartamAnena atIta anAgatam iti. evam tasya aMtika tvan. evam api iti. asyAm api
   kalpanāyāṃ. yad anaṃtaram atītānāgataṃ. tad vartamānasyāṃtikatvād ubhayaṃ	kalpanAyAn. yat anaMtaram atIta anAgataM. tat vartamAnasya aMtika tvAt uBayam
   prāpnoti. dūram āsannaṃ ceti. tad dhy atītaṃ vartamānāṃtaritatvād anāgatād	prApnoti. dUram Asannam ca iti. tat Di atItam vartamAna aMtarita tvAt anAgatAt 
   dūraṃ. vartamānāc cāvyavahitatvād aṃtikam iti prāpnoti. ity evam anāgatam	dUraM. vartamAnAt ca avyavahita tvAt aMtikam iti prApnoti. iti evam anAgatam
   api neyaṃ.	api na iyaM.
   evaṃ tu yuktaṃ syād iti. svamatam ācāryasya. dharmasvalakṣaṇād anāgataṃ	evam tu yuktam syAt iti. sva matam AcAryasya. Darma sva lakzaNAt anAgatam
   dūraṃ. kasmāt. asaṃprāptatvāt. yasmād anāgatena svalakṣaṇaṃ na saṃprāptam	dUraM. kasmAt. asaMprApta tvAt. yasmAt anAgatena sva lakzaNam na saMprAptam
   (Abhidh k vy 502) iti. atha vā yasmāt tatsvalakṣaṇam asaṃprāptam	(a aBiD k vI 502) iti. aTa vA yasmAt tad sva lakzaNam asaMprAptam
   anupasthitam iti. atītaṃ ca. kiṃ dharmasvalakṣaṇād dūraṃ. tatpracyutatvāt.	anupasTitam iti. atItam ca. kim Darma sva lakzaNAt dUraM. tad pracyuta tvAt.
   yasmāt tad dharmasvalakṣaṇaṃ. tasmād atītāt pracyutaṃ. tad dhy atītaṃ yad	yasmAt tat Darma sva lakzaNan. tasmAt atItAt pracyutaM. tat Di atItam yat 
   dharmasvalakṣaṇāt pracyutam iti.	Darma sva lakzaNAt pracyutam iti.
   (V.62) pratipakṣodayāt kṣaya	(V.62) pratipakza udayAt kzaya
   ity uktam. ataḥ pṛcchati. kiṃ mārgaviśeṣagamanād iti vistaraḥ.	iti uktam. atas pRcCati. kim mArga viSeza gamanAt iti vistaraH.
   prahāṇaviśeṣa [Tib. 163a] iti. viśiṣyate prahāṇam ity arthaḥ. pratipakṣo	prahANa viSeza [Ti b. 163a] iti. viSizyate prahANam iti arTaH. pratipakzaH 
   vimuktimārga etasminn abhipreta iti. tasya visaṃyogaprāptisahotpādād	vimukti mArgaH etasmin aBipretaH iti. tasya visaMyoga prApti saha utpAdAt 
   ānaṃtaryamārge hi na tāvad visaṃyogaprāptir asti. utpādābhimukhatvāt.	AnaMtarya mArge hi na tAvat visaMyoga prAptiH asti. utpAda aBimuKa tvAt.
   vimuktimārgo 'pi hi pratipakṣa iti śakyate vyavasthāpayituṃ.	vimukti mArgaH api hi pratipakzaH iti Sakyate vyavasTApayituM.
   mukhyapratipakṣeṇānaṃtaryamārgeṇa sahaikakāryatvāt. tathā hy uktam	muKya pratipakzeNa anaMtarya mArgeNa saha eka kArya tvAt. taTA hi uktam
   ubhābhyāṃ hi tasya prāptiḥ visaṃyogaprāpter āvāhakasaṃniśrayatvād iti.	uBAByAm hi tasya prAptiH visaMyoga prApteH AvAhaka saMniSraya tvAt iti.
   phalāni catvārīti. caturgrahaṇam ekānnanavatiphalapratipattinirāsārthaṃ.	PalAni catvAri iti. catur grahaNam ekAnnanavati Pala pratipatti nirAsa arTaM.
   puruṣakārādipaṃcaphalapratipattinirāsārthaṃ vā. phalaprāptir api	puruzakAra Adi paMca Pala pratipatti nirAsa arTam vA. Pala prAptiH api
   vimuktimārgāvasthāyām eva gṛhyate. visaṃyogalābhāstitvayogād	vimukti mArga avasTAyAm eva gRhyate. visaMyoga lABAsti tva yogAt 
   indriyavivṛddhiḥ indriyasaṃcāra iti. indriyādhikyapratipattinirāsārtham	indriya vivRdDiH indriya saMcAraH iti. indriya ADikya pratipatti nirAsa arTam
   etad arthapradarśanaṃ indriyavivṛddhir ity ucyate. phalaprāptivacanenaiva	etat arTa pradarSanam indriya vivRdDiH iti ucyate. Pala prApti vacanena eva
   siddher ity ācāryasaṃghabhadraḥ. atra brūmaḥ. satyaṃ phalaprāptir	sidDeH iti AcArya saMGaBadraH. atra brUmaH. satyam Pala prAptiH 
   evendriyavivṛddhiḥ. phalaprāptiviśeṣas tu pradarśayitavyo yatra punar	eva indriya vivRdDiH. Pala prApti viSezaH tu pradarSayitavyaH yatra punar 
   visaṃyogaphalalābho bhavati. anyathā hi phalaprāptivacanam api na	visaMyoga Pala lABaH Bavati. anyaTA hi Pala prApti vacanam api na
   kartavyaṃ syāt. pratipakṣodayavacanenaiva tatsiddheḥ. [Tib. 163b] ity alam	kartavyam syAt. pratipakza udaya vacanena eva tad sidDeH. [Ti b. 163b] iti alam
   anayātikhalinikayā. keṣāṃcid yāvad dvayor iti. keṣāṃcit kleśānāṃ ṣaṭsu	anayA ati KalinikayA. kezAMcid yAvat dvayoH iti. kezAMcid kleSAnAm zawsu
   kāleṣu viaṃyogalābhaḥ. yāvacchabdena keṣāṃcit paṃcasu. keṣāṃcic caturṣu.	kAlezu viaMyoga lABaH. yAvat Sabdena kezAMcid paMcasu. kezAMcid caturzu.
   keṣāṃcit triṣu. keṣāṃcid dvayor iti. keṣāṃcid dvayor iti. keṣāṃcid ekāsmin	kezAMcid trizu. kezAMcid dvayoH iti. kezAMcid dvayoH iti. kezAMcid ekA asmin
   kāla iti noktaṃ. punaḥprāptasya visaṃyogasyādhikṛtatvāt. saṃbhavati hi	kAlaH iti na uktaM. punar prAptasya visaMyogasya aDikRta tva at. saMBavati hi
   bhāvāgrikasya navamasya prakārasyaikasminn eva kāle tīkṣṇendriyasya	BAva Agrikasya navamasya prakArasya ekasmin eva kAle tIkzNa indriyasya
   visaṃyogalābhaḥ. sa tu na punarlābha iti nocyate. tatra tāvan	visaMyoga lABaH. sa tu na punar lABaH iti na ucyate. tatra tAvan
   mṛdvindriyasya ṣaṭsu kāleṣu visaṃyogalābhaḥ.	mRdu indriyasya zawsu kAlezu visaMyoga lABaH.
   duḥkhasamudayanirodhadarśanaheyānāṃ kāmāvacarāṇāṃ mārgadarśanaheyānāṃ	duHKa samudaya niroDa darSana heyAnAm kAma avacarANAm mArga darSana heyAnAm
   pratipakṣodayakāle. srotaāpattiphalakāle sakṛdāgāmiphalakāle	pratipakza udaya kAle. srotaApatti Pala kAle sakRdAgAmi Pala kAle
   'nāgāmiphalakāle 'rhattvaphalakāle indriyasaṃcārakāle ceti ṣaṭsu kāleṣu	anAgAmi Pala kAle arhat tva Pala kAle indriya saMcAra kAle ca iti zawsu kAlezu
   visaṃyogalābhaḥ. saṃbhavaṃ ca praty evam ucyate. na hi mṛdvindriyo 'vaśyam	visaMyoga lABaH. saMBavam ca prati evam ucyate. na hi mRd u indriyaH avaSyam
   indriyāṇi saṃcarati. tasyaiva mṛdvindriyasya rūpārūpyāvacarāṇāṃ	indriyANi saMcarati. tasya eva mRdu indriyasya rUpa ArUpya avacarANAm
   mārgadarśanaheyānāṃ mārgānvayajñānakāle pratipakṣodayakāla iti vā	mArga darSana heyAnAm mArga anvaya jQAna kAle pratipakza udaya kAlaH iti vA
   phalaprāptikāla iti vā gṛhīte prathamato visaṃyogalābhaḥ. punaḥ	Pala prApti kAlaH iti vA gRhIte praTamatas visaMyoga lABaH. punar 
   sakṛdāgāmiphalaprāptikāle (Abhidh k vy 503) yāvad indriyasaṃcārakāla iti	sakRdAgAmi Pala prApti kAle (a aBiD k vI 503) yAvat indriya saMcAra kAle iti
   paṃcasu kāleṣu. bhāvanāheyānām api tasyaive kāmāvacarāṇāṃ paṃcaprakārāṇāṃ	paMcasu kAlezu. BAvanA heyAnAm api tasya eve kAma avacarANAm paMca prakArANAm
   adhimātrādhimātrasya yāvan madhyamadhyasya. [Tib. 164a] teṣv eva	aDimAtra aDimAtrasya yAvat maDya maDyasya. [Ti b. 164a] tezu eva
   srotaāpattiphalakālavarjyeṣu paṃcasu kāleṣu visaṃyogalābhaḥ. madhyamṛdos	srotaApatti Pala kAla varjyezu paMcasu kAlezu visaMyoga lABaH. maDya mRdoH 
   tu ṣaṣṭhasya prakārasya tasyaiva caturṣu kāleṣu.	tu zazWasya prakArasya tasya eva caturzu kAlezu.
   pratipakṣodayaphalaprāptikālayor ekatvāt. tasminn anyatarasmin.	pratipakza udaya Pala prApti kAlayoH eka tva at. tasmin anyatarasmin.
   anāgāmiphalakāle. arhattvaphalaprāptikāle. indriyasaṃcārakāle ceti.	anAgAmi Pala kAle. arhat tva Pala prApti kAle. indriya saMcAra kAle ca iti.
   tasyaiva mṛdvadhimātrasya mṛdumadhyasya ca saptamāṣṭamayoḥ prakārayoḥ	tasya eva mRdu aDi mAtrasya mRdu maDyasya ca saptama azwamayoH prakArayoH
   pratipakṣodayakāle 'nāgāmiphalakāle yāvad indriyasaṃcārakāle veti caturṣv	pratipakza udaya kAle anAgAmi Pala kAle yAvat indriya saMcAra kAle vA iti caturzu 
   eva kāleṣu visaṃyogalābhaḥ. tasyaiva mṛdumṛdor aṃtyasya prakārasya	eva kAlezu visaMyoga lABaH. tasya eva mRdu mRdoH aMtyasya prakArasya
   pratipakṣodayakāla iti vā phalaprāptikāla iti vaikatarasmin.	pratipakza udaya kAlaH iti vA Pala prApti kAlaH iti vA ekatarasmin.
   arhattvaphalakāle. indriyasaṃcārakāle ceti triṣu kāleṣu visaṃyogalābhaḥ.	arhat tva Pala kAle. indriya saMcAra kAle ca iti trizu kAlezu visaMyoga lABaH.
   tasyaivārhattvaphalaṃ prāpnuvato ye navaprakārā rūpārūpyāvacarāḥ kleśā	tasya eva arhat tva Palam prApnuvataH ye nava prakArAH rUpa ArUpya avacarAH kleSA
   bhāvanāprahātavyāḥ prahīṇāḥ adhimātradhimātro yāvan mṛdumṛdur iti. teṣāṃ	BAvanA prahAtavyAH prahINAH aDimAtraDimAtraH yAvat mRdu mRduH iti. tezAm
   bhāvāgrikaṃ mṛdumṛduprakāram aṃtyaṃ hitvā sarveṣāṃ triṣv eva kāleṣu	BAvAgrikam mRdu mRdu prakAram aMtyam hitvA sarvezAm trizu eva kAlezu
   visaṃyogalābhaḥ. pratipakṣodayakāle 'rhattvaphalakāle indriyasaṃcārakāle	visaMyoga lABaH. pratipakza udaya kAle arhat tva Pala kAle indriya saMcAra kAle
   ceti. yas tv asyaivārūpyāvacaro mṛdumṛdur aṃtyaḥ kleśaprakāraḥ. tasya	ceti. yaH tu asya eva ArUpya avacaraH mRdu mRduH aMtyaH kleSa prakAraH. tasya
   pratipakṣodayārhattvaphalaprāptikālaikatvāt. pratipakṣodayakāla iti	pratipakza udaya arhat tva Pala prApti kAla eka tva at. pratipakza udaya kAle iti
   vārhattvaphalakāla iti vā anyatarasminn indriyasaṃcārakāle ceti. [Tib.	vArhat tva Pala kAle iti vA anyatarasmin indriya saMcAra kAle ceti. [Tib.
   164b] dvayoḥ kālayor visaṃyogalābha iti. evaṃ tāvan mṛdvindriyasyoktaṃ.	164b] dvayoH kAlayoH visaMyoga lABaH iti. evam tAvat mRd u indriyasya uktaM.
   tīkṣṇendriyasya punaḥ keṣāṃcit kleśānāṃ paṃcasu kāleṣu. keṣāṃcid yāvad	tIkzNa indriyasya punar kezAMcid kleSAnAm paMcasu kAlezu. kezAMcid yAvat 
   dvayor iti vaktavyaṃ. indriyasaṃcārakālam ekam apāsya. tasya hi	dvayoH iti vaktavyan. indriya saMcAra kAlam ekam apAsya. tasya hi
   sarvatrendriyasaṃcāro nāsti. tasyaikasminn eva kāle kleśānāṃ	sarvatra indriya saMcAraH nAsti. tasya ekasmin eva kAle kleSAnAm
   visaṃyogalābho 'sti. bhāvāgrikasya bhāvanāheyasya mṛdumṛdoḥ prakārasya. sa	visaMyoga lABaH asti. BAva agrikasya BAvanA Aheyasya mRdu mRdoH prakArasya. sa
   tu punarlābho na bhavatīti na vaktavya iti paśyāmaḥ.	tu punar lABaH na Bavati iti na vaktavyaH iti paSyAmaH.
   (V.63, 64) phale hetūpacārād iti. prahāṇaṃ phalaṃ parijñā jñānasvabhāvo	(V.63, 64) Pale hetu upacArAt iti. prahANam Palam parijQA jQAna svaBAvaH 
   hetuḥ tasmin prahāṇe. phale hetūpacāraḥ. prahāṇaṃ parijñeti. tadyathā ṣaḍ	hetuH tasmin prahANe. Pale hetu upacAraH. prahANam parijQeti. tat yaTA zaz 
   imāni sparśāyatanāni pūrvam abhisaṃskṛtāny abhisaṃcetitāni paurāṇaṃ karma	imAni sparSa AyatanAni pUrvam aBisaMskRtAni aBisaMcetitAni pOrANam karma
   veditavyaṃ iti. kaḥ punaḥ prahāṇaṃ parijñāśabdenāpadiśate. sūtre evaṃ hi	veditavyam iti. kaH punar prahANam parijQA Sabdena apadi Sate. sUtre evam hi
   paṭhyate. parijñeyāṃś ca vo bhikṣavo dharmān deśayiṣyāmi. parijñāṃ ca	paWyate. parijQeyAn ca vaH BikzavaH DarmAn deSayizyAmi. parijQAm ca
   parijñāvantaṃ ca pudgalaṃ. parijñeyā dharmāḥ katame. paṃcopādānaskandhāḥ.	parijQAvantam ca pudgalaM. parijQeyAH DarmAH katame. paMca upAdAna skanDAH.
   parijñā katamā. yad atra cchandarāgaprahāṇaṃ. chandarāgasamatikramaḥ. iyam	parijQA katamA. yat atra cCanda rAga prahANan. Canda rAga samatikramaH. iyam
   ucyate parijñeti vistaraḥ.	ucyate parijQA iti vistaraH.
   (Abhidh k vy 504)	(a aBiD k vi 504)
   kāmādyaprakāradvayasaṃkṣaya	kAma Adya prakAra dvaya saMkzaya
   eketi.	eka iti.
   anāsravaviyogāpter bhavāgravikalīkṛteḥ	anAsrava viyoga ApteH Bava agra vikalIkRteH
   hetudvayasaṃudghātāt [Tib. 165a] parijñā dhātvatikramāt	hetu dvaya saMudGAtAt [Ti b. 165a] parijQA DAtu atikramAt
   ity atra parijñāvyavasthāpane kāraṇaṃ vakṣyate. avarabhāgīyaprahāṇam iti.	iti atra parijQA vI avasTApane kAraNam vakzyate. avara BAgIya prahANam iti.
   kāmadhātvāsravaprahāṇam ity arthaḥ. iyam eva cāsyāḥ saṃjñā.	kAmaDAtu Asrava prahANam iti arTaH. iyam eva ca asyAH saMjQA.
   rūpāsravaprahāṇam iti. rūpadhātvāsravaprahāṇam ity arthaḥ.	rUpa Asrava prahANam iti. rUpa DAtu Asrava prahANam iti arTaH.
   rūparāgakṣayaparijñety asyā nāma. yady apy anyeṣāṃ kleśopakleśānāṃ	rUpa rAga kzaya parijQA iti asyAH nAma. yadi api anyezAm kleSa upakleSAnAm
   mānādīnāṃ rūpāvacarāṇāṃ prahāṇam iyaṃ parijñā vyavasthāpyate. rāgasya tu	mAna AdInAm rUpAvacarANAm prahANam iyam parijQA vyavasTApyate. rAgasya tu
   tatra prādhānyād ūrdhvabhāgīyasya saṃyojanasya prahāṇaṃ	tatra prADAnyAt UrDva BAgIyasya saMyojanasya prahANam
   rūparāgakṣayaparijñety uktaṃ. sarvasaṃyojanaparyādāna [kun tu sbyor ba	rUpa rAga kzaya parijQA iti uktaM. sarva saMyojana paryAdAnaH [kud tu sbyoH ba
   thams cad yoṅs su grugs paḥi] yoṅs su śes paḥo. ṣes bya ba ḥdi ni zag pa	TamH cat yoFH su grugH paHi] yoFH su SeH paHo. zeH bya baH Hdi ni zaj pa
   thams cad spaṅs paḥi miṅ yin no. yoṅs su śes pa ni tha dad par bstan la.	TamH cat spaFs paHi miF yit no. yoFH su SeH pa ni Ta dat par bstan la.
   ṣes bya ba ni bsgroms pas spaṅ bar bya ba gzugs na spyod pa rnams spaṅs pa	zeH bya ba ni bsgromH paH spaj bar byaH ba gzugH na spya ud pa rnams spaFs pa
   ni gzugs kyi ḥdod chags zad paḥi yoṅs su śes pa yin no. gzugs med par nams	ni gzugH kyi Hdot CagH zat paHi yoFH su SeH pa yit no. gzugH met par nams
   kyi ni kun tu sbyor ba thams cad yoṅs su grugs paḥi yoṅs su śes pa yin no.	kyi ni kun tu sbyoH ba TamH cat yoFH su grugH paHi yoFH su SeH pa yit no.
   ṣes ḥbyuṅ baḥi phyir ro. mthoṅ baḥi spaṅ bar bya bar nams kyi ni ma yin	zeH Hbyuj baHi PyiH ro. mToF baHi spaj bar bya bar nams kyi ni ma yin
   te. ṣes bya ba ni ciḥi phyir gzugs daṅ gzugs med pa na spyod paḥi mthoṅ	te. zeH bya ba ni ciHi Pyis gzugH daF gzugH met pa na spya ud paHi mTA uF
   bas spaṅ bar bya bar nams kyi yoṇs su śes pa so sor mi bstan te. de bṣin	baH spaj bar bya bar nams kyi yoNH su SeH pa saH soH mi bstan te. de bzin
   du gzugs daṅ gzugs med pa na spyod pa mthoṅ bas spaṅ bar bya bar nams	du gzugH daF gzugH met pa na spya ud paH mToF bas spaj bar bya bar nams
   spaṅs pa yaṅ yoṅs su śes pa gsum yin te. ṣe ḥbyuṅ baḥi phyir ro. bsgom pa	spaFs paH yaF yoFH su SeH paH gsum yin te. ze Hbyuj baHi PyiH ro. bsgom pa
   spaṅ bar bya bar nams kyi gñen po mi ḥdra baḥi phyir ro ṣes bya ba ni ḥdi	spaj bar bya bar nams kyi gQet paH mi Hdra baHi PyiH raH zeH bya ba ni Hdi
   ltar sa daṅ sa na gzugs na spyod [Tib. 165b] paḥi bsgom pas spaṅ bar bya	ltar sa daF sa na gzugH na spya ut [Ti b. 165b] paHi bsgom paH spaF bar bya
   ba rnam pa dguḥi gñen po bar chad med pa daṅ rnam par grol baḥi lam zag pa	ba rnam paH dguHi gQen paH bar Cat met pa daF rnam par grol baHi lam zaj pa
   med pa mi lcogs pa med pa la sogs paḥi sa daṅ zag pa daṅ bcas pa bsam gtan	met pa mi lcogH pa met paH la sa ugH paHi sa daF zak pa daF bcaH pa bsam gtan
   gñis paḥi ñer ba stogs kyis bsdus pa nas nam mkhaḥ mthaḥ yas skye mched	gQiH paHi QeH ba stogH kyiH bsduH pa naH nam mKaH mTaH yaH skye mCed
   kyi ñer bsdogs kyis bsdus paḥi bar rnam pa dgu yod la gzugs med pa na	kyi QeH bsda ugH kyiH bsduH paHi bar rnam paH dgu yot la gzugH met pa na
   spyod pa rnams kyi gñen po bar chad med paḥi lam daṅ. rnam par grol baḥi	spya ut pa rnams kyi gQet paH bar Cat met paHi lam daF. rnam par grol baHi
   lam in ci rigs par zug pa med paḥi sa ḥog ma pa ḥam. ci rigs par zag pa	lam id ci rigH par zuc pa met paHi sa Hok me paH Ham. ci rigH par zaj pa
   daṅ bcas pa goṅ maḥi ñer bsdogs kyis bsdus pa dag yod de. gṣan kho na yin	daF bcaH paH gok maHi QeH bsda ugH kyiH bsduH paH dak yot de. gzan KaH na yin
   pas gñen po mi ḥdra baḥi phyir ḥdi dag gis yoṅs su 'śes pa tha dad par	paH gQet paH mi Hdra baHi PyiH Hdi dak giH yoFs su aSeH paH Ta dat par
   stan to. mthoṅ bas spaṅ bar bya ba rnams kyi gñen po ni ḥdra ste. rjes su	stat to. mToF bas spaj bar byaH ba rnams kyi gQet paH ni Hdra ste. rjeH su
   śes paḥi bzod pa la sogs pa gzugs na spyod par nams kyi gñen po de dag ñid	SeH paHi bzoD paH la sa ugs paH gzugH na spya ut par nams kyi gQet paH de dak Qid
   gzugs med par nams kyi yaṅ yin pas yoṅs su śes pa tha tad du rnam par mi	gzugH met par nams kyi yaF yin paH yoFH su SeH paH Ta tat du rnam par mi
   bṣag go.	bzaj go.
   (Abhidh k vy 505)	(a aBiD k vi 505)
   (V.64 66) tha maḥi cha daṅ mthun pa spaṅs pa la sogs pa yoṅs su śes pa ste	(V.64 66) Ta maHi Ca daF mTun pa spaFs paH la sa ugs paH yoFH su SeH paH ste
   ṣes bya ba ni tha maḥi cha daṅ ṃthun pa spaṅs paḥi yoṅs su śes pa daṅ.	zeH bya ba ni Ta maHi Ca daF MTun pa spaFs paHi yoFH su SeH pa daF.
   gzugs kyi ḥdod chags zad paḥi yoṅs su śes pa daṅ. kuntu sbyor ba thams cad	gzugH kyi Hdot CagH zat paHi yoFH su SeH pa daF. kuntu sbyoH ba TamH cad
   yoṅs su gtugs paḥi yoṅs su śes paḥo. ḥdi dag ni bsgom paḥi lam gyi ḥbras	yoFs su gtugH paHi yoFH su SeH paHo. Hdi dak ni bsgom paHi lam gyi Hbras
   bu yin paḥi phyir śes paḥi ḥbras bu yin te. bsgom paḥi lam la bzod pa dag	bu yin paHi PyiH SeH paHi HbraH bu yin te. bsgom paHi lam la bzoD paH dag
   ni med do.	ni met do.
   ji ltar yoṅs su śes pa bzod paḥi ḥbras bu yin ṣes bya ba ni yoṅs su śes pa	ji ltar yoFH su SeH pa bzot paHi HbraH bu yin zeH bya ba ni yoFH su SeH pa
   daṅ śes pa ṣes bya ba don gcig ste. śes pa daṅ yoṅs su śes pa ni zag pa	daF SeH paH zeH bya ba don gcik ste. SeH pa daF yoFH su SeH pa ni zaj pa
   med paḥi ye śes yin no ṣes ḥbyuṅ baḥi phyir ro. bam po bṣi bcu rtsa bṣi	met paHi ye SeH yit no zeH Hbyuj baHi PyiH ro. bam paH bzi bcu rtsa bzi
   pa.	pa.
   dri med bzod rnams śes pa med.	dri met bzot rnams SeH pa med.
   ṣas ḥbyuṅ bas bzod pa ni śes paḥi ṅo bo [Tib. 166a] ñid yin par yaṅ mi ruṅ	zaH Hbyuj baH bzoD pa ni SeH paHi FaH baH [Ti b. 166a] Qid yin par yak mi ruj 
   na. de ji ltar yoṅs su śes pa bzod paḥi ḥbras bu yin te. ḥbras bu la rgyu	na. de ji ltar yoFH su SeH pa bzot paHi HbraH bu yin te. HbraH bu la rgyu
   btags byas na yaṅ mi ruṅ ṅo sñam du bsam pa yin no. ḥdir bzod pa rnams ni	btagH byaH na yak mi ruj FaH sQam du bsam pa yit no. HdiH bzoD pa rnams ni
   śes paḥi ḥkhor can yin paḥi phyir ṣes bya ba smos te. ḥdi dag la ḥkhor śes	SeH paHi HKoH can yin paHi PyiH zeH bya ba smoH te. Hdi dak laH HKoH Ses
   pa yod pas na śes paḥi ḥkhor can te. bzod par nams so. deḥi phyir śes paḥi	pa yot paH na SeH paHi HKoH can te. bzoD par nams so. deHi PyiH SeH paHi
   ḥbras bu yaṅ bzod par nams kyi ḥbras bu ṣes byaḥo. rgyal baḥi ḥkhor la	HbraH bu yak bzoD par nams kyi HbraH bu zeH byaHo. rgyat baHi HKoH la
   rgyal po ñe bar btags pa bṣin te dper na rgyal poḥi ḥkhor la rgyal po ñe	rgyat paH Qe bar btagH paH bzin te dpeH na rgyat poHi HKoH la rgyat paH Qe
   bar btags paḥi phyir ḥkhor gyis byas pa la yaṅ rgyal pos byas pa ṣes byaa	bar btagH paHi Pyis HKoH gyiH byaH pa la yaF rgyat poH byaH paH zeH byaa
   daṅ ḥdra ḥo. śes pa daṅ ḥbras bu gcig phyir ro ṣes bya ba ni bzod pa dag	daF Hdra Ho. SeH pa daF HbraH bu gcik PyiH raH zeH bya ba ni bzod paH dag
   ni śes pa daṅ lhan cig ḥbras bu gcig pa yin te. bzod pa dag gi ḥbras bu	ni SeH pa dak lhan cik HbraH bu gcij paH yin te. bzoD paH dak gi HbraH bu
   gaṅ yin pa de ñid śes rnams kyi yin pas bzod paḥi ḥbras bu yaṅ yoṅs su śes	gaF yin paH de QiD SeH rnams kyi yin paH bzoD paHi HbraH bu yak yoFH su Ses
   par ruṅ ṅo.	par ruj Fo.
   mi lcogs med ḥbras thams cad do	mi lcogH met HbraH TamH cat do
   ṣes bya ba ni ḥdi ltar mi lcogs paḥi sa paḥi lam gyis khams gsum paḥi	zeH bya ba ni Hdi ltar mi lcogH paHi sa paHi lam gyiH KamH gsum paHi
   mthoṅ ba daṅ bsgom pas spaṅ bar bya baḥi zag pa rnams spaṅ ba srid de.	mToF ba daF bsgom paH spaj bar bya baHi zaj pa rnams spaj ba srid de.
   zag med mi lcogs med pa yis. thams cad las ni ḥdod chags bral.	zaj met mi lcogH met pa yis. TamH cat laH ni Hdot CagH bral.
   ṣes ḥbyuṅ baḥi phyir ro. gzugs daṅ gzugs med pa na ñon moṅs pa spaṅs paḥi	zeH Hbyuj baHi PyiH ro. gzugH daF gzugH met pa na Qon mA uFs pa spaFs paHi
   raṅ bṣin gaṅ dag yin paḥo. ṣes bya ba ni bye brag tu smra ba rnams na re	raF bzin gaF dak yin paHo. zeH bya ba ni bye braj tu smra ba rnams na re
   gzugs daṅ gzugs med pa na spyod paḥi mthoṅ bas spaṅ bar bya ba rnams spaṅs	gzugH daF gzugH met pa na spya ud paHi mToF bas spaj bar byaH ba rnams spaFs
   pa ji skad bśad paḥi yoṅs su śes pa gsum daṅ. bsgom pas spaṅ bar bya ba	pa ji skat bSat paHi yoFH su SeH paH gsum daF. bsgom paH spaj bar bya ba
   gzugs na spyod pa rnams spaṅs pa gzugs kyi ḥdod chags zad paḥi yoṅs su śes	gzugH na spya ud pa rnams spaFs paH gzugH kyi Hdot CagH zat paHi yoFH su Ses
