   śikṣāsamuccaye caturthaḥ paricchedaḥ ||	SikzA-samuccaye caturTaH paricCedaH ||
   paryavanaddhaḥ chavyā praticchannaḥ chidravicchidraḥ	paryavanadDaH CavyA praticCannaH Cidra-vicCidraH
   kṛmisaṃghaniṣevitaḥ satvānām anarthakaḥ kleśakarmaṇāṃ vastu ||	kRmi-saMGa-nizevitaH satvAnAm anarTakaH kleSa-karmaNAm vastu ||
   asmin kāye vividhâbādhôtpadyante |	asmin kAye viviDâ-bADôt-padyante |
   tad yathā cakṣūrogaḥ śrotrarogo yāvad arśāṃsi piṭako bhagandaraḥ ||	tat yaTA cakzUrogaH Srotra-rogaH yAvat arSAMsi piwakaH BagandaraH ||
   pe ||	pe ||
   kāyikāḥ santāpāḥ kāyikaṃ duṣkhaṃ |	kAyikAH santApAH kAyikam duzKam |
   kāyasya jīrṇatā bhagnatā kubjatā |	kAyasya jIrNa-tA Bagna-tA kubjatA |
   khālityaṃ pālityaṃ valipracuratā |	KAlityam pAlityam vali-pracura-tA |
   indriyāṇāṃ pāripākaḥ paribhedaḥ	indriyANAm pAripAkaH pariBedaH
   [ Bendall ed p78 ---> ]	[ Bet-dalt ed p78 ---> ]
   saṃskārāṇāṃ purāṇībhāvo jarjarībhāvaḥ |	saMskArANAm purANIBAvaH jarjarIBAvaH |
   yāvan nârhasy evam udgharantaṃ pragharantaṃ jugupsanīyaṃ kāyaṃ	yAvat nâRhasi evam udGarantam praGarantam jugupsanIyam kAyam
   pratiṣevituṃ ||	pratizevitum ||
   pe ||	pe ||
   kā tava bhikṣo kāmâśāntiḥ |	kA tava Bikzo kAmâSAntiH |
   kaś ca tvāṃ pralobhayati |	kaH ca tvAm praloBayati |
   kathaṃ ca tvaṃ prāhito mūrchito 'dhyavasito 'dhyavasānam	kaTam ca tvam prAhitaH mUrCitaH aDyavasitaH aDyavasAnam
   āpannaḥ |	ApannaH |
   yadâhaṃ parinirvṛto bhavāmi |	yat-âham parinirvRtaH BavAmi |
   saddharmaś cântarhito bhavati |	sadDarmaH cântarhitaH Bavati |
   tvaṃ ca kāmān pratisevya vinipātagato bhaviṣyasi |	tvam ca kAmAn pratisevya vinipAta-gataH Bavizyasi |
   kadā jarāmaraṇād ātmānaṃ parimocayiṣyasi ||	kadA jarA-maraNAt AtmAnam parimocayizyasi ||
   alaṃ bhikṣo nivāraya cittaṃ kāmebhyaḥ |	alam BikzaH nivAraya cittam kAmeByaH |
   akālaḥ kāmaparyeṣaṇāyāḥ |	akAlaH kAma-paryezaNAyAH |
   kālo 'yaṃ dharmaparyeṣaṇāyêti ||	kAlaH ayam Darma-paryezaNa-Ayêti ||
   ugradattaparipṛcchāyām apy āha |	ugra-datta-paripRcCAyAm api Aha |
   tena kāmamithyâcārāt prativiratena bhavitavyaṃ svadārasaṃtuṣṭena	tena kAma-miTyâcArAt prativiratena Bavitavyam sva-dAra-saMtuzwena
   paradārânabhilāṣiṇâraktanetraprekṣiṇā nirviṇṇamanasā |	para-dArâ-naBi-lAziNâ-rakta-netra-prekziNA nirviNNa-manasA |
   ekântaduṣkhāḥ kāmā |	ekânta-duzKAH kAmAH |
   ity abhīkṣṇaṃ manasikāraprayuktena |	iti aBIkzNam manasikAra-prayuktena |
   yadâpy asya svadāreṣu kā-	yat-âpi asya sva-dArezu kA-
   [ Cambridge MS f45b ---> ]	[ Cambridge M f45B ---> ]
   mavitarkôtpadyeta |	mavitarkôt-padyeta |
   tadâpi tena svadāreṣv aśubhânudarśinôttrastamanasā |	tat-âpi tena sva-dArezu aSuBânudarSinôt-trasta-manasA |
   kleśavaśatayā kāmāḥ pratisevitavyāḥ |	kleSa-vaSa-tayA kAmAH pratisevitavyAH |
   na tv adhyavasānavinibaddhena nityam anityânātmâśucisaṃjñinā |	na tu aDyavasAna-vinibadDena nityam anityâna-Atmâ-Suci-saMjQinA |
   evaṃ cânena smṛtir upasthāpyā |	evam cânena smRtiH upasTApyAH |
   tathâhaṃ kariṣyāmi yathā saṃkalpair api kāmān na paribhokṣye |	taTâham karizyAmi yaTA saMkalpEH api kAmAn na pariBokzye |
   kaḥ punar vādo dvîndriyasamāpattyā vânaṅgavijñaptyā vêti ||	kaH punar vAdaH dvîndriya-samApattyA vânaFga-vijQaptyA vêti ||
   punar atrâivâha |	punar atrâivâha |
   bodhisatvena svabhāryāyântike tisraḥ saṃjñôtpādayitavyāḥ |	boDisatvena sva-BAryAyântike tisraH saMjQôt-pAdayitavyAH |
   katamās tisraḥ |	katamAH tisraH |
   ratikrīḍāsahāyikâiṣā nâiṣā paralokasahāyikā |	rati-krIxA-sahAyi-kâizA nâizA para-loka-sahAyikAH |
   annapānasahāyikâiṣā nâiṣā karmavipākânubhavanasahāyikā |	anna-pAna-sahAyi-kâizA nâizA karma-vipAkânuBavana-sahAyikAH |
   sukhasahāyikâiṣā nâiṣā duṣkhasahāyikā ||	suKa-sahAyi-kâizA nâizA duzKa-sahAyikAH ||
   yāvad aparās tisraḥ |	yAvat aparAH tisraH |
   śīlântarāyasaṃjñā dhyānântarāyasaṃjñā	SIlântarAya-saMjQA DyAnântarAya-saMjQA
   prajñântarāyasaṃjñā ||	prajQântarAya-saMjQA ||
   aparās tisraḥ |	aparAH tisraH |
   corasaṃjñā badhakasaṃjñā narakapālasaṃjñêti ||	cora-saMjQA baDaka-saMjQA nara-kapAla-saMjQêti ||
   candrottarādārikāparipṛcchāyām apy uktaṃ |	candra-uttarAdArikA-paripRcCAyAm api uktam |
   atha candrottarādārikā samanantaraṃ pradhāvantaṃ taṃ	aTa candrottarAdArikA samanantaram praDAvantam tam
   [ Bendall ed p79 ---> ]	[ Bet-dalt ed p79 ---> ]
   mahāntaṃ janakāyaṃ dṛṣṭvā tasyāṃ velāyāṃ vihāyasântarīkṣe	mahAntam jana-kAyam dRzwvA tasyAm velAyAm vihAya-sântarIkze
   tālamātram abhyudgamya sthitvā ca taṃ mahāntaṃ janakāyaṃ gāthābhir	tAla-mAtram aByudgamya sTitvA ca tam mahAntam jana-kAyam gATABiH-
   adhyabhāṣata ||	aDyaBAzata ||
   kāyaṃ mamêkṣadhvam imaṃ manojñaṃ suvarṇavarṇaṃ jvalanaprakāśam |	kAyam mamêkzaDvam imam manojQam suvarNa-varNam jvalana-prakASam |
   na raktacittasya hi mānuṣasya prajñāyate śobhanakaṃ śarīram ||	na rakta-cittasya hi mAnuzasya prajQAyate SoBanakam SarIram ||
   ye etv agnikarṣûpamasaṃpradīptān tyajanti kāmān viṣayeṣv agṛddhāḥ |	ye etu agni-karzû-pama-saMpradIptAn tyajanti kAmAn vizayezu agRdDAH |
   ṣaḍindriyaiḥ saṃvarasaṃvṛtāś ca ye brahmacaryaṃ ca caranti śubham ||	zaz-indriyEH saMvara-saMvRtAH ca ye brahmacaryam ca caranti SuBam ||
   dṛṣṭvā ca dārān hi parasya ye vai kurvanti mātābhaginîti	dRzwvA ca dArAn hi parasya ye vE kurvanti mAtA-ABaginîti
   saṃjñāṃ |	saMjQAm |
   prāsādikās te hi sudarśanīyā bhavanti nityaṃ paramaṃ manojñāḥ ||	prAsAdikAH te hi sudarSanIyAH Bavanti nityam paramam manojQAH ||
   sphuṭām imāṃ vettha purīṃ samantād yo romakūpān mama câtigandhaḥ |	sPuwAm imAm vetTa purIm samantAt yaH romakUpAt mama câtiganDaH |
   na rāgacittena mayârjito 'yam	na rAga-cittena mayA-rjitaH ayam
   [ Cambridge MS f46a ---> ]	[ Cambridge M f46aH ---> ]
   phalaṃ tu dānasya damasya cêdam ||	Palam tu dAnasya damasya cêdam ||
   na me samutpadyati rāgacittaṃ mā vītarāgāsu janīṣva rāgaṃ |	na me samutpadyati rAga-cittam mA vIta-rAgAsu janIzva rAgam |
   sākṣī mamâyaṃ purato munîndraḥ satyaṃ yathā vedmi na jātu	sAkzI mamâyam puratas munîndraH satyam yaTA vedmi na jAtu
   mithyā ||	miTyA ||
   yūyaṃ ca pūrvaṃ pitaro mamâsa |	yUyam ca pUrvam pitaraH mamâsaH |
   ahaṃ ca yuṣmākam abhūj janitrī |	aham ca yuzmAkam aBUt janitrI |
   bhrātā svasā câpi pitā babhūva ko rāgacittaṃ janayej jananyāṃ ||	BrAtA svasA câpi pitA baBUva kaH rAga-cittam janayet jananyAm ||
   praghātitāḥ prāk ca mamâtha sarve |	praGAtitAH prAk ca mamâTa sarve |
   ahaṃ viśastā ca purā bhavadbhiḥ |	aham viSastA ca purA BavadBiH |
   sarve 'mitrā vadhakāḥ parasya |	sarve amitrAH vaDakAH parasya |
   kathaṃ tu vā jāyati rāgacittam ||	kaTam tu vA jAyati rAga-cittam ||
   na rūpavanto hi bhavanti rāgāt |	na rUpavantaH hi Bavanti rAgAt |
   na raktacittāḥ sugatiṃ vrajanti |	na rakta-cittAH su-gatim vrajanti |
   na nirvṛtiṃ yānti ca raktacittā rāgo hi tasmāt parivarjanīyaḥ ||	na nirvRtim yAnti ca rakta-cittAH rAgaH hi tasmAt parivarjanIyaH ||
   [ Bendall ed p80 ---> ]	[ Bet-dalt ed p80 ---> ]
   kāmasya hetor nirayaṃ patanti |	kAmasya hetoH nirayam patanti |
   pretās tiraśco 'tha bhavanti rāgāt |	pretAH tiraScaH aTa Bavanti rAgAt |
   kumbhâṇḍayakṣâsurāḥ piśācā bhavanti ye	kumBâNxa-yakzâ-surAH piSAcAH Bavanti ye
   rāgaparīttacittāḥ ||	rAga-parItta-cittAH ||
   kāṇāś ca khañjāś ca vijihvakāś ca |	kANAH ca KaQjAH ca vijihvakAH ca |
   virūpakāś câiva bhavanti rāgāt |	virUpakAH câiva Bavanti rAgAt |
   bhavanti nānāvidhadoṣabhājāś caranti ye kāmacarīṃ jaghanyām ||	Bavanti nAnAviDa-doza-BAjAH caranti ye kAma-carIm jaGanyAm ||
   yac cakravartitvam avāpnuvanti |	yat cakravarti-tvam avApnuvanti |
   bhavanti śakrās tridaśêśvarāś ca |	Bavanti SakrAH tridaSêSvarAH ca |
   brahmāṇêśā [[DOUBT]] vaśavarttinaś ca tad brahmacaryaṃ vipulaṃ caritvā ||	brahmANêSAH [[DOUBT]] vaSavarttinaH ca tat brahmacaryam vipulam caritvA ||
   jātyandhabhāvā vadhirā visaṃjñā |	jAti-anDa-BAvAH vaDirAH visaMjQA |
   śvaśūkarôṣṭrāḥ kharavānarāś ca |	Sva-SUkarôzwrAH Kara-vAnarAH ca |
   hastyaśvagovyāghrapataṅgamakṣāḥ bhavanti nityaṃ khalu	hasti-aSva-go-vyAGra-pataFgam-akzAH Bavanti nityam Kalu
   kāmalolāḥ ||	kAma-lolAH ||
   kṣitîśvarāś câiva bhavanty udagrāḥ suśreṣṭhino vai	kzitîSvarAH câiva Bavanti udagrAH suSrezWinaH vE
   gṛhapatyamātyāḥ |	gRhapatya-mAtyAH |
   sukhasaumanasyena ca yānti vṛddhiṃ ye brahmacaryaṃ vipulaṃ caranti ||	suKa-sOmanasyena ca yAnti vRdDim ye brahmacaryam vipulam caranti ||
   kabhallitāpān atha dhūmagārān bandhāṃs tathā	kaBallita-apAn aTa DUmagArAn banDAn taTA
   tāḍanatarjjanāṃś ca |	tAxana-tart-janAn ca |
   chedaṃ śiraḥ karṇakarâkṣināsāḥ |	Cedam SiraH karNa-karâkzi-nAsAH |
   pādasya cârcchanti hi kāmadāsā |	pAdasya câRcCanti hi kAma-dAsAH |
   iti ||	iti ||
   udayanavatsarājaparipṛcchāyāṃ ca vivarṇitāḥ kāmāḥ ||	udayana-vat-sa-rAja-paripRcCAyAm ca vivarNitAH kAmAH ||
   dṛṣṭvā vraṇaṃ dhāvati makṣikā yathā |	dRzwvA vraNam DAvati makzikA yaTA |
   dṛṣṭvâśuciṃ dhāvati gardabho yathā |	dRzwvâSucim DAvati gardaBaH yaTA |
   śvānaś ca śūnā-	SvAnaH ca SUnA-
   [ Cambridge MS f46b ---> ]	[ Cambridge M f46B ---> ]
   iva māṃsakāraṇāt |	iva mAMsa-kAraNAt |
   tathâiva dhāvanty abudhāḥ striye ratāḥ ||	taTâiva DAvanti abuDAH striye ratAH ||
   [ Bendall ed p81 ---> ]	[ Bet-dalt ed p81 ---> ]
   avidyāpidhitā bālās tamaḥskandhane āvṛtāḥ |	avidyA-piDitAH bAlAH tamaH-skanDane AvRtAH |
   strīṣu saktās tathā mūḍhâmedhyêva vāyasāḥ ||	strIzu saktAH taTA mUXâmeDyêva vAyasAH ||
   mārasya gocaro hy eṣa prasthitā yena durgatiḥ |	mArasya gocaraH hi eza prasTitA yena durgatiH |
   āsvādasaṃjñino gṛddhā mīṭasthāne yathā krimiḥ ||	AsvAda-saMjQinaH gRdDAH mIwa-sTAne yaTA krimiH ||
   kīṭakumbho yathā citro yatra yatrâiva dṛśyate |	kIwa-kumBaH yaTA citraH yatra yatrâ-iva dRSyate |
   pūrṇo mūtrapurīṣeṇa dṛtir vā vātapūritā ||	pUrNaH mUtra-purIzeNa dRtiH vA vAta-pUritAH ||
   siṅghāṇakakaphâlālāḥ [[DOUBT]] śleṣmaṇi klinnamastakāḥ |	siFGANaka-kaPâlAlAH [[DOUBT]] SlezmaNi klinna-mastakAH |
   daurgandhyaṃ sravate kāyād bālānāṃ tad yathā madhu ||	dOrganDyam sravate kAyAt bAlAnAm tat yaTA maDu ||
   asthipūrṇaṃ mukhadvāraṃ māṃsacarmâdibhiś citaṃ |	asTi-pUrNam muKa-dvAram mAMsa-carmâdiBiH citam |
   gaṇḍabhūto hy ayaṃ kāyaḥ kutsito hy āmagandhikaḥ ||	gaNxa-BUtaH hi ayam kAyaH kutsitaH hi AmaganDikaH ||
   nānāprāṇibhiḥ saṃpūrṇo mukhagaṇḍo yathā bhavet |	nAnA-prANiBiH saMpUrNaH muKa-gaNxaH yaTA Bavet |
   evam eva hy ayaṃ kāyo viṣṭhâdyaśucibhājanam ||	evam eva hi ayam kAyaH vizWâdi-a-Suci-BAjanam ||
   antyântrâkulaṃ hy udaraṃ sayakṛtphupphuṣâkulam |	antyântrâ-kulam hi udaram sa-yakRt-PupPuzâ-kulam |
   vṛkkau vilohitaṃ pittaṃ mastaluṅgâsthimajjakam ||	vRkkO vilohitam pittam masta-luFgâsTi-majjakam ||
   aśītiṃ krimikulasahasrāṇi yāni tiṣṭhanti antare |	aSItim krimi-kula-sahasrANi yAni tizWanti antare |
   aha bālā na paśyanti mohajālenâvṛtāḥ ||	aha bAlAH na paSyanti moha-jAlenâvRtAH ||
   [ Bendall ed p82 ---> ]	[ Bet-dalt ed p82 ---> ]
   navavraṇamukhaiḥ prasravanty aśuciṃ pūtigandhikam |	nava-vraNa-muKEH prasravanti aSucim pUtiganDikam |
   bālā nimittaṃ gṛhṇanti vacane darśane 'pi ca ||	bAlAH nimittam gRhNanti vacane darSane api ca ||
   uktāḥ paścān na jānanti yo deśaḥ sarvakutsitaḥ |	uktAH paScAt na jAnanti yaH deSaH sarva-kutsitaH |
   uccāragocarā bālāḥ kheṭasiṅghāṇabhojinaḥ ||	uccAra-gocarAH bAlAH Kewa-siFGANa-BojinaH ||
   jugupsanīye rajyante vraṇaṃ dṛṣṭvêva makṣikāḥ |	jugupsanIye rajyante vraNam dRzwvêva makzikAH |
   kakṣāsv āgharate svedo gandho vāyati kutsitaḥ ||	kakzAsu AGarate svedaH ganDaH vAyati kutsitaH ||
   kurvanti duṣkṛtaṃ karma yena gacchanti durgatim |	kurvanti duzkRtam karma yena gacCanti durgatim |
   hīnān kāmān niṣevanto hīnān dharmān niṣevya ca ||	hInAn kAmAn nizevantaH hInAn DarmAn nizevya ca ||
   gatvâvīciṃ duṣprajñāḥ duṣkhāṃ vindanti vedanāṃ |	gatvâ-vIcim duzprajQAH duzKAm vindanti vedanAm |
   uccārêva durgandhāḥ striyo buddhaiḥ prakīrtitāḥ ||	uccArêva durganDAH striyaH budDEH prakIrtitAH ||
   tasmād dhīnasya hīnābhiḥ strībhir bhavati saṅgatiḥ |	tasmAt DInasya hInABiH strIBiH Bavati saFgatiH |
   uccārabhastrāṃ yo gṛhyabālâvāsaṃ nigacchati ||	uccAra-BastrAm yaH gRhya-bAlâ-vAsam nigacCati ||
   yādṛśaṃ kurute karma tādṛśaṃ labhate phalam ||	yAdRSam kurute karma tAdRSam laBate Palam ||
   tathâtrâi-	taTâtrâi-
   [ Cambridge MS f47a ---> ]	[ Cambridge M f47aH ---> ]
   vâha |	vâha |
   tad evaṃrūpair duṣkhaparyeṣitair bhogaiḥ svajīvikârtham	tat evaMrUpEH duzKa-paryezitEH BogEH sva-jIvikârTam
   upasaṃhṛtair na prabhavanti śramaṇabrāhmaṇebhyo dānaṃ dātuṃ	upasaMhRtEH na praBavanti SramaNa-brAhmaNeByaH dAnam dAtum
   kṛpaṇavanīpakayācakebhyo 'vaśīkṛtāḥ strībhiḥ	kRpaNa-vanIpaka-yAcakeByaH avaSIkRtAH strIBiH
   strīnirjitāḥ strīnigṛhītāḥ strīdāsāḥ |	strI-nirjitAH strI-nigRhItAH strI-dAsAH |
   tenâiva strīpremṇā tasyâiva poṣaṇāya na śaknuvanti dānaṃ dātuṃ śīlaṃ ca	tenâiva strI-premNA tasyâiva pozaNAya na Saknuvanti dAnam dAtum SIlam ca
   samādātuṃ |	samAdAtum |
   sa tatra raktaḥ samānaḥ strīparibhāṣitāni sahate	sa tatra raktaH samAnaH strI-pariBAzitAni sahate
   tarjanâvalokananirbhartsanām api sahate |	tarjanâvalokana-nirBartsanAm api sahate |
   sa mātṛgrāmeṇa tarjitaḥ puruṣaḥ saṃsīdati viṣīdati sukhaṃ câsyâvalokayati	sa mAtR-grAmeNa tarjitaH puruzaH saMsIdati vizIdati suKam câsi-âvalokayati
   kāmahetoḥ kāmanidānaṃ ca vaśagatā bhavati |	kAma-hetoH kAmanidAnam ca vaSa-gatA Bavati |
   ayaṃ mahārāja kāmalolupasya puruṣasyôccārasukhaparamasyâśucau	ayam mahA-rAja kAma-lolupasya puruzasyôccAra-suKa-paramasyâSucO
   ratasyâsaṃprajanyâcāriṇo doṣaḥ ||	ratasyâ-saMprajanyâ-cAriNaH dozaH ||
   pe ||	pe ||
   [ Bendall ed p83 ---> ]	[ Bet-dalt ed p83 ---> ]
   śrutvêdṛśaṃ tu saṃvegaṃ na teṣāṃ bhavati nirvṛtiḥ |	Srutvê-dRSam tu saMvegam na tezAm Bavati nirvRtiH |
   bhūyaḥ kurvanti saṃsargaṃ strībhiḥ sārddhaṃ pramoditāḥ ||	BUyas kurvanti saMsargam strIBiH sArdDam pramoditAH ||
   duṣkhakāmān niṣevante bhāṣante ca jugupsitāḥ ||	duzKa-kAmAn nizevante BAzante ca jugupsitAH ||
   dharmaṃ śrutvârthasaṃmūḍhāḥ bhāṣante ca subhāṣitaṃ |	Darmam SrutvârTa-saMmUXAH BAzante ca su-BAzitam |
   strīgataṃ câsya tac cittaṃ viḍālasyêva mūṣike ||	strI-gatam ca-asya tat cittam vixAlasyêva mUzike ||
   muhūrtaṃ bhavati saṃvegaḥ śrutvâtha jinabhāṣitaṃ |	muhUrtam Bavati saMvegaH SrutvâTa jina-BAzitam |
   punaḥ kupyati rāgo 'sya viṣahālāhalaṃ yathā ||	punar kupyati rAgaH asya viza-hAlAhalam yaTA ||
   sūkarasyêvôttrāso muhūrtam anuvarttate |	sUkarasyêvôttrAsaH muhUrtam anuvarttate |
   dṛṣṭvā vai athôccāraṃ gṛddhatāṃ janayaty asau ||	dRzwvA vE aTôccAram gRdDa-tAm janayati asO ||
   evaṃ sukhârthino bālāḥ prahāya jinaśāsanaṃ |	evam suKârTinaH bAlAH prahAya jina-SAsanam |
   hīnān kāmān niṣevante yena gacchanti durgatiṃ ||	hInAn kAmAn nizevante yena gacCanti durgatim ||
   raktāḥ pramattāḥ kāmeṣu kṛtvā karma supāpakam |	raktAH pramattAH kAmezu kRtvA karma supApakam |
   śīlavattāṃ visaṃvādya paścād gacchanti durgatim ||	SIlavat-tAm visaMvAdya paScAt gacCanti durgatim ||
   yasyêdṛśaṃ dharmanayaṃ viditvā |	yasya-IdRSam Darmanayam viditvA |
   strīṣu prasādaḥ puruṣasya nô bhavet |	strIzu prasAdaH puruzasya nô Bavet |
   viśodhitaḥ svargapatho 'sya nityam |	viSoDitaH svarga-paTaH asya nityam |
   na durlabhā tasya varâgrabodhiḥ ||	na durlaBA tasya varâgra-boDiH ||
   labdhvā kṣaṇaṃ hi sa prajño dharmaṃ śrutvā cêdṛśam |	labDvA kzaNam hi sa prajQaH Darmam SrutvA cêdRSam |
   sarvān kāmān vivarjyêha pravrajyāṃ niṣkramed budha |	sarvAn kAmAn vivarjyêha pravrajyAm nizkramet buDaH |
   iti ||	iti ||
   praśāntavi-	praSAnta-vi-
   [ Cambridge MS f47b ---> ]	[ Cambridge M f47B ---> ]
   niścayaprātihāryasūtre 'py aparo 'narthôktaḥ ||	niScaya-prAtihArya-sUtre api aparaH anarTôktaH ||
   yaḥ kaścin mañjuśrīḥ ku-	yaH kaScid maQjuSrIH ku-
   [ Bendall ed p84 ---> ]	[ Bet-dalt ed p84 ---> ]
   laputro vā kuladuhitā vā jāmbūdvīpakān	laputraH vA kula-duhitA vA jAmbUdvIpakAn
   sarvasatvāñ jīvitād vyaparopya sarvasvaṃ haret |	sarva-satvAn jIvitAt vyaparopya sarva-svam haret |
   yo vânyo mañjuśrīḥ kulaputro vā kuladuhitā	yaH vânyaH maQjuSrIH kula-putraH vA kula-duhitA
   bodhisatvasyâikakuśalacittasyântarāyaṃ kuryād antaśas tiryagyonigatasyâpy	boDisatvasyâika-kuSala-cittasyântarAyam kuryAt antaSas tiryagyoni-gatasya-ipy
   ekâlopadānasahagatasya kuśalamūlasyântarāyaṃ kuryād ayaṃ tato	ekâla-upa-dAna-sahagatasya kuSala-mUlasyântarAyam kuryAt ayam tatas-
   'saṃkhyeyataraṃ pāpaṃ prasavati |	asaMKyeyataram pApam prasavati |
   tat kasya hetoḥ |	tat kasya hetoH |
   buddhôtpādasaṃjanakānāṃ sakuśalamūlānām antarāyaḥ sthito bhavati |	budDôt-pAda-saMjanakAnAm sa-kuSala-mUlAnAm antarAyaH sTitaH Bavati |
   yaḥ kaścin mañjuśrīḥ parakuleṣu bodhisatvasyêrṣyāmātsaryaṃ kuryāt tasya	yaH kaScid maQjuSrIH para-kulezu boDisatvasi-êrzyAmAtsaryam kuryAt tasya
   tasmin samaye tato nidānaṃ [[DOUBT]] trīṇi	tasmin samaye tatas nidAnam [[DOUBT]] trINi
   bhayāni pratikāṅkṣitavyāni |	BayAni pratikAFkzitavyAni |
   katamāni trīṇi |	katamAni trINi |
   narakôpapattibhayaṃ jātyandhabhayaṃ pratyantajanmôpapattibhayaṃ cêti ||	narakôpapatti-Bayam jAti-anDa-Bayam pratyanta-janmôpapatti-Bayam cêti ||
   punar āha ||	punar Aha ||
   yas tasya kuryāt puruṣo 'priyaṃ vā bhūtaṃ hy abhūtaṃ ca	yaH tasya kuryAt puruzaH apriyam vA BUtam hi aBUtam ca
   vaded avarṇaṃ |	vadet avarNam |
   paruṣaṃ vadet kruddhamanâpi yas taṃ kṣobhaṃ ca kuryāt punar asya yo 'pi ||	paruzam vadet krudDam-anâpi yaH tam kzoBam ca kuryAt punar asya yaH api ||
   ātmabhāvena mahatā narakeṣu sa durmatiḥ |	Atma-BAvena mahatA narakezu sa durmatiH |
   utpadyate vipannâtmā duṣkhāṃ sa vetti vedanāṃ ||	utpadyate vipannâtmA duzKAm sa vetti vedanAm ||
   yojanānāṃ śataṃ pañca jāyate 'sya samucchrayaḥ |	yojanAnAm Satam paQca jAyate asya samucCrayaH |
   koṭīparivṛtaḥ śaśvad bhakṣyate ca śunā bhṛśam ||	kowI-parivRtaH SaSvat Bakzyate ca SunA BRSam ||
   pañcamūrddhasahasrāṇi bhavanty asyâpavādinaḥ |	paQcamUrdDa-sahasrANi Bavanti asyâpavAdinaH |
   jihvānāṃ ca śatāḥ pañca bhavanty ekâikamūrddhani ||	jihvAnAm ca SatAH paQca Bavanti ekâika-mUrdDani ||
   ekâikasyāṃ ca jihvāyāṃ śatāḥ pañca jvalanmukhāḥ |	ekâikasyAm ca jihvAyAm SatAH paQca jvalat-muKAH |
   lāṅgalānāṃ ca vahanty asya vācaṃ bhāṣitva pāpikām ||	lAFgalAnAm ca vahanti asya vAcam BAzitva pApikAm ||
   [ Bendall ed p85 ---> ]	[ Bet-dalt ed p85 ---> ]
   pratāpane ca pacyante tīvraduṣkhânalâkule |	pratApane ca pacyante tIvra-duzKâ-nalâkule |
   utpīḍāṃ bodhisatvānāṃ ye kurvanti asaṅgatāḥ ||	utpIxAm boDisatvAnAm ye kurvanti asaFgatAH ||
   tiryagyoniḥ sanarakā na teṣāṃ bhoti durlabhā |	tiryagyoniH sa-narakAH na tezAm Boti durlaBA |
   kalpakoṭisahasrāṇi śatāni niyutāni ca ||	kalpa-kowi-sahasrANi SatAni niyutAni ca ||
   tataḥ cyutā ghoraviṣā bhonti sarpāḥ sudāruṇāḥ |	tatas cyutAH Gora-vizAH Bonti sarpAH su-dAruNAH |
   kṣutpipā-	kzuD-pipA-
   [ Cambridge MS f48a ---> ]	[ Cambridge M f48aH ---> ]
   sâbhibhūtāś ca kurvate karma dāruṇam ||	sâBi-BUtAH ca kurvate karma dAruNam ||
   labdhvâpi bhojanapānaṃ tṛptiṃ nâivâdhigacchati |	labDvâpi Bojana-pAnam tRptim nâivâDi-gacCati |
   tataś cyuto manuṣyeṣu sa ... yady upapadyate ||	tatas cyutaH manuzyezu sa ... yadi upapadyate ||
   jātyandho bhoti durmedhā duṣṭacetâsaṃvṛtaḥ |	jAti-anDaH Boti durmeDAH duzwa-cetâ-saMvRtaH |
   āryānārâdhikāṃ [[DOUBT]] vācam uktvā durbhāṣitaṃ naraḥ ||	AryAnArâDikAm [[DOUBT]] vAcam uktvA durBAzitam naraH ||
   manuṣyebhyaś cyutaś câpi punar gacchati durgatim |	manuzyeByaH cyutaH câpi punar gacCati durgatim |
   kalpakoṭisahasreṣu jātabuddhaṃ na paśyati ||	kalpa-kowi-sahasrezu jAta-budDam na paSyati ||
   punar atrâivâha |	punar atrâivâha |
   yāvanti mañjuśrīr bodhisatvo bodhisatvasyântike	yAvanti maQjuSrIH boDisatvaH boDisatvasi-ântike
   pratighacittāny utpādayaty avamanyanācittāni vā |	pratiGa-cittAni utpAdayati avamanyanA-cittAni vA |
   tāvataḥ kalpān sannāhaḥ sannaddhavyo vastavyaṃ mayā	tAvataH kalpAn sannAhaH sannadDavyaH vastavyam mayA
   mahānarakeṣv iti |	mahAnarakezu iti |
   na mañjuśrīr bodhisatvo 'nyena karmaṇā śakyo vinipātayitum	na maQjuSrIH boDisatvaH anyena karmaNA SakyaH vinipAtayitum
   anyatra bodhisatvâpavādād eva |	anyatra boDisatvâpavAdAt eva |
   tad yathā mañjuśrīr vajramaṇiratnaṃ nânyena kāṣṭhena	tat yaTA maQjuSrIH vajramaNi-ratnam nânyena kAzWena
   loṣṭhena vā śakyaṃ bhettum anyatra vajrād |	lozWena vA Sakyam Bettum anyatra vajrAt |
   evam eva mañjuśrīr bodhisatvo 'nyena karmaṇā na śakyo vinipātayitum	evam eva maQjuSrIH boDisatvaH anyena karmaNA na SakyaH vinipAtayitum
   anyatra bodhisatvâpavādād evêti || ||	anyatra boDisatvâpavAdAt evêti || ||
   [ Bendall ed p86 ---> ]	[ Bet-dalt ed p86 ---> ]
   āryaśraddhābalâdhānâvatāramudrāsūtre 'py āha ||	Arya-SradDA-balâDAnâvatAramudrA-sUtre api Aha ||
   yaḥ kaścin mañjuśrīḥ kulaputro vā kuladuhitā vā daśasu dikṣu	yaH kaScid maQjuSrIH kula-putraH vA kula-duhitA vA daSasu dikzu
