   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   Pāṇḍ-v § 4.16 tatrāyuṣmatā uttareṇa dvābhyām antarvarṣābhyām ekā vāg	PANx-u § 4.16 tatra-AyuzmatA uttareNa dvAByAm antar-varzAByAm ekA vAc-
   bhāṣitā / tṛtīye 'ntarvarṣe idam eva pañcagaṇḍakaṃ saṃsāracakraṃ calācalaṃ	BAzitA / tRtIye antar-varze idam eva paQcagaNxakam saMsAra-cakram calAcalam
   viditvā sarvasaṃskāragatīḥ śatanapatanavikiraṇavidhvaṃsanadharmatayā	viditvA sarva-saMskAra-gatIH Satana-patana-vikiraNa-viDvaMsana-Darma-tayA
   parāhanya tamaḥskandhaḥ pradālitaḥ arhaṃ saṃvṛttaḥ pūrvavad yāvat pūjyo	parAhanya tamaH-skanDaH pradAlitaH arham saMvRttaH pUrvavat yAvat pUjyaH-
   mānyo 'bhivādyaś ca saṃvṛttaḥ / āyuṣmān uttaro 'rhatvaprāpto	mAnyaH aBivAdyaH ca saMvRttaH / AyuzmAn uttaraH arha-tva-prAptaH-
   vimuktiprītisukhasaṃvedī tasyāṃ velāyāṃ gāthāṃ bhāṣate //	vimukti-prIti-suKa-saMvedI tasyAm velAyAm gATAm BAzate //
   tribhir mayā tālavṛndair gaṅgātīre kuṭī kṛtā /	triBiH mayA tAla-vRndEH gaFgA-tIre kuwI kRtA /
   śavaśīrṣopamaṃ pātraṃ pāṃsukūlaṃ ca cīvaram* //	Sava-SIrza-upamam pAtram pAMsukUlam ca cIvaram* //
   dvābhyām antarvarṣābhyām ekā vāg bhāṣitā mayā /	dvAByAm antar-varzAByAm ekA vAc BAzitAH mayA /
   tṛtīye 'ntarvarṣe tu tamaḥskandhaḥ pradālitaḥ //	tRtIye antar-varze tu tamaH-skanDaH pradAlitaH //
   gaṅgātīranivāsī 'tra uttaraḥ sthaviro vaśī /	gaFgA-tIra-nivAsI atra uttaraH sTaviraH vaSI /
   vimuktacitto hi arhann imā gāthā abhāṣata // //	vimukta-cittaH hi arhan imAH gATAH aBAzata // //
   Pāṇḍ-v § 5.1 buddho bhagavāṃ kauśāmbyāṃ viharati ghoṣilārāme / tena khalu	PANx-u § 5.1 budDaH BagavAm kOSAmbyAm viharati Gozila-ArAme / tena Kalu
   samayenāyuṣmāṃ chanda āpattim āpanno na paśyati / etat prakaraṇaṃ bhikṣavo	samayena-AyuzmAm CandaH Apattim ApannaH na paSyati / etat prakaraNam BikzavaH-
   bhagavata ārocayanti / bhagavān āha / kuruta yūyaṃ bhikṣavaḥ chandasya	BagavataH Arocayanti / BagavAn Aha / kuruta yUyam BikzavaH Candasya
   bhikṣor āpatter adarśanāyotkṣepaṇīyaṃ karma iti yo vā punar anyo 'py	BikzoH ApatteH adarSanAya-utkzepaNIyam karma iti yaH vA punar anyaH api-
   evaṃjātīyaḥ /	evaMjAtIyaH /
   Pāṇḍ-v § 5.2 paṃcabhiḥ kāraṇair āpatter adarśanād utkṣepaṇīyaṃ karma kṛtam	PANx-u § 5.2 paMcaBiH kAraNEH ApatteH adarSanAt utkzepaNIyam karma kRtam
   adharmakarma ca tad avinayakarma ca saṃghaś ca tena sātisāraḥ / katamaiḥ	aDarma-karma ca tat avinaya-karma ca saMGaH ca tena sa-atisAraH / katamEH
   paṃcabhiḥ / acodayitvā kurvanti pūrvavad yāvad ekena bhikṣuṇā jñaptiṃ	paMcaBiH / acodayitvA kurvanti pUrvavat yAvat ekena BikzuNA jQaptim
   kṛtvā karma kartavyaṃ /	kRtvA karma kartavyam /
   Pāṇḍ-v § 5.3 śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ chando bhikṣur āpattim āpanno	PANx-u § 5.3 SRNotu BadantAH saMGaH / ayam CandaH BikzuH Apattim ApannaH-
   yathādharmaṃ na pratikaroti / sacet saṃghasya prāptakālaṃ kṣametānujānīyāt	yaTADarmam na pratikaroti / saced saMGasya prApta-kAlam kzameta-anujAnIyAt-
   saṃgho yat saṃghaś chandasya bhikṣor āpatter adarśanāyotkṣepaṇīyaṃ karma	saMGaH yat saMGaH Candasya BikzoH ApatteH adarSanAya-utkzepaNIyam karma
   kuryād ity eṣā jñaptiḥ /	kuryAt iti ezA jQaptiH /
   Pāṇḍ-v § 5.4 karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ chando	PANx-u § 5.4 karma kartavyam / SRNotu BadantAH saMGaH / ayam CandaH-
   bhikṣur āpattim āpanno yathādharmaṃ na pratikaroti / tat saṃghaś chandasya	BikzuH Apattim ApannaH yaTADarmam na pratikaroti / tat saMGaH Candasya
   bhikṣor āpatter adarśanāyotkṣepaṇīyaṃ karma karoti / yeṣām āyuṣmatāṃ	BikzoH ApatteH adarSanAya-utkzepaNIyam karma karoti / yezAm AyuzmatAm
   kṣamate chandasya bhikṣor āpatter adarśanāya utkṣepaṇīyaṃ karma kartuṃ te	kzamate Candasya BikzoH ApatteH adarSanAya utkzepaNIyam karma kartum te
   tūṣṇīṃ na kṣamate bhāṣantām* / iyaṃ prathamā karmavācanā pūrvavad yāvad	tUzNIm na kzamate BAzantAm* / iyam praTamA karma-vAcanA pUrvavat yAvat-
   yathā pāṇḍulohitakānāṃ /	yaTA pANxu-lohitakAnAm /
   Pāṇḍ-v § 5.5 etad eva nidānam* / āyuṣmāṃ chando āpattim āpanno	PANx-u § 5.5 etat eva nidAnam* / AyuzmAm CandaH Apattim ApannaH-
   yathādharmaṃ na pratikaroti / sa sabrahmacāribhir arthakāmaiḥ pūrvavad	yaTADarmam na pratikaroti / sa sabrahmacAriBiH arTa-kAmEH pUrvavat-
   yathā vibhaṃge / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān	yaTA viBaMge / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn
   āha / kuruta yūyaṃ bhikṣavaḥ chandasya bhikṣor āpatter	Aha / kuruta yUyam BikzavaH Candasya BikzoH ApatteH-
   apratikarmāyotkṣepaṇīyaṃ karma iti yo vā punar anyo 'py evaṃjātīyaḥ /	apratikarmAya-utkzepaNIyam karma iti yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 5.6 paṃcabhiḥ kāraṇair āpatter apratikarmāyotkṣepaṇīyaṃ karma	PANx-u § 5.6 paMcaBiH kAraNEH ApatteH apratikarmAya-utkzepaNIyam karma
   kṛtam adharmakarma ca tad avinayakarma ca saṃghaś ca tena sātisāraḥ /	kRtam aDarma-karma ca tat avinaya-karma ca saMGaH ca tena sa-atisAraH /
   katamaiḥ paṃcabhiḥ / acodayitvā kurvanti pūrvavad yāvad ekena bhikṣuṇā	katamEH paMcaBiH / acodayitvA kurvanti pUrvavat yAvat ekena BikzuNA
   jñaptiṃ kṛtvā karma kartavyam* /	jQaptim kRtvA karma kartavyam* /
   Pāṇḍ-v § 5.7 śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ chando bhikṣur āpattim āpanno	PANx-u § 5.7 SRNotu BadantAH saMGaH / ayam CandaH BikzuH Apattim ApannaH-
   (294v1 = GBM 901) yathādharmaṃ na pratikaroti / sacet saṃghasya	(294v1  GBm 901) yaTADarmam na pratikaroti / saced saMGasya
   prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaś chandasya bhikṣor āpatter	prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH Candasya BikzoH ApatteH-
   apratikarmāyotkṣepaṇīyaṃ karma kuryād ity eṣā jñaptiḥ /	apratikarmAya-utkzepaNIyam karma kuryAt iti ezA jQaptiH /
   Pāṇḍ-v § 5.8 karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ chando	PANx-u § 5.8 karma kartavyam / SRNotu BadantAH saMGaH / ayam CandaH-
   bhikṣur āpattim āpanno yathādharmaṃ na pratikaroti / tat saṃghaś chandasya	BikzuH Apattim ApannaH yaTADarmam na pratikaroti / tat saMGaH Candasya
   bhikṣor āpatter apratikarmāyotkṣepaṇīyaṃ karma karoti / yeṣām āyuṣmatāṃ	BikzoH ApatteH apratikarmAya-utkzepaNIyam karma karoti / yezAm AyuzmatAm
   kṣamate chandasya bhikṣor āpatter apratikarmāyotkṣepaṇīyaṃ karma kartuṃ te	kzamate Candasya BikzoH ApatteH apratikarmAya-utkzepaNIyam karma kartum te
   tūṣṇīṃ na kṣamate bhāṣantām* / iyaṃ prathamā karmavācanā pūrvavad yāvat	tUzNIm na kzamate BAzantAm* / iyam praTamA karma-vAcanA pUrvavat yAvat-
   pāṇḍulohitakānām* // //	pANxu-lohitakAnAm* // //
   Pāṇḍ-v § 6.1 buddho bhagavāṃ cchrāvastyāṃ viharati jetavane	PANx-u § 6.1 budDaH BagavAm cCrAvastyAm viharati jetavane
   'nāthapiṇḍadasyārāme / tena khalu samayena ariṣṭasya bhikṣor idam	anATapiNxadasya-ArAme / tena Kalu samayena arizwasya BikzoH idam
   evaṃrūpaṃ pāpakaṃ dṛṣṭigatam utpannaṃ / tathāhaṃ bhagavato dharmaṃ deśitam	evaMrUpam pApakam dRzwi-gatam utpannam / taTA-aham BagavataH Darmam deSitam
   ājānāmi yathā ye 'ntarāyikā dharmā uktā bhagavatā te ca pratisevyamānā	AjAnAmi yaTA ye antarAyikA DarmAH uktA BagavatA te ca pratisevyamAnA
   nālam antarāyāyeti / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	na-alam antarAyAya-iti / etat prakaraNam BikzavaH BagavataH Arocayanti /
   bhagavān āha / kuruta yūyaṃ bhikṣava ariṣṭasya bhikṣor apratiniḥsṛṣṭe	BagavAn Aha / kuruta yUyam Bikzava arizwasya BikzoH apratiniHsRzwe
   pāpake dṛṣṭigate utkṣepaṇīyaṃ karma iti yo vā punar anyo 'py evaṃjātīyaḥ /	pApake dRzwi-gate utkzepaNIyam karma iti yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 6.2 paṃcabhiḥ kāraṇair apratiniḥsṛṣṭe pāpake dṛṣṭigate	PANx-u § 6.2 paMcaBiH kAraNEH apratiniHsRzwe pApake dRzwi-gate
   utkṣepaṇīyaṃ karma kṛtam adharmakarma ca tad avinayakarma ca saṃghaś ca	utkzepaNIyam karma kRtam aDarma-karma ca tat avinaya-karma ca saMGaH ca
   tena sātisāraḥ / katamaiḥ paṃcabhiḥ / acodayitvā kurvanti / pūrvavad yāvad	tena sa-atisAraH / katamEH paMcaBiH / acodayitvA kurvanti / pUrvavat yAvat-
   ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	ekena BikzuNA jQaptim kRtvA karma kartavyam /
   Pāṇḍ-v § 6.3 śṛṇotu bhadantāḥ saṃghaḥ / asyāriṣṭasya bhikṣor idam	PANx-u § 6.3 SRNotu BadantAH saMGaH / asya-arizwasya BikzoH idam
   evaṃrūpaṃ pāpakaṃ dṛṣṭigatam utpannaṃ / tathāhaṃ bhagavato dharmaṃ deśitam	evaMrUpam pApakam dRzwi-gatam utpannam / taTA-aham BagavataH Darmam deSitam
   ājānāmi yathā ye 'ntarāyikā dharmā uktā bhagavatā pūrvavad yāvat saṃghasya	AjAnAmi yaTA ye antarAyikA DarmAH uktA BagavatA pUrvavat yAvat saMGasya
   prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ ariṣṭasya bhikṣor	prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH arizwasya BikzoH-
   apratiniḥsṛṣṭe pāpake dṛṣṭigate utkṣepaṇīyaṃ karma kuryād ity eṣā jñaptiḥ	apratiniHsRzwe pApake dRzwi-gate utkzepaNIyam karma kuryAt iti ezA jQaptiH
   Pāṇḍ-v § 6.4 karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ / asyāriṣṭasya	PANx-u § 6.4 karma kartavyam / SRNotu BadantAH saMGaH / asya-arizwasya
   bhikṣor idam evaṃrūpaṃ pāpakaṃ dṛṣṭigatam utpannaṃ / tathāhaṃ bhagavato	BikzoH idam evaMrUpam pApakam dRzwi-gatam utpannam / taTA-aham BagavataH-
   dharmaṃ deśitam ājānāmi pūrvavad yāvat saṃgha ariṣṭasya bhikṣor	Darmam deSitam AjAnAmi pUrvavat yAvat saMGa arizwasya BikzoH-
   apratiniḥsṛṣṭe pāpake dṛṣṭigate utkṣepaṇīyaṃ karma karoti / yeṣām	apratiniHsRzwe pApake dRzwi-gate utkzepaNIyam karma karoti / yezAm
   āyuṣmatāṃ kṣamate ariṣṭasya bhikṣor apratiniḥsṛṣṭe pāpake dṛṣṭigate	AyuzmatAm kzamate arizwasya BikzoH apratiniHsRzwe pApake dRzwi-gate
   utkṣepaṇīyaṃ karma kartuṃ te tūṣṇīṃ na kṣamate bhāṣantām* / iyaṃ prathamā	utkzepaNIyam karma kartum te tUzNIm na kzamate BAzantAm* / iyam praTamA
   karmavācanā pūrvavad yāvat pāṇḍulohitakānāṃ /	karma-vAcanA pUrvavat yAvat pANxu-lohitakAnAm /
   Pāṇḍ-v § 6.5 sa eṣaḥ apratiniḥsṛṣṭe pāpake dṛṣṭigate utkṣepaṇīyakarmakṛtam	PANx-u § 6.5 saH ezaH apratiniHsRzwe pApake dRzwi-gate utkzepaNIya-karma-kRtam
   utkacaprakacaḥ saṃghe roma pātayati pūrvavad yāvat* dṛṣṭigataṃ	utkaca-prakacaH saMGe roma pAtayati pUrvavat yAvat* dRzwi-gatam
   pratiniḥsṛjāmīti vadati / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	pratiniHsRjAmi-iti vadati / etat prakaraNam BikzavaH BagavataH Arocayanti /
   bhagavān āha / (295r1 = GBM 902) osārayata yūyaṃ bhikṣavaḥ ariṣṭaṃ bhikṣum	BagavAn Aha / (295r1  GBm 902) osArayata yUyam BikzavaH arizwam Bikzum
   apratiniḥsṛṣṭe pāpake dṛṣṭigate utkṣepaṇīyakarmakṛtam iti yo vā punar anyo	apratiniHsRzwe pApake dRzwi-gate utkzepaNIya-karma-kRtam iti yaH vA punar anyaH-
   'py evaṃjātīyaḥ /	api evaMjAtIyaH /
   Pāṇḍ-v § 6.6 paṃcabhir karaṇair apratiniḥsṛṣṭe pāpake dṛṣṭigate	PANx-u § 6.6 paMcaBiH karaNEH apratiniHsRzwe pApake dRzwi-gate
   utkṣepaṇīyakarmakṛta osārayitavyaḥ / katamaiḥ paṃcabhiḥ / utkacaprakacaḥ	utkzepaNIya-karma-kRtaH osArayitavyaH / katamEH paMcaBiH / utkaca-prakacaH
   saṃghe roma pātayati pūrvavad yāvad ekena bhikṣuṇā jñaptiṃ kṛtvā karma	saMGe roma pAtayati pUrvavat yAvat ekena BikzuNA jQaptim kRtvA karma
   kartavyaṃ /	kartavyam /
   Pāṇḍ-v § 6.7 śṛṇotu bhadantāḥ saṃghaḥ / asyāriṣṭasya bhikṣor idam	PANx-u § 6.7 SRNotu BadantAH saMGaH / asya-arizwasya BikzoH idam
   evaṃrūpaṃ pāpakaṃ dṛṣṭigatam utpannaṃ / tathāhaṃ bhagavato dharmaṃ deśitam	evaMrUpam pApakam dRzwi-gatam utpannam / taTA-aham BagavataH Darmam deSitam
   ājānāmi yathā ye 'ntarāyikā dharmā uktā bhagavatā te pratisevyamānā nālam	AjAnAmi yaTA ye antarAyikA DarmAH uktA BagavatA te pratisevyamAnAH na-alam
   antarāyāyeti / tad asya saṃghena apratiniḥsṛṣṭe pāpake dṛṣṭigate	antarAyAya-iti / tat asya saMGena apratiniHsRzwe pApake dRzwi-gate
   utkṣepaṇīyaṃ karma kṛtaṃ / so 'yam ariṣṭo bhikṣur apratiniḥsṛṣṭe pāpake	utkzepaNIyam karma kRtam / saH ayam arizwaH BikzuH apratiniHsRzwe pApake
   dṛṣṭigate utkṣepaṇīyakarmakṛta utkacaprakacaḥ pūrvavad yāvad dṛṣṭigataṃ	dRzwi-gate utkzepaNIya-karma-kRtaH utkaca-prakacaH pUrvavat yAvat dRzwi-gatam
   pratiniḥsṛjāmīti vadati / sacet saṃghasya prāptakālaṃ kṣametānujānīyāt	pratiniHsRjAmi-iti vadati / saced saMGasya prApta-kAlam kzameta-anujAnIyAt-
   saṃgho yat saṃgha ariṣṭaṃ bhikṣum apratiniḥsṛṣṭe pāpake dṛṣṭigate	saMGaH yat saMGa arizwam Bikzum apratiniHsRzwe pApake dRzwi-gate
   utkṣepaṇīyakarmakṛtam osārayed ity eṣā jñaptiḥ /	utkzepaNIya-karma-kRtam osArayet iti ezA jQaptiH /
   Pāṇḍ-v § 6.8 evaṃ ca karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ /	PANx-u § 6.8 evam ca karma kartavyam / SRNotu BadantAH saMGaH /
   asyāriṣṭasya bhikṣor idam evaṃrūpaṃ pāpakaṃ dṛṣṭigatam utpannaṃ pūrvavad	asya-arizwasya BikzoH idam evaMrUpam pApakam dRzwi-gatam utpannam pUrvavat-
   yāvat tat saṃgha ariṣṭaṃ bhikṣum apratiniḥsṛṣṭe pāpake dṛṣṭigate	yAvat tat saMGa arizwam Bikzum apratiniHsRzwe pApake dRzwi-gate
   utkṣepaṇīyakarmakṛtam osārayati / yeṣām āyuṣmatāṃ kṣamate ariṣṭam	utkzepaNIya-karma-kRtam osArayati / yezAm AyuzmatAm kzamate arizwam
   apratiniḥsṛṣṭe pāpake dṛṣṭigate utkṣepaṇīyakarmakṛtam osārayituṃ te tūṣṇīṃ	apratiniHsRzwe pApake dRzwi-gate utkzepaNIya-karma-kRtam osArayitum te tUzNIm
   na kṣamate bhāṣantām* / iyaṃ prathamā karmavācanā evaṃ dvitīyā tṛtīyā	na kzamate BAzantAm* / iyam praTamA karma-vAcanA evam dvitIyA tRtIyA
   karmavācanā pūrvavad yāvat tūṣṇīm evam etad dhārayāmi // //	karma-vAcanA pUrvavat yAvat tUzNIm evam etat DArayAmi // //
   Pāṇḍ-v § 7.1.1 buddho bhagavāṃ cchrāvastyāṃ viharati jetavane	PANx-u § 7.1.1 budDaH BagavAm cCrAvastyAm viharati jetavane
   anāthapiṇḍadasyārāme / tena khalu samayenāyuṣmān udāyī saṃghāvaśeṣām	anATapiNxadasya-ArAme / tena Kalu samayena-AyuzmAn udAyI saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   sa etat prakaraṇaṃ bhikṣūṇām ārocayaty / aham āyuṣmantaḥ saṃghāvaśeṣām	saH etat prakaraNam BikzUNAm Arocayati / aham AyuzmantaH saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitāṃ ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   kiṃ mayā karaṇīyam ity / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	kim mayA karaNIyam iti / etat prakaraNam BikzavaH BagavataH Arocayanti /
   bhagavān āha / dadata yūyaṃ bhikṣava udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā	BagavAn Aha / dadata yUyam BikzavaH udAyinaH BikzoH asyAH saMGa-avaSezAyA
   āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyā	ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH-
   ardhamāsaṃ parivāsam iti / yo vā punar anyo 'py evaṃjātīyaḥ /	arDa-mAsam parivAsam iti / yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 7.1.2 evaṃ ca punar dātavyāḥ / udāyinā bhikṣuṇā	PANx-u § 7.1.2 evam ca punar dAtavyAH / udAyinA BikzuNA
   śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya	Sayana-Asana-prajQaptim kRtvA gaNxIm Akowya pRzwa-vAcikayA BikzUn samanuyujya
   sarvasaṃghe saṃniṣaṇṇe saṃnipatite udāyinā bhikṣuṇā vṛddhānte utkuṭukena	sarva-saMGe saMnizaNNe saMnipatite udAyinA BikzuNA vRdDAnte utkuwukena
   sthitvā aṃjaliṃ pragṛhya parivāsaṃ yācitavyam* /	sTitvA aMjalim pragRhya parivAsam yAcitavyam* /
   Pāṇḍ-v § 7.1.3 evaṃ ca punar yācitavyaṃ / śṛṇotu bhadantaḥ (295v1 = GBM	PANx-u § 7.1.3 evam ca punar yAcitavyam / SRNotu BadantaH (295v1  GBm
   903) saṃghaḥ / aham udāyī bhikṣuḥ saṃghāvaśeṣām āpattim āpannaḥ	903) saMGaH / aham udAyI BikzuH saMGa-a=-aSezAm Apattim ApannaH
   saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / so 'ham udāyī	saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / saH aham udAyI
   bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	BikzuH asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ saṃghād ardhamāsaṃ parivāsaṃ yāce / dadātu me	arDa-mAsa-praticCannAyAH saMGAt arDa-mAsam parivAsam yAce / dadAtu me
   bhadantāḥ saṃghaḥ mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	BadantAH saMGaH mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyā ardhamāsaṃ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH arDa-m-Asam
   parivāsam anukaṃpako 'nukaṃpām upādāya /	parivAsam anukaMpakaH anukaMpAm upAdAya /
   Pāṇḍ-v § 7.1.4 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	PANx-u § 7.1.4 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam /
   śṛṇotu bhadantāḥ saṃghaḥ / ayam udāyī bhikṣuḥ saṃghāvaśeṣām āpattim	SRNotu BadantAH saMGaH / ayam udAyI BikzuH saMGa-a=-aSezAm Apattim
   āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / so 'yam	ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / saH ayam
   udāyī bhikṣur asyāḥ	udAyI BikzuH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ saṃghād ardhamāsaṃ parivāsaṃ yācate / sacet	arDa-mAsa-praticCannAyAH saMGAt arDa-mAsam parivAsam yAcate / saced-
   saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃgha udāyino bhikṣor	saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH udAyinaH BikzoH-
   asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaṃ dadyād ity eṣā jñaptiḥ /	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsam dadyAt iti ezA jQaptiH /
   Pāṇḍ-v § 7.1.5 evaṃ ca karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ / ayam	PANx-u § 7.1.5 evam ca karma kartavyam / SRNotu BadantAH saMGaH / ayam
   udāyī bhikṣuḥ saṃghāvaśeṣām āpattim āpannaḥ	udAyI BikzuH saMGa-a=-aSezAm Apattim ApannaH
   saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / so 'yam udāyī	saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / saH ayam udAyI
   bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	BikzuH asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ saṃghād ardhamāsaṃ parivāsaṃ yācate / tat saṃgha	arDa-mAsa-praticCannAyAH saMGAt arDa-mAsam parivAsam yAcate / tat saMGa
   udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyā ardhamāsaṃ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH arDa-m-Asam
   parivāsam dadāti / yeṣām āyuṣmatāṃ kṣamate udāyino bhikṣor asyāḥ	parivAsam dadAti / yezAm AyuzmatAm kzamate udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsam dātuṃ te tūṣṇīṃ na kṣamate	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsam dAtum te tUzNIm na kzamate
   bhāṣantām* / iyaṃ prathamā karmavācanā / evaṃ dvitīyā tṛtīyā karmavācanā	BAzantAm* / iyam praTamA karma-vAcanA / evam dvitIyA tRtIyA karma-vAcanA
   kartavyā / dattaḥ saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	kartavyA / dattaH saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyā ardhamāsaṃ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH arDa-m-Asam
   parivāsaḥ / kṣāntam anujñātaṃ saṃghena yasmāt tūṣṇīm evam etad dhārayāmi	parivAsaH / kzAntam anujQAtam saMGena yasmAt tUzNIm evam etat DArayAmi
   Pāṇḍ-v § 7.2.1 sa pārivāsika eva san* saṃghāvaśeṣām āpattim āpanno	PANx-u § 7.2.1 sa pArivAsikaH eva san* saMGa-a=-aSezAm Apattim ApannaH-
   'ntarāpattiṃ pūrvāpattipratirūpāṃ praticchannāṃ / sa etat prakaraṇaṃ	antarApattim pUrva-Apatti-pratirUpAm praticCannAm / saH etat prakaraNam
   bhikṣūṇām ārocayati / āyuṣmanta udāyī bhikṣuḥ saṃghāvaśeṣām āpattim	BikzUNAm Arocayati / AyuzmantaH udAyI BikzuH saMGa-a=-aSezAm Apattim
   āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / tena	ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / tena
   mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā (296r1 = GBM 904)	saMcintya-Sukra-visRzwi-samutTitAyAH (296r1  GBm 904)
   ardhamāsapraticchannāyāḥ saṃghād ardhamāsaṃ parivāso yācitaḥ / dattaḥ	arDa-mAsa-praticCannAyAH saMGAt arDa-mAsam parivAsaH yAcitaH / dattaH
   saṃghena mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	saMGena mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
