   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   dehendriyavināśe tu yathā daṇḍaṃ prakalpayet /	deha-indriya-vinASe tu yaTA daNxam prakalpayet /
   tathā tuṣṭikaraṃ deyaṃ samutthānaṃ ca paṇḍitaiḥ /	taTA tuzwi-karam deyam samutTAnam ca paNxitEH /
   samutthānavyayaṃ cāsau dadyād āvraṇaropaṇāt // K_787 //	samutTAna-vyayam ca-asO dadyAt AvraNa-ropaNAt // K_787 //
   vāgdaṇḍas tāḍanaṃ caiva yeṣūktam aparādhiṣu /	vAgdaNxaH tAxanam ca-eva yezu-uktam aparADizu /
   hṛtaṃ bhagnaṃ pradāpyās te śodhyaṃ niḥsvais tu karmaṇā // K_788 //	hRtam Bagnam pradApyAH te SoDyam niHsvEH tu karmaNA // K_788 //
   śrāntāṃs tṛṣārtān kṣudhitān akāle vāhayen naraḥ /	SrAntAn tRzA-ArtAn kzuDitAn akAle vAhayet naraH /
   kharagomahiṣoṣṭrādīn prāpnuyāt pūrvasāhasam // K_789 //	Kara-go-mahiza-uzwra-AdIn prApnuyAt pUrva-sAhasam // K_789 //
   dvipaṇo dvādaśapaṇo vadhe tu mṛgapakṣiṇām /	dvi-paNaH dvAdaSa-paNaH vaDe tu mRga-pakziNAm /
   sarpamārjāranakula- śvasūkaravadhe nṛṇām // K_790 //	sarpa-mArjAra-nakula Sva-sUkara-vaDe nRNAm // K_790 //
   gokumārīdevapaśu- mukṣāṇaṃ vṛṣabhaṃ tathā /	gokumArI-deva-paSu mukzANam vRzaBam taTA /
   vāhayan sāhasaṃ pūrvaṃ prāpnuyād uttamaṃ vadhaḥ // K_791 //	vAhayan sAhasam pUrvam prApnuyAt uttamam vaDaH // K_791 //
   pramāpaṇe prāṇabhṛtāṃ dadyāt tatpratirūpakam /	pramApaNe prANaBRtAm dadyAt tad-pratirUpakam /
   tasyānurūpaṃ mūlyaṃ vā dadyād ity abravīn manuḥ // K_792 //	tasya-anurUpam mUlyam vA dadyAt iti abravIt manuH // K_792 //
   vanaspatīnāṃ sarveṣām upabhogo yathā yathā /	vanaspatInAm sarvezAm upaBogaH yaTA yaTA /
   tathā tathā damaḥ kāryo hiṃsāyām iti dhāraṇā // K_793 //	taTA taTA damaH kAryaH hiMsAyAm iti DAraNA // K_793 //
   śiṣyaṃ krodhena hanyāc ced ācāryo latayā vinā /	Sizyam kroDena hanyAt ced AcAryaH latayA vinA /
   yenātyarthaṃ bhavet pīḍā vādaḥ syāc śiṣyataḥ pituḥ // K_794 //	yena-atyarTam Bavet pIxA vAdaH syAt SizyataH pituH // K_794 //
   [sāhasam]	[sAhasam]
   sahasā yat kṛtaṃ karma tat sāhasam udāhṛtam // K_795 //	sahasA yat kRtam karma tat sAhasam udAhRtam // K_795 //
   sānvayas tv apahāro yaḥ prasahya haraṇaṃ ca yat /	sa-anvayaH tu apahAraH yaH prasahya haraNam ca yat /
   sāhasaṃ ca bhaved evaṃ steyam uktaṃ vinihnavaḥ // K_796 //	sAhasam ca Bavet evam steyam uktam vinihnavaH // K_796 //
   vinā cihnais tu yat kāryaṃ sāhasākhyaṃ pravartate /	vinA cihnEH tu yat kAryam sAhasa-AKyam pravartate /
   śapathaiḥ sa viśodhyaḥ syāt sarvavādeṣv ayaṃ vidhiḥ // K_797 //	SapaTEH sa viSoDyaH syAt sarva-vAdezu ayam viDiH // K_797 //
   ekaṃ ced vahavo hanyuḥ saṃrabdhāḥ puruṣaṃ narāḥ /	ekam ced vahavaH hanyuH saMrabDAH puruzam narAH /
   marmaghāto tu yas teṣāṃ sa ghātaka iti smṛtaḥ // K_798 //	marma-GAtaH tu yaH tezAm sa GAtakaH iti smRtaH // K_798 //
   vyāpādanena tatkārī vadhaṃ citram avāpnuyāt /	vyApAdanena tad-kArI vaDam citram avApnuyAt /
   vināśahetum āyāntaṃ hanyād evāvicārayan // K_799 //	vinASa-hetum AyAntam hanyAt eva-avicArayan // K_799 //
   udyatānāṃ tu pāpānāṃ hantur doṣo na vidyate /	udyatAnAm tu pApAnAm hantuH dozaH na vidyate /
   nivṛttās tu yad ārambhād grahaṇaṃ na vadhaḥ smṛtaḥ // K_800 //	nivRttAH tu yat AramBAt grahaNam na vaDaH smRtaH // K_800 //
   ātatāyini cotkṛṣṭe tapaḥsvādhyāyajanmataḥ /	AtatAyini ca-utkRzwe tapaH-svADyAya-janmataH /
   vadhas tatra tu naiva syāt pāpe hīne vadho bhṛguḥ // K_801 //	vaDaH tatra tu na-eva syAt pApe hIne vaDaH BRguH // K_801 //
   udyatāsiviṣāgniś ca cāpodyatakaras tathā /	udyata-asi-viza-agniH ca cApa-udyata-karaH taTA /
   ātharvaṇena hantā ca piśunaś caiva rājani // K_802 //	ATarvaNena hantA ca piSunaH ca-eva rAjani // K_802 //
   bhāryātikramakārī ca randhrānveṣaṇatatparaḥ /	BAryA-atikrama-kArI ca ranDra-anvezaNa-tatparaH /
   evam ādyān vijānīyāt sarvān evātatāyinaḥ // K_803 //	evam AdyAn vijAnIyAt sarvAn eva-AtatAyinaH // K_803 //
   yaśovṛttaharān pāpān āhur dharmārthahārakān /	yaSaH-vRtta-harAn pApAn AhuH Darma-arTa-hArakAn /
   anākṣāritapūrvo yas tv aparādhe pravartate /	anAkzArita-pUrvaH yaH tu aparADe pravartate /
   prāṇadravyāpahāre ca taṃ vidyād ātatāyinam // K_804 //	prANa-dravya-apahAre ca tam vidyAt AtatAyinam // K_804 //
   nakhināṃ śṛṇgiṇāṃ caiva daṃṣṭriṇāṃ cātatāyinām /	naKinAm SRNgiNAm ca-eva daMzwriNAm ca-AtatAyinAm /
   hastyaśvānāṃ tathānyeṣāṃ vadhe hantā na doṣabhāk // K_805 //	hasti-aSvAnAm taTA-anyezAm vaDe hantA na doza-BAj // K_805 //
   garbhasya pātane steno brāhmaṇyāṃ śastrapātena /	garBasya pAtane stenaH brAhmaNyAm Sastra-pAtena /
   aduṣṭāṃ yoṣitaṃ hatvā hantvyo brāhmaṇo 'pi hi // K_806 //	aduzwAm yozitam hatvA hantvyaH brAhmaNaH api hi // K_806 //
   kṣataṃ bhaṅgopamardau ca kuryād dravyeṣu yo naraḥ /	kzatam BaFga-upamardO ca kuryAt dravyezu yaH naraH /
   prāpnuyāt sāhasaṃ pūrvaṃ dravyabhāksvāmyudāhṛtaḥ // K_807 //	prApnuyAt sAhasam pUrvam dravya-BAj-svAmI-udAhRtaH // K_807 //
   hared bhindyād dahed vāpi devānāṃ pratimāṃ yadi /	haret BindyAt dahet vA-api devAnAm pratimAm yadi /
   taggṛhaṃ caiva yo bhindyāt prāpnuyāt pūrvasāhasam // K_808 //	tak-gRham ca-eva yaH BindyAt prApnuyAt pUrva-sAhasam // K_808 //
   prākāraṃ bhedayed yas tu pātayec chātayet tathā /	prAkAram Bedayet yaH tu pAtayet SAtayet taTA /
   badhnīyād ambhaso mārgaṃ prāpnuyāt pūrvasāhasam // K_809 //	baDnIyAt amBasaH mArgam prApnuyAt pUrva-sAhasam // K_809 //
   [steyam]	[steyam]
   pracchannaṃ vā prakāśaṃ vā niśāyām atha vā divā /	pracCannam vA prakASam vA niSAyAm aTa vA divA /
   yat paradravyaharaṇaṃ steyaṃ tat parikīrtitam // K_810 //	yat para-dravya-haraNam steyam tat parikIrtitam // K_810 //
   anyahastāt paribhraṣṭam akāmād uddhṛtaṃ bhuvi /	anya-hastAt pariBrazwam akAmAt udDRtam Buvi /
   caureṇa vā parikṣiptaṃ loptraṃ yatnāt parīkṣayet // K_811 //	cOreNa vA parikziptam loptram yatnAt parIkzayet // K_811 //
   tulāmānapratimāna- pratirūpakalakṣitaiḥ /	tulA-mAna-pratimAna pratirUpaka-lakzitEH /
   carann alakṣitair vāpi prāpnuyāt pūrvasāhasam // K_812 //	caran alakzitEH vA-api prApnuyAt pUrva-sAhasam // K_812 //
   gṛhe tu muṣitaṃ rājā cauragrāhāṃs tu dāpayet /	gRhe tu muzitam rAjA cOra-grAhAn tu dApayet /
   ārakṣakāṃś ca dikpālān yadi cauro na labhyate // K_813 //	ArakzakAn ca dikpAlAn yadi cOraH na laByate // K_813 //
   grāmāntare hṛtaṃ dravyaṃ grāmādhyakṣaṃ pradāpayet /	grAma-antare hRtam dravyam grAma-aDyakzam pradApayet /
   vivīte svāminā deyaṃ cauroddhartā vivītake // K_814 //	vivIte svAminA deyam cOra-udDartA vivItake // K_814 //
   svadeśe yasya yat kiṃcid dhṛtaṃ deyaṃ nṛpeṇa tu /	sva-deSe yasya yat kiMcid DRtam deyam nRpeNa tu /
   gṛhṇīyāt tat svayaṃ naṣṭaṃ prāptam anviṣya pārthivaḥ // K_815 //	gRhNIyAt tat svayam nazwam prAptam anvizya pArTivaH // K_815 //
   caurair hṛtaṃ prayatnena svarūpaṃ pratipādayet /	cOrEH hRtam prayatnena svarUpam pratipAdayet /
   tadabhāve tu mūlyaṃ syād anyathā kilviṣī nṛpaḥ // K_816 //	tad-aBAve tu mUlyam syAt anyaTA kilvizI nRpaH // K_816 //
   labdhe 'pi caure yadi tu moṣas tasmān na labhyate /	labDe api cOre yadi tu mozaH tasmAt na laByate /
   dadyāt tam atha vā cauraṃ dāpayet tu yatheṣṭataḥ // K_817 //	dadyAt tam aTa vA cOram dApayet tu yaTezwataH // K_817 //
   tasmiṃś ced dāpyamānānāṃ bhaved doṣe tu saṃśayaḥ /	tasmin ced dApyamAnAnAm Bavet doze tu saMSayaH /
   muṣitaḥ śapathaṃ dāpyo bandhubhir vā viśodhayet // K_818 //	muzitaH SapaTam dApyaH banDuBiH vA viSoDayet // K_818 //
   yasmād apahṛtāl labdhaṃ dravyāt svalpaṃ tu svāminā /	yasmAt apahRtAt labDam dravyAt su-alpam tu svAminA /
   tac śeṣam āpnuyāt tasmāt pratyaye svāminā kṛte // K_819 //	tat Sezam ApnuyAt tasmAt pratyaye svAminA kRte // K_819 //
   svadeśaghātino ye syus tathā mārganirodhakāḥ /	sva-deSa-GAtinaH ye syuH taTA mArga-niroDakAH /
   teṣāṃ sarvasvam ādāya rājā śūle niveśayet // K_820 //	tezAm sarva-svam AdAya rAjA SUle niveSayet // K_820 //
   acorād dāpitaṃ dravyaṃ caurānveṣaṇatatparaiḥ /	acorAt dApitam dravyam cOra-anvezaNa-tatparEH /
   upalabdhe labheraṃs te dviguṇaṃ tatra dāpayet // K_821 //	upalabDe laBeran te dviguNam tatra dApayet // K_821 //
   yena yena paradrohaṃ karoty aṅgena taskaraḥ /	yena yena para-droham karoti aFgena taskaraH /
   chindyād aṅgaṃ nṛpas tasya na karoti yathā punaḥ // K_822:1 //	CindyAt aFgam nRpaH tasya na karoti yaTA punar // K_822:1 //
   trapuṣe vāruke dve tu pañcāmraṃ pañcadāḍimam /	trapuze vAruke dve tu paQca-Amram paQca-dAximam /
   kharjūrabadarādīnāṃ muṣṭiṃ gṛhṇan na duṣyati // K_822:2 //	KarjUra-badara-AdInAm muzwim gRhNan na duzyati // K_822:2 //
   mānavāḥ sadya evāhuḥ sahoḍhānāṃ pravāsanam /	mAnavAH sadyas eva-AhuH sahoXAnAm pravAsanam /
   gautamānām aniṣṭaṃ yat prāṇyucchedad vigarhitam // K_823 //	gOtamAnAm anizwam yat prANi-ucCedat vigarhitam // K_823 //
   sahoḍham asahoḍhaṃ vā tattvāgamitasāhasam /	sahoXam asahoXam vA tattva-Agamita-sAhasam /
   pragṛhyāc chinnam āvedya sarvasvair viprayojayet // K_824 //	pragRhyAt Cinnam Avedya sarva-svEH viprayojayet // K_824 //
   ayaḥsandānaguptās tu mandabhaktā balānvitāḥ /	ayaH-sandAna-guptAH tu manda-BaktAH bala-anvitAH /
   kuryuḥ karmāṇi nṛpater āmṛtyor iti kauśikaḥ // K_825 //	kuryuH karmANi nRpateH AmRtyoH iti kOSikaH // K_825 //
   paradeśād dhṛtaṃ dravyaṃ vaideśyena yadā bhavet /	para-deSAt DRtam dravyam vEdeSyena yadA Bavet /
   gṛhītvā tasya taddravyam adaṇḍaṃ taṃ visarjayet // K_826 //	gRhItvA tasya tat-dravyam adaNxam tam visarjayet // K_826 //
   corāṇāṃ bhaktadā ye syus tathāgnyudakadāyakāḥ /	corANAm Bakta-dAH ye syuH taTA-agni-udaka-dAyakAH /
   kretāraś caiva bhāṇḍānāṃ pratigrāhiṇa eva ca /	kretAraH ca-eva BANxAnAm pratigrAhiNaH eva ca /
   samadaṇḍāḥ smṛtā hy ete ye ca pracchādayanti tān // K_827 //	sama-daNxAH smRtAH hi ete ye ca pracCAdayanti tAn // K_827 //
   avidvān yājako vā syāt pravaktā cānavasthitaḥ /	avidvAn yAjakaH vA syAt pravaktA ca-anavasTitaH /
   tau ubhau coradaṇḍena vinīya sthāpayet pathi // K_828 //	tO uBO cora-daNxena vinIya sTApayet paTi // K_828 //
   [strīsaṃgrahaṇam]	[strI-saMgrahaNam]
   dūtopacārayuktaś ced avelāsthānasaṃsthitiḥ /	dUta-upacAra-yuktaH ced avelA-sTAna-saMsTitiH /
   kṇṭhakeśāṇ calagrāhaḥ karṇanāsākarādiṣu /	kNWa-keSAN cala-grAhaH karNa-nAsA-kara-Adizu /
   ekasthānāsanāhārāḥ saṃgraho navadhā smṛtaḥ // K_829 //	eka-sTAna-Asana-AhArAH saMgrahaH navaDA smRtaH // K_829 //
   strīṣu vṛttopabhogaḥ syāt prasahya puruṣo yadā /	strIzu vRtta-upaBogaH syAt prasahya puruzaH yadA /
   vadhe tatra pravarteta kāryātikramaṇaṃ hi tat // K_830 //	vaDe tatra pravarteta kArya-atikramaNam hi tat // K_830 //
   kāmārtā svairiṇī yā tu svayam eva prakāmayet /	kAma-ArtA svEriNI yA tu svayam eva prakAmayet /
   rājādeśena moktavyā vikhyāpya janasaṃnidhau // K_831 //	rAja-AdeSena moktavyA viKyApya jana-saMniDO // K_831 //
   ārambhakṛtsahāyaś ca tathā mārgānudeśakaḥ /	AramBa-kRt-sahAyaH ca taTA mArga-anudeSakaH /
   āśrayaḥ śastradātā ca bhaktadātā vikarmiṇām // K_832 //	ASrayaH Sastra-dAtA ca Bakta-dAtA vikarmiNAm // K_832 //
   yuddhopadeśakaś caiva tadvināśapradarśakaḥ /	yudDa-upadeSakaH ca-eva tad-vinASa-pradarSakaH /
   upekṣākāryayuktaś ca doṣavaktranumokakaḥ // K_833 //	upekzA-kArya-yuktaH ca doza-vaktra-numokakaH // K_833 //
   aniṣeddhākṣamo yaḥ syāt sarve tatkāryakāriṇaḥ /	anizedDa-akzamaH yaH syAt sarve tad-kArya-kAriNaH /
   yathāśaktyanurūpaṃ tu daṇḍam eṣāṃ prakalpayet // K_834 //	yaTASakti-anurUpam tu daNxam ezAm prakalpayet // K_834 //
   [strīpuṃdharmaḥ]	[strI-puMDarmaH]
   patyā cāpy aviyoginyā śuśrūṣyo 'gnir vinītayā /	patyA ca-api aviyoginyA SuSrUzyaH agniH vinItayA /
   saubhāgyavad avvaidhavya- kāmyayā bhartṛbhaktayā // K_835 //	sOBAgya-vat avvEDavya kAmyayA BartR-BaktayA // K_835 //
   matiśuśrūṣayaiva strī sarvān kāmān samaśnute /	mati-SuSrUzayA-eva strI sarvAn kAmAn samaSnute /
   divaḥ punar ihāyātā sukhānāṃ śevadhir bhavet // K_836 //	divaH punar iha-AyAtA suKAnAm SevaDiH Bavet // K_836 //
   mṛte bhartari yā sādhvī brahmacarye vyavasthitā /	mRte Bartari yA sADvI brahmacarye vyavasTitAH /
   sārundhatīsamācārā brahmaloke mahīyate // K_837 //	sa-arunDatI-sama-AcArA brahma-loke mahIyate // K_837 //
   [dāyavibhāgaḥ]	[dAya-viBAgaH]
   sakalaṃ dravyajātaṃ yad bhāgair gṛhṇanti tat samaiḥ /	sakalam dravya-jAtam yat BAgEH gRhNanti tat samEH /
   pitaro bhrātaraś caiva vibhāgo dharmya ucyate // K_838 //	pitaraH BrAtaraH ca-eva viBAgaH DarmyaH ucyate // K_838 //
   paitāmahaṃ samānaṃ syāt pituḥ putrasya cobhayoḥ /	pEtAmaham samAnam syAt pituH putrasya ca-uBayoH /
   svayaṃ copārjite pitrā na putraḥ svāmyam arhati // K_839 //	svayam ca-upArjite pitrA na putraH svAmyam arhati // K_839 //
   paitāmahaṃ ca pitryaṃ ca yac cānyat svayam arjitam /	pEtAmaham ca pitryam ca yat ca-anyat svayam arjitam /
   dāyādānāṃ vibhāge tu sarvam etad vibhajyate // K_840 //	dAyAdAnAm viBAge tu sarvam etat viBajyate // K_840 //
   dṛśyamānaṃ vibhajyeta gṛhaṃ kṣetraṃ catuṣpadam /	dRSyamAnam viBajyeta gRham kzetram catuzpadam /
   gūḍhadravyābhiśaṅkāyāṃ pratyayas tatra kīrtitaḥ // K_841 //	gUXa-dravya-aBiSaFkAyAm pratyayaH tatra kIrtitaH // K_841 //
   gṛhopaskaravāhyāś ca dohyābharaṇakarmiṇaḥ /	gRha-upaskara-vAhyAH ca dohya-ABaraNa-karmiNaH /
   dṛśyamānā vibhajyante kośaṃ gūḍhe 'bravīd bhṛguḥ // K_842 //	dRSyamAnAH viBajyante koSam gUXe abravIt BRguH // K_842 //
   jīvadvibhāge tu pitā naikaṃ putraṃ viśeṣayet /	jIvat-viBAge tu pitA na-ekam putram viSezayet /
   nirbhājayen na caivaikam akasmāt kāraṇaṃ vinā // K_843 //	nirBAjayet na ca-eva-ekam akasmAt kAraNam vinA // K_843 //
   saṃprāptavyavahārāṇāṃ vibhāgaś ca vidhīyate /	saMprApta-vyavahArANAm viBAgaH ca viDIyate /
   puṃsāṃ ca ṣoḍaśe varṣe jāyate vyavahāritā // K_844 //	puMsAm ca zoxaSe varze jAyate vyavahAritA // K_844 //
   aprāptavyavahārāṇāṃ ca dhanaṃ vyayavivarjitam /	aprApta-vyavahArANAm ca Danam vyaya-vivarjitam /
   nyaseyur bandhumitreṣu proṣitānāṃ tathaiva ca // K_845:1 //	nyaseyuH banDu-mitrezu prozitAnAm taTA-eva ca // K_845:1 //
   proṣitasya tu yo bhāgo rakṣeyuḥ sarva eva tam /	prozitasya tu yaH BAgaH rakzeyuH sarve eva tam /
   bālaputre mṛte rikthaṃ rakṣyaṃ tat tantubandhubhiḥ /	bAla-putre mRte rikTam rakzyam tat tantu-banDuBiH /
   paugaṇḍāḥ paratas taṃ tu vibhajeran yathāṃśataḥ // K_845:2 //	pOgaNxAH paratas tam tu viBajeran yaTA-aMSataH // K_845:2 //
   bhrātrā pitṛvyamātṛbhyāṃ kuṭumbārtham ṛṇaṃ kṛtam /	BrAtrA pitRvya-mAtRByAm kuwumba-arTam RNam kRtam /
   vibhāgakāle deyaṃ tad- rikthibhiḥ sarvam eva tu // K_846 //	viBAga-kAle deyam tad rikTiBiH sarvam eva tu // K_846 //
   tad ṛṇaṃ dhanine deyaṃ nānyathaiva pradāpayet /	tat RNam Danine deyam na-anyaTA-eva pradApayet /
   bhāvitaṃ cet pramāṇena virodhāt parato yadā // K_847 //	BAvitam ced pramANena viroDAt paratas yadA // K_847 //
   dharmārthaṃ prītidattaṃ ca yad ṛṇaṃ syān niyojitam /	Darma-arTam prIti-dattam ca yat RNam syAt niyojitam /
   tad dṛśyamānaṃ vibhajen na dānaṃ paitṛkād dhanāt // K_848 //	tat dRSyamAnam viBajet na dAnam pEtRkAt DanAt // K_848 //
   pitryaṃ pitryarṇasaṃśuddham ātmīyaṃ cātmanā kṛtam /	pitryam pitrya-RNa-saMSudDam AtmIyam ca-AtmanA kRtam /
   ṛṇam evaṃvidhaṃ śodhyaṃ vibhāge bandhubhiḥ saha // K_849 //	RNam evaMviDam SoDyam viBAge banDuBiH saha // K_849 //
   ṛṇaṃ prītipradānaṃ ca dattvā śeṣaṃ vibhājayet // K_850 //	RNam prIti-pradAnam ca dattvA Sezam viBAjayet // K_850 //
   dvyaṃśaharo 'rdhaharo vā putravittārjanāt pitā /	dvi-aMSa-haraH arDa-haraH vA putra-vitta-arjanAt pitA /
   mātāpi pitari prete putratulyāṃśabhāginī // K_851 //	mAtA-api pitari prete putra-tulya-aMSa-BAginI // K_851 //
   yathā yathā vibhāgāptaṃ dhanaṃ yāgārthatām iyāt /	yaTA yaTA viBAga-Aptam Danam yAga-arTa-tAm iyAt /
   tathā tathā vidhātavyaṃ vidvadbhir bhāgagauravam // K_852 //	taTA taTA viDAtavyam vidvadBiH BAga-gOravam // K_852 //
   loke rikthavibhāge 'pi na kaścit prabhutām iyāt /	loke rikTa-viBAge api na kaScid praBu-tAm iyAt /
   bhoga eva tu kartavyo na dānaṃ na ca vikrayaḥ // K_853 //	BogaH eva tu kartavyaH na dAnam na ca vikrayaH // K_853 //
   vibhaktā avibhaktā vā dāyādāḥ sthāvare samāḥ /	viBaktAH aviBaktAH vA dAyAdAH sTAvare samAH /
   eko hy anīśaḥ sarvatra dānādhamanavikraye // K_854 //	ekaH hi anISaH sarvatra dAna-ADamana-vikraye // K_854 //
   avibhakte 'nuje prete tat sutaṃ rikthabhāginam /	aviBakte anuje prete tat sutam rikTa-BAginam /
   kurvīta jīvanaṃ yena labdhaṃ naiva pitāmahāt // K_855 //	kurvIta jIvanam yena labDam na-eva pitAmahAt // K_855 //
   labhetāṃśaṃ sa pitryaṃ tu pitṛvyāt tasya vā sutāt /	laBeta-aMSam sa pitryam tu pitRvyAt tasya vA sutAt /
   sa evāṃśas tu sarveṣā bhrātṝṇāṃ nyāyato bhavet /	saH eva-aMSaH tu sarvezA BrAtLNAm nyAyataH Bavet /
   labheta tat suto vāpi nivṛttiḥ parato bhavet // K_856 //	laBeta tat sutaH vA-api nivRttiH paratas Bavet // K_856 //
   utpanne caurase putre caturthāṃśaharāḥ sutāḥ /	utpanne ca-Orase putre caturTa-aMSa-harAH sutAH /
   savarṇā asavarṇās tu grāsācchādanabhājanāḥ // K_857 //	savarNAH asavarNAH tu grAsa-AcCAdana-BAjanAH // K_857 //
   kanyakānāṃ tv adattānāṃ caturto bhāga iṣyate /	kanyakAnAm tu adattAnAm caturtaH BAgaH izyate /
   putrāṇāṃ tu trayo bhāgāḥ sāmyaṃ tv alpadhane smṛtam // K_858 //	putrANAm tu trayaH BAgAH sAmyam tu alpa-Dane smRtam // K_858 //
   kṣetrikasya matenāpi phalam utpādayet tu yaḥ /	kzetrikasya matena-api Palam utpAdayet tu yaH /
   tasyeha bhāginau tau tu na phalaṃ hi vinaikataḥ // K_859 //	tasya-iha BAginO tO tu na Palam hi vinA-ekataH // K_859 //
   klībaṃ vihāya patitaṃ yā punar labhate patim /	klIbam vihAya patitam yA punar laBate patim /
   tasyāṃ paunarbhavo jāto vyaktam utpādakasya saḥ // K_860 //	tasyAm pOnarBavaH jAtaH vyaktam utpAdakasya saH // K_860 //
   na mūtraṃ phenilaṃ yasya viṣṭhā cāpsu nimajjati /	na mUtram Penilam yasya vizWA ca-apsu nimajjati /
   meḍhraś conmādaśukrābhyāṃ hīnaḥ klībaḥ sa ucyate // K_861 //	meXraH ca-unmAda-SukrAByAm hInaH klIbaH saH ucyate // K_861 //
   akramoḍhāsutaś caiva sagotrādyas tu jāyate /	akrama-UXA-sutaH ca-eva sagotra-AdyaH tu jAyate /
   pravrajyāvasitaś caiva na rikthaṃ teṣu cārhati // K_862 //	pravrajyA-vasitaH ca-eva na rikTam tezu ca-arhati // K_862 //
   akramoḍhāsutas tv ṛkthī savarṇaś ca yadā pituḥ /	akrama-UXA-sutaH tu RkTI savarNaH ca yadA pituH /
   asavarṇaprasūtaś ca kramoḍhāyāṃ ca yo bhavet // K_863 //	asavarNa-prasUtaH ca krama-UXAyAm ca yaH Bavet // K_863 //
   pratilomaprasūtā yā tasyāḥ putro na rikthabhāk /	pratiloma-prasUtA yA tasyAH putraH na rikTa-BAj /
   grāsācchādanam atyantaṃ deyaṃ tadbandhubhir matam // K_864 //	grAsa-AcCAdanam atyantam deyam tad-banDuBiH matam // K_864 //
   bandhūnām apy abhāve tu pitṛdravyaṃ tad āpnuyāt /	banDUnAm api aBAve tu pitR-dravyam tat ApnuyAt /
   apitryaṃ draviṇaṃ prāptaṃ dāpanīyā na bāndhavāḥ // K_865 //	apitryam draviNam prAptam dApanIyAH na bAnDavAH // K_865 //
   [avibhājyāni]	[aviBAjya-ani]
   svaśaktyapahṛtaṃ naṣṭaṃ svayam āptaṃ ca yad bhavet /	sva-Sakti-apahRtam nazwam svayam Aptam ca yat Bavet /
   etat sarvaṃ pitā putrair vibhāge naiva dāpyate // K_866 //	etat sarvam pitA putrEH viBAge na-eva dApyate // K_866 //
   parabhaktopayogena vidyā prāptān yatas tu yā /	para-Bakta-upayogena vidyA prAptAn yatas tu yA /
   tayā prāptaṃ dhanaṃ yat tu vidyāprāptaṃ tad ucyate // K_867 //	tayA prAptam Danam yat tu vidyA-prAptam tat ucyate // K_867 //
   upanyaste tu yal labdhaṃ vidyayā paṇapūrvakam /	upanyaste tu yat labDam vidyayA paNa-pUrvakam /
   vidyādhanaṃ tu tad vidyād vibhāge na vibhajyate // K_868 //	vidyA-Danam tu tat vidyAt viBAge na viBajyate // K_868 //
   śiṣyād ārtvijyataḥ praśnāt saṃdigdhapraśnanirṇayāt /	SizyAt ArtvijyataH praSnAt saMdigDa-praSna-nirNayAt /
   svajñānaśaṃsanād vādāl labdhaṃ prādhyayanāc ca yat /	sva-jQAna-SaMsanAt vAdAt labDam prADyayanAt ca yat /
   vidyādhanaṃ tu tat prāhur vibhāge na vibhajyate // K_869 //	vidyA-Danam tu tat prAhuH viBAge na viBajyate // K_869 //
   śilpiṣv api hi dharmo 'yaṃ mūlyāc yac cādhikaṃ bhavet // K_870 //	Silpizu api hi DarmaH ayam mUlyAt yat ca-aDikam Bavet // K_870 //
   paraṃ nirasya yal labdhaṃ vidyāto dyūtapūrvakam /	param nirasya yat labDam vidyAtaH dyUta-pUrvakam /
   vidyādhanaṃ tu tad vidyān na vibhājyaṃ bṛhaspatiḥ // K_871 //	vidyA-Danam tu tat vidyAt na viBAjyam bRhaspatiH // K_871 //
   vidyāpratijñayā labdhaṃ śiṣyād āptaṃ ca yad bhavet /	vidyA-pratijQayA labDam SizyAt Aptam ca yat Bavet /
   ṛtviṅnyāyena yal labdham etad vidyādhanaṃ bhṛguḥ // K_872 //	Rtvij-nyAyena yat labDam etat vidyA-Danam BRguH // K_872 //
   vidyābalakṛtaṃ caiva yājyataḥ śiṣyatas tathā /	vidyA-bala-kRtam ca-eva yAjyataH SizyataH taTA /
   etad vidyādhanaṃ prāhuḥ sāmānyaṃ yad ato 'nyathā // K_873 //	etat vidyA-Danam prAhuH sAmAnyam yat atas anyaTA // K_873 //
   kule vinītavidyānāṃ bhrātṝṇāṃ pitṛto 'pi vā /	kule vinIta-vidyAnAm BrAtLNAm pitRtaH api vA /
   śauryaprāptaṃ tu yad vittaṃ vibhājyaṃ tad bṛhaspatiḥ // K_874 //	SOrya-prAptam tu yat vittam viBAjyam tat bRhaspatiH // K_874 //
   nāvidyānāṃ tu vaidyena deyaṃ vidyādhanāt kvacit /	na-avidyAnAm tu vEdyena deyam vidyA-DanAt kvacid /
   samavidyādhikānāṃ tu deyaṃ vaidyena tad dhanam // K_875 //	sama-vidyA-aDikAnAm tu deyam vEdyena tat Danam // K_875 //
   āruhya saṃśayaṃ yatra prasabhaṃ karma kurvate /	Aruhya saMSayam yatra prasaBam karma kurvate /
   tasmin karmaṇi tuṣṭena prasādaḥ svāminā kṛtaḥ /	tasmin karmaNi tuzwena prasAdaH svAminA kRtaH /
   tatra labdhaṃ tu yat kiñcit dhanaṃ śauryeṇa tad bhavet // K_876 //	tatra labDam tu yat kiQcid Danam SOryeNa tat Bavet // K_876 //
   śauryaprāptaṃ vidyayā ca strīdhanaṃ caiva yat smṛtam /	SOrya-prAptam vidyayA ca strIDanam ca-eva yat smRtam /
