   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   ityetāḥ kuṭilatarāḥ krūrācārā gatatrapāścapalāḥ &	iti-etAH kuwilatarAH krUra-AcArAH gata-trapAH-ca-palAH &
   yo nāma vetti sa strībhirnaiva vañcyate matimān // 3.76 //	yaH nAma vetti sa strIBiH-na-eva vaQcyate matimAn // 3.76 //
   sargaḥ 4	sargaH 4
   tatrāpi veśayoṣāḥ kuṭilatarāḥ kūṭarāgahṛtalokāḥ &	tatra-api veSa-yozAH kuwilatarAH kUwa-rAga-hRta-lokAH &
   kapaṭacaritena yāsāṃ vaiśravaṇaḥ śramaṇatāmeti // 4.1 //	kapawa-caritena yAsAm vESravaNaH SramaNa-tAm-eti // 4.1 //
   hāriṇyaścaṭulatarā bahulataraṅgāśca nimnagāminyaḥ &	hAriNyaH-cawulatarAH bahula-taraFgAH-ca nimna-gAminyaH &
   nadya iva jaladhimadhye veśyāhṛdaye kalāścatuḥṣaṣṭiḥ // 4.2 //	nadyaH iva jalaDi-maDye veSyA-hRdaye kalAH-catuHzazwiH // 4.2 //
   veśakalā nṛtyakalā gītakalā vakravīkṣaṇakalā ca &	veSa-kalA nRtya-kalA gIta-kalA vakra-vIkzaNa-kalA ca &
   kāmaparijñānakalā grahaṇakalā mitravañcanakalā ca // 4.3 //	kAma-parijQAna-kalA grahaNa-kalA mitra-vaQcana-kalA ca // 4.3 //
   pānakalā kelikalā suratakalāliṅganāntarakalā ca &	pAna-kalA keli-kalA surata-kalA-AliFgana-antara-kalA ca &
   cumbanakalā parakalā nirlajjāvegasaṃbhramakalā ca // 4.4 //	cumbana-kalA para-kalA nirlajjA-vega-saMBrama-kalA ca // 4.4 //
   īrṣyākalikelikalā ruditakalā mānasaṃkṣayakalā ca &	IrzyA-kali-keli-kalA rudita-kalA mAna-saMkzaya-kalA ca &
   svedabhramakampakalā punarekāntaprasādhanakalā // 4.5 //	sveda-Brama-kampa-kalA punar-ekAnta-prasADana-kalA // 4.5 //
   netranimīlananiḥsahanispandakalā mṛtopamakalā ca &	netra-nimIlana-niHsaha-nispanda-kalA mRta-upama-kalA ca &
   virahāsaharāgakalā kopapratiṣedhaniścayakalā ca // 4.6 //	viraha-asa-harAga-kalA kopa-pratizeDa-niScaya-kalA ca // 4.6 //
   nijajananīkalahakalā sadgṛhagamanotsavekṣaṇakalā ca &	nija-jananI-kalaha-kalA sat-gRha-gamana-utsava-IkzaNa-kalA ca &
   haraṇakalā jātikalā kelikalā caurapārthivakalā ca // 4.7 //	haraNa-kalA jAti-kalA keli-kalA cOra-pArTiva-kalA ca // 4.7 //
   gauravaśaithilyakalā niṣkāraṇadoṣabhāṣaṇakalā ca &	gOrava-SETilya-kalA nizkAraNa-doza-BAzaNa-kalA ca &
   śūlakalābhyaṅgakalā nidrākṣirajasvalāmbarakalā ca // 4.8 //	SUla-kalA-aByaFga-kalA nidrA-akzi-rajasvala-ambara-kalA ca // 4.8 //
   rūkṣakalā tīkṣṇakalā galahastagṛhārgalārpaṇakalā ca &	rUkza-kalA tIkzNa-kalA gala-hasta-gRha-argala-arpaNa-kalA ca &
   saṃtyaktakāmukāhṛtidarśanayātrāstutikalā ca // 4.9 //	saMtyakta-kAmuka-AhRti-darSana-yAtrA-stuti-kalA ca // 4.9 //
   tīrthopavanasurālayaviharaṇahelākalā gṛhakalā ca &	tIrTa-upavana-surAlaya-viharaNa-helAkalA gRhakalA ca &
   vaśyauṣadhamantrakalā vṛkṣakalā keśarañjanakalā ca // 4.10 //	vaSya-OzaDa-mantra-kalA vRkza-kalA keSa-raQjana-kalA ca // 4.10 //
   bhikṣukatāpasabahuvidhapuṇyakalā dvīpadarśanakalā ca &	Bikzuka-tApasa-bahuviDa-puNya-kalA dvIpa-darSana-kalA ca &
   khinnā kalātriṣaṣṭyā paryante kuṭṭanīkalā veśyā // 4.11 //	KinnA kalA-trizazwyA paryante kuwwanI-kalA veSyA // 4.11 //
   ajñātanāmavarṇeṣu ātmāpi yayārpyate dhanāṃśena &	ajQAta-nAma-varNezu AtmA-api yayA-Arpyate Dana-aMSena &
   tasyā api sadbhāvaṃ mṛgayante moghasaṃkalpāḥ // 4.12 //	tasyAH api sadBAvam mRgayante moGa-saMkalpAH // 4.12 //
   nikhilajanavañcanārjita malinadhanaṃ rāgadagdhahrdayānām &	niKila-jana-vaQcana-arjita malina-Danam rAga-dagDa-hrdayAnAm &
   khādati guṇagaṇabhagno nagno hīno 'thavā kaścit // 4.13 //	KAdati guNa-gaNa-BagnaH nagnaH hInaH aTavA kaScid // 4.13 //
   nīcasturagāroho hastipakaḥ khalataro 'thavā śilpī &	nIcaH-turaga-ArohaH hastipakaH KalataraH aTavA SilpI &
   vañcitasakalajanānāṃ tāsāmapi vallabho bhavati // 4.14 //	vaQcita-sakala-janAnAm tAsAm-api vallaBaH Bavati // 4.14 //
   rājā vikramasiṃho balavadbhirbhūmipaiḥ purā vijitaḥ &	rAjA vikramasiMhaH balavadBiH-BUmipEH purA vijitaH &
   mānī yayau vidarbhānguṇayaśasā mantriṇā sahitaḥ // 4.15 //	mAnI yayO vidarBAn-guNa-yaSasA mantriNA sahitaH // 4.15 //
   tatra sa veśyābhavanaṃ praviśya bhuvi viśrutāṃ vilāsavatīm &	tatra sa veSyA-Bavanam praviSya Buvi viSrutAm vilAsavatIm &
   bheje gaṇikāṃ bahudhanabhogyām apy alpavibhavo 'pi // 4.16 //	Beje gaNikAm bahu-Dana-BogyAm api alpa-viBavaH api // 4.16 //
   taṃ rājalakṣaṇocitabhājanānubhujaṃ vilokyapṛthusattvam &	tam rAja-lakzaNa-ucita-BAjana-anuBujam vilokya-pRTu-sattvam &
   vividhamaṇikanakakoṣaṃ cakre sā tadvyayādhīnam // 4.17 //	viviDa-maNi-kanaka-kozam cakre sA tad-vyaya-aDInam // 4.17 //
   sahajamanurāgamadrutam aucityaṃ vīkṣya bhūpatis tasyāḥ &	sahajam-anurAgama-drutam Ocityam vIkzya BUpatiH tasyAH &
   vismayavivaśaḥ premṇā jagāda vijane mahāmātmyam // 4.18 //	vismaya-vivaSaH premNA jagAda vijane mahAmAtmyam // 4.18 //
   citramiyaṃ bahu vittaṃ kṣapayati veśyāpi matkṛte tṛṇavat &	citram-iyam bahu vittam kzapayati veSyA-api mad-kRte tRNa-vat &
   prītipadavīvisṛṣṭo veśyānāṃ dhananibandhano rāgaḥ // 4.19 //	prIti-padavI-visRzwaH veSyAnAm Dana-nibanDanaH rAgaH // 4.19 //
   mithyā dhanalavalobhād anurāgaṃ darśayanti bandhakyaḥ &	miTyA Dana-lava-loBAt anurAgam darSayanti banDakyaH &
   tadapi dhanaṃ visṛjati yā kastasyāḥ premṇi saṃdehaḥ // 4.20 //	tat-api Danam visRjati yA kaH-tasyAH premNi saMdehaH // 4.20 //
   iti vacanaṃ bhūmipateḥ śrutvā vihasya sāsūyaḥ &	iti vacanam BUmipateH SrutvA vihasya sa-asUyaH &
   tamuvāca kasya rājan veśyācarite 'sti viśvāsaḥ // 4.21 //	tam-uvAca kasya rAjan veSyA-Acarite asti viSvAsaH // 4.21 //
   etāḥ satyavihīnā dhanalavalīnāḥ sukhakṣaṇādhīnāḥ &	etAH satya-vihInAH Dana-lava-lInAH suKa-kzaNa-aDInAH &
   veśyā viśanti hṛdayaṃ mukhamadhurā nirvicārāṇām // 4.22 //	veSyAH viSanti hRdayam muKa-maDurAH nirvicArANAm // 4.22 //
   prathamasamāgamasukhadā madhye vyasanapravāsakāriṇyaḥ &	praTama-samAgama-suKa-dAH maDye vyasana-pravAsa-kAriNyaH &
   paryante duḥkhaphalāḥ puṃsāmāśāśca veśyāśca // 4.23 //	paryante duHKa-PalAH puMsAm-ASAH-ca veSyAH-ca // 4.23 //
   adyāpi hariharādibhiḥ amarairapi tattvato na vijñātāḥ &	adya-api hari-hara-AdiBiH amarEH-api tattvataH na vijQAtAH &
   bhramavibhramabahumohā veśyāḥ saṃsāramāyāśca // 4.24 //	Brama-viBrama-bahu-mohAH veSyAH saMsAra-mAyAH-ca // 4.24 //
   iti sacivavaco nṛpatiḥ śrutvā kṛtvā ca saṃvidaṃ tena &	iti saciva-vacaH nRpatiH SrutvA kRtvA ca saMvidam tena &
   mithyāmṛtamātmānaṃ cakre veśyāparīkṣāyai // 4.25 //	miTyA-amRtam-AtmAnam cakre veSyA-parIkzAyE // 4.25 //
   tasminkuṇapaśarīre vinyaste mantriṇā cittāvahnau &	tasmin-kuNapa-SarIre vinyaste mantriNA cittOvahnO &
   sahasaiva vilāsavatī vahnibhuvaṃ bhūṣitā prayayau // 4.26 //	sahasA-eva vilAsavatI vahni-Buvam BUzitA prayayO // 4.26 //
   tāṃ prabalajvalitojjvalavahnijvālānipātasāvegām &	tAm prabala-jvalita-ujjvala-vahni-jvAlA-nipAta-sAvegAm &
   dorbhyāmāliṅgya nṛpo jīvāmītyabhidhānmuditaḥ // 4.27 //	dorByAm-AliFgya nRpaH jIvAmi-iti-aBiDAt-muditaH // 4.27 //
   tattasyāḥ prema dṛḍhaṃ satyaṃ ca vicārya saṃbhṛtasnehaḥ &	tat-tasyAH prema dRXam satyam ca vicArya saMBRta-snehaH &
   rājā nininda mantriṇam asakṛdveśyaguṇābhimukhaḥ // 4.28 //	rAjA nininda mantriNam asakRt-veSya-guNa-aBimuKaH // 4.28 //
   atha veśyādhanasaṃcayamātmādhīnaṃ mahīpatir vipulam &	aTa veSyA-Dana-saMcayam-Atma-aDInam mahIpatiH vipulam &
   ādāya gajaturaṃgamabhaṭavikaṭāmādade senām // 4.29 //	AdAya gaja-turaMgama-Bawa-vikawAm-Adade senAm // 4.29 //
   sambhṛtavipulabalaughaiḥ jitvā vasudhādhipānsa bhūpālaḥ &	samBRta-vipula-bala-oGEH jitvA vasuDADipAn-sa BUpAlaH &
   nijamāsasāda maṇḍalam indurivānandakṛtpūrṇaḥ // 4.30 //	nijam-AsasAda maNxalam induH-iva-Ananda-kRt-pUrNaH // 4.30 //
   sā cāntaḥpurakāntāmūrdhni kṛtvā bhūbhujā vilāsavatī &	sA ca-antaHpura-kAntA-mUrDni kRtvA BUBujA vilAsavatI &
   śuśubhe śrīriva cāmarapavanākulitālakā tanvī // 4.31 //	SuSuBe SrIH-iva cAmara-pavana-Akulita-alakA tanvI // 4.31 //
   sātha kadācinnarapatimekānte viracitāñjaliḥ praṇatā &	sA-aTa kadAcid-narapatim-ekAnte viracita-aQjaliH praNatAH &
   ūce nātha mayā tvaṃ kalpataruḥ sevitaściraṃ dāsyā // 4.32 //	Uce nATa mayA tvam kalpataruH sevitaH-ciram dAsyAH // 4.32 //
   yadi nāma kutracidahaṃ yātā te hetutāṃ vibho lakṣmyāḥ &	yadi nAma kutracid-aham yAtA te hetu-tAm viBo lakzmyAH &
   tanmama saphalāmāśāmarhasi kartuṃ prasādena // 4.33 //	tat-mama saPalAm-ASAm-arhasi kartum prasAdena // 4.33 //
   puṇyaphalaprāpyānāṃ hṛtapararajasāṃ svabhāvavimalānām &	puNya-Pala-prApyAnAm hRta-para-rajasAm svaBAva-vimalAnAm &
   tīrthānāmiva mahatāṃ na hi nāma samāgamo viphalaḥ // 4.34 //	tIrTAnAm-iva mahatAm na hi nAma samAgamaH viPalaH // 4.34 //
   abhavanmama ko'pi yuvā dayito dhanajīvitādhikaḥ praṇayī &	aBavat-mama kaH-api yuvA dayitaH Dana-jIvita-aDikaH praNayI &
   baddhaḥ sa vidarbhapure daivavaśāccorarūpeṇa // 4.35 //	badDaH sa vidarBa-pure dEva-vaSAt-cora-rUpeNa // 4.35 //
   tanmuktaye mayā tvaṃ śaktataraḥ sevito mahīnāthaḥ &	tad-muktaye mayA tvam SaktataraH sevitaH mahInATaH &
   adhunā kriyatāmucitaṃ sattvasya kulasya śauryasya // 4.36 //	aDunA kriyatAm-ucitam sattvasya kulasya SOryasya // 4.36 //
   iti vañcanāmavāpto vismita iva tadvaco nṛpaḥ śrutvā &	iti vaQcanAm-avAptaH vismitaH iva tat-vacaH nRpaH SrutvA &
   suciraṃ vilokya vasudhāṃ sasmārāmātyavacanaṃ saḥ // 4.37 //	su-ciram vilokya vasuDAm sa-smAra-amAtya-vacanam saH // 4.37 //
   atha tāṃ tathaiva rājāśvāsya vidarbheṣu bhūbhujaṃ jitvā &	aTa tAm taTA-eva rAja-ASvAsya vidarBezu BUBujam jitvA &
   bandhanamuktenāsyāścoreṇa samāgamaṃ cakre // 4.38 //	banDanamuktena-asyAH-coreNa samAgamam cakre // 4.38 //
   ityevaṃ bahuhṛdayā bahujihvā bahukarāśca bahumāyāḥ &	iti-evam bahu-hRdayAH bahu-jihvA bahu-karAH-ca bahu-mAyAH &
   tattvena satyarahitāḥ ko jānāti sphuṭaṃ veśyāḥ // 4.39 //	tattvena satya-rahitAH kaH jAnAti sPuwam veSyAH // 4.39 //
   varṇanadayitaḥ kaściddhanadayito dāsakarmadayito'nyaḥ &	varNa-nadayitaH kaScid-Dana-dayitaH dAsa-karma-dayitaH-anyaH &
   rakṣādayitaścānyo veśyānāṃ narmadayito'nyaḥ // 4.40 //	rakzA-dayitaH-ca-anyaH veSyAnAm narma-dayitaH-anyaH // 4.40 //
   sargaḥ 5	sargaH 5
   moho nāma janānāṃ sarvaharo harati buddhimevādau &	mohaH nAma janAnAm sarva-haraH harati budDim-evAdO &
   gūḍhataraḥ sa ca nivasati kāyasthānāṃ mukhe ca lekhe ca // 5.1 //	gUXataraH sa ca nivasati kAyasTAnAm muKe ca leKe ca // 5.1 //
   raudrakalā iva pūrṇā niṣpannā sasyasaṃpattiḥ &	rOdra-kalA iva pUrNA nizpannA sasya-saMpattiH &
   grastā kṣaṇena dṛṣṭā niḥśeṣā divirarāhukalayeva // 5.2 //	grastA kzaNena dRzwA niHSezAH divira-rAhu-kalayA-iva // 5.2 //
   jñātāḥ saṃsārakalā yogibhirapayātarāgasaṃmohaiḥ &	jQAtAH saMsAra-kalA yogiBiH-apayAta-rAga-saMmohEH &
   na jñātā divirakalā kenāpi bahuprayatnena // 5.3 //	na jQAtA divirakalA kena-api bahu-prayatnena // 5.3 //
   kūṭakalāśataśibiraiḥ janadhanavivaraiḥ kṣayakṣapātimiraiḥ &	kUwa-kalA-Sata-SibirEH jana-Dana-vivarEH kzaya-kzapA-timirEH &
   diviraireva samastā grastā janatā na kālena // 5.4 //	divirEH-eva samastAH grastAH janatA na kAlena // 5.4 //
   ete hi kālapuruṣāḥ pṛthutaradaṇḍaprapātahatalokāḥ &	ete hi kAla-puruzAH pRTutara-daNxa-prapAta-hata-lokAH &
   gaṇanāgaṇanapiśācāḥ caranti bhūrjadhvajā loke // 5.5 //	gaNanA-gaNana-piSAcAH caranti BUrja-DvajAH loke // 5.5 //
   kasteṣāṃ viśvāsaṃ yamamahiṣaviṣāṇakoṭikuṭilānām &	kaH-tezAm viSvAsam yama-mahiza-vizANa-kowi-kuwilAnAm &
   vrajati na yasya viṣaktaḥ kaṇṭhe pāśaḥ kṛtāntena // 5.6 //	vrajati na yasya vizaktaH kaNWe pASaH kRtAntena // 5.6 //
   kalamāgranirgatamaṣī binduvyājena sāñjanāśrukaṇaiḥ &	kalama-agra-nirgata-mazI bindu-vyAjena sa-aQjana-aSru-kaNEH &
   kāyasthakhanyamānā roditi khinneva rājyaśrīḥ // 5.7 //	kAyasTa-KanyamAnA roditi KinnA-iva rAjya-SrIH // 5.7 //
   aṅkanyāsairviṣamaiḥ māyāvanitālakāvalīkuṭilaiḥ &	aFka-nyAsEH-vizamEH mAyA-vanitAlaka-AvalI-kuwilEH &
   ko nāma jagati racitaiḥ kāyasthairmohito na janaḥ // 5.8 //	kaH nAma jagati racitEH kAyasTEH-mohitaH na janaH // 5.8 //
   māyāprapañcasaṃcayavañcitaviśvairvināśitaḥ satatam &	mAyA-prapaQca-saMcaya-vaQcita-viSvEH-vinASitaH satatam &
   viṣayagrāmagrāsaiḥ kāyasthairindriyairlokaḥ // 5.9 //	vizaya-grAma-grAsEH kAyasTEH-indriyEH-lokaH // 5.9 //
   kuṭilā lipivinyāsā dṛśyante kālapāśasaṃkāśāḥ &	kuwilAH lipi-vinyAsAH dRSyante kAla-pASa-saMkASAH &
   kāyasthabhūrjaśikhare maṇḍalalīnā iva vyālāḥ // 5.10 //	kAyasTa-BUrja-SiKare maNxala-lInAH iva vyAlAH // 5.10 //
   ete hi citraguptāḥ citradhiyo guptahāriṇo divirāḥ &	ete hi citraguptAH citra-DiyaH gupta-hAriNaH divirAH &
   rekhāmātravināśāt sahitaṃ kurvanti ye rahitam // 5.11 //	reKA-mAtra-vinASAt sahitam kurvanti ye rahitam // 5.11 //
   loke kalāḥ prasiddhāḥ svalpatarāḥ saṃcaranti divirāṇām &	loke kalAH prasidDAH svalpatarAH saMcaranti divirANAm &
   gūḍhakalāḥ kila teṣāṃ jānāti kaliḥ kṛtānto vā // 5.12 //	gUXa-kalAH kila tezAm jAnAti kaliH kRtAntaH vA // 5.12 //
   vakralipinyāsakalā sakalāṅkanimīlanakalā &	vakra-lipi-nyAsakalA sakala-aFka-nimIlana-kalA &
   satatapraveśasaṃgrahalopakalā vyayavivardhanakalā ca // 5.13 //	satata-praveSa-saMgraha-lopa-kalA vyaya-vivarDana-kalA ca // 5.13 //
   grāhyaparicchedakalā deyadhanādānakāraṇakalā ca &	grAhya-paricCeda-kalA deya-Dana-AdAna-kAraNa-kalA ca &
   utkocairharaṇakalā paryantabhuvaṃ palāyanakalā ca // 5.14 //	utkocEH-haraNa-kalA paryanta-Buvam palAyana-kalA ca // 5.14 //
   śeṣasthavivekakalā calarāśisamagrabhakṣaṇakalā ca &	Seza-sTa-viveka-kalA cala-rASi-samagra-BakzaNa-kalA ca &
   utpannagopanakalā naṣṭaviśīrṇapradarśanakalā ca // 5.15 //	utpanna-gopanakalA nazwa-viSIrNa-pradarSana-kalA ca // 5.15 //
   krayamāṇairbharaṇakalā yojanacaryādibhiḥ kṣayakalā ca &	krayamANEH-BaraNa-kalA yojana-caryA-AdiBiH kzaya-kalA ca &
   ekatra pañcadaśyāṃ luṇṭhicikitsāsamāsanakalā ca // 5.16 //	ekatra paQcadaSyAm luNWi-cikitsA-samAsana-kalA ca // 5.16 //
   niḥśeṣabhūrjadāhād āgamanāśaśca paryante &	niHSeza-BUrja-dAhAt Agama-nASaH-ca paryante &
   yena vinā vyavahārī bhūryāgrahaṇe nirālokaḥ // 5.17 //	yena vinA vyavahArI BUryAgrahaNe nirAlokaH // 5.17 //
   sakalaṅkasya kṣayiṇo navanavarūpasya vṛddhibhājaśca &	sa-kalaFkasya kzayiNaH nava-nava-rUpasya vRdDi-BAjaH-ca &
   divirasya kalāḥ kuṭilāḥ ṣoḍaśa doṣākarasyaitāḥ // 5.18 //	divirasya kalAH kuwilAH zoxaSa doza-Akarasya-etAH // 5.18 //
   kūṭasthāḥ kāyasthāḥsarvanakāreṇa siddhamantreṇa &	kUwasTAH kAyasTAH-sarva-nakAreNa sidDa-mantreNa &
   gurava iva viditamāyāvṛtticchedaṃ kṣaṇena kurvanti // 5.19 //	guravaH iva vidita-mAyA-vRtti=-Cedam kzaNena kurvanti // 5.19 //
   hāritadhanapaśuvasanaḥ cauryabhayādbandhubhiḥ parityaktaḥ &	hArita-Dana-paSu-vasanaH cOrya-BayAt-banDuBiH parityaktaH &
   babhrāma mahīmakhilāṃ tīvravyasanaḥ purā kitavaḥ // 5.20 //	baBrAma mahIm-aKilAm tIvra-vyasanaH purA kitavaH // 5.20 //
   sa kadācidetya puṇyaiḥ ujjayinīṃ tatra majjanaṃ kṛtvā &	sa kadAcid-etya puNyEH ujjayinIm tatra majjanam kRtvA &
   vicaranvijane puraharamandiramavalokayāmāsa // 5.21 //	vicaran-vijane pura-hara-mandiram-avalokayAmAsa // 5.21 //
   śūnyāyatane gatvā varadaṃ devaṃ sadā mahākālam &	SUnya-Ayatane gatvA vara-dam devam sadA mahAkAlam &
   upalepanakusumaphalaiḥ nirvyāpāraḥ siṣeve saḥ // 5.22 //	upalepana-kusuma-PalEH nirvyApAraH sizeve saH // 5.22 //
   stotrajapagītadīpaiḥ vipuladhyānair niśāsu nirnidraḥ &	stotra-japa-gIta-dIpEH vipula-DyAnEH niSAsu nirnidraH &
   tasthau tatra sa suciraṃ duḥsahadaurgatyanāśāya // 5.23 //	tasTO tatra sa su-ciram duHsaha-dOrgati-anASAya // 5.23 //
   tasya kadācidbhaktyā śubhaśatakṛtayā prasāditaḥ sahasā &	tasya kadAcid-BaktyA SuBa-Sata-kRtayA prasAditaH sahasA &
   bhavabhayahārī bhagavān bhūtapatiḥ saṃbabhāṣe tam // 5.24 //	Bava-Baya-hArI BagavAn BUtapatiH saMbaBAze tam // 5.24 //
   putra gṛhāṇetyukte devena kapālamālikāśikhare &	putra gRhANa-iti-ukte devena kapAla-mAlikA-SiKare &
   ekaṃ kapālamasakṛt cakre saṃjñāṃ purārāteḥ // 5.25 //	ekam kapAlam-asakRt cakre saMjQAm purArAteH // 5.25 //
   ardhokte sthagitavaraḥ saṃpīḍanasaṃjñayā kapālasya &	arDa-ukte sTagita-varaH saMpIxana-saMjQayA kapAlasya &
   tūṣṇīṃ cakāra rudro dāridryātkitavapuṇyānām // 5.26 //	tUzNIm cakAra rudraH dAridryAt-kitava-puNyAnAm // 5.26 //
   snātuṃ yāte tasmin vijane devaḥ kapālamavadattat &	snAtum yAte tasmin vijane devaH kapAlam-avadat-tat &
   dantāṃśupaṭalapālīṃ gaṅgāmiva darśayannagre // 5.27 //	danta-aMSu-pawala-pAlIm gaFgAm-iva darSayan=-agre // 5.27 //
   asya kitavasya sādhoḥ bhaktasya cirasthitasya varadāne &	asya kitavasya sADoH Baktasya cira-sTitasya vara-dAne &
   kasmāttvayā mamaiṣā vihitā saṃpīḍanaiḥ saṃjñā // 5.28 //	kasmAt-tvayA mama-ezA vihitA saMpIxanEH saMjQA // 5.28 //
   iti bhagavatā kapālaṃ pṛṣṭaṃ provāca sasmitaṃ śanakaiḥ &	iti BagavatA kapAlam pRzwam provAca sa-smitam SanakEs &
   viṣamanayanoṣmavigalan maulīndusudhārasairjīvat // 5.29 //	vizama-nayana-Uzma-vigalan mOlI-indu-suDA-rasEH-jIvat // 5.29 //
   śṛṇu bhagavanyena mayā vijñapto'si svabhāvasaralātman &	SRNu Bagavan-yena mayA vijQaptaH-asi svaBAva-sarala-Atman &
   sulabho'pi bodhyate vā niṣkāraṇamīśvaraḥ kena // 5.30 //	sulaBaH-api boDyate vA nizkAraNam-ISvaraH kena // 5.30 //
   eṣa kitavo'tiduḥkhī dāridryādviratasakalanijakṛtyaḥ &	eza kitavaH-ati-duHKI dAridryAt-virata-sakala-nija-kRtyaH &
   prāsāde'sminracayati lepanabalikusumadhūpārgham // 5.31 //	prAsAde-asmin-racayati lepana-bali-kusuma-DUpa-arGam // 5.31 //
   duḥkhī bhavati tapasvī dhanarahitaḥ sādaro bhavati dharme &	duHKI Bavati tapasvI Dana-rahitaH sa-AdaraH Bavati Darme &
   bhraṣṭādhikāravibhavaḥ sarvapraṇataḥ priyaṃvado bhavati // 5.32 //	Brazwa-aDikAra-viBavaH sarva-praNataH priyaMvadaH Bavati // 5.32 //
   arcayati devaviprān japati ciraṃ vetti nirdhano mitram &	arcayati deva-viprAn japati ciram vetti nirDanaH mitram &
   kaṭhino'pi lohapiṇḍaḥ taptaḥ karmaṇyatāṃ eti // 5.33 //	kaWinaH-api loha-piNxaH taptaH karmaNya-tAm eti // 5.33 //
   vyasanaparitaptahṛdayaḥ tiṣṭhati sarvaḥ sadācāre &	vyasana-paritapta-hRdayaH tizWati sarvaH sat-AcAre &
   vibhavamadamohitānāṃ karmasmaraṇe kathā kaiva // 5.34 //	viBava-mada-mohitAnAm karma-smaraNe kaTA kA-eva // 5.34 //
   aiśvaryārthī bhagavannrthī āśāpāśena lambamāno 'sau &	ESvarya-arTI BagavannrTI ASA-pASena lambamAnaH asO &
   kurute parāṃ saparyāṃ prāptārtho dṛśyate na punaḥ // 5.35 //	kurute parAm saparyAm prApta-arTaH dRSyate na punar // 5.35 //
   svārthārthinaḥ prayattā prāptārthāḥ sevakāḥ sadā viphalāḥ &	sva-arTa-arTinaH prayattA prApta-arTAH sevakAH sadA viPalAH &
   na hi nāma jagati kaścit kṛtakāryaḥ sevako bhavati // 5.36 //	na hi nAma jagati kaScid kRta-kAryaH sevakaH Bavati // 5.36 //
   deva prāsāde'smin phalajalakusumādibhogasāmagrīm &	deva prAsAde-asmin Pala-jala-kusuma-Adi-Boga-sAmagrIm &
   pūrṇe yāte kitave vijane nānye kariṣyanti // 5.37 //	pUrNe yAte kitave vijane na-anye karizyanti // 5.37 //
   tasmātpuṇyopanataṃ kitavaṃ saṃrakṣa sevakaṃ satatam &	tasmAt-puNya-upanatam kitavam saMrakza sevakam satatam &
   varadānamasya bhagavan nirvāsanamātmapūjāyāḥ // 5.38 //	vara-dAnam-asya Bagavat nirvAsanam-Atma-pUjAyAH // 5.38 //
   śrutvaitadvakrataraṃ vacanaṃ pṛthuvismayasmeraḥ &	SrutvA-etat-vakrataram vacanam pRTu-vismaya-smeraH &
   taṃ papraccha pinākī kastvaṃ tattvena kiṃ karma // 5.39 //	tam papracCa pinAkI kaH-tvam tattvena kim karma // 5.39 //
   iti pṛṣṭaṃ punarūce sapadi kapālaṃ vicintya sadbhāvam &	iti pRzwam punar-Uce sapadi kapAlam vicintya sadBAvam &
   magadhānāmahamabhavaṃ kāyasthakule svakarmaṇo vimukhaḥ // 5.40 //	magaDAnAm-aham-aBavam kAyasTa-kule sva-karmaNaH vimuKaH // 5.40 //
   snānajapavratanirataḥ tīrtharato viditasarvaśāstrārthaḥ &	snAna-japa-vrata-nirataH tIrTa-rataH vidita-sarva-SAstra-arTaH &
   tyaktvā bhāgīrathyāṃ śarīrakaṃ tvatpadaṃ prāptaḥ // 5.41 //	tyaktvA BAgIraTyAm SarIrakam tvad-padam prAptaH // 5.41 //
   ākarṇyavaṃ bhagavān ūce kāyastha eva satyaṃ tvam &	AkarNyavam BagavAn Uce kAyasTaH eva satyam tvam &
   citraṃ kauṭilyakalāṃ na tyajasi kapālaśeṣo'pi // 5.42 //	citram kOwilya-kalAm na tyajasi kapAla-SezaH-api // 5.42 //
   ityuktvā smitakiraṇaiḥ kurvannāśālatāḥ kusumaśubhrāḥ &	iti-uktvA smita-kiraNEH kurvat-nASA-latAH kusuma-SuBrAH &
   snātvāgatāya tasmai kitavāya varaṃ dadau varadaḥ // 5.43 //	snAtvA-AgatAya tasmE kitavAya varam dadO vara-daH // 5.43 //
   kṛtvā tatkitavahitaṃ paśyata evāśu tasya śaśimauliḥ &	kRtvA tat-kitava-hitam paSyataH eva-ASu tasya SaSimOliH &
   niṣkāsitavāṃstacchira uttamatamamuṇḍamālikāpaṅkteḥ // 5.44 //	nizkAsitavAn=-tad-SiraH uttamatama-muNxa-mAlikA-paFkteH // 5.44 //
   ityevaṃ kuṭilakalāṃ sahajāṃ malināṃ janakṣaye niratām &	iti-evam kuwila-kalAm sahajAm malinAm jana-kzaye niratAm &
   yamadaṃṣṭrāmiva muñcati kāyastho nāsthiśeṣo'pi // 5.45 //	yama-daMzwrAm-iva muQcati kAyasTaH na-asTi-SezaH-api // 5.45 //
   susthaḥ ko nāma janaḥ satatāśucibhāvadūṣitakalānām &	susTaH kaH nAma janaH satata-aSuci-BAva-dUzita-kalAnAm &
   doṣakṛtāṃ śakṛtāmiva kāyasthānāmavaṣṭambhaiḥ // 5.46 //	doza-kRtAm SakRtAm-iva kAyasTAnAm-avazwamBEH // 5.46 //
   asuraracitaprayatnād vijñātā diviravañcanā yena &	asura-racita-prayatnAt vijQAtA divira-vaQcanAH yena &
