   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   vandyasyānanyavandinaḥ Ks_6.83b	vandyasya-ananya-vandinaH KH-_6.83b
   vapur vibhaktaṃ navayauvanena Ks_1.32d	vapuH viBaktam nava-yOvanena KH-_1.32d
   vapur virūpākṣam alakṣyajanmatā Ks_5.72a	vapuH virUpAkzam alakzya-janma-tA KH-_5.72a
   vapurviśeṣeṣv atigauravāḥ kriyāḥ Ks_5.31d	vapuH-viSezezu ati-gOravAH kriyAH KH-_5.31d
   vapuṣā svena niyojayiṣyati Ks_4.42d	vapuzA svena niyojayizyati KH-_4.42d
   vaprāntarjvalitauṣadhi Ks_6.38b	vapra-antar-jvalita-ozaDi KH-_6.38b
   vayam atrāṃśabhāginaḥ Ks_6.74d	vayam atra-aMSa-BAginaH KH-_6.74d
   vayam āropitās tvayā Ks_6.17b	vayam AropitAH tvayA KH-_6.17b
   varasyānanyapūrvasya Ks_6.92c	varasya-ananya-pUrvasya KH-_6.92c
   varaṃ tam icchāmi ca sādhu veditum Ks_5.50d	varam tam icCAmi ca sADu veditum KH-_5.50d
   varaḥ śaṃbhur alaṃ hy eṣa Ks_6.82c	varaH SaMBuH alam hi eza KH-_6.82c
   vareṇa śamitaṃ lokān Ks_2.56c	vareNa Samitam lokAn Ks_2.56c
   vareṣu yad bālamṛgākṣi mṛgyate Ks_5.72c	varezu yat bAla-mRga-akzi mRgyate Ks_5.72c
   vargāv ubhau devamahīdharāṇāṃ Ks_7.53a	vargO uBO deva-mahIDarANAm KH-_7.53a
   varṇaprakarṣe sati karṇikāraṃ Ks_3.28a	varNa-prakarze sati karNikAram KH-_3.28a
   vartikābhir iva sādhumaṇḍitāḥ Ks_8.45d	vartikABiH iva sADu-maNxitAH KH-_8.45d
   valitrayaṃ cāru babhāra bālā Ks_1.39b	vali-trayam cAru baBAra bAlA KH-_1.39b
   valīṣu tasyāḥ skhalitāḥ prapedire Ks_5.24c	valIzu tasyAH sKalitAH prapedire KH-_5.24c
   valguvādini vinodayiṣyati Ks_8.48d	valgu-vAdini vinodayizyati KH-_8.48d
   vaśinaś cāmbudharāś ca yonayaḥ Ks_4.43d	vaSinaH ca-ambuDarAH ca yonayaH KH-_4.43d
   vasatiṃ priya kāmināṃ priyās Ks_4.11c	vasatim priya kAminAm priyAH KH-_4.11c
   vasatiṃ vasusaṃpadām Ks_6.37b	vasatim vasu-saMpadAm KH-_6.37b
   vasantapuṣpābharaṇaṃ vahantī Ks_3.53d	vasanta-puzpa-ABaraNam vahantI KH-_3.53d
   vasudhāliṅganadhūsarastanī Ks_4.4b	vasuDA-AliFgana-DUsara-stanI KH-_4.4b
   vahnir vivāhaṃ prati pūrvasākṣī Ks_7.83b	vahniH vivAham prati pUrva-sAkzI KH-_7.83b
   vāgīśaṃ vāgbhir arthyābhiḥ Ks_2.3c	vAgISam vAgBiH arTyABiH KH-_2.3c
   vācaspatir uvācedaṃ Ks_2.30c	vAcaspatiH uvAca-idam Ks_2.30c
   vācaspatiḥ sann api so 'ṣṭamūrttav Ks_7.87c	vAcaspatiH san api saH azwamUrttau KH-_7.87c
   vācā hariṃ vṛtrahaṇaṃ smitena Ks_7.46b	vAcA harim vRtra-haNam smitena KH-_7.46b
   vāci bhartur avadhīraṇāparā Ks_8.49b	vAci BartuH avaDIraNA-aparA KH-_8.49b
   vāmaprakoṣṭhārpitahemavetraḥ Ks_3.41b	vAma-prakozWa-arpita-hema-vetraH KH-_3.41b
   vāraṇadhvanitabhītayā tayā Ks_8.24a	vAraNa-Dvanita-BItayA tayA KH-_8.24a
   vāri vāriruhabaddhaṣaṭpadam Ks_8.33d	vAri vAriruha-badDa-zawpadam KH-_8.33d
   vāruṇī dig aruṇena bhānunā Ks_8.40b	vAruNI diS aruNena BAnunA KH-_8.40b
   vālapriyatvaṃ śithilaṃ camaryaḥ Ks_1.48d	vAla-priya-tvam SiTilam camaryaH KH-_1.48d
   vāsarāṇi katicit kathañcana Ks_8.13a	vAsarANi katicid kaTaQcana KH-_8.13a
   vāsasaḥ praśithilasya saṃyamaṃ Ks_8.87c	vAsasaH praSiTilasya saMyamam Ks_8.87c
   vāsukipramukhā niśi Ks_2.38b	vAsuki-pramuKAH niSi KH-_2.38b
   vāso vasānā taruṇārkarāgam Ks_3.54b	vAsaH vasAnA taruNa-arka-rAgam KH-_3.54b
   vāso vasānām abhiṣekayogyaṃ Ks_7.9c	vAsaH vasAnAm aBizeka-yogyam Ks_7.9c
   vikārahetau sati vikriyante Ks_1.59c	vikAra-hetO sati vikriyante KH-_1.59c
   vikāre sāṃnipātike Ks_2.48d	vikAre sAMnipAtike KH-_2.48d
   vikīrṇakeśāsu paretabhūmiṣu Ks_5.68d	vikIrNa-keSAsu pareta-BUmizu KH-_5.68d
   vikīrṇasaptarṣibaliprahāsibhis Ks_5.37a	vikIrNa-saptarzi-bali-prahAsiBiH KH-_5.37a
   vikuñcitabhrūlatam āhite tayā Ks_5.74c	vikuQcita-BrU-latam Ahite tayA KH-_5.74c
   vikriyā na khalu kāladoṣajā Ks_8.65c	vikriyA na Kalu kAla-doza-jA KH-_8.65c
   vikriyām api satāṃ manoharām Ks_8.78b	vikriyAm api satAm manoharAm KH-_8.78b
   vikriyāyai na kalpante Ks_6.29c	vikriyAyE na kalpante Ks_6.29c
   vighaṭṭitānāṃ saraladrumāṇām Ks_1.9b	viGawwitAnAm sarala-drumANAm KH-_1.9b
   vicāramārgaprahitena cetasā Ks_5.42c	vicAra-mArga-prahitena cetasA Ks_5.42c
   vijitya netrapratighātinīṃ prabhām Ks_5.20c	vijitya netra-pratiGAtinIm praBAm KH-_5.20c
   vijṇāpanā bhartṛṣu siddhim eti Ks_7.93d	vijNApanA BartRzu sidDim eti KH-_7.93d
   vitateṣv adhvareṣu saḥ Ks_2.46b	vitatezu aDvarezu saH KH-_2.46b
   vitta mām apy avañcitam Ks_6.30d	vitta mAm api avaQcitam KH-_6.30d
   vidanti mārgaṃ nakharandhramuktair Ks_1.6c	vidanti mArgam naKa-ranDra-muktEH KH-_1.6c
   viditaṃ khalu te yathā smaraḥ Ks_4.36c	viditam Kalu te yaTA smaraH KH-_4.36c
   viditaṃ vo yathā svārthā Ks_6.26a	viditam vaH yaTA sva-arTA KH-_6.26a
   vidūrabhūmir navameghaśabdād Ks_1.24c	vidUra-BUmiH nava-meGa-SabdAt Ks_1.24c
   vidmas tvāṃ vayam añjasā Ks_6.22b	vidmaH tvAm vayam aQjasA KH-_6.22b
   vidyutvān iva cātakaiḥ Ks_6.27b	vidyutvAn iva cAtakEH KH-_6.27b
   vidyudāhatam iva nyamīlayat Ks_8.3d	vidyut-Ahatam iva nyamIlayat KH-_8.3d
   vidhātā vedhasām api Ks_2.14d	viDAtA veDasAm api KH-_2.14d
   vidhinā kṛtam ardhavaiśasaṃ Ks_4.31a	viDinA kRtam arDa-vESasam Ks_4.31a
   vidhinā jana eṣa vañcitas Ks_4.10c	viDinA janaH eza vaQcitaH Ks_4.10c
   vidhinā pratipādayiṣyatā Ks_4.1c	viDinA pratipAdayizyatA Ks_4.1c
   vidhiprayuktasatkāraiḥ Ks_6.52a	viDi-prayukta-satkArEH KH-_6.52a
   vidhiprayuktāṃ parigṛhya satkriyāṃ Ks_5.32a	viDi-prayuktAm parigRhya satkriyAm KH-_5.32a
   vidhurāṃ jvalanātisarjanān Ks_4.32c	viDurAm jvalana-ati-sarjanAn KH-_4.32c
   vinamraśākhābhujabandhanāni Ks_3.39d	vinamra-SAKA-Buja-banDanAni KH-_3.39d
   vinikīrya kṣaṇabhinnasauhṛdaḥ Ks_4.6b	vinikIrya kzaNa-Binna-sOhRdaH KH-_4.6b
   vinidramandārarajoruṇāṅgulī Ks_5.80d	vinidra-mandAra-raja-UruNa-aFgulI KH-_5.80d
   viniyogaprasādā hi Ks_6.62c	viniyoga-prasAdAH hi Ks_6.62c
   vinyastavaidūryaśilātale 'sminn Ks_7.10a	vinyasta-vEdUrya-SilA-tale asmin KH-_7.10a
   vinyastaśuklāguru cakrur asyā Ks_7.15a	vinyasta-Sukla-aguru cakruH asyAH KH-_7.15a
   vipakvaṃ phalam adya naḥ Ks_6.16d	vipakvam Palam adya naH KH-_6.16d
   vipatpratīkārapareṇa maṅgalaṃ Ks_5.76a	vipad-pratIkAra-pareNa maFgalam Ks_5.76a
   viprakṛṣṭavivaraṃ himāṃśunā Ks_8.61c	viprakRzwa-vivaram himAMSunA KH-_8.61c
   vibudhās tadanantaram Ks_6.81b	vibuDAH tad-anantaram KH-_6.81b
   vibudhair asi yasya dāruṇair Ks_4.19a	vibuDEH asi yasya dAruNEH KH-_4.19a
   vibhaktānugrahaṃ manye Ks_6.58c	viBakta-anugraham manye Ks_6.58c
   vibhāvarī yady aruṇāya kalpate Ks_5.44d	viBAvarI yadi aruNAya kalpate KH-_5.44d
   vibhum api taṃ yad amī spṛśanti bhāvāḥ Ks_6.95d	viBum api tam yat amI spRSanti BAvAH KH-_6.95d
   vibhūṣaṇodbhāsi pinaddhabhogi vā Ks_5.78a	viBUzaNa-udBAsi pinadDa-Bogi vA KH-_5.78a
   vimānanā subhru kutaḥ pitur gṛhe Ks_5.43b	vimAnanA suBru kutas pituH gRhe KH-_5.43b
   vimānaśṛṅgāṇy avagāhamānaḥ Ks_7.40c	vimAna-SRFgANi avagAhamAnaH KH-_7.40c
   vimucya sā hāram ahāryaniścayā Ks_5.8a	vimucya sA hAram ahArya-niScayA KH-_5.8a
   virutaiḥ karuṇasvanair iyaṃ Ks_4.15c	virutEH karuNa-svanEH iyam Ks_4.15c
   virodhisattvojjhitapūrvamatsaraṃ Ks_5.17a	viroDi-sattva-ujJita-pUrva-matsaram KH-_5.17a
   vilapantyai rataye na dīyate Ks_4.7d	vilapantyE rataye na dIyate KH-_4.7d
   vilambiśaśikoṭayaḥ Ks_2.26b	vilambi-SaSi-kowayaH KH-_2.26b
   vilalāpa vikīrṇamūrdhajā Ks_4.4c	vilalApa vikIrNa-mUrDajA KH-_4.4c
   vilipyate maulibhir ambaraukasāṃ Ks_5.79d	vilipyate mOliBiH ambarOkasAm KH-_5.79d
   vilokya vṛddhokṣam adhiṣṭhitaṃ tvayā Ks_5.70c	vilokya vRdDokzam aDizWitam tvayA KH-_5.70c
   vilocanaṃ dakṣiṇam añjanena Ks_7.59a	vilocanam dakziNam aQjanena KH-_7.59a
   vilocane tiryag upāntalohite Ks_5.74d	vilocane tiryak upAnta-lohite KH-_5.74d
   viloladṛṣṭaṃ hariṇāṅganāsu ca Ks_5.13d	vilola-dRzwam hariNa-aFganAsu ca KH-_5.13d
   vilolanetrabhramarair gavākṣāḥ Ks_7.62c	vilola-netra-BramarEH gavAkzAH KH-_7.62c
   vilolayaṣṭipraviluptacandanam Ks_5.8b	vilola-yazwi-pravilupta-candanam KH-_5.8b
   vilolaviṭapāṃśukaiḥ Ks_6.41b	vilola-viwapa-aMSukEH KH-_6.41b
   vivakṣatā doṣam api cyutātmanā Ks_5.81a	vivakzatA dozam api cyuta-AtmanA KH-_5.81a
   vivartitānañjananetram aikṣata Ks_5.51d	vivartita-anaQjana-netram Ekzata KH-_5.51d
   vivaśā kāmavadhūr vibodhitā Ks_4.1b	vivaSA kAma-vaDUH viboDitA KH-_4.1b
   vivāhadīkṣātilakaṃ cakāra Ks_7.24d	vivAha-dIkzA-tilakam cakAra KH-_7.24d
   vivāhadīkṣāvidhim anvatiṣṭhat Ks_7.1d	vivAha-dIkzA-viDim anvatizWat KH-_7.1d
   vivāhayajñe vitate 'tra yūyam Ks_7.47c	vivAha-yajQe vitate atra yUyam KH-_7.47c
   vivṛṇvatī śailasutāpi bhāvam Ks_3.68a	vivRNvatI SElasutA-api BAvam Ks_3.68a
   vivṛtadvāram ivopajāyate Ks_4.26d	vivRta-dvAram iva-upajAyate KH-_4.26d
   viveśa kaścij jaṭilas tapovanaṃ Ks_5.30c	viveSa kaScid jawilaH tapaH-vanam Ks_5.30c
   viśadair daśanāṃśubhiḥ Ks_6.25b	viSadEH daSana-aMSuBiH KH-_6.25b
   viśīrṇamūrter api puṣpadhanvanaḥ Ks_5.54d	viSIrNa-mUrteH api puzpaDanvanaH KH-_5.54d
   viśokām akarod guṇaiḥ Ks_6.92d	viSokAm akarot guNEH KH-_6.92d
   viśoṣitāṃ bhānumato mayūkhair Ks_3.65c	viSozitAm BAnumataH mayUKEH KH-_3.65c
   viśrāntāḥ pralayāpadi Ks_6.8d	viSrAntAH pralaya-Apadi KH-_6.8d
   viśvayonis tirodadhe Ks_2.62b	viSvayoniH tirodaDe KH-_2.62b
   viśvayoner anantaram Ks_6.9b	viSvayoneH anantaram KH-_6.9b
   viśvāvasuprāgraharaiḥ pravīṇaiḥ Ks_7.48a	viSvAvasu-prAgraharEH pravINEH KH-_7.48a
   viṣavṛkṣo 'pi saṃvardhya Ks_2.55c	viza-vRkzaH api saMvarDya Ks_2.55c
   viṣṇum āhus tathā hi te Ks_6.67b	vizNum AhuH taTA hi te KH-_6.67b
   viṣṇor haras tasya hariḥ kadācid Ks_7.44c	vizNoH haraH tasya hariH kadAcid KH-_7.44c
   visṛjya katham apy umām Ks_6.3b	visRjya kaTam api umAm KH-_6.3b
   visṛṣṭarāgād adharān nivartitaḥ Ks_5.11a	visRzwa-rAgAt aDarAt nivartitaH KH-_5.11a
   visraṃsayantī navakarṇikāram Ks_3.62b	visraMsayantI nava-karNikAram KH-_3.62b
   vīkṣitena parigṛhya pārvatī Ks_8.6c	vIkzitena parigRhya pArvatI KH-_8.6c
   vījyate sa hi saṃsuptaḥ Ks_2.42a	vIjyate sa hi saMsuptaH KH-_2.42a
   vīryavaty auṣadhānīva Ks_2.48c	vIryavati OzaDAni-iva KH-_2.48c
   vṛṇute varadaḥ śaṃbhur Ks_6.78c	vRNute vara-daH SaMBuH KH-_6.78c
   vṛtaṃ tenedam eva prāṅ Ks_2.56a	vRtam tena-idam eva prAF KH-_2.56a
   vṛttaṃ hi mahitaṃ satām Ks_6.12d	vRttam hi mahitam satAm KH-_6.12d
   vṛttānupūrve ca na cātidīrghe Ks_1.35a	vRtta-anupUrve ca na ca-ati-dIrGe KH-_1.35a
   vṛttis tayoḥ pāṇisamāgamena Ks_7.77c	vRttiH tayoH pANi-samAgamena Ks_7.77c
   vṛtrasya hantuḥ kuliśaṃ Ks_2.20c	vRtrasya hantuH kuliSam Ks_2.20c
   vṛndair gajānāṃ giricakravartī Ks_7.52b	vRndEH gajAnAm giri-cakravartI KH-_7.52b
   vṛṣeva sītāṃ tadavagrahakṣatām Ks_5.61d	vRzA-iva sItAm tad-avagraha-kzatAm KH-_5.61d
   vegabhaṅgo 'numīyate Ks_2.25b	vega-BaFgaH anumIyate KH-_2.25b
   veṇīr vīryavibhūtibhiḥ Ks_2.61d	veNIH vIrya-viBUtiBiH KH-_2.61d
   vedanāvidhutahastapallavā Ks_8.18b	vedanA-viDuta-hasta-pallavA KH-_8.18b
   vedyaṃ ca veditā cāsi Ks_2.15c	vedyam ca veditA ca-asi KH-_2.15c
   vedhaseha guṇadoṣayor gatiḥ Ks_8.66d	veDasA-iha guNa-dozayoH gatiH KH-_8.66d
   vedhās tayos tāv api dhātur ādyau Ks_7.44d	veDAH tayoH tO api DAtuH AdyO KH-_7.44d
   velāsamīpaṃ sphuṭaphenarājir Ks_7.73c	velA-samIpam sPuwa-Pena-rAjiH KH-_7.73c
   vaivāhikīṃ tithiṃ pṛṣṭās Ks_6.93a	vEvAhikIm tiTim pRzwAH KH-_6.93a
   vaivāhikaiḥ kautukasaṃvidhānair Ks_7.2a	vEvAhikEH kOtuka-saMviDAnEH KH-_7.2a
   voḍhā muhuḥ kampitadevadāruḥ Ks_1.15b	voXA muhur kampita-devadAruH KH-_1.15b
   voḍhum akṣamam iva prabhārasam Ks_8.70b	voXum akzamam iva praBA-rasam KH-_8.70b
   vyakīryata tryambakapādamūle Ks_3.61c	vyakIryata tryambaka-pAda-mUle KH-_3.61c
   vyaktapaṅkam iva jātam ekataḥ Ks_8.37b	vyakta-paFkam iva jAtam ekatas KH-_8.37b
   vyakto vyaktetaraś cāsi Ks_2.11c	vyaktaH vyakta-itaraH ca-asi KH-_2.11c
   vyajante yatra veśmanām Ks_6.40b	vyajante yatra veSmanAm KH-_6.40b
   vyajyate viparivṛttam aṃśukam Ks_8.71d	vyajyate viparivRttam aMSukam KH-_8.71d
   vyatyayārpitanakhaṃ samatsaram Ks_8.83b	vyatyaya-arpita-naKam sa-matsaram KH-_8.83b
   vyanīyata pratyupadeśalubdhair Ks_1.34c	vyanIyata pratyupadeSa-lubDEH KH-_1.34c
   vyarthaṃ samarthya lalitaṃ vapur ātmanaś ca Ks_3.75b	vyarTam samarTya lalitam vapuH AtmanaH ca KH-_3.75b
   vyalīkaniḥśvāsam ivotsasarja Ks_3.25d	vyalIka-niHSvAsam iva-utsasarja KH-_3.25d
   vyalokayann unmiṣitais taḍinmayair Ks_5.25c	vyalokayan unmizitEH taxit-mayEH KH-_5.25c
   vyasanakṛśā paripālayāṃ babhūva Ks_4.46b	vyasana-kRSA paripAlayAm baBUva KH-_4.46b
   vyastarātriṃdivasya te Ks_2.8b	vyasta-rAtriMdivasya te KH-_2.8b
   vyājahāra sahadharmacāriṇīm Ks_8.29d	vyAjahAra saha-Darma-cAriNIm KH-_8.29d
   vyājahāra himālayaḥ Ks_6.64d	vyAjahAra himAlayaH KH-_6.64d
   vyādiśyate kena hutāśanasya Ks_3.21d	vyAdiSyate kena hutASanasya KH-_3.21d
   vyādiśyate bhūdharatām avekṣya Ks_3.13c	vyAdiSyate BUDara-tAm avekzya Ks_3.13c
   vyāpako mahimā hareḥ Ks_6.71b	vyApakaH mahimA hareH KH-_6.71b
   vyāpāram ātmany api sāyakānām Ks_7.93b	vyApAram Atmani api sAyakAnAm KH-_7.93b
   vyāpārayām āsa vilocanāni Ks_3.67d	vyApArayAm Asa vilocanAni KH-_3.67d
   vyāpāraṃ kartuṃ arhati Ks_6.32b	vyApAram kartum arhati KH-_6.32b
   vyāptāntarāḥ sāndrakutūhalānām Ks_7.62b	vyApta-antarAH sAndra-kutUhalAnAm KH-_7.62b
   vyāvṛttagatir udyāne Ks_2.35a	vyAvRtta-gatiH udyAne KH-_2.35a
   vyāhṛtā prativaco na sandadhe Ks_8.2a	vyAhRtA prativacaH na sandaDe KH-_8.2a
   vrajanti vidyādharasundarīṇām Ks_1.7c	vrajanti vidyADara-sundarINAm KH-_1.7c
   vratāya mauñjīṃ triguṇāṃ babhāra yām Ks_5.10b	vratAya mOQjIm triguNAm baBAra yAm KH-_5.10b
   vrataiḥ svam aṅgaṃ glapayanty aharniśam Ks_5.29b	vratEH svam aFgam glapayanti aharniSam KH-_5.29b
   vrīḍād amuṃ devam udīkṣya manye Ks_7.67c	vrIxAt amum devam udIkzya manye Ks_7.67c
   śakyam aṅgulibhir uddhṛtair adhaḥ Ks_8.72a	Sakyam aFguliBiH udDRtEH aDas KH-_8.72a
   śakyam oṣadhipater navodayāḥ Ks_8.62a	Sakyam ozaDi-pateH nava-udayAH KH-_8.62a
   śaṅkarasya rahasi prapannayā Ks_8.17b	SaFkarasya rahasi prapannayA KH-_8.17b
   śaṅkarasya rurudhe tayā karaḥ Ks_8.4b	SaFkarasya ruruDe tayA karaH KH-_8.4b
   śaṅkaro 'pi nayanaṃ lalāṭajam Ks_8.19b	SaFkaraH api nayanam lalAwa-jam KH-_8.19b
   śaṅkaro rahasi sevyatām iti Ks_8.5b	SaFkaraH rahasi sevyatAm iti KH-_8.5b
   śaṅke matpāvanāyaiva Ks_6.61c	SaFke mad-pAvanAya-eva KH-_6.61c
   śaṅkhasvanānantarapuṣpavṛṣṭi Ks_1.23b	SaFKa-svana-anantara-puzpa-vRzwi KH-_1.23b
   śaṅkhāntaradyoti vilocanaṃ yad Ks_7.33a	SaFKa-antara-dyoti vilocanam yat Ks_7.33a
   śatakumbhakamalākaraiḥ samam Ks_8.85b	SatakumBa-kamala-AkarEH samam KH-_8.85b
   śatamakham upatasthe prāñjaliḥ puṣpadhanvā Ks_2.64d	Sata-maKam upatasTe prAQjaliH puzpaDanvA KH-_2.64d
   śatam agamad ṛtūnāṃ sāgram ekā niśeva Ks_8.91b	Satam agamat RtUnAm sAgram ekA niSA-iva KH-_8.91b
   śanaiḥ kṛtaprāṇavimuktir īśaḥ Ks_3.59c	SanEs kRta-prANa-vimuktiH ISaH KH-_3.59c
   śanaiḥ-śanaiḥ śyāmikayā kṛtaṃ padam Ks_5.21d	SanEs--SanEs SyAmikayA kRtam padam KH-_5.21d
   śapharīṃ hradaśoṣaviklavāṃ Ks_4.39c	SaParIm hrada-Soza-viklavAm Ks_4.39c
   śabdam īśvara ity uccaiḥ Ks_6.75c	Sabdam ISvaraH iti uccEs Ks_6.75c
   śaradghanād dīdhitimān ivokṣṇaḥ Ks_7.70b	Sarad-GanAt dIDitimAn iva-ukzNaH KH-_7.70b
   śaram utsaṅganiṣaṇṇadhanvanaḥ Ks_4.23b	Saram utsaFga-nizaNNa-DanvanaH KH-_4.23b
   śarāsanajyāṃ muhur āmamarśa Ks_3.64d	SarAsana-jyAm muhur AmamarSa KH-_3.64d
   śarīrabaddhaḥ prathamāśramo yathā Ks_5.30d	SarIra-badDaH praTama-ASramaH yaTA KH-_5.30d
   śarīramātraṃ vikṛtiṃ prapede Ks_7.34c	SarIra-mAtram vikRtim prapede Ks_7.34c
   śarīram ādyaṃ khalu dharmasādhanam Ks_5.33d	SarIram Adyam Kalu Darma-sADanam KH-_5.33d
   śarīriṇāṃ sthāvarajaṅgamānāṃ Ks_1.23c	SarIriNAm sTAvara-jaFgamAnAm KH-_1.23c
   śarair madīyaiḥ katamaḥ surāriḥ Ks_3.9b	SarEH madIyEH katamaH surAriH KH-_3.9b
   śalabhatvaṃ haralocanārciṣi Ks_4.40d	SalaBa-tvam hara-locana-arcizi KH-_4.40d
   śaśaṃsa sevāvasaraṃ surebhyaḥ Ks_7.40d	SaSaMsa sevA-avasaram sureByaH KH-_7.40d
   śaśāka menā na niyantum udyamāt Ks_5.5b	SaSAka menA na niyantum udyamAt KH-_5.5b
   śaśāṅkalekhām iva paśyato divā Ks_5.48c	SaSAFka-leKAm iva paSyataH divA KH-_5.48c
   śaśina iva divātanasya lekhā Ks_4.46c	SaSinaH iva divAtanasya leKA Ks_4.46c
   śaśinā saha yāti kaumudī Ks_4.33a	SaSinA saha yAti kOmudI KH-_4.33a
   śaṃbhor yatadhvam ākraṣṭum Ks_2.59c	SaMBoH yataDvam Akrazwum KH-_2.59c
   śaṃsatīva parābhavam Ks_2.22b	SaMsati-iva parABavam KH-_2.22b
   śaṃsituṃ ca hṛdayena tatvare Ks_8.10d	SaMsitum ca hRdayena tatvare KH-_8.10d
   śākhināṃ patitapuṣpapeśalaiḥ Ks_8.72b	SAKinAm patita-puzpa-peSalEH KH-_8.72b
   śāpāvasāne pratipannamūrtter Ks_7.92c	SApa-avasAne pratipanna-mUrtteH Ks_7.92c
   śāmyet pratyapakāreṇa Ks_2.40c	SAmyet pratyapakAreNa Ks_2.40c
   śāradābhram iva rohiṇīpatiḥ Ks_8.82d	SArada-aBram iva rohiNI-patiH KH-_8.82d
   śārdūlacarmavyavadhānavatyām Ks_3.44b	SArdUla-carma-vyavaDAnavatyAm KH-_3.44b
   śārdūlacarmāntaritorupṛṣṭham Ks_7.37b	SArdUla-carma-antarita-Uru-pRzWam KH-_7.37b
   śārvarasya tamaso niṣiddhaye Ks_8.58b	SArvarasya tamasaH nizidDaye KH-_8.58b
   śikṣitaṃ yuvatinaipuṇaṃ tayā Ks_8.17c	Sikzitam yuvati-nEpuNam tayA KH-_8.17c
   śikharāsaktameghānāṃ Ks_6.40a	SiKara-Asakta-meGAnAm KH-_6.40a
   śirasā praṇipatya yācitāny Ks_4.17a	SirasA praNipatya yAcitAni KH-_4.17a
   śirīśapuṣpaṃ na punaḥ patatriṇaḥ Ks_5.4d	SirISa-puzpam na punar patatriNaH KH-_5.4d
   śirīṣapuṣpādhikasaukumāryau Ks_1.41a	SirIza-puzpa-aDika-sOkumAryO KH-_1.41a
   śilāśayāṃ tām aniketavāsinīṃ Ks_5.25a	SilA-SayAm tAm aniketa-vAsinIm KH-_5.25a
   śivena bhartrā saha dharmacaryā Ks_7.83c	Sivena BartrA saha Darma-caryA KH-_7.83c
   śiṣyatāṃ nidhuvanopadeśinaḥ Ks_8.17a	Sizya-tAm niDuvana-upadeSinaH KH-_8.17a
   śītalena niravāpayat kṣaṇaṃ Ks_8.18c	SItalena niravApayat kzaNam Ks_8.18c
   śucismitā madhyagatā sumadhyamā Ks_5.20b	Suci-smitA maDya-gatA sumaDyamA KH-_5.20b
   śucau caturṇāṃ jvalatāṃ havirbhujāṃ Ks_5.20a	SucO caturNAm jvalatAm havirBujAm KH-_5.20a
   śuddham āvilam avasthitaṃ calaṃ Ks_8.57a	SudDam Avilam avasTitam calam Ks_8.57a
   śuddhaye vidhivido gṛṇanty amī Ks_8.47d	SudDaye viDi-vidaH gRNanti amI KH-_8.47d
   śuddhāntaṃ śuddhakarmabhiḥ Ks_6.52d	SudDAntam SudDa-karmaBiH KH-_6.52d
   śuśrūṣamāṇāṃ giriśo 'numene Ks_1.59b	SuSrUzamANAm giriSaH anumene KH-_1.59b
   śuśrūṣayā śailasutām upetām Ks_3.60b	SuSrUzayA SElasutAm upetAm KH-_3.60b
   śūnyā jagāma bhavanābhimukhī kathaṃ cit Ks_3.75d	SUnyA jagAma Bavana-aBimuKI kaTam cit KH-_3.75d
   śūlinaḥ karataladvayena sā Ks_8.7a	SUlinaH kara-tala-dvayena sA KH-_8.7a
   śūlinaḥ suvadanā madasya ca Ks_8.79d	SUlinaH su-vadanAH madasya ca KH-_8.79d
   śṛṅgāṇi yasyātapavanti siddhāḥ Ks_1.5d	SRFgANi yasya-Atapavanti sidDAH KH-_1.5d
   śṛṅgeṇa ca sparśanimīlitākṣīṃ Ks_3.36c	SRFgeNa ca sparSa-nimIlita-akzIm KH-_3.36c
   śṛṇu kāryaṃ tavaiva tat Ks_6.74b	SRNu kAryam tava-eva tat Ks_6.74b
   śṛṇu yena sa karmaṇā gataḥ Ks_4.40c	SRNu yena sa karmaNA gataH Ks_4.40c
   śṛṇoti tasmād api yaḥ sa pāpabhāk Ks_5.83d	SRNoti tasmAt api yaH sa pApa-BAj KH-_5.83d
   śṛṇvan kathāḥ śrotrasukhās trinetraḥ Ks_7.69b	SRNvan kaTAH Srotra-suKAH trinetraH KH-_7.69b
   śeṣāṅganirmāṇavidhau vidhātur Ks_1.35c	Seza-aFga-nirmANa-viDO viDAtuH KH-_1.35c
   śailarājatanayā samīpagām Ks_8.49c	SElarAja-tanayA samIpa-gAm KH-_8.49c
   śailarājatanaye 'dhunā sthitām Ks_8.53b	SElarAja-tanaye aDunA sTitAm KH-_8.53b
   śailarājaduhitur haraṃ prati Ks_8.1b	SElarAja-duhituH haram prati KH-_8.1b
   śailarājabhavane sahomayā Ks_8.20c	SElarAja-Bavane saha-umayA KH-_8.20c
   śailaḥ saṃpūrṇakāmo 'pi Ks_6.85a	SElaH saMpUrNa-kAmaH api KH-_6.85a
   śailātmajāpi pitur ucchiraso 'bhilāṣaṃ Ks_3.75a	SEla-AtmajA-api pituH ucCirasaH aBilAzam KH-_3.75a
   śailādhipatyaṃ svayam anvatiṣṭhat Ks_1.17d	SEla-ADipatyam svayam anvatizWat KH-_1.17d
   śailādhirājatanayā na yayau na tasthau Ks_5.85d	SEla-aDirAja-tanayA na yayO na tasTO KH-_5.85d
   śaileyanaddheṣu śilātaleṣu Ks_1.55d	SEleya-nadDezu SilA-talezu KH-_1.55d
