   EINLEITUNG (nidānam)	EINLEITUNu (nidAnam)
   PrMoSū_Pāt.35:	PrMoSU_PAt.35:
   yaḥ punar bhikṣur jānaṃ bhikṣuṃ bhuktavantaṃ pravāritam akṛt(āt)iriktena	yaH punar BikzuH jAnam Bikzum Buktavantam pravAritam akRt(At)iriktena
   khādanīyabhojanīyena yāvadarthaṃ pravārayed idam āyuṣmaṃ khādeti	KAdanIya-BojanIyena yAvadarTam pravArayet idam Ayuzmam KAda-iti
   bhuṃkṣvety āsādanaprekṣī kaccid eṣa bhikṣur muhūrtam apy āsāditaḥ syād	BuMkzva-iti AsAdana-prekzI kaccit eza BikzuH muhUrtam api AsAditaH syAt-
   idam eva pratyayaṃ kṛtvā nānyathā pātayantikā 35	idam eva pratyayam kRtvA na-anyaTA pAtayantikAH 35
   PrMoSū_Pāt.36:	PrMoSU_PAt.36:
   gaṇabhojanam anyatra samayāt pātayantikā tatrāyaṃ samayo glānasamayaś	gaNa-Bojanam anyatra samayAt pAtayantikA tatra-ayam samayaH glAna-samayaS
   cīvaradānakālasamayaḥ adhvānamārgasamayaḥ nāvādhirohaṇaṃ	cIvara-dAna-kAla-samayaH aDvAna-mArga-samayaH nAvA-aDirohaNam
   mahāsamājaśramaṇabhaktasamayo 'yaṃ tatra samayaḥ (3)6	mahA-samAja-SramaNa-Bakta-samayaH ayam tatra samayaH (3)6
   PrMoSū_Pāt.37:	PrMoSU_PAt.37:
   yaḥ punar bhikṣur akāle khādanīyabhojanīyaṃ khāded vā bhuṃjīta vā	yaH punar BikzuH akAle KAdanIya-BojanIyam KAdet vA BuMjIta vA
   pātaya(n)tikā 37	pAtaya(n)tikA 37
   PrMoSū_Pāt.38:	PrMoSU_PAt.38:
   yaḥ punar bhikṣuḥ saṃnihitaṃ khādanīyabhojanīyaṃ khāded vā bhuṃjīta vā	yaH punar BikzuH saMnihitam KAdanIya-BojanIyam KAdet vA BuMjIta vA
   pātayantikā 38	pAtayantikAH 38
   PrMoSū_Pāt.39:	PrMoSU_PAt.39:
   yaḥ punar bhikṣur aparigṛhītam āhāraṃ mukhadvāreṇāhared	yaH punar BikzuH aparigRhItam AhAram muKa-dvAreNa-Aharet-
   anyatrodakadantakāṣṭhābhyāṃ pātayantikā 39	anyatra-udaka-danta-kAzWAByAm pAtayantikAH 39
   PrMoSū_Pāt.40:	PrMoSU_PAt.40:
   yāni punas tāni kuleṣu praṇītabhojanāny anujñātāni tadyathā kṣīraṃ dadhi	yAni punar tAni kulezu praNIta-BojanAni anujQAtAni tat-yaTA kzIram daDi
   navanītaṃ sarpis tailaṃ matsyo māṃsavallūrā yaḥ punar bhikṣur evaṃrūpāṇi	navanItam sarpiH tElam matsyaH mAMsa-vallUrAH yaH punar BikzuH evaMrUpANi
   praṇītabhojanāny ātmārtham aglāno vijñapayet pātayantikā 40 //	praNIta-BojanAni Atma-arTam aglAnaH vijQapayet pAtayantikAH 40 //
   PrMoSū_Pāt.41:	PrMoSU_PAt.41:
   yaḥ punar bhikṣur jānaṃ saprāṇakam udakaṃ paribhuṃjīta pātayantikā 41	yaH punar BikzuH jAnam sa-prANakam udakam pariBuMjIta pAtayantikAH 41
   PrMoSū_Pāt.42:	PrMoSU_PAt.42:
   yaḥ punar bhikṣuḥ sabhojane kule anupraskadya āsane niṣadyāṃ kalpayet	yaH punar BikzuH sa-Bojane kule anupraskadya Asane nizadyAm kalpayet-
   pātayantikā 42	pAtayantikAH 42
   PrMoSū_Pāt.43:	PrMoSU_PAt.43:
   yaḥ punar bhikṣuḥ sabhojane kule ekākī ekayā rahasi praticchanne niṣadyāṃ	yaH punar BikzuH sa-Bojane kule ekAkI ekayA rahasi praticCanne nizadyAm
   kalpayet pātayantikā 43	kalpayet pAtayantikAH 43
   PrMoSū_Pāt.44:	PrMoSU_PAt.44:
   yaḥ punar bhikṣur acelakasya parivrājakasya vā parivrājikāyā vā svahastaṃ	yaH punar BikzuH acelakasya parivrAjakasya vA parivrAjikAyAH vA sva-hastam
   khādanīyabhojanīyaṃ dadyāt pātayantikā 44	KAdanIya-BojanIyam dadyAt pAtayantikAH 44
   PrMoSū_Pāt.45:	PrMoSU_PAt.45:
   yaḥ punar bhikṣur udyuktāṃ senāṃ darśanāyopasaṃkramed anyatras	yaH punar BikzuH udyuktAm senAm darSanAya-upasaMkramet anyatras
   tathārūpapratyayāt pātayantikā 45	taTArUpa-pratyayAt pAtayantikAH 45
   PrMoSū_Pāt.46:	PrMoSU_PAt.46:
   syād bhikṣos tathārūpapratyayo yenodyuktāṃ senāṃ gacched dvirātraparamaṃ	syAt BikzoH taTArUpa-pratyayaH yena-udyuktAm senAm gacCet dvi-rAtra-paramam
   tena bhikṣuṇā tatra senāyāṃ vastavyaṃ tata uttaraṃ vaset pātayantikā 46	tena BikzuNA tatra senAyAm vastavyam tatas uttaram vaset pAtayantikAH 46
   PrMoSū_Pāt.47:	PrMoSU_PAt.47:
   dvirātraparamaṃ ced bhikṣuḥ senāyāṃ vasaty udyūthikāṃ senāṃ	dvi-rAtra-paramam ced BikzuH senAyAm vasati udyUTikAm senAm
   darśanāyopasaṃkramed dhvajāgraṃ vā balāgraṃ vā senāvyūhaṃ vā anīkadarśanaṃ	darSanAya-upasaMkramet Dvaja-agram vA bala-agram vA senA-vyUham vA anIka-darSanam
   vā pātayantikā 47	vA pAtayantikAH 47
   PrMoSū_Pāt.48:	PrMoSU_PAt.48:
   yaḥ punar bhikṣur abhiṣaktaḥ kupitaś caṇḍībhūto 'nāpta(ma)nā bhikṣoḥ	yaH punar BikzuH aBizaktaH kupitaH caNxIBUtaH anApta(ma)nA BikzoH
   prahāraṃ dadyāt pāta(yantikā) 48	prahAram dadyAt pAta(I-antikA) 48
   PrMoSū_Pāt.49:	PrMoSU_PAt.49:
   (yaḥ puna)r bhikṣur abhiṣaktaḥ kupitaś caṇḍībhūto 'nāptamanā bhikṣos	(yaH puna)H BikzuH aBizaktaH kupitaH caNxIBUtaH anApta-manAH BikzoH-
   talaśaktikayā prahāram avaguret pātayantikā (49)	tala-SaktikayA prahAram avaguret pAtayantikAH (49)
   PrMoSū_Pāt.50:	PrMoSU_PAt.50:
   (yaḥ) punar bhikṣur bhikṣor j(ā)naṃ duṣṭhūlāpatti(ṃ) praticchādayed antata	(yaH) punar BikzuH BikzoH j(A)nam duzWUla-Apatti(M) praticCAdayet antata
   ekarātram api pā(tayantikā) 50	eka-rAtram api pA(tayantikA) 50
   PrMoSū_Pāt.51:	PrMoSU_PAt.51:
   ya(ḥ pu)nar bhikṣur bhikṣum evaṃ vaded ehy āyuṣmaṃ kulāny	ya(H pu)nar BikzuH Bikzum evam vadet ehi Ayuzmam kulAni-
   upasaṃkramiṣyāvas tatra te dāpayiṣyāmi praṇītaṃ khādanīyabhojanīyaṃ sa	upasaMkramizyAvaH tatra te dApayizyAmi praNItam KAdanIya-BojanIyam sa
   tasya bhikṣor adāpayitvā tataḥ paścād evaṃ vaded gaccha tvam āyuṣman na me	tasya BikzoH adApayitvA tatas paScAt evam vadet gacCa tvam Ayuzmat na me
   tvayā sārdhaṃ phāṣa(ṃ) kathā vā niṣadyā vā ekākino me phāṣaṃ kathā vā	tvayA sArDam PAza(M) kaTAH vA nizadyAH vE ekAkinaH me PAzam kaTA vA
   niṣadyā vā udyojanaprekṣī kaccid eṣa bhikṣur muhūrtam apy udyojitaḥ syād	nizadyAH vA udyojana-prekzI kaccit eza BikzuH muhUrtam api udyojitaH syAt-
   etad eva pratyayaṃ kṛtvā nānyathā pātayantikā (5)1	etat eva pratyayam kRtvA na-anyaTA pAtayantikAH (5)1
   PrMoSū_Pāt.52:	PrMoSU_PAt.52:
   yaḥ punar bhikṣur aglāno vitapanaprekṣī abhyavakāśe jyotiḥ samindhyāt	yaH punar BikzuH aglAnaH vitapana-prekzI aByavakASe jyotiH saminDyAt-
   samedhayed vānyatra pratyayāt pātayantikā (5)2	sameDayet vA-anyatra pratyayAt pAtayantikAH (5)2
   PrMoSū_Pāt.53:	PrMoSU_PAt.53:
   yaḥ punar bhikṣur anupasaṃpannena pudgalena sārdham uttaraṃdvirātraṃ	yaH punar BikzuH anupasaMpannena pudgalena sArDam uttaraMdvi-rAtram
   sahāgāraśayyāṃ kalpayet pātayantikā (5)3	saha-AgAra-SayyAm kalpayet pAtayantikAH (5)3
   PrMoSū_Pāt.54:	PrMoSU_PAt.54:
   yaḥ punar bhikṣur dhārmike saṃghakaraṇīye cchandaṃ dat(t)vā tataḥ paścāt	yaH punar BikzuH DArmike saMGa-karaNIye cCandam dat(t)vA tatas paScAt-
   kṣepadharmam āpadyeta pātayantikā (5)4	kzepa-Darmam Apadyeta pAtayantikAH (5)4
   PrMoSū_Pāt.55:	PrMoSU_PAt.55:
   yaḥ punar bhikṣur evaṃ vadet tathāhaṃ bhagavato dharma(ṃ) deśitam ājānāmi	yaH punar BikzuH evam vadet taTA-aham BagavataH Darma(M) deSitam AjAnAmi
   ye antarāyikā dharmās tāṃ pratiṣevato nālam antarāyāyeti sa bhikṣur	ye antarAyikAH DarmAH tAm pratizevataH na-alam antarAyAya-iti sa BikzuH-
   bhikṣubhir evaṃ syād vacanīyo mā tvam āyuṣmann evaṃ vada tathāhaṃ	BikzuBiH evam syAt vacanIyaH mA tvam Ayuzman evam vada taTA-aham
   bhagavato dharmaṃ deśitam ājānāmi ye antarāyikā dharmās tāṃ pratiṣevato	BagavataH Darmam deSitam AjAnAmi ye antarAyikAH DarmAH tAm pratizevataH-
   nālam antarāyāyeti	na-alam antarAyAya-iti
   mā bhagavantaṃ vivada mā bhagavantam abhyākhyāhi na sādhu bhagavato	mA Bagavantam vivada mA Bagavantam aByAKyAhi na sADu BagavataH-
   'bhyākhyānaṃ bhavati na ca punar bhagavān evaṃ vaded anekaparyāyeṇa	aByAKyAnam Bavati na ca punar BagavAn evam vadet aneka-paryAyeNa
   bhagavatā antarāyikā dharmāḥ samānā antarāyikā dharmā ity uktās tāṃś ca	BagavatA antarAyikAH DarmAH samAnAH antarAyikAH DarmAH iti uktAH tAn ca
   pratiṣevato 'lam antarāyāyeti niḥsṛja tvam āyuṣmann idam evaṃrūpaṃ pāpakaṃ	pratizevataH alam antarAyAya-iti niHsRja tvam Ayuzman idam evaMrUpam pApakam
   dṛṣṭigatam	dRzwi-gatam
   eva(ṃ) ce(t sa) bhikṣur bhikṣubhir ucyamānas tad vastu pratiniḥsṛjed ity	eva(M) ce(t sa) BikzuH BikzuBiH ucyamAnaH tat vastu pratiniHsRjet iti-
   evaṃ kuśalaṃ na cet pratiniḥsṛjed dvir api trir api samanuśāsitavyas tasya	evam kuSalam na ced pratiniHsRjet dvis api tris api samanuSAsitavyaH tasya
   vastunaḥ pratiniḥsargāya (dv)ir api trir api samanuśiṣyamāṇas tad vastu	vastunaH pratiniHsargAya (dv)iH api tris api samanuSizyamANaH tat vastu
   pratiniḥsṛjed ity evaṃ kuśalaṃ no cet pratiniḥsṛjet pātayantikā 55	pratiniHsRjet iti evam kuSalam no ced pratiniHsRjet pAtayantikAH 55
   PrMoSū_Pāt.56:	PrMoSU_PAt.56:
   yaḥ punar bhikṣur jānaṃs tathāvādinaṃ pudgalam akṛtānudharmāṇam	yaH punar BikzuH jAnan taTAvAdinam pudgalam akRta-anuDarmANam
   apratiniḥsṛṣṭena pāpakena dṛṣṭigatena saṃbhuṃjīta vā saṃvased vā tena vā	apratiniHsRzwena pApakena dRzwi-gatena saMBuMjIta vA saMvaset vA tena vA
   sārdhaṃ sahāgāraśayyāṃ kalpayet pātayantikā (5)6	sArDam saha-AgAra-SayyAm kalpayet pAtayantikAH (5)6
   PrMoSū_Pāt.57:	PrMoSU_PAt.57:
   śramaṇoddeśaś ced evaṃ vadet tathāhaṃ bhagavato dharmaṃ deśitam ājānāmi	SramaNa-uddeSaH ced evam vadet taTA-aham BagavataH Darmam deSitam AjAnAmi
   yat kāmāṃ pratiṣevato nālam antarāyāyeti / sa śramaṇoddeśo bhikṣubhir evaṃ	yat kAmAm pratizevataH na-alam antarAyAya-iti / sa SramaNa-uddeSaH BikzuBiH evam
   syād vacanīyo mā tvam āyuṣmaṃ śramaṇoddeśa evaṃ vada tathāhaṃ bhagavato	syAt vacanIyaH mA tvam Ayuzmam SramaNa-uddeSaH evam vada taTA-aham BagavataH-
   dharmaṃ deśitam ājānāmi yat kāmāṃ pratiṣevato nālam antarāyāyeti	Darmam deSitam AjAnAmi yat kAmAm pratizevataH na-alam antarAyAya-iti
   mā bhagavantaṃ vivada mā bhagavantam abhyākhyāhi na sādhu bhagavato	mA Bagavantam vivada mA Bagavantam aByAKyAhi na sADu BagavataH-
   'bhyākhyānaṃ bhavati na ca punar bhagavān evaṃ vaded anekaparyāyeṇa	aByAKyAnam Bavati na ca punar BagavAn evam vadet aneka-paryAyeNa
   bhagavatā antarāyikāḥ kāmāḥ samānā antarāyikā ity uktās tāṃś ca	BagavatA antarAyikAH kAmAH samAnAH antarAyikAH iti uktAH tAn ca
   pratiṣevato 'lam antarāyāyeti niḥsṛja tvaṃ śramaṇoddeśa idam evaṃrūpaṃ	pratizevataH alam antarAyAya-iti niHsRja tvam SramaNa-uddeSaH idam evaMrUpam
   pāpakaṃ dṛṣṭigatam	pApakam dRzwi-gatam
   evaṃ cet sa śramaṇoddeśo bhikṣubhir ucyamānas tat pāpakaṃ dṛṣṭigataṃ	evam ced sa SramaNa-uddeSaH BikzuBiH ucyamAnaH tat pApakam dRzwi-gatam
   pratiniḥsṛjed ity evaṃ kuśalaṃ no cet pratiniḥsṛje(d) dvir api trir api	pratiniHsRjet iti evam kuSalam no ced pratiniHsRje(d) dvis api tris api
   samanuśāsitavyas tasya vastunaḥ pratiniḥsargāya sa yāva(d) dvir api trir	samanuSAsitavyaH tasya vastunaH pratiniHsargAya sa yAva(d) dvis api tris-
   api samanuśiṣyamāṇa(ḥ) sacet pratiniḥsṛjed ity evaṃ kuśalaṃ no cet	api samanuSizyamANa(H) saced pratiniHsRjet iti evam kuSalam no ced-
   pratiniḥsṛjet sa śramaṇod(d)eśo bhikṣubhir evaṃ syād vacanīyaḥ	pratiniHsRjet sa SramaNa-ud(d)a-ISaH BikzuBiH evam syAt vacanIyaH
   adyāgreṇa te śramaṇoddeśa na sa bhagavāṃ śāstā vyapadeṣṭavyo nāpy anye	adya-agreNa te SramaNa-uddeSa na sa BagavAm SAstA vyapadezwavyaH na-api anye
   bhikṣavaḥ samanubandhitavyā yām apy anye śramaṇodd(eś)ā labhante	BikzavaH samanubanDitavyAH yAm api anye SramaNa-udd(eS)AH laBante
   bhikṣubhiḥ sārdhaṃ dvirātraṃ sahāgāraśayyāṃ sāpi te adyāgreṇa nāsti cara	BikzuBiH sArDam dvi-rAtram saha-AgAra-SayyAm sA-api te adya-agreNa na-asti cara
   pareṇa mohapuruṣa naśya tvaṃ na tvayeha vastavyam iti /	pareNa moha-puruza naSya tvam na tvayA-iha vastavyam iti /
   yaḥ punar bhikṣur jānaṃs tathānāśitaṃ śramaṇoddeśam upasthāpayed vā	yaH punar BikzuH jAnan taTA-anASitam SramaNa-uddeSam upasTApayet vA
   upalāḍayed vā tena vā sārdhaṃ sahāgāraśayyāṃ kalpayet pātayantikā 57	upalAxayet vA tena vA sArDam saha-AgAra-SayyAm kalpayet pAtayantikAH 57
   PrMoSū_Pāt.58:	PrMoSU_PAt.58:
   yaḥ punar bhikṣu ratnaṃ vā ratnasaṃmataṃ vā svahastam udgṛhṇīyād	yaH punar Bikzu ratnam vA ratna-saMmatam vA sva-hastam udgRhNIyAt-
   udgrāhayed vā anyatrādhyārāmagatād vā adhyāvāsagatād vā pātayantikā	udgrAhayet vA anyatra-aDyArAma-gatAt vE aDyAvAsa-gatAt vA pAtayantikA
   adhyārāmagataṃ adhyāvāsagataṃ ratnaṃ vā ratnasaṃmataṃ vā	aDyArAma-gatam aDyAvAsa-gatam ratnam vA ratna-saMmatam vA
   evaṃcittenodgṛhītavyam udgrāhayitavyaṃ vā yasya bhaviṣyati sa enaṃ	evaMcittena-udgRhItavyam udgrAhayitavyam vA yasya Bavizyati saH enam
   hariṣyati iyaṃ tatra sāmīciḥ 58	harizyati iyam tatra sAmIciH 58
   PrMoSū_Pāt.59:	PrMoSU_PAt.59:
   navacīvarapratilābhād bhikṣuṇā trayāṇāṃ durvarṇīkaraṇānām anyatamānyatamam	nava-cIvara-pratilABAt BikzuNA trayANAm durvarNIkaraNAnAm anyatama-anyatamam
   ādātavyaṃ navasya durvarṇīkaraṇāya nīlaṃ vā kardamo vā kāḍiśāmo vā anādāya	AdAtavyam navasya durvarNIkaraNAya nIlam vA kardamaH vA kAxi-SAmaH vA anAdAya
   ced bhikṣus trayāṇāṃ durvarṇīkaraṇānām anyatamānyatamaṃ durvarṇīkaraṇaṃ	ced BikzuH trayANAm durvarNIkaraNAnAm anyatama-anyatamam durvarNIkaraNam
   navaṃ cīvaraṃ paribhuṃjīta pātayantikā 59	navam cIvaram pariBuMjIta pAtayantikAH 59
   PrMoSū_Pāt.60:	PrMoSU_PAt.60:
   ardhamāsikaṃ snātram anyatra samayāt tadatikrāmataḥ pātayantikā tatrāyaṃ	arDa-mAsikam snAtram anyatra samayAt tat-atikrAmataH pAtayantikA tatra-ayam
   samayaḥ sārdho māsaḥ śeṣo grīṣmasya pūrvo māso varṣāṇām etau sārdhau dvau	samayaH sArDaH mAsaH SezaH grIzmasya pUrvaH mAsaH varzANAm etO sArDO dvO
   māsau paridāghasamayaḥ avaśiṣṭaṃ glānasamayaḥ karmasamayo vātasamayo	mAsO paridAGa-samayaH avaSizwam glAna-samayaH karma-samayaH vAta-samayaH-
   vṛṣṭisamayo 'dhvānamārgasamayo 'yaṃ tatra samayaḥ 60 //	vRzwi-samayaH aDvAna-mArga-samayaH ayam tatra samayaH 60 //
   PrMoSū_Pāt.61:	PrMoSU_PAt.61:
   yaḥ punar bhikṣuḥ saṃcintya tīryagyonigataṃ prāṇinaṃ jīvitād vyaparopayet	yaH punar BikzuH saMcintya tIryagyoni-gatam prANinam jIvitAt vyaparopayet-
   pātayantikā 61	pAtayantikAH 61
   PrMoSū_Pāt.62:	PrMoSU_PAt.62:
   yaḥ punar bhikṣur bhikṣoḥ saṃcintya kaukṛtyam upasaṃhared viheṭhanāprekṣī	yaH punar BikzuH BikzoH saMcintya kOkRtyam upasaMharet viheWanA-prekzI
   kaccid asya bhikṣor muhūrtam api tāvad aphāṣaṃ bhaved idam eva pratyayaṃ	kaccit asya BikzoH muhUrtam api tAvat aPAzam Bavet idam eva pratyayam
   kṛtvā nānyathā pātayantikā (6)2	kRtvA na-anyaTA pAtayantikAH (6)2
   PrMoSū_Pāt.63:	PrMoSU_PAt.63:
   aṅgulipratodanāt pātayantikā (6)3	aFguli-pratodanAt pAtayantikAH (6)3
   PrMoSū_Pāt.64:	PrMoSU_PAt.64:
   udakaharṣaṇāt pātayantikā (6)4	udaka-harzaNAt pAtayantikAH (6)4
   PrMoSū_Pāt.65:	PrMoSU_PAt.65:
   yaḥ punar bhikṣur mātṛgrāmeṇa sārdhaṃ sahāgāraśayyāṃ kalpayet pātayantikā	yaH punar BikzuH mAtR-grAmeNa sArDam saha-AgAra-SayyAm kalpayet pAtayantikA
   PrMoSū_Pāt.66:	PrMoSU_PAt.66:
   yaḥ punar bhikṣur bhikṣuṃ bhīṣayed bhīṣāpayed vā antato hāsyaprekṣyam api	yaH punar BikzuH Bikzum BIzayet BIzApayet vE antatas hAsya-prekzyam api
   pātayantikā (6)6	pAtayantikAH (6)6
   PrMoSū_Pāt.67:	PrMoSU_PAt.67:
   yaḥ punar bhikṣur bhikṣoḥ pātraṃ vā cīvaraṃ vā kuñcikaṃ vā upānahaṃ vā	yaH punar BikzuH BikzoH pAtram vA cIvaram vA kuQcikam vA upAnaham vA
   sūcīgharakaṃ vā anyatamānyatamaṃ vā śrāmaṇakaṃ pariṣkāram upanidadhyād	sUcI-Garakam vA anyatama-anyatamam vA SrAmaNakam parizkAram upanidaDyAt-
   upanidhāpayed vā antato hāsyaprekṣyam api pātayantikā 67	upaniDApayet vE antatas hAsya-prekzyam api pAtayantikAH 67
   PrMoSū_Pāt.68:	PrMoSU_PAt.68:
   yaḥ punar bhikṣur bhikṣoḥ pātraṃ vā cīvaram vā dat(t)vā tataḥ paścād	yaH punar BikzuH BikzoH pAtram vA cIvaram vA dat(t)vA tatas paScAt-
   apratyuddhārya paribhuṃjīta pātayantikā 68	apratyudDArya pariBuMjIta pAtayantikAH 68
   PrMoSū_Pāt.69:	PrMoSU_PAt.69:
   yaḥ punar bhikṣur bhikṣum amūlakena saṃghāvaśeṣeṇa dharmeṇānudhvaṃsayet	yaH punar BikzuH Bikzum amUlakena saMGa-avaSezeNa DarmeNa-anuDvaMsayet-
   pātayantikā 69	pAtayantikAH 69
   PrMoSū_Pāt.70:	PrMoSU_PAt.70:
   yaḥ punar bhikṣur mātṛgrāmeṇa sārdhaṃ saṃvidhāya samānamārgaṃ pratipadyeta	yaH punar BikzuH mAtR-grAmeNa sArDam saMviDAya samAna-mArgam pratipadyeta
   antato grāmāntaram api pātayantikā 70 //	antataH grAma-antaram api pAtayantikAH 70 //
   PrMoSū_Pāt.71:	PrMoSU_PAt.71:
   yaḥ punar bhikṣuḥ steyasārthena sārdhaṃ saṃvidhāya samānamārgaṃ	yaH punar BikzuH steyasArTena sArDam saMviDAya samAna-mArgam
   pratipadyeta antato grāmāntaram api pātayantikā 71	pratipadyeta antatas grAma-antaram api pAtayantikAH 71
   PrMoSū_Pāt.72:	PrMoSU_PAt.72:
   yaḥ punar bhikṣur ūnaviṃśativarṣaṃ pudgalaṃ bhikṣubhāvenopasaṃpādayet	yaH punar BikzuH UnaviMSati-varzam pudgalam Bikzu-BAvena-upasaMpAdayet
   pātayantikā sa ca pudgalo 'nupasaṃpannas te ca bhikṣavo garhyā iyaṃ tatra	pAtayantikA sa ca pudgalaH anupasaMpannaH te ca BikzavaH garhyAH iyam tatra
   sāmīciḥ 72	sAmIciH 72
   PrMoSū_Pāt.73:	PrMoSU_PAt.73:
   yaḥ punar bhikṣuḥ pṛthivīṃ khanyāt khānayed vā pātayantikā (7)3	yaH punar BikzuH pRTivIm KanyAt KAnayet vA pAtayantikAH (7)3
   PrMoSū_Pāt.74:	PrMoSU_PAt.74:
   caturmāsikā bhikṣuṇā pravāraṇā sādhayitavyā anyatra nityapravāraṇāyā	catur-mAsikA BikzuNA pravAraNA sADayitavyA anyatra nitya-pravAraNAyAH-
   anyatra punaḥpunaḥpravāraṇāyā anyatra pratyekapravāraṇāyā tata uttaraṃ	anyatra punar-punar-pravAraNAyAH anyatra pratyeka-pravAraNAyAH tatas uttaram
   sādhayet pātayantikā 74	sADayet pAtayantikAH 74
   PrMoSū_Pāt.75:	PrMoSU_PAt.75:
   yaḥ punar bhikṣur bhikṣubhir ucyamāna iha te śikṣāyāṃ śikṣitavyam ity evaṃ	yaH punar BikzuH BikzuBiH ucyamAnaH iha te SikzAyAm Sikzitavyam iti evam
   vaden nāhaṃ yuṣmākaṃ bālānāṃ mūḍhānāṃ duṣprajñānāṃ vacanenātra śikṣāyāṃ	vadet na-aham yuzmAkam bAlAnAm mUXAnAm duzprajQAnAm vacanena-atra SikzAyAm
   śikṣiṣyāmi anyān ahaṃ bhikṣūṃ prakṣyāmi sūtradharān vinayadharān	SikzizyAmi anyAn aham BikzUm prakzyAmi sUtra-DarAn vinaya-DarAn
   mātṛkādharān iti pātayantikā / ājñātukāmena bhikṣuṇā tatra śikṣāyāṃ	mAtRkA-DarAn iti pAtayantikA / AjQAtu-kAmena BikzuNA tatra SikzAyAm
   śikṣitavyaṃ bhikṣavaś ca praṣṭavyāḥ sūtradharā vinayadharā mātṛkādharāḥ /	Sikzitavyam BikzavaH ca prazwavyAH sUtraDarAH vinaya-DarAH mAtRkA-DarAH /
   iyaṃ tatra sāmīciḥ 75	iyam tatra sAmIciH 75
   PrMoSū_Pāt.76:	PrMoSU_PAt.76:
   yaḥ punar bhikṣur bhikṣūṇāṃ kalahajātānāṃ bhaṇḍanajātānāṃ vigṛhītānāṃ	yaH punar BikzuH BikzUNAm kalaha-jAtAnAm BaNxana-jAtAnAm vigRhItAnAm
   vivādam āpannānāṃ tūṣṇīm upaśrutikas tiṣṭhed yad ete bhikṣavo vakṣyanti	vivAdam ApannAnAm tUzNIm upaSrutikaH tizWet yat ete BikzavaH vakzyanti
   tad ahaṃ śrutvā tathānuvyāhariṣyāmīti pā(tayantikā) (7)6	tat aham SrutvA taTA-anuvyAharizyAmi-iti pA(tayantikA) (7)6
   PrMoSū_Pāt.77:	PrMoSU_PAt.77:
   yaḥ punar bhikṣuḥ saṃghasy(a) n(i)ścitāyāṃ kathāyāṃ vartamānāyāṃ tūṣṇīm	yaH punar BikzuH saMGasy(a) n(i)H-citAyAm kaTAyAm vartamAnAyAm tUzNIm
   utthāya prakramet saṃtaṃ bhikṣum anava(lokya pātaya)ntikā (77)	utTAya prakramet saMtam Bikzum anava(lokya pAtaya)ntikA (77)
   PrMoSū_Pāt.78:	PrMoSU_PAt.78:
   anādareyakāt pātayantikā (7)8	anAdareyakAt pAtayantikAH (7)8
   PrMoSū_Pāt.79:	PrMoSU_PAt.79:
   surāmaireyamadyapānāt pātayantikā 79	surA-mEreya-madya-pAnAt pAtayantikAH 79
   PrMoSū_Pāt.80:	PrMoSU_PAt.80:
   yaḥ punar bhikṣur akāle grāmaṃ praviśet santaṃ bhikṣum anavalokyānyatra	yaH punar BikzuH akAle grAmam praviSet santam Bikzum anavalokya-anyatra
   tathārūpapratyayāt pātayantikā 80 //	taTArUpa-pratyayAt pAtayantikAH 80 //
   PrMoSū_Pāt.81:	PrMoSU_PAt.81:
   yaḥ punar bhikṣuḥ sabhaktaṃ(?) kuleṣūpanimantritaḥ pūrvabhaktaṃ	yaH punar BikzuH sa-BaktaM(?) kulezu-upanimantritaH pUrva-Baktam
   paścādbhaktaṃ kuleṣu cāritram āpadyeta pā(tayantikā) 81	paScAt-Baktam kulezu cAritram Apadyeta pA(tayantikA) 81
   PrMoSū_Pāt.82:	PrMoSU_PAt.82:
   yaḥ punar bhikṣu rājñaḥ kṣatriyasya mūrdhābhiṣiktasya ani(ṣk)rānte rājñ(i)	yaH punar Bikzu rAjQaH kzatriyasya mUrDABiziktasya ani(zk)ra-ante rAjQ(i)
   anirgṛhīteṣu ratneṣu indrakīlaṃ vā indrakīlabhūmiṃ vā samatikramed anyatra	anirgRhItezu ratnezu indrakIlam vE indrakIla-BUmim vA samatikramet anyatra
   tathārūpapratyayāt pātayantikā (8)2	taTArUpa-pratyayAt pAtayantikAH (8)2
   PrMoSū_Pāt.83:	PrMoSU_PAt.83:
   yaḥ punar bhikṣuḥ prātimokṣasūtroddiśyamāne evaṃ vaded idānīm ahaṃ jānāmi	yaH punar BikzuH prAtimokza-sUtra-uddiSyamAne evam vadet idAnIm aham jAnAmi
   yad aya(ṃ) dharmaḥ sūtragataḥ sūtraparyāpanna iti taṃ ca bhikṣavo jānīyuḥ	yat aya(M) DarmaH sUtra-gataH sUtra-paryApannaH iti tam ca BikzavaH jAnIyuH
   saṃniṣaṇṇapūrvo 'yam āyuṣmāṃ dvis triḥ prātimokṣasūtroddeśe kaḥ punar vādo	saMnizaNNa-pUrvaH ayam AyuzmAm dvis tris prAtimokza-sUtra-uddeSe kaH punar vAdaH-
   bhūya iti tasya punar bhikṣor nāsty ajñānān mokṣo	BUyas iti tasya punar BikzoH na-asti ajQAnAt mokzaH-
   yāṃ cāpattim āpannaḥ syāt tāṃ yathādharmaṃ kārayitavya uttarañ ca	yAm ca-Apattim ApannaH syAt tAm yaTADarmam kArayitavyaH uttaran ca
