   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   saṃsāraduḥkhaśāntyarthaṃ tajjā vā sā suśāntaye /	saMsAra duHKa SAnti arTam tad jAH vA sA su SAntaye /
   saṃyajed gocarīkṛtya bhaktyā suśraddhayā tu vai // Paus_38.172 //	saMyajet gocarIkRtya BaktyA suSradDayA tu vE // POH _38.172 //
   vācakair dvādaśārṇādyaiḥ śaśvaccābhimatāptaye /	vAcakEH dvAdaSa arNa AdyEH SaSvat ca aBimata Aptaye /
   vicitrākṛtir astrāṅgavastrasragbhūṣaṇādikaiḥ // Paus_38.173 //	vicitra AkRtiH astra aFga vastra sraj BUzaNa AdikEH // POH _38.173 //
   śaktipūtaiḥ susaṃpūrṇā tathānyaiḥ sādhanaiḥ svakaiḥ /	Sakti pUtEH su saMpUrNA taTA anyEH sADanEH svakEH /
   śuddhasaṃvinmayaṃ tvevaṃ vyaktavigraham ācyutam // Paus_38.174 //	SudDa saMvid mayam tu evam vyakta vigraham Acyutam // POH _38.174 //
   pauruṣeṇa tu rūpeṇa smartavyaṃ satpadāptaye /	pOruzeNa tu rUpeNa smartavyam sat pada Aptaye /
   vapuṣā sundareṇaiva divyenāvikṛtena ca // Paus_38.175 //	vapuzA sundareNa eva divyena avikRtena ca // POH _38.175 //
   muñcantam aniśaṃ dehād ālokaṃ jñānalakṣaṇam /	muQcantam aniSam dehAt Alokam jQAna lakzaNam /
   prayatnena vinā jñānaṃ nyāsakṛd dhyāyināṃ mahat // Paus_38.176 //	prayatnena vinA jQAnam nyAsa kRt DyAyinAm mahat // POH _38.176 //
   sragvastrābharaṇair yuktaṃ svānurūpair anūpamaiḥ /	sraj vastra ABaraNEH yuktam sva anurUpEH anUpamEH /
   cinmayaiḥ svaprakāśaistu anyonyarucirañjitaiḥ // Paus_38.177 //	cit mayEH sva prakASEH tu anyonya ruci raQjitEH // POH _38.177 //
   pūrvakarmānalārtānāṃdhyāyināṃ svedaśāntaye /	pUrva karma anala ArtAnAMDyAyinAm sveda SAntaye /
   svadattenducayotthena hlādeyad gogaṇena tu // Paus_38.178 //	sva datta indu caya utTena hlAdeyat go gaNena tu // POH _38.178 //
   vidyākalābhidhe śaktī saṃdhatte śaṅkhacakravat /	vidyA kalA aBiDe SaktI saMDatte SaFKa cakra vat /
   jñānakriyātmake viddhi icchāsaṃvalite 'bjaja // Paus_38.179 //	jQAna kriyA Atmake vidDi icCA saMvalite abja jaH // POH _38.179 //
   anantaśaktir bhagavāṃstam anantaguṇaṃ smṛtam /	ananta SaktiH BagavAn= tam ananta guNam smRtam /
   dṛśyadṛṣṭāntasūryenduvahnitattvair vilakṣaṇam // Paus_38.180 //	dRSya dRzwAnta sUrya indu vahni tattvEH vilakzaNam // POH _38.180 //
   svabodhapratyayenaiva iyattāsya vidhīyate /	sva boDa pratyayena eva iyattA asya viDIyate /
   sarvam evaiṣa bhagavān kimu sarvam ataḥ param // Paus_38.181 //	sarvam eva eza BagavAn kimu sarvam atas param // POH _38.181 //
   dhyeyam asya yadā bhāti sā vidyā svātmani sthitā /	Dyeyam asya yadA BAti sA vidyA sva Atmani sTitA /
   bhaktyā yathocitadhyānād etasmād eva śāntaye // Paus_38.182 //	BaktyA yaTocita DyAnAt etasmAt eva SAntaye // POH _38.182 //
   evam asya paraṃ rūpaṃ paramaṃ vinibodhatu /	evam asya param rUpam paramam viniboDatu /
   dhyāyināṃ bhavyabuddhīnāṃ paramānandadaṃ hi yat // Paus_38.183 //	DyAyinAm Bavya budDInAm parama Ananda dam hi yat // POH _38.183 //
   dhanukuñcitanīlāliga (?da) litāñjanasannibhaiḥ /	Danu kuQcita nIlA aligaH (?da) lita aQjana sanniBEH /
   karpūradhūsarairdivyaiḥ puṣpasaṃvalitāntaraiḥ // Paus_38.184 //	karpUra DUsarEH divyEH puzpa saMvalita antarEH // POH _38.184 //
   kirīṭamakuṭākrāntaiḥ śobhitaṃ suśiroruhaiḥ /	kirIwamakuwa AkrAntEH SoBitam su SiroruhEH /
   sthalābjakāśasaṃkāśapadmarāgaruciprabhaiḥ // Paus_38.185 //	sTala abja kASa saMkASa padmarAga ruci praBEH // POH _38.185 //
   pāṇipādatalai raktairvadanair adharādikaiḥ /	pANi pAda talEH raktEH vadanEH aDara AdikEH /
   nāsāśravaṇarandhrāntair muktābhāsādikair dvijaiḥ // Paus_38.186 //	nAsA SravaNa ranDra antEH mukta ABAsa AdikEH dvijEH // POH _38.186 //
   īṣadāraktagokṣīraśuddhanīlābjalocanaiḥ /	Izat Arakta go kzIra SudDa nIla abja locanEH /
   evaṃ hṛtpuṇḍarīke prāk puṇḍarīkākṣam acyutam // Paus_38.187 //	evam hRd puNxarIke prAk puNxarIkAkzam acyutam // POH _38.187 //
   nānāmantraprabhākāntidhyānam icchāpradaṃ bhavet /	nAnA mantra praBA kAnti DyAnam icCA pradam Bavet /
   bahirvai maṇḍale dhyānaṃ bhavaduḥkhaṃ nayet kṣayam // Paus_38.188 //	bahis vE maNxale DyAnam Bava duHKam nayet kzayam // POH _38.188 //
   parasmād bhagavattattvād ananyatvena vartate /	parasmAt Bagavat tattvAt ananya tvena vartate /
   atra sthitaṃ bahirjñeyaṃ mantravyūhaṃ sadoditam // Paus_38.189 //	atra sTitam bahis jQeyam mantra vyUham sadA uditam // POH _38.189 //
   nānāvyaktisvarūpeṇa bhavināṃ mokṣadaṃ hi yat /	nAnA vyakti svarUpeNa BavinAm mokza dam hi yat /
   tatra tāvat parijñeyā kramaśo vai puroditāḥ // Paus_38.190 //	tatra tAvat parijQeyA kramaSas vE purA uditAH // POH _38.190 //
   nirdiṣṭalakṣaṇā brahman varāhādyāstu śaktayaḥ /	nirdizwa lakzaNAH brahman varAha AdyAH tu SaktayaH /
   tāsāṃ vyaktaṃ kramād dhyānaṃ yathāvat prāk prakāśitam // Paus_38.191 //	tAsAm vyaktam kramAt DyAnam yaTAvat prAk prakASitam // POH _38.191 //
   parasya brahmaṇastvevaṃ nityā vā vyāpakāmalā /	parasya brahmaNaH tu evam nityAH vA vyApaka amalA /
   mūrtirvai vāsudevākhyā tvabhedena sthitābjaja // Paus_38.192 //	mUrtiH vE vAsudeva AKyA tu aBedena sTitA abja jaH // POH _38.192 //
   jvālā jyotstnā prabhā yadvat vahner indor vivasvataḥ /	jvAlA jyotstnA praBA yadvat vahneH indoH vivasvataH /
   svecchayā yo 'bhimānākhyarūpaṃ dhatte yathoditam // Paus_38.193 //	sva icCayA yaH aBimAna AKya rUpam Datte yaTA uditam // POH _38.193 //
   anugrahārtham evaṃ vai bhagavanmantraśaktayaḥ /	anugraha arTam evam vE Bagavat mantra SaktayaH /
   vyayañjayanti svakaṃ rūpam ābhimānikam uttamam // Paus_38.194 //	vyayaQjayanti svakam rUpam ABimAnikam uttamam // POH _38.194 //
   yamālambyācireṇaiva japād dhyānāt samarcanāt /	yama Alambya acireNa eva japAt DyAnAt samarcanAt /
   sarvam āpnoti mantrajñaḥ tava bhaktipradaḥ sthitaḥ // Paus_38.195 //	sarvam Apnoti mantra jQaH tava Bakti pradaH sTitaH // POH _38.195 //
   sāhajaṃ prākṛtaṃ karmabandhaṃ karmātmajaṃ hi yat /	sAhajam prAkRtam karma banDam karma Atmajam hi yat /
   saṃsthitaṃ hi yathā tāmraṃ dhātorabjaja kālikam // Paus_38.196 //	saMsTitam hi yaTA tAmram DAtoH abjaja kAlikam // POH _38.196 //
   bhūtvā sarvajñaśaktiḥ sā svayaṃ mantratarātmanā /	BUtvA sarvajQa SaktiH sA svayam mantratara AtmanA /
   kramāt karmātmatattvānām anuvedhaṃ karoti ca // Paus_38.197 //	kramAt karma Atma tattvAnAm anuveDam karoti ca // POH _38.197 //
   bhaktiyuktam asaṃbādhaṃ śaśvad ye cāpnuvanti te /	Bakti yuktam asaMbADam SaSvat ye ca Apnuvanti te /
   pibanti paramaṃ brahma īśaṃ mantrātmanāptaye // Paus_38.198 //	pibanti paramam brahma ISam mantra AtmanA Aptaye // POH _38.198 //
   labdhādhikārāḥ kramaśaḥ saṃprāpya sveśvare pade /	labDa aDikArAH kramaSas saMprApya sveSvare pade /
   prayānti mantrasāmarthyād yasmānnāyānti te punaḥ // Paus_38.199 //	prayAnti mantra sAmarTyAt yasmAt na AyAnti te punar // POH _38.199 //
   jñātvaivaṃ kamalodbhūta dhyeyāḥ pūjyāstathaiva hi /	jQAtvA evam kamala udBUta DyeyAH pUjyAH taTA eva hi /
   ye pradhānatarā mantrā mūrtayo 'pi jagatprabhoḥ // Paus_38.200 //	ye praDAnatarA mantrAH mUrtayaH api jagat praBoH // POH _38.200 //
   ārādhanājjapād dhyānāt parijñānācca te śubham /	ArADanAt japAt DyAnAt parijQAnAt ca te SuBam /
   yacchanti padam ātmīyaṃ tat tad akṣayam ācyutam // Paus_38.201 //	yacCanti padam AtmIyam tat tat akzayam Acyutam // POH _38.201 //
   dahanti vahnivat karmajālaṃ karmātmanāṃ mahat /	dahanti vahni vat karma jAlam karma AtmanAm mahat /
   evaṃ jñātvābjasaṃbhūta suprasiddhaistu vācakaiḥ // Paus_38.202 //	evam jQAtvA abja saMBUta su prasidDEH tu vAcakEH // POH _38.202 //
   dvādaśākṣarapūrvaistu ṣaḍaṣṭākṣarapaścimaiḥ /	dvAdaSa akzara pUrvEH tu zaz azwa akzara paScimEH /
   svasaṃjñākhyaiḥ svabījairvā saṃprāptair deśikānanāt // Paus_38.203 //	sva saMjQA AKyEH sva bIjEH vA saMprAptEH deSika AnanAt // POH _38.203 //
   smartavyā vāsudevākhyā dvibhedāḥ parameśvarāḥ /	smartavyAH vAsudeva AKyAH dvi BedAH parameSvarAH /
   catvāraścāniruddhāntāścaturvyūhavyavasthayā // Paus_38.204 //	catvAraH ca anirudDAntAH catur vyUha vyavasTayA // POH _38.204 //
   evam anye varāhādyāścaturvyūhena vai saha /	evam anye varAha AdyAH catur vyUhena vE saha /
   tathaiva keśavādyā ye dvādaśāḥ (?śa) saṃprakīrtitāḥ // Paus_38.205 //	taTA eva keSava AdyAH ye dvAdaSAH (?Sa) saMprakIrtitAH // POH _38.205 //
   anujjhitasvarūpasya nānāmūrtiyutasya ca /	anujJita svarUpasya nAnA mUrti yutasya ca /
   nānāvyatyayasaṃsthasya yajanaṃ caturātmanaḥ // Paus_38.206 //	nAnA vyatyaya saMsTasya yajanam catur AtmanaH // POH _38.206 //
   yat tu nānārthasiddhyarthaṃ tathā ruciguṇāptaye /	yat tu nAnA arTa sidDi arTam taTA ruci guNa Aptaye /
   samyag jñātvā tu ṣāḍguṇyaṃ mahimā śāntatā parā // Paus_38.207 //	samyak jQAtvA tu zAxguNyam mahimA SAnta tA parA // POH _38.207 //
   prāptum icchati yacchīghraṃ dhīmatā tena pauṣkara /	prAptum icCati yat SIGram DImatA tena pOzkara /
   pūjanīyaṃ yathāvastham adhyakṣāntaṃ hi kevalam // Paus_38.208 //	pUjanIyam yaTAvasTam aDyakza antam hi kevalam // POH _38.208 //
   prāgvadvibhavamūrtīnāṃ pañca vyūhādyapekṣayā /	prAgvat viBava mUrtInAm paQca vyUha Adi apekzayA /
   aiśvaryapūrvaṣāḍguṇyaṃ cāturātmyādyam icchati // Paus_38.209 //	ESvarya pUrva zAxguNyam cAturAtmyAdyam icCati // POH _38.209 //
   sapradyumnācyutādhyakṣavāsudevādyam arcayet /	sa pradyumna acyuta aDyakza vAsudeva Adyam arcayet /
   yaḥ punarmūrtipūrvaṃ tu icched guṇagaṇaṃ mahat // Paus_38.210 //	yaH punar mUrti pUrvam tu icCet guNa gaNam mahat // POH _38.210 //
   saṃkalpasiddhayaḥ sarvā vividhāścāṇimādayaḥ /	saMkalpa sidDayaH sarvAH viviDAH ca aNima AdayaH /
   sarveśvaro 'nugantavya adhyakṣāntaṃ tu sācyutam // Paus_38.211 //	sarva ISvaraH anugantavyaH aDyakza antam tu sa acyutam // POH _38.211 //
   pradyumnāntaṃ tu satataṃ samādhāvarcane hitam /	pradyumna antam tu satatam samADO= arcane hitam /
   mukhyatvena tu vai yasya calādyaṃ guṇasaṃgraham // Paus_38.212 //	muKya tvena tu vE yasya cala Adyam guNa saMgraham // POH _38.212 //
   pratibhāti gurorvaktraṃ dhīraṃ tasyārcane punaḥ /	pratiBAti guroH vaktram DIram tasya arcane punar /
   vāsudevācyutādhyakṣakramaṃ pradyumnapaścimam // Paus_38.213 //	vAsudeva acyuta aDyakza kramam pradyumna paScimam // POH _38.213 //
   ṣaṭkaṃ tu vīryapūrvaṃ vai icchatyārādhanāttu yaḥ /	zawkam tu vIrya pUrvam vE icCati ArADanAt tu yaH /
   apradyumnaṃ tam adhyakṣamacyutaṃ saṃyajettadā // Paus_38.214 //	apradyumnam tam aDyakzam acyutam saMyajet tadA // POH _38.214 //
   tejaḥpūrvaṃ tu ṣāḍguṇyaṃ yor'canād abhivāñchati /	tejaH pUrvam tu zAxguNyam yoracanAt aBivAQCati /
   tasyārcane tu vihitaṃ bhūyo 'dhyakṣādikaṃ trayam // Paus_38.215 //	tasya arcane tu vihitam BUyas aDyakza Adikam trayam // POH _38.215 //
   prāgarcanāttu mūrtīnāṃ kevalād arcanāt tu vā /	prAc arcanAt tu mUrtInAm kevalAt arcanAt tu vA /
   kaivalyaṃ bhagavattattvaṃ mantrajñaḥ samavāpnuyāt // Paus_38.216 //	kEvalyam Bagavat tattvam mantra jQaH samavApnuyAt // POH _38.216 //
   mūrtitrayaṃ tadante yat sarvagaṃ yadyapi sthitam /	mUrti trayam tad ante yat sarvagam yadi api sTitam /
   tathāpi viśvavibhavaṃ yatsatyaṃ tvātmanā prabhuḥ // Paus_38.217 //	taTA api viSva viBavam yat satyam tu AtmanA praBuH // POH _38.217 //
   jñātvaivam arcanīyaṃ tu tameva samanantaram /	jQAtvA evam arcanIyam tu tam eva samanantaram /
   jāgrad īśvaram adhyakṣaṃ tvayā nāthātmanā saha // Paus_38.218 //	jAgrat ISvaram aDyakzam tvayA na aTa AtmanA saha // POH _38.218 //
   trayāṇām acyutādīnāṃ prāthamyena tu pūjanāt /	trayANAm acyuta AdInAm prATamyena tu pUjanAt /
   tatpadeṣvādidevasya kramād ārādhayet trayam // Paus_38.219 //	tad padezu Adidevasya kramAt ArADayet trayam // POH _38.219 //
   cāturātmīyayogena guṇānām evam arcanam /	cAturAtmIya yogena guNAnAm evam arcanam /
   kuryād vai vidhivanmantrī yathā tadavadhāraya // Paus_38.220 //	kuryAt vE viDivat mantrI yaTA tat avaDAraya // POH _38.220 //
   jñānaṃ balamathaiśvaryaṃ vīryaṃ ca tadanantaram /	jQAnam balam aTa ESvaryam vIryam ca tad anantaram /
   catuṣṭayam idaṃ bhinnaṃ yajanāt siddhikṛt sakṛt // Paus_38.221 //	catuzwayam idam Binnam yajanAt sidDi kRt sakRt // POH _38.221 //
   balam aiśvaryavīrye ca tejoniṣṭhaṃ catuṣṭayam /	balam ESvarya vIrye ca tejaH nizWam catuzwayam /
   yaṃ ya icchatyabhimataṃ parijñānād avāpnuyāt // Paus_38.222 //	yam yaH icCati aBimatam parijQAnAt avApnuyAt // POH _38.222 //
   tejaḥ śaktistathā jñānaṃ balaṃ vīryāntam eva hi /	tejaH SaktiH taTA jQAnam balam vIrya antam eva hi /
   iṣṭaṃ catuṣṭayaṃ dadyāt mantriṇām idam abjaja // Paus_38.223 //	izwam catuzwayam dadyAt mantriNAm idam abjaja // POH _38.223 //
   jñānātmane samuccārya praṇavādyaṃ padaṃ śubham /	jQAna Atmane samuccArya praNava Adyam padam SuBam /
   yathā jñānaguṇasyoktaṃ sarveṣām evameva hi // Paus_38.224 //	yaTA jQAna guNasya uktam sarvezAm evam eva hi // POH _38.224 //
   anujjhitakrameṇaiva vyatyayenoditena ca /	anujJita krameNa eva vyatyayena uditena ca /
   mokṣabhogāptaye tvevam arcanaṃ vividhaṃ smṛtam // Paus_38.225 //	mokza Boga Aptaye tu evam arcanam viviDam smRtam // POH _38.225 //
   bhedabhinnaṃ jagadyoner abhedena yajet punaḥ /	Beda Binnam jagat yoneH aBedena yajet punar /
   dvādaśāre mahācakre tathāsaṃkhyacchadodare // Paus_38.226 //	dvAdaSa are mahA cakre taTA asaMKya= Cada udare // POH _38.226 //
   guṇātītastu bhagavān pūrvavat kaṇikāntare /	guNa atItaH tu BagavAn pUrvavat kaNikA antare /
   dvādaśākṣaramantreṇa patragaṃ hi tadakṣaraiḥ // Paus_38.227 //	dvAdaSa akzara mantreNa patra gam hi tad akzarEH // POH _38.227 //
   namaḥ praṇavasaṃruddhaiḥ prādakṣiṇyena prāk padāt /	namaH praNava saMrudDEH prAdakziNyena prAk padAt /
   prāptaye guṇabhūtānāṃ ṣaṭkayuktaṃ hi yacca te // Paus_38.228 //	prAptaye guNa BUtAnAm zawka yuktam hi yat ca te // POH _38.228 //
   divyānāṃ cāturātmyānāṃ trayaṃ saṃcaritaṃ hi yat /	divyAnAm cAturAtmyAnAm trayam saMcaritam hi yat /
   trayaṃ guṇamayaṃ cānyat cākārāṇāṃ kramād yajet // Paus_38.229 //	trayam guNa mayam ca anyat ca AkArANAm kramAt yajet // POH _38.229 //
   upāyaistaiḥ phalaprāptyai tasmād yaṣṭavyam icchayā /	upAyEH tEH Pala prAptyE tasmAt yazwavyam icCayA /
   bhaktiśraddhāsametena jñānapūrveṇa karmaṇā // Paus_38.230 //	Bakti SradDA sametena jQAna pUrveNa karmaNA // POH _38.230 //
   svavarṇāśramadharmeṇa saha samyak samādhinā /	sva varNa ASrama DarmeNa saha samyak samADinA /
   ā anugrahakālācca yāvajjīvāvadhi dvija // Paus_38.231 //	A anugraha kAlAt ca yAvat jIva avaDi dvija // POH _38.231 //
   tīvraprabhāvaśāntācca jñānam ārādhanena ca /	tIvra praBAva SAntAt ca jQAnam ArADanena ca /
   dehenānena tenaiva hyanenānyatareṇa vā // Paus_38.232 //	dehena anena tena eva hi anena anyatareNa vA // POH _38.232 //
   mandamandavaśād bhāvavaśād amarapūjitaḥ /	manda manda vaSAt BAva vaSAt amara pUjitaH /
   evaṃ yad adhikāreṇa kuryād ārādhanaṃ hi yaḥ // Paus_38.233 //	evam yat aDikAreNa kuryAt ArADanam hi yaH // POH _38.233 //
   bhogairyathoditaiḥ śuddhaiḥ kriyābhirvividhaistataḥ /	BogEH yaTA uditEH SudDEH kriyABiH viviDEH tatas /
   niṣpattau tu kriyāṅgānāṃ hṛdāstrārghyaṃ svamantrarāṭ // Paus_38.234 //	nizpattO tu kriyA aFgAnAm hRdA astra arGyam sva mantra rAj // POH _38.234 //
   nānarcitaṃ vibhorbhogaṃ kalpitaṃ vinivedya ca /	na anarcitam viBoH Bogam kalpitam vinivedya ca /
   praṇavādyantakenaiva sanamaskapadena tu // Paus_38.235 //	praNava Adi antakena eva sa namaska padena tu // POH _38.235 //
   kalpayāmīti nāmnā tad bhogānāṃ vidhyupārjanam /	kalpayAmi iti nAmnA tat BogAnAm viDyu pArjanam /
   dhiyā nivedanaṃ teṣāṃ śirasāvanatena yat // Paus_38.236 //	DiyA nivedanam tezAm SirasA avanatena yat // POH _38.236 //
   samarpaṇe yad vijñeyaṃ vācakena hṛdeśvarāt /	samarpaNe yat vijQeyam vAcakena hRdeSvarAt /
   pūrakeṇa hṛtānāṃ prāk bahiḥsthānāṃ krameṇa tu // Paus_38.237 //	pUrakeNa hRtAnAm prAk bahis sTAnAm krameNa tu // POH _38.237 //
   hṛdayaṅgamasaṃjñaṃ yat pañcakaṃ tvarhaṇādikam /	hRdayaFgam asaMjQam yat paQcakam tu arhaNa Adikam /
   kṛtam añjalimudrāyāṃ śraddhāpūtena cetasā // Paus_38.238 //	kRtam aQjali mudrAyAm SradDA pUtena cetasA // POH _38.238 //
   nivedanīyaṃ bahudhā yathāsaṃbhavameva vā /	nivedanIyam bahuDA yaTAsaMBavam eva vA /
   paramāśritya vai yattu indriyaiḥ saṃyataiḥ saha // Paus_38.239 //	parama ASritya vE yat tu indriyEH saMyatEH saha // POH _38.239 //
   vadanaṃ nāsikārandhre sthagayitvāmbareṇa tu /	vadanam nAsikA ranDre sTagayitvA ambareNa tu /
   svaśvāsopahataṃ caiva na bhavet tad yathābjaja // Paus_38.240 //	sva SvAsa upahatam ca eva na Bavet tat yaTA abja ja // POH _38.240 //
   subharjitānāṃ bījānāṃ prasavaṃ na punaryathā /	su BarjitAnAm bIjAnAm prasavam na punar yaTA /
   kriyāphalānāṃ ca tathā prathamaṃ cācyutārcanāt // Paus_38.241 //	kriyA PalAnAm ca taTA praTamam ca acyuta arcanAt // POH _38.241 //
   āstāṃ tāvanmahābuddhe karmasaṃjñaṃ hitāccayutam /	AstAm tAvat mahAbudDe karma saMjQam hitAt ca yutam /
   phalahīnaṃ hi cāmūlād bhavakṣayakaraṃ param // Paus_38.242 //	Pala hInam hi ca amUlAt Bava kzaya karam param // POH _38.242 //
   aśvamedhādayo yajñā nūnaṃ karmaphalapradāḥ /	aSvameDa AdayaH yajQAH nUnam karma Pala pradAH /
   te 'pi sanmantrabhaktānāṃ na yacchanti phalaṃ svakam // Paus_38.243 //	te api sat mantra BaktAnAm na yacCanti Palam svakam // POH _38.243 //
   jñasvabhāvāstu vai yajñāḥ samyagbudhvā parāśayam /	jQa svaBAvAH tu vE yajQAH samyak buDvA parASayam /
   yachanti paramāṃ śāntiṃ bhagavattattvavedinām // Paus_38.244 //	yaCanti paramAm SAntim Bagavat tattva vedinAm // POH _38.244 //
   svargādyaṃ phalamanyeṣāṃ martyabhogaṃ tu vepsitam /	svarga Adyam Palam anyezAm martya Bogam tu vepsitam /
   phalam āmuṣmikaṃ caiva aihikaṃ vābjasaṃbhava // Paus_38.245 //	Palam Amuzmikam ca eva Ehikam vA abja saMBavaH // POH _38.245 //
   kṛtvā buddhiniviṣṭaṃ tu japādīn śraddhayā caret /	kRtvA budDi nivizwam tu japa AdIn SradDayA caret /
   bhaktipūtena viprendra tātparyeṇa tu vai saha // Paus_38.246 //	Bakti pUtena vipra indra tAtparyeNa tu vE saha // POH _38.246 //
   sāṅgaṃ saparivāraṃ ca iṣṭvaivam ajam avyayam /	sAFgam sa parivAram ca izwvA evam ajam avyayam /
   śaktivyaktivibhedena ādimūrtikramāttu vai // Paus_38.247 //	Sakti vyakti viBedena Adi mUrti kramAt tu vE // POH _38.247 //
   ṛṅmayenātha yajuṣā pūjanīyaṃ tameva hi /	Rc mayena aTa yajuzA pUjanIyam tam eva hi /
   acirākhye pade mantre tantrair abhimatāptaye // Paus_38.248 //	acira AKye pade mantre tantrEH aBimata Aptaye // POH _38.248 //
   paraṃ brahma paraṃ dhāma pavitraṃ paramaiśvaram /	param brahma param DAma pavitram parama ESvaram /
   sāmarthyād acyutaṃ netrā nāmnā yatsamudāhṛtam // Paus_38.249 //	sAmarTyAt acyutam netrA nAmnA yat samudAhRtam // POH _38.249 //
   vyaktam asya parabrahma kvacinnayanalakṣaṇam /	vyaktam asya para brahma kvacid nayana lakzaNam /
   antarnigūḍhamantrāṇāṃ vartate 'nyatra vai bahiḥ // Paus_38.250 //	antar nigUXa mantrANAm vartate anyatra vE bahis // POH _38.250 //
   ata eva ṣaḍaṅgāni pañcāṅgāni mahāmate /	atas eva zaz aFgAni paQcAFgAni mahAmate /
   vācakāni tu vācyāni yuktānyārādhanāttu vai // Paus_38.251 //	vAcakAni tu vAcyAni yuktAni ArADanAt tu vE // POH _38.251 //
   netrākhyaṃ bhagavattattvaṃ yadaṅgebhyo 'tiricyate /	netra AKyam Bagavat tattvam yat aFgeByaH atiricyate /
   śiro 'mbare tu mantrāṇāṃ pradhānetaravartinām // Paus_38.252 //	SiraH ambare tu mantrANAm praDAna itara vartinAm // POH _38.252 //
   svabījaṃ viniyoktavyaṃ sthityarthaṃ prāk prabhātmakam /	sva bIjam viniyoktavyam sTiti arTam prAk praBA Atmakam /
   parāvarasvarūpeṇa smaret tatsthaṃ digīśvaram // Paus_38.253 //	parAvara svarUpeNa smaret tad sTam digISvaram // POH _38.253 //
   audayena tu yogena mantrāṇi ca parāt padāt /	Odayena tu yogena mantrANi ca parAt padAt /
   yathākramasthānyāhūya arcanāvasaraṃ prati // Paus_38.254 //	yaTAkrama sTAni AhUya arcanA avasaram prati // POH _38.254 //
   niveśya ca yathāśāstram astrāvaraṇapaścimam /	niveSya ca yaTASAstram astra AvaraNa paScimam /
   saṃpanne vidhivad yāge punaḥ sarveśvare harau // Paus_38.255 //	saMpanne viDivat yAge punar sarva ISvare harO // POH _38.255 //
   kramāt pravilayaṃ kuryāt sādhakaḥ siddhim icchatām /	kramAt pravilayam kuryAt sADakaH sidDim icCatAm /
   evaṃ niyantṛśaktir vai netrākhyā pārameśvarī // Paus_38.256 //	evam niyantR SaktiH vE netra AKyA pArameSvarI // POH _38.256 //
   prabhā (?bha) vatvena mantrāṇām apyayatvena vartate /	praBA (?Ba) vatvena mantrANAm api aya tvena vartate /
   bahirvā kamale hārde smartavyā sāmalāntare // Paus_38.257 //	bahis vA kamale hArde smartavyA sa amala antare // POH _38.257 //
   niṣedhākhyena bījena sānusvāreṇa svenaṃ ca /	nizeDa AKyena bIjena sa anusvAreNa svenam ca /
   sahasrānalasūryenduvarāhāyutabhāsvarā // Paus_38.258 //	sahasra anala sUrya indu varAha ayuta BAsvarAH // POH _38.258 //
   vācyavācakayogena mānanīyaṃ sadaiva hi /	vAcya vAcaka yogena mAnanIyam sadA eva hi /
   sahasṛṣṭisvareṇaiva sṛṣṭau sarvaṃ yad īpsitam // Paus_38.259 //	saha sRzwi svareNa eva sRzwO sarvam yat Ipsitam // POH _38.259 //
   bhogabījam akhaṇḍaṃ ca pratīpaṃ mantriṇāṃ punaḥ /	Boga bIjam aKaNxam ca pratIpam mantriNAm punar /
   śaśvad ajñānānusiddhaṃ ca saṃprayacchati pūjanāt // Paus_38.260 //	SaSvat ajQAna anusidDam ca saMprayacCati pUjanAt // POH _38.260 //
   nityamantropasaṃhāravelāyām udaye 'pi ca /	nitya mantra upasaMhAra velAyAm udaye api ca /
   yathāvad ādau boddhavyaṃ kramān mantraṃ yathāsthitam // Paus_38.261 //	yaTAvat AdO bodDavyam kramAt mantram yaTA sTitam // POH _38.261 //
   bījaṃ piṇḍaṃ padākhyaṃ ca tathā mantraṃ salakṣaṇam /	bIjam piNxam pada AKyam ca taTA mantram sa lakzaNam /
   bhedam etaddhi mantrāṇāṃ phalaṃ bhedena cānvitam // Paus_38.262 //	Bedam etat hi mantrANAm Palam Bedena ca anvitam // POH _38.262 //
   nānāvācyasvarūpeṇa yataḥ sarveśvaraḥ sthitaḥ /	nAnA vAcya svarUpeNa yatas sarva ISvaraH sTitaH /
   catuṣprakārair amalairvācakair upacaryate // Paus_38.263 //	catuzprakArEH amalEH vAcakEH upacaryate // POH _38.263 //
   vācakānāṃ hi vācyānām evamasti parasparam /	vAcakAnAm hi vAcyAnAm evam asti parasparam /
   āpekṣikaṃ vaiśvarūpyaṃ saṃsiddhe niyame sati // Paus_38.264 //	Apekzikam vESvarUpyam saMsidDe niyame sati // POH _38.264 //
   vinā piṇḍākṣarairbrahman saṃjñākhyaiḥ padalakṣaṇaiḥ /	vinA piNxa akzarEH brahman saMjQA AKyEH pada lakzaNEH /
   svakairbījākṣaraiḥ kuryād vācyasya parikalpanam // Paus_38.265 //	svakEH bIja akzarEH kuryAt vAcyasya parikalpanam // POH _38.265 //
   sopāṅgānāṃ tu cāṅgānāṃ dvādaśānāṃ svasaṃjñayā /	sa upAFgAnAm tu ca aFgAnAm dvAdaSAnAm sva saMjQayA /
   kevalānāṃ tu ṣaṇṇāṃ vai pañcānām api cecchayā // Paus_38.266 //	kevalAnAm tu zaNNAm vE paQcAnAm api ca icCayA // POH _38.266 //
