   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   tatastu mriyamāṇaṃ taṃ kāṣṭhapāṣāṇasaṃnibham /	tatas-tu mriyamANam tam kAzWa-pAzANa-saMniBam /
   ahaṃ smarāmi madbhaktaṃ nayāmi paramāṃ gatim //	aham smarAmi mad-Baktam nayAmi paramAm gatim //
   iti bhagavatā lakṣmīsaṃhitāyāmuktam / evamatra sadātadbhāvabhāvitatvameva	iti BagavatA lakzmI-saMhitAyAm-uktam / evam-atra sadA-tad-BAva-BAvita-tvam-eva
   heturanyathā pūrvānubhavasaṃskāradārḍhyaṃ vinā kathamante smṛtirapi	hetuH-anyaTA pUrva-anuBava-saMskAra-dArXyam vinA kaTam-ante smRtiH-api
   syāditi na kenacidapi jñānino maraṇāvasare samupayoga iti // 83 //	syAt-iti na kenacid-api jQAninaH maraNa-avasare samupayogaH iti // 83 //
   yadi punastīrthādyāśrayaṇamuktaprakāreṇa na kutracidapyaṅgabhāvaṃ yāti	yadi punar-tIrTa-Adi-ASrayaNa-mukta-prakAreNa na kutracid-api-aFga-BAvam yAti
   tarhi kimiti vidvadbhistatsamāśrīyata iti viṣayavibhāgamāha	tarhi kim-iti vidvadBiH-tad-samASrIyate iti vizaya-viBAgam-Aha
   puṇyāya tīrthasevā nirayāya śvapacasadananidhanagatiḥ /	puNyAya tIrTa-sevA nirayAya Svapaca-sadana-niDana-gatiH /
   puṇyāpuṇyakalaṅkasparśābhāve tu kiṃ tena // 84 //	puNya-apuNya-kalaFka-sparSa-aBAve tu kim tena // 84 //
   yeṣāṃ viduṣāmapi dehādipramātṛtāgrahaḥ sāmprataṃ na vigalitaḥ	yezAm viduzAm-api deha-Adi-pramAtR-tA-grahaH sAmpratam na vigalitaH
   svātmajñānacarcāyāṃ ca na tathā samāśvāsasteṣāmiṣṭāpūrtādidharmasaṃgrahaṃ	sva-Atma-jQAna-carcAyAm ca na taTA samASvAsaH-tezAm-izwApUrta-Adi-Darma-saMgraham
   kurvatāmadharmasaṃgrahaṃ vā prayāgāditīrthasevā maraṇāvasare	kurvatAm-aDarma-saMgraham vA prayAga-Adi-tIrTa-sevA maraNa-avasare
   kṣetraparigrahaḥ puṇyāya uttamalokaprāptaye niścitaṃ syādeva / tathaiva	kzetra-parigrahaH puNyAya uttama-loka-prAptaye niScitam syAt-eva / taTA-eva
   śvapacasadananidhanagatiḥ iti / śvapākādigṛhopalakṣite pāpīyasi sthāne	Svapaca-sadana-niDana-gatiH iti / SvapAka-Adi-gRha-upalakzite pApIyasi sTAne
   nidhanagatiḥ pramayaprāptiḥ nirayāya avīcyādinarakapātāyaiteṣāṃ kimiti na	niDana-gatiH pramaya-prAptiH nirayAya avIcya-Adi-naraka-pAtAya-etezAm kim-iti na
   bhaveddehapramātṛtāgrahasya vidyamānatvāt / maraṇasthānānuguṇaṃ bhogamapi	Bavet-deha-pramAtR-tA-grahasya vidyamAna-tvAt / maraNa-sTAna-anuguNam Bogam-api
   bhuktvā śubhāśubheṣu deheṣu jāyante punarmriyante	BuktvA SuBa-aSuBezu dehezu jAyante punar-mriyante
   cetyanavaratajanmamaraṇaprabandhā dehādyātmamānina evaṃprāyāḥ syuḥ / yasya	ca-iti-anavarata-janma-maraNa-prabanDAH deha-Adi-Atma-mAninaH evaMprAyAH syuH / yasya
   punaḥ svātmajñānapratyavamarśadārḍhyāddehādipramātṛtābhimāno niḥśeṣeṇa	punar sva-Atma-jQAna-pratyavamarSa-dArXyAt-deha-Adi-pramAtR-tA-aBimAnaH niHSezeNa
   vigalitastasya cinnabhaḥsvabhāvasya	vigalitaH-tasya cit-naBaH-svaBAvasya
   dharmādharmasvabhāvavāsanāsparśaprakṣaye vṛtte sati kiṃ tena / evaṃ sa	Darma-aDarma-svaBAva-vAsanA-sparSa-prakzaye vRtte sati kim tena / evam sa
   yataḥ śubhāśubhakarmabhājāṃ tīrthādiparigrahastatastena tīrthasevādinā	yatas SuBa-aSuBa-karma-BAjAm tIrTa-Adi-parigrahaH-tatas-tena tIrTa-sevA-AdinA
   vimalasya jñānino nāstyupayogaḥ / yaduktaṃ mānave dharmaśāstre	vimalasya jQAninaH na-asti-upayogaH / yat-uktam mAnave Darma-SAstre
   yamo vaivasvato rājā yastavaiṣa hṛdi sthitaḥ /	yamaH vEvasvataH rAjA yaH-tava-eza hRdi sTitaH /
   tena cedavivādastvaṃ mā gaṅgāṃ mā gayāṃ gamaḥ //	tena ced-avivAdaH-tvam mA gaFgAm mA gayAm gamaH //
   iti / atra dehātmamānitaiva hṛdayavartinī yamaḥ sā yaiḥ	iti / atra deha-Atma-mAnita-eva hRdaya-vartinI yamaH sA yEH
   pūrṇasvātmamaheśvarasvabhāvamupalabhya saṃbhakṣitā teṣāṃ kathameṣa	pUrNa-sva-Atma-maheSvara-svaBAvam-upalaBya saMBakzitA tezAm kaTam-eza
   tīrthādisevāprayāsa iti siddhāntaḥ // 84 //	tIrTa-Adi-sevA-prayAsaH iti sidDAntaH // 84 //
   nanu prākpratipāditaṃ yathā jñānadagdhāṇavamāyīyakārmamalasvarūpa ātmā	nanu prAc-pratipAditam yaTA jQAna-dagDa-aNava-mAyIya-kArma-mala-svarUpaH AtmA
   piṇḍapātātsvasvarūpastha eva na punarbhavaprarohaṃ vidhatte	piNxa-pAtAt-sva-svarUpa-sTaH eva na punarBava-praroham viDatte
   dagdhabījamivāṅkuramiti / svātmajñānāvirbhāvasamakālaṃ	dagDa-bIjam-iva-aFkuram-iti / sva-Atma-jQAna-AvirBAva-sama-kAlam
   dehakañcukabhaṅgaścettarhyuttaratra mā vidhattāṃ yatpunarvidyamāne	deha-kaQcuka-BaFgaH-ced-tarhi-uttaratra mA viDattAm yat-punar-vidyamAne
   dehādikañcukabandhe kathaṅkāraṃ sa tadgatadharmācchurito na	deha-Adi-kaQcuka-banDe kaTaFkAram sa tad-gata-Darma-AcCuritaH na
   syāttadācchuritaḥ sanmṛtaḥ kathaṃ na saṃsārīti codyamapavadati	syAt-tat-AcCuritaH sat-mRtaH kaTam na saMsArI-iti ca-udyam-apavadati
   tuṣakambukasupṛthakkṛtataṇḍulakaṇatuṣadalāntarakṣepaḥ /	tuza-kambuka-su-pRTak-kRta-taNxula-kaNa-tuza-dala-antara-kzepaH /
   taṇḍulakaṇasya kurute na punastadrūpatādātmyam // 85 //	taNxula-kaNasya kurute na punar-tad-rUpa-tAdAtmyam // 85 //
   tadvatkañcukapaṭalīpṛthakkṛtā saṃvidatra saṃskārāt /	tadvat-kaQcuka-pawalI-pRTakkRtA saMvid-atra saMskArAt /
   tiṣṭhantyapi muktātmā tatsparśavivarjitā bhavati // 86 //	tizWanti-api mukta-AtmA tad-sparSa-vivarjitA Bavati // 86 //
   tuṣakambukābhyām suṣṭhu pṛthakkṛtaḥ viśliṣṭo yaḥ taṇḍulakaṇaḥ tasya yaḥ	tuza-kambukAByAm suzWu pRTakkRtaH viSlizwaH yaH taNxula-kaNaH tasya yaH
   tuṣadalāntarakṣepaḥ prāgiva punastatraiva vinyāsaḥ sa yathā	tuza-dala-antara-kzepaH prAk-iva punar-tatra-eva vinyAsaH sa yaTA
   tuṣadalāntaraprakṣepaḥ taṇḍulakaṇasya tadrūpatayāṅkurajananakṣamatvena	tuza-dala-antara-prakzepaH taNxula-kaNasya tad-rUpa-tayA-aFkura-janana-kzama-tvena
   sthito 'pi tādātmyam gāḍhāvaṣṭambham na kurute ayaḥśalākāvadbhinnāveva	sTitaH api tAdAtmyam gAXa-avazwamBam na kurute ayaH-SalAkA-vat-BinnO=-eva
   tuṣataṇḍulau tiṣṭhato na punarekakāryajananavyagrau bhavataḥ tadvat	tuza-taNxulO tizWataH na punar-eka-kArya-janana-vyagrO BavataH tadvat-
   tathaiva jñānina iyam saṃvit cetanā kañcukapaṭalyāḥ	taTA-eva jQAninaH iyam saMvid cetanA kaQcuka-pawalyAH
   āṇavamalādikañcukasamūhāt pṛthakkṛtā ahameva svātmamaheśvarasvabhāvo	ANava-mala-Adi-kaQcuka-samUhAt pRTakkRtAH aham-eva sva-Atma-maheSvara-svaBAvaH-
   viśvātmanā sarvadā sarvatra sphurāmīti	viSvAtmanA sarvadA sarvatra sPurAmi-iti
   svātmajñānapariśīlanadārḍhyātsamuddhṛtā atra ityasyāṃ kañcukapaṭalyāṃ	sva-Atma-jQAna-pariSIlana-dArXyAt-samudDRtA atra iti-asyAm kaQcuka-pawalyAm
   kañcitkālaṃ śeṣavartanayā dehabhāvena tiṣṭhantyapi sthitā satī vimuktātmā	kaQcid-kAlam Seza-vartanayA deha-BAvena tizWanti-api sTitA satI vimukta-AtmA
   pradhvastabandhā tatsparśavivarjitā bhavati tasyā dehādikañcukapaṭalyāḥ	praDvasta-banDA tad-sparSa-vivarjitA Bavati tasyAH deha-Adi-kaQcuka-pawalyAH
   sparśaḥ puṇyāpuṇyarūpakārmamalopajanito ya uparāgaḥ	sparSaH puNya-apuNya-rUpa-kArma-mala-upajanitaH yaH uparAgaH
   saṃsārāṅkurajananakṣamastena vivarjitā parihṛtā saṃpadyate yathā	saMsAra-aFkura-janana-kzamaH-tena vivarjitA parihRtA saMpadyate yaTA
   tuṣadalāntare kṣiptastaṇḍulo 'ṅkuraprarohasparśarahito bhavatīti /	tuza-dala-antare kziptaH-taNxulaH aFkura-praroha-sparSa-rahitaH Bavati-iti /
   idamuktaṃ syādajñānakāraṇakastāvatsaṃsārastatra	idam-uktam syAt-ajQAna-kAraNakaH-tAvat-saMsAraH-tatra
   samuditasvātmajñānadalitakañcukasya yoginaḥ saṃvinna punaḥ	samuditasva-Atma-jQAna-dalita-kaQcukasya yoginaH saMvid-na punar-
   saṃsāraheturajñānajanitasāmagrīvaikalyānnāpi tasya śeṣavartanayā	saMsAra-hetuH-ajQAna-janita-sAmagrI-vEkalyAt-na-api tasya Seza-vartanayA
   saṃskāravaśena tiṣṭhannayaṃ dehakañcukabandho jñānāgnidagdhājñānamūlaḥ	saMskAra-vaSena tizWan=-ayam deha-kaQcuka-banDaH jQAna-agni-dagDa-ajQAna-mUlaH
   svagatadharmāvirbhāvena saṃsāraprarohaṃ dātumalamiti jñānī jīvanneva	sva-gata-Darma-AvirBAvena saMsAra-praroham dAtum-alam-iti jQAnI jIvan=-eva
   turīyarūpo dehābhāvātturyātītarūpa ityubhayathā punarna	turIya-rUpaH deha-aBAvAt-turya-atIta-rUpaH iti-uBayaTA punar-na
   kācitsaṃsāraśaṅketi // 86 //	kAcid-saMsAra-SaFkA-iti // 86 //
   nanu śeṣavartanayā yāvaccharīrāvasthitaṃ	nanu Seza-vartanayA yAvat-SarIra-avasTitam
   yogisaṃvedanamadhigatasvasvarūpamapi dehopādhikṛtamālinyasyāpi tāvadaṃśena	yogi-saMvedanam-aDigata-sva-svarUpam-api deha-upADi-kRta-mAlinyasya-api tAvat-aMSena
   vidyamānatvādaśuddhameveti dṛṣṭāntena pariharati	vidyamAna-tvAt-aSudDam-eva-iti dRzwAntena pariharati
   kuśalatamaśilpikalpitavimalībhāvaḥ samudgakopādheḥ /	kuSa-latama-Silpi-kalpita-vimalIBAvaH samudgaka-upADeH /
   malino 'pi maṇirupādhervicchede svacchaparamārthaḥ // 87 //	malinaH api maNiH-upADeH-vicCede svacCa-parama-arTaH // 87 //
   evaṃ sadguruśāsanavimalasthiti vedanaṃ tanūpādheḥ /	evam sat-guru-SAsana-vimala-sTiti vedanam tanU-pADeH /
   muktamapyupādhyantaraśūnyamivābhāti śivarūpam // 88 //	muktam-api-upADi-antara-SUnyam-iva-ABAti Siva-rUpam // 88 //
   yathā maṇiḥ atipravīṇavaikaṭikasamuddyotitanairmalyaḥ	yaTA maNiH ati-pravINa-vEkawika-samuddyotitanErmalyaH
   sansamudgakaviśliṣṭatvāt malino 'pi dhūsaraprāyo bhavati sa eva punaḥ	san-samudgaka-viSlizwa-tvAt malinaH api DUsara-prAyaH Bavati saH eva punar-
   samudgakopādhivicchede āvaraṇaviśeṣābhāve svacchaparamārthaḥ	samudgaka-upa-aDi-vicCede AvaraNa-viSeza-aBAve svacCa-parama-arTaH
   yathāvannirmalasvarūpaḥ saṃpadyate / evam anenaiva prakāreṇedam vedanaṃ	yaTAvat-nirmala-svarUpaH saMpadyate / evam anena-eva prakAreNa-idam vedanam
   sadguruśāsanavimalasthiti paripūrṇasvātmajñānavidyo daiśikapravarastasya	sat-guru-SAsana-vimala-sTiti paripUrNasva-Atma-jQAna-vidyaH dESika-pravaraH-tasya
   yat śāsanam svātmajñānarahasyamukhāmnāyastasya pariśīlanena vigatā	yat SAsanam sva-Atma-jQAna-rahasya-muKa-AmnAyaH-tasya pariSIlanena vigatA
   kālikārūpasyāṇavamalasya māyīyakārmamalabhittibhūtasya sthitiryasya	kAlikA-rUpasya-aNava-malasya mAyIya-kArmamala-Bitti-BUtasya sTitiH-yasya
   tadevaṃvidhaṃ maulikamalaprakṣayānnabhorūpamapi vedanam tanūpādheḥ tanuḥ	tat-evaMviDam mOli-ka-mala-prakzaya-anna-BaH-rUpam-api vedanam tanU-pADeH tanuH
   śarīraṃ tallakṣaṇā upādhiḥ viśeṣaṇaṃ tataḥ muktam pṛthakkṛtaṃ	SarIram tad-lakzaNAH upADiH viSezaNam tatas muktam pRTakkRtam
   viśeṣaṇāntarābhāvāttat śivarūpamābhātyeva dehabhaṅgātparamaśivatvena	viSezaNa-antara-aBAvAt-tat Siva-rUpam-ABAti-eva deha-BaFgAt-parama-Siva-tvena
   bhāsata iti yāvat / yathā samudgakopādhivirahānmaṇiḥ svasvarūpo bhāti	BAsate iti yAvat / yaTA samudgaka-upa-aDi-virahAt-maNiH sva-svarUpaH BAti
   tathaiva	taTA-eva
   svasvarūpāvabodhādvimalamapyaśuddhābhimataśarīropādhikṣayādviśuddhameva	sva-svarUpa-avaboDAt-vimalam-api-aSudDa-aBimata-SarIra-upADi-kzayAt-viSudDam-eva
   saṃvedanaṃ bhāsate / nanu maṇiryathā samudgakopādhervimukto 'pi	saMvedanam BAsate / nanu maNiH-yaTA samudgaka-upADeH-vimuktaH api
   punaranyatamopādhiparigrahātsamalaḥ saṃpadyate tathaiva	punar-anyatama-upADi-parigrahAt-sa-malaH saMpadyate taTA-eva
   tanūpādhermuktamapi saṃvedanaṃ maṇivadupādhyantaraṃ cedgṛhṇāti tarhi	tanu-upADeH-muktam-api saMvedanam maNi-vat-upADi-antaram ced-gRhNAti tarhi
   punarapi sopādhitvādaśuddhameveti pariharati upādhyantaraśūnyamapi iti /	punar-api sa-upADi-tvAt-aSudDam-eva-iti pariharati upADi-antara-SUnyam-api iti /
   na dṛṣṭāntadārṣṭāntikayoḥ sarvathā sāmyaṃ yataḥ piṇḍapātāttasya	na dRzwAnta-dArzwa-antikayoH sarvaTA sAmyam yatas piNxa-pAtAt-tasya
   mahāprakāśavapuṣaḥ paramādvayarūpasya sarvamidamupādhyabhimataṃ	mahA-prakASa-vapuzaH parama-advaya-rUpasya sarvam-idam-upADi-aBimatam
   svāṅgakalpaṃ bhāsate 'to vyatiriktasyopādhyantarasyābhāvānna	sva-aFga-kalpam BAsate atas vyatiriktasya-upADi-antarasya-aBAvAt-na
   punastadupādhyantareṇa viśiṣyata iti na maṇinopādhigrahaṇasya sāmyam /	punar-tad-upADi-antareNa viSizyate iti na maNinA-upADi-grahaNasya sAmyam /
   ajñānamūlaṃ kila śarīropādhigrahaṇaṃ taccetsvātmajñānakuṭhāreṇa dalitaṃ	ajQAna-mUlam kila SarIra-upADi-grahaNam tat-ced-sva-Atma-jQAna-kuWAreNa dalitam
   kathaṅkāraṃ punarupādhisaṃśrayo bhavet / yaduktam	kaTaFkAram punar-upADi-saMSrayaH Bavet / yat-uktam
   ajñānenāvṛtaṃ jñānaṃ tena muhyanti jantavaḥ //	ajQAnena-AvRtam jQAnam tena muhyanti jantavaH //
   jñānena tu tadajñānaṃ yeṣāṃ nāśitamātmanaḥ /	jQAnena tu tat-ajQAnam yezAm nASitam-AtmanaH /
   teṣāmādityavajjñānaṃ prakāśayati tatparam //	tezAm-Aditya-vat-jQAnam prakASayati tad-param //
   iti śrīgītāsu / tasmātsvasvarūpajñānādyoginaḥ svasaṃvedanaṃ sadaiva	iti SrIgItAsu / tasmAt-sva-svarUpa-jQAnAt-yoginaH sva-saMvedanam sadA-eva
   śuddhameveti // 88 //	SudDam-eva-iti // 88 //
   sarvopādhyutpattau yathāvatpariśīlitavyāpāramanaḥsaṃskāraprarūḍhireva	sarva-upADi-utpattO yaTAvat-pariSIlita-vyApAra-manaH-saMskAra-prarUXiH-eva
   nimittaṃ na punarnūtanatvena kimapyāyātītyāvedayati	nimittam na punar-nUtana-tvena kim-api-AyAti-iti-Avedayati
   śāstrādiprāmāṇyādavicalitaśraddhayāpi tanmayatām /	SAstra-Adi-prAmANyAt-avicalita-SradDayA-api tad-maya-tAm /
   prāptaḥ sa eva pūrvaṃ svargaṃ narakaṃ manuṣyatvam // 89 //	prAptaH saH eva pUrvam svargam narakam manuzya-tvam // 89 //
   āgamaprāmāṇyādgurūpadeśapāramparyakathanādyuktipariśīlanātprāgvāsanāprarūḍhayā	Agama-prAmANyAt-guru-upadeSa-pAramparya-kaTanAt-yukti-pariSIlanAt-prAc-vAsanA-prarUXayA
   śraddhayā vā svātmajñāna iṣṭāpūrte pāśave karmaṇi vā kṛtābhyāsaḥ pramātā	SradDayA vA sva-Atma-jQAnaH izwApUrte pASave karmaNi vA kRta-aByAsaH pramAtA
   tadaiva tatsaṃskārapraroheṇa tanmayatām tattadabhyastavastusvarūpatām	tadA-eva tad-saMskAra-praroheNa tad-maya-tAm tad-tad-aByasta-vastu-svarUpa-tAm
   prāptaḥ sannuttaratra dehapātādvāsanānuguṇyena svargam niratiśayāṃ prītim	prAptaH san=-uttaratra deha-pAtAt-vAsanA-anuguNyena svargam niratiSayAm prItim
   narakam avīcyādiduḥkham manuṣyatvam sukhaduḥkhobhayarūpaṃ manuṣyabhāvaṃ	narakam avIcya-Adi-duHKam manuzya-tvam suKa-duHKa-uBaya-rUpam manuzya-BAvam
   prāpnoti na punaranabhyastavāsanasyāpi puruṣasya dehapātādeva	prApnoti na punar-anaByasta-vAsanasya-api puruzasya dehapAtAt-eva
   yatkiñcidāpatati / yataḥ sarvaḥ pramātā yenāśayena yadabhyasyati tadaiva	yat-kiQcid-Apatati / yatas sarvaH pramAtA yena-ASayena yat-aByasyati tadA-eva
   sa tadrūpo bhavati kintu maraṇasamaye sphuṭatayā yadabhilaṣitaṃ vastu	sa tad-rUpaH Bavati kintu maraNa-samaye sPuwa-tayA yat-aBilazitam vastu
   tatpramāturabhivyaktiṃ yātīti nābhyastavastunaḥ kadācidviparyayaḥ	tad-pramAtuH-aBivyaktim yAti-iti na-aByasta-vastunaH kadAcid-viparyayaH
   syānnāpyanabhyastavastusvarūpaṃ kiñcidapūrvatvenāpatediti sarvatra	syAt-na-api-anaByasta-vastu-svarUpam kiQcid-apUrva-tvena-Apatet-iti sarvatra
   pūrvābhyāsa eva kāraṇamiti bhāvaḥ // 89 //	pUrva-aByAsaH eva kAraNam-iti BAvaH // 89 //
   evaṃ sadā tadbhāvabhāvitatvaṃ svātmavido dehatyāgāvasare	evam sadA tad-BAva-BAvita-tvam sva-Atma-vidaH dehatyAga-avasare
   pūrṇaprathāheturna punarlokaparidṛśyaḥ puṇyāpuṇyarūpo maraṇāvasaraḥ	pUrNa-praTA-hetuH-na punar-loka-paridRSyaH puNyA-puNya-rUpaH maraNa-avasaraH
   kaścitsvarganirayādikāraṇaṃ parikalpanīyamityāha	kaScid-svarga-niraya-Adi-kAraNam parikalpanIyam-iti-Aha
   antyaḥ kṣaṇastu tasminpuṇyāṃ pāpāṃ ca vā sthitiṃ puṣyan /	antyaH kzaNaH-tu tasmin-puNyAm pApAm ca vA sTitim puzyan /
   mūḍhānāṃ sahakārībhāvaṃ gacchati gatau tu na sa hetuḥ // 90 //	mUXAnAm sahakArIBAvam gacCati gatO tu na sa hetuH // 90 //
   ye 'pi tadātmatvena viduḥ paśupakṣisarīsṛpādayaḥ svagatim /	ye api tad-Atma-tvena viduH paSu-pakzi-sarIsRpa-AdayaH sva-gatim /
   te 'pi purātanasaṃbodhasaṃskṛtāstāṃ gatiṃ yānti // 91 //	te api purAtana-saMboDa-saMskRtAH-tAm gatim yAnti // 91 //
   evaṃpratipādite jñānini antyaḥ kṣaṇaḥ caramo dehavināśasahabhāvī kālo	evaMpratipAdite jQAnini antyaH kzaNaH caramaH deha-vinASa-sahaBAvI kAlaH-
   dhātudoṣavaśena duṣṭavyādhyanubhavādvā samīpasthitaiḥ pramātṛbhiranumitām	DAtu-doza-vaSena duzwa-vyADi-anuBavAt-vA samIpa-sTitEH pramAtRBiH-anumitAm
   puṇyāṃ pāpamayīṃ vā sthitiṃ puṣyan sevamānaḥ san mūḍhānām dehātmamānināṃ	puNyAm pApa-mayIm vA sTitim puzyan sevamAnaH san mUXAnAm deha-Atma-mAninAm
   pramātṝṇāmeva sahakārībhāvam kāraṇatvaṃ gacchati / gacchatu varāko	pramAtLNAm-eva sahakArIBAvam kAraNa-tvam gacCati / gacCatu varAkaH-
   naitāvatā nirbhagnadehātmamānitve sadā svātmamaheśvaranibhālanacature	na-etAvatA nirBagna-deha-Atma-mAni-tve sadA sva-Atma-maheSvara-niBAlana-cature
   tasmin yogini saḥ antyaḥ kṣaṇaḥ gatau dehāddehāntaraprāptau hetuḥ kāraṇaṃ	tasmin yogini saH antyaH kzaNaH gatO dehAt-deha-antara-prAptO hetuH kAraNam
   bhavet / kuta etadāgatamiti nidarśayannāha ye 'pi iti / ye 'pi	Bavet / kutas etat-Agatam-iti nidarSayan=-Aha ye api iti / ye api
   kenāpyāśayavaśena śāpādinā vā pāpayonayaḥ paśurūpatāmapi prāptāḥ svagatim	kena-api-ASaya-vaSena SApa-AdinA vA pApa-yonayaH paSu-rUpa-tAm-api prAptAH sva-gatim
   ātmasthitiṃ maraṇāvasare ātmatvena jānīyuḥ te mūḍhāḥ santo 'pi	Atma-sTitim maraNa-avasare Atma-tvena jAnIyuH te mUXAH santaH api
   prāgabhyastasvātmajñānavāsanāprabodhānugṛhītāḥ svātmasthitiṃ ca labhante /	prAc-aByasta-sva-Atma-jQAna-vAsanA-praboDa-anugRhItAH sva-Atma-sTitim ca laBante /
   gajendramokṣaṇādau yathā hastinā paśusvabhāvenāpi satā	gaja-indra-mokzaNa-AdO yaTA hastinA paSu-svaBAvena-api satA
   prākpariśīlitaparameśvarabhaktisaṃskāraprabuddhena viṣṇuṃ bhagavantaṃ	prAc-pariSIlita-parameSvara-Bakti-saMskAra-prabudDena vizNum Bagavantam
   stutvā samyakkañcukaṃ vihāya svasvarūpamupalabdhaṃ kastatra smaraṇe	stutvA samyak-kaQcukam vihAya sva-svarUpam-upalabDam kaH-tatra smaraNe
   heturabhūt / ayaṃ bhāvaḥ śarīrādyutthadhātudoṣavaśātkāṣṭhapāṣāṇaceṣṭo	hetuH-aBUt / ayam BAvaH SarIra-Adi-utTa-DAtu-doza-vaSAt-kAzWa-pAzANa-cezwaH-
   jñānī puṇyaṃ pāpamālabiḍālādikaṃ vā yatkiñcitpralapandehaṃ tyajati	jQAnI puNyam pApam-Ala-bixAla-Adikam vA yat-kiQcit-pralapan-deham tyajati
   naitāvatā svasthaceṣṭatayā yadabhyastaṃ jñānādikaṃ tasya vipralopaḥ	na-etAvatA svasTa-cezwa-tayA yat-aByastam jQAna-Adikam tasya vipralopaH
   syāccharīrādigatā dharmāḥ śarīrādāveva nipatanti na punaḥ sadā bhāvitaṃ	syAt-SarIra-Adi-gatAH DarmAH SarIra-AdO=-eva nipatanti na punar sadA BAvitam
   vastu sthagayituṃ prabhavantītyāmaraṇakṣaṇaṃ sarvatra prarūḍhireva	vastu sTagayitum praBavanti-iti-AmaraNa-kzaNam sarvatra prarUXiH-eva
   paramārthaḥ / yathā gītāsūktam	parama-arTaH / yaTA gIta-Asu-uktam
   yaṃ yaṃ vāpi smaranbhāvaṃ tyajatyante kalevaram /	yam yam vA-api smaran-BAvam tyajati-ante kalevaram /
   taṃ tamevaiti kaunteya sadā tadbhāvabhāvitaḥ //	tam tam-eva-eti kOnteya sadA tad-BAva-BAvitaH //
   tathā	taTA
   teṣāṃ satatayuktānāṃ bhajatāṃ prītipūrvakam /	tezAm satata-yuktAnAm BajatAm prIti-pUrvakam /
   dadāmi buddhiyogaṃ taṃ yena māmupayānti te //	dadAmi budDi-yogam tam yena mAm-upayAnti te //
   iti bhāvitāntaḥkaraṇataiva paryantagatidānahetuḥ // 91 //	iti BAvita-antaHkaraNa-tA-eva paryanta-gati-dAna-hetuH // 91 //
   evaṃ darśitadṛṣṭyā yataḥ sadā tadbhāvabhāvitatvamapahastya nūtanatvena	evam darSita-dRzwyA yatas sadA tad-BAva-BAvita-tvam-apahastya nUtana-tvena
   śarīravināśe nāpūrvaṃ kiñcitsamāpatejjñānino yato deha eva vināśī kevalaṃ	SarIra-vinASe na-apUrvam kiQcid-samApatet-jQAninaH yatas dehaH eva vinASI kevalam
   sa eva vinaśyati na punarvāsanāpraroha iti darśayannāha	saH eva vinaSyati na punar-vAsanA-prarohaH iti darSayan=-Aha
   svargamayo nirayamayastadayaṃ dehāntarālagaḥ puruṣaḥ /	svarga-mayaH niraya-mayaH-tat-ayam deha-antarAla-gaH puruzaH /
   tadbhaṅge svaucityāddehāntarayogamabhyeti // 92 //	tad-BaFge su-a-OcityAt-deha-antara-yogam-aByeti // 92 //
   evaṃ jñānāvasare svātmā sakṛdasya yādṛgavabhātaḥ /	evam jQAna-avasare sva-AtmA sakRt-asya yAdRS-avaBAtaH /
   tādṛśa eva tadāsau na dehapāte 'nyathā bhavati // 93 //	tAdRSaH eva tadA-asO na dehapAte anyaTA Bavati // 93 //
   tat tasmāccharīraghaṭādiniviṣṭaḥ puruṣaḥ sarvasya kārmamalādhivāsita ātmā	tat tasmAt-SarIra-Gawa-Adi-nivizwaH puruzaH sarvasya kArmamala-aDivAsitaH AtmA
   svargādyabhiprāyapūrvakṛtakarmaphalavāsanāvāsitāntaḥkaraṇaḥ svargamayaḥ	svarga-Adi-aBiprAya-pUrva-kRta-karma-Pala-vAsanA-vAsita-antaHkaraNaH svarga-mayaH
   prarūḍhasvargaphalavāsanāviśiṣṭatvātsvargaphalabhokteti yāvat / evaṃ	prarUXa-svarga-Pala-vAsanA-viSizwa-tvAt-svarga-Pala-BoktA-iti yAvat / evam
   duṣkṛtapūrvakarmavāsanāprarūḍho narakaphalabhoktā kevalaṃ deha	duzkRta-pUrva-karma-vAsanA-prarUXaH naraka-Pala-BoktA kevalam deha
   ubhayakarmaphalabhogāyatanam tadbhaṅge svaucityāt iti tasmindehakṣaye	uBaya-karma-Pala-Boga-Ayatanam tad-BaFge su-a-OcityAt iti tasmin-deha-kzaye
   svasya ātmano yathāhitavāsanānuguṇyādanyena bhogāyatanena śarīrāntareṇa	svasya AtmanaH yaTA-ahita-vAsanA-anuguNyAt-anyena Boga-Ayatanena SarIra-antareNa
   samanantaraṃ saṃbandhamupayātyuttarakālaṃ yena	samanantaram saMbanDam-upayAti-uttara-kAlam yena
   viśiṣṭakarmavāsanādattaphalabhogabhāgī bhavati / tathaiva jñānāvasare	viSizwa-karma-vAsanA-datta-Pala-Boga-BAgI Bavati / taTA-eva jQAna-avasare
   upadeśyasya gurūpadiṣṭasvātmaprakāśanakāle svātmā caitanyam sakṛt ekavāraṃ	upadeSyasya guru-upadizwa-sva-Atma-prakASana-kAle sva-AtmA cEtanyam sakRt eka-vAram
