   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   udagayanāni dakṣiṇa-pārśva-vaṅkriṣu prātilomyena prayuñjīta	udagayanAni dakziNa--pArSva--vaFkrizu prAtilomyena prayuQjIta
   śatabhiṣā-jyeṣṭhe skandhayor dakṣiṇa-vāmayor nyaset	SataBizA--jyezWe skanDayoH dakziNa-vAmayoH nyaset-
   BhP_05.23.007/1 uttarā-hanāv agastir adharā-hanau yamo mukheṣu cāṅgārakaḥ	Bhu-_05.23.007/1 uttara-a-hanO agastiH aDarA-hanO yamaH muKezu ca-aFgArakaH
   śanaiścara upasthe bṛhaspatiḥ kakudi vakṣasy ādityo hṛdaye nārāyaṇo manasi	SanEScaraH upasTe bRhaspatiH kakudi vakzasi AdityaH hRdaye nArAyaNaH manasi
   candro nābhyām uśanā stanayor aśvinau budhaḥ prāṇāpānayo rāhur gale	candraH nAByAm uSanA stanayoH aSvinO buDaH prANa-apAnayaH rAhuH gale
   ketavaḥ sarvāṅgeṣu romasu sarve tārā-gaṇāḥ	ketavaH sarva-aFgezu romasu sarve tArA--gaNAH
   BhP_05.23.008/1 etad u haiva bhagavato viṣṇoḥ sarva-devatāmayaṃ rūpam	Bhu-_05.23.008/1 etat u ha-eva BagavataH vizNoH sarva-devatA-mayam rUpam
   aharahaḥ sandhyāyāṃ prayato vāgyato nirīkṣamāṇa upatiṣṭheta namo	aharahar sanDyAyAm prayataH vAgyataH nirIkzamANaH upatizWeta namaH-
   jyotir-lokāya kālāyanāyānimiṣāṃ pataye mahā-puruṣāyābhidhīmahīti	jyotiH--lokAya kAlAyanAya-animizAm pataye mahA--puruzAya-aBiDImahi-iti
   BhP_05.23.009/1 graharkṣatārāmayam ādhidaivikaṃ pāpāpahaṃ mantra-kṛtāṃ	Bhu-_05.23.009/1 graha-Rkza-tArA-mayam ADidEvikam pApa-apaham mantra-kRtAm
   tri-kālam	tri-kAlam
   BhP_05.23.009/2 namasyataḥ smarato vā tri-kālaṃ naśyeta tat-kālajam āśu	Bhu-_05.23.009/2 namasyataH smarataH vA tri-kAlam naSyeta tat-kAla-jam ASu
   pāpam	pApam
   BhP_05.24.001/0 śrī-śuka uvāca	BhP_05.24.001/0 SrI-SukaH uvAca
   BhP_05.24.001/1 adhastāt savitur yojanāyute svarbhānur nakṣatravac	Bhu-_05.24.001/1 aDastAt savituH yojana-ayute svarBAnuH nakzatra-vat-
   caratīty eke yo 'sāv amaratvaṃ grahatvaṃ cālabhata bhagavad-anukampayā	carati-iti eke yaH asO amara-tvam graha-tvam ca-alaBata Bagavat--anukampayA
   svayam asurāpasadaḥ saiṃhikeyo hy atad-arhas tasya tāta janma karmāṇi	svayam asura-apasadaH sEMhikeyaH hi atad-arhaH tasya tAta janma karmANi
   copariṣṭād vakṣyāmaḥ	ca-uparizwAt vakzyAmaH
   BhP_05.24.002/1 yad adas taraṇer maṇḍalaṃ pratapatas tad vistarato	Bhu-_05.24.002/1 yat adaH taraNeH maNxalam pratapataH tat vistarataH-
   yojanāyutam ācakṣate dvādaśa-sahasraṃ somasya trayodaśa-sahasraṃ rāhor yaḥ	yojana-ayutam Acakzate dvAdaSa--sahasram somasya trayodaSa--sahasram rAhoH yaH
   parvaṇi tad-vyavadhāna-kṛd vairānubandhaḥ sūryā-candramasāv abhidhāvati	parvaNi tat--vyavaDAna--kRt vEra-anubanDaH sUryA-candramasO aBiDAvati
   BhP_05.24.003/1 tan niśamyobhayatrāpi bhagavatā rakṣaṇāya prayuktaṃ	Bhu-_05.24.003/1 tat niSamya-uBayatra-api BagavatA rakzaNAya prayuktam
   sudarśanaṃ nāma bhāgavataṃ dayitam astraṃ tat tejasā durviṣahaṃ muhuḥ	sudarSanam nAma BAgavatam dayitam astram tat tejasA durvizaham muhur-
   parivartamānam abhyavasthito muhūrtam udvijamānaś cakita-hṛdaya ārād eva	parivartamAnam aByavasTitaH muhUrtam udvijamAnaH cakita-hRdayaH ArAt eva
   nivartate tad uparāgam iti vadanti lokāḥ	nivartate tat uparAgam iti vadanti lokAH
   BhP_05.24.004/1 tato 'dhastāt siddha-cāraṇa-vidyādharāṇāṃ sadanāni tāvan	Bhu-_05.24.004/1 tatas aDastAt sidDa--cAraNa-vidyADarANAm sadanAni tAvan
   mātra eva	mAtre eva
   BhP_05.24.005/1 tato 'dhastād yakṣa-rakṣaḥ-piśāca-preta-bhūta-gaṇānāṃ	Bhu-_05.24.005/1 tatas aDastAt yakza-rakzaH-piSAca--preta-BUta--gaNAnAm
   vihārājiram antarikṣaṃ yāvad vāyuḥ pravāti yāvan meghā upalabhyante	vihAra-ajiram antarikzam yAvat vAyuH pravAti yAvat meGAH upalaByante
   BhP_05.24.006/1 tato 'dhastāc chata-yojanāntara iyaṃ pṛthivī yāvad	Bhu-_05.24.006/1 tatas aDastAt Sata--yojana-antaraH iyam pRTivI yAvat-
   dhaṃsa-bhāsa-śyena-suparṇādayaḥ patattri-pravarā utpatantīti	DaMsa-BAsa-Syena--suparNa-AdayaH patat-tri--pravarAH utpatanti-iti
   BhP_05.24.007/1 upavarṇitaṃ bhūmer yathā-sanniveśāvasthānam avaner apy	Bhu-_05.24.007/1 upavarNitam BUmeH yaTA-sanniveSa-avasTAnam avaneH api-
   adhastāt sapta bhū-vivarā ekaikaśo yojanāyutāntareṇāyāma-vistāreṇopakḷptā	aDastAt sapta BU--vivarAH ekEkaSas yojana-ayuta-antareNa-AyAma-vistAreNa-upak?ptA
   atalaṃ vitalaṃ sutalaṃ talātalaṃ mahātalaṃ rasātalaṃ pātālam iti	atalam vitalam sutalam talAtalam mahA-talam rasAtalam pAtAlam iti
   BhP_05.24.008/1 eteṣu hi bila-svargeṣu svargād apy	Bhu-_05.24.008/1 etezu hi bila-svargezu svargAt api-
   adhika-kāma-bhogaiśvaryānanda-bhūti-vibhūtibhiḥ	aDika-kA-ma-Boga-ESvarya-Ananda-BUti-viBUtiBiH
   susamṛddha-bhavanodyānākrīḍa-vihāreṣu daitya-dānava-kādraveyā	su-samRdDa--Bavana-udyAna-AkrIxa--vihArezu dEtya-dAnava-kAdraveyA
   nitya-pramuditānurakta-kalatrāpatya-bandhu-suhṛd-anucarā gṛha-pataya	nitya--pramudita-anurakta--kalatra-apatya-banDu--suhRd--anucarAH gRha-pataya
   īśvarād apy apratihata-kāmā māyā-vinodā nivasanti	ISvarAt api apratihata-kAmAH mAyA-a-vinodAH nivasanti
   BhP_05.24.009/1 yeṣu mahārāja mayena māyāvinā vinirmitāḥ puro	Bhu-_05.24.009/1 yezu mahA-rAja mayena mAyAvinA vinirmitAH puro
   nānā-maṇi-pravara-praveka-viracita-vicitra-bhavana-prākāra-gopura-sabhā-caitya-catvarāyatanādibhir	nAnA-a-maNi--pravara--praveka-viracita-vicitra--Bavana--prAkAra--gopura--saBA--cEtya--catvara-Ayatana-AdiBiH-
   nāgāsura-mithuna-pārāvata-śuka-sārikākīrṇa-kṛtrima-bhūmibhir	nAga-asura--miTuna--pArAvata-Suka-sArika-AkIrNa--kRtri-ma--BUmiBiH-
   vivareśvara-gṛhottamaiḥ samalaṅkṛtāś cakāsati	vivara-ISvara--gRha-uttamEH samalaFkRtAH cakAsati
   BhP_05.24.010/1 udyānāni cātitarāṃ mana-indriyānandibhiḥ	Bhu-_05.24.010/1 udyAnAni ca-atitarAm mana-indriya-AnandiBiH
   kusuma-phala-stabaka-subhaga-kisalayāvanata-rucira-viṭapa-viṭapināṃ	kusuma--Pala--staba-ka-suBaga--kisalaya-avanata--rucira--viwapa--viwapinAm
   latāṅgāliṅgitānāṃ śrībhiḥ samithuna-vividha-vihaṅgama-jalāśayānām	latA-aFga-AliFgitAnAm SrIBiH sa-miTuna--viviDa--vihaFga-ma-jala-ASayAnAm
   amala-jala-pūrṇānāṃ	amala---jala--pUrNAnAm
   jhaṣakulollaṅghana-kṣubhita-nīra-nīraja-kumuda-kuva-laya-kahlāra-nīlotpala-lohita-śatapatrādi-vaneṣu	Jaza-kula-ullaFGana--kzuBita--nIra--nIra-ja-kumuda--kuva-laya--kahlAra--nIlotpala--lohita--Satapatra-Adi-vanezu
   kṛta-niketanānām eka-vihārākula-madhura-vividha-svanādibhir indriyotsavair	kRta-niketanAnAm eka-vihAra-Akula--maDura--viviDa--svana-AdiBiH indriya-utsavEH-
   amara-loka-śriyam atiśayitāni	amara--loka--Sriyam atiSayitAni
   BhP_05.24.011/1 yatra ha vāva na bhayam aho-rātrādibhiḥ kāla-vibhāgair	Bhu-_05.24.011/1 yatra ha vAva na Bayam aho-rAtra-AdiBiH kAla-viBAgEH-
   upalakṣyate	upalakzyate
   BhP_05.24.012/1 yatra hi mahāhi-pravara-śiro-maṇayaḥ sarvaṃ tamaḥ	Bhu-_05.24.012/1 yatra hi mahA-ahi--pravara--SiraH--maNayaH sarvam tamaH
   prabādhante	prabADante
   BhP_05.24.013/1 na vā eteṣu vasatāṃ	Bhu-_05.24.013/1 na vE etezu vasatAm
   divyauṣadhi-rasa-rasāyanānna-pāna-snānādibhir ādhayo vyādhayo	divyOzaDi--rasa--rasAyana-anna--pAna--snAna-AdiBiH ADayaH vyADayo
   valī-palita-jarādayaś ca deha-vaivarṇya-daurgandhya-sveda-klama-glānir iti	valI--palita-jarA-AdayaH ca deha--vEvarNya--dOrganDya--sveda--klama--glAniH iti
   vayo 'vasthāś ca bhavanti	vayaH avasTAH ca Bavanti
   BhP_05.24.014/1 na hi teṣāṃ kalyāṇānāṃ prabhavati kutaścana mṛtyur vinā	Bhu-_05.24.014/1 na hi tezAm kalyANAnAm praBavati kutaScana mRtyuH vinA
   bhagavat-tejasaś cakrāpadeśāt	Bagavat--tejasaH cakra-apadeSAt
   BhP_05.24.015/1 yasmin praviṣṭe 'sura-vadhūnāṃ prāyaḥ puṃsavanāni bhayād	Bhu-_05.24.015/1 yasmin pravizwe asura-vaDUnAm prAyas puMsavanAni BayAt-
   eva sravanti patanti ca	eva sravanti patanti ca
   BhP_05.24.016/1 athātale maya-putro 'suro balo nivasati yena ha vā iha	Bhu-_05.24.016/1 aTa-atale maya-putraH asuraH balaH nivasati yena ha vE iha
   sṛṣṭāḥ ṣaṇ-ṇavatir māyāḥ kāścanādyāpi māyāvino dhārayanti yasya ca	sRzwAH zaN-NavatiH mAyAH kAScana-adya-api mAyAvinaH DArayanti yasya ca
   jṛmbhamāṇasya mukhatas trayaḥ strī-gaṇā udapadyanta svairiṇyaḥ kāminyaḥ	jRmBamANasya muKataH trayaH strI--gaNAH udapadyanta svEriNyaH kAminyaH
   puṃścalya iti yā vai bilāyanaṃ praviṣṭaṃ puruṣaṃ rasena hāṭakākhyena	puMScalyaH iti yA vE bilAyanam pravizwam puruzam rasena hAwaka-AKyena
   sādhayitvā sva-vilāsāvalokanānurāga-smita-saṃlāpopagūhanādibhiḥ svairaṃ	sADayitvA sva--vilAsa-avalokana-anurAga--smita-saMlApa-upagUhana-AdiBiH svEram
   kila ramayanti yasminn upayukte puruṣa īśvaro 'haṃ siddho 'ham ity	kila ramayanti yasmin upayukte puruzaH ISvaraH aham sidDaH aham iti-
   ayuta-mahā-gaja-balam ātmānam abhimanyamānaḥ katthate madāndha iva	ayuta--mahA-gaja-balam AtmAnam aBimanyamAnaH katTate mada-anDaH iva
   BhP_05.24.017/1 tato 'dhastād vitale haro bhagavān hāṭakeśvaraḥ	Bhu-_05.24.017/1 tatas aDastAt vitale haraH BagavAn hAwakeSvaraH
   sva-pārṣada-bhūta-gaṇāvṛtaḥ prajāpati-sargopabṛṃhaṇāya bhavo bhavānyā saha	sva--pArzada-BUta--gaNa-AvRtaH prajApati--sarga-upabRMhaNAya BavaH BavAnyA saha
   mithunī-bhūta āste yataḥ pravṛttā sarit-pravarā hāṭakī nāma bhavayor	miTunI--BUtaH Aste yatas pravRttA sarit-pravarA hAwakI nAma BavayoH-
   vīryeṇa yatra citrabhānur mātariśvanā samidhyamāna ojasā pibati tan	vIryeNa yatra citraBAnuH mAtariSvanA samiDyamAnaH ojasA pibati tat-
   niṣṭhyūtaṃ hāṭakākhyaṃ suvarṇaṃ bhūṣaṇenāsurendrāvarodheṣu puruṣāḥ saha	nizWyUtam hAwaka-AKyam suvarNam BUzaNena-asura-indra-avaroDezu puruzAH saha
   puruṣībhir dhārayanti	puruzIBiH DArayanti
   BhP_05.24.018/1 tato 'dhastāt sutale udāra-śravāḥ puṇya-śloko	Bhu-_05.24.018/1 tatas aDastAt sutale udAra--SravAH puNya-SlokaH-
   virocanātmajo balir bhagavatā mahendrasya priyaṃ cikīrṣamāṇenāditer	virocana-AtmajaH baliH BagavatA mahA-indrasya priyam cikIrzamANena-aditeH-
   labdha-kāyo bhūtvā vaṭu-vāmana-rūpeṇa parākṣipta-loka-trayo	labDa-kAyaH BUtvA vawu-vAmana--rUpeNa parAkzipta--loka-trayaH-
   bhagavad-anukampayaiva punaḥ praveśita indrādiṣv avidyamānayā susamṛddhayā	Bagavat--anukampayA-eva punar praveSitaH indra-Adizu avidyamAnayA su-samRdDayA
   śriyābhijuṣṭaḥ sva-dharmeṇārādhayaṃs tam eva bhagavantam ārādhanīyam	SriyA-aBijuzwaH sva--DarmeNa-ArADayan tam eva Bagavantam ArADanIyam
   apagata-sādhvasa āste 'dhunāpi	apagata--sADvase Aste aDunA-api
   BhP_05.24.019/1 no evaitat sākṣātkāro bhūmi-dānasya yat tad bhagavaty	Bhu-_05.24.019/1 naH eva-etat sAkzAtkAraH BUmi-dAnasya yat tat Bagavati-
   aśeṣa-jīva-nikāyānāṃ jīva-bhūtātma-bhūte paramātmani vāsudeve tīrthatame	aSeza-jIva-nikAyAnAm jIva-BUtAtma--BUte paramAtmani vAsudeve tIrTatame
   pātra upapanne parayā śraddhayā paramādara-samāhita-manasā	pAtre upapanne parayA SradDayA parama-Adara--samAhita-manasA
   sampratipāditasya sākṣād apavarga-dvārasya yad bila-nilayaiśvaryam	sampratipAditasya sAkzAt apavarga-dvArasya yat bila--nilaya-ESvaryam
   BhP_05.24.020/1 yasya ha vāva kṣuta-patana-praskhalanādiṣu vivaśaḥ sakṛn	Bhu-_05.24.020/1 yasya ha vAva kzuta-patana--prasKalana-Adizu vivaSaH sakRn
   nāmābhigṛṇan puruṣaḥ karma-bandhanam añjasā vidhunoti yasya haiva	nAma-aBigRNan puruzaH karma--banDanam aQjasA viDunoti yasya ha-eva
   pratibādhanaṃ mumukṣavo 'nyathaivopalabhante	pratibADanam mumukzavaH anyaTA-eva-upalaBante
   BhP_05.24.021/1 tad bhaktānām ātmavatāṃ sarveṣām ātmany ātmada ātmatayaiva	Bhu-_05.24.021/1 tat BaktAnAm AtmavatAm sarvezAm Atmani Atma-daH Atma-tayA-eva
   BhP_05.24.022/1 na vai bhagavān nūnam amuṣyānujagrāha yad uta punar	Bhu-_05.24.022/1 na vE BagavAn nUnam amuzya-anujagrAha yat uta punar-
   ātmānusmṛti-moṣaṇaṃ māyāmaya-bhogaiśvaryam evātanuteti	Atma-anusmRti-mozaNam mAyA-maya--Boga-ESvaryam eva-atanu-tA-iti
   BhP_05.24.023/1 yat tad bhagavatānadhigatānyopāyena	Bhu-_05.24.023/1 yat tat BagavatA-anaDigata-anya-upAyena
   yācñā-cchalenāpahṛta-sva-śarīrāvaśeṣita-loka-trayo varuṇa-pāśaiś ca	yAcQA--=-Calena-apahRta--sva--SarIra-avaSezita--loka--trayaH varuNa--pASEH ca
   sampratimukto giri-daryāṃ cāpaviddha iti hovāca	sampratimuktaH giri-daryAm ca-apavidDaH iti ha-uvAca
   BhP_05.24.024/1 nūnaṃ batāyaṃ bhagavān artheṣu na niṣṇāto yo 'sāv indro	Bhu-_05.24.024/1 nUnam bata-ayam BagavAn arTezu na nizNAtaH yaH asO indraH-
   yasya sacivo mantrāya vṛta ekāntato bṛhaspatis tam atihāya svayam	yasya sacivaH mantrAya vRtaH ekAntataH bRhaspatiH tam atihAya svayam
   upendreṇātmānam ayācatātmanaś cāśiṣo no eva tad-dāsyam	upendreNa-AtmAnam ayAcata-AtmanaH ca-ASizaH naH eva tat--dAsyam
   ati-gambhīra-vayasaḥ kālasya manvantara-parivṛttaṃ kiyal loka-trayam idam	ati-gamBIra--vayasaH kAlasya manvantara--parivRttam kiyat loka-trayam idam
   BhP_05.24.025/1 yasyānudāsyam evāsmat-pitāmahaḥ kila vavre na tu	Bhu-_05.24.025/1 yasyAn-udAsyam eva-asmat-pitAmahaH kila vavre na tu
   sva-pitryaṃ yad utākutobhayaṃ padaṃ dīyamānaṃ bhagavataḥ param iti	sva-pitryam yat uta-akutoBayam padam dIyamAnam BagavataH param iti
   bhagavatoparate khalu sva-pitari	BagavatA-uparate Kalu sva-pitari
   BhP_05.24.026/1 tasya mahānubhāvasyānupatham amṛjita-kaṣāyaḥ ko	Bhu-_05.24.026/1 tasya mahA-anuBAvasya-anupaTam amRjita-kazAyaH ko
   vāsmad-vidhaḥ parihīṇa-bhagavad-anugraha upajigamiṣatīti	vA-asmad-viDaH parihINa--Bagavat--anugrahaH upajigamizati-iti
   BhP_05.24.027/1 tasyānucaritam upariṣṭād vistariṣyate yasya bhagavān	Bhu-_05.24.027/1 tasya-anucaritam uparizwAt vistarizyate yasya BagavAn
   svayam akhila-jagad-gurur nārāyaṇo dvāri gadā-pāṇir avatiṣṭhate	svayam aKila--jagat--guruH nArAyaNaH dvAri gadA-pANiH avatizWate
   nija-janānukampita-hṛdayo yenāṅguṣṭhena padā daśa-kandharo yojanāyutāyutaṃ	nija-jana-anukampita--hRdayaH yena-aFguzWena padA daSa--kanDaraH yojana-ayuta-ayutam
   dig-vijaya uccāṭitaḥ	diS--vijayaH uccAwitaH
   BhP_05.24.028/1 tato 'dhastāt talātale mayo nāma dānavendras	Bhu-_05.24.028/1 tatas aDastAt talAtale mayaH nAma dAnava-indra-s
   tri-purādhipatir bhagavatā purāriṇā tri-lokī-śaṃ cikīrṣuṇā	tri-pura-aDipatiH BagavatA purAriNA tri-lokI-Sam cikIrzuNA
   nirdagdha-sva-pura-trayas tat-prasādāl labdha-pado māyāvinām ācāryo	nirdagDa--sva--pura-trayaH tat--prasAdAt labDa-padaH mAyAvinAm AcAryaH-
   mahādevena parirakṣito vigata-sudarśana-bhayo mahīyate	mahAdevena parirakzitaH vigata--sudarSana-BayaH mahIyate
   BhP_05.24.029/1 tato 'dhastān mahātale kādraveyāṇāṃ sarpāṇāṃ naika-śirasāṃ	Bhu-_05.24.029/1 tatas aDastAt mahA-tale kAdraveyANAm sarpANAm na-eka--SirasAm
   krodhavaśo nāma gaṇaḥ kuhaka-takṣaka-kāliya-suṣeṇādi-pradhānā	kroDavaSaH nAma gaNaH kuhaka-takzaka--kAli-ya--suzeNa-Adi-praDAnA
   mahā-bhogavantaḥ patattri-rājādhipateḥ puruṣa-vāhād anavaratam udvijamānāḥ	mahA--BogavantaH patat-tri-rAja-aDipateH puruza-vAhAt anavaratam udvijamAnAH
   sva-kalatrāpatya-suhṛt-kuṭumba-saṅgena kvacit pramattā viharanti	sva-kalatra-apatya--suhRt--kuwumba--saFgena kvacid pramattAH viharanti
   BhP_05.24.030/1 tato 'dhastād rasātale daiteyā dānavāḥ paṇayo nāma	Bhu-_05.24.030/1 tatas aDastAt rasAtale dEteyAH dAnavAH paNayaH nAma
   nivāta-kavacāḥ kāleyā hiraṇya-puravāsina iti vibudha-pratyanīkā utpattyā	nivAta--kavacAH kAleyAH hiraNya-pura-vAsinaH iti vibuDa--pratyanIkA utpattyA
   mahaujaso mahā-sāhasino bhagavataḥ sakala-lokānubhāvasya harer eva tejasā	mahA-ojasaH mahA--sAhasinaH BagavataH sakala--loka-anuBAvasya hareH eva tejasA
   pratihata-balāvalepā bileśayā iva vasanti ye vai saramayendra-dūtyā	pratihata--bala-avalepAH bileSayAH iva vasanti ye vE saramaya-indra-dUtyA
   vāgbhir mantra-varṇābhir indrād bibhyati	vAgBiH mantra--varNABiH indrAt biByati
   BhP_05.24.031/1 tato 'dhastāt pātāle nāga-loka-patayo vāsuki-pramukhāḥ	Bhu-_05.24.031/1 tatas aDastAt pAtAle nAga--loka-patayaH vAsuki--pramuKAH
   śaṅkha-kulika-mahāśaṅkha-śveta-dhanañjaya-dhṛtarāṣṭra-śaṅkhacūḍa-kambalāśvatara-devadattādayo	SaFKa-kulika--mahA-SaFKa--Sveta--DanaQjaya--DRtarAzwra--SaFKa-cUxa-kambala-aSvatara--devadattAdayaH-
   mahā-bhogino mahāmarṣā nivasanti yeṣām u ha vai	mahA-BoginaH mahA-marzAH nivasanti yezAm u ha vE
   pañca-sapta-daśa-śata-sahasra-śīrṣāṇāṃ phaṇāsu viracitā mahā-maṇayo	paQca-sapta-daSa--Sata--sahasra--SIrzANAm PaNAsu viracitAH mahA-a-maNayaH-
   rociṣṇavaḥ pātāla-vivara-timira-nikaraṃ sva-rociṣā vidhamanti	rocizNavaH pAtAla--vivara--timira-nikaram sva--rocizAH viDamanti
   BhP_05.25.001/0 śrī-śuka uvāca	BhP_05.25.001/0 SrI-SukaH uvAca
   BhP_05.25.001/1 tasya mūla-deśe triṃśad-yojana-sahasrāntara āste yā vai	Bhu-_05.25.001/1 tasya mUla-deSe triMSat--yojana--sahasra-antaraH Aste yA vE
   kalā bhagavatas tāmasī samākhyātānanta iti sātvatīyā draṣṭṛ-dṛśyayoḥ	kalA BagavataH tAmasI samAKyAta-anantaH iti sAtvatIyAH drazwR-dRSyayoH
   saṅkarṣaṇam aham ity abhimāna-lakṣaṇaṃ yaṃ saṅkarṣaṇam ity ācakṣate	saFkarzaNam aham iti aBimAna-lakzaNam yam saFkarzaNam iti Acakzate
   BhP_05.25.002/1 yasyedaṃ kṣiti-maṇḍalaṃ bhagavato 'nanta-mūrteḥ	Bhu-_05.25.002/1 yasya-idam kziti--maNxalam BagavataH ananta--mUrteH
   sahasra-śirasa ekasminn eva śīrṣaṇi dhriyamāṇaṃ siddhārtha iva lakṣyate	sahasra--SirasaH ekasmin eva SIrzaNi DriyamANam sidDArTaH iva lakzyate
   BhP_05.25.003/1 yasya ha vā idaṃ kālenopasañjihīrṣato	Bhu-_05.25.003/1 yasya ha vE idam kAlena-upasaQji-hIrzataH-
   'marṣa-viracita-rucira-bhramad-bhruvor antareṇa sāṅkarṣaṇo nāma rudra	amarza--viracita-rucira--Bramat--BruvoH antareNa sAFkarzaNaH nAma rudra
   ekādaśa-vyūhas try-akṣas tri-śikhaṃ śūlam uttambhayann udatiṣṭhat	ekAdaSa-vyUhaH tri--akzaH tri-SiKam SUlam uttamBayan udatizWat-
   BhP_05.25.004/1	Bhu-_05.25.004/1
   yasyāṅghri-kamala-yugalāruṇa-viśada-nakha-maṇi-ṣaṇḍa-maṇḍaleṣv ahi-patayaḥ	yasya-aFGri--kamala--yugala-aruNa--viSada--naKa-maNi--zaNxa--maNxalezu ahi-patayaH
   saha sātvatarṣabhair ekānta-bhakti-yogenāvanamantaḥ sva-vadanāni	saha sAtvata-RzaBEH ekAnta--Bakti--yogena-avanam-antar sva--vadanAni
   parisphurat-kuṇḍala-prabhā-maṇḍita-gaṇḍa-sthalāny ati-manoharāṇi	parisPurat--kuNxala--praBA--maNxita--gaNxa--sTalAni ati-manoharANi
   pramudita-manasaḥ khalu vilokayanti	pramudita-manasaH Kalu vilokayanti
   BhP_05.25.005/1 yasyaiva hi nāga-rāja-kumārya āśiṣa āśāsānāś	Bhu-_05.25.005/1 yasya-eva hi nAga-rAja-kumAryaH ASizaH ASAsAnAH-
   cārv-aṅga-valaya-vilasita-viśada-vipula-dhavala-subhaga-rucira-bhuja-rajata-stambheṣv	cAru--aFga--valaya--vilasita-viSada--vipula--Davala--suBaga--rucira-Buja--rajata--stamBezu-
   aguru-candana-kuṅkuma-paṅkānulepenāvalimpamānās	aguru-candana--kuFkuma--paFka-anulepena-avalimpamAnAH-
   tad-abhimarśanonmathita-hṛdaya-makara-dhvajāveśa-rucira-lalita-smitās	tad--aBimarSana-unmaTita--hRdaya-makara--Dvaja-AveSa--ruciH-a--lalita-smitAs
   tad-anurāgamada-mudita-mada-vighūrṇitāruṇa-karuṇāvaloka-nayana-vadanāravindaṃ	tad--anurAga-mada-m-udita--mada--viGUrNita-aruNa-karuNa-avaloka-nayana-vadana-aravindam
   savrīḍaṃ kila vilokayanti	sa-vrIxam kila vilokayanti
   BhP_05.25.006/1 sa eva bhagavān ananto 'nanta-guṇārṇava ādi-deva	Bhu-_05.25.006/1 saH eva BagavAn anantaH ananta--guNa-arNavaH Adi-deva
   upasaṃhṛtāmarṣa-roṣa-vego lokānāṃ svastaya āste	upasaMhRta-amarza---roza--vegaH lokAnAm svastayaH Aste
   BhP_05.25.007/1 dhyāyamānaḥ	Bhu-_05.25.007/1 DyAyamAnaH
   surāsuroraga-siddha-gandharva-vidyādhara-muni-gaṇair	sura-asura-uraga-sidDa--ganDarva-vidyADara--muni--gaNEH-
   anavarata-mada-mudita-vikṛta-vihvala-locanaḥ	anavarata-mada--mudita-vikRta-vihvala--locanaH
   sulalita-mukharikāmṛtenāpyāyamānaḥ sva-pārṣada-vibudha-yūtha-patīn	su-lalita-muKarika-amRtena-ApyAyamAnaH sva--pArzada--vibuDa---yUTa-patIn
   aparimlāna-rāga-nava-tulasikāmoda-madhv-āsavena mādyan	aparimlAna--rAga-nava--tulasikA-Amoda--maDu--Asavena mAdyan
   madhukara-vrāta-madhura-gīta-śriyaṃ vaijayantīṃ svāṃ vanamālāṃ nīla-vāsā	maDukara-vrAta--maDura--gIta--Sriyam vEjayantIm svAm vanamAlAm nIla-vAsA
   eka-kuṇḍalo hala-kakudi kṛta-subhaga-sundara-bhujo bhagavān mahendro	eka-kuNxalaH hala-kakudi kRta-suBaga--sundara--BujaH BagavAn mahA-indraH-
   vāraṇendra iva kāñcanīṃ kakṣām udāra-līlo bibharti	vAraNa-indraH iva kAQcanIm kakzAm udAra-lIlaH biBarti
   BhP_05.25.008/1 ya eṣa evam anuśruto dhyāyamāno mumukṣūṇām	Bhu-_05.25.008/1 yaH ezaH evam anuSrutaH DyAyamAnaH mumukzUNAm
   anādi-kāla-karma-vāsanā-grathitam avidyāmayaṃ hṛdaya-granthiṃ	anAdi--kAla-karma--vAsanA--graTitam avidyA-mayam hRdaya-granTim
   sattva-rajas-tamomayam antar-hṛdayaṃ gata āśu nirbhinatti tasyānubhāvān	sattva--rajas--tamaH-mayam antar-hRdayam gataH ASu nirBinatti tasya-anuBAvAn
   bhagavān svāyambhuvo nāradaḥ saha tumburuṇā sabhāyāṃ brahmaṇaḥ saṃślokayām	BagavAn svAyamBuvaH nAradaH saha tumburuNA saBAyAm brahmaNaH saMSlokayAm
   āsa	Asa
   BhP_05.25.009/1 utpatti-sthiti-laya-hetavo 'sya kalpāḥ	Bhu-_05.25.009/1 utpatti--sTiti--laya--hetavaH asya kalpAH
   BhP_05.25.009/2 sattvādyāḥ prakṛti-guṇā yad-īkṣayāsan	Bhu-_05.25.009/2 sattva-AdyAH prakRti-guNAH yat--IkzayA-Asan
   BhP_05.25.009/3 yad-rūpaṃ dhruvam akṛtaṃ yad ekam ātman	Bhu-_05.25.009/3 yat--rUpam Druvam akRtam yat ekam Atman
   BhP_05.25.009/4 nānādhāt katham u ha veda tasya vartma	Bhu-_05.25.009/4 nAnADAt kaTam u ha veda tasya vartma
   BhP_05.25.010/1 mūrtiṃ naḥ puru-kṛpayā babhāra sattvaṃ	Bhu-_05.25.010/1 mUrtim naH puru-kRpayA baBAra sattvam
   BhP_05.25.010/2 saṃśuddhaṃ sad-asad idaṃ vibhāti tatra	Bhu-_05.25.010/2 saMSudDam sat--asat idam viBAti tatra
   BhP_05.25.010/3 yal-līlāṃ mṛga-patir ādade 'navadyām	Bhu-_05.25.010/3 yal--lIlAm mRga--patiH Adade anavadyAm
