   ṣaṣṭha ucchvāsaḥ	zazWaH ucCvAsaH
   jāmadagnyena ca śāmyanmanyuśikhiśikhāsaṃjvarasukhāyamānasparśaśītaleṣu	jAmadagnyena ca SAmyan-manyu-SiKi-SiKA-saMjvara-suKAyamAna-sparSa-SItalezu
   kṣatriyakṣatajahradeṣvasnāyi' /	kzatriya-kzataja-hradezu-asnAyi-a /
   ityuktvā vyaraṃsīt /	iti-uktvA vyaraMsIt /
   devastu harṣastaṃ pratyavādīt--	devaH-tu harzaH-tam pratyavAdIt--
   "karaṇīyamevedamabhihitaṃ mānyena /	"karaNIyam-eva-idam-aBihitam mAnyena /
   itarathā hi me gṛhītabhuvi bhogināthe 'pi dāyādadṛṣṭirīrṣyālorbhujasya /	itaraTAH hi me gRhIta-Buvi Bogi-nATe api dAyAda-dRzwiH-IrzyA-loH-Bujasya /
   upari gacchatīcchati nigrahāya grahagaṇe 'pi dāyādadṛṣṭirīrṣyālorbhujasya	upari gacCati-icCati nigrahAya graha-gaNe api dAyAda-dRzwiH-IrzyAloH-Bujasya
   upari gacchatīcchati nigrahāya grahagaṇe 'pi bhrūlatā calitum /	upari gacCati-icCati nigrahAya graha-gaNe api BrU-latA calitum /
   anamatsu śaileṣvapi kacagrahamabhilaṣati dātuṃ karaḥ /	anamatsu SElezu-api kaca-graham-aBilazati dAtum karaH /
   tejodurvidagdhānarkakarānapi cāmarāṇi grāhayitumīhate hṛdayam /	tejoduH-vidagDAn-arka-karAn-api cAmarANi grAhayitum-Ihate hRdayam /
   rājaśabdarūpā mṛgarājānāmapi śirāṃśivāñchati pādaḥ pādapīṭhīkartum /	rAja-Sabda-rUpA mRgarAjAnAm-api SirAMSivAQCati pAdaH pAda-pIWIkartum /
   svacchandalokapālasvecchāgṛhītānāmākṣepādeśāya diśāmapi sphuratyadharaḥ /	svacCanda-lokapAla-sva-icCA-gRhItAnAm-Akzepa-AdeSAya diSAm-api sPurati-aDaraH /
   kiṃ punarīdṛśe durjāte jāte jātāmarṣanirbhare ca manasi nāstyevāvakāśaḥ	kim punar-IdRSe durjAte jAte jAta-amarza-nirBare ca manasi na-asti-eva-avakASaH
   sokakriyākaraṇasya? api ca hṛdayaviṣamaśalye musalye jīvati jālme	soka-kriyA-karaNasya? api ca hRdaya-vizama-Salye musalye jIvati jAlme
   jagadvigahite gauḍādhipādhamacaṇḍāle jihremi śuṣkādharapuṭaḥ pījeva	jagat-vigahite gOxa-aDipa-aDama-caNxAle jihremi Suzka-aDara-puwaH pIjA-iva
   pratikāraśūnyaṃ śucā śūtkartum /	pratikAra-SUnyam SucA SUtkartum /
   akṛtaripubalābalāvilolalocanodakadurdinasya me kutaḥ karayugalasya	akRtaripu-bala-abalA-vilola-locana-udaka-durdinasya me kutas kara-yugalasya
   jalāñjalidānam, adṛṣṭagauḍādhamacitādhūmamaṇḍalasya vā cakṣuṣaḥ	jala-aQjali-dAnam, adRzwa-gOxa-aDama-cita-aDUma-maNxalasya vA cakzuzaH
   svalpamapyaśrusalilam /	su-alpam-api-aSru-salilam /
   śrūyatāṃ me pratijñā--	SrUyatAm me pratijQA--
   "śapāmyāryasyaiva pādapāṃsusparśena, yadi parigaṇitaireva vāsareḥ	"SapAmi-Aryasya-eva pAda-pAMsu-sparSena, yadi parigaNitEH-eva vAsareH
   sakalacāpacāpaladurlalitanarapaticaraṇaraṇaraṇāyamānanigaḍāṃ nirgauḍaṃ gāṃ	sakala-cApa-cApala-durlalita-narapati-caraNa-raNa-raNAyamAna-nigaxAm nirgOxam gAm
   na karomi tatastanūnapāti pītasarpiṣi pataṅga iva pātakī pātayāmyātmānam'	na karomi tatas-tanUnapAti pIta-sarpizi pataFgaH iva pAtakI pAtayAmi-AtmAnam-a
   ityuktvā ca mahāsandhivigrahādhikṛtamavantikamantikasthamādideśa--	iti-uktvA ca mahA-sanDi-vigraha-aDikRtam-avantikam-antika-sTam-AdideSa--
   "likhyatām /	"liKyatAm /
   ā ravirathacakracītkārajakitacāraṇamithunamuktasāno rudayācalāt, ā	A ravi-raTa-cakra-cItkAra-jakita-cAraNa-miTuna-mukta-sAnaH rudayAcalAt, A
   trikūṭakaṭakakuṭṭākaṭaṅkalikhitakākutsthalaṅkāluṇṭhanavyatikarātsuvelāt, ā	trikUwa-kawaka-kuwwA-kawaFka-liKita-kAkutsTa-laFkA-luNWana-vyatikarAt-suvelAt, A
   vāruṇīmadaskhalitavaruṇavaranārīnūpuraravamukharakuharakukṣerastag ireḥ, ā	vAruNI-mada-sKalita-varuNa-vara-nArI-nUpura-rava-muKara-kuhara-kukzeraH-tak ireH, A
   guhyakagehinīparimalasugandhigandhapāṣāṇavāsitaguhāgṛhācca gandhamādanāt	guhyaka-gehinI-parimala-suganDi-ganDapAzANa-vAsita-guhA-gRhAt-ca ganDamAdanAt-
   sarveṣāṃ rājñāṃ sajjīkriyantāṃ karāḥ karadānāya śastragrahaṇāya vā,	sarvezAm rAjQAm sajjIkriyantAm karAH kara-dAnAya Sastra-grahaNAya vA,
   gṛhyantāṃ diśaścāmarāṇi vā, namantu śirāṃsi dhanūṃṣi vā,	gRhyantAm diSaH-ca-amarANi vA, namantu SirAMsi DanUMzi vA,
   karṇapūrīkriyantāmājñā maurvyo vā, śekharībhavantu pādarajāṃsi śirastrāṇi	karNapUrIkriyantAm-AjQA mOrvyaH vA, SeKarIBavantu pAda-rajAMsi SirastrANi
   vā, ghaṭantāmañjalayaḥ karighaṭābandhā vā, mucyantāṃ bhūmaya iṣavo vā,	vA, GawantAm-aQjalayaH kari-GawA-banDAH vA, mucyantAm BUmayaH izavaH vA,
   samālambyantāṃ vetrayaṣṭayaḥ kuntayaṣṭayo vā, sudṛṣṭaḥ kriyatāmātmā	samAlambyantAm vetra-yazwayaH kunta-yazwayaH vA, su-dRzwaH kriyatAm-AtmA
   maccaraṇanakheṣu kṛpāṇadarpaṃṇeṣu vā /	mad-caraNa-naKezu kRpANa-darpaMNezu vA /
   parāgato 'ham /	parAgataH aham /
   paṅgoriva mekuto nivṛttistāvadyāvanna kṛtaḥ sarvadvīpāntarasaṃcārī	paFgoH-iva mekutaH nivRttiH-tAvat-yAvat-na kRtaH sarva-dvIpa-antara-saMcArI
   sakalanarapatimukuṭamaṇiśilālokamayaḥ pādalepaḥ' /	sakala-narapati-mukuwa-maNi-SilA-loka-mayaH pAda-lepaH-a /
   iti kṛtaniścayaśca muktāsthāno visarjitarājalokaḥ snānārambhākāṅkṣī	iti kRta-niScayaH-ca muktA-sTAnaH visarjita-rAja-lokaH snAna-AramBa-AkAFkzI
   sabhāmatyākṣīt /	saBAm-atyAkzIt /
   utthāya ca svasthavanniḥśeṣamāhnikamakārṣīt /	utTAya ca svasTa-vat-niHSezam-Ahnikam-akArzIt /
   agalacca darpaprasara iva śrutapratijñasya śāmyadūṣmā divasastribhuvanasya	agalat-ca darpa-prasaraH iva Sruta-pratijQasya SAmya-dUzmAH divasaH-triBuvanasya
   tataśca nijādhikārāpahārabhīta iva bhagavatyapi vkāpi gate	tatas-ca nija-aDikAra-apahAra-BItaH iva Bagavati-api vkApi gate
   gatatejasyahimabhāsi, tāmarasavaneṣvapi nigūḍhaśilīmukhālāpeṣu trāsādiva	gata-tejasi-ahima-BAsi, tAmarasa-vanezu-api nigUXa-SilI-muKa-AlApezu trAsAt-iva
   saṃkucatsu, vihagagaṇeṣvapi samupasaṃhṛtanijapakṣavikṣepaniścaleṣu	saMkucatsu, vihaga-gaNezu-api samupasaMhRta-nija-pakza-vikzepa-niScalezu
   bhiyevāprakaṭībhavatsu, bhuvanavyāpinīṃ sandhyāṃ pratijñāmiva mānayati	Biyeva-aprakawIBavat-su, Buvana-vyApinIm sanDyAm pratijQAm-iva mAnayati
   nataśirasi ghaṭitāñjalivane jane sakale,	nata-Sirasi Gawita-aQjali-vane jane sakale,
   svapadacyuticakitadikpāladīyamānābhralihalohaprākāravalayakalitāsvi va	sva-pada-cyuti-cakita-dikpAla-dIyamAna-aBra-liha-loha-prAkAra-valaya-kalitAsvi va
   bahalatimiramālātiraudhīyamānāsu dikṣu pradoṣāsthāne nāticiraṃ tasthau /	bahala-timira-mAlA-ati-rODIyamAnAsu dikzu pradoza-AsTAne na-ati-ciram tasTO /
   namannṛpalokalolāṃśukapavanakampitaśikhairdīpikācakravālairapi	namat-nRpa-loka-lola-aMSuka-pavana-kampita-SiKEH-dIpikA-cakravAlEH-api
   praṇamyamāna iva prāhiṇollokaṃ pratiṣiddhaparijanapraveśaśca śayanagṛhaṃ	praNamyamAnaH iva prAhiNot-lokam pratizidDa-parijana-praveSaH-ca Sayana-gRham
   prāviśat /	prAviSat /
   uttānaśca mumocāṅgāni śayanatale /	uttAnaH-ca mumoca-aFgAni Sayana-tale /
   dīpadvitīyaṃ ca tamabhisara iva labdhāvasarastarasā bhrātṛśoko jagrāha /	dIpa-dvitIyam ca tam-aBisaraH iva labDa-avasaraH-tarasA BrAtR-SokaH jagrAha /
   jīvantamiva hṛdaye nimīlitalocanī dadarśāgrajam /	jIvantam-iva hRdaye nimIlita-locanI dadarSa-agrajam /
   uparyupari bhrātṛjīvitānveṣiṇa iva prasasruḥ śvāsāḥ /	upari-upari BrAtR-jIvita-anveziNaH iva prasasruH SvAsAH /
   dhavalāṃśukapaṭānteneva cāśrujalaplavena mukhamācchādya niḥśabdamaticiraṃ	Davala-aMSuka-pawa-antena-iva ca-aSru-jala-plavena muKam-AcCAdya niHSabdam-ati-ciram
   ruroda /	ruroda /
   cakāra cetasi--	cakAra cetasi--
   "kathaṃ nāmākṛtestādṛsyā yuktaḥ pariṇāmo 'yamīdṛśaḥ /	"kaTam nAma-AkRteH-tAdRsyAH yuktaH pariNAmaH ayam-IdRSaH /
   pṛthuśilāsaṃghātakarkaśakāyabandhāttātādacalādiva lohadhātuḥ kaṭhinatara	pRTu-SilA-saMGAta-karkaSa-kAya-banDAt-tAtAt-acalAt-iva lohaDAtuH kaWinatara
   āsīdāryaḥ /	AsIt-AryaH /
   kathaṃ cāsya me hatahṛdayasyāryavirahe sakṛdapi yuktaṃ samacchvasitum /	kaTam ca-asya me hata-hRdayasya-Arya-virahe sakRt-api yuktam sama=-Svasitum /
   iyaṃ sā prītirbhaktiranuvṛttirvā /	iyam sA prItiH-BaktiH-anuvRttiH-vA /
   bāliśo 'pi kaḥ saṃbhāvayedāryamaraṇe majjīvitam /	bAliSaH api kaH saMBAvayet-Arya-maraNe mad-jIvitam /
   tattādṛśamaikyamekapada eva vkāpi gatam /	tat-tAdRSam-Ekyam-eka-padaH eva vkApi gatam /
   ayatnenaiva hatavidhinā pṛthakkṛto 'smi /	ayatnena-eva hata-viDinA pRTakkRtaH asmi /
   dagdharoṣāntaritaśucā suciraṃ ruditamapi na muktakaṇṭhaṃ gataghṛṇena mayā	dagDa-roza-antarita-SucA su-ciram ruditam-api na mukta-kaNWam gata-GRNena mayA
   sarvathā lūtātantucchaṭācchidurāstucchāḥ prītayaḥ prāṇinām /	sarvaTA lUtA-tantu=-CawAt-CidurAH-tucCAH prItayaH prANinAm /
   lokayātrāmātranibandhanā bāndhavatā yatrāhamapi nāma para ivārye	lokayAtrA-mAtra-nibanDanAH bAnDava-tA yatra-aham-api nAma paraH iva-Arye
   svargasthe svastha ivāse /	svarga-sTe svasTaH iva-Ase /
   daivahatakena phalamāsāditamīdṛśi parasparaprītibandhanirvṛtahṛdaye	dEva-hatakena Palam-AsAditam-IdRSi paraspara-prIti-banDa-nirvRta-hRdaye
   sukhabhāji bhrātṛmithune vighaṭite /	suKa-BAji BrAtR-miTune viGawite /
   tathā ca candramayā iva jagadāhlādino lokāntarībhūtasya lagnacitāgnaya	taTA ca candramayAH iva jagat-AhlAdinaH loka-antarIBUtasya lagna-citA-agnaya
   ivāryasya ta eva dahanti guṇāḥ ityetāni cānyāni ca hṛdayena paryadevata /	iva-Aryasya te eva dahanti guNAH iti-etAni ca-anyAni ca hRdayena paryadevata /
   prabhātāyāṃ ca śarvaryāṃ pratīhāramādideśāśeṣagajasādhanādhikṛtaṃ	praBAtAyAm ca SarvaryAm pratIhAram-AdideSa-aSeza-gaja-sADana-aDikRtam
   skandaguptaṃ draṣṭumicchāmīti /	skandaguptam drazwum-icCAmi-iti /
   atha yugapatpradhāvitabahupuruṣaparamparāhūyamānaḥ,	aTa yugapad-praDAvita-bahu-puruza-paramparAhUyamAnaH,
   svamandirādapratipālitakareṇuścaraṇābhyāmeva saṃbhrāntaḥ,	sva-mandirAt-apratipAlita-kareNuH-caraNAByAm-eva saMBrAntaH,
   sasaṃbhramairdaṇḍibhirutsāryamāṇajanapadaḥ, pade pade praṇamataḥ	sa-saMBramEH-daNxiBiH-utsAryamANa-janapadaH, pade pade praNamataH
   pratidiśamibhabhiṣagvarānvaravāraṇānāṃ vibhāvarīvārtāḥ	pratidiSam-iBa-Bizaj-varAn-vara-vAraNAnAm viBAvarI-vArtAH
   pṛcchannucchritaśikhipicchalāñchitavaṃśalatāvanagahanagṛhītadigāyāmairvindhyavanairiva	pRcCan=-ucCrita-SiKi-picCa-lAQCita-vaMSa-la-tA-vana-gahana-gRhIta-diS-AyAmEH-vinDya-vanEH-iva
   vāraṇabandhavimardedyogāgataiḥ,	vAraNa-banDa-vimardet-yoga-AgatEH,
   puraḥpradhāvadbhiranāyattamaṇḍalairādhoraṇagaṇaiśca	puras-praDAvadBiH-anAyatta-maNxalEH-ADoraNa-gaNEH-ca
   marakataharitaghāsamuṣṭīśca darśayadbhirnavagrahagajapatīṃśca	marakata-harita-GAsa-muzwIH-ca darSayadBiH-nava-graha-gajapatIn=-ca
   prārthayamānaiśca labdhābhimatamattamātaṅgamuditamānasaiśca	prArTayamAnEH-ca labDa-aBimata-matta-mAtaFga-mudita-mAnasEH-ca
   sudūramupasṛtya namasyadbhirātmīyamātaṅgamadāgamāṃśca nivedayadbhiḥ,	su-dUram-upasRtya namasyadBiH-AtmIya-mAtaFga-mada-AgamAn=-ca nivedayadBiH,
   ḍiṇḍimādhirohaṇāya ca vijñāpayadbhiḥ,	xiNxima-aDirohaNAya ca vijQApayadBiH,
   pramādapatitāparādhāpahṛtadviradaduḥkhadhṛtadīrśaśmaśrubiragrato	pramAda-patita-aparADa-apahRta-dvirada-duHKa-DRta-dIrSa-SmaSru-biragrato
   gacchadbhiḥ, abhinavopasṛtaiśca karpaṭibhirvāraṇāptisukhapratyāśayā	gacCadBiH, aBinava-upasRtEH-ca karpawiBiH-vAraNa-Apti-suKa-pratyASayA
   dhāvamānaiḥ, gaṇikādhikārigaṇaiściralabdhāntarairucchritakaraiḥ,	DAvamAnEH, gaNikA-aDikAri-gaNEH-cira-labDa-antarEH-ucCrita-karEH,
   karmaṇyakareṇukāsaṃkathanākulairullāsitapallavacihnābhiraraṇyapālapaṅktibhiśca,	karmaNyakareNukA-saMkaTana-AkulEH-ullAsita-pallava-cihnABiH-araNyapAla-paFktiBiH-ca,
   niṣpāditanavagrahanāganivahanivedanodyatābhiruttambhitatuhgatotravanābhirmahāmātrapeṭakaiśca	nizpAdita-nava-graha-nAga-nivaha-nivedana-udyatABiH-uttamBita-tuhgatotra-vanABiH-mahAmAtra-pewakEH-ca
   prakaṭitakarikarmacarmapuṭaiḥ,	prakawita-kari-karma-carma-puwEH,
   abhinavagajasādhanasaṃcaraṇavārtānivedanavisarjitaiśca	aBinava-gaja-sADana-saMcaraNa-vArtA-nivedana-visarjitEH-ca
   nāgavanavīthīpāladūtavṛndaiḥ, pratikṣaṇapratyavekṣitakarikavalakūṭaiśca,	nAga-vana-vITI-pAla-dUta-vRndEH, pratikzaNa-pratyavekzita-kari-kavala-kUwEH-ca,
   kaṭabhaṅgasaṃgraṃha grāmanagaranigameṣu nivedayamānaiḥ, kaṭakakadambakaiḥ	kawaBaFga-saMgraMha grAma-nagara-nigamezu nivedayamAnEH, kawaka-kadambakEH
   kriyamāṇakolāhalaḥ, svāmiprasādasaṃbhṛtena mahādhikārāviṣkāreṇa	kriyamANa-kolAhalaH, svAmi-prasAda-saMBRtena mahA-aDikAra-AvizkAreNa
   svābhāvikena cāvaṣṭambābhogenodāsīno 'pyādiśanniva,	svABAvikena ca-avazwamba-ABogena-udAsInaH api-AdiSan=-iva,
   asaṃkhyakarikarṇaśaṅkhasampatsampādanāya samudrānājñāpayanniva,	asaMKya-kari-karNa-SaFKa-sampad-sampAdanAya samudrAn-AjQApayan=-iva,
   śṛṅgāragairikapahkāṅgarāgarsagrahāya girīn muṣṇanniva, diggajādhikāraṃ	SRFgAra-gErika-pahka-aFga-rAgarsa-grahAya girIn muzNanniva, diggaja-aDikAram
   kakubhāmairāvatamivāpaharan harerharapadabharanamitakailāsagirigurubiḥ	kakuBAm-ErAvatam-iva-apaharan hareH-hara-pada-Bara-namita-kElAsa-giri-gurubiH
   pādanyāsairgurubhāragrahaṇagarvamurvyāḥ saṃharanniva, gativaśavilolasya	pAda-nyAsEH-guru-BAra-grahaNa-garvam-urvyAH saMharat-=-iva, gati-vaSa-vilolasya
   cājānulambasya bāhudaṇḍadvayasya vikṣepairālānaśilāstambhamālāmivobhayato	ca-aja-anulambasya bAhu-daNxa-dvayasya vikzepEH-AlAna-SilA-stamBa-mAlAm-iva-uBayatas-
   nikhanannīṣaduttaṅgalambenādharabimbenāmṛtarasasvādunā navapallavakomalena	niKanan=-Izat-uttaFga-lambena-aDara-bimbena-amRta-rasa-svAdunA nava-pallava-komalena
   kavaleneva śrīkareṇukāṃ vilobhayannijanṛpavaṃśadīrghaṃ nāsāvaṃśaṃ	kavalena-iva SrIkareNukAm viloBayat-nija-nRpa-vaMSa-dIrGam nAsA-=-aMSam
   dadhānaḥ, atisnigdhamadhuradhavalaviśālatayā pītakṣīrodeneva	daDAnaH, ati-snigDa-maDura-Davala-viSAla-tayA pIta-kzIrodena-iva
   pibannīkṣaṇayugmāyāmena diśāmāyāmaṃ merutaṭādapi vikaṭavipulālikaḥ,	pibannIkzaNa-yugma-AyAmena diSAm-AyAmam meru-tawAt-api vikawa-vipulAlikaH,
   satatavicchinnacchatracchāyāprarūḍhivaśādiva	satata-vicCinna=-Catra=-CAyA-prarUXi-vaSAt-iva
   nitāntāyatanīlakomalacchavisubhagena svabhāvabhaṅgureṇa	nitAnta-Ayata-nIla-komala=-Cavi-suBagena svaBAva-BaFgureNa
   kuntalabālavallarīvellitavilāsinā lunanniva luptālokānarkakarān	kuntala-bAla-vallarI-vellita-vilAsinA lunan=-iva lupta-AlokAn-arka-karAn
   barbarakeṇāripakṣayaparityaktakārmukakarmāpi	barbarakeNa-aripa-kzaya-parityakta-kArmuka-karma-api
   sakaladigantaśrūyamāṇaguruguṇadhvaniḥ, ātmasthasamastamattamātaṅgasādhano	sakala-diS-anta-SrUyamANa-guru-guNa-DvaniH, Atma-sTa-samasta-matta-mAtaFga-sADanaH-
   'pyaspṛṣṭo madena bhūtimānapi snehamayaḥ pārthivo 'pi guṇamayaḥ kariṇāmiva	api-aspRzwaH madena BUtimAn-api sneha-mayaH pArTivaH api guNa-mayaH kariNAm-iva
   dānavatāmupari sthitaḥ, svāmitāmiva spṛhaṇīyāṃ	dAnavatAm-upari sTitaH, svAmi-tAm-iva spRhaNIyAm
   bhṛtyatāmapyaparibhūtāmudvahannekabhartṛbhaktiniścalāṃ	BRtya-tAm-api-apariBUtAm-udvahan=-eka-BartR-Bakti-niScalAm
   kulāṅganāmivānanyagamyāṃ prabuprasādabhūmimārūḍhaḥ, niṣkāraṇabāndavo	kula-aFganAm-iva-ananya-gamyAm prabuprasAda-BUmim-ArUXaH, nizkAraNa-bAndavaH-
   vidagdhānām, abhṛtabhṛtyo bhajatām, akrītadāso viduṣām, skandagupto viveśa	vidagDAnAm, aBRta-BRtyaH BajatAm, akrIta-dAsaH viduzAm, skandaguptaH viveSa
   rājakulam /	rAja-kulam /
   dūrādeva cobhayakarakamalāvalambitaṃ spṛśanmaulinā mahītalaṃ	dUrAt-eva ca-uBaya-kara-kamala-avalambitam spRSat-mOlinA mahI-talam
   namaskāramakarot /	namaskAram-akarot /
   upaviṣṭaṃ ca nātinikaṭe taṃ tadā jagāda devo harṣaḥ--	upavizwam ca na-ati-nikawe tam tadA jagAda devaH harzaH--
   "śruto vistara evāsyāryavyatikarasyāsmaccikīrṣitasya ca /	"SrutaH vistaraH eva-asya-Arya-vyatikarasya-asmad-cikIrzitasya ca /
   ataḥ śīghraṃ praveśyantāṃ pracāranirgatāni gajasādhanāni /	atas SIGram praveSyantAm pracAra-nirgatAni gaja-sADanAni /
   na kṣāmyatyatisvalpamapyāryaparibhavapīḍāpāvakaḥ prayāṇavilambam' /	na kzAmyati-atisvalpam-api-Arya-pariBava-pIxA-pAvakaH prayANa-vilambam-a /
   ityevamabhihitaśca pramamya vyajñāpayat--"kṛtamavadhārayatu svāmī	iti-evam-aBihitaH-ca pramamya vyajQApayat--"kRtam-avaDArayatu svAmI
   samādiṣṭaṃ kitu svalpaṃ vijñapyamasti bhartṛbhakteḥ /	samAdizwam kitu su-alpam vijQapyam-asti BartR-BakteH /
   tadākarṇayatu devaḥ /	tat-A-AkarNayatu devaH /
   devena hi puṣyabhūtivaṃśasaṃbhūtasyābhijanasyābijātyasya sahajasya	devena hi puzya-BUti-vaMSa-saMBUtasya-aBijanasya-abijAti-asya sahajasya
   tejasodikkarikarapralambasya bāhuyugalasyāsādhāraṇasya ca sodarasnehasya	tejasaH-dikkari-kara-pralambasya bAhu-yugalasya-asADAraNasya ca sodara-snehasya
   sarvaṃ sadṛśamupakrāntam /	sarvam sadRSam-upakrAntam /
   kākodarābidhānāḥ kṛpaṇāḥ kṛmayo 'pi na mṛṣyanti nikāraṃ kimuta	kAka-udara-AbiDAnAH kRpaNAH kRmayaH api na mRzyanti nikAram kim-uta
   bhavādṛśāstejasāṃ rāśayaḥ /	BavAdRSAH-tejasAm rASayaH /
   kevalaṃ devarājyavardhanodantena kiyadapi dṛṣṭameva devena	kevalam deva-rAjya-varDana-udantena kiyat-api dRzwam-eva devena
   durjanadaurātmyam /	durjana-dOrAtmyam /
   ridṛśāḥ khalu lokasvabhāvāḥ pratigrāmaṃ pratinagaraṃ pratideśaṃ	ridRSAH Kalu loka-svaBAvAH pratigrAmam pratinagaram pratideSam
   pratidvīpaṃ pratidiśaṃ ca bhinnā veśāścākārāścāhārāśca vyāhārāśca	pratidvIpam pratidiSam ca BinnAH veSAH-ca-AkArAH-ca-AhArAH-ca vyAhArAH-ca
   vyavahārāśca janapadānām /	vyavahArAH-ca janapadAnAm /
   tadiyamātmadeśācārocitā svabhāvasaralahṛdayajā tyajyatāṃ sarvaviśvāsitā /	tat-iyam-Atma-deSa-AcAra-ucitA svaBAva-sarala-hRdaya-jA tyajyatAm sarva-viSvAsitA /
   pramādadoṣābiṣaṅgeṣu śrutabahuvārta eva pratidinaṃ devaḥ /	pramAda-doza-abizaFgezu Sruta-bahu-vArtaH eva pratidinam devaH /
   yathā nāgakulajanmanaḥ sārikāśrāvitamantrasyāsīnnāśo nāgasenasya	yaTA nAga-kula-janmanaH sArika-aSrAvita-mantrasya-AsIt-nASaH nAgasenasya
   pajhāvatyām /	paJAvatyAm /
   śukaśrutarahasyasya ca śrīraśīryata śrutatavarmaṇaḥ śrāvastyām /	Suka-Sruta-rahasyasya ca SrIH-aSIryata SrutatavarmaNaH SrAvastyAm /
   svapnāyamānasya ca mantrabhedo 'bhūnmṛtyave mṛttikāvatyāṃ suvarṇacūḍasya /	svapnAyamAnasya ca mantra-BedaH aBUt-mRtyave mRttikAvatyAm suvarNa-cUxasya /
   cūḍāmaṇilagnalekhapratibimbavācitākṣarā ca cārucāmokaracāmaragrāhiṇī	cUxAmaNi-lagna-leKa-pratibimba-vAcita-akzarA ca cArucAH-mokara-cAmara-grAhiNI
   yamatāṃ yayau yavaneśvarasya /	yama-tAm yayO yavaneSvarasya /
   lobhabahulaṃ ca bahulaniśi nidhānamutkhanantamutkhātakhaḍgapramāthinī	loBa-bahulam ca bahula-niSi niDAnam-utKanantam-utKAta-Kaxga-pramATinI
   mamantha māthuraṃ bṛhadrathaṃ vidūrathavarūthinī /	mamanTa mATuram bRhadraTam vidUraTa-varUTinI /
   nāgavanavihāraśīlaṃ ca māyāmātaṅgāṅgānnirgatā mahāsenasainikā vatsapatiṃ	nAga-vana-vihAra-SIlam ca mAyA-mAtaFga-aFgAt-nirgatA mahAsena-sEnikA vatsa-patim
   nyayaṃsiṣuḥ /	nyayaMsizuH /
   atidayitalāsyasya ca śailūṣamadyamadhyāsya mūrdhānamasilatayā	atidayita-lAsyasya ca SElUza-m-adyam-aDyAsya mUrDAnam-asila-tayA
   mṛṇālamivālunādagnimitrātmajasya sumitrasya mitradevaḥ /	mRNAlam-iva-alunAt-agni-mitra-Atmajasya sumitrasya mitradevaH /
   priyatantrīvādyasyālābuvīṇābhyantaraśuṣiranihitaniśitataravārayo	priya-tantrI-vAdyasya-alAbu-vINa-aByantara-Suzira-nihita-niSitatara-vArayaH-
   gāndharvacchātracchajhānaḥ cicchiduraśmakesvarasya śarabhasya śiro	gAnDarva=-CAtra=-CaJAnaH cicCiduH-aSmakesvarasya SaraBasya SiraH-
   ripupuruṣāḥ /	ripu-puruzAH /
   prajñādurbalaṃ ca baladarśanavyapadeśadarśitāśeṣasainyaḥ, senānīranāryo	prajQA-durbalam ca bala-darSana-vyapadeSa-darSita-aSeza-sEnyaH, senA-nIH-anAryaH-
   mauryaṃ bṛhadrathaṃ pipeṣa puṣyamitraḥ svāminam /	mOryam bRhadraTam pipeza puzyamitraH svAminam /
   āścaryakutūhalī ca daṇḍopanatayavananirmitena nabhastalayāyinā	AScarya-kutUhalI ca daNxa-upanata-yavana-nirmitena naBaH-tala-yAyinA
   yantrayānenānīyata vkāpi kākavarṇaḥ śaiśunāgiśca nagaropakaṇṭhe kaṇṭhe	yantra-yAnena-AnIyata vkA-api kAka-varNaH SESunAgiH-ca nagara-upakaNWe kaNWe
   nicakṛte nistriṃśena /	nicakRte nistriMSena /
   atistrīsaṅgaratamanaṅgaparavasaṃ śuṅgamamātyo vasudevo	ati-strI-saFga-ratam-anaFga-para-vasam SuFgama-mAtyaH vasudevaH-
   devabhūtidāsīduhitrā devīvyañjanayā vītajīvitamakārayat /	deva-BUti-dAsI-duhitrA devI-vyaQjanayA vIta-jIvitam-akArayat /
   asuravivaravyasaninaṃ,	asura-vivara-vyasani-naM,
   cāpajahraraparimitaramaṇīmaṇinūpurajhaṇajhaṇāhlādaramyayā māgadha	cApa-jahrara-parimita-ramaNI-maNi-nUpura-JaNa-JaNa-AhlAda-ramyayA mAgaDa
   govardhanagirisuruṅgayā svaviṣayaṃ mekalādhipamantriṇa /	govarDana-giri-suruFgayA sva-vizayam mekalA-aDipa-mantriNaH /
   mahākālamahe ca manāmāṃsavikrayavādavātūlaṃ vetālastālajaṅgho jaghāna	mahAkAla-mahe ca manAmAMsa-vikraya-vAda-vAtUlam vetAlaH-tAlajaFGaH jaGAna
   jaghanyajaṃ pradyotasya pauṇakiṃ kumāraṃ kumārasenam /	jaGanya-jam pradyotasya pONakim kumAram kumArasenam /
   rasāyanarasābiniveśinaśca vaidyavyañjanāḥ	rasAyana-rasa-abiniveSinaH-ca vEdya-vyaQjanAH
   subahupuruṣānataraprakāśitauṣadhiguṇā gaṇapatervideharājasutasya	su-bahu-puruza-anatara-prakASita-ozaDi-guNAH gaNapateH-videha-rAja-sutasya
   rājayakṣmāṇamajanayan /	rAjayakzmANam-ajanayan /
   strīviśvāsinasca mahādevīgṛhagūḍhabhittibhāgbhūtvā bhrātā	strI-viSvAsinaH-ca mahAdevI-gRha-gUXa-Bitti-BAj-BUtvA BrAtA
