   Bhk_1	Bhj-_1
   Bhk_17.58-1 kapayo 'bibhayus tasminnabhañjaṃś ca mahā-drumān	Bhk-_17.58-1 kapayaH abiBayuH tasmin=-aBaQjan ca mahA-drumAn
   Bhk_17.58-2 prodakhāyan girīṃs tūrṇamagṛhṇaṃś ca mahā-śilāḥ.	Bhc-_17.58-2 prodaKAyan girIn tUrNam-agRhNan ca mahA-SilAH.
   Bhk_17.59-1 tataḥ samabhavad yuddhaṃ prāharan kapi-rākṣasāḥ,	Bhk-_17.59-1 tatas samaBavat yudDam prAharan kapi-rAkzasAH,
   Bhk_17.59-2 anyonyenā 'bhyabhūyanta, vimardamasahanta ca.	Bhc-_17.59-2 anyonyenA aByaBUyanta, vimardam-asahanta ca.
   Bhk_17.60-1 prāvardhata rajo bhaumaṃ, tad vyāśnuta diśo daśa,	Bhk-_17.60-1 prAvarData rajaH BOmaM, tat vyASnuta diSaH daSa,
   Bhk_17.60-2 parā''tmīya-vivekaṃ ca prāmuṣṇāt kapi-rakṣasām.	Bhk-_17.60-2 parA-aatmIya--vivekam ca prAmuzNAt kapi-rakzasAm.
   Bhk_17.61-1 tato 'dviṣur nirāloke svebhyo 'nyebhyaś ca rākṣasāḥ.	Bhk-_17.61-1 tatas advizuH nirAloke sveByaH anyeByaH ca rAkzasAH.
   Bhk_17.61-2 adviṣan vānarāś caiva vānarebhyo 'pi nirdayāḥ	Bhk-_17.61-2 advizan vAnarAH ca-eva vAnareByaH api nirdayAH
   Bhk_17.62-1 aghuraṃs te mahā-ghoramaścyotannatha śoṇitam,	Bhc-_17.62-1 aGuran te mahA-Goram-aScyotan=-aTa SoNitam,
   Bhk_17.62-2 samapadyata raktena samantāt tena kardamaḥ.	Bhc-_17.62-2 samapadyata raktena samantAt tena kardamaH.
   Bhk_17.63-1 gambhīrāḥ prāvahan nadyaḥ, samajāyanta ca hradāḥ,	Bhj-_17.63-1 gamBIrAH prAvahan nadyaH, samajAyanta ca hradAH,
   Bhk_17.63-2 vṛddhaṃ ca tad rajo 'śāmyat, samavedyanta ca dviṣaḥ.	Bhk-_17.63-2 vRdDam ca tat rajaH aSAmyat, samavedyanta ca dvizaH.
   Bhk_17.64-1 tato 'citrīyatā 'straughair dhanuś cā 'dhūnayan mahat	Bhk-_17.64-1 tatas acitrIyatA astra-oGEH DanuH cA aDUnayan mahat-
   Bhk_17.64-2 rāmaḥ, samīhitaṃ tasya nā'cetan sve na cā 'pare.	Bhc-_17.64-2 rAmaH, samIhitam tasya nA-acetat sve na cA apare.
   Bhk_17.65-1 chinnānaikṣanta bhinnāṃś ca samantād rāma-sāyukaiḥ.	Bhk-_17.65-1 CinnAn-Ekzanta BinnAn ca samantAt rAma-sAyukEH.
   Bhk_17.65-2 kruṣṭaṃ hāheti cā 'śṛṇvan na ca rāmaṃ nyarūpayan.	Bhc-_17.65-2 kruzwam hAhA-iti cA aSRNvan na ca rAmam nyarUpayan.
   Bhk_17.66-1 abhinac chatru-saṃghātānakṣuṇad vāji-kuñjaram,	Bhc-_17.66-1 aBinat Satru--saMGAtAn-akzuNat vAji-kuQjaram,
   Bhk_17.66-2 apinaṭ ca rathā'nīkaṃ, na cā 'jñāyata saṃcaran.	Bhc-_17.66-2 apinaw ca raTA-anIkaM, na cA ajQAyata saMcaran.
   Bhk_17.67-1 daśa danti-sahasrāṇi rathināṃ ca mahā''tmanām	Bhc-_17.67-1 daSa danti--sahasrANi raTinAm ca mahA-aatmanAm
   Bhk_17.67-2 caturdaśa sahasrāṇi sā''rohāṇāṃ ca vājinām	Bhk-_17.67-2 caturdaSa sahasrANi sA-aarohANAm ca vAjinAm
   Bhk_17.68-1 lakṣe ca dve padātīnāṃ rāghaveṇa dhanur-bhṛtā	Bhc-_17.68-1 lakze ca dve padAtInAm rAGaveNa DanuH--BRtA
   Bhk_17.68-2 anīyantāṣṭame bhāge divasasya parikṣayam.	Bhc-_17.68-2 anIyanta-azwame BAge divasasya parikzayam.
   Bhk_17.69-1 yama-lokamivā'grathnād, rudrā''krīḍamivā 'karot,	Bhc-_17.69-1 yama--lokam-ivA-agraTnAd, rudrA-aakrIxam-ivA akarot,
   Bhk_17.69-2 śailairivā 'cinod bhūmiṃ bṛhadbhī rākṣasair hataiḥ.	Bhc-_17.69-2 SElEH-ivA acinot BUmim bRhadBiH rAkzasEH hatEH.
   Bhk_17.70-1 astuvan deva-gandharvā, vyasmayanta plavaṅgamāḥ	Bhk-_17.70-1 astuvan deva--ganDarvA, vyasmayanta plavaFgamAH
   Bhk_17.70-2 kapīndre'tanyata prītiḥ, paulastyo'manyatā'dbhutam.	Bhc-_17.70-2 kapIndre-atanyata prItiH, pOlastyaH-amanyatA-adButam.
   Bhk_17.71-1 rākṣasyaḥ prārudannuccaiḥ, prājugupsanta rāvaṇam.	Bhc-_17.71-1 rAkzasyaH prArudan=-uccEs-, prAjugupsanta rAvaNam.
   Bhk_17.71-2 amuhyad bāla-vṛddhaṃ ca, samarauditaro janaḥ.	Bhc-_17.71-2 amuhyat bAla--vRdDam ca, samara-OditaraH janaH.
   Bhk_17.72-1 sarvataś cā'bhayaṃ prāpnon naicchan nṛbhyas tu rāvaṇaḥ,	Bhk-_17.72-1 sarvatas cA-aBayam prApnot na-EcCan nRByaH tu rAvaNaH,
   Bhk_17.72-2 phalaṃ tasyedamabhyāyād duruktasyeti cā 'bruvan.	Bhk-_17.72-2 Palam tasya-idam-aByAyAt duruktasya-iti cA abruvan.
   Bhk_17.73-1 tato 'dhāvan mahā-ghoraṃ rathamāsthāya rāvaṇaḥ,	Bhk-_17.73-1 tatas aDAvat mahA--Goram raTam-AsTAya rAvaNaH,
   Bhk_17.73-2 akṣmāyata mahī, gṛdhrāḥ samārāryanta bhīṣaṇāḥ.	Bhc-_17.73-2 akzmAyata mahI, gRDrAH samArAryanta BIzaNAH.
   Bhk_17.74-1 meghāḥ sa-vidyuto 'varṣaṃś cela-knopaṃ ca śoṇitam,	Bhc-_17.74-1 meGAH sa-vidyutaH avarzan cela-knopam ca SoNitam,
   Bhk_17.74-2 avān bhīmā nabhasvantaḥ, prāruvanna-śivāḥ śivāḥ	Bhk-_17.74-2 avAn BImAH naBasvantaH, prAruvanna-SivAH SivAH
   Bhk_17.75-1 āṭāṭyatā 'vamatyā 'sau durnimittāni, saṃyuge	Bhc-_17.75-1 AwAwya-tA avamatyA asO durnimittAni, saMyuge
   Bhk_17.75-2 adhunod dhanurastraughaiḥ praurṇonūyata vidviṣaḥ	Bhc-_17.75-2 aDunot DanuH-astra-oGEH prOrNaH-nUyata vidvizaH
   Bhk_17.76-1 vyanāśayaṃs tataḥ śatrūn sugrīvā'stā mahībhṛtaḥ,	Bhk-_17.76-1 vyanASayan tatas SatrUn sugrIvA-astAH mahIBRtaH,
   Bhk_17.76-2 tato vyarasadaglāyadadhyśeta mahī-talam.	Bhk-_17.76-2 tatas vyarasa-daglAyat-aDySeta mahI--talam.
   Bhk_17.77-1 āścyotad rudhiraṃ, toyamalasac cā'ti vihvalam,	Bhk-_17.77-1 AScyotat ruDiraM, toyam-alasat cA-ati vihvalam,
   Bhk_17.77-2 aśīyata nṛ-māṃsā'dāṃ balaṃ sugrīva-bādhitam.	Bhc-_17.77-2 aSIyata nR--mAMsA-adAm balam sugrIva--bADitam.
   Bhk_17.78-1 virūpākṣas tato krīḍat saṃgrāme matta-hastinā,	Bhc-_17.78-1 virUpAkzaH tatas krIxat saMgrAme matta-hastinA,
   Bhk_17.78-2 muṣṭinā'dālayat tasya mūrdhānaṃ vānarā'dhipaḥ.	Bhc-_17.78-2 muzwinA-adAlayat tasya mUrDAnam vAnarA-aDipaH.
   Bhk_17.79-1 acūrṇayac ca yūpākṣaṃ śilayā tadanantaram.	Bhc-_17.79-1 acUrNayat ca yUpAkzam SilayA tad-anantaram.
   Bhk_17.79-2 saṃkruddho muṣṭinā'tubhnādaṅgado'laṃ mahodaram.	Bhk-_17.79-2 saMkrudDaH muzwinA-atuBnAt-aFgadaH-alam mahodaram.
   Bhk_17.80-1 tato 'kuṣṇād daśagrīvaḥ kruddhaḥ prāṇān vanaukasām,	Bhk-_17.80-1 tatas akuzNAt daSagrIvaH krudDaH prANAn vanOka-sAm,
   Bhk_17.80-2 agopāyac ca rakṣāṃsi diśaś cā 'rīnabhājayat.	Bhc-_17.80-2 agopAyat ca rakzAMsi diSaH cA arIn-a-BAjayat.
   Bhk_17.81-1 ālokayat sa kākutsthamadhṛṣṇod, ghoramadhvanat,	Bhc-_17.81-1 Alokayat sa kAkutsTam-aDRzNA-ud, Goram-aDvanat,
   Bhk_17.81-2 dhanurabhramayad bhīmamabhīṣayata vidviṣaḥ.	Bhc-_17.81-2 DanuH-aBramayat BImam-aBIzayata vidvizaH.
   Bhk_17.82-1 āskandal lakṣmaṇaṃ bānairatyakrāmac ca taṃ drutam,	Bhk-_17.82-1 Askandat lakzmaNam bAnEH-atyakrAmat ca tam drutam,
   Bhk_17.82-2 rāmamabhyadravaj jiṣṇuraskunāc ceṣu-vṛṣṭibhiḥ.	Bhc-_17.82-2 rAmam-aByadravat jizNuH-askunAt ca-izu--vRzwiBiH.
   Bhk_17.83-1 apauhad bāṇa-varṣaṃ tad bhallai rāmo nirākulaḥ,	Bhc-_17.83-1 apOhat bANa--varzam tat BallEH rAmaH nirAkulaH,
   Bhk_17.83-2 pratyaskunod daṣa-grīvaṃ śarairāśī-viṣopamaiḥ.	Bhc-_17.83-2 pratyaskunot daza-grIvam SarEH-ASI--viza-upamEH.
   Bhk_17.84-1 maṇḍalānyāṭatāṃ citramacchittāṃ śastra-saṃhatīḥ,	Bhc-_17.84-1 maNxalAni-Awa-tAm citram-acCittAm Sastra--saMhatIH,
   Bhk_17.84-2 jagad vismāpayetāṃ tau, na ca vīrāvasīdatām.	Bhc-_17.84-2 jagat vismApayetAm tO, na ca vIra-avasIdatAm.
   Bhk_17.85-1 vyoma prācinutāṃ bāṇaiḥ, kṣmāmakṣmāpayatāṃ gataiḥ,	Bhc-_17.85-1 vyoma prAcinutAm bANEH, kzmAm-akzmApayatAm gatEH,
   Bhk_17.85-2 abhittāṃ tūrṇamanyonyaṃ śikṣāś cā 'tanutāṃ muhuḥ.	Bhk-_17.85-2 aBittAm tUrNam-anyonyam SikzAH cA atanutAm muhur-.
   Bhk_17.86-1 samādhattā ''suraṃ śastraṃ rākṣasaḥ krūra-vikramaḥ,	Bhk-_17.86-1 samADattA aasuram Sastram rAkzasaH krUra-vikramaH,
   Bhk_17.86-2 tadakṣaran mahāsarpān vyāghra-siṃhāṃś ca bhīṣaṇān.	Bhk-_17.86-2 tat-akzaran mahA-sarpAn vyAGra--siMhAn ca BIzaNAn.
   Bhk_17.87-1 nyaṣedhat pāvakā'streṇa rāmas tad rākṣasas tataḥ	Bhc-_17.87-1 nyazeDat pAvakA-astreNa rAmaH tat rAkzasaH tatas-
   Bhk_17.87-2 adīvyad raudramatyugraṃ, musalā''dyagalat tataḥ	Bhc-_17.87-2 adIvyat rOdram-ati-ugran, musalA-aadyagalat tatas-
   Bhk_17.88-1 gāndharveṇa nyavidyat tat kṣitīndro, 'tha narā'śanaḥ	Bhc-_17.88-1 gAnDarveNa nyavidyat tat kziti-indro, aTa narAH-aSanaH
   Bhk_17.88-2 sarva-marmasu kākutstha- maumbhat tīkṣṇaiḥ śilīmukhaiḥ	Bhk-_17.88-2 sarva-marmasu kAkutsTa mOmBat tIkzNEH SilImuKEH
   Bhk_17.89-1 tatas triśirasaṃ tasya prāvṛścal lakṣmaṇo dhvajam,	Bhk-_17.89-1 tatas triSirasam tasya prAvRScat lakzmaNaH Dvajam,
   Bhk_17.89-2 amathnāt sārathiṃ cā''śu, bhūribhiś cā 'tudaccharaiḥ.	Bhk-_17.89-2 amaTnAt sAraTim cA-aaSu, BUriBiH cA atudat-SarEH.
   Bhk_17.90-1 aśvān vibhīṣano 'tubhnāt syandanaṃ cā'kṣiṇod drutam,	Bhk-_17.90-1 aSvAn viBIzanaH atuBnAt syandanam cA-akziNot drutam,
   Bhk_17.90-2 nā'kṣubhnād rākṣaso, bhrātuḥ śaktiṃ codavṛhad gurum.	Bhc-_17.90-2 nA-akzuBnAt rAkzaso, BrAtuH Saktim ca-udavRhat gurum.
   Bhk_17.91-1 tāmāpatantīṃ saumitris tridhā'kṛntacchilīmukhaiḥ,	Bhc-_17.91-1 tAm-ApatantIm sOmitriH triDA-akRntat-SilImuKEH,
   Bhk_17.91-2 aśabdāyanta paśyantas tataḥ kruddho niśācaraḥ	Bhk-_17.91-2 aSabdAyanta paSyantaH tatas krudDaH niSAcaraH
   Bhk_17.92-1 aṣṭa-ghaṇṭāṃ mahā-śaktimudayacchan mahattarām,	Bhc-_17.92-1 azwa-GaNwAm mahA--Saktim-udayacCat mahattarAm,
   Bhk_17.92-2 rāmā'nujaṃ tayā 'vidhyat, sa mahīṃ vyasurāśrayat.	Bhc-_17.92-2 rAmA-anujam tayA aviDyat, sa mahIm vyasurASrayat.
   Bhk_17.93-1 rāghavasyā'bhṛśāyanta sāyakās, tairupadrutaḥ	Bhc-_17.93-1 rAGavasyA-aBRSAyanta sAyakAs, tEH-upadrutaH
   Bhk_17.93-2 tatas tūrṇaṃ daśagrīvo raṇa-kṣmā paryaśeṣayat.	Bhc-_17.93-2 tatas tUrNam daSagrIvaH raNa-kzmA paryaSezayat.
   Bhk_17.94-1 sa-sphurasyodakarṣac ca saumitreḥ śaktimagra-jaḥ,	Bhk-_17.94-1 sa-sPurasya-udakarzat ca sOmitreH Saktim-agra-jaH,
   Bhk_17.94-2 asiñcadoṣadhīs tā yāḥ samānītā hanūmatā.	Bhc-_17.94-2 asiQcadoza-DIH tAH yAH samAnItAH hanUmatA.
   Bhk_17.95-1 udajīvat sumitrā-bhūr bhrātā ''śliṣyata tamāyatam,	Bhc-_17.95-1 udajIvat sumitrA-a-BUH BrAtA aaSlizyata tam-Ayatam,
   Bhk_17.95-2 sanyaṅ mūrdhanyupāśiṅgha- dapṛcchac ca nirāmayam	Bhc-_17.95-2 sanyak mUrDani-upASiFGa dapRcCat ca nirAmayam
   Bhk_17.96-1 tataḥ prodasahan sarve yoddhumabhyadravat parān,	Bhk-_17.96-1 tatas prodasahan sarve yodDum-aByadravat parAn,
   Bhk_17.96-2 akṛcchrāyata ca prāpto rathenā 'nyena 'rāvaṇaḥ.	Bhc-_17.96-2 akRcCrAyata ca prAptaH raTenA anyena arAvaNaH.
   Bhk_17.97-1 "bhūmi-ṣṭhasyā 'samaṃ yuddhaṃ ratha-sthene"ti mātaliḥ	Bhc-_17.97-1 "BUmi--zWasyA asamam yudDam raTa---sTena-i"ti mAtaliH
   Bhk_17.97-2 āharad rathamatyugraṃ sa-śastraṃ maghavā ''jñayā.	Bhc-_17.97-2 Aharat raTam-ati-ugram sa-Sastram maGavA aajQayA.
   Bhk_17.98-1 so 'dhyaṣṭhīyata rāmeṇa, śastraṃ pāśupataṃ tataḥ	Bhk-_17.98-1 saH aDyazWIyata rAmeNa, Sastram pASupatam tatas-
   Bhk_17.98-2 nirāsyata daśā''syas, tacchakrā'streṇājayan nṛpaḥ.	Bhc-_17.98-2 nirAsyata daSA-aasyas, tad-SakrA-astreNa-ajayan nRpaH.
   Bhk_17.99-1 tataḥ śata-mahasreṇa rāmaḥ praurṇon niśācaram	Bhk-_17.99-1 tatas Sata--mahasreNa rAmaH prOrNon niSAcaram
   Bhk_17.99-2 bāṇānāmakṣiṇod dhuryān, sārathiṃ cā'dunod drutam.	Bhc-_17.99-2 bANAnAm-akziNot DuryAn, sAraTim cA-adunot drutam.
   Bhk_17.100-1 adṛśyantā 'nimittāni, prāhvalat kṣiti-maṇḍalam,	Bhc-_17.100-1 adRSyantA animittAni, prAhvalat kziti--maNxalam,
   Bhk_17.100-2 rāvaṇaḥ prāhiṇocchūlaṃ, śaktiṃ caindīṃ mahī-patiḥ.	Bhc-_17.100-2 rAvaNaH prAhiNot-SUlaM, Saktim ca-EndIm mahI--patiH.
   Bhk_17.101-1 tābhyāmanyonyamāsādya samavāpyata saṃśamaḥ,	Bhc-_17.101-1 tAByAm-anyonyam-AsAdya samavApyata saMSamaH,
   Bhk_17.101-2 lakṣeṇa patriṇāṃ vakṣaḥ kruddho rāmasya rākṣasaḥ	Bhc-_17.101-2 lakzeNa patriNAm vakzaH krudDaH rAmasya rAkzasaH
   Bhk_17.102-1 astṛṇādadhikaṃ rāmas tato 'devata sāyakaiḥ,	Bhc-_17.102-1 astRNAt-aDikam rAmaH tatas adevata sAyakEH,
   Bhk_17.102-2 aklāmyadrāvaṇas, tasya sūto rathamanāśayat.	Bhc-_17.102-2 aklAmya-drAvaNas, tasya sUtaH raTam-anASayat.
   Bhk_17.103-1 rākṣaso'tarjayat sūtaṃ punaś cā'ḍhaukayad ratham,	Bhc-_17.103-1 rAkzasaH-atarjayat sUtam punar cA-aXOkayat raTam,
   Bhk_17.103-2 nirāsyetāmubhaubāṇānubhau dhuryānavidhyatām	Bhc-_17.103-2 nirAsyetAm-uBObANa-anuBO DuryAn-aviDyatAm
   Bhk_17.104-1 ubhāvakṛntatāṃ ketūnāvyathetāmubhau na tau	Bhc-_17.104-1 uBAvakRntatAm ketUna-avyaTetAm-uBO na tO
   Bhk_17.104-2 adīpyetāmubhau dhṛṣṇū, prāyuñjātāṃ ca naipuṇam	Bhc-_17.104-2 adIpyetAm-uBO DRzNU, prAyuQjAtAm ca nEpuNam
   Bhk_17.105-1 ubhau māyāṃ vyatāyetāṃ, vīrau nā 'śrāmyatāmubhau	Bhc-_17.105-1 uBO mAyAm vyatAya-ItAM, vIrO nA aSrAmyatAm-uBO
   Bhk_17.105-2 maṇḍalāni vicitrāṇi kṣipramākrāmatāmubhau	Bhc-_17.105-2 maNxalAni vicitrANi kzipram-AkrAmatAm-uBO
   Bhk_17.106-1 na cobhāvapyalakṣyetāṃ, yantārāvāhatāmubhau	Bhc-_17.106-1 na ca-uBO=-api-alakzyetAM, yantArAvAhatAm-uBO
   Bhk_17.106-2 syandanau samapṛcyetāmubhayor dīpta-vājinau.	Bhk-_17.106-2 syandanO samapRcyetAm-uBayoH dIpta-vAjinO.
   Bhk_17.107-1 tato māyāmayān mūrdhno rākṣaso 'prathayadraṇe,	Bhc-_17.107-1 tatas mAyA-mayAn mUrDnaH rAkzasaH apraTayat-raNe,
   Bhk_17.107-2 rāmeṇaikaśataṃ teṣāṃ prāvṛścyata śilīmukhaiḥ.	Bhc-_17.107-2 rAmeNa-eka-Satam tezAm prAvRScyata SilImuKEH.
   Bhk_17.108-1 samakṣubhnannudanvantaḥ, prākampanta mahībhṛtaḥ,	Bhk-_17.108-1 samakzuBnan=-udanvantaH, prAkampanta mahIBRtaH,
   Bhk_17.108-2 santrāsamabibhaḥ śakruḥ, praiṃkhacca, kṣubhitā kṣitiḥ.	Bhc-_17.108-2 santrA-samabiBaH SakruH, prEMKat-ca, kzuBitA kzitiH.
   Bhk_17.109-1 tato mātalinā śastramasmaryata mahīpateḥ	Bhc-_17.109-1 tatas mAtalinA Sastram-asmaryata mahIpateH
   Bhk_17.109-2 vadhāya rāvaṇasyograṃ svayambhūr yadakalpayat.	Bhk-_17.109-2 vaDAya rAvaNasya-ugram svayamBUH yat-akalpayat.
   Bhk_17.110-1 nabhasvān yasya vājeṣu, phale tigmāṃśu-pāvakau	Bhc-_17.110-1 naBasvAn yasya vAja-izu, Pale tigmAMSu--pAvakO
   Bhk_17.110-2 gurutvaṃ meru-saṅkāśaṃ, dehaḥ sūkṣmo viyanmayaḥ.	Bhc-_17.110-2 guru-tvam meru--saFkASan, dehaH sUkzmaH viyat-mayaH.
   Bhk_17.111-1 rājitaṃ gāruḍaiḥ pakṣair viśveṣāṃ ghāma tejasām	Bhc-_17.111-1 rAjitam gAruxEH pakzEH viSvezAm GAma tejasAm
   Bhk_17.111-2 smṛtaṃ tad rāvaṇaṃ bhittvā sughoraṃ bhuvyaśāyayat.	Bhk-_17.111-2 smRtam tat rAvaNam BittvA su-Goram Buvi-aSAyayat.
   Bhk_17.112-1 ābadhnan kapi-vadanāni saṃprasādaṃ, prāśaṃsat sura-samitir	Bhk-_17.112-1 AbaDnan kapi-vadanAni saMprasAdaM, prASaMsat sura--samitiH-
   nṛpaṃ jitā 'rim,	nRpam jitAH arim,
   Bhk_17.112-2 anyeṣāṃ vigata-pariplavā digantāḥ, paulastyo'juṣata śucaṃ	Bhk-_17.112-2 anyezAm vigata-pariplavAH diS-antAH, pOlastyaH-ajuzata Sucam
   vipanna-bandhuḥ	vipanna-banDuH
   Bhk_18	Bhc-_18
   Bhk_18.1-1 vyaśnute sma tataḥ śoko nābhi-sambandha-sambhavaḥ	Bhc-_18.1-1 vyaSnute sma tatas SokaH nABi-sambanDa--samBavaH
   Bhk_18.1-2 vibhīṣaṇamasāvuccai roditi sma daśā''nanam.	Bhc-_18.1-2 viBIzaNam-asO=-uccEH roditi sma daSA-aananam.
   Bhk_18.2-1 "bhūmau śete daśa-grīvo mahārha-śayanocitaḥ,	Bhc-_18.2-1 "BUmO Sete daSa-grIvaH mahArha--Sayana-ucitaH,
   Bhk_18.2-2 nekṣate vihvalaṃ māṃ ca, na me vācaṃ prayacchati.	Bhc-_18.2-2 na-Ikzate vihvalam mAm ca, na me vAcam prayacCati.
   Bhk_18.3-1 vipāko'yaṃ daśa-grīva ! saṃdṛṣṭo 'nāgato mayā.	Bhc-_18.3-1 vipAkaH-ayam daSa-grIva ! saMdRzwaH anAgataH mayA.
   Bhk_18.3-2 tvaṃ tenā'bhihitaḥ pathyaṃ kiṃ kopaṃ na niyacchasi.	Bhc-_18.3-2 tvam tenA-aBihitaH paTyam kim kopam na niyacCasi.
   Bhk_18.4-1 bhajanti vipadas tūrṇamatikrāmanti sampadaḥ	Bhk-_18.4-1 Bajanti vipadaH tUrNam-atikrAmanti sampadaH
   Bhk_18.4-2 tān, madān nā'vatiṣṭhante ye mate nyāyavādinām.	Bhk-_18.4-2 tAn, madAn nA-avatizWante ye mate nyAya-vAdinAm.
   Bhk_18.5-1 a-pathyamāyatau lobhādāmanantyanujīvinaḥ	Bhc-_18.5-1 a-paTyam-AyatO loBa-AdAm-ananti-anujIvinaH
   Bhk_18.5-2 priyaṃ, śṛṇoti yas tebhyas, tamṛcchanti na sampadaḥ.	Bhk-_18.5-2 priyaM, SRNoti yaH teByas, tam-RcCanti na sampadaH.
   Bhk_18.6-1 prājñās tejasvinaḥ samyak paśyanti ca, vadanti ca,	Bhk-_18.6-1 prAjQAH tejasvinaH samyak paSyanti ca, vadanti ca,
   Bhk_18.6-2 te'vajñātā mahārāja ! klāmyanti, viramanti, ca.	Bhk-_18.6-2 te-avajQAtA mahA-rAja ! klAmyanti, viramanti, ca.
   Bhk_18.7-1 leḍhi bheṣaja-van nityaṃ yaḥ pathyāni kaṭūnyapi,	Bhc-_18.7-1 leXi Bezaja-vat nityam yaH paTyAni kawUni-api,
   Bhk_18.7-2 tadarthaṃ sevate cā ''ptān, kadācin na sa sīdati.	Bhk-_18.7-2 tad-arTam sevate cA aaptAn, kadAcid na sa sIdati.
   Bhk_18.8-1 sarvasya jāyate mānaḥ, sva-hitāc ca pramādyati,	Bhk-_18.8-1 sarvasya jAyate mAnaH, sva-hitAt ca pramAdyati,
   Bhk_18.8-2 vṛddhau bhajati cā 'pathyaṃ naro yena vinaśyati.	Bhc-_18.8-2 vRdDO Bajati cA apaTyam naraH yena vinaSyati.
   Bhk_18.9-1 dveṣṭi prāyo guṇebhyo yan, na ca snihyati kasyacit,	Bhc-_18.9-1 dvezwi prAyas guNeByaH yan, na ca snihyati kasyacid-,
   Bhk_18.9-2 vairāyate mahadbhiś ca śīyate vṛddhimānapi.	Bhk-_18.9-2 vErAyate mahadBiH ca SIyate vRdDimAn-api.
   Bhk_18.10-1 samāśvasimi kenā 'haṃ, kathaṃ prāṇimi dur-gataḥ	Bhk-_18.10-1 samASvasimi kenA ahaM, kaTam prANimi dur-gataH
   Bhk_18.10-2 loka-traya-patir bhrātā yasya me svapiti kṣitau	Bhc-_18.10-2 loka-traya--patiH BrAtA yasya me svapiti kzitO
   Bhk_18.11-1 aho jāgarti kṛcchreṣu daivaṃ, yad bala-bhijjitaḥ	Bhc-_18.11-1 aho jAgarti kRcCrezu dEvaM, yat bala-Bid-jitaH
   Bhk_18.11-2 luṭhyanti bhūmau klidyanti bāndhavā me svapanti ca.	Bhj-_18.11-2 luWyanti BUmO klidyanti bAnDavAH me svapanti ca.
   Bhk_18.12-1 śivāḥ kuṣṇanti māṃsāni, bhūmiḥ pibati śoṇitam,	Bhk-_18.12-1 SivAH kuzNanti mAMsAni, BUmiH pibati SoNitam,
   Bhk_18.12-2 daśagrīva-sanābhīnāṃ samadantyāmiṣaṃ khagāḥ,	Bhc-_18.12-2 daSagrIva--sanABInAm samadanti-Amizam KagAH,
   Bhk_18.13-1 yena pūta-krator mūrdhni sthīyate sma mahā''have,	Bhc-_18.13-1 yena pUta-kratoH mUrDni sTIyate sma mahA-aahave,
   Bhk_18.13-2 tasyā'pīndrajito daivād dhvāṃkṣaiḥ śirasi līyate.	Bhc-_18.13-2 tasyAH-api-indrajitaH dEvAt DvAMkzEH Sirasi lIyate.
   Bhk_18.14-1 svarbhānur bhāskaraṃ grastaṃ niṣṭīvati kṛtā'hnikaḥ,	Bhk-_18.14-1 svarBAnuH BAskaram grastam nizwIvati kRtA-ahnikaH,
   Bhk_18.14-2 abhyupaiti punar bhūtiṃ rāma-grasto na kaścana.	Bhc-_18.14-2 aByupEti punar BUtim rAma-grastaH na kaScana.
   Bhk_18.15-1 tvamajānannidaṃ rājannīḍiṣe sma sva-vikramam,	Bhk-_18.15-1 tvam-ajAnan=-idam rAjannIxize sma sva--vikramam,
   Bhk_18.15-2 dātuṃ necchasi sītāṃ sma, viṣayāṇāṃ ca neśiṣe.	Bhc-_18.15-2 dAtum na-icCasi sItAm sma, vizayANAm ca neSize.
   Bhk_18.16-1 mantre jātu vadantyajñās, tvaṃ tānapyanumanyase,	Bhc-_18.16-1 mantre jAtu vadanti-ajQAs, tvam tAn-api-anumanyase,
   Bhk_18.16-2 kathaṃ nāma bhavāṃs tatra nā 'vaiti hitamātmanaḥ	Bhk-_18.16-2 kaTam nAma BavAn tatra nA avEti hitam-AtmanaH
   Bhk_18.17-1 a-pṛṣṭo nu bravīti tvāṃ mantre mātāmaho hitam,	Bhc-_18.17-1 a-pRzwaH nu bravIti tvAm mantre mAtAmahaH hitam,
   Bhk_18.17-2 "na karomītipaulastya ! tadā mohāt tvamuktavān	Bhc-_18.17-2 "na karomi-iti-pOlastya ! tadA mohAt tvam-uktavAn
   Bhk_18.18-1 tvaṃ sma vettha mahārāja ! yat smā''ha na vibhīṣanaḥ.	Bhk-_18.18-1 tvam sma vetTa mahA-rAja ! yat smA-aaha na viBIzanaH.
   Bhk_18.18-2 purā tyajati yat kruddo māṃ nirākṛtya saṃsadi.	Bhk-_18.18-2 purA tyajati yat kruddaH mAm nirAkRtya saMsadi.
   Bhk_18.19-1 havir jakṣiti niḥśaṅko makheṣu madhavānasau,	Bhc-_18.19-1 haviH jakziti niHSaFkaH maKezu maDavAn-asO,
   Bhk_18.19-2 pravāti svecchayā vāyurudgacchati ca bhāskaraḥ.	Bhk-_18.19-2 pravAti sva-icCayA vAyuH-udgacCati ca BAskaraH.
   Bhk_18.20-1 dhanānāmīśate yakṣā, yamo dāmyati rākṣasān,	Bhk-_18.20-1 DanAnAm-ISate yakzA, yamaH dAmyati rAkzasAn-,
   Bhk_18.20-2 tanoti varuṇaḥ pāśamindunodīyate 'dhunā.	Bhc-_18.20-2 tanoti varuNaH pASam-induna-udIyate aDunA.
