   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   ārabdhavīryā mokṣaṃ prāpnuvanti	ArabDa vIryAH mokzam prApnuvanti
   dhyānenārabdhavīryeṇa mokṣaṃ gacchanti paṇḍitāḥ /	DyAnena ArabDa vIryeNa mokzam gacCanti paNxitAH /
   bhavakṣipta ivākāro devaloke prayānti ca // Dhs_25.3 //	Bava kziptaH iva AkAraH deva loke prayAnti ca // DhH _25.3 //
   yānyārabdhāni kāryāṇi vīryavad balinā nṛṇā /	yAni ArabDAni kAryANi vIrya vat balinA nRNA /
   tāni tāni prasiddhāni vipulāni bhavanti ca // Dhs_25.4 //	tAni tAni prasidDAni vipulAni Bavanti ca // DhH _25.4 //
   ye 'rthā lokottare siddhā ye ca lokeṣu sammatāḥ /	ye arTAH lokottare sidDAH ye ca lokezu sammatAH /
   te vīryeṇa prasādhyante vīryahīnā na jātu vai // Dhs_25.5 //	te vIryeNa prasADyante vIrya hInAH na jAtu vE // DhH _25.5 //
   mandavīrya cirotsāhaṃ saddharmeṇa vivarjitam /	manda vIrya cira utsAham sat DarmeNa vivarjitam /
   naro viśati lokaṃ (ca) śaśāṅkamiva kalmaṣam // Dhs_25.6 //	naraH viSati lokam (ca) SaSAFkam iva kalmazam // DhH _25.6 //
   vīryavattā paramāṃ gatiṃ pradadāti	vIryavattA paramAm gatim pradadAti
   āryāṣṭāṅgena mārgeṇa na jñānaparipālitaḥ /	Arya azwa aFgena mArgeNa na jQAna paripAlitaH /
   vīryavattāmahotsāho prayāti paramāṃ gatim // Dhs_25.7 //	vIryavat tA mahA utsAhaH prayAti paramAm gatim // DhH _25.7 //
   bodhiḥ vīryeṇāvāpyate	boDiH vIryeNa avApyate
   vīryaṇāvāpyate bodhiḥ svavīryeṇa tathā mahī /	vIryaNA avApyate boDiH sva vIryeNa taTA mahI /
   arhattvaṃ vīryavadbhiśca tasmānnāgnisamā gatiḥ // Dhs_25.8 //	arhat tvam vIryavadBiH ca tasmAt na agni samA gatiH // DhH _25.8 //
   uttamasthānaprāptyartha vīryārambhe matiḥ kāryā	uttama sTAna prApti arTa vIrya AramBe matiH kAryA
   tasmād devān guṇān matvā vīryavān niyatendriyaḥ /	tasmAt devAn guNAn matvA vIryavAn niyata indriyaH /
   vīryārambhe matiṃ kuryārnnāsti vīryasamarthanam // Dhs_25.9 //	vIrya AramBe matim kuryArt na asti vIrya samarTanam // DhH _25.9 //
   vīryārthī smṛtimān yaśca naro jñānaparāyaṇaḥ /	vIrya arTI smRtimAn yaH ca naraH jQAna parAyaNaH /
   prayātyanuttamaṃ sthānaṃ jarāmaraṇavarjitam // Dhs_25.10 //	prayAti anuttamam sTAnam jarA maraNa varjitam // DhH _25.10 //
   // iti vīryavargaḥ pañcaviṃśaḥ //	// iti vIrya vargaH paQcaviMSaH //
   (26) dhyānavargaḥ	(26) DyAna vargaH
   svasthaḥ kaḥ?	svasTaH kaH?
   asaṃsaktamaternityaṃ nityaṃ dhyānavihāriṇaḥ /	asaMsakta mateH nityam nityam DyAna vihAriNaH /
   viśuddhamanaso nityamekāgrabhiratasya ca // Dhs_26.1 //	viSudDa manasaH nityam ekAgraBiratasya ca // DhH _26.1 //
   yasyaikāgrakaraṃ cittaṃ tasya doṣā na bādhakāḥ /	yasya ekAgra karam cittam tasya dozAH na bADakAH /
   sa doṣabhayanirmuktaḥ svastha ityabhidhīyate // Dhs_26.2 //	sa doza Baya nirmuktaH svasTaH iti aBiDIyate // DhH _26.2 //
   ekāgrābhiratañceto vivekamanudhāvati /	ekAgrABiH ataQcetaH vivekam anuDAvati /
   sarvatarkavinirmuktaḥ svastha ityabhidhīyate // Dhs_26.3 //	sarva tarka vinirmuktaH svasTaH iti aBiDIyate // DhH _26.3 //
   cittasyaikāgratāṃ varṇayati	cittasya ekAgra tAm varNayati
   yasya cittaṃ dhruvaṃ śāntaṃ nirvāṇābhirataṃ sadā /	yasya cittam Druvam SAntam nirvANa aBiratam sadA /
   na tasyendriyajā doṣā bhavasya śubhahetavaḥ // Dhs_26.4 //	na tasya indriya jAH dozAH Bavasya SuBa hetavaH // DhH _26.4 //
   yacca dhyānakṛtaṃ saukhyaṃ yacca (cittaṃ) samādhijam /	yat ca DyAna kRtam sOKyam yat ca (cittaM) samADi jam /
   cittaṃ tatsarvamekāgramate bhavati dehinaḥ // Dhs_26.5 //	cittam tat sarvam ekAgra mate Bavati dehinaH // DhH _26.5 //
   yatiḥ alaukikaṃ sukhaṃ bhuṅkte	yatiH alOkikam suKam BuFkte
   ekārāmasya yatino yat sukhaṃ jāyate hṛdi /	eka ArAmasya yatinaH yat suKam jAyate hRdi /
   yat saukhyamativijñeyaṃ na saukhyaṃ laukikaṃ matam // Dhs_26.6 //	yat sOKyam ativijQeyam na sOKyam lOkikam matam // DhH _26.6 //
   kīdṛśaṃ cittaṃ śāntiṃ samadhigacchati?	kIdRSam cittam SAntim samaDigacCati?
   ekāgrābhirataṃ cittaṃ viśuddhākṛtameva ca /	ekAgra aBiratam cittam viSudDa akRtam eva ca /
   doṣajālavinirmuktaṃ śāntiṃ samadhigacchati // Dhs_26.7 //	doza jAla vinirmuktam SAntim samaDigacCati // DhH _26.7 //
   jñānāmbhasā tṛṣṇāgniṃ hanti	jQAna amBasA tRzNA agnim hanti
   ekāntamanasā nityaṃ saṃkṣiptendriyapañcakaiḥ /	ekAnta manasA nityam saMkzipta indriya paQcakEH /
   tṛṣṇāgninātivṛddhaṃ ca hanti jñānāmbhasā budhaḥ // Dhs_26.8 //	tRzNA agninA ativRdDam ca hanti jQAna amBasA buDaH // DhH _26.8 //
   tasya tṛṣṇāvimuktasya viśuddhasya sukhaiṣiṇaḥ /	tasya tRzNA vimuktasya viSudDasya suKa eziNaH /
   akṣayaṃ cāvyayaṃ caiva padaṃ hi sthitamagrataḥ // Dhs_26.9 //	akzayam ca avyayam ca eva padam hi sTitam agratas // DhH _26.9 //
   nirvāṇapuragāmi vartma	nirvANa pura gAmi vartma
   vitarkakuṭilaṃ ceto yatra yatropapadyate /	vitarka kuwilam cetaH yatra yatra upapadyate /
   ekālambanayuktena dhārya tena samādhinā /	eka Alambana yuktena DArya tena samADinA /
   tasmādetat paraṃ vartma nirvāṇapuragāmikam // Dhs_26.10 //	tasmAt etat param vartma nirvANa pura gAmikam // DhH _26.10 //
   manonigrahaphalam	manaH nigraha Palam
   etadagraṃ manaḥ kṣutvā hanyādarisamūhakam /	etat agram manaH kzutvA hanyAt ari samUhakam /
   mano hīdaṃ vinirgṛhya (sa) vetti dhyānajairdṛḍhaiḥ // Dhs_26.11 //	manaH hi idam vinirgRhya (sa) vetti DyAna jEH dRXEH // DhH _26.11 //
   nirupamaṃ dhyānajaṃ sukham	nirupamam DyAna jam suKam
   (tatra sthitāḥ narāḥ śreṣṭhāḥ śraddhāvanto manīṣiṇaḥ) /	(tatra sTitAH narAH SrezWAH SradDAvantaH manIziNaH) /
   prayānti paramaṃ sthānamaśokaṃ hatakilviṣam // Dhs_26.12 //	prayAnti paramam sTAnam aSokam hata kilvizam // DhH _26.12 //
   nirviṣaskasya tuṣṭasya nirāgasyāpi dhīmataḥ	nirvizaskasya tuzwasya nirAgasya api DImataH
   yat sukhaṃ dhyānajaṃ bhāti kutastasyopamā parā // Dhs_26.13 //	yat suKam DyAna jam BAti kutas tasya upamA parAH // DhH _26.13 //
   dhyānaiḥ paramaṃ padaṃ prāpyate	DyAnEH paramam padam prApyate
   etatsāraṃ sudhīrāṇāṃ yogināṃ pāragāminām /	etat sAram suDIrANAm yoginAm pAra gAminAm /
   yadevedaṃ manaḥ śrutvā prayānti padamacyutam // Dhs_26.14 //	yat eva idam manaH SrutvA prayAnti padam acyutam // DhH _26.14 //
   // iti dhyānavargaḥ ṣaḍviṃśaḥ //	// iti DyAna vargaH zaxviMSaH //
   (27) prajñāvargaḥ	(27) prajQA vargaH
   prajñā māteva hitakāriṇī	prajQA mAtA iva hita kAriNI
   dharmānusāriṇī prajñā vīryeṇa parivṛṃhitā /	Darma anusAriNI prajQA vIryeNa parivRMhitA /
   samādhibalasaṃyuktā māteva hitakāriṇī // Dhs_27.1 //	samADi bala saMyuktA mAtA iva hita kAriNI // DhH _27.1 //
   prajñā gatipañcakāt trāyate	prajQA gati paQcakAt trAyate
   sā hi santrāyate sarvān puruṣān gatipañcakāt /	sA hi santrAyate sarvAn puruzAn gati paQcakAt /
   na mātā na pitā tatra gacchantamanugacchati // Dhs_27.2 //	na mAtA na pitA tatra gacCantam anugacCati // DhH _27.2 //
   prajñāśikharamāruhya śīlakandaraśobhanam /	prajQA SiKaram Aruhya SIla kandara SoBanam /
   bhavadoṣamidaṃ sarva paśyati (jñāna) bhūṣaṇaḥ // Dhs_27.3 //	Bava dozam idam sarve paSyati (jQAna) BUzaNaH // DhH _27.3 //
   samādhinā bhavārṇavaṃ tarati	samADinA Bava arNavam tarati
   indriyāṇīndriyārthebhyo yadā vindanti tatpadam /	indriyANi indriya arTeByaH yadA vindanti tad padam /
   tadā samādhinā jñāna bhavasāgaramuttaret // Dhs_27.4 //	tadA samADinA jQAna Bava sAgaram uttaret // DhH _27.4 //
   dānaśīlatapodhyānairjñānamevāgramucyate /	dAna SIla tapaH DyAnEH jQAnam eva agram ucyate /
   apavargād yadā jñānaṃ jñānaśīle sukhāvahe // Dhs_27.5 //	apavargAt yadA jQAnam jQAna SIle suKa Avahe // DhH _27.5 //
   prajñā aṣṭamo mārgastathāgatenopadiṣṭaḥ	prajQA azwamaH mArgaH taTAgatena upadizwaH
   cakṣuṣāṃ ca parā dṛṣṭā prajñoktā (yā)sunirmalā /	cakzuzAm ca parA dRzwA prajQA uktA (yA) su nirmalA /
   mārgāṇāṃ cāṣṭamo mārgaḥ śivaḥ proktastathāgataiḥ // Dhs_27.6 //	mArgANAm ca azwamaH mArgaH SivaH proktaH taTAgatEH // DhH _27.6 //
   prajñābalaṃ sarvottamam	prajQA balam sarva uttamam
   caturṇā caiva satyānāmagre dve tu prakīrtite /	caturNA ca eva satyAnAm agre dve tu prakIrtite /
   bālānāṃ ca sadā dṛṣṭaṃ prajñābalamihottamam // Dhs_27.7 //	bAlAnAm ca sadA dRzwam prajQA balam iha uttamam // DhH _27.7 //
   janmapadvatirjñānaśastreṇa chettavyā	janma padvatiH jQAna SastreNa CettavyA
   jñānaśastreṇa tikṣṇena latā chedyā durāsadā /	jQAna SastreNa tikzNena latA CedyA durAsadA /
   hantavyā doṣanivahāśchettavyā janmapaddhatiḥ // Dhs_27.8 //	hantavyAH doza nivahAH CettavyAH janma padDatiH // DhH _27.8 //
   na jñānātparo bandhuḥ	na jQAnAt paraH banDuH
   amṛtānāṃ paraṃ jñānaṃ śreyasāṃ nidhiruttamam /	amRtAnAm param jQAnam SreyasAm niDiH uttamam /
   na jñānācca paraṃ bandhurna jñānāddhanamuttamam // Dhs_27.9 //	na jQAnAt ca param banDuH na jQAnAt Danam uttamam // DhH _27.9 //
   jñānaśīlayutā prajñā sevitavyā	jQAna SIla yutA prajQA sevitavyA
   jñānaśīlayutāvṛddhā vītarāgā gataspṛhāḥ /	jQAna SIla yuta avRdDAH vIta rAgAH gata spRhAH /
   sevitavyāḥ sadā santastattvamārganidarśakāḥ // Dhs_27.10 //	sevitavyAH sadA santaH tattva mArga nidarSakAH // DhH _27.10 //
   kleśādīn prajñāśastreṇa vidārayet	kleSa AdIn prajQA SastreNa vidArayet 
   prajñāvajreṇa tīkṣṇena mahodayavasena ca /	prajQA vajreNa tIkzNena mahA udayavasena ca /
   mahāyogarathārūḍhaḥ kleśādīn pravidārayet // Dhs_27.11 //	mahA yoga raTa ArUXaH kleSa AdIn pravidArayet // DhH _27.11 //
   // iti prajñāvargaḥ saptaviṃśaḥ //	// iti prajQA vargaH saptaviMSaH //
   (28) nirvāṇavargaḥ	(28) nirvANa vargaH
   kleśakṣaya eva nirvāṇamārgaḥ	kleSa kzayaH eva nirvANa mArgaH
   kleśakṣayāt paraṃ saukhyaṃ kathayanti manīṣiṇaḥ /	kleSa kzayAt param sOKyam kaTayanti manIziNaH /
   eṣa nirvāṇago mārgaḥ kathitastattvadarśakaiḥ // Dhs_28.1 //	eza nirvANa gaH mArgaH kaTitaH tattva darSakEH // DhH _28.1 //
   tatpadaṃ śāśvataṃ juṣṭaṃ kathayanti tathāgatāḥ /	tat padam SASvatam juzwam kaTayanti taTAgatAH /
   yatra janma na mṛtyurna vidyate duḥkhasambhavaḥ // Dhs_28.2 //	yatra janma na mRtyuH na vidyate duHKa samBavaH // DhH _28.2 //
   vibhūtasyāpramattasya śāntasya vanacāriṇaḥ /	viBUtasya apramattasya SAntasya vana cAriNaH /
   alolupasya vīrasya nirvāṇasya vibhūtayaḥ // Dhs_28.3 //	alolupasya vIrasya nirvANasya viBUtayaH // DhH _28.3 //
   viṣayeṣvapramatto nirvāṇaṃ nāticiraṃ prāpnoti	vizayezu apramattaH nirvANam na ati ciram prApnoti
   mitrāmitraprahīṇasya bhavarāgavivarjinaḥ /	mitra amitra prahINasya Bava rAga vivarjinaH /
   viṣayeṣvapramattasya nirvāṇaṃ nātidūrataḥ // Dhs_28.4 //	vizayezu apramattasya nirvANam na ati dUrataH // DhH _28.4 //
   śubhakarttṛ nirvāṇaṃ prāpnoti	SuBa karttR nirvANam prApnoti
   śubhakāryeṣu saktasya maitrīkāruṇyabhāvinaḥ /	SuBa kAryezu saktasya mEtrI kAruNya BAvinaH /
   saṃsārabhayabhītasya nirvāṇaṃ nātidūrataḥ // Dhs_28.5 //	saMsAra Baya BItasya nirvANam na ati dUrataH // DhH _28.5 //
   kausīdyavirahitaḥ tvaritaṃ nirvāṇaṃ yāti	kOsIdya virahitaH tvaritam nirvANam yAti
   kleśakṣayavidhijñasya nairātmyasyāpi tasya ca /	kleSa kzaya viDi jQasya nErAtmyasya api tasya ca /
   kausīdyāccaiva muktasya nirvāṇaṃ nātidūrataḥ // Dhs_28.6 //	kOsIdyAt ca eva muktasya nirvANam na ati dUrataH // DhH _28.6 //
   vaśyendriyasya śāntasya nirvāṇaṃ samīpataram	vaSya indriyasya SAntasya nirvANam samIpataram
   catuḥsatyavidhijñasya tridoṣavadhasevinaḥ /	catur satya viDi jQasya tridoza vaDa sevinaH /
   vaśyendriyasya śāntasya nirvāṇaṃ nātidūrataḥ // Dhs_28.7 //	vaSya indriyasya SAntasya nirvANam na ati dUrataH // DhH _28.7 //
   sukhaduḥkhapāśairmukto muniḥ pāraga ucyate	suKa duHKa pASEH muktaH muniH pAragaH ucyate
   sukhaduḥkhamayaiḥ pāśairyasya ceto na hanyate /	suKa duHKa mayEH pASEH yasya cetaH na hanyate /
   sa doṣabhayanirmuktaḥ pārago munirucyate // Dhs_28.8 //	sa doza Baya nirmuktaH pAragaH muniH ucyate // DhH _28.8 //
   śubhānveṣī nirvāṇamadhigacchati	SuBa anvezI nirvANam aDigacCati
   puruṣo 'pāyabhīruśca pramādabalavarjakaḥ /	puruzaH apAyaBIruH ca pramAda bala varjakaH /
   śubhakārī śubhānveṣī nirvāṇamadhigacchati // Dhs_28.9 //	SuBa kArI SuBa anvezI nirvANam aDigacCati // DhH _28.9 //
   // iti nirvāṇavargo 'ṣṭāviṃśaḥ //	// iti nirvANa vargaH azwAviMSaH //
   (29) mārgavargaḥ	(29) mArga vargaH
   āryacatuṣṭayopāsakaḥ pāraṃ gacchati	Arya catuzwaya upAsakaH pAram gacCati
   satyāni catvāri śivāni tāni, subhāvitānyeva samīkṣya vidvān /	satyAni catvAri SivAni tAni, su BAvitAni eva samIkzya vidvAn /
   sucintako jātijarābhayebhyaḥ, pramucyaye pāramupaiti śāntaḥ // Dhs_29.1 //	su cintakaH jAti jarA BayeByaH, pramucyaye pAram upEti SAntaH // DhH _29.1 //
   kāmeṣu saktaḥ bhavabhogabaddhaḥ bhavati	kAmezu saktaH Bava Boga badDaH Bavati
   acintako yastu vibhūtabuddhiḥ kāmeṣu sakto bhavabhogabaddhaḥ /	acintakaH yaH tu viBUta budDiH kAmezu saktaH Bava Boga badDaH /
   sa bandhanaiḥ kāmamayairnibaddho, na mucyate jātijarābhayebhyaḥ //	sa banDanEH kAma mayEH nibadDaH , na mucyate jAti jarA aBayeByaH //
   Dhs_29.2 //	DhH _29.2 //
   bhavārṇave sukhadraṣṭā ante narakaṃ yāti	Bava arNave suKa drazwA ante narakam yAti
   vicintya yo duḥkhamidaṃ viśālaṃ, na khedamāyāti bhavārṇavebhyaḥ /	vicintya yaH duHKam idam viSAlaM, na Kedam AyAti Bava arNaveByaH /
   sa kāmavāṇairnihato hi mūḍhaḥ, kaṣṭāmavasthāṃ narake 'pi yāti // Dhs_29.3	sa kAma vANEH nihataH hi mUXaH, kazwAm avasTAm narake api yAti // DhH _29.3
   ābhyantaraṃ kṣemasukhaṃ ca hitvā, kiṃ kāmabhogābhiratā hi bālāḥ /	AByantaram kzema suKam ca hitvA, kim kAma Boga aBiratAH hi bAlAH /
   naite bijānanti bhayaṃ ca tīvramabhyeti mṛtyurjvalanaprakāśaḥ // Dhs_29.4	na ete bijAnanti Bayam ca tIvram aByeti mRtyuH jvalana prakASaH // DhH _29.4
   tattvamārgapradarśakaiḥ kimuktam?	tattva mArga pradarSakEH kim uktam?
   anityaduḥkhaśūnyo 'yamātmā kārakavarjitaḥ /	anitya duHKa SUnyaH ayam AtmA kAraka varjitaH /
   saṃsāraḥ kathito buddhaiḥ tattvamārgapradarśakaiḥ // Dhs_29.5 //	saMsAraH kaTitaH budDEH tattva mArga pradarSakEH // DhH _29.5 //
   tena sarvamidaṃ tattvajñānaṃ jñeyaṃ samāsataḥ /	tena sarvam idam tattva jQAnam jQeyam samAsatas /
   jñānajñeyavinirmuktaṃ tṛtīyaṃ nopalabhyate // Dhs_29.6 //	jQAna jQeya vinirmuktam tRtIyam na upalaByate // DhH _29.6 //
   kaḥ tattvavidhijñaḥ?	kaH tattva viDi jQaH?
   antapāravidhijño yaḥ ṣoḍaśākāratattvavit /	anta pAra viDi jQaH yaH zoxaSa AkAra tattva vid /
   ūrdhvagatividhijño hi kṣāntitattvavicakṣaṇaḥ // Dhs_29.7 //	UrDva gati viDi jQaH hi kzAnti tattva vicakzaNaH // DhH _29.7 //
   tattvavideva dharmatāmanuviśati	tattva vid eva Darma tAm anuviSati
   agralokaikadharmajñaḥ samanantaratattvavit /	agra loka eka Darma jQaH samanantara tattva vid /
   sa dharmatāmanuviśed yathā (ca) na vikampate // Dhs_29.8 //	sa Darma tAm anuviSet yaTA (ca) na vikampate // DhH _29.8 //
   dvayopāyavinirmukto naṣṭān nāśayate muhuḥ /	dvaya upAya vinirmuktaH nazwAn nASayate muhur /
   naṣṭapāpagatirvīraḥ strotāpanno nirucyate // Dhs_29.9 //	nazwa pApa gatiH vIraH strota ApannaH nirucyate // DhH _29.9 //
   srotāṃsya kuśalā dharmā jīryante pāpagāminaḥ /	srotAMsya kuSalAH DarmAH jIryante pApa gAminaH /
   mokṣāgninā pratapyante srotāpanno bhavatyataḥ // Dhs_29.10 //	mokza agninA pratapyante srotApannaH Bavati atas // DhH _29.10 //
   prasrabdhijaṃ mahodarkamuktaṃ saṃsāramokṣakam /	prasrabDi jam mahA udarkam uktam saMsAra mokzakam /
   tṛṣṇākṣayasukhaṃ dṛṣṭaṃ satyataḥ sukhakārakam // Dhs_29.11 //	tRzNA kzaya suKam dRzwam satyataH suKa kArakam // DhH _29.11 //
   kaḥ sadaiva sukhī bhavati?	kaH sadA eva suKI Bavati?
   nāvabadhnāti yaṃ tṛṣṇā na vitarkairvihasyate /	na avabaDnAti yam tRzNA na vitarkEH vihasyate /
   samprāptabhavapārastu sukhī bhavati sarvadā // Dhs_29.12 //	samprApta Bava pAraH tu suKI Bavati sarvadA // DhH _29.12 //
   ārya mārgacatuṣṭayam anyonyaphalasambhūtam	Arya mArga catuzwayam anyonya Pala samBUtam
   anyonyaphalasambhūta sarvataḥ sampravartate /	anyonya Pala samBUta sarvatas sampravartate /
   tadeva kāraṇaṃ jñeyamāryamārgacatuṣṭayam // Dhs_29.13 //	tat eva kAraNam jQeyam Arya mArga catuzwayam // DhH _29.13 //
   āryasatyeṣu viditaḥ puruṣo vidyate dhruvam /	Arya satyezu viditaH puruzaH vidyate Druvam /
   viṣayeṣu hi saṃghuṣṭaṃ jagad bhramati cakravat // Dhs_29.14 //	vizayezu hi saMGuzwam jagat Bramati cakra vat // DhH _29.14 //
   kaḥ śreṣṭho mārgaḥ?	kaH SrezWaH mArgaH?
   sa mārgo deśakaḥ śreṣṭho yo mārgo bhāṣitaḥ śivaḥ /	sa mArgaH deSakaH SrezWaH yaH mArgaH BAzitaH SivaH /
   yena mārgeṇa prācīnā (dhruvaṃ) yātā manīṣiṇaḥ // Dhs_29.15 //	yena mArgeNa prAcInAH (Druvan) yAtAH manIziNaH // DhH _29.15 //
   triśaraṇagata eva sukhaṃ jīvati	tri SaraNa gataH eva suKam jIvati
   sujīvitaṃ bhavet tasya yasya buddhau sthitaṃ manaḥ /	su jIvitam Bavet tasya yasya budDO sTitam manaH /
   nahi buddhivinirmuktaṃ jīvitaṃ jīvitaṃ bhavet // Dhs_29.16 //	na hi budDi vinirmuktam jIvitam jIvitam Bavet // DhH _29.16 //
   sujīvitaṃ bhavet tasya yasya dharme sthitaṃ manaḥ /	su jIvitam Bavet tasya yasya Darme sTitam manaH /
   nahi dharmavinirmuktaṃ jīvitaṃ jīvitaṃ bhavet // Dhs_29.17 //	na hi Darma vinirmuktam jIvitam jIvitam Bavet // DhH _29.17 //
   sujīvitaṃ bhavet tasya yasya saṅghe sthitaṃ manaḥ /	su jIvitam Bavet tasya yasya saFGe sTitam manaH /
   nahi saṅghavinirmuktaṃ jīvitaṃ jīvitaṃ bhavet // Dhs_29.18 //	na hi saFGa vinirmuktam jIvitam jIvitam Bavet // DhH _29.18 //
   keṣāṃ sujīvitaṃ jīvanam?	kezAm su jIvitam jIvanam?
   sujīvitaṃ bhavet tasya yasya satye sthitaṃ manaḥ /	su jIvitam Bavet tasya yasya satye sTitam manaH /
   nahi satyavinirmuktaṃ jīvitaṃ jīvitaṃ bhavet // Dhs_29.19 //	na hi satya vinirmuktam jIvitam jIvitam Bavet // DhH _29.19 //
   sujīvitaṃ bhavet tasya yasya mārge sthitaṃ manaḥ /	su jIvitam Bavet tasya yasya mArge sTitam manaH /
   nahi mārgavinirmuktaṃ jīvitaṃ jīvitaṃ bhavet // Dhs_29.20 //	na hi mArga vinirmuktam jIvitam jIvitam Bavet // DhH _29.20 //
   nirvāṇagamane yasya nityaṃ buddhiravasthitā /	nirvANa gamane yasya nityam budDiH avasTitA /
   sa doṣādeva nirmukto na devaḥ krīḍati svayam // Dhs_29.21 //	sa dozAt eva nirmuktaH na devaH krIxati svayam // DhH _29.21 //
   kīdṛśī krīḍā sukhodbhāvikā?	kIdRSI krIxA suKa udBAvikA?
   yā bhavavyāpinī krīḍā nityamekāgracetasaḥ /	yA Bava vyApinI krIxA nityam ekAgra cetasaH /
   sā sukhodbhāvikā krīḍā na krīḍā rāgakārikā // Dhs_29.22 //	sA suKa udBAvikA krIxA na krIxA rAga kArikAH // DhH _29.22 //
   kena mārgeṇa śivaṃ sthānaṃ milati?	kena mArgeNa Sivam sTAnam milati?
   sukhādīniha satyāni yathā dāntena vindati /	suKa AdIn iha satyAni yaTA dAntena vindati /
   tadā kṣemaṃ śivaṃ sthānaṃ prāpnoti puruṣottamaḥ // Dhs_29.23 //	tadA kzemam Sivam sTAnam prApnoti puruzottamaH // DhH _29.23 //
   // iti mārgavarga ekonatriṃśaḥ //	// iti mArga vargaH ekonatriMSaH //
   (30) bhikṣuvargaḥ	(30) Bikzu vargaH
   ādarśo bhikṣuḥ lokamārgadarśakaḥ	AdarSaH BikzuH loka mArga darSakaH
   yo hinasti na bhūtāni mitravettā sadākṣayaḥ /	yaH hinasti na BUtAni mitra vettA sadA akzayaH /
   pitṛvat sarvabhūtāni lokastamanupaśyati // Dhs_30.1 //	pitR vat sarva BUtAni lokaH tam anupaSyati // DhH _30.1 //
   adattādānavirato nityaṃ jñānī jitendriyaḥ /	adatta AdAna virataH nityam jQAnI jita indriyaH /
   praśāntadehakarmā (ca) tīrṇasambhavasaṅkramaḥ // Dhs_30.2 //	praSAnta deha karmA (ca) tIrNa samBava saFkramaH // DhH _30.2 //
   nāpyālekhyagatā nāpi cakṣuṣā sā nirīkṣyate /	na api AleKya gatA na api cakzuzA sA nirIkzyate /
   hatakāmo dṛṣṭasatyo muktastādṛśa ucyate // Dhs_30.3 //	hata kAmaH dRzwa satyaH muktaH tAdRSaH ucyate // DhH _30.3 //
   samaloṣṭāśmakanakaḥ vītaśokaḥ samāhitaḥ /	sama lozwa aSmakanakaH vIta SokaH samAhitaH /
   na kleśoragasampṛktaḥ sa saukhyaṃ dhruvamāpnuyāt // Dhs_30.4 //	na kleSa uraga sampRktaH sa sOKyam Druvam ApnuyAt // DhH _30.4 //
   kaḥ bhikṣurvidyate?	kaH BikzuH vidyate?
   arthānarthasamo yasya lābhālābhau tathaiva ca /	arTa anarTa samaH yasya lABa alABO taTA eva ca /
   sukhaduḥkhasamāyuktaḥ bhikṣuḥ sa khalu kathyate // Dhs_30.5 //	suKa duHKa samAyuktaH BikzuH sa Kalu kaTyate // DhH _30.5 //
   mitrāmitraprahīṇo yaḥ samacetā jitendriyaḥ /	mitra amitra prahINaH yaH sama cetAH jita indriyaH /
   vibheti yo na viṣayaiḥ vijñeyastādṛśo yatiḥ // Dhs_30.6 //	viBeti yaH na vizayEH vijQeyaH tAdRSaH yatiH // DhH _30.6 //
   viṣayadveṣī nirvāṇamadhigacchati	vizaya dvezI nirvANam aDigacCati
   viṣamatvāddhi viṣayān dveṣṭi dhīro gatavyathaḥ /	vizama tvAt hi vizayAn dvezwi DIraH gata vyaTaH /
   na tasya dūre nirvāṇaṃ samyaksambuddhadeśitam // Dhs_30.7 //	na tasya dUre nirvANam samyaksambudDa deSitam // DhH _30.7 //
   udayavyayatattvajñaḥ samyagdṛṣṭiralolupaḥ /	udayavyaya tattva jQaH samyak dRzwiH alolupaH /
   himavāniva niṣkramya saṃsārānmuktahetukaḥ // Dhs_30.8 //	himavAn iva nizkramya saMsArAt mukta hetukaH // DhH _30.8 //
   tṛṇacandanatulyo hi samatṛṣṇāmbarāśinaḥ /	tRNa candana tulyaH hi sama tRzNA ambara ASinaH /
   sa kauśeyasaṅghaṭitatṛṣṇayā naiva bādhate // Dhs_30.9 //	sa kOSeya saFGawita tRzNayA na eva bADate // DhH _30.9 //
   lābhasatkārasantuṣṭaḥ santuṣṭastṛṇasaṃstaraiḥ /	lABa satkAra santuzwaH santuzwaH tRNa saMstarEH /
   vahnivallābhasatkāraṃ yaḥ paśyati sa paśyati // Dhs_30.10 //	vahni vallABa satkAram yaH paSyati sa paSyati // DhH _30.10 //
   buddhadeśitāḥ bhikṣudharmāḥ	budDa deSitAH Bikzu DarmAH
   vāhyate yo na viṣayaistṛṇanadyā na vāhayate /	vAhyate yaH na vizayEH tRNa nadyA na vAhayate /
   svakarmaphalatattvajñaḥ sa bhikṣurbuddhadeśitaḥ // Dhs_30.11 //	sva karma Pala tattva jQaH sa BikzuH budDa deSitaH // DhH _30.11 //
   nātītaṃ śocate yo hi buddhayā (caiva) gataspṛhaḥ /	na atItam Socate yaH hi budDayA (ca eva) gata spRhaH /
   pratyutpannakriyāyogī na buddhistasya lipyate // Dhs_30.12 //	pratyutpanna kriyA yogI na budDiH tasya lipyate // DhH _30.12 //
   nirvāṇe (ca) matiryasya dharme nityaṃ sthitā bhavet /	nirvANe (ca) matiH yasya Darme nityam sTitA Bavet /
