   Pramāṇavārtikam	PramANa-vArtikam
   vicchinnānugamā ye 'pi sāmānyenāpyagocarāḥ /	vicCinna-anugamAH ye api sAmAnyena-api-agocarAH /
   sādhyasādhanacintāsti na teṣvartheṣu kācana // Pramāṇav_4.8 //	sADya-sADana-cintA-asti na tezu-arTezu kAcana // PramANa=-_4.8 //
   puṃsāmabhiprāyavaśāt tattvātattvavyavasthitau /	puMsAm-aBiprAya-vaSAt tattva-atattva-vyavasTitO /
   luptau hetutadābhāsau tasya vastvasamāśrayāt // Pramāṇav_4.9 //	luptO hetu-tad-ABAsO tasya vastu-asamASrayAt // PramANa=-_4.9 //
   sannartho jñānasāpekṣo nāsan jñānena sādhakaḥ /	san=-arTaH jQAna-sApekzaH na-Asan jQAnena sADakaH /
   sato 'pi vastvasaṃśliṣṭāsaṃgatyā sadṛśī gatiḥ // Pramāṇav_4.10 //	sataH api vastu-asaMSlizwa-asaMgatyA sadRSI gatiH // PramANa=-_4.10 //
   liṅgaṃ svabhāvaḥ kārya vā dṛśyādarśanameva vā /	liFgam svaBAvaH kArya vA dRSya-adarSanam-eva vA /
   sambaddhaṃ vastutassiddhaṃ tadasiddhaṃ kimātmanaḥ // Pramāṇav_4.11 //	sambadDam vastutassidDam tat-asidDam kim-AtmanaH // PramANa=-_4.11 //
   pareṇāpyanyato gantumayuktam parakalpitaiḥ /	pareNa-api-anyatas gantum-ayuktam para-kalpitEH /
   prasaṅgo dvayasambandhādekāpāye 'nyahānaye // Pramāṇav_4.12 //	prasaFgaH dvaya-sambanDAt-eka-apAye anya-hAnaye // PramANa=-_4.12 //
   tadarthagrahaṇaṃ śabdakalpanāropitātmanām /	tad-arTa-grahaNam Sabda-kalpanA-Aropita-AtmanAm /
   aliṅgatvaprasiddhayarthamarthādarthasya siddhitaḥ // Pramāṇav_4.13 //	aliFga-tva-prasidDayarTam-arTAt-arTasya sidDitaH // PramANa=-_4.13 //
   kalpanāgamayoḥ kartu ricchamātrānuvṛttitaḥ /	kalpanA-AgamayoH kartu ricCa-mAtra-anuvRttitaH /
   vastunaścānyathābhāvāt tatkṛtā vyabhicāriṇaḥ // Pramāṇav_4.14 //	vastunaH-ca-anyaTA-BAvAt tad-kRtAH vyaBicAriNaH // PramANa=-_4.14 //
   arthādarthagateḥ śaktiḥ pakṣahetvabhidhānayoḥ /	arTAt-arTa-gateH SaktiH pakza-hetu-aBiDAnayoH /
   nārthe tena tayornāsti svataḥ sādhanasaṃsthitiḥ // Pramāṇav_4.15 //	na-arTe tena tayoH-na-asti svatas sADana-saMsTitiH // PramANa=-_4.15 //
   tat pakṣavacanaṃ vakturabhiprāyanivedane /	tat pakza-vacanam vaktuH-aBiprAya-nivedane /
   pramāṇaṃ saṃśayotpattestataḥ sākṣānna sādhanam // Pramāṇav_4.16 //	pramANam saMSaya-utpatteH-tatas sAkzAt-na sADanam // PramANa=-_4.16 //
   sādhyasyaivābhidhānena pāramparyeṇa nāpyalam /	sADyasya-eva-aBiDAnena pAramparyeNa na-api-alam /
   śaktasya sūcakaṃ hetuvaco 'śaktamapi svayam // Pramāṇav_4.17 //	Saktasya sUcakam hetu-vacaH aSaktam-api svayam // PramANa=-_4.17 //
   hetvarthaviṣayatvena tadaśaktoktirīritā /	hetu-arTa-vizaya-tvena tad-aSakta-uktiH-IritA /
   śaktistasyāpi ceddhetuvacanasya pravarttanāt // Pramāṇav_4.18 //	SaktiH-tasya-api ced-hetu-vacanasya pravarttanAt // PramANa=-_4.18 //
   tatsaṃśayena jijñāsorbhavet prakaraṇāśrayaḥ /	tad-saMSayena jijQAsoH-Bavet prakaraNa-ASrayaH /
   vipakṣopagame 'yetat tulyamityanavasthiniḥ // Pramāṇav_4.19 //	vipakza-upagame ayetat tulyam-iti-anavasTiniH // PramANa=-_4.19 //
   antaraṅgaṃ tu sāmarthya triṣu rūpeṣu saṃsthitam /	antaraFgam tu sAmarTya trizu rUpezu saMsTitam /
   tatra smṛtisamādhānaṃ tadeacasyeva saṃsthitam // Pramāṇav_4.20 //	tatra smRti-samADAnam tat-eacasyeva saMsTitam // PramANa=-_4.20 //
   akhyāpite hi viṣaye hetuvṛtterasambhavāt /	aKyApite hi vizaye hetu-vRtteH-asamBavAt /
   viṣayakhyāpanādeva siddhau cet tasya śaktatā // Pramāṇav_4.21 //	vizaya-KyApanAt-eva sidDO ced tasya Sakta-tA // PramANa=-_4.21 //
   uktamatra vināpyasmāt kṛtakaḥ śabda īdṛśāḥ /	uktam-atra vinA-api-asmAt kRtakaH SabdaH IdRSAH /
   sarve 'nityā it prokte 'pyarthāt tannāśadhīrbhavet // Pramāṇav_4.22 //	sarve anityAH id prokte api-arTAt tad-nASa-DIH-Bavet // PramANa=-_4.22 //
   anuktāvapi pakṣasya siddhepratibandhataḥ /	anuktO=-api pakzasya sidDepratibanDataH /
   triṣvanyatamarūpasyaivānuktirnyū natoditā // Pramāṇav_4.23 //	trizu-anyatama-rUpasya-eva-anuktiH-nyuH nata-uditA // PramANa=-_4.23 //
   sādhyoktiṃ vā pratijñāṃ sa vadan doṣairna yujyate /	sADya-uktim vA pratijQAm sa vadan dozEH-na yujyate /
   sādhanādhikṛtereva hetvābhāsāprasaṅgataḥ // Pramāṇav_4.24 //	sADana-aDikRteH-eva hetvABAsA-prasaFgataH // PramANa=-_4.24 //
   aviśeṣoktirapyekajātīye saṃśayāvahā /	aviSeza-uktiH-api-eka-jAtIye saMSaya-AvahA /
   anyathā sarvasādhyokteḥ pratijñātvaṃ prasajyate // Pramāṇav_4.25 //	anyaTA sarva-sADya-ukteH pratijQAtvam prasajyate // PramANa=-_4.25 //
   siddhokteḥ sādhanatvācca parasyāpi na duṣyati /	sidDa-ukteH sADana-tvAt-ca parasya-api na duzyati /
   idānīṃ sādhyanirdeśaḥ sādhanāvayavaḥ katham // Pramāṇav_4.26 //	idAnIm sADya-nirdeSaH sADana-avayavaH kaTam // PramANa=-_4.26 //
   sābhāsoktyādyupakṣepaparihāraviḍambanā /	sa-ABAsa-ukti-Adi-upakzepa-parihAra-vixambanA /
   asambaddhā tathā hyeṣa na nyāyya iti varṇitam // Pramāṇav_4.27 //	asambadDA taTA hi-eza na nyAyyaH iti varNitam // PramANa=-_4.27 //
   gamyārthatve 'pi sādhyokterasammohāya lakṣaṇam /	gamya-arTa-tve api sADyokteH-asammohAya lakzaNam /
   taccuturlakṣaṇaṃ rūpanipāteṣu svayaṃpadaiḥ // Pramāṇav_4.28 //	tad-cutuH-lakzaNam rUpa-nipAtezu svayaMpadEH // PramANav_4.28 //
   asiddhāsādhanārthoktavādyabhyupagatagrahaḥ /	asidDa-asADana-arTa-ukta-vAdi-aByupagata-grahaH /
   anukto 'pīcchayā vyāptaḥ sādhya ātmārthavanmataḥ // Pramāṇav_4.29 //	anuktaH api-icCayA vyAptaH sADye Atma-arTavat-mataH // PramANa=-_4.29 //
   sarvānyeṣṭanivṛttāvapyāśaṅkāsthānavāraṇam /	sarvAnyezwa-nivRttO=-api-ASaFkA-sTAna-vAraNam /
   vṛtto svayaṃśrutenāha kṛtā caiṣā tadarthikā // Pramāṇav_4.30 //	vRttaH svayaMSrutena-Aha kRtA ca-ezA tad-arTikAH // PramANa=-_4.30 //
   viśeṣastadvyapekṣatvāt kathito dharmadharmiṇoḥ /	viSezaH-tad-vyapekza-tvAt kaTitaH Darma-DarmiNoH /
   anuktāvapi vāñchāyā bhavet prakaraṇād gatiḥ // Pramāṇav_4.31 //	anuktO=-api vAQCAyA Bavet prakaraNAt gatiH // PramANa=-_4.31 //
   ananvayo 'pi dṛṣṭānte doṣastasya yathoditam /	ananvayaH api dRzwAnte dozaH-tasya yaTA-uditam /
   ātmā paraścet so 'siddhaḥ iti tatreṣṭaghātakṛt // Pramāṇav_4.32 //	AtmA paraH-ced saH asidDaH iti tatra-izwa-GAta-kRt // PramANa=-_4.32 //
   sādhanaṃ yadvivāde na nyastaṃ taccenna sādhyate /	sADanam yat-vivAde na nyastam tat-ced-na sADyate /
   kiṃ sādhyamanyathāniṣṭaṃ bhaved vaiphalyameva vā // Pramāṇav_4.33 //	kim sADyam-anyaTA-anizwam Bavet vEPalyam-eva vA // PramANa=-_4.33 //
   sadvitīyaprayogeṣu niranvayaviruddhate /	sa-dvitIya-prayogezu niranvaya-virudDate /
   etena kathite sādhyaṃ sāmānyenātha sammatam // Pramāṇav_4.34 //	etena kaTite sADyam sAmAnyena-aTa sammatam // PramANa=-_4.34 //
   tadevārthāntarābhāvād dehānāptau na sidhyati /	tat-eva-arTa-antara-aBAvAt dehAn-AptO na siDyati /
   vācyaśūnyaṃ pralapatāṃ tadetajjāḍyavarṇitam // Pramāṇav_4.35 //	vAcya-SUnyam pralapatAm tat-etat-jAxya-varNitam // PramANa=-_4.35 //
   tulyaṃ nāśe 'pi cecchabdaghaṭabhedena kalpane /	tulyam nASe api ced-Sabda-Gawa-Bedena kalpane /
   na siddhena vināśena tadvataḥ sādhanād dhvaneḥ // Pramāṇav_4.36 //	na sidDena vinASena tadvatas sADanAt DvaneH // PramANa=-_4.36 //
   tathārthāntarabhāve syāt tadvān kumbho 'pyanityatā /	taTA-arTa-antara-BAve syAt tadvAn kumBaH api-anitya-tA /
   viśiṣṭā dhvaninānveti no cennāyogavāraṇāt // Pramāṇav_4.37 //	viSizwAH DvaninA-anveti no ca-id-na-ayoga-vAraNAt // PramANa=-_4.37 //
   dvividho hi vyavacchedo viyogāparayogayoḥ /	dviviDaH hi vyavacCedaH viyoga-apara-yogayoH /
   vyavchedādayoge tu vārye nānanvayāgamaḥ // Pramāṇav_4.38 //	vyavCedAt-ayoge tu vArye na-ananvaya-AgamaH // PramANa=-_4.38 //
   sāmānyameva tatsādhyaṃ na ca siddhaprasādhanam /	sAmAnyam-eva tat-sADyam na ca sidDa-prasADanam /
   viśiṣṭaṃ dharmiṇā tacca na niranvayadoṣavat // Pramāṇav_4.39 //	viSizwam DarmiNA tat-ca na niranvaya-dozavat // PramANa=-_4.39 //
   etena dharmidharmābhyāṃ viśiṣṭau dharmadharmiṇau /	etena Darmi-DarmAByAm viSizwO Darma-DarmiNO /
   pratyākhyāto nirākurvan dharmiṇyevamasādhanāt // Pramāṇav_4.40 //	pratyAKyAtaH nirAkurvan DarmiNI-evam-asADanAt // PramANa=-_4.40 //
   samudāyāpavāho hi na dharmiṇi virudhyate /	samudAya-apavAhaH hi na DarmiNi viruDyate /
   sādhyaṃ yatastathā neṣṭaṃ sādhyo dharmo 'tra kevalaḥ // Pramāṇav_4.41 //	sADyam yatas-taTA na-izwam sADyaH DarmaH atra kevalaH // PramANa=-_4.41 //
   ekasya dharmiṇaḥ śāstre nānādharmasthitāvapi /	ekasya DarmiNaH SAstre nAnA-Darma-sTitO=-api /
   sādhyaḥ syādātmanaiveṣṭa ityupāttā svayaṃśrutiḥ // Pramāṇav_4.42 //	sADyaH syAt-AtmanA-evezwaH iti-upAttA svayaMSrutiH // PramANa=-_4.42 //
   śāstrābhyupagamādeva sarvādānāt prabādhane /	SAstra-aByupagamAt-eva sarva-AdAnAt prabADane /
   tatraikasyāpi doṣaḥ syād yadi hetupratijñyoḥ // Pramāṇav_4.43 //	tatra-ekasya-api dozaH syAt yadi hetu-pratijQyoH // PramANa=-_4.43 //
   śabdānāśe prasādhye syād gandhabhūguṇatākṣateḥ /	SabdAnASe prasADye syAt ganDa-BU-guNa-tA-kzateH /
   heturviriddho 'prakṛterno cedanyatra sā samā // Pramāṇav_4.44 //	hetuH-viridDaH aprakRteH-no ced-anyatra sA samAH // PramANa=-_4.44 //
   athātra dharmī prakṛtastatra śāstrārthabādhanam /	aTa-atra DarmI prakRtaH-tatra SAstra-arTa-bADanam /
   atha vādīṣṭatāṃ bruyād dharmidharmādisādhanaiḥ // Pramāṇav_4.45 //	aTa vAdIzwatAm bruyAt Darmi-Darma-Adi-sADanEH // PramANa=-_4.45 //
   kaiścit prakaraṇairiccha bhavet sā gamyate ca taiḥ /	kEScid prakaraNEH-icCa Bavet sA gamyate ca tEH /
   valāt taveccheyamiti vyaktamīśvaraceṣṭitam // Pramāṇav_4.46 //	valAt tava-icCeyam-iti vyaktam-ISvara-cezwitam // PramANa=-_4.46 //
   vadannakāryaliṅgāṃ tāṃ vyabhicāreṇa bādhyate /	vadan=-a-kArya-liFgAm tAm vyaBicAreNa bADyate /
   anāntarīyake cārthe bādhite 'nyasya kā kṣati // Pramāṇav_4.47 //	anAntarIyake ca-arTe bADite anyasya kA kzati // PramANav_4.47 //
   uktaṃ ca nāgamāpekṣamanumānaṃ svagocare /	uktam ca na-Agama-apekzam-anumAnam sva-gocare /
   siddhaṃ tena susiddhaṃ tanna tadā śāstramīkṣyate // Pramāṇav_4.48 //	sidDam tena su-sidDam tat-na tadA SAstram-Ikzyate // PramANa=-_4.48 //
   vādatyāgastadā syāccenna tadānabhyupāyataḥ /	vAda-tyAgaH-tadA syAt-ced-na tadA-anaByupAyataH /
   upāyo hyabhyupāye 'yamanaṅgaṃ sa tadāpi san // Pramāṇav_4.49 //	upAyaH hi-aByupAye ayam-anaFgam sa tadA-api san // PramANa=-_4.49 //
   tadā viśuddhe viṣayadvaye śāstraparigraham /	tadA viSudDe vizaya-dvaye SAstra-parigraham /
   cikirṣoḥ sa hi kālaḥ syāt tadā śāstreṇa bādhanam // Pramāṇav_4.50 //	cikirzoH sa hi kAlaH syAt tadA SAstreNa bADanam // PramANa=-_4.50 //
   tadvirodhena cintāyāstatsiddhartheṣvayogataḥ /	tad-viroDena cintAyAH-tad-sidDarTezu-ayogataH /
   tṛtīyasthānasaṃkrāntau nyāyyaḥ śāstraparigrahaḥ // Pramāṇav_4.51 //	tRtIya-sTAna-saMkrAntO nyAyyaH SAstra-parigrahaH // PramANa=-_4.51 //
   tatrāpi sādhyadharmasya nāntarīkabādhanam /	tatra-api sADya-Darmasya na-antarIka-bADanam /
   parihārya na cānyeṣāmanavasthāprasaṅgataḥ // Pramāṇav_4.52 //	parihArya na ca-anyezAm-anavasTA-prasaFgataH // PramANa=-_4.52 //
   keneyaṃ sarvacintāṣu śāstraṃ grāhyamiti sthitiḥ /	kena-iyam sarva-cintAzu SAstram grAhyam-iti sTitiH /
   kṛtedānīmasiddhāntairgrāhyo dhūmena nānalaḥ // Pramāṇav_4.53 //	kRta-idAnIm-asidDAntEH-grAhyaH DUmena na-analaH // PramANa=-_4.53 //
   riktasya jantorjjātasya guṇadoṣamapaśyataḥ /	riktasya janta-UH-jjAtasya guNa-dozam-apaSyataH /
   vilabdhā vata kenemo siddhāntaviṣamagrhāḥ // Pramāṇav_4.54 //	vilabDAH vata kena-imaH sidDAnta-vizamagrhAH // PramANa=-_4.54 //
   yadi sādhana ekatra sarvaśāstraṃ nidarśane /	yadi sADanaH ekatra sarva-SAstram nidarSane /
   darśayet sādhanaṃ syādityeṣā lokottarā sthitiḥ // Pramāṇav_4.55 //	darSayet sADanam syAt-iti-ezA lokottarA sTitiH // PramANa=-_4.55 //
   asambaddhasya dharmasya kimasiddho na sidhyati /	asambadDasya Darmasya kim-asidDaH na siDyati /
   hetustatsādhanāyoktaḥ kiṃ duṣṭastatra sidhyati // Pramāṇav_4.56 //	hetuH-tad-sADanAya-uktaH kim duzwaH-tatra siDyati // PramANa=-_4.56 //
   dharmananupanīyaiva dṛṣṭānte dharmiṇo 'khilān /	DarmananupanIyA-eva dRzwAnte DarmiNaH aKilAn /
   vāgdhūmādejaṃno 'nveti caitanyadahanādikam // Pramāṇav_4.57 //	vAc-DUmA-dejaMnaH anveti cEtanya-dahana-Adikam // PramANa=-_4.57 //
   svabhāvaṃ kāraṇaṃ cārtho vyabhicāreṇa sādhayan /	svaBAvam kAraNam ca-arTaH vyaBicAreNa sADayan /
   kasyacid vādabādhāyāṃ svabhāvānna nivartate // Pramāṇav_4.58 //	kasyacid vAda-bADAyAm svaBAvAt-na nivartate // PramANa=-_4.58 //
   prapadyamānaścānyastaṃ nāntarīyakamīpsitaiḥ /	prapadyamAnaH-ca-anyaH-tam na-antarIyakam-IpsitEH /
   sādhyārthairhetunā tena kathamapratipāditaḥ // Pramāṇav_4.59 //	sADya-arTEH-hetunA tena kaTam-apratipAditaH // PramANa=-_4.59 //
   ukto 'nukto 'pi tena kathamapratipāditaḥ // Pramāṇav_4.59 //	uktaH anuktaH api tena kaTam-apratipAditaH // PramANa=-_4.59 //
   ukto 'nukto 'pi vā heturviroddhā vādino 'tra kim /	uktaH anuktaH api vA hetuH-virodDA vAdinaH atra kim /
   na hi tasyoktidoṣeṇa sa jātaḥ śāstrabādhanaḥ // Pramāṇav_4.60 //	na hi tasya-ukti-dozeNa sa jAtaH SAstra-bADanaH // PramANa=-_4.60 //
   bādhakasyābhidhānācced doṣo yadi vadenna saḥ /	bADakasya-aBiDAnAt-ced dozaH yadi vadet-na saH /
   kinna bādheta so 'kurvannayuktaṃ kena duṣyati // Pramāṇav_4.61 //	kin-na bADeta saH akuru-an=-ayuktam kena duzyati // PramANa=-_4.61 //
   anyeṣu hetvābhāseṣu sveṣṭasyaivāprasādhanāt /	anyezu hetvABAsezu svezwasya-eva-aprasADanAt /
   duṣyed vyarthābhidhānena nātra tasya prasādhanāt // Pramāṇav_4.62 //	duzyet vyarTa-aBiDAnena na-atra tasya prasADanAt // PramANa=-_4.62 //
   yadi kiñcit kvacicchastrena yuktaṃ pratiṣidhyate /	yadi kiQcid kvacid-Sastrena yuktam pratiziDyate /
   bruvāṇo yuktamapyanyaditi rājakulasthitiḥ // Pramāṇav_4.63 //	bruvANaH yuktam-api-anyat-iti rAja-kula-sTitiH // PramANa=-_4.63 //
   sarvānarthān samīkṛtya vaktuṃ śakyaṃ na sādhanam /	sarvAn-arTAn samIkRtya vaktum Sakyam na sADanam /
   sarvatra tenotsanneyaṃ sādhyasādhanasaṃsthitiḥ // Pramāṇav_4.64 //	sarvatra tena-utsannA-iyam sADya-sADana-saMsTitiH // PramANa=-_4.64 //
   viruddhayorekadharmiṇyayogādastu bādhanam /	virudDayoH-eka-DarmiNI-ayogAt-aH-tu bADanam /
   viruddhaikāntike nātra tadvadasti virodhitā // Pramāṇav_4.65 //	virudDa-EkAntike na-atra tadvat-asti viroDitAH // PramANa=-_4.65 //
   abādhyabādhakatve 'pi tayoḥ śāstrārthaviplavāt /	abADya-bADaka-tve api tayoH SAstra-arTa-viplavAt /
   asabhbadde 'pi bādhā cet syāt sarva sarvabādhanam // Pramāṇav_4.66 //	asaBbadde api bADA ced syAt sarve sarva-bADanam // PramANa=-_4.66 //
   sambandhastena tatraiva bādhanādasti cedasat /	sambanDaH-tena tatra-eva bADanAt-asti ced-asat /
   hetoḥ sarvasya cintyatvāt svasādhye guṇadoṣayoḥ // Pramāṇav_4.67 //	hetoH sarvasya cintya-tvAt sva-sADye guNa-dozayoH // PramANa=-_4.67 //
   nāntarīyakatā sādhye sambandhaḥ seha nekṣyate /	na-antarIyaka-tA sADye sambanDaH sA-iha na-Ikzyate /
   kevalaṃ śāstrapīḍeti doṣaḥ sānyakṛte samā // Pramāṇav_4.68 //	kevalam SAstra-pIxA-iti dozaH sa-anya-kRte samAH // PramANa=-_4.68 //
   śāstrābhyupagamāt sādhyaḥ sāstradṛṣṭo 'khilo yadi /	SAstra-aByupagamAt sADyaH sa-astra-dRzwaH aKilaH yadi /
   pratijñā siddhadṛṣṭāntahetuvādḥ prasajyate // Pramāṇav_4.69 //	pratijQA sidDa-dRzwAnta-hetuvAdH prasajyate // PramANa=-_4.69 //
   uktayoḥ sādhanatvena no cedīpsitavādataḥ /	uktayoH sADana-tvena no ced-Ipsita-vAdataH /
   nyāyaprāptaṃ na sādhyatvaṃ vacanād vinivarttate // Pramāṇav_4.70 //	nyAya-prAptam na sADya-tvam vacanAt vinivarttate // PramANa=-_4.70 //
   anīpsitamasādhyaṃ ced vādinānyo 'pyanīpsitaḥ /	anIpsitam-asADyam ced vAdinA-anyaH api-anIpsitaH /
   dharmo 'sādhyastadāsādhyaṃ bādhamānaṃ virodhi kim // Pramāṇav_4.71 //	DarmaH asADyaH-tadA-asADyam bADamAnam viroDi kim // PramANa=-_4.71 //
   pakṣalakṣaṇabāhyārthaḥ svayaṃśabdo 'pyanarthakaḥ /	pakza-lakzaNa-bAhya-arTaH svayaMSabdaH api-anarTakaH /
   śāstre ṣvicchapravṛttyartho yadi śaṅkākutonviyam // Pramāṇav_4.72 //	SAstre zu-icCa-pravRtti-arTaH yadi SaFkA-kutonu-iyam // PramANa=-_4.72 //
   so 'niṣiddhaḥ pramāṇena gṛhṇān kena nivāryate /	saH anizidDaH pramANena gRhNAn kena nivAryate /
   niṣiddhaścet pramāṇena vācā kena pravartyate // Pramāṇav_4.73 //	nizidDaH-ced pramANena vAcA kena pravartyate // PramANa=-_4.73 //
   pūrvamapyeṣa siddhantaṃ svecchayaiva gṛhītavān /	pUrvam-api-eza sidDantam sva-icCayA-eva gRhItavAn /
   kiñcidanyaṃ satu punargrahītuṃ labhate na kim // Pramāṇav_4.74 //	kiQcid-anyam satu punar-grahItum laBate na kim // PramANa=-_4.74 //
   dṛṣṭervipratipattīnāmatrākārṣīt svayaṃśrutim /	dRzweH-vipratipattInAm-atra-akArzIt svayaMSrutim /
   iṣṭākṣatimasādhyatvamanavasthāṃ ca darśayan // Pramāṇav_4.75 //	izwa-akzatim-asADya-tvam-anavasTAm ca darSayan // PramANa=-_4.75 //
   samayāhitabhedasya parihāreṇa dharmiṇaḥ /	samayA-ahita-Bedasya parihAreNa DarmiNaH /
   prasiddhasya gṛhītyarthā jagādanyaḥ svayaṃśrutim // Pramāṇav_4.76 //	prasidDasya gRhi-iti-arTAH jagAt-anyaH svayaMSrutim // PramANa=-_4.76 //
   vicāraprastutereva prasiddhaḥ siddha āśrayaḥ /	vicAra-prastuteH-eva prasidDaH sidDaH ASrayaH /
   svecchākalpitabhedeṣu padārtheṣvavivādataḥ // Pramāṇav_4.77 //	sva-icCA-kalpita-Bedezu padArTezu-avivAdataH // PramANa=-_4.77 //
   asādhyatāmatha prāha siddhadeśena dharmiṇaḥ /	asADyatAm-aTa prAha sidDa-deSena DarmiNaH /
   svarūpeṇaiva nirdeśya ityanenaiva tad gatam // Pramāṇav_4.78 //	sva-rUpeNa-eva nirdeSyaH iti-anena-eva tat gatam // PramANa=-_4.78 //
   siddhasādhanarūpeṇa nirdeśasya hi sambhave /	sidDa-sADana-rUpeNa nirdeSasya hi samBave /
   sādhyatvenaiva nirdeśya itīdaṃ phalavad bhavet // Pramāṇav_4.79 //	sADya-tvena-eva nirdeSyaH iti-idam Palavat Bavet // PramANa=-_4.79 //
   anumānasya sāmānyaviṣayatvaṃ ca varṇītam /	anumAnasya sAmAnya-vizaya-tvam ca varNItam /
   ihaivaṃ na hyanukte 'pi kiñcit pakṣe virudhyate // Pramāṇav_4.80 //	iha-evam na hi-anukte api kiQcid pakze viruDyate // PramANa=-_4.80 //
   kuryācced dharmiṇaṃ sādhyaṃ tataḥ kiṃ tanna śaktyate /	kuryAt-ced DarmiNam sADyam tatas kim tat-na Saktyate /
   kasmāddhetvanvayābhāvānna ca doṣastayorapi // Pramāṇav_4.81 //	kasmAt-hetu-anvaya-aBAvAt-na ca dozaH-tayoH-api // PramANa=-_4.81 //
   uktarāvayavāpekṣo na doṣaḥ pakṣa iṣyate /	uktarAva-yava-apekzaH na dozaH pakzaH izyate /
   tathā hetvādidoṣo 'pi pakṣadoṣaḥ prasajyate // Pramāṇav_4.82 //	taTA hetu-Adi-dozaH api pakza-dozaH prasajyate // PramANa=-_4.82 //
   sarvaiḥ pakṣasya bādhātastasmāt tanmātrasaṅginaḥ /	sarvEH pakzasya bADAtaH-tasmAt tanmAtra-saFginaH /
   pakṣadoṣā matā nānye pratyakṣādivirodhavat // Pramāṇav_4.83 //	pakza-dozAH matAH na-anye pratyakza-Adi-viroDa-vat // PramANa=-_4.83 //
   hetvādilakṣaṇairvādhyaṃ muktvā pakṣasya lakṣaṇam /	hetu-Adi-lakzaNEH-vADyam muktvA pakzasya lakzaNam /
   ucyate parihārārthamavyāptivyatirekayoḥ // Pramāṇav_4.84 //	ucyate parihAra-arTam-avyApti-vyatirekayoH // PramANa=-_4.84 //
   svayannipātarūpākhyā vyatirekasya bādhikāḥ /	svayat-nipAta-rUpa-AKyAH vyatirekasya bADikAH /
   sahānirākṛteneṣṭaśrutiravyāptibādhanī // Pramāṇav_4.85 //	saha-anirAkRtena-izwa-Sruti-H-avyApti-bADanI // PramANa=-_4.85 //
   sādhyābhyupagamaḥ pakṣalakṣaṇaṃ teṣvapakṣatā /	sADya-aByupagamaH pakza-lakzaNam tezu-apakzatA /
   nirākṛte bādhanataḥ śeṣe 'lakṣaṇavṛttitaḥ // Pramāṇav_4.86 //	nirAkRte bADanataH Seze alakzaNa-vRttitaH // PramANa=-_4.86 //
   svayamiṣṭābhidhānena gatārthe 'pyavadhāraṇe /	svayam-izwa-aBiDAnena gata-arTe api-avaDAraNe /
   kṛtyāntenābhisambandhāduktaṃ kālāntaracchide // Pramāṇav_4.87 //	kRtya-antena-aBisambanDAt-uktam kAla-antara=-Cide // PramANa=-_4.87 //
   ihānaṅgamiṣerniṣṭhā tenepsitapade punaḥ /	iha-anaFga-mizeH-nizWA tena-Ipsita-pade punar /
   aṅgameva tayāsiddhahetvādi pratiṣidhyate // Pramāṇav_4.88 //	aFgam-eva tayA-asidDa-hetu-Adi pratiziDyate // PramANa=-_4.88 //
   avācakatvāccāyuktaṃ teneṣṭaṃ svayamātmanā /	avAcaka-tvAt-ca-ayuktam tena-izwam svayam-AtmanA /
   anapekṣyākhilaṃ śāstraṃ tadvādīṣṭasya sādhyatā // Pramāṇav_4.89 //	anapekzya-aKilam SAstram tat-vAdIzwasya sADya-tA // PramANa=-_4.89 //
   tenānabhīṣṭasaṃsṛṣṭasyesyāpi hi bādhane /	tena-anaBIzwa-saMsRzwasya-isya-api hi bADane /
   yathāsādhyamabādhātaḥ pakṣahetū na duṣyataḥ // Pramāṇav_4.90 //	yaTA-asADyam-abADAtaH pakza-hetU na duzyataH // PramANa=-_4.90 //
   aniṣiddhaḥ pramāṇābhyāṃ sa copagama iṣyate /	anizidDaH pramANAByAm sa ca-upagamaH izyate /
   sandigdhe hetuvacanād vyasto hetoranāśrayaḥ // Pramāṇav_4.91 //	sandigDe hetu-vacanAt vyastaH hetoH-anASrayaH // PramANa=-_4.91 //
   anumānasya bhedena sā bādhoktā caturvidhā /	anumAnasya Bedena sA bADA-uktA caturviDAH /
   tatrābhyupāyaḥ kāryāṅgaṃ svabhāvāṅgaṃ jagatsthitiḥ // Pramāṇav_4.92 //	tatra-aByupAyaH kArya-aFgam svaBAva-aFgam jagat-sTitiH // PramANa=-_4.92 //
   ātmāparodhābhimato bhūtaniścayayuktavāk /	Atma-aparoDa-aBimataH BUta-niScaya-yukta-vAc /
   āptaḥ svavacanaṃ śastraṃ caikamuktaṃ samatvataḥ // Pramāṇav_4.93 //	AptaH sva-vacanam Sastram ca-ekam-uktam samatvataH // PramANa=-_4.93 //
   yathātmano 'pramāṇatve vacanaṃ na pravarttate /	yaTA-AtmanaH apramANa-tve vacanam na pravarttate /
   śāstrasiddhe tathā nārthe vicārastadanāśraye // Pramāṇav_4.94 //	SAstra-sidDe taTA na-arTe vicAraH-tad-anASraye // PramANa=-_4.94 //
   tatprastāvāśrayatve hi śāstraṃ bādhakamityamum /	tad-prastAva-ASraya-tve hi SAstram bADakam-iti-amum /
   vaktumartha svavācāsya sahoktiḥ sāmyadṛṣṭaye // Pramāṇav_4.95 //	vaktum-arTa su-avAcA-asya saha-uktiH sAmya-dRzwaye // PramANa=-_4.95 //
   udāharaṇamapyatra sadṛśaṃ tena varṇitam /	udAharaNam-api-atra sadRSam tena varNitam /
