   Sudhanakinnaryavadāna	SuDana-kinnarya-vadAna
   vīryasattvabalopāyadhairyotsāhavatām api /	vIrya-sattva-bala-upAya-DErya-utsAhavatAm api /
   agamye kinnarapure kramād vartma śaśaṃsa ca // KAvk_64.257 //	agamye kinnara-pure kramAt vartma SaSaMsa ca // Ka-avc-_64.257 //
   idaṃ ca tvatkṛte dattaṃ tayā ratnāṅgulīyakam /	idam ca tvad-kRte dattam tayA ratna-aFgulIyakam /
   yasya snigdhaprabhābhyaṅgair diśo yānti piśaṅgatām // KAvk_64.258 //	yasya snigDa-praBA-aByaFgEH diSaH yAnti piSaFga-tAm // KAvc-_64.258 //
   ity ānandasudhāsiktam uktvā dhairyāvalambanam /	iti Ananda-suDA-siktam uktvA DErya-avalambanam /
   aṅgulīyaṃ dadau tasmai mārgaṃ cākathayan muniḥ // KAvk_64.259 //	aFgulIyam dadO tasmE mArgam ca-akaTayat muniH // KAvc-_64.259 //
   pathā tadupadiṣṭena sopāyena nṛpātmajaḥ /	paTA tad-upadizwena sa-upAyena nRpa-AtmajaH /
   dhīraḥ pracakrame gantuṃ dhanadādhyuṣitāṃ diśam // KAvk_64.260 //	DIraH pracakrame gantum Danada-aDyuzitAm diSam // Ka-avc-_64.260 //
   sa siddhāṃ ghṛtapākena sudhāṃ pītvā mahauṣadhim /	sa sidDAm GRta-pAkena suDAm pItvA mahOzaDim /
   labdharddhibalamāhātmyaḥ sāyudhaḥ prayayau śanaiḥ // KAvk_64.26 //	labDa-RdDi-bala-mAhAtmyaH sa-AyuDaH prayayO SanEs // Ka-avc-_64.26 //
   ṛddhyā saṃnihitaṃ tasya sarvopakaraṇaṃ pathi /	RdDyA saMnihitam tasya sarva-upakaraNam paTi /
   abhūt sattvasahāyānāṃ svādhīnāḥ sarvasaṃpadaḥ // KAvk_64.262 //	aBUt sattva-sahAyAnAm svADInAH sarva-saMpadaH // Ka-avc-_64.262 //
   atha vidyādharavadhūvilāsahasitadyutim /	aTa vidyADara-vaDU-vilAsa-hasita-dyutim /
   himavantam atikramya kukūlādrim avāpa saḥ // KAvk_64.263 //	himavantam atikramya kukUla-adrim avApa saH // Ka-avc-_64.263 //
   phalopahāraiḥ svīkṛtya tatra vānarayūthapam /	Pala-upahArEH svIkRtya tatra vAnara-yUTapam /
   vāyuvegākhyam āruhya sa taṃ śailam alaṅghayat // KAvk_64.264 //	vAyu-vega-AKyam Aruhya sa tam SElam alaFGayat // Ka-avc-_64.264 //
   athājapathanāmānam aticakrāma bhūdharam /	aTa-aja-paTa-nAmAnam aticakrAma BUDaram /
   nihatyājagaraṃ ghoraṃ vighnasaṃgham iveṣunā // KAvk_64.265 //	nihatya-ajagaram Goram viGna-saMGam iva-izunA // Ka-avc-_64.265 //
   vīṇāsvanair vaśīkṛtya rākṣasīṃ kāmarūpiṇīm /	vINA-svanEH vaSIkRtya rAkzasIm kAmarUpiNIm /
   kāmarūpādrim ullaṅghya prayayau kinnarīpriyaḥ // KAvk_64.266 //	kAmarUpa-adrim ullaFGya prayayO kinnarI-priyaH // Ka-avc-_64.266 //
   balavān mudgarāghātanikhātaiḥ śastraśaṅkubhiḥ /	balavAn mudgara-AGAta-niKAtEH Sastra-SaFkuBiH /
   ekadhāraṃ tataḥ śailam ārurohātisāhasaḥ // KAvk_64.267 //	eka-DAram tatas SElam Aruroha-atisAhasaH // Ka-avc-_64.267 //
   athogrataram āruhya vajrakākhyaṃ sa parvatam /	aTa-ugrataram Aruhya vajraka-AKyam sa parvatam /
   gṛdhrarūpāṃ samālokya rākṣasīṃ piśitaiṣiṇīm // KAvk_64.268 //	gRDra-rUpAm samAlokya rAkzasIm piSita-eziNIm // KAvc-_64.268 //
   parivṛttena saṃcchannaḥ samāṃsamṛgacarmaṇā /	parivRttena saMcCannaH sa-mAMsa-mRga-carmaNA /
   sa pādamūle tasyādres tasthau niścalavigrahaḥ // KAvk_64.269 //	sa pAda-mUle tasya-adreH tasTO niScala-vigrahaH // Ka-avc-_64.269 //
   māṃsalubdhā tam utkṣipya gṛdhrarūpā niśācarī /	mAMsa-lubDA tam utkzipya gRDra-rUpA niSAcarI /
   nidadhe śikharasyāgre bhoktuṃ bhīṣaṇavigrahā // KAvk_64.270 //	nidaDe SiKarasya-agre Boktum BIzaNa-vigrahAH // Ka-avc-_64.270 //
   mṛgacarma samutsṛjya tāṃ nihatya sa vīryavān /	mRga-carma samutsRjya tAm nihatya sa vIryavAn /
   nīrandhrakhadirākīrṇam prāpa khādirabhūdharam // KAvk_64.271 //	nIranDra-Kadira-AkIrNam prApa KAdira-BUDaram // Ka-avc-_64.271 //
   praviśya tadguhāṃ lebhe śilāṃ vyasya mahauṣadhim /	praviSya tad-guhAm leBe SilAm vyasya mahOzaDim /
   śītātapatamaḥsarparākṣasādibhayāpahām // KAvk_64.272 //	SIta-AtapatamaH-sarpa-rAkzasa-Adi-Baya-apahAm // Ka-avc-_64.272 //
   sa yantraparvatau prāpya saṃghaṭtaiḥ prāṇahāriṇau /	sa yantra-parvatO prApya saMGawtEH prANa-hAriNO /
   yantrakīlaṃ śarāgreṇa chittvā cakre viniścalau // KAvk_64.273 //	yantra-kIlam Sara-agreNa CittvA cakre viniScalO // Ka-avc-_64.273 //
   yantrakīlasamucchedair yantradvāraṃ vidārya saḥ /	yantra-kIla-samucCedEH yantra-dvAram vidArya saH /
   chedanam yantracakraṃ ca yantrayuktau tathāyasau // KAvk_64.274 //	Cedanam yantra-cakram ca yantra-yuktO taTA-ayasO // Ka-avc-_64.274 //
   tīvraprahārau puruṣau yantrameṣau ca duḥsahau /	tIvra-prahArO puruzO yantram-ezO ca duHsahO /
   yantrogradantaniṣpeṣau tathā makararākṣasau // KAvk_64.275 //	yantra-ugra-danta-nizpezO taTA makara-rAkzasO // Ka-avc-_64.275 //
   ghorāndhakāragambhīraṃ guhākūpaṃ vilaṅghya ca /	Gora-anDakAra-gamBIram guhA-kUpam vilaFGya ca /
   tuṅgāṃ saritam uttīrya hatvā tatkūlarākṣasān // KAvk_64.276 //	tuFgAm saritam uttIrya hatvA tad-kUla-rAkzasAn // Ka-avc-_64.276 //
   āśīviṣāvṛtajalāṃ pataṃgākhyāṃ ca nimnagām /	ASIviza-AvRta-jalAm pataMga-AKyAm ca nimnagAm /
   rodinīṃ ca nadīṃ tīre yasyāḥ kinnaraceṭikāḥ // KAvk_64.277 //	rodinIm ca nadIm tIre yasyAH kinnara-cewikAH // Ka-avc-_64.277 //
   kurvanti rodanaravair vighnaṃ tadgatacetasām /	kurvanti rodana-ravEH viGnam tad-gata-cetasAm /
   tadvidhāṃ hāsinīṃ nāma hāsāpaḥrtacetasām // KAvk_64.278 //	tadviDAm hAsinIm nAma hAsa-apaHrta-cetasAm // Ka-avc-_64.278 //
   diśanti puline yasyā vyasanaṃ kinnarāṅganāḥ /	diSanti puline yasyAH vyasanam kinnara-aFganAH /
   laṅghayitvāpagāś cānyā vetrāṃ prāpya nadīṃ tataḥ // KAvk_64.279 //	laFGayitvA-ApagAH ca-anyAH vetrAm prApya nadIm tatas // Ka-avc-_64.279 //
   kūlavetralatālambī tasyām atha titīrṣayā /	kUla-vetra-latA-AlambI tasyAm aTa titIrzayA /
   pavanapreritāṃ pāravetravallīm avāpa saḥ // KAvk_64.280 //	pavana-preritAm pAravetravallIm avApa saH // Ka-avc-_64.280 //
   tayā prāpya paraṃ pāram āśayevātidīrghayā /	tayA prApya param pAram ASayA-iva-ati-dIrGayA /
   dadarśa kinnarapuraṃ sphārasphaṭikamandiram // KAvk_64.281 //	dadarSa kinnara-puram sPAra-sPawika-mandiram // Ka-avc-_64.281 //
   praviśya sa śanaiḥ prapya kāntāṃ kanakapadminīm /	praviSya sa SanEs prapya kAntAm kanaka-padminIm /
   tattīratarum āruhya tasthau ratnalatāvṛtaḥ // KAvk_64.282 //	tad-tIra-tarum Aruhya tasTO ratna-latA-AvRtaH // Ka-avc-_64.282 //
   sa dadarśāmbujarajaḥpuñjaiḥ surabhipiñjaram /	sa dadarSa-ambuja-rajaH-puQjEH suraBi-piQjaram /
   hemakumbhair jalaṃ tatra nayantīḥ kinnarāṅganāḥ // KAvk_64.283 //	hema-kumBEH jalam tatra nayantIH kinnara-aFganAH // KAvc-_64.283 //
   kumbhotkṣepe śramārtāyās tatraikasyāḥ sametya saḥ /	kumBa-utkzepe Srama-ArtAyAH tatra-ekasyAH sametya saH /
   hastālambena sāhāyyaṃ kṛtvā papraccha tārn śanaiḥ // KAvk_64.284 //	hasta-Alambena sAhAyyam kRtvA papracCa tArn SanEs // Ka-avc-_64.284 //
   mātaḥ kasya kṛte toyaṃ idaṃ yatnena nīyate /	mAtar kasya kRte toyam idam yatnena nIyate /
   yadbhaktyā gaṇyate nāyaṃ bhavatībhiḥ pariśramaḥ // KAvk_64.285 //	yad-BaktyA gaNyate na-ayam BavatIBiH pariSramaH // Ka-avc-_64.285 //
   iti tena priyagirā sā pṛṣṭā tam abhāṣata /	iti tena priya-girA sA pRzwA tam aBAzata /
   mādhuryadhuryasaundarye pakṣapātavatī kṣaṇāt // KAvk_64.286 //	mADurya-Durya-sOndarye pakzapAtavatI kzaNAt // Ka-avc-_64.286 //
   martyāmodāpanodāya sadā surabhivāribhiḥ /	martya-Amoda-apanodAya sadA suraBi-vAriBiH /
   pituḥ kinnararājasya girā snāti manoharā // KAvk_64.287 //	pituH kinnara-rAjasya girA snAti manoharA // Ka-avc-_64.287 //
   tayeti kathitaṃ śrutvā sudhāsikta iva kṣaṇāt /	tayA-iti kaTitam SrutvA suDA-siktaH iva kzaNAt /
   sa hemakumbhe cikṣepa tadabhijñāṅgulīyakam // KAvk_64.288 //	sa hema-kumBe cikzepa tad-aBijQA-aFgulIyakam // Ka-avc-_64.288 //
   snāntyās tatas tad abhihāri manoharāyāḥ kumbhāt papāta kucakumbhayuge	snAntyAH tatas tat aBihAri manoharAyAH kumBAt papAta kuca-kumBa-yuge
   'ṅgulīyam /	aFgulIyam /
   yasyāṃśumatpratimaratnamayūkhalekhāḥ kṣipraṃ nakhakṣatavilāsatulām avāpuḥ	yasya-aMSumat-pratima-ratna-mayUKa-leKAH kzipram naKa-kzata-vilAsa-tulAm avApuH
   // KAvk_64.289 //	// Ka-avc-_64.289 //
   mūrtaṃ tataḥ svaṃ anurāgam ivākalayya	mUrtam tatas svam anurAgam iva-akalayya
   ratnāṅgulīyakam anaṅgakathāntaraṅgam /	ratna-aFgulIyakam anaFga-kaTA-antaraFgam /
   sā kāntam āgatam avetya kutas tvayedaṃ	sA kAntam Agatam avetya kutas tvayA-idam
   saṃprāptam ity avadad ucchaliteva dāsīm // KAvk_64.290 //	saMprAptam iti avadat ucCalitA-iva dAsIm // Ka-avc-_64.290 //
   tatas tām avadad dāsī devi puṣkariṇītaṭe /	tatas tAm avadat dAsI devi puzkariNI-tawe /
   sthitaḥ ko 'pi yuvā kāntaḥ pratyakṣa iva manmathaḥ // KAvk_64.291 //	sTitaH kaH api yuvA kAntaH pratyakzaH iva manmaTaH // Ka-avc-_64.291 //
   nikṣiptaṃ hemakumbhe 'sminn idaṃ tenāṅgulīyakam /	nikziptam hema-kumBe asmin idam tena-aFgulIyakam /
   bhajate yatprabhāgarbham payaḥ kuṅkumakāntatām // KAvk_64.292 //	Bajate yat-praBA-garBam payaH kuFkuma-kAnta-tAm // Ka-avc-_64.292 //
   iti tadvacanaṃ tanvī priyaṃ śrutvā manoharā /	iti tat-vacanam tanvI priyam SrutvA manoharA /
   niścitya dayitaṃ prāptam ānināya tayaiva tam // KAvk_64.293 //	niScitya dayitam prAptam AninAya tayA-eva tam // Ka-avc-_64.293 //
   tayā guptatare nyastaṃ kāntam udyānamandire /	tayA guptatare nyastam kAntam udyAna-mandire /
   kumudvatīva śaśinaṃ gatvāpaśyan manoharā // KAvk_64.294 //	kumudvati-iva SaSinam gatvA-apaSyat manoharA // Ka-avc-_64.294 //
   parasparālokanavibhrameṇa viyogasaṃtāpanivedanena /	paraspara-Alokana-viBrameNa viyoga-saMtApa-nivedanena /
   tayoḥ praharṣānubhavena lebhe śobhām aśeṣāṅgavatīm anaṅgaḥ // KAvk_64.295	tayoH praharza-anuBavena leBe SoBAm aSeza-aFgavatIm anaFgaH // Ka-avc-_64.295
   yad yat kiṃ cid virahasamaye cintayābhyastam antar	yat yat kim cit viraha-samaye cintayA-aByastam antar
   yad yat prauḍhapramadasuhṛdā manmathenopadiṣṭam /	yat yat prOXa-pramada-suhRdA manmaTena-upadizwam /
   yad yat premṇaḥ sadṛśam ucitaṃ yad yad autsukyarāśes	yat yat premNaH sadRSam ucitam yat yat Otsukya-rASeH-
   tat tat sarvaṃ praṇayasubhagaṃ dampatī cakratus tau // KAvk_64.296 //	tat tat sarvam praNaya-suBagam dampatI cakratuH tO // Ka-avc-_64.296 //
   tataḥ pracchannavṛttāntaṃ lajjamānā manoharā /	tatas pracCanna-vRttAntam lajjamAnA manoharA /
   nivedyādarśayat pitroḥ patiṃ bhūmimanobhavam // KAvk_64.297 //	nivedya-adarSayat pitroH patim BUmi-manoBavam // Ka-avc-_64.297 //
   tataḥ kinnararājas tāṃ kopaprasphuritādharaḥ /	tatas kinnara-rAjaH tAm kopa-prasPurita-aDaraH /
   uvāca darśanapathaṃ parihṛtyātmajāpateḥ // KAvk_64.298 //	uvAca darSana-paTam parihRtya-AtmajA-pateH // Ka-avc-_64.298 //
   aho pramādapatitā daivād anucite jane /	aho pramAda-patitAH dEvAt anucite jane /
   na vimuñcasi durvṛtte kṣālyamānāpi raktatām // KAvk_64.299 //	na vimuQcasi durvRtte kzAlyamAnA-api rakta-tAm // Ka-avc-_64.299 //
   yauvanāvanilāvaṇyaṃ spṛhaṇīyaṃ divaukasām /	yOvana-avanilAvaNyam spRhaNIyam divOkasAm /
   bata prayātam etat te martyasnehena śocyatāṃ // KAvk_64.300 //	bata prayAtam etat te martya-snehena Socya-tAm // KAvc-_64.300 //
   udagragotraprabhavā ghanayauvananirbharā /	udagra-gotra-praBavA Gana-yOvana-nirBarAH /
   nimnage kṣobhavibhraṣṭā yātāsi sutarām adhaḥ // KAvk_64.301 //	nimnage kzoBa-viBrazwAH yAtA-asi sutarAm aDas // Ka-avc-_64.301 //
   vidvadudvegajananī kulavailakṣyakāriṇī /	vidvat-udvega-jananI kula-vElakzya-kAriNI /
   malinā khalavidyeva saṃmatāsi na kasya cit // KAvk_64.302 //	malinA Kala-vidyA-iva saMmatA-asi na kasya cit // Ka-avc-_64.302 //
   rūpamātreṇa tuṣṭā tvaṃ yadi martyavaśaṃ gatā /	rUpa-mAtreNa tuzwA tvam yadi martya-vaSam gatAH /
   tat kiṃ na ramase hemanirmāṇapuruṣatviṣā // KAvk_64.303 //	tat kim na ramase hema-nirmANa-puruza-tvizA // KAvc-_64.303 //
   prabhāvaguṇahīnasya puṃsaś cārutarākṛteḥ /	praBAva-guNa-hInasya puMsaH cArutara-AkRteH /
   ālekhyapuruṣasyeva saundaryaṃ bhittirañjanam // KAvk_64.304 //	AleKya-puruzasya-iva sOndaryam BittiraQjanam // Ka-avc-_64.304 //
   vadhyo me tvatpatiḥ pāpe hīnasaṃbandhalajjayā /	vaDyaH me tvad-patiH pApe hIna-saMbanDa-lajjayA /
   mukhaṃ draṣṭuṃ na śaknomi tvadyācñāptadivaukasām // KAvk_64.305 //	muKam drazwum na Saknomi tvad-yAcQA-Apta-divOkasAm // Ka-avc-_64.305 //
   satyaṃ utsāhayuktasya kulasyonnatiśālinaḥ /	satyam utsAha-yuktasya kulasya-unnati-SAlinaH /
   jareva kila kāyasya kanyā saṃkocakāriṇī // KAvk_64.306 //	jarA-iva kila kAyasya kanyA saMkoca-kAriNI // Ka-avc-_64.306 //
   iti sā bhartsitā pitrā tam uvāca natānanā /	iti sA BartsitA pitrA tam uvAca nata-AnanAH /
   asūtrahāraṃ kurvāṇā kucayor bāṣpabindhubhiḥ // KAvk_64.307 //	asUtra-hAram kurvANA kucayoH bAzpa-binDuBiH // Ka-avc-_64.307 //
   kopād anucitaṃ tāta naitan māṃ vaktum arhasi /	kopAt anucitam tAta na-etat mAm vaktum arhasi /
   na śrūyante prabhāveṇa kiṃ narāḥ kinnarādhikāḥ // KAvk_64.308 //	na SrUyante praBAveNa kim narAH kinnara-aDikAH // Ka-avc-_64.308 //
   garuḍasyāpi durlaṅghyām imām ullaṅghya yaḥ kṣitim /	garuxasya-api durlaFGyAm imAm ullaFGya yaH kzitim /
   prabhāvabhūmir āyāti manuṣyaḥ sa kathaṃ bhavet // KAvk_64.309 //	praBAva-BUmiH AyAti manuzyaH sa kaTam Bavet // Ka-avc-_64.309 //
   guṇasaṃvādinī mūrtir bhavaty eva śaririṇām /	guNa-saMvAdinI mUrtiH Bavati eva SaririNAm /
   karoty ānanda saṃvādaṃ dyutir eva himatviṣaḥ // KAvk_64.310 //	karoti Ananda saMvAdam dyutiH eva hima-tvizaH // Ka-avc-_64.310 //
   jātyā kiṃ kriyate tāta svabhāvānuguṇā guṇāḥ /	jAtyA kim kriyate tAta svaBAva-anuguNAH guNAH /
   pūrṇendur amṛtasyandī kālakūṭasya sodaraḥ // KAvk_64.311 //	pUrNa-induH amRta-syandI kAlakUwasya sodaraH // Ka-avc-_64.311 //
   bhavanty antarguṇāḥ ke cic channadoṣās tathāpare /	Bavanti antarguNAH ke cit Canna-dozAH taTA-apare /
   aparīkṣya na kartavyā maṇīnāṃ mūlyalaṅghanā // KAvk_64.312 //	aparIkzya na kartavyA maNInAm mUlya-laFGanA // Ka-avc-_64.312 //
   śrutvaitat kinnarapatis tat tatheti vicintya ca /	SrutvA-etat kinnara-patiH tat taTA-iti vicintya ca /
   jāmātaraṃ samāhūya guṇajijñāsayābravīt // KAvk_64.313 //	jAmAtaram samAhUya guNa-jijQAsayA-bravIt // Ka-avc-_64.313 //
   tvayā kāntyā jitās tāvad ete kinnaradārakāḥ /	tvayA kAntyA jitAH tAvat ete kinnara-dArakAH /
   saṃdarśitaprabhāvas tu divyasaṃbandham arhasi // KAvk_64.314 //	saMdarSita-praBAvaH tu divya-saMbanDam arhasi // Ka-avc-_64.314 //
   atyāyataṃ śaravanaṃ kṛtvoddhṛtaśaraṃ kṣaṇāt /	atyAyatam Sara-vanam kRtvA-udDRta-Saram kzaNAt /
   vyuptam anyūnam uccitya punar dehi tilādhakam // KAvk_64.315 //	vyuptam anyUnam uccitya punar dehi tila-aDakam // Ka-avc-_64.315 //
   saṃdarśaya dhanurvede dṛḍhalakṣyādikauśalam /	saMdarSaya Danurvede dRXa-lakzya-Adi-kOSalam /
   tataḥ kīrtipatākeyaṃ tavāyattā manoharā // KAvk_64.316 //	tatas kIrti-patAkA-iyam tava-AyattA manoharA // Ka-avc-_64.316 //
   ity aśakye 'pi kauṭilyāt preritas tena karmaṇi /	iti aSakye api kOwilyAt preritaH tena karmaNi /
   sarvaṃ kāntānurāgeṇa kumāraḥ kartum udyayau // KAvk_64.317 //	sarvam kAnta-anurAgeNa kumAraH kartum udyayO // Ka-avc-_64.317 //
   mithyāśramakleśaphale pravṛttaṃ śarapāṭane /	miTyA-ASrama-kleSa-Pale pravRttam Sara-pAwane /
   taṃ vijñāya sahasrākṣaḥ pakṣapātād acintayat // KAvk_64.318 //	tam vijQAya sahasrAkzaH pakzapAtAt acintayat // Ka-avc-_64.318 //
   kiṃ bhādrakalpiko bodhisattvo 'yaṃ pārthivātmajaḥ /	kim BAdrakalpikaH boDisattvaH ayam pArTiva-AtmajaH /
   niyuktaḥ kinnarendreṇa niṣphale kleśakarmaṇi // KAvk_64.319 //	niyuktaH kinnarendreNa nizPale kleSa-karmaNi // Ka-avc-_64.319 //
   asyāsmin samayāyāse kāryaṃ sāhāyyakaṃ mayā /	asya-asmin samaya-AyAse kAryam sAhAyyakam mayA /
   iti saṃcintya śakro 'sya karmaniṣpattim ādadhe // KAvk_64.320 //	iti saMcintya SakraH asya karma-nizpattim AdaDe // Ka-avc-_64.320 //
   śatakratusamādiṣṭair yakṣaiḥ sūkararūpibhiḥ /	Satakratu-samAdizwEH yakzEH sUkara-rUpiBiH /
   utpāṭite śaravane same vyuptaṃ tilādhakam // KAvk_64.321 //	utpAwite Sara-vane same vyuptam tila-aDakam // Ka-avc-_64.321 //
   ekīkṛtaṃ samuccitya śakrasṛṣṭaiḥ pipīlakaiḥ /	ekIkRtam samuccitya Sakra-sRzwEH pipIlakEH /
   kumāraḥ kinnarendrāya vismitāya nyavedayat // KAvk_64.322 //	kumAraH kinnara-indrAya vismitAya nyavedayat // Ka-avc-_64.322 //
   sa saptakanakastambhān saptatālān balorjitaḥ /	sa sapta-kanaka-stamBAn sapta-tAlAn bala-UrjitaH /
   sūkarīcakrasaṃyuktān viddhvā niśitapattriṇā // KAvk_64.323 //	sUkarI-cakra-saMyuktAn vidDvA niSita-pattriNA // Ka-avc-_64.323 //
   śastrāstravikramakalāśilpaśaktim adarśayat /	Sastra-astra-vikrama-kalA-Silpa-Saktim adarSayat /
   yayāsya petur mukuṭe divyāḥ kusumavṛṣṭayaḥ // KAvk_64.324 //	yayA-asya petuH mukuwe divyAH kusuma-vRzwayaH // Ka-avc-_64.324 //
   vismito 'pi prabhāveṇa tasya kinnarabhūpatiḥ /	vismitaH api praBAveNa tasya kinnara-BUpatiH /
   punas tadvañcanāyaiva tāṃ tāṃ yuktim acintayat // KAvk_64.325 //	punar tad-vaQcanAya-eva tAm tAm yuktim acintayat // Ka-avc-_64.325 //
   dadhati vipulāścarye maunaṃ hasanti satāṃ stutau	daDati vipula-AScarye mOnam hasanti satAm stutO
   malinavadanāḥ kīrtyutkarṣe vrajanti vivāditām /	malina-vadanAH kIrti-utkarze vrajanti vivAditAm /
   api guṇaśatair nārādhyante viruddhadhiyaḥ paraṃ	api guNa-SatEH na-ArADyante virudDa-DiyaH param
   paraparibhavakṣobhārambhasthirābhiniveśinaḥ // KAvk_64.326 //	para-pariBava-kzoBa-AramBa-sTira-aBiniveSinaH // Ka-avc-_64.326 //
   sa tam ūce prabhāvo 'yaṃ divyaḥ prakaṭitas tvayā /	sa tam Uce praBAvaH ayam divyaH prakawitaH tvayA /
   prajñāprakarṣam adhunā saṃdarśayitum arhasi // KAvk_64.327 //	prajQA-prakarzam aDunA saMdarSayitum arhasi // Ka-avc-_64.327 //
   abhinnavarṇarūpāṇāṃ tulyābharaṇavāsasām /	aBinna-varNa-rUpANAm tulya-ABaraNa-vAsasAm /
   kinnarīṇāṃ sthitāṃ madhye gṛhāṇa nijavallabhām // KAvk_64.328 //	kinnarINAm sTitAm maDye gRhANa nija-vallaBAm // Ka-avc-_64.328 //
   ity uktas tena sa punaḥ kinnarīśatapañcakam /	iti uktaH tena sa punar kinnarI-Sata-paQcakam /
   tulyavarṇavayoveśaṃ dadarśāvyagram agrataḥ // KAvk_64.329 //	tulya-varNa-vayaH-veSam dadarSa-avyagram agratas // Ka-avc-_64.329 //
   tāsāṃ madhye parijñāya sa jagrāha manoharām /	tAsAm maDye parijQAya sa jagrAha manoharAm /
   vallarīvanasaṃcchannāṃ bhrṅgaś cūtalatām iva // KAvk_64.330 //	vallarI-vana-saMcCannAm BrFgaH cUta-latAm iva // Ka-avc-_64.330 //
   devo 'yam iti niścitya tatas taṃ kinnareśvaraḥ /	devaH ayam iti niScitya tatas tam kinnareSvaraH /
   tuṣṭas tasmai dadau divyaratnaiḥ saha manoharām // KAvk_64.331 //	tuzwaH tasmE dadO divya-ratnEH saha manoharAm // Ka-avc-_64.331 //
   ślāghyopabhogavibhavaiḥ pūjitas tena sādaram /	SlAGya-upaBoga-viBavEH pUjitaH tena sa-Adaram /
   jāyāsakhas tam āmantrya kumāraḥ svapuraṃ yayau // KAvk_64.332 //	jAyA-saKaH tam Amantrya kumAraH sva-puram yayO // Ka-avc-_64.332 //
   manoharāgragaṃ putraṃ prāptam ālokya bhūpatiḥ /	manohara-agra-gam putram prAptam Alokya BUpatiH /
   rākendudarśanodbhūtaḥ sudhāmbudhir ivābabhau // KAvk_64.333 //	rAkA-indu-darSana-udBUtaH suDA-ambuDiH iva-AbaBO // Ka-avc-_64.333 //
   putraṃ tataś caritacandrasitātapatre rājye 'bhiṣicya paritāpaharaṃ	putram tatas carita-candra-sitA-Atapatre rAjye aBizicya paritApa-haram
   prajānāṃ /	prajAnAm /
   saṃtoṣaśītalavivekasukhābhirāmāṃ chāyām asevata nṛpaḥ praśamadrumasya //	saMtoza-SItala-viveka-suKa-aBirAmAm CAyAm asevata nRpaH praSama-drumasya //
   KAvk_64.334 //	KAvc-_64.334 //
   prāptābhiṣekaṃ sudhanam prabhāte taṃ saptaratnāni pṛthupratāpam /	prApta-aBizekam suDanam praBAte tam sapta-ratnAni pRTu-pratApam /
   navaprabhāvaprabhubhāvabhītyā sevānivāsārtham ivopajagmuḥ // KAvk_64.335	nava-praBAva-praBu-BAva-BItyA sevA-nivAsa-arTam iva-upajagmuH // Ka-avc-_64.335
   sa bodhisattvaḥ sudhano 'ham eva yaśodharā sāpi manoharābhūt	sa boDisattvaH suDanaH aham eva yaSoDarA sA-api manoharA-aBUt
   tadviprayogavyasanānalārtiḥ kāmānubandhād iyatī mayāptā // KAvk_64.336 //	tad-viprayoga-vyasana-anala-ArtiH kAma-anubanDAt iyatI mayA-AptA // Ka-avc-_64.336 //
   tasmāt kāmaḥ kamalavadanānetraparyantavāsī	tasmAt kAmaH kamala-vadanA-netra-paryanta-vAsI
   varjyaḥ sadbhiḥ śamaṃrgavadhūbandhakeliḥ kirātaḥ /	varjyaH sadBiH SamaMrga-vaDU-banDa-keliH kirAtaH /
   sphūrjatpuṣpaprasarajarajaḥpuñjahālāhalāgrair	sPUrjat-puzpa-prasara-ja-rajaH-puQja-hAlAhala-agrEH-
   lokaḥ śokavyasanaviśikhair mohanair yena viddhaḥ // KAvk_64.337 //	lokaH Soka-vyasana-viSiKEH mohanEH yena vidDaH // Ka-avc-_64.337 //
   iti bhikṣugaṇaḥ svayaṃ jinena svakathāṃ tāṃ viniveditāṃ niśamya /	iti Bikzu-gaNaH svayam jinena sva-kaTAm tAm viniveditAm niSamya /
   sarasaṃ pṛthumūlam eva mene śataśākhasya manobhavam bhavasya //	sarasam pRTu-mUlam eva mene Sata-SAKasya manoBavam Bavasya //
   KAvk_64.338 //	KAvc-_64.338 //
   iti kṣemendraviracitāyāṃ bodhisattvāvadānakalpalatāyāṃ	iti kzema-indra-viracitAyAm boDisattva-avadAna-kalpa-latAyAm
   sudhanakinnaryavadānaṃ catuḥṣaṣṭitamaḥ pallavaḥ	suDana-kinnarya-vadAnam catuHzazwitamaH pallavaH
