   vīṇāśikhatantra	vINA-SiKa-tantra
   saptāhād ānayed vaśyaṃ % striyaṃ vā puruṣam api vā // VT_276 //	sapta-ahAt Anayet vaSyam % striyam vA puruzam api vA // VT_276 //
   mānuṣāsthimayaṃ kīlaṃ $ kṛtvā tu caturaṅgulam &	mAnuza-asTi-mayam kIlam $ kRtvA tu catur-aFgulam &
   kṣīravṛkṣaṃ bhage likhya % liṅgaṃ vā kīlayet tataḥ // VT_277 //	kzIravRkzam Bage liKya % liFgam vA kIlayet tatas // VT_277 //
   ṣaṇḍilas tu bhavet sādhya $ ārdrayogo na saṃśayaḥ &	zaNxilaH tu Bavet sADya $ Ardra-yogaH na saMSayaH &
   uddhṛtena bhaven mokṣaṃ % nātra kāryā vicāraṇā // VT_278 //	udDRtena Bavet mokzam % na-atra kAryA vicAraNAH // VT_278 //
   madhūkā śvetapadmaṃ ca $ rocanā nāgakeśaram &	maDUkA Svetapadmam ca $ rocanA nAgakeSaram &
   tagaraṃ caiva sūkṣmelam % añjanaṃ samabhāgikam // VT_279 //	tagaram ca-eva sUkzmelam % aQjanam sama-BAgikam // VT_279 //
   kanyayā piṣitaṃ kṛtvā $ yāgaṃ kṛtvā yathoditam &	kanyayA pizitam kRtvA $ yAgam kRtvA yaTA-uditam &
   sahasrāṣtādhikaṃ japtvā % japena yajane tataḥ // VT_280 //	sahasrAzta-aDikam japtvA % japena yajane tatas // VT_280 //
   sarvalokeṣu dṛśyante $ kāmadevasamo 'pi tat &	sarva-lokezu dRSyante $ kAmadeva-samaH api tat &
   vicareta mahīṃ kṛtsnāṃ % nātra kāryā vicāraṇā // VT_281 //	vicareta mahIm kRtsnAm % na-atra kAryA vicAraNAH // VT_281 //
   mañjiṣthā kunduruś caiva $ haridre dve tu pīṣayet &	maQjizTA kunduruH ca-eva $ haridre dve tu pIzayet &
   piṣtvā pūrvavidhānena % tato guhyaṃ pralepayet // VT_282 //	piztvA pUrva-viDAnena % tatas guhyam pralepayet // VT_282 //
   pravṛtte maithune kāle $ patir dāsaṃ kariṣyati &	pravRtte mETune kAle $ patiH dAsam karizyati &
   meṣalocanamūlaṃ tu % kambalyā kṣīrasādhitam // VT_283 //	meza-locana-mUlam tu % kambalyA kzIra-sADitam // VT_283 //
   śmaśāne sādhayen mantrī $ rātrau kāṣṭhais tadudbhavaiḥ &	SmaSAne sADayet mantrI $ rAtrO kAzWEH tad-udBavEH &
   kapālair guṇḍayed aṅgaṃ % raktavāsoparicchadam // VT_284 //	kapAlEH guNxayet aFgam % rakta-vAsa-uparicCadam // VT_284 //
   udvartano 'bhayo hy eṣa $ vajravat syāṅkuśopamaḥ &	udvartanaH aBayaH hi ezaH $ vajra-vat sya-aFkuSa-upamaH &
   bhakṣayed deśayet kaṃcit % kāmāṅkuśavinirgataḥ // VT_285 //	Bakzayet deSayet kaMcid % kAma-aFkuSa-vinirgataH // VT_285 //
   puruṣo vaśam āyāti $ strī vā madanagarvitā &	puruzaH vaSam AyAti $ strI vA madana-garvitA &
   vālmīkamṛttikāṃ gṛhya % balīvardaṃ tu kārayet // VT_286 //	vAlmIka-mRttikAm gRhya % balIvardam tu kArayet // VT_286 //
   kanyākartitasūtreṇa $ tasya nāsāṃ pravedhayet &	kanyA-kartita-sUtreNa $ tasya nAsAm praveDayet &
   athavā padmasūtreṇa % raktacandanalepitam // VT_287 //	aTavA padma-sUtreNa % raktacandana-lepitam // VT_287 //
   raktapuṣpaiḥ samabhyarcya $ sarvārṇavaṃ samānayet &	rakta-puzpEH samaByarcya $ sarva-arNavam samAnayet &
   sādhyasya vilikhen nāma % svaraktena vṛṣodare // VT_288 //	sADyasya viliKet nAma % sva-raktena vRzodare // VT_288 //
   śrīvṛkṣakotare sthāpya $ sādhyam evaṃ vaśīkuru &	SrI-vRkzakotare sTApya $ sADyam evam vaSIkuru &
   anenaiva mṛdā meṣaṃ % kārayen mantravit sadā // VT_289 //	anena-eva mRdA mezam % kArayet mantra-vid sadA // VT_289 //
   meṣasūtreṇa vai nāsāṃ $ vedhayet pūrvavac chuciḥ &	meza-sUtreNa vE na-AsAm $ veDayet pUrvavat SuciH &
   devīnām agrataḥ sthāpya % tasya nāsāṃ pracālayet // VT_290 //	devInAm agratas sTApya % tasya nAsAm pracAlayet // VT_290 //
   yaṃ yaṃ vijñāpayet kāmaṃ $ taṃ taṃ prāpnoti sādhakaḥ &	yam yam vijQApayet kAmam $ tam tam prApnoti sADakaH &
   ete yogavarā devi % mayā tava udāhṛtāḥ // VT_291 //	ete yoga-varAH devi % mayA tava udAhRtAH // VT_291 //
   varṇānām udare yāgaṃ $ sarvakāmaprasiddhidam &	varNAnAm udare yAgam $ sarva-kAma-prasidDi-dam &
   evam eva magarbhasthaṃ % māraṇe samprayojayet // VT_292 //	evam eva magarBa-sTam % mAraNe samprayojayet // VT_292 //
   gavāṃ rocanayā likhya $ evam eva prayojayet &	gavAm rocanayA liKya $ evam eva prayojayet &
   sodaremūkatāṃ kuryād % vāgīśam api mūkayet // VT_293 //	sa-udaremUka-tAm kuryAt % vAgISam api mUkayet // VT_293 //
   nit yam ākarṣayet proktam $ ākārodare pūjitā &	nit yam Akarzayet proktam $ AkAra-udare pUjitAH &
   mahāpuruṣavarastrīṇāṃ % japamānā tu kīrtanāt // VT_294 //	mahApuruza-vara-strINAm % japamAnA tu kIrtanAt // VT_294 //
   jñānāṅkuśagatā pūjā $ kṣipraṃ prāyeṣu vastuṣu &	jQAna-aFkuSa-gatA pUjA $ kzipram prAyezu vastuzu &
   unmaneṣv atha ghoreṣu % sākāreṇa tu sādhayet // VT_295 //	unmanezu aTa Gorezu % sa-AkAreNa tu sADayet // VT_295 //
   ekārodarayāgena $ bhavaty arthapradāyikā &	ekAra-udara-yAgena $ Bavati arTa-pradAyikA &
   vakāramadhyagā caiva % vaśīkaraṇakarmaṇi // VT_296 //	vakAra-maDya-gA ca-eva % vaSIkaraNa-karmaNi // VT_296 //
   dharmārthamokṣadā caiva $ puṣṭitejovivardhanī &	Darma-arTa-mokza-dA ca-eva $ puzwi-tejaH-vivarDanI &
   bhavati niyatā devi % haṃsamadhyeṣu pūjitam // VT_297 //	Bavati niyatAH devi % haMsa-maDyezu pUjitam // VT_297 //
   bhañjane yadi sainyānāṃ $ bhakārajathare sthitam &	BaQjane yadi sEnyAnAm $ BakAra-jaTare sTitam &
   bhavati niyatā kṣipraṃ % kṣemanābhigarīyasī // VT_298 //	Bavati niyatA kzipram % kzemanABi-garIyasI // VT_298 //
   māraṇe tu prayoktavyaṃ $ phatkārānte vyavasthitā &	mAraNe tu prayoktavyam $ PatkAra-ante vyavasTitAH &
   vidveṣaṃ tu prayacchanti % jakārajatharesthitā // VT_299 //	vidvezam tu prayacCanti % jakAra-jaTaresTitAH // VT_299 //
   śatrukulocchādaṃ kuryāt $ hūṃ phatkārānte vyavasthitā &	Satru-kula-ucCAdam kuryAt $ hUm PatkAra-ante vyavasTitAH &
   svalpaprāyeṣu kāryeṣu % yakārajatharodare // VT_300 //	su-alpa-prAyezu kAryezu % yakAra-jaTara-udare // VT_300 //
   dehanyāsaṃ punar vakṣye $ abhedyaṃ parameśvari &	deha-nyAsam punar vakzye $ aBedyam parameSvari &
   vinyasya karaṇān sākṣān % mahābhūteṣu pañcasu // VT_301 //	vinyasya karaNAn sAkzAn % mahABUtezu paQcasu // VT_301 //
   dehe tattvatrayaṃ nyasya $ prāṇāyāmapuraḥsaraḥ &	dehe tattva-trayam nyasya $ prANAyAma-puraHsaraH &
   śarīre vinyased devi % pūrvam uktakrameṇa tu // VT_302 //	SarIre vinyaset devi % pUrvam ukta-krameNa tu // VT_302 //
   māyayācchādayitvā tu $ aṅkuśena nirodhayet &	mAyayA-AcCAdayitvA tu $ aFkuSena niroDayet &
   yoniṃ baddhvā tataḥ paścāt % sādhakaḥ susamāhitaḥ // VT_303 //	yonim badDvA tatas paScAt % sADakaH su-samAhitaH // VT_303 //
   svadehe namasā mantrī $ kalpoktena tu karmaṇā &	sva-dehe namasA mantrI $ kalpa-uktena tu karmaNA &
   kuryāt sarvāṇi kāryāṇi % tataḥ siddhir na saṃśayaḥ // VT_304 //	kuryAt sarvANi kAryANi % tatas sidDiH na saMSayaH // VT_304 //
   nayottarāditantreṣu $ kalpoktaṃ karma kārayet &	naya-uttara-Adi-tantrezu $ kalpa-uktam karma kArayet &
   athavādaśalakṣāṇi % japed yas tu vidhānataḥ // VT_305 //	aTavA-daSa-lakzANi % japet yaH tu viDAnataH // VT_305 //
   tataḥ sabhrātṛkā devyaḥ $ sādhakasyāgrataḥ sthitāḥ &	tatas sa-BrAtRkAH devyaH $ sADakasya-agratas sTitAH &
   varam iṣtaṃ prayacchanti % trayātītaṃ padaṃ hi yat // VT_306 //	varam iztam prayacCanti % traya-atItam padam hi yat // VT_306 //
   bījapañcakam etad dhi $ na deyaṃ yasya kasyacit &	bIja-paQcakam etat Di $ na deyam yasya kasyacid &
   vargāntanirguṇākrāntaṃ % samyag vai bījapañcakam // VT_307 //	varga-anta-nirguNa-AkrAntam % samyak vE bIja-paQcakam // VT_307 //
   evam eva purā kṛtvā $ jñātvaivaṃ hi vidhānataḥ &	evam eva purA kRtvA $ jQAtvA-evam hi viDAnataH &
   bījāni bījayet prājñaḥ % tataḥ karma samārabhet // VT_308 //	bIjAni bIjayet prAjQaH % tatas karma samAraBet // VT_308 //
   evaṃ vidhānavid yas tu $ hīno vā sarvalakṣaṇaiḥ &	evam viDAna-vid yaH tu $ hInaH vA sarva-lakzaNEH &
   api pātakasaṃyuktaḥ % sa siddhiphalabhāg bhavet // VT_309 //	api pAtaka-saMyuktaH % sa sidDi-Pala-BAj Bavet // VT_309 //
   vargāntanirguṇākhyasya $ asyāpi paramaṃ smṛtam &	varga-anta-nirguNa-AKyasya $ asya-api paramam smRtam &
   hṛdayaṃ devadevīnām % ekākṣaram ataḥ param // VT_310 //	hRdayam deva-devInAm % eka-akzaram atas param // VT_310 //
   yatra sabhrātṛkā devyaḥ $ kūṭadehā vyavasthitāḥ &	yatra sa-BrAtRkAH devyaH $ kUwa-dehAH vyavasTitAH &
   nātaḥ parataro mantras % triṣu lokeṣu vidyate // VT_311 //	na-atas parataraH mantraH % trizu lokezu vidyate // VT_311 //
   gopitavyaṃ prayatnena $ tantrasāraṃ sudurlabham &	gopitavyam prayatnena $ tantra-sAram su-durlaBam &
   mamāpi gopitaṃ devi % sarvajñenāpi sarvadā // VT_312 //	mama-api gopitam devi % sarvajQena-api sarvadA // VT_312 //
   niścayaṃ mama baddhvānta ? $ yac ca devena bhāṣitam &	niScayam mama badDvA-ante ? $ yat ca devena BAzitam &
   tvayāpi caivam evaṃ hi % rakṣaṇīyaṃ prayatnataḥ // VT_313 //	tvayA-api ca-evam evam hi % rakzaNIyam prayatnataH // VT_313 //
   cintāratnam idaṃ guhyaṃ $ vratasādhanavarjitam &	cintA-ratnam idam guhyam $ vrata-sADana-varjitam &
   anusmaraṇāmātreṇa % samyagjñāya krameṇa tu // VT_314 //	anusmaraNa-amAtreNa % samyak-jQAya krameNa tu // VT_314 //
   varṇayāgakrameṇaiva $ pūrvoktena yathākramam &	varNa-yAga-krameNa-eva $ pUrva-uktena yaTAkramam &
   sidhyate nātra saṃdehaḥ % sarvakāmas tu mantriṇām // VT_315 //	siDyate na-atra saMdehaH % sarva-kAmaH tu mantriNAm // VT_315 //
   śāntikaṃ pauṣtikaṃ caiva $ vidveṣoccāṭanaṃ tathā &	SAntikam pOztikam ca-eva $ vidveza-uccAwanam taTA &
   vaśyākarṣas tathā nāśaṃ % sarvaṃ sidhyati sādhake // VT_316 //	vaSya-AkarzaH taTA nASam % sarvam siDyati sADake // VT_316 //
   śukreṇa sarvatobhadre $ mahāsammohane tathā &	SukreNa sarvatoBadre $ mahA-sammohane taTA &
   nirmathya kathito devi % dadhno ghṛtam ivoddhṛtam // VT_317 //	nirmaTya kaTitaH devi % daDnaH GRtam iva-udDRtam // VT_317 //
   parīkṣya guruṇā śiṣyaṃ $ gurudevāgnipūjakam &	parIkzya guruNA Sizyam $ guru-deva-agni-pUjakam &
   tasya deyam idaṃ tantraṃ % na ca nāstikanindake // VT_318 //	tasya deyam idam tantram % na ca nAstika-nindake // VT_318 //
   na dīkṣitā na sidhyanti $ sthitāḥ kalpaśatair api &	na dIkzitAH na siDyanti $ sTitAH kalpa-SatEH api &
   svayaṃgṛhītamantrāś ca % nāstikā vedanindakāḥ // VT_319 //	svayaMgRhIta-mantrAH ca % nAstikAH veda-nindakAH // VT_319 //
   samayebhyaḥ paribhraṣtās $ tathā tantravidūṣakāḥ &	samayeByaH pariBraztAH $ taTA tantra-vidUzakAH &
   gurūṇāṃ viheṭhanaparās % tantrasāravilopakāḥ // VT_320 //	gurUNAm viheWana-parAH % tantra-sAra-vilopakAH // VT_320 //
   yoginībhiḥ sadā bhraṣṭāḥ $ kathyante dharmalopakāḥ &	yoginIBiH sadA BrazwAH $ kaTyante Darma-lopakAH &
   iti tathyaṃ mahādevi % surāsuranamaskṛtam // VT_321 //	iti taTyam mahAdevi % sura-asura-namaskRtam // VT_321 //
   sāram etad dhi tantrasya $ tasya tatsthaṃ mahānaye &	sAram etat Di tantrasya $ tasya tat-sTam mahAnaye &
   ājñā bhagavataś caiva % śivasya paramātmanaḥ // VT_322 //	AjQA BagavataH ca-eva % Sivasya paramAtmanaH // VT_322 //
   śrīdevy uvāca	SrI-devI uvAca
   śrutaṃ mayā mahādeva $ vīṇāsadbhāvam uttamam &	Srutam mayA mahAdeva $ vINA-sadBAvam uttamam &
   tantraṃ vīṇāśikhaṃ nāma % durlabhaṃ tridaśeṣv api // VT_323 //	tantram vINASiKam nAma % durlaBam tridaSezu api // VT_323 //
   vargāntanirguṇākhyasya $ asyāpi paramaṃ ca yat &	varga-anta-nirguNa-AKyasya $ asya-api paramam ca yat &
   ekākṣaraṃ paraṃ guhyaṃ % bhuktimuktipradāyakam // VT_324 //	eka-akzaram param guhyam % Bukti-mukti-pradAyakam // VT_324 //
   gopitaṃ tu tvayā deva $ sārabhūtaṃ maheśvara &	gopitam tu tvayA deva $ sAra-BUtam maheSvaraH &
   tapasā durdharāllabdhaṃ % yac ca jñānaṃ śivodbhavam // VT_325 //	tapasA durDarAt-labDam % yat ca jQAnam Siva-udBavam // VT_325 //
   prasādaṃ kuru deveśa $ yatra siddhir dhruvaṃ sthitā &	prasAdam kuru deveSa $ yatra sidDiH Druvam sTitA &
   prāpte kaliyuge ghore % saṃkate bahupātake // VT_326 //	prApte kali-yuge Gore % saMkate bahu-pAtake // VT_326 //
   sarvasrotaḥprapannānām $ āśu siddhir yathā nṛṇām &	sarva-srotaH-prapannAnAm $ ASu sidDiH yaTA nRNAm &
   prasādaṃ kuru deveśa % kaḥ parampārate mama // VT_327 //	prasAdam kuru deveSa % kaH parampArate mama // VT_327 //
   alpaprajñāḥ kumatayo $ bahuvyākulacetasā &	alpa-prajQAH kumatayaH $ bahu-vyAkula-cetasA &
   tantraṃ naivādhigacchanti % na caiva bahudhā śrutam // VT_328 //	tantram na-eva-aDigacCanti % na ca-eva bahuDA Srutam // VT_328 //
   iti deva tvayā pūrvaṃ $ kathitaṃ guruṇātmanā &	iti deva tvayA pUrvam $ kaTitam guruNA-AtmanA &
   asmākam api saṃkṣepāt % kathayasva maheśvara // VT_329 //	asmAkam api saMkzepAt % kaTayasva maheSvaraH // VT_329 //
   śrī īśvara uvāca	SrI ISvaraH uvAca
   aho svabhāvaprakṛte $ kimpraśnāsi punaḥ 'punaḥ &	aho svaBAva-prakRte $ kimpraSnAsi punar apunar &
   yan mayā kathitaṃ pūrvaṃ % tad gṛhāṇa subhāṣitam // VT_330 //	yat mayA kaTitam pUrvam % tat gRhANa suBAzitam // VT_330 //
   śrīdevy uvāca	SrI-devI uvAca
   na bhūyaḥ paripṛcchāmi $ praśnam ekā garīyasī &	na BUyas paripRcCAmi $ praSnam ekA garIyasI &
   vāram ekaṃ kuru vyaktaṃ % prasādaṃ sūkṣmagocaram // VT_331 //	vAram ekam kuru vyaktam % prasAdam sUkzma-gocaram // VT_331 //
   śrī īśvara uvāca	SrI ISvaraH uvAca
   śṛṇu devi prayatnena $ sūkṣmāt sūkṣmataraṃ mahat &	SRNu devi prayatnena $ sUkzmAt sUkzmataram mahat &
   prayogaṃ sarvatantrāṇām % uttaraṃ sarvasiddhaye // VT_332 //	prayogam sarva-tantrANAm % uttaram sarva-sidDaye // VT_332 //
   yena saṃsmṛtamātreṇa $ siddhir hastatale sthitā &	yena saMsmRta-mAtreNa $ sidDiH hasta-tale sTitAH &
   nāyāso na vrataś caiva % na tapaś ca maheśvari // VT_333 //	na-AyAsaH na vrataH ca-eva % na tapaH ca maheSvari // VT_333 //
   nāgnikarma na caivārcā $ smaraṇāt siddhidaḥ smṛtaḥ &	na-agni-karma na ca-eva-arcA $ smaraNAt sidDi-daH smRtaH &
   śṛṇuṣvaikākṣaraṃ devi % sadbhāvaparasaṃhitam // VT_334 //	SRNuzva-eka-akzaram devi % sadBAva-para-saMhitam // VT_334 //
   śarīraṃ tattvarājānaṃ $ jātavedasi saṃsthitam &	SarIram tattva-rAjAnam $ jAtavedasi saMsTitam &
   śikhāyāṃ saṃsthito devo % bindudevī jayā smṛtā // VT_335 //	SiKAyAm saMsTitaH devaH % bindudevI jayA smRtA // VT_335 //
   yaścātrordhvaṃ bhaved devi $ saukaraḥ parikīrtitaḥ &	yaH-ca-atra-UrDvam Bavet devi $ sOkaraH parikIrtitaH &
   tantudevaṃ vijānīyān % makāraṃ bindudevatām // VT_336 //	tantudevam vijAnIyAn % makAram bindudevatAm // VT_336 //
   evaṃ tu pañcadhā devi $ tattvarājaṃ tu kīrtitam &	evam tu paQcaDA devi $ tattva-rAjam tu kIrtitam &
   caturviṃśatikoṣthe tu % yo mantranāyakaḥ smṛtaḥ // VT_337 //	caturviMSati-kozTe tu % yaH mantra-nAyakaH smRtaH // VT_337 //
   tattvarāja iti khyāta $ ūnaviṃśaty adhaḥ smṛtaḥ &	tattva-rAjaH iti KyAtaH $ UnaviMSati aDas smRtaH &
   viṃśakena svareṇaiva % bindumūrdhnā tu pīḍitam // VT_338 //	viMSakena svareNa-eva % bindu-mUrDnA tu pIxitam // VT_338 //
   eṣa ekākṣaraḥ proktas $ tvatpriyārthaṃ varānane &	ezaH eka-akzaraH proktaH $ tvad-priya-arTam varAnane &
   suṣiraṃ tattvarājānaṃ % jātavedasi saṃsthitam // VT_339 //	suziram tattva-rAjAnam % jAtavedasi saMsTitam // VT_339 //
   viṣṇor upari dīptena $ japel lakṣatrayaṃ budhaḥ &	vizNoH upari dIptena $ japet lakza-trayam buDaH &
   ākarṣayed drumāṇy eṣa % mṛgapakṣisarīsṛpān // VT_340 //	Akarzayet drumANi ezaH % mRga-pakzi-sarIsRpAn // VT_340 //
   mānuṣāṇāṃ tu kā cintā $ ākarṣaṇavidhiṃ prati &	mAnuzANAm tu kA cintA $ AkarzaNa-viDim prati &
   ekādaśamaḥ saṃyuktas % tattvarājena śobhane // VT_341 //	ekAdaSamaH saMyuktaH % tattva-rAjena SoBane // VT_341 //
   śirasā bindubhinnena $ hṛdi caiṣa nigadyate &	SirasA bindu-Binnena $ hRdi ca-eza nigadyate &
   saptaviṃśa śiraḥ proktaṃ % triṃśamas tu śikhā bhavet // VT_342 //	saptaviMSa SiraH proktam % triMSamaH tu SiKA Bavet // VT_342 //
   ūnacatvāriṃśatir devi $ tattvo 'yaṃ kavacaḥ smṛtaḥ &	UnacatvAriMSatiH devi $ tattvaH ayam kavacaH smRtaH &
   ṣoḍaśasvarasaṃyuktam % etad astraṃ prakīrtitam // VT_343 //	zoxaSa-svara-saMyuktam % etat astram prakIrtitam // VT_343 //
   netraṃ tu kathitaṃ devi $ viṃśatyakṣarayojitam &	netram tu kaTitam devi $ viMSati-akzara-yojitam &
   eṣa ekākṣaro devi % ṣaḍaṅgaḥ samudāhṛtaḥ // VT_344 //	ezaH eka-akzaraH devi % zaxaFgaH samudAhRtaH // VT_344 //
   haṃso māyāyukto devi $ nārācāstravidarbhitaḥ &	haMsaH mAyA-yuktaH devi $ nArAca-astra-vidarBitaH &
   savisarganayapadaṃ bījāntasthaṃ(?) % ū ī siddhikarī nṛṇām(?) // VT_345 //	sa-visarga-naya-padam bIja-anta-sTaM(?) % U I sidDi-karI nRNAm(?) // VT_345 //
   ha ra tra vṛddhiṃ karoti $ .... .... &	ha ra tra vRdDim karoti $ .... .... &
   māyāṅkuśanirodhās te % sarvamantragaṇādayaḥ // VT_346 //	mAyA-aFkuSa-niroDAH te % sarva-mantra-gaNa-AdayaH // VT_346 //
   kramaśo yojayen mantri $ yadīcched dīrgham ātmani &	kramaSas yojayet mantri $ yadi-icCet dIrGam Atmani &
   sarvam etat parityajya % kuryān mantraparigraham // VT_347 //	sarvam etat parityajya % kuryAt mantra-parigraham // VT_347 //
   ātmātīndriyādhārāṇāṃ $ kṛtvā kartavyaṃ muhur muhuḥ &	AtmA-atIndriya-ADArANAm $ kRtvA kartavyam muhur muhur &
   padārthavidhisaṃyuktaṃ % yan mayā gaditaṃ purā // VT_348 //	padArTa-viDi-saMyuktam % yat mayA gaditam purA // VT_348 //
   tad anena prayogeṇa $ kartavyaṃ siddhim icchatā &	tat anena prayogeNa $ kartavyam sidDim icCatA &
   dhyāyet sindūrasadṛśaṃ % vaśyākarṣaṇakarmaṇi // VT_349 //	DyAyet sindUra-sadRSam % vaSya-AkarzaNa-karmaNi // VT_349 //
   māraṇe kṛṣṇavarṇaṃ tu $ vidveṣe vāmarūpakam &	mAraNe kRzNa-varNam tu $ vidveze vAma-rUpakam &
   uccāte dhūmravarṇaṃ tu % śvetaṃ caiva puṣṭyarthinā // VT_350 //	uccAte DUmra-varNam tu % Svetam ca-eva puzwi-arTinA // VT_350 //
   mayūragrīvasadṛśaṃ $ stambhane cintayet sadā &	mayUra-grIva-sadRSam $ stamBane cintayet sadA &
   sarvavarṇadharaṃ caiva % sarvakāmikam eva ca // VT_351 //	sarva-varNa-Daram ca-eva % sarva-kAmikam eva ca // VT_351 //
   sarvendriyāṇāṃ kurvīta $ upahāre mahādhipe &	sarva-indriyANAm kurvIta $ upahAre mahA-aDipe &
   hṛtpadmakarṇikordhvaṃ tu % suṣiraṃ tatra cintayet // VT_352 //	hRd-padma-karNikA-UrDvam tu % suziram tatra cintayet // VT_352 //
   sphuliṅgaṃ karṇikārūpaṃ $ nirdhūmatejarūpiṇam &	sPuliFgam karNikA-rUpam $ nirDUma-teja-rUpiNam &
   dhūmajvālāvinirmuktaṃ % sūryakoṭisamaprabham // VT_353 //	DUma-jvAlA-vinirmuktam % sUrya-kowi-sama-praBam // VT_353 //
   tasyordhve tu śikhā sūkṣmā $ nirmalā sphātikopamā &	tasya-UrDve tu SiKA sUkzmA $ nirmalA sPAtika-upamA &
   nityaṃ sā sevyate yuktair % yogibhir niṣkalā parā // VT_354 //	nityam sA sevyate yuktEH % yogiBiH nizkalA parA // VT_354 //
   ūrṇātantusamākārā $ ūrdhvasrotā nirupamā &	UrNA-tantu-sama-AkArA $ UrDvasrotAH nirupamA &
   tatra madhye gataṃ paśyed % devyā guhyottarambhavā // VT_355 //	tatra maDye gatam paSyet % devyA guhya-uttaramBavAH // VT_355 //
   vālāgraśatabhāgākhyā- $ vīṇādhārāsusaṃsthitā &	vAla-agra-Sata-BAga-AKyA $ vINA-ADArA-su-saMsTitA &
   dhyāyeta nityaṃ yogīndraḥ % sūkṣmaguhyasamudbhavām // VT_356 //	DyAyeta nityam yogi-indraH % sUkzma-guhya-samudBavAm // VT_356 //
   kṛtvā pūrvaṃ tu vinyāsaṃ $ sakalābāhyasaṃsthitam &	kRtvA pUrvam tu vinyAsam $ sakalA-bAhya-saMsTitam &
   evaṃ varṇavibhāgaṃ tu % jñātvā siddhim avāpnuyāt // VT_357 //	evam varNa-viBAgam tu % jQAtvA sidDim avApnuyAt // VT_357 //
   vaśyākarṣaṇakarmāṇi $ vācayā sa kariṣyati &	vaSya-AkarzaNa-karmANi $ vAcayA sa karizyati &
   vīṇāśikhāyāḥ sarvasvaṃ % cintāratnam ivāparam // VT_358 //	vINA-SiKAyAH sarva-svam % cintA-ratnam iva-aparam // VT_358 //
   etad bījavaraṃ prāpya $ yathepsasi tathā kuru &	etat bIjavaram prApya $ yaTA-Ipsasi taTA kuru &
   ājñā bhagavataś caiṣā % sarvadāvyabhicāriṇī // VT_359 //	AjQA BagavataH ca-ezA % sarva-dAvyaBicAriNI // VT_359 //
   dhyātavyā sā prayatnena $ yadīcchet siddhim ātmanaḥ &	DyAtavyA sA prayatnena $ yadi-icCet sidDim AtmanaH &
   yajanaṃ yājanaṃ caiva % saṃyogaṃ ca layaṃ tathā // VT_360 //	yajanam yAjanam ca-eva % saMyogam ca layam taTA // VT_360 //
   samayākṣarabījaṃ ca $ akṣarākṣarayojitam &	samaya-akzara-bIjam ca $ akzara-akzara-yojitam &
   rakṣaṇīyaṃ tvayā bhadre % prayatnena suniścalam // VT_361 //	rakzaNIyam tvayA Badre % prayatnena su-niScalam // VT_361 //
   etad guhyaṃ samākhyātaṃ $ tava snehād vicakṣaṇi &	etat guhyam samAKyAtam $ tava snehAt vicakzaNi &
   etaj jñātvā tu mantrajñaḥ % śivasāyujyatāṃ vrajet // VT_362 //	etat jQAtvA tu mantra-jQaH % Siva-sAyujya-tAm vrajet // VT_362 //
   (em: #sāyojyatāṃ Ed)	(em: #sAyojya-tAm Ed)
   evaṃ vilayatāṃ yāti $ vidhinānena yoṣitām &	evam vilaya-tAm yAti $ viDinA-anena yozitAm &
   amalīkṛtadehas tu % vidhinānena sādhakaḥ // VT_363 //	amalIkRta-dehaH tu % viDinA-anena sADakaH // VT_363 //
   amalīkṛtaṃ tanmantraṃ $ hṛccakre viniyojayet &	amalIkRtam tat-mantram $ hRd-cakre viniyojayet &
   somamaṇḍalamadhyasthaṃ % dhyāyet kundendusaprabham // VT_364 //	soma-maNxala-maDya-sTam % DyAyet kunda-indu-sapraBam // VT_364 //
   amṛtena tu siñcanti $ lāntīsagatilitena ? tu &	amRtena tu siQcanti $ lAntI-sagatilitena ? tu &
   evam āpyāyito mantraḥ % sarvasiddhiprado bhavet // VT_365 //	evam ApyAyitaH mantraH % sarva-sidDi-pradaH Bavet // VT_365 //
   evam āpyāyanaṃ kṛtvā $ bindumadhyevicakṣaṇaḥ &	evam ApyAyanam kRtvA $ bindu-maDyevicakzaNaH &
   aṣṭottarasahasraṃ tu % mantrāṇāṃ mantravij japet // VT_366 //	azwottarasahasram tu % mantrANAm mantra-vid japet // VT_366 //
   paramīkaraṇaṃ hy etan $ mantrasyāpyāyanaṃ smṛtam &	paramIkaraNam hi etat $ mantrasya-ApyAyanam smRtam &
   śivībhūtas tu mantro vai % sādhayed akhilaṃ jagat // VT_367 //	SivIBUtaH tu mantraH vE % sADayet aKilam jagat // VT_367 //
   sūryacakraniruddhaṃ tu $ śirasi samavasthitam &	sUrya-cakra-nirudDam tu $ Sirasi samavasTitam &
   japet hūṃkārasahitaṃ % bodhanaṃ parikīrtitam // VT_368 //	japet hUMkAra-sahitam % boDanam parikIrtitam // VT_368 //
   ādityacakramadhyasthaṃ $ vahninā saṃnirodhitam &	Aditya-cakra-maDya-sTam $ vahninA saMniroDitam &
   nirdahate mantraṃ devi % yadā karma na kurvati // VT_369 //	nirdahate mantram devi % yadA karma na kurvati // VT_369 //
   śikhāmadhyagataṃ dhyātvā $ sahasraṃ parivartayet &	SiKA-maDya-gatam DyAtvA $ sahasram parivartayet &
   mantram evaṃ samuddiṣtaṃ % guhyaśaktipradīpanam // VT_370 //	mantram evam samuddiztam % guhya-Sakti-pradIpanam // VT_370 //
