   (Gv 1)	(Gu 1)
   ratnāni pratilabdhāni / tasyopariprāsādatalagatasya strīgaṇaparivṛtasya	ratnAni pratilabDAni / tasya upari prAsAda tala gatasya strI gaNa parivRtasya
   purastādapratihatavegaṃ nāma śatasahasrāraṃ sarvaratnasamalaṃkṛtaṃ divyaṃ	purastAt apratihata vegam nAma Sata sahasra Aram sarva ratna samalaMkRtam divyam
   jāmbūnadasuvarṇamayaṃ samantaprabhaṃ sarvākāravaropetaṃ mahācakraratnaṃ	jAmbUnada suvarNa mayam samanta praBam sarva AkAra vara upetam mahA cakra ratnam
   prādurabhūt / vajraratnagiritejaśca nāma mahāhastiratnaṃ prādurabhūt /	prAduraBUt / vajra ratna giritejaH ca nAma mahA hasti ratnam prAduraBUt /
   nīlagiryanilavegaṃ ca nāma aśvaratnaṃ prādurabhavat /	nIlagiri anila vegam ca nAma aSva ratnam prAduraBavat /
   ādityagarbhaprabhamegharājaṃ ca nāma mahāmaṇiratnaṃ prādurabhavat / sā ca	Aditya garBa praBa meGa rAjam ca nAma mahA maNi ratnam prAduraBavat / sA ca
   sucalitaratiprabhāsaśrī dārikā strīratnaṃ prādurabhavat /	su calita rati praBAsa SrI dArikA strI ratnam prAduraBavat /
   prabhūtaghanaskandhaṃ ca nāma gṛhapatiratnaṃ prādurabhavat / vimalanetraṃ	praBUta Gana skanDam ca nAma gRhapati ratnam prAduraBavat / vimala netram
   ca nāma pariṇāyakaratnaṃ saptamaṃ prādurabhavat / sa saptaratnasamanvāgato	ca nAma pariNAyaka ratnam saptamam prAduraBavat / sa sapta ratna samanvAgataH 
   rājābhavaccakravartī caturdvīpeśvaro dhārmiko dharmarājo vijitāvī	rAjA aBavat cakravartI catur dvIpa ISvaraH DArmikaH DarmarAjaH vijita AvI
   janapadasthāmavīryaprāptaḥ / pūrṇaṃ khalu punarasya sahasraṃ	janapada sTAma vIrya prAptaH / pUrNam Kalu punar asya sahasram
   putrāṇāmabhūcchūrāṇāṃ vīrāṇāṃ varāṅgarūpiṇāṃ parasainyapramardakānām / sa	putrANAm aBUt SUrANAm vIrANAm vara aFga rUpiNAm para sEnya pramardakAnAm / sa
   (Gv 329) imāṃ mahāpṛthivīṃ	(Gu 329) imAm mahA pRTivIm
   sasāgaragiriparyantāmakhilāmakaṇṭakāmanītikāmanupadravāmṛddhāṃ sphītāṃ	sa sAgara giri paryantAm aKila Ama kaNwakAmanItikAm anupadravAmRdDAm sPItAm
   kṣemāṃ subhikṣāṃ ramaṇīyāmākīrṇabahujanamanuṣyāṃ dharmeṇābhinirjitya	kzemAm suBikzAm ramaNIyAm AkIrNa bahu jana manuzyAm DarmeNa aBinirjitya
   adhyāvasati sma //	aDyAvasati sma //
   sa tasmin jambudvīpe caturaśītirājadhānīsahasreṣu ekaikasyāṃ rājadhānyāṃ	sa tasmin jambudvIpe caturaSIti rAjaDAnI sahasrezu ekEkasyAm rAjaDAnyAm
   pañca vihāraśatāni kārayāmāsa sarvākāravaropetāni	paQca vihAra SatAni kArayAmAsa sarva AkAra vara upetAni
   sarvopabhogaparibhogopacārasaṃpannāni	sarva upaBoga pariBoga upacAra saMpannAni
   sarvodyānaprāsādacaṃkramaniryāṇasukhaparibhogyavanarājīvibhūṣitāni /	sarva udyAna prAsAda caMkrama niryANa suKa pariBogya vana rAjI viBUzitAni /
   ekaikasmiṃśca vihāre tathāgatacaityaṃ kārayāmāsa	ekEkasmin= ca vihAre taTAgata cEtyam kArayAmAsa
   vipulodviddhamatyantarānekākāraratnavyūhaṃ sarvamaṇiratnarājavicitram /	vipula udvidDam atyantara aneka AkAra ratna vyUham sarva maNi ratna rAja vicitram /
   sarvāsu ca tāsu rājadhānīṣu taṃ bhagavantaṃ sūryagātrapravaraṃ tathāgataṃ	sarvAsu ca tAsu rAjaDAnIzu tam Bagavantam sUrya gAtra pravaram taTAgatam
   saparivāramupanimantrayāmāsa nagarapraveśāya / sarvāsu rājadhānīṣu taṃ	sa parivAram upanimantrayAmAsa nagara praveSAya / sarvAsu rAjaDAnIzu tam
   tathāgataṃ sarvākārayā acintyayā tathāgatapūjayā pūjayan praveśayāmāsa /	taTAgatam sarva AkArayA acintyayA taTAgata pUjayA pUjayan praveSayAmAsa /
   sa buddhanagarapraveśaprātihāryavikurvitena apramāṇānāṃ sattvānāṃ	sa budDa nagara praveSa prAtihArya vikurvitena apramANAnAm sattvAnAm
   kuśalamūlāni saṃjanayamāsa / tatrāprasannacittāḥ sattvāḥ prasādaṃ	kuSala mUlAni saMjanayamAsa / tatra aprasanna cittAH sattvAH prasAdam
   pratyalabhanta / prasannacittāḥ sattvā buddhadarśanaprītivegān	pratyalaBanta / prasanna cittAH sattvAH budDa darSana prIti vegAn
   vivardhayāmāsuḥ / prītivegavivardhitāḥ sattvā bodhyāśayaviśuddhiṃ	vivarDayAmAsuH / prIti vega vivarDitAH sattvAH boDya ASaya viSudDim
   pratyalabhanta / bodhyāśayaviśuddhāḥ sattvāḥ	pratyalaBanta / boDya ASaya viSudDAH sattvAH
   mahākaruṇācetanāmutpādayāmāsuḥ / sattvahitapratipannāḥ sattvāḥ	mahA karuNa acetanAm utpAdayAmAsuH / sattva hita pratipannAH sattvAH
   sarvabuddhadharmaparyeṣṭyabhiyuktā abhūvan / buddhadharmanayavidhijñāḥ	sarva budDa Darma paryezwi aBiyuktAH aBUvan / budDa Darma naya viDi jQAH
   sattvāḥ sarvadharmasvabhāvanidhyaptaye cittamabhinirṇāmayāmāsuḥ /	sattvAH sarva Darma svaBAva niDi aptaye cittam aBinirNAmayAmAsuH /
   dharmasamatāvatīrṇāḥ sattvāḥ tryadhvasamatāvatārāya	Darma samatA avatIrNAH sattvAH tri aDva samatA avatArAya
   cittamabhinirṇāmayāmāsuḥ / tryadhvajñānāvabhāsapratilabdhāḥ sattvāḥ	cittam aBinirNAmayAmAsuH / tri aDva jQAna avaBAsa pratilabDAH sattvAH
   sarvabuddhaparaṃparāvijñaptaye jñānālokamavakrāmati sma /	sarva budDa paraMpara avijQaptaye jQAna Alokam avakrAmati sma /
   vicitratathāgatavijñaptyavakrāntāḥ sattvāḥ sarvajagatsaṃgrahāya	vicitra taTAgata vijQapti avakrAntAH sattvAH sarva jagat saMgrahAya
   cittamabhinirṇāmayāmāsuḥ / sarvajagatsaṃgrahaprayuktāḥ sattvā	cittam aBinirNAmayAmAsuH / sarva jagat saMgraha prayuktAH sattvA
   bodhisattvamārgaviśuddhaye praṇidhānamutpādayāmāsuḥ / mārgasamatāvatīrṇāḥ	boDisattva mArga viSudDaye praNiDAnam utpAdayAmAsuH / mArga samatA avatIrNAH
   sattvāḥ sarvatathāgatadharmacakrābhinirhārāya jñānālokamutpādayāmāsuḥ /	sattvAH sarva taTAgata Darma cakra aBinirhArAya jQAna Alokam utpAdayAmAsuH /
   dharmasāgaravinayābhimukhā sattvāḥ sarvakṣetrajālasvakāyaspharaṇatāyai	Darma sAgara vinaya aBimuKA sattvAH sarva kzetra jAla sva kAya sParaNa tAyE
   cittamabhinirṇāmayāmāsuḥ / kṣetrasamatāvatīrṇāḥ sattvāḥ	cittam aBinirNAmayAmAsuH / kzetra samatA avatIrNAH sattvAH
   sarvasattvendriyasamudraparijñāyai praṇidhānamakārṣuḥ /	sarva sattva indriya samudra parijQAyE praNiDAnam akArzuH /
   sarvajagadindriyayathādhimuktivicāraprayuktāḥ sattvāḥ sarvajñatādhigamāya	sarva jagat indriya yaTA aDimukti vicAra prayuktAH sattvAH sarvajQa tA aDigamAya
   adhyāśayaṃ viśodhayāmāsuḥ / ityevaṃrūpāṇāṃ	aDyASayam viSoDayAmAsuH / iti evaMrUpANAm
   sattvānāmimāmevaṃrūpārthasiddhiṃ saṃpraveśya tejodhipatī rājā sarvāsu	sattvAnAm imAm evaMrUpa arTa sidDim saMpraveSya tejoDipatiH rAjA sarvAsu
   rājadhānīṣu taṃ sūryagātrapravaraṃ tathāgataṃ praveśayāmāsa acintyena	rAjaDAnIzu tam sUrya gAtra pravaram taTAgatam praveSayAmAsa acintyena
   buddhavikurvitaprātihāryasaṃdarśanena teṣāṃ sattvānāṃ paripākavinayāya //	budDa vikurvita prAtihArya saMdarSanena tezAm sattvAnAm paripAka vinayAya //
   tatkiṃ manyase kulaputra   anyaḥ sa tena kālena tena samayena	tat kim manyase kula putra  anyaH sa tena kAlena tena samayena
   tejodhipatirnāma rājaputro 'bhūt? na khalu punastvayaivaṃ draṣṭavyam /	tejoDipatiH nAma rAja putraH aBUt? na Kalu punar tvayA evam drazwavyam /
   ayaṃ sa bhagavān śākyamunistathāgatastena kālena tena samayena	ayam sa BagavAn SAkya muniH taTAgataH tena kAlena tena samayena
   tejodhipatirnāma rājaputro 'bhūt, yena taccakravartirājyaṃ pratilabdham,	tejoDipatiH nAma rAja putraH aBUt, yena tat cakravarti rAjyam pratilabDam,
   sa ca sūryagātrapravaro nāma tathāgata ārāgitaḥ / tatkiṃ manyase kulaputra	sa ca sUryagAtra pravaraH nAma taTAgataH ArAgitaH / tat kim manyase kula putra
     anyaḥ sa tena kālena tena samayena dhanapatirnāma rājā abhūt	 anyaH sa tena kAlena tena samayena DanapatiH nAma rAjA aBUt 
   tejodhipateḥ kumārasya pitā? na khalvevaṃ draṣṭavyam / ratnakusumaprabho	tejoDipateH kumArasya pitA? na Kalu evam drazwavyam / ratna kusuma praBo
   nāma tathāgatastena kālena tena samayena dhanapatirnāma rājā abhūt, ya	nAma taTAgataH tena kAlena tena samayena DanapatiH nAma rAjA aBUt, ya
   etarhi pūrvasyāṃ diśi lokadhātau sāgaraparamāṇurajaḥsamānāṃ	etarhi pUrvasyAm diSi lokaDAtO sAgara paramANu rajaH samAnAm
   lokadhātusamudrāṇāṃ pareṇa dharmadhātugaganapratibhāsameghanāmni	lokaDAtu samudrANAm pareNa DarmaDAtu gagana pratiBAsa meGa nAmni
   lokadhātusamudre tryadhvapratibhāsamaṇirājasaṃbhavakulamadhyame	lokaDAtu samudre tri aDva pratiBAsa maNi rAja saMBava kula maDyame
   lokadhātuvaṃśe buddhaprabhāmaṇḍalaśrīpradīpāyāṃ lokadhātau	lokaDAtu vaMSe budDa praBA maNxala SrI pradIpAyAm lokaDAtO
   sucandrakāyapratibhāsadhvaje bodhimaṇḍe (Gv 330) anuttarāṃ	su candra kAya pratiBAsa Dvaje boDimaNxe (Gu 330) anuttarAm
   samyaksaṃbodhimabhisaṃbuddho	samyaksaMboDim aBisaMbudDaH 
   'nabhilāpyabuddhakṣetraparamāṇurajaḥsamabodhisattvaparivṛto dharmaṃ	anaBilApya budDa kzetra paramANu rajaH sama boDisattva parivRtaH Darmam
   deśayati / tena ca bhagavatā ratnakusumaprabheṇa tathāgatena pūrvaṃ	deSayati / tena ca BagavatA ratna kusuma praBeNa taTAgatena pUrvam
   bodhisattvacaryāṃ caratā sarvadharmadhātugaganapratibhāsamegho	boDisattva caryAm caratA sarva Darma DAtu gagana pratiBAsa meGaH 
   lokadhātusamudraḥ pariśodhitaḥ / yāvantaśca tasmin lokadhātusamudre	lokaDAtu samudraH pariSoDitaH / yAvantaH ca tasmin lokaDAtu samudre
   tathāgatā utpannāśca utpadyante ca utpatsyante ca, te sarve ca bhagavatā	taTAgatAH utpannAH ca utpadyante ca utpatsyante ca, te sarve ca BagavatA
   ratnakusumaprabheṇa tathāgatena pūrvabodhisattvacaryāścaratā anuttarāyāṃ	ratna kusuma praBeNa taTAgatena pUrva boDisattva caryAH caratA anuttarAyAm
   samyaksaṃbodhau paripācitāḥ //	samyaksaMboDO paripAcitAH //
   tatkiṃ manyase kulaputra   anyā sā tena kālena tena samayena	tat kim manyase kula putra  anyA sA tena kAlena tena samayena
   padmaśrīgarbhasaṃbhavā nāma rājabhāryā abhūt tejodhipateḥ kumārasya mātā	padmaSrIgarBasaMBavAH nAma rAja BAryA aBUt tejoDipateH kumArasya mAtA
   caturaśītistrīsahasrāṇāṃ pramukhānām? na khalvevaṃ draṣṭavyam / eṣā sā	caturaSIti strI sahasrANAm pramuKAnAm? na Kalu evam drazwavyam / ezA sA
   kulaputra māyādevī bhagavato mātā bodhisattvajananī	kula putra mAyAdevI BagavataH mAtA boDisattva jananI
   samantāvabhāsānāvaraṇavimokṣapratiṣṭhitā	samantA avaBAsA an AvaraNa vimokza pratizWitA
   asaṃkhyeyasarvatathāgatasamudrāgamapratyakṣā	asaMKyeya sarva taTAgata samudra Agama pratyakzA
   sarvabodhisattvajanmasaṃdarśanavidhijñā tena kālena tena samayena	sarva boDisattva janma saMdarSana viDi jQA tena kAlena tena samayena
   padmaśrīgarbhasaṃbhavā nāma rājño dhanateragramahiṣyabhūt / tatkiṃ manyase	padmaSrIgarBasaMBavAH nAma rAjQaH DanateH agra mahizI aBUt / tat kim manyase
   kulaputra   anyā sā tena kālena tena samayena sudarśanā nāma agragaṇikā	kula putra  anyA sA tena kAlena tena samayena sudarSanA nAma agra gaNikA
   abhūt? na khalvevaṃ draṣṭavyam / eṣā sā sunetrā nāma daṇḍapāṇeḥ śākyasya	aBUt? na Kalu evam drazwavyam / ezA sA sunetrAH nAma daNxapANeH SAkyasya
   bhāryā mama mātā tena kālena tena samayena sudarśanā nāma agragaṇikābhūt /	BAryA mama mAtA tena kAlena tena samayena sudarSanA nAma agra gaNikA aBUt /
   tatkiṃ manyase kulaputra   anyā sā tena kālena tena samayena	tat kim manyase kula putra  anyA sA tena kAlena tena samayena
   sucalitaratiprabhāsaśrīrnāma gaṇikādārikābhūt? na khalvevaṃ draṣṭavyam /	sucalita ratipraBAsa SrIH nAma gaNikA dArikA BUt? na Kalu evam drazwavyam /
   ahaṃ sā tena kālena tena samayena sucalitaratiprabhāsaśrīrgaṇikādārikā	aham sA tena kAlena tena samayena su calita rati praBAsa SrIH gaNikA dArikA
   abhūt / tatkiṃ manyase kulaputra   anyaḥ sa tena kālena tena samayena	aBUt / tat kim manyase kula putra  anyaH sa tena kAlena tena samayena
   tejodhipate rājñaḥ parivāro 'bhūt? na khalvevaṃ draṣṭavyam / ime te	tejoDipate rAjQaH parivAraH aBUt? na Kalu evam drazwavyam / ime te
   bodhisattvāḥ sarve samantabhadrabodhisattvacaryāpraṇidhānaparipūryāṃ	boDisattvAH sarve samantaBadra boDisattva caryA praNiDAna paripUryAm
   bhagavatā pratiṣṭhāpitā asminneva parṣanmaṇḍale	BagavatA pratizWApitAH asmin= eva parzad maNxale
   saṃniṣaṇṇāsarvalokadhātupratibhāsaprāptena kāyena	saMnizaNNA sarva loka DAtu pratiBAsa prAptena kAyena
   sarvabodhisattvasamādhivihārasaṃbhinnena cittena sarvatathāgataḥ	sarva boDisattva samADi vihAra saMBinnena cittena sarva taTAgataH
   saṃmukhabhāvavadanavijñaptena cakṣuṣā	saMmuKa BAva vadana vijQaptena cakzuzA
   sarvatathāgatagaganasvarāṅgameghacakranigarjitanirghoṣavijñaptena śrotreṇa	sarva taTAgata gagana svara aFga meGa cakra nigarjita nirGoza vijQaptena SrotreNa
   sarvadharmavihāravaśavartinā āśvāsapraśvāsena sarvabuddhakṣetrānucalitena	sarva Darma vihAra vaSavartinA ASvAsa praSvAsena sarva budDa kzetra anucalitena
   nirghoṣeṇa sarvatathāgataparṣanmaṇḍalopasaṃkramaṇāpratiprasrabdhena	nirGozeNa sarva taTAgata parzan maNxala upasaMkramaNa apratiprasrabDena
   bodhisattvakāyena bodhisattvayathāśayābhimukhena paripākavinayānukūlena	boDisattva kAyena boDisattva yaTa ASaya aBimuKena paripAka vinaya anukUlena
   ātmabhāvābhinirhāreṇa aśeṣasarvadigjālaprasṛtena	Atma BAva aBinirhAreNa aSeza sarva diS jAla prasRtena
   nānāgatasarvakalpāvyavacchinnena	nAnA gata sarva kalpa avyavacCinnena
   samantabhadrabodhisattvacaryāpraṇidhānaparipūrisamudāgamena samanvāgatā	samantaBadra boDisattva caryA praNiDAna paripUri samudAgamena samanvAgatA
   bhagavataḥ parṣanmaṇḍale saṃniṣaṇṇāḥ / sa khalu kulaputra	BagavataH parzad maNxale saMnizaNNAH / sa Kalu kula putra
   sūryagātrapravarastathāgatastejodhipatinā cakravartinā ca mayā ca	sUrya gAtra pravaraH taTAgataH tejaH DipatinA cakravartinA ca mayA ca
   yāvajjīvamupasthito 'bhūt	yAvajjIvam upasTitaH aBUt 
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkāraiḥ //	cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkArEH //
   tasya khalu punaḥ kulaputra sūryagātrapravarasya tathāgatasya	tasya Kalu punar kula putra sUrya gAtra pravarasya taTAgatasya
   parinirvṛtasyānantaraṃ tasyāmeva lokadhātau prasannagātro nāma tathāgato	parinirvRtasya anantaram tasyAm eva lokaDAtO prasanna gAtraH nAma taTAgataH 
   loka udapādi / so 'pyasmābhirārāgitaḥ satkṛto gurukṛto mānitaḥ pūjitaḥ /	loke udapAdi / saH api asmABiH ArAgitaH satkRtaH gurukRtaH mAnitaH pUjitaH /
   tasyānantaraṃ sarvagātrajñānapratibhāsacandro nāma tathāgato loka udapādi	tasya anantaram sarvagAtra jQAnapratiBAsacandraH nAma taTAgataH loke udapAdi
   / so 'pyasmābhirdevendrabhūtairārāgitaḥ / tasyānantaraṃ jāmbūnadatejorājo	/ saH api asmABiH deva indra BUtEH ArAgitaH / tasya anantaram jAmbUnada tejaH rAjaH 
   nāma tathāgata ārāgitaḥ / tasyānantaraṃ lakṣaṇabhūṣitagātro nāma tathāgata	nAma taTAgataH ArAgitaH / tasya anantaram lakzaNa BUzita gAtraH nAma taTAgata
   ārāgitaḥ / tasyānantaraṃ vicitraraśmijvalanacandro nāma tathāgata ārāgitaḥ	ArAgitaH / tasya anantaram vicitraraSmijvalana candraH nAma taTAgataH ArAgitaH
   / tasyānantaraṃ suvilokitajñānaketurnāma tathāgata (Gv 331) ārāgitaḥ /	/ tasya anantaram suvilokita jQAnaketuH nAma taTAgataH (Gu 331) ArAgitaH /
   tasyānantaraṃ vipulamahājñānaraśmirājo nāma tathāgata ārāgitaḥ /	tasya anantaram vipula mahAjQAnaraSmi rAjaH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ nārāyaṇavajravīryo nāma tathāgata ārāgitaḥ /	tasya anantaram nArAyaNa vajravIryaH nAma taTAgataH ArAgitaH /
   tasyānantaramaparājitajñānasthāmo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	tasya anantaram aparAjita jQAna sTAmaH nAma taTAgataH ArAgitaH / tasya anantaram
   samantavilokitajñāno nāma tathāgata ārāgitaḥ / tasyānantaraṃ	samantavilokita jQAnaH nAma taTAgataH ArAgitaH / tasya anantaram
   vimalaśrīmegho nāma tathāgata ārāgitaḥ / tasyānantaraṃ	vimala SrI meGaH nAma taTAgataH ArAgitaH / tasya anantaram
   siṃhavijṛmbhitaprabho nāma tathāgata ārāgitaḥ / tasyānantaraṃ	siMhavijRmBita praBaH nAma taTAgataH ArAgitaH / tasya anantaram
   jñānaraśmijvalanacūḍo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	jQAnaraSmijvalanacUxaH nAma taTAgataH ArAgitaH / tasya anantaram
   guṇaraśmidhvajonāma tathāgata ārāgitaḥ / tasyānantaraṃ jñānabhāskaratejo	guNa raSmiDvajaH nAma taTAgataH ArAgitaH / tasya anantaram jQAna BAskara tejaH 
   nāma tathāgata ārāgitaḥ / tasyānantaraṃ ratnapadmapraphullitagātro nāma	nAma taTAgataH ArAgitaH / tasya anantaram ratna padma praPullita gAtraH nAma
   tathāgata ārāgitaḥ / tasyānantaraṃ puṇyapradīpadhvajo nāma tathāgata	taTAgataH ArAgitaH / tasya anantaram puNyapradIpaDvajaH nAma taTAgata
   ārāgitaḥ / tasyānantaraṃ jñānaraśmimeghaprabho nāma tathāgata ārāgitaḥ /	ArAgitaH / tasya anantaram jQAna raSmimeGapraBaH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ samantavairocanacandro nāma tathāgata ārāgitaḥ /	tasya anantaram samantavErocanacandraH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ ābharaṇacchatranirghoṣo nāma tathāgata ārāgitaḥ /	tasya anantaram ABaraNacCatra nirGozaH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ samantajñānālokavikramasiṃho nāma tathāgata ārāgitaḥ /	tasya anantaram samanta jQAna Aloka vikramasiMhaH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ dharmadhātuviṣayamaticandro nāma tathāgata ārāgitaḥ /	tasya anantaram DarmaDAtuvizayam aticandraH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ sattvagaganacittapratibhāsabimbo nāma tathāgata ārāgitaḥ /	tasya anantaram sattvagaganacittapratiBAsa bimbaH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ praśamagandhasunābho nāma tathāgata ārāgitaḥ / tasyānantaraṃ	tasya anantaram praSama ganDa sunABaH nAma taTAgataH ArAgitaH / tasya anantaram
   samantānuravitaśāntanirghoṣo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	samantA anuravita SAnta nirGozaH nAma taTAgataH ArAgitaH / tasya anantaram
   sudṛḍhajñānaraśmijālabimbaskandho nāma tathāgata ārāgitaḥ / tasyānantaraṃ	sudRXajQAna raSmijAlabimbaskanDaH nAma taTAgataH ArAgitaH / tasya anantaram
   amṛtaparvataprabhātejo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	amRtaparvatapraBA tejaH nAma taTAgataH ArAgitaH / tasya anantaram
   dharmasāgaranigarjitaghoṣo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	DarmasAgaranigarjita GozaH nAma taTAgataH ArAgitaH / tasya anantaram
   buddhagaganaprabhāsacūḍo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	budDagaganapraBAsacUxaH nAma taTAgataH ArAgitaH / tasya anantaram
   raśmicandro nāma tathāgata ārāgitaḥ / tasyānantaraṃ raśmicandrorṇamegho	raSmicandraH nAma taTAgataH ArAgitaH / tasya anantaram raSmi candra UrNa meGaH 
   nāma tathāgata ārāgitaḥ / tasyānantaraṃ suparipūrṇajñānamukhaktro nāma	nAma taTAgataH ArAgitaH / tasya anantaram su paripUrNa jQAna muKaktraH nAma
   tathāgata ārāgitaḥ / tasyānantaraṃ suviśuddhajñānakusumāvabhāso nāma	taTAgataH ArAgitaH / tasya anantaram suviSudDa jQAnakusuma avaBAsaH nAma
   tathāgata ārāgitaḥ / tasyānantaraṃ ratnārciḥparvataśrītejorājo nāma	taTAgataH ArAgitaH / tasya anantaram ratnArciH parvata SrItejaH rAjaH nAma
   tathāgata ārāgitaḥ / tasyānantaraṃ vipulaguṇajyotiḥprabho nāma tathāgata	taTAgataH ArAgitaH / tasya anantaram vipulaguNajyotiHpraBaH nAma taTAgata
   ārāgitaḥ / tasyānantaraṃ samādhimervabhyudgatajñāno nāma tathāgata	ArAgitaH / tasya anantaram samADimeru aByudgata jQAnaH nAma taTAgata
   ārāgitaḥ / tasyānantaraṃ ratnacandradhvajo nāma tathāgata ārāgitaḥ /	ArAgitaH / tasya anantaram ratnacandraDvajaH nAma taTAgataH ArAgitaH /
   tasyānantaramarcirmaṇḍalagātro nāma tathāgata ārāgitaḥ / tasyānantaraṃ	tasya anantaram arcirmaNxalagAtraH nAma taTAgataH ArAgitaH / tasya anantaram
   ratnāgraprabhatejo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	ratna agra praBa tejaH nAma taTAgataH ArAgitaH / tasya anantaram
   samantajñānacaryāvilambo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	samantajQAna caryAvilambaH nAma taTAgataH ArAgitaH / tasya anantaram
   arciḥsamudramukhavegapradīpo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	arciH samudra muKa vega pradIpaH nAma taTAgataH ArAgitaH / tasya anantaram
   dharmavimānanirghoṣarājo nāma tathāgata ārāgitaḥ /	DarmavimAna nirGoza rAjaH nAma taTAgataH ArAgitaH /
   tasyānantaramasadṛśaguṇakīrtidhvajo nāma tathāgata ārāgitaḥ /	tasya anantaram asadRSaguNakIrtiDvajaH nAma taTAgataH ArAgitaH /
   tasyānantaraṃ pralambabāhurnāma tathāgata ārāgitaḥ / tasyānantaraṃ	tasya anantaram pralamba bAhuH nAma taTAgataH ArAgitaH / tasya anantaram
   pūrvapraṇidhinirmāṇacandro nāma tathāgata ārāgitaḥ /	pUrvapraNiDi nirmANacandraH nAma taTAgataH ArAgitaH /
   tasyānantaramākāśajñānārthapradīpo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	tasya anantaram AkASa jQAna arTapradIpaH nAma taTAgataH ArAgitaH / tasya anantaram
   dharmodgatanabheśvaro nāma tathāgata ārāgitaḥ / tasyānantaraṃ	DarmodgatanaBeSvaraH nAma taTAgataH ArAgitaH / tasya anantaram
   vairocanaśrīgarbharājo nāma tathāgata ārāgitaḥ / tasyānantaraṃ	vErocanaSrI garBarAjaH nAma taTAgataH ArAgitaH / tasya anantaram
   dharmanārāyaṇaketurnāma tathāgata ārāgitaḥ / tasyānantaraṃ jñānaketurnāma	Darma nArAyaNaketuH nAma taTAgataH ArAgitaH / tasya anantaram jQAnaketuH nAma
   tathāgata ārāgitaḥ / tasyānantaraṃ dharmasāgarapadmo nāma tathāgata	taTAgataH ArAgitaH / tasya anantaram DarmasAgarapadmaH nAma taTAgata
   ārāgitaḥ / iti hi kulaputra etāṃstathāgatān pramukhān kṛtvā tasyāṃ	ArAgitaH / iti hi kula putraH etAn= taTAgatAn pramuKAn kRtvA tasyAm
   lokadhātau ṣaṣṭibuddhakoṭīniyutaśatasahasrāṇyutpannāni (Gv 332) abhūvan,	lokaDAtO zazwi budDa kowI niyuta Sata sahasrANi utpannAni (Gu 332) aBUvan,
   yānyasmābhirārāgitāni satkṛtāni gurukṛtāni mānitāni pūjitāni	yAni asmABiH ArAgitAni satkRtAni guru kRtAni mAnitAni pUjitAni
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkāraiḥ //	cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkArEH //
   teṣāṃ khalu kulaputra ṣaṣṭerbuddhakoṭīniyutaśatasahasrāṇāṃ sarvapaścimo	tezAm Kalu kula putra zazweH budDa kowI niyuta Sata sahasrANAm sarva paScimaH 
   vipuladharmādhimuktisaṃbhavatejo nāma tathāgata utpanno 'bhūt / tasya	vipula Darma aDimuktisaMBava tejaH nAma taTAgataH utpannaH aBUt / tasya
   bhagavato nagare praviṣṭasya mayā rājabhāryābhūtayā sārdhaṃ svāminā	BagavataH nagare pravizwasya mayA rAja BAryA BUtayA sArDam svAminA
   sarvākārapūjāmukhaṃ prayuktayā tathāgatapūjayā pūjāṃ kṛtvā	sarva AkAra pUjA muKam prayuktayA taTAgata pUjayA pUjAm kRtvA
   sarvatathāgatotpattisaṃbhavapradīpo nāma tathāgatadharmaparyāyastasya	sarva taTAgata utpatti saMBava pradIpaH nAma taTAgata Darma paryAyaH tasya
   bhagavato 'ntikāt śrutaḥ, yasya sahaśravaṇānmayā jñānacakṣuḥ pratilabdham	BagavataH antikAt SrutaH, yasya saha SravaNAt mayA jQAnacakzuH pratilabDam
   / eṣa ca sarvabodhisattvasamādhinayasāgaravyavalokanaviṣayo	/ eza ca sarva boDisattva sama aDi naya sAgara vyavalokana vizayaH 
   bodhisattvavimokṣaḥ pratilabdhaḥ //	boDisattva vimokzaH pratilabDaH //
   sā khalvahaṃ kulaputra etaṃ vimokṣaṃ bhāvayamānā	sA Kalu aham kula putraH etam vimokzam BAvayamAnA
   buddhakṣetraśataparamāṇurajaḥsamān kalpānāgatān bodhisattvena sārdhaṃ	budDa kzetra Sata paramANu rajaH samAn kalpAn AgatAn boDisattvena sArDam
