   BhP_07.01.001/0 śrīrājovāca	BhP_07.01.001/0 SrI-rAjA-uvAca
   BhP_07.13.008/1 na śiṣyān anubadhnīta granthān naivābhyasedbahūn	Bhu-_07.13.008/1 na SizyAn anubaDnIta granTAn na-eva-aByaset-bahUn
   BhP_07.13.008/2 na vyākhyāmupayuñjīta nārambhān ārabhet kvacit	Bhu-_07.13.008/2 na vyAKyAm-upayuQjIta na-AramBAn AraBet kvacid-
   BhP_07.13.009/1 na yaterāśramaḥ prāyo dharmaheturmahātmanaḥ	Bhu-_07.13.009/1 na yateH-ASramaH prAyas Darma-hetuH-mahAtmanaH
   BhP_07.13.009/2 śāntasya samacittasya bibhṛyāduta vā tyajet	Bhu-_07.13.009/2 SAntasya sama-cittasya biBRyAt-uta vA tyajet-
   BhP_07.13.010/1 avyaktaliṅgo vyaktārtho manīṣyunmattabālavat	Bhu-_07.13.010/1 avyakta-liFgaH vyakta-arTaH manIzi-unmatta-bAla-vat-
   BhP_07.13.010/2 kavirmūkavadātmānaṃ sa dṛṣṭyā darśayen nṛṇām	BhP_07.13.010/2 kaviH-mUka-vat-AtmAnam sa dRzwyA darSayet nRNAm
   BhP_07.13.011/1 atrāpyudāharantīmamitihāsaṃ purātanam	Bhu-_07.13.011/1 atra-api-udAharanti-imam-itihAsam purAtanam
   BhP_07.13.011/2 prahrādasya ca saṃvādaṃ munerājagarasya ca	Bhu-_07.13.011/2 prahrAdasya ca saMvAdam muneH-Ajagarasya ca
   BhP_07.13.012/1 taṃ śayānaṃ dharopasthe kāveryāṃ sahyasānuni	Bhu-_07.13.012/1 tam SayAnam DarA-upasTe kAveryAm sahya-sAnuni
   BhP_07.13.012/2 rajasvalaistanūdeśairnigūḍhāmalatejasam	Bhu-_07.13.012/2 rajasvalEH-tanU-deSEH-nigUXa-amala-tejasam
   BhP_07.13.013/1 dadarśa lokān vicaran lokatattvavivitsayā	Bhu-_07.13.013/1 dadarSa lokAn vicaran loka-tattva-vivitsayA
   BhP_07.13.013/2 vṛto 'mātyaiḥ katipayaiḥ prahrādo bhagavatpriyaḥ	Bhu-_07.13.013/2 vRtaH amAtyEH katipayEH prahrAdaH Bagavat-priyaH
   BhP_07.13.014/1 karmaṇākṛtibhirvācā liṅgairvarṇāśramādibhiḥ	BhP_07.13.014/1 karmaNA-AkRtiBiH-vAcA liFgEH-varNa-ASrama-AdiBiH
   BhP_07.13.014/2 na vidanti janā yaṃ vai so 'sāviti na veti ca	Bhu-_07.13.014/2 na vidanti janAH yam vE saH asO=-iti na vA-iti ca
   BhP_07.13.015/1 taṃ natvābhyarcya vidhivat pādayoḥ śirasā spṛśan	Bhu-_07.13.015/1 tam natvA-aByarcya viDivat pAdayoH SirasA spRSan
   BhP_07.13.015/2 vivitsuridamaprākṣīn mahābhāgavato 'suraḥ	Bhu-_07.13.015/2 vivitsuH-idam-aprAkzIt mahA-BAgavataH asuraH
   BhP_07.13.016/1 bibharṣi kāyaṃ pīvānaṃ sodyamo bhogavān yathā	Bhu-_07.13.016/1 biBarzi kAyam pIvAnam sa-udyamaH BogavAn yaTA
   BhP_07.13.016/2 vittaṃ caivodyamavatāṃ bhogo vittavatāmiha	Bhu-_07.13.016/2 vittam ca-eva-udyamavatAm BogaH vittavatAm-iha
   BhP_07.13.016/3 bhogināṃ khalu deho 'yaṃ pīvā bhavati nānyathā	BhP_07.13.016/3 BoginAm Kalu dehaH ayam pIvA Bavati na-anyaTA
   BhP_07.13.017/1 na te śayānasya nirudyamasya brahman nu hārtho yata eva	Bhu-_07.13.017/1 na te SayAnasya nirudyamasya brahman nu ha-arTaH yatas eva
   bhogaḥ	BogaH
   BhP_07.13.017/2 abhogino 'yaṃ tava vipra dehaḥ pīvā yatastadvada naḥ	Bhu-_07.13.017/2 aBoginaH ayam tava vipra dehaH pIvAH yatas-tadvada naH
   kṣamaṃ cet	kzamam ced-
   BhP_07.13.018/1 kaviḥ kalpo nipuṇadṛk citrapriyakathaḥ samaḥ	BhP_07.13.018/1 kaviH kalpaH nipuNa-dRS citrapriya-kaTaH samaH
   BhP_07.13.018/2 lokasya kurvataḥ karma śeṣe tadvīkṣitāpi vā	Bhu-_07.13.018/2 lokasya kurvataH karma Seze tat-vIkzitA-api vA
   BhP_07.13.019/0 śrīnārada uvāca	BhP_07.13.019/0 SrI-nAradaH uvAca
   BhP_07.13.019/1 sa itthaṃ daityapatinā paripṛṣṭo mahāmuniḥ	Bhu-_07.13.019/1 saH itTam dEtya-patinA paripRzwaH mahA-muniH
   BhP_07.13.019/2 smayamānastamabhyāha tadvāgamṛtayantritaḥ	Bhu-_07.13.019/2 smayamAnaH-tam-aByAha tad-vAc-amRta-yantritaH
   BhP_07.13.020/0 śrībrāhmaṇa uvāca	Bhu-_07.13.020/0 SrI-brAhmaNaH uvAca
   BhP_07.13.020/1 vededamasuraśreṣṭha bhavān nanvāryasammataḥ	Bhu-_07.13.020/1 veda-idam-asura-SrezWa BavAn nanu-Arya-sammataH
   BhP_07.13.020/2 īhoparamayornṝṇāṃ padānyadhyātmacakṣuṣā	Bhu-_07.13.020/2 Iha-uparamayoH-nLNAm padAni-aDyAtma-cakzuzA
   BhP_07.13.021/1 yasya nārāyaṇo devo bhagavān hṛdgataḥ sadā	Bhu-_07.13.021/1 yasya nArAyaNaH devaH BagavAn hRdgataH sadA
   BhP_07.13.021/2 bhaktyā kevalayājñānaṃ dhunoti dhvāntamarkavat	Bhu-_07.13.021/2 BaktyA kevalayA-ajQAnam Dunoti DvAntam-arka-vat-
   BhP_07.13.022/1 tathāpi brūmahe praśnāṃstava rājan yathāśrutam	Bhu-_07.13.022/1 taTA-api brUmahe praSnAn=-tava rAjan yaTASrutam
   BhP_07.13.022/2 sambhāṣaṇīyo hi bhavān ātmanaḥ śuddhimicchatā	BhP_07.13.022/2 samBAzaNIyaH hi BavAn AtmanaH SudDim-icCatA
   BhP_07.13.023/1 tṛṣṇayā bhavavāhinyā yogyaiḥ kāmairapūryayā	Bhu-_07.13.023/1 tRzNayA Bava-vAhinyA yogyEH kAmEH-apUryayA
   BhP_07.13.023/2 karmāṇi kāryamāṇo 'haṃ nānāyoniṣu yojitaḥ	BhP_07.13.023/2 karmANi kAryamANaH aham nAnA-yonizu yojitaH
   BhP_07.13.024/1 yadṛcchayā lokamimaṃ prāpitaḥ karmabhirbhraman	Bhu-_07.13.024/1 yadRcCayA lokam-imam prApitaH karmaBiH-Braman
   BhP_07.13.024/2 svargāpavargayordvāraṃ tiraścāṃ punarasya ca	BhP-_07.13.024/2 svarga-apavargayoH-dvAram tiraScAm punar-asya ca
   BhP_07.13.025/1 tatrāpi dampatīnāṃ ca sukhāyānyāpanuttaye	Bhu-_07.13.025/1 tatra-api dampatInAm ca suKAyAnya-apanuttaye
   BhP_07.13.025/2 karmāṇi kurvatāṃ dṛṣṭvā nivṛtto 'smi viparyayam	BhP_07.13.025/2 karmANi kurvatAm dRzwvA nivRttaH asmi viparyayam
   BhP_07.13.026/1 sukhamasyātmano rūpaṃ sarvehoparatistanuḥ	Bhu-_07.13.026/1 suKam-asya-AtmanaH rUpam sarva-iha-uparatiH-tanuH
   BhP_07.13.026/2 manaḥsaṃsparśajān dṛṣṭvā bhogān svapsyāmi saṃviśan	Bhu-_07.13.026/2 manaH-saMsparSa-jAn dRzwvA BogAn svapsyAmi saMviSan
   BhP_07.13.027/1 ityetadātmanaḥ svārthaṃ santaṃ vismṛtya vai pumān	Bhu-_07.13.027/1 iti-etat-AtmanaH sva-arTam santam vismRtya vE pumAn
   BhP_07.13.027/2 vicitrāmasati dvaite ghorāmāpnoti saṃsṛtim	Bhu-_07.13.027/2 vicitrAm-asati dvEte GorAm-Apnoti saMsRtim
   BhP_07.13.028/1 jalaṃ tadudbhavaiśchannaṃ hitvājño jalakāmyayā	Bhu-_07.13.028/1 jalam tad-udBavEH-Cannam hitvA-ajQaH jala-kAmyayA
   BhP_07.13.028/2 mṛgatṛṣṇāmupādhāvet tathānyatrārthadṛk svataḥ	Bhu-_07.13.028/2 mRgatRzNAm-upADAvet taTA-anyatra-arTa-dRS svatas-
   BhP_07.13.029/1 dehādibhirdaivatantrairātmanaḥ sukhamīhataḥ	Bhu-_07.13.029/1 deha-AdiBiH-dEvatantrEH-AtmanaH suKam-IhataH
   BhP_07.13.029/2 duḥkhātyayaṃ cānīśasya kriyā moghāḥ kṛtāḥ kṛtāḥ	Bhu-_07.13.029/2 duHKa-atyayam ca-anISasya kriyAH moGAH kRtAH kRtAH
   BhP_07.13.030/1 ādhyātmikādibhirduḥkhairavimuktasya karhicit	Bhu-_07.13.030/1 ADyAtmika-AdiBiH-duHKEH-avimuktasya karhicit-
   BhP_07.13.030/2 martyasya kṛcchropanatairarthaiḥ kāmaiḥ kriyeta kim	Bhu-_07.13.030/2 martyasya kRcCra-upanatEH-arTEH kAmEH kriyeta kim
   BhP_07.13.031/1 paśyāmi dhanināṃ kleśaṃ lubdhānāmajitātmanām	BhP-_07.13.031/1 paSyAmi DaninAm kleSam lubDAnAm-ajita-AtmanAm
   BhP_07.13.031/2 bhayādalabdhanidrāṇāṃ sarvato 'bhiviśaṅkinām	Bhu-_07.13.031/2 BayAt-alabDa-nidrANAm sarvatas aBiviSaFkinAm
   BhP_07.13.032/1 rājataścaurataḥ śatroḥ svajanāt paśupakṣitaḥ	Bhu-_07.13.032/1 rAjataH-ca-OrataH SatroH sva-janAt paSu-pakzitaH
   BhP_07.13.032/2 arthibhyaḥ kālataḥ svasmān nityaṃ prāṇārthavadbhayam	Bhu-_07.13.032/2 arTiByaH kAlataH svasmAt nityam prANa-arTavat-Bayam
   BhP_07.13.033/1 śokamohabhayakrodha rāgaklaibyaśramādayaḥ	Bhu-_07.13.033/1 Soka-moha-Baya-kroDa rAga-klEbya-Srama-AdayaH
   BhP_07.13.033/2 yanmūlāḥ syurnṛṇāṃ jahyāt spṛhāṃ prāṇārthayorbudhaḥ	Bhu-_07.13.033/2 yad-mUlAH syuH-nRNAm jahyAt spRhAm prANa-arTayoH-buDaH
   BhP_07.13.034/1 madhukāramahāsarpau loke 'smin no gurūttamau	Bhu-_07.13.034/1 maDukAra-mahA-sarpO loke asmin naH guru-uttamO
   BhP_07.13.034/2 vairāgyaṃ paritoṣaṃ ca prāptā yacchikṣayā vayam	Bhu-_07.13.034/2 vErAgyam paritozam ca prAptAH yat-SikzayA vayam
   BhP_07.13.035/1 virāgaḥ sarvakāmebhyaḥ śikṣito me madhuvratāt	Bhu-_07.13.035/1 virAgaH sarva-kAmeByaH SikzitaH me maDu-vratAt-
   BhP_07.13.035/2 kṛcchrāptaṃ madhuvadvittaṃ hatvāpyanyo haret patim	Bhu-_07.13.035/2 kRcCra-Aptam maDu-vat-vittam hatvA-api-anyaH haret patim
   BhP_07.13.036/1 anīhaḥ parituṣṭātmā yadṛcchopanatādaham	Bhu-_07.13.036/1 anIhaH parituzwa-AtmA yadRcCA-upanatAt-aham
   BhP_07.13.036/2 no cec chaye bahvahāni mahāhiriva sattvavān	Bhu-_07.13.036/2 no ced Saye bahu-ahAni mahA-hiH-iva sattvavAn
   BhP_07.13.037/1 kvacidalpaṃ kvacidbhūri bhuñje 'nnaṃ svādvasvādu vā	Bhu-_07.13.037/1 kvacid-alpam kvacid-BUri BuQje annam svAdu-asvAdu vA
   BhP_07.13.037/2 kvacidbhūri guṇopetaṃ guṇahīnamuta kvacit	Bhu-_07.13.037/2 kvacid-BUri guNa-upetam guNa-hInam-uta kvacid-
   BhP_07.13.038/1 śraddhayopahṛtaṃ kvāpi kadācin mānavarjitam	Bhu-_07.13.038/1 SradDayA-upahRtam kvApi kadAcid mAna-varjitam
   BhP_07.13.038/2 bhuñje bhuktvātha kasmiṃściddivā naktaṃ yadṛcchayā	Bhu-_07.13.038/2 BuQje BuktvA-aTa kasmiMScid-divA naktam yadRcCayA
   BhP_07.13.039/1 kṣaumaṃ dukūlamajinaṃ cīraṃ valkalameva vā	Bhu-_07.13.039/1 kzOmam dukUlam-ajinam cIram valkalam-eva vA
   BhP_07.13.039/2 vase 'nyadapi samprāptaṃ diṣṭabhuk tuṣṭadhīraham	Bhu-_07.13.039/2 vase anyat-api samprAptam dizwa-Buj tuzwa-DIraham
   BhP_07.13.040/1 kvacic chaye dharopasthe tṛṇaparṇāśmabhasmasu	Bhu-_07.13.040/1 kvacid Saye DarA-upasTe tRNa-parNa-aSma-Basmasu
   BhP_07.13.040/2 kvacit prāsādaparyaṅke kaśipau vā parecchayā	Bhu-_07.13.040/2 kvacid prAsAda-paryaFke kaSipO vA para-icCayA
   BhP_07.13.041/1 kvacit snāto 'nuliptāṅgaḥ suvāsāḥ sragvyalaṅkṛtaḥ	Bhu-_07.13.041/1 kvacid snAtaH anulipta-aFgaH su-vAsAH sragvI-alaFkRtaH
   BhP_07.13.041/2 rathebhāśvaiścare kvāpi digvāsā grahavadvibho	Bhu-_07.13.041/2 raTa-iBa-aSvEH-care kvApi digvAsAH graha-vat-viBo
   BhP_07.13.042/1 nāhaṃ ninde na ca staumi svabhāvaviṣamaṃ janam	Bhu-_07.13.042/1 na-aham ninde na ca stOmi svaBAva-vizamam janam
   BhP_07.13.042/2 eteṣāṃ śreya āśāse utaikātmyaṃ mahātmani	Bhu-_07.13.042/2 etezAm SreyaH ASAse uta-EkAtmyam mahAtmani
   BhP_07.13.043/1 vikalpaṃ juhuyāc cittau tāṃ manasyarthavibhrame	Bhu-_07.13.043/1 vikalpam juhuyAt cittO tAm manasi-arTa-viBrame
   BhP_07.13.043/2 mano vaikārike hutvā taṃ māyāyāṃ juhotyanu	BhP_07.13.043/2 manaH vEkArike hutvA tam mAyAyAm juhoti-anu
   BhP_07.13.044/1 ātmānubhūtau tāṃ māyāṃ juhuyāt satyadṛṅ muniḥ	Bhu-_07.13.044/1 Atma-anuBUtO tAm mAyAm juhuyAt satya-dRS muniH
   BhP_07.13.044/2 tato nirīho viramet svānubhūtyātmani sthitaḥ	Bhu-_07.13.044/2 tatas nirIhaH viramet sva-anuBUti-Atmani sTitaH
   BhP_07.13.045/1 svātmavṛttaṃ mayetthaṃ te suguptamapi varṇitam	Bhu-_07.13.045/1 sva-Atma-vRttam mayA-itTam te su-guptam-api varNitam
   BhP_07.13.045/2 vyapetaṃ lokaśāstrābhyāṃ bhavān hi bhagavatparaḥ	Bhu-_07.13.045/2 vyapetam lokaSAstrAByAm BavAn hi Bagavat-paraH
   BhP_07.13.046/0 śrīnārada uvāca	BhP_07.13.046/0 SrI-nAradaH uvAca
   BhP_07.13.046/1 dharmaṃ pāramahaṃsyaṃ vai muneḥ śrutvāsureśvaraḥ	Bhu-_07.13.046/1 Darmam pAramahaMsyam vE muneH SrutvA-asura-ISvaraH
   BhP_07.13.046/2 pūjayitvā tataḥ prīta āmantrya prayayau gṛham	Bhu-_07.13.046/2 pUjayitvA tatas prItaH Amantrya prayayO gRham
   BhP_07.14.001/0 śrīyudhiṣṭhira uvāca	BhP_07.14.001/0 SrIyuDizWiraH uvAca
   BhP_07.14.001/1 gṛhastha etāṃ padavīṃ vidhinā yena cāñjasā	Bhu-_07.14.001/1 gRhasTaH etAm padavIm viDinA yena ca-aQjasA
   BhP_07.14.001/2 yāyāddevaṛṣe brūhi mādṛśo gṛhamūḍhadhīḥ	Bhu-_07.14.001/2 yAyAt-deva-Rze brUhi mAdRSaH gRha-mUXa-DIH
   BhP_07.14.002/0 śrīnārada uvāca	BhP_07.14.002/0 SrI-nAradaH uvAca
   BhP_07.14.002/1 gṛheṣvavasthito rājan kriyāḥ kurvan yathocitāḥ	Bhu-_07.14.002/1 gRhezu-avasTitaH rAjan kriyAH kurvan yaTocitAH
   BhP_07.14.002/2 vāsudevārpaṇaṃ sākṣādupāsīta mahāmunīn	Bhu-_07.14.002/2 vAsudeva-arpaNam sAkzAt-upAsIta mahA-munIn
   BhP_07.14.003/1 śṛṇvan bhagavato 'bhīkṣṇamavatārakathāmṛtam	Bhu-_07.14.003/1 SRNvan BagavataH aBIkzNam-avatAra-kaTA-amRtam
   BhP_07.14.003/2 śraddadhāno yathākālamupaśāntajanāvṛtaḥ	Bhu-_07.14.003/2 SraddaDAnaH yaTAkAlam-upaSAnta-jana-AvRtaH
   BhP_07.14.004/1 satsaṅgāc chanakaiḥ saṅgamātmajāyātmajādiṣu	Bhu-_07.14.004/1 sat-saFgAt SanakEs saFgam-AtmajAyAtmaja-Adizu
   BhP_07.14.004/2 vimuñcen mucyamāneṣu svayaṃ svapnavadutthitaḥ	Bhu-_07.14.004/2 vimuQcet mucyamAnezu svayam svapna-vat-utTitaH
   BhP_07.14.005/1 yāvadarthamupāsīno dehe gehe ca paṇḍitaḥ	Bhu-_07.14.005/1 yAvadarTam-upAsInaH dehe gehe ca paNxitaH
   BhP_07.14.005/2 virakto raktavat tatra nṛloke naratāṃ nyaset	Bhu-_07.14.005/2 viraktaH rakta-vat tatra nR-loke nara-tAm nyaset-
   BhP_07.14.006/1 jñātayaḥ pitarau putrā bhrātaraḥ suhṛdo 'pare	Bhu-_07.14.006/1 jQAtayaH pitarO putrAH BrAtaraH suhRdaH apare
   BhP_07.14.006/2 yadvadanti yadicchanti cānumodeta nirmamaḥ	Bhu-_07.14.006/2 yat-vadanti yat-icCanti ca-anumodeta nirmamaH
   BhP_07.14.007/1 divyaṃ bhaumaṃ cāntarīkṣaṃ vittamacyutanirmitam	Bhu-_07.14.007/1 divyam BOmam ca-antarIkzam vittama-cyuta-nirmitam
   BhP_07.14.007/2 tat sarvamupayuñjāna etat kuryāt svato budhaḥ	Bhu-_07.14.007/2 tat sarvam-upayuQjAnaH etat kuryAt svatas buDaH
   BhP_07.14.008/1 yāvadbhriyeta jaṭharaṃ tāvat svatvaṃ hi dehinām	Bhu-_07.14.008/1 yAvadBriyeta jaWaram tAvat sva-tvam hi dehinAm
   BhP_07.14.008/2 adhikaṃ yo 'bhimanyeta sa steno daṇḍamarhati	Bhu-_07.14.008/2 aDikam yaH aBimanyeta sa stenaH daNxam-arhati
   BhP_07.14.009/1 mṛgoṣṭrakharamarkākhu sarīsṛp khagamakṣikāḥ	Bhu-_07.14.009/1 mRga-uzwra-Kara-marka-AKu sarIsRp KagamakzikAH
   BhP_07.14.009/2 ātmanaḥ putravat paśyet taireṣāmantaraṃ kiyat	Bhu-_07.14.009/2 AtmanaH putra-vat paSyet tEH-ezAm-antaram kiyat-
   BhP_07.14.010/1 trivargaṃ nātikṛcchreṇa bhajeta gṛhamedhyapi	Bhu-_07.14.010/1 trivargam na-atikRcCreNa Bajeta gRhameDI-api
   BhP_07.14.010/2 yathādeśaṃ yathākālaṃ yāvaddaivopapāditam	Bhu-_07.14.010/2 yaTAdeSam yaTAkAlam yAvat-dEva-upapAditam
   BhP_07.14.011/1 āśvāghānte 'vasāyibhyaḥ kāmān saṃvibhajedyathā	Bhu-_07.14.011/1 ASvAGa-ante avasAyiByaH kAmAn saMviBajet-yaTA
   BhP_07.14.011/2 apyekāmātmano dārāṃ nṛṇāṃ svatvagraho yataḥ	Bhu-_07.14.011/2 api-ekAm-AtmanaH dArAm nRNAm sva-tva-grahaH yatas-
   BhP_07.14.012/1 jahyādyadarthe svān prāṇān hanyādvā pitaraṃ gurum	Bhu-_07.14.012/1 jahyAt-yat-arTe svAn prANAn hanyAt-vA pitaram gurum
   BhP_07.14.012/2 tasyāṃ svatvaṃ striyāṃ jahyādyastena hyajito jitaḥ	Bhu-_07.14.012/2 tasyAm sva-tvam striyAm jahi-AdyaH-tena hi-ajitaH jitaH
   BhP_07.14.013/1 kṛmiviḍbhasmaniṣṭhāntaṃ kvedaṃ tucchaṃ kalevaram	BhP_07.14.013/1 kRmi-viz-Basma-nizWa-antam kva-idam tucCam kalevaram
   BhP_07.14.013/2 kva tadīyaratirbhāryā kvāyamātmā nabhaśchadiḥ	Bhu-_07.14.013/2 kva tadIya-ratiH-BAryA kva-ayam-AtmA naBaH-CadiH
   BhP_07.14.014/1 siddhairyajñāvaśiṣṭārthaiḥ kalpayedvṛttimātmanaḥ	Bhu-_07.14.014/1 sidDEH-yajQa-avaSizwa-arTEH kalpayet-vRttim-AtmanaH
   BhP_07.14.014/2 śeṣe svatvaṃ tyajan prājñaḥ padavīṃ mahatāmiyāt	Bhu-_07.14.014/2 Seze sva-tvam tyajan prAjQaH padavIm mahatAm-iyAt-
   BhP_07.14.015/1 devān ṛṣīn nṛbhūtāni pitṝn ātmānamanvaham	Bhu-_07.14.015/1 devAn RzIn nR-BUtAni pitLn AtmAnam-anvaham
   BhP_07.14.015/2 svavṛttyāgatavittena yajeta puruṣaṃ pṛthak	Bhu-_07.14.015/2 sva-vRtti-Agata-vittena yajeta puruzam pRTak-
   BhP_07.14.016/1 yarhyātmano 'dhikārādyāḥ sarvāḥ syuryajñasampadaḥ	Bhu-_07.14.016/1 yarhi-AtmanaH aDikAra-AdyAH sarvAH syuH-yajQa-sampadaH
   BhP_07.14.016/2 vaitānikena vidhinā agnihotrādinā yajet	Bhu-_07.14.016/2 vEtAnikena viDinA agni-hotra-AdinA yajet-
   BhP_07.14.017/1 na hyagnimukhato 'yaṃ vai bhagavān sarvayajñabhuk	Bhu-_07.14.017/1 na hi-agni-muKataH ayam vE BagavAn sarva-yajQa-Buj-
   BhP_07.14.017/2 ijyeta haviṣā rājan yathā vipramukhe hutaiḥ	Bhu-_07.14.017/2 ijyeta havizA rAjan yaTA vipra-muKe hutEH
   BhP_07.14.018/1 tasmādbrāhmaṇadeveṣu martyādiṣu yathārhataḥ	Bhu-_07.14.018/1 tasmAt-brAhmaNa-devezu martya-Adizu yaTArhataH
   BhP_07.14.018/2 taistaiḥ kāmairyajasvainaṃ kṣetrajñaṃ brāhmaṇān anu	Bhu-_07.14.018/2 tEH-tEH kAmEH-yajasva-enam kzetrajQam brAhmaNAn anu
   BhP_07.14.019/1 kuryādaparapakṣīyaṃ māsi prauṣṭhapade dvijaḥ	Bhu-_07.14.019/1 kuryAt-apara-pakzIyam mAsi prOzWapade dvijaH
   BhP_07.14.019/2 śrāddhaṃ pitroryathāvittaṃ tadbandhūnāṃ ca vittavān	Bhu-_07.14.019/2 SrAdDam pitroH-yaTAvittam tad-banDUnAm ca vittavAn
   BhP_07.14.020/1 ayane viṣuve kuryādvyatīpāte dinakṣaye	Bhu-_07.14.020/1 ayane vizuve kuryAt-vyatIpAte dinakzaye
   BhP_07.14.020/2 candrādityoparāge ca dvādaśyāṃ śravaṇeṣu ca	Bhu-_07.14.020/2 candra-Aditya-uparAge ca dvAdaSyAm SravaNezu ca
   BhP_07.14.021/1 tṛtīyāyāṃ śuklapakṣe navamyāmatha kārtike	Bhu-_07.14.021/1 tRtIyAyAm Sukla-pakze navamyAm-aTa kArtike
   BhP_07.14.021/2 catasṛṣvapyaṣṭakāsu hemante śiśire tathā	Bhu-_07.14.021/2 catasRzu-api-azwakAsu hemante SiSire taTA
   BhP_07.14.022/1 māghe ca sitasaptamyāṃ maghārākāsamāgame	Bhu-_07.14.022/1 mAGe ca sita-saptamyAm maGArAkA-samAgame
   BhP_07.14.022/2 rākayā cānumatyā ca māsarkṣāṇi yutānyapi	Bha-a_07.14.022/2 rAkayA ca-anumatyA ca mAsa-RkzANi yutAni-api
   BhP_07.14.023/1 dvādaśyāmanurādhā syāc chravaṇastisra uttarāḥ	BhP_07.14.023/1 dvAdaSyAm-anurADA syAt SravaNaH-tisraH uttarAH
   BhP_07.14.023/2 tisṛṣvekādaśī vāsu janmarkṣaśroṇayogayuk	Bhu-_07.14.023/2 tisRzu-ekAdaSI vAsu janma-Rkza-SroNa-yoga-yuj-
   BhP_07.14.024/1 ta ete śreyasaḥ kālā nṝṇāṃ śreyovivardhanāḥ	Bhu-_07.14.024/1 te ete SreyasaH kAlAH nLNAm SreyaH-vivarDanAH
   BhP_07.14.024/2 kuryāt sarvātmanaiteṣu śreyo 'moghaṃ tadāyuṣaḥ	Bhu-_07.14.024/2 kuryAt sarva-AtmanA-etezu SreyaH amoGam tad-A-AyuzaH
   BhP_07.14.025/1 eṣu snānaṃ japo homo vrataṃ devadvijārcanam	Bhu-_07.14.025/1 ezu snAnam japaH homaH vratam deva-dvija-arcanam
   BhP_07.14.025/2 pitṛdevanṛbhūtebhyo yaddattaṃ taddhyanaśvaram	Bhu-_07.14.025/2 pitR-deva-nR-BUteByaH yat-dattam tat-hi-anaSvaram
   BhP_07.14.026/1 saṃskārakālo jāyāyā apatyasyātmanastathā	Bhu-_07.14.026/1 saMskAra-kAlaH jAyAyAH apatyasya-AtmanaH-taTA
   BhP_07.14.026/2 pretasaṃsthā mṛtāhaśca karmaṇyabhyudaye nṛpa	Bhu-_07.14.026/2 preta-saMsTA mRtAhaH-ca karmaNi-aByudaye nRpa
   BhP_07.14.027/1 atha deśān pravakṣyāmi dharmādiśreyāavahān	Bhu-_07.14.027/1 aTa deSAn pravakzyAmi Darma-Adi-SreyAa-vahAn
   BhP_07.14.027/2 sa vai puṇyatamo deśaḥ satpātraṃ yatra labhyate	Bhu-_07.14.027/2 sa vE puNyatamaH deSaH sat-pAtram yatra laByate
   BhP_07.14.028/1 bimbaṃ bhagavato yatra sarvametac carācaram	Bhu-_07.14.028/1 bimbam BagavataH yatra sarvam-etat carAcaram
   BhP_07.14.028/2 yatra ha brāhmaṇakulaṃ tapovidyādayānvitam	Bhu-_07.14.028/2 yatra ha brAhmaNa-kulam tapaH-vidyA-daya-anvitam
   BhP_07.14.029/1 yatra yatra harerarcā sa deśaḥ śreyasāṃ padam	Bhu-_07.14.029/1 yatra yatra hareH-arcA sa deSaH SreyasAm padam
   BhP_07.14.029/2 yatra gaṅgādayo nadyaḥ purāṇeṣu ca viśrutāḥ	Bhu-_07.14.029/2 yatra gaFgA-AdayaH nadyaH purANezu ca viSrutAH
   BhP_07.14.030/1 sarāṃsi puṣkarādīni kṣetrāṇyarhāśritānyuta	Bhu-_07.14.030/1 sarAMsi puzkara-AdIni kzetrANi-arha-ASritAni-uta
   BhP_07.14.030/2 kurukṣetraṃ gayaśiraḥ prayāgaḥ pulahāśramaḥ	Bhu-_07.14.030/2 kurukzetram gayaSiraH prayAgaH pulaha-ASramaH
   BhP_07.14.031/1 naimiṣaṃ phālgunaṃ setuḥ prabhāso 'tha kuśasthalī	Bhu-_07.14.031/1 nEmizam PAlgunam setuH praBAsaH aTa kuSasTalI
   BhP_07.14.031/2 vārāṇasī madhupurī pampā bindusarastathā	Bha-a_07.14.031/2 vArANasI maDupurI pampA bindusaraH-taTA
   BhP_07.14.032/1 nārāyaṇāśramo nandā sītārāmāśramādayaḥ	Bhu-_07.14.032/1 nArAyaNa-ASramaH nandA sItA-ArAma-ASrama-AdayaH
   BhP_07.14.032/2 sarve kulācalā rājan mahendramalayādayaḥ	Bhu-_07.14.032/2 sarve kula-acalAH rAjan mahA-indra-malaya-AdayaH
   BhP_07.14.033/1 ete puṇyatamā deśā harerarcāśritāśca ye	Bhu-_07.14.033/1 ete puNyatamAH deSAH hareH-arcA-ASritAH-ca ye
   BhP_07.14.033/2 etān deśān niṣeveta śreyaskāmo hyabhīkṣṇaśaḥ	Bhu-_07.14.033/2 etAn deSAn nizeveta SreyaskAmaH hi-aBIkzNaSas-
   BhP_07.14.033/3 dharmo hyatrehitaḥ puṃsāṃ sahasrādhiphalodayaḥ	Bhu-_07.14.033/3 DarmaH hi-atrehitaH puMsAm sahasrADiPala-udayaH
   BhP_07.14.034/1 pātraṃ tvatra niruktaṃ vai kavibhiḥ pātravittamaiḥ	Bhu-_07.14.034/1 pAtram tu-atra niruktam vE kaviBiH pAtra-vittamEH
   BhP_07.14.034/2 harirevaika urvīśa yanmayaṃ vai carācaram	Bhu-_07.14.034/2 hariH-eva-ekaH urvISa yad-mayam vE carAcaram
