   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   prakaṭa līlāviṣkāraṃ ca sa dṛṣṭāntaṃ spaṣṭayati  	prakawa  lIlA vizkAram ca sa dRzwAntam spazwayati  
   yathānalaḥ khe 'nila bandhur uṣmā	yaTA analaH Ke anila banDuH uzmA
   balena dāruṇy adhimathyamānaḥ |	balena dAruNi aDimaTyamAnaH |
   aṇuḥ prajāto haviṣā samedhate	aNuH prajAtaH havizA sameDate
   tathaiva me vyaktir iyaṃ hi vāṇī || [BhP 11.12.18]	taTA eva me vyaktiH iyam hi vANI || [Bhj 11.12.18]
   dṛṣṭānto'yaṃ garbhādi krameṇāvirbhāva mātrāṃśe | tṛtīye'pi tad uktaṃ	dRzwAntaH ayam garBa Adi  krameNa AvirBAva  mAtra aMSe | tRtIye api tat uktam
   śrīmad uddhavenaiva   ajo'pi jāto bhagavān yathāgniḥ [BhP 3.2.15] iti |	SrImat  udDavena eva  ajaH api jAtaH BagavAn yaTA agniH [Bhj 3.2.15] iti |
   vyaktir āvirbhāvaḥ | hi yasmād iyaṃ svarahasyaika vijñasya mamaiva vāṇī,	vyaktiH AvirBAvaH | hi yasmAt iyam sva rahasya eka vijQasya mama eva vANI,
   nātrāsambhāvanā vidheyety arthaḥ | tataś cānantaraṃ vakṣyamāṇa evaṃ gadir	na atra asamBAvanA viDeya iti arTaH | tatas ca anantaram vakzyamANaH evam gadiH 
   [BhP 11.12.19] ity ādi granthas tu saṃśayāpattodane vyākhyeyaḥ | evaṃ	[Bhj 11.12.19] iti Adi granTaH tu saMSaya Apattodane vyAKyeyaH | evam
   pūrvokta vākyasyaivārtha bhedena gadir laukika bhāṣaṇam iti jñeyam |	pUrva ukta  vAkyasya eva arTa  Bedena gadiH lOkika BAzaNam iti jQeyam |
   tasyāpy utpattir jñeyety arthaḥ | sa ca sa tātparyako'rtha bhedaṣ ṭīkāyām	tasya api utpattiH jQeyA iti arTaH | sa ca sa tAtparyakaH arTa BedaH wIkAyAm
   eva	eva
   dṛśyate iti ||	dRSyate iti ||
   || 11.12 || śrī śukaḥ || 179 180 ||	|| 11.12 || SrI  SukaH || 179 180 ||
   tad evaṃ śrīmad bhāgavate punar vrajāgamanādi rūpo'yam artho bahudhā	tat evam SrImat  BAgavate punar vraja Agamana Adi  rUpaH ayam arTaH bahuDA
   labdho'pi pādmottara khaṇḍavad yan na spaṣṭatayā varṇitas tat khalu	labDaH api pAdma uttara   KaNxa vat yat na spazwa tayA varNitaH tat Kalu
   nijeṣṭa devatvasya bahirmukhān pratyācchādanecchayā antarmukhān	nija izwa deva tvasya bahirmuKAn pratyAcCAdana icCayA antarmuKAn
   pratyutkaṇṭhā vardhanecchayeti gamyate | ataevoktam   parokṣa vādā ṛṣayaḥ	pratyutkaNWA  varDana icCayA iti gamyate | ataeva uktam  parokza  vAdAH RzayaH
   parokṣaṃ ca mama priyam [BhP 11.21.35] iti | yad etat tu mayā kṣudreṇa	parokzam ca mama priyam [Bhu 11.21.35] iti | yat etat tu mayA kzudreNa
   taralāyitaṃ kṣamatāṃ tat kṣamā śīlaḥ śrīmān gokula vallabhaḥ |	taralAyitam kzamatAm tat kzamA  SIlaH SrImAn gokula  vallaBaH |
   tad etat śrīla vṛndāvane līlā dvayasya milanaṃ sāvasaram eva prastutam |	tat etat SrIla  vRndAvane lIlA  dvayasya milanam sAvasaram eva prastutam |
   dvārakāyāṃ tu prasiddham eva | tatra mauṣalādi līlā māyiky eveti pūrvam	dvArakAyAm tu prasidDam eva | tatra mOzala Adi lIlA mAyikI eva iti pUrvam
   eva darśitam | vastutas tu dvārakāyām eva sa parikarasya śrī bhagavato	eva darSitam | vastutas tu dvArakAyAm eva sa parikarasya SrI  BagavataH 
   nigūḍhatayā sthitir yādavānāṃ ca nitya parikaratvāt tat tyāgena svayaṃ	nigUXa tayA sTitiH yAdavAnAm ca nitya  parikara tvAt tat  tyAgena svayam
   bhagavata evāntardhāne tair atikṣobheṇonmatta ceṣṭair upamarditā pṛthivy	BagavataH eva antarDAne tEH ati kzoBeNa unmatta  cezwEH upamarditA pRTivI 
   eva naśyed iti prathamaṃ teṣām antardhāpanam | ataevoktam  	eva naSyet iti praTamam tezAm antarDApanam | ataeva uktam  
   bhū bhāra rāja pṛtanā yadubhir nirasya	BU  BAra  rAja  pRtanA yaduBiH nirasya
   guptaiḥ sva bāhubhir acintayad aprameyaḥ |	guptEH sva bAhuBiH acintayat aprameyaH |
   manye 'vaner nanu gato 'py agataṃ hi bhāraṃ	manye avaneH nanu gataH api agatam hi BAram
   yad yādavaṃ kulam aho aviṣahyam āste || [BhP 11.1.3] iti |	yat yAdavam kulam aho avizahyam Aste || [Bhj 11.1.3] iti |
   atra teṣām adhārmikatayā tu pṛthivī bhāratvaṃ na mantavyam |	atra tezAm aDArmika tayA tu pRTivI  BAra tvam na mantavyam |
   brahmaṇyānāṃ vadānyānāṃ nityaṃ vṛddhopasevinām |	brahmaNyAnAm vadAnyAnAm nityam vRdDa upasevinAm |
   vipra śāpaḥ katham abhūd vṛṣṇīnāṃ kṛṣṇa cetasām || [BhP 11.1.8] ity ādau	vipra SApaH kaTam aBUt vRzNInAm kRzNa  cetasAm || [Bhj 11.1.8] iti AdO
   śayyāsanāṭanālāpa 	SayyA Asana Awana AlApa 
   krīḍā snānādi karmasu |	krIxA  snAna Adi  karmasu |
   na viduḥ santam ātmānaṃ	na viduH santam AtmAnam
   vṛṣṇayaḥ kṛṣṇa cetasaḥ || [BhP 10.90.46] ity ādau ca parama sādhutva 	vRzNayaH kRzNa  cetasaH || [Bhj 10.90.46] iti AdO ca parama sADu tva 
   prasiddheḥ |	prasidDeH |
   pṛthvī bhāraś ca vyakti bāhulya mātreṇa neṣyate | parvata samudrādīnām	pRTvI BAraH ca vyakti  bAhulya  mAtreNa na izyate | parvata  samudra AdInAm
   anantānāṃ vidyamānatvāt | tathā na vastavyam [BhP 11.7.5] ity ādi	anantAnAm vidyamAna tvAt | taTA na vastavyam [Bhj 11.7.5] iti Adi
   bhagavad 	Bagavat  
   vākyasya tātparyam idam | māyayāpi yadūnāṃ tādṛśatva darśanaṃ	vAkyasya tAtparyam idam | mAyayA api yadUnAm tAdRSa tva  darSanam
   mamānanda vaibhava dhāmni madīya jana sukhada mad vilāsaika nidhau	mama Ananda vEBava  DAmni madIya  jana  suKa da mad  vilAsa eka niDO
   dvārakāyāṃ nocitaṃ, prabhāse tu tat tad yogād ucitam iti |	dvArakAyAm na ucitaM, praBAse tu tat  tad  yogAt ucitam iti |
   atha ca jijīviṣubhiḥ [BhP 11.6.34] ity uktvā vṛjināni tariṣyāmaḥ [BhP	aTa ca jijIvizuBiH [Bhu 11.6.34] iti uktvA vRjinAni tarizyAmaH [BhP
   iti coktvā vastutas tu teṣāṃ tādṛśatvaṃ na bhaviṣyatīty evoktam | (page	iti ca uktvA vastutas tu tezAm tAdRSa tvam na Bavizyati iti eva uktam | (page
   tatra cāsmābhiḥ iti vayam iti coktvā svenaikya sūcanayā svātmavad	tatra ca asmABiH iti vayam iti ca uktvA svena Ekya sUcanayA sva Atma vat 
   anyathābhāvatvam eka gatitvaṃ vyañjitam iti |	anyaTA BAva tvam eka gati tvam vyaQjitam iti |
   tad evaṃ sthite taiḥ sākaṃ śrī bhagavato dvārakāyām eva nityāṃ sthitim āha	tat evam sTite tEH sAkam SrI  BagavataH dvArakAyAm eva nityAm sTitim Aha
   dvārakāṃ hariṇā tyaktāṃ samudro 'plāvayat kṣaṇāt |	dvArakAm hariNA tyaktAm samudraH aplAvayat kzaNAt |
   varjayitvā mahārāja śrīmad bhagavad ālayam ||	varjayitvA mahA rAja SrI mat  Bagavat  Alayam ||
   nityaṃ sannihitas tatra bhagavān madhusūdanaḥ |	nityam sannihitaH tatra BagavAn maDusUdanaH |
   smṛtyāśeṣāśubha haraṃ sarva maṅgala maṅgalam || [BhP 11.31.23 24]	smRtyA aSeza aSuBa haram sarva maFgala maFgalam || [Bhj 11.31.23 24]
   loka dṛṣṭyaiva hariṇā tyaktām atyaktām iti vā, nityaṃ sannihita iti	loka dRzwyA eva hariNA tyaktAm atyaktAm iti vA, nityam sannihitaH iti
   vakṣyamāṇatvāt | tataś cobhayathāpy āplāvanaṃ parito jalena parikhāvad	vakzyamANa tvAt | tatas ca uBayaTA api AplAvanam paritas jalena pariKA vat 
   āvaraṇaṃ taj jala majjanaṃ ca samudreṇaiva śrī bhagavad ājñayā tyakta 	AvaraNam tat  jala  majjanam ca samudreNa eva SrI  Bagavat  AjQayA tyakta 
   bhūmi lakṣaṇasya hastināpura prasthāpita bahirjana gṛhādy adhiṣṭhāna 	BUmi lakzaNasya hastinApura  prasTApita bahis jana gRha Adi  aDizWAna 
   bahir āvaraṇasyaiva | tathā racanaṃ viśva karmaṇā tasyaiva prakaṭa līlāyāḥ	bahis  AvaraNasya eva | taTA racanam viSva karmaNA tasya eva prakawa   lIlAyAH
   prāpañcika miśratvāt | ataḥ sudharmādīnāṃ svargād āgamanaṃ ca yujyate |	prApaQcika  miSra tvAt | atas suDarma AdInAm svargAt Agamanam ca yujyate |
   aprakaṭa līlāyāṃ tato'pi divyataraṃ sabhāntarādikam api syāt | śrīmān	aprakawa  lIlAyAm tatas api divyataram saBA antara Adikam api syAt | SrImAn
   yādavādi gṛha vṛnda lakṣaṇa śobhopaśobhāvān yo bhagavad ālayas taṃ	yAdava Adi gRha  vRnda  lakzaNa  SoBa upaSoBAvAn yaH Bagavat  AlayaH tam
   varjayitvā | tad evam adyāpi samudra madhye kadācid asau dūrataḥ kiñcid	varjayitvA | tat evam adya api samudra  maDye kadAcid asO dUratas kiQcid 
   dṛśyate iti tatratyānāṃ mahatī prasiddhiḥ | atra mahārājeti sambodhanaṃ	dRSyate iti tatratyAnAm mahatI prasidDiH | atra mahA rAja iti samboDanam
   dṛṣṭānta garbham | yad vā mahānto rājāno yādava lakṣaṇā yatra	dRzwAnta garBam | yat vA mahAntaH rAjAnaH yAdava  lakzaNAH yatra
   tathābhūtaṃ tad ālayaṃ śrī kṛṣṇa nitya dhāma rūpaṃ dvārakā puram | na	taTABUtam tat  Alayam SrI kRzNa nitya  DAma rUpam dvArakA  puram | na
   kevalaṃ pura mātrāstitvaṃ tatra ca śrīmati bhagavad ālaye madhusūdanaḥ	kevalam pura mAtrA astitvam tatra ca SrImati Bagavat  Alaye maDusUdanaH
   śrī kṛṣṇo nityam eva sannihitaḥ | arthāt tatratyānāṃ kiṃ vā na tatra	SrI  kRzNaH nityam eva sannihitaH | arTAt tatratyAnAm kim vA na tatra
   sannihitaḥ | bhagavān yādavādi lakṣaṇākhila nijaiśvaryavān eva |	sannihitaH | BagavAn yAdava Adi  lakzaNa aKila  nija ESvaryavAn eva |
   tad ālayam eva viśinaṣṭi smṛtyeti | sākṣād adhunā vyakta tad 	tat  Alayam eva viSinazwi smRtyA iti | sAkzAt aDunA vyakta  tad  
   darśanābhāvāt smṛtyety uktam | yaḥ svayam evambhūtas tasya tv anyathā	darSana aBAvAt smRtyA iti uktam | yaH svayam evamBUtaH tasya tu anyaTA
   sambhāvitatvam api nāstīti | evam eva viṣṇu purāṇe  	samBAvita tvam api na asti iti | evam eva vizNu purANe  
   plāvayāmāsa tāṃ śūnyāṃ dvārakāṃ ca mahodadhiḥ |	plAvayAmAsa tAm SUnyAm dvArakAm ca mahA udaDiH |
   nityaṃ sannihitas tatra bhagavān keśavo yataḥ ||	nityam sannihitaH tatra BagavAn keSavaH yatas ||
   tad atīva mahā puṇyaṃ sarva pāpa praṇāśanam |	tat atIva mahA  puNyam sarva pApa  praNASanam |
   viṣṇu krīḍānvitaṃ sthānaṃ dṛṣṭvā pāpāt pramucyate || [ViP 5.38.9 10] iti |	vizNu  krIxA anvitam sTAnam dRzwvA pApAt pramucyate || [ViP 5.38.9 10] iti |
   [Vṛ. adds here: tathaiva śrī hari vaṃśe yādavān pratīndra preṣitasya	[VR. addH here: taTA eva SrI  hari vaMSe yAdavAn pratIndra  prezitasya
   nāradasya vākyam  	nAradasya vAkyam  
   kṛṣṇo bhogavatīṃ ramyām ṛṣi kāntāṃ mahā yaśāḥ |	kRzNaH BogavatIm ramyAm Rzi kAntAm mahA yaSAH |
   dvārakām ātmasāt kṛtvā samudraṃ gamayiṣyati || [HV 2.102.32]	dvArakAm AtmasAt kRtvA samudram gamayizyati || [HV 2.102.32]
   ity atra ātmasāt kṛtvā iti na tu tyaktveti | Vṛ. addition ends.]	iti atra AtmasAt kRtvA iti na tu tyaktvA iti | VR. addition ends.]
   || 11.31 || śrī śukaḥ || 181 ||	|| 11.31 || SrI  SukaH || 181 ||
   tad evam aprakaṭa prakaṭa līlayoḥ samanvayo darśitaḥ | ete eva pādmottara 	tat evam aprakawa  prakawa  lIlayoH samanvayaH darSitaH | ete eva pAdma uttara 
   khaṇḍe bhoga līlā śabdābhyām ucyete   bhoge nitya sthitis tasya līlāṃ	KaNxe Boga  lIlA  SabdAByAm ucyete  Boge nitya  sTitiH tasya lIlAm
   saṃharate kadā [BhP 6.226.9] ity ādinā | yāṃ kadācit saṃharate sā līlety	saMharate kadA [Bhu 6.226.9] iti AdinA | yAm kadAcid saMharate sA lIlA iti 
   arthaḥ | tatra prakaṭa līlā gata bhāvasya	arTaH | tatra prakawa  lIlA gata BAvasya
   viraha saṃyogādi līlā vaicitrī bhara 	viraha  saMyoga Adi lIlA  vEcitrI  Bara 
   vāhitvena balavattaratvāt ubhaya līlaikī bhāvānantaram api tanmayas teṣām	vAhi tvena balavattara tvAt uBaya  lIlA ekI BAva anantaram api tad mayaH tezAm
   abhimāno'nuvartate eva | tatraiśvarya jñāna saṃvalita bhāvānāṃ śrī 	aBimAnaH anuvartate eva | tatra ESvarya  jQAna  saMvalita  BAvAnAm SrI 
   yādavānāṃ sa tāvan nūnam evaṃ sambhavati | aho sarva daivānya jīvātūnām	yAdavAnAm sa tAvat nUnam evam samBavati | aho sarva dEvAni a jIvAtUnAm
   asmākam īśitā śrī kṛṣṇākhyo bhagavān ayaṃ nānā līlāmṛta nirjharaiḥ	asmAkam ISitA SrI kRzNa AKyaH BagavAn ayam nAnA  lIlA amRta  nirJarEH
   sāndrānanda camatkāram āsvādayituṃ yādava śikhāmaṇer nityam eva pitṛ 	sAndra Ananda camatkAram AsvAdayitum yAdava  SiKAmaNeH nityam eva pitR 
   bhāva samṛddhasya śrīmad ānakadundubher gṛhe sva janmanā svān svān	BAva  samRdDasya SrImat  AnakadunduBeH gRhe sva  janmanA svAn svAn
   alaṃcakāra | tataś ca sādhitāsmad ānanda satra pradhāna vividha kāryaḥ	alaMcakAraH | tatas ca sADitA asmad a Ananda satra  praDAna  viviDa kAryaH
   parama bāndhavo'sau parameśvaras tat tad rūpān evāsmān punar	parama   bAnDavaH asO parameSvaraH tat  tad  rUpAn eva asmAn punar 
   brahmādyair api duradhigame śrī mathurā nāmni śrī dvārakā nāmni vā	brahma AdyEH api duraDigame SrI maTurA  nAmni SrI  dvArakA  nAmni vA
   parama dhāmni nānā mādhurī dhurīṇābhir ātma līlābhir anuśīlita eva	parama  DAmni nAnA mADurI  DurINABiH Atma lIlABiH anuSIlitaH eva
   (page 106) vibhrājate iti | so'yam abhimānaḥ śrī vṛndāvane tu nija nija 	(page 106) viBrAjate iti | saH ayam aBimAnaH SrI  vRndAvane tu nija nija 
   sambandha sandhāyaka premaikānusāriṇāṃ śrī vraja vāsināṃ nūnam eva	sambanDa  sanDAyaka  prema eka anusAriNAm SrI vraja  vAsinAm nUnam eva
   samujjṛmbhate   ahoyo'sau gokula kula bhāga dheya puñja mañjula prakāśo	samujjRmBate  ahoyaH asO go kula  kula BAga Deya  puQja  maQjula  prakASaH 
   mādṛśāṃ dṛśāṃ jīvana sañcaya nirmañchanīya pāda lāñchana leśo	mAdRSAm dRSAm jIvana  saQcaya  nirmaQCanIya  pAda lAQCana  leSaH 
   vāñchātīta sukha santati santānako mahā vana vraja mahā khanijaninī nīla 	vAQCAti ita  suKa  santati  santAnakaH mahA  vana vraja  mahA Kani janinI  nIla 
   maṇir āvirāsīt | yo'sau duṣṭa bhoja rāja visṛṣṭaiḥ pūtanādi graha samūhair	maNiH AvirAsIt | yaH asO duzwa  Boja  rAja  visRzwEH pUtanA Adi  graha  samUhEH 
   uparako'pi muhur anukūlena vidhinā teṣāṃ svayam eva vināśa pūrvakaṃ	uparakaH api muhur anukUlena viDinA tezAm svayam eva vinASa  pUrvakam
   cakorebhyaḥ candramā ivāsmabhyaṃ vitīrṇa evāsīt | yo'sau tādṛśa tadīya 	cakoreByaH candramAH iva asmaByam vitIrNaH eva AsIt | yaH asO tAdRSa tadIya 
   mahā guṇa gaṇād eva parituṣyadbhir muni devair iva dattena kenāpi	mahA  guNa  gaNAt eva parituzyadBiH muni devEH iva dattena kena api
   prabhāveṇa muhur api vipad gaṇād ātma kleśam agaṇayann eva naḥ	praBAveNa muhur api vipad  gaNAt Atma   kleSam agaNayan eva naH
   paritrātavān | yo'sau nija śīla lāvaṇya rūpa guṇa vilāsa keli vinigūḍha 	paritrAtavAn | yaH asO nija  SIla  lAvaNya  rUpa guNa  vilAsa  keli  vinigUXa 
   sauhṛdya prakaṭana cāturī gumphita mādhurībhir asmān susṭhu puṣṭāṃś	sOhRdya  prakawana  cAturI  gumPita  mADurIBiH asmAn susWu puzwAnS
   cakāra | yo'sau laghunāpi guṇābhāsenāsmākam ānanda sandoham	cakAra | yaH asO laGunA api guNa ABAsena asmAkam Ananda  sandoham
   abhivindamāno yad yad api mādṛśām abhilaṣitaṃ tad atītā vā tat tad api	aBivindamAnaH yat yat api mAdRSAm aBilazitam tat  atItAH vA tat tat api
   pratilavam apy āścarya bhūtaṃ nija mādhurya varyam ullāsitavān | yo'sau	pratilavam api AScarya BUtam nija  mADurya  varyam ullAsitavAn | yaH asO
   sakala sādhu janāvanāya vikhyāpita yādava sambandhas tad dvārā svayam	sakala  sADu  janAvanAya viKyApita yAdava  sambanDaH tad  dvArA svayam
   api ca rājanyāsura saṅgha saṃharaṇāya yadu purīṃ prasthitavān | yo'sau	api ca rAjanyAsura  saFGa  saMharaNAya yadu purIm prasTitavAn | yaH asO
   kāryānurodhena tatraiva cirāya tiṣṭhata ātmano viprayogena satapta buddhīn	kArya anuroDena tatra eva cirAya tizWataH AtmanaH viprayogena sa tapta  budDIn
   uddhavādibhir asmān asakṛd āśvāsayāmāsa | yo'sau punar utkaṇṭhā koṭi 	udDava AdiBiH asmAn asakRt ASvAsayAmAsa | yaH asO punar  utkaNWA  kowi 
   samākṛṣṭa mūrtibhis tīrtha vrajyā vyājena kurukṣetra pragatair asmābhiḥ	samAkRzwa mUrtiBiH tIrTa vrajyA  vyAjena kurukzetra  pragatEH asmABiH
   śvāsa mātrāvaśiṣṭair ivāmṛta vāridhi rūpa labdho babhūva | yo'sau	SvAsa  mAtra avaSizwEH iva amRta vAriDi  rUpa labDaH baBUva | yaH asO
   tathāvidhān asmān ātma sannidhau māsa katipayaṃ saṃvāsya parama 	taTAviDAn asmAn Atma  sanniDO mAsa  katipayam saMvAsya parama 
   svajanayā mudhaiva kṛtābhimānebhyo yādavebhyo nigūḍhāṃ kām api sneha 	sva janayA muDA eva kRta aBimAneByaH yAdaveByaH nigUXAm kAm api sneha 
   mudrām asmāsu samudghaṭayya bhavatām evāham iti vyañjanayā muhur	mudrAm asmAsu samudGawayya BavatAm eva aham iti vyaQjanayA muhur 
   evāsmān abhitaḥ sandhukṣitavān | yo'sau śrī vṛndāvanam evāsmākam	eva asmAn aBitas sanDukzitavAn | yaH asO SrI  vRndAvanam eva asmAkam
   ātmano'pi paramam abhīṣṭam iti niṣṭaṅkya śapathādinā nija jhaṭity 	AtmanaH api paramam aBIzwam iti nizwaFkya SapaTa AdinA nija  Jawity 
   āgamane visrabhya sāgraham asmān atraiva prasthāpitavān | so'yam aho	Agamane visraBya sAgraham asmAn atra eva prasTApitavAn | saH ayam aho
   akṛtāpara kartavya śeṣa evāsmān nijāgamanaṃ vinā samārabdha prāṇa koṭi 	akRta apara kartavya  SezaH eva asmAn nija Agamanam vinA samArabDa  prANa  kowi 
   mocana vyavasāyān āśaṅkya jhaṭiti svayam eva gokulaṃ sāmpratam āgamya	mocana  vyavasAyAn ASaFkya Jawiti svayam eva gokulam sAmpratam Agamya
   nija viraha kāla vyāla mukhān niṣkāsya ca svāvalokanāmṛta pūreṇa siñcann	nija  viraha  kAla  vyAla  muKAt nizkAsya ca sva avalokana amRta pUreNa siQcan= 
   evāste |	eva Aste |
   tatra ca pratikṣaṇam api nava navī kṛtenānanya sādhāraṇena kenāpi sneha 	tatra ca pratikzaNam api nava navI  kRtena ananya  sADAraNena kena api sneha 
   sandohamayena kevalena nija svabhāva viśeṣeṇa tatrāpi nija saundarya 	sanda Uha mayena kevalena nija  svaBAva  viSezeNa tatra api nija  sOndarya 
   varyāmṛta pūra prapācaya cayanena, tatrāpi vividha puṣpādi vibhūṣaṇa para 	varyAmRta  pUra  prapAcaya  cayanena, tatra api viviDa  puzpa Adi viBUzaNa para 
   bhāga parābhogena, tatrāpi vilāsa mādhurī dhurā viśeṣādhānena, tatrāpi	BAga  para ABogena, tatra api vilAsa  mADurI  DurA  viSeza ADAnena, tatra api
   vicitra guṇa gaṇollāsa camatkāra vidyā vinodena, tatrāpi go pālana 	vicitra  guNa  gaNa ullAsa  camatkAra  vidyA vinodena, tatra api go pAlana 
   gavākāraṇa bālya krīḍana mohana mantrāyita muralī vādanādi vibhrameṇa,	gavA kAraNa  bAlya  krIxana  mohana  mantrAyita  muralI  vAdana Adi  viBrameNa,
   tatrāpi gokula nirgamana praveśādi līlā cāturī mādhuryāḍambareṇa, tatrāpi	tatra api go kula  nirgamana  praveSa Adi  lIlA cAturI  mADurya AxambareNa, tatra api
   suhṛdāṃ yathāyatham anusantarpaṇa keli kalā viśeṣa prakāśita 	suhRdAm yaTAyaTam anusantarpaNa  keli  kalA  viSeza  prakASita 
   snehātiśayenāsmān upalālayann evāste |	sneha atiSayena asmAn upalAlayan eva Aste |
   tena vayam aho samaya gamanāgamanam api sambhālayituṃ na pārayāma iti |	tena vayam aho samaya gamana Agamanam api samBAlayitum na pArayAmaH iti |
   etad anusāreṇa dvārakātaḥ samāgate śrī kṛṣṇe keṣāñcid vraja vāsinām eva	etat  anusAreNa dvArakAtaH samAgate SrI kRzNe kezAQcid vraja  vAsinAm eva
   tadānīntanam ullāsa vacanaṃ jayati jananivāsa [BhP 10.90.48] ity ādikaṃ	tadA anIntanam ullAsa  vacanam jayati jana nivAsa [Bhj 10.90.48] iti  Adikam
   śrī 	SrI 
   śuka mukhād āvirbhūtam iti vrajaikānta bhaktā vyācakṣante |	Suka  muKAt AvirBUtam iti vraja ekAnta  BaktAH vyAcakzante |
   akleśenaivārtha viśeṣa sphūrteḥ | sambhavati ca śrī bhāgavatasya	akleSena eva arTa  viSeza  sPUrteH | samBavati ca SrI  BAgavatasya
   vicitrārthatvaṃ, vidvat kāma dhenu rūpatvāt | tathā hi jayati ity ādi |	vicitra arTa tvan, vidvat kAm a Denu  rUpa tvAt | taTA hi jayati iti Adi |
   ko'pi so'yam asmākaṃ jīvana koṭi priyatamo viṣvak pracāreṇa śrī 	kaH api saH ayam asmAkam jIvana  kowi  priyatamaH vizvak  pracAreNa SrI 
   vṛndāvanasyaiva (page 107) viśeṣataḥ sthāvarāṇāṃ jaṅgamānāṃ ca tad 	vRndAvanasya eva (page 107) viSezataH sTAvarANAm jaFgamAnAm ca tat  
   virahād yad duḥkhaṃ tan nihantā jayati sarvotkarṣeṇa vartate | arthāc	virahAt yat duHKam tan  nihantA jayati sarva utkarzeNa vartate | arTAc
   chrī 	CrI 
   vṛndāvana eva | śrī vṛndāvanasya sthāvarāṇām api bhāvo varṇita eva,	vRndAvanaH eva | SrI  vRndAvanasya sTAvarANAm api BAvaH varNitaH eva,
   kevalenaiva bhāvena ity ādinā | kena viśiṣṭaḥ ? susmitena śrī mukhena |	kevalena eva BAvena iti AdinA | kena viSizwaH ? su smitena SrI muKena |
   etena sadātanam ānandaika rasatvaṃ sveṣu sadaiva suprasannatvaṃ ca tasya	etena sadAtanam Ananda eka rasa tvam svezu sadA eva su prasanna tvam ca tasya
   prakāśitam | kiṃ kurvan ? vraja rūpaṃ yat puraṃ tat sambandhinyo yā vanitā	prakASitam | kim kurvan ? vraja  rUpam yat puram tat sambanDinyaH yA vanitA
   janitānurāgāḥ kula vadhvas tāsāṃ kāma devaṃ sarva 	janita anurAgAH kula  vaDvaH tAsAm kAma devam sarva 
   premānandoparivirājamānatvāt tāsāṃ kāmas tu devaḥ parama divya rūpas	prema Ananda upari virAjamAna tvAt tAsAm kAmaH tu devaH parama divya  rUpas
   taṃ vardhayan |	tam varDayan |
   nanu śrī devakyāḥ putro'yam ity evaṃ vadanti, tat kathaṃ yusmākam	nanu SrI  devakyAH putraH ayam iti evam vadanti, tat kaTam yusmAkam
   atrāsmadīyatvenābhimānaḥ ? tatrāha devakyāṃ janmeti vādo mithyaiva loka 	atra asmadIya tvena aBimAnaH ? tatra Aha devakyAm janma iti vAdaH miTyA eva loka 
   khyātir yasya saḥ | tarhi kathaṃ vāsudeva iti nāmety āśaṅkyāha jananivāso	KyAtiH yasya saH | tarhi kaTam vAsudevaH iti nAma iti ASaFkya Aha jana nivAsaH 
   janānāṃ svajanānām asmākaṃ nivāsatvād āśrayatvād eva tathābhidhīyata	janAnAm sva janAnAm asmAkam nivAsa tvAt ASraya tvAt eva taTA aBiDIyata
   ity arthaḥ | svajaneṣv asmāsu kṛta vāsatvād eva vā | tataś cādhikaraṇe	iti arTaH | sva janezu asmAsu kRta  vAsa tvAt eva vA | tatas ca aDikaraNe
   kartari	kartari
   vauṇādiko vāsuḥ | sa ca dīvyati krīḍatīti devaś ca sa iti vigrahaḥ | prāg	vONAdikaH vAsuH | sa ca dIvyati krIxati iti devaH ca saH iti vigrahaH | prAk 
   ayaṃ	ayam
   vāsudevasya [BhP 10.8.14] ity ādikā śrī gargoktir api nāsmabhyaṃ bhātīti	vAsudevasya [Bhu 10.8.14] iti AdikA SrI  garga uktiH api na asmaByam BAti iti
   bhāvaḥ | kim artham asau devakī janma vādo'bhūd ity āśaṅkāyām āha  	BAvaH | kim arTam asO devakI  janma  vAdaH aBUt iti ASaFkAyAm Aha  
   yadu varāḥ pariṣat sahāya rūpā yatra tādṛśaṃ yathā syāt tathā, svair	yadu varAH parizat  sahAya  rUpA yatra tAdRSam yaTA syAt taTA, svEH 
   dorbhir	dorBiH 
   bhuja prāyair arjunādibhir adharmaṃ tat pracuraṃ duṣṭa kulam asyan	Buja  prAyEH arjuna AdiBiH aDarmam tat pracuram duzwa  kulam asyan
   nihantuṃ, lakṣaṇa hetvoḥ, kriyāyāḥ śatṛ pratyaya smaraṇāt | tasyām ātma 	nihantuM, lakzaNa  hetvoH, kriyAyAH SatR pratyaya  smaraNAt | tasyAm Atma 
   janmani khyāpite te te sahāyā bhaviṣyantīty evam anusandhāyety arthaḥ |	janmani KyApite te te sahAyAH Bavizyanti iti evam anusanDAya iti arTaH |
   tathoktaṃ kaṃsa vadhānantaraṃ śrī kṛṣṇena śrī vrajeśvaraṃ prati jñātīn vo	taTA uktam kaMsa vaDa anantaram SrI kRzNena SrI  vrajeSvaram prati jQAtIn vaH 
   draṣṭum eṣyāmo vidhāya suhṛdāṃ sukham [BhP 10.45.23] iti | atra	drazwum ezyAmaH viDAya suhRdAm suKam [Bhj 10.45.23] iti | atra
   viśeṣeṇenaiva śrī kṛṣṇa rūpa viśeṣya padam upasthāpyate ayam udayati	viSezeNena eva SrI kRzNa  rUpa viSezya  padam upasTApyate ayam udayati
