   TEXT IN PAUSA	TA-eXT Iz PAUSA
   GG_7.25-1 jita-bisa-śakale mṛdu-bhuja-yugale kara-tala-nalinī-dale /	Gu-_7.25-1 jita-bisa-Sakale mRdu-Buja--yugale kara-tala-nalinI--dale /
   GG_7.25-2 marakata-valayam madhu-kara-nicayam vitarati hima-śītale //	Gu-_7.25-2 marakata--valayam maDu-kara--nicayam vitarati hima-SItale //
   GG_7.25-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.25-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
   GG_7.26-1 rati-gṛha-jaghane vipula-apaghane manasija-kanaka-āsane /	Gu-_7.26-1 rati-gRha--jaGane vipula--apaGane manasi-ja--kanaka--Asane /
   GG_7.26-2 maṇi-maya-rasanam toraṇa-hasanam vikirati kṛta-vāsane //	Gu-_7.26-2 maNi-maya--rasanam toraNa--hasanam vikirati kRta--vAsane //
   GG_7.26-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.26-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
   GG_7.27-1 caraṇa-kisalaye kamalā-nilaye nakha-maṇi-gaṇa-pūjite /	Gu-_7.27-1 caraNa--kisalaye kamalA--nilaye naKa-maNi--gaNa--pUjite /
   GG_7.27-2 bahiḥ-apavaraṇam yāvaka-bharaṇam janayati hṛdi yojite //	Gu-_7.27-2 bahis--apavaraNam yAvaka-BaraNam janayati hRdi yojite //
   GG_7.27-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.27-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
   GG_7.28-1 ramayati sudṛśam kāmapi subhṛśam khala-haladhara-sodare /	Gu-_7.28-1 ramayati sudRSam kAm-api su-BRSam Kala-halaDara--sodare /
   GG_7.28-2 kim aphalam avasam ciram iha virasam vada sakhi viṭapa-udare //	Gu-_7.28-2 kim aPalam avasam ciram iha virasam vada saKi viwapa--udare //
   GG_7.28-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.28-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
   GG_7.29-1 iha rasa-bhaṇane kṛta-hari-guṇane madhuripu-pada-sevake /	Gu-_7.29-1 iha rasa--BaNane kRta--hari--guNane maDuripu-pada--sevake /
   GG_7.29-2 kaliyuga-caritam na vasatu duritam kavi-nṛpa-jayadevake //	Gu-_7.29-2 kali-yuga--caritam na vasatu duritam kavi--nRpa-jayadevake //
   GG_7.29-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.29-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
   GG_7.30-1 na āyātaḥ sakhi nirdayaḥ yadi śaṭhaḥ tvam dūti kim dūyase	Gu-_7.30-1 na AyAtaH saKi nirdayaH yadi SaWaH tvam dUti kim dUyase
   GG_7.30-2 svacchandam bahu-vallabhaḥ saḥ ramate kim tatra te dūṣaṇam /	Gu-_7.30-2 svacCandam bahu-vallaBaH saH ramate kim tatra te dUzaNam /
   GG_7.30-3 paśya adya priya-saṃgamāya dayitasya ākṛṣyamāṇam guṇaiḥ	Gu-_7.30-3 paSya adya priya--saMgamAya dayitasya AkRzyamANam guNEH
   GG_7.30-4 utkaṇṭha-ārti-bharāt iva sphuṭat idam cetaḥ svayam yāsyāmi //	Gu-_7.30-4 utkaNWa--Arti--BarAt iva sPuwat idam cetaH svayam yAsyAmi //
   GG_7.31-1 anila-tarala-kuvalaya-nayanena /	Gu-_7.31-1 anila-tarala--kuvalaya--nayanena /
   GG_7.31-2 tapati na sā kisalaya-śayanena //	Gu-_7.31-2 tapati na sA kisalaya--Sayanena //
   GG_7.31-3 sakhi yā ramitā vanamālinā //	Gu-_7.31-3 saKi yA ramitA vanamAlinA //
   GG_7.32-1 vikasita-sarasija-lalita-mukhena /	Gu-_7.32-1 vikasita--sarasija---lalita-muKena /
   GG_7.32-2 sphuṭati na sā manasija-viśikhena //	Gu-_7.32-2 sPuwati na sA manasija--viSiKena //
   GG_7.32-3 sakhi yā ramitā vanamālinā //	Gu-_7.32-3 saKi yA ramitA vanamAlinA //
   GG_7.33-1 amṛta-madhura-mṛdutara-vacanena /	Gu-_7.33-1 amRta--maDura--mRdutara-vacanena /
   GG_7.33-2 jvalati na sā malayaja-pavanena //	Gu-_7.33-2 jvalati na sA malayaja--pavanena //
   GG_7.33-3 sakhi yā ramitā vanamālinā //	Gu-_7.33-3 saKi yA ramitA vanamAlinA //
   GG_7.34-1 sthala-jala-ruha-rucikara-caraṇena /	Gu-_7.34-1 sTala--jala--ruha--ruci-kara--caraNena /
   GG_7.34-2 luṭhati na sā himakara-kiraṇena //	Gu-_7.34-2 luWati na sA himakara--kiraNena //
   GG_7.34-3 sakhi yā ramitā vanamālinā //	Gu-_7.34-3 saKi yA ramitA vanamAlinA //
   GG_7.35-1 sajala-jalada-samudaya-rucireṇa /	Gu-_7.35-1 sa-jala--jala-da--samudaya--rucireNa /
   GG_7.35-2 dalati na sā hṛdi cira-viraheṇa //	Gu-_7.35-2 dalati na sA hRdi cira--viraheNa //
   GG_7.35-3 sakhi yā ramitā vanamālinā //	Gu-_7.35-3 saKi yA ramitA vanamAlinA //
   GG_7.36-1 kanaka-nikaṣa-ruci-śuci-vasanena /	Gu-_7.36-1 kanaka-nikaza--ruci--Suci-vasanena /
   GG_7.36-2 śvasiti na sā parijana-hasanena //	Gu-_7.36-2 Svasiti na sA parijana--hasanena //
   GG_7.36-3 sakhi yā ramitā vanamālinā //	Gu-_7.36-3 saKi yA ramitA vanamAlinA //
   GG_7.37-1 sakala-bhuvana-jana-vara-taruṇena /	Gu-_7.37-1 sakala--Buvana--jana-vara--taruNena /
   GG_7.37-2 vahati na sā rujam atikaruṇena //	Gu-_7.37-2 vahati na sA rujam ati-karuNena //
   GG_7.37-3 sakhi yā ramitā vanamālinā //	Gu-_7.37-3 saKi yA ramitA vanamAlinA //
   GG_7.38-1 śrījayadeva-bhaṇita-vacanena /	Gu-_7.38-1 SrI-jayadeva--BaNita--vacanena /
   GG_7.38-2 praviśatu hariḥ api hṛdayam anena //	Gu-_7.38-2 praviSatu hariH api hRdayam anena //
   GG_7.38-3 sakhi yā ramitā vanamālinā //	Gu-_7.38-3 saKi yA ramitA vanamAlinA //
   GG_7.39-1 manobhava-ānandana candana-anila	Gu-_7.39-1 manoBava-Anandana candana--anila
   GG_7.39-2 prasīda re dakṣiṇa muñca vāmatām /	Gu-_7.39-2 prasIda re dakziNa muQca vAma-tAm /
   GG_7.39-3 kṣaṇam jagat-prāṇa vidhāya mādhavam	Gu-_7.39-3 kzaNam jagat-prANa viDAya mADavam
   GG_7.39-4 puraḥ mama prāṇa-haraḥ bhaviṣyasi //	Gu-_7.39-4 puras mama prANa-haraH Bavizyasi //
   GG_7.40-1 ripuḥ iva sakhī-saṃvāsaḥ ayam śikhī iva hima-anilaḥ	Gu-_7.40-1 ripuH iva saKI--saMvAsaH ayam SiKI iva hima-anilaH
   GG_7.40-2 viṣam iva sudhā-raśmiḥ yasmin dunoti manaḥ-gate /	Gu-_7.40-2 vizam iva suDA-raSmiH yasmin dunoti manaH--gate /
   GG_7.40-3 hṛdayam adaye tasmin evam punaḥ valate balāt	Gu-_7.40-3 hRdayam adaye tasmin evam punar valate balAt-
   GG_7.40-4 kuvalaya-dṛśām vāmaḥ kāmaḥ nikāma-niraṅkuśaḥ //	Gu-_7.40-4 kuvalaya-dRSAm vAmaH kAmaH nikAma--niraFkuSaH //
   GG_7.41-1 bādhām vidhehi malaya-anila pañcabāṇa	Gu-_7.41-1 bADAm viDehi malaya--anila paQcabANa-
   GG_7.41-2 prāṇān gṛhāṇa na gṛham punaḥ āśrayiṣye /	Gu-_7.41-2 prANAn gRhANa na gRham punar ASrayizye /
   GG_7.41-3 kim te kṛta-anta-bhagini kṣamayā taraṅgaiḥ	Gu-_7.41-3 kim te kRta--anta-Bagini kzamayA taraFgEH
   GG_7.41-4 aṅgāni siñca mama śāmyatu deha-dāhaḥ //	Gu-_7.41-4 aFgAni siQca mama SAmyatu deha-dAhaH //
   GG_8.1-1 atha katham api yāminīm vinīya smara-śara-jarjaritā api sā	Gu-_8.1-1 aTa kaTam api yAminIm vinIya smara-Sara--jarjaritA api sA
   prabhāte /	praBAte /
   GG_8.1-2 anunaya-vacanam vadantam agre praṇatam api priyam āha sābhyasūyam	Gu-_8.1-2 anunaya-vacanam vadantam agre praNatam api priyam Aha sa-aByasUyam
   GG_8.2-1 rajani-janita-guru-jāgara-rāga-kaṣāyitam alasa-niveśam /	Gu-_8.2-1 raja-ni-janita---guru--jAgara--rAga--kazAyitam alasa-niveSam /
   GG_8.2-2 vahati nayanam anurāgam iva sphuṭam udita-rasa-abhiniveśam //	Gu-_8.2-2 vahati nayanam anurAgam iva sPuwam udita--rasa--aBiniveSam //
   GG_8.2-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.2-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.2-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.2-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.3-1 kajjala-malina-vilocana-cumbana-viracita-nīlima-rūpam /	Gu-_8.3-1 kajjala--malina--vilocana--cumbana-viracita--nIlim-a-rUpam /
   GG_8.3-2 daśana-vasanam aruṇam tava kṛṣṇa tanoti tanoḥ anurūpam //	Gu-_8.3-2 daSana-vasanam aruNam tava kRzNa tanoti tanoH anurUpam //
   GG_8.3-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.3-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.3-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.3-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.4-1 vapuḥ anuharati tava smara-saṅgara-khara-nakhara-kṣata-rekham /	Gu-_8.4-1 vapuH anuharati tava smara--saFgara--Kara--naKara--kzata-reKam /
   GG_8.4-2 marakata-śakala-kalita-kaladhauta-lipeḥ iva rati-jaya-lekham //	Gu-_8.4-2 maraka-ta-Sakala--kalita-kalaDOta-lipeH iva rati-jaya--leKam //
   GG_8.4-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.4-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.4-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.4-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.5-1 caraṇa-kamala-galat-alaktaka-siktam idam tava hṛdayam udāram /	Gu-_8.5-1 caraNa--kamala--galat-a-laktaka--siktam idam tava hRdayam udAram /
   GG_8.5-2 darśayati iva bahiḥ madana-druma-nava-kisalaya-parivāram //	Gu-_8.5-2 darSayati iva bahis madana-druma-nava--kisalaya--parivAram //
   GG_8.5-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.5-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.5-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.5-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.6-1 daśana-padam bhavat-adhara-gatam mama janayati cetasi khedam /	Gu-_8.6-1 daSana--padam Bavat-a-Dara--gatam mama janayati cetasi Kedam /
   GG_8.6-2 kathayati katham adhunā api mayā saha tava vapuḥ etat abhedam //	Gu-_8.6-2 kaTayati kaTam aDunA api mayA saha tava vapuH etat aBedam //
   GG_8.6-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.6-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.6-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.6-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.7-1 bahiḥ iva malinataram tava kṛṣṇa manaḥ api bhaviṣyati nūnam /	Gu-_8.7-1 bahis iva malinataram tava kRzNa manaH api Bavizyati nUnam /
   GG_8.7-2 katham atha vañcayase janam anugatam asamaśara-jvara-dūnam //	Gu-_8.7-2 kaTam aTa vaQcayase janam anugatam asama-Sara--jvara-dUnam //
   GG_8.7-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.7-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.7-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.7-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.8-1 bhramati bhavān abalā-kavalāya vaneṣu kim atra vicitram /	Gu-_8.8-1 Bramati BavAn abalA--kavalAya vanezu kim atra vicitram /
   GG_8.8-2 prathayati pūtanikā eva vadhū-vadha-nirdaya-bāla-caritram //	Gu-_8.8-2 praTayati pUtanikAH eva vaDU-vaDa--nirdaya-bAla--caritram //
   GG_8.8-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.8-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.8-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.8-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.9-1 śrījayadeva-bhaṇita-rati-vañcita-khaṇḍita-yuvati-vilāpam /	Gu-_8.9-1 SrI-jayadeva--BaNita-rati-vaQcita--KaNxita--yuvati--vilApam /
   GG_8.9-2 śṛṇuta sudhā-madhuram vibudhāḥ vibudha-ālayataḥ api durāpam //	Gu-_8.9-2 SRNuta suDA--maDuram vibuDAH vibuDa--AlayataH api durApam //
   GG_8.9-3 harihari yāhi mādhava yāhi keśava mā vada kaitava-vādam	Gu-_8.9-3 hari-hari yAhi mADava yAhi keSava mA vada kEtava-vAdam
   GG_8.9-4 tām anusara sarasīruha-locana yā tava harati viṣādam //	Gu-_8.9-4 tAm anusara sarasIruha--locana yA tava harati vizAdam //
   GG_8.10-1 tava idam paśyantyāḥ prasarat anurāgam bahiḥ iva	Gu-_8.10-1 tava idam paSyantyAH prasarat anurAgam bahis iva
   GG_8.10-2 priyā-pāda-alakta-churitam aruṇa-chāya-hṛdayam /	Gu-_8.10-2 priyA--pAda-alakta-Curitam aruNa--CAya--hRdayam /
   GG_8.10-3 mama adya prakhyāta-praṇaya-bhara-bhaṅgena kitava	Gu-_8.10-3 mama adya praKyAta--praNaya--Bara--BaFgena kitava
   GG_8.10-4 tvat-ālokaḥ śokāt api kim api lajjām janayati //	Gu-_8.10-4 tu-at-AlokaH SokAt api kim api lajjAm janayati //
   GG_9.1-1 tām atha manmatha-khinnām rati-rasa-bhinnām viṣāda-sampannām /	Gu-_9.1-1 tAm aTa manmaTa-KinnAm rati-rasa-BinnAm vizAda--sampannAm /
   GG_9.1-2 anucintita-hari-caritām kalaha-antar-itām uvāca sakhī //	Gu-_9.1-2 anucintita--hari--caritAm kalaha--antar-itAm uvAca saKI //
   GG_9.2-1 hariḥ abhisarati vahati madhu-pavane /	Gu-_9.2-1 hariH aBisarati vahati maDu-pavane /
   GG_9.2-2 kim aparam adhika-sukham sakhi bhavane //	Gu-_9.2-2 kim aparam aDika--suKam saKi Bavane //
   GG_9.2-3 mādhave mā kuru mānini mānam aye //	Gu-_9.2-3 mADave mA kuru mAnini mAnam aye //
   GG_9.3-1 tāla-phalāt api gurum atisarasam /	Gu-_9.3-1 tAla--PalAt api gurum ati-sarasam /
   GG_9.3-2 kim viphalīkuruṣe kuca-kalaśam //	Gu-_9.3-2 kim viPalIkuruze kuca--kalaSam //
   GG_9.3-3 mādhave mā kuru mānini mānam aye //	Gu-_9.3-3 mADave mA kuru mAnini mAnam aye //
   GG_9.4-1 kati na kathitam idam anupadam aciram /	Gu-_9.4-1 kati na kaTitam idam anupadam aciram /
   GG_9.4-2 mā parihara harim atiśaya-ruciram //	Gu-_9.4-2 mA parihara harim atiSaya--ruciram //
   GG_9.4-3 mādhave mā kuru mānini mānam aye //	Gu-_9.4-3 mADave mA kuru mAnini mAnam aye //
   GG_9.5-1 kim iti viṣīdasi rodiṣi vikalā /	Gu-_9.5-1 kim iti vizIdasi rodizi vikalAH /
   GG_9.5-2 vihasati yuvati-sabhā tava sakalā //	Gu-_9.5-2 vihasati yuvati--saBA tava sakalAH //
   GG_9.5-3 mādhave mā kuru mānini mānam aye //	Gu-_9.5-3 mADave mA kuru mAnini mAnam aye //
   GG_9.6-1 sajala-nalinī-dala-śītala-śayane /	Gu-_9.6-1 sa-jala-nalinI--dala--SItala--Sayane /
   GG_9.6-2 harim avalokaya saphalaya nayane //	Gu-_9.6-2 harim avalokaya saPalaya nayane //
   GG_9.6-3 mādhave mā kuru mānini mānam aye //	Gu-_9.6-3 mADave mA kuru mAnini mAnam aye //
   GG_9.7-1 janayasi manasi kim iti guru-khedam /	Gu-_9.7-1 janayasi manasi kim iti guru--Kedam /
   GG_9.7-2 śṛṇu mama vacanam anīhita-bhedam //	Gu-_9.7-2 SRNu mama vacanam anIhita--Bedam //
   GG_9.7-3 mādhave mā kuru mānini mānam aye //	Gu-_9.7-3 mADave mA kuru mAnini mAnam aye //
   GG_9.8-1 hariḥ upayātu vadatu bahu-madhuram /	Gu-_9.8-1 hariH upayAtu vadatu bahu-maDuram /
   GG_9.8-2 kim iti karoṣi hṛdayam atividhuram //	Gu-_9.8-2 kim iti karozi hRdayam ati-viDuram //
   GG_9.8-3 mādhave mā kuru mānini mānam aye //	Gu-_9.8-3 mADave mA kuru mAnini mAnam aye //
   GG_9.9-1 śrījayadeva-bhaṇitam atilalitam /	Gu-_9.9-1 SrI-jayadeva--BaNitam ati-lalitam /
   GG_9.9-2 sukhayatu rasika-janam hari-caritam //	Gu-_9.9-2 suKayatu rasi-ka-janam hari-caritam //
   GG_9.9-3 mādhave mā kuru mānini mānam aye //	Gu-_9.9-3 mADave mA kuru mAnini mAnam aye //
   GG_9.10-1 snigdhe yat paruṣā asi yat praṇamati stabdhā asi yat rāgiṇi	Gu-_9.10-1 snigDe yat paruzAH asi yat praNamati stabDAH asi yat rAgiNi
   GG_9.10-2 dveṣa-sthā asi yat unmukhe vimukhatām yātā asi tasmin priye /	Gu-_9.10-2 dveza--sTAH asi yat unmuKe vimuKa-tAm yAtAH asi tasmin priye /
   GG_9.10-3 yuktam tat viparīta-kāriṇi tava śrīkhaṇḍa-carcā viṣam	Gu-_9.10-3 yuktam tat viparIta--kAriNi tava SrIKaNxa-carcA vizam
   GG_9.10-4 śītāṃśuḥ tapanaḥ himam hutavahaḥ krīḍā-mudaḥ yātanāḥ //	Gu-_9.10-4 SItAMSuH tapanaH himam hutavahaH krIxA-mudaH yAtanAH //
   GG_10.1-1 atra antare masṛṇa-roṣa-vaśām asīma-	Gu-_10.1-1 atra antare masRNa--roza--vaSAm asIma-
   GG_10.1-2 niḥśvāsa-niḥsaha-mukhīm sumukhīm upetya /	Gu-_10.1-2 niHSvAsa--niHsaha--muKIm su-muKIm upetya /
   GG_10.1-3 savrīḍam īkṣita-sakhī-vadanām dinānte	Gu-_10.1-3 sa-vrIxam Ikzita-saKI--vadanAm dina-ante
   GG_10.1-4 sānanda-gadgada-padam hariḥ iti uvāca //	Gu-_10.1-4 sa-Ananda--gadgada-padam hariH iti uvAca //
   GG_10.2-1 vadasi yadi kiṃcit api danta-ruci-kaumudī	Gu-_10.2-1 vadasi yadi kiMcid api danta--ruci--kOmudI
   GG_10.2-2 harati dara-timiram atighoram /	Gu-_10.2-2 harati dara--timiram ati-Goram /
   GG_10.2-3 sphurat-adhara-sīdhave tava vadana-candramāḥ	Gu-_10.2-3 sPurat-a-Dara--sIDave tava vadana--candramAH
   GG_10.2-4 rocayatu locana-cakoram //	Gu-_10.2-4 rocayatu locana--cakoram //
   GG_10.2-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.2-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.2-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.2-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.2-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.2-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.3-1 satyam eva asi yadi sudati mayi kopinī	Gu-_10.3-1 satyam eva asi yadi sudati mayi kopinI
   GG_10.3-2 dehi khara-nakhara-śara-ghātam /	Gu-_10.3-2 dehi Kara--naKara-Sara--GAtam /
   GG_10.3-3 ghaṭaya bhuja-bandhanam janaya rada-khaṇḍanam	Gu-_10.3-3 Gawaya Buja--banDanam janaya rada--KaNxanam
   GG_10.3-4 yena vā bhavati sukha-jātam //	Gu-_10.3-4 yena vA Bavati suKa--jAtam //
   GG_10.3-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.3-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.3-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.3-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.3-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.3-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.4-1 tvam asi mama bhūṣaṇam tvam asi mama jīvanam	Gu-_10.4-1 tvam asi mama BUzaNam tvam asi mama jIvanam
   GG_10.4-2 tvam asi mama bhava-jaladhi-ratnam /	Gu-_10.4-2 tvam asi mama Bava--jalaDi-ratnam /
   GG_10.4-3 bhavatu bhavatī iha mayi satatam anurodhinī	Gu-_10.4-3 Bavatu BavatI iha mayi satatam anuroDinI
   GG_10.4-4 tatra mama hṛdayam atiyatnam //	Gu-_10.4-4 tatra mama hRdayam atiyatnam //
   GG_10.4-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.4-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.4-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.4-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.4-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.4-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.5-1 nīla-nalina-ābham api tanvi tava locanam	Gu-_10.5-1 nIla-nalina--ABam api tanvi tava locanam
   GG_10.5-2 dhārayati koka-nada-rūpam /	Gu-_10.5-2 DArayati koka-nada--rUpam /
   GG_10.5-3 kusumaśara-bāṇa-bhāvena yadi rañjayasi	Gu-_10.5-3 kusuma-Sara--bANa--BAvena yadi raQjayasi
   GG_10.5-4 kṛṣṇam idam etat anurūpam //	Gu-_10.5-4 kRzNam idam etat anurUpam //
   GG_10.5-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.5-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.5-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.5-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.5-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.5-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.6-1 sphuratu kuca-kumbhayoḥ upari maṇi-mañjarī	Gu-_10.6-1 sPuratu kuca-kumBayoH upari maNi-maQjarI
   GG_10.6-2 rañjayatu tava hṛdaya-deśam /	Gu-_10.6-2 raQjayatu tava hRdaya-deSam /
   GG_10.6-3 rasatu raśanā api tava ghana-jaghana-maṇḍale	Gu-_10.6-3 rasatu raSanAH api tava Gana--jaGana--maNxale
   GG_10.6-4 ghoṣayatu manmatha-nideśam //	Gu-_10.6-4 Gozayatu manmaTa--nideSam //
   GG_10.6-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.6-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.6-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.6-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.6-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.6-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.7-1 sthala-kamala-gañjanam mama hṛdaya-rañjanam	Gu-_10.7-1 sTala--kamala--gaQjanam mama hRdaya--raQjanam
   GG_10.7-2 janita-rati-raṅga-parabhāgam /	Gu-_10.7-2 janita--rati-raFga-para-BAgam /
   GG_10.7-3 bhaṇa masṛṇa-vāṇi karavāṇi pada-paṅkajam	Gu-_10.7-3 BaNa masRNa-vANi karavANi pada--paFkajam
   GG_10.7-4 sarasa-lasat-alaktaka-rāgam //	Gu-_10.7-4 sarasa-lasat-a-laktaka-rAgam //
   GG_10.7-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.7-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.7-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.7-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.7-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.7-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.8-1 smara-garala-khaṇḍanam mama śirasi maṇḍanam	Gu-_10.8-1 smara-garala--KaNxanam mama Sirasi maNxanam
   GG_10.8-2 dehi pada-pallavam udāram /	Gu-_10.8-2 dehi pada--pallavam udAram /
   GG_10.8-3 jvalati mayi dāruṇaḥ madana-kadana-aruṇaḥ	Gu-_10.8-3 jvalati mayi dAruNaH madana-kadana--aruNaH
   GG_10.8-4 haratu tat-upāhita-vikāram //	Gu-_10.8-4 haratu tat-upAhita-vikAram //
   GG_10.8-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.8-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.8-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.8-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.8-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.8-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.9-1 iti caṭula-cāṭu-paṭu-cāru muravairiṇaḥ	Gu-_10.9-1 iti cawula--cAwu--pawu--cAru muravEriNaH
   GG_10.9-2 rādhikām adhi vacana-jātam /	Gu-_10.9-2 rADikAm aDi vacana-jAtam /
   GG_10.9-3 jayati padmāvatī-ramaṇa-jayadeva-kavi-	Gu-_10.9-3 jayati padmAvatI--ramaNa--jayadeva--kavi-
   GG_10.9-4 bhāratī-bhaṇitam atiśātam //	Gu-_10.9-4 BAratI--BaNitam ati-SAtam //
   GG_10.9-5 priye cāru-śīle muñca mayi mānam anidānam	Gu-_10.9-5 priye cAru--SIle muQca mayi mAnam anidAnam
   GG_10.9-6 sapadi madana-analaḥ dahati mama mānasam	Gu-_10.9-6 sapadi madana-analaH dahati mama mAnasam
   GG_10.9-7 dehi mukha-kamala-madhu-pānam //	Gu-_10.9-7 dehi muKa--kamala--maDu--pAnam //
   GG_10.10-1 parihara kṛta-ātaṅke śaṅkām tvayā satatam ghana-	Gu-_10.10-1 parihara kRta--AtaFke SaFkAm tvayA satatam Gana-
   GG_10.10-2 stana-jaghanayā ākrānte svānte para-anavakāśini /	Gu-_10.10-2 stana--jaGanayA AkrAnte svAnte para--anavakASini /
   GG_10.10-3 viśati vitanoḥ anyaḥ dhanyaḥ na kaḥ api mama-antaram	Gu-_10.10-3 viSati vitanoH anyaH DanyaH na kaH api mama-antaram
   GG_10.10-4 stana-bhara-parīrambha-ārambhe vidhehi vidheyatām //	Gu-_10.10-4 stana--Bara--parIramBa-A-AramBe viDehi viDeya-tAm //
   GG_10.11-1 mugdhe vidhehi mayi nirdaya-danta-daṃśa-	Gu-_10.11-1 mugDe viDehi mayi nirdaya-danta--daMSa-
   GG_10.11-2 doḥ-valli-bandha-nibiḍa-stana-pīḍanāni /	Gu-_10.11-2 doH-valli--banDa--nibixa--stana--pIxanAni /
   GG_10.11-3 caṇḍi tvam eva mudam añca na pañcabāṇa-	Gu-_10.11-3 caNxi tvam eva mudam aQca na paQcabANa-
