   namas+buddhāya	namas+budDAya
   \Colo iti+asadvrajyā|| 38	\ColaH iti+asat vrajyA|| 38
   tatas+dīnavrajyā	tatas+ dIna vrajyA
   prātar+bāṣpāmbubinduvyatikaravigalatklinnasṛkkas+kathaṃcit+	prAtar+bAzpa ambu bindu vyati kara vigalat klinna sRk kas+ kaTaMcit+
   kiṃcit+saṃkubjajaṅghājanitajaḍajavas+jīrṇajānus+jarārtas+ /	kiMcit+ saMkubja jaFGA janita jaxa ja va s+jIrNa jAnu s+jara Artas+ /
   muṣṭyā+avaṣṭabhya yaṣṭim+kaṭipuṭavicaṭatkarpaṭas+pluṣṭakanthas+	muzwyA+avazwaBya yazwim+kawi puwa vicawat karpawa s+pluzwa kanTa s+
   kunthan+utthāya pānthas+pathi paruṣamarunmūrchyamānas+prayāti //	kunTan+utTAya pAnTa s+paTi paruza marut mUrCya mAnas+ prayAti //
   VidSrk_39.1 *(1304) //	Vit Srj _39.1 *(1304) //
   puṇyāgnau pūrṇavāñchas+prathamam+agaṇitaploṣadoṣas+pradoṣe	puNya agnO pUrNavAn Sas+praTamam+a gaNita ploza doza s+pradoze
   pānthas+taptvā prasuptas+tadanu tatatṛṇe dhāmani grāmadevyās+ /	pAnTa s+taptvA prasupta s+tadanu tatatRNe DAmani grAma devyAs+ /
   utkampī karpaṭārdhe jarati parijaḍe chidriṇi cchinnanidras+	utkampI karpawa arDe jarati parijaxe CidriNi cCinna nidras+
   vāte vāti prakāmam+himakaṇini kaṇan+koṇatas+koṇam+eti // VidSrk_39.2	vAte vAti prakAma m+hima kaNini kaNan+ koNatas+koNam+A iti // Vit Srj _39.2
   bāṇasya+etau	bANasya +etO
   potān+etān+api gṛhavati grīṣmamāsāvasānam+yāvat+nirvāhayati bhavatī yena	potAn +etAn +api gRhavati grIzma mAsa avasAnam+yAvat+ nirvAhayati BavatI yena
   vā kenacit+vā /	vA kenacit+vA /
   paścāt+ambhodharajalaparīpātam+āsādya tumbī kūṣmāṇḍī ca prabhavati tadā	paScAt+amBoDara jala parIpAtam +AsAdya tumbI kUzmANxI ca praBavati tadA
   bhūbhujas+ke vayam+ke // VidSrk_39.3 *(1306) //	BUBuja s+ke vayam+ke // Vit Srj _39.3 *(1306) //
   dharaṇīdharasya	DaraNIDarasya
   kṣutkṣāmās+śiśavas+śavās+iva tanus+mandādaras+bāndhavas+	kzuD kzAma As+SiSa vas+ Sa vAs+ iva tanu s+manda Adaras+bAnDava s+
   liptās+jarjarakarkarī jatulavais+no mām+tathā bādhate /	liptA s+jarjara karkarI jatula vEs+naH mAm +taTA bADate /
   gehinyā sphuṭitāṃśukam+ghaṭayitum+kṛtvā sakāku smitam+	gehinyA sPuwita aMSukam +Gawayitum +kRtvA sa kAku smitam+
   kupyantī prativeśinī pratidinam+sūcīm+yathā yācitā // VidSrk_39.4 *(1307)	kupyantI prativeSinI pratidinam +sUcIm+yaTA yAcitA // Vit Srj _39.4 *(1307)
   sākrandās+śiśavas+sapatrapuṭakās+vaptus+purovartinas+	sa Akranda As+SiSava s+ sa patra puwa kAs+vaptu s+puraH vartinas+
   pracchanne ca vadhūs+vibhāgakuśalā madhye sthitā gehinī /	pracCanne ca vaDU s+viBAga kuSalA maDye sTitA gehinI /
   kaṭyācchādanabandhakena katham+api+āsāditena+andhasā	kawI AcCAdana banDakena kaTam +api +AsAditena +anDasA
   sindūrāruṇamaṇḍale savitari prāṇāhutis+dīyate // VidSrk_39.5 *(1308) //	sindUra aruNa maNxale savitari prANa Ahuti s+dIyate // Vit Srj _39.5 *(1308) //
   ete daridraśiśavas+tanujīrṇakanthām+skandhe nidhāya	ete daridra SiSa vas+ tanu jIrNa kanTAm+skanDe niDAya
   malinām+pulakākulāṅgās+ /	malina Am+pulaka Akula aFgAs+ /
   sūryasphuratkarakarambitabhittideśalābhāya śītasamaye kalim+ācaranti //	sUrya sPurat kara karambita Bitti deSa lABAya SIta samaye kalim+a Acaranti //
   VidSrk_39.6 *(1309) //	Vit Srj _39.6 *(1309) //
   tasmin+eva gṛhodare rasavatī tatra+eva sā kaṇḍanī	tasmin+eva gRha udare rasavatI tatra+A iva sA kaNxanI
   tatra+upaskaraṇāni tatra śiśavas+tatra+eva vāsas+svayam /	tatra+upaskaraNAni tatra SiSava s+tatra+eva vAsas+svayam /
   etat+soḍhavatas+api duḥsthagṛhiṇas+kim+brūmahe durdaśām+	etat+ soXavatas+api duHsTa gRhiNa s+ki m+brUmahe durdaSa Am+
   adya śvas+vijaniṣyamāṇagṛhiṇī tatra+eva yat+kunthati // VidSrk_39.7	adya Sva s+vijanizyamANa gRhiNI tatra+A iva yat+ kunTati // Vit Srj _39.7
   adya+aśanam+śiśujanasya balena jātam+śvas+vā katham+nu bhavitā+iti	adya +aSanam +SiSu janasya balena jAtam +Svas+vA kaTam +nu BavitA+iti
   vicintayantī /	vicintayantI /
   iti+aśrupātamalinīkṛtagaṇḍadeśā na+icchet+daridragṛhiṇī rajanīvirāmam //	iti +aSru pAta malinIkRta gaNxa deSA na+i= Cet+daridra gRhiNI rajanI virAmam //
   VidSrk_39.8 *(1311) //	Vit Srj _39.8 *(1311) //
   saktūn+śocati samplutān+pratikaroti+ākrandatas+bālakān+	saktUn +Socati samplutAn+pratikaroti+Akrandata s+bAlakAn+
   pratyutsiñcati karpareṇa salilam+śayyātṛṇam+rakṣati /	pratyutsiQcati karpareNa salilam +SayyAtRNam +rakzati /
   dattvā mūrdhani śīrṇaśūrpaśakalam+jīrṇe gṛhe vyākulā	dattvA mUrDani SIrNa SUrpa Sakalam +jIrNe gRhe vyAkulA
   kim+tat+yat+na karoti duḥsthagṛhiṇī deve bhṛśam+varṣati // VidSrk_39.9	kim +tat+yat+na karoti duHsTa gRhiNI deve BRSam +varzati // Vit Srj _39.9
   yogeśvarasya	yogeSvarasya
   jaradambarasaṃvaraṇagranthividhau granthakāras+ekas+aham /	jarat ambara saMvaraNa granTi viDO granTakAra s+eka s+aham /
   parimitakadannavaṇṭanavidyāpāraṃgatā gṛhiṇī // VidSrk_39.10 *(1313) //	parimitakadanna vaNwana vidyA pAraMgatA gRhiNI // Vit Srj _39.10 *(1313) //
   vīrasya	vIrasya
   mā rodīs+ciram+ehi vatsa viphalam+dṛṣṭvā+adya putrān+imān+	mA rodIs+ciram +ehi vatsa viPalam +dRzwvA a+adya putrAn +imAn+
   āyātas+bhavatas+api dāsyati pitā graiveyakam+vāsasī /	AyAta s+Bavata s+api dAsyati pitA grEveyakam +vAsasI /
   śrutvā+evam+gṛhiṇīvacāṃsi nikaṭe kuḍyasya niḥkiṃcanas+	SrutvA +evam+gRhiNI vacAMsi nikawe kuxyasya niHkiMcanas+
   niśvasya+aśrujalaphutānatamukhas+pānthas+punas+proṣitas+ // VidSrk_39.11	niSvasya +aSru jala Puta Anata muKa s+pAnTa s+punas+ prozitas+ // Vit Srj _39.11
   kūṣmāṇḍīviṭapas+phalati+aviratam+siktas+suvarṇāmbunā	kUzmANxI viwapa s+Palati+a viratam +sikta s+suvarNa ambunA
   bhūyobhis+gaditam+hitaiṣibhis+iti+iva+asmābhis+aṅgīkṛtam /	BUyoBi s+gaditam+hita eziBi s+iti +iva +asma aBis+aFgIkRtam /
   tat+saṃyācya kutaścit+īśvaragṛhāt+ānīyamānam+śanais+	tat+saMyAcya kutas cit+ISvara gRhAt+AnIyamAnam +SanEs+
   adhvani+eva hi bindubhis+vigalitam+śrāṇe śarāvodare // VidSrk_39.12	aDvani+A iva hi binduBis+vigalitam+SrANe SarAva udare // Vit Srj _39.12
   mātar+dharmarate kṛpām+kuru mayi śrānte ca vaideśike	mAtar+Darma rate kRpAm +kuru mayi SrAnte ca vEdeSike
   dvārālindakakoṇakeṣu nibhṛtas+sthitvā kṣipāmi kṣapām /	dvAra Alindaka koNakezu niBRta s+sTitvA kzipAmi kzapAm /
   iti+evam+gṛhiṇīpracaṇḍavadanāvākyena nirbhartsitas+	iti+evam+gRhiNI pracaNxa vadanA vAkyena nirBartsita s+
   skandhe nyastapalālamuṣṭivibhavas+pānthas+śanais+gacchati // VidSrk_39.13	skanDe nyasta palAla muzwi viBava s+pAnTa s+SanEs+gacCati // Vit Srj _39.13
   lagnas+śṛṅgayuge gṛhī satanayas+vṛddhau gurū pārśvayos+	lagna s+SRFga yuge gRhI sa tanayas+ vRdDO gurU pArSvayoH +
   pucchāgre gṛhiṇī svareṣu śiśavas+lagnā vadhūs+kambale /	pucCa agre gRhiNI svarezu SiSava s+lagnA vaDU s+kambale /
   ekas+śīrṇajaradgavas+vidhivaśāt+sarvasvabhūtas+gṛhe	eka s+SIrNa jaradgavas+ viDi vaSAt+ sarva sva BUta s+gRhe
   sarveṇa+eva kuṭumbakena rudatā suptas+samutthāpyate // VidSrk_39.14	sarveNa+A iva kuwumbakena rudatA supta s+samutTApyate // Vit Srj _39.14
   śītavātasamudbhinnapulakāṅkuraśālinī /	SIta vAta samudBinna pulaka aFkura SAlinI /
   mama+ambaravihīnasya tvak+eva paṭikāyate // VidSrk_39.15 *(1318) //	mama+ambara vihInasya tvak+A iva pawikAyate // Vit Srj _39.15 *(1318) //
   sadyas+vibhidyate nūnam+daridratanupañjaram /	sadya s+ viBidyate nUnam +daridra tanu paQjaram /
   yadi na syāt+manorājyarajjubhis+dṛḍhasaṃyatam // VidSrk_39.16 *(1319) //	yadi na syAt+ manorAjya rajju Bis+dRXa saMyatam // Vit Srj _39.16 *(1319) //
   prāyas+daridraśiśavas+paramandirāṇām+dvāreṣu dattakarapallavalīnadehās+ /	prAyas+daridra SiSa vas+ para mandirANAm +dvArezu datta kara pallava lIna dehAs+ /
   lajjānigūḍhavacasas+bata bhoktukāmās+bhoktāram+ardhanayanena vilokayanti	lajjA nigUXa vacasa s+bata BoktukA mAs+ BoktAram +arDa nayanena vilokayanti
   // VidSrk_39.17 *(1320) //	// Vit Srj _39.17 *(1320) //
   adhvaśramāya caraṇau virahāya dārās+abhyarthanāya vacanam+ca vapus+jarāyai	aDva SramAya caraNO virahAya dArAs+aByarTanAya vacanam+ca vapus+jarAyE
   etāni me vidadhatas+tava sarvadā+eva dhātas+trapā yadi na kim+na	etAni me vidaData s+tava sarva dA+A iva DAta s+trapAH yadi na kim+na
   pariśramas+api // VidSrk_39.18 *(1321) //	pariSramas+api // Vit Srj _39.18 *(1321) //
   vardhanamukhāsikāyām+udarapiśācas+kim+icchakām+icchan /	varDana muKAsikAya am+udara piSAcas+ kim +icCakAm +icCan /
   paryākulayati gṛhiṇīm+akiṃcanas+kṛpaṇasaṃvāsas+ // VidSrk_39.19 *(1322) //	paryAkulayati gRhiNIm+a kiMcana s+ kRpaNa saMvAsas+ // Vit Srj _39.19 *(1322) //
   varam+mṛtas+na tu kṣudras+tathā+api mahat+antaram /	varam +mRta s+na tu kzudras+taTA+api mahat+antaram /
   ekasya bandhus+na+ādatte nāma+anyasya+akhilas+janas+ // VidSrk_39.20	ekasya banDu s+na+Adatte nAma+anyasya +aKila s+janas+ // Vit Srj _39.20
   kṛpaṇasya+astu dāridryam+kārpaṇyāvṛtikārakam /	kRpaNasya+aH tu dAridryam +ka arpaNya AvRti kArakam /
   vibhavas+tasya taddoṣaghoṣaṇāpaṭuḍiṇḍimas+ // VidSrk_39.21 *(1324) //	viBava s+tasya tad doza GozaNa Apawu xiNximas+ // Vit Srj _39.21 *(1324) //
   vyāsasya	vyAsasya
   jīvatā+api śavena+api kṛpaṇena na dīyate /	jIvatA+ api Savena+api kRpaNena na dIyate /
   māṃsam+vardhayatā+anena kākasya+upakṛtis+kṛtā // VidSrk_39.22 *(1325) //	mAMsam +varDayatA+anena kAkasya+upakRti s+kRtA // Vit Srj _39.22 *(1325) //
   kavirājasya	kavi rAjasya
   śrīphalam+yat+na tat+dīrgham+iti tāvat+vyavasthitam /	SrIPalam +yat+na tat+dIrGam +iti tAvat+ vyavasTitam /
   tatra+ekāntadhṛtis+yasya manyate mugdhas+eva sas+ // VidSrk_39.23 *(1326)	tatra+ekAnta DRti s+yasya manyate mugDa s+A iva sa s+ // Vit Srj _39.23 *(1326)
   risūkasya	risUkasya
   dṛḍhataranibaddhamuṣṭes+koṣaniṣaṇṇasya sahajamalinasya /	dRXatara nibadDa muzwa Is+ koza nizaNNasya sahaja malinasya /
   kṛpaṇasya kṛpāṇasya ca kevalam+ākāratas+bhedas+ // VidSrk_39.24 *(1327) //	kRpaNasya kRpANasya ca kevalam +AkAratas+Bedas+ // Vit Srj _39.24 *(1327) //
   gobhaṭṭasya	goBawwasya
   pathika he vijahīhi vṛthārthitām+na khalu vetsi navas+tvam+iha+āgatas+ /	paTika he vijahIhi vRTA arTitAm+na Kalu vetsi nava s+tvam +iha+a Agatas+ /
   idam+ahibhramitam+pacamandiram+balibhujas+api na yānti yadantikam //	idam+ahi Bramitam +paca mandira m+bali Bujas+api na yAnti yat antikam //
   VidSrk_39.25 *(1328) //	Vit Srj _39.25 *(1328) //
   raves+astamaye yena nidrā netreṣu nirmitā /	raves+astamaye yena nidrA netrezu nirmitA /
   tena kim+na kṛtas+mṛtyus+martyānām+vibhavakṣaye // VidSrk_39.26 *(1329) //	tena kim +na kRta s+mRtyu s+martyAnAm +viBava kzaye // Vit Srj _39.26 *(1329) //
   yena+eva+ambarakhaṇḍena divā saṃcarate ravis+ /	yena +eva+ ambara KaNxena divA saMcarate ravis+ /
   tena+eva niśi śītāṃśus+aho daurgatyam+etayos+ // VidSrk_39.27 *(1330) //	tena+A iva niSi SItAMSu s+ahaH dOrgatyam +etayos+ // Vit Srj _39.27 *(1330) //
   malīmasena dehena pratigeham+upasthitās+ /	malImasena dehena pratigeham +upasTitAs+ /
   ātmanā+eva+ātmakathakās+vayam+vāyasavṛttayas+ // VidSrk_39.28 *(1331) //	AtmanA+eva+a Atma kaTa kA s+vayam +vAyasa vRttayas+ // Vit Srj _39.28 *(1331) //
   bhūyāt+atas+bahuvrīhiśāsanāśā mudhā+eva me /	BUyAt+a tas+ bahu vrI hi SAsa nASA muDA+A iva me /
   pūrvāparāparāmarśāt+vimūḍhasya+iva me matis+ // VidSrk_39.29 *(1332) //	pUrva apara aparAmarSAt+ vimUXasya+iva me matis+ // Vit Srj _39.29 *(1332) //
   \Colo iti dīnavrajyā|| 39	\ColaH iti dIna vrajyA|| 39
   tatas+arthāntaranyāsavrajyā|| 40	tatas+arTa antara nyAsa vrajyA|| 40
   kālindyās+dalitendranīlaśakalaśyāmāmbhasas+antarjale	kAlindI As+ dalita indranIla Sakala SyAma amBa sa s+antar jale
   magnasya+añjanapuñjasaṃcayanibhasya+ahes+kutas+anveṣaṇā /	magnasya +aQjana puQja saMcaya niBasya+a hes+ kutas+anvezaNA /
   tārābhās+phaṇacakravālamaṇayas+na syus+yadi dyotinas+	tAra ABAs+ PaNa cakra vAla maNayas+na syus+yadi dyotinas+
   yais+eva+unnatim+āpnuvanti guṇinas+tais+eva yānti+āpadam // VidSrk_40.1	yEs+eva+ unnatim +Apnuvanti guNina s+tA es+A iva yAnti+a Apadam // Vit Srj _40.1
   bhagnāśasya karaṇḍapiṇḍitatanos+mlānendriyasya kṣudhā	Bagna ASasya karaNxa piNxita tanos+mlAna indriyasya kzuDA
   kṛtvā+ākhus+vivaram+svayam+nipatitas+naktam+mukhe bhoginas+ /	kRtvA a+AKu s+vivaram+svayam+nipatita s+naktam+muKe Boginas+ /
   tṛptas+tatpiśitena satvaram+asau tena+eva yātas+pathā	tRpta s+tad piSitena satvaram+asO tena+A iva yAtas+ paTA
   svasthās+tiṣṭhata daivam+eva jagatas+śāntau kṣaye ca+ākulam // VidSrk_40.2	svasTAs+tizWata dEvam +eva jagata s+SAntO kzaye ca+a Akulam // Vit Srj _40.2
   yasyās+kṛte nṛpatayas+tṛṇavat+tyajanti prāṇān+priyān+api	yasya As+kRte nRpataya s+tRNavat+ tyajanti prANAn +priyAn+api
   parasparabaddhavairās+ /	paraspara badDa vErAs+ /
   teṣām+asṛk+pibati sā+eva mahī hatānām+śrīs+prāyaśas+vikṛtim+eti	tezAm +asRk+pibati sA+A iva mahI hatAnAm +SrI s+prAyaSas+ vikRtim+A iti
   bahūpabhuktā // VidSrk_40.3 *(1335) //	bahu upaBuktA // Vit Srj _40.3 *(1335) //
   rathasya+ekam+cakram+bhujagayamitās+sapta turagās+	raTasya+ekam +cakram+ Buja gayam ita As+sapta turagAs+
   nirālambas+mārgas+caraṇarahitas+sārathis+api /	nirAlamba s+mArga s+caraNa rahita s+sAraTis+api /
   ravis+yāti+eva+antam+pratidinam+apārasya nabhasas+	ravi s+yA ati +eva+antam +pratidinam+a pArasya naBasas+
   kriyāsiddhis+sattve bhavati mahatām+na+upakaraṇe // VidSrk_40.4 *(1336) //	kriyA sidDi s+sattve Bavati mahatA m+na+upakaraNe // Vit Srj _40.4 *(1336) //
   vāgīśvarasya	vAc ISvarasya
   paulastyas+katham+anyadāraharaṇe doṣam+na vijñātavān+	pOlastya s+kaTam +anya dAra haraNe doza m+na vijQAtavAn +
   kākutsthena katham+na hemahariṇasya+asambhavas+lakṣitas+ /	kAkutsTena kaTam +na hema hariNasya+a samBava s+ lakzitas+ /
   akṣāṇām+ca yudhiṣṭhireṇa mahatā jñātas+na doṣas+katham+	akzANAm +ca yuDizWireNa mahatA jQAta s+na doza s+kaTam+
   pratyāsannavipattimūḍhamanasām+prāyas+matis+kṣīyate // VidSrk_40.5 *(1337)	pratyAsanna vipatti mUXa manasAm +prAya s+mati s+kzIyate // Vit Srj _40.5 *(1337)
   akārye tathyas+vā bhavati vitathas+kāmam+athavā	akArye taTyas+vA Bavati vitaTas+ kAmam +aTavA
   tathā+api+uccais+dhāmnām+harati mahimānam+janaravas+ /	taTA a+api+uccEs+DAmnAm +harati mahimAnam +jana ravas+ /
   tulottīrṇasya+api prakaṭanihatāśeṣatamasas+	tulA uttIrNasya+api prakawa nihata aSeza tamasas+
   raves+tādṛk+tejas+na hi bhavati kanyām+gatas+iti // VidSrk_40.6 *(1338) //	raves+tAdRk+ tejas+na hi Bavati kanyA m+gata s+iti // Vit Srj _40.6 *(1338) //
   kṛtas+yat+ahnas+tanimā himāgame laghīyasī yat+ca nidāghaśarvarī /	kRta s+yat+ahna s+ta nimA hima Agame laGIyasI yat+ca nidAGa SarvarI /
   anena dṛṣṭāntayugena gamyate sadarthasaṃkocasamudyatas+vidhis+ //	anena dRzwAnta yugena gamyate sat arTa saMkoca samudyata s+ viDis+ //
   VidSrk_40.7 *(1339) //	Vit Srj _40.7 *(1339) //
   pītāmbarāya tanayām+pradadau payodhis+tatkālakūṭagaralam+ca digambarāya /	pIta ambarAya tanayAm+ pradadO payoDiH +tad kAlakUwa garalam+ca digambarAya /
   tatra+anayos+vadata kasya guṇātirekas+prāyas+paricchadakṛtādaras+eva	tatra+anayaH s+vadata kasya guNa atireka s+ prAyas+ paricCada kRta Adaras+eva
   lokas+ // VidSrk_40.8 *(1340) //	lokas+ // Vit Srj _40.8 *(1340) //
   kim+janmanā jagati kasyacit+īkṣitena śaktyā+eva yāti nijayā	kim +janmanAH jagati kasyacid +Ikzitena SaktyA+A iva yAti nijayA
   puruṣas+pratiṣṭhām /	puruza s+pratizWAm /
   śaktās+hi kūpam+api śoṣayitum+na kumbhās+kumbhodbhavena punar+ambudhis+eva	SaktAs+hi kUpam +api Sozayitum+na kumBAs+ kumBa udBavena punar +ambuDi s+eva
   pītas+ // VidSrk_40.9 *(1341) //	pItas+ // Vit Srj _40.9 *(1341) //
   puṃsas+svarūpavinirūpaṇam+eva kāryam+tajjanmabhūmiguṇadoṣakathā vṛthā+eva	puMsas+ svarUpa vinirUpaNam +eva kAryam+tad janma BUmi guNa doza kaTA vRTA+eva
   kas+kālakūṭam+abhinandati sāgarottham+kas+vā+aravindam+abhinindati	kas+kAlakUwam +aBinandati sAgara utTam +ka s+vA+ aravindam +aBinindati
   paṅkajātam // VidSrk_40.10 *(1342) //	paFka jAtam // Vit Srj _40.10 *(1342) //
   khalvāṭas+divaseśvarasya kiraṇais+saṃtāpitas+mūrdhani	KalvAwas+divasa ISvarasya kiraNa es+ saMtApita s+mUrDani
   chāyām+ātapavairiṇīm+anusaran+bilvasya mūlam+gatas+ /	CAyAm +a Atapa vEriNIm +anusaran+ bilvasya mUlam +gatas+ /
   tatra+api+āśu kadācit+eva patatā bilvena bhagnam+śiras+	tatra+api+ASu kadAcit+A iva patatA bilvena Bagnam +Siras+
   prāyas+gacchati yatra bhāgyarahitas+tatra+āpadām+bhājanam // VidSrk_40.11	prAya s+gacCati yatra BAgya rahita s+tatra +ApadAm+ BAjanam // Vit Srj _40.11
   alaṃkāras+śaṅkākaranarakapālas+parikaras+praśīrṇāṅgas+bhṛṅgī vasu ca	alaMkAra s+ SaFkA Akara nara kapAlas+ parikaras+ praSIrNa aFga s+BRFgI vasu ca
   vṛṣas+ekas+bahuvayās+ /	vRzas+eka s+bahuvayAs+ /
   avasthā+iyam+sthāṇos+api bhavati yatra+amaraguros+vidhau vakre mūrdhni	avasTA a+iyam+sTANa Us+api Bavati yatra+amara gura Us+viDO vakre mUrDni
   sthitavati vayam+ke punar+amī // VidSrk_40.12 *(1344) //	sTitavati vayam+ke punar +amI // Vit Srj _40.12 *(1344) //
   na sambandopādhim+dadhate+iha dākṣiṇyanidhayas+prahṛṣṭapremāṇām+sa hi	na sambanda upADim+da Date+ iha dAkziNya niDayas+ prahRzwa premANAm+sa hi
   sahajas+eṣām+udayate /	sahaja s+ezAm +udayate /
   ke+ete sambandhāt+malayamarutas+cūtataravas+yat+etān+ālabhya	ke+ete sambanDa at+malayamaruta s+cUtatara vas+yat+etAn +AlaBya
   pratiparurudānam+janayati // VidSrk_40.13 *(1345) //	pratiparuH udAnam +janayati // Vit Srj _40.13 *(1345) //
   lokottaram+caritam+arpayati pratiṣṭhām+puṃsas+kulam+na hi	lokottaram +caritam +arpayati pratizWAm+puMsa s+kula m+na hi
   nimittam+udāttatāyās+ /	nimittam +udAt tata AyAs+ /
   vātāpitāpanamunes+kalaśāt+prasūtis+līlāyitam+punar+amuṣyasamudrapānam //	vAtApitApana munes+kala SAt+ prasUti s+lIlAyitam+punar +amuzya samudra pAnam //
   VidSrk_40.14 *(1346) //	Vit Srj _40.14 *(1346) //
   sthalīnām+dagdhānām+upari mṛgatṛṣṇānusaraṇāt+tṛṣārtas+śāraṅgas+viramati na	sTalI nAm+dagDAnAm +upari mRgatRzNA anusaraNa at+tRzA Arta s+SAraFga s+viramati na
   khinne+api vapuṣi /	Kinne+api vapuzi /
   ajānānas+tattvam+na sa mṛgayate+anyām+ca sarasīm+abhūmau pratyāśā na hi	ajAnAnas+ tattva m+na sa mRgayate+anyAm+ca sarasIm+a BUmO pratyASA na hi
   phalati vighnam+ca kurute // VidSrk_40.15 *(1347) //	Palati viGnam +ca kurute // Vit Srj _40.15 *(1347) //
   kim+kūrmasya bharavyathā na vapuṣi kṣmām+na kṣipati+eṣa yat+	kim +kUrmasya Bara vyaTA na vapuzi kzmAm+na kzipati+eza yat+
   kim+vā na+asti pariśramas+dinakarasya+aste na yat+niścalas+ /	kim +vA na+asti pariSrama s+dinakarasya+aH te na yat+niScalas+ /
   kim+tu+aṅgīkṛtam+utsṛjan+kṛpaṇavat+ślāghyas+janas+lajjate	kim +tu+aFgIkRtam +utsRjan+ kRpaNavat+ SlAGya s+jana s+lajjate
   nirvyūḍhis+pratipannavastuṣu satām+ekam+bata+aho vratam // VidSrk_40.16	nirvyUXi s+ pratipanna vastuzu satAm +ekam +bata +ahaH vratam // Vit Srj _40.16
   svacchāśayas+bhavati kas+api janas+prakṛtyā saṅgas+satām+abhijanas+ca na	svacCa ASaya s+Bavati kas+api janas+prakRtyA saFga s+sa tAm +aBijanas+ca na
   hetus+atra /	hetu s+atra /
   dugdhābdhilabdhajananas+harakandharāsthas+svām+kālatām+tyajati jātu na	dugDa abDi labDa jana na s+hara kanDarA sTas+svAm+ kAla tAm+tyajati jAtu na
   kālakūṭas+ // VidSrk_40.17 *(1349) //	kAlakUwas+ // Vit Srj _40.17 *(1349) //
   vāsas+carma vibhūṣaṇam+śavaśiras+bhikṣāṇatena+aśanam+	vAsas+carma viBUzaNam +Sava Siras+ BikzANa tena +aSanam+
   gaus+ekas+sa ca lāṅgale+api+akuśalas+tanmātrasāram+dhanam /	gOs+ekas+sa ca lAFgale+api+a kuSala s+ tanmAtra sAram +Danam /
   śarvasya+iti+avagamya yāti vimukhī ratnālayam+jāhvanī	Sarvasya+iti+avagamya yAti vimuKI ratna Alayam +jAhvanI
   kaṣṭam+durgatikasya jīvitam+aho dārais+api tyajyate // VidSrk_40.18	kazwam+durgatikasya jIvitam +aho dAra es+api tyajyate // Vit Srj _40.18
   kaivartakarkaśakaragrahaṇacyutas+api jāle	kEvarta karkaSa kara grahaNa cyutas+api jAle
   punar+nipatitas+śapharas+varākas+ /	punar +nipatita s+Sa Para s+varAkas+ /
   daivāt+tatas+api galitas+gilitas+bakena vāme vidhau vada katham+vyasanasya	dEvAt+tatas+api galita s+gilita s+bakena vAme viDO vada kaTam +vyasanasya
   śāntis+ // VidSrk_40.19 *(1351) //	SAntis+ // Vit Srj _40.19 *(1351) //
   khanati na khurais+kṣoṇīpṛṣṭham+na nardati sādaram+	Kanati na Kura es+kzoNI pRzWam+na nardati sAdaram+
   prakṛtipuruṣam+dṛṣṭvā+eva+agre na kupyati gām+api /	prakRti puruzam +dRzwvA a+eva+agre na kupyati gAm +api /
   vahati tu dhuram+dhuryas+dhairyāt+anuddhatakandharas+	vahati tu Dura m+DurI a s+DEryAt+anudData kanDa ras+
   jagati kṛtinas+kāryaudāryāt+parān+atiśerate // VidSrk_40.20 *(1352) //	jagati kRtinas+ kArI a OdAryAt+ parAn +ati Serate // Vit Srj _40.20 *(1352) //
   śiras+śārvam+svargāt+paśupatiśirastas+kṣitibhṛtam+	Siras+ SArvam+svargAt+paSupati SiraH tas+kziti BRtam+
   mahīdhrāt+uttuṅgāt+avanitalam+asmāt+ca jaladhim /	mahI DrAt+uttuFgAt +avani talam +asmAt +ca jalaDim /
   adhas+adhas+gaṅgāvat+vayam+upagatās+dūram+athavā	aDas+aDa s+gaFgA avat+vayam+upagata as+ dUram +aTavA
   padabhraṃśetānām+bhavati vinipātas+śatamukhas+ // VidSrk_40.21 *(1353) //	pada BraMSetAnAm +Bavati vinipAta s+Sata muKas+ // Vit Srj _40.21 *(1353) //
   kva+api kasya ca kutas+api kāraṇāt+cittavṛttis+iha kim+guṇāguṇais+ /	kva+api kasya ca kutas+api kAraNAt+ citta vRtti s+iha kim +guNA guNEs+ /
   unnatam+yat+avadhīrya bhūdharam+nīcam+abdhim+abhiyāti jāhnavī //	unnatam +yat+avaDIrya BUDaram+nIcam +abDim +aBiyAti jAhnavI //
   VidSrk_40.22 *(1354) //	Vit Srj _40.22 *(1354) //
   sarasi bahuśas+tārāchāyām+daśan+parivañcitas+	sarasi bahu Sas+tArA CAyAm+da San+ parivaQcita s+
   kumudaviṭapānveṣī haṃsas+niśāsu vicakṣaṇas+ /	kumuda viwapa anvezI haMsa s+niSAsu vicakzaNas+ /
   na daśati punas+tārāśaṅkī divā+api sitotpalam+	na daSati punas+tAra ASaFkI divA+ api sita utpalam+
   kuhakacakitas+lokas+satye+api+apāyam+avekṣate // VidSrk_40.23 *(1355) //	kuhaka cakita s+loka s+satye+api+apAyam +avekzate // Vit Srj _40.23 *(1355) //
   asthānābhiniveśī prāyas+jaḍas+eva bhavati no vidvān /	asTAna aBiniveSI prAya s+jaxa s+A iva Bavati naH vidvAn /
   bālāt+anyas+kas+ambhasi jighṛkṣati+indos+sphuradbimbam // VidSrk_40.24	bAla at+a nyas+ka s+amBasi jiGRkzati+indos+ sPurat bimbam // Vit Srj _40.24
