   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   dvitīyo vibhāgaḥ /	dvitIyaH viBAgaH /
   tatpadārthanirṇayaḥ /	tad-padArTa-nirNayaH /
   evaṃ tāvat tribhiḥ ślokaiḥ vādivipratipattinirākaraṇapūrvakaṃ tvampadārtho	evam tAvat triBiH SlokEH vAdi-vipratipatti-nirAkaraNa-pUrvakam tvam-padArTaH-
   nirdhāritaḥ / samprati tatpadārthas tathaiva nirdhāraṇīyaḥ / tatra	nirDAritaH / samprati tad-padArTaH taTA-eva nirDAraNIyaH / tatra
   nirākaraṇīyā vādivipratipattayaḥ pradarśyante / nanu, na brahma saha	nirAkaraNIyAH vAdi-vipratipattayaH pradarSyante / nanu, na brahma saha
   jīvasyaikyam upapadyate / tathā hi sacchabdavācyaṃ jagatkāraṇaṃ brahma	jIvasya-Ekyam upapadyate / taTA hi sat-Sabda-vAcyam jagat-kAraNam brahma
   "sad eva somya idam agra āsīt" (ChU VI.2.1) ityādivākyena pratipāditam /	"sat eva somya idam agre AsIt" (ShU VI.2.1) ityAdi-vAkyena pratipAditam /
   jagatkāraṇaṃ ca pradhānam acetanam iti sāṅkhyāḥ / paśupatir eva	jagat-kAraNam ca praDAnam acetanam iti sAFKyAH / paSupatiH eva
   jagatkāraṇam, sa ca cetano 'pi jīvād bhinnaḥ sa upāsya eveti pāśupatāḥ /	jagat-kAraNam, sa ca cetanaH api jIvAt BinnaH saH upAsyaH eva-iti pASupatAH /
   bhagavān vāsudeva īśvaro jagatkāraṇam, tasmād utpadyate saṅkarṣaṇākhyo	BagavAn vAsudevaH ISvaraH jagat-kAraNam, tasmAt utpadyate saFkarzaNa-AKyaH-
   jīvaḥ, tasmān manaḥ pradyumnaḥ, tato 'haṅkāro 'niruddhaḥ, tena kāryatvāj	jIvaH, tasmAt manaH pradyumnaH, tatas ahaFkAraH anirudDaH, tena kAryatvAt-
   jīvasya tena saha na brahmaṇo vāsudevasyātyantābheda iti pañcarātrikāḥ /	jIvasya tena saha na brahmaNaH vAsudevasya-atyanta-aBedaH iti paQca-rAtrikAH /
   pariṇāmī nityaḥ sarvajño bhinnābhinna iti jainās tridaṇḍinaś ca / nāsti	pariNAmI nityaH sarvajQaH Binna-aBinnaH iti jEnAH tridaNxinaH ca / na-asti
   sarvajñatvādyupetaṃ brahma, āmnāyasya kriyāparatvena tatra tātparyābhāvāt,	sarvajQa-tva-Adi-upetam brahma, AmnAyasya kriyA-paratvena tatra tAtparya-aBAvAt,
   kin tu vāgdhenvādivat sarvajñatvādiguṇaviśiṣṭatayā jagatkāraṇaṃ	kin tu vAc-Denu-Adi-vat sarvajQa-tva-Adi-guNa-viSizwa-tayA jagat-kAraNam
   paramāṇvādi vā jīvo vā upāsya iti mīmāṃsakāḥ / asti nityajñānādimān	paramANu-Adi vA jIvaH vE upAsyaH iti mImAMsakAH / asti nitya-jQAna-AdimAn
   īśvaraḥ sarvajñaḥ pṛthivyādikāryaliṅgānumitaḥ, sa ca jīvād bhinna eveti	ISvaraH sarvajQaH pRTivI-Adi-kArya-liFga-anumitaH, sa ca jIvAt BinnaH eva-iti
   tārkikāḥ / kṣaṇikaḥ sarvajña iti saugatāḥ / kleśakarmavipākāśayair	tArkikAH / kzaNikaH sarvajQaH iti sOgatAH / kleSa-karma-vipAka-ASayEH-
   aparāmṛṣṭo nityajñānarūpaḥ pradhānāṃśasattvaguṇapratiphalitatayā sarvajñaḥ	aparAmRzwaH nitya-jQAna-rUpaH praDAna-aMSa-sattva-guNa-pratiPalita-tayA sarvajQaH
   saṃsāripuruṣavilakṣaṇa eveti pātañjalāḥ / advitīyaparamānanda eva brahma,	saMsAri-puruza-vilakzaNaH eva-iti pAtaQjalAH / advitIya-parama-AnandaH eva brahma,
   tac ca jīvasya vāstavaṃ svarūpaṃ māyayā ca sarvajñatvādiviśiṣṭaṃ	tat ca jIvasya vAstavam svarUpam mAyayA ca sarvajQa-tva-Adi-viSizwam
   jagadupādānaṃ nimittaṃ ceti aupaniṣadāḥ /	jagat-upAdAnam nimittam ca-iti OpanizadAH /
   evaṃ vādivipratipattibhiḥ sandigdho tatpadārthe aupaniṣadapakṣasya	evam vAdi-vipratipattiBiH sandigDaH tad-padArTe Opanizada-pakzasya
   pariśeṣeṇa tannirṇayāyāha bhagavān --	pariSezeNa tat-nirNayAya-Aha BagavAn --
        na sāṅkhyaṃ na śaivaṃ na tat pāñcarātraṃ na nainaṃ na mīmāṃsakāder	na sAFKyam na SEvam na tat pAQcarAtram na na-enam na mImAMsaka-AdeH-
   mataṃ vā /	matam vA /
        viśiṣṭānubhūtyā viśuddhātmakatvāt tad eko 'vaśiṣṭaḥ śivaḥ kevalo 'ham	viSizwa-anuBUtyA viSudDa-Atmaka-tvAt tat ekaH avaSizwaH SivaH kevalaH aham
   ādiśabdenānuktānāṃ saṅgrahaḥ / na tāvad acetanaṃ jagadupādānam, "tad	Adi-Sabdena-anuktAnAm saFgrahaH / na tAvat acetanam jagat-upAdAnam, "tad-
   aikṣata bahu syāṃ prajāyeya" (ChU VI.2.3.) iti īkṣaṇapūrvakasṛṣṭiśravaṇāt,	Ekzata bahu syAm prajAyeya" (ShU VI.2.3.) iti IkzaNa-pUrvaka-sRzwi-SravaNAt,
   "anena jīvenātmanānupraviśya nāmarūpe vyākaravāṇi" (ChU VI.3.2.) iti	"anena jIvena-AtmanA-anupraviSya nAma-rUpe vyAkara-vANi" (ShU VI.3.2.) iti
   jīvātmatvavyapadeśāt, "yasmin vijñāte sarvam idaṃ vijñātaṃ bhavati" (MU	jIvAtma-tva-vyapadeSa-at, "yasmin vijQAte sarvam idam vijQAtam Bavati" (MU
   I.1.3.) iti caikavijñānena sarvavijñānapratijñānāt, pradhānajñānena ca	I.1.3.) iti ca-eka-vijQAnena sarva-vijQAna-pratijQAnAt, praDAna-jQAnena ca
   tadaprakṛtikānāṃ puruṣāṇāṃ jñātum aśakyatvāt, "aitadātmyam idaṃ sarvaṃ tat	tad-aprakRtikAnAm puruzANAm jQAtum aSakya-tva-at, "a-etat-Atmyam idam sarvam tat-
   satyaṃ sa ātmā tat tvam asi" (ChU VI.8.7) iti ca tadabhedasya	satyam saH AtmA tat tvam asi" (ChU VI.8.7) iti ca tad-aBedasya
   navakṛtvopadeśāt, "tasmād vā etasmād ātmana ākāśaḥ sambhūtaḥ" (TU II.1.)	nava-kRtvA-upadeSAt, "tasmAt vE etasmAt AtmanaH AkASaH samBUtaH" (TU II.1.)
   iti śrutyantarād acetanasya jagatkāraṇatve vicitraracanānupapatteḥ,	iti Sruti-antarAt acetanasya jagat-kAraNa-tve vicitra-racanA-anupapatteH,
   pradhānamahadāder aprāmāṇikatvāc ca na sāṅkhyamataṃ sādhu / evaṃ pāśupataṃ	praDAna-mahat-AdeH aprAmANika-tvAt ca na sAFKya-matam sADu / evam pASupatam
   pāñcarātrikaṃ jainaṃ ca mataṃ śrutiyuktibādhitatvād ayuktam / na ca	pAQcarAtrikam ja-enam ca matam Sruti-yukti-bADita-tvAt ayuktam / na ca
   vidhiśeṣatvāc chrutir na brahma pratipādayatīti mīmāṃsakamataṃ yuktam	viDi-Seza-tvAt SrutiH na brahma pratipAdayati-iti mImAMsaka-matam yuktam
   asiddhatvād vidhiśeṣatvasya / na cārthavādādhikaraṇanyāyād vidhiśeṣatvam,	asidDa-tvAt viDi-Seza-tvasya / na ca-arTa-vAda-aDikaraNa-nyAyAt viDi-Seza-tvam,
   vaiṣamyāt / svataḥprayojanavadarthāpratipādakānāṃ "vāyur vai kṣepiṣṭhā	vEzamyAt / svatas-prayojana-vat-arTa-apratipAdakAnAm "vAyuH vE kzepizWA
   devatā" (TS II.1.1.1.) ityevamādīnāṃ svādhyāyavidhigrahaṇānyathānupapattyā	devatA" (TH II.1.1.1.) iti-evamAdInAm svADyAya-viDi-grahaNAni-aTa-anupapattyA
   prayojanavadarthaparatve kalpanīye śabdabhāvanetikartavyatāṃśasākāṃkṣasya	prayojana-vat-arTa-paratve kalpanIye Sabda-BAvanA-iti-kartavyatA-aMSasa-akAMkzasya
   vidheḥ sampradānabhūtadevatādistutidvāreṇa tadaṃśapūrakatvān	viDeH sampradAna-BUta-devatA-Adi-stuti-dvAreNa tad-aMSa-pUraka-tvAn
   naṣṭāśvadagdharathanyāyena tadubhayaikavākyatā ity arthavādādhikaraṇe	nazwa-aSva-dagDa-raTa-nyAyena tad-uBaya-eka-vAkya-tA iti arTavAda-aDikaraNe
   nirṇītam / vedāntavākyajanyajñānāc ca sākṣād eva paramānandaprāptir	nirNItam / vedAnta-vAkya-janya-jQAnAt ca sAkzAt eva parama-Ananda-prAptiH-
   niḥśeṣaduḥkhanivṛttiś ca puruṣārtho labhyata iti nirākāṃkṣatvān	niHSeza-duHKa-nivRttiH ca puruza-arTaH laByate iti nirAka-aMkza-tvAn
   nānyaśeṣatvasambhāvanā, pratyuta vidhaya evāntaḥkaraṇaśuddhidvārā	na-anya-Seza-tva-samBAvanA, pratyuta viDayaH eva-antaHkaraNa-SudDi-dvArA
   taccheṣatāṃ svata eva prāmāṇyād asty eva brahmeti na mīmāṃsakamatasiddhiḥ	tat-Seza-tAm svatas eva prAmANyAt asti eva brahma-iti na mImAMsaka-mata-sidDiH
   / tārkikādīnāṃ ca mataṃ "tat tvam asi" (ChU VI.8.7.), "ahaṃ brahmāsmi"	/ tArkikA-AdInAm ca matam "tat tvam asi" (ShU VI.8.7.), "aham brahmA-asmi"
   (BAU I.4.10.), "ayam ātmā brahma" (BAU II.5.19.), "satyaṃ jñānaṃ anantaṃ	(BAU I.4.10.), "ayam AtmA brahma" (BAU II.5.19.), "satyam jQAnam anantam
   brahma" (TU II.1.) ityādiśrutibādhitam, "ekam evādvitīyaṃ brahma" (ChU	brahma" (TU II.1.) ityAdi-Sruti-bADitam, "ekam eva-advitIyam brahma" (ShU
   VI.2.1.), "neha nānāsti kiñcana" (BAU IV.4.19.) ityādiśrutibādhitaṃ ca /	VI.2.1.), "na-iha nAnA-asti kiQcana" (BAU IV.4.19.) iti-Adi-Sruti-bADitam ca /
   bhinnābhinnatvaṃ kṣaṇikatvaṃ ca "ākāśavat sarvagataś ca nityaḥ"	Binna-aBinna-tvam kzaNika-tvam ca "a-AkASa-vat sarva-gataH ca nityaH"
   ityādiśrutibādhitam / atra ca sarvaṣāṃ matasyāsattve pratijñāte	ityAdi-Sruti-bADitam / atra ca sarvazAm matasya-asattve pratijQAte
   viśuddhātmakatvād iti hetuḥ / nirvikalpakādvitīyacaitanyarūpatvād ity	viSudDa-Atmaka-tvAt iti hetuH / nirvikalpaka-advitIya-cEtanya-rUpa-tvAt iti-
   arthaḥ / atra hetuḥ viśiṣṭānubhūtyeti / viśiṣṭā savikalpakānubhūtibhyo	arTaH / atra hetuH viSizwa-anuBUtyA-iti / viSizwA sa-vikalpaka-anuBUtiByaH-
   vyāvṛttā yā tattvamasyādivākyajanyākhaṇḍānubhūtis tayety arthaḥ / tena	vyAvRttA yA tattvam-asya-Adi-vAkya-janyA-KaNxa-anuBUtiH tayA-iti arTaH / tena
   sarvavyāpakam advitīyaṃ paramānandabodharūpaṃ ca brahmeti siddham // 4 //	sarva-vyApakam advitIyam parama-Ananda-boDa-rUpam ca brahma-iti sidDam // 4 //
   nanu, "sa ya eṣo 'ṇimā" (ChU VI.8.15.), "aṇor aṇīyān" (TA X.12.1, KU	nanu, "sa yaH ezaH aNimA" (ShU VI.8.15.), "aNoH aNIyAn" (TA X.12.1, KU
   I.2.20, SvU III.20.) iti brahmaṇo 'ṇutvaśruteḥ, "aṅguṣṭhamātraḥ puruṣaḥ"	I.2.20, SvU III.20.) iti brahmaNaH aNu-tva-SruteH, "aFguzWa-mAtraH puruzaH"
   (KU II.4.12.), "ārāgramātro hy avaro 'pi dṛṣṭaḥ" (SvU V.8.)	(KU II.4.12.), "Ara-agra-mAtraH hi avaraH api dRzwaH" (SvU V.8.)
   ityādiśrutipratipāditāṇujīvābhinnatvāc ca na brahmaṇaḥ sarvavyāpakatvam	ityAdi-Sruti-pratipAdita-aNu-jIva-aBinna-tvAt ca na brahmaNaH sarva-vyApaka-tvam
   ity āśaṅkya "brahmaivedam amṛtaṃ purastāt brahma paścāt brahma dakṣiṇataś	iti ASaFkya "brahma-eva-idam amRtam purastAt brahma paScAt brahma dakziNatas-
   cottareṇa / adhaś cordhvaṃ ca prasṛtaṃ brahmaivedaṃ viśvam idaṃ variṣṭham"	ca-uttareNa / aDas ca-UrDvam ca prasRtam brahma-eva-idam viSvam idam varizWam"
   (MU II.2.11.), "tad etad brahmāpūrvam anaparam anantaram abāhyam" (BAU	(MU II.2.11.), "tat etat brahma-apUrvam anaparam anantaram abAhyam" (BAU
   II.5.11.) ityādyāḥ śrutayo nirviśeṣam eva brahma pratipādayantīti	II.5.11.) ityAdyAH SrutayaH nirviSezam eva brahma pratipAdayanti-iti
   pūrovoktam eva draḍhayann āha --	pUrova-uktam eva draXayan Aha --
        na cordhvaṃ na cādho na cāntar na bāhyaṃ na madhyaṃ na tiryaṅ na	na ca-UrDvam na ca-aDas na ca-antar na bAhyam na maDyam na tiryak na
   pūrvāparā dik /	pUrva-aparA diS /
        viyadvyāpakatvād akhaṇḍaikarūpas tad eko 'vaśiṣṭaḥ śivaḥ kevalo 'ham	viyat-vyApaka-tvAt aKaNxa-eka-rUpaH tat ekaH avaSizwaH SivaH kevalaH aham
   ślokārthaḥ / viyadvyāpakatvāt viyadvad vyāpakatvāt "ākāśavat sarvagataś ca	Sloka-arTaH / viyat-vyApaka-tvAt viyat-vat vyApaka-tvAt "a-AkASa-vat sarva-gataH ca
   nitya" iti śruteḥ, viyato vyāpakatvād iti vā "jyāyān ākāśāt" (SatBr	nitya" iti SruteH, viyataH vyApaka-tvAt iti vA "jyAyAn AkASAt" (SatBr
   X.6.3.2), "mahato mayīyān" (KU II.20) ityādiśruteḥ / jīvasyāpi	X.6.3.2), "mahataH mayIyAn" (KU II.20) ityAdi-SruteH / jIvasya-api
   sakaladehavyāpicaitanyopalabdhyā mahattve 'pi,	sakala-deha-vyApi-cEtanya-upalabDyA mahat-tve api,
   upādhidharmādhyāsenārāgramātratvābhidhānāt, "buddher guṇenātmaguṇena caiva	upADi-Darma-aDyAsena-Ara-agra-mAtra-tva-aBiDAnAt, "budDeH guNena-Atma-guNena ca-eva
   hy ārāgramātro hy avaro 'pi dṛṣṭaḥ" (SvU V.8.) iti śruter brahmaṇaś ca	hi ArAgra-mAtraH hi avaraH api dRzwaH" (SvU V.8.) iti SruteH brahmaNaH ca
   sūkṣmatvābhiprāyeṇāṇutvavyapadeśāt / śeṣam atirohitārtham // 5 //	sUkzma-tva-aBiprAyeNa-aNutva-vyapadeSAt / Sezam ati-rohita-arTam // 5 //
   nanu, brahmaṇo jagadupādānatvād upādānopādeyayoś cābhedād	nanu, brahmaNaH jagat-upAdAna-tvAt upAdAna-upAdeyayoH ca-aBedAt-
   vicitrajagadabhinnatvena brahmaṇaḥ duḥkharūpatvāt na tadabhinnatvena	vicitra-jagat-aBinna-tvena brahmaNaH duHKa-rUpa-tvAt na tad-aBinna-tvena
   jīvasya paramapuruṣārthaprāptir ity āśaṅkya brahmaṇaḥ	jIvasya parama-puruza-arTa-prAptiH iti ASaFkya brahmaNaH
   svaprakāśaparamānandarūpatvān nikhilajagadbhramādhiṣṭhānatvena	sva-prakASa-parama-Ananda-rUpa-tvAt niKila-jagat-Brama-aDizWAna-tvena
   kāraṇatvavyapadeśād adhyastena ca samaṃ sambandhābhāvān na tatrānarthaleśo	kAraNa-tva-vyapadeSAt aDyastena ca samam sambanDa-aBAvAt na tatra-anarTa-leSaH-
   'py astīty āha --	api asti-iti Aha --
        na śuklaṃ na kṛṣṇaṃ na raktaṃ na pītaṃ na kubjaṃ na pīnaṃ na hrasvaṃ	na Suklam na kRzNam na raktam na pItam na kubjam na pInam na hrasvam
   na dīrgham /	na dIrGam /
        arūpaṃ tathā jyotir ākārakatvāt tadeko 'vaśiṣṭaḥ śivaḥ kevalo 'ham //	arUpam taTA jyotiH AkAraka-tvAt tat-ekaH avaSizwaH SivaH kevalaH aham //
   kubujam aṇu / pīnaṃ mahat / tenāṇu mahat hrasvaṃ dīrghaṃ ceti	kubujam aNu / pInam mahat / tena-aNu mahat hrasvam dIrGam ca-iti
   caturvidhaparimāṇaniṣedhāt dravyatvapratiṣedhaḥ / rūpyata iti rūpaṃ	caturviDa-parimANa-nizeDAt dravya-tva-pratizeDaH / rUpyate iti rUpam
   prameyam / na prameyaṃ arūpam / tena sarveṣām eva	prameyam / na prameyam arUpam / tena sarvezAm eva
   dravyaguṇakarmādipadārthānāṃ tattadvādyabhyupagatānāṃ niṣedhaḥ / tathā ca	dravya-guNa-karma-Adi-padArTAnAm tad-tad-vAdI-aByupagatAnAm nizeDaH / taTA ca
   śrutiḥ "asthūlam anaṇv ahrasvam adīrgham alohitam" (BAU III.8.8.) ityādyāḥ	SrutiH "a-sTUlam anaNu ahra-svam adIrGam alohitam" (BAU III.8.8.) ityAdyAH
   "aśabdam asparśam arūpam avyayaṃ tathārasaṃ nityam agandhavac ca yat"	"a-Sabdam asparSam arUpam avyayam taTA-arasam nityam aganDa-vat ca yat"
   (KathU I.3.15.) ityādyāś ca sarvānarthaśūnyaṃ paramātmasvarūpaṃ	(KaTU I.3.15.) ityAdyAH ca sarva-an-arTa-SUnyam paramAtma-svarUpam
   pratipādayanti / śrautasyāpy arthasya nyāyena nirṇayāya hetum āha --	pratipAdayanti / SrOtasya-api arTasya nyAyena nirNayAya hetum Aha --
   jyotir ākārakatvād iti / svaprakāśajñānarūpatvenāprameyatvāt, prameyatve	jyotiH AkAraka-tvAt iti / sva-prakASa-jQAna-rUpa-tvena-aprameya-tvAt, prameya-tve
   ghaṭādivajjaḍatvāpatteḥ, "etad aprameyaṃ dhruvam" (BAU IV.4.20.)	Gawa-Adi-vat-jaxa-tva-ApatteH, "etat aprameyam Druvam" (BAU IV.4.20.)
   ityādiśruteś cety arthaḥ // 6 //	ityAdi-SruteH ca-iti arTaH // 6 //
   tṛtīyo vibhāgaḥ	tRtIyaH viBAgaH
   tattvamasivākyārthanirṇayaḥ /	tattvam-asi-vAkya-arTa-nirNayaH /
   nanu, kasya brahmabhāva upadiśyate, brahmaṇo 'brahmaṇo vā / nāntyaḥ, tasya	nanu, kasya brahma-BAvaH upadiSyate, brahmaNaH abrahmaNaH vE / na-antyaH, tasya
   jaḍatvād asattvāc ca, na prathamaḥ upadeśānarthakyāt, brahmabhāvasya	jaxa-tvAt asattvAt ca, na praTamaH upadeSa-anarTakyAt, brahma-BAvasya
   svataḥsiddhatvāt / jīvasya svato brahmabhāve 'py avidyāvyavadhānaṃ jñānena	svatas-sidDa-tvAt / jIvasya svatas brahma-BAve api avidyA-vyavaDAnam jQAnena
   nivartyata iti cet, na, avidyānivṛtter ātmabhinnatve dvaitāpatter brahmaṇo	nivartyate iti cet, na, avidyA-nivRtteH Atma-Binna-tve dvEta-ApatteH brahmaNaH-
   'siddhiprasaṅgāt / tad uktaṃ vārtike (BAUBhV II.4.14.)	asidDi-prasaFgAt / tat uktam vArtike (BAUBhV II.4.14.)
        "avyāvṛttānanugataṃ vastu brahmeti bhaṇyate /	"avyAvRttAn-anugatam vastu brahma-iti BaNyate /
        brahmārtho durlabho 'tra syād dvitīye sati vastuni" // iti //	brahma-arTaH durlaBaH atra syAt dvitIye sati vastuni" // iti //
   abhinnatve copadeśānarthakyam ity uktam / atra kiṃ paramārthataḥ	aBinna-tve ca-upadeSa-AnarTakyam iti uktam / atra kim paramArTataH
   phalābhāvam abhipraiṣi kiṃ vā pratītito 'pi / tatrādyam iṣṭāpattyā	Pala-aBAvam aBiprEzi kim vA pratItitaH api / tatra-Adyam izwa-ApattyA
   pariharati --	pariharati --
        na śāstā na śāstraṃ na śiṣyo na śikṣā na ca tvaṃ na cāhaṃ na cāyaṃ	na SAstA na SAstram na SizyaH na SikzA na ca tvam na ca-aham na ca-ayam
   prapañcaḥ /	prapaQcaH /
        svarūpāvabodho vikalpāsahiṣṇus tad eko 'vaśiṣṭaḥ śivaḥ kevalo 'ham //	svarUpa-avaboDaH vikalpA-sahizNuH tat ekaH avaSizwaH SivaH kevalaH aham //
   śāstā upadeśakartā guruḥ / śāstram upadeśakaraṇam / śiṣya upadeśakarma /	SAstA upadeSa-kartA guruH / SAstram upadeSa-karaNam / SizyaH upadeSa-karma /
   śikṣā upadeśakriyā / tvaṃ śrotā / ahaṃ vaktā / ayaṃ	SikzA upadeSa-kriyA / tvam SrotA / aham vaktA / ayam
   sarvapramāṇasannidhāpitaḥ prapañco, dehendriyādir anarthaḥ, paramārthato	sarva-pramANa-sanniDApitaH prapaQcaH-, deha-indriya-AdiH anarTaH, paramArTa-taH-
   nāstīty arthaḥ / dvitīyaṃ nirākaroti -- svarūpeti / ayam arthaḥ -- yady	na-asti-iti arTaH / dvitIyam nirAkaroti - svarUpA-iti / ayam arTaH - yadi-
   apy avidyānivṛttir ātmānātmā veti vikalpane kim api phalaṃ nirūpayituṃ na	api avidyA-nivRttiH AtmAnAtmA vA-iti vikalpane kim api Palam nirUpayitum na
   śakyate tathāpi svarūpāvabodho vijñānaphalam anubhūyate / na caitat katham	Sakyate taTA-api svarUpa-avaboDaH vijQAna-Palam anuBUyate / na ca-etat kaTam
   iti vikalpanīyaṃ sarvadvaitopamardena vikalpāsahiṣṇutvāt / na hi dṛṣṭe	iti vikalpanIyam sarva-dvEta-upamardena vikalpa-asahizNu-tvAt / na hi dRzwe
   'nupapannaṃ nāma / tathā ca śrutiḥ (GauK II.32.)	anupapannam nAma / taTA ca SrutiH (GOK II.32.)
        "na nirodho na cotpattir na baddho na ca sādhakaḥ /	"na niroDaH na ca-utpattiH na badDaH na ca sADakaH /
        na mumukṣur na vai mukta ity eṣā paramārthatā" //	na mumukzuH na vE muktaH iti ezA paramArTa-tA" //
   "brahma vā idam agra āsīt, tad ātmānam evāvedāhaṃ brahmāsmīti, tasmāt	"brahma vA idam agre AsIt, tat AtmAnam eva-Aveda-aham brahma-asmi-iti, tasmAt-
   tatsarvam abhavat" (BAU I.4.7.) ityādyā pūrvam api brahmasvarūpasyaiva	tat-sarvam aBavat" (BAU I.4.7.) ityAdyA pUrvam api brahma-svarUpasya-eva
   sato jīvasya jñānād brahmabhāvaṃ darśayati sarvaṃ ca dvaitaṃ vārayati // 7	sataH jIvasya jQAnAt brahma-BAvam darSayati sarvam ca dvEtam vArayati // 7
   nanv ātmanaḥ svaprakāśarūpatve sarvadā samāne	nanu AtmanaH sva-prakASa-rUpa-tve sarvadA samAne
   jāgratsvapnasuṣuptyādivyavasthā katham / na ca bhrāntyaiva vyastheti	jAgrat-svapna-suzupti-Adi-vyavasTA kaTam / na ca BrAntyA-eva vyasTA-iti
   vācyam, tathā sati sarvasyaiva svapnatvāpatter iti cet, na, lakṣaṇatas	vAcyam, taTA sati sarvasya-eva svapna-tva-ApatteH iti cet, na, lakzaNatas
   trayāṇām api svapnatve 'pi pratibhāsate 'vidyātmakaviśeṣasambhavād	trayANAm api svapna-tve api pratiBAsate avidyA-Atmaka-viSeza-samBavAt-
   asadvilakṣaṇatvena tu saviśeṣatvād vyavasthopapatteḥ / paramārthatas tu	asat-vilakzaNa-tvena tu sa-viSeza-tvAt vyavasTA-upapatteH / paramArTataH tu
   kāpi vyavasthety āha --	kA-api vyavasTA-iti Aha --
        na jāgran na me svapnako vā suṣuptir na viśvo na vā taijasaḥ prājñako	na jAgrat na me svapnakaH vA suzuptiH na viSvaH na vA tEjasaH prAjQa-ko
   vā /	vA /
        avidyātmakatvāt trayāṇāṃ turīyas tad eko 'vaśiṣṭaḥ śivaḥ kevalo 'ham	avidyA-Atmaka-tvAt trayANAm turIyaH tat ekaH avaSizwaH SivaH kevalaH aham
   atra layakrameṇa paurvāparyayanirdeśaḥ / tathā hi -- asmanmate padārtho	atra laya-krameNa pOrvAparyaya-nirdeSaH / taTA hi - asmad-mate padArTaH-
   dvividhaḥ, dṛk dṛśyaś ca, anyavādiparikalpitānāṃ padārthānām	dviviDaH, dRS dRSyaH ca, anya-vAdi-parikalpitAnAm padArTAnAm
   atraivāntarbhāvāt / tatra dṛkpadārtha ātmā pāramārthika ekaḥ	atra-eva-antarBAvAt / tatra dRS-padArTaH AtmA pAramArTikaH ekaH
   sarvadaikarupo 'py aupādhikabhedena trividhaḥ, īśvaro jīvaḥ sākṣī ceti /	sarvadA-ekarupaH api OpADika-Bedena triviDaH, ISvaraH jIvaH sAkzI ca-iti /
   tatra kāraṇībhūtājñānopādhir īśvaraḥ,	tatra kAraNIBUta-ajQAna-upADiH ISvaraH,
   antaḥkaraṇatatsaṃskārāvacchinnājñānopahito jīvaḥ / prapañcitaṃ caitad	antaHkaraNa-tad-saMskAra-avacCinnA-jQAna-upahitaH jIvaH / prapaQcitam ca-etat-
   adhastāt / avidyāpratibimbeśvarapakṣe bimbacaitanyaṃ, bimbeśvarapakṣe ca	aDastAt / avidyA-pratibimba-ISvara-pakze bimba-cEtanyan, bimba-ISvara-pakze ca
   bimbapratibimbamukhānugatamukhasvarūpavaj jīveśvarānugataṃ sarvānusandhātṛ	bimba-pratibimba-muKa-anugata-muKa-svarUpa-vat jIva-ISvara-anugatam sarva-anusanDAtR
   caitanyaṃ, sākṣīty ucyate / vārtikakāramate tv īśvara eva sākṣīti	cEtanyan, sAkzI-iti ucyate / vArtikakAra-mate tu ISvaraH eva sAkzi-iti
   dvaividhyam eva jīveśvarabhedena dṣśaḥ / tatreśvaro 'pi trividhaḥ /	dvEviDyam eva jIva-ISvara-Bedena dzSaH / tatra-ISvaraH api triviDaH /
   svopādhibhūtāvidyāguṇatrayabhedena viṣṇukāraṇībhūtarajaupahito brahma	sva-upADi-BUta-avidyA-guNa-traya-Bedena vizNu-kAraNIBUta-raja-OpahitaH brahma
   sraṣṭā / hiraṇyagarbhas tu mahābhūtakāraṇatvābhāvān na brahmā tathāpi	srazwA / hiraNyagarBaH tu mahABUta-kAraNa-tva-aBAvAt na brahmA taTA-api
   sthūlabhūtasraṣṭṛtvāt kvacid brahmety ucyate / kāraṇībhūtatamaupahito	sTUla-BUta-srazwR-tvAt kvacid brahma-iti ucyate / kAraNIBUtatam-OpahitaH-
   rudraḥ saṃhartā / evaṃ caikasyaiva caturbhujacaturmukhapañcamukhādyāḥ	rudraH saMhartA / evam ca-ekasya-eva catur-Buja-caturmuKa-paQcamuKa-AdyAH
   pumākārāḥ śrībhāratībhvānyādyāś ca stryākārāḥ / anye ca matsyakūrmādayo	pumAkArAH SrI-BAratI-BvAni-a-AdyAH ca strI-AkArAH / anye ca matsya-kUrma-AdayaH-
   'nantāvatārāḥ līlayaivāvirbhavanti bhaktānugrahārtham avadheyam,	ananta-avatArAH lIlayA-eva-AvirBavanti Bakta-anugraha-arTam avaDeyam,
        "cinmayasyādvitīyasya niṣkalasyāśarīriṇaḥ /	"cit-mayasya-advitIyasya nizkalasya-aSarIriNaH /
        upāsakānāṃ kāryārthaṃ brahmaṇo rūpakalpanā //" iti śruteḥ //	upAsakAnAm kArya-arTam brahmaNaH rUpa-kalpanA //" iti SruteH //
   jīvo' pi trividhaḥ, svopādhyavāntarabhedena viśvataijasaprājñabhedāt /	jIvaH-a pi triviDaH, sva-upADyavAntara-Bedena viSva-tEjasa-prAjQa-BedAt /
   tatrāvidyāntaḥkaraṇasthūlaśarīrāvacchinno jāgradavasthābhimānī viśvaḥ / sa	tatra-avidyA-antaHkaraNa-sTUla-SarIra-avacCinnaH jAgrat-avasTA-aBimAnI viSvaH / sa
