   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   rājñā tasya kadā cana Brh_1,7.53d	rAjQA tasya kadA cana Br=-_1,7.53d
   rājñā dāpayitavyaḥ syād Brh_1,16.11c	rAjQA dApayitavyaH syAt Br=-_1,16.11c
   rājñāpavarjito yas tu Brh_1,2.43a	rAjQA-apavarjitaH yaH tu Br=-_1,2.43a
   rājñā madhyam asāhasam] Brh_1,19.35d	rAjQA maDyam asAha-sam] Br=-_1,19.35d
   rājñāmātyais tathaiva ca Brh_1,7.46b	rAjQA-amAtyEH taTA-eva ca Br=-_1,7.46b
   rājñā yatnena kartavyaṃ Brh_1,9.30a	rAjQA yatnena kartavyam Brh_1,9.30a
   rājñā ye viditāḥ samyak Brh_1,1.92a	rAjQA ye viditAH samyak Br=-_1,1.92a
   rājñā lokahitaiṣiṇā Brh_1,23.11b	rAjQA loka-hita-eziNA Brh_1,23.11b
   rājñā śāsya iti sthitiḥ Brh_1,1.168d	rAjQA SAsyaH iti sTitiH Br=-_1,1.168d
   rājñe daṇḍaṃ ca tatsamam Brh_1,19.54d	rAjQe daNxam ca tad-samam Br=-_1,19.54d
   rājñe dattvā tu ṣaḍbhāgaṃ Brh_1,13.10a	rAjQe dattvA tu zaz-BAgam Brh_1,13.10a
   rājñe dattvā tu ṣaḍbhāgaṃ Brh_1,13.38c	rAjQe dattvA tu zaz-BAgam Br=-_1,13.38c
   rājñe nivedanād ūrdhvaṃ Brh_1,1.162a	rAjQe nivedanAt UrDvam Br=-_1,1.162a
   rājño mūrtir hi nirmitā Brh_1,1.7b	rAjQaH mUrtiH hi nirmitA Br=-_1,1.7b
   rājyāc ca parihīyate Brh_1,23.12d	rAjyAt ca parihIyate Br=-_1,23.12d
   rāṣṭrasya vā samas tasya Brh_1,2.43c	rAzwrasya vA samaH tasya Br=-_1,2.43c
   rikthabhir vā parair dravyaṃ Brh_1,7.40a	rikTaBiH vA parEH dravyam Br=-_1,7.40a
   rikthaśauryapravedanāt Brh_1,7.24b	rikTa-SOrya-pravedanAt Br=-_1,7.24b
   rikthaharo naraḥ Brh_1,13.15b	rikTa-haraH naraH Brh_1,13.15b
   rikthī yatra pravartate Brh_1,26.63b	rikTI yatra pravartate Brh_1,26.63b
   rikthe ca piṇḍadāne ca Brh_1,26.82c	rikTe ca piNxa-dAne ca Br=-_1,26.82c
   rucyā cānyataraḥ kuryād Brh_1,8.17c	rucyA ca-anyataraH kuryAt Brh_1,8.17c
   rudrāṇām ayanaṃ viduḥ Brh_1,8.22d	rudrANAm ayanam viduH Br=-_1,8.22d
   rudrāś caikādaśa smṛtāḥ Brh_1,8.24d	rudrAH ca-ekAdaSa smRtAH Br=-_1,8.24d
   rūpasaṃkhyādilābheṣu Brh_1,10.98a	rUpa-saMKyA-Adi-lABezu Brh_1,10.98a
   rūpyadhānyarasāmbaram Brh_1,26.97b	rUpya-DAnya-rasa-ambaram Br=-_1,26.97b
   rogiṇaṃ prapalāyinam Brh_1,13.31b	rogiNam prapalAyinam Br=-_1,13.31b
   rogibhyo 'rthaṃ samādatte Brh_1,22.10c	rogiByaH arTam samAdatte Br=-_1,22.10c
   lakṣaṇena tu lakṣitām Brh_1,1.47d	lakzaNena tu lakzitAm Br=-_1,1.47d
   lakṣaṇyāṃ kalpayet sabhām Brh_1,1.46b	lakzaNyAm kalpayet saBAm Br=-_1,1.46b
   lakṣaṇyāṃ vāstuśāstrokta- Brh_1,1.47c	lakzaNyAm vAstu-SAstra-ukta Br=-_1,1.47c
   lakṣitaḥ saṃśayāpahaḥ Brh_1,19.7d	lakzitaH saMSaya-apahaH Br=-_1,19.7d
   lakṣye 'rthe 'bhyarthanaṃ tathā Brh_1,2.41b	lakzye arTe aByarTanam taTA Brh_1,2.41b
   lagne ghāte damo budhaiḥ Brh_1,21.9d	lagne GAte damaH buDEH Br=-_1,21.9d
   labdhaṃ saudāyikaṃ smṛtam Brh_1,26.29d	labDam sOdAyikam smRtam Br=-_1,26.29d
   labdhe 'rthe 'bhyarthanaṃ mohas Brh_1,2.42c	labDe arTe aByarTanam mohaH Br=-_1,2.42c
   labhate paribhāṣitam Brh_1,15.10d	laBate pariBAzitam Br=-_1,15.10d
   labhate mānamātrakam Brh_1,26.31f	laBate mAna-mAtrakam Brh_1,26.31f
   labhate śaktyapekṣayā Brh_1,3.4d	laBate Sakti-apekzayA Br=-_1,3.4d
   labhate svargatiṃ ca saḥ Brh_1,1.97d	laBate svargatim ca saH Br=-_1,1.97d
   labheta kulapālikā Brh_1,26.101b	laBeta kulapAlikA Brh_1,26.101b
   labheta gatabhartṛkā Brh_1,26.99d	laBeta gata-BartRkA Br=-_1,26.99d
   labhetājīvanaṃ śeṣaṃ Brh_1,26.125c	laBeta-AjIvanam Sezam Brh_1,26.125c
   labhetāsyāṣṭame 'khilam Brh_1,16.14b	laBeta-asya-azwame aKilam Br=-_1,16.14b
   labhetāṃśaṃ kramāgate Brh_1,26.66d	laBeta-aMSam krama-Agate Br=-_1,26.66d
   labheyus te yathottaram Brh_1,13.35d	laBeyuH te yaTottaram Br=-_1,13.35d
   labheraṃs te yatāṃśataḥ Brh_1,13.10b	laBeran te yata-aMSataH Br=-_1,13.10b
   labheraṃs te yathāṃśataḥ Brh_1,13.34d	laBeran te yaTA-aMSataH Br=-_1,13.34d
   lalāṭāṅkaṃ brāhmaṇasya Brh_1,9.27a	lalAwa-aFkam brAhmaNasya Br=-_1,9.27a
   lalāṭāṅko brāhmaṇasya Brh_1,29.5c	lalAwa-aFkaH brAhmaNasya Br=-_1,29.5c
   lalāṭauṣṭhagudaṃ kaṭiḥ Brh_1,29.4d	lalAwa-ozWa-gudam kawiH Br=-_1,29.4d
   lavaṇasvedam adyeṣu Brh_1,10.18c	lavaNa-svedam adyezu Br=-_1,10.18c
   lābhabhogaprasādhanam Brh_1,7.52b	lABa-Boga-prasADanam Br=-_1,7.52b
   lābhabhogaprasādhanam Brh_1,8.1b	lABa-Boga-prasADanam Br=-_1,8.1b
   lābhas teṣāṃ tathāvidhaḥ Brh_1,13.4d	lABaH tezAm taTAviDaH Br=-_1,13.4d
   lābhaṃ gṛhṇīta caiva hi Brh_1,13.5d	lABam gRhNIta ca-eva hi Br=-_1,13.5d
   lābhaṃ tatra pramāṇaṃ syāt Brh_1,10.59c	lABam tatra pramANam syAt Br=-_1,10.59c
   lābhāt sa parihīyate Brh_1,13.25d	lABAt sa parihIyate Br=-_1,13.25d
   lābhālābhavyayodayam Brh_1,9.28b	lABa-alABa-vyaya-udayam Br=-_1,9.28b
   lābhe dviguṇatām iyāt Brh_1,10.22b	lABe dviguNa-tAm iyAt Br=-_1,10.22b
   likhanti kuśalā janāḥ Brh_1,6.41b	liKanti kuSalAH janAH Br=-_1,6.41b
   likhitapreṣitād ṛte Brh_1,1.171d	liKita-prezitAt Rte Br=-_1,1.171d
   likhitasyādhunā vacmi Brh_1,6.1c	liKitasya-aDunA vacmi Br=-_1,6.1c
   likhitaṃ kurute tu yat Brh_1,6.16b	liKitam kurute tu yat Br=-_1,6.16b
   likhitaṃ tu prayacchati Brh_1,6.25d	liKitam tu prayacCati Br=-_1,6.25d
   likhitaṃ tv aṣṭadhā smṛtam Brh_1,4.8d	liKitam tu azwaDA smRtam Br=-_1,4.8d
   likhitaṃ yo na darśayet Brh_1,6.48b	liKitam yaH na darSayet Br=-_1,6.48b
   likhite sākṣivāde ca Brh_1,4.17a	liKite sAkzi-vAde ca Br=-_1,4.17a
   likhito likhito gūḍhaḥ Brh_1,5.4a	liKitaH liKitaH gUXaH Brh_1,5.4a
   likhitau dvau tathā gūḍhau Brh_1,5.19a	liKitO dvO taTA gUXO Br=-_1,5.19a
   likhed bhūrjapaṭe vāpi Brh_1,8.86a	liKet BUrja-pawe vA-api Brh_1,8.86a
   likhen nyāyaṃ ca lekhakaḥ Brh_1,1.90b	liKet nyAyam ca leKakaH Br=-_1,1.90b
   liṅgānām api darśane Brh_1,19.10b	liFgAnAm api darSane Br=-_1,19.10b
   liṅginas taskarāś caiva Brh_1,1.74c	liFginaH taskarAH ca-eva Br=-_1,1.74c
   lubdhātivṛddhabālāś ca Brh_1,17.8c	lubDa-ati-vRdDa-bAlAH ca Br=-_1,17.8c
   lekhakasya matena ca Brh_1,6.37d	leKakasya matena ca Br=-_1,6.37d
   lekhakaḥ sākṣibhiḥ saha Brh_1,6.53b	leKakaH sAkziBiH saha Br=-_1,6.53b
   lekhako dakṣiṇāmukhaḥ Brh_1,1.109d	leKakaH dakziNAmuKaH Br=-_1,1.109d
   lekhako vāpi tādṛśaḥ Brh_1,6.31d	leKakaH vA-api tAdRSaH Br=-_1,6.31d
   lekhayitvā svaśāsane Brh_1,1.31d	leKayitvA sva-SAsane Br=-_1,1.31d
   lekhayitvā svaśāsanaiḥ Brh_1,17.3d	leKayitvA sva-SAsanEH Br=-_1,17.3d
   lekhayed uttaraṃ tataḥ Brh_1,3.2d	leKayet uttaram tatas Br=-_1,3.2d
   lekhayed uttaraṃ tataḥ Brh_1,3.26d	leKayet uttaram tatas Br=-_1,3.26d
   lekhitaḥ sa udāhṛtaḥ Brh_1,5.7d	leKitaH saH udAhRtaH Br=-_1,5.7d
   lekhyadoṣās tu ye kecit Brh_1,5.22a	leKya-dozAH tu ye kecid Br=-_1,5.22a
   lekhyam apy antareṇa tān Brh_1,26.7d	leKyam api antareNa tAn Br=-_1,26.7d
   lekhyam apy antareṇa tān Brh_1,26.144d	leKyam api antareNa tAn Br=-_1,26.144d
   lekhyam ālekhyavat kecil Brh_1,6.41a	leKyam AleKya-vat kecid Br=-_1,6.41a
   lekhyasākṣiyutaṃ tathā Brh_1,13.23d	leKya-sAkzi-yutam taTA Br=-_1,13.23d
   lekhyaṃ kūṭatvam āpnuyāt Brh_1,6.32d	leKyam kUwa-tvam ApnuyAt Br=-_1,6.32d
   lekhyaṃ kṛtvā svanāmāṅkaṃ Brh_1,6.42c	leKyam kRtvA sva-nAma-aFkam Br=-_1,6.42c
   lekhyaṃ tat trividhaṃ proktaṃ Brh_1,6.4c	leKyam tat triviDam proktam Brh_1,6.4c
   lekhyaṃ tatrāpahārakam Brh_1,10.46d	leKyam tatra-apahArakam Br=-_1,10.46d
   lekhyaṃ triṃśat samātītam Brh_1,6.47a	leKyam triMSat samAtItam Br=-_1,6.47a
   lekhyaṃ durbalatām iyāt Brh_1,6.51d	leKyam durbala-tAm iyAt Br=-_1,6.51d
   lekhyaṃ duṣṭaṃ tadā bhṛguḥ Brh_1,6.38d	leKyam duzwam tadA BRguH Br=-_1,6.38d
   lekhyaṃ yatra na vidyeta Brh_1,1.104a	leKyam yatra na vidyeta Br=-_1,1.104a
   lekhyaṃ vā sākṣiṇo vāpi Brh_1,5.29a	leKyam vA sAkziNaH vA-api Brh_1,5.29a
   lekhyaṃ sākṣī tadā guruḥ Brh_1,7.38b	leKyam sAkzI tadA guruH Brh_1,7.38b
   lekhyaṃ sidhyati sarvatra Brh_1,6.45c	leKyam siDyati sarvatra Br=-_1,6.45c
   lekhyābhāve tu tāṃ tatra Brh_1,7.62c	leKya-aBAve tu tAm tatra Brh_1,7.62c
   lekhyāruḍho 'tha sākṣimān Brh_1,10.39b	leKya-AruXaH aTa sAkzimAn Br=-_1,10.39b
   lekhyārūḍhaṃ sākṣimad vā Brh_1,10.5c	leKya-ArUXam sAkzimat vA Br=-_1,10.5c
   lekhye ca sati vādeṣu Brh_1,4.12c	leKye ca sati vAdezu Br=-_1,4.12c
   lekhyena bhogavidbhir vā Brh_1,7.48c	leKyena Boga-vidBiH vA Br=-_1,7.48c
   lekhyena sākṣibhir vāpi Brh_1,10.95c	leKyena sAkziBiH vA-api Brh_1,10.95c
   lekhye saṃśayam āpanne Brh_1,6.55a	leKye saMSayam Apanne Brh_1,6.55a
   lokapālāṃś ca pūrvavat Brh_1,8.89d	lokapAlAn ca pUrvavat Br=-_1,8.89d
   lokavedāṅgadharmajñāḥ Brh_1,1.59c	loka-vedAFga-Darma-jQAH Br=-_1,1.59c
   lokācāre ca sūribhiḥ Brh_1,26.92b	loka-AcAre ca sUriBiH Br=-_1,26.92b
   loke nityaviparyayam Brh_1,19.18b	loke nitya-viparyayam Br=-_1,19.18b
   loke saṃvyavahārārthaṃ Brh_1,8.8a	loke saMvyavahAra-arTam Br=-_1,8.8a
   loke 'smin vaidikī smṛtiḥ Brh_1,9.9d	loke asmin vEdikI smRtiH Br=-_1,9.9d
   lobhadveṣavivarjitāḥ Brh_1,5.38b	loBa-dveza-vivarjitAH Br=-_1,5.38b
   lobhadveṣādikaṃ tyaktvā Brh_1,1.98a	loBa-dveza-Adikam tyaktvA Br=-_1,1.98a
   lobhadveṣābhibhūtānāṃ Brh_1,1.1c	loBa-dveza-aBiBUtAnAm Br=-_1,1.1c
   lobhād bhayād vā yo rājā Brh_1,23.12a	loBAt BayAt vA yaH rAjA Brh_1,23.12a
   laukikī ca kriyā matā Brh_1,8.32d	lOkikI ca kriyA matAH Br=-_1,8.32d
   vaktavyaṃ tv apriyaṃ tatra Brh_1,1.100c	vaktavyam tu apriyam tatra Brh_1,1.100c
   vaktavyaṃ sākṣibhiḥ sākṣyaṃ Brh_1,8.42c	vaktavyam sAkziBiH sAkzyam Br=-_1,8.42c
   vaktavye 'rthe na tiṣṭhantam Brh_1,1.158a	vaktavye arTe na tizWantam Br=-_1,1.158a
   vaktādhyakṣo nṛpaḥ śāstā Brh_1,1.88c	vaktADyakzaH nRpaH SAstA Brh_1,1.88c
   vaktuṃ notsahate yadā Brh_1,2.34b	vaktum na-utsahate yadA Br=-_1,2.34b
   vaktṛdoṣaṃ nirūpayet Brh_1,6.35b	vaktR-dozam nirUpayet Br=-_1,6.35b
   vaktre śrotre ca pārthivaḥ Brh_1,20.11d	vaktre Srotre ca pArTivaH Br=-_1,20.11d
   vacanasya pratijñātvaṃ Brh_1,2.16a	vacanasya pratijQAtvam Brh_1,2.16a
   vacanāt tulyadoṣaḥ syāt Brh_1,20.10c	vacanAt tulya-dozaH syAt Br=-_1,20.10c
   vacanṃ tasya na grāhyaṃ Brh_1,1.171c	vacanm tasya na grAhyam Brh_1,1.171c
   vacaḥ pratyarthinas tathā Brh_1,1.134d	vacaH pratyarTinaH taTA Br=-_1,1.134d
   vañcayanti svabāndhavāḥ Brh_1,6.42b	vaQcayanti sva-bAnDavAH Br=-_1,6.42b
   vaṇikpathaṃ ca ye kuryur Brh_1,26.147c	vaNikpaTam ca ye kuryuH Brh_1,26.147c
   vaṇigdaṇḍaṃ ca tatsamam Brh_1,22.13d	vaNij-daNxam ca tad-samam Br=-_1,22.13d
   vaṇigvikrītapaṇyas tu Brh_1,1.139a	vaNij-vikrIta-paNyaH tu Br=-_1,1.139a
   vaṇigvīthīparigataṃ Brh_1,12.10a	vaNij-vITI-parigatam Brh_1,12.10a
   vaṇigvīthīparigataṃ Brh_1,12.13a	vaNij-vITI-parigatam Brh_1,12.13a
   vaṇijaś ca palāyinaḥ Brh_1,17.22d	vaNijaH ca palAyinaH Br=-_1,17.22d
   vaṇijyādyāḥ sahaitais tu Brh_1,13.3c	vaNijyA-AdyAH saha-etEH tu Br=-_1,13.3c
   vatsarāṇāṃ śatair api Brh_1,18.16d	vatsarANAm SatEH api Br=-_1,18.16d
   vadhadaṇḍam ataḥ param Brh_1,29.8d	vaDa-daNxam atas param Br=-_1,29.8d
   vadhadaṇḍena śāsayet Brh_1,9.11b	vaDa-daNxena SAsayet Br=-_1,9.11b
   vadhas tatrādhikaḥ smṛtaḥ Brh_1,23.9b	vaDaH tatra-aDikaH smRtaH Brh_1,23.9b
   vadhaṃ citram avāpnuyāt Brh_1,27.8d	vaDam citram avApnuyAt Br=-_1,27.8d
   vadhaḥ saṃharaṇaṃ steyam Brh_1,2.27c	vaDaH saMharaNam steyam Br=-_1,2.27c
   vadhādṛte brāhmaṇasya Brh_1,9.9a	vaDAt-Rte brAhmaNasya Br=-_1,9.9a
   vadhārhakaḥ svarṇaśataṃ Brh_1,9.19a	vaDa-arhakaH svarNa-Satam Br=-_1,9.19a
   vadhārho daṇḍam arhati Brh_1,29.3b	vaDa-arhaH daNxam arhati Br=-_1,29.3b
   vadhe cet prāṇinām sāksyaṃ Brh_1,8.41a	vaDe ced prANinAm sAksyam Br=-_1,8.41a
   vadhyās te rājapūruṣaiḥ Brh_1,22.16d	vaDyAH te rAja-pUruzEH Br=-_1,22.16d
   vane pravrajitādayaḥ Brh_1,1.157b	vane pravrajita-AdayaH Br=-_1,1.157b
   vayojyeṣṭhakrameṇaikaḥ Brh_1,26.17c	vayaH-jyezWa-krameNa-ekaH Br=-_1,26.17c
   vayovidyātapobhiś ca Brh_1,26.12a	vayaH-vidyA-tapoBiH ca Br=-_1,26.12a
   varuṇasyottare bhāge Brh_1,8.27a	varuNasya-uttare BAge Br=-_1,8.27a
   varuṇo 'ṃśo bhagas tathā Brh_1,8.20d	varuNaH aMSaH BagaH taTA Br=-_1,8.20d
   varcasthānaṃ vahnim ayaṃ Brh_1,19.49a	varca-sTAnam vahnim ayam Brh_1,19.49a
   varjyān āhur manīṣiṇaḥ Brh_1,23.4d	varjyAn AhuH manIziNaH Br=-_1,23.4d
   varjyāś caiva narādhamāḥ Brh_1,5.37b	varjyAH ca-eva nara-aDamAH Br=-_1,5.37b
   varṇakramāc chataṃ dvitri- Brh_1,10.4c	varNa-kramAt Satam dvi-tri Br=-_1,10.4c
   varṇasaṃkaralopanam Brh_1,29.13d	varNa-saMkara-lopanam Br=-_1,29.13d
   varṇānāṃ trividhaṃ smṛtam Brh_1,7.9d	varNAnAm triviDam smRtam Br=-_1,7.9d
   varṇānurūpaiḥ śapathaiḥ Brh_1,8.38a	varNa-anurUpEH SapaTEH Brh_1,8.38a
   varṇāśramāṇāṃ lopaś ca Brh_1,29.13c	varNa-ASramANAm lopaH ca Br=-_1,29.13c
   vartitavyaṃ tathaiva taiḥ Brh_1,13.21d	vartitavyam taTA-eva tEH Br=-_1,13.21d
   vardhanaṃ rakṣaṇaṃ bhoga Brh_1,7.1c	varDanam rakzaNam Boga Br=-_1,7.1c
   vardhito vijayī bhavet Brh_1,8.49d	varDitaH vijayI Bavet Br=-_1,8.49d
   varṣād dhānim avāpnuyāt Brh_1,7.65b	varzAt DAnim avApnuyAt Br=-_1,7.65b
   vaśyaṃ naṣṭārthadarśanam Brh_1,2.42b	vaSyam nazwa-arTa-darSanam Br=-_1,2.42b
   vasanasyāśanasyaiva Brh_1,26.86a	vasanasya-aSanasya-eva Br=-_1,26.86a
   vasanaṃ tripaṇakrītaṃ Brh_1,26.84c	vasanam tripaNa-krItam Brh_1,26.84c
   vasavo 'ṣṭau prakīrtitāḥ Brh_1,8.19d	vasavaH azwO prakIrtitAH Br=-_1,8.19d
   vasiṣṭhavacanaproktāṃ Brh_1,10.28a	vasizWa-vacana-proktAm Brh_1,10.28a
   vastrāṇy ābharaṇāni ca Brh_1,26.62b	vastrANi ABaraNAni ca Br=-_1,26.62b
   vastrādayo 'vibhājyā yair Brh_1,26.47a	vastra-AdayaH aviBAjyAH yEH Brh_1,26.47a
   vastrānnahīnaḥ kāntāre Brh_1,6.16a	vastra-anna-hInaH kAntAre Brh_1,6.16a
   vastrālaṃkārabhojanaiḥ Brh_1,25.7b	vastra-alaMkAra-BojanEH Brh_1,25.7b
   vastrālaṃkāraśayyāi Brh_1,26.60a	vastra-alaMkAra-SayyAi Brh_1,26.60a
   vastrālaṃkārasaṃśritam Brh_1,26.47d	vastra-alaMkAra-saMSritam Br=-_1,26.47d
   vahniśvabhraniveśanam Brh_1,19.50b	vahni-SvaBra-niveSanam Br=-_1,19.50b
   vākcchale nāvasīdati Brh_1,10.27b	vAk=-Cale na-avasIdati Br=-_1,10.27b
   vākchalānuttaratvena Brh_1,9.5c	vAc-Cala-anuttara-tvena Br=-_1,9.5c
   vākpāruṣyaṃ tad ucyate Brh_1,20.2d	vAc-pAruzyam tat ucyate Br=-_1,20.2d
   vākpāruṣyādinā nīco Brh_1,21.5a	vAc-pAruzya-AdinA nIcaH Br=-_1,21.5a
   vākpāruṣye kṛte yasya Brh_1,21.2a	vAc-pAruzye kRte yasya Br=-_1,21.2a
   vākpāruṣye ca bhūmyau ca Brh_1,3.16a	vAc-pAruzye ca BUmyO ca Br=-_1,3.16a
   vākpāruṣye parasparam Brh_1,20.5b	vAc-pAruzye parasparam Br=-_1,20.5b
   vākpāruṣye parasparam Brh_1,20.8d	vAc-pAruzye parasparam Br=-_1,20.8d
   vākpāruṣye mahīvāde Brh_1,4.13a	vAc-pAruzye mahI-vAde Brh_1,4.13a
   vākpārṣyādibhiś caiva Brh_1,2.11c	vAc-pArzya-AdiBiH ca-eva Br=-_1,2.11c
   vāgdaṇḍaś caiva dhigdaṇḍo Brh_1,1.91a	vAgdaNxaH ca-eva DigdaNxaH Brh_1,1.91a
   vāgdaṇḍaṃ dhik tapasvinām Brh_1,9.14b	vAgdaNxam Dik tapasvinAm Br=-_1,9.14b
   vāgdaṇḍaṃ prathamaṃ kuryād Brh_1,29.8a	vAgdaNxam praTamam kuryAt Brh_1,29.8a
   vāgdaṇḍenaiva daṇḍayet Brh_1,9.17b	vAgdaNxena-eva daNxayet Br=-_1,9.17b
   vāgdhigdaṇḍaṃ vadhaṃ caiva Brh_1,29.2a	vAgDigdaNxam vaDam ca-eva Br=-_1,29.2a
   vāgdhigdamaṃ parityāgaṃ Brh_1,17.17c	vAc-Digdamam parityAgam Brh_1,17.17c
   vācakair yatra sāmarthyam Brh_1,6.46a	vAcakEH yatra sAmarTyam Brh_1,6.46a
   vācikaṃ śāstravedibhiḥ Brh_1,20.3d	vAcikam SAstra-vediBiH Br=-_1,20.3d
   vācyaṃ pratyuttaraṃ tataḥ Brh_1,5.23d	vAcyam pratyuttaram tatas Br=-_1,5.23d
   vātāyanapraṇālīs tu Brh_1,19.46a	vAtAyana-praNAlIH tu Br=-_1,19.46a
   vādakāle tu vaktavyāḥ Brh_1,5.22c	vAda-kAle tu vaktavyAH Br=-_1,5.22c
   vādayec chavasaṃnidhau Brh_1,8.41b	vAdayet Sava-saMniDO Br=-_1,8.41b
   vādahāniḥ prajāyate Brh_1,2.20d	vAda-hAniH prajAyate Br=-_1,2.20d
   vādān paśyen nātmakṛtān Brh_1,1.169c	vAdAn paSyet na-Atma-kRtAn Br=-_1,1.169c
   vādāḥ saṃdigdharūpiṇaḥ Brh_1,1.105b	vAdAH saMdigDa-rUpiNaH Br=-_1,1.105b
   vādī cānuttaras tathā Brh_1,1.174b	vAdI ca-anuttaraH taTA Brh_1,1.174b
   vādī pakṣaṃ prakalpayet Brh_1,2.5b	vAdI pakzam prakalpayet Brh_1,2.5b
   vādo varṇānupūrvyeṇa Brh_1,1.172c	vAdaH varNa-AnupUrvyeNa Br=-_1,1.172c
   vādo varṇānupūrvyeṇa Brh_1,3.25c	vAdaH varNa-AnupUrvyeNa Br=-_1,3.25c
   vāpagopanasaṃgrahān Brh_1,19.53b	vApa-gopana-saMgrahAn Brh_1,19.53b
   vāpayan phalam aśnute Brh_1,13.30d	vApayan Palam aSnute Br=-_1,13.30d
   vāpīkūpataḍāgāni Brh_1,19.8c	vApI-kUpa-taxAgAni Br=-_1,19.8c
   vārāhī caiva māhendrī Brh_1,8.26a	vArAhI ca-eva mAhendrI Brh_1,8.26a
   vārddhuṣyaṃ tad vigarhitam Brh_1,10.21d	vArdDuzyam tat vigarhitam Br=-_1,10.21d
   vārdhake ca śiśūnāṃ te Brh_1,19.22a	vArDake ca SiSUnAm te Brh_1,19.22a
   vārṣike vā prayatnataḥ Brh_1,26.137d	vArzike vA prayatnataH Br=-_1,26.137d
   vāhyavāhakabījādyaiḥ Brh_1,13.27a	vAhya-vAhaka-bIja-AdyEH Br=-_1,13.27a
   vikṛtāḥ pāpakāriṇaḥ Brh_1,29.9d	vikRtAH pApa-kAriNaH Br=-_1,29.9d
   vikrayaṃ vā kriyā tatra Brh_1,10.62c	vikrayam vA kriyA tatra Brh_1,10.62c
   vikrayādānasaṃbandhe Brh_1,3.16c	vikraya-AdAna-saMbanDe Br=-_1,3.16c
   vikrayādhipratigraham Brh_1,10.63b	vikraya-aDi-pratigraham Br=-_1,10.63b
   vikraye caiva dāne ca Brh_1,26.31a	vikraye ca-eva dAne ca Br=-_1,26.31a
   vikrayeṣu ca sarveṣu Brh_1,18.17a	vikrayezu ca sarvezu Br=-_1,18.17a
   vikrīṇātyavicakṣaṇaḥ Brh_1,18.3b	vikrINAti-avicakzaNaH Br=-_1,18.3b
   vikrīṇīta sasākṣikam Brh_1,10.51d	vikrINIta sa-sAkzikam Br=-_1,10.51d
   vikrīṇīte svatantro yaḥ Brh_1,15.23a	vikrINIte svatantraH yaH Br=-_1,15.23a
   vikrīya vastrābharaṇaṃ Brh_1,26.51a	vikrIya vastra-ABaraNam Brh_1,26.51a
   vikrīyorvīṃ tu yat kretur Brh_1,12.14a	vikrIya-urvIm tu yat kretuH Brh_1,12.14a
   vikretā darśito yatra Brh_1,12.7a	vikretA darSitaH yatra Br=-_1,12.7a
   vikretā yatra vā mṛtaḥ Brh_1,12.10d	vikretA yatra vA mRtaH Br=-_1,12.10d
   vikretuḥ pratideyaṃ tat Brh_1,18.7c	vikretuH pratideyam tat Br=-_1,18.7c
   vigrahāj jāyate nṛṇāṃ Brh_1,3.48c	vigrahAt jAyate nRNAm Brh_1,3.48c
   vicārayati yaḥ samyak Brh_1,1.6a	vicArayati yaH samyak Br=-_1,1.6a
   vicāre saṃpravartite Brh_1,3.42b	vicAre saMpravartite Brh_1,3.42b
   vicārya tatkṛtaṃ rājā Brh_1,9.23c	vicArya tat-kRtam rAjA Br=-_1,9.23c
   vicārya śreṇibhiḥ kāryaṃ Brh_1,1.93c	vicArya SreNiBiH kAryam Br=-_1,1.93c
   vicāryo viniveditaḥ Brh_1,2.26b	vicAryaH viniveditaH Brh_1,2.26b
   vicchinnāpi hi sa jñeyā Brh_1,7.60c	vicCinnA-api hi sa jQeyA Br=-_1,7.60c
   vijigīṣor areś ca yat Brh_1,1.23b	vijigIzoH areH ca yat Br=-_1,1.23b
   vijñātaṃ rājapūruṣaiḥ Brh_1,12.10b	vijQAtam rAja-pUruzEH Br=-_1,12.10b
   vijñātaṃ rājapūruṣaiḥ Brh_1,12.13b	vijQAtam rAja-pUruzEH Br=-_1,12.13b
   vijñātaḥ krayavikraye Brh_1,13.7b	vijQAtaH kraya-vikraye Br=-_1,13.7b
   vijñātā rājapūruṣaiḥ Brh_1,22.5b	vijQAtA rAja-pUruzEH Br=-_1,22.5b
   vijñānam ucyate śilpaṃ Brh_1,15.7a	vijQAnam ucyate Silpam Brh_1,15.7a
   vijñeyaḥ kārṣikaḥ paṇaḥ Brh_1,8.8d	vijQeyaH kArzikaH paNaH Br=-_1,8.8d
   vijñeyaḥ kārṣikaḥ paṇaḥ Brh_1,8.9d	vijQeyaH kArzikaH paNaH Br=-_1,8.9d
   vijñeyaḥ śapathena vā Brh_1,21.16d	vijQeyaH SapaTena vA Br=-_1,21.16d
   vijñeyās tu niruttarāḥ Brh_1,1.173d	vijQeyAH tu niruttarAH Br=-_1,1.173d
   vijñeyo niṣprayojanaḥ Brh_1,2.10d	vijQeyaH nizprayojanaH Br=-_1,2.10d
   vijñeyo niṣprayojanaḥ Brh_1,2.11d	vijQeyaH nizprayojanaH Br=-_1,2.11d
   vijñeyo 'sādhusaṃsargāc Brh_1,23.24a	vijQeyaH asADu-saMsargAt Br=-_1,23.24a
   viḍjau tu dvyekabhāginau Brh_1,26.41b	viz-jO tu dvi-eka-BAginO Br=-_1,26.41b
   viṇmūtragrahaṇojjhanam Brh_1,15.17d	viz-mUtra-grahaNa-ujJanam Br=-_1,15.17d
