   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   manyante yad iḍām upahvayante yarhi tūṣṇīm upahvayeta tarhy etāḥ sapta	manyante yat ixAm upahvayante yarhi tUzNIm upahvayeta tarhi etAH sapta
   vadet, yarhy uccais tarhy uttarāḥ sapta dhāmadhām āsāṃ varṇaṃvarṇam	vadet, yarhi uccEs tarhi uttarAH sapta DAmaDAm AsAm varNaMvarNam
   upagachati, ā ha vā enam apratikśātaṃ gachati ya evaṃ veda yatra samūlā	upagaCati, A ha vE enam apratikSAtam gaCati yaH evam veda yatra sa mUlA
   oṣadhīr upagachet paśūn vā tad etā eva sapta vadet, dhāmadhām āsāṃ	ozaDIH upagaCet paSUn vA tat etAH eva sapta vadet, DAmaDAm AsAm
   varṇaṃvarṇam upagachati, ā ha vā enam apratikśātaṃ gachati ya evaṃ veda	varNaMvarNam upagaCati, A ha vE enam apratikSAtam gaCati yaH evam veda
   sapta sthāvīryeṇa yājayed yasya sapta sthavirāś caramā antamā syus,	sapta sTAvIryeNa yAjayet yasya sapta sTavirAH caramAH antamA syus,
   vasīyasy ehi śreyasy ehīti, etadetad evāsmā atyāhvayati yo vaiśyaḥ śūdro	vasIyasi ehi Sreyasi ehi iti, etat etat eva asmE atyAhvayati yaH vESyaH SUdraH 
   vā bahupuṣṭaḥ syāt tasya gavāṃ sāṇḍaṃ vatsataram apagamayeta //	vA bahu puzwaH syAt tasya gavAm sANxam vatsataram apagamayeta //
   samūlā : FN emended. Ed.: sa mūlā	sa mUlAH : F ema inded. Ed.: sa mUlA
   sthāvīryeṇa : FN Correcturen und Conjecturen zu dem ganzen Werk.	sTAvIryeNa : FN Corret turet und Conjet turet zu dem ganzet Werk.
   caramā : FN Correcturen und Conjecturen zu dem ganzen Werk.	caramAH : FN Corret turet und Conjet turet zu dem ganzet Werk.
   apagamayeta : FN emended. Ed.: apamayeta. cf. MānŚS.9.5.5.21.	apagamayeta : FN ema inded. Ed.: apamayeta. cf. MAnŚS.9.5.5.21.
   ilāndāḥ stha // iti ilāndā hi paśavaḥ pūṣṇo nakṣatraṃ poṣayiṣṇu // iti	ilAndAH sTaH // iti ilAndAH hi paSavaH pUzNaH nakzatram pozayizNu // iti
   viśyeṣu vā etac carati pūṣṇo nakṣatraṃ poṣayiṣṇu tad evāpadhāpayate tam	viSyezu vE etat carati pUzNaH nakzatram pozayizNu tat eva apaDApayate tam
   apākurvīta //	apAkurvIta //
   āyur me dās, varco me dās, rayiṃ me dāḥ puṣṭiṃ me dāḥ // iti rayim evāsya	AyuH me dAs, varcaH me dAs, rayim me dAH puzwim me dAH // iti rayim eva asya
   puṣṭiṃ harati tam ito 'bhisṛjyātheto 'tyāhvayet, vasīyasy ehi śreyasy	puzwim harati tam itas aBisRjya aTetaH atyAhvayet, vasIyasi ehi Sreyasy
   ehīti, etadetad evāsyā atyāhvayati nāsya kiṃcanodaśiṣat, grāmakāmaṃ	ehi iti, etat etat eva asyAH atyAhvayati na asya kiMcana udaSizat, grAma kAmam
   yājayet sārasvata ṛgbhyām, saṃvatsaro vai sarasvān, saṃvatsareṇaivāsmai	yAjayet sArasvataH RgByAm, saMvatsaraH vE sarasvAn, saMvatsareNa eva asmE
   grāmaṃ cyāvayati vasīyasy ehi śreyasy ehīti, etadetad evāsyā atyāhvayati	grAmam cyAvayati vasIyasi ehi Sreyasi ehi iti, etat etat eva asyAH atyAhvayati
   paśukāmaṃ yājayet sārasvata ṛgbhyām, saṃvatsaro vai sarasvān,	paSu kAmam yAjayet sArasvataH RgByAm, saMvatsaraH vE sarasvAn,
   saṃvatsareṇaivāsmai paśūṃś cyāvayati vasīyasy ehi śreyasy ehīti, etadetad	saMvatsareNa eva asmE paSUn cyAvayati vasIyasi ehi Sreyasi ehi iti, etat etat 
   evāsmā atyāhvayati sarvāsāṃ dugdhe catuḥśarāvam odanaṃ paced brāhmaṇebhyaḥ	eva asmE atyAhvayati sarvAsAm dugDe catur SarAvam odanam pacet brAhmaNeByaH
   paśukāmas, yac catuḥśarāvas, digbhya evāsmai tena paśūn avarunddhe yad	paSu kAmas, yat catur SarAvas, digByaH eva asmE tena paSUn avarundDe yat 
   brāhmaṇebhyas, brahmaṇas tena na chinnaṃ deyam, paśukāma iva hy eṣa vāso	brAhmaNeByas, brahmaNaH tena na Cinnam deyam, paSu kAmaH iva hi eza vAsaH 
   hiraṇyaṃ vā deyam ījānasyāsya paśavo bhūyāṃso bhavanti //MS_4,2.7//	hiraNyam vA deyam IjAnasya asya paSavaH BUyAMsaH Bavanti //n= _4,2.7//
   prajāpatir vai na vyāharat sa ātmany eva puṇyam āyachat, ātmanaḥ puṇyaṃ na	prajApatiH vE na vyAharat saH Atmani eva puNyam AyaCat, AtmanaH puNyam na
   niravadat, etad vai tad yajur vadan nānyathā brūyāt //	niravadat, etat vE tat yajuH vadan na anyaTA brUyAt //
   puṇyaṃ praśastam // iti brūyāt, ātmany eva puṇyaṃ yachati, ātmanaḥ puṇyaṃ	puNyam praSastam // iti brUyAt, Atmani eva puNyam yaCati, AtmanaH puNyam
   na nirvadati yām adānīyāya dadāti tām asya paśavo 'nvapakrāmanti yadi	na nirvadati yAm adAnIyAya dadAti tAm asya paSavaH anvapakrAmanti yadi
   manyeta, adānīyāyādām ity etad eva yajur vadet, name tad upadambhiṣar	manyeta, adAnIyAya adAm iti etat eva yajuH vadet, name tat upadamBizar
   dhṛṣir brahmā yad dadā iti tad evaitenāpūrayati tad āpyāyayati samudra iva	DRziH brahmA yat dadAH iti tat eva etena ApUrayati tat ApyAyayati samudraH iva
   ha vā asya vyacya māno na kṣīyate ya evaṃ veda //	ha vE asya vyacya mAnaH na kzIyate yaH evam veda //
   māno : FN Correcturen und Conjecturen zu dem ganzen Werk.	mAnaH : FN Corret turet und Conjet turet zu dem ganzet Werk.
   vīravatīr bhūyāsta yā no vīravato 'karta // iti pumāṃsaṃ jātam	vIravatIH BUyAH te yA naH vIravataH akarte // iti pumAMsam jAtam
   abhimantrayeta //	aBimantrayeta //
   bhūyasīr bhūyāsta yā no bhūyaso 'karta // iti striyaṃ jātām //	BUyasIH BUyAH ta yA naH BUyasaH akarte // iti striyam jAtAm //
   annādā bhūyāsta ye no 'nnādān akarta // iti balihṛto 'bhimantrayeta //	anna AdAH BUyAH ta ye naH anna AdAn akarte // iti bali hRtaH aBimantrayeta //
   [Page IV,30]	[Pa ge IV,30]
   bhūyāṃso bhūyāsta ye no bhūyaso 'karta // iti sabhāsadaḥ pādau	BUyAMsaH BUyAH ta ye naH BUyasaH akarte // iti saBAsadaH pAdO
   pratyavaharet, ete vai paśavas, upopa ha vā enaṃ paśavo yanti nāpayanti ya	pratyavaharet, ete vE paSavas, upopa ha vE enam paSavaH yanti na apayanti ya
   evaṃ veda //	evam veda //
   puṇyā puṇyam asūt, citrā citram asūt, aiḍo me bhagavo 'janiṣṭhā	puNyA puNyam asUt, citrA citram asUt, ExaH me BagavaH ajanizWA
   maitrāvaruṇas, ūrjā me bhagavaḥ saha janiṣṭhāḥ saṃvidaṃ me vinda // iti	mEtrAvaruNas, UrjA me BagavaH saha janizWAH saMvidam me vinda // iti
   pumāṃsaṃ jātam abhimantrayeta, ūrjaivāsmai saha jāyate gachati paśūnāṃ	pumAMsam jAtam aBimantrayeta, UrjA eva asmE saha jAyate gaCati paSUnAm
   saṃvidam //	saMvidam //
   aiḍo : FN emended. Ed.: daiḍo	ExaH : F ema inded. Ed.: dExo
   puṇyā puṇyām asūt, citrā citrām asūt, aiḍī me bhagavaty ajaniṣṭhā	puNyA puNyAm asUt, citrA citrAm asUt, ExI me Bagavati ajanizWA
   maitrāvaruṇī rāyaspoṣeṇa me bhagavatī saha janiṣṭhās, jñātraṃ me vinda //	mEtrAvaruNI rAyaspozeNa me BagavatI saha janizWAs, jQAtram me vinda //
   iti striyaṃ jātām, rāyaspoṣeṇaivāsmai saha jāyate gachati paśūnāṃ jñātram,	iti striyam jAtAm, rAyaspozeNa eva asmE saha jAyate gaCati paSUnAm jQAtram,
   ye prācīnam ekāṣṭakāyā jāyante pūrvasya te sasyasyottamās, ye pratīcīnam	ye prAcInam eka azwakAyAH jAyante pUrvasya te sasyasya uttamAs, ye pratIcInam
   aparasya te sasyasya prathamās tān ubhayānt sahābhimantrayeta, ubhayān	aparasya te sasyasya praTamAH tAn uBayAnt saha aBimantrayeta, uBayAn
   enānt sahāvarunddhe //MS_4,2.8//	enAnt saha avarundDe //n= _4,2.8//
   aiḍī : FN emended. Ed.: daiḍī	ExI : FN ema inded. Ed.: dExI
   yo vai śaktiṃ veda sa tañ śaknoti yañ śikṣati, iyaṃ vai śaktis, yo vā asyā	yaH vE Saktim veda sa tan Saknoti yan Sikzati, iyam vE Sakti s, yaH vE asya a
   bhūyiṣṭhabhāg bhavati sa tañ śaknoti yañ śikṣati bhūyiṣṭhabhāg gha vā asyā	BUyizWa BAj Bavati sa tan Saknoti yan Sikzati BUyizWa BAj Ga vE asya a
   bhavati ya evaṃ veda paśavo vai śaktis, yo vai paśūnāṃ bhūyiṣṭhabhāg	Bavati yaH evam veda paSavaH vE Sakti s, yaH vE paSUnAm BUyizWa BAj 
   bhavati sa tañ śaknoti yañ śikṣati bhūyiṣṭhabhāg gha vai paśumān bhavati	Bavati sa tan Saknoti yan Sikzati BUyizWa BAj Ga vE paSumAn Bavati
   ya evaṃ veda tasyā vrataṃ na hateti brūyāt //	yaH evam veda tasyAH vratam na hata iti brUyAt //
   kuruta iti brūyāt, nāntarvatnīti brūyāt, vijanyā iti brūyāt, bhuvanam asi	kurute iti brUyAt, na antarvatni iti brUyAt, vijanyAH iti brUyAt, Buvanam asi
   sahasram indrāya tvā sṛmo 'dadāt // iti sṛmo vai nāmāsura āsīt tasyeyaṃ	sahasram indrAya tvA sRmaH adadAt // iti sRmaH vE nAma asuraH AsIt tasya iyam
   pṛthivī paśubhiḥ pūrṇāsīt tān indro 'vṛṅkta tasmād āhus, aindrāḥ paśavā	pRTivI paSuBiH pUrNA AsIt tAn indraH avRFkta tasmAt Ahus, EndrAH paSavA
   iti yāvatīnām idaṃ karomi bhūyasīnām uttarāṃ samāṃ kriyāsam // iti gavāṃ	iti yAvatInAm idam karomi BUyasInAm uttarAm samAm kriyAsam // iti gavAm
   lakṣma kuryāt, bhūyasīnām evottarāṃ samāṃ karoti paśavo vai sṛṣṭā ekaikaṃ	lakzma kuryAt, BUyasInAm eva uttarAm samAm karoti paSavaH vE sRzwAH ekEkam
   nakṣatram upātiṣṭhanta tena prājāyanta na bhūmānam agachan, tasmād yat	nakzatram upAtizWanta tena prAjAyanta na BUmAnam agaCan, tasmAt yat 
   kiṃca paśūnāṃ kurvīta tad revatyāṃ kurvīta, upa hy enaṃ paśavas tiṣṭhanti	kiMca paSUnAm kurvIta tat revatyAm kurvIta, upa hi enam paSavaH tizWanti
   prāsya paśavo bhavanti ya evaṃ veda yasya dakṣiṇataḥ pratibhinnaṃ	prAsya paSavaH Bavanti yaH evam veda yasya dakziNatas pratiBinnam
   dakṣiṇata upāścarat tat tvaṣṭur lakṣma devalakṣmaṃ yajñiyaṃ yajñakāmaḥ	dakziNatas upAScarat tat tvazwuH lakzma deva lakzmam yajQiyam yajQa kAmaH
   kurvīta, upa hy enaṃ yajño namati yasyobhayataḥ pratibhinnam ubhayata	kurvIta, upa hi enam yajQaH namati yasya uBayatas pratiBinnam uBayata
   upāścarat tad gāyatraṃ lakṣma paśavyaṃ paśukāmaḥ kurvīta paśumān bhavati	upAScarat tat gAyatram lakzma paSavyam paSu kAmaH kurvIta paSumAn Bavati
   yasyobhayataḥ pratibhinnam ubhayata upāścarat tat traiṣṭubhaṃ lakṣma	yasya uBayatas pratiBinnam uBayatas upAScarat tat trEzwuBam lakzma
   pūtasya rūpaṃ pratiṣṭhākāmaḥ kurvīta gachati pratiṣṭhām, vasiṣṭhasya	pUtasya rUpam pratizWA kAmaH kurvIta gaCati pratizWAm, vasizWasya
   sthūṇākarṇyas, vasiṣṭho vai rayim apaśyat tām ātmann adhatta yat	sTUNAkarNyas, vasizWaH vE rayim apaSyat tAm Atman aDatta yat 
   sthūṇākarṇīḥ kurute paśuṣv eva rayiṃ dhatte jamadagneḥ karkarikarṇyas,	sTUNAkarNIH kurute paSuzu eva rayim Datte jamadagneH karkarikarNI as,
   jamadagnir vai puṣṭim apaśyat tām ātmann adhatta yat karkarikarṇīḥ kurute	jamadagniH vE puzwim apaSyat tAm Atman aDatta yat karkarikarNIH kurute
   paśuṣv eva puṣṭiṃ dhatte, asurāṇāṃ sāsnākṛtyaḥ kṣipraṃ bahvīr bhavanti	paSuzu eva puzwim Datte, asurANAm sAsna AkRtyaH kzipram bahvIH Bavanti
   kṣipraṃ parābhavanti, amedhyāḥ karṇāḥ kṣipraṃ bahvīr bhavanti yajñas tv	kzipram parABavanti, ameDyAH karNAH kzipram bahvIH Bavanti yajQaH tu 
   enān anūpanamatīva nirṛtyāḥ chidrakarṇyas, yac chidrakarṇīḥ kurvīta	enAn anUpanam atIva nirRtyAH CidrakarNyas, yat CidrakarNIH kurvIta
   nirṛtir asya paśor nigṛhṇīyāt, na prachindyā karṇyaḥ kāryā na dātrākarṇyaḥ	nirRtiH asya paSoH nigRhNIya at, na praCindyA karNyaH kAryAH na dAtrAkarNyaH
   parācīnam iva hi tan nivṛttam agastyasya viṣṭyakarṇyaḥ kaśyapasya	parAcInam iva hi tat nivRttam agastyasya vizwyakarNyaH kaSyapasya
   kambunyuddhatās, indrasyāklastās, atho āhuḥ prajāpater iti, ubhayaṃ	kambunyudDa tAs, indrasya aklaH tAs, aTo AhuH prajApateH iti, uBayam
   jyeṣṭhalakṣmaṃ jyaiṣṭhyakāmaḥ kurvīta pra samānānāṃ jyaiṣṭhyam āpnoti	jyezWa lakzmam jyEzWya kAmaH kurvIta pra samAnAnAm jyEzWyam Apnoti
   prajāpatiḥ paśūn asṛjata sa vā asṛg eva nāsṛjata, asṛṣṭaṃ vā etat tad asno	prajApatiH paSUn asRjata sa vE asRj eva na asRjata, asRzwam vE etat tat asno
   'sṛktvam, krūraṃ paśūnāṃ kārṣyā iti vai so 'sṛg nāsṛjata krūraṃ vā eṣa	asRk tvam, krUram paSUnAm kArzyAH iti vE saH asRj na asRjata krUram vE eza
   paśūnāṃ kurute yo 'kṣṇute yad akṣitās tenākṣitās, atha yad anakṣitā iti	paSUnAm kurute yaH akzNute yat akzitAH tena akzitAs, aTa yat anakzitAH iti
   śrūyante tenākṣitās tad āhus, na vā etam etā amutrāgachanti yā anakṣitā	SrUyante tena akzitAH tat Ahus, na vE etam etAH amutra AgaCanti yA anakzitA
   iti tasmād akṣitavyās, na tejanenākṣṇuyāt, vajro vai tejanam, yat	iti tasmAt akzita vyAs, na tejanena akzNuyAt, vajraH vE tejanam, yat 
   tejanenākṣṇuyād vajreṇa paśūn arpayet, na śyāmenāyasā krūraṃ tad aśāntam	tejanena akzNuyAt vajreNa paSUn arpayet, na SyAmena ayasA krUram tat aSAntam
   ikṣukāṇḍam apsu vāsayitvā tenākṣitavyās tad dhi śivaṃ tañ śāntam atho	ikzu kANxam apsu vAsayitvA tena akzitavyAH tat Di Sivam tan SAntam aTo
   āhus, lohitenāyaseti tad dhi śivaṃ tañ śāntam //MS_4,2.9//	Ahus, lohitena ayasa iti tat Di Sivam tan SAntam //n= _4,2.9//
   kambunyuddhatās : FN Correcturen und Conjecturen zu dem ganzen Werk.	kambuni udDatAH : FN Corret turet und Conjet turet zu dem ganzet Werk.
        iha prajā viśvarūpā ramantām asmin goṣṭhe viśvabhṛto janitrīḥ /	iha prajAH viSva rUpAH ramantAm asmin gozWe viSva BRtaH janitrIH /
        agniṃ kulāyam abhi saṃviśantīḥ samāsṛjantu payasā ghṛtena //	agnim kulAyam aBi saMviSantIH samAsRjantu payasA GRtena //
   iti gāḥ sāyam āyatīr abhimantrayeta, agnir vā etāsāṃ yonis, agniḥ kulāyam,	iti gAH sAyam AyatIH aBimantrayeta, agniH vE etAsAm yonis, agniH kulAyam,
   sva evainā yonau sve kulāye saṃveśayati nāsya paśavo naktam ārtim ārchanti	sve eva enA yonO sve kulAye saMveSayati na asya paSavaH naktam Artim ArCanti
   ya evaṃ veda //	yaH evam veda //
   [Page IV,33]	[Pa ge IV,33]
        saṃ vaḥ sṛjatv aryamā saṃ pūṣā saṃ bṛhaspatiḥ /	sam vaH sRjatu aryamA sam pUzA sam bRhaspatiH /
        sam indro yo dhanaṃjayaḥ /	sam indraH yaH DanaMjayaH /
        saṃjagmānā avihrutā asmin goṣṭhe purīṣiṇīḥ /	saMjagmAnAH avihrutAH asmin gozWe purIziNIH /
        svāveśā nā āgata //	sva AveSAH nA AgataH //
   pūṣā : FN emended. Ed.: poṣā.	pUzA : F ema inded. Ed.: pozA.
   iti gāḥ saṃsṛjed yā asya purā syur yāś cānyato vindeta paśavo vai ghṛtam	iti gAH saMsRjet yAH asya purA syuH yAH ca anyatas vindeta paSavaH vE GRtam
   agnī rudras, yaj juhuyād rudrāyāsya paśūn apidadhyāt tat saṃsṛjyā eva,	agniH rudras, yat juhuyAt rudrAya asya paSUn apidaDyAt tat saMsRjyAH eva,
   ubhayīr ha bhūyasīr bhavanti saṃ vaḥ sṛjatv aryameti yajño vā aryamā	uBayIH ha BUyasIH Bavanti sam vaH sRjatu aryameti yajQaH vA aryamA
   yajñenaivaināḥ saṃsṛjati saṃ pūṣeti puṣṭir vai pūṣā puṣṭyaivaināḥ	yajQena eva enAH saMsRjati sam pUzA iti puzwiH vE pUzA puzwyA eva enAH
   saṃsṛjati saṃ bṛhaspatir iti brahma vai bṛhaspatis, brahmaṇaivaināḥ	saMsRjati sam bRhaspatiH iti brahma vE bRhaspatis, brahmaNA eva enAH
   saṃsṛjati sam indro yo dhanaṃjaya iti, indriyaṃ vā indras,	saMsRjati sam indraH yaH DanaMjayaH iti, indriyam vE indras,
   indriyeṇaivaināḥ saṃsṛjati revatī tantiḥ pṛthivī mātā revatīr āpā	indriyeNa eva enAH saMsRjati revatI tantiH pRTivI mAtA revatIH ApA
   oṣadhayaḥ //	ozaDayaH //
   tā no hinvantu sātaye dhiye juṣe //	tAH naH hinvantu sAtaye Diye juze //
   iti tantiṃ vitanuyāt tām anumṛjyāt // rayyā tvā puṣṭyānumārjmi // iti	iti tantim vitanuyAt tAm anumRjyAt // rayyA tvA puzwyA anumArjmi // iti
   rayyaivaināṃ puṣṭyānumārṣṭi tasyā vrataṃ na riktā syāt, noparyupari	rayyA eva enAm puzwyA anumArzwi tasyAH vratam na riktA syAt, na upari upari
   saṃcareyus, nābhivarṣen nābhitapet, etad vai basto rāmakāyano vidāṃcakāra	saMcareyus, na aBivarzet na aBitapet, etat vE bastaH rAmakAyanaH vidAMcakAra
   tantyā vitananam, sa sahasraṃ paśūn prāpa pra sahasraṃ paśūn āpnoti ya	tantyAH vitananam, sa sahasram paSUn prApa pra sahasram paSUn Apnoti ya
   evaṃ veda //	evam veda //
        pitā vatsānāṃ patir aghnyānām utāyaṃ pitā mahatāṃ gargarāṇām /	pitA vatsAnAm patiH aGnyAnAm uta ayam pitA mahatAm gargarANAm /
        retodhāṃ tvā yaśodhāṃ rāyaspoṣāyotsṛjet //	retoDAm tvA yaSoDAm rAyaspozAya utsRjet //
   ity ṛṣabhasya karṇa utsṛjamāno vadet, retodhām evainaṃ yaśodhāṃ	iti RzaBasya karNaH utsRjamAnaH vadet, retoDAm eva enam yaSaH DAm
   rāyaspoṣāyotsṛjate yo vaiśyaḥ śūdro vā bahupuṣṭaḥ syāt tasya gavāṃ goṣṭhād	rAyaspozAya utsRjate yaH vESyaH SUdraH vA bahu puzwaH syAt tasya gavAm gozWAd
   ekaviṃśatiṃ śakāny āhṛtyaikaviṃśatim āhutīr juhuyāt, ekaviṃśatir vai	ekaviMSatim SakAni AhRtya ekaviMSatim AhutIH juhuyAt, ekaviMSatiH vE
   manuṣyalokās, manuṣyalokebhya evāsmai paśūn avarunddhe, etair eva juhuyāt	manuzya lokAs, manuzya lokeByaH eva asmE paSUn avarundDe, etEH eva juhuyAt 
   gonāmair agretvaryā gorbhasadi paśukāmas, mukhaṃ vā eṣa paśūnām, mukhata	go nAmEH agra itu aryA gorBasa di paSu kAmas, muKam vE eza paSU nAm, muKata
   evāsmai paśūn ninayati //MS_4,2.10//	eva asmE paSUn ninayati //n= _4,2.10//
   yāsām indra udājata vasu nāma rūpaṃ paśūnām uṣasaṃ dhāma paśyamānaḥ //	yAsAm indraH udAjata vasu nAma rUpam paSUnAm uzasam DAma paSyamAnaH //
   tāsām ayaṃ yonir ayaṃ goṣṭha iha rayiḥ puṣṭiḥ // svāhā // iti juhuyāt //	tAsAm ayam yoniH ayam gozWaH iha rayiH puzwiH // svAhA // iti juhuyAt //
   yāsāṃ bṛhaspatir udājateḍā nāma rūpaṃ paśūnāṃ saṃgavaṃ dhāma paśyamānaḥ //	yAsAm bRhaspatiH udAjata ixA nAma rUpam paSUnAm saMgavam DAma paSyamAnaH //
   tāsām ayaṃ yonir ayaṃ goṣṭha iha rayiḥ puṣṭiḥ // svāhā // iti juhuyāt //	tAsAm ayam yoniH ayam gozWaH iha rayiH puzwiH // svAhA // iti juhuyAt //
   yāsāṃ maruta udājanta jyotir nāma rūpaṃ paśūnāṃ madhyandinaṃ dhāma	yAsAm marutaH udAjanta jyotiH nAma rUpam paSUnAm maDyandinam DAma
   paśyamānāḥ // tāsām ayaṃ yonir ayaṃ goṣṭha iha rayiḥ puṣṭiḥ // svāhā //	paSyamAnAH // tAsAm ayam yoniH ayam gozWaH iha rayiH puzwiH // svAhA //
   iti juhuyāt //	iti juhuyAt //
   yāsāṃ prajāpatir udājatāyur nāma rūpaṃ paśūnām aparāhṇaṃ dhāma paśyamānaḥ	yAsAm prajApatiH udAjatAyuH nAma rUpam paSUnAm aparAhNam DAma paSyamAnaH
   // tāsām ayaṃ yonir ayaṃ goṣṭha iha rayiḥ puṣṭiḥ // svāhā // iti juhuyāt,	// tAsAm ayam yoniH ayam gozWaH iha rayiH puzwiH // svAhA // iti juhuyAt ,
   etāni vā ahno rūpāṇi, eteṣu vā ahno rūpeṣu devāḥ paśūnāṃ rūpāṇy avṛñjata	etAni vE ahnaH rUpANi, etezu vE ahnaH rUpezu devAH paSUnAm rUpANi avRQjata
   tad eteṣv evāhno rūpeṣu yajamāno bhrātṛvyasya paśūn vṛṅkte ghṛtena juhoti	tat etezu eva ahnaH rUpezu yajamAnaH BrAtRvyasya paSUn vRFkte GRtena juhoti
   paśavo vai ghṛtam, paśubhir eva paśūn vṛṅkte tan na sūrkṣyam, prātar	paSavaH vE GRtam, paSuBiH eva paSUn vRFkte tat na sUrkzyam, prAtar
   evāntargoṣṭhāsu goṣu hotavyam, sarvā enāḥ sahāvarunddhe, etair eva juhuyād	eva antar gozWAsu gozu hotavyam, sarvAH enAH saha avarundDe, etEH eva juhuyAt 
   goṣv ākṛtāsu yonito vā etat paśūn agrahīt, apihīnāḥ paripariṇas kṛṇvanti,	gozu AkRtAsu yonitaH vE etat paSUn agrahIt, apihInAH paripariNaH kRNvanti,
   etair eva juhuyāt saṃgrāme, athāśvān abhimantrayeta //	etEH eva juhuyAt saMgrAme, aTa aSvAn aBimantrayeta //
   mitrabhṛtaḥ kṣatrabhṛtā ojobhṛto balabhṛtas, vayaṃ jayema vayaṃ sahema	mitraBRtaH kzatra BRtAH ojaH BRtaH balaBRtas, vayam jayema vayam sahema
   vayaṃ bhavema vayaṃ puṣema //	vayam Bavema vayam puzema //
   iti jayati saṃgrāmam //	iti jayati saMgrAmam //
   rohiṇīr vo vṛñje gāyatreṇa chandasā, aruṇā vo vṛñje traiṣṭbhena chandasā	rohiNIH vaH vRQje gAyatreNa CandasA, aruNA vaH vRQje trEzwBena CandasA
   gaurīr vo vṛñje jāgatena chandasā babhruvo vo vṛñjā ānuṣṭubhena chandasā	gOrIH vaH vRQje jAgatena CandasA baBruvaH vaH vRQjAH AnuzwuBena CandasA
   garbhān vo vṛñje vṛñje pāṅktena chandasā rūpāṇi vo vṛñje śākvareṇa	garBAn vaH vRQje vRQje pAFktena CandasA rUpANi vaH vRQje SAkvareNa
   chandasā sarvān vo vṛñje 'nāptena chandasā tat sapta saptapadā śakvarī	CandasA sarvAn vaH vRQje anAptena CandasA tat sapta saptapadA SakvarI
   śākvarāḥ paśavaḥ paśūn evāvarunddhe gāyatrī prathamā gāyatry uttamā tejo	SAkvarAH paSavaH paSUn eva avarundDe gAyatrI praTamA gAyatrI uttamA tejaH 
   vai gāyatrī brahmavarcasam, tejasā ca vāvāsmā etad brahmavarcasena	vE gAyatrI brahmavarcasam, tejasA ca vAva asmE etat brahmavarcasena
   cobhayataḥ paśūn parigṛhṇāti //MS_4,2.11//	ca uBayatas paSUn parigRhNAti //n= _4,2.11//
   prajāpatir vai trīn mahimno 'sṛjatāgniṃ vāyuṃ sūryam, te catvāraḥ	prajApatiH vE trIn mahimnaH asRjata agnim vAyum sUryam, te catvAraH
   pitāputrāḥ sattram āsata te svedaṃ samavaukṣan, tad abhavat tad vā	pitAputrAH sattram Asata te svedam samavOkzan, tat aBavat tat vA
   asyaitan nāmābhūd iti sarvam abhūd iti tad vā asyaite nāmanī krūre aśānte	asya etat nAma aBUt iti sarvam aBUt iti tat vE asya ete nAmanI krUre aSAnte
   tasmād ete na grahītavye krūre hy ete aśānte prajāpatir vai svāṃ duhitaram	tasmAt ete na grahItavye krUre hi ete aSAnte prajApatiH vE svAm duhitaram
   abhyakāmayatoṣasam, sā rohid abhavat tām ṛśyo bhūtvādhyait tasmā apavratam	aByakAmaya toza sam, sA rohit aBavat tAm RSyaH BUtvA aDyEt tasmE apavratam
   achadayat tam āyatayābhiparyāvartata tasmād vā abibhet so 'bravīt paśūnāṃ	aCadayat tam AyatayA aBiparyAvartata tasmAt vA abiBet saH abravIt paSUnAm
   tvā patiṃ karomi, atha me mā sthā iti tad vā asyaitan nāma paśupatir iti	tvA patim karomi, aTa me mA sTAH iti tat vE asya etat nAma paSupatiH iti
   tam abhyāyatyāvidhyat so 'rodīt tad vā asyaitan nāma rudra iti te vā	tam aByAyatyA aviDyat saH arodIt tat vE asya etat nAma rudraH iti te vA
   asyaite nāmanī śive śānte tasmād ete kāmaṃ grahītavye śive hy ete śānte	asya ete nAmanI Sive SAnte tasmAt ete kAmam grahItavye Sive hi ete SAnte
   tato yat prathamaṃ retaḥ parāpatat tad agninā paryainddha tad āsām	tatas yat praTamam retaH parApatat tat agninA paryEndDa tat AsAm
   aghnyātvam, tato yad atyasravat tad bṛhaspatir upāgṛhṇāt tad āsām	aGnyAtvam, tatas yat atyasra vat tat bRhaspatiH upAgRhNAt tat AsAm
   usriyātvam aśakāmeti tad āsāṃ śakvarītvam, gātum avidāmeti tad āsāṃ gotvam	usriyA tvam aSakAma iti tat AsAm SakvarI tvam, gAtum avidAmA iti tat AsAm go tvam
   etāni vā āsāṃ nāmāni sarvair evāsāṃ nāmabhiḥ sarvaiḥ kāmair bhuṅkte ya	etAni vA AsAm nAmAni sarvEH eva AsAm nAmaBiH sarvEH kAmEH BuFkte ya
   evaṃ veda paśavo vai sṛṣṭā etāni nakṣatrāṇy anvapākrāman paurṇamāsīm	evam veda paSavaH vE sRzwAH etAni nakzatrANi anvapAkrAman pOrNamAsIm
   aṣṭakām amāvāsyāṃ citrām aśvattham, tasmāt teṣu gaur nāpākṛtyā yām	azwakAm amAvAsyAm citrAm aSvatTam, tasmAt tezu gOH na apAkRtyA yAm
   apākuryāt tām asya paśavo 'nvapakrāmeyuḥ //MS_4,2.12//	apAkuryAt tAm asya paSavaH anvapakrAmeyuH //n= _4,2.12//
