   bhagavandevadeveśa lokanātha jagatpate /	Bagavan-devadeveSa lokanATa jagatpate /
   sa jīvati punarvṛkṣo yathāpūrvaṃ tathaiva saḥ /	sa jIvati punar-vRkzaH yaTApUrvam taTA-eva saH /
   tādṛgeva punaścāsau kiṃ tu rephavivarjitaḥ // Stk_21.8 //	tAdRS-eva punar-ca-asO kim tu rePa-vivarjitaH // Stc-_21.8 //
   āpyāyanavidhau hyeṣa pañcadhā bindudīpitaḥ /	ApyAyana-viDO hi-eza paQcaDA bindu-dIpitaH /
   aukāramadhyasaṃyuktaḥ praṇavenāntadīpitaḥ // Stk_21.9 //	OkAra-maDya-saMyuktaH praNavena-anta-dIpitaH // Stc-_21.9 //
   īkārādiḥ sa hau madhye vahnimadhyaṃ tataḥ param /	IkAra-AdiH sa hO maDye vahni-maDyam tatas param /
   prayogo viṣuvatkāle pāśānāṃ stobhakārakaḥ // Stk_21.10 //	prayogaH vizuvat-kAle pASAnAm stoBa-kArakaH // Stc-_21.10 //
   śataiḥ pañcabhirudghātaiḥ patatyeva na saṃśayaḥ /	SatEH paQcaBiH-udGAtEH patati-eva na saMSayaH /
   punaścotthāpanaṃ tasya yathā bhavati tacchṛṇu // Stk_21.11 //	punar-ca-utTApanam tasya yaTA Bavati tat-SRNu // Stc-_21.11 //
   īkārādyantasaṃyuktaṃ hau ca madhye niyojitam /	IkAra-Adi-anta-saMyuktam hO ca maDye niyojitam /
   prāṇānusvārasandīptaṃ namo 'ntaṃ praṇavaṃ punaḥ // Stk_21.12 //	prANa-anusvAra-sandIptam namaH antam praNavam punar // Stc-_21.12 //
   utthāpane prayuñjīta sarvabhūteṣu tattvavit /	utTApane prayuQjIta sarva-BUtezu tattva-vid /
   tāvadbhireva codghātair yojanīyaḥ prayatnataḥ // Stk_21.13 //	tAvadBiH-eva ca-udGAtEH yojanIyaH prayatnataH // Stc-_21.13 //
   labījaṃ jīvasaṃviṣṭaṃ hakārādyantasaṃsthitam /	labIjam jIva-saMvizwam hakAra-Adi-anta-saMsTitam /
   pūrvavanmadhyasaṃsthaṃ ca vāyubindusamanvitam // Stk_21.14 //	pUrvavat-maDya-saMsTam ca vAyu-bindu-samanvitam // Stc-_21.14 //
   yadasyārohaṇe proktaṃ gurutvaṃ jāyate yathā /	yat-asya-ArohaNe proktam guru-tvam jAyate yaTA /
   bhūya eva pravakṣyāmi laghutvaṃ jāyate yathā // Stk_21.15 //	BUyas eva pravakzyAmi laGu-tvam jAyate yaTA // Stc-_21.15 //
   oṃkāro haṃ yakāreṇa hyaukāro haṃ namastathā /	oMkAraH ham yakAreNa hi-OkAraH ham namaH-taTA /
   tulāpuruṣayogo 'yam udghātairayutena tu // Stk_21.16 //	tulApuruza-yogaH ayam udGAtEH-ayutena tu // Stc-_21.16 //
   sa hakāro vakāreṇa yakāreṇa ca dīpitaḥ /	sa hakAraH vakAreNa yakAreNa ca dIpitaH /
   hyau madhye hlīṃ namaścānte vāruṇena tu buddhimat // Stk_21.17 //	hyO maDye hlIm namaH-ca-ante vAruNena tu budDimat // Stc-_21.17 //
   udghātāṣṭaśatenaiva viṣaṃ saṃharati dhruvam /	udGAta-azwaSatena-eva vizam saMharati Druvam /
   yathāgnijvalane dṛṣṭo nirbījakaraṇe tathā // Stk_21.18 //	yaTA-agni-jvalane dRzwaH nirbIja-karaNe taTA // Stc-_21.18 //
   śataiḥ pañcabhirudghātair viśeṣo 'tra vidhīyate /	SatEH paQcaBiH-udGAtEH viSezaH atra viDIyate /
   oṃkāramāditaḥ kṛtvā hrūṃkāraṃ tadanantaram // Stk_21.19 //	oMkAram-Aditas kRtvA hrUMkAram tad-anantaram // Stc-_21.19 //
   hrauṃ hrūṃ ca phaṇṇamaścānte grahāṇāṃ nāśane mataḥ /	hrOm hrUm ca PaNNamaH-ca-ante grahANAm nASane mataH /
   prayoge vāruṇe mārge udghātāṣṭaśatena tu // Stk_21.20 //	prayoge vAruNe mArge udGAta-azwaSatena tu // Stc-_21.20 //
   praṇavādi tato huṃ phaṭ huṃ phaṭ huṃ phaṭ tathaiva ca /	praNava-Adi tatas hum Paw hum Paw hum Paw taTA-eva ca /
   phaṭ phaṭ phaṭ phaṭ phaḍevaṃ syād vāruṇena tu buddhimān /	Paw Paw Paw Paw Paw-evam syAt vAruNena tu budDimAn /
   udghātāṣṭaśatenaiva kṣipraṃ nāśayati jvaram // Stk_21.21 //	udGAta-azwaSatena-eva kzipram nASayati jvaram // Stc-_21.21 //
   pratyayaprakaraṇam	pratyaya-prakaraNam
   ityekaviṃśaḥ paṭalaḥ	iti-ekaviMSaH pawalaH
   prāsādaḥ kīdṛśo jñeyo vyāptistasya ca kīdṛśī /	prAsAdaH kIdRSaH jQeyaH vyAptiH-tasya ca kIdRSI /
   śarīraṃ kīdṛśaṃ tasya kathayasva maheśvara // Stk_22.1 //	SarIram kIdRSam tasya kaTayasva maheSvaraH // Stc-_22.1 //
   prāsādaṃ yo na jānāti pañcamantramahātanum /	prAsAdam yaH na jAnAti paQcamantra-mahA-tanum /
   aṣṭatriṃśatkalopetaṃ nāsāvācārya ucyate // Stk_22.2 //	azwatriMSat-kalA-upetam na-asO=-AcAryaH ucyate // Stc-_22.2 //
   prāsādaṃ samyagajñātvā yo dīkṣāṃ kurute guruḥ /	prAsAdam samyak-ajQAtvA yaH dIkzAm kurute guruH /
   adhastācchiṣyamātmānaṃ nayatyatra na saṃśayaḥ // Stk_22.3 //	aDastAt-Sizyam-AtmAnam nayati-atra na saMSayaH // Stc-_22.3 //
   prāsādābjaśikhāntastho yastu dīkṣāṃ karoti saḥ /	prAsAda-abja-SiKA-anta-sTaH yaH-tu dIkzAm karoti saH /
   ācāryaḥ saha śiṣyeṇa śivasāyujyamāpnuyāt // Stk_22.4 //	AcAryaH saha SizyeNa Siva-sAyujyam-ApnuyAt // Stc-_22.4 //
   brahmā viṣṇuśca rudraśca indraścandro bṛhaspatiḥ /	brahmA vizNuH-ca rudraH-ca indraH-candraH bRhaspatiH /
   prajāpatistathādityaḥ śukraḥ skando bhṛgustathā // Stk_22.5 //	prajApatiH-taTA-AdityaH SukraH skandaH BRguH-taTA // Stc-_22.5 //
   ye cānye prāṇino devāḥ sarve proktāḥ prasādajāḥ /	ye ca-anye prANinaH devAH sarve proktAH prasAda-jAH /
   ete cānye ca bahavo munayaḥ saṃśitavratāḥ // Stk_22.6 //	ete ca-anye ca bahavaH munayaH saMSita-vratAH // Stc-_22.6 //
   dhyāyanti paramaṃ haṃsaṃ prāsādaṃ nāmarūpataḥ /	DyAyanti paramam haMsam prAsAdam nAma-rUpataH /
   vibhāgaṃ cāsya vakṣyāmi yaṃ dhyātvāmṛtamaśnute // Stk_22.7 //	viBAgam ca-asya vakzyAmi yam DyAtvA-amRtam-aSnute // Stc-_22.7 //
   sadyaḥ kalāṣṭasaṃyuktam akārākṣarajaṃ viduḥ /	sadyas kalA-azwa-saMyuktam akAra-akzara-jam viduH /
   vidyādukārajaṃ vāmam aghoraṃ ca makārajam // Stk_22.8 //	vidyAt-ukAra-jam vAmam aGoram ca makAra-jam // Stc-_22.8 //
   bindujaḥ puruṣo jñeya īśānastu śikhātmajaḥ /	bindujaH puruzaH jQeyaH ISAnaH-tu SiKA-AtmajaH /
   evaṃ mantrāstu pañcaite prāsādātsambhavanti ye // Stk_22.9 //	evam mantrAH-tu paQca-ete prAsAdAt-samBavanti ye // Stc-_22.9 //
   daśakoṭiḥ sahasrāṇāṃ mantrāṇāmamitaujasām /	daSa-kowiH sahasrANAm mantrANAm-amita-ojasAm /
   iṣṭena tu prasādena sarva iṣṭā na saṃśayaḥ // Stk_22.10 //	izwena tu prasAdena sarve izwAH na saMSayaH // Stc-_22.10 //
   mārutā nava śaktyādyā ye mantrāḥ parikīrtitāḥ /	mArutAH nava Sakti-AdyAH ye mantrAH parikIrtitAH /
   prāsādābjasamutpannāḥ sarve cāmoghaśaktayaḥ // Stk_22.11 //	prAsAda-abja-samutpannAH sarve ca-amoGa-SaktayaH // Stc-_22.11 //
   sadyastu pṛthivī jñeyo vāmo hyāpaḥ prakīrtitaḥ /	sadyas-tu pRTivI jQeyaH vAmaH hi-ApaH prakIrtitaH /
   aghorasteja ityukto vāyustatpuruṣaḥ smṛtaḥ // Stk_22.12 //	aGoraH-tejaH iti-uktaH vAyuH-tatpuruzaH smRtaH // Stc-_22.12 //
   ākāśastu bhavedīśaḥ svayaṃ devo maheśvaraḥ /	AkASaH-tu Bavet-ISaH svayam devaH maheSvaraH /
   sadyojātastu ṛgvedo vāmadevo yajuḥ smṛtaḥ // Stk_22.13 //	sadyojAtaH-tu RgvedaH vAmadevaH yajuH smRtaH // Stc-_22.13 //
   aghoraḥ sāmavedaḥ syād atharvaḥ puruṣaḥ smṛtaḥ /	aGoraH sAmavedaH syAt aTarvaH puruzaH smRtaH /
   pañcamastu paraḥ sūkṣmo vyomavyāpī sadāśivaḥ // Stk_22.14 //	paQcamaH-tu paraH sUkzmaH vyoma-vyApI sadASivaH // Stc-_22.14 //
   sadyojātastu vai brahmā vāmo viṣṇuḥ prakīrtitaḥ /	sadyojAtaH-tu vE brahmA vAmaH vizNuH prakIrtitaH /
   aghoro rudradaivatya īśvaraḥ puruṣaḥ smṛtaḥ // Stk_22.15 //	aGoraH rudra-dEvatyaH ISvaraH puruzaH smRtaH // Stc-_22.15 //
   īśānaḥ śivadaivatyo hṛdayādāvavasthitaḥ /	ISAnaH Siva-dEvatyaH hRdaya-AdO=-avasTitaH /
   ṣaṣṭhaṃ tu yatparaṃ tattvam asādṛśyaguṇaiḥ sthitam // Stk_22.16 //	zazWam tu yat-param tattvam asAdRSya-guNEH sTitam // Stc-_22.16 //
   tasya deho na vaktavyaḥ prākṛtairguṇasambhavaiḥ /	tasya dehaH na vaktavyaH prAkRtEH-guNa-samBavEH /
   jñātvā paramaniḥśreṇīṃ pañcasaṃsthānagāminīm // Stk_22.17 //	jQAtvA parama-niHSreNIm paQca-saMsTAna-gAminIm // Stc-_22.17 //
   jñātameva sakṛdyena vistṛtaṃ tu tadeva tat /	jQAtam-eva sakRt-yena vistRtam tu tat-eva tat /
   tatkāla eva mukto 'sau yadā jñātaṃ hi tatpadam // Stk_22.18 //	tad-kAle eva muktaH asO yadA jQAtam hi tad-padam // Stc-_22.18 //
   prāsādanirṇayaprakaraṇam	prAsAda-nirNaya-prakaraNam
   iti dvāviṃśaḥ paṭalaḥ	iti dvAviMSaH pawalaH
   śṛṇu ṣaṇmukha tattvena jñānāmṛtamanuttamam /	SRNu zaNmuKa tattvena jQAna-amRtam-anuttamam /
   yanna kasyacidākhyātaṃ nākhyeyaṃ kathayāmi tat // Stk_23.1 //	yat-na kasyacid-AKyAtam na-AKyeyam kaTayAmi tat // Stc-_23.1 //
   dehasthaḥ sakalo jñeyo niṣkalo dehavarjitaḥ /	deha-sTaH sakalaH jQeyaH nizkalaH deha-varjitaH /
   āptopadeśagamyo 'sau sarvataḥ kimapi sthitaḥ // Stk_23.2 //	Apta-upadeSa-gamyaH asO sarvatas kim-api sTitaH // Stc-_23.2 //
   haṃsa haṃseti yo brūyad dhaṃso devaḥ sadāśivaḥ /	haMsa haMsa-iti yaH brUyat DaMsaH devaH sadASivaH /
   guruvaktrāttu labhyeta pratyakṣaṃ sarvatomukhaḥ // Stk_23.3 //	guru-vaktrAt-tu laByeta pratyakzam sarvatomuKaH // Stc-_23.3 //
   tileṣu ca yathā tailaṃ puṣpe gandha iva sthitaḥ /	tilezu ca yaTA tElam puzpe ganDaH iva sTitaH /
   puruṣastu śarīre 'smin sabāhyābhyantare sthitaḥ // Stk_23.4 //	puruzaH-tu SarIre asmin sa-bAhya-aByantare sTitaH // Stc-_23.4 //
   ulkāhasto yathā kaścid dravyamālokya tāṃ tyajet /	ulkA-hastaH yaTA kaScid dravyam-Alokya tAm tyajet /
   jñānena jñeyamālokya tathā jñānaṃ parityajet // Stk_23.5 //	jQAnena jQeyam-Alokya taTA jQAnam parityajet // Stc-_23.5 //
   puṣpaṃ tu sakalaṃ vidyād gandhastasya tu niṣkalaḥ /	puzpam tu sakalam vidyAt ganDaH-tasya tu nizkalaH /
   vṛkṣaṃ tu sakalaṃ vidyāc chāyā tasya tu niṣkalā // Stk_23.6 //	vRkzam tu sakalam vidyAt CAyA tasya tu nizkalAH // Stc-_23.6 //
   sakale niṣkalo bhāvaḥ sarvatraiva vyavasthitaḥ /	sakale nizkalaH BAvaH sarvatra-eva vyavasTitaH /
   upāyaḥ sakalastadvad upeyaścaiva niṣkalaḥ // Stk_23.7 //	upAyaH sakalaH-tadvat upeyaH-ca-eva nizkalaH // Stc-_23.7 //
   sakale sakalo bhāvo niṣkale niṣkalastathā /	sakale sakalaH BAvaH nizkale nizkalaH-taTA /
   trimātraśca dvimātraśca ekamātrastathaiva ca // Stk_23.8 //	tri-mAtraH-ca dvi-mAtraH-ca eka-mAtraH-taTA-eva ca // Stc-_23.8 //
   ardhamātrā parā sūkṣmā tasyā ūrdhvaṃ parātparam /	arDa-mAtrA parA sUkzmA tasyAH UrDvam parAtparam /
   brahmā viṣṇuśca rudraśca īśvaraḥ śiva eva vā // Stk_23.9 //	brahmA vizNuH-ca rudraH-ca ISvaraH SivaH eva vA // Stc-_23.9 //
   pañcadhā pañcadaivatyaḥ sakalaḥ paripaṭhyate /	paQcaDA paQca-dEvatyaH sakalaH paripaWyate /
   brahmaṇo hṛdayaṃ sthānaṃ kaṇṭhe viṣṇuḥ samāśritaḥ // Stk_23.10 //	brahmaNaH hRdayam sTAnam kaNWe vizNuH samASritaH // Stc-_23.10 //
   tālumadhye sthito rudro lalāṭastho maheśvaraḥ /	tAlu-maDye sTitaH rudraH lalAwa-sTaH maheSvaraH /
   nāsāgre tu śivaṃ vidyāt tasyānte tu paraṃ padam // Stk_23.11 //	nAsA-agre tu Sivam vidyAt tasya-ante tu param padam // Stc-_23.11 //
   nāsāgre MSS i,ī,u,mu; nādānte Bhatt	nAsA-agre MSS i,I,u,mu; nAda-ante Bhatt
   parasmāttu paraṃ nāsti iti śāstrasya niścayaḥ /	parasmAt-tu param na-asti iti SAstrasya niScayaH /
   gamāgamaḥ kathaṃ tasya kena vā nīyate tu saḥ // Stk_23.12 //	gamAgamaH kaTam tasya kena vA nIyate tu saH // Stc-_23.12 //
   saṃśayo me mahādeva kathayasva yathārthataḥ /	saMSayaH me mahAdeva kaTayasva yaTArTataH /
   śaktyā tu nīyate jīvas tasminprāpya nivartate // Stk_23.13 //	SaktyA tu nIyate jIvaH tasmin-prApya nivartate // Stc-_23.13 //
   asyāntaṃ te pravakṣyāmi śṛṇu ṣaṇmukha tattvataḥ /	asya-antam te pravakzyAmi SRNu zaNmuKa tattvataH /
   dehātītaṃ tu tadvidyān nāsāgre dvādaśāṅgulam // Stk_23.14 //	deha-atItam tu tad-vidyAt nAsA-agre dvAdaSa-aFgulam // Stc-_23.14 //
   tadantaṃ tadvijānīyāt tatrastho vyāpayetprabhuḥ /	tad-antam tat-vijAnIyAt tatrasTaH vyApayet-praBuH /
   mano 'pyanyatra nikṣiptaṃ cakṣuranyatra pātitam // Stk_23.15 //	manaH api-anyatra nikziptam cakzuH-anyatra pAtitam // Stc-_23.15 //
   tathāpi yogināṃ yogo hyavicchinnaḥ pravartate /	taTA-api yoginAm yogaH hi-avicCinnaH pravartate /
   etattatparamaṃ guhyam etattatparamākṣaram // Stk_23.16 //	etat-tat-paramam guhyam etat-tad-parama-akzaram // Stc-_23.16 //
   nātaḥ parataraṃ kiñcin nātaḥ parataraṃ śivam /	na-atas parataram kiQcid na-atas parataram Sivam /
   nātaḥ parataraṃ jñānam ityāha bhagavāñśivaḥ // Stk_23.17 //	na-atas parataram jQAnam iti-Aha BagavAn-SivaH // Stc-_23.17 //
   śivajñānāmṛtaṃ prāpya saṃkṣepānna tu vistarāt /	Siva-jQAna-amRtam prApya saMkzepAt-na tu vistarAt /
   kathito devadevena paramākṣaranirṇayaḥ // Stk_23.18 //	kaTitaH devadevena parama-akzara-nirNayaH // Stc-_23.18 //
   etatte śivasadbhāvaṃ śivavaktrādviniḥsṛtam /	etat-te Siva-sadBAvam Siva-vaktrAt-viniHsRtam /
   guhyādguhyatamaṃ guhyaṃ gūhanīyaṃ prayatnataḥ // Stk_23.19 //	guhyAt-guhyatamam guhyam gUhanIyam prayatnataH // Stc-_23.19 //
   nāśiṣyāya pradātavyaṃ nāputrāya kadācana /	na-aSizyAya pradAtavyam na-aputrAya kadAcana /
   gurudevāgnibhaktāya nityaṃ muktiratāya ca // Stk_23.20 //	guru-deva-agni-BaktAya nityam mukti-ratAya ca // Stc-_23.20 //
   pradātavyamidaṃ śāstraṃ netarebhyaḥ pradāpayet /	pradAtavyam-idam SAstram na-itareByaH pradApayet /
   dātāsya narakaṃ yāti siddhyecca na kadācana // Stk_23.21 //	dAtA-asya narakam yAti sidDyet-ca na kadAcana // Stc-_23.21 //
   śivāmṛtaṃ mayā khyātaṃ satyaṃ satyamidaṃ tava /	Siva-amRtam mayA KyAtam satyam satyam-idam tava /
   evaṃ jñātvā tu medhāvī vicarettu yathāsukham // Stk_23.22 //	evam jQAtvA tu meDAvI vicaret-tu yaTAsuKam // Stc-_23.22 //
   gṛhastho brahmacārī ca vānaprastho 'tha bhaikṣukaḥ /	gRhasTaH brahmacArI ca vAnaprasTaH aTa BEkzukaH /
   yatra yatra sthito jñānī paramākṣaravit sadā // Stk_23.23 //	yatra yatra sTitaH jQAnI parama-akzara-vid sadA // Stc-_23.23 //
   viṣayī viṣayāsakto yāti dehāntake śivam /	vizayI vizaya-AsaktaH yAti dehAntake Sivam /
   jñānādevāsya śāstrasya sarvāvastho 'pi mānavaḥ // Stk_23.24 //	jQAnAt-eva-asya SAstrasya sarva-avasTaH api mAnavaH // Stc-_23.24 //
   brahmahatyāśvamedhādyaiḥ puṇyapāpairna lipyate /	brahmahatyA-aSvameDa-AdyEH puNya-pApEH-na lipyate /
   codako bodhakaścaiva mokṣadaśca paraḥ smṛtaḥ // Stk_23.25 //	ca-udakaH boDakaH-ca-eva mokza-daH-ca paraH smRtaH // Stc-_23.25 //
   ityevaṃ trividho jñeya ācāryastu mahītale /	iti-evam triviDaH jQeyaH AcAryaH-tu mahI-tale /
   codako darśayenmārgaṃ bodhakaḥ sthānamādiśet /	ca-udakaH darSayet-mArgam boDakaH sTAnam-AdiSet /
   mokṣadastu paraṃ tattvaṃ yajjñātvāmṛtamaśnute // Stk_23.26 //	mokza-daH-tu param tattvam yat-jQAtvA-amRtam-aSnute // Stc-_23.26 //
   jñānāmṛtaprakaraṇam	jQAna-amRta-prakaraNam
   iti trayoviṃśaḥ paṭalaḥ	iti trayoviMSaH pawalaH
