   {MV S_1}	{MV H _1}
   iti /	iti /
   tripādbhaṃ cettithirbhadrā bhaumejyaravibhiḥ saha /	tripAdBam ced tiTirBadrA BOma ijya raviBiH saha /
   tadā tripuṣkaro yogo dvayoryogo dvipuṣkaraḥ //	tadA tripuzkaraH yogaH dvayoH yogaH dvi puzkaraH //
   iti /	iti /
   dvitīyāsaptamīdvādaśīnāṃ bhadrātithīnāṃ	dvitIya asaptamI dvAdaSInAm Badra atiTInAm
   punarvasūttarāphālgunīviśākhottarāṣāḍhāpūrvābhādrapadanakṣatrāṇāṃ	punarvasu uttarA PAlgunI viSAKA uttara AzAXA pUrva aBAdrapada nakzatrANAm
   bhānubhaumaśanaiścarāṇāṃ ca melane tripuṣkaraṃ dbimelane dvipuṣkaram /	BAnuBOma SanEScarANAm ca melane tripuzkaram dbi melane dvi puzkaram /
   nandāḥ pratipatṣaṣṭhyekādaśyaḥ /	nandAH pratipad zazWI ekAdaSyaH /
   śeṣaṃ prasiddham /	Sezam prasidDam /
   iti māsikānāṃ kālanirṇayaḥ /	iti mAsikAnAm kAla nirNayaH /
   atha pretakriyāsu vihitaniṣiddhakālāḥ /	aTa preta kriyAsu vihita nizidDa kAlAH /
   gārgyaḥ  	gArgyaH  
   pratyakṣaśavasaṃskāre dinaṃ naiva viśodhayet /	pratyakza Sava saMskAre dinam na eva viSoDayet /
   āśaucamadhye kriyate punaḥsaṃskārakarma cet //	ASOca maDye kriyate punar saMskAra karma ced //
   śodhanīyaṃ dinaṃ tatra yathāsambhavameva tu /	SoDanIyam dinam tatra yaTAsamBavam eva tu /
   āśaucavinivṛttau tu punaḥsaṃskriyate mṛtaḥ //	ASOca vinivRttO tu punar saMskriyate mRtaH //
   saṃśodhyaiva dinaṃ grāhyamūrdhvaṃ saṃvatsarādyadi /	saMSoDya eva dinam grAhyam UrDvam saMvatsarAt yadi /
   pretakāryāṇi kurvīta śreṣṭhaṃ tatrottarāyaṇam //	pretakAryANi kurvIta SrezWam tatra uttarAyaNam //
   kṛṣṇapakṣaśca tatrāpi varjayettu dinakṣayam /	kRzNapakzaH ca tatra api varjayet tu dinakzayam /
   {MV S_219}	{MV H _219}
   pretaśrāddhaṃ prakṛtya gārgyaḥ  	preta SrAdDam prakRtya gArgyaH  
   nandāyāṃ bhārgavadine caturdaśyāṃ tripuṣkare /	nandAyAm BArgava dine caturdaSyAm tripuzkare /
   tatra śrāddhaṃ na kurvīta gṛhī putradhanakṣayāt //	tatra SrAdDam na kurvIta gRhI putra Dana kzayAt //
   marīciḥ  	marIciH  
   ekādaśyāṃ tu nandāyāṃ sinīvālyāṃ bhṛgordine /	ekAdaSyAm tu nandAyAm sinIvAlyAm BRgoH dine /
   nabhasyasya caturdaśyāṃ kṛttikāsu tripuṣkare //	naBasyasya caturdaSyAm kRttikAsu tripuzkare //
   śrāddhaṃ na kurvītetyanuṣaṅgaḥ /	SrAdDam na kurvIta iti anuzaFgaH /
   pretakriyāmeva prakṛtya  	preta kriyAm eva prakRtya  
   bhārate:	BArate:
   nakṣatre tu na kurvīta yasmin jāto bhavennaraḥ /	nakzatre tu na kurvIta yasmin jAtaH Bavet naraH /
   na prauṣṭhapadayoḥ kārṃyaṃ tathāgneye ca bhārata! //	na prOzWapadayoH kArMyam taTA Agneye ca BArata! //
   dāruṇeṣu ca sarveṣu pratyarau ca vivarjayet /	dAruNezu ca sarvezu pratyarO ca vivarjayet /
   jyautiṣe yāni coktāni tāni yatnena varjayet //	jyOtize yAni ca uktAni tAni yatnena varjayet //
   uktāni varjyatvenetiśeṣaḥ /	uktAni varjya tvena iti SezaH /
   dāruṇāni  	dAruNAni  
   dāruṇaṃ coragaṃ raudramaindraṃ nairṛtameva ca /	dAruNam ca uragam rOdram Endram nErRtam eva ca /
   ityuktāni /	iti uktAni /
   gratyariḥ = pañcamatārā /	grati ariH  paQcama tArAH /
   jyotiḥ parāśaraḥ  	jyotiH parASaraH  
   sādhāraṇadhruvogre maitre no śasyate manuṣyāṇām /	sADAraNa Druva ugre mEtre no Sasyate manuzyANAm /
   pretakriyā kathañcittripuṣkare yamaladhiṣṇaṇe ca //	preta kriyA kaTaQcid tripuzkare yamala DizNaNe ca //
   sādhāraṇe kṛttikāviśākhe /	sADAraNe kRttikA viSAKe /
   dhruvāṇi = uttarātrayaṃ rohiṇī ca /	DruvANi  uttarA trayam rohiNI ca /
   ugrāṇi = pūrvātrayaṃ bharaṇī maghā ca /	ugrANi  pUrvA trayam BaraNI maGA ca /
   maitramanurādhā /	mEtram anurADAH /
   yamaladhiṣṇyaṃ = dhaniṣṭhā /	yamala DizNyam  DanizWA /
   kaśyapaḥ  	kaSyapaH  
   bharaṇyārdrā tathāśleṣā mūlatricaraṇāni ca /	BaraNI ArdrA taTA ASlezAH mUla tri caraNAni ca /
   pretakṛtye 'tiduṣṭāni dhaniṣṭhādyaṃ ca pañcakam //	preta kRtye ati duzwAni DanizWA Adyam ca paQcakam //
   varāhapurāṇe  	varAhapurANe  
   caturthāṣṭamage candre dvādaśe ca vivarjayet /	caturTa azwama ge candre dvAdaSe ca vivarjayet /
   pretakṛtyaṃ vyatīpāte vaidhṛtau paridhe tathā //	preta kRtyam vyatIpAte vEDRtO pariDe taTA //
   karaṇe viṣṭisaṃjñe ca śanaiścaradine tathā /	karaNe vizwi saMjQe ca SanEScara dine taTA /
   trayodaśyāṃ viśeṣeṇa janmatārātraye 'pi ca //	trayodaSyAm viSezeNa janma tArA traye api ca //
   janmatārātrayam = ādyadaśamaikoneviṃśāni /	janma tArA trayam  AdyadaSama eka uneviMSAni /
   nandāyāṃ bhārgavadine trayodaśyāṃ trijanmani /	nandAyAm BArgava dine trayodaSyAm tri janmani /
   atra śrāddhaṃ na kurvīta putradārathanakṣayāt //	atra SrAdDam na kurvIta putra dA raTana kzayAt //
   ityādayaśca niṣedhāḥ pretakriyātirikte na pravartante /	ityAdayaH ca nizeDAH preta kriyA atirikte na pravartante /
   pretaśrāddheṣvapi sāvakāśeṣu na pravartante /	preta SrAdDezu api sa avakASezu na pravartante /
   niravakāśeṣu svakāle 'nuṣṭhīyamāneṣu pravartante /	niravakASezu sva kAle anuzWIyamAnezu pravartante /
   {MV S_220}	{MV H _220}
   tadāha gobhilaḥ  	tat Aha goBilaH  
   nandāyāṃ śukravāreṣu caturdaśyāṃ trijanmasu /	nandAyAm Sukra vArezu caturdaSyAm tri janmasu /
   ekādaśāhaprabhṛti naikoddiṣṭaṃ niṣidhyate //	ekAdaSa aha praBRti na eka uddizwam niziDyate //
   vaijavāpaḥ  	vEjavApaH  
   yugamanvādisaṅkrāntidarśe pretakriyā yadi /	yugam anu Adi saFkrAnti darSe preta kriyA yadi /
   daivādāpatitā tatra nakṣatrādi na śodhayet //	dEvAt ApatitA tatra nakzatra Adi na SoDayet //
   iti pretakriyāvihitaniṣiddhakālāḥ /	iti preta kriyA vihita nizidDa kAlAH /
   atha sapiṇḍīkaraṇakālaḥ /	aTa sapiNxIkaraNa kAlaH /
   tatra yajamānapretayoranāhitāgnitve saṃvatsarānto mukhyaḥ /	tatra yajamAna pretayoH anAhitAgni tve saMvatsara antaH muKyaH /
   upasthitavṛddhipūrvakālo vā /	upasTita vRdDi pUrva kAlaH vA /
   tathāca  	taTA ca  
   bhaviṣyapurāṇe:	BavizyapurANe:
   sapiṇḍīkaraṇaṃ kuryādyajamāno hyanagnimān /	sapiNxIkaraNam kuryAt yajamAnaH hi anagnimAn /
   anāhitāgneḥ pretasya pūrṇe 'bde bharatarṣabha! //	anAhitAgneH pretasya pUrNe abde Barata RzaBa! //
   tathā pulastyo 'pi  	taTA pulastyaH api  
   niragniḥ sahapiṇḍatvaṃ piturmātuśca dharmataḥ /	niragniH saha piNxa tvam pituH mAtuH ca DarmataH /
   pūrṇe saṃvatsare kuryādvṛddhirvā yadaharbhavet //	pUrNe saMvatsare kuryAt vRdDiH vA yat ahar Bavet //
   atra hi karturuddeśyasya niragnitve nimitte kālo niyamyate tasyaiva	atra hi kartuH uddeSyasya niragni tve nimitte kAlaH niyamyate tasya eva
   karmāṅgatvena vidhīyamānatvāt /	karma aFga tvena viDIyamAna tvAt /
   yattu kāle karma vidhīyate na karmaṇi kāla itinyāyavidvacanaṃ	yat tu kAle karma viDIyate na karmaNi kAlaH iti nyAya vid vacanam
   tadanupādeyatvābhiprāyam /	tad anupAdeyatva aBiprAyam /
   na punaravidheyatvaparam /	na punar aviDeya tva param /
   tathātve hi kālasyāṅgatvameva na syādavidhīyamānatvāt /	taTA tve hi kAlasya aFga tvam eva na syAt aviDIyamAna tvAt /
   na hyavidhīyamānamaṅgaṃ bhavatīti /	na hi aviDIyamAnam aFgam Bavati iti /
   atra hi pūrṇa iti varṣasamāptyuttaradina ityarthaḥ /	atra hi pUrNaH iti varza samApti uttara dinaH iti arTaH /
   tathācośanā  	taTA AcoSanA  
   pituḥ sapiṇḍīkaraṇaṃ vārṣike mṛtavāsare /	pituH sapiNxIkaraNam vArzike mRta vAsare /
   ādhānādyupasamprāptāvetatprāgapi vatsarāt //	ADAna Adi upasamprAptO= etat prAk api vatsarAt //
   nāgararavaṇḍe 'pi  	nAgara ravaNxe api  
   pituḥ sapiṇḍīkaraṇaṃ vatsarādūrdhataḥ sthitam /	pituH sapiNxIkaraNam vatsarA dUrDataH sTitam /
   vṛddhirāgāmikī cetsyāttadarvāgapi kārayet //	vRdDiH AgAmikI ced syAt tad arvAk api kArayet //
   yacca paiṭhīnasinā vatsarānte sapiṇḍīkaraṇamityuktam /	yat ca pEWInasinA vatsara ante sapiNxIkaraNam iti uktam /
   tatrāpi sati saptamyeva na tu daśānte paṭa itivadvācakatvaṃ	tatra api sati saptamI eva na tu daSa ante pawaH itivat vAcaka tvam
   pūrvodāhṛtavākyavirodhāt /	pUrva udAhRta vAkya viroDAt /
   yacca smṛtyarthasāre dvādaśamāsopāntyadine ūnābdikaṃ taduttaradine	yat ca smRti arTa sAre dvAdaSa mAsa upAntya dine Una Abdikam tad uttara dine
   sapiṇḍīkaraṇaṃ taduttaradine mṛtāharūpe prathamābdikamiti, tadetat"vārṣike	sapiNxIkaraNam tad uttara dine mRta aha rUpe praTama Abdikam iti, tat etat"vArzike
   mṛtavāsara"itivacanavirodhādupekṣaṇīyama /	mRta vAsara "iti vacana viroDAt upekzaNIyamaH /
   evañca sati ekoddiṣṭapradhānakatvena madhyāhne sapiṇḍanaṃ vidhāya	evaQca sati ekoddizwa praDAnaka tvena maDyAhne sapiNxanam viDAya
   pārvaṇapradhānakatvena vāparāhṇe sapiṇḍanaṃ kṛtvā sambhave 'parāhṇa eva	pArvaNa praDAnaka tvena vA aparAhNe sapiNxanam kRtvA samBave aparAhNaH eva
   gauṇakālarūpasāyāhne vā sāṃvatsarikaṃ kāryaṃ na tu lopastasya /	gONa kAla rUpa sAyAhne vA sAMvatsarikam kAryam na tu lopaH tasya /
   {MV S_221}	{MV H _221}
   kecittu mṛtāhadine sapiṇḍane ābdikalopa eva mukhyakālasyābhāvāt,	kecid tu mRta aha dine sapiNxane Abdika lopaH eva muKya kAlasya aBAvAt,
   śeṣabhojanaṃ vinā sapiṇḍīkaraṇaśrāddhāparisamāpte	Seza Bojanam vinA sapiNxIkaraNa SrAdDa aparisamApte
   śrāddhāntarārambhasyānucitatvācceti vadanti /	SrAdDa antara AramBasya anucita tvAt ca iti vadanti /
   tanna /	tat na /
   nahi gauṇakāle 'nuṣṭhānaṃ niṣiddhamapi tu mukhyakāle 'nadhikṛtasya	na hi gONa kAle anuzWAnam nizidDam api tu muKya kAle anaDikRtasya
   gauṇakāle /	gONa kAle /
   na ca prakṛte mukhyakāle 'nadhikārapratipādakaṃ kiñcidasti /	na ca prakRte muKya kAle anaDikAra pratipAdakam kiQcid asti /
   yacca śeṣabhojanaṃ vinā karmāsamāpterna karmāntarārambha iti /	yat ca Seza Bojanam vinA karma asamApteH na karma antarAramBaH iti /
   tanna /	tat na /
   visarjanenaiva prayogasya parisamāptatvāt /	visarjanena eva prayogasya parisamApta tvAt /
   taduttaraṃ ca rāgataḥ prāpte bhojane pratipattimākāṅkṣamāṇasya śeṣasya	tad uttaram ca rAgataH prApte Bojane pratipattim AkAFkzamANasya Sezasya
   niyamo na tu śeṣabhojanaṃ śrāddhāṅgam /	niyamaH na tu Seza Bojanam SrAdDa aFgam /
   bhavadvātadvi, na rātrigatabrahmacaryādivatprayogabahirbhūtamevāṅgaṃ tacca	Bavat vAta dvi, na rAtri gata brahmacarya Adi vat prayoga bahis BUtam eva aFgam tat ca
   pratyābdikenāvaśyakartavyatayā vihitena vyavahitaṃ	pratyAbdikena avaSya kartavya tayA vihitena vyavahitam
   sadābdikaśrāddhāṅgakaśeṣabhojanena saha tantreṇaikasmin dine	sat Abdika SrAdDa aFga ka Seza Bojanena saha tantreNa ekasmin dine
   daivavaśāpannānekavārṣikaśeṣabhojanamivānuṣṭhātuṃ śakyamiti na	dEva vaSa Apanna aneka vArzika Seza Bojanam iva anuzWAtum Sakyam iti na
   kiñcidanupapannam /	kiQcid anupapannam /
   vṛddhirabhyudayaḥ /	vRdDiH aByudayaH /
   bhrātā vā bhrātṛputro vā sapiṇḍaḥ śiṣya eva vā /	BrAtA vA BrAtR putraH vA sapiNxaH SizyaH eva vA /
   sahapiṇḍakriyāṃ kṛtvā kuryādabhyudayaṃ tataḥ //	saha piNxa kriyAm kRtvA kuryAt aByudayam tatas //
   iti laghuhārītoktaḥ /	iti laGu hArIta uktaH /
   gomilo 'pi yadaharvā vṛddhirāpadyate iti vṛddhirvā yadahaḥ syāditi /	gomilaH api yat ahar vA vRdDiH Apadyate iti vRdDiH vA yat ahar syAt iti /
   atra vṛdhdyahaḥ sannihitaṃ dināntarapamucyate /	atra vRDdi ahar sannihitam dina antarapam ucyate /
   anyathā tasminneva dine sapiṇḍīkaraṇāpattiḥ /	anyaTA tasmin= eva dine sapiNxIkaraNa ApattiH /
   tacca viruddham /	tat ca virudDam /
   sapiṇḍīkaraṇasya madhyāhnakālatvāt vṛddhiśrāddhasya ca prātaḥ kālikatvāt /	sapiNxIkaraNasya maDyAhna kAla tvAt vRdDiSrAdDasya ca prAtar kAlika tvAt /
   spaṣṭaṃ coktam  	spazwam ca uktam  
   nāgarakhaṇḍe:	nAgara KaNxe:
   pituḥ śapiṇḍīkaraṇaṃ vatsarādūrdhvataḥ sthitam /	pituH SapiNxIkaraNam vatsarAt UrDvatas sTitam /
   vṛddhirāgāminī cetsyāt tadarvāgapi kārayet //	vRdDiH AgAminI ced syAt tad arvAk api kArayet //
   upalakṣaṇaṃ caitannāndīnimittasya karmamātrasya /	upalakzaNam ca etat nAndI nimittasya karma mAtrasya /
   tathā ca  	taTA ca  
   śāṭhyāyaniḥ:	SAWyAyaniH:
   pretaśrāddhāni sarvāṇi sapiṇḍīkaraṇaṃ tathā /	preta SrAdDAni sarvANi sapiNxIkaraNam taTA /
   apakṛṣyāpi kurvīta karttāṃ nāndīmukhaṃ dvijaḥ //	apakRzya api kurvIta karttAm nAndImuKam dvijaH //
   iti /	iti /
   ayaṃ cāpakarṣaḥ sapiṇḍanaṃ vinā pitrādīnāṃ pārvaṇārhapitṛtvaprāptyabhāvena	ayam ca apakarzaH sapiNxanam vinA pitR AdInAm pArvaNa arha pitR tva prApti aBAvena
   nāndīśrāddhasya kartumaśakyatvāt	nAndISrAdDasya kartum aSakyatvAt 
   jñeyo na tu vācanika iti kecit /	jQeyaH na tu vAcanikaH iti kecid /
   apare tu na hyadṛṣṭārthe hetunā prayojanam /	apare tu na hi adRzwa arTe hetunA prayojanam /
   na hyapakarṣe devatāsambhavaḥ prayojakaḥ kintu vidhiḥ /	na hi apakarze devatA samBavaH prayojakaH kintu viDiH /
   devatāyā abhāve tu jīvatpitṛkasyeva karmalopa eva yuktaḥ /	devatAyAH aBAve tu jIvat pitRkasya iva karma lopaH eva yuktaH /
   devatānurodhenaivāpakarṣe tīrthaśrāddhādyanurodhenāpakarṣāpatteḥ /	devatA anuroDena eva apakarze tIrTa SrAdDa Adi anuroDena apakarza ApatteH /
   tasmādvacanādevāpakarṣaḥ /	tasmAt vacanAt eva apakarzaH /
   {MV S_222}	{MV H _222}
   kiñcāhitāgnairdaihitrasya vidyamāne 'pi niragnau mātule pārvaṇānuroghena	kiQca AhitAgnEH dEhitrasya vidyamAne api niragnO mAtule pArvaNa anuroGena
   mātāmahasapiṇḍīkaraṇaṃ prāpnuyāddauhitrānurodhena vā mātulasya gauṇakāle	mAtAmaha sapiNxIkaraNam prApnuyAt dOhitra anuroDena vA mAtulasya gONa kAle
   'nuṣṭhānaprasaṅgaḥ,"na pārvaṇaṃ nābhyudayam"iti	anuzWAna prasaFgaH,"na pArvaNam na aByudayam"iti
   pṛthakvacanavaiyarthyāpatteśca /	pRTak vacana vEyarTya ApatteH ca /
   abhyudayaśca avaśyakartavyo na kāmyaḥ /	aByudayaH ca avaSya kartavyaH na kAmyaH /
   tasya sapiṇḍīkaraṇānapakarṣe 'pi pṛthakkartuṃ śakyatvāt /	tasya sapiNxIkaraNa an apakarze api pRTak kartum Sakya tvAt /
   sāgneḥ pretasya niragnikarttṛkasapiṇḍīkaraṇakālamāha  	sa agneH pretasya niragni karttRka sapiNxIkaraNa kAlam Aha  
   laghuhārītaḥ:	laGu hArItaH:
   anagnistu yadā vīra! bhavetkuryāttadā gṛhī /	anagniH tu yadA vIra! Bavet kuryAt tadA gRhI /
   pretaścedagnimāṃstasya tripakṣe vai sapiṇḍanam //	pretaH ced agnimAn= tasya tri pakze vE sapiNxanam //
   gṛhī = karttā /	gRhI  karttA /
   sumanturapi 	sumantuH api 
   pretaścedāhitāgniḥ syātkarttānagniryadā bhavet /	pretaH ced AhitAgniH syAt karttAn agniH yadA Bavet /
   sapiṇḍīkaraṇaṃ kāryaṃ tadā pakṣe tṛtīyake //	sapiNxIkaraNam kAryam tadA pakze tRtIyake //
   atra ca "tripakṣe vai sapiṇḍanam'; ityatra tṛtīyasya pakṣasyādhikaraṇa	atra ca "tri pakze vE sapiNxanam a; iti atra tRtIyasya pakzasya aDikaraNa
   toktā saptamīśravaṇāt /	toktA saptamI SravaNAt /
   na cāstu saptamī paraṃ tu satisaptamī sā, evaṃ ca	na ca astu saptamI param tu sati saptamI sA, evam ca
   māsikābdikādiśrāddhavanmṛtatithisajātīyāyāṃ tithau sapiṇḍīkaraṇa miti	mAsi kAbdikA Adi SrAdDavat mRta tiTi sajAtIyAyAm tiTO sapiNxIkaraNa miti
   vācyam /	vAcyam /
   "upapadavibhakteḥ kārakavibhaktirbalīyasī"itinyāyātsa tisaptamīto	"upapada viBakteH kAraka viBaktiH balIyasI"iti nyAyAt sa tisaptamItaH 
   'dhikaraṇasaptamyā eva balīyastvātpūraṇārthakapratyayabalā	aDikaraNa saptamyA eva balIyaH tvAt pUraNa arTaka pratyaya balA
   hvitīyapakṣasyaiva lābhāt /	hvitIya pakzasya eva lABAt /
   na ca"pūrṇe saṃvatsare ṣaṇmāse tripakṣe yadaharvā vṛddhirāpadyate"iti	na ca" pUrNe saMvatsare zaz mAse tri pakze yat ahar vA vRdDiH Apadyate"iti
   gobhilavākye saṃvatsara iva ṣaṇmāsatripakṣayorapi pūrṇa	goBilavAkye saMvatsaraH iva zaz mAsa tri pakzayoH api pUrNa
   ityanuṣaṅgeṇānvayāttaduttaradinasyaiva grahaṇamiti vācyam /	iti anuzaFgeNa anvayAt tad uttara dinasya eva grahaNam iti vAcyam /
   pramāṇābhāvena"māsaṃ darśapauṇarmāsābhyāmiṣṭvopavasādbhiścaranti"ityatra	pramANa aBAvena" mAsam darSa pONarma AsAByAm izwvA upavasAdBiH caranti "iti atra
   māsasyopasatsvivātra pūrṇa ityasya ṣaṇmāsatripakṣayorananuṣaṅgāt /	mAsasya upasatsu iva atra pUrNaH iti asya zaz mAsa tri pakzayoH ananuzaFgAt /
   tena sampūrṇasya tṛtīyasyādhikaraṇatvamiti /	tena sampUrNasya tRtIyasya aDikaraNa tvam iti /
   hemādristu pakṣatraye pūrṇa iti vadannapi	hemAdriH tu pakza traye pUrNaH iti vadan= api
   tṛtīyapakṣasampūrttidinasyaivādhikaraṇatvamāha saptamīsvārasyāt na tu	tRtIya pakza sampUrtti dinasya eva aDikaraNa tvam Aha saptamIsvArasyAt na tu
   taduttaradinasyeti /	tad uttara dinasya iti /
   kartuḥ sāgnitve  	kartuH sa agni tve  
   sumantuḥ:	sumantuH:
   yajamāno 'gnimān rājan! pretaścānagnimān bhavet /	yajamAnaH agnimAn rAjan! pretaH ca anagnimAn Bavet /
   dvāhaśāhe bhavetkāryaṃ sapiṇḍīkaraṇaṃ sutaiḥ //	dvAhaSa ahe Bavet kAryam sapiNxIkaraNam sutEH //
   kātyāyanaḥ  	kAtyAyanaH  
   ekādaśāhaṃ nirvarttya arvāgdarśādyathāvidhi /	ekAdaSa aham nirvarttya arvAc darSAt yaTAviDi /
   prakurvītāgnimān vipro mātāpitroḥ sapiṇḍanam //	prakurvIta agnimAn vipraH mAtA pitroH sapiNxanam //
   iti /	iti /
   atrārvākdarśādityuktāvapi"ekādaśāhe dvādaśāhe vā"ityādi	atra arvAk darSa Adi ti uktO= api "ekA daSa ahe dvAdaSa ahe vA"ityAdi
   baudhāyanādyuktavihitakāla eva kartavyaṃ, tadabādhenaivopapattau	bODAyana Adi ukta vihita kAle eva kartavyan, tad abADena eva upapattO
   bādhāyogāt svatantrakālakalpanāprasaṅgācca /	bADA yogAt svatantra kAla kalpanA prasaFgAt ca /
   {MV S_223}	{MV H _223}
   hemādristu svatantraṃ kālāntaramityāha /	hemAdriH tu svatantram kAla antaram iti Aha /
   yattu  	yat tu  
   yā tu pūrvamamāvāsyā mṛtāhāddaśamī bhavet /	yA tu pUrvam amAvAsyA mRta ahAt daSamI Bavet /
   sapiṇḍīkaraṇaṃ tatyāṃ kuryādeva suto 'gnimān //	sapiNxIkaraNam tatyAm kuryAt eva sutaH agnimAn //
   iti jābālivacanaṃ tat maraṇadināvadhikadaśamadinaparam /	iti jAbAli vacanam tat maraNa dinO= aDika daSama dina param /
   evaṃcaikādaśaṃ dinamuktaṃ bhavati /	evaMca ekAdaSam dinam uktam Bavati /
   yadā ca darśo	yadA ca darSaH 
   ddhāviṃśatidinādūrdhvaṃ bhavati tadāśaucātparato dvādaśasu divaseṣu	dDAviMSati dinAt UrDvam Bavati tad ASOcAt paratas dvAdaSasu divasezu
   ṣoḍaśaśrāddhāni kṛtvā trayodaśadivase sapiṇḍīkaraṇaṃ kāryam /	zoxaSa SrAdDAni kRtvA trayodaSa divase sapiNxIkaraNam kAryam /
   sapimḍīkaraṇaṃ prakṛtya  	sa pimxIkaraNam prakRti a  
   māsikārthavat dvādaśāhaṃ śrāddhaṃ kṛtvā trayodaśe 'hni vā kuryāt /	mAsika arTa vat dvAdaSa aham SrAdDam kRtvA trayodaSe ahni vA kuryAt /
   iti viṣṇūkteḥ /	iti vizNu ukteH /
   asyārthaḥ /	asya arTaH /
   māsikānāmarthaḥ prayojanaṃ pretabhāvanivṛttistadvacchrāddham /	mAsikAnAm arTaH prayojanam preta BAva nivRttiH tadvat SrAdDam /
   gaṇābhiprāyamekavacanam /	gaNa aBiprAyam eka vacanam /
   tatronamāsikatraipakṣikonaṣāṇmāsikāni prathamadvitīyaṣaṣṭhadvādaśādivaseṣu	tatra Una mAsika trEpakzi konazANmAsikAni praTama dvitIya zazWa dvAdaSa Adi vasezu
   kāryāṇi divasasya māsa tthānīyatvāt /	kAryANi divasasya mAsa tTAnIya tvAt /
   ata evāgre"saṃvatsarābhyantare yadyadhikamāsako bhavettadā māsikārthaṃ	atas eva agre" saMvatsara aByantare yadi aDika mAsakaH Bavet tadA mAsika arTam
   dinamekaṃ vardhayet"iti tenaivoktam dvādaśāhaṃ trayodaśa iti	dinam ekam varDayet"iti tena eva uktam dvAdaSa aham trayodaSaH iti
   cāśaucottaradinamārabhyaiva"parato daśarātrasya"iti jāvālokteḥ /	ca ASOca uttara dinam AraBya eva" parataH daSa rAtrasya" iti jAvAla ukteH /
   atra dahārātragrahaṇaṃ tattadāśaucopalakṣaṇam /	atra dahArAtra grahaNam tad tad ASOca upalakzaNam /
   tatā sāgninā pravasitena vicchinnāgninā vā pārvaṇaśrāddhānurodhenāpi	tatA sa agninA pravasitena vicCinna agninA vA pArvaNa SrAdDa anuroDena api
   apakarṣaḥ kāryaḥ /	apakarzaH kAryaH /
   tathā ca  	taTA ca  
   hemādrau prajāpatiḥ:	hema adrO prajApatiH:
   nāsapiṇḍyāgnimān putraḥ pitṛyajñaṃ samācaret /	nAsapiNxya agnimAn putraH pitR yajQam samAcaret /
   na pārvaṇaṃ nābhyudayaṃ kurvanna labhate phalam //	na pArvaNam na aByudayam kurvan na laBate Palam //
   ityavaśyakartavyābhyudayasāhacataryeṇa pāveṇasyoktatvāt /	iti avaSya kartavya aByudaya sAha cataryeNa pAveNasya ukta tvAt /
   arvāk darśāditidarśopādānāddarśasambandhipitṛyajñavatpārvaṇasyāpi	arvAk darSAt iti darSa upAdAnAt darSa sambanDi pitR yajQa vat pArvaNasya api
   grahaṇācca /	grahaNAt ca /
   etacca yanmate piṇḍapitṛyajñanimittaṃ sapiṇḍīkaraṇāpakarṣaṇaṃ tanmate 'pi	etat ca yat mate piNxa pitR yajQa nimittam sapiNxIkaraNa apakarzaNam tad mate api
   pituriva māturapi kāryam /	pituH iva mAtuH api kAryam /
   ekatvaṃ sā gatā bharttuḥ piṇḍe gotre ca sūtake /	eka tvam sA gatAH BarttuH piNxe gotre ca sUtake /
   patnī patipitṝṇāṃ tu tasmāttadgotrabhāginī //	patnI pati pitLNAm tu tasmAt tad gotra BAginI //
   sapiṇḍīkaraṇādūrdhvaṃ yatpitṛbhyaḥ pradīyate /	sapiNxIkaraNAt UrDvam yat pitRByaH pradIyate /
   sarveṣvaṃśaharā yātā iti dharmeṣu niścayaḥ //	sarvezu aMSa harAH yAtAH iti Darmezu niScayaH //
   iti yajñapārśvabaudhāyanavacanābhyāṃ pitṛpiṇḍe tasyā aṃśabhāgitvāt /	iti yajQapArSva bODAyana vacanAByAm pitR piNxe tasyAH aMSa BAgi tvAt /
   na caivaṃ tasyā uddeśyatvāpattiriti vācyam /	na ca evam tasyAH uddeSya tva ApattiH iti vAcyam /
   ekamūrttitvamāyāti sapiṇḍīkaraṇe kṛte /	eka mUrtti tvam AyAti sapiNxIkaraNe kRte /
   iti vacanena sapatnīkatvenānuddeśe 'pi bharttṛpiṇḍāṃśopabhogokteḥ /	iti vacanena sa patnIka tvena anuddeSe api BarttR piNxa aMSa upaBoga ukteH /
   anyathā mātāmahena saha sapiṇḍane mātāmahapiṇḍabhoktṛtvaṃ na syāt /	anyaTA mAtAmahena saha sapiNxane mAtAmaha piNxa BoktR tvam na syAt /
   na hi saduhitṛketimātāmahānāmuddeśaḥ pramāṇābhāvāt /	na hi sa duhitRkA iti mAtA mahAnAm uddeSaH pramANa aBAvAt /
   {MV S_224}	{MV H _224}
   tasmātsāgninā kartrā āśaucottaraṃ dvādaśasu divaseṣu māsikāni kṛtvā	tasmAt sa agninA kartrA ASOca uttaram dvAdaSasu divasezu mAsikAni kRtvA
   trayodaśe 'hni maraṇadinādārabya vā dvādaśe dine ekādaśe 'hani eva vā	trayodaSe ahni maraNa dinAt Arabya vA dvAdaSe dine ekAdaSe ahani eva vA
   darśapāte tatraiva sapiṇḍanaṃ kāryam /	darSapAte tatra eva sapiNxanam kAryam /
   atra ca pramādādakaraṇe tripakṣādiṣu vihiteṣu kāleṣu kāryam /	atra ca pramAdAt akaraNe tri pakza Adizu vihitezu kAlezu kAryam /
   tathāca  	taTA ca  
   gobhilaḥ:	goBilaH:
