   bhikṣuṇī vinaya	BikzuNI  vinaya
   paśyati yo kulehi gāvo duhyantāṃ na dāni vaktavyaṃ | bahulābho labhyatu	paSyati yaH kulehi gAvaH duhyantAm na dAni vaktavyam | bahu lABaH laByatu
   kṣemeṇa gāvo carantu | āhaṃsuḥ | kena āryāye artho | vaktavyaṃ |	kzemeNa gAvaH carantu | AhaMsuH | kena AryAye arTaH | vaktavyam |
   piṇḍacāram aṇvāmi | āhaṃsuḥ | artho āryāye dugdhenāpūram pi pātraṃ	piNxa cAram aNvAmi | AhaMsuH | arTaH AryAye dugDena apUram pi pAtram
   pratīcchaty anāpattiḥ yāvat pratyutpannaprayogena labhyā vaktuṃ imāya pi	pratIcCati anApattiH yAvat pratyutpanna prayogena laByA vaktum imAya pi
   dehīti | atha dāni śvetamayaṃ sikṣati | nāsti śvetamayaṃ | icchasi dugdhaṃ	dehi iti | aTa dAni Sveta mayam sikzati | na asti Sveta mayam | icCasi dugDam
   | āha | icchāmi | pūram pi pātraṃ labhati anāpattiḥ |	| Aha | icCAmi | pUram pi pAtram laBati anApattiH |
   atha dāni pratiśyāyo bhavati | vaidyo āha dadhikṛtyaṃ karohīti labhyaṃ	aTa dAni pratiSyAyaH Bavati | vEdyaH Aha daDi kRtyam kara uhi iti laByam
   dadhi vijñapayituṃ | atha dāni piṇḍacāram aṇvati paśyati dadhi māpīyamānaṃ	daDi vijQapayitum | aTa dAni piNxa cAram aNvati paSyati daDi mApIyamAnam
   labhyā mastu vijñapayituṃ | atha dān āha | nāsti mastu icchasi dadhiṃ |	laByA mastu vijQapayitum | aTa dAn Aha | na asti mastu icCasi daDim |
   āha icchāmi | pūraṃ pi pātraṃ pratigṛhṇāti anāpattiḥ |	Aha icCAmi | pUram pi pAtram pratigRhNAti anApattiH |
   atha dāni bhikṣuṇī vamanaṃ virecanaṃ vā kartukāmā bhavati vaidyo jalpati	aTa dAni BikzuNI vamanam virecanam vA kartu kAmA Bavati vEdyaH jalpati
   ārye abhiṣyandehi matsyarasehīti | yāvan na kṣamati kaivartānāṃ	Arye aBizyanda ihi matsya rasa ihi iti | yAvat na kzamati kEvartAnAm
   vijñapayituṃ | atha dāni piṇḍacāram aṇvati labhyaṃ āmbūkāñjikaṃ	vijQapayitum | aTa dAni piNxa cAram aNvati laByam AmbU kAQjikam
   vijñapayituṃ |	vijQapayitum |
   atha dāni sirāviddhikā bhavati | virecanapītikā bhavati | vaidyo āha |	aTa dAni sirA vidDikA Bavati | virecana pItikA Bavati | vEdyaH Aha |
   ārye māṃsarasaṃ pratisevāhi | labhyaṃ māṃsarasaṃ vijñapayituṃ | na kṣamati	Arye mAMsa rasam pratisevAhi | laByam mAMsa rasam vijQapayitum | na kzamati
   orobhrikānāṃ tena | atha dāni piṇḍacāram aṇvati labhyaṃ śākarasaṃ	oroBrikAnAm tena | aTa dAni piNxa cAram aNvati laByam SAka rasam
   vijñapayituṃ | atha dān āha | nāsti ārye śākaraso icchasi māṃsarasaṃ | āha	vijQapayitum | aTa dAn Aha | na asti Arye SAka rasaH icCasi mAMsa rasam | Aha
   | icchāmi | pūraṃ pi pātraṃ labhati anāpattiḥ |	| icCAmi | pUram pi pAtram laBati anApattiH |
   atha dāni jānāti amukasmiṃ kāle kadācid gailānyaṃ bhaviṣyati imāni	aTa dAni jAnAti amukasmim kAle kadAcid gElAnyam Bavizyati imAni
   bhaiṣajyāni durlabhāni bhaviṣyantīti pratikṛty eva yācati anāpattiḥ |	BEzajyAni durlaBAni Bavizyanti iti pratikRti eva yAcati anApattiH |
   glānā vijñapiya agilānā khādati vinayātikramaḥ | agilānā vijñapiya glānā	glAnA vijQapiya agilAnA KAdati vinaya atikramaH | agilAnA vijQapiya glAnA
   khādati anāpattiḥ | aglānā vijñāpiya aglānā khādati pratideśayitavyaṃ |	KAdati anApattiH | aglAnA vijQApiya aglAnA KAdati pratideSayitavyam |
   asaṃpreyaṃ siddhaṃ saṃpreyaṃ khādati anāpattiḥ | saṃpreyaṃ siddhaṃ |	asaMpreyam sidDam saMpreyam KAdati anApattiH | saMpreyam sidDam |
   asaṃpreyaṃ siddhaṃ | asaṃpreyaṃ khādati vinayātikramaḥ | saṃpreyaṃ siddhaṃ	asaMpreyam sidDam | asaMpreyam KAdati vinaya atikramaH | saMpreyam sidDam
   saṃpreyaṃ khādati anāpattiḥ | parapratibaddhāya jīvikāya anāpattiḥ | tena	saMpreyam KAdati anApattiH | para pratibadDAya jIvikAya anApattiH | tena
   bhagavān āha |	BagavAn Aha |
   yāni kho punar imāni praṇītasammatāni bhojanāni bhavanti sayyath' īdaṃ	yAni KaH punar imAni praNIta sammatAni BojanAni Bavanti sayyaT a Idam
   sarpiḥ evaṃrūpaṃ taṃ bhikṣuṇī agilānā kulehi vijñapetvā vā vijñāpāyetvā vā	sarpiH evaMrUpam tam BikzuNI agilAnA kulehi vijQapetvA vA vijQApAyetvA vA
   khādeya vā bhuñjeya vā pratideśayitavyaṃ tāya bhikṣuṇīya | asaṃpreyam me	KAdeya vA BuQjeya vA pratideSayitavyam tAya BikzuNIya | asaMpreyam me
   ārye gārhyaṃ prātideśanikaṃ dharmam āpannā taṃ dharmaṃ pratideśayāmi |	Arye gArhyam prAtideSanikam Darmam ApannA tam Darmam pratideSayAmi |
   ayaṃ dharmo prātideśaniko |	ayam DarmaH prAtideSanikaH |
   evaṃ tailena kartavyaṃ | madhuphāṇitaṃ dugdhaṃ dadhi matsyaṃ māṃsaṃ |	evam tElena kartavyam | maDu PANitam dugDam daDi matsyam mAMsam |
   yāni kho punar imāni praṇītasammatāni bhojanāni bhavanti sayyath' īdaṃ	yAni KaH punar imAni praNIta sammatAni BojanAni Bavanti sayyaT a Idam
   māṃsaṃ evaṃrūpaṃ bhikṣuṇī agilānā kulehi vijñapetvā vā vijñapāyetvā vā	mAMsam evaMrUpam BikzuNI agilAnA kulehi vijQapetvA vA vijQapAyetvA vA
   khādeya vā bhuñjeya vā pratideśayitavyaṃ tāya bhikṣuṇīya | asaṃpreyam me	KAdeya vA BuQjeya vA pratideSayitavyam tAya BikzuNIya | asaMpreyam me
   ārye gārhyaṃ prātideśanikaṃ dharmaparyāyaṃ vā tan dharmaṃ pratideśayāmi |	Arye gArhyam prAtideSanikam Darma paryAyam vA tat Darmam pratideSayAmi |
   ayaṃ pi dharmo prātideśaniko ||	ayam pi DarmaH prAtideSanikaH ||
   uddānaṃ |	uddAnam |
   saripis [1] | tailaṃ [2] | madhu [3] | phāṇitaṃ [4] | dugdham [5] dadhi	saripiH [1] | tElam [2] | maDu [3] | PANitam [4] | dugDam [5] daDi
   [6] | matsya [7] | māṃsaṃ [8] | idam aṣṭamaṃ | bhikṣuṇīnāṃ prātideśanikāṃ	[6] | matsyaH [7] | mAMsam [8] | idam azwamam | BikzuNInAm prAtideSanikAm
   śaikṣā dharmā 166	SEkzAH DarmAH 166
   253. śaikṣā vistareṇa kartavyā yathā bhikṣuṇāṃ sarve ṣaḍvargāh sthāpayitvā	253. SEkzA vistareNa kartavyA yaTA BikzuNAm sarve zaxvargAh sTApayitvA
   haritodake |	harita udake |
   uddānam |	uddAnam |
   nivāsanaṃ [1] | prāvaraṇaṃ [2] | susaṃvṛtaṃ [3] | cakṣuḥ [4] | śabdaṃ [5]	nivAsanam [1] | prAvaraNam [2] | su saMvRtam [3] | cakzuH [4] | Sabdam [5]
   | noccagghikā [6] | noguṇṭhikā [7] | notkṣiptikā [8] | na utkuṭuke [9] |	| na uccagGikA [6] | noguNWikA [7] | na utkziptikAH [8] | naH utkuwuke [9] |
   na khambha [10] | na kāya [11] | na śīrṣa [12] | na bāhukena [13] ||	na KamBaH [10] | na kAya [11] | na SIrza [12] | na bAhukena [13] ||
   prathamo vargaḥ ||	praTamaH vargaH ||
   uddānaṃ |	uddAnam |
   susaṃvṛtā [14] | cakṣuḥ [15] | na śabda [16] | uccagghayikā [17] | na	su saMvRtAH [14] | cakzuH [15] | na SabdaH [16] | uccagGayikA [17] | na
   oguṇṭhikā [18] | notkṣiptikā [19] | na osaktikā [20] | na pallatthikā [21]	oguNWikA [18] | na utkziptikA [19] | na osaktikAH [20] | na pallatTikAH [21]
   | na khambha [22] | na hastapādakaukṛtyena [23] | dvitīyo vargaḥ ||	| na KamBaH [22] | na hasta pAda kOkRtyena [23] | dvitIyaH vargaH ||
   uddānaṃ |	uddAnam |
   dve satkṛtya [24, 25] | samasūpa [26] | na stūpa [27] | nāvakīrṇa [28] |	dve satkRtya [24, 25] | samasUpaH [26] | na stUpaH [27] | na avakIrNaH [28] |
   nāvagaṇḍa [29] | na jihvā [30] | nātimahanta [31] | nānāgata [32] | na	na avagaNxa [29] | na jihvA [30] | na atimahanta [31] | na anAgataH [32] | na
   kavaḍotkṣepaka [33] | na kavaḍacchedaka [34] | na sakavaḍena [35] | tṛtīyo	kavaxa utkzepakaH [33] | na kavaxacCedakaH [34] | na sa kavaxena [35] | tRtIyaH 
   vargaḥ ||	vargaH ||
   uddānaṃ ||	uddAnam ||
   trayo nirlehā [36, 37, 38] | cuccu [39] | surusuru [40] | gulugulu [41] |	trayaH nirlehAH [36, 37, 38] | cuccu [39] | surusuru [40] | gulu gulu [41] |
   na hasta [42] | na sittha [43] | nodhyāyana [44] | pātrasaṃjñī [45] |	na hastaH [42] | na sitTaH [43] | naH DyAyana [44] | pAtra saMjQI [45] |
   vijñapti [46] | chādayati [47] | na pātrodake [48] | na sasitthena [49] |	vijQapti [46] | CAdayati [47] | na pAtra udake [48] | na sa sitTena [49] |
   caturtho vargaḥ ||	caturTaH vargaH ||
   uddānaṃ |	uddAnam |
   na sthitā [50] | na niṣaṇṇā [51] | na uccāsanā [52] | upanaha [53] | na	na sTitAH [50] | na nizaNNAH [51] | naH ucca AsanA [52] | upanaha [53] | na
   pādukā [54] | na oguṇṭhikā [55] | na saṃmukha [56] | na osaktikā [57] | na	pAdukA [54] | na aH guNWikA [55] | na saMmuKaH [56] | na osaktikAH [57] | na
   pallatthikā [58] | pūryate pañcamo vargaḥ ||	pallatTikAH [58] | pUryate paQcamaH vargaH ||
   uddānaṃ |	uddAnam |
   na śastrāyudha [59, 60] | daṇḍa [61] | chatra [62] | utpatha [63] |	na Sastra AyuDaH [59, 60] | daNxaH [61] | Catra [62] | utpaTa [63] |
   pṛṣṭhato [64] | yāna [65] | sthitakena [66] | ṣaṣṭho vargaḥ ||	pRzWatas [64] | yAnaH [65] | sTitakena [66] | zazWaH vargaH ||
   sapta adhikaraṇasamathā dharmā	sapta aDikaraNa samaTAH DarmA
   dharmā anudharmā	DarmAH anuDarmA
   254. saptādhikaraṇasamathā dharmā yathā bhikṣūṇāṃ |	254. sapta aDikaraNa samaTAH DarmAH yaTA BikzUNAm |
   sammukha [1] | smṛti [2] | amūḍha [3] | pratijñā [4] | tasya pāpeyaśika	sammuKaH [1] | smRti [2] | amUXaH [3] | pratijQA [4] | tasya pApeya Sika
   [5] | yo bhuyasika [6] | tṛṇaprastārako [7] ca saptamaḥ ||	[5] | yaH Buyasika [6] | tRNaprastArakaH [7] ca saptamaH ||
   dharmaś cānudharmaś ca yathā bhikṣūṇāṃ |	DarmaH ca anuDarmaH ca yaTA BikzUNAm |
   samāpto bhikṣuṇīnāṃ prātimokṣavibhaṅgaḥ ||	samAptaH BikzuNInAm prAtimokza viBaFgaH ||
   bhikṣuṇī prakīrṇaka 1	BikzuNI prakIrNakaH 1
   niṣadyāpratisaṃyuktaṃ	nizadya apratisaMyuktam
   255. āryamahāsāṃghikānāṃ lokottaravādināṃ bhikṣuṇīprakīrṇakasyādiḥ |	255. Arya mahA sAMGikAnAm loka uttara vAdinAm BikzuNI prakIrNakasya AdiH |
   bhagavān śrāvastīyam viharati | tāyo dāni bhikṣuṇīyo paścimaṃ prahāṇaṃ	BagavAn SrAvastIyam viharati | tAyaH dAni BikzuNIyaH paScimam prahANam
   svastikaparyaṅkena niṣīdanti | athāparāye dāni bhikṣuṇīye vraṇamukhena	svastika paryaFkena nizIdanti | aTa aparAye dAni BikzuNIye vraNa muKena
   dīrghako 'nusrotena praviṣṭo | etaṃ prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye	dIrGakaH anusrotena pravizwaH | etam prakaraNam BikzuNIyaH mahA prajApatIye
   gautamīye ārocayeṃsuḥ | mahāprajāpatī gautamī bhagavato ārocayet |	gOtamIye ArocayeMsuH | mahA prajApatI gOtamI BagavataH Arocayet |
   bhagavān āha | gacchatha tāye amukaṃ bhaiṣajyaṃ detha tato so dīrghako	BagavAn Aha | gacCaTa tAye amukam BEzajyam deTa tatas saH dIrGako
   niṣkramiṣyati | tāye dāni taṃ bhaiṣajyaṃ dinnaṃ pibanāye | so dīrghako	nizkramizyati | tAye dAni tam BEzajyam dinnam pibanAye | saH dIrGako
   anusrotam āgato na ca mṛto | bhagavān āha | evaṃ ca nāmā yūyaṃ	anusrotam AgataH na ca mRtaH | BagavAn Aha | evam ca nAmA yUyam
   svastikaparyaṅkena niṣīdatha | tena hi na kṣamati svastikaparyaṅkena	svastika paryaFkena nizIdaTa | tena hi na kzamati svastika paryaFkena
   niṣīdituṃ | niṣadyāpratisaṃyuktaṃ | na kṣamati bhikṣuṇīye paryaṅkena	nizIditum | nizadya apratisaMyuktam | na kzamati BikzuNIye paryaFkena
   niṣīdituṃ | atha khalv ekinā padena paryaṅko baddhavyaḥ | aparāya	nizIditum | aTa Kalu ekinA padena paryaFkaH badDavyaH | aparAya
   pārṣṇikāya vraṇamukhaṃ pithayitavyaṃ | sā eṣā bhikṣuṇī svastikaparyaṅkena	pArzNikAya vraNa muKam piTayitavyam | sA ezA BikzuNI svastika paryaFkena
   niṣīdati vinayātikramam āsādayati | idam ucyate niṣadyāpratisaṃyuktaṃ ||	nizIdati vinaya atikramam AsAdayati | idam ucyate nizadya apratisaMyuktam ||
   bhikṣuṇīprakirṇaka 2	BikzuNI prakirNakaH 2
   kaṭhinapratisaṃyuktaṃ	kaWina pratisaMyuktam
   256. bhagavān śrāvastīyam viharati | tā dāni bhikṣuṇīyo kaṭhine cīvaraṃ	256. BagavAn SrAvastIyam viharati | tAH dAni BikzuNIyaH kaWine cIvaram
   nikṣipiya sīvanti | aparāye bhikṣuṇīye vaṃsavidalikāya vraṇamukhena kṛtaṃ	nikzipiya sIvanti | aparAye BikzuNIye vaMsa vidalikAya vraNa muKena kRtam
   rudhiram utpāditaṃ | etaṃ prakaraṇaṃ | peyālaṃ | bhagavān āha | tena hi na	ruDiram utpAditam | etam prakaraNam | peyAlam | BagavAn Aha | tena hi na
   kṣamati kaṭhine niṣīdituṃ | kaṭhinapratisaṃyuktaṃ | etā dāni bhikṣuṇīyo	kzamati kaWine nizIditum | kaWina pratisaMyuktam | etAH dAni BikzuNIyaH 
   cīvara niṣīditukāmā bhavanti | na kṣamati kaṭhine niṣīdituṃ | atha khu	cIvara nizIditu kAmAH Bavanti | na kzamati kaWine nizIditum | aTa Ku
   upasthānaśālāyām vā prāsāde vā prahāṇaśālāyām vā ākārṣān dattvā cīvarakaṃ	upasTAna SAlAyAm vA prAsAde vA prahANa SAlAyAm vA AkArzAn dattvA cIvarakam
   prajñapiya sīvitavyaṃ | atha evaṃ pi na bhavati | pīṭhasya vā mañcasya vā	prajQapiya sIvitavyam | aTa evam pi na Bavati | pIWasya vA maQcasya vA
   upari prajñapayitvā sīvitavyaṃ | athaivaṃ pi na bhavati jānukānām upari	upari prajQapayitvA sIvitavyam | aTa evam pi na Bavati jAnukAnAm upari
   sthāpayyitvā sīvitavyaṃ | sā eṣā bhikṣuṇī kaṭhine niṣīdati vinayātikramam	sTApayyitvA sIvitavyam | sA ezA BikzuNI kaWine nizIdati vinaya atikramam
   āsādayati | idam ucyate kaṭhinapratisaṃyuktaṃ ||2 ||	AsAdayati | idam ucyate kaWina pratisaMyuktam ||2 ||
   bhikṣuṇīprakīrṇaka 3	BikzuNI prakIrNaka 3
   veṭhakapratisaṃyuktaṃ	veWaka pratisaMyuktam
   257. bhagavān śrāvastīyam viharati | sthūlanandā dāni bhikṣuṇī saṃbahulāni	257. BagavAn SrAvastIyam viharati | sTUlanandA dAni BikzuNI saMbahulAni
   strīhi sārdhaṃ nadīm ajirāvatīṅ gatvā ekānte cīvarakāṇī nikṣipiya	strIhi sArDam nadIm ajirAvatIF gatvA ekAnte cIvarakANI nikzipiya
   snānāyāvatīrṇā | sā dāni pratikṛtyevottaritvā veṭhakena kāyaṃ veṭhayitvā	snAnAya avatIrNA | sA dAni pratikRti a iva uttaritvA veWakena kAyam veWayitvA
   strīṇām āha | prajāpati nidhyāpayatha māṃ | kim ahaṃ śobhāmi na śobhāmīti	strINAm Aha | prajApati niDyApayaTa mAm | kim aham SoBAmi na SoBAmi iti
   | tā dān āhaṃsuḥ | kim punar āryāya muṇḍāya piṇḍilikāya etena kāryaṃ |	| tAH dAn AhaMsuH | kim punar AryAya muNxAya piNxilikAya etena kAryam |
   vayaṃ kāmopabhoganīyā mānārthāya evaṃ karomaḥ | kuṭumbikānāṃ priyatarikā	vayam kAma upaBoganIyA mAna arTAya evam karomaH | kuwumbikAnAm priya tarikA
   bhaviṣyāmo ti | ārye kim etena | yaṃ tāhi strīhi avadhyāpitaṃ taṃ dāni	BavizyAmaH ti | Arye kim etena | yam tAhi strIhi avaDyApitam tam dAni
   bhikṣuṇīhi śrutaṃ | etaṃ prakaraṇaṃ | pe | yāvad āma bhagavan | bhagavān	BikzuNIhi Srutam | etam prakaraNam | pe | yAvat Ama Bagavan | BagavAn
   āha | duṣkṛtaṃ te nande yāvat tena hi na kṣamati veṭhakena kāyaṃ	Aha | duzkRtam te nande yAvat tena hi na kzamati veWakena kAyam
   veṭhayituṃ | veṭhakapratisaṃyuktaṃ | sā eṣā bhikṣuṇī veṭhakena paṭṭakena	veWayitum | veWaka pratisaMyuktam | sA ezA BikzuNI veWakena pawwakena
   vā kāyaṃ veṭhayati vinayātikramam āsādayati | atha dāni paṭṭikāya vā	vA kAyam veWayati vinaya atikramam AsAdayati | aTa dAni pawwikAya vA
   lohakena vā kāyaṃ veṭhayati | na kṣamati dvir api vellakaṃ trir api	lohakena vA kAyam veWayati | na kzamati dvis api vellakam tris api
   vellakaṃ veṭhayituṃ | atha khu eka parivellakaṃ veṭhayitavyaṃ | atha dāni	vellakam veWayitum | aTa Ku eka parivellakam veWayitavyam | aTa dAni
   vātena pārśvaṃ gṛhītaṃ bhavati | gaṇḍam vā piṭakam vā kṣatam vā upahatam	vAtena pArSvam gRhItam Bavati | gaNxam vA piwakam vA kzatam vA upahatam
   vā bhavati kiñcāpi paṭṭakena kāyaṃ veṭhayaty anāpattiḥ | idam ucyate	vA Bavati kiQca api pawwakena kAyam veWayati anApattiH | idam ucyate
   veṭhakapratisaṃyuktaṃ ||3 ||	veWaka pratisaMyuktam ||3 ||
   bhikṣuṇī prakīrṇaka 4	BikzuNI prakIrNakaH 4
   śroṇibhaṇḍakapratisaṃyuktaṃ	SroNi BaNxaka pratisaMyuktam
   258. bhagavān śrāvastīyam viharati | yathaiva veṭhakasya evam	258. BagavAn SrAvastIyam viharati | yaTA eva veWakasya evam
   evārthotpattiḥ kartavyā | sā pratikṛty' eva uttaritvā śroṇībhaṇḍakam	eva arTa utpattiH kartavyA | sA pratikRty a eva uttaritvA SroNI BaNxakam
   ābandhitvā āha | prajāpatī prajāpati nidhyāyatha māṃ kim aham śobhāmi na	AbanDitvA Aha | prajApatI prajApati niDyAyaTa mAm kim aham SoBAmi na
   śobhāmīti | tā dān āhaṃsuḥ | kim āryāya | peyālam | yāvad āma bhagavan |	SoBAmi iti | tAH dAn AhaMsuH | kim AryAya | peyAlam | yAvat Ama Bagavan |
   bhagavān āha tena hi na kṣamati śroṇībhaṇḍaṃ | śroṇībhaṇḍakapratisaṃyuktaṃ	BagavAn Aha tena hi na kzamati SroNI BaNxam | SroNI BaNxaka pratisaMyuktam
   | śroṇībhaṇḍakan nāma ete bhavanti | śaṅkhāvarttakā vā śirikā vā pīlukā vā	| SroNI BaNxakan nAma ete Bavanti | SaFKAvarttakAH vA SirikA vA pIlukA vA
   vidrumā vā akṣarakṣā vā suvarṇarūpyamayā vā maṇimayā vā prakālakā vā	vidrumAH vE akza rakzA vA suvarNa rUpya mayA vA maNi mayA vA prakAlakAH vA
   antamasato sūtramaṇikā vā bandhati | tena ca śroṇībhaṇḍakachandaṃ	antamasataH sUtra maNikAH vA banDati | tena ca SroNI BaNxaka Candam
   vinodayati vinayātikramam āsādayati | idam ucyate	vinodayati vinaya atikramam AsAdayati | idam ucyate
   śroṇībhaṇḍakapratisaṃyuktaṃ || ṇka ||	SroNI BaNxaka pratisaMyuktam || NkaH ||
   bhikṣuṇīprakirṇaka 5	BikzuNI prakirNakaH 5
   gṛhiṇibhaṇḍakapratisaṃyuktaṃ	gRhiNi BaNxaka pratisaMyuktam
   259. bhagavān śrāvastīyam viharati | eṣaivārthotpattiḥ yāvad	259. BagavAn SrAvastIyam viharati | ezA eva arTa utpattiH yAvat 
   gṛhiṇībhaṇḍakam ābandhitvā yāvad bhagavān āha | tena hi na kṣamati	gRhiNI BaNxakam AbanDitvA yAvat BagavAn Aha | tena hi na kzamati
   gṛhiṇībhaṇḍakaṃ | gṛhiṇībhāṇḍakan nāma ete bhavanti | mūrdhāpidhānakā vā |	gRhiNI BaNxakam | gRhiNI BANxakan nAma ete Bavanti | mUrDA piDAnakAH vA |
   valayā vā | karṇikā vā | ṭikkā vā | veṭhakā vā | harṣakā vā | hārā vā |	valayA vA | karNikA vA | wikkA vA | veWakAH vA | harzakAH vA | hArAH vA |
   ardhahārā vā aparañjaga vā | kaṭakā vā | śaṅkhakā vā | nūpurā vā |	arDa hArAH vA aparaQja ga vA | kawakAH vA | SaFKakAH vA | nUpurA vA |
   aṅgulīyakā vā | yad vā punar anyad api kiñcid gṛhiṇībhāṇḍaṃ sarvan na	aFgulIyakAH vA | yat vA punar anyat api kiQcid gRhiNI BANxam sarvat na
   kṣamati | sā eṣā bhikṣuṇī gṛhiṇībhaṇḍakam ābandhayati vinayātikramam	kzamati | sA ezA BikzuNI gRhiNI BaNxakam AbanDayati vinaya atikramam
   āsādayati | atha dāni bhaiṣajyabhaṇḍakam ābandhati jvarasūtrakam vā	AsAdayati | aTa dAni BEzajya BaNxakam AbanDati jvara sUtrakam vA
   anāpattiḥ | idam ucyate gṛhiṇībhāṇḍakapratisaṃyuktaṃ || tṛ ||	anApattiH | idam ucyate gRhiNI BANxaka pratisaMyuktam || tR ||
   bhikṣūṇīprakirṇaka 6	BikzUNI prakirNaka 6
   gṛhiṇīalaṅkārapratisaṃyuktaṃ	gRhiNI alaFkAra pratisaMyuktam
   260. bhagavān śrāvastīyam viharati | tāyo dāni śākiyakanyāyo kolitakanyāyo	260. BagavAn SrAvastIyam viharati | tAyaH dAni SAkiyaka nyAyaH kolita kanyA yaH 
   mallakanyāyo mahāntehi kulehi pravrajitā alaṅkārikāny ādāya | kumārikānāṃ	mallaka nyAyaH mahAntehi kulehi pravrajitAH alaFkArikAni AdAya | kumArikAnAm
   vuhyantīnāṃ utsavasamaye tithi parvaṇyā devayātrādiṣu kṛtakāni bhāṇḍakāni	vuhyantInAm utsava samaye tiTi parvaNyAH deva yAtrA Adizu kRtakAni BANxakAni
   dadantī | jano dāni ojjhāyati | neyaṃ pravrajyā vāṇijeyaṃ | etaṃ	dadantI | janaH dAni ojJAyati | na iyam pravrajyA vANijeyam | etam
   prakaraṇaṃ | peyālaṃ yāvad bhagavān āha | tena hi na kṣamati	prakaraNam | peyAlam yAvat BagavAn Aha | tena hi na kzamati
   gṛhiṇīalaṅkāraṃ dhārayituṃ | yadi kācid gṛhiṇī pravrajati yadi tāya kiñcid	gRhiNI alaFkAram DArayitum | yadi kAcid gRhiNI pravrajati yadi tAya kiQcid 
   alaṅkāraṃ bhavati vaktavyā visarjehi | atha dāni paśyati durbhikṣa vā	alaFkAram Bavati vaktavyA visarja ihi | aTa dAni paSyati durBikza vA
   bhaveya piṇḍapāto vā na labhyeta jarādurbalā vā bhavati vyādhidurbalā vā	Baveya piNxapAtaH vA na laByeta jarA durbalA vA Bavati vyADi durbalA vA
   gailānyam vā kiñcid bhaviṣyati alpalābho mātṛgrāmo mā vihanyeyā ti |	gElA anyam vA kiQcid Bavizyati alpa lABaH mAtR grAmaH mA vihanyeyA ti |
   piṇḍaṃ kārayitvā parvrājayitavyā | sā eṣā bhikṣuṇī alaṅkāram	piNxam kArayitvA parvrAjayitavyA | sA ezA BikzuNI alaFkAram
   aparityājayitvā pravrajeti vinayātikramam āsādayati | bhikṣor apy eṣa evaṃ	aparityAjayitvA pravrajA iti vinaya atikramam AsAdayati | BikzoH api ezaH evam
   vidhir | idam ucyate gṛhiṇīalaṅkārapratisaṃyuktaṃ || phu ||	viDiH | idam ucyate gRhiNI alaFkAra pratisaMyuktam || Pu ||
   bhikṣuṇīprakirṇaka 7	BikzuNI prakirNakaH 7
   veśyāpratisaṃyuktaṃ	veSyA pratisaMyuktam
   261. bhagavān śrāvastīyam viharati | tāyo dāni bhikṣuṇīyo śākīyakanyāyo	261. BagavAn SrAvastIyam viharati | tAyaH dAni BikzuNIyaH SAkIyakanyA yaH 
   koliyakanyāyo mallakanyāyo mahākulehi pravrajitā ceṭikām ādāya pravrajanti	koliyaka nyAyaH mallaka nyAyaH mahA kule hi pravrajitA cewikAm AdAya pravrajanti
   | tāyo ceṭikāyo prāsādikāyo darśanīyāyo veśyaṃ (!) vāhayanti | jano dani	| tAyaH cewikAyaH prAsAdi kAyaH darSanIyAyaH veSyam (!) vAhayanti | janaH dani
   ojjhāyati | neyaṃ pravrajyā gaṇikā imā | etaṃ prakaraṇaṃ bhikṣuṇīhi śrutaṃ	ojJAyati | na iyam pravrajyA gaNikA imAH | etam prakaraNam BikzuNIhi Srutam
   | yāvad āma bhagavan | bhagavān āha | evaṃ ca nāma yūyaṃ veśyām	| yAvat Ama Bagavan | BagavAn Aha | evam ca nAma yUyam veSyAm
   upasthāpayatha | tena hi na kṣamati veśyām (!) upasthāpayituṃ | sā eṣā	upasTApa yaTa | tena hi na kzamati veSyAm (!) upasTApayitum | sA ezA
   bhikṣuṇī veśyām upasthāpayati tena jīvikāṃ kalpayati vinayātikramam	BikzuNI veSyAm upasTApayati tena jIvikAm kalpayati vinaya atikramam
   āsādayati | idam ucyate veśyāpratisaṃyuktaṃ || grā ||	AsAdayati | idam ucyate veSyA pratisaMyuktam || grA ||
   bhikṣuṇīprakīrṇaka 8	BikzuNI prakIrNaka 8
   ārāmikinipratisaṃyuktaṃ	ArAmiki nipratisaMyuktam
   262.bhagavān śrāvastīyam viharati | bhagavatā dāni śikṣāpadaṃ prajñaptaṃ |	262.BagavAn SrAvastIyam viharati | BagavatA dAni SikzA padam prajQaptam |
   na kṣamati veśyām upasthāpayituṃ ti | tāyo dāni śākiyakanyāyo mallakanyāyo	na kzamati veSyAm upasTApayitum ti | tAyaH dAni SAkiyaka nyAyaH mallaka nyAyaH 
   kolitakanyāyo mahākulehi pravrajanti | tāyo dāni paudgalikām ārāmikinīm	kolitaka nyAyaH mahAkule hi pravrajanti | tAyaH dAni pOdgalikAm ArAmikinIm
   upasthāpenti | tāyo dāni ārāmikinīyo prāsādikāyo jano dāni ojjhāyati |	upasTApenti | tAyaH dAni ArAmikinIyaH prAsAdi kAyaH janaH dAni ojJAyati |
   neyaṃ pravrajyā gaṇikā iyaṃ | etaṃ prakaraṇaṃ bhikṣuṇīhi śrutaṃ yāvad āma	na iyam pravrajyA gaNikA iyam | etam prakaraNam BikzuNIhi Srutam yAvat Ama
   bhagavan | bhagavān āha | tena hi na kṣamati paudagalikām ārāmikinīm	Bagavan | BagavAn Aha | tena hi na kzamati pOdagalikAm ArAmikinIm
